#Event,WhiteElo,BlackElo,Ply,Result
260,2517,2053,45,1-0
261,2625,2503,93,1/2-1/2
262,2531,2017,47,1-0
263,2540,2662,135,1-0
264,2209,1916,26,1/2-1/2
265,2328,2318,72,0-1
266,1649,2188,68,0-1
267,2044,2181,75,0-1
268,2187,2029,118,1/2-1/2
269,1978,2186,39,1/2-1/2
270,2312,2011,115,1-0
271,1904,2091,62,0-1
272,2464,2493,51,1/2-1/2
273,1657,2123,82,0-1
274,1651,1508,73,1-0
275,2061,2145,144,0-1
276,2256,2377,86,0-1
277,2442,2397,84,0-1
278,2161,2532,133,1/2-1/2
279,2208,1999,110,1/2-1/2
280,2666,2548,92,1/2-1/2
281,2224,2428,58,0-1
282,2414,2404,82,1/2-1/2
283,2394,2255,89,1-0
284,2255,2159,103,1-0
285,2030,2183,52,0-1
286,2032,2279,132,0-1
287,2206,1969,33,1-0
288,2174,2261,81,1-0
289,2387,2222,109,1-0
290,2368,2125,87,1-0
291,2368,1811,65,1-0
292,2466,2270,99,1-0
293,2511,2403,73,1-0
294,2223,1912,79,1-0
295,2515,2007,88,1-0
296,2354,2491,149,1/2-1/2
297,1902,2153,60,1/2-1/2
298,2603,2417,62,1-0
299,1623,2146,66,0-1
300,2037,1582,45,1-0
301,2437,2387,62,1/2-1/2
302,2225,2234,112,1-0
303,2191,2520,61,1-0
304,2265,2381,72,0-1
305,2138,1835,71,1-0
306,2078,2639,60,0-1
307,1989,2174,54,0-1
308,2084,2461,76,0-1
309,2554,2288,4,1-0
310,2064,2174,85,0-1
311,2364,2398,35,1/2-1/2
312,2149,2446,55,1-0
313,1960,2044,104,0-1
314,2241,2439,68,0-1
315,2431,2717,150,0-1
316,2302,2042,111,1-0
317,2552,2511,55,1-0
318,2479,2310,70,0-1
319,2484,2349,43,1-0
320,1974,2140,62,0-1
321,2651,2477,129,1-0
322,1313,1842,80,0-1
323,1745,2011,94,0-1
324,2309,2608,106,0-1
325,1897,1475,63,1-0
326,2712,2625,24,1/2-1/2
327,2464,2424,52,0-1
328,2348,1881,67,1-0
329,2198,1968,61,1-0
330,2638,2388,109,1/2-1/2
331,2427,2202,87,1-0
332,2525,2138,147,1-0
333,2521,2344,69,1-0
334,2577,2466,112,0-1
335,1854,1705,87,1-0
336,2695,2612,84,1/2-1/2
337,2528,2190,71,1-0
338,2345,2534,42,0-1
339,2556,2302,81,1-0
340,2454,2472,125,1/2-1/2
341,2645,2464,62,1/2-1/2
342,2066,1763,91,1/2-1/2
343,2568,2440,89,1-0
344,2470,2226,71,1-0
345,1884,2547,46,0-1
346,2374,2554,94,1/2-1/2
347,1846,1765,136,0-1
348,2048,1848,96,0-1
349,1921,2308,61,0-1
350,2136,2243,83,1-0
351,2301,2119,115,1/2-1/2
352,2009,2293,68,0-1
353,1915,2105,71,1-0
354,2596,2291,115,1-0
355,2166,2416,80,0-1
356,2645,2302,61,1-0
357,1939,2052,88,1/2-1/2
358,2312,2067,52,0-1
359,2543,2412,95,1-0
360,2138,1927,111,1-0
361,2457,2309,66,1/2-1/2
362,2481,2252,87,1/2-1/2
363,2210,1971,49,1-0
364,2392,2275,88,1/2-1/2
365,2209,2338,89,1/2-1/2
366,2631,2711,87,1-0
367,2123,2358,88,1/2-1/2
368,2015,2507,72,0-1
369,2250,2507,92,1/2-1/2
370,1735,1822,90,0-1
371,1904,2030,49,1-0
372,1967,2215,62,1/2-1/2
373,2457,2063,99,1-0
374,2224,2356,58,0-1
375,2144,2534,98,0-1
376,1959,2095,180,0-1
377,2249,2011,63,1-0
378,2350,2521,46,0-1
379,2497,2351,77,1-0
380,2404,2414,108,1-0
381,2583,2206,69,1-0
382,2274,1797,49,1-0
383,1937,2155,64,1/2-1/2
384,2164,2434,117,1-0
385,2395,2270,110,0-1
386,2184,2473,58,1/2-1/2
387,2667,2375,79,1-0
388,2488,2531,50,0-1
389,2128,1965,63,1-0
390,2693,2469,134,1/2-1/2
391,2521,2475,95,1/2-1/2
392,2095,2193,149,1/2-1/2
393,1848,2074,68,0-1
394,2053,2205,76,0-1
395,2006,1835,93,1/2-1/2
396,2375,2249,109,1-0
397,2255,2235,115,1-0
398,2173,2400,157,1/2-1/2
399,2445,2583,71,1-0
400,1814,2042,44,0-1
401,2049,2328,84,0-1
402,1872,2288,58,0-1
403,2292,2593,95,1-0
404,2465,2710,84,0-1
405,2405,2539,94,1/2-1/2
406,2457,2201,49,1-0
407,2177,2024,117,1-0
408,2182,1869,56,1/2-1/2
409,1679,1780,84,0-1
410,1767,2455,72,0-1
411,2409,2573,68,1/2-1/2
412,2127,2498,60,0-1
413,2453,2510,35,1-0
414,2203,2365,111,1-0
415,2313,2366,60,1/2-1/2
416,1730,1921,124,1/2-1/2
417,2398,2370,54,0-1
418,2176,2359,80,0-1
419,2240,2223,73,1-0
420,2664,2610,123,1-0
421,2566,2501,116,0-1
422,2678,2734,81,1-0
423,1982,2324,88,1/2-1/2
424,2237,2209,108,1/2-1/2
425,1949,1803,39,1-0
426,2370,2601,70,0-1
427,2299,2494,66,0-1
428,2433,2377,102,1/2-1/2
429,2639,2368,120,1/2-1/2
430,2004,1886,97,1-0
431,2551,2205,124,1/2-1/2
432,2460,2226,67,1-0
433,1663,1948,125,1/2-1/2
434,2272,2445,55,0-1
435,2312,2596,93,1/2-1/2
436,2366,2516,72,0-1
437,2066,2198,110,0-1
438,2405,2445,76,0-1
439,2451,2187,121,1-0
440,2520,2630,47,1/2-1/2
441,2309,2356,56,1/2-1/2
442,1553,1694,77,1-0
443,1778,2025,107,1-0
444,2082,1884,98,0-1
445,2271,2379,126,1/2-1/2
446,1880,2032,66,0-1
447,2429,2049,123,1-0
448,1895,2347,70,0-1
449,2314,2552,114,0-1
450,2216,2304,28,1/2-1/2
451,1898,2460,58,0-1
452,2315,2456,116,0-1
453,2220,2134,88,1/2-1/2
454,2395,2060,45,1-0
455,2286,2255,61,1/2-1/2
456,1896,2077,127,1-0
457,2335,2436,79,1-0
458,2786,2772,83,1/2-1/2
459,2261,2427,29,1/2-1/2
460,2232,2037,104,0-1
461,2330,2563,74,0-1
462,2536,2421,87,1/2-1/2
463,1747,2262,138,0-1
464,2421,2159,154,1/2-1/2
465,2349,2597,70,0-1
466,2490,2422,31,1/2-1/2
467,2548,2118,62,1/2-1/2
468,2415,2416,73,1/2-1/2
469,1611,1825,80,0-1
470,2001,1818,92,0-1
471,2039,2248,161,1-0
472,2153,2294,122,0-1
473,2318,1767,71,1-0
474,1951,2213,50,1/2-1/2
475,2269,2058,93,1-0
476,2513,2392,160,0-1
477,2312,2417,172,0-1
478,2230,2182,19,1/2-1/2
479,2430,2126,55,1-0
480,2543,2399,57,1-0
481,1836,2301,107,1-0
482,2342,2259,59,1-0
483,2167,1922,123,1-0
484,2686,2439,69,1-0
485,2371,2436,77,1-0
486,1712,1747,52,0-1
487,2007,1889,81,1-0
488,2454,2218,68,1/2-1/2
489,2526,2409,107,1-0
490,1902,2117,77,0-1
491,2465,2474,128,1/2-1/2
492,2070,2156,70,1/2-1/2
493,1712,2011,58,0-1
494,2272,2153,75,1-0
495,2050,2084,79,1-0
496,2130,1890,88,1-0
497,2647,2556,49,1-0
498,2544,2695,84,0-1
499,2285,2356,112,0-1
500,2355,2092,106,1/2-1/2
501,2607,2269,83,1-0
502,1634,1610,67,1-0
503,1817,1528,147,1-0
504,2422,2275,119,1-0
505,2132,2264,66,0-1
506,2376,1871,71,1-0
507,2385,2482,117,1-0
508,1888,1690,138,1/2-1/2
509,2635,2562,43,1/2-1/2
510,2257,2145,95,1/2-1/2
511,1669,2023,96,0-1
512,2573,2487,111,1-0
513,1698,1754,39,1/2-1/2
514,2053,2340,86,0-1
515,2138,2335,72,0-1
516,2257,2308,57,1-0
517,2224,2026,125,1-0
518,2454,2482,70,0-1
519,2254,2646,58,0-1
520,1950,2083,56,1/2-1/2
521,2467,2327,88,1/2-1/2
522,2344,2407,79,1/2-1/2
523,2588,2549,83,1/2-1/2
524,1772,1753,59,1/2-1/2
525,2315,2480,136,0-1
526,2035,2145,88,0-1
527,2254,2325,82,0-1
528,2282,2356,19,1/2-1/2
529,1980,2212,113,1-0
530,1881,2295,42,0-1
531,2114,2113,94,1/2-1/2
532,2025,2103,66,0-1
533,2322,2315,105,1-0
534,2234,2379,83,1/2-1/2
535,1990,1820,74,1/2-1/2
536,2316,2531,109,1/2-1/2
537,2195,2094,102,0-1
538,2259,2422,60,1/2-1/2
539,2327,2463,75,1-0
540,2024,2189,74,1/2-1/2
541,2480,1931,63,1-0
542,2506,2238,41,1-0
543,2496,2458,111,1-0
544,1865,1770,112,0-1
545,2108,1867,44,1/2-1/2
546,2578,2491,76,0-1
547,2503,2610,117,1-0
548,2269,2023,104,1/2-1/2
549,2393,2171,67,1-0
550,2098,2135,53,1-0
551,1914,2054,105,1/2-1/2
552,2418,2180,63,1-0
553,1908,1755,64,1-0
554,2364,1880,93,1-0
555,2524,2124,61,1-0
556,2111,2025,49,1-0
557,2305,2360,15,1/2-1/2
558,2441,1967,59,1-0
559,2567,2283,52,1-0
560,1932,2153,76,0-1
561,2117,1664,99,1-0
562,2277,2273,79,1/2-1/2
563,2026,1787,69,1-0
564,1924,1707,41,1-0
565,2246,2261,68,0-1
566,2342,2204,69,1-0
567,2380,2239,72,1-0
568,2483,2526,30,1/2-1/2
569,2497,2312,75,1-0
570,2321,2274,140,1/2-1/2
571,2275,2409,143,1-0
572,2369,2207,59,1/2-1/2
573,2411,2673,80,0-1
574,2693,2529,89,1-0
575,2192,2386,84,1/2-1/2
576,1726,1999,74,0-1
577,2241,2031,49,1/2-1/2
578,2450,2683,91,1/2-1/2
579,1583,1880,112,0-1
580,2273,2032,102,1/2-1/2
581,2124,2013,47,1/2-1/2
582,1975,1731,88,1/2-1/2
583,2252,2360,20,1/2-1/2
584,1916,2221,60,0-1
585,2348,2628,81,1/2-1/2
586,2246,2325,82,0-1
587,2610,2517,97,1/2-1/2
588,2072,1743,123,1-0
589,2350,2414,80,0-1
590,2098,1932,139,1-0
591,2202,1941,47,1-0
592,2251,2212,75,1/2-1/2
593,2188,1915,41,1-0
594,2431,2187,44,1/2-1/2
595,1824,1940,69,1-0
596,2663,2521,82,1/2-1/2
597,2265,2569,50,0-1
598,2261,1961,62,1/2-1/2
599,2410,2549,80,0-1
600,2459,2408,137,1-0
601,2481,2445,139,1/2-1/2
602,2076,2080,48,1/2-1/2
603,1716,1845,72,0-1
604,2601,2602,33,1/2-1/2
605,2302,2014,103,1-0
606,1647,1753,57,1-0
607,2107,1876,129,1-0
608,1933,1797,67,1-0
609,1781,2034,79,1-0
610,2068,2208,115,1/2-1/2
611,2306,2229,125,1/2-1/2
612,2483,2321,67,1-0
613,2366,2569,91,1-0
614,1901,2201,69,1/2-1/2
615,2628,2616,38,1/2-1/2
616,2638,2636,25,1/2-1/2
617,2391,2473,117,1-0
618,2508,2216,45,1-0
619,2403,2232,82,1/2-1/2
620,1976,2273,32,0-1
621,2378,2274,39,1-0
622,2405,2274,77,1-0
623,1598,2319,48,0-1
624,1986,1642,59,1-0
625,2244,2290,1,1-0
626,2510,2549,163,1-0
627,2100,2224,106,0-1
628,2411,2432,77,1-0
629,2621,2444,123,1/2-1/2
630,2375,2339,84,0-1
631,2490,2562,28,1/2-1/2
632,2170,2018,80,1/2-1/2
633,2562,2487,108,1/2-1/2
634,2580,2779,127,1-0
635,2595,2653,130,1/2-1/2
636,2261,2442,134,0-1
637,2251,2059,88,0-1
638,1836,2096,81,1/2-1/2
639,2200,2139,140,0-1
640,2244,1984,89,1-0
641,2375,2139,49,1-0
642,2506,2468,71,1-0
643,2164,2395,86,1/2-1/2
644,2110,2288,72,0-1
645,2365,2422,105,1-0
646,1741,2095,101,0-1
647,2181,2351,86,1/2-1/2
648,2558,2494,70,0-1
649,2380,2199,91,1-0
650,2451,2108,116,1/2-1/2
651,2378,2177,129,1-0
652,2069,2345,134,0-1
653,2605,2575,136,0-1
654,1889,1936,102,0-1
655,2135,2258,56,0-1
656,2121,2207,91,1-0
657,2355,2166,40,0-1
658,1790,1727,119,1-0
659,2366,2409,146,1/2-1/2
660,2612,2434,65,1/2-1/2
661,2344,2101,73,1-0
662,2162,2271,89,1-0
663,2154,2108,35,1-0
664,1950,1912,72,1-0
665,2575,2498,105,1-0
666,1926,2126,74,0-1
667,2235,2440,60,0-1
668,2295,2307,47,1/2-1/2
669,2711,2226,77,1-0
670,2018,1847,71,1-0
671,2006,1998,37,0-1
672,2385,2148,79,1-0
673,2553,2464,93,1-0
674,2391,2312,93,1-0
675,2239,2094,90,0-1
676,2657,2530,123,1-0
677,1774,1997,83,1-0
678,2438,2354,109,1-0
679,2393,2489,112,0-1
680,2746,2702,269,1-0
681,2580,2463,41,1-0
682,2550,2480,43,1/2-1/2
683,2476,2287,73,1-0
684,2261,2527,72,1-0
685,2513,2494,46,1/2-1/2
686,1987,2321,80,0-1
687,1806,1546,61,1/2-1/2
688,2069,1934,59,1-0
689,1676,2046,109,1/2-1/2
690,2598,2461,56,1-0
691,1973,2248,112,0-1
692,1872,1718,65,1-0
693,2288,2475,76,1/2-1/2
694,2615,2677,34,1/2-1/2
695,1852,2083,33,1/2-1/2
696,2318,2349,30,1/2-1/2
697,2136,2051,90,0-1
698,2350,2547,33,1/2-1/2
699,2281,2377,102,1/2-1/2
700,2566,2501,77,1-0
701,1909,1824,117,1-0
702,2153,2463,90,1/2-1/2
703,2442,2437,81,1-0
704,2571,2084,43,1-0
705,2324,2509,121,1/2-1/2
706,2384,2350,81,1-0
707,1508,1844,120,0-1
708,2284,1969,98,0-1
709,2436,2468,100,1/2-1/2
710,1810,1921,129,1/2-1/2
711,2390,2076,102,0-1
712,2399,2404,80,0-1
713,2486,2366,63,1/2-1/2
714,2315,2549,120,1/2-1/2
715,2254,2074,97,1/2-1/2
716,2379,2617,122,0-1
717,2377,2329,125,1-0
718,2308,2131,58,1/2-1/2
719,2388,2529,146,1-0
720,1616,1483,58,1-0
721,2207,2095,76,0-1
722,1714,1949,78,1-0
723,2346,2259,59,1-0
724,2461,2178,97,1-0
725,2532,2234,68,1-0
726,2404,2314,42,1/2-1/2
727,2324,2376,115,1-0
728,2157,2050,57,1-0
729,2083,2100,70,0-1
730,2238,2366,134,0-1
731,1829,1532,105,1-0
732,1955,1919,40,1/2-1/2
733,2460,2139,49,1-0
734,2547,2353,65,1-0
735,2312,2399,25,1/2-1/2
736,1577,1809,44,0-1
737,1993,1812,74,1/2-1/2
738,2132,2553,84,0-1
739,2430,2418,72,0-1
740,1849,2223,104,0-1
741,2343,2275,83,1/2-1/2
742,2051,2380,120,0-1
743,2437,2533,93,1-0
744,2221,2336,68,0-1
745,2299,2207,119,1-0
746,2404,2444,110,1/2-1/2
747,2194,2339,64,1/2-1/2
748,2275,2098,79,1-0
749,2111,2301,132,0-1
750,2029,1471,97,1-0
751,2100,1940,84,0-1
752,2032,1932,79,1-0
753,1972,1921,56,0-1
754,2406,2498,77,1/2-1/2
755,2156,1956,81,1/2-1/2
756,2425,2533,106,0-1
757,1731,2063,58,0-1
758,2493,2529,47,1/2-1/2
759,1944,2152,84,0-1
760,2330,2206,155,1-0
761,2296,2496,65,0-1
762,2293,2580,53,0-1
763,2259,2327,14,1/2-1/2
764,2194,1905,99,1-0
765,1527,2054,66,0-1
766,2512,2453,89,1/2-1/2
767,2352,2474,77,1-0
768,2194,2068,92,0-1
769,2509,2322,39,1-0
770,1894,2048,76,0-1
771,2333,2138,131,1-0
772,2590,2484,43,1/2-1/2
773,1828,2102,138,0-1
774,2009,2437,51,0-1
775,2108,1962,60,0-1
776,2291,2423,78,0-1
777,2116,1608,109,1-0
778,2578,2648,82,1/2-1/2
779,1881,2101,108,1/2-1/2
780,2561,2449,77,1-0
781,2457,2226,86,0-1
782,2107,2006,63,1-0
783,1949,2003,64,1-0
784,2515,2414,77,1/2-1/2
785,2458,2576,41,1-0
786,2783,2756,120,1-0
787,2517,2379,43,1-0
788,2408,2460,23,1/2-1/2
789,2458,2456,25,1/2-1/2
790,2305,2270,42,1/2-1/2
791,1968,1172,99,1-0
792,2655,2541,43,1/2-1/2
793,2199,2395,82,0-1
794,2402,2569,70,0-1
795,2441,2567,36,1/2-1/2
796,2130,1962,37,1-0
797,1836,2161,94,0-1
798,2147,1768,55,1-0
799,2663,2589,95,1-0
800,2740,2676,111,1-0
801,2208,2384,82,0-1
802,2310,2391,41,1/2-1/2
803,1744,2045,98,0-1
804,2327,2637,54,0-1
805,2316,1929,90,1/2-1/2
806,2058,1767,75,1-0
807,2012,2313,102,0-1
808,2174,2368,124,0-1
809,2589,2288,68,1-0
810,2397,2297,93,1-0
811,2327,2105,87,1-0
812,2285,2433,93,1/2-1/2
813,2388,2311,97,1/2-1/2
814,2101,1984,59,1-0
815,1896,1557,43,1-0
816,2369,2558,106,1/2-1/2
817,2213,1975,93,1/2-1/2
818,2402,2579,116,0-1
819,2286,2314,102,0-1
820,2560,2368,88,1/2-1/2
821,2137,2288,133,1/2-1/2
822,2337,2267,70,1-0
823,2154,1956,75,1-0
824,2560,2682,146,0-1
825,2107,2155,94,0-1
826,2635,2611,51,1-0
827,2602,2518,107,1/2-1/2
828,2437,2453,92,0-1
829,2319,2281,3,1/2-1/2
830,2036,2425,80,0-1
831,2025,2416,89,1/2-1/2
832,2156,1610,43,1-0
833,2046,2245,84,0-1
834,2475,2457,67,1-0
835,2333,1803,85,1-0
836,1588,1987,86,0-1
837,2488,2281,80,1/2-1/2
838,2604,2399,83,1-0
839,2217,2436,54,0-1
840,2475,2688,63,1/2-1/2
841,2632,2706,85,1-0
842,2484,2638,70,1/2-1/2
843,2607,2452,101,1-0
844,2275,2319,86,0-1
845,2440,2325,93,1-0
846,2122,2058,108,0-1
847,2043,1802,67,1-0
848,2531,2678,82,0-1
849,2390,2514,106,0-1
850,1755,1713,117,1/2-1/2
851,2296,2185,54,1/2-1/2
852,2409,2537,116,1/2-1/2
853,2580,2661,20,1/2-1/2
854,2509,2462,70,0-1
855,2330,2449,57,1/2-1/2
856,2291,2605,90,0-1
857,2311,2458,56,1/2-1/2
858,2176,1865,98,1/2-1/2
859,2387,2434,51,1-0
860,2005,2057,78,0-1
861,2159,2329,86,0-1
862,2389,2488,102,0-1
863,2629,2609,89,1-0
864,2125,2256,139,1/2-1/2
865,2305,2143,94,0-1
866,2193,2421,116,1-0
867,2251,2449,36,1/2-1/2
868,2247,2412,50,1/2-1/2
869,1989,1848,73,1/2-1/2
870,1983,1358,39,1-0
871,2474,2463,51,1-0
872,2443,2482,62,0-1
873,2661,2631,95,1-0
874,2130,2002,55,1/2-1/2
875,1822,2200,40,0-1
876,2357,2407,90,0-1
877,2270,2031,67,1-0
878,2008,1854,52,1/2-1/2
879,2205,2436,79,1-0
880,2021,2287,77,1/2-1/2
881,2056,2240,63,1-0
882,1888,2064,30,1/2-1/2
883,2253,2292,107,1-0
884,1858,1680,36,0-1
885,2076,2324,158,1/2-1/2
886,2658,2729,64,1/2-1/2
887,2208,2328,153,1-0
888,2357,2447,137,1/2-1/2
889,1278,1688,45,1/2-1/2
890,2229,2078,63,1-0
891,1952,1597,99,1-0
892,2753,2734,44,0-1
893,2349,2167,84,0-1
894,2258,1845,120,1/2-1/2
895,2500,2744,57,1-0
896,2269,2369,122,1/2-1/2
897,2749,2663,72,1/2-1/2
898,2064,2239,51,1-0
899,2062,1943,94,0-1
900,2309,2290,80,0-1
901,2462,2161,63,1-0
902,2354,2640,102,0-1
903,2294,2104,85,1-0
904,2053,2236,64,0-1
905,2532,2624,150,0-1
906,2083,2449,70,0-1
907,2173,2138,128,1/2-1/2
908,2327,2391,143,1-0
909,2381,2508,106,0-1
910,2375,2204,96,1/2-1/2
911,2131,1708,81,1-0
912,1957,2142,44,0-1
913,2549,2630,22,1/2-1/2
914,2343,2014,75,1-0
915,2507,2552,82,0-1
916,2010,2523,68,0-1
