Count,Simple Fen
386,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 b - -
161,1rbq1rk1/1pp1ppbp/p1np2p1/3N3n/2PP4/1P3NP1/P3PPBP/R1BQ1RK1 w - -
147,1rbq1rk1/1pp1ppbp/p1np2p1/3N3n/2PP4/1P3NP1/PB2PPBP/R2Q1RK1 b - -
196,1rbq1rk1/1pp2pbp/p1np1np1/3Pp3/2P1P3/2N1BP2/PP1Q2PP/R1N1KB1R b KQ -
253,1rbq1rk1/1pp2pbp/p1np1np1/4p3/2PPP3/2N1BP2/PP1Q2PP/R1N1KB1R w KQ -
140,1rbq1rk1/1pp2pbp/p1npp1p1/3N3n/2PP4/1P3NP1/PB2PPBP/R2Q1RK1 w - -
134,1rbq1rk1/1pp2pbp/p2p1np1/3Pp3/2PnP3/1NN1BP2/PP1Q2PP/R3KB1R b KQ -
187,1rbq1rk1/1pp2pbp/p2p1np1/3Pp3/2PnP3/2N1BP2/PP1Q2PP/R1N1KB1R w KQ -
102,1rbq1rk1/2p1ppbp/2np1np1/1p6/3P4/1PN2NP1/PB2PPBP/2RQ1RK1 b - -
161,1rbq1rk1/2p1ppbp/2np1np1/1p6/3P4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -
115,1rbq1rk1/2p1ppbp/2np1np1/1p6/3PP3/2N2NPP/PP3PB1/R1BQ1RK1 w - -
161,1rbq1rk1/2p1ppbp/p1np1np1/1P6/3P4/1PN2NP1/PB2PPBP/R2Q1RK1 b - -
115,1rbq1rk1/2p1ppbp/p1np1np1/1P6/3PP3/2N2NPP/PP3PB1/R1BQ1RK1 b - -
104,1rbq1rk1/2p1ppbp/p1np1np1/1p2P3/2PP4/2N2NPP/PP3PB1/R1BQ1RK1 b - -
192,1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -
242,1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 w - -
277,1rbq1rk1/2p2ppp/1bnp1n2/1N2p3/3PP3/1BP2N2/1P3PPP/R1BQ1RK1 b - -
284,1rbq1rk1/2p2ppp/1bnp1n2/1p2p3/3PP3/NBP2N2/1P3PPP/R1BQ1RK1 w - -
143,1rbq1rk1/2p2ppp/pbnp1n2/1P2p3/3PP3/NBP2N2/1P3PPP/R1BQ1RK1 b - -
144,1rbq1rk1/2p2ppp/pbnp1n2/1p2p3/P2PP3/NBP2N2/1P3PPP/R1BQ1RK1 w - -
138,1rbq1rk1/3nbppp/pppp1n2/4p3/P2PP3/2N2N1P/BPP2PP1/R1BQR1K1 w - -
191,1rbq1rk1/3pbppp/pPn5/2pQ4/2B1P3/5N2/PP3PPP/R1B1K2R w KQ -
140,1rbq1rk1/3pbppp/pPn5/2pQ4/2B1P3/5N2/PP3PPP/R1B2RK1 b - -
104,1rbq1rk1/4bppp/p1np4/1p1Np3/4P2P/2P5/PPN2PP1/R2QKB1R w KQ -
104,1rbq1rk1/4ppbp/2np1np1/1p6/4P3/2N3PP/1PP1NPB1/R1BQ1RK1 w - -
102,1rbq1rk1/4ppbp/p1np1np1/1P6/4P3/2N3PP/1PP1NPB1/R1BQ1RK1 b - -
102,1rbq1rk1/4ppbp/p1np1np1/1p6/P3P3/2N3PP/1PP1NPB1/R1BQ1RK1 w - -
103,1rbq1rk1/4ppbp/p2p1np1/n1pP4/2P5/2N3P1/PBQNPPBP/R4RK1 b - -
104,1rbq1rk1/4ppbp/p2p1np1/n1pP4/2p5/1PN3P1/PBQNPPBP/R4RK1 w - -
178,1rbq1rk1/4ppbp/p2p1np1/nppP4/2P5/1PN3P1/P1QNPPBP/1RB2RK1 b - -
385,1rbq1rk1/4ppbp/p2p1np1/nppP4/2P5/1PN3P1/P1QNPPBP/R1B2RK1 w - -
120,1rbq1rk1/4ppbp/p2p1np1/nppP4/2P5/1PN3P1/P2NPPBP/1RBQ1RK1 w - -
116,1rbq1rk1/4ppbp/p2p1np1/nppP4/2P5/1PN3P1/PB1NPPBP/1R1Q1RK1 b - -
302,1rbq1rk1/4ppbp/p2p1np1/nppP4/2P5/1PN3P1/PBQNPPBP/R4RK1 b - -
173,1rbq1rk1/5ppp/2np4/p2Np1b1/2B1P3/2P5/RPN2PPP/3QK2R b K -
550,1rbq1rk1/5ppp/2np4/p2Np1b1/R1B1P3/1PP5/2N2PPP/3QK2R b K -
723,1rbq1rk1/5ppp/2np4/p2Np1b1/R1B1P3/2P5/1PN2PPP/3QK2R w K -
175,1rbq1rk1/5ppp/p1np1b2/1p1Np3/4P2P/2P5/PPN2PP1/R2QKB1R b KQ -
138,1rbq1rk1/5ppp/p1np1b2/1p1Np3/4P3/2P5/PPN1BPPP/R2QK2R b KQ -
459,1rbq1rk1/5ppp/p1np1b2/1p1Np3/4P3/2P5/PPN2PPP/R2QKB1R w KQ -
174,1rbq1rk1/5ppp/p1np4/1p1Np1b1/4P3/2P5/PPN1BPPP/R2Q1RK1 b - -
232,1rbq1rk1/5ppp/p1np4/1p1Np1b1/4P3/2P5/PPN1BPPP/R2QK2R w KQ -
123,1rbq1rk1/p3ppbp/2Bp1np1/8/2P5/2N3P1/PP2PP1P/R1BQ1RK1 w - -
226,1rbq1rk1/p3ppbp/2np1np1/1pp5/4PP2/2NP1NPP/PPP3B1/R1BQ1RK1 w - -
132,1rbq1rk1/p3ppbp/2np1np1/1pp5/4PPP1/2NP1N1P/PPP3B1/R1BQ1RK1 b - -
115,1rbq1rk1/p3ppbp/2np1np1/2p5/1p2PPP1/2NP1N1P/PPP3B1/R1BQ1RK1 w - -
128,1rbq1rk1/p3ppbp/2np1np1/2p5/1p2PPP1/3P1N1P/PPP1N1B1/R1BQ1RK1 b - -
199,1rbq1rk1/pp2npbp/2npp1p1/2p5/4PP2/2NPBNP1/PPP3BP/R2Q1RK1 w - -
205,1rbq1rk1/pp2npbp/3pp1p1/2p5/3nPP2/2NPBNP1/PPPQ2BP/R4RK1 w - -
228,1rbq1rk1/pp2ppbp/2np1np1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -
140,1rbq1rk1/pp2ppbp/2np1np1/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 b - -
136,1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP1NPP/PPP2PB1/R1BQ1RK1 w - -
135,1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP2PP/PPP1NPB1/R1BQ1RK1 w - -
319,1rbq1rk1/pp2ppbp/2np1np1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w - -
251,1rbq1rk1/pp2ppbp/2np1np1/2p5/4PP2/2NP1NPP/PPP3B1/R1BQ1RK1 b - -
237,1rbq1rk1/pp2ppbp/2np1np1/8/4P3/2N3P1/PPP1NPBP/R1BQ1RK1 w - -
205,1rbq1rk1/pp2ppbp/2np1np1/8/P3P3/2N3P1/1PP1NPBP/R1BQ1RK1 b - -
145,1rbq1rk1/pp2ppbp/3p1np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 w - -
210,1rbq1rk1/pp2ppbp/n2p1np1/2pP4/4PP2/2NB1N2/PPP3PP/R1BQ1RK1 w - -
105,1rbq1rk1/ppp1ppbp/2np1np1/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -
513,1rbq1rk1/ppp1ppbp/2np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -
154,1rbq1rk1/ppp1ppbp/2np1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 b - -
703,1rbqk1nr/p3ppbp/2np2p1/1pp5/4P3/2NPB1P1/PPPQ1PBP/R3K1NR w KQk -
426,1rbqk1nr/p3ppbp/2np2p1/1pp5/4P3/2NPB1P1/PPPQNPBP/R3K2R b KQk -
102,1rbqk1nr/p3ppbp/2np2p1/1pp5/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQk -
176,1rbqk1nr/p3ppbp/2np2p1/1pp5/4PP2/2NPB1P1/PPPQ2BP/R3K1NR b KQk -
237,1rbqk1nr/p3ppbp/2np2p1/2p5/1p2P3/2NPB1P1/PPPQNPBP/R3K2R w KQk -
281,1rbqk1nr/p3ppbp/2np2p1/2p5/1p2P3/3PB1P1/PPPQNPBP/R2NK2R b KQk -
138,1rbqk1nr/p3ppbp/2np2p1/2p5/1p2PP2/2NPB1P1/PPPQ2BP/R3K1NR w KQk -
152,1rbqk1nr/p3ppbp/2np2p1/2p5/1p2PP2/3PB1P1/PPPQ2BP/R2NK1NR b KQk -
175,1rbqk1nr/p3ppbp/3p2p1/1pp5/3nP3/2NPB1P1/PPPQNPBP/R3K2R w KQk -
160,1rbqk1nr/p3ppbp/3p2p1/1pp5/3nP3/2NPB1P1/PPPQNPBP/R4RK1 b k -
202,1rbqk1nr/p3ppbp/3p2p1/2p5/1p1nP3/3PB1P1/PPPQNPBP/R2N1RK1 b k -
169,1rbqk1nr/p3ppbp/3p2p1/2p5/1p1nP3/3PB1P1/PPPQNPBP/R2NK2R w KQk -
113,1rbqk1nr/p4pbp/3pp1p1/1pp5/3nP3/2NPB1P1/PPPQNPBP/R4RK1 w k -
108,1rbqk1nr/p4pbp/3pp1p1/2p5/1p1nP3/3PB1P1/PPPQ1PBP/R1NN1RK1 b k -
131,1rbqk1nr/p4pbp/3pp1p1/2p5/1p1nP3/3PB1P1/PPPQNPBP/R2N1RK1 w k -
232,1rbqk1nr/pp1pppbp/2n3p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR b KQk -
116,1rbqk1nr/pp1pppbp/2n3p1/2p5/4PP2/2NP2P1/PPP3BP/R1BQK1NR b KQk -
834,1rbqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR w KQk -
763,1rbqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB1P1/PPPQ1PBP/R3K1NR b KQk -
141,1rbqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R b KQk -
159,1rbqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2NP2P1/PPP3BP/R1BQK1NR w KQk -
482,1rbqk1nr/pp3pbp/2npp1p1/2p5/4P3/2NPB1P1/PPPQ1PBP/R3K1NR w KQk -
264,1rbqk1nr/pp3pbp/2npp1p1/2p5/4P3/2NPB1P1/PPPQNPBP/R3K2R b KQk -
202,1rbqk1nr/pp3pbp/3pp1p1/2p5/3nP3/2NPB1P1/PPPQNPBP/R3K2R w KQk -
119,1rbqk1nr/pp3pbp/3pp1p1/2p5/3nP3/2NPB1P1/PPPQNPBP/R4RK1 b k -
175,1rbqk2r/1pp1bppp/p1n1pn2/8/2pPP3/2N2NP1/PP3PBP/R1BQ1RK1 w k -
317,1rbqk2r/2p2ppp/1bnp1n2/1p2p3/3PP3/1BP2N2/1P3PPP/RNBQ1RK1 w k -
179,1rbqk2r/2p2ppp/1bnp1n2/1p2p3/3PP3/NBP2N2/1P3PPP/R1BQ1RK1 b k -
112,1rbqk2r/2p2ppp/2np1n2/1pb1p3/4P3/1BP2N2/1P1P1PPP/RNBQ1RK1 w k -
102,1rbqk2r/2p2ppp/3p1n2/1p2n3/3QP3/1B6/1PP2PPP/RNB2RK1 w k -
470,1rbqk2r/2p2ppp/p1np1n2/1pb1p3/P2PP3/1BP2N2/1P3PPP/RNBQ1RK1 b k -
103,1rbqk2r/2p2ppp/p1np1n2/1pb1p3/P3P3/1B1P1N2/1PP2PPP/RNBQ1RK1 w k -
535,1rbqk2r/2p2ppp/p1np1n2/1pb1p3/P3P3/1BP2N2/1P1P1PPP/RNBQ1RK1 w k -
227,1rbqk2r/2p2ppp/pbnp1n2/1P2p3/3PP3/1BP2N2/1P3PPP/RNBQ1RK1 b k -
597,1rbqk2r/2p2ppp/pbnp1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQ1RK1 w k -
166,1rbqk2r/2p2ppp/pbnp1n2/1p2p3/P2PP3/NBP2N2/1P3PPP/R1BQ1RK1 b k -
156,1rbqk2r/2p2ppp/pbnp1n2/Pp2p3/3PP3/1BP2N2/1P3PPP/RNBQ1RK1 b k -
102,1rbqk2r/2pp1ppp/2n2n2/1pb1N3/4P3/1B6/1PPP1PPP/RNBQ1RK1 b k -
191,1rbqk2r/2pp1ppp/2n2n2/1pb1p3/4P3/1B3N2/1PPP1PPP/RNBQ1RK1 w k -
100,1rbqk2r/2pp1ppp/5n2/1p2n3/3QP3/1B6/1PP2PPP/RNB2RK1 b k -
100,1rbqk2r/2pp1ppp/5n2/1p2n3/3bP3/1B6/1PP2PPP/RNBQ1RK1 w k -
101,1rbqk2r/2pp1ppp/5n2/1pb1n3/3PP3/1B6/1PP2PPP/RNBQ1RK1 b k -
102,1rbqk2r/2pp1ppp/5n2/1pb1n3/4P3/1B6/1PPP1PPP/RNBQ1RK1 w k -
191,1rbqk2r/2pp1ppp/p1n2n2/1Pb1p3/4P3/1B3N2/1PPP1PPP/RNBQ1RK1 b k -
621,1rbqk2r/2pp1ppp/p1n2n2/1pb1p3/P3P3/1B3N2/1PPP1PPP/RNBQ1RK1 w k -
371,1rbqk2r/2pp1ppp/p1n2n2/1pb1p3/P3P3/1BP2N2/1P1P1PPP/RNBQ1RK1 b k -
143,1rbqk2r/3pbppp/pPn5/2pQ4/2B1P3/5N2/PP3PPP/R1B1K2R b KQk -
153,1rbqk2r/3pbppp/pPn5/2pQ4/4P3/5N2/PP3PPP/R1B1KB1R w KQk -
133,1rbqk2r/5ppp/p1np1b2/1p1Np3/4P3/2P5/PPN2PPP/R2QKB1R b KQk -
137,1rbqk2r/5ppp/p1np1b2/1p1Np3/4P3/N1P5/PP3PPP/R2QKB1R w KQk -
168,1rbqk2r/5ppp/p1np1b2/3Np3/1pP1P3/1P6/P1N2PPP/R2QKB1R b KQk -
273,1rbqk2r/5ppp/p1np1b2/3Np3/1pP1P3/8/PPN2PPP/R2QKB1R w KQk -
364,1rbqk2r/5ppp/p1np4/1p1Np1b1/4P3/2P5/PPN2PPP/R2QKB1R w KQk -
155,1rbqk2r/5ppp/p1np4/1p1Np1b1/P3P3/2P5/1PN2PPP/R2QKB1R b KQk -
145,1rbqk2r/5ppp/p1np4/3Np1b1/p3P3/2P5/1PN2PPP/R2QKB1R w KQk -
131,1rbqk2r/5ppp/p1np4/3Np1b1/pN2P3/2P5/1P3PPP/R2QKB1R b KQk -
118,1rbqk2r/b1p2ppp/p1np1n2/Pp2p3/3PP3/1BP2N1P/1P3PP1/RNBQ1RK1 b k -
152,1rbqk2r/b1p2ppp/p1np1n2/Pp2p3/3PP3/1BP2N2/1P3PPP/RNBQ1RK1 w k -
154,1rbqk2r/p2pppbp/6p1/3QP3/8/4B3/PPP2PPP/R3KB1R w KQk -
164,1rbqk2r/ppp2ppp/2n1p3/8/QnpP4/5NP1/PP2PPBP/RN3RK1 w k -
238,1rbqkb1r/1pp2ppp/p1n1pn2/8/2pP4/2N2NP1/PP2PPBP/R1BQ1RK1 w k -
216,1rbqkb1r/1pp2ppp/p1n1pn2/8/2pPP3/2N2NP1/PP3PBP/R1BQ1RK1 b k -
148,1rbqkb1r/3p1ppp/pPn5/2pQ4/4P3/5N2/PP3PPP/R1B1KB1R b KQk -
246,1rbqkb1r/3p1ppp/pPn5/2pQ4/8/5N2/PP2PPPP/R1B1KB1R w KQk -
102,1rbqkb1r/p1p2ppp/2n1pn2/1p6/2pP4/2N2NP1/PP2PPBP/R1BQ1RK1 w k -
131,1rbqkb1r/p4ppp/2p2n2/nB2p1N1/8/5Q2/PPPP1PPP/RNB1K2R w KQk -
101,1rbqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R w KQk -
165,1rbqkb1r/ppp2ppp/2n1pn2/8/2pP4/2N2NP1/PP2PPBP/R1BQ1RK1 b k -
363,1rbqkb1r/ppp2ppp/2n1pn2/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w k -
198,1rbqnrk1/1p2ppbp/p1np2p1/2p5/P1P1P3/2NP2PP/1P2NPB1/R1BQ1RK1 w - -
175,1rbqnrk1/1p2ppbp/p1np2p1/2p5/P1P1P3/2NPB1PP/1P2NPB1/R2Q1RK1 b - -
446,1rbqr1k1/1p1n1pbp/p2p1np1/2pP4/P1N5/2N3PP/1P2PPB1/R1BQ1RK1 b - -
494,1rbqr1k1/1p1n1pbp/p2p1np1/2pP4/P7/2N3PP/1P1NPPB1/R1BQ1RK1 w - -
280,1rbqr1k1/1p3pbp/p2p1np1/2pPn3/P1N5/2N3PP/1P2PPB1/R1BQ1RK1 w - -
277,1rbqr1k1/1p3pbp/p2p1np1/2pPn3/P7/N1N3PP/1P2PPB1/R1BQ1RK1 b - -
205,1rbqr1k1/1p3pbp/p2p2p1/2pPn2n/P3P3/N1N3PP/1P3PB1/R1BQ1RK1 b - -
247,1rbqr1k1/1p3pbp/p2p2p1/2pPn2n/P7/N1N3PP/1P2PPB1/R1BQ1RK1 w - -
162,1rbqr1k1/1p3pbp/pn1p1np1/2pP4/P1N5/2N3PP/1P2PPB1/R1BQ1RK1 w - -
154,1rbqr1k1/1p3pbp/pn1p1np1/2pP4/P7/N1N3PP/1P2PPB1/R1BQ1RK1 b - -
204,1rbqr1k1/1ppn1pbp/p2p1np1/8/2PNP3/2N1B1PP/PP3PB1/R2Q1RK1 w - -
107,1rbqr1k1/1ppn1pbp/p2p1np1/8/2PNP3/2N3PP/PP3PB1/1RBQR1K1 b - -
263,1rbqr1k1/1ppn1pbp/p2p1np1/8/2PNP3/2N3PP/PP3PB1/R1BQR1K1 w - -
117,1rq1k2r/3p1ppp/p1p1p3/2bnP3/8/8/PPP1BPPP/R1BQ1RK1 w k -
159,1rq1k2r/3pbppp/p1p1p3/3nP3/8/4B3/PPP1BPPP/R2Q1RK1 w k -
142,1rq1k2r/3pbppp/p1p1p3/3nP3/8/8/PPP1BPPP/R1BQ1RK1 b k -
159,1rq1k2r/3pbppp/p1p1pn2/4P3/8/4B3/PPP1BPPP/R2Q1RK1 b k -
444,1rq1k2r/3pbppp/p1p1pn2/8/3BP3/8/PPP1BPPP/R2Q1RK1 b k -
617,1rq1k2r/3pbppp/p1p1pn2/8/4P3/4B3/PPP1BPPP/R2Q1RK1 w k -
281,1rq1k2r/3pbppp/p3pn2/2p1B3/4P3/8/PPP1BPPP/R2Q1RK1 b k -
