#Event,WhiteElo,BlackElo,Result
109,2065,2282,0-1
110,2467,2109,1-0
111,2469,2663,1/2-1/2
112,2371,1822,1-0
113,2432,2120,1-0
114,1903,1633,1/2-1/2
115,2359,2356,1-0
116,1935,2210,1/2-1/2
117,2543,2176,1-0
118,2523,1960,1-0
119,2527,2507,1-0
120,2368,2222,0-1
121,2552,2331,1-0
122,2253,2156,1-0
123,2430,2410,1/2-1/2
124,2391,2170,1-0
125,2276,2455,1/2-1/2
126,2706,2739,0-1
127,2087,2372,0-1
128,2595,2614,1-0
129,2476,2169,1-0
130,1861,1513,1-0
131,2427,2322,0-1
132,2577,2574,0-1
133,2489,2621,1/2-1/2
134,2409,2354,1/2-1/2
135,2191,1991,1/2-1/2
136,1585,1613,1-0
137,1612,1580,1/2-1/2
138,2069,2515,0-1
139,2392,2295,1/2-1/2
140,2072,2251,0-1
141,2451,2655,0-1
142,2484,2463,0-1
143,2597,2605,1/2-1/2
144,2090,1658,1-0
145,2409,1936,1/2-1/2
146,2126,2168,1-0
147,2480,1799,1-0
148,2250,2122,0-1
149,2164,2191,1/2-1/2
150,2211,2317,1/2-1/2
151,2013,2245,0-1
152,2437,2359,1-0
153,2050,2088,1-0
154,1846,2337,0-1
155,2275,2422,1-0
156,2225,2050,1/2-1/2
157,2230,1846,1-0
158,2336,2225,0-1
159,1788,2212,0-1
160,1965,2083,0-1
161,2469,2608,0-1
162,2319,2107,1-0
163,1876,1904,1/2-1/2
164,2556,2693,0-1
165,2512,2571,1-0
166,2298,2202,0-1
167,2430,2550,1-0
168,2329,2468,1-0
169,2253,2046,1/2-1/2
170,2554,2607,1/2-1/2
171,2075,2369,0-1
172,2030,2232,1-0
173,2346,2114,1-0
174,2347,2479,0-1
175,1985,2255,0-1
176,2390,2034,1-0
177,2298,2516,0-1
178,2284,2092,0-1
179,2177,2356,1/2-1/2
180,2145,2351,1/2-1/2
181,2316,2242,1/2-1/2
182,2160,2047,1-0
183,2017,1958,1-0
184,2334,2166,1/2-1/2
185,2119,2363,0-1
186,1956,1945,1-0
187,2559,2440,1/2-1/2
188,2091,2581,0-1
189,2506,2498,1/2-1/2
190,2144,2068,1-0
191,2591,2590,0-1
192,2330,2151,1-0
193,2229,2457,1/2-1/2
194,2538,2394,1/2-1/2
195,2411,2201,1-0
196,2442,2171,1-0
197,1915,1803,0-1
198,2398,2053,1-0
199,2022,2205,0-1
200,2154,2307,0-1
201,2287,2496,1/2-1/2
202,2167,1758,1-0
203,1818,1837,1-0
204,1922,2363,0-1
205,2549,2185,1-0
206,2548,2477,0-1
207,2049,2309,1/2-1/2
208,2585,2546,0-1
209,2625,2244,1-0
210,2505,2287,1-0
211,2172,2351,0-1
212,2525,2150,1-0
213,2624,2621,1/2-1/2
214,2160,2275,0-1
215,1641,1543,1/2-1/2
216,2459,2312,1-0
217,2311,2492,1-0
218,2379,2091,1/2-1/2
219,2359,2353,1/2-1/2
220,2260,2204,1-0
221,2039,1872,1/2-1/2
222,2129,2003,1-0
223,2190,2306,1-0
224,1778,1959,1-0
225,2091,2419,0-1
226,2205,2310,0-1
227,2194,2024,1-0
228,2379,2297,1-0
229,2436,2263,1/2-1/2
230,2263,2307,1/2-1/2
231,2442,2280,1-0
232,1894,2465,0-1
233,1683,2086,0-1
234,2140,2375,0-1
235,2411,2493,1-0
236,2231,1858,1-0
237,2165,1850,1/2-1/2
238,1639,1924,0-1
239,2264,1692,1-0
240,2257,2101,1/2-1/2
241,2045,2387,0-1
242,2221,1981,1-0
243,2408,2399,1/2-1/2
244,2506,2194,1-0
245,2773,2761,1/2-1/2
246,2699,2764,1/2-1/2
247,1640,1464,1-0
248,2026,2447,0-1
249,2497,2554,1/2-1/2
250,2229,2051,1-0
251,2388,2233,1-0
252,2366,2394,1/2-1/2
253,2504,2519,1/2-1/2
254,2142,1858,1-0
255,2159,2076,1/2-1/2
256,2705,2577,1-0
257,2449,2303,1-0
258,1972,2356,0-1
259,1969,2228,1/2-1/2
260,2517,2053,1-0
261,2625,2503,1/2-1/2
262,2531,2017,1-0
263,2540,2662,1-0
264,2209,1916,1/2-1/2
265,2328,2318,0-1
266,1649,2188,0-1
267,2044,2181,0-1
268,2187,2029,1/2-1/2
269,1978,2186,1/2-1/2
270,2312,2011,1-0
271,1904,2091,0-1
272,2464,2493,1/2-1/2
273,1657,2123,0-1
274,1651,1508,1-0
275,2061,2145,0-1
276,2256,2377,0-1
277,2442,2397,0-1
278,2161,2532,1/2-1/2
279,2208,1999,1/2-1/2
280,2666,2548,1/2-1/2
281,2224,2428,0-1
282,2414,2404,1/2-1/2
283,2394,2255,1-0
284,2255,2159,1-0
285,2030,2183,0-1
286,2032,2279,0-1
287,2206,1969,1-0
288,2174,2261,1-0
289,2387,2222,1-0
290,2368,2125,1-0
291,2368,1811,1-0
292,2466,2270,1-0
293,2511,2403,1-0
294,2223,1912,1-0
295,2515,2007,1-0
296,2354,2491,1/2-1/2
297,1902,2153,1/2-1/2
298,2603,2417,1-0
299,1623,2146,0-1
300,2037,1582,1-0
301,2437,2387,1/2-1/2
302,2225,2234,1-0
303,2191,2520,1-0
304,2265,2381,0-1
305,2138,1835,1-0
306,2078,2639,0-1
307,1989,2174,0-1
308,2084,2461,0-1
309,2554,2288,1-0
310,2064,2174,0-1
311,2364,2398,1/2-1/2
312,2149,2446,1-0
313,1960,2044,0-1
314,2241,2439,0-1
315,2431,2717,0-1
316,2302,2042,1-0
317,2552,2511,1-0
318,2479,2310,0-1
319,2484,2349,1-0
320,1974,2140,0-1
321,2651,2477,1-0
322,1313,1842,0-1
323,1745,2011,0-1
324,2309,2608,0-1
325,1897,1475,1-0
326,2712,2625,1/2-1/2
327,2464,2424,0-1
328,2348,1881,1-0
329,2198,1968,1-0
330,2638,2388,1/2-1/2
331,2427,2202,1-0
332,2525,2138,1-0
333,2521,2344,1-0
334,2577,2466,0-1
335,1854,1705,1-0
336,2695,2612,1/2-1/2
337,2528,2190,1-0
338,2345,2534,0-1
339,2556,2302,1-0
340,2454,2472,1/2-1/2
341,2645,2464,1/2-1/2
342,2066,1763,1/2-1/2
343,2568,2440,1-0
344,2470,2226,1-0
345,1884,2547,0-1
346,2374,2554,1/2-1/2
347,1846,1765,0-1
348,2048,1848,0-1
349,1921,2308,0-1
350,2136,2243,1-0
351,2301,2119,1/2-1/2
352,2009,2293,0-1
353,1915,2105,1-0
354,2596,2291,1-0
355,2166,2416,0-1
356,2645,2302,1-0
357,1939,2052,1/2-1/2
358,2312,2067,0-1
359,2543,2412,1-0
360,2138,1927,1-0
361,2457,2309,1/2-1/2
362,2481,2252,1/2-1/2
363,2210,1971,1-0
364,2392,2275,1/2-1/2
365,2209,2338,1/2-1/2
366,2631,2711,1-0
367,2123,2358,1/2-1/2
368,2015,2507,0-1
369,2250,2507,1/2-1/2
370,1735,1822,0-1
371,1904,2030,1-0
372,1967,2215,1/2-1/2
373,2457,2063,1-0
374,2224,2356,0-1
375,2144,2534,0-1
376,1959,2095,0-1
377,2249,2011,1-0
378,2350,2521,0-1
379,2497,2351,1-0
380,2404,2414,1-0
381,2583,2206,1-0
382,2274,1797,1-0
383,1937,2155,1/2-1/2
384,2164,2434,1-0
385,2395,2270,0-1
386,2184,2473,1/2-1/2
387,2667,2375,1-0
388,2488,2531,0-1
389,2128,1965,1-0
390,2693,2469,1/2-1/2
391,2521,2475,1/2-1/2
392,2095,2193,1/2-1/2
393,1848,2074,0-1
394,2053,2205,0-1
395,2006,1835,1/2-1/2
396,2375,2249,1-0
397,2255,2235,1-0
398,2173,2400,1/2-1/2
399,2445,2583,1-0
400,1814,2042,0-1
401,2049,2328,0-1
402,1872,2288,0-1
403,2292,2593,1-0
404,2465,2710,0-1
405,2405,2539,1/2-1/2
406,2457,2201,1-0
407,2177,2024,1-0
408,2182,1869,1/2-1/2
409,1679,1780,0-1
410,1767,2455,0-1
411,2409,2573,1/2-1/2
412,2127,2498,0-1
413,2453,2510,1-0
414,2203,2365,1-0
415,2313,2366,1/2-1/2
416,1730,1921,1/2-1/2
417,2398,2370,0-1
418,2176,2359,0-1
419,2240,2223,1-0
420,2664,2610,1-0
421,2566,2501,0-1
422,2678,2734,1-0
423,1982,2324,1/2-1/2
424,2237,2209,1/2-1/2
425,1949,1803,1-0
426,2370,2601,0-1
427,2299,2494,0-1
428,2433,2377,1/2-1/2
429,2639,2368,1/2-1/2
430,2004,1886,1-0
431,2551,2205,1/2-1/2
432,2460,2226,1-0
433,1663,1948,1/2-1/2
434,2272,2445,0-1
435,2312,2596,1/2-1/2
436,2366,2516,0-1
437,2066,2198,0-1
438,2405,2445,0-1
439,2451,2187,1-0
440,2520,2630,1/2-1/2
441,2309,2356,1/2-1/2
442,1553,1694,1-0
443,1778,2025,1-0
444,2082,1884,0-1
445,2271,2379,1/2-1/2
446,1880,2032,0-1
447,2429,2049,1-0
448,1895,2347,0-1
449,2314,2552,0-1
450,2216,2304,1/2-1/2
451,1898,2460,0-1
452,2315,2456,0-1
453,2220,2134,1/2-1/2
454,2395,2060,1-0
455,2286,2255,1/2-1/2
456,1896,2077,1-0
457,2335,2436,1-0
458,2786,2772,1/2-1/2
459,2261,2427,1/2-1/2
460,2232,2037,0-1
461,2330,2563,0-1
462,2536,2421,1/2-1/2
463,1747,2262,0-1
464,2421,2159,1/2-1/2
465,2349,2597,0-1
466,2490,2422,1/2-1/2
467,2548,2118,1/2-1/2
468,2415,2416,1/2-1/2
469,1611,1825,0-1
470,2001,1818,0-1
471,2039,2248,1-0
472,2153,2294,0-1
473,2318,1767,1-0
474,1951,2213,1/2-1/2
475,2269,2058,1-0
476,2513,2392,0-1
477,2312,2417,0-1
478,2230,2182,1/2-1/2
479,2430,2126,1-0
480,2543,2399,1-0
481,1836,2301,1-0
482,2342,2259,1-0
483,2167,1922,1-0
484,2686,2439,1-0
485,2371,2436,1-0
486,1712,1747,0-1
487,2007,1889,1-0
488,2454,2218,1/2-1/2
489,2526,2409,1-0
490,1902,2117,0-1
491,2465,2474,1/2-1/2
492,2070,2156,1/2-1/2
493,1712,2011,0-1
494,2272,2153,1-0
495,2050,2084,1-0
496,2130,1890,1-0
497,2647,2556,1-0
498,2544,2695,0-1
499,2285,2356,0-1
500,2355,2092,1/2-1/2
501,2607,2269,1-0
502,1634,1610,1-0
503,1817,1528,1-0
504,2422,2275,1-0
505,2132,2264,0-1
506,2376,1871,1-0
507,2385,2482,1-0
508,1888,1690,1/2-1/2
509,2635,2562,1/2-1/2
510,2257,2145,1/2-1/2
511,1669,2023,0-1
512,2573,2487,1-0
513,1698,1754,1/2-1/2
514,2053,2340,0-1
515,2138,2335,0-1
516,2257,2308,1-0
517,2224,2026,1-0
518,2454,2482,0-1
519,2254,2646,0-1
520,1950,2083,1/2-1/2
521,2467,2327,1/2-1/2
522,2344,2407,1/2-1/2
523,2588,2549,1/2-1/2
524,1772,1753,1/2-1/2
525,2315,2480,0-1
526,2035,2145,0-1
527,2254,2325,0-1
528,2282,2356,1/2-1/2
529,1980,2212,1-0
530,1881,2295,0-1
531,2114,2113,1/2-1/2
532,2025,2103,0-1
533,2322,2315,1-0
534,2234,2379,1/2-1/2
535,1990,1820,1/2-1/2
536,2316,2531,1/2-1/2
537,2195,2094,0-1
538,2259,2422,1/2-1/2
539,2327,2463,1-0
540,2024,2189,1/2-1/2
541,2480,1931,1-0
542,2506,2238,1-0
543,2496,2458,1-0
544,1865,1770,0-1
545,2108,1867,1/2-1/2
546,2578,2491,0-1
547,2503,2610,1-0
548,2269,2023,1/2-1/2
549,2393,2171,1-0
550,2098,2135,1-0
551,1914,2054,1/2-1/2
552,2418,2180,1-0
553,1908,1755,1-0
554,2364,1880,1-0
555,2524,2124,1-0
556,2111,2025,1-0
557,2305,2360,1/2-1/2
558,2441,1967,1-0
559,2567,2283,1-0
560,1932,2153,0-1
561,2117,1664,1-0
562,2277,2273,1/2-1/2
563,2026,1787,1-0
564,1924,1707,1-0
565,2246,2261,0-1
566,2342,2204,1-0
567,2380,2239,1-0
568,2483,2526,1/2-1/2
569,2497,2312,1-0
570,2321,2274,1/2-1/2
571,2275,2409,1-0
572,2369,2207,1/2-1/2
573,2411,2673,0-1
574,2693,2529,1-0
575,2192,2386,1/2-1/2
576,1726,1999,0-1
577,2241,2031,1/2-1/2
578,2450,2683,1/2-1/2
579,1583,1880,0-1
580,2273,2032,1/2-1/2
581,2124,2013,1/2-1/2
582,1975,1731,1/2-1/2
583,2252,2360,1/2-1/2
584,1916,2221,0-1
585,2348,2628,1/2-1/2
586,2246,2325,0-1
587,2610,2517,1/2-1/2
588,2072,1743,1-0
589,2350,2414,0-1
590,2098,1932,1-0
591,2202,1941,1-0
592,2251,2212,1/2-1/2
593,2188,1915,1-0
594,2431,2187,1/2-1/2
595,1824,1940,1-0
596,2663,2521,1/2-1/2
597,2265,2569,0-1
598,2261,1961,1/2-1/2
599,2410,2549,0-1
600,2459,2408,1-0
601,2481,2445,1/2-1/2
602,2076,2080,1/2-1/2
603,1716,1845,0-1
604,2601,2602,1/2-1/2
605,2302,2014,1-0
606,1647,1753,1-0
607,2107,1876,1-0
608,1933,1797,1-0
609,1781,2034,1-0
610,2068,2208,1/2-1/2
611,2306,2229,1/2-1/2
612,2483,2321,1-0
613,2366,2569,1-0
614,1901,2201,1/2-1/2
615,2628,2616,1/2-1/2
616,2638,2636,1/2-1/2
617,2391,2473,1-0
618,2508,2216,1-0
619,2403,2232,1/2-1/2
620,1976,2273,0-1
621,2378,2274,1-0
622,2405,2274,1-0
623,1598,2319,0-1
624,1986,1642,1-0
625,2244,2290,1-0
626,2510,2549,1-0
627,2100,2224,0-1
628,2411,2432,1-0
629,2621,2444,1/2-1/2
630,2375,2339,0-1
631,2490,2562,1/2-1/2
632,2170,2018,1/2-1/2
633,2562,2487,1/2-1/2
634,2580,2779,1-0
635,2595,2653,1/2-1/2
636,2261,2442,0-1
637,2251,2059,0-1
638,1836,2096,1/2-1/2
639,2200,2139,0-1
640,2244,1984,1-0
641,2375,2139,1-0
642,2506,2468,1-0
643,2164,2395,1/2-1/2
644,2110,2288,0-1
645,2365,2422,1-0
646,1741,2095,0-1
647,2181,2351,1/2-1/2
648,2558,2494,0-1
649,2380,2199,1-0
650,2451,2108,1/2-1/2
651,2378,2177,1-0
652,2069,2345,0-1
653,2605,2575,0-1
654,1889,1936,0-1
655,2135,2258,0-1
656,2121,2207,1-0
657,2355,2166,0-1
658,1790,1727,1-0
659,2366,2409,1/2-1/2
660,2612,2434,1/2-1/2
661,2344,2101,1-0
662,2162,2271,1-0
663,2154,2108,1-0
664,1950,1912,1-0
665,2575,2498,1-0
666,1926,2126,0-1
667,2235,2440,0-1
668,2295,2307,1/2-1/2
669,2711,2226,1-0
670,2018,1847,1-0
671,2006,1998,0-1
672,2385,2148,1-0
673,2553,2464,1-0
674,2391,2312,1-0
675,2239,2094,0-1
676,2657,2530,1-0
677,1774,1997,1-0
678,2438,2354,1-0
679,2393,2489,0-1
680,2746,2702,1-0
681,2580,2463,1-0
682,2550,2480,1/2-1/2
683,2476,2287,1-0
684,2261,2527,1-0
685,2513,2494,1/2-1/2
686,1987,2321,0-1
687,1806,1546,1/2-1/2
688,2069,1934,1-0
689,1676,2046,1/2-1/2
690,2598,2461,1-0
691,1973,2248,0-1
692,1872,1718,1-0
693,2288,2475,1/2-1/2
694,2615,2677,1/2-1/2
695,1852,2083,1/2-1/2
696,2318,2349,1/2-1/2
697,2136,2051,0-1
698,2350,2547,1/2-1/2
699,2281,2377,1/2-1/2
700,2566,2501,1-0
701,1909,1824,1-0
702,2153,2463,1/2-1/2
703,2442,2437,1-0
704,2571,2084,1-0
705,2324,2509,1/2-1/2
706,2384,2350,1-0
707,1508,1844,0-1
708,2284,1969,0-1
709,2436,2468,1/2-1/2
710,1810,1921,1/2-1/2
711,2390,2076,0-1
712,2399,2404,0-1
713,2486,2366,1/2-1/2
714,2315,2549,1/2-1/2
715,2254,2074,1/2-1/2
716,2379,2617,0-1
717,2377,2329,1-0
718,2308,2131,1/2-1/2
719,2388,2529,1-0
720,1616,1483,1-0
721,2207,2095,0-1
722,1714,1949,1-0
723,2346,2259,1-0
724,2461,2178,1-0
725,2532,2234,1-0
726,2404,2314,1/2-1/2
727,2324,2376,1-0
728,2157,2050,1-0
729,2083,2100,0-1
730,2238,2366,0-1
731,1829,1532,1-0
732,1955,1919,1/2-1/2
733,2460,2139,1-0
734,2547,2353,1-0
735,2312,2399,1/2-1/2
736,1577,1809,0-1
737,1993,1812,1/2-1/2
738,2132,2553,0-1
739,2430,2418,0-1
740,1849,2223,0-1
741,2343,2275,1/2-1/2
742,2051,2380,0-1
743,2437,2533,1-0
744,2221,2336,0-1
745,2299,2207,1-0
746,2404,2444,1/2-1/2
747,2194,2339,1/2-1/2
748,2275,2098,1-0
749,2111,2301,0-1
750,2029,1471,1-0
751,2100,1940,0-1
752,2032,1932,1-0
753,1972,1921,0-1
754,2406,2498,1/2-1/2
755,2156,1956,1/2-1/2
756,2425,2533,0-1
757,1731,2063,0-1
758,2493,2529,1/2-1/2
759,1944,2152,0-1
760,2330,2206,1-0
761,2296,2496,0-1
762,2293,2580,0-1
763,2259,2327,1/2-1/2
764,2194,1905,1-0
765,1527,2054,0-1
766,2512,2453,1/2-1/2
767,2352,2474,1-0
768,2194,2068,0-1
769,2509,2322,1-0
770,1894,2048,0-1
771,2333,2138,1-0
772,2590,2484,1/2-1/2
773,1828,2102,0-1
774,2009,2437,0-1
775,2108,1962,0-1
776,2291,2423,0-1
777,2116,1608,1-0
778,2578,2648,1/2-1/2
779,1881,2101,1/2-1/2
780,2561,2449,1-0
781,2457,2226,0-1
782,2107,2006,1-0
783,1949,2003,1-0
784,2515,2414,1/2-1/2
785,2458,2576,1-0
786,2783,2756,1-0
787,2517,2379,1-0
788,2408,2460,1/2-1/2
789,2458,2456,1/2-1/2
790,2305,2270,1/2-1/2
791,1968,1172,1-0
792,2655,2541,1/2-1/2
793,2199,2395,0-1
794,2402,2569,0-1
795,2441,2567,1/2-1/2
796,2130,1962,1-0
797,1836,2161,0-1
798,2147,1768,1-0
799,2663,2589,1-0
800,2740,2676,1-0
801,2208,2384,0-1
802,2310,2391,1/2-1/2
803,1744,2045,0-1
804,2327,2637,0-1
805,2316,1929,1/2-1/2
806,2058,1767,1-0
807,2012,2313,0-1
808,2174,2368,0-1
809,2589,2288,1-0
810,2397,2297,1-0
811,2327,2105,1-0
812,2285,2433,1/2-1/2
813,2388,2311,1/2-1/2
814,2101,1984,1-0
815,1896,1557,1-0
816,2369,2558,1/2-1/2
817,2213,1975,1/2-1/2
818,2402,2579,0-1
819,2286,2314,0-1
820,2560,2368,1/2-1/2
821,2137,2288,1/2-1/2
822,2337,2267,1-0
823,2154,1956,1-0
824,2560,2682,0-1
825,2107,2155,0-1
826,2635,2611,1-0
827,2602,2518,1/2-1/2
828,2437,2453,0-1
829,2319,2281,1/2-1/2
830,2036,2425,0-1
831,2025,2416,1/2-1/2
832,2156,1610,1-0
833,2046,2245,0-1
834,2475,2457,1-0
835,2333,1803,1-0
836,1588,1987,0-1
837,2488,2281,1/2-1/2
838,2604,2399,1-0
839,2217,2436,0-1
840,2475,2688,1/2-1/2
841,2632,2706,1-0
842,2484,2638,1/2-1/2
843,2607,2452,1-0
844,2275,2319,0-1
845,2440,2325,1-0
846,2122,2058,0-1
847,2043,1802,1-0
848,2531,2678,0-1
849,2390,2514,0-1
850,1755,1713,1/2-1/2
851,2296,2185,1/2-1/2
852,2409,2537,1/2-1/2
853,2580,2661,1/2-1/2
854,2509,2462,0-1
855,2330,2449,1/2-1/2
856,2291,2605,0-1
857,2311,2458,1/2-1/2
858,2176,1865,1/2-1/2
859,2387,2434,1-0
860,2005,2057,0-1
861,2159,2329,0-1
862,2389,2488,0-1
863,2629,2609,1-0
864,2125,2256,1/2-1/2
865,2305,2143,0-1
866,2193,2421,1-0
867,2251,2449,1/2-1/2
868,2247,2412,1/2-1/2
869,1989,1848,1/2-1/2
870,1983,1358,1-0
871,2474,2463,1-0
872,2443,2482,0-1
873,2661,2631,1-0
874,2130,2002,1/2-1/2
875,1822,2200,0-1
876,2357,2407,0-1
877,2270,2031,1-0
878,2008,1854,1/2-1/2
879,2205,2436,1-0
880,2021,2287,1/2-1/2
881,2056,2240,1-0
882,1888,2064,1/2-1/2
883,2253,2292,1-0
884,1858,1680,0-1
885,2076,2324,1/2-1/2
886,2658,2729,1/2-1/2
887,2208,2328,1-0
888,2357,2447,1/2-1/2
889,1278,1688,1/2-1/2
890,2229,2078,1-0
891,1952,1597,1-0
892,2753,2734,0-1
893,2349,2167,0-1
894,2258,1845,1/2-1/2
895,2500,2744,1-0
896,2269,2369,1/2-1/2
897,2749,2663,1/2-1/2
898,2064,2239,1-0
899,2062,1943,0-1
900,2309,2290,0-1
901,2462,2161,1-0
902,2354,2640,0-1
903,2294,2104,1-0
904,2053,2236,0-1
905,2532,2624,0-1
906,2083,2449,0-1
907,2173,2138,1/2-1/2
908,2327,2391,1-0
909,2381,2508,0-1
910,2375,2204,1/2-1/2
911,2131,1708,1-0
912,1957,2142,0-1
913,2549,2630,1/2-1/2
914,2343,2014,1-0
915,2507,2552,0-1
916,2010,2523,0-1
917,2540,2485,1/2-1/2
918,2298,1890,1-0
919,2210,2078,1-0
920,2477,2279,1-0
921,2354,2301,0-1
922,2389,2150,1-0
923,1862,1998,1-0
924,2111,1852,0-1
925,2086,2359,1/2-1/2
926,2406,2330,1/2-1/2
927,2579,2549,0-1
928,1768,2145,1/2-1/2
929,2552,2116,1-0
930,2266,2437,1/2-1/2
931,2305,2248,0-1
932,1862,2119,0-1
933,1972,2096,1/2-1/2
934,2544,2111,1-0
935,2290,2357,1-0
936,1827,1605,1/2-1/2
937,1966,1800,1-0
938,2049,2285,0-1
939,2289,2431,1-0
940,2706,2734,0-1
941,1983,1890,1-0
942,1965,2084,1-0
943,2178,2032,1-0
944,2171,2342,1/2-1/2
945,2246,2429,1/2-1/2
946,2415,2525,1-0
947,1394,1886,0-1
948,2438,2539,1/2-1/2
949,2435,2643,0-1
950,2329,2504,0-1
951,2516,2237,1-0
952,1913,1744,1-0
953,2241,2054,1-0
954,2524,2496,0-1
955,2299,2055,1-0
956,2063,1833,1-0
957,2377,2540,0-1
958,1927,1658,1-0
959,2391,2505,0-1
960,2560,2176,1-0
961,1929,2187,1/2-1/2
962,2281,2174,1-0
963,2253,2137,1-0
964,2402,2062,1-0
965,2347,2107,1-0
966,2244,2367,1/2-1/2
967,2371,1845,1-0
968,2277,2286,1-0
969,2383,2269,1/2-1/2
970,2581,2698,1/2-1/2
971,1961,2239,1/2-1/2
972,1847,2215,0-1
973,2365,1909,1-0
974,2378,1952,1-0
975,2552,2438,1/2-1/2
976,2714,2501,1/2-1/2
977,2412,2063,1-0
978,1640,1795,0-1
979,2238,1958,1/2-1/2
980,2365,2499,1/2-1/2
981,2001,2530,0-1
982,2548,2412,1/2-1/2
983,2360,2464,1/2-1/2
984,2533,2520,0-1
985,2443,2451,1/2-1/2
986,2327,2334,1/2-1/2
987,2331,2677,0-1
988,2381,2295,1/2-1/2
989,2438,2473,1/2-1/2
990,2313,2407,1/2-1/2
991,2247,2166,1-0
992,2090,1729,1-0
993,1766,2105,0-1
994,2364,2398,1-0
995,2226,1997,1-0
996,1926,1753,0-1
997,2168,2148,0-1
998,2537,2312,1-0
999,2084,2281,1/2-1/2
1000,1945,1940,1-0
1001,2227,2306,1/2-1/2
1002,2574,2606,1/2-1/2
1003,2484,2284,0-1
1004,1604,1718,0-1
1005,2019,2117,1-0
1006,2638,2706,1-0
1007,2396,2625,1/2-1/2
1008,2556,2462,1/2-1/2
1009,1967,1794,1-0
1010,2338,2112,1-0
1011,2065,2204,1-0
1012,2352,2387,1/2-1/2
1013,2766,2732,0-1
1014,2118,2287,1-0
1015,1863,1414,1/2-1/2
1016,2239,2003,1/2-1/2
1017,2428,2239,1-0
1018,2109,2331,0-1
1019,2342,2328,0-1
1020,2637,2631,1/2-1/2
1021,2150,2115,1-0
1022,2528,2686,1-0
1023,1757,1818,0-1
1024,2442,2278,0-1
1025,1978,1952,1-0
1026,2075,1905,1-0
1027,2615,2722,1-0
1028,2402,2385,0-1
1029,2785,2673,1-0
1030,2094,2423,1/2-1/2
1031,2400,2488,0-1
1032,1946,1805,1-0
1033,1999,2258,0-1
1034,2506,2457,1-0
1035,2801,2543,1-0
1036,2441,2510,0-1
1037,2067,1893,1/2-1/2
1038,2026,2196,1/2-1/2
1039,2242,2137,1-0
1040,2396,2242,0-1
1041,2471,2583,0-1
1042,2571,2289,1-0
1043,1693,1393,1/2-1/2
1044,2307,2176,1/2-1/2
1045,2704,2617,1/2-1/2
1046,1958,1206,1-0
1047,2488,2417,1/2-1/2
1048,2385,2109,1/2-1/2
1049,2476,2226,1-0
1050,1794,2035,0-1
1051,2202,2285,1-0
