8/8/1k4pp/p7/6rP/2K1R1P1/8/8 b - -,h6h5
r1bq1rk1/pp2ppbp/3p1np1/n7/3NP2P/1BN1BP2/PPP3P1/R2QK2R b KQ h3,a7a6
r3nrk1/2p1q1bp/1p1p1np1/pP1P1p2/P2Pp3/4P3/1BQNBPPP/R4RK1 b - -,g7h6
rnbq1rk1/pp2bppp/1np5/8/5N2/2N1P1P1/PP1P2BP/R1BQ1RK1 b - -,b8d7
r2q1rk1/3n2bp/2p2pp1/p1Ppp1B1/4b3/Q4NPP/PP2PPB1/R2R2K1 w - -,g5d2
7r/pp1k1p2/4p1p1/3pP3/2nPqP1P/P7/1P3B1P/2Q2KR1 w - -,g1g3
1b2r3/1p1qrpk1/p1b1p1p1/P1Pp1n1p/1P1P3P/2N3PN/3QRPB1/4R1K1 w - -,h3f4
8/1pB5/p7/1P3k1p/P1P5/4bpP1/8/5K2 b - -,f5e4
r1r3k1/5ppp/4qn2/1pb1p3/8/1PPQ1PN1/1B4PP/2R1R1K1 w - -,g1h1
r5k1/pp4bp/6p1/2np3n/5pb1/2PB1N2/Pq1BQ1PP/1R3R1K b - -,b2a3
2kr3r/2p3pp/ppn1qp2/2p1p3/P1P1P3/1QPPRN2/5PPP/1R4K1 w - -,b3c2
r4rk1/1p5p/8/p5p1/2bRp3/P3P1K1/1PP4P/R3N3 b - -,c4f1
2k1r3/pp3p2/2p4p/2b2r2/8/P1P2N1R/1P5R/5K2 b - -,e8e3
1r6/pk6/1b6/8/4pR1p/7P/4KPP1/8 b - -,b8c8
r3k2r/1pp1bppp/p1p2qn1/4p3/2N1P3/3PBb1P/PPP2PP1/R2Q1RK1 w kq -,d1f3
2r3k1/4pp2/r2p4/3P4/PqN1PP2/1P3PPp/2Q1N2K/5R2 w - -,e2c3
5rk1/1q4pp/p1b1p3/1p2pr2/8/2N3Q1/PPP3PP/4RR1K w - -,f1f5
r1bqk2r/pppp1ppp/2n5/2b1n3/2P5/4PN2/PP2BPPP/RNBQK2R w KQkq -,e1g1:f3e5
5k2/5p2/R5p1/2pP3p/2r5/6PP/P4PK1/8 w - -,g2f3
7b/4kn1P/2K5/8/8/6Q1/8/8 b - -,e7e6
4r1k1/1pp3p1/p2b2n1/3Ppr1p/N3N3/4BPPn/PP5P/2R2R1K b - -,g6e7
r2q1rk1/pp3ppp/3pbb2/8/4RB2/5N2/PP1Q1PPP/R5K1 b - -,d6d5
5r2/6bk/pn2Pqpp/1p1p4/4RBN1/1P4NP/P2Q1PP1/6K1 b - -,f6h4
r2r2k1/pp2bppp/5n2/2pp3q/6b1/1PPBPP2/PB1NQ1PP/R4RK1 b - -,e7d6
r5r1/p3kp2/1p1p2Q1/n2Ppb2/4n3/2P5/PNB4P/R4RBK b - -,f5g6
8/1p1bp1k1/3p2p1/1p1P2P1/1P1K1P2/P2B4/8/8 w - -,d4e3
r3kb1r/1q1bnp1p/p3p1p1/1B1p4/3P1B2/P1N2Q2/1P3PPP/R4RK1 w kq -,b5d7
6rk/p2b2rp/3p1n2/1PpP1p1q/P3pP2/2N1N1PP/1P4Q1/3R2RK w - -,d1f1
rn1q1rk1/pb2ppbp/1p1p1np1/2p3B1/3P4/2P1PN2/PP1NBPPP/R2Q1RK1 w - -,h2h3:a2a4
r1b1kb1r/2p2ppp/p2p1q2/1p1P4/3Q4/2N5/PPP2PPP/R1B1K2R w KQkq -,d4f6
2r3k1/3q1pp1/1p2pn1p/p2n4/2RP4/3Q1BPP/PP1B1P2/6K1 w - -,b2b3
8/8/5k2/8/5P1K/6Np/7r/8 b - -,f6e7:f6g7
r2r3k/5ppp/bq2pn2/pNb5/PnBNP3/1Q3P2/6PP/2RR2BK w - -,e4e5
r5k1/pb4pp/1p3rq1/b2P4/1n2N3/B3RN2/5PPP/R2Q2K1 b - -,f6f4
r1b1k2r/pp1nqppp/2p5/3p3n/3P4/2N1PN2/PPQ2PPP/2KR1B1R b kq -,d7b6:d7f6
b5k1/6p1/2p1p2b/2PpNq2/3Pn2P/1P2P3/1B3PQP/6K1 w - -,e5g4
r1bq1rk1/ppp3bp/2np1np1/4pp2/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 w - -,b2b4:c1g5
8/p1r3p1/2n2k1p/R1N5/P7/1PK2PP1/2P3P1/8 w - -,c5e4
3r2k1/5pp1/4p1p1/pn6/6P1/BP2P2P/P4P2/2R3K1 w - -,a3e7
2r2bk1/p4p1p/1p4p1/4P3/PN3P2/2PR4/R5PP/2n1K3 w - -,e1d2
2r3r1/1pk2p1p/p1bRpP2/4P3/7P/2N5/PPP5/1K3R2 w - -,d6d4
2r2rk1/pp1nppbp/3p1np1/1P6/2qNP3/2N1B2P/PP1Q1PP1/R2R2K1 b - -,e7e5
2rq1rk1/pp2ppbp/3pb1p1/3nn1B1/4P3/1N6/PPP2PPP/R2QRBK1 w - -,e4d5
2N3rk/1p1Pb1q1/2p4p/p1p1p3/2P1Pp1p/1P5Q/P4PP1/6RK b - -,g7f6
4r3/pp3pkp/3R2p1/5p2/1PP2P2/P4PK1/r6P/3R4 w - -,d1d2
q5k1/r3n3/1n1p1p2/1BpPp1pr/p1P1P1N1/R4PP1/1PQ3K1/R7 b - -,g8g7
8/2B2n1p/6p1/1p3p2/1P2kP1K/7P/6P1/8 w - -,g2g4
3r3k/2pq2p1/1pp4p/4Q3/P3N1RP/5P2/1n3PK1/8 b - -,b2d3
8/8/4kp1p/1R4p1/2P3P1/1p3P2/1r4PK/8 b - -,e6f7
rnb1r1k1/p1q2ppp/1p2pn2/4N3/2BP4/BQP5/P4PPP/R4RK1 b - -,c8b7
2q1rnk1/p4pp1/2p1b2p/2N5/4p1P1/2Q4P/PP3P2/1K1RR3 w - -,c5e4
1rbqk2r/pp1nppb1/3p2p1/2p3Pp/2P5/1PN1PQ1P/PB1P1PB1/R3K2R w KQk -,d2d4
r7/2p3p1/5n1p/P7/2k5/R4KPP/5P2/8 w - -,a5a6
8/pp1q2kp/2p1p1p1/4P1P1/3Q1P1P/2P5/PP2K3/8 b - -,d7d4
rnb2rk1/2q1bppp/p2p1n2/1ppPp3/P3P3/2P2N1P/1PBN1PP1/R1BQR1K1 b - a3,a8a7
3r2k1/2q2p1p/1ppN2p1/p1n1P3/P1P2P2/6QP/6PK/3R4 b - -,f7f5
r3kr2/ppq1n1pp/4Q1n1/4P3/5P2/4B3/PP2N1PP/R3K2R w KQ -,e1g1
r1r3k1/4ppbp/p4np1/1p6/3P4/2N1P1PP/PB3PK1/2RR4 b - -,e7e6
r2qrbk1/3bnpp1/p2p3p/1ppPp3/2P1P3/PP2BN2/2B2PPP/R2QR1K1 b - -,e7g6
1rb2rk1/1pnn2qp/p1p1pbp1/2Pp4/NP1P4/1Q3N2/PB2BPPP/R3R1K1 w - -,e2f1
1r1r2k1/5ppp/4b3/8/3P4/1P2R1P1/3N1P1P/4R1K1 w - -,e3d3
r2qkbnr/ppp2pp1/4p2p/3pP3/1n1P3P/3b4/PPP2PP1/RNBQKB1R w KQkq -,f1d3
8/1p2k1p1/2p5/p2PKPPp/2P4P/8/P7/8 b - -,b7b5
r2qk2r/1p1bppbn/p2p2p1/4n1Pp/3NP3/2N1BP2/PPPQB2P/R4RK1 w kq -,g1g2
1R6/4k1P1/8/2P1p3/4P3/4BK2/p7/r7 b - -,a1f1
3r2k1/pp1r1pp1/4bn1p/1Pqp4/3R4/1Q2NBP1/P3PPKP/3R4 w - -,b3b2
1r3rk1/p4ppp/2n1p3/2qpP3/1pn2P2/5N2/PPP1QNPP/R2R3K w - -,f2d3
1r6/q2k2p1/2p2pP1/2p1pP2/p1P1P3/Pp1P2K1/1Pn2QB1/3R3r w - -,d1h1
3rr1k1/p4p1p/3B2p1/8/P7/1n3B2/1b3PPP/3R1RK1 w - -,f3c6
r3kb1r/1bqn1ppp/pp1ppn2/8/P2NPP2/2N2B2/1PP1Q1PP/R1B2RK1 b kq -,a8c8
8/4p1k1/8/2pP2KP/2P4R/8/5r2/8 w - -,h5h6
r1r2k2/p4ppp/b7/R1p5/Pn1P4/4RN2/3N1PPP/3K4 b - -,c5d4
2r1k2r/2p1bp2/pp6/2pRP1p1/6P1/8/PPP2P1B/3R2K1 w - g6,g1g2
2rq2kr/3b1p1p/3pp1pP/p3n3/1p1NPQP1/1B3P2/PPP5/2KR3R w - -,a2a4
r1bqkb1r/1p3ppp/p1n2n2/2pp4/3P4/2N1PNP1/PP3P1P/R1BQKB1R w KQkq -,f1g2
6k1/pp3pbp/1q4p1/2Np1b2/3P2P1/1PQ4P/P3rP1B/R5K1 b - g3,f5c8
6r1/4pn2/1q1pNnpk/2pP3p/2P2P2/1p1B2Q1/1P4PP/R6K b - -,b6b7
4r3/p5kp/2nP2p1/2r1p3/5P2/6P1/6BP/B2R2K1 b - -,g7f7
2r5/8/p3kp2/1p1np2p/1pr5/1N5P/P1PR1B1K/2R5 b - -,f6f5
2k2r1r/pbpp3p/1pn1pqpQ/8/3P4/2PB1N2/PP3PPP/4RRK1 w - -,f3e5
rqb1k2r/4bppp/p2ppn2/8/1n2PP2/1NNBB3/1PP3PP/R2Q1R1K w kq -,d3e2
rnbqk2r/pp2ppbp/2p3pn/3pP3/3P1P2/5N2/PPP3PP/RNBQKB1R w KQkq -,c1e3:f1d3:f1e2
r1bqk2r/3nnpbp/pp1p2p1/2pPp3/P3P3/2N2N2/1PP1BPPP/R1BQ1RK1 w kq -,f3d2
r2k1bnr/pppn2pp/4bp2/4p3/2P5/1PN2N2/P3PPPP/R1B1KB1R w KQ -,h1g1
5R2/3k1K2/8/5P2/8/8/8/6r1 b - -,g1g2
2r3k1/1p1qn3/pb2pppp/3n4/1P1P4/PQ4P1/1B1NBP1P/2R3K1 w - -,c1c8
2r2rk1/pp1nqp1p/5np1/2p2p2/PbBPP3/2N2P2/1PQ3PP/R1B2R1K w - -,c1g5
rnbq1rk1/pp1nppbp/3p2p1/4P2P/3Q1P2/2N2N2/PPP3P1/R1B1KB1R b KQ -,b8c6
7r/pp6/2p1P1kP/3n2r1/4Q3/8/PP3KP1/8 b - -,g6h6
2kr3r/ppp1bppp/8/5b2/3RN3/4BP2/PPP3PP/3R2K1 b - -,h8e8
8/8/p7/N1k4p/6b1/1P6/P5PK/8 w - -,h2g3
8/8/5p2/1Pnkp3/8/4K3/5N2/8 w - -,f2g4
2r3k1/pbqrbppp/1pn1pn2/2p5/2P5/2NPP1P1/PB2QPBP/1R1RN1K1 b - -,c8d8
5rk1/5ppp/2q1pn2/p7/Pb1P4/B1p3P1/2Q1PP1P/R2R2K1 b - -,f8b8
5r2/1p1b2kp/p2q2p1/8/3p4/P2B2P1/1P1Q1PP1/4R1K1 w - -,d2g5
r1bqk2r/1p1n1pp1/p3pn1p/2pp4/3P1B2/P1PBPN2/2P2PPP/R2Q1RK1 b kq -,c5c4
3q1rk1/pp2ppb1/1nb3p1/7p/3pN2P/1Q1P1NP1/PP2PPB1/2R3K1 w - -,f3d2
r4nk1/pp3pb1/3R2pp/4p3/2r5/2P1BN1P/PP3PP1/3R2K1 b - -,b7b6
6k1/1p3qn1/3pBrp1/2pP3p/2P5/P3Q2P/5P2/4R1K1 b - -,g7e6
Q4bk1/p2r1pp1/1p4rp/2p1n3/P7/4N1P1/3RRP1P/1qB2K2 w - -,d2d7
r2q1r2/1p2ppkp/pn1p2p1/3P4/3R4/1PP2N1P/1P2QPP1/R5K1 b - -,f8e8
r1bqk2r/pppnnpbp/3pp1p1/8/3PP3/2PB1N2/PP3PPP/RNBQR1K1 b kq -,h7h6
5r1k/2R4p/1P6/8/5N1R/5P2/1rb3PK/8 b - -,c2f5
2rr2k1/pb1n1pp1/1p3q1p/3P4/4R2P/5N2/P2Q1PP1/1B1R2K1 b - -,c8c5
r1bqk2r/1p2bppp/p1nppn2/8/3NP3/2N1B3/PPPQBPPP/R4RK1 b kq -,e8g8
2r2b2/3q3k/1p2pnpp/pN1p1r2/P1PPpB1Q/1P5P/5PP1/2RR2K1 b - -,g6g5
2k1r2r/1ppb4/p4b2/3Rnp1p/5B1P/1BP3N1/PP4P1/2K4R w - -,f4g5
r1bq1rk1/pp3pp1/2n2n1p/3p4/1b1P3B/2NB4/PP2NPPP/R2Q1RK1 b - -,c8e6
R7/5ppk/7p/4p3/P3r3/6P1/5P1P/6K1 w - -,a8a7
5k2/3K1p2/6p1/3N2bp/r2P4/3R2P1/8/8 w - -,d5c7
2q2bk1/3b1p1p/p2p2p1/1p1Pp3/nQ2P3/4B1PP/PP1N1P2/5BK1 w - -,b2b3
r3n1k1/2bq1pp1/4pn1p/1p1p4/3P4/1PPQNPP1/r1BB3P/1R1R2K1 w - -,c3c4
1r1b2k1/1P4pp/4pp2/8/4P3/4B1P1/5PP1/R5K1 b - -,d8c7
6k1/1r1b1p2/4p3/3NPnbp/2p2Pn1/B6K/1PP3B1/2R5 w - -,d5f6
4k3/2R5/4p3/3pPr1p/3P1P1K/6P1/8/8 w - -,c7h7
2R2b2/1r2qp1k/4p2p/3p3P/1p1P1Q2/6R1/1P1B1PP1/r6K w - -,h1h2
r3nrk1/1bq1ppbp/pp4p1/2pPp1B1/P1B1P3/2N4P/1PP1QPP1/1R2R1K1 w - -,g5e3
8/6kp/8/7R/5p2/4b2P/5rP1/6K1 b - -,h7h6
r2q1rk1/pp3ppp/8/2bpn2Q/8/6N1/PPP2PPP/R1B2RK1 b - -,f8e8
6k1/5ppp/3r1n2/1p1p4/p1qQ1N2/P1P2P2/1P4PP/1K1R4 w - b6,d4c4
4brk1/6pp/1pp1p3/3p1p2/N2P1P2/4P3/PP4PP/3R2K1 b - -,f8f7
1b6/3p3p/p7/6N1/1p1k4/1P4P1/2P1KP1P/8 b - -,d4c3
r1b2rk1/ppp3bp/3p4/4p1qn/1PP2P2/3P2P1/P4PBN/1R1QBRK1 b - -,e5f4
r4rk1/4Rp2/p3b1p1/1pB5/4p3/P1b5/2P3PP/1R3BK1 b - -,f8c8
k2r4/p3qpb1/3pp2p/1Qp1n1p1/1PP1P3/8/P2RNPPP/3R2K1 b - -,d8b8
6rk/1p5p/8/3pq3/p7/7R/3Q2P1/6K1 b - -,e5e4
rnbqk2r/ppppp1bp/5np1/5p2/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq -,e8g8
6r1/1p3p2/2p1b3/p1k1P1P1/P7/2P1K3/4B3/R7 w - -,e3f4
8/8/3b2p1/6k1/8/6P1/1R4K1/8 w - -,g2f3
2r4k/p3r1pp/np1b4/3pN3/2pPpP2/P5P1/1P2PB1P/2R2RK1 w - -,g3g4
rn1qkbr1/pb5p/4p1p1/1p1PQ3/2pPB3/6P1/PP3P1P/R1B2RK1 w q -,e5e6
r1bqk2r/p1pnBppp/1p6/3N4/3p4/4PN2/PP3PPP/R2QKB1R b KQkq -,d8e7
r1b2r1k/1pn1q1bp/1Qpp2p1/p6n/3P1p2/P1N2NP1/1P1BPPBP/2RR2K1 w - -,d1e1
r1bq1rk1/pp4pp/2p2n2/3pRn2/B7/2PP4/PP1N1PPP/R1BQ2K1 b - -,f5h4
1r6/2p2p2/3p1k2/1PnPb2p/p1B5/P4K2/1P2RP1P/4R3 b - -,b8g8
8/R4pk1/6p1/4p2p/6nP/6PN/3r1P2/6K1 b - -,e5e4
r1b1k2r/1pqn1pp1/p2p1n1p/4p1B1/4P3/3B1Q2/P1PN1PPP/1R3RK1 w kq -,g5h4
3r2k1/ppq2pbp/4rpp1/2p2n2/2P5/PQ1PP3/1B2BPPP/3RR1K1 w - -,e2f3
1k4B1/6r1/pp1P3p/8/n7/P7/5PP1/1R3RK1 b - -,g7g8
8/Bp3k2/8/3P2pp/5b2/P2R1P2/2r3KP/8 w - -,a7f2
2rr2k1/1b3ppp/ppn2b2/8/4BBq1/P2R1N2/1P1Q1PPP/5RK1 w - -,h2h3
1rbq1rk1/p1p2ppp/1p2pn2/6N1/3P4/5B2/PPPQ1PPP/1K1R3R b - -,h7h6
r4rk1/1p2q1p1/1n2b3/pP1p1p1p/3P4/3BP1P1/2Q1NPP1/1RR3K1 b - -,f8c8
2br1r1k/p1n3bp/3q4/2N1N3/1PB1R3/PQ6/6PP/4R1K1 b - -,c8f5
2r2rk1/3nqpp1/pb3n1p/1p1pNb2/1P1Pp3/P1N1P2P/1B2BPP1/2RQ1RK1 w - -,d1b3
r3k2r/ppqb1p2/4p2p/b1p1P1P1/P3R1P1/1BP2N2/2PQ1P2/2KR4 w kq -,d2d6
5rk1/p5p1/4p3/2P3PQ/3Pp3/4R1P1/P2q1PK1/8 w - -,h5e2
r2qk1nr/pbpn1pb1/1p1pp1pp/7P/4P3/3P1NP1/PPPN1PB1/R1BQ1RK1 b kq -,g6g5
r2r2k1/p1n3bp/n3p1p1/P2q4/1ppPN3/4Q3/1B2NPPP/R2R2K1 w - -,e2f4
4rn2/1p3k1p/2p3p1/5B2/2nrP3/5P2/5K2/2B3RR w - -,f5h3
8/8/2nkrp2/5R2/2K5/1P6/1P6/8 b - -,c6e7
r1b1r1k1/pp3pbp/2ppnqp1/4p2n/3PP3/2P1BNNP/PPB2PP1/R1Q1R1K1 b - -,h5f4
1rbq1rk1/p3ppbp/1npp1np1/8/Pp1PP3/3BBN1P/1PPN1PP1/R2QR1K1 b - a3,a7a5
4r1k1/pp3p1p/2r2np1/4p3/2Pp4/1P2BP2/P5PP/1q1RQR1K b - -,b1a2
r3n1k1/p5pp/bp2Rp2/8/PN6/8/5PPP/2B3K1 b - -,a6c4
3b4/3n4/2k5/p3p1pp/P3Pp2/1NPK1P1P/5B2/8 b - -,d7f6
rnbqkb1r/pp1ppppp/5n2/2pP2B1/8/8/PPP1PPPP/RN1QKBNR b KQkq -,d8b6:f6e4:d7d6
4r1k1/pp2qnp1/2p1rp2/3p2p1/P2P2P1/1P1QPPPN/4RK2/5R2 w - -,f1e1
2r2r1k/pp3pp1/2n1p2p/3b3q/3PB3/Q3BP2/PP4PP/R4RK1 w - -,a1c1
rnb1r1k1/1pq2pbp/p2p2p1/2pP2Bn/P7/2N2NP1/1P2PPBP/R1Q2RK1 b - -,b8d7
r1b2r2/1p1nq1bk/5ppp/pPpB4/2PpP3/6NP/PBQ1RPP1/4R1K1 w - -,f2f4
1r1rq3/6k1/1p2b2p/p1pB1pp1/P1Q5/1P2P1P1/5P1P/3R1RK1 b - -,d8d6
r1b1k2r/pp2ppbp/2n3p1/3P4/4P3/8/P2B1PPP/2R1KBNR b Kkq -,c6d4
r2q1r1k/pp1b1pbp/n2p1np1/2pPp1B1/2P1P3/2N2N2/PP2BPPP/R2QR1K1 w - -,f3d2
rnbqkb1r/pp1ppppp/2p5/2PnP3/8/1QN5/PP1P1PPP/R1B1KBNR b KQkq -,d5c3
8/4k3/3p1n2/p1P2Prp/P2K3R/3B4/7P/8 b - -,d6c5
8/R7/5pk1/4p1p1/5rP1/4KP2/8/8 w - -,a7e7
r1br2k1/1pn1q1pp/2p2n2/4N3/3Q4/p3RBP1/P2NPP1P/1R4K1 w - -,e5c6
3r2k1/pq2pp1p/5np1/Pppr4/8/1P1P1NPP/1Q2PP2/R4RK1 w - -,f1c1
3r4/2knr1p1/1ppb1nBp/p3p3/2P5/PP2PNP1/1B2K2P/3R1R2 b - -,d7c5
r3k2r/1ppq2pp/5n2/1Nb5/2P5/3p4/PP3PPP/R1BQR1K1 b kq -,e8f7
r1b2r2/pp1p1pkp/5np1/3B4/1P5B/P7/2P2PPP/2KR3R w - -,d5f3
2kr3r/1ppbq1bp/p1nppnp1/8/3PNB2/PB3N1P/1PP1QPP1/2KR3R b - -,h7h6
r4k2/2pn2p1/P4p1p/3Pp3/4P3/1N5P/5KP1/R7 w - -,f2e2
2kr3r/ppp1q3/2nb1pp1/8/2QPP1p1/2P3P1/PP4BP/R1BK3R b - -,h8h5
3b4/1p1b1k2/4p2P/2Pp4/3P1P2/3BK3/8/4B3 b - -,f7g8
3q4/3r2bk/6p1/3p1p1n/1p5P/P3R3/1PN5/1K2QR2 w - -,c2b4
rnbqr1k1/ppp1ppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,b8c6:b8d7
r1bq1rk1/pp3ppp/2n2n2/3p4/8/2N1PP2/PPPQ2PP/R3KBNR b KQ -,f8e8
1r2r3/2qnbpkp/5BpN/1pp1p3/4P1P1/2P2Q1P/1PB2P2/R2R2K1 b - -,e7f6
6k1/8/5K2/PR5P/8/8/5r2/8 w - -,f6e6
2r5/pp2pk1p/2n1b1p1/5p2/8/2N3P1/PP2PPBP/3R2K1 w - -,g2c6
2r2rk1/p3q1bp/bpn1p1p1/3pP3/3P2P1/4B1N1/PP1Q3P/R3RBK1 b - -,a6f1
r2qkb1r/pp5p/2p2ppn/4p2B/8/1P2P3/P1PP2PP/RN1Q1RK1 w kq -,h5g4
2kr3r/1p2bpp1/p5b1/2p1B3/2P5/qB3PQ1/P6P/R2R2K1 w - -,e5b8
8/5k2/4p3/N1p1Pp2/1pP1nP1b/3KP3/8/2B5 b - -,f7g6
r2qr1k1/2p2pbp/p2p2p1/1p1b4/2nPPB2/5N1P/PP2QPP1/1B1R1RK1 w - -,b2b3
1rbr2k1/p4pp1/2pNp2p/3qP3/3P4/P7/4QPPP/R2R2K1 b - -,c8b7
6k1/p1R2Qn1/1p3b2/3p1qp1/3Pp3/4P1B1/PP5P/5rNK b - -,g8h8
8/8/3R4/2P1k3/3p3P/1r1K4/8/8 w - -,d3c4
2r2rk1/pb1p2pp/1p1q1p2/3Pb3/2R2B2/P5P1/1P1Q1PBP/2R3K1 w - -,c4c8
rnr3k1/5p2/p1p2R1p/4p1pq/2Q3R1/3P3P/P2BP1B1/6K1 w - g6,h3h4
2kr3r/ppp1qp2/7p/3Pnbp1/4P3/2P3P1/PQ4P1/2K1RBNR b - -,d8d5
8/N5k1/6pp/8/1P6/8/3K1pB1/4r3 w - -,b4b5
2r3k1/2q2p1p/R5p1/1pr1p3/2p1P3/2P1Q2P/1P3PP1/3R2K1 w - -,a6d6
1r6/3k1p2/7p/4p3/4PbPP/2R1N3/P2p4/3K4 w - -,a2a3
8/7p/6p1/1B3pk1/P3p3/R3PnP1/1P3K1P/7r w - -,b5f1
7k/p4p2/6p1/2n4p/2pr1P1q/P3Q3/8/1B2R1K1 b - -,h4f4
3r4/1Q1bkpr1/3p2q1/p3pR2/7p/2P5/PP6/K2B1R2 w - -,a2a3
r1nb1k1r/PQpq1p2/Rn1p2pp/B2P4/3P4/5N2/1PB2PPP/4R1K1 b - -,d7b5
N5k1/1N1bb1pp/p3p3/5p2/1n1P4/P3P1P1/1r3PBP/5RK1 b - -,b4d5
3r2k1/pQpp2pp/1p2p3/2q1P3/2P5/2P5/P4PPP/4R1K1 w - -,b7a7
r6k/4K2P/4B2R/8/8/8/8/8 w - -,h6h1
r3b1k1/1pq2r2/p1p1p2p/2PpPpp1/PP1P4/1R2P1PP/3Q4/1R3BK1 b - -,f7g7
r1bq1rk1/pp1p1pp1/2n1pn1p/2b5/2P4B/2N2N2/PPQ1PPPP/R3KB1R w KQ -,e2e3:a2a3
8/5pk1/4p2p/4r1p1/4P1PP/2R2P2/8/5K2 w - -,h4g5
r2r2k1/pp1bbpp1/3p1n1p/5P1q/2BQ4/2N3B1/PPP3PP/2KRR3 b - -,d8e8
r3b1k1/6p1/p2Bp2r/3pP3/2p2RP1/2P5/2P3P1/5RK1 w - -,d6e7
1R1r2k1/5p1p/4n1p1/b1p5/P7/2P1B1PP/5PK1/1R6 b - -,d8b8
6k1/1q1rpp1p/pQb1n1p1/Bp2Pn2/5P2/1P6/P3N1PP/2R2BK1 b - -,b7b6
4bqk1/pp3p1p/2pp2pb/5P2/1PPPn3/P2B1N2/6PP/4Q1K1 w - -,e1e4
2r2k2/5p2/1p3B2/2pn2P1/p3N3/P3P3/1PR2PPK/3r4 w - -,f6e5
6k1/1p2b3/p7/P2rp3/1P2N3/5P2/2R3P1/7K w - -,c2c8
3r2k1/3r3p/p3Rppb/Npp5/5n2/1PP2N2/1P3PPP/4R1K1 w - -,e6f6
r2r2k1/3q2pp/bR1Npp2/2B5/pQ1PP3/P4P1P/6P1/6K1 b - -,h7h6
r4rk1/2q2pp1/2p4p/Np1b4/1PpP1b1P/2P2N2/1K3PP1/3QR2R b - -,a8a7
4r1k1/2p2pbp/bp1q2p1/p2p4/P2P1P2/2PNrN2/6PP/R2QR1K1 w - -,d3f2
8/4k3/6p1/2pP4/2PbpBP1/8/4K3/8 w - -,g4g5
8/8/5n1K/6p1/P1N2k2/8/1PP5/8 w - -,c4d2
8/5p2/3r4/5R2/8/P7/8/2K1k3 b - -,f7f6
2r5/4rppk/p1pR2b1/Ppn3Pp/4PN1P/2P2P2/2B5/R5K1 w - -,g1f2
r3kb1r/ppqn1pp1/2p1pnp1/8/3P4/1PN3PP/P1P2PB1/R1BQ1RK1 b kq -,a8d8
3r4/5kp1/p1p1pbp1/PpPr1p2/1P1PpP2/2B1Q1P1/1K1RR3/5q2 w - -,e2e1
6k1/1b4bp/p1p3p1/PpBpq3/1P3QP1/1B6/N3r2P/5RK1 w - -,a2c1
8/3nk3/3N2n1/3Pp2N/8/8/8/3K4 w - -,d6f5
7q/1p2bk2/8/3Q1pn1/P2P2p1/4P1P1/5P1r/2R1BK2 b - -,f7g6
