8/7p/1p1kp2R/8/8/3KP2P/r7/8 b - -,a2a7
5N2/8/3p4/2pP1kP1/1pP2P1p/1P5K/8/4b3 b - -,f5f4
1Q6/p7/8/1pkP4/4P3/8/P2K4/7q w - -,b8a7
1b4B1/3k4/7K/8/8/6P1/7P/8 w - -,h6g6
2r1r1k1/pp3pbp/1q1pp1p1/2nn4/5P1P/2P2NP1/PPQB1PB1/R3R1K1 w - -,h4h5
2r5/pb2kpQ1/4pp2/1p1q4/3P3P/2R5/P4PP1/1B2R1K1 b - -,c8c3
2rq1rk1/pb1n1ppp/1p1b1n2/3pp3/1P1N4/PQ1P2P1/1B1NPPBP/2R2RK1 w - -,c1c8
Q3R3/5ppk/6qp/p3B3/1p6/5NKP/5PP1/2r4r w - -,g3f4
r1b1r1k1/1pqn1pbp/p2p1np1/2pP4/P1P5/2N2N1P/1P1BBPP1/R2Q1RK1 w - -,d1b3
2r1rbk1/1b1p1pp1/pq5p/n2nPN2/P2N4/1p1Q4/1P3PPP/RBB1R1K1 b - -,b6g6
r2qkb1r/pp1n1pp1/2n1p2p/2ppP3/3P2Q1/2PB3P/PP1N1PP1/R1B1K2R w KQkq -,d2f3
5rk1/1p1n2pp/p2p4/2pPrp1P/P7/2NB4/1PPK4/4R2R w - -,b2b3
8/1p1k2p1/3p3p/3bbp2/1B6/2P3P1/1P5P/R5K1 w - f6,a1a5
r1b2rk1/pp3pqp/2n1pnp1/6N1/2B4Q/5N2/PPP2PPP/3R1RK1 w - -,c2c3
b2r1k2/1q5p/p5p1/P7/1p3BN1/5P1P/1Q4PK/8 b - -,b4b3
1r3rk1/pp2pp1p/3p2p1/n2b4/7P/4PN2/1RPPBPP1/4K2R w K -,b2b5
r3kb1r/p2bpp1p/1qpp2p1/8/2B1PPn1/2N5/PPP3PP/R1B1QR1K b kq -,b6c5
2r1kb1r/2p3pp/p3P1n1/1p3p1Q/3qPP2/1B4B1/PP4PP/2R2RK1 w k -,g1h1
8/4k3/7K/4p1P1/6r1/8/8/5R2 b - -,g4f4
r3k3/1pp4p/2r1p1p1/2n1p3/p1P1P3/1P3P2/PN1RK1PP/3R4 w - -,b3b4
r2q1rk1/1bp1bppp/p2p1n2/1p2p3/4P3/1PPPBN1P/1P3PP1/RN1QR1K1 b - -,c7c5
r2r2k1/pp1qbppp/2p5/3B4/Q2P4/4B1P1/PP3P1P/R4RK1 b - -,d7d5
r1b1q1k1/1pp2rpp/2n1pb2/p7/2PP4/4pPP1/PBN1P1BP/R2QR1K1 b - -,f7d7
r1bqk2r/pp3ppp/2nppn2/2p5/2PP4/P1B2N2/1PQ1PPPP/R3KB1R b KQkq -,e8g8
r2q1rk1/pp1n1pp1/2p2np1/3pN3/1b1P1BP1/P1NQ3P/1PP2P2/R3R1K1 b - -,b4d6
6k1/5p2/4p3/4P1pp/2r5/6PP/R4P2/6K1 w - -,g1g2
1rb2rk1/p4ppp/2pq1n2/3p4/8/1PNB1Q1P/P1P2PP1/3R1RK1 b - -,f8e8
1q4k1/5pp1/1p3n1p/1N6/2P5/6PP/1P2PQ2/6K1 w - -,f2f4
r4n1k/p5pp/b1p2r2/q1P1bP2/3N4/1Q4P1/P3P1BP/B2R1RK1 w - -,b3c2
3q1bk1/1p3pp1/2p1n2p/p3B3/P3QP2/1PP2NPP/7K/3rR3 w - -,e1e2
r1bqkbnr/pppp1p1p/2n3p1/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq d3,e5d4
2b5/p1q2ppk/1p5p/8/1P3P2/P3r1P1/3Q1N1P/3R2K1 b - -,e3e8
r1b1q1rk/pp3ppp/2n2B2/2pp4/2B1PP1Q/5R2/PP4PP/3R2K1 w - -,e4d5
8/6pk/1p1Q3p/3nNp2/PP2p3/2q5/2KN4/8 w - -,c2d1
1rR3k1/n2qbppp/1p2b3/p2pPp2/NP1P4/P2Q1N2/3B1PPP/R5K1 b - -,a7c8
r3rbk1/5ppp/p2p2P1/1p1Pn2P/1q6/4B3/PPP1Q3/1K1R1B1R w - -,d1d4
r5rk/3q1p2/p3n2p/1p6/1Q5P/2N3Rb/PPP2P1P/R5K1 w - -,a1d1
r1bqk2r/pppn1ppp/3bpn2/8/2PP4/5NP1/P2BPPBP/RN1QK2R b KQkq -,c7c5
r7/1r2p1k1/3p1p2/1q1P1Pp1/pP6/Pn2R3/2B3P1/3QR2K b - -,b5c4
r2qr1k1/pp3pbp/2p1b1p1/8/Q2PP1n1/3BB3/P2N1PPP/2R2RK1 w - -,d2f3
r5k1/1b1rbp2/p1q1p1p1/npp4p/2P1PP1P/P1NP2PQ/1B6/3RRBK1 w - -,c3d5
5r2/p2r1p2/1p4kp/2p1nNp1/4P3/1PRpKPP1/P2R3P/8 b - -,f8d8
r1br2k1/1pp2p1p/p4qp1/3P4/3N4/1Q2R2P/PP3PP1/3R2K1 b - -,b7b6
r3r1k1/1p2q1p1/1bpp1n1p/4n3/1PP1PN2/2Q3PP/1B4BK/R4R2 w - -,a1a8
7r/pp6/2p5/2Pbkp2/1P1Rp2p/P3P1P1/5PB1/6K1 b - -,b7b6
8/3b1pkp/5p2/3p4/1p6/1N2b1P1/3N1PKP/5q2 w - -,d2f1
1k1r3r/pp1b1pb1/1q2p3/3p2pp/3N4/P1PQP1P1/1P1N1PP1/1R2K2R b K -,e6e5
8/4k2p/6p1/1p4P1/5P2/1R3K1P/r7/8 w - -,b3b5
r1b1kb1r/1p1n1p1p/p2pp1pn/8/P2NPPP1/N6P/1PP3B1/R1B2RK1 w kq -,a3c4
r4rk1/pppbqpp1/2n1p2p/8/1bQP4/2N1PN2/PP2BPPP/R4RK1 b - -,c6a5
r4rk1/p4pb1/bp2p1np/3p4/8/1N1PB1PP/PPP3B1/1R2R1K1 b - -,a8c8
6k1/6pp/8/pp3R2/8/5PK1/1r3n1P/8 w - -,f5c5
1r6/3r1b1k/2p3pp/5p1P/5N2/1PnB1P2/2P2BP1/2K4R b - -,c3a2
6k1/2n2pp1/8/3BP2p/1b3P2/6P1/5BKP/8 w - -,d5c4
r4rk1/1p2pp1p/n1b1n1pb/q3P3/p1Pp4/3P1NBP/PQ1NBPP1/1R1R2K1 b - -,a5c3
rn1q1b2/pp3kp1/1np1p1p1/4P2r/3P3P/2NBB3/PPQ2P2/R3K2R b KQ -,h5h4
r1bq1rk1/ppp1bppp/4pn2/3nB3/P1pP4/2N1PN2/1P2BPPP/R2Q1RK1 b - -,c7c5
4r3/6B1/1kn3RP/8/8/6P1/p7/6K1 b - -,e8g8
r2q1rk1/pp3pp1/3bbn1p/1B1p4/P2P4/4PQ2/3N1PPP/R1B2RK1 w - -,h2h3
3rr1k1/3q2b1/P1p1ppp1/1n2B2p/Bp1P4/3R3P/1P2QPP1/R5K1 w - -,a4b5
rq2r1k1/1b1n1pbp/p1Pp1np1/1p2p3/PP2P3/2P2NNP/2B2PP1/R1BQR1K1 b - -,b7c6
r3r1k1/1bqn1p1p/p1pp1bp1/1p2p2n/P2PP3/BPP2NPP/2QN1P2/3RRBK1 b - -,h5g7
r2qk2r/pp3ppp/4pn2/3p1b2/1b6/1P1N2P1/2P2RBP/RNBQ2K1 b kq -,f6e4
1r1qk2r/p4pp1/5n2/2N1p3/1P1B4/P2P1bP1/3Q1P2/R3K2B b Qk -,d8d4
r2qrbk1/pb1n3p/1pp2p2/3p2p1/3PnB2/3N2P1/PPQNPPBP/R2R2K1 w - g6,f4e3
R7/8/8/P7/1r1p4/3K3p/7k/8 w - -,a5a6
r1bq1rk1/1pp2pp1/2n2n1p/p1b1p3/P3P3/2P2N2/1PQNBPPP/R1B2RK1 b - a3,d8e7
8/1p1Rbrk1/p5p1/6P1/4N3/4P3/4K3/8 b - -,e7b4
r1bq1r2/4pp1k/pn1p1bpP/2pP4/4PBn1/2N5/PP1QBP1P/R3K1NR b KQ -,g4e5
rn2k2r/pbppqpp1/1p2p2p/8/2PP4/2nBPN2/PP3PPP/R2QK2R w KQkq -,b2c3
r3rk2/2p2p2/5npp/p3p3/2q1P3/5PPN/2P2Q1P/R3R1K1 w - -,f2d2
r2q1rk1/pp1nbpp1/2p1pn1p/5b2/3P1B2/P1N2NPP/1PP1QPB1/R3R1K1 b - -,f8e8
r7/pp3k1p/3Prnp1/1qpQ2B1/3bN3/5R2/PP4PP/7K b - -,b5c6
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3:b1c3:e2e3:c4d5:d1b3:a2a3:b1d2:c1f4:c1g5
r4rk1/1bqn1pbp/pp1pp1p1/6Pn/P3PP2/1NNB3Q/1PPB3P/4RRK1 b - -,d7c5
8/3kbppp/1rn1p3/3p4/3P4/1pPKBP1P/1P2R1P1/2N5 b - -,c6a5
6r1/1p3prk/4p2p/pN1pbP1p/PnP1n1q1/1P3RP1/4N3/3RBQK1 w - -,b5c3
rqb1k1nr/1p1p1ppp/1Bn1p3/1N6/1b2P3/8/PPP2PPP/R2QKB1R w KQkq -,c2c3
2q2bk1/4p2p/p2pbp2/3N2p1/4P1P1/1PBQ3P/1P3P2/6K1 b - -,h7h5
2k5/ppp1rp2/5qp1/3p1n2/P2PrP1p/2P2Q2/1PN2RPP/5RK1 w - -,f3d3
1rb1k2r/2q1bpp1/p2ppn1p/1pN1n3/4PB2/2N2P2/PPP2QPP/1K1R1B1R w k -,c5d3
8/5r2/5P2/p1k4p/K4R2/7P/8/8 b - -,c5d6
r2qr1k1/pp3pbp/5np1/3pn3/3Np1b1/NP2P1P1/PBPQ1PBP/R4RK1 w - -,h2h3
3rrnk1/pp4pp/2ppq3/5p2/1PP2P2/1R1QPR2/PB4PP/6K1 b - -,e6e4
2br2k1/p2q1ppp/1r3n2/5N2/3Q1P2/P5PP/1PR1P1B1/3R2K1 b - -,d8e8
2n5/5pb1/1p1p2pp/1k6/2NP1B2/2PK4/5PPP/8 w - -,c4d6
6k1/2p2rpp/1n6/q1p3Q1/1p1B2b1/1P4P1/5PBP/R5K1 b - -,a5b5
rnb1k2r/pp1pppbp/5np1/2q5/4P3/2N2N2/PPPBQPPP/R3KB1R b KQkq -,e8g8
2bqnBrk/r2n1p1p/pp1p2p1/2pPp3/P1P1PP2/2NQ2PB/1P2N2P/R4R1K b - -,g8f8
3rr1k1/ppp2pp1/1b1q3p/1P6/4p1N1/PQ2BPP1/N6P/R4K1R b - -,h6h5
rnb1kbnr/ppp2ppp/3q4/3pp2Q/3P4/2N1P3/PPP2PPP/R1B1KBNR b KQkq d3,e5d4
3r4/6k1/4br2/1p1p1p1P/2pR2pR/2P3P1/1PK1B3/8 b - -,d8h8
3k4/8/ppBr2pp/2n1R3/P7/7P/6PK/8 w - -,c6e8
r4r1k/1p4pB/p4nQ1/2b1B1N1/3p2b1/2p3NP/P4PPK/q7 w - -,h3g4
3r1r2/1p5p/p2p1kp1/4p3/2P5/1P3P2/P2R2PP/3R2K1 b - -,f6e6
3N4/1R6/8/P3n1p1/K1P5/1P2rk2/8/8 b - -,e3d3
r4rk1/1bq1bpp1/pn1ppn2/6B1/BP1NP3/2P2PN1/1P2Q2P/R4RK1 b - -,b6a4
2kr4/p1p1pp1p/2prb1p1/8/8/1PP3P1/P3PPBP/3RK2R w K -,d1d6
8/8/5kp1/5p1p/1P2r2P/2KR2P1/5P2/8 b - -,f5f4
1nr3k1/5p1p/1pq3p1/p1pQp3/7P/4PnP1/PP3PK1/2RR4 b - -,c6d5
r3kb1r/pp1b1ppp/2n1pn2/2q5/2Q5/5NP1/PP1BPPBP/RN2K2R w KQkq -,c4c5
1k1r1bnr/pp1n1pp1/Q2p2b1/3Pp1Pp/7P/2N1BN1B/PPP2P2/R4RK1 b - -,b7a6
3q3k/1br2p1p/p3rPp1/1p1p2P1/1bpP4/4PQ2/P5RP/1BB2RK1 w - -,h2h4
8/8/p7/P1k1N2p/2b5/4K3/8/8 b - -,h5h4
4rr1k/1pq3pp/2pbpn2/p1n1p3/3Pp3/PP3NPP/1BP1QPB1/R4RK1 w - -,f3e5
r2qk2r/ppp1nppp/2nN4/3p4/3P2b1/3B4/PPP1NPPP/R1BQK2R b KQkq -,d8d6
r3kbnr/pp1b1ppp/1q2p3/3pP3/3N4/3B4/PP3PPP/RNBQ1RK1 b kq -,b6d4
r4rk1/p5pp/1p2pq2/5n2/2bPQN1P/P3B3/5PP1/3R2KR w - -,h1h3
r1b2rk1/pp2p1bp/n1pp2p1/Pq1P1pN1/3PP3/6P1/1P3PBP/R1BQR1K1 b - -,c6d5
8/6p1/p1pk4/2Rp3p/1P3K1P/P4PP1/2P5/6r1 b - -,g1g2
r1bqk2r/ppp1npbp/3p2p1/4p3/2Pn4/2NP2P1/PP1BPPBP/R1Q1K1NR w KQkq -,a1b1
r3kb1r/pp2p1pp/1n6/6N1/3P4/2Nn4/PP3PPP/R1B2RK1 b - -,e8d7
3r4/rp1n1kpp/p1p1p3/N1P2p2/RP1PP3/4KP1P/1P6/R7 w - -,a5c4
r3k2r/pp2qppp/2n2nb1/1Nb1p1B1/2P3P1/3B1N1P/PP2QP2/R4RK1 w kq -,a1d1
2kr1b1r/pppb1ppp/2q5/3N4/8/3BB3/PPP1QPPP/R4RK1 b - -,c6d5
3r3k/pp2q3/2pr3p/3P1bpP/5p2/1QN2P2/PPP5/1K1R1R2 w - -,d5c6
3r4/br1q2kp/4pp2/P7/3p4/P5P1/3QPPBP/3RN1K1 w - -,g2b7
1k6/3rbppp/b2pp3/B7/3NP3/3q1P2/1PQ3PP/1KR5 w - -,d4c6
8/8/8/pNp1k3/1nP5/1P3B2/PK6/4b3 w - -,f3b7
r1bq1rk1/p3bppp/2n1pn2/P2p4/5B2/2PQ1NP1/3NPPBP/R4RK1 w - -,a5a6
r4rk1/1q4bp/p3pnp1/6Q1/3Rb1P1/5N1R/PPN1BP2/1K6 b - -,f6d5
r1q2rk1/pR1n1ppp/8/NQ1pp3/8/2P2NP1/P3PP1P/5K2 b - -,d7c5
1r4k1/q4p1p/3p2p1/6P1/2P1Pn1P/3K2RB/3N1P2/2R5 w - -,d3c2
6k1/8/5Q2/p7/7p/1P1KP3/3N2q1/8 b - -,h4h3
r2qk2r/1bp1bpp1/p1nppn2/1p5p/4PB1P/1BNP4/PPPQNPP1/R3K2R w KQkq h6,f4g5
6k1/1pR2p2/p2nq1p1/3pr2p/P4Q2/1P1BP2P/5PP1/6K1 w - -,f4d4
rnbqrbk1/pp1p1ppp/5n2/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,d7d6
1n1q1rk1/1r2b1pp/p2pp3/1p1Np3/4P3/4QN2/PPP2PPP/R4RK1 w - -,e3d3
6k1/4Rp1p/2B3p1/b1p5/3r4/6P1/5P1P/6K1 w - -,e7a7
2r3k1/4bbpp/p4n2/1p6/4P3/4BP2/PP4PP/2RR2K1 b - -,c8c1
1r3rk1/2p3b1/3p3p/p1pPpq2/2P1N3/4RP1n/PP2Q2P/2K1B2R b - -,a5a4
r2q1rk1/1p1bbppp/p1n1pn2/2p5/P1N5/8/1PPP1PPP/RNBQRBK1 w - -,a4a5
3R4/8/P1pp2k1/r6p/8/2P5/6K1/8 b - -,a5a6
8/8/8/6p1/5p2/3R2k1/r7/5K2 b - -,f4f3
1r6/p1r3kp/6p1/2n1P3/2B5/P7/1P1N1PPP/1K2R3 w - -,e1e3
r3r1k1/7p/B2q2pb/5p2/Pp1pP3/1Pp2P2/Q1K1R1P1/3RN3 b - -,d6a6
2r2rk1/1p3b1p/1Pqp4/2nNbpp1/2P1p3/Q3P2P/3NBPP1/1RR3K1 b - -,c6d7
1r6/5p2/ppbk1pp1/3p4/3P4/PPN5/3K1PPP/2R5 w - -,h2h4
r2r4/2pk1ppp/4p3/pp2P3/2bP1P2/P1P1B1P1/5K1P/R1R5 w - -,f2f3
1rb2rk1/p1ppnppp/2n5/1Np1q3/2N1P3/2P1Q3/PP3PPP/R3KB1R b KQ -,e5h5
1rbq1rk1/p3bppp/2n5/1ppn4/4N3/3P1NP1/PP3PBP/R1BQR1K1 b - -,h7h6
r2qkbnr/ppp3pp/8/3pn3/6b1/2PB1N2/PP3PPP/RNBQK2R w KQkq -,d3e2
1r4k1/3q2p1/5p1p/8/P7/1P5P/5QP1/4R1K1 w - -,f2e3
4rrk1/1pp4p/p3p1p1/3n4/3PN3/P1P4R/1PBK1P2/8 w - -,c3c4
2R5/3r1pkp/p3p1p1/3p4/3P4/4P3/1P3PPP/5K2 b - -,d7b7
rnbqk2r/ppppp1bp/6pn/6B1/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq -,h6f7
r1b1kb1r/ppq2ppp/2n1pn2/3p4/8/1NN1B1P1/PPP1PPBP/R2Q1RK1 b kq -,f8e7:a7a6
8/7p/2k5/1p2r1p1/p1bR2P1/P1N4P/2P5/4K3 w - -,e1f2
6k1/5p1p/3p2p1/QprPb3/8/P7/2q2PPP/1R1R2K1 b - -,c2a2
6k1/1r3pp1/pp1p1qnp/2pP1N1Q/P1P1rP2/6R1/1P4PP/5RK1 w - -,h5g4
1k6/2p4p/p4p2/1p4p1/4P3/NP3PnP/2Pq1Q2/6K1 b - -,d2c1
r6r/1R3pbk/p3p2p/3nP1p1/2N5/8/PP1B1PPP/2R3K1 w - -,b7f7
2rqrnk1/4ppbp/2p3p1/3nN3/3PN3/6B1/PP2QPPP/3RR1K1 w - -,e2f3
4rq2/pb3ppk/2r2n1p/1p1p1N2/2pP1Q1P/P3PB2/1PR2PP1/5RK1 b - h3,g7g6
8/8/1r6/5pk1/2R5/5K2/8/8 b - -,b6b3
6k1/3nqppp/2p1p3/prp5/2R1N3/1P1P2P1/P3PP1P/2Q3K1 b - -,h7h6
8/p7/3k3p/2p2p2/2K1pP1P/P1NpP3/8/8 b - -,a7a6
rn2k2r/pp2pp1p/1qp2pbb/8/3PP3/2N2N2/PPPQ2PP/R3KB1R w KQkq -,d2h6
r2qk2r/pp2ppb1/2n4p/3p2pn/N2P4/P3PPB1/1P3P1P/R2QKB1R w KQkq -,f1d3
5r1k/p4pRP/4pP2/1pp5/3r1P2/6R1/PP4P1/6K1 b - -,d4d8
2kr3r/1p1b2pp/p2ppn2/2b1n3/1q1NP2Q/3BB2P/P1P1N1P1/R4R1K w - -,f1b1
2r1k2r/1bq1bpp1/p3pn2/1pn1p1B1/3N1P2/P1N5/1PP1Q2P/2KR1BR1 w k -,f4e5
3qr1k1/pp1bppb1/3p2p1/2r1n1BR/3NP1p1/1BN2P2/PPPQ4/1K1R4 b - -,g6h5
4rrk1/Rbq3pp/8/1ppnppN1/8/2PP2P1/1PQ2PBP/4R1K1 b - -,c7b6
6k1/3N1p1p/1p1qpQp1/1n6/3P4/p5PP/P4P2/6K1 w - -,f6d8
r1b1r1k1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BN1P/PPQ1BPP1/R4RK1 w - -,f1d1
8/5pk1/p5p1/8/6N1/p2q3P/4N1P1/Q5K1 b - -,g7h7
4r1k1/p2Q1Npp/b1p2p2/2pp4/P7/2P1q2P/1r3RP1/R5K1 w - -,d7e8
