5k2/8/8/1pR5/6n1/Pp1b2P1/1P3P2/2K5 b - -,g4f2
8/8/6p1/6B1/5P1P/5k2/2r5/4K3 b - -,c2h2
r4rk1/p3qpb1/1pn1bnpp/2p1p3/4P3/2P1B1NP/PPQ1BPPN/R1R3K1 b - -,f8d8
r2r1nk1/pp1b2p1/2n1p2p/3pP3/5P1q/4B1N1/PPB3PP/R2QR1K1 b - -,a8c8
4nk2/4pp1p/p2p2p1/1prP4/1R3PP1/1BP4P/PP3K2/8 w - b6,a2a4
r1bq1rk1/pp2ppbp/2n3pn/1B1pP3/3P4/2N2N2/PP3PPP/R1BQK2R w KQ -,e1g1
r2qr1k1/p1p2ppp/3p4/1QnP4/8/2P1Bn2/P1B2P1P/R4RK1 w - -,g1g2
b2q4/P3rpk1/Q5pp/N3p3/4pn2/1R5P/3N1PPK/8 w - -,b3b8
r1bqkb1r/pp4pp/2n1pp2/3p4/3P4/2N1PNP1/PP3PP1/R2QKB1R b KQkq -,g7g6
r3kb1r/1p1n1ppp/1qp1pn2/p2p4/2P3b1/1P3NP1/P1QPPPBP/RNB2RK1 w kq a6,b1c3
3r1rk1/pp1qnp1p/2n3p1/2P1b3/3p2P1/1P2B2P/P2QNPB1/3R1RK1 w - -,e3h6
8/6R1/3r4/5bkP/8/5BK1/8/8 b - -,g5h6
r2qkb1r/1bpnnppp/pp1pp3/8/P2PP3/2NB1N2/1PP1QPPP/R1B1K2R w KQkq -,h2h4
4R3/1p2br1k/pB5p/P2Q1qp1/4p3/2P4P/1P3rP1/3R2K1 w - -,b6f2
4r1k1/p2b3p/1p1b2p1/3Pp3/4P3/3N2P1/P2B2KP/2R5 b - -,d7b5
1qr3k1/pp2bpp1/1n2p2p/PQ1pP3/3P1B2/6P1/1P3P1P/2R2BK1 b - -,c8c1
r4rk1/pp2ppbp/2b2np1/4q3/3B4/2N5/PPP1BPPP/3R1RK1 w - -,d4e5
8/6pk/p5pp/8/3qP1Q1/6P1/5rBP/2R3K1 w - -,g1h1
8/4rk2/5p2/2r2n2/7P/6p1/6P1/1Q2NK2 b - -,f7g7
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2PP1NP1/PPQ2PBP/RNB1K2R b KQkq -,e7e5
rn1q1rk1/1p1n1bbp/p1p2pp1/3P4/2p2B2/2N2NPP/PP3PB1/R2Q1RK1 w - -,f1e1
r4q1k/5p2/b1p1p1p1/p2n2QN/3P3P/5R2/PP3PP1/4R1K1 w - -,h5g3
1k2Rr2/pq4b1/n2p3p/P1pN4/1pP5/5NP1/1PQ2P1P/R5K1 b - -,f8e8
1r1r2k1/p1pp1p1p/2B3p1/2p1P3/2P2b2/1PB5/P1K2P1P/3R3R b - -,d7c6
2kr2nr/ppn3p1/5p2/q3P3/N2pQBP1/bB5P/1PP5/2KR3R b - -,a3c5
rq2r1k1/1b1n1ppp/2pb1n2/pp6/1P1P4/P1N2NP1/2Q1BP1P/R1BR2K1 w - a6,a1b1
B4r2/p3n1kp/1p1N1pb1/8/1P3PP1/P7/5K1P/R2R4 b - -,f8a8
3N1k2/p2b1p1p/2P3p1/8/1PN1P3/1K6/P5PP/3n1Bb1 b - -,f8e7
r1b1rbk1/2qn1p1p/1pppn1p1/8/p1P1PP2/2N2QPP/PPNR1B1K/4RB2 b - -,c8b7
8/pp6/4n1kp/3p2p1/8/2B2KP1/PP3P1P/8 w - -,h2h3
2r1k2r/1b3ppp/pqpbp3/1p6/3PB3/3NP3/PP3PPP/2RQ1RK1 b k -,e8g8
2rr2k1/p5pp/4p3/3qPp2/1P1pb3/P1bN2P1/4R1BP/3Q1R1K b - -,a7a5
6k1/1pp1Rpp1/p6p/8/5B2/1bP4P/1P3PP1/3r2K1 w - -,g1h2
5r2/p2k4/3q2p1/1p1PQ2p/4KP2/1P1R4/1P4P1/8 w - -,e5d6
4rrk1/pp3qpp/2n1b3/3pb3/8/1Q1B2B1/PP2NPPP/R4RK1 w - -,g3e5
7R/1p1k1p2/2n2BP1/8/p5P1/2P5/6K1/4r3 b - -,f7g6
r4rk1/3qbppp/ppnppn2/2p5/P3PB2/2NP1N1P/1PPQ1PP1/R3R1K1 b - -,c6d4
r1b1k2r/2q1ppbp/p1pp1np1/8/N3P3/1P1Q1N2/PBP2PPP/R3K2R w KQkq -,e4e5
8/1p2k2B/p1p1n3/2PpK3/1P1P4/5P2/1P6/8 w - -,f3f4
5r2/5pp1/4bk2/3p4/2pN4/2P2P2/5KPP/R7 b - -,f8b8
2r2rk1/1b3p1p/2qpp1p1/2n5/N2BPPQ1/1P1n4/5PBP/2R1R1K1 w - -,a4c5
r1bq1rk1/1p1nb1pp/2p1p3/p2p1p1n/2PP4/1N2BNP1/PPQ1PPBP/R4RK1 b - -,e7d6
n1kr1b1r/1p4pp/P1p5/4p3/2PpN1P1/8/1PK1BP1P/R6R b - -,b7b6
r1b2rk1/pp3pp1/1np2q1p/8/3N4/1B2P3/PP3PPP/2RQ1RK1 b - -,f6e5
4r2k/3QP1pp/p7/2qN4/2p5/1P5P/P5P1/7K b - -,c5c8
r1bqr3/1pp2pbk/p2p2pp/2n1n3/2PNP3/2N1B3/PP1QBPPP/R4RK1 w - -,f1e1
5rk1/2p2rpp/p7/P1p2PpP/1pPpP3/1P1P1P2/6K1/R6R b - -,g7g6
8/5pk1/4b2p/R4p2/3pP3/p2P2P1/4BK1P/r7 w - -,e4f5
8/5pk1/6p1/p1p1n1P1/P1r2R1P/3pp3/8/R2K4 w - -,f4c4
1r3rk1/p2n2p1/1q2p2p/2p5/3p4/2Q1P3/PP2BPPP/1R2K2R w K -,c3d2
8/2Q3pk/4q2p/8/p3p2P/P2r1pP1/5P2/2R1K3 w - -,c7c4
r1bqk2r/pp1pppbp/2n2np1/2p5/8/2PP1NPP/PP2PPB1/RNBQK2R b KQkq -,e8g8
6k1/5p2/8/4p1p1/1p4P1/1P1K1Ppn/P7/4N3 b - -,h3f4
5rk1/2r1bppp/p3p1n1/1p1b4/3N4/P2BBP2/1PP3PP/3R1R1K w - -,f3f4
r1bqkbnr/p4ppp/3pP3/2p5/1nP5/2N2N2/1P2PPPP/R1BQKB1R b KQkq -,c8e6
1nb3k1/p6p/3p2p1/1p1Ppp2/1P2P3/PN3PPB/7P/5K2 w - -,f1e2
4rbk1/5p1p/6p1/p7/1p1P3q/2p1PB2/PPQB2PP/4N1K1 w - -,b2c3
rnb1k2r/pp2ppbp/3p1np1/2q5/4PP2/2N2N2/PPPB2PP/R2QKB1R w KQkq -,f1d3
r3kb1r/p2q1ppp/2p1bn2/3pp3/4P3/2NP2P1/PPQ2PBP/R1B1K2R b KQkq -,d5e4
5rk1/5q2/p2bp1pp/3p4/4r3/3QP2P/PBR2PP1/3R2K1 w - -,d3a6
r1b4r/pp1nkpp1/2p2n2/q2p3p/P1PPp3/4P3/3NBPPP/RN1QK2R w KQ -,d1b3
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/P3PN2/1P3PPP/RNBQK2R w KQkq -,e1g1:c4d3
2rq1rk1/4bpp1/p3pnp1/3p4/1PpP4/P3PPB1/2RQN1PP/5R1K b - -,a6a5
2r1rk2/1p3pbp/p1b3p1/P1PBp3/1P6/R5BP/5PP1/3R2K1 b - -,e8d8
4r3/pbR2rkp/1p3qp1/3p1p2/3PnQ1P/1P2N1P1/P4PB1/3R2K1 b - -,e8e7
8/8/5nN1/2k5/6pP/4p1K1/8/8 b - -,f6e4
rn3rk1/pbpp2pp/1p6/3P1p2/4n2q/2PBP3/P1QN1PPP/R1B2RK1 b - -,b7d5
r5k1/1p1b2b1/4p2p/p2p3B/3n3q/P2n1PN1/1P1B1PK1/R2QR3 b - -,d3f2
6k1/2Rq2N1/7p/p4Q2/Pb1P4/6P1/6KP/8 b - -,d7c7
1R6/5pk1/3p2pp/b7/5PP1/7P/r2r2BK/2R5 w - -,c1g1
r1bq1rk1/1p1n1pbp/p2p2p1/2pPp2n/2P1P1P1/2NBBP2/PP1QN2P/R3K2R b KQ g3,h5f4
2b3k1/1p4pp/pB3p2/P7/4KpP1/8/7P/8 b - -,c8g4
5rr1/pp5k/6p1/6Q1/1P2B1PP/5b2/P4P2/6K1 w - -,g5h5
2r5/p2kpr2/1p1p4/3R1p1p/PbP2P2/1P3KP1/4RB1P/8 w - -,d5d1
rq3rk1/6bp/2pnb1p1/1p1pnp2/P4B2/1N3PP1/1PQ1P1BP/RN3RK1 w - -,b3c5
8/2k5/4RK2/8/8/7B/8/6r1 w - -,h3f5
r6r/pp1qkp1p/3p1n2/4p3/2PpP1bP/1Q1P1P2/PP2N1B1/R3K2R b KQ -,g4e6
8/4k3/3b2pp/1p2pp1P/1Pp5/2PbNB2/3K1PP1/8 b - -,e5e4
rnb1r1k1/ppq3bp/5np1/2p1pp2/2P1P3/1P3NP1/PBQN1PBP/R4RK1 w - -,f3h4
b7/8/pn1p1k2/Np2p3/1P2Pp2/P2P1N2/4K1P1/8 b - -,d6d5
r4rk1/pppqn1b1/3p1np1/3PppBp/2P1P2P/2N2BP1/PP1Q1PK1/R4R2 b - -,f8f7
3qk2r/3nppb1/1np1b1pp/1p2P3/3PN3/2P2N2/r1B3PP/R1B1QR1K w k -,a1a2
1r5k/1pq4p/pN1pn3/P3n1rP/3B2R1/2P5/1P4K1/R2Q4 w - -,g4g5
r1b1k2r/pp3ppp/2n1p3/2bpP3/7q/2PB4/PP2QPPP/RNB2RK1 b kq -,e8g8
6k1/5p2/7p/1p2BPp1/4P1P1/6P1/6K1/4b3 b - -,g8f8
8/7p/4k1p1/3Np3/3bP2P/5PP1/6K1/8 w - -,d5b4
5r2/2pkb2r/p7/3p1n1p/3PRBp1/7P/PP1N1P1K/6R1 w - -,e4e1
3rr1k1/p1qbbp1p/2n5/1pp2P2/3pPP1B/P6P/1PP3B1/R2Q1RK1 w - -,f5f6
5r2/3k4/7R/6p1/7P/1B1n2P1/5PK1/8 b - -,f8f2
2r4r/1p3p2/p1n1k1p1/3p4/5PK1/1PbPP3/P3R3/1BB4R w - -,e2h2
2kr1b1r/ppqn1ppp/2p1pn2/5b2/3P4/1BN2NP1/PPPBQP1P/2KR3R b - -,h7h6
3rk2r/bpp1qppp/8/Q4bNP/2Pp4/P2n2B1/1P2PPP1/R2K1B1R b k -,e7g5
8/8/2K1k3/p7/P1R5/8/3r4/8 w - -,c4e4
3k4/pp4pp/1np2n2/6q1/4p3/1B2N2b/PPP2PP1/3Q2K1 b - -,d8c7
8/8/8/5k2/3q2p1/1K6/P7/5Q2 b - -,f5e5
6N1/4p3/2B5/p2p2k1/3b2n1/2p5/P3r1K1/2R5 w - -,g2f1
5k2/5pp1/1p2p2p/3b4/8/1P1nP3/P2N1PPP/3B2K1 w - -,f2f3
r1B1knr1/ppq1bp2/2pp1n2/6Np/3P2pP/2P3B1/PPQN1PP1/R3K2R b KQq -,c7c8
r2qrbk1/5p1p/bpppn1p1/p7/P2PPP2/2N1RQ1P/1P1N1BP1/R5K1 w - -,d4d5
r1bqk2r/pppp1p2/2n2n1p/4p1p1/1b2P2B/2NP1N2/PPP2PPP/R2QKB1R w KQkq g6,h4g3
r4k2/1p1r1pp1/1Qb2n1p/p2pq3/3R1N2/P1N1P2P/1P3PP1/3R2K1 w - -,d1d2
rnbq1rk1/pp2bpp1/4pn1p/2Pp4/2P4B/2N1P3/PP3PPP/2RQKBNR b K -,d5c4
2brn3/p5kp/2N1p3/2p2p2/2P5/3r1P2/PP5P/3RR2K w - -,c6d8
7k/4qp1p/3p1n1r/p1pPr3/1p2P3/1P1B1RP1/P3Q1KP/5R2 b - -,h8g7
r1b1kb1r/pp3ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP1B1PPP/R2QK2R w KQkq -,d1b3
r2q1rk1/2p1bppp/p1n2n2/1p1pp3/3PP1b1/1BP1BN2/PP3PPP/RN1QR1K1 w - -,d4e5
8/5p2/1Rp1k2P/1p1p2P1/p6r/P1P5/1PPK4/8 b - -,e6d6
1r2brk1/pp3ppp/4pn2/4P3/2N5/2R3P1/PP3PBP/3R2K1 b - -,f6d5
r3r3/5b1k/1q5p/p1pp4/3pp1PQ/1P1P4/P2B1P2/3RR1K1 w - -,g1g2
rnbq1rk1/5pbp/pn1p2p1/1PpP4/2P2P2/2NB3P/1P2N1P1/R1BQK2R w KQ -,e1g1
r2q1rk1/pp2pp1p/3p2p1/3b4/3QPP2/1P5P/P1P3P1/3R1RK1 w - -,e4d5
r1bq1rk1/4bppp/2p2n2/p2p1PB1/Np1P4/3B1Q2/PPP3PP/R3R1K1 b - -,c8a6
r1b5/1p4qk/n5p1/P1nB1p1p/2P1p3/6P1/R1Q1PP1P/3R2K1 w - -,c2d2
8/1pr3kp/p2R4/5B2/5P1P/8/n5P1/5K2 b - h3,c7f7
8/8/6R1/1K5p/P7/1P3k2/7r/8 w - -,a4a5
r3k2r/1p1bbpp1/1n1p3p/q1nPp3/p3P2P/2N1BPP1/PP1QBN2/R4RK1 w kq -,f1c1
r3kb1r/1b3ppp/2p1pn2/1p2q3/2p5/2N3P1/1PQ1PPBP/R1BR2K1 w kq -,a1a8
b7/8/8/p3k3/2P1n1p1/K3R3/P7/8 b - -,a8c6
r1r3k1/p4pb1/n1b3pp/1p2p3/4P3/1B2B3/PP1N1PPP/2R2RK1 b - -,a6b4
rnb1k2r/pp1pppbp/1q4p1/3pP3/3P4/2P1B3/PP3PPP/1R1QKBNR b Kkq -,e8g8
3B4/3q1kp1/2bQ1p2/2P1p2p/4P2P/5P2/2P2KP1/8 b - -,d7b7
5k2/4p2p/3p2p1/2pPb3/2P1N3/1P1R1P1P/1r4P1/6K1 b - -,h7h6
r2q1rk1/p4ppp/bpnp1n2/2p1p3/2PP4/2PBP3/P1QN1PPP/1RB2RK1 w - -,f2f4
8/8/8/8/PkP4p/1P2R1p1/2r5/6K1 b - -,c2d2
r1bq1rk1/pp1n2pp/3bp3/2p2p2/3P3R/3B1N2/PPP2PPP/R1BQ2K1 w - f6,d1e2
8/p4p2/4bkp1/7p/1Pp3PP/P3RP2/2K5/8 w - h6,g4h5
r1bq1rk1/pp3p1p/2n1pbpB/3n4/3P4/P1NB1N2/1P2QPPP/R4RK1 b - -,f6g7
2rqr1k1/1p1bbpp1/p1n2n1p/3p4/N4B2/PN4P1/1P2PPBP/2RQ1RK1 b - -,c6a5
r4b1r/p4kpp/1pp1p3/4P3/nPB1P3/P3BP2/6PP/2KR3R w - -,d1d7
3r2k1/p4pp1/1p5p/6q1/1P4Q1/P3PPbP/1B6/2R2K2 w - -,g4g5
2r1r1k1/pp3p1p/1qp3p1/3pPn2/1P1P3P/5N2/P2Q1PP1/2R2RK1 b - h3,h7h5
2r1r1k1/1p5p/p1qp2p1/4p3/4Q1P1/2B4P/PP4B1/3R2K1 b - -,e8d8
8/R3bp1p/4k3/1p6/1rN3p1/3PP3/5PKP/8 w - -,a7a6
2r3k1/2p2ppp/np2r3/3p4/p2P1B2/P5P1/1PR1PP1P/2R2K2 b - -,c7c5
rnbqk2r/ppp2ppp/3b1n2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,d5c4:e8g8
1k1rr3/1pqnbpp1/p1bpp2p/8/3NPP2/2N5/PPP1QBPP/1K1RR3 b - -,e7f6
1rb2r1k/1p2b1pp/p4q2/P2Bpp1Q/1P6/N1P5/5PPP/R2R2K1 b - -,e5e4
4R3/7r/5pkr/3p2p1/3P2P1/P3PP2/1P2KP2/2R5 b - -,h7b7
1r2b3/6k1/3q4/p1pnpR2/2Q3B1/P1nP2P1/P4P1P/6K1 w - -,g4f3
1r3rk1/4p3/5p1Q/p2PP1p1/1q6/6P1/1n2BPP1/2R3K1 w - -,h6g6
r7/2k2p2/2p1q1p1/p7/3Q4/PPR1P3/4KP2/8 b - -,c7b7
4r3/5r2/p7/1pk5/2p1p1P1/1PPnR1P1/P1K5/3R2N1 b - -,f7f2
1r6/pp1kp3/3n2p1/3BR2r/6p1/1P4P1/P4P2/3R2K1 w - -,e5e3
r4rk1/pbp2ppp/1p1q4/n1p1n3/P3PR2/3PB2P/BPPN2P1/R2Q2K1 b - -,a8d8
3k4/2R5/4K3/1r2B3/8/8/8/8 b - -,b5e5
3qn2k/p2n2r1/P2p4/2pPp3/1rP1Ppp1/1R6/3N1PPN/2Q1R1K1 b - -,d8h4
r2q1rk1/1b1nbppp/4p3/p1PnP3/PpB5/1N3N2/1P1BQPPP/R4RK1 b - -,d7c5
r4r2/1p3pk1/1P1p2p1/p2Pp1b1/P3QqPp/1R1B3P/2P2P2/5KR1 b - -,f4e4
4k3/8/1R5P/2pP1p2/6p1/1p5r/1P4K1/8 w - -,b6f6
r1bq1rk1/5pbp/1n1p2p1/pP2p3/1B2P3/1Q1B1N1P/P4PP1/R3K2R b KQ -,c8e6
8/4k3/8/3BPP2/4K1p1/6P1/7n/8 w - -,e4f4
6r1/8/1p1k4/p1p1nBb1/P1P2B2/1P3R2/3K4/8 w - -,d2c2
1b6/3R1pkp/3p2p1/3bp3/1P4P1/4B2P/1r3PN1/6K1 w - -,e3g5
3qr1k1/r2n1ppp/bp1Bp3/3p4/3P4/6PP/PQR1PP2/1R3BK1 b - -,a6c4
4k3/1R3p2/6pp/8/p2r4/P7/1P3P1P/5K2 w - -,f1e2
8/5k2/8/2PKB3/5N2/8/p7/7r b - -,h1f1
8/7p/1N6/3kpp2/3p4/2nP1P2/r3P2P/4RK2 b - -,d5e6
5r1k/6p1/Q2b3p/4p3/N5n1/2B3P1/2BR1P1q/5K2 w - -,f1e1
4r3/1b4kp/3p2p1/1p6/4P1p1/1P1B4/5PP1/4R1K1 w - -,e1c1
4b2k/1p6/p6p/3qp3/PP6/K1Q5/3R2P1/8 b - -,d5e4
4br2/1q2ppbk/p1r3pp/2Pn4/1P6/2BB1N1P/R1Q2PP1/4R1K1 w - -,c3g7
8/5pk1/7p/1R3K2/4P1PP/1p3P2/8/1r6 b - -,b3b2
r2r2k1/1p2bppp/1np1p3/1p6/3Pb3/1P3NP1/P2BPPBP/R4RK1 w - -,d2c3
2r1r1k1/1p5p/pq1p4/2nPnp2/2P2Q2/1PR5/P3BRPP/6K1 w - -,f4f5
r2r2k1/2qbbppp/p3p3/1p2P3/P2BpPP1/2P5/1P2BQ1P/R4RK1 w - -,a4a5
1rbq1rk1/3nppbp/3p2p1/1pp5/1P2PP2/3PB1PP/2P1N1B1/1R1Q1RK1 b - -,d8c7
r2q1r1k/p2p2pp/3Pp3/npp2p1Q/8/2PP2P1/PP3PKP/R1B1R3 b - -,d8b6
4rrk1/1b1n1pbp/3q2p1/1p6/1P1pP2B/2p2P1P/P1B1N1P1/R1Q1R2K w - -,e1d1
8/8/ppk3pp/5p2/2P2P2/1P1r2P1/P3RK1P/8 b - -,c6d7
r5k1/7p/2b3p1/1p1q1p1n/p7/P1P1N1PP/1PB2Q1K/4R3 b - -,d5f7
rnbq1rk1/ppp2pbp/3p1np1/1P2p3/2P5/4PN2/PB1P1PPP/RN1QKB1R w KQ -,d2d3
1R6/6k1/P5p1/5p1p/3K1P1P/6r1/8/8 b - -,g3a3
r2qr1k1/pBp2pp1/5n1p/4p3/2P5/P1BP2Pb/1P3P2/R2QR1K1 b - -,a8b8
r2qkb1r/pp3ppp/2n1pn2/3p3b/3P1B2/2P2N1P/PP2BPP1/RN1QK2R w KQkq -,b1d2
1n1r2k1/p4pbp/PN6/1b2p1Np/4P3/2P3P1/1B3P1P/R5K1 w - -,b6d5
3qrrk1/1p3p1p/p2p1np1/b2Pp3/6P1/2P2P2/PPB1RQNP/3R3K w - -,f2h4
4rb1r/pp1k1bpp/2n1pp2/3p4/3P1BP1/2PB1N1P/PP3P2/2KR3R w - -,h1e1
rn1qr1k1/pb3ppp/1p3n2/3p4/2pP1N2/bPN1P3/P2B1PPP/1BRQ1RK1 w - -,c1c2
8/4k3/1r6/4P1K1/R7/8/8/8 w - -,a4f4
1r3rk1/1b2n1bp/pq1p2p1/1ppPpp2/4PP2/1P1P2P1/PB1QN1BP/2R2R1K b - f3,b8c8
7B/8/2b5/5kp1/8/6K1/1Rr3P1/8 b - -,c2c4
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/2N1PN2/PP1B1PPP/R2QK2R w KQkq -,a2a4
3r1rk1/p5b1/1p2p1p1/2pP3p/4N3/Pn2P1P1/1P3PK1/1RBR4 b - -,d8d5
r4rk1/pppqn1pp/1bn2p2/3p4/3P1N2/P2bB3/1PP1NPPP/R2QR1K1 w - -,f4d3
6k1/5p2/p5p1/3P2Q1/2q4p/7B/5bK1/8 b - -,f2g3
4r1k1/pp5p/2p1r3/3nNp2/1P1P1p2/4P1P1/P2B2K1/R1R5 w - -,g3f4
5rk1/p4p2/1p4bp/4q1p1/3NP3/2r2PP1/P4QP1/R4RK1 b - -,c3d3
R7/8/8/8/4pkr1/6p1/6K1/8 w - -,a8f8
1r1q2nk/p1pP2br/b1B1P1p1/5p2/1N3Q1P/B4P2/PP6/1K1RR3 b - -,d8f6
r2qk2r/1p2bpp1/pnp1pn1p/8/3P1Bb1/2N2N2/PPPQBPPP/3RR1K1 w kq -,f3e5
2k1rb1r/ppqb3p/5p2/3pnP2/2nN4/PNP3PB/7P/R1BQR1K1 b - -,f8d6
rnbqkbnr/1p1p1ppp/p3p3/2p5/P3P3/5NP1/1PPP1P1P/RNBQKB1R b KQkq a3,d7d5
4k3/8/2p2K2/4P3/8/8/R7/4r3 w - -,f6e6
2rq1rbk/1p4bp/2n2np1/p2pp3/6P1/1NP1BN1P/PP2BP2/1Q1RK2R w K a6,b3c5
3k4/7p/pN1P2p1/4nb2/1p1R4/4P2P/1P4K1/8 b - -,a6a5
r1bqk2r/pp2ppbp/2np1np1/2p5/2P2P2/1P2PN2/PB1PB1PP/RN1QK2R b KQkq -,e8g8
8/8/R7/4nk2/6p1/2P3P1/P4KBP/3r4 b - -,d1d2
r1bqk2r/ppp1npp1/1b1p1n1p/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R w KQkq -,d2f1:d2c4
8/1Q6/p1p2pk1/5p1q/3P3P/P7/1P6/4K3 b - -,h5h4
2k4r/ppb3q1/2p1p3/3p1p2/1N1P3p/2Q4N/P1R2P2/4K3 b - -,f5f4
r1q2rk1/p2n1ppp/1p2p3/2p5/3P4/1BQ1Pb2/PP1R1PPP/2R3K1 w - -,g2f3
rnbqk2r/1p1nbppp/p2pp3/6P1/3NP2P/2N1B3/PPP2P2/R2QKB1R b KQkq h3,b7b5
r3k2r/pb1p2pp/1qp1p3/4Pp2/Q1Pb1P2/3N2P1/PP2K2P/1RB2R2 b kq -,c6c5
r4rk1/qb3pp1/1p2p1np/p1b1N3/P2p4/1N1P2PR/1PRB1PBP/3Q2K1 b - -,b7g2
r2qk2r/ppp1bppp/2n2n2/3p3b/3P1B2/2NB1N1P/PPP2PP1/R2Q1RK1 b kq -,e8g8
4r1k1/b1Rb1pp1/p3rn1p/Pp1p1N2/1n1P4/1B2B1NP/1P3PP1/2R3K1 b - -,a7b8
r1bqr1k1/1p1n1ppp/p1pbpn2/3p4/2PP4/1PNBPN2/P2B1PPP/2RQ1RK1 w - -,h2h3
3r2k1/2q2pp1/2p2n2/p3p2p/PpNRP3/5P2/1PP1Q1PP/R5K1 b - -,d8d4
6k1/5p2/2p1n1p1/1pPp2P1/1P1P1K2/2qNQP2/8/8 w - -,f4g3
6k1/5ppp/4p3/p3Pb2/1p3P2/1Ppr1N2/P3K1PP/2R5 b - -,h7h5
r4k1r/pp2npp1/2n1p2p/q2pP2P/b1pP4/P1P5/2PBNPP1/R2QKB1R b KQ -,a5c7
r1b2rk1/pp4pp/2p5/2Ppqp2/PP6/4PBP1/2Q2P1P/R4RK1 w - -,f1d1
1r6/6P1/8/8/1p1pk3/1P6/1KP3R1/8 b - -,b8g8
r2q1rk1/pb1nbppp/1p2p3/2pn4/3P4/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,a2a3:c3d5
8/7p/1R2p3/5k2/1P6/3b1P2/1r4P1/6K1 w - -,b6b7
b1r2rk1/2pN1ppp/p7/Bp2n3/4P3/6P1/PP3PBP/R3R1K1 b - -,e5d7
2r2rk1/5pnp/6p1/1Q2P3/P3N3/q5P1/5P1P/3RR1K1 w - -,e1e3
1R6/5b2/5kp1/8/4B2P/5PK1/8/7r b - -,h1g1
r4rk1/3bqppp/p2b4/2pP4/2P5/3pB2P/PP3P2/1KQR2NR w - -,g1f3
r5k1/pppq1p1p/5bp1/3p4/3P1B2/2P1Q3/PP3PPP/R5K1 w - -,a1e1
R7/1PK3pk/8/8/p6p/1r6/7P/8 b - -,g7g5
r2qr1k1/1b1nnpp1/p1p1p2p/1p6/P2PP2P/B3QN2/4BPP1/R4RK1 w - -,f1d1
r2qr3/1p3pkp/3p1np1/p1n1p3/2P1P3/PPN1Q2P/4BPP1/1R3RK1 b - -,c5e6
r2q1rk1/pp3ppp/2n1pn2/2bp2B1/Q5b1/2PBPN2/PP1N1PPP/R3K2R b KQ -,g4f3
3k4/5p2/4p1p1/nB2P1P1/P1p2P2/3p4/3K4/8 b - -,d8e7:d8c7
5Q2/1p2p3/p5pk/3pq3/P3p3/7P/6P1/5R1K b - -,h6g5
