8/5K2/6PB/7k/8/8/1p6/8 w - -,g6g7
r4rk1/p4ppp/8/2pQ4/5P2/4P2q/PP1R1P1P/2R2K2 w - -,f1e1
r3r1k1/pp4pp/2bB2n1/2P1pp2/2B4P/2N2nP1/PP1R1P2/2K3R1 b - -,g8h8
8/8/6p1/3k3p/5RnP/4BK2/3r2P1/8 b - -,g4e5
r3r1k1/1pp1qbp1/3p1p1p/pNn5/2P1P1B1/PP3P2/2QR2PP/3R2K1 b - -,h6h5
2rr2k1/pp3ppp/1b2q3/8/8/2B1PN2/PP2QPPP/R4RK1 w - -,a2a3
3r1rk1/1bq1bppp/ppnppn2/6N1/2P1NP2/1P2P3/PB1QB1PP/3R1RK1 b - -,f6e4
3k4/r1pb4/p2p1n1p/3Pb1pP/2R5/1P3B2/P3N3/2R1K3 w - -,e2d4
r1b2rk1/pp2npp1/2pN3p/4N3/8/1nP5/PP3PPP/R4RK1 w - -,a2b3
rqr2bk1/1p3p1p/p3bnp1/2P1p3/8/2N1B3/PPQ1BPPP/2R2RK1 w - -,b2b4
3rrnk1/1p3ppp/p1pB1n2/P1Pp1b2/R2P4/2N4P/1P1K1PP1/5B1R w - -,a4b4
rnbq1rk1/ppp1pp1p/5bp1/3p4/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQ -,e2e4
8/p3k3/R7/5K1p/3P4/6rP/6P1/8 w - -,a6a7
6rk/1p2Rpq1/p2P4/2pP4/P2b1Pb1/2NQ4/1P3BP1/6K1 w - -,d3g3
r1bqk1nr/pppnppbp/3p2p1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,c7c6:e7e6:e7e5
r2qk2r/pp2bppp/2n1pn2/3b4/2NP4/4BN2/PP2BPPP/R2Q1RK1 w kq -,f3e5
2r1k1nr/2n1ppbp/2p3p1/2P5/1p1P4/P4N1P/5PP1/R1B1KB1R w KQk -,a3b4
8/1p4bk/7p/2p2bp1/8/2Nr1N1P/PP1R1KP1/8 w - -,d2d3
r2q1rk1/pb2bppp/1p2p3/2p5/3PnB2/2PBPN2/P3QPPP/2R2RK1 b - -,h7h6
3R4/5K1k/2p1P3/8/1p2b1P1/8/8/8 b - -,b4b3
1k5r/pp1rn3/2n2p1p/3pp2P/q1pP2Q1/P1P3P1/2PB1PN1/R3R1K1 b - -,d7d8
r1q2bk1/pp3pp1/2n2n1p/3pr3/3N4/2N1BBPb/PPQ1PP2/3R2KR w - -,d4c6
rnbqr1k1/pp3ppp/2pb1n2/3p4/3P4/2NBBN1P/PPP2PP1/R2QK2R w KQ -,e1g1
r4b1k/1b2q2p/p1p5/1p4p1/P3N3/6P1/1PP2QBP/4R2K w - -,c2c3
4r1k1/pp2q1pp/2pp4/4nP1n/5p2/P4P2/1PQ3PP/1BB2RK1 w - -,c1d2
2b2r2/1p4bk/6pp/2pN4/2P2P1q/r2P4/4QPBP/1R3RK1 b - -,f8f5
2rbr1k1/5p2/np5P/3b2p1/3Pp3/P2NP1B1/1R3PBP/3R2K1 b - -,e8e6
8/2R5/r1p2kp1/2P1p2p/3pPP2/1P1K4/3R2P1/2r5 w - -,f4e5
8/3pk2p/2rnr1p1/2pR1p2/p1P2P2/P1KB2P1/1P5P/3R4 w - f6,d1d2
8/1p3k2/2pb2p1/1pB5/5PP1/5B2/PPK5/8 b - -,d6c5
b1rr2k1/4bppp/p1N1p3/Np1n4/nP1B4/P2BP3/4KPPP/2R4R b - -,a8c6
r1r3k1/1q1n1pbp/b1nBp1p1/p2p4/N2P4/pP2PNP1/5PBP/RQR3K1 w - -,d6a3
r2q1rk1/5ppp/p1npbb2/3Np3/1pP1P2P/6P1/PPN2P2/R2QKB1R b KQ -,a6a5
r1b2rk1/p5pp/2p1pq2/8/1Pp5/P7/4QPPP/RN2R1K1 w - -,b1d2
r1bqkb1r/ppp4p/2n1ppp1/1B6/3PP3/2Q2N2/PP3PPP/R1B1K2R b KQkq -,c8d7
r2q1rk1/pp3ppp/2n1b3/3nN3/Pb1P4/2NB4/1P1B1PPP/R2QK2R w KQ -,e5c6
rn2r1k1/pp3pbp/2p1bpp1/8/3P4/BPPB4/P3NPPP/R3K2R w KQ -,e1g1
8/4k3/2p2p1p/1p5P/1KbbPP2/3N1B2/8/8 w - -,d3c5
1Q6/2r3kp/3q1pp1/1p2p3/3p4/1P1B1PP1/n1P3KP/R7 b - -,c7c2
r7/2n2pk1/3p1q2/2p5/pp2PR2/1P1P4/P1PQ1KP1/8 b - -,f6d4
r2q1rk1/pp2bppp/1np1p3/5b2/3Pn3/1QN3P1/PP1NPPBP/R1B1R1K1 b - -,e4d2
8/R7/1p2pR1p/4n3/Pk3KP1/8/1P3P2/2r3r1 b - -,c1e1
3qr1k1/pb3p1p/1p4p1/2rP4/2nRB3/P4N2/5PPP/2QR2K1 b - -,e8e4
r2qk2r/pb1pppbp/1pn3p1/2p2n2/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 w kq -,e2e3
6r1/1pk5/2p2P2/p7/2P5/8/P2K4/5R2 w - -,c4c5
8/2k5/8/PP2n3/2K5/5p2/8/5B2 w - -,c4c5
7r/1pk1bnpp/2p1bp2/4p3/rPP5/4P2P/3NBPP1/1RB2RK1 w - -,c4c5
r1b1r1k1/1p1n1pbp/pq2p1p1/3pP1P1/Pn3P2/1PN4R/1BPQN1BP/3R3K b - -,d7f8
rn1qkb1r/1b1p1p1p/p3pp2/1Pp5/3PP3/5N2/1PPN1PPP/R2QKB1R b KQkq -,a6b5
6rk/pp3p2/4pq1p/3b4/2p1nP1P/2P1QN2/P5P1/4RBK1 w - -,e3a7
r3kbnr/pp1npppp/2p5/3q4/Q2P4/4P3/PP3PPP/1RB1KBNR w Kkq -,g1f3
rn2k2r/1b1pbppp/1q2p3/1Bpn4/N7/1Q2PN2/PP1B1PPP/R4RK1 b kq -,b6a7
5rk1/pb2r1pp/5b2/3ppB2/2p3Q1/2P1B2P/Pq3PP1/3RR1K1 b - -,b2b5
r7/P4k1p/6pB/1R5n/8/5P2/p6P/7K w - -,b5a5
rnbqkb1r/p2p1ppp/4pN2/2p5/1p2P3/6N1/PPPP1PPP/R1BQKB1R b KQkq -,d8f6
r4rk1/2q2ppp/5b2/p2Rp3/1p6/1Q6/PP2N1BP/K6R w - -,b3e3
5rk1/Rp3ppp/1P1Qp3/2p5/2Nn3q/1P6/3P1PPP/6K1 w - -,d2d3
8/1k6/pp1B1p1p/2p3p1/b1Pp3P/3P2P1/8/2K5 w - -,d6e7
2rq2k1/pb3n1p/1p3bp1/3p4/8/6P1/PP3PBP/R1BQ1NK1 b - -,d8d7
5r2/2r1ppkp/2Pp2p1/3Q4/R7/n1q3P1/4PPBP/5RK1 w - -,f1d1
r1b1k2r/pp1pppbp/2n2np1/q7/2PN4/6P1/PP1NPPBP/R1BQK2R w KQkq -,d4c6
2kr2nr/1pqnbp2/p2p2p1/P1pPp2p/N1N1P2P/8/1PPBQPP1/R3K2R b KQ -,f7f5
5k2/pp6/2npPq2/2p2BQ1/2Pr1P2/1P5P/P7/5R1K b - -,f8e7
r4r1k/pR3n1p/3p4/1N6/3PN3/4b3/PP4PK/5R2 b - -,d6d5
3qr3/1r3pbk/p1pB1npp/8/2P1P3/2N3P1/P2Q1PK1/3R1R2 w - -,f1e1
1r2r1k1/3b1qb1/3p4/1p1PppBn/2p3pP/2P5/1PBQ1PRN/R5K1 w - -,f2f3
r4rk1/2q2pb1/p1p1p1np/3pP3/6Pp/2P2NB1/PP1Q1P2/R3R1K1 w - -,f3h4
7k/2bn1q1p/2b5/2P1p2n/3pP1pP/B7/P4P1P/R2QR1K1 w - -,d1g4
r4rk1/bbp1qppp/p1n2n2/P2Bp1B1/1p2P3/1N3N2/1PP2PPP/R2QR1K1 b - -,h7h6
2r1k3/p4pb1/1ppRp2p/4P1p1/1PP2BP1/P4K2/5P1P/8 w - -,f4g3
3r1k2/2p2pp1/1p1r2q1/p3p1P1/2PpR3/3P1P2/PP1QP3/2KR4 b - -,d6e6
r4r1k/1p2Npbp/3B4/8/p1P5/P4PP1/1P1RP2P/n5K1 b - -,f8d8
8/p2kbpp1/1p1n3p/2pB4/PP6/2PKB1PP/5P2/8 b - b3,c5b4
r1bqkb1r/ppp1pppp/1nn5/4P3/3P4/1B3N2/PP3PPP/RNBQK2R b KQkq -,c8f5
rn1qr1k1/p5pp/4pn2/b1p1p3/Q1p5/P1N3P1/1P3PNP/R1B2RK1 b - -,a5c3
r2qk2r/pp4b1/2p1bnnp/2Pp2p1/1P1Pp3/2N1P1B1/P2NB1PP/R1Q2RK1 w kq -,g3d6
4rrk1/pp1R3p/2p3p1/1nP5/1P2p3/2Q3P1/P4PBP/4R1K1 b - -,b5c3
r5k1/1p3pp1/2q4p/3p4/2nP4/1Q1BP2P/5PP1/5RK1 w - -,b3b4
r3kb1r/1p1b1p1p/pq2p2p/3pP3/1n1P4/P1N2N2/4BPPP/1R1QK2R b Kkq -,b6c7
4rk2/p3q2p/1pQpPnp1/1P2p3/8/5PPB/P6P/2R3K1 w - -,c6c3
r1bqkb1r/pp1npppp/5n2/2pp2B1/3P4/2N5/PPPQPPPP/R3KBNR w KQkq c6,d4c5
4r3/pp2rpR1/2b2k2/2p2P2/4PK2/1PP5/P7/1B4R1 b - -,c6e4
r4rk1/2qn1pp1/4p2p/pp1pPn2/2pP4/P1P4P/1PQN1PPN/2R2RK1 w - -,h2g4
1Q6/5pk1/4n1p1/3pPp1p/3P2P1/5R2/6PK/r1r5 b - -,h5h4
7r/1b6/6kp/1B4PR/3pp3/8/2P2K2/8 w - -,h5h6
r1b2rk1/pp2qpbp/2p2np1/2n1p1N1/P1B1P3/2N1B3/1PPQ1PPP/3R1RK1 b - -,c5d7
8/5k2/7r/4PKRp/7P/8/8/8 b - -,h6h7
r1r3k1/pp1bqppp/2n1p3/3p4/3Pn3/3QBNP1/PP2PPBP/R4RK1 w - -,f1c1
r2qkb1r/1p3pp1/p1bp3p/4pP2/4P3/1P1Q1N2/1PP3PP/R1B1K2R b KQkq -,f8e7
1r6/8/3p1k2/p1pBppp1/5b2/1P1P3P/P1R2PK1/8 w - -,c2c4
rnb2rk1/ppq2pbp/2pp1np1/4p3/3PP3/2N2N1P/PPP1BPP1/R1BQR1K1 w - e6,c1e3
rr2q1k1/2p2pb1/3p1np1/1N1Pp2p/p3P1P1/3QBP1P/PP1N2R1/1R4K1 b - -,e8b5
6k1/5p2/6p1/R7/1P1p2P1/P4K1P/1r4P1/8 b - -,d4d3
r3r1k1/1p3p1p/2p1bbp1/2P1p3/p1B1P3/1P3N2/P4PPP/R2R2K1 b - -,e6c4
2R5/1p1r4/1P6/5pPp/7k/4PK2/8/8 b - -,h4g5
2r2r2/pp1n2k1/3p1qp1/P2P1p2/2P1pP2/1P1nQ1pP/3N2BK/R2R4 w - -,e3g3
rn1r2k1/pq2bppp/1p2pn2/8/8/1QN2NP1/PB2PPKP/2R2R2 w - -,g2g1
1rn3k1/p2q2np/Pp1p1rp1/2pNpp2/2P1P3/1P1Q2P1/1B1P1P1P/R4RK1 b - -,f6f8
2r1r1k1/pppb2pp/3p1b2/3P1p2/1B1pPP2/P2P2P1/1P4BP/2R1R1K1 b - -,f5e4
6k1/2q2p2/2p2np1/2Pp1pb1/3P4/4P1p1/2Q2PBP/B5K1 w - -,h2g3
5rk1/pb2ppbp/1p4p1/3NP3/3Q2P1/1P4BP/P2R1P1K/2q5 w - -,d2d1
r3kb1r/pp1n1ppp/1qp1pn2/3p3b/2PP4/1QN1PN1P/PP1B1PP1/R3KB1R w KQkq -,f1d3
r2q1rk1/pbp2pp1/1p2p3/2n1P2p/2P1p3/BP2P2P/P2N1PP1/R2Q1RK1 b - -,d8g5
8/5ppk/5n2/5P1p/1p1R3P/6N1/1P1K2P1/2r5 b - -,c1g1
6k1/2n2pb1/2B1p1p1/4P2p/p2pQ2P/P2N2PK/1Pq2P2/8 w - -,f2f4
8/R4p2/4pPk1/2p1P2p/4K1pP/6b1/8/8 w - -,a7a8
r4rk1/2qbbppp/p2ppn2/1p4B1/3NP1P1/2N2P2/PPPQ3P/1K1RR3 b - g3,a8c8
1rbq1rk1/3p1pbp/2nN1pp1/8/1ppP4/5NP1/PP2PPBP/1R1Q1RK1 b - -,c8a6
8/6Q1/2kn2p1/P3p3/8/6PP/8/2q3K1 w - -,g1g2
2r2rk1/p3ppb1/1p2b1pp/1q1p4/N2P1B2/1P2P2P/P4PP1/2RQ1RK1 w - -,d1d2
8/8/3K4/2Pp4/2k5/8/8/r7 w - -,c5c6
r2qkb1r/pp1n1pp1/2p1pn1p/3p1b2/2PP4/1Q3NP1/PP1NPPBP/R1B1R1K1 b kq -,d8b6
5k2/8/1p4p1/1ppB2P1/4P3/P1P2nN1/8/7K w - -,h1g2
q5k1/3r1pp1/p2B2np/1pb1PN2/8/1BP2R1P/PP1r1nPK/R3Q3 b - -,f2e4
1r2r1k1/p1np1p1p/1pqQ1np1/2p5/P1P5/2P2NPP/4PPB1/R3R1K1 w - -,d6f4:d6d3
r4rk1/ppq2p1p/2p3p1/4bb2/1P6/6P1/PBQ1PPBP/R4RK1 w - -,b2e5
rn1qk2r/pp2bppp/2p1bn2/4N3/P1BP4/2N5/1P3PPP/R1BQK2R b KQkq -,e6c4
2r2bk1/p1N1qp1p/1n4p1/4B3/3p4/1Q4P1/1P3PBP/R5K1 b - -,e7e5
8/1k6/8/5p2/3Qp2q/8/4B3/5N1K w - -,f1h2
8/7p/1Pk3p1/8/5K2/7P/6P1/8 b - -,c6b6
rn2kb1r/ppp2ppp/3qp3/7b/2BP4/4PN1P/PPP3P1/RN1QK2R w KQkq -,d1e2
1r4k1/p1q2pp1/4p2p/2p1P3/2Rr4/1P6/P4PPP/4QRK1 b - -,c7a5
8/1p6/p7/6p1/P4kP1/1PR1bB2/5p2/5K2 b - -,f4f3
2kr3r/ppp1n3/2nq1p2/3p2p1/PP1P2bp/2PB1N2/2QN1PPP/R4RK1 b - a3,d8g8
6k1/r6p/3r4/p1qP2p1/RpP1R3/4P2p/1Q3P2/6K1 w - -,e4e8
2kr3r/pbq1bpp1/1pn1pn1p/2pp4/4P3/P1PP1NP1/1P1NQPBP/R1B1R1K1 w - -,b2b4
1kbrr3/p1q3p1/1p1b1pNp/2pP1p2/2P4P/8/PPQB2P1/1K1RR3 b - h3,b8b7
2r2rk1/6pp/2npp3/4q3/1pP1P1Q1/1PbNB2P/6P1/2RR2K1 b - -,e5f6
8/3K2k1/8/4P2B/Pp1n4/8/8/8 w - -,e5e6
8/3r1pk1/2R2p2/1pB1p2p/nP2P2P/5P2/6P1/5K2 b - -,d7d1
4r1k1/3b1p1p/3p2p1/qP1P4/2Q5/6PP/5PB1/2R3K1 w - -,g2f1
4rk2/4bp1p/p1nB2p1/1p3b2/B7/5P2/PP3PKP/2RR4 b - -,c6b4
r4r1k/p4P1p/5p2/2pBn2n/4P3/2P5/P3bPPP/R3R1K1 w - -,d5a8
5bk1/B4pp1/p3q2p/3p4/Ppr5/3Q3P/1P2rPP1/4R1K1 w - -,e1e2
r4rk1/pp1q2bp/3p2p1/2pPn3/2P2N2/PPN3P1/3Q2bP/R4RK1 w - -,g1g2
rn3rk1/pb2bppp/1p2p3/2n5/4PB2/P1N2N1P/1PB2PP1/2RR2K1 b - -,h7h6
3r1k2/2p2p2/p2rb2p/1p4p1/1P6/2P1R1NP/1P3PP1/4R1K1 b - -,d6d2
r1b2rk1/1p3pbn/p2p1q2/2pPn1p1/P3P2p/2N1BP1P/1P2BNP1/R2Q1RK1 w - -,a4a5
8/2B4p/2b2b2/8/4k2N/6K1/8/8 b - -,h7h5
r1b2rk1/pp3ppp/2nq1n2/3p4/3Pp3/1P2PN2/PBQ2PPP/R3KB1R w KQ -,f3e5
8/5k1p/4pP2/8/p1p1P1n1/8/PP3B1P/1K6 w - -,f2h4
8/7p/1k4p1/5p2/1KP5/4P2P/P5P1/8 w - -,a2a4
2r3k1/p4ppp/4pn2/1Nb2b2/1r1N1B2/6P1/Pn2PPBP/2R2RK1 b - -,b2c4
6k1/5pp1/6p1/8/2P5/2B2P1P/2n2KP1/q7 w - -,c3a1
8/3k4/1p2R3/5P1K/3r4/7P/8/8 w - -,e6b6
r1bqr1k1/1p2bpnp/2p2np1/1p1p4/P2P3B/2NBPN2/2Q2PPP/1R3RK1 w - -,a4b5
r3r1k1/1pp1npp1/p2p1n2/4qN1p/3NP3/2P1RPP1/PP2Q2P/2R3K1 w - -,f5e7
1q1k3r/2p2pp1/1pP3b1/pP1P4/P3p2r/2N1P1b1/3N1RB1/2Q2K2 w - -,c1a3
4k2r/2p1npp1/bp6/p1q1p1Qp/P3P1n1/2Pr2P1/1P1N1PBP/R1B2RK1 b k -,e8f8
r1r3k1/4ppbp/6p1/2B5/1p6/3R1P2/P1P3PP/2K4R w - -,c5b4
2r5/2p4k/1p1p1p1p/p2P4/P1P2NrB/2P3P1/8/4R2K b - -,c8f8
4qrk1/pp4p1/5Bp1/3pp3/P1rP2QP/1n3NP1/1P3P2/3R1RK1 b - -,g7f6
3R4/p3ppkp/2r2Np1/1b2p3/2p2P2/8/PPP3PP/2K1R3 b - -,e7f6
2rrb1k1/1q2bp2/ppnpp1p1/5PNp/1PP1P1n1/P1NBB2Q/6PP/2R2R1K b - -,c6e5
r3k2r/3p1p2/pb3p2/1b1Pp2p/1pqNQ3/5PP1/PPP4P/1K1R1B1R b kq -,c4c5
rnbqkbnr/pp1pp1pp/8/2pP4/6p1/7P/PPP1PP2/RNBQKBNR b KQkq -,g4g3
r3k2r/2qbbpp1/2nppn2/1N5p/4P2P/1N2BP2/PPPQ2P1/1K1R3R b kq -,c7b8
4r3/1p1r1kp1/p1p2p1p/4pN2/3nP3/1P1P3P/1PP2RPK/5R2 b - -,d4f5
4k3/8/5RNp/1p2P3/1P2b3/4K3/6PP/1r6 b - -,b1b4
rnbq1rk1/pp1nppbp/6p1/8/8/N1PB1N2/PP3PPP/R1BQ1RK1 w - -,c1e3
5k1r/pp5p/2b1RPp1/8/2B4b/2P5/PPK3P1/8 w - -,e6d6
r3k2r/pp1nn2p/3bb1p1/q1p1p3/2PpP1P1/PP1P2N1/1B2N1BP/R2Q1RK1 w kq -,g4g5
4r3/1p4pp/p1n2pk1/8/2BpbB2/PP5P/2PR1PP1/5K2 w - -,d2e2
4r1k1/1ppb1ppp/3p1q2/1PP1n3/5B2/2Q1PP2/4r1PP/2RR1K2 w - -,f1e2
8/8/4k3/5R2/5KP1/7q/8/8 b - -,h3c3:h3g2
6r1/ppq2p1k/2n2Ppb/8/3p3Q/2P2B2/P5K1/R3R3 b - -,g8h8
8/1rqb2k1/R2p1npp/1p1Pp1p1/1Pp1P1P1/2P1Q2P/3NBP1K/8 w - -,h2g2
5N2/2p2p2/2k1bN1P/4Pp2/prn2K1P/8/1P2R3/8 b - -,c4d2
8/1pq1ppkp/p2p1np1/P2P4/3QP3/6PP/1P3PB1/6K1 w - -,b2b4
r1bq1rk1/ppp3bp/2n2np1/4pp2/2P5/2N1PNP1/PP3PBP/R1BQ1RK1 w - -,e3e4
