5k2/p1r5/5Pb1/8/7Q/3K4/8/8 w - -,d3d4
rn2kb1r/pp1b1ppp/1q2pn2/3p4/3P1B2/2NBP3/PP2NPPP/R2QK2R b KQkq -,f8e7
r1b2rk1/4ppbp/3p2p1/1p6/P2pPP2/3P2PP/1P1qNRB1/RQ4K1 w - -,e2c3
r3k3/pp3pp1/2b1p2n/2N1P2r/3p3p/3P1N1P/PPP2PP1/R3R1K1 b q -,c6f3
r3qrk1/1pp2pbp/p2p2p1/3P4/P3PpP1/2N2Q2/1PP2P1P/R3R1K1 b - -,g7e5
rn1qkb1r/1ppn1ppp/p3p1N1/8/2BP2P1/2N1P2P/PP3P2/R1BQK2R b KQkq -,h7g6
2r4r/kp1q1pp1/3bp1p1/p2p4/P2P2P1/1PP2Q1P/K1RB1P2/7R b - -,d6e7
1r3rk1/p2q2b1/1pQpb1pp/2pNpp2/1PP5/P2P2P1/4PPBP/1RB1K2R b K -,d7d8
2r2r1k/2q1npbp/p2pp1p1/1p6/3nPP2/2P1B1PP/PP4B1/1R1Q1RK1 w - -,e3d4
5k2/1pr2ppp/4p3/p6P/PR4P1/4RB2/r7/5K2 w - -,b4d4
r4rk1/pp3pp1/1q2b2p/3pNn2/5B2/1P1Q4/P1P2PPP/R3R1K1 b - -,b6d4
r1bqkb1r/ppp2ppp/1nn5/4p3/2B5/2PP1N2/PP3PPP/RNBQK2R w KQkq -,c4b3
r3kb1r/1p1b2pp/5p2/2PNn3/pP2p3/2P5/P2B1PPP/RN1K3R b kq -,a8d8
7k/pp4p1/1bp4p/3b4/5P2/P2Br1N1/1P4PP/5R1K w - -,d3g6
8/3r2pk/3p1p1p/bp1NpP2/p1r1P3/P1P2KP1/1P1R3P/3R4 w - -,d5e3
3r4/2b4k/2P4p/ppP2p2/4p3/1N4P1/P1R4P/6K1 b - -,h7g6
r2qk2r/pp1nppbp/3P2p1/8/3p1Pn1/2N2N2/PPP3PP/R1BQK2R w KQkq -,f3d4
r1bqr1k1/pp1n1pbn/3p2p1/2pP4/4P2p/2N4P/PPQ1BPPN/R1B2RK1 b - -,a7a6
1R6/1p2k1p1/p1N1n2p/1p1p4/1P2p1P1/4P2P/5P2/6K1 b - -,b7c6
2rrbbk1/1pq2pp1/p2ppn1p/2n5/2PNP3/1PN1B1PP/P3QPBK/2RR4 w - -,f2f4
rnbqk1nr/p1p2ppp/1p2p3/3pP3/1b1P4/2N5/PPPB1PPP/R2QKBNR b KQkq -,d8d7
8/p1k3pp/2r5/1R6/4NP2/5KP1/PP5P/6b1 b - -,c6c2
4R3/bp1Q2pk/2p2p1p/p6b/2P3P1/1P2P3/PB2RK2/1q3N1r w - -,d7f5
r2qr1k1/1p2npp1/p1pb1n1p/3p4/N2P4/3QP1P1/PP1B1PBP/R3R1K1 w - -,a1c1
r5k1/p5pp/5p2/3p4/8/2B4P/P1b2PP1/2R3K1 b - -,a8c8
1R6/5pk1/4p1p1/4P3/3p1PpP/r3r1P1/P1R4K/8 w - -,c2g2
r1bqkb1r/pp3ppp/2np4/2pNp3/2B1P3/8/PPPP1PPP/R1BQK2R b KQkq -,c8e6:f8e7
3q4/1pr2pk1/p3b1p1/4p2p/P3P2P/1PrB1RP1/2PQ1R1K/8 b - -,d8d4
8/4kppp/3p4/pp1P3r/4KP2/2P5/PP1R3P/8 b - -,g7g6
2r2bk1/pp3r1p/6pB/1Pn2p2/8/2P4Q/b4PP1/2KR3R b - -,c5e4
r4rk1/3bbppp/p1p1p3/8/P7/4BB2/1PP2PPP/R4R1K w - -,f1d1
2q1r1k1/1p3pbp/5np1/p4P2/2PBn3/5B1P/PP2QP2/3RR1K1 b - -,c8f5
r1bq1rk1/1p3ppp/p2p4/3Pp3/nP2P3/6P1/P2QNPBP/R3K2R w KQ -,e1g1
3q3r/1k2bp1r/p1p1p1p1/Pp1pP1P1/1PnP1P1p/1KP4R/4B1P1/2Q3BR b - -,d8g8
3r1rk1/ppq2nbp/2pppnp1/8/1PP1P3/1QN3PP/P4PK1/1RB1RB2 b - -,f6d7
r2qr1k1/bpp1nppn/p6p/3bp2Q/4N3/2PP3P/PPB2PPN/R1B1R1K1 b - -,e7g6
8/8/8/1k5r/3KRN2/8/8/8 b - -,h5h1
r3qr1k/pp5p/2p1bn1b/2P2p2/2B5/3NpN1P/PPQ3P1/1K1R3R w - -,d3e5
2q1r1k1/p1r3pp/5p2/Q1pb4/3p4/P2P1PP1/1R2P1BP/2R2K2 b - -,d5f7
3Q4/2p1P1pk/4r2p/8/2P5/4qP1P/P2p2P1/6RK b - -,e6e7
r1bqkb1r/1p2nppp/p1n1p3/2p1P3/3p4/3P1N2/PPP2PPP/RNBQRBK1 b kq -,e7d5:e7g6
r1bq1rk1/1ppnppbp/3p1np1/pP6/2P5/5NP1/PB1PPPBP/RN1QK2R w KQ -,e1g1
5r1k/ppr1q1b1/3N4/2P1pb1p/Q5p1/6P1/P2RBPP1/3R2K1 w - -,d6f5
r5k1/p4p2/1p4p1/2b1N3/8/8/P4PPP/3R2K1 b - -,a8e8
r3k3/6pp/b1p1p3/p1BpP3/8/1P2Pp1q/PN1K1Q2/6R1 b q -,h3f5
r1b3k1/p3pp1p/2p3p1/4P3/2Brp3/1P6/P1P2PPP/R3K2R b KQ -,c6c5
8/p5pp/4k3/2p2p2/3p1P2/P2P1KP1/4P2P/8 b - -,e6d5
4R3/pp1b1rk1/1bp3p1/8/3P4/7P/PP3pB1/5N1K w - -,e8b8
1Q6/p2k1n2/1p2bP1P/3p1p2/1P1P4/5PB1/6PK/2q5 b - -,f7d8
r1b2rk1/ppQ2p1p/6p1/3p4/8/P3P3/1P2BPPb/R1BR1K2 b - -,h2c7
2bq1bk1/1p3p1p/p2r2p1/5p2/Q2N4/2P2B2/PP3PPP/4R1K1 b - -,b7b5
8/7R/pkp1r3/8/5K2/5P2/3P1P1P/8 w - -,h2h4
5rk1/r1n1qn1p/1p1p1pp1/2pPp3/P3Pb2/2R1N2P/1P1BBPP1/3QR1K1 b - -,f4e3
r1bq1rk1/1p2ppbp/p2p1np1/2pP4/P1P1PP2/2NB4/1P4PP/R1BQ1R1K b - a3,c8d7
r2q4/3r1k1p/ppQ2p2/2pNpp2/P2p2P1/7P/1PP2P2/4R1K1 w - -,d5b6
r5k1/p2n1p1p/1qQ3p1/8/3N2n1/1P4P1/PB2PP2/5RK1 b - -,g4e5
r3rbk1/2q2b2/5ppP/p1p1p3/2P4P/2B1QP2/1PPN4/2K1RR2 w - -,f1g1
r1bqk2r/1p3pp1/p1n1p3/2bpPn2/2p2P1p/1PN2NP1/PBPP2BP/R2Q1R1K w kq -,g3g4
7r/1qrkb1p1/p3p1Qp/1p5P/2p3P1/P1NnP3/1P3P2/1K1RB2R w - -,h1h2
r1b1k2r/pp3ppp/2n1pn2/3q4/1b1P4/2N1BN2/PP2BPPP/R2QK2R b KQkq -,e8g8:d5a5
r2qkb1r/pbp2ppp/1pnp1n2/4p3/3PP3/2PB1N2/PP1NQPPP/R1B1K2R b KQkq -,f6d7
8/6p1/5k2/5p1p/5R2/1r4P1/4KP2/8 w - -,f4a4
3rrqk1/1bp2pb1/1p2pnp1/p3P3/2P5/PP4N1/1BB1QPP1/3RR1K1 b - -,f6d7
5rk1/3r1qbp/1pn5/p1p3p1/P7/N1Pb2BP/1PQ2PN1/R3R1K1 w - -,c2c1
rnbqkb1r/1ppp1ppp/p3pn2/8/2P5/1P3NP1/P2PPP1P/RNBQKB1R b KQkq -,b7b5
r1b2knr/ppNn1p1p/6p1/8/2B2B2/2P5/P4PPP/R4K1R b - -,a8b8
5k2/6p1/4R2p/3r3P/6K1/5PP1/8/8 b - -,d5a5
8/7p/r5p1/2N1kp2/4p3/7P/5K2/8 w - -,c5a6
3Q4/6p1/1p2q1k1/1Pp1Rp1p/2P5/3P3P/6P1/6K1 b - -,e6e5
q7/2pn2bk/1p1p1npp/4p3/1PP1P3/1QBN1PP1/6KP/1N6 b - -,g6g5
rn1q1rk1/pb2ppbp/1pp3p1/3P2B1/3P4/2N3P1/PP2PPBP/R2QR1K1 b - -,c6d5
1r4k1/p3b2p/4p3/2p1Ppp1/5P2/1PBr2P1/P1R2K1P/2R5 w - -,c2d2
r2qr1k1/pb2b1pp/3pnp2/1pp1pNP1/4PnNP/3P1B2/PPP2P1K/R1BQR3 w - -,f5e7
1r6/3k4/rb1p1p1p/3Rp1p1/PPR1P1P1/1K3P2/1B5P/8 w - -,b4b5
4Q3/p5pk/b3p3/3qB3/1PpPpP2/4P1P1/5K2/8 b - -,c4c3
1rb1r3/p4k1p/2pb1pp1/p2p1p2/Nq1P4/1P2PQ1P/P1P1NPP1/K2R3R w - -,e2f4
1r1q2k1/p4pp1/1bn2n1p/3p4/8/RNP1BNPP/1Pb2PB1/4Q1K1 w - -,f3d4
r3r2k/4qp1n/p2p2pQ/Pp1Pp3/1Pp1P1P1/2P2NN1/5PP1/4R1K1 w - -,g1h2
8/1p1b4/p1pN1kP1/2Pp4/1P4P1/8/P4K2/8 b - -,f6g6
r1bq1rk1/pp3pbp/n3p1p1/2pnP3/4BP2/N1P2N2/PP4PP/R1BQ1RK1 b - -,a6c7
N4r2/1p3p1k/p2p2P1/7p/3b2bP/8/PPP5/1K3R1R b - -,h7g6
3r2k1/1p1r2pp/3P1p2/p1n1p3/8/1PN1P3/P2R2PP/3R2K1 b - -,g8f7
b1r1k2r/3nbpp1/pq1pp3/1p5p/4PPn1/PN1B4/1PPBQNPP/4RRK1 w k -,d2a5
1rn3k1/p1r2ppp/R2bp3/3p4/1PnP4/2PB1P2/3B2PP/R1N3K1 w - -,d2e1
8/4r3/6k1/4K2p/7P/2R3P1/8/8 w - -,e5d5
5r1k/p6q/bp2p2Q/4P2P/5pB1/8/P5P1/6K1 w - -,h6f8
8/4k3/3p4/3Pp3/4P2p/1p4r1/1P2KR2/8 w - -,f2h2
r1r3k1/4bp2/3pqn1p/n1p1P1p1/5B2/P1N2NP1/1PQ1RPKP/3R4 b - -,f6h5
7r/kp4p1/p6q/2p1pR2/2PpP3/PP1Pb1Pr/4Q1RP/6NK b - -,e3g1
r2q1rk1/1p1b1pp1/p2pp2p/4n3/8/P1PB1NP1/2P3PP/R2Q1RK1 b - -,d7c6
5k2/p5bp/r2p2p1/2p1r2q/2B5/1P4P1/P1Q1PP1P/2RR2K1 b - -,a6b6
5R2/4k3/6p1/2n5/p1P2pKP/4b3/P7/8 w - -,f8g8
1rb5/6r1/1p1b3k/2pBp3/2P1Ppp1/2N5/1R3PPP/R5K1 w - -,c3b5
r2qk2r/3bb3/1pn1pp2/p2pPp2/1P1P1P1p/P2NB1P1/4N1KP/1R1Q1R2 b kq -,a5b4
2r2rk1/p2nqppp/bp6/4p3/2P2B2/PPN3P1/1Q2PPBP/R5K1 w - -,f4d2
r3kb1r/pp3ppp/1qn1pn2/3p1b2/2pP1B2/2P1PN2/PP1N1PPP/R1Q1KB1R b KQkq -,b6d8:f8e7:f6h5:h7h6
8/5ppk/1p6/7p/1p1Q4/p3P1P1/PP4KP/1q6 w - -,b2a3
r4rk1/p4qbp/b1p2np1/3p1p2/3B4/P1N2PP1/2P1P1BP/1R1QR1K1 w - -,c3a4
2r1kb1r/3b1ppp/p3p3/4N3/2pRP3/1P2B3/1P3PPP/2R3K1 b k -,d7b5
4nr1k/p2b2bp/3pQ1p1/6p1/8/2N2B2/P4P1P/2B1R1K1 b - -,d7e6
8/1b6/4R3/5p1k/pB5p/P6P/1r3P1K/8 w - -,h2g1
5R2/kp6/p1p3p1/2P2p2/1P5r/2K5/8/8 b - -,f5f4
4r1k1/3qrpp1/pPp4p/4p3/1P1pB1b1/P2P2P1/1B3P1P/4R1KQ w - -,e4c6
rrn3kb/3npp1p/3p2p1/1PpP2B1/1q2PP2/1PN5/2Q1N1PP/1R3RK1 b - -,a8a3
2r5/3k2b1/2p1p1p1/2B2bP1/R2PpP2/1B2P1K1/P7/8 b - -,g7f8
6k1/2Qb1pp1/3p1b1p/1p1Pp3/4P3/3n1N1P/qP3PP1/3BR1K1 b - -,d3e1
r1bq1rk1/1p2npbp/p5p1/n1p1p3/P3P3/N1PP1NP1/5PBP/R1BQ1RK1 w - -,c1e3
3rr1k1/p2b1p1p/6p1/q2P4/2RQ3P/5B2/5PP1/3R2K1 w - -,h4h5
1r2q1k1/7p/pP5R/3p1p2/r2Pp1pP/4P1P1/4BP2/1R1Q1K2 w - -,d1b3
r2q1rk1/1pp1bppp/1nn1p3/3pP3/pP1P4/P1N1B3/2P1QPPP/R3NRK1 b - -,f7f5
8/5k2/3b2pp/1p1N4/1P2R1P1/3P3r/3KP3/8 b - -,h6h5
8/6R1/4p3/5r2/2p5/2P2k2/2b2B1P/5K2 w - -,g7g3
2r1kb1r/1p3p1p/p2pqp2/3Qp3/1PNnP3/3B4/P1P2PPP/R4RK1 b k -,f6f5
5bk1/5p1p/4p1p1/p2p4/1p1BP2P/5KP1/Q1B2P1r/5r2 b - -,f8g7
2r5/3rkp2/1p2p2p/p2p1p2/R2P4/1PP3P1/1P1K1P1P/4R3 b - -,d7b7
8/p7/1p6/2p2k1p/3b1Pp1/1P2B3/P3KP1P/8 b - -,d4g7
5k2/p6R/3p1Pp1/1rPR2P1/1p4r1/1K6/PP6/8 b - -,g4g3
3r1b1r/ppk4p/2n2p2/P3pp2/1Pn4P/1NP2N2/5PP1/R1B1R1K1 w - -,b4b5
r4rk1/1p1bbp2/p2ppnp1/2q5/2PNP1Pp/1P5P/P1N1QPB1/3RR1K1 b - -,f8c8
rnbq1rk1/pp4pp/2pbpn2/3pNp2/2PP1B2/2N1P3/PP3PPP/R2QKB1R w KQ -,f1e2
2r3k1/1q2bppp/p7/np1rp3/8/N1P1B2P/PP1Q1PP1/R3R1K1 w - -,d2c2
1rbr2k1/ppnp1p1p/5qp1/2p5/5N2/2P3P1/PP2PPBP/R2Q1RK1 w - -,e2e4
b4rk1/2qnbpp1/1np4p/1p2p3/1P2P3/2P2NBP/B2NQPP1/3R2K1 w - -,f3d4
2N5/7p/4p1k1/b1B1n1P1/1p5P/1P6/P3K3/8 w - -,c8d6
rnb1k1nr/p1pq1ppp/1p2p3/3pP3/P2P4/2P5/2P2PPP/R1BQKBNR b KQkq -,c8a6
8/1p6/6k1/p1pR4/P2P2PK/2P2r2/1P6/8 b - -,c5d4
r1bqk1nr/pp2bppp/2np4/1N2p3/2P1P3/8/PP2BPPP/RNBQK2R b KQkq -,g8f6:f7f5:a7a6
2r3k1/1nRqbp1p/1p2p1p1/3p4/Pp1P4/1P2P1P1/3QNPBP/3R2K1 b - -,c8c7
8/2p3R1/1p1k4/p2P4/P7/4K3/1r6/8 w - -,g7g5
3r2k1/p3ppbp/qnr3p1/1R1p4/3P1BP1/NQ5P/P1P2P2/3R2K1 w - -,a3b1
2r2rk1/1p1qb1p1/p1np1np1/4p1N1/2P3P1/5P2/PPN1Q2P/R1B2RK1 w - -,e2d3
8/1b6/1P2kpp1/7p/6PP/4KPB1/8/8 w - -,g3c7
rnbqk1r1/ppp2pP1/4p3/3p2p1/1b1P4/2N5/PPP2PPP/R2QKBNR w KQq -,a2a3:h2h4:d1h5
r2q1rk1/p4ppp/b1p5/n3R3/8/2NP4/PP1P1PPP/R1BQ2K1 b - -,a6d3
r2q1rk1/2p1ppbn/3p2pB/nB2Pb1p/3P3P/2N2P2/PP1Q2P1/2KR2NR w - -,h6g7
5k2/6p1/4R2p/3r3P/8/5PK1/6P1/8 w - -,g3h4
r1b1k2r/p1qn1pbp/1p1pp1p1/4P3/3P1P2/2PB1N2/P2B2PP/R2Q1RK1 w kq -,d1e2
r1b1k3/p1pn1p1p/1p2p2n/8/3Pp2r/P1P3N1/2P1BPPP/R3K2R w KQq -,g3h5
2q3k1/5pp1/2pQ2p1/p1Pp2P1/P7/1P6/3K1PP1/8 w - -,f2f3
5rk1/1rp2p1p/3b4/pqpPp1pP/N1R1P3/P2R4/1PQ2PP1/6K1 w - -,b2b3
3r4/8/2P5/4N3/4Kb1k/5P2/8/6R1 b - -,f4h2
2r3k1/1b1nqpp1/npr1p2p/p2pP3/3P3P/P4NP1/1P1Q1PB1/R3RNK1 w - -,f1e3
2r3k1/1p1r1pp1/3P3p/ppP1PpQ1/8/6P1/P5BP/2R3K1 b - -,h6g5
4r3/2p4p/3p1kp1/3P4/P1PR2p1/3N4/3K3r/3B4 w - -,d2c3
2kr1r2/1pp2p2/p3q2p/4P1b1/1P6/P3Q2P/6PB/2RR2K1 w - -,e3a7
4r3/pp1RPk1p/6p1/n7/8/6P1/PR3P1P/2r2BK1 b - -,e8e7
2r3k1/pq2bp1p/4p1p1/p7/3P4/P4N1P/1P1Q1PP1/5RK1 w - -,d2a5
2r2rk1/p3bppp/1p2p3/8/Nn2P3/1P6/P2B1PPP/R4RK1 w - -,d2b4
r3k2r/pp2n1pp/2nqbp2/2p1p3/P2pP3/3P2P1/1PPN1PBP/R1BQ1RK1 b kq -,e8g8
rn1q1rk1/ppb3pp/2p1pn2/2Pp1p1b/3P4/3N1NP1/PPQ1PPBP/R1B2RK1 w - -,c1f4
r1q1kb1r/pb1p1p1p/1pn1pp2/8/Q7/5NP1/PPP1PPBP/RN1R2K1 b kq -,f8e7
8/R7/5p2/5k2/8/2r5/P3KP2/8 w - -,a7a5
5r1b/pprq1p1k/2np1Ppp/3Q4/3pP1PB/P7/1P4BP/2R2RK1 b - -,d7g4
1r4k1/7p/3p2pb/1B1P1b2/P3p3/2R3PP/4RB1K/r7 w - -,g3g4
6r1/b2r1p2/2k1p3/p1p1PpPp/Np3P1P/1PpP4/P1P1K3/3R1R2 b - -,g8d8
r1b1kb1r/pp3ppp/4p3/q1ppP1B1/4n3/2P1P3/PP3PPP/RN1QKB1R w KQkq -,g5f4
b2rr3/p3q1kp/1p3pp1/2p1pn2/P1P1N3/2QPPPP1/5R1P/4RBK1 b - -,a7a5
r2r2k1/pppn1ppp/4pqb1/8/2BP4/1Q2P1P1/PP1N1PP1/2R2RK1 b - -,c7c5
8/7p/3kp3/2bn2p1/2K3P1/5p1P/8/5B2 w - -,c4d3
8/3K4/1p4k1/4p3/2P5/4N3/5p2/8 b - -,g6g5
8/8/8/6pp/PK3k2/5P1P/8/8 w - -,a4a5
1r3rk1/2qnbppp/p2pb3/2nN4/2P1PR2/1P2B3/2BNQ1PP/R5K1 b - -,e6d5
8/8/1b1pk2p/p7/1p3Pp1/1P4P1/P2NK3/8 w - -,d2c4
7k/8/1P4RP/8/1r3pK1/8/8/8 b - -,h8h7
rn2r1k1/pp3pbp/3p1np1/qNpP4/2P3b1/3B1N2/PP1B1PPP/R2Q1K1R b - -,a5b6
1rbq1rk1/p1p2ppp/4pb2/1p6/3PB3/2P2N2/PP2QPPP/3R1RK1 b - -,d8e7
rnb1k1nr/pp2ppbp/6p1/2pq4/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq -,b8c6
8/3r1pk1/1Rp3pp/2qNp3/P3P3/3r3P/6PK/5Q2 w - -,f1f6
2rqk2r/pp2bppp/1nn1p3/3pP3/3P2b1/P3BN2/1PBN1PPP/R2Q1RK1 b k -,g4h5
2r2r2/1p1bqpk1/p1p2npb/2Q2p1p/1P1P1N1P/P3PBP1/3RNP2/5RK1 b - -,f8e8
rnb1k2r/pp1ppp1p/6p1/2q1P3/2P1n3/2P1BN2/P4PPP/R2QKB1R b KQkq -,c5a5
4kn2/3r3p/p3rbpN/2pRp1P1/1p2P3/4B3/2P1N3/6K1 w - -,g5f6
r1b2r2/ppqnbpk1/2pp2pp/4p3/2BPP3/2P1NNP1/PPQ2PP1/R3R1K1 w - -,a2a4
8/5r2/3p2p1/1ppk2p1/p2Pp1P1/P1P4P/1P2R1K1/8 b - -,c5d4
1rb1r1k1/2qn1pbp/p2pp1p1/1P4P1/2n1PP1Q/2N5/1PP1N1BP/R1B2R1K b - -,a6b5
8/8/5k1P/p2p4/1pp3P1/5K2/PPP5/8 w - -,f3e3
r2r2k1/1p3ppp/1q1p1b2/p2Pp3/1n6/1NP5/PP1QBPPP/1K1R1R2 b - -,b4a6
8/1p1P1p1k/5bpp/3p4/8/B1N4P/1PqnQPPN/6K1 w - -,h2f1
1r4k1/5p1p/4p1p1/3pP3/R7/P1r3P1/3R1P1P/7K b - -,b8b1
r2q1rk1/4ppbp/p5p1/1pP1P1N1/6b1/2NBP3/PP3QPP/2R1K2R b K -,d8d3
8/6k1/4K3/6N1/6P1/8/8/8 b - -,g7g6
8/k2q4/np6/2r4p/3NQ3/6P1/P3PP1P/1R2K3 w - -,e4e6
5r2/p2kn1p1/Np1bpp1p/1P1p4/3P4/2R1P3/1PN2PPP/6K1 w - -,a6b4
3r1rk1/pp3ppp/2pq1n2/4nb2/P4B2/2N3P1/1P2PPBP/R1Q1K2R w KQ -,e1g1
r5k1/1p3pp1/p1b5/3pq1p1/8/2Q1P2P/P4PP1/2R2RK1 b - -,e5c3
3k4/1p1n1pp1/2p2bp1/p1n1p3/2P3P1/1PN1PP1P/P3K3/2B2B2 w - -,c1d2
8/5pk1/4pbpp/p2q4/P5P1/2Q2N1P/4PPK1/8 w - -,c3d2
r1bq1rk1/1pp1n2p/3p1p2/p1nPp1p1/2P1P3/1PN3B1/P2QBPPP/R4RK1 b - -,e7g6
r1b2rk1/5ppp/pp2p3/2b1N3/P1B1n3/1P6/2P2PPP/R1B2RK1 w - -,c1b2
r2q1rk1/pp1nppbp/8/3p1pN1/3P4/4P3/PP1N1PPP/2RQ1RK1 w - -,f2f4
8/p2r4/R2k4/1P6/3K4/P7/4b3/8 b - -,d6c7
r3k2r/pp2qpp1/1n1bb2p/3p4/3P4/1QN2RPN/PP2P1BP/R5K1 w kq -,h3f4
3b4/7k/3Pn1p1/p3P2q/4Q3/4B1P1/PP4KP/5R2 b - -,h7h8
r4r1k/p5p1/1p1N4/4np2/3P2p1/5nP1/PP4KP/R1B2R2 b - -,e5d3
4k3/B4p2/3P2p1/4P2p/pp2r2P/3K2P1/1Pn5/8 w - -,d3e4
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP5/2N1PN2/PPQP1PPP/R1B1KB1R b KQkq -,b4c3:e8g8:d7d6
3n1rk1/2q4p/4pbpP/p2p1p2/2rP2P1/P1P2R2/2BQ1P2/2B1R1K1 w - -,g4f5
6k1/r6p/1pRp1Pp1/3P2P1/4PB1n/b5NP/4K3/8 w - -,c6c8
8/8/3kp3/5p2/5NpP/8/r2P1PK1/8 w - -,h4h5
3q1rk1/1r5p/1P6/3p1p2/3B1P2/6PP/1Rp3B1/4R1K1 b - -,b7e7
3rr1k1/pb3p1p/1pn3p1/2q5/3p4/PBBQ1N2/1P2NPPP/R5K1 w - -,e2d4
r3k2r/pp2npbp/1qb1p1p1/3pP1B1/3P2P1/2N2N2/PP1Q1P1P/R3K2R w KQkq -,e1c1
r3nrk1/1p2qp1p/p2p2p1/P1nPp3/1RN1P3/2N1Q3/2P2PPP/R5K1 w - -,c3a4
r1b2k1r/p1pq1ppp/2pb4/6B1/Q5n1/2PB4/PP1N1PPP/R2R2K1 w - -,d2f3
2r2rk1/1b1q1ppp/p4n2/1p1p4/3Nn3/P1N3PP/1P2PPB1/2RQR1K1 w - -,d1d3
1r2r1k1/2p3p1/p3qpnp/2N2R2/2PPp3/4P2P/1PQ3P1/5RK1 b - -,e6c6
