8/1RP5/7p/k1N2P2/7P/P7/K7/r5r1 w - -,a2b3
r2qkb1r/1p1n1ppp/p2ppn2/2p5/P3P3/2P2N2/1P1P1PPP/RNBQR1K1 b kq -,f8e7
8/5pkp/6p1/3Q4/5Pqn/1N6/P4rPP/6K1 w - -,d5d4
8/1b1r1pkp/p2q2p1/4n3/4P2Q/2NB4/1PP3PP/5R1K w - -,d3e2
r4rk1/1pqb1pbp/3p1np1/2nPp2P/p3P3/4BPN1/PP1QB1P1/RN2K2R w KQ -,b1a3
r6r/1p1nkppp/2p1pn2/2p5/2P5/1P3BP1/P3PP1P/RN3RK1 w - -,b1c3
3r2k1/pp3p2/8/2pNp1r1/2P4R/6NP/PP5P/1B5K b - -,b7b5
2n1k1nr/8/pp2p1P1/3pPpB1/P1pP3R/2P5/2BK1P2/8 b - -,h8h4
1r3rk1/p1qnbppb/4p2p/2ppP3/1n3N2/2BP1NP1/P1PQ1PBP/R4RK1 w - -,f1e1
1r1q1rk1/pB1n1ppp/1p2p3/2p3b1/2PP4/1P4P1/P1QB1P1P/R2R2K1 w - -,b7e4
r1b1kbnr/1p2pppp/p3n3/3Np3/2B5/5N2/PP3PPP/R1B1K2R w KQkq -,d5b6
r3r3/pb3pk1/1p3Qp1/3p3p/8/1P2P1P1/P4PBP/R2R2K1 b - -,g7f6
r6r/p1R2np1/5k1p/P3pp2/BP5n/2P2P2/1B3P1P/4R1K1 w - -,e1d1
r1b1k2r/1pp1qp1p/p4bP1/3p4/8/2PBPN2/PP3PP1/R2QK2R b KQkq -,h7g6
2kr3r/pp1nqp2/2p1p2b/3pP2R/3P1P2/6Q1/PPP1BB2/1K1R4 w - -,g3h3
r3k2r/pp1nbppp/5n2/2pp4/3P1B2/2P2N1P/PP2KPP1/RN5R w kq -,b1d2
3r2k1/6b1/p5pp/Pp1Pnp2/8/4B1PP/P5B1/2R3K1 w - -,c1c7
8/5rkp/2R1p1p1/p3P3/n7/P3Q2P/4BPPK/1q6 b - -,b1e1
5R2/8/5Pkp/1r6/5p2/8/5PKP/8 b - -,b5g5
4k3/7p/2N1bpp1/p1b1p3/1N2P3/3K1P1P/P5P1/8 w - a6,b4d5
8/1Q4k1/3q2p1/4bp2/2P5/4PBP1/5PK1/8 b - -,d6c7
7k/pp1r2pp/1np2p2/3q4/1Q1p4/P2P1NP1/1P2PPKP/4R3 w - -,e1c1
2rq1rk1/p2n1pp1/1pbppn1p/2p5/2PP3B/P2BP3/1P2NPPP/R2Q1RK1 b - -,d8c7
r2q1rk1/1p3ppp/p1npbn2/4p3/2P1P3/3BN3/PP1N1PPP/2RQ1RK1 b - -,c6d4
8/3r2p1/1kb2p1p/2p4P/p4PP1/P1KPR3/5N2/8 w - -,e3e6
r1b1k2r/5ppp/p1p1pn2/3P4/4P3/2P1BP2/P5PP/R3KB1R b KQkq -,c6d5
r1bq1rk1/pp1n1pb1/7p/4p3/2BP2p1/Q3P1B1/P2N1PPP/R4RK1 w - e6,d2b3
rr2b1k1/4q1p1/2p1p2p/p1RpNp2/Pn1P4/1P2PPP1/3Q3P/2R2BK1 b - -,e7g5
rn1r2k1/pp2ppbp/q1p1bnp1/3pN3/2PP4/1PNQ2PP/P3PPB1/R1B2RK1 w - -,f1d1
8/1Nk4p/p2p2p1/2pP4/6P1/1P6/P3K2P/4b3 b - -,e1b4
1r3n2/rP2k1pp/p1R1pp2/P1NpP3/3P4/5NP1/5PKP/8 b - -,a7b7
8/2k2Q2/r7/8/4K3/8/8/8 b - -,c7b8
7k/pp4pp/2q5/4b2P/2n2P2/7Q/PpR2P2/1K6 w - -,f4e5
3R1bk1/1pr2p1p/8/N3pp2/8/2P2B1P/Pn3P2/6K1 w - -,f3b7
5rk1/5rp1/pp2p2p/1pq1p2P/4Pnn1/2P2NN1/PP1R1PP1/3Q1RK1 b - -,f4g2
4k3/5R2/1rp1P3/QBbpP3/8/2P5/1P6/1K2q3 w - -,b1a2
4Q1k1/p5b1/1p6/4PP1p/7P/P2q2P1/7K/8 b - -,g7f8
r3kb1r/pp4pp/8/8/3P4/1BN2NP1/1P1KP2P/7R b - -,f8e7
r1b2rk1/1pq1ppbp/p5p1/4n3/Q3n3/2N3P1/PP2PPBP/R1B2RK1 w - -,a4e4
1nk3r1/1pq2p1p/p1ppr1p1/1P2P3/PQP2P1B/8/6PP/R4RK1 b - -,g6g5
r1q2r1k/pNp1p1bp/1nn2pp1/4P3/3P4/1Q2BB2/PP3PPP/R3K2R b KQ -,c8b7
r3k2r/1bq1bppp/2nppn2/p7/1p2PP2/1N1B4/PPPBQ1PP/3NRR1K w kq -,c2c3
r3k2r/pp1qbppp/2p5/3pP2b/5R2/2PP3N/PP3QPP/R1B3K1 b kq -,e8g8
rnbqk1nr/2p1ppbp/p2p2p1/3N4/Pp1PP3/4BP2/1PP3PP/R2QKBNR b KQkq -,a6a5
2n1kb2/3b1prQ/pq1p1p2/4pP2/2B1P3/1N6/P1PR2PP/1K1R4 w - -,h7h4
2r2rk1/7p/p2P2p1/b1P1p3/4P3/8/5BPP/3R2K1 w - -,d1a1
r4rk1/pp1b2pp/2pbpn2/3p4/2PPpP2/1P2P3/PB1NB1PP/4RRK1 b - -,a7a5
8/ppp3p1/2k2p1p/2n5/3B4/P4P2/2K3PP/8 b - -,b7b6
r2qkb1r/pb1n1ppp/1p2p3/2ppP3/3n4/1PNP1NP1/PBP2PBP/R2QK2R w KQkq -,f3d4
r1br1nk1/p4pp1/1ppqp2p/4N3/2PP4/3B4/PP2QPPP/2RR2K1 b - -,c8b7
1r4k1/prq2pbp/4p1p1/2p1N3/2n2P2/2PP1QP1/P6P/2RR2K1 w - -,e5c4
2q2b2/6pk/3p2p1/pr1Np2p/1P2P3/R2P4/Q4PPP/6K1 w - -,a3c3
2b2rk1/2N2qp1/2Q4p/3p1p2/1b2n3/7P/5PP1/1R3RK1 w - -,b1b4
3q3r/r2n1pkp/ppn3pN/2p5/7R/2P2N2/PP1Q1PPP/3R2K1 w - -,h6f7
2rr2k1/1bq2pb1/pP2p1p1/2p1p2p/4P3/2N5/P2NnPPP/RQ1R2K1 w - -,c3e2
1r1qn2r/3b1ppk/pp1p1bnp/2pPpN2/P1P1P2P/2NBB1P1/1P1Q1P2/R3K2R w KQ -,a1b1
5k2/R4p2/6pp/8/4PPKP/1r4P1/8/8 w - -,h4h5
rn1qr1k1/pp1n1pb1/3Bb1pp/2p1P3/2P2P2/2N5/PP2B1PP/R2QK1NR b KQ f3,g6g5
r7/4kp1p/1R4p1/1p2P3/2bB2PP/2P5/5K2/8 w - -,f2e3
8/3k4/3p2p1/p1pP2B1/2K5/8/8/8 b - -,a5a4
r4rk1/1pqbbppp/p1nppn2/8/2PNP3/1PN3P1/PB3PBP/R2QR1K1 b - -,a8c8:c6d4
r1bqr1k1/pppp1ppp/2n2n2/1Bb1p3/4P3/2PP1N1P/PP3PP1/RNBQ1RK1 b - -,a7a6
r4rk1/ppq1bppp/4p3/4nb2/Q3B3/2P1B3/PP1N1PPP/R2R2K1 b - -,f5e4
2rn2k1/6p1/p4p1p/1p3Pn1/4N3/P1B3P1/1P5P/3R1K2 w - -,e4g5
2kr3r/1bq1bQ1p/p2pPp2/1p2p3/4P3/2NB4/PPP3PP/2KRR3 b - -,d8f8
4rk2/6p1/4P1Pp/pp1q1p2/2p2P1Q/2P5/2P5/2K1R3 w - -,e1e5
2r2rk1/pp1qppnp/6p1/3P4/8/4Q1P1/PP3PBP/R3R1K1 b - -,g7f5
8/8/2p5/p1P2k1p/3K3P/b2N4/P4P2/8 w - -,f2f3
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/2P2P2/PP1NP1PP/R2QKBNR b KQkq -,f6h5
5k2/8/7K/3b2P1/7P/1p6/8/1B6 b - -,d5f7
1r4k1/2b2pp1/1pP4p/4pP2/3p2P1/3P3P/5PB1/R5K1 w - -,a1a7
8/4k3/2N1p1p1/4P3/3P4/p4K2/r5PP/8 b - -,e7e8
1r1q1rk1/pp2ppbp/3p1np1/2n5/2b5/P1N1PNP1/1P3PBP/R1BQR1K1 w - -,d1c2
1r1q1rk1/1ppb1pbp/p2p1np1/n2Pp3/2P1P3/2N1BPP1/PP1QN2P/2R1KB1R w K -,c3d1
r2q1rk1/ppp1ppbp/1n4p1/3P4/4P3/2N1BnPP/PP3P2/R2QK2R w KQ -,d1f3
r2q1rk1/pb1pppbp/1pn2np1/8/2P1P3/2N5/PPNBBPPP/R2Q1RK1 b - -,d7d6
8/2p2pkp/5p2/2qPp3/4P3/r7/1Q3PPP/2R3K1 b - -,c5a7
2r5/2p2pkp/1p1n1qp1/r2PRb2/1N6/P1Q3P1/1P3PBP/4R1K1 w - -,g2f1
r1bqk2r/4bppp/p1pp1n2/np2p3/4P3/1B1P1N2/PPPBNPPP/R2Q1RK1 b kq -,a5b3
r5rk/p1Q3pp/3p4/5p2/3P1q2/8/PPP2P1P/1K2R1R1 w - -,e1e7
r2qk2r/pbpn1pp1/1p1ppn1p/6B1/2PP4/P1Q2P2/1P1NP1PP/R3KB1R w KQkq -,g5h4
r1bqk2r/pp1pbppp/2n1p3/8/4P3/2PB4/PP2NPPP/R1BQK2R w KQkq -,e1g1
rnbqk2r/pp2bppp/2p1pn2/8/3P4/5NN1/PPP2PPP/R1BQKB1R w KQkq -,f1d3
8/5pk1/p1r4p/P4RPP/8/5PK1/8/8 w - -,g3g4
r1b3k1/1p3pbp/p2p4/P1nP4/1pN1BP2/8/R3P2P/5RK1 w - -,c4d6
8/p1p3kp/3p2p1/2pP1p1n/2P2P2/1Pq1r1PP/P1B2QRK/8 b - -,h5g3
8/2k1K3/2P2P2/1Pb5/4B3/8/8/8 w - -,e7e8
r5k1/1p2rpp1/p1pb2p1/3p4/1P1Bn1P1/2P4P/1P2PPB1/R3R1K1 w - -,a1d1
r3rbk1/3R1p2/6p1/1pp1p2p/2b1P3/1N3P1P/PPK2NP1/R7 b - -,c4e6
r5k1/5pp1/2r1p1p1/1pPp4/qQ6/P3P3/5PPP/R1R3K1 b - -,c6a6
r4r1k/pp3qpp/2pbb3/4p3/3PP1n1/2B2NP1/PP2QPB1/R3R1K1 w - -,f3e5
1r1q1rk1/ppp1npb1/3pbnpp/1P2p3/P1P1P3/2NP1NP1/5PBP/1RBQ1RK1 b - e3,f6d7
5R2/1p1kr2p/p5p1/3p4/3N2P1/8/PPPn1P2/5K2 w - -,f1g2
r1r3k1/pp2ppbp/2bp1np1/q7/2PBP3/2N2P2/PP1QB1PP/R2R2K1 w - -,a2a3
2r3k1/bp3p1p/p3rBp1/8/3P1Q2/Pq4P1/1P3P1P/3RR1K1 w - -,d1c1
r2q1rk1/1p3pbp/2p1p1p1/p2p4/2PPn3/1PBQ2PB/P3PP1P/2RR2K1 w - -,c3b2
r2q1rk1/1p2ppbp/2bp1np1/8/p1PBPP2/2N2B2/PP2Q1PP/3R1RK1 b - -,d8a5
r3kbnr/1p4pp/p1n1b3/5p2/4p3/2N2N2/PPP2PPP/R1BBR1K1 w kq -,f3g5
8/5p2/2k5/r7/P1K5/5P2/8/R7 w - -,c4b4
8/4R2k/p5pp/3N4/1pr4P/2b5/P1P5/1K6 b - -,h7g8
8/5pp1/1k6/r6p/pK3P2/R5P1/7P/8 w - -,h2h3
1r2r1k1/R4pb1/1p4p1/2pNP2p/2P2Pq1/1QB1P1Pb/7P/6KB w - -,g1f2
r3kb1r/1pp1pppp/p1nq1n2/5b2/8/2N2N2/PPPPBPPP/R1BQ1RK1 b kq -,e7e6
r2qkb1r/p2bnppp/2p1p3/2PpP3/8/2P1BN2/PP3PPP/RN1QK2R b KQkq -,e7f5
r1bq1rk1/4ppbp/ppnp1np1/8/2P1P3/2N1BP2/PP1QN1PP/R3KB1R b KQ -,a8b8
r3kb1r/1p1qpppp/p4n2/3pnb2/3P1B2/1QN1P3/PP3PPP/R3KB1R w KQkq -,d4e5
r2q1rk1/ppp1bppp/3p4/1N1Pnb2/5B2/8/PPP1BPPP/R2Q1RK1 b - -,e7f6
r3k2r/1pp2pp1/p1p1q1n1/4p3/4P1N1/3PN3/PPP2RP1/R2Q2K1 b kq -,g6f4
6Br/3nk2P/8/7R/6p1/6P1/P5K1/8 w - -,h5f5
2r1nrk1/pb2bpp1/1qn1p2p/1p1pP3/1P1P3P/P5P1/2N2P1N/R1BQRBK1 b - -,a7a5
1r1b1rk1/pp1R1ppp/4p1q1/2P5/1P6/R5PP/5PB1/4Q1K1 b - -,a7a5
r3kbnr/p1pb1ppp/2pp4/6q1/3Np3/1P2P3/PBPP1PPP/RN1QK2R w KQkq -,h1g1
5B2/1p6/8/1P1k1ppp/8/6bP/4K1P1/8 w - -,e2d3
2b5/6k1/8/2NBP3/8/6Kp/8/8 b - -,g7g6
1rbq1r1k/7p/2np2p1/p2N1p2/R1B1PP1b/1PP1N3/8/3Q1K1R w - f6,a4a2
b7/3R4/k5q1/1p1p4/pP2pp2/P1P4Q/3K4/8 w - -,d7e7
8/2pr4/p4k2/4p1pp/P3Pp2/1PB2P1P/1KP3RN/3r4 b - -,d1h1
r3brk1/pp1n2pp/2p1p2q/3p1pn1/2PP4/NP1NPPP1/P1Q3BP/3R1RK1 w - -,d3f4
rnbq1rk1/p3ppbp/3p1np1/2pP4/4P3/2P2N2/P1QNBPPP/R1B1K2R w KQ -,e1g1
r5k1/p2npp1p/3p2p1/p2P4/2r5/R1P1B1PP/4PPK1/R7 b - -,d7f6
6k1/1p1q1p2/p1p1n1p1/7p/PP2PP2/1B2B1PP/2Q3K1/b7 w - -,e4e5
1rbq1rk1/p3ppbp/2Bp2p1/3N4/2P5/4P1P1/PP1Q1P1P/1R3RK1 b - -,c8f5
r1bq1rk1/ppp1npp1/3p1n1p/1B2p3/4P2B/2PP1N2/P1P2PPP/R2Q1RK1 w - -,h4f6
8/5p2/4p1k1/4K3/7p/R7/3b4/8 w - -,a3f3
q4rk1/1brnbpp1/1p1ppn1p/pPp5/P1PP4/4P3/1B1NBPPP/1QRRN1K1 w - -,f2f3
3rr1k1/p4p2/b1p2q1p/6p1/3PP3/1B2KQ2/P7/3R3R b - -,f6f3
1r3rk1/n4ppp/pq3n2/1ppP4/5p2/1P4PP/PB2Q1B1/3R1R1K w - -,f1f4
3r4/5pk1/p3b1p1/qn4P1/1NprPB2/P1N1Q3/1PP5/K6R w - -,f4e5
r1b2rk1/pp1nqpp1/4p2p/2pp4/2PP2PP/2R1PN2/PP3P2/3QKB1R w K -,g4g5
2b2rk1/2nr2bp/pqNp1pp1/2pP4/2B5/2P3B1/1P1Q1PPP/R3R1K1 w - -,e1e6
r4b1r/pp1k2pp/3P4/4Bb2/3R4/8/PPP2PPP/2K4R b - -,a8c8
8/5k2/8/1p5P/p2B4/2P2P2/1Pb3P1/6K1 w - b6,g1f2
4rnk1/1bp2r2/p3p1qp/1p2Ppp1/P7/1BP1B1P1/1P4PP/3RQRK1 w - -,a4b5
r4rk1/pp1b2pp/1q1Bp3/3p4/2pP4/2P1PB2/PPQ3PP/R3K2R b KQ -,b6d6
r3k2r/ppqbn1pp/2n1p3/4P3/N2p4/3B1N2/PP1Q1PPP/R3R1K1 b kq -,e8g8
R4bk1/6pn/p3p1p1/4p3/2Nq4/3r4/1P2Q1BP/7K w - -,a8c8
2r2rk1/p4pp1/qb2pnp1/8/P2N1P2/1P2PQ2/1B4PP/R1R4K b - -,f6d5
8/p3Bpkp/br1p2p1/2pB4/2Pb4/5RPP/P4P2/6K1 b - -,f7f5
2rqr1k1/1b1p1pp1/1p2pn1p/p3B3/2P3P1/2QBP3/PP3P1P/1K1R2R1 b - g3,d7d5
2rr2k1/1pq2pp1/p2p4/3Qp1p1/P3Pn2/N1P5/1P3PPP/R2R2K1 w - -,d5d2
r7/7P/P5p1/6k1/5R2/4p1P1/6K1/8 w - -,f4h4
r1bq1rk1/1pb2ppp/2B1pn2/2Pp4/1p6/PQ2PN2/1B3PPP/RN2K2R b KQ -,b7c6
4rr1k/pp4pp/2b2n2/3p4/1P2p3/1N3P2/1PP1B1PP/1K1RR3 b - -,a7a6
r1bqk2r/pppn1ppp/3ppn2/8/2PP4/6P1/PP1NPPBP/R2QK1NR w KQkq -,e2e4
3r4/7R/5k2/P7/1P2p3/8/2P1b3/2K5 w - -,a5a6
2rr4/pp3p1p/3p1k2/4p3/4p3/B1Pb4/PP1R1PPP/1K5R w - -,b1a1
r3k2r/p2np2p/b2p1npQ/q1p3N1/1p1PP3/5P2/PPP3PP/1NKR3R w - -,h6g7
3q1rk1/5p1p/p2pbnpb/n1pN4/2P2P2/6P1/PrQNP1BP/R4RK1 w - -,c2b2
8/4r1k1/5Rp1/4ppP1/7P/8/6K1/8 w - -,h4h5
r4rk1/1p1nbpp1/p1p1p1p1/3p4/2PPnP2/1P2P1P1/NP1BB2P/R2R2K1 w - -,d2e1
8/5p1p/p4k2/1p2RP2/Pr3P2/7K/7P/8 w - -,a4b5
r4rk1/pp1nbppp/2pqp3/5b2/2BN4/2Q5/PPPP1PPP/R1B1R1K1 w - -,d4f5
rnbq1rk1/p2p1ppp/1p2pn2/2p5/2PP4/P1b1PN2/1PQ2PPP/R1B1KB1R w KQ -,b2c3
r2r1bk1/4n2p/2n1p1p1/p1BpPp2/QPqR1P2/2P2BPP/4N3/5RK1 b - -,c6d4
r1k2b1r/4nppp/p3p3/5b2/B2N4/p3B3/PP3PPP/2R1K2R b K -,c8d8
2rr2k1/pb1n1p1p/1pnbp1p1/8/2PP4/P1BBPNP1/3NK2P/2R1R3 w - -,c3b2:c1a1
4rnk1/1b2ppbp/p5p1/Pp1PP3/3B1q2/5B2/1P3QPP/3R1RK1 b - -,g7e5
r2q1rk1/1bN2ppp/pP1p1b2/4p3/3nP3/N7/PP3PPP/R2QKB1R b KQ -,b7e4
r2rn3/1p1b1pkp/2p1n1p1/3p2P1/2NN3P/1P2PB2/1KP2P2/3R3R w - -,c4b6
r6k/6p1/2p2p1p/4n3/P3P1qP/2N1Q3/6P1/R6K w - -,e3h3
r2qkbnr/pp1bpppp/3p4/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq -,c1g5
1r6/1pn1rkpp/p1p2p2/2N5/PP1P2P1/4P3/1R3PP1/2R3K1 w - -,b2b3
rn2kb1r/pp3ppp/2p1pn2/q4b2/2BP4/2N5/PPPBNPPP/R2Q1RK1 b kq -,a5c7
r3kb1r/pppq1ppp/2n1p3/3p4/3P2b1/4PNB1/PPPQBPPP/R3K2R b KQkq -,f8d6
r2q1rk1/pp3ppp/5n2/b2p2B1/3n4/P1N2B2/1P3PPP/R2Q1RK1 b - -,a5c3
r1bqr1k1/pp3pbp/2n2np1/3p4/2PN4/2N2P2/PP2BBPP/R2Q1RK1 w - -,c4c5
5k2/p4p2/5r2/2p1pP2/2B4K/1P1Pb3/P7/5R2 b - -,f6h6
r1b2rk1/pp2ppb1/2n5/q5pn/7B/1BN1P3/PP2QPPP/2R2RK1 w - -,e2h5
6k1/7R/2P5/2r2PK1/8/8/8/8 w - -,h7c7
r6r/p1p1kp2/np2p1pp/n2pP3/3P1PP1/P1P1B3/2PN3P/1R3RK1 w - -,f4f5
r2r2k1/1p2bppp/2p1p3/1q2N3/p2P4/P1Q1P1P1/1P1R1PP1/2R3K1 b - -,h7h6
rbb3k1/1p1n2pp/1Pp5/p1P2p2/3P4/N5P1/P1N1r1BP/4RRK1 b - -,e2e1
2r1r1k1/pp2bpp1/2pqp2P/3p4/P2P1P2/1P1PPN2/7P/R2Q1RK1 b - -,g7h6
r1b2rk1/pp1n1ppp/3ppn2/2p3B1/2PP4/2RBPN2/qP3PPP/3Q1RK1 w - -,d3b1
rnbq1rk1/pp2ppbp/2p3p1/3p4/3Pn3/2P2NP1/PP1NPPBP/R1BQ1RK1 w - -,d1b3
r4rk1/p4ppp/nq3n2/2p5/Q1Pp4/P3P3/4NPPP/R1BR2K1 b - -,f8e8
r4qkr/1b1nb1pp/1p1p4/1Np5/4P1Q1/P2N4/1PP2PPP/R1B2RK1 b - -,d7f6
r1b2rk1/pp3pp1/1npb1q1p/3Pp3/4P3/1QN2NP1/PP3PBP/R4RK1 b - -,c8g4
7R/1Bb1k3/2p1r1p1/p1Pp1n2/3P4/3N4/1P6/1K6 w - -,h8h7
3R4/5pk1/p6p/r2pr1p1/6P1/4P3/5PKP/3R4 b - -,a5a4
8/8/1p4P1/pBp2k1p/P7/4K1P1/1Pb5/8 b - -,f5g6
r1bqr1k1/p1pn1pbp/1p1p1np1/4p3/1PPP4/2NBPN2/P4PPP/1RBQ1RK1 w - -,d3e2
b1n2r2/3q1knp/3b1pp1/3p4/r1pP1P2/P1P2NP1/2N1R1BP/1RB1Q1K1 w - -,f3d2
r4rk1/4q1p1/pbp1p2p/1p2P3/PP3pPP/2P1nQ2/1BB2P2/R2R2K1 w - -,f2e3
r3k2r/4npbp/p5p1/4p3/1p6/3bPN2/1P1PNPPP/R1B1R1K1 w kq -,b2b3
r4r2/ppqb2pk/3p3p/3P1p2/2P1nP2/P3B3/1PQ1P1RP/2KR1B2 w - -,e3d4
8/2p3k1/3p3p/2pP1r2/P1P4P/1P3P1R/2K5/8 b - -,g7f6
4q3/1p3p1k/p7/6Q1/4r3/8/6PP/5R1K w - -,g5h5
3k4/5p2/3p4/1R1Pb3/6p1/4P1P1/5K2/8 b - -,d8e7
rr4k1/2pnbpqn/bp1p2p1/3Pp2p/1pP1P3/PNNBB1PP/1R3P2/3QR1K1 w - -,a3b4
2rn2k1/2N1b3/1p5p/4p1pP/2P1B1P1/5P2/P2R2K1/8 w - -,d2d7
5b2/p3p1kp/1p2Q1p1/3P1P2/8/4BqP1/PP5P/6K1 b - -,f3f5
2rq1rk1/1b3pbp/pp1ppnp1/2n5/2PNP3/1PN1BP1P/P5P1/1BRQ1RK1 w - -,d1d2
8/1p2p1k1/p1B3p1/2p4p/5r2/P1P4P/1P4P1/3KR3 b - -,b7c6
r5k1/pp3qbp/2n3p1/3p2B1/2p5/2P2P2/PP2QPKP/3RnN2 w - -,d1e1
8/3k3p/p2p2p1/3Pb3/1r2P3/2N4P/1PK3P1/2R5 b - -,d7e7
r3k2r/3qnpbp/3p1p2/p2Pp3/1pP5/3BN1P1/PP2QP1P/R4RK1 w kq -,a1c1
r7/2r1pk1p/3p1pp1/pqnP4/5P2/1P2RB1P/P2Q2P1/1R5K w - -,b1e1
8/2r2p2/6p1/1nN3k1/1PK4p/7P/3R2P1/8 b - -,b5a3
rnbq1rk1/1pp2pbp/3p2p1/P2Pp2n/2P1P3/2N2N2/P3BPPP/R1BQR1K1 b - -,h7h6
8/pp1n1r2/4R1kp/P1pN1p2/8/8/1PPK1PPP/8 b - -,g6g7
8/8/5p2/1R4p1/1p5k/2b3R1/2r5/5K2 w - -,g3g2
2r3k1/pB3p1p/4b1p1/8/P7/2P1P3/3r1PPP/R4RK1 b - -,c8c3
8/1p2p2p/r2p1k2/2p2p2/p1Pn1P2/3PK1P1/PP3R1P/1R6 b - -,b7b5
r4n1r/pp3Nkp/2pq1p2/5p2/3P1N2/2Q5/P1P3PP/4RR1K b - -,g7f7
1n5r/p3qpk1/1p1Rp1p1/2p1P1P1/4BP2/7Q/PPP5/2K5 w - -,h3d3
3r1b1k/pr3p1p/n5p1/2pNp3/2R1P3/1P6/P2B1PPP/1R4K1 w - -,b1c1
8/8/pp2k2p/5p2/8/2NK1P2/PP3b1P/8 w - -,c3e2
1r2r1k1/1nqB1pb1/3p1npp/p3p3/3PP3/B1P2N1P/3N1PP1/1R1QR1K1 b - -,f6d7
r2r2k1/3bbppp/1qp1p1n1/p1ppP2N/P1P2PP1/1P1PBN2/5Q1P/1R2R1K1 b - g3,d8b8
4k3/R4p2/4p1p1/8/2p2P1p/2r4P/5KP1/8 b - -,c3d3
8/6p1/rRn1ppk1/P1Rb4/8/5P2/5KPP/8 b - -,a6b6
2r1k2r/pp1nqpp1/2pbpnp1/3p4/2PP1P2/2NBPQ2/PP1B2PP/R3K2R w KQk -,e1c1
4qbk1/p4p2/1p4p1/3Qrp1p/7P/PBP2PP1/1P6/1K1R4 w - -,d5c4
4rrk1/pp2q1bp/3pN1p1/2p1np2/2P1P3/4B2P/PPQN1PP1/3RR1K1 b - -,e7e6
3r1rk1/p2qnpbp/4b1p1/1Pp5/1n1pPP1N/3P1N2/PP3QBP/R1B2RK1 w - -,f3e1
8/2b5/6pp/p1k2p2/2N5/2K4P/P4PP1/8 w - f6,c4d2
r2rb1k1/pp3pp1/1q2p2p/8/2BnQ3/1PP5/P2R1PPP/3R2K1 w - -,c3d4
r4k2/p4ppp/1p3n1N/2b1r1B1/8/1BN2P2/PP5P/2K2R2 w - -,f3f4
3r1rk1/p1q1bppp/3p1n2/4p1B1/1PPp4/P5P1/2Q1PPNP/R2R2K1 b - -,d8c8
2kr2r1/1pp2p2/p2q4/3p2p1/1P1B3p/5PPb/P1PQ1K1P/R3R3 w - -,d4e5
r4kr1/pp3p1p/2p4n/2n2P1N/8/3B3p/PPPR2P1/2K1R3 w - -,g2h3
8/3k4/8/1rPpp2p/1p3p1P/P1K5/5P2/6R1 w - -,a3b4
1rbq1rk1/1p3ppp/p2p2n1/8/3P4/NB3QP1/P4PP1/2RR2K1 w - -,a3c2
8/p7/2PK4/6p1/4p3/P3P2P/4k3/5q2 w - -,d6e5
r4rk1/pR4bp/3q1pp1/2pP1b2/8/2B2N2/P2Q1PPP/4R1K1 b - -,f8f7
