8/4k3/2P2r2/1K1Q4/8/8/8/8 b - -,f6d6
r2q1rk1/p4ppp/2n2n2/1pbp3b/8/5NPP/PPPN1PB1/R1BQR1K1 w - -,d2b3
rnbq1rk1/pp3ppp/n1pb4/8/1PB5/5N2/P1PN1PPP/R1BQ1RK1 w - -,d2e4
rnbqkbnr/ppp2ppp/3p4/8/4Pp2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,b8c6
r3k2r/ppp2p1p/2n1p3/q4p1Q/3P3P/2P3P1/P1P1NP2/R3K2R w KQkq -,e1g1
3qr1k1/1pn2pbp/2p3p1/4pb2/1P2P3/3P1N1P/1BQ2PP1/1R3BK1 b - -,f5c8
k1br2rb/1pq5/p1n1p1p1/PQ1p4/2p2PN1/2P2BpP/2PB2K1/R2R4 w - -,b5b6
2R5/1p3kbp/r2p2n1/pN1Pp2n/P3P2q/3NBPp1/1P2B1P1/R5K1 w - -,a1c1
1r3rk1/2q2ppp/2npb3/p3p3/R1B1P3/2P1N3/1P1Q1PPP/4K2R w K -,e1g1
r1bqr1k1/2p2pb1/1pn2npp/p2pp3/P3P3/2PP1N2/1PQBBPPP/R3RNK1 b - -,g8h7
r1bq1rk1/1p4bp/p1n1ppp1/3pP3/5PP1/2N1BN2/PPP2Q1P/R4RK1 w - -,e3b6
rnbqk2r/1pp1ppbp/p4np1/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f1e2
8/6k1/1q1p2pp/3Q3P/4P1P1/5PK1/8/8 b - -,b6g1
4b3/3k2p1/1pp3n1/3p1r1p/p2P3P/P1PNKPB1/1P4P1/4R3 b - -,e8f7
2rqk2r/1p1nbpp1/p1p1p1bp/P2pPn2/2PP4/1N3N2/1P2BPPP/R1BQ1RK1 w k -,g2g4
r1bqk2r/pppnbpp1/3p1n1p/4p3/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
1r4k1/3nq1bp/3pP1p1/1Qn3P1/p4p1P/P7/1PRN2B1/1K1R4 w - -,b5e2
2r5/p4p1k/1p2pP2/4Bp2/3P2r1/3R4/5PPP/6K1 w - -,h2h3
1r1qk2r/pn1bbnpp/Bpp1p3/3pPp2/1P1P1P2/P1P1BNPP/3QN3/R3K2R b KQk -,c6c5
2R5/1r1nbppk/r3p3/P3P3/3B4/1p2P2P/5PP1/R5K1 w - -,d4c3
r4nkb/pppq2rp/3pbp2/n7/4PPP1/2N2N1Q/PPPBB3/2K3RR w - -,f4f5
5R2/8/p2r4/2n5/8/1B2k2P/P5PK/8 b - -,c5d3
5qk1/ppp3pp/8/4B3/2pP4/2Pb4/P2Q2PP/6K1 w - -,d2f4
5k2/7p/1p6/p1p1K3/q4N2/8/1B3R1P/8 b - -,f8e8
5B2/8/1b6/1p1kpp2/1P6/3P1P2/8/3K4 w - -,d1c2
3r1n1r/pp3kp1/1qb1p1pp/2bpP3/1P5P/P2Q1N2/1B1N1PP1/R4RK1 w - -,a1c1
7r/2p1k2p/pr1bbp2/1p2q3/3N3Q/4P1P1/P5BP/R4RK1 b - -,e6d7
r1b2rk1/2q2ppp/p3pn2/1pb5/3N4/1BP5/PP2QPPP/R1B1R1K1 w - -,c1g5
r1b2rk1/1p1nnpbp/p2pp1p1/q1P5/2P1P3/2NBB3/PP1QNPPP/3R1RK1 b - -,d6c5
B7/6p1/3bk2p/N1p2p2/3p4/1P5P/5PP1/6K1 w - f6,g1f1
r6r/1pp2kp1/p2bpp2/4n2p/8/2NPB2P/PPP2PP1/2KR3R w - -,c3e4
rn2k2r/pp2bppp/2p3b1/4q3/4n2P/2PN2N1/PP2BPP1/R1BQK2R b KQkq -,e5a5
r6r/1pq1bpk1/p1b3pR/4p1P1/2p1P1Q1/1BN2P2/PPP4R/2K5 w - -,g4h4
1rb1k2r/p1pp1ppp/1Bp1qn2/8/4P3/P1N5/1PP1QPPP/2KR1B1R b k -,a7b6
1k1rrb2/pq4p1/1p3pQp/2nPp3/7P/5N2/PP3PP1/1KBRR3 w - -,b2b3
3rr1k1/1p1bq1p1/2np1p2/pB1Rp1BQ/P3P3/2P4P/1P3PP1/4R1K1 w - -,g5e3
4rrk1/p1q1nbp1/1pnb3p/4pp2/QPP5/2BP1NP1/5PBP/1R2RNK1 b - -,e7g6
r1bqr1k1/1p3pbp/n1pp1np1/p3p3/1PP5/PQ1P1NP1/1B1NPPBP/R4RK1 b - -,c8e6
2r3k1/5p1p/5Rp1/2P5/PP2q3/K1Q5/5P2/8 b - -,h7h5
2rr2k1/pp3pp1/4nq1p/8/1Q1N4/4PBPb/PP2KP1P/R6R w - -,h1d1
r1r3k1/1b1nbpp1/p2p3p/1p1PpP2/qP2P2P/P5P1/2N2BB1/2RQR1K1 w - -,d1d3
r7/8/8/8/4K1pk/p7/8/R7 w - -,e4e3
8/1pk2pb1/p3b1pp/4N3/3B1P2/8/P3K1PP/8 w - -,a2a3
r6r/p1R5/1p4p1/3NPp2/2Pkp3/1P1b4/P4PP1/2KR4 w - -,e5e6
r1q1kr2/pp2bpp1/2p1b2p/3nN2Q/3P1B2/2PB4/PP4PP/4RRK1 w q -,f4g3
4rr2/3q3k/3p2pp/2nP4/2pN1n2/2P1pPB1/2Q3PP/1R3R1K w - -,g3f4
3k1r2/1p1rpp2/p2p4/3NnP2/7R/2P3P1/PP4K1/7R w - -,f5f6
1rbqr1k1/1pnnppbp/p2p2p1/2pP4/P3PB2/2N2N2/1PPQBPPP/R3R1K1 w - -,e2f1
r2q1rk1/pp1n2bp/2b2pp1/2pnp3/8/1P1P1NP1/PBP2PBP/RN1Q1RK1 w - -,b1d2
r2qr1k1/pp1b1pbp/nn4p1/3P4/4pN2/1QN1B2P/PP3PP1/3RKB1R w K -,f1e2:f4e6
8/2p1r1kp/1pR2n2/1P1p4/1P6/4rPK1/2B5/2R5 b - -,f6e8
8/8/2r5/4PK2/8/8/1k6/2q4R w - -,h1c1
r1b2rk1/1p2bppp/p3pn2/n7/2B5/4PN2/PP1B1PPP/R2R2K1 w - -,d2a5
2r1kb1r/pp1bnppp/1qn1p3/3pP3/1P1P4/P2BBN2/5PPP/RN1QK2R b KQk -,e7f5
r3r1k1/1bpn3p/pp1bp1p1/5pB1/2PP4/2N2P2/PPB3PP/2KR3R b - -,d6e7
8/5p1k/p4Pp1/3P4/8/1P3QP1/4R1K1/2rq4 w - -,g2h3
r4rk1/pp1qppbp/6p1/5b2/2Bn3B/4P3/P2N1PPP/R2Q1RK1 w - -,e3d4
r1bqr1k1/pp3pp1/2p4p/2p1b3/4P1P1/P1NP1Q1P/1PPB1P2/R4RK1 b - -,d8h4
5r2/7k/p2pr1pp/2p4n/1pPbPPRP/3N4/P1P5/2KNR3 w - -,e4e5
r2qr1k1/ppp2pbp/3pb1p1/4n3/4PB2/2N4P/PPP1BPP1/1R1Q1RK1 w - -,f1e1
r4rk1/3n1ppp/1qpb2b1/p1N1p3/PpBPP3/4BP2/1P4PP/2RQK2R b K -,f8d8
8/1p1b1B2/2p3pk/p1P5/3P1ppP/1P3pP1/P2K1P2/8 b - -,h6g7
2kr3r/1pn3b1/2p2p2/2Bp3p/R4q1P/5N2/Q4PP1/1R4K1 b - -,f4f5
5r1k/1p1nR2p/p1b3p1/2pp4/5Q1P/2PB1PN1/PP4P1/6K1 b - -,f8f4
r4rk1/1p3ppp/p2Nb1n1/2npP3/1P6/5N2/P4PPP/3RKB1R b K b3,c5d7
r3kb1r/p2p1p2/2q4p/2pN2p1/2pnP3/6P1/PP3P1P/R1BQ1RK1 b kq e3,e8c8
2rq1rk1/1bn1bppp/2n1p3/2ppP3/1pP4P/pP1PNNP1/PB2QPB1/3RR1K1 w - -,b2c1
r1b1kb1r/pp3ppp/2nqpn2/8/2Bp4/1N3N2/PPP1QPPP/R1B1K2R w KQkq -,c1g5
2N3k1/1p4pp/8/2p3q1/2n2P2/6P1/1P3K1P/1Q5R b - -,g5d8
r2qkb1r/pb1n1p2/2p1p2p/1p1nP1p1/2pP4/2N3B1/PP1NBPPP/R2QK2R w KQkq -,a2a4
r1b1k1r1/pp2n2p/4p3/1B1pPp2/3N4/P7/2PQ1PPP/q1B1K2R b Kq -,c8d7
1rbq1rk1/1ppn1pbp/2np2p1/p3p3/P1PPP3/2N1BNPP/1P3PB1/1R1Q1RK1 b - -,f8e8
6k1/3r4/1pp3pp/p7/P7/3b4/1P2NPP1/3R2K1 w - -,e2f4
8/1R3p2/2p2k2/r4p2/4n2P/5BP1/8/6K1 w - -,g3g4
r2r2k1/1p1n1pp1/2p2n2/q2p2p1/2P3P1/1p1BPN1P/PQ3P2/2RR2K1 w - -,a2b3
8/pp2k1b1/3np1p1/4p1P1/5n1P/2P1pBN1/PP6/4BK2 w - -,b2b3
r1br2k1/p3pnbp/p2q1pp1/3p4/P2P1N2/5N1P/1PP2PP1/R1BQR1K1 w - -,f4d3
rq2k2r/p3ppb1/1n1p2p1/2pPn1Pp/p3P2P/N3BPN1/1PP1Q3/R4RK1 b kq -,e8g8
4r3/2k3p1/1pp2P2/7p/P2b4/1K1N2P1/2P1R2P/8 b - -,c7d7
1nrq1rk1/1b2bp1p/pp1ppp2/8/2P5/1PN2NP1/P2QPPBP/R2R2K1 b - -,b8d7
r4rnk/2p1n1b1/2Pp2p1/pb1Pp1p1/1p2P2q/1P2B2P/PN4Q1/1KRBR1N1 w - -,d1g4
6k1/2p2pp1/2Br2b1/P2Pq2p/2p2p2/2N2Q2/1r2PP1K/R3R3 b - -,b2b3
3r1k2/1p2rp2/p1b3pp/1PPp1p2/P2R4/4P3/1R3PPP/3B2K1 b - -,a6b5
5rk1/3b1ppp/QB6/4p1bn/1p2P3/5P2/PPP4P/2K2B2 w - -,c1b1
2b3k1/3nppbp/5np1/p7/Np1B4/5NP1/PP2PPBP/6K1 w - -,f3d2
8/8/p1pN1k2/2P1p2p/1P1nB1pP/P1K3P1/5P2/3b4 b - -,d1e2
4rnrn/p1k1pp1R/bp1p1b2/2pP4/4P3/1P2BPPB/P1PNNK2/6R1 w - -,h7h5
2R4R/5k2/5p2/7p/1p6/1Pp3PK/4rr2/8 w - -,c8f8
2rr2k1/1pq2ppp/p3p3/3n4/3P4/P4N1P/1P2RPP1/1Q1R2K1 b - -,d5f6
r2r2k1/1p1nbppp/pq2p3/1N6/2PBQ3/1P6/P4PPP/R2R2K1 b - -,d7c5
2b2nk1/3n1pb1/q1p1p2p/1pPp3N/1P1P1PP1/3BBN1P/1Q6/6K1 b - -,g7h8
1b5r/pp2k2p/5pp1/2Rq1p2/3P4/4P1P1/PP3P1P/5RK1 w - -,c5d5
2k3r1/1pp3R1/p1p2p2/7p/4Pp2/2P2P1P/PP2KP2/3R4 b - -,g8g7
1r2r1k1/2p2pb1/1q1pbnp1/2p4p/P3P3/1PN3PP/2QB1PBK/1R2R3 w - -,c3b5
2kr2r1/ppp2p1p/8/2q1p3/2N1P3/1QPn1RP1/PP5P/5R1K b - -,c5c6
r2qk1nr/1b2b2p/p3p1p1/1pppBp2/3P4/2PBP2Q/PP1N1PPP/R4RK1 b kq -,g8f6
1r2r1k1/3q1pbp/2np1np1/1pp1p3/1P2P3/2PP1N2/3B1PPP/R2QRBK1 b - -,c5b4
r2q1r1k/p1p2pp1/1bppbn1p/4p3/3PP2B/2P2N2/PP1N1PPP/R2Q1RK1 b - -,g7g5
5r1k/1pr4p/pb3p2/3B3R/3NR3/3n1P2/PP3P1P/5K2 b - -,d3e5
rnr3k1/b2bqpp1/pBpp3p/P3p3/Q1P5/3P2P1/3NPPBP/1R3RK1 w - -,a4a3
8/pqr1ppkp/5np1/1Prp4/R3bQ2/1P3NPP/P3PPBK/3R4 b - -,d5d4
2r2rk1/pbq2pb1/1pnpp1pp/8/2P1PN2/Q3B1P1/PP3PBP/2RR2K1 b - -,f8d8
8/8/6n1/5pk1/3K3p/5R1P/8/8 w - -,d4d5
8/R7/1k1b1n2/7p/1p6/5BP1/1Nr1PPK1/8 w - -,a7b7
8/p1pR1ppk/1bp2r1p/5r2/8/2P1BP1P/PP2KP2/4R3 w - -,f3f4
5k2/p4p1p/p4p2/8/3P4/4N2P/bP3PP1/6K1 b - -,f8e7
2r1r1k1/bp2qppp/p1n2n2/8/1P1P4/PQN2b1P/1B2BPP1/R2R2K1 w - -,e2f3
3r3r/p1k5/1pbp3p/n1p1pq2/P1P5/2PPB1P1/R1Q4P/R4BK1 w - -,f1g2
3rk2r/pp2ppbp/n1p1b1p1/3n4/P7/N1PN2P1/3BPPBP/R4RK1 w k -,a1b1
5r2/1pq3bk/p2p1pn1/P1pPpQp1/2P1P3/1P4P1/3B1RP1/5RK1 b - -,c7e7
1n6/5pk1/4pn1p/3p2p1/3P4/2BKPP2/6PP/3B4 b - -,b8c6
r1bq1rk1/ppp1n1b1/3p1npp/2PPppN1/1P2P3/2N2P2/P3B1PP/R1BQ1RK1 w - -,g5e6
r2q2k1/1pp2ppp/p1bb4/3N3Q/2P1r3/4B3/PP3PPP/3R1RK1 w - -,d1d4
6k1/1b2b1pp/p4p2/1p1npB2/1PqN2Q1/P3P3/1B3PPP/6K1 w - -,g4h5
5rk1/pb1q1rbp/2npp1p1/p1p5/Q1P1PPpN/2NPB1P1/1P3R1P/R5K1 b - -,g6g5
1r1rn1k1/2q1bppp/pp2p3/2p5/P1P2P2/3PP1P1/Q5NP/BR1R2K1 b - -,e7f6
r1b1rbk1/2q2ppp/p1npp3/1p2nPP1/3NP3/P1N5/1PP3BP/R1BQ1R1K w - b6,d4c6
1r3rk1/p1q1bpp1/2n1bn1p/2p1p3/Q3P3/2P1NPP1/PP1B1NBP/R2R2K1 b - -,b8b2
r5k1/pp2q1n1/4p3/2p1Pr2/1bP1Q1p1/1P6/P4PB1/2BR1K1R b - -,a8f8
8/3p1pk1/p1bP2p1/1p2p2p/r1P1Pq2/P3NP1P/1Q4P1/4R1K1 w - -,b2c3
5rk1/R5pp/4N2n/3pP3/2bN4/8/1r3PPP/3R2K1 b - -,f8b8
2r4k/r4pq1/pn2b1pp/1p2N3/2pPB3/1P3R1P/P4PP1/3QR1K1 w - -,d4d5
5k2/4r1pp/1R2Bp2/3p4/2bP4/4P1P1/4PK1P/8 b - -,e7a7
rn5r/pp1b3p/2nkpp2/1B1p4/3P1N2/5N2/PP3PPP/3RR1K1 b - -,h8f8
8/p7/8/3kb3/1p6/1P1KN3/P7/8 b - -,d5c5
2rr2k1/ppq1bppp/2bppn2/6B1/4P2P/2NQ1N2/PPP2PP1/1K1RR3 w - -,f3d4
4r1k1/p1q1bp1p/2b1p1pP/1pp1P1B1/4PQ2/2Pr2P1/P4PB1/2R1R1K1 b - -,e7g5
r1bqk1nr/pp2ppbp/2p3p1/2p1P3/8/2N2N1P/PPPP1PP1/R1BQK2R w KQkq -,d2d3
3R4/2r1nk2/3B2p1/1p2p3/1P4B1/8/b7/4K3 b - -,c7c1
4r1k1/1p3pp1/p1q1r2p/8/2bRP3/2P3P1/P1Q4P/2BR2K1 w - -,c1f4
r1b1rnk1/1p2qppp/2p5/p2p3n/3P4/2NBPN1P/PPQ2PP1/4RRK1 b - -,h5f6
rnbq1rk1/2p1ppbp/p5p1/1p2P2n/5B2/2N2N2/PPP1BPPP/R2Q1RK1 w - -,f4e3
8/5n1p/4R3/1p3p2/1k6/2p3P1/P3PP1P/4K3 w - -,e1d1
8/8/3k4/1ppn4/5P2/3K1B2/8/8 w - -,f4f5
r1bq1rk1/pppnbppp/3ppn2/8/2PPP3/P2B1N2/1P1N1PPP/R1BQ1RK1 b - -,e6e5
4r3/8/2R2bk1/8/1pP1P3/1r4P1/3p1K2/3R4 w - -,d1d2
8/5n2/4N3/3k1p1P/1p6/3K4/8/8 w - -,e6f4
r2r2k1/pq2bppp/4pn2/p1p1N3/QnP5/3P1NP1/1B2PPKP/R4R2 w - -,a4a5
8/8/8/1RP5/5K2/2r5/1pk5/8 w - -,f4e5
4r1k1/ppp3bp/5np1/5p2/3P4/2P2NP1/PP2N2P/2K4R w - -,h1e1
3r1r1k/2pbqppp/3b4/1p2p2n/p3P3/PBP1BP2/1P1Q2PP/3RRN1K w - -,b3a2
r2q1rk1/pbp2ppp/1p2pn2/6N1/3P3P/3B1P2/PPPQ2P1/2KR3R b - -,d8d6
4r1k1/pp5p/2p2rn1/3p3p/3N4/2PPB1R1/PP1K1PP1/8 w - -,d4f3
2r2rk1/3b2b1/3p1q1p/1p1Pp2n/p4p2/P2NBP2/1P1Q2PP/1BR2RK1 w - -,e3f2
3r1rk1/pb1n1ppp/2n2q2/1Bpp4/8/PP3N2/2P2PPP/R2QRNK1 w - -,b5c6
r1q2rk1/p5bp/1p1ppnp1/1Pp1n3/2P1PB2/P2P2PP/2N1Q1K1/1R3R2 b - -,f6h5
2b1rk2/p1b1nppp/2p5/1p6/4PPP1/1PPR3P/P5B1/5R1K b - -,h7h6
rnb1kb1r/pp1ppppp/1q6/2pP4/4n3/8/PPP1PPPP/RNBQKBNR b KQkq -,g7g6:e7e6:e7e5
4r1k1/p5p1/5n1p/2RP4/5P2/6NP/P5P1/6K1 b - -,e8e1
3rr1k1/pp1qnpb1/2pp2pp/4p3/1P2P1n1/2PPNNPb/PBQ2P1P/R3R1KB w - -,d3d4
3r1rk1/1b1n1ppp/pq6/3pP3/1p3P2/6P1/PP1QN1BP/R2R3K w - -,a1c1
r2qkb1r/pp3ppp/2p1p3/4P3/3Pb2P/8/PPP3P1/R1BQKB1R w KQkq -,c2c3
r1bqk2r/p2n1ppp/1ppbpn2/3p4/2PP4/1PN1PN2/P1Q2PPP/R1B1KB1R w KQkq -,f1e2
8/N1b2p2/6p1/2p3kp/B1b1Pp2/5P1P/6P1/4K3 w - -,a7b5
3rrbk1/1p3pp1/1qpp1n1p/p3n3/P3P3/BPN2NPb/2P2PB1/3RRQK1 w - -,f3e5
1rbq1rk1/1pp1npb1/p2p3p/3Pp3/2P1P1n1/2NQ1NP1/PP1B1PB1/2R2RK1 w - -,f3h4
2b3k1/4q1pp/4pr2/pNp1p3/4P3/2P2PPP/3Q3K/3R4 w - -,h2g2
6k1/1q2bpp1/1p2p3/1P2N3/Q7/P4PPp/3n1K1P/2N5 b - -,b7d5
8/8/R7/6p1/4k1P1/p3P2P/r7/5K2 b - -,e4f3
8/3n1k2/1p1P1p1P/pb6/1P2NB2/4KP2/8/8 w - -,b4a5
8/7p/p3k1p1/1p2Bp2/1P4PP/2P2P1K/r7/8 w - -,e5d4
3rr2k/pp1b2b1/4q1pp/2Pp1p2/3B4/1P2QNP1/P6P/R4RK1 w - -,e3h6
4rrk1/1pq2ppp/p1bpp3/P3n3/2Q1P3/2N3P1/1PP2PBP/R2R2K1 w - -,c4b4
1rb2rk1/p1q2pbp/3ppnp1/2p5/1pP1PP1N/3PB1P1/PP2Q1BP/R4RK1 w - -,a1d1
2rr2k1/1p3p2/p3bq2/3pb1p1/1Q6/P1N1PPP1/1P1RNK2/3R4 b - -,g8g7
5r2/2q4k/1ppNn1p1/p3Pp1p/P1P2P2/5Q1P/6PK/1R6 w - -,f3f2
4k2r/1p1bbp2/pq2p3/3pPp1p/PPrN1P2/2P2R2/6PP/R1BQ3K w k -,f3d3
r1b3k1/2p3pp/4pr2/pp1p4/1q1P1PP1/1n6/KNP1NB1P/4RB1R w - -,c2b3
2r1r1k1/1p2b1pp/p2ppn2/8/P3P3/2NPB3/1P4PP/3R1R1K b - -,f6g4
r2q1rk1/1pp3pp/p1b2p2/3pP3/3Pn3/2P5/P1Q1NPPP/R1B2RK1 w - -,f2f3
4rrk1/p5p1/2p5/2ppp3/5pp1/1P1P4/P1PN2PP/5RKR b - -,e5e4
1qr3k1/2rnbpp1/pp1pp1n1/8/bPP1P2p/PN2BP1N/1Q2B1PP/2RR3K w - -,d1e1
r4rk1/5ppp/1qp1b3/4p3/8/P1B2P2/1PP3PP/R1Q1K2R b KQ -,e6c4
4r1k1/3nqppp/4pn2/r1p5/Pp6/3P2P1/1BQNPPKP/R1R5 b - -,d7b6
r2qk2r/1p1bbppp/p1n2n2/2p1p3/P3P3/2PP1N1P/1PB3P1/RNBQK2R w KQkq -,e1g1
rnbqk2r/p3ppbp/3p1np1/1ppP4/2P1P3/5N2/PPQ2PPP/RNB1KB1R w KQkq -,c1g5:c4b5
r7/3p1kpp/4pp2/3b3P/1Q4P1/PRR5/1P4q1/K7 b - -,g2h2
1r2q1k1/4p1b1/pp1pP3/3Q2PR/2P5/1P6/P5K1/2R5 w - -,g5g6
8/p1q1k2p/5p2/1P1p1p1P/8/4P3/PP6/1K4Q1 w - -,g1g7
6k1/p4p1p/1nB3p1/3np3/8/P1R3PP/2N1P1K1/2r5 w - -,c6d5
r2q1rk1/pp3pp1/2n4p/1B1p1P2/8/4b2P/PPP1QP2/2KR2R1 w - -,e2e3
r3k2r/pp1npp1p/2p1bbp1/3p4/NBPP4/1P2P3/1P3PPP/R3KB1R w KQkq -,f1d3
8/p7/4k2p/4p3/1pp1K1PP/7r/PP4R1/8 w - -,h4h5
q4rk1/pbrnbppp/1p3n2/2pp4/3P4/1P2PNP1/PB1NQPBP/2R2RK1 b - -,f8c8
r3k2r/1b2bppp/p1qpp3/1pn3P1/4PP1P/P1N1BQ2/1PP5/2KR1B1R w kq -,f4f5
2R1rk2/5pp1/3p4/p4N1p/5b2/7P/6K1/8 w - -,c8c4
r1b2rk1/bpp2pp1/2n2q1p/PQ2p3/2B5/2PP4/3N1PPP/R1B2RK1 b - -,f6g6
3r2k1/2pq1pp1/p6p/P7/b1PP1Q2/3B2P1/4R1P1/6K1 w - -,d4d5
3R4/5k2/3p1p1P/5P2/4PK2/2r5/8/8 b - -,c3c1
2rr2k1/5pb1/2n1b1pp/q2p4/pppP1BP1/2P1N2P/PP1Q1PB1/3RR1K1 b - -,a4a3
4k2r/3b1p2/p3p3/3pP2p/2qB4/b1N2R1P/2PQ2P1/6K1 w k -,c3e4
2rr4/nb2bk2/p3p1pp/P3Pp2/1p1p1P1P/1N1B2P1/1PPB1K2/R1R5 b - -,g6g5
6k1/2p2pp1/4r3/rp1qP2Q/2bP1P2/P5B1/6PP/R3R1K1 b - -,d5d4
2k3r1/1pp2p2/pn6/3p1qPp/3P3P/2N4Q/PPP5/2K4R b - -,f5h3
8/2R4p/2k1p3/1p2P2P/1p6/1P2K3/P1p5/8 b - -,c6c7
r5k1/np1bnp2/4p1p1/1p1pP1Pp/1P1N1P1P/r1P2N1B/PR1K4/R7 b - -,e7c8
r2qkb1r/1pp1pppp/p4n2/3P4/6b1/2N2P2/PPPPN1PP/R1BQK2R b KQkq -,g4f5
2r1k1r1/1bq1bp2/p3p3/3nn1p1/Np1N2P1/5P2/PPPQBB2/1K1R2R1 b - -,c7a5
2rq1rk1/3nbppp/1pn1p3/p1ppP3/3P1B1P/2P2NP1/PP3P2/RN1QRbK1 w - -,g1f1
8/1k3p2/pn1p4/K2Pp2p/4P2P/4NP2/1P6/8 w - -,b2b3
1n1rr1k1/pp2qpp1/8/2pP1b1n/2PR3p/P6P/1B1QNPP1/3K1B1R w - c6,d5d6
3r4/4R2p/6p1/3p1k2/4p3/2N1n1PP/P1n3K1/2B5 w - -,g2f2
8/8/R5k1/p4pp1/8/q5P1/5B2/5BK1 b - -,g6f7
4k3/2R5/P2p4/8/3b1PP1/2p4P/1r6/7K b - -,c3c2
r1bqk2r/pppnpp1p/6pb/2PPn3/5P2/2N1B3/PP4PP/R2QKBNR w KQkq -,d1e2
2r1nk2/q4p1p/1p2p1p1/1P6/3PQ3/pN5P/P4PP1/5RK1 b - -,a7d7
4r3/1pp1Pk1p/3b2p1/p7/P3R3/8/KP6/4R3 w - -,e1f1
6k1/p4p1p/3p2p1/2pP4/1P4P1/1P5P/1b1KN3/8 b - -,c5b4
8/1p5r/p3kn1p/8/2PBp3/1PK5/1P5P/4R3 b - -,h7d7
5n2/p1r3p1/1b2p1kp/3pPp2/3P3P/2B2N2/1P3PP1/R4K2 w - -,g2g3
8/6kp/2QP1p2/1P2p1p1/4P1q1/1r4P1/6KP/3R4 w - -,d1f1
3r2k1/p3pp1p/1pb3p1/2q5/2p1PP2/P1N4P/1PPrB1P1/2R2R1K w - -,e2f3
rnbqkb1r/ppp1pp1p/5np1/8/3P4/2NB1N2/PPP3PP/R1BQK2R b KQkq -,f8g7
