5k2/pRr3p1/2P4p/3nN3/8/7P/5KP1/8 w - -,e5g6
8/8/8/3p2k1/2p1brp1/2P1K3/4B3/6R1 b - -,e4f3
8/p4kp1/1pR4p/2p5/5K2/7r/PP3N1P/8 b - -,g7g5
3k4/pp6/7p/P4P2/1P1b1p2/3B4/1r4PP/3R1K2 b - -,b2b4
r1bqnrk1/1p2bppp/1np5/p2pP3/P2N4/1PNB4/2P2PPP/R1BQR1K1 w - -,d1f3
8/2k1bp2/p3p1p1/n1p1P1P1/2P2P2/2P4r/P1K2R2/2B2B2 b - -,h3h1
r2q2k1/pp1b1pp1/3p1n1p/8/3P4/1BNQP3/PP4PP/2R3K1 b - -,d8e7
r4rk1/1b3p1p/4p3/pp2qp2/1P6/b3P1N1/P1Q2PPP/1R1R1BK1 w - -,b4a5
1rr3k1/p3qppp/2p5/3p4/N2Pn2N/4P2P/R1Q1bPP1/2R3K1 w - -,c2e2
r1b4r/ppkn3p/6p1/2P1npN1/4p3/1BN5/PP3PPP/3RK2R w K -,g5e6
r1b1r1k1/2q2p2/p2p1npp/1p1Pp3/2p1Pn2/2P1NQNP/PPB2PPK/R3R3 b - -,g8g7
2kr3r/1pp1b1pp/p1q1pp2/3p1n2/3P1Pb1/PP2PN2/1BPN2PP/2R1QRK1 b - -,h7h5
2r2rk1/4q1pp/3bpn2/2pp4/8/1P1n1NP1/PBQRbPBP/RN4K1 b - -,e2f3
1r3rk1/2p3pp/p1pp4/4qb2/3N1Rn1/1P1PP3/P2QN1PP/4R1K1 b - -,f5d7
1nr5/1p2N2p/p2b4/5k2/1P1P1p1P/P4R2/4R3/2r1BK2 b - -,d6e7
8/8/2p1r3/2Pp4/5bk1/8/P7/1Q5K w - -,b1d1
4r1k1/8/1p5p/p4N2/7P/2b1p1PN/P2r1P1K/4R3 w - -,f5e3
8/6b1/p2Np3/P7/5P1k/3q4/3p1P2/3Q1RK1 w - -,d6f7
8/5ppk/4p3/1Q2P2p/4q2P/3p2P1/5P2/5K2 w - -,b5b2
1rb3k1/2q3bn/3p2p1/1pnPr2p/2p2B2/2N3N1/1PQ1B1PP/R4RK1 b - -,c8f5
8/5Bp1/8/7P/1N2pk2/p1P5/7r/4K3 b - -,f4e3
rnbqkb1r/pp3ppp/4p2n/2PpP3/8/7Q/PPPN1PPP/R1B1KBNR b KQkq -,b8c6
7r/k7/P7/8/5P2/6K1/R7/8 b - f3,h8g8
1r3rk1/pbpnq1pp/1p2p3/3p1pN1/2PPn3/1QB3P1/PP2PPBP/2RR2K1 w - -,g5h3
rn1qkb1r/ppp2ppp/3p1nb1/4p3/2B1P1P1/2NP1N1P/PPP2P2/R1BQK2R b KQkq -,f8e7
r7/p2R1pkp/6p1/2p5/4b3/6P1/PP3P1P/R5K1 w - -,d7c7
r1bqkb1r/pp3ppp/2N2n2/3pp3/2P5/2N1P3/PP3PPP/R1BQKB1R b KQkq -,b7c6
8/5K2/8/4p1P1/8/4k3/8/8 b - -,e5e4
r3k2r/1bqpbppp/p1n1p3/8/Pp2PP2/3QB3/1PP1B1PP/RN3RK1 w kq -,b1d2
r1b1kb1r/ppqp1ppp/2n1pn2/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4
2kr3r/pp2pp1p/1n1p1npB/q1pP4/2P1P3/1QP2P2/P3BP1P/1R2K2R b K -,h8e8
2nr1r1k/1p4pp/3pb3/pq2p3/4P3/P1P1Q1P1/1P1R1NBP/4R1K1 w - -,g2f1
8/p3Q3/1p4pP/6k1/1P1p1q2/P2P4/5P2/6K1 b - -,g5h6
r4rk1/1b2qppp/ppnppb2/2n5/2P1P3/N1N1BP2/PPQ1B1PP/R2R2K1 w - -,c2d2
3r1r1k/2q1bppp/p2pp3/1p2P3/3NbP2/P1P1B1Q1/1P4PP/4RRK1 w - -,e3f2:d4f3
r5k1/5ppp/4p3/p1R1P3/8/4P2P/6P1/6K1 w - -,c5c3
r1r4k/6pp/2nq1p2/pp1p4/3P1N1P/4RP2/PP1Q1P2/1K1R4 b - -,c6b4
3r4/5p1p/p5pb/PPPk4/3P4/4P1P1/2r2P2/R4RK1 w - -,b5b6
r1bqkbnr/pppp2pp/2n5/1B2pp2/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq -,d7d6
r2qk1nr/pp2ppbp/2np2p1/2p5/2PP2b1/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e1g1:d4d5
4rrk1/p6p/1p5q/4p1p1/1PP5/4QbP1/P4PNP/R1R3K1 b - -,e8e6
3r2k1/5q2/p7/1p3ppN/6n1/P3P2R/1P2QPP1/4K3 w - -,e2c2
rq2r1k1/1b1n1pbp/ppp1pnp1/8/PPpP4/BQN1PN1P/4BPP1/2RR2K1 w - -,e2c4
4r1k1/pp1r1pb1/nqbP2pp/2p5/2B5/1Q2BN2/PP1R1PPP/3R2K1 w - -,b3c2
rnb2rk1/pp1p1ppp/4pn2/2q5/2P5/P1b2NP1/1PQ1PP1P/R1B1KB1R w KQ -,c2c3
2r5/1pbb3p/3P2k1/1p4p1/8/4r1P1/PP5P/1K1R1R2 w - -,d6c7
3r2k1/pp1r2pp/2p1b1n1/2P2p1q/5P2/P1QP2P1/1BR1P1BP/R5K1 w - -,a1e1
2r2r2/pp3q1k/2npb2p/2p1bp2/2P2N1n/3PP1N1/PP1B3P/1R1QR1KB w - -,f4e6
2q5/2r2pk1/p1p2bp1/PpP5/1P2BPbp/5NP1/2QR1K1P/8 b - -,h4g3
8/p5k1/1p4p1/4qp2/4r3/1P2P1p1/P2Q1KR1/8 w - -,g2g3
8/8/7p/p4P2/p1bb2p1/P1N2kP1/1P5P/2B1K3 b - -,d4f2
3r1rk1/ppq1ppbp/2n3p1/8/2B1P3/2P1BP2/P2P1P1P/1R1Q1RK1 w - -,d1e2
2Rr3k/6p1/4B2p/p5p1/Pb4P1/7P/5PK1/8 b - -,d8c8
rnbq1rk1/1pp1b1pp/pB2pp2/4N3/2pPN3/6P1/PP2PPBP/R2Q1RK1 b - -,c7b6
6k1/8/4p3/4P2p/3Pb1p1/2p3P1/P5P1/2N3K1 w - -,g1f2
8/8/5b2/1kpn4/p7/K7/2N5/8 b - -,f6c3
1b1r4/6k1/7p/1R1Pp3/4Pp2/3K1N2/8/8 w - -,b5b6
r2qkb1r/1p1n1ppp/p2pbn2/4p3/4P3/1NNQ2PP/PPP2P2/R1B1KB1R w KQkq -,f1g2
rnbq1rk1/1p2ppbp/p2p1np1/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 b - a3,b8d7:d8c7
r1bq1rk1/pp2ppb1/3p2p1/3P2p1/1n1P4/2N2N1P/PP2BPP1/R2Q1RK1 b - -,g5g4
5rnk/2p3bp/1p1p2p1/rP1Ppq2/P1B1Nn2/R7/5PPP/2BQR1K1 w - -,c4b3
4qr2/5kr1/1p1n2p1/pPpPpbP1/2P4R/1P2Q1N1/4B1K1/7R b - -,e8e7
2r1rbk1/1p1n1q1p/p2pppp1/P3n3/R3PN2/2P1B1PP/QP3PB1/3R2K1 w - -,a4d4
6k1/4Rp1p/B5p1/b1p5/r7/6P1/5P1P/6K1 w - -,a6b5
r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NPP1P1/1P1BNPBP/R2Q1RK1 b - -,a8b8
4Q3/6pk/p6p/5r2/8/2pq1P2/P1R4P/1K6 w - -,e8e2
1r2r1k1/7p/p2pp1p1/2q5/2p1P3/2P2Q2/2B1R1PP/5R1K w - -,f3f7
r2qk2r/pp3pp1/2pbp2p/8/2PP4/3BPQ2/PP4PP/2KR3R w kq -,d4d5
6k1/3b1pp1/7p/8/3B2P1/1B3PKP/8/5n2 w - -,g3f2
r1bq1rk1/pppnppbp/5np1/3p4/3P4/1P1BPN2/PBP2PPP/RN1QK2R w KQ -,b1d2
8/1q3k1p/4n1p1/2pQp3/2P1Pp2/pPP4P/P4BP1/5K2 b - -,b7c7
2rk3r/pp6/3bp3/3p2p1/3n4/P1N3P1/1P3P1P/R2BK2R w KQ g6,e1g1
r1bqk2r/3n1pp1/p1n1p2p/1pbpP3/5B2/2NB1N2/PPP1QPPP/2KR3R w kq b6,g2g4
2b4r/4kp1p/1qB2p2/1pn1p3/r7/1N2B3/PP3PPP/3QK2R b K -,b6c6
rn1qk2r/pb1p1ppp/1p2pn2/2b5/2P5/5NP1/PPQNPPBP/R1B1K2R w KQkq -,e1g1
2r2rk1/1p3ppp/pq2p1n1/2bpPn2/8/P1P2NB1/1PBQ1PPP/R4RK1 b - -,d5d4
8/pr5p/1n1k2pP/3p2P1/3Pp3/4P3/KPR1B3/8 w - -,e2b5
rqb1k2r/3pbppp/p1n1p3/2N1P3/Pn3P2/2N1B3/1P2B1PP/2RQ1RK1 b kq -,d7d6
1r3r2/6bk/4b1pp/1p3p2/1P2p3/P5P1/q2N1PBP/1QRR2K1 w - -,b1a2
r2qr2k/1pp3pp/2np2n1/1p1N1b2/5P2/1N3BP1/PPPR2QP/1K5R b - -,c6a5
8/p4pkp/6p1/1R6/PP4P1/1r3P1P/5K2/8 w - -,f2g3
r4q1k/p2n1p1p/5b2/2pn4/1p1p4/5PN1/PPPQ3P/2KR1B1R w - -,g3h5
2r3k1/2r4p/pp1p1q2/3Pp1p1/1PP1N1Pn/2RQ1p2/P4P1P/4R1K1 b - -,f6g6
r4kr1/p1q2p2/2p1b3/PpP1p2p/4Pn2/4QPpP/2PN2P1/R2R1BK1 b - -,c7e7
1rbq1r2/4npbk/1pnp2pp/pNp1p3/2P5/PQNPP1P1/1P1B1PBP/1R3RK1 b - -,c8f5
3r4/4k3/r1p1b3/pp2P2n/3P4/P5p1/1PRNN3/4R1K1 w - -,c2c3
8/p1b1r1k1/P5p1/2R2p2/B4P2/4PK2/5P2/8 w - -,c5c6
8/5pk1/1R1N1np1/p6p/P6P/r5P1/5PK1/8 b - -,f6g4
r3k2r/p1q1npb1/Qp2p2p/3p2p1/P2P4/1NP2NP1/1P3PP1/R3K2R b KQkq a3,e8g8
8/3k4/5p1p/P2n1p2/8/8/3NK3/8 b - -,d5e7
r1bq1rk1/1pp2pbp/n2p2p1/p1PPp2n/4P3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,c5d6
8/3k3p/2n3p1/p7/2P1K3/1P4P1/3B3P/8 w - -,e4d5
3r2k1/p4pp1/1pr4p/2b5/4P3/1R3NP1/P4PKP/2R5 b - -,c6d6
1r3rk1/8/p2Pb1pb/2pNp2p/q1P1P3/4N1P1/PP2Q3/R3KR2 b Q -,a4a5
r1nq2k1/pp3rpp/2p1bp2/2P5/Q2p4/P2P2P1/1B2PPBP/R4RK1 b - -,f7d7
b1r3k1/5pp1/p3p2p/1p6/8/1P3PB1/P3NP1P/1B3K2 b - -,a8f3
3r4/pp4k1/2p1n3/4p3/1PP1Pppq/P3b2P/4B1P1/R1N2Q1K w - -,e2g4
r2qkb1r/4pppp/2np1n2/1N5b/Q3PB2/5N1P/PP3PP1/R4RK1 w kq -,a4a8
r2q1rk1/pbpnn1bp/1p1pp1p1/5p2/2PPPP2/2NBBN2/PP4PP/R3QRK1 w - f6,f3g5
4B3/5P2/4k1pp/2p1N3/4N3/1r3K1P/6P1/8 w - -,f3e2
8/1p3k2/p1pn2p1/3r2P1/5P1P/1PK1B3/P3R3/8 w - -,a2a4
6k1/3b1pp1/p4b1p/q7/3PNP2/1r3BP1/3Q3P/3R2K1 b - -,a5d2
3r1k2/p1n4p/1pqp2pN/2p3P1/1PP2P2/P2P3P/3Q3K/4r1B1 w - -,d2e1
1r1q1rk1/1b1nppbp/p2p2p1/2n5/PpPNP3/1P2BP1P/2BQN1P1/R4RK1 w - -,e2g3
r1r3k1/1q1nnppp/p3p3/2b1P1B1/1p2N1Q1/5N2/PPP3PP/R4R1K b - -,e7g6
2r2rk1/1b1p1p2/p5pp/1p2q3/8/PB1QP3/1P3PPP/R4RK1 b - -,b7e4
6r1/4k3/5p2/5B1R/6PP/8/2K2b2/8 w - -,c2d3
r1bqk2r/1p1n1pb1/p2p1np1/3Pp3/P3P2p/2N1B1N1/1P2BPPP/R2QK2R w KQkq -,g3f1
4k3/8/2b1p1p1/1p2P1Bp/pP6/P4PKP/8/8 b - -,e8d7
8/8/8/5k2/1Br3p1/P3P1K1/5R2/2n5 b - -,f5e6
4rr2/p5bk/1p3p2/2p2Rpp/3pP3/1P1P2PK/P1P5/2B2R2 w - -,c1d2
1k6/pp4p1/5p1p/4p2P/Pn3rP1/1P1P1P2/4K3/1BR5 b - -,b4c6
r2q2k1/pp3p1p/3bppbQ/3p4/2BP4/2P2N2/PP3PPP/R3K2R b KQ -,d5c4
4r1k1/ppR3p1/7p/1r2p2n/4P3/2B1K2P/1P6/6R1 w - -,g1d1
2r1qb1k/6pp/3p1pn1/3Qp2N/pB2P3/P4P2/1P1R2PP/5K2 w - -,b4d6
r2q1rk1/pb1nb1p1/4p2p/2pnP3/1p2N3/5NP1/PP2QPBP/R1BR2K1 w - -,g2h3
6r1/p2R4/2p2r1k/5p2/2P5/2n1RpPP/P4P2/5BK1 b - -,c3a2
r1bq1rk1/1ppnppbp/5np1/p2p4/1P1P4/P3PN2/1BPN1PPP/R2QKB1R w KQ -,c2c4
8/kpp1bp2/2n5/3p3p/Q2PqP2/P3P1P1/3B1K2/2R5 b - -,a7b8
rnbqk2r/pp3ppp/2p5/4P3/1b2p3/2N3P1/PPP2P1P/R1BQK1NR w KQkq -,d1d8
8/3n2b1/1p1rq1kp/pP3p2/P2pr3/5QP1/1P3PBN/1R1R2K1 w - -,f3a3
2rr2k1/pb2bp1p/2n1p1p1/2p5/5qP1/P1P2N1P/1PB1QP2/3RRNK1 b - -,c6a5
6k1/1p6/2P1qnp1/p2pn3/3Q4/1B5P/PP3PP1/6K1 w - -,c6c7
r3r1k1/1b1nbppp/pqp1pB2/1p2N3/3P4/1QN1P3/PP2BPPP/3R1RK1 b - -,d7f6
4r1k1/ppr1ppq1/3p2p1/6Rp/P1P1Q2P/1P3RP1/4PPK1/8 b - -,b7b6
6r1/ppp1kp2/4n3/3RB2p/7b/2P2P2/PP2B3/5K2 b - -,g8g5
r1bqk1nr/pppp1ppp/1bn5/8/PPB1P3/2Pp1N2/5PPP/RNBQK2R b KQkq a3,a7a5
r2q1rk1/4bpp1/p2ppn1p/P7/1N1Nb3/1B6/1PP2PPP/R2QR1K1 w - -,b3e6
r1bqr1k1/pp1n1pp1/2p2n1p/3p4/3P3B/2PBPN2/P4PPP/2RQ1RK1 b - -,b7b5
b1r2rk1/p4ppp/Pp2p3/1Nb5/5q2/2PB4/1P2QPPP/R4RK1 b - -,f4g5
r2q1rk1/1b2bppp/p1nppn2/1p6/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R w - -,g4g5
r1b2rk1/1p4b1/2p1qnpp/pP1p1p2/3P4/1NN1PBP1/P6P/2RQR1K1 w - -,b5c6
r1b1r1k1/1p3pb1/1qppn1p1/p3p2p/P3P1nP/2PP1NN1/1P2BPP1/R1Q1BRK1 w - -,f3d2
3qr1k1/1p3pp1/2p1pb2/p1PrB2p/2RP1Q1P/P5R1/1P3PP1/6K1 b - -,f6e5
2q1rr2/1pp2pkp/p1npb1p1/2n5/1P2P3/2N2N1P/P1PQ1PP1/3RRBK1 b - b3,c5d7
r1b5/1p3rkp/2pq1pP1/4p3/p3P1PP/P1NP4/1P1Q4/2K3RR b - -,h7g6
5rk1/1B3ppp/4b3/1N6/2P2P2/1P6/n4P1K/5R2 b - -,f8d8
r1q2rk1/pp2ppbp/n1p1bnp1/P2pN3/R1PP3N/1Q4P1/1P2PPBP/2B1R1K1 b - -,d5c4
5rk1/2qbppb1/3p1np1/n1p4p/2P1P3/2NPB1PP/3QNPB1/5RK1 b - -,f8b8
r2qkb1r/pp1b1ppp/2n1p2n/2ppP3/1P1P4/P1P2N2/5PPP/RNBQKB1R b KQkq b3,c5b4
r1b2rk1/1p6/p1nqp1p1/3p1p1p/N2P1P2/4P1P1/PP1QB1P1/R3K2R b KQ -,c6e7
8/r4B2/p7/2p3kN/8/4r2P/1PK5/5R2 b - -,e3e7
k4r1r/pp2n3/2n1bp1p/3p3P/q1pP4/P3NB2/2P2PPB/RQ1R2K1 b - -,c4c3
r1q1r1k1/1ppb1pb1/p1np2p1/P2n3p/4PP2/1N4PP/1PP2BBK/R2QR3 w - -,e4d5
7r/2k2n2/p2p1p2/1p1PpP2/2P3PP/6K1/P1P5/3R1B2 b - -,b5b4
r2r2k1/ppqn1ppp/2n1p3/4P2b/2N5/4QN1P/PP2BPP1/2R1R1K1 w - -,b2b3
5rk1/p2q2p1/n2ppn1p/Np1b1p2/3P4/QP3PP1/P2BP1BP/2R3K1 b - -,e6e5
8/5p2/2k1p1p1/1p4P1/3B1b1P/1PPK4/8/8 w - -,d3e4
r3kb1r/1p1n1p2/p1p1p2p/2PpNbp1/1P1Pn3/1N4P1/1P2PPBP/R1B1R1K1 b kq -,f8g7
r1q1kb1r/pp3ppp/2n1pn2/3p4/3P1B2/1QPB1N2/PP3PPP/R3K2R b KQkq -,f8e7
8/4p2p/4pkp1/p7/2B5/1P2P1P1/nr3P1P/R4K2 b - -,b2c2
r1nr1bk1/3n1pp1/p2Pp2p/7P/1B2NQ2/3R1NP1/1q2PPK1/2R5 b - -,a6a5
8/8/1p1kp1P1/1P5N/2P1K3/8/8/b7 w - -,g6g7
1r4k1/2R2p2/P5p1/7p/7P/6P1/1P1p1P1K/8 w - -,a6a7
7k/7p/1p1p4/1P2b1B1/2Ppb2P/3P4/8/6K1 w - -,d3e4
8/5k1p/pRp1b1p1/1p6/2P1P3/1P5P/P4rBK/8 b - -,b5c4
8/4bpk1/1R5p/8/1p4PP/2pK4/P7/8 b - -,e7f8
r2q1rk1/2pb1pbp/1p1p2p1/p1nPp3/2P1Pn2/1PN1B2P/P1QNBPPK/R4R2 b - -,f7f5
3r1nk1/1p1r1pp1/p1p1pn1p/P7/2PP2P1/1PB2PP1/2B1RK2/3R4 b - -,d8c8
5k2/2p2ppp/1p6/2p5/1PP1Nn2/P1Q2P1P/4q1P1/7K w - -,c3d2
2k4r/p3bppp/4pn2/2prB3/2N5/2P5/PP3PPP/R4RK1 w - -,f1e1
8/6p1/p4n1p/8/1P1PbP2/4P1k1/1P2K3/8 b - -,h6h5
2k2b2/p7/7p/2p5/1P1p2PP/4B3/P1K5/8 w - -,e3f2
5r1k/ppR5/4B2p/3R2p1/8/5PP1/P5PK/1r1q4 w - -,d5d1
8/5pk1/6pp/p7/1b1r2PP/4NK2/R7/8 b - -,b4d2
8/1r5p/P3k1p1/5p2/3B4/2NK2PP/8/8 b - -,b7b3
4r3/8/p4pk1/1pRP2p1/1PnB2P1/P2R1K1P/2r5/8 b - -,c4d2
r4rk1/1b3ppp/p2p4/3Np1b1/2P1P1B1/qQ6/P4PPP/R4RK1 b - -,a3b3
8/4b2p/4k3/1ppbpp2/8/1PBP1P1N/2P1K1P1/8 b - -,h7h5
2b4R/2k3p1/2p2p2/p1p2P2/2P1r2N/1P4P1/P4K2/8 w - a6,h8g8
5k2/1p1bbp1p/pB4p1/4P3/PnB2P2/2N3P1/7P/5K2 b - -,d7c6
r1bq1r1k/ppp3bp/5np1/4ppB1/2P5/2N3P1/PP2PPBP/R1Q2RK1 w - -,f1d1
8/4k3/7R/p4pp1/2PK4/P4P1P/8/4r3 b - -,e1a1
8/1r1nk3/2r1p1p1/R3p1Pp/R1p1P2P/1pP2P2/1P2K3/4B3 b - -,e7d6
r1b1kbnr/pp1ppppp/1qn5/8/8/1N4P1/PPP1PP1P/RNBQKB1R b KQkq -,g8f6
8/2k5/8/pB2r3/P7/1KP5/8/8 b - -,c7d6
r5k1/pp1rppb1/4b1pp/2p5/P1N1Pq2/1PP1RN1P/2Q2PP1/3R2K1 b - -,a8d8
4b3/2k2p2/6p1/1p2r1Pp/4P2P/P1KB4/8/5R2 b - -,e5e6
B5k1/5p2/P6p/1p2bPp1/1Pp3P1/2P5/6K1/8 b - -,e5c3
8/4k1pp/3p1p2/3PpP2/3bP2P/1PpB1KP1/4R3/5r2 w - -,f3g2
r5k1/4bppp/2R1p3/p2r4/1P3B2/P6P/5PP1/5RK1 b - -,a5b4
r1bq4/rpb3k1/2p2pp1/2Pp1p1p/1P1P1P1P/2N1PBP1/1Q3K2/R3R3 w - -,a1a7
6r1/4k3/pq2p3/1p1p1p2/1Pn2Prp/P1NQP3/4R1PP/5R1K w - f6,f1d1
rn1qkb1r/pp3ppp/2p1pn2/3p4/6bN/3P2P1/PPP1PPBP/RNBQ1RK1 w kq -,d1e1:h2h3
r4rk1/1b1q1pbp/p3p1p1/1pp5/4PB2/P1PP1Q2/BP4PP/3R1RK1 b - -,a8c8
3R4/6pk/nnrp3p/1p6/8/N2P2PP/1P1B1PK1/8 b - -,a6c5
8/4k3/7p/6p1/Pp4P1/8/K1N5/8 w - -,a2b3
r3r1k1/pq1nbpp1/1p3n1p/2Pp4/8/1PN1PN2/PB2QPPP/2R2RK1 b - -,b6c5
2rr2k1/1p2ppb1/5npp/3N1b2/P2P1N2/4B3/1P2BPPP/R4RK1 b - -,f6d5
1rb1qrk1/p1n1ppbp/3p1np1/1PpP2B1/4P1P1/2N2N1P/PP2BP2/R2QK2R w KQ -,d1c2
rnb1k2r/1pq1bppp/p3pn2/8/2BP4/1QN1BN2/PP3PPP/R4RK1 b kq -,e8g8
8/1B3k2/1pp4p/3b4/4r1PP/P5K1/1P6/3R4 b - -,e4e2
r4rk1/1b1nqppp/pp1b4/2pPp2n/P1B1P1P1/1P3N2/1BQ1NP1P/R4RK1 b - g3,h5f6
r2q1rk1/pbpn2pp/1p1p4/P3p3/2PPPp2/2PB1P2/2QB2PP/R4RK1 b - -,d8f6
r4rk1/pppqnbbp/2np2p1/3Npp2/2P2P2/3P2P1/PPN1P1BP/1RBQ1RK1 b - -,e7d5
rn3r1k/pp1q4/2pn2pp/3p1b1P/3P4/P1PBPP2/6R1/2BQK2R w K -,h5g6
8/2bk3p/1p2p3/pP2P1p1/P7/5KP1/7P/4R3 b - -,h7h5
3qr2Q/1p3kp1/5p2/1PR2N2/4pb2/8/P4PP1/7K w - -,h8g7
1R6/5r2/1p6/p5k1/P1B2np1/1P4K1/8/8 b - -,f7f6
r3k1r1/pp3p1p/2p5/2n5/3NPBbP/2P5/P1P2K2/6RR w q -,f2e3
8/5R2/8/6p1/5k1p/1r5P/5PK1/8 b - -,f4e4
