4Q1k1/8/8/1p3PKp/2qp4/7P/6P1/8 b - -,g8h7
rq2k2r/1b1nbppp/p2ppn2/8/4PP2/1PN5/1BPNQ1PP/1K1R1B1R b kq -,e8g8
3r3r/2q1Np2/2p2P2/k2np1B1/1bQ5/pR4Pp/PP5P/2K1R3 b - -,c7d6
r1b2rk1/pp2ppbp/1q4p1/2nn4/2N5/5NP1/PPQ1PPBP/R1B2RK1 b - -,b6c7
2nr1r2/pp4k1/n2p1pp1/3N4/1PP1R2p/q4P2/P1RQ2PP/5BK1 b - -,d8e8
8/1B3k2/1n2p1p1/1p3p2/3P3P/2K1P3/rP6/7R w - -,b2b3
r4rk1/2qnppbp/3p1np1/2pP4/4P3/2N2NPP/PP3PK1/R1BQ3R w - -,d1e2:h1e1
8/p1Bn1rkp/1p4p1/1bp3P1/3p2N1/1P1P4/P2K1R2/8 w - -,f2e2
r2r1bk1/p2p1ppp/1p1N4/2nRP3/8/2B5/PP3PPP/2R3K1 b - -,f8d6
1R3n1r/5pbk/p5pp/2PPp3/b2nP1PP/P3BPN1/6K1/6R1 w - -,c5c6
6r1/3nBk2/r2npp1p/pp1b3P/2p2PP1/2P1R3/PPB2K2/6R1 w - -,e7d6
3r4/5kp1/5p2/ppr1p3/4P1P1/1PPp1R2/P1nB1K1P/3R4 w - -,h2h4
6k1/1r5p/ppnrp3/2p2pP1/2P2P2/P2PPN2/6K1/1R1R4 b - -,b6b5
4rrbk/pp4pp/1q1p4/3P1p2/1P3P2/P2Qn1P1/R5BP/3N1R1K w - -,d1e3
2r5/q2k1p2/bbp1p3/p1ppP1Pp/P1PN2r1/BP1P2PK/2R2P2/2R1QN2 b - -,g4d4
r2qkb1r/pp1npppp/2p2n2/5b2/P1BP4/2N1PN2/1P3PPP/R1BQK2R b KQkq -,e7e6
r1bq1rk1/pp3p2/2p2n1p/2bpp1p1/B3P2B/2NP1Q1P/PPP2PP1/R4RK1 w - g6,h4g3
2R5/6n1/4p1k1/3p1p1p/2pN1P2/4K3/8/2n5 w - -,d4f3
2r2rk1/1b2ppbp/pq3np1/2n5/3N4/4PN1P/PPQBBPP1/R1R3K1 b - -,f6e4
r4rkb/pp3p2/7P/3Nn1B1/2p5/P2b3P/1P2BP2/2KR3R w - -,h1e1
3r3k/1q4p1/p3R2p/8/8/1P3PP1/P3Q1KP/8 b - -,b7c8
r1bqk1nr/pp1p1pbp/2n3p1/1B6/3pP3/5N2/PP3PPP/RNBQ1RK1 w kq -,c1g5
1r1r2k1/5pp1/p6p/1p1bq3/P1pR4/4P2P/1P1Q1PP1/3R2K1 w - -,e3e4
4k3/5ppp/p1r5/2B5/PP3n2/7P/5PP1/4R1K1 b - -,e8d8
r1q2rk1/p3bppp/4pn2/R3B3/2NP4/1Q2P3/5PPP/3R2K1 b - -,c8c6
r1b2rk1/pp1nqppp/2pbpn2/3p4/2PP4/5NP1/PPQ1PPBP/RNBR2K1 w - -,b2b3
r4rk1/2qn1pbp/pp1p1np1/2pP4/2P1P2P/2N5/PPBBQP2/2K1R2R w - -,d2g5
1r2rb1k/5pp1/3p2qp/1p6/p2PP2P/5QN1/1P4PK/4RR2 b - -,b8b7
1r1qk2r/1b3pb1/p1n1pnp1/1p5p/1P1Pp2P/4BPP1/PN1QN1B1/R4RK1 w k -,f3e4
r2qk2r/1b3p1p/p1pp1p2/2b1p3/Pp2P3/1P1PNN2/1P3PPP/R2Q1RK1 b kq -,c5e3
8/8/8/p3k2p/3r4/1P2RK1P/8/8 b - -,e5d5
3r2k1/1pr5/2pb3p/p1P1pB2/P5pP/3RB1P1/1P3P2/6K1 w - -,c5d6
8/p7/1b4k1/1Pp1p1p1/2PrPp1p/3P1P1P/R3K3/6R1 b - -,d4d6
8/2pkn1p1/5pp1/K7/3N2PP/8/8/8 b - -,e7c6
rn2kb1r/pp3ppp/2b1pnq1/2p5/2BP4/1QP1BN2/PP1N1PPP/R3K2R w KQkq -,f3e5
5r1k/1p2r1b1/p2p3p/2pP1p1N/PnP2P1q/1P3B1P/3R3K/3Q2R1 b - -,f8e8
4B3/n7/P4k2/7p/6p1/6P1/5PK1/8 b - -,f6g5
r1bq1rk1/pp2bppp/n1pp1n2/8/3NPB2/2NQ4/PPP1BPPP/R3K2R w KQ -,d3g3
r7/p5k1/7p/4Rnp1/Npp2n2/8/PP3PP1/1B4K1 b - -,f5d4
1r2r1k1/pp1q1pbp/2np1np1/4p3/1PP3b1/2N1P1P1/2QPNPBP/1RB1R1K1 w - -,c1a3
3r1r1k/pp1qb1pp/2np4/3NpP2/8/2P2N2/PP2QPPP/3R1RK1 b - -,d7f5
r2q1rk1/pp3ppp/4pb2/2n5/6b1/2P2NP1/PP3PBP/R1BQR1K1 w - -,h2h3
r3k2r/1ppqnp2/p2p1n2/4p2p/1P2P1p1/2PPN3/1P3PPP/R2QRNK1 w kq -,d1b3
r2qk2r/1pp2p2/p2p1np1/4n2p/4PQ2/2N1PNPb/PPP1B2P/2KR2R1 b kq -,d8e7
r2r2k1/2q2b1p/6p1/p1p1pPQ1/1p2P1RP/1Pn1BB2/2P5/R6K b - -,d8d6
r4rk1/p1q1n1bp/1pnpb1p1/2p1pp2/4PP1N/2PPB1P1/PP4BP/R1Q1RNK1 w - -,h2h3
r2q1rk1/1b3p2/p6B/1p1nbp1Q/3P4/1BP4R/P5PP/6K1 w - -,d4e5
8/3k1n2/1P3P2/2K4p/8/5N2/6p1/8 b - -,h5h4
8/4q1k1/7p/4r3/P1P1pQ1P/4R3/7K/8 b - -,e5e6
rn1r2k1/2R2ppp/pp1Npb2/3b4/1P6/P3P1BP/4BPP1/3R2K1 b - -,d8f8
1rb2rk1/p1pq1ppp/1n2p3/2Q5/2pP4/P5P1/P3PPBP/R1B2RK1 w - -,e2e4
4r1k1/pb3ppp/1p5r/2q5/P3p3/2P1P1P1/3Q1P1P/R1BR2K1 w - -,c1a3
r5n1/1pr2pkp/1b1p2p1/3Pp1PP/1P2P1N1/pKP4R/P3B3/3R4 b - -,f7f5
r1bq1rk1/1p4b1/2pp2pn/p1nPp3/2P1Pp2/2N5/PPQBBPP1/2KRN2R w - -,e1d3
rnbqr1k1/1pbp1ppp/2p2n2/pP6/2PQ4/P1N1P3/1B2NPPP/3RKB1R b K -,c7e5
r1q2rk1/ppp1ppbp/1n4p1/3Pn3/4P3/1QN1BP2/PP2BP1P/2KR3R w - -,c1b1
6k1/p5b1/2N2pp1/1pP1P2p/1PbQ4/P6P/5NP1/2q4K w - -,d4d1
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/P1PP4/1P1BPN2/5PPP/RNBQ1RK1 w - -,c1a3:a4a5
3qr1k1/pp4pp/2p1nr2/3p1N2/6B1/8/PP1Q1PPP/4R1K1 w - -,g2g3
r1b1r1k1/5pbp/p2p1np1/qp1Pn3/3NP3/2N1BP2/P2QB1PP/1R2K2R b K -,f6d7
1rbqk2r/pp2npbp/3pp1p1/2p5/4P3/2PPBnP1/PP1Q1PBP/R2NK2R w KQk -,g2f3
r2q1rk1/pp3ppp/2n2n2/7b/3p4/P2B3P/1PP1NPP1/R1BQ1RK1 w - -,c1f4
rn1q1rk1/pp5p/1n1pp1p1/2p5/2PbP3/2N1B3/PP1NQPPP/3R1RK1 w - -,d2b3
2kr1b1r/1p4pp/p1n2p2/1BP1p3/1P4b1/2P1PN2/P2N2PP/R1K4R w - -,b5c4
r2r4/pppnkp1p/4p1p1/1P2P3/1bP2P2/4B3/1PB1K1PP/R2R4 w - -,a1a4
r4r2/1p2R1pk/2p2p1p/B1Pb4/PP3PP1/5P2/5K2/2R5 b - -,f8f7
4r3/1q1rpk1p/5b2/pPpp1Pp1/P5P1/1P3QB1/6RP/4R2K w - -,e1e6
4r3/1p2ppkp/p2p4/3P1p2/1qr5/5P2/PPPQ2PP/2RR2K1 w - -,d2b4
r1b1kb1r/2ppqppp/1np5/p3P3/2P5/1P6/P3QPPP/RNB1KB1R w KQkq a6,a2a3:c1a3
r5k1/2p2pp1/p2b1r2/1p1p1q1p/1P1P4/2PbBPP1/1P1NR1QP/R5K1 w - -,e2e1
r1bqnr1k/1pp2pbp/3p2p1/p1nPp3/2P1P1P1/2N1B2P/PP1N1P2/R2QKBR1 w Q -,f1e2
6k1/4qp1p/1p4p1/8/4bQ2/5N1P/P5PK/8 w - -,f4b8
2r3k1/1b4pp/4p3/1pP1P3/pP1r1R2/3PN1P1/4K2P/R7 b - -,c8d8
rnb1kb1r/1pq2pp1/p2ppn1p/8/3NPP1B/2N5/PPP3PP/R2QKB1R w KQkq -,h4f6
3q4/8/Q2k1p2/1p6/1pbNP3/5KP1/8/8 b - -,d6c5
r1b2nk1/pp4p1/2p2r1p/2Pp1p2/3P1P1q/3NR3/PPQ2PBP/R5K1 b - -,f8e6
2nr1r2/pp2ppk1/5np1/q3N2p/1P6/6PB/2Q2P1P/3RR1K1 b - -,a5b4
3R4/p2P1pk1/6p1/7p/7P/6P1/3r2r1/R4K2 b - -,g2g3
8/6k1/8/r5K1/6BP/8/6N1/8 w - -,g4f5
2rqr1k1/pp3pbp/3p1np1/2nP4/P3PPb1/2N2N1P/1PB3P1/R1BQ1RK1 b - -,g4f3
rnbqkb1r/p4ppp/2p1pn2/1p2P1B1/2pP4/P1N5/1P3PPP/R2QKBNR b KQkq -,h7h6
2br4/ppR2p2/5k1p/3P2p1/1P4P1/P6P/5KB1/8 b - -,a7a6
r1b2rk1/ppq5/2pb1np1/3p1p1p/2PP4/3B1PN1/PPQ1N1PP/1R2R1K1 b - -,h5h4
1rb3qk/5r1n/p2p1ppB/2pPp3/2P1P1PP/1PQ3R1/2B5/5RK1 w - -,c3a5
1nb2r1k/6bp/1q4p1/4p3/2B2Pn1/5QN1/PP5P/R1B1K2R w KQ -,f4f5
5r1k/6qp/pn4p1/1n6/2pp2NQ/7P/1P3PP1/1B1R2K1 w - -,d1e1
2r3k1/1p3pbp/1n2b1p1/pP1p4/P2N1B2/4PB2/5PPP/r2R2K1 w - -,d1a1
6k1/2R2p2/6pp/rp2r3/8/4P1P1/5PKP/1R6 w - -,b1d1
8/1p6/p3k3/P2rp1p1/1PN1R2p/5PbP/2K3P1/8 w - -,e4e2
3rbnk1/pp4p1/2n1p2p/3pP3/5P1q/4B1N1/PP4PP/1BQ2RK1 w - -,e3c5
r3k2r/pp1n1p2/2p1bnpp/4p1B1/P3P3/5P2/1PP1B1PP/RN1R2K1 w kq -,g5e3
r1b2rk1/pp2nppp/2pqpn2/8/2BP1P2/2N2N2/PP1Q1PPP/3RR1K1 b - -,c8d7
rr4k1/pp1n1p1p/2pNb1p1/8/2P2B2/5B2/Pb3PPP/3RR1K1 b - -,a7a5
2r5/R4pk1/1p2ppp1/5P2/4P1N1/2n5/Pr4PP/5RK1 b - -,e6f5
r4q2/pp1bb2k/n1p1p2p/4BpQ1/P1BP4/8/1P3PP1/R4K1R w - -,h1h6
8/1pk5/2p1rN2/2b2p2/3BbPp1/1P6/P3RKP1/8 w - -,d4c5
1q1r4/5pk1/3Pp1p1/p1PrNnPp/1p1PQ2P/1P6/P2R1P1K/3R4 w - -,e5c6
3r4/pp1rppbk/4n1pp/2p1P3/P1N1R3/2P2N2/1P3PPP/R5K1 w - -,g1f1
4B3/2k1B3/1n6/2K5/8/8/8/8 b - -,b6d7
8/7P/8/1p1kpP2/p7/2P5/2K5/6q1 w - -,h7h8q
r2qr1k1/pb2bppp/1p3n2/2npN3/5B2/2N3P1/PP2PPBP/R2QR1K1 w - -,a1c1
4k3/5p2/5P2/p1p3n1/PbR5/8/1r6/3R3K w - -,c4g4
2r5/4bkpp/p7/1n2p3/1P1B1P2/1KPR4/P6P/8 w - -,d4e5
3R4/p4pp1/6kp/1p6/3p4/1Pq3P1/P4PKP/3R4 b - -,c3c6
r5k1/1p3p2/p3b1rp/4B3/8/P3RP2/1P3P1K/R7 b - -,a8d8
r1bqr1k1/bp3pp1/p1pp1n1p/4pn2/1PP5/P1NPP1P1/1B1N1PBP/2RQR1K1 b - -,f5e7
r4rk1/pp1bppbp/2n3p1/7q/Q1BP3B/4PN2/P4PPP/2R1K2R w K -,c4e2
3rq1k1/1pp4p/p1n2r2/b2p1P2/3P2BP/1Q2BP2/PP4N1/2KR3R b - -,c6b4
8/8/8/p2B4/P1P1ppb1/8/5P1k/4K3 b - -,g4f3
6k1/p5p1/1p2p3/3pP1p1/2n2r2/PR3PK1/R6P/8 b - -,g8f7
rnbqr1k1/p2p1ppp/1Pp2n2/4p3/N3P3/3P1N2/PP1QBPPP/R3K2R b KQ -,a7b6
r3r1k1/pppq1pbp/1n3np1/3P4/3B4/1QN2BP1/PP3P1P/R4RK1 b - -,a8d8
rn2k2r/1R2p1bp/3p1p2/2p3B1/4P3/5NP1/P4PBP/3R2K1 b kq -,f6g5
r3kb1r/1ppq1ppp/p1n1pn2/3p4/2P2P2/1P2PB2/PB1P2PP/RN1QK2R b KQkq c3,d5c4
r4rk1/p4p1p/5Bp1/1pppP3/4bP2/2P1K3/P2R3P/8 w - -,d2b2
r2qrnk1/1bp1b1np/p2p2pB/1P1Pp3/4Pp2/2N2N2/P4PPP/2RQRBK1 b - -,f8d7
rr6/p2n1kpp/3bp3/2pp4/1P3P2/P2B4/2PB2PP/R3K2R w KQ c6,b4c5
1r3rk1/p2q2pp/b1n1pb2/2pP4/5P2/N5PP/PP1B2BK/R1Q1R3 b - -,e6d5
6k1/1p1brppp/p4n2/3p4/3N4/P1N2P1P/1PP2KP1/R7 b - -,g8f8
r4rk1/1pq1bp1p/p3bnp1/2p1p3/4P3/1P1P1RNP/P1P3P1/R1BBQ1K1 w - -,c1g5
rn3rk1/1pq1bppp/p2pbn2/8/P3PR2/1NN1B3/1PP1B1PP/R2Q2K1 b - -,b8c6
r4rk1/1b1nqppp/pp2p3/2pp4/P1PPn3/1PNBPN2/5PPP/R2QR1K1 w - -,a1c1
5r2/2R2pkp/2pPp1p1/2Pp4/5Q2/p3P1P1/Pq3PKP/8 w - -,d6d7
8/6k1/4R2p/3pN1p1/6PP/r5P1/5K2/1b6 w - -,h4g5
r2qk2r/ppp1ppbp/1n4p1/5b2/3P4/N2nPNP1/PP2KPBP/R1BQ3R b kq -,e8g8
r1bqk1nr/ppppbppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR w KQkq -,b1c3
6n1/1bq1pk1p/r5p1/p2p4/PppP2P1/4Q1N1/1PP2PP1/R4RK1 b - -,a6e6
1k2r3/p1p2ppp/2p5/2N3qn/2P1P3/B2P1PPb/PQ3K1P/4R3 b - -,b8c8
2r3k1/pp1b1rp1/8/4p3/5Pq1/2P1BR2/PP3QP1/3R2K1 w - -,f4e5
6k1/1p4pp/p1b1Nr2/4R3/2pP2r1/6P1/P4P1P/1R4K1 w - -,d4d5
r2q1rk1/1p1n1ppp/p2p4/n1p1pP2/P1P1P1P1/2PPB2P/4Q1B1/R3K2R b KQ -,d8h4
4rrk1/3qnp1p/4bBp1/1p1p4/1P3P1P/3P4/5PB1/1R1QR1K1 b - -,e7f5
rnbr2k1/pp2qppp/2p1p3/3p4/1bPPP3/1Q3NP1/PP1N1PBP/R4RK1 w - -,f1d1
8/3N4/5p1p/3n2p1/kP6/P4K1P/6P1/8 b - -,a4a3
r1b5/2p2k1p/2P1p1p1/3p4/P4P2/1N6/5PP1/R5K1 b - -,f7e7
1rb1k1nr/p1q1pp1p/3p2p1/2B5/Np2P3/1P1P2P1/P1P1QPBP/R5K1 w k -,c5d4
r3r1k1/pp3ppp/3b4/2pP3P/2P5/4B3/P4PP1/1K1R3R w - -,b1c2
8/4k1p1/8/p1r1KPP1/1p2B3/1P5r/P2R4/8 w - -,e4d5
r1bq1rk1/1p1nbppp/p1npp3/8/3NP3/1BN1B3/PPP1QPPP/R3K1R1 w Q -,g2g4
rnbq1rk1/pp3ppp/1b2p3/3p4/2PPn3/P3PN2/1B3PPP/RN1QKB1R w KQ -,f1d3
r1r3k1/1qb2p2/2p1p2p/2PpBbp1/3P1P2/2Q1P2P/4B1P1/R1R3K1 b - -,c7e5
4r1k1/3N1p2/3r4/3N3p/3PnPp1/4P2q/6RP/5QK1 w - -,d7b6
r2qk2r/1pp2ppp/p1pbbn2/4p3/4P3/3P1N2/PPPN1PPP/R1BQK2R w KQkq -,d1e2:d3d4:b2b3
5Q2/5R2/6p1/2p3kp/4Pn2/2P4P/1r1b3K/8 w - -,h2g3
rnb2rk1/2p3pp/1p1p3q/3Pp1N1/PNP2pP1/R6P/2Q1PPB1/5RK1 b - -,h6g5
2k2r1r/pppbq1b1/2npp3/6p1/2BPP3/P1N1B1Pn/1PPQN2R/2KR4 b - -,g5g4
8/7p/1p1P2k1/1p3NP1/1Pb2K2/8/p7/8 w - -,d6d7
3rr1k1/pp2q3/1np2pp1/4b2p/4PBbP/2N2QP1/PP3P2/2RR1BK1 w - -,f3e3
8/8/8/6p1/3r4/4p1KP/R3k3/8 b - -,d4d2
2rq1rk1/pp3pp1/2nb1n1p/3ppB2/N2P4/P3PQ2/1P1B1PPP/R1R3K1 b - -,e5e4
5rk1/1bq3np/1p1pn1p1/4pp2/1PP1P3/4QPP1/3NB2P/B2R2K1 w - -,a1b2
r3r1k1/pp3ppp/2pp4/2n5/3bPP2/P1NP3P/1P3RPK/2BR4 w - -,f2f1
r2q1rk1/pbpn2pp/1p1ppb2/5p2/2PP4/1PQ2NP1/PB2PPBP/3R1RK1 w - -,f3e1
8/5p2/1b2p1k1/1n4pp/2N5/5KPP/2N2P2/8 b - -,b6c7
1r3rk1/p4pp1/2p1b2p/2P5/7N/4P3/PR3PPP/5RK1 w - -,b2c2
8/5p1p/pp1kp3/5p2/P1PN1P2/1P1K2P1/7P/7r w - -,b3b4
r4rk1/ppqnppbp/2p2np1/8/2PP2b1/1QN1BN1P/PP2BPP1/R2R2K1 b - -,g4f3
r3k2r/1bqpbpp1/p3p3/7p/1n1NPPn1/2NB2Q1/1PP3PP/R4RBK b kq -,e8g8
1r5k/2Q3pp/pnp5/2b3p1/2P3RP/1P1P4/PB4PK/5r2 b - -,b8g8
r1r3k1/4bppp/2p1pn2/p2p2B1/Qq1P4/4P3/PP2NPPP/1RR3K1 w - -,a4c2
3r1r2/pp6/2k1p2p/3p2pP/3R4/1P2P3/P2R1PP1/3K4 w - -,d1e2
r2qk2r/p1p1bppp/1n2b3/2p5/8/1N6/PPP1QPPP/RNBR2K1 b kq -,b6d7
8/5kpp/2p1rp2/1b1p2P1/p4B2/P1P2PP1/5K2/1R6 b - -,f6g5
r1b1rnk1/ppq2pb1/2p2npp/P3p1N1/4P3/2N1B2P/1PPQBPP1/R4RK1 w - -,g5f3
rn3rk1/1pq1bppp/p2pbn2/4pP2/4P3/1NN1B3/PPP1B1PP/R2Q1RK1 b - -,e6c4
r1bqr1k1/1pp2pbp/3p2p1/p3n3/P3P3/1PN3PP/1BP2PB1/R2Q1RK1 b - -,a8b8
r1b1k2r/2q1bppp/2n1p3/1N2P3/1ppP1P2/P4N2/5BPP/R2Q1RK1 b kq -,c7b8
2q2rk1/2r1bpp1/1p2p2B/4P2Q/8/3B4/1P3PPP/R2b2K1 w - -,a1d1
1r4k1/1q2bp1p/6p1/2N5/1pPNp3/1Q2PPP1/7P/1R4K1 b - -,e7c5
8/3r1pk1/1b2p1pp/1q2P2P/2p5/R5P1/2PBQP1K/8 b - -,d7d5
r4rk1/1pp2q1p/p2p1p2/2bN2p1/2PnP3/1PQ3PB/P4PKP/R3R3 b - -,c7c6
7k/4r3/5pRP/3K1B2/6P1/2b5/8/8 b - -,c3b2
r4rk1/pp3pb1/1n1p1qpp/8/2bP4/2N3P1/PP2NPBP/R2QK2R w KQ -,e1g1
8/1p4bp/4k3/1r6/p3p3/7K/PP3R1P/2B5 w - -,f2e2
8/5p2/4p3/6k1/2r3p1/4R1K1/5P2/8 b - -,g5f5
2r1r1k1/p2n1pp1/1p1p3p/2qP4/P2Q1B2/2P3PB/4bP1P/1R2R1K1 b - -,c5c7
2r2rk1/1b2q1bp/p2p2p1/1pp2p2/4PP2/P1PPB3/1P3QBP/1R3RK1 w - -,g2h3
2r1nrk1/1b3p1p/6p1/p1p1P3/2Bb1P2/1PNR4/P4NPP/5RK1 b - -,e8g7
r3rbk1/1bq2ppp/p2pn3/np2pN2/4P2N/2P1B1Q1/PPB2PPP/R3R1K1 b - -,g8h8
1k1r4/1pq2b1R/1np1p1p1/Q3PpP1/P1P2P2/6N1/1PB5/2K5 b - -,c7d7
2rq1rk1/pb3pp1/1p2p2p/3n4/3P4/P5Q1/1P3PPP/1BNR1RK1 b - -,d8g5
8/3k4/7R/8/8/1K6/6rp/8 b - -,d7e7
4r2k/1pbq2np/p1n3p1/P1p2r2/2Bp1N2/3P2PP/1PPB2Q1/4RRK1 w - -,e1e8
3rrn2/pp3pkp/2p1b1p1/2N1n3/1q2PR2/4QN1P/PPP1B1P1/5RK1 b - -,f8d7
8/8/1r4p1/4kp1p/R6P/5KP1/8/8 w - -,a4c4
6Q1/8/5qk1/5p1p/4p1p1/4P1P1/5PK1/8 b - -,g6h6
2r1k2r/1q1nbp1p/2n1p1p1/3pPP2/1p1P2P1/pP2BN1P/2PQ1R2/R4BK1 b k -,b7b6
r1b1r1k1/ppqn1ppp/2p1pn2/8/1PPPN3/P2B4/4NPPP/R2QK2R w KQ -,c4c5
3B2k1/1bq2r1p/pp4p1/8/2B1r3/2P5/PP2Q1PP/4RR1K b - -,c7c4
8/3R1pkp/pp3rp1/8/8/1P2P1K1/P4P1P/8 b - -,f6c6
6k1/6p1/p7/8/PPr4B/5P1P/3R2PK/1b6 w - -,d2b2
r1bqnrk1/1p1nppbp/p1p3p1/2Pp4/3P1B2/2N1PN1P/PP2BPP1/R2Q1RK1 b - -,e8c7
2r3nr/1qN1ppkp/pp1p1bp1/3N1P2/2P5/5Q2/PP4PP/R4RK1 w - -,c7e8
2b4q/p4k2/1p1p4/2pP1pp1/P1P1p1n1/1P2P1P1/3K1PBr/2NQ2R1 w - -,d2c2
2kr4/1pprbpp1/p3n3/2P1p2p/2P1P3/1N1PBP1P/P2R1PK1/3R4 w - -,a2a4
8/p5pp/8/1P2K3/2k2P2/6PP/8/8 b - -,c4b5
r2q1rk1/p1pnbppp/b3pn2/3p4/3P4/PPN2NP1/3BPPBP/R2QR1K1 w - -,b3b4
r2q1rk1/p4pbp/2p3p1/3pnb2/1P6/P1N3B1/2PQBPPP/3R1RK1 w - -,c3a4
r2r4/pb2kpp1/1p2pn1p/1Bq1N3/8/8/PPPRQPPP/2K4R w - -,b5d3
r3r3/5pkp/p4np1/P2qp3/8/2Q1PN1P/5PP1/R1R3K1 w - -,c3c5
r1b1k2r/pp3ppp/n1pb1nq1/8/4p3/2N3PP/PPNPPPB1/R1BQ1RK1 w kq -,d2d3
6k1/p5b1/6Bp/2p1P3/1p4P1/6nP/7K/8 w - -,h2g3
4b3/4q2k/1p1p2pP/p1pPp3/P1P1B1p1/1P1K2P1/8/5R1R b - -,e8d7
r1br2k1/1p2ppbp/1p4p1/3N2B1/1n1P4/5B2/PP2NPPP/R4RK1 b - -,b4d5
1r1r1k2/p1b2p1p/1pBpp1p1/8/2P2P2/P4KP1/1P1R4/3R4 b - -,h7h5
r1b1k2r/p4ppp/2p5/5Q2/3P4/2P1Pp2/P4P1P/R4RK1 b kq -,c8f5
2N3bk/1P4b1/2N4p/5p2/8/7r/4n3/4R1K1 w - -,e1e2
8/5k2/6p1/pbPN4/3KBP1p/1P5P/6P1/4r3 w - -,d5c3
4R3/8/1p6/p1b2kpn/P1P4p/1P1r1P2/1R3PK1/8 b - -,h5f4
r5k1/3bppnp/q2p2p1/2pP4/2P1P3/2N3PP/1R1Q1PBK/8 w - -,d2e2
1r5k/2pn1rp1/4p2p/3pP2P/1qbP4/1p2Q3/1R2NPP1/1B1R2K1 b - -,b4e7
1nq4k/Q5p1/1p5p/3B4/7P/2P3P1/P4P2/6K1 w - -,a7b6
r3r3/1k1p3p/p1nR2p1/2R2q2/PP6/4Q1PP/1P3P2/6K1 w - -,c5f5
rn3rk1/4ppbp/3p1np1/q1pP4/4PP2/2N2N2/PP1B2PP/R2QKR2 w Q -,d1e2
