6k1/pr6/8/6P1/3b1P1R/4p3/P3K3/8 w - -,e2d3
4r1k1/1pp5/p1n3p1/3qpp2/2Q3p1/3P2P1/PP3P1P/R3R1K1 b - -,e8d8
1rb2rk1/p3ppbp/1q1p1np1/np1P4/4P3/4BNPP/PP3PB1/R2QRNK1 b - -,b6a6
3q4/1p3pk1/1np1p1p1/r1NnP2r/p2P3p/P2Q1N1P/1PR2PP1/3R2K1 b - -,a5a7
6k1/2q2p2/p3p1n1/2p1P1Q1/3r2P1/1P2R3/2R5/7K w - -,h1g2
rn2k2r/pp3pp1/1bp1qn2/5b1p/3PP3/2N2RP1/PP2N1BP/R1BQ2K1 b kq -,f5g4
8/5p1k/1P4p1/8/8/4q1P1/1Q6/3K4 b - -,e3d3
r1r3k1/1b4pp/4p3/PBB2p2/5n2/8/5PPP/2RR2K1 w - -,c5b6
rnbqk2r/ppp1nppp/4p3/3p4/1b1PP3/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,d5e4:c7c5
r1b2r1k/1p1nqpp1/p1p1p2p/2P5/3PB3/2P2N2/P1Q2PPP/1R2R1K1 w - -,f3d2
1r1q1rk1/p4pbp/1pn2np1/2p1p3/P1PpP3/2P2NP1/1PQ2PBP/R1B1R1K1 w - e6,f3h4
8/2p5/2k5/7K/4rBPP/1n6/2p5/5R2 w - -,g4g5
r1bqk2r/ppp1ppb1/3p1npp/2nP4/4PP1B/2N2N1P/PPPQ2P1/R3KB1R w KQkq -,d2e3
R7/P4pk1/4p3/3p2r1/6pR/6P1/r4P2/6K1 b - -,g7f6
1Nb1k2r/5ppp/3p4/p3p1b1/2P1P3/P7/1q3PPP/R2QKB1R w KQk -,f1e2
rnbqkb1r/pp3ppp/4p2n/2PpP3/5P2/4B3/PPP3PP/RN1QKBNR b KQkq f3,g7g5
3r4/2Q2Rbk/1p1p2pp/1P1Pp1qn/4P3/B2P2P1/5PK1/8 b - -,d8a8
r1bq1rk1/pp2bp1p/2ppnnp1/4p3/1P2P3/2PPNN2/P1B2PPP/R1BQR1K1 w - -,e3f1
8/2r1k3/1pBp1p1p/pP2p1pP/RP1r2P1/5P1K/8/8 b - -,d4b4
r2q1rk1/pb1pbpp1/1pn1pn1p/8/3P3B/2PB1N2/PP1NQPPP/R3K2R w KQ -,e1g1
3k4/2r3b1/8/5R2/2Pp2Pp/1P6/P3R1K1/8 w - -,g2h3
8/5pk1/p3p1p1/3pPnPp/2q1r3/2P5/PQ2R1PP/4B1K1 w - -,e2e4
r1bqk2r/3pnppp/pbn1p3/1p6/1P2P3/P1N2N2/B4PPP/R1BQ1RK1 w kq -,d1e2
r4rk1/pp2n1p1/2p5/3p4/1P1P4/P4p1b/B1P3Q1/2B2R1K b - -,f3g2
r1b1kb1r/2qn1ppp/p2p1n2/1p1NpPB1/3NP3/8/PPP1Q1PP/2KR1B1R b kq -,f6d5
r1q2rk1/pp1bppbp/2n3p1/2p5/3pPP2/3P2P1/PPPNN1BP/R2Q1R1K w - -,e2g1
2r3k1/5ppp/1b1p4/p2Pp3/Br2P3/1P3P2/R5PP/5R1K w - -,a2a1
r5k1/1b2q1bp/3pn1p1/1pp1p2n/4P3/1BPP1NP1/1P3P2/2BQRNK1 b - -,g8h8
r2q1rk1/3nbppp/p2p1n2/4pP2/1p2P3/1NN1Q1P1/PPP4P/1K3RBR w - -,c3d5
8/8/6p1/2b2k2/7P/6K1/4b3/8 b - -,c5e3
5k2/5p2/R5p1/4P1K1/pr5P/8/8/8 w - -,h4h5
1kr3r1/p2q4/1p4p1/3nPpBp/3P4/RQ6/2P2PP1/R3K3 b Q -,c8c3
1B2r1k1/1p2bp1p/pq4p1/n1p2b2/3p4/2PP2Q1/1P3PPP/R3RBK1 b - -,a5b3
r1b2rk1/1pqnbppp/p2pp3/6P1/3QP2P/2N2P2/PPPB4/2KR1B1R b - h3,b7b5
8/6p1/5p1k/R6P/5K2/7P/6r1/8 b - -,g2g1
2rq1rk1/1b2ppb1/1n1p2pp/p1pP4/Pn2P2P/1P2BN2/4NPP1/1BRQR1K1 b - -,c5c4
1r4rk/2p2Rp1/1qp4p/2NpP2P/1PbQ4/8/1R3PP1/6K1 b - -,b6a7
1r3r2/1p1n3p/p1bNp2k/4P3/6Rp/1P4P1/P2N1P2/4R1K1 w - -,g4h4
r2q1rk1/pp4bp/2np1n2/2p1pP2/2P5/2NB2P1/PP5P/R1BQ1RK1 b - -,c6b4
rn3rk1/p2q1p1p/bp2pp2/2p5/3P4/P4N2/1PQ1PPPP/3RKB1R b K -,c5d4
1r6/4kp2/1p1pp1p1/pP2n2n/N1PRP2r/1P4R1/6B1/6K1 w - -,g3e3
q1rrn1k1/1p3pb1/p1p1pB1p/8/PP1PPPp1/1N2Q1PP/2R3B1/2R3K1 b - -,e8f6
Bn2q1k1/5pbp/pp1p4/6p1/3P4/4r2P/PP1Q3P/2KR3R b - -,b8c6
4r1k1/pq4pp/1p3p2/6n1/3B2Q1/1P2P1P1/P4P1P/2R3K1 w - -,e3e4
rnbqk2r/ppp1ppb1/6pp/3p4/2PP1B1P/2P5/P3PPP1/R2QKBNR w KQkq -,e2e3
2r2rk1/pp1q2n1/2p2bn1/1PPp1p2/P2PpPpp/1Q2P1P1/1B2N1BP/2RR2K1 b - -,g8f7
6k1/4bppp/q3p3/1p1rP3/2pP1P2/4B1P1/1P3Q1P/5RK1 w - -,g3g4
2rr2k1/1p2bppp/q1pnp3/p7/PnNPPB1P/1PN3P1/3RQPK1/3R4 b - -,h7h6
2rrn1k1/1p2bppp/q1p1p3/p7/PnNPPB1P/2N3P1/1P1RQPK1/3R4 b - h3,e8d6
r5k1/p1n5/1p1bn1N1/2p2RP1/7P/3p4/PP3PK1/R7 w - -,h4h5
r3kb1r/ppq1pppp/2n2n2/3p2B1/3P2b1/2PB1N2/PP3PPP/RN1QK2R w KQkq -,e1g1
5b2/7k/6pp/3Bp3/5p2/1N3P1P/1r4P1/6K1 b - -,f8e7
1r6/q3b2k/1N1rbppp/pQ2p3/P7/2P1P1P1/1R3PBP/1R4K1 w - -,c3c4
4rrk1/pbpp1pp1/1p3q1p/2b1nP1Q/8/1BP2N2/PP4PP/R1B2R1K w - -,f3h4
8/pp1q1k1p/2pb2b1/3p4/3P3Q/2P1NP2/PP3K1P/R1Br4 b - -,d1h1
6k1/4r1pp/p1p5/Pp1p4/1PnPq1p1/2Q1P2R/5r1P/2BK2R1 w - -,h3g3
r3k2r/pp1b1ppp/2nqpn2/1Bpp4/3P4/2P1PNP1/PP1N1PP1/R2Q1RK1 b kq -,c6e7
1rbq1rk1/1p1nnpbp/p2pp1p1/2p5/2PPP2P/4BP2/PP1QNNP1/2R1KB1R w K c6,h4h5
3R4/5pk1/1pr3p1/7p/3K1P1P/1P4P1/8/8 b - -,g7f6
r1bq1rk1/3nbppp/1p2pn2/p2p4/1P6/P1PBPN2/1B1N1PPP/R2Q1RK1 w - -,d1e2
rr4k1/1p2qbbp/2p2pp1/2p5/2P1PN2/1PN2P2/1Q4PP/3RR1K1 w - -,f4d3
r1b1r2k/1p3p2/2pR1q2/p6n/4Pp1p/P4P2/1P1QN2P/3R1B1K b - -,f6g5
7k/2R4P/6K1/3b4/8/8/8/8 b - -,d5e4
rr6/4ppkp/2p3p1/p7/Pn1N4/1P1N2P1/2R1PP1P/Rn4K1 w - -,a1b1
6k1/6b1/2p5/3n1pp1/p1NP1p1p/P6P/1P1RrPP1/6BK b - -,e2e1
1rN2rk1/3nbppp/p1p5/1pPp4/1P1B4/P3PP2/4B1PP/R3K2R b KQ -,f8c8
2rqr1k1/1b3pnp/p5p1/1ppPb1P1/4P3/PQ5P/3BNP2/3RRBK1 b - -,c5c4
r1bq1rk1/1pp1npp1/p2p1n1p/2b1p3/2B1P2N/P1NP3P/1PP1QPP1/R1B2RK1 b - -,g7g5
r4rk1/p2qbppp/1p2pB2/3B4/1P6/8/P3QPPP/R4RK1 b - -,e7f6
r1bqk2r/pp2bp2/2n1pn1p/2p5/2PpPP2/3P4/PP2N1BP/RNBQ1RK1 b kq -,e6e5
r1k5/2R2R1p/p5p1/4n3/PP6/6PP/1P3PK1/4r3 b - -,c8d8
7r/3B1pk1/3p4/2bPp1q1/1p2P1Qp/1P4P1/R4PK1/8 b - -,g5g4
r1bk2nr/pppp1ppp/2n5/1N6/4q3/2b5/PPP1BPPP/R1BQ1RK1 w - -,b5c3
r1r3k1/pn3pbp/B5p1/2P1pb2/pP6/P3BP2/K5PP/3R3R b - -,c8c7
5r1k/3q3r/n2b3N/p1nPppB1/1p6/1Pp3N1/P4PP1/1R1Q2KR b - -,f5f4
r3r1k1/ppp2pbp/3p2p1/2nP4/2P1P3/1P1BP3/PB4PP/1R2K2R w K -,e1e2
1k2r3/p4p1p/1p1r4/5b2/P1PP3P/1P3Pp1/6P1/2RR2K1 b - -,e8e2
2r2r2/pp1n1kp1/2p2n1p/q7/2P1p3/1P4P1/N3PPBP/R2Q1RK1 w - -,g2e4
8/2bk4/1p4p1/p2KP3/1p1N1P2/1P6/P7/8 b - -,c7d8
8/k7/1r1Q4/5p2/8/3K4/8/1n6 w - -,d6c7
6k1/3n1qbp/2p3p1/pn1p4/1p1P2QP/1P1N1P2/P4BP1/3N1K2 b - -,h7h5
rnb1qr1k/pp2p1b1/2p3pp/3p4/2PPpB2/Q5PN/PP2PPBP/R2R2K1 b - -,b8d7
3R4/p1rn1pk1/2B4p/1P4p1/3K2PP/6P1/5N2/5b2 b - -,d7f8
4qrk1/p4pp1/Rb5p/1r6/3P2B1/3Q2P1/4PP1P/3R2K1 w - -,a6a2
r1bqk2r/pp1p2pp/2n1pn2/5p2/2PQ4/P1B2P2/1P2P1PP/R3KBNR w KQkq -,d4d6
2r1r1k1/5pp1/1p2b2p/pp2p3/3qP3/1P1PN3/P2Q1PPP/2RR2K1 w - -,g1f1
6k1/4qp1p/1p1r4/2p1b1p1/P5P1/1PR2P1P/5Q2/4RK2 b - -,f7f6
5r2/1p2r1k1/pN3p1p/2R3pP/2Pp2P1/8/P5K1/5R2 b - -,e7e4
5rk1/pR6/N1np2p1/2p1p3/2P1P2q/3PQP1n/P3N3/6K1 w - -,g1g2
2rr2k1/5pb1/p5pp/Pp1q2N1/4p2P/Q1PnB3/1P3PP1/3R1RK1 w - -,g5h3
8/5pk1/5qp1/4Q3/8/r3P3/5PP1/5RK1 w - -,e5f6
8/r4kpp/4p3/3pP3/8/r1RKPP2/p6P/R7 w - -,d3c2
rnbqrnk1/pp4pp/2pbpp2/3p4/2P2PN1/1P2P3/PB1PB1PP/RN1Q1RK1 w - -,b1c3
2rb4/rp3pk1/4p2p/PBp5/R1Pp1p2/R4P1P/1P3PP1/5K2 w - -,a5a6
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b8a6:a7a5:b8d7:d8e8:e5d4:h7h6:c7c6:b8c6:f6h5
r2q1rk1/1p1n1ppp/2p1p3/p6b/PbQPP3/1N4P1/1P3PBP/R1B2RK1 b - e3,f8e8
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - c3,b8a6:a7a6:b8d7:f8e8:c8f5:c7c6:b8c6:c7c5
r1b1r1k1/1p3p1p/6p1/1P4q1/3b4/BQ4P1/5PBP/1R3RK1 w - -,b3b4
5r1k/p5r1/1p1P4/n1pQ4/4PqP1/8/PP1KB2p/2R4R w - -,d2c3
r4rk1/ppq1ppbp/3p2p1/8/3Nn3/4B3/PQP1N1PP/R4R1K w - -,a1b1
rnb2rk1/1pp1qpp1/p2p1n1p/4p3/P1P1P3/2PP1NP1/5PBP/R1BQ1RK1 b - a3,a6a5
5r1k/pR3p1p/6p1/2bB4/4P3/6P1/5PKP/8 w - -,d5f7
r1b2r1k/1p1n2pp/2n1pq2/3p4/1p1P4/3BNN2/PP3PPP/R2Q1RK1 w - -,d3c2
8/1n3p2/2k1pP1b/2p1P3/1pP5/1P1N4/2K2B2/8 b - -,h6g5
2r4k/p6p/6p1/2pQRrq1/3p4/8/PPP3PP/R5K1 w - -,e5f5
2k2b1r/pp3p1p/2q1pp2/8/2Pr4/7P/PP1NQPP1/R2R2K1 b - -,h8g8
4k3/7R/8/5Kp1/P7/8/1P4rp/8 b - -,g5g4
6k1/5p2/6pB/p7/2q5/2b2P2/6KP/3Q4 b - -,a5a4
1q6/3r1p1k/4pbp1/1pp4p/4Q2P/1P1PP1P1/5PB1/2R3K1 b - -,b8d6
1rbq1rk1/3nppb1/1n1p2p1/1BpP2Np/4PP2/1PN3BP/2PQ2P1/R3R1K1 w - -,e4e5
2B5/2R1k1p1/3r3n/5P2/8/5K2/8/8 b - -,e7f6
4r1k1/1b1n1pb1/1q1p1npp/1pp5/3PP3/1PPB2NP/2QN2P1/B4R1K w - -,d2f3
6rk/1p3p1p/p2p4/4N1q1/4P3/1P2PbP1/P2Q1K2/6R1 b - -,d6e5
5r2/2p3p1/1pk1p1n1/p1p1P1Bp/P7/1P1R1PPP/2P2K2/8 w - -,d3e3
r2qk1nr/1b2b2p/p3p1p1/1pppnp2/3P1B2/2PBP2Q/PP1N1PPP/R4RK1 w kq -,f4e5
rn1qk2r/pp2bppp/2p1pn2/5b2/3P4/1BN2Q1P/PPPBNPP1/R3K2R b KQkq -,f5g6
7k/7p/1p1b2p1/p4p2/8/5QP1/6KP/q4B2 b - -,a1d4
rn2kb1r/ppp1pppp/5n2/q6b/2B5/2NP1P2/PPP3PP/R1BQK1NR w KQkq -,c1d2
b5k1/5ppp/4p3/3pP3/1b1P4/5NNP/Bn3PP1/6K1 w - -,g3e2
2r5/3brpbk/pq1p2pp/Pp1P4/2p1PP2/4RN2/1P1QB1K1/2RN4 b - -,b6a7
6k1/5pp1/p6p/P2P4/1p1b2n1/3R2Q1/7P/2NKr2q w - -,g3e1
2knr2r/ppp1npp1/3qb3/3p3p/PP1P4/2PB1Q2/5PPP/RNN2RK1 w - -,b4b5
6k1/p5q1/6p1/2p1pp2/3rn3/1P1rNQP1/P1R2P2/2R3K1 w - -,c1d1
r4rk1/ppb1qppp/1np2n2/6R1/4P3/1QN1BP2/PP3P2/2KR1B2 w - -,f1d3
3kb1RQ/5p2/2q1rp2/1p2p3/2p1P3/2P5/1r3PPP/R4BK1 w - -,h8h7
r6r/2p1k3/pnQbpq2/3p2pp/3P4/4BN2/PP3PPP/2R1R1K1 b - -,a8g8
6k1/6P1/4p3/1p2Bn2/7P/8/5P2/6K1 w - -,g1f1
2r1kb1r/pp1qn1pp/5p2/4pPP1/3pP2P/3P1NN1/bPn3B1/1RBQ1RK1 w k -,g5f6
8/8/B7/pp1k1p2/2p3bP/2P5/PP1KN2b/8 w - -,a6b5
kr6/p4qB1/2p1p2p/7P/3Q2P1/KP6/P7/8 b - -,f7e7
8/1p3R2/2p3Q1/2qr4/P4p1k/8/5PP1/6K1 b - -,c5c1
8/p7/1pb2k2/P5p1/2p1pp2/2Pr3P/6P1/3RR1K1 b - -,b6b5
1r6/2q2kp1/2n1ppp1/3p4/6PP/rPP2P1K/2QB4/1R5R w - -,h4h5
3b4/8/1prpk3/p2Npppp/P7/4BP1P/3RK1P1/8 b - -,f5f4
6k1/5p2/3p3p/2nPb1p1/4P1P1/R4K1P/2r2P2/3R4 b - -,c2b2
2rr2k1/1pRbbppp/p3p3/8/P3N3/4P3/1PB2PPP/5RK1 w - -,c7c8
1r3rk1/1pn3bp/pNnqbpp1/P1p1p3/3pP3/1P1P1NPP/2PBQPB1/R3R1K1 b - -,c7b5
r1bq1rk1/4bppp/p2ppn2/1p6/2BBP1P1/2N5/PPP1QP1P/2KR3R w - b6,c4b3
r4rk1/2q2ppp/p3p3/3nP3/1p4P1/1NP5/PP4QP/1K1RR3 w - -,c3b4
r2q1rk1/1bn2ppp/p4b2/2P5/1p1P4/8/1PBN1PPP/R1BQR1K1 w - -,d2b3
8/1kp1R3/2b5/PP6/3P2K1/2P3P1/5r2/4R3 b - -,c6b5
3R1bk1/4pp1p/1r4p1/4B3/4B3/6Pb/P4P2/6K1 b - -,h3e6
8/8/Rp3pp1/8/P3KPk1/2r5/8/8 w - -,a6b6
8/5k2/1R6/4ppp1/8/1P3PKP/2r4P/8 b - -,c2c3
6k1/1B3p2/6pp/b3p3/5n2/5KNP/6P1/8 w - -,g3e2
r3r1k1/2R3p1/p7/1p2P3/4n3/1P6/1B3PK1/R7 w - -,f2f4
2r2rk1/1p2bppp/1qn1pn2/p1pp3b/P2P1B2/1PPBPN1P/3NQPP1/R4RK1 w - -,f1c1
r3kr2/pbp1q2p/1p1p4/5B2/Q1P1n3/2P1P2P/P4P1B/2KR2R1 b q -,e8d8
r1bbr3/1pp3k1/p5pp/2NNpp2/1PP5/4P1P1/P3nPBP/R4R1K b - -,c7c6
5rk1/B3bppp/b3p3/q3n3/1p6/1P2Q1P1/PN3PBP/2R3K1 b - -,a5a2
1r3r2/5kpp/p3pb2/5p2/P2N4/1PR1PP2/5P1P/3R2K1 b - -,f8d8
8/4k3/6p1/4K1Pp/1r2B2P/8/8/8 b - -,e7f7
r1b1k2r/1pqnbp2/p2ppp1p/5P2/3NP1P1/2N2Q2/PPP4P/2KR1B1R b kq -,d7e5
6k1/5p2/1R4p1/2p4p/2r5/6KP/5PP1/8 w - -,b6c6
r3k2r/ppqn1pp1/2pbpnp1/3p2B1/3P4/2NBP2P/PPPQ1PP1/R4RK1 w kq -,e3e4
8/7p/4k3/b7/P1K3P1/3R3P/3p4/8 b - -,e6e5
8/k7/7p/PP3Kp1/2n1B3/6P1/7P/8 w - -,f5g6
1r1q1rnk/1ppb2bp/p2p2p1/2PPp3/1P2P1B1/2N1B3/PN1Q2PP/2R2RK1 b - -,d7g4
8/4n3/1Rnk4/1K6/1p6/1P6/8/8 b - -,d6d5
2r2r2/4bq1k/2bp1p2/p3p1pP/Pp2P3/1P1QBP2/1P2N3/1K4RR w - -,e2g3
6k1/r1r2p2/6p1/2p4p/P1Q4P/1P2K1P1/2P2P2/8 b - -,a7b7
3r3r/4bppp/p1k1p3/2p1B3/2P3P1/8/PP2KP1P/3R3R w - -,h2h3
r4rk1/ppBbppbp/6p1/8/8/1P1BP3/P4PPP/2R1K2R b - -,d7c6
r3k2r/p2q2p1/2p1b3/3p1p2/4pP1p/2Q1P1P1/PPP3BP/R4RK1 w kq -,f1f2
1r4k1/3nrp2/pq1p2pb/1ppP3p/2PpPP1P/P2Q1BP1/1P1NR2K/4R3 w - -,f3g2
2r3k1/pbq2pb1/1p2p1p1/4P3/3r1QP1/PP3P2/2PN4/1KR4R w - -,f4d4
2r1r3/2q3kp/p2Q1p1p/1p3b2/2P5/1P1B3P/PB4P1/3R3K w - -,d6f6
8/2p1rn1p/1p2k1p1/p1p5/P1P1PB1P/1PP1K3/8/3R4 b - -,e7d7
1r6/2R1k1pp/3pp3/1B3p2/Pn2b3/1P4P1/1K5P/4R3 b - -,e7f6
4qk2/pp3pb1/3Q2p1/2pp2P1/3PN2P/P1P2P1B/1P1K4/6r1 b - -,f8g8
2b2rk1/1p3pb1/3N2p1/1Pp1n3/2P5/4NB2/r3PPKp/2BR1R2 w - -,d6c8
2r5/7p/p1kn2p1/1p2pp2/8/5R2/PPP3PP/3R2K1 b - -,c6d7
8/1k6/4K3/7p/4PP1P/3R4/p7/r7 b - -,a1e1
6r1/3nBpk1/r2np2p/pp1b3P/2p3P1/2P1RP2/PPB2K2/6R1 b - -,f7f6
3rr1k1/1ppq1p1p/p1nb1np1/8/1PPp1P2/PN1Q1B1P/3B1PP1/R1R3K1 w - -,b4b5
2rr2k1/pp1bqppp/2n2n2/2pp4/2B5/P1N1PN2/1P2QPPP/R2R2K1 w - -,c3d5
rn1qk2r/pbp1bpp1/1p2p3/8/3PP2p/P1PB4/4NPPP/R1BQK2R b KQkq -,c7c5
8/8/8/6RP/8/5kP1/6r1/6K1 w - -,g1h1:g1f1
7k/6pp/3r4/p1q5/1p2PPB1/1Pp1b3/P1R1Q1KP/8 w - -,e4e5
r2k3r/pbpn2b1/1p2pp1p/4B1pn/2P5/P1N2N2/1P2PPPP/2KR1B1R w - -,e5g3
8/8/5p2/p3p1pk/3pP3/Pb1P3P/4NK2/8 b - -,h5h4
3rr1k1/p1p2p2/2ppbnpQ/8/2P1P1P1/P4P2/1q2BR1P/1NR3K1 b - -,d8b8
r3kbnr/pNp2p1p/3p2p1/8/2P1P1b1/2N5/PP1P1PPP/R1B1K2R b KQkq -,a7a5
3k4/1R1np3/3b2pp/3B1r2/4KP2/6P1/2R4P/8 w - -,b7b5
8/4Rr2/5PKp/p7/1k6/7P/P7/8 b - -,f7f8
2r5/5kp1/p3p3/1pqp1p2/3Q1P1P/P1P3PK/1P6/3R4 w - -,d4e5
r2q1rnk/1ppb3p/3p2p1/2PPp3/1P2N1P1/4P2P/2Q1B3/1R3RK1 b - -,a8a3
r5k1/2q1rppp/1n1p2b1/pBn3P1/P3P3/5N1P/1B3P2/2RQR1K1 w - -,d1d4
r1b2rk1/ppppq1pp/2n2n2/8/2PPpp1P/2N1P3/PP3PP1/R2QKBNR w KQ -,d4d5
8/5p2/1N2k1p1/p5Kp/4P2P/6P1/2n5/8 w - -,g3g4
8/6k1/PRp5/6p1/4K2p/2r1N2P/8/8 b - -,c6c5
r2rn1k1/pb3ppp/np2pb2/1N6/1P1N4/P3P1BP/4BPP1/2RR2K1 b - -,a6b8
4q1k1/2Q5/2p3bp/1pPp1pp1/r7/4P3/6PP/4RR1K w - -,e1a1
5rk1/1p1bpp1p/p1nQ1bp1/2p5/8/1P3NPP/P3PPB1/2R2RK1 b - -,e7d6
8/4q1pk/4n2p/R3p3/2PnP3/6PP/5Q1K/5B2 w - -,a5e5
5rk1/3R1pp1/4p2p/8/5Q2/7P/4qPP1/6K1 b - -,e2e1
1r6/1r3pk1/pp1pb1pp/2p1p3/P1P1P1P1/1P1PNP2/3R1KP1/R7 b - -,b8h8
r1bq1rk1/1pp3bp/p2p1n1n/2PPp1p1/4Pp2/1QNN1P2/PP1BB1PP/2R2RK1 w - -,c3a4
r4rk1/1nqbbp2/p2p1np1/1p1Pp2p/2p1P1P1/2P4P/PPB2P1N/R1BQRNK1 w - -,c1h6
r2qrk2/pp3pb1/7p/3pn1p1/8/P1N1PPP1/1PBQ1P2/R4K1R w - -,d2d5
8/7p/1pnNP3/2p1kP2/8/P4K2/8/8 w - -,d6c8
5k2/5pp1/p1R4p/4p3/3b4/1Pn2P2/P1P3PP/5K2 w - -,c6a6
7k/1B6/p7/1pn1K3/2p4P/P1P5/8/8 w - -,b7c8
4r3/1b6/p5Rp/3P3P/1p3k2/1P6/P1r1B3/4RK2 w - -,g6g4
5rk1/3R3p/p3B1p1/1pp1p3/8/4Q3/Pq3PKP/8 b - -,g8h8
r1br2k1/pp2pp1p/2n2bp1/q7/8/1BP1RN2/PB1P1PPP/R2Q2K1 w - -,h2h3
2r1r1k1/4ppbp/pqn1b1p1/1p2N2P/3P4/Q1PB2B1/P4PP1/2R1R1K1 b - -,c6e5
r1bqkbnr/pp1p2pp/2n5/2pP1p2/2P1p3/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,e4f3
8/5pk1/4p3/1R2N2p/P7/4bPPK/3r3P/8 w - -,e5c4
1nrrb1k1/p1q2pbp/1p1ppnp1/8/2P1PP2/1P2N1P1/PB2RNBP/3RQ1K1 w - -,e2d2
4r1k1/1p4q1/p2B2p1/3Q4/bP1bp3/7P/5PP1/4RRK1 b - -,g8h7
8/8/4r1p1/1P1Rbk2/8/2B2K2/8/8 b - -,g6g5
2kr1bnr/1pp3pp/p1b2p2/2p5/4PB2/4NP2/PPP1N1PP/R3K2R b KQ -,g8e7
2r3k1/p2qn1bp/1p3pp1/3p4/3P1B2/1P3B1P/P4PP1/3QR1K1 w - -,d1d3
1rb3k1/4rpp1/pp1p1n2/2pP2q1/P1P1P1Pp/1PNB3P/5Q2/4RR1K w - -,c3d1
5r2/1r6/3pk1p1/1ppN1pp1/p1nPP1P1/P1P3KP/1P2R3/5R2 b - -,b7f7
8/8/8/2p4R/6k1/1Pr5/6KP/8 w - -,h5d5
3r1k1b/4n3/1p5p/2p2p1N/p4P1P/PbP1BN2/1P3K2/7R w - -,f3d2
2Q3k1/6p1/P7/q1p5/3p4/1P2p1PP/2P4K/8 b - -,g8h7
r1b2bk1/1pqn4/2pp1r2/p2Pp1pp/2P1Pp2/2NB1P1P/PPQK1BP1/R4R2 b - -,f6g6
