6k1/5p1p/2Bp4/8/1b3N2/8/b4PPP/6K1 b - -,b4d2
2br4/2r1p1k1/3p3p/p4p2/2P4P/1P3P2/PK1R4/1BR5 b - -,c8e6
rn1q1rk1/pb3pbp/1pp1pnp1/3p4/PPPP4/2N1PN2/1B2BPPP/R2Q1RK1 b - -,a7a5
8/7p/6p1/6qk/8/8/7K/3Q4 b - -,g5g4
q4r2/1b1kb3/pB1pp2n/1p2N3/1P2P3/P6P/2R1Q1r1/5R1K b - -,d6e5
r2q1rk1/pb1nbppp/4p3/1p1pP3/2p1PB2/2P4P/PP1NBPP1/2RQ1RK1 w - -,e4d5
r4r1k/pp2ppb1/n1b3p1/1Np1Pn1p/P1B2B1P/2P2P2/1P1N2P1/2KR3R w - h6,d2e4
r1r3k1/5pb1/4p2p/1pn1P1p1/1B6/1P3N1P/P5PK/3RR3 w - -,e1e2
r1bq1rk1/1p1n1pb1/2p4p/p3p1p1/PnNP4/1QN1P2P/1P2BPPB/R3R1K1 w - -,a1d1
4rrbk/pp4pp/1q1p4/3P1p2/1P3Pn1/P2Q2P1/R5BP/3N1R1K b - -,g4e3
8/8/3p2kp/3P4/1R3K2/8/5b2/8 w - -,b4e4
r3r1k1/1bq1bppp/3pn3/p1n1p3/PpP1P2P/1P4P1/1BNNQPBK/R4R2 b - -,c7d8
rnb2r1k/1p2q3/p3pp1Q/2pp4/3P3P/2NB4/PPP2PP1/R3K2R b KQ -,h8g8
3k4/8/3PP3/1p4p1/1p6/8/P1r3B1/6K1 b - -,g5g4
rn1qkb1r/ppp2ppb/4pn1p/3p4/4PN2/3P2P1/PPPNQPBP/R1B1K2R b KQkq -,f8e7
rbn1r1k1/p6p/4p1p1/1NBp1pn1/3P3P/4P1P1/P4P2/1RR3K1 w - -,h4g5
5rk1/5p2/1p1r1np1/p3R2p/3p1P2/P2B2PP/1PP2K2/4R3 b - -,f8c8
6k1/p4p1p/4n1b1/8/1PBp4/P4P2/3B2P1/6K1 w - -,d2h6
B3k1r1/p1q2p1p/1n2p1b1/1p2P3/Ppp2QP1/4P3/1P3P1P/R3K2R w KQ -,f4f3
r4rk1/1pq2pp1/2p4p/6nP/3P2P1/pPPNRP2/2Q5/1K1R4 b - -,a3a2
1r1r4/5qbk/3R4/3n1p1p/pB4p1/P2RP3/1P3PPP/3QN1K1 b - -,d8d6
2r3k1/3q1ppp/2pBpn2/2P5/1P3P2/3Q2P1/r3R1KP/1R6 b - -,a2e2
5k2/3Q2b1/p7/2p5/5PP1/4NK2/7P/2q5 w - -,d7d8:d7f5
3n4/pp5k/2p3pp/8/1q2P3/3Q3P/PPP1B1P1/6K1 b - -,d8f7
rnbqr1k1/ppp2pbp/6p1/4p3/3P4/B1P1P1P1/P3NPBP/R2QK2R b KQ -,b8a6
rn3rk1/p2n1pbp/1pb1p1p1/2p1P3/2B2B2/2P2N2/PP1N1PPP/R3RK2 b - -,h7h6
8/7p/1k2ppp1/2n5/2KN4/P3P2P/6P1/8 b - -,g6g5
5b2/p4pk1/1p2q1p1/7p/Q5PP/PBP5/KP6/8 b - -,e6e7
2Q4r/3P4/4P1pk/1p5p/4b2P/8/PPP2qP1/1K1R4 b - -,h8d8
3q4/2k2p2/1ppr1P2/p3Q3/8/8/BP5P/5R1K b - -,d8f8
r2rn1k1/p3bppp/1p1pp3/8/2P1q3/1PN1P2P/PB3PP1/R3R1K1 w - -,c3e4
5rk1/1r1n1ppp/2R5/1pp5/8/1P1QP1P1/1q1N1P1P/1R4K1 b - -,d7e5
r2q1rk1/1p1bppbp/p1np1np1/7P/3NP3/2N1BP2/PPPQ2P1/2KR1B1R b - -,b7b5
7k/7p/1p4p1/1PbBq3/5P1P/6P1/5PK1/8 w - -,f4e5
r1bqk2r/p2n1ppp/2pb4/3p3Q/8/2NBP2P/PP3PP1/R1B1K2R b KQkq -,d7e5
8/5pp1/4p3/1pr1P1k1/6P1/2P2K2/1P2R3/8 w - -,e2e4
8/p2Q2kp/3r1pp1/P3n3/2r1P1bP/R5P1/5RBK/4N3 b - -,g4d7
1r1Br1k1/4Pppp/3p4/8/pPq5/2P1Q3/4R2P/1K6 b - -,a4a3
1nr5/1q2ppkp/p1Np1np1/P2P4/BP1Q1P2/7P/6P1/2R3K1 b - -,e7e6
3rkr2/p3np1Q/2p1p3/2PqP3/8/P4NP1/5PKP/2RR4 b - -,d5d1
6k1/8/5BNP/7P/4p3/p4p1K/8/6r1 w - -,f6d4
7k/6p1/p7/2B3p1/6K1/P2r2P1/8/8 b - -,h8h7
8/p7/1p3rk1/2pPRp1p/2P5/P2P4/1P5P/6K1 b - -,g6g5
2b5/p3rk1p/p1P3p1/4RpP1/BR2p3/3rP3/4KP1P/8 w - -,a4b3
r2qk2r/pp1n1pp1/2pb1nbp/4p3/6P1/2NP3P/PP1NPPB1/R1BQK2R b KQkq -,d7c5
1q2rr1k/3b2pp/3p1n2/Ppb1p3/4P3/1Q3PP1/1B2N1BP/2KR3R b - -,d7e6
8/5k2/2b3p1/3pb2p/p6P/PrNp1P2/1P1B2P1/1R1K4 w - -,d1c1
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq -,f1d3:g1f3:b1c3
1rbr2k1/1p1nbppp/p3pn2/7q/3NP3/1P4P1/PBQ1NPBP/R2R2K1 w - -,a1c1
8/5ppk/7p/4R3/3Pb3/4P1P1/r4P1P/2R3K1 b - -,e4g6
2r1kb1r/1p2pp1p/p1np1p2/1BqN3Q/4P3/1P6/1PP2PPP/1K1R3R w k -,h5g4
3k3r/pB6/3P1p2/2P1nb2/1P6/2K2pp1/5P1p/4R2R w - -,f2g3
5nk1/p2qr2p/Q1p3p1/3p1r2/1R1PpN2/2P1P3/1P3PP1/6KR b - -,d7c7
r1b1k2r/pp1ppp1p/2N3p1/8/4n3/1Bq1BP2/P1P3PP/R2QK2R w KQkq -,e1e2
8/2k3p1/2p1p3/2Pp1n2/3PpP1P/R3P3/5B1K/2b5 w - -,a3b3
r1bq1rk1/2p1p1b1/p1np1n1p/5p1P/1pBP1Np1/2N1P1B1/PPPQ1PP1/2KR3R b - -,g8h7
8/8/2pk2B1/2n2rp1/8/2K1P3/8/6R1 b - -,f5e5
2r1kr2/2q2p2/p2p3p/1p1Bn3/4PRP1/3Q4/PPP5/1K1R4 w - -,d3d2
r1bq1rk1/p5b1/2p3pp/n2npp2/8/1P1B2N1/PBPP1PPP/RN1Q1RK1 w - -,f1e1
1r1qr1k1/1b3p1p/3Q1np1/1pp4n/4PP2/1P2B1PP/P1N1N1B1/3R2K1 w - -,e4e5
8/kpp1R3/p4P2/6P1/P7/2P2N2/q5K1/8 w - -,g2h3
4r1k1/5p1p/6p1/Q7/Pp5q/1P2p3/2P1R1PP/7K b - -,h4f2
2r5/pp2p3/3pk3/4p1pp/4P3/1P2RP1P/PKP3P1/8 w - -,e3c3
QQ6/3nkpp1/3p3p/2q1p3/B3P3/2r2P2/6PP/1R4K1 w - -,g1f1
r2qr1k1/p2b1pbp/p2p1np1/2pP4/4PB2/2N2N1P/PPQ2PP1/R4RK1 b - -,d7b5
6Q1/3b2pp/3pk3/2p2p2/5P2/2PP2P1/5P1P/1q3BK1 b - -,e6f6
4nk2/3Q3p/1p1p4/2pP1N2/2P5/P1P1K3/8/3q4 b - -,d1e1
1rr5/ppbk2p1/3n1pp1/2Rp4/P2P1BP1/1P1N3P/5P2/2R3K1 b - -,b7b6
3k4/p3b2p/2B3p1/2n2r2/5P2/4P1B1/P3KP1P/3R4 b - -,d8c7
2r1kb1r/pp1b1ppp/4pn2/8/2BN1B2/8/PPP2PPP/R4RK1 w k -,c4b3:c4e2:c4d3
5rk1/p4qbp/1p4p1/3p4/5P2/2PQB1N1/PP3PKP/8 b - -,f7b7
2r2rk1/p3ppbp/5np1/2npNb2/q1P2B2/1N4P1/P3PP1P/R1QR1BK1 w - -,c1e3
r1bqkbnr/ppp2ppp/3p4/4N3/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,d6e5
r7/5ppp/3k4/3PpP2/1p4K1/2b3P1/P6R/5R2 b - -,a8a4
8/2pk1p2/8/p3PP1p/3Kb1p1/6P1/1P6/5R2 b - -,e4c2
5r2/1p1r2kp/p3p1p1/2Pp1p2/1P6/4P3/P1P3PP/R4RK1 w - -,a1d1
8/7p/4k1p1/4N3/1p1PPPP1/2p5/b1K4P/8 w - -,e5c6
r1br2k1/pp3ppp/2n1p3/q1npP3/5P2/2N2N2/PPPQ2PP/1K1R1B1R w - -,d2e3:f3d4
8/8/8/3kpp1R/8/3r2PP/3pK3/8 w - -,e2d1
2kr2r1/p3qpb1/n2ppp1p/P1pP3Q/bpP1P2N/6P1/1P1N1P1P/RR4K1 w - -,a1a4
8/1b2k3/p5p1/n1pPp2p/4PpPP/3B1P2/P2N1K2/8 b - -,b7c8
4rr1k/1p1qn1bp/p2p1n2/2pPp3/2P2pP1/2N1BP2/PP1QB1RP/6RK w - -,e3f2
rnbq1rk1/ppppb1pp/4pn2/5pB1/3P4/3BPN2/PPPN1PPP/R2QK2R b KQ -,d7d6
3qkb2/1p2n1p1/p1r1pp2/3p4/3P2PB/2NQ4/PPP2P2/2KR4 b - -,e8f7
3b1rk1/4qppp/pN1R4/Pp2n3/1P2P3/1B4QP/5PP1/6K1 w - -,b6c8
6k1/1p2ppb1/p2p1np1/3P1q1p/P1B5/4BP2/1P1Q2PP/5K2 b - -,f5b1
6k1/Rp2pp1p/2p3p1/2Nn4/1r1P4/4P1P1/5PKP/8 w - -,c5b7
r2qk2r/pp2npp1/2n4p/2bp3b/8/1NPB1N1P/PP3PP1/R1BQ1RK1 b kq -,c5d6
3q3k/5r1n/p4r2/P3Q3/1P2p1P1/2Pp2R1/5PP1/R2N2K1 b - -,f7e7
6k1/6p1/7p/1Q6/8/3P3P/6P1/2q3K1 w - -,g1f2
2r2r2/4ppk1/p2p4/1p1Pn1R1/8/5P2/PPP3P1/1K1R1B2 b - -,g7f6
2Q3k1/5p2/1q4p1/2N4p/5B2/5P1P/P1p3PK/4r3 b - -,g8h7
2b4r/1pb1kpp1/p3nq1p/2P1p3/1P2B3/1QB2N2/P4PPP/4R1K1 b - -,h8d8
8/1p1r1kp1/p1n4p/3r4/3pRP2/1P4P1/P2B2KP/2R5 w - -,g2f2
1B6/1p3p1k/4r2p/8/p4Q2/P6P/1q4PK/8 b - -,b2g7
2r5/1r1n1pp1/pp2pkp1/8/2PN1P2/4P1PP/P1R5/1R4K1 w - -,b1c1
6k1/4bppp/p4n2/1p3B2/5B2/P1p1P2P/1P3PP1/6K1 w - -,b2b4
2r5/1r3ppk/R6p/8/1pn1Pp2/1B6/PPP3PP/3R2K1 w - -,g1f2
5b2/5p2/4r3/1kPr1p2/1pR4P/1P2PKP1/2R2P2/8 b - -,f8c5
6k1/7p/2p5/3p2p1/N2Pb3/1P4P1/P2Q1K1P/1q6 b - -,h7h6
r4rk1/1p2qnbp/3pb1p1/pP1npp2/2N5/P2PPN2/1B2BPPP/2RQ1RK1 w - -,a3a4
r2qr2k/pppbn1bp/3p2p1/3Ppp1n/2P1P3/1PN1B1PP/P2QNPB1/R4RK1 w - -,g1h2
r1bq1rk1/1p3pbp/2np1np1/p1p1p1B1/2P5/P1NP1NP1/1P2PPBP/1R1Q1RK1 b - -,h7h6
8/2k1rpp1/p2p4/3P2b1/1BNRn1P1/P7/1P6/1K6 w - -,c4a5
r4r1k/1Bpp2pp/3P1q2/pNp2p2/5B2/1Q4P1/Pb2PP1P/5RK1 b - -,a8b8
rn1qkb1r/pbpppppp/1p6/4P3/2P1n3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,d1g4
r1bqk2r/ppp1npbp/2Np2p1/6B1/2P1P3/2N5/PP3PPP/R2QKB1R b KQkq -,b7c6
rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P1P3/P2B1N2/1P1N1PPP/R2Q1RK1 w - -,b2b4
3r2k1/p1q2p1p/1p2n3/4P1pP/2rBR1P1/2P2PK1/PQ1R4/8 w - -,b2b5
1n3b2/pP6/3p1kP1/1p1Kp3/1P2B3/P7/8/4B3 b - -,f6e7
3rk2r/ppn1ppbp/2n1b1p1/4P3/1PB5/P4N1P/1B1N1PP1/2RK3R w k -,d1e2
1rbn2k1/2p2rqp/3p2p1/1B1Pnp2/1p1NpN1P/1P2P1P1/PQ3P2/1K1R3R w - -,d1c1
5rk1/1R2rppp/8/8/5P2/4P1P1/5K1P/8 w - -,b7e7
8/8/8/4k1pp/1pBn4/1P4K1/5P2/8 w - -,c4f7
2r5/6R1/Pk6/7p/1PP1n2P/1K6/8/8 w - -,g7g6
2r2rk1/1bqnbppp/p2ppn2/1p6/3NPP2/P1N1BB2/1PP3PP/3RQRK1 w - -,g1h1
3rr3/p3kppn/1p1n1q1p/2pP1PP1/2P1p2P/2P1B3/P3B2Q/5RRK b - -,h6g5
rnbqkb1r/pppp1ppp/4pn2/8/1P6/5N2/P1PPPPPP/RNBQKB1R w KQkq -,a2a3:b4b5
7k/7p/8/p2B2p1/PpPp1b1P/1P1brK2/8/3R3R w - -,f3g2
r3r1k1/pp2bppp/1qp2n2/3pn2b/3P1B2/1QPB3P/PP1N1PP1/R3R1K1 w - -,f4e5
2rr2k1/pp2bpqp/2n1p1p1/2p5/4BP2/2PPB1P1/PP5P/R2Q1RK1 w - -,d1e2
r2q1rk1/pp2bppp/4p3/3pP3/1nNP2b1/4BN2/PP3PPP/RB1Q1RK1 b - -,d5c4
2b1r1k1/3n1pbp/p2p1np1/2pP4/4P3/1rN1BN1P/RP2BPP1/4K2R b K -,f6h5
1rb2rk1/2qn3p/p1B1p3/1pb2p2/2pN4/4P3/PP3PPP/R1BQK2R w KQ -,c6b5
8/p2bk3/4p1Np/5p2/2P4P/P3RP2/7K/2r5 b - -,e7f6
r2q1rk1/p3ppbp/1pn1bnp1/3p4/PP1P4/1Q1BPN2/3N1PPP/R1B1K2R w KQ -,c1a3
r3k2r/1p3pbp/2p1pnp1/p7/3P4/2P1BP1P/PPK2P2/3R1B1R w kq a6,f1d3
1b4qk/p4p1p/Bp2p3/3p1p2/1P1Pn3/P3PNP1/2Q2P1P/6K1 b - -,h7h6
2nq1rk1/r1pb3p/pn1p2p1/1p1PP3/3N1p2/1B3Q2/P2N1PPP/2R2RK1 w - -,f1e1
8/8/5p2/6p1/2r3kn/8/1R3B1K/8 b - -,f6f5
r4rk1/1p2qpp1/3bpn1p/4N3/pnPN4/1PB5/1P2QPPP/1K1R3R w - -,b3a4
1r5k/3Q1R1p/2n3p1/1p6/3N4/4q2P/2P3PK/8 b - -,e3e5
r1bq1rk1/pp1n1ppp/2np4/4p3/1pPPP3/3Q1N2/PP1NBPPP/R2R2K1 b - -,e5d4
r5r1/1p2kp2/p1bppq2/8/3R2Pp/2P1Q3/PPB5/1K2R3 w - -,d4f4
r3kr2/1ppbq3/p1n1pb1p/3n2p1/1P1PB3/PQ3NNP/5PP1/R1B1K2R w KQq -,e4g6
4r3/8/p2k4/3P3R/1r6/3BKp2/5P2/8 w - -,e3d2
r1bq1rk1/pp4pp/2pb1n2/5pN1/2PPp3/5P2/PPQB2PP/2KR1B1R b - -,h7h6
r1br2k1/bp3ppp/p1n1pn2/8/8/1N2P3/PP1NBPPP/R1BR2K1 w - -,d2c4
2r4k/1r3p1P/6p1/8/4P1K1/3N4/2p5/2R5 b - -,b7b1
3n1rk1/p3r1b1/1p1p2np/1Pp3p1/2P1Pp2/P2P1N2/3B1PRP/1R4NK b - -,g8h7
3rr1k1/1p2qppp/1bn2n2/3p3b/3N4/P3PN1P/1BQ1BPP1/2RR2K1 b - -,h5f3
r7/5k1p/p4p2/4n3/8/2R4P/2P2P2/3R2K1 w - -,f2f4
3r1rk1/1pp2pb1/p1n1bnpp/4p1B1/4P3/P1N2N1P/1PP1BPP1/3R1RK1 w - -,g5e3
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,d1e2:b2b4
r4r1k/2p3qp/np1p2p1/p2Ppb1n/1PP1N3/P2BQPP1/6NP/1R3RK1 w - -,e4g5
8/2k5/8/8/r7/8/6R1/7K w - -,g2g6
5k2/8/1R4pp/p1p1p3/P1BpP2P/3Pn1PK/2P2r2/8 b - -,f8e7
6R1/2k2r2/8/1p4p1/1PP5/4r3/2K5/5B2 w - -,c2d2
r2r2k1/6pp/1p6/p1n1p3/4P3/P2pR1P1/1P1BBP1P/2R3K1 b - -,d3e2
1kr5/1p3pp1/pr2p2p/2Np4/2nP4/2P2P2/PP2R1PP/4R1K1 b - -,c8c7
2r3k1/p3rp1p/2p1p1p1/b1P5/3P2P1/5B1P/P3RP2/3R2K1 w - -,e2e3
r1b1qr1k/pp2b1pp/2pn4/3p1p1n/3P1B2/1QNNP1P1/PP3PBP/3R1RK1 w - -,f1e1
r2q1rk1/p4pbp/4pn2/2p2p2/5P2/2P1BN2/PP2Q1PP/R4RK1 b - -,f6e4
1r1q1rk1/ppp1ppbp/1nn3p1/8/8/1QNPBbP1/PP2PPBP/2R2RK1 w - -,g2f3
r2r1bk1/3n1pp1/2q4p/pp2p3/1Pp1P3/2P2N1P/P3QPP1/R1B1R1K1 w - a6,a1b1
2r3k1/1p2bpp1/pqp1p2p/3r3R/1PQP4/P1R1PNP1/4KPP1/8 w - -,h5d5
2kr3b/p2bp3/1pp3p1/q2PnpN1/2p2B2/1QP5/P3BPP1/1R3K2 w - -,e2c4
rnbr2k1/pp5p/2p2p2/5p2/2P2P2/2N5/PP2P1BP/R3K2R b KQ -,c8e6
r2q1rk1/pb2bppp/1pn1pn2/2p5/4N3/1P1P1NP1/PBP2PBP/R2QR1K1 b - -,f6e4
1r2br2/pp5k/1npqPpp1/1n5p/P2P1N2/1P3NQP/5PB1/R3R1K1 b - a3,b5d4
5r2/1p1k4/p1pb1n1p/6p1/1P1B1p2/2PP2P1/P5KP/3B1R2 w - -,g3g4
4k3/1p2bnp1/6q1/1P6/P1QpNBb1/7r/5P2/4NRK1 w - -,e4g3
r1bq1rk1/pppn1pb1/3p2pp/4p2n/2PPP3/2N1BN1P/PP1QBPP1/R4RK1 b - -,g8h7
1kr5/qp1n1p2/p2pBp2/P3p3/1P2P1N1/R1P4r/4Qb1P/4K2R w K -,g4f2
4qbk1/p6p/2pB4/2p3p1/P1Pp4/1P1N1QP1/2P2PK1/8 b - -,f8d6
r5k1/5ppp/4p3/1bqpP3/rp1N1P2/8/P1PQ2PP/R3R1K1 w - -,g1h1
8/7R/2kp4/1P2p2P/7r/P1K5/8/8 b - -,c6b5
8/8/2p3pp/2R2p1k/qP1p2nP/6P1/8/4Q1K1 b - -,a4a8
r1b2rk1/1p1nbppp/2p1pn2/q2p4/p1PP4/1P3NP1/PBQNPPBP/R4RK1 w - -,c4c5
r2q1rk1/1ppbbppp/p7/3Np3/3PP3/1B3Q2/PP3PPP/R3R1K1 b - -,e5d4
4k2Q/8/1p1q2p1/2bb4/p3p3/P1B1P2B/1P5P/4K3 b - -,e8f7
r2q1r1k/1p2bBpp/1nbp4/p4p2/Pn1P4/5NBP/1P1NQPP1/R3R1K1 w - -,e2e7
4rr2/pb3kbp/1p1p4/2pN1p2/2Pn2P1/4P1P1/PP1B2B1/2KR3R b - -,d4e2
5rk1/1p3pp1/1qp1nn2/N2p4/1P1P4/2Q2PP1/3R3P/5BK1 b - b3,f8a8
r1bqk2r/p4ppp/2pb4/n3p3/8/3P1N2/PP1P1PPP/RNBQR1K1 b kq -,e8g8
6k1/5p1p/4qbp1/1p2r3/8/pPP3P1/P1Q3B1/1K1R4 w - -,g2f1
8/8/2b1p3/p2nkppB/P7/1P3PP1/3K1N1P/8 w - -,f2d3
3rkb1r/pb1n1ppp/3p4/1N6/1p2PB2/7B/PPP2P1P/2KRR3 b k -,d7e5
r5nk/1pp3pp/p2p4/8/5q2/2P2R2/PP2QP2/4R1K1 b - -,f4g4
