R7/8/1k6/8/p7/1pK5/2r5/8 w - -,c3d3
3r2k1/4np1p/6p1/N2p1b2/1q1P4/1P3PP1/3QR1BP/6K1 b - -,b4a3
3r3k/6p1/5p1p/P3nQ1P/2r5/8/4K3/8 b - -,c4a4
r2r2k1/1p3pbp/1q1p2p1/p1nP4/2Pp1B2/1P1B4/P2Q1PPP/1R3RK1 w - -,d3c2
2kr2n1/Qpp2Rr1/pq1p4/3Pp3/4P1pp/P2P2PB/1PP5/R5K1 w - -,a7b6
3r2k1/1p3ppp/2q5/p3pP2/P1B4b/1P2Q3/1P4PP/2R3K1 b - -,h7h6
r1bqk2r/pp2ppbp/1np3p1/2p1P3/8/1P1P4/PBP2PPP/RN1QK1NR w KQkq -,h2h3
1r3r2/1pqn2k1/p2bBpp1/2pPp2p/2P4P/2Q3B1/PP3PP1/4RRK1 w - -,e6d7
8/3N1pk1/1b4p1/4P2p/Bp3P2/1P1b1KP1/7P/8 b - -,b6g1
8/8/4p2P/6P1/2K2k2/8/6P1/b7 w - -,g5g6
3rr1k1/3nbppp/p1p1pn2/qp6/2PP3P/PP1R2N1/1BB1QPP1/4R1K1 w - b6,d3e3
2kr3r/pb1p3p/B5p1/3p1p2/1b3B1P/1Pq5/P1P1QP2/1R3K1R b - -,c3c6
r2r2k1/1bp1b1pp/2q5/p1p1PB2/2Pn1P2/5QPP/PB5K/R2R2N1 w - -,f3c6
3rr3/1p3pbp/p1k3p1/2p5/4P3/8/PP1P1PPP/R1B1RK2 b - -,b7b5
r4rk1/ppqnppbp/3pb1p1/P7/1Q2P3/2N3P1/1PP2PBP/R1B2RK1 w - -,c1e3
3rr1k1/1R3p2/p2P2p1/2P1n2p/q3P3/4Q3/6P1/5R1K b - -,d8d7
8/6p1/3R4/2KPp3/4q3/7k/8/8 b - -,e4c2
r2qk2r/2pn4/pp2pb2/3PNpp1/2NP4/2P1P3/PP5P/R3BQK1 b kq -,f6e5
r4r2/p3k1pn/Qp3p1p/2p2P2/3p2PP/3PqB2/PP2NR2/2R3K1 b - -,f8d8
r1bq1rk1/p2nbppp/2p2n2/1p2p1B1/4P3/1BN2N2/PPP1QPPP/R4RK1 b - -,d8c7
r2qk1nr/pp1n1ppp/2pbp3/3p3P/5PP1/2NP4/PPP2PB1/R1BQK2R b KQkq -,h7h6
3rr1k1/pp3p2/1np2bp1/5b1p/7P/BPN1P1P1/P2R1PK1/3R1B2 w - -,d2d8
r4bk1/pb5p/1q2p1p1/3pP3/BPp2n2/5N1P/P4PP1/2RQR1K1 w - -,c1b1
r1bq1rk1/pp4pp/2nbpn2/3p2B1/3P4/1N3N2/PP2BPPP/R2Q1RK1 w - -,g5h4
1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2PP1NPP/PP3PB1/RNBQR1K1 b - -,e7e5
r2qkb1r/pbp2ppp/1p2pn2/3pn3/2PP4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d4e5
2r3k1/p4pp1/1n1b3p/1B3P2/7q/P1N2P1P/1PQ2P2/1KR5 w - -,b5f1
7r/3k3p/p1n3p1/1p6/4pP2/1P1p2P1/P2R3P/1R3K2 w - -,f1f2
8/5pk1/6pp/4r3/6R1/2NK4/P1P2rPP/8 b - -,f7f5
2b4b/1p2kp2/2rNp3/8/4N3/8/PPP5/2K4R b - -,h8e5
r3k2r/2qbbppp/2nppn2/p7/3NPP2/2NBB3/1PP1Q1PP/R4RK1 w kq -,d4b5
r2q1rk1/pp1n1pp1/1bp1bn1p/4p3/2N1P3/1N4P1/PPP1QPBP/R1B2RK1 w - -,c1d2
2rR2k1/4Bp1p/1pp1q1p1/8/p3P3/P4P1P/1P4Pb/3Q1K2 b - -,g8g7
r5k1/p2b1pbp/1p2p1p1/n7/3PP3/3BBN2/P4PPP/2R3K1 b - -,a8c8
r1b2rk1/p3n3/1pn3pp/4q3/2P1N3/P2P2P1/1R1QPPBP/5RK1 b - -,c8f5
2k4r/1p2b1p1/p1p1b2p/P2rp3/4N2P/5BP1/1P2PP2/R1R3K1 b - -,d5b5
4r1k1/5ppp/3p4/5P2/p5Q1/P2qB2P/5P2/1R3K2 w - -,f1g2
8/1p3p2/3pbk1p/pP6/P2PBp1N/4bK1P/6P1/8 b - -,d6d5
r4rk1/1R3ppp/p2pp3/8/2P5/q3B3/4BPPP/3Q2K1 b - -,a8b8
3r2k1/p2q3p/1p3bp1/2p5/5P2/P3BQP1/1P4KP/5R2 w - -,e3c1
r1b1qrk1/pp1n1pbp/5np1/1N1p2B1/3Pp3/Q3P3/PP1NBPPP/R4RK1 b - -,e8d8
rnbqkbnr/ppp3pp/5p2/1P1pp3/8/4P3/PBPP1PPP/RN1QKBNR b KQkq -,c8e6
3r2k1/b4ppp/2R5/3p4/3N4/r4NPP/1R3P2/6K1 w - -,b2b7
8/7p/5k2/2b5/2P1r1p1/6P1/2R4P/5K2 w - -,f1g2
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/1P2PN2/P2N1PPP/R1BQKB1R b KQkq -,c5d4
8/1Q6/3p2kp/2p2Pp1/2P5/1P4PK/P3q2P/8 b - -,g6f6
r2bk2r/1p3ppp/pn2bn2/4p3/4P3/1NN1B3/PPP1B1PP/R4RK1 w kq -,b3c5
2r2rk1/pp1n1ppp/2p1pn2/3p4/2PP4/qP2P3/P1QNNPPP/2R2RK1 b - -,d5c4
5rk1/R2R1p1p/4np2/4p3/8/5PP1/5K2/8 w - -,d7e7
8/7K/4k2P/4B1r1/3P4/8/8/8 b - -,e6f7
3rr1k1/1p2qpb1/p1npbnpp/2p5/4PB2/P1P2N1P/1PQN1PP1/R3RBK1 b - -,f6h5
Rr6/5p2/2K1p1kp/6p1/8/8/8/8 w - -,a8b8
7Q/3K4/8/4rk2/8/8/8/8 w - -,d7d6
2r1k3/pp2q3/3pr2p/5R2/1Pp5/PnQ1P1P1/1B3P1P/3R2K1 w - -,b4b5
3r3k/1pq1b1pp/4Q1b1/8/p3P3/P3P1P1/4BP1P/2BR2K1 b - -,d8d1
2r1kb1r/p2q1ppp/2n1p3/1p1pP3/1PnP3P/P2B1N2/5PP1/R1BQ1RK1 b k h3,h7h6
r2br1k1/qp1n1ppp/3Bpn2/pB6/P1Np4/2P2Q2/1P3PPP/R3R1K1 w - -,c3d4
r2q1rk1/1p1nppbp/p1pn2p1/P7/2QP2P1/5N1P/1P2PPB1/R1BR2K1 w - -,c4c2
5r1k/bpp4p/p2p2b1/8/8/1BPn1PN1/PP2RPK1/R7 w - -,e2e7
5rk1/5pp1/2B2n1p/1P6/1q6/3RQ1P1/5P1P/6K1 w - -,g1g2
5k2/pp3p1p/5Pp1/8/2B4P/2P5/PP1K2b1/8 b - -,g2h3
rnbq1rk1/pp3pbp/1n4p1/2P1p3/8/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b6d7
rnbqkbnr/3p1ppp/p3p3/1pp5/4P3/5NP1/PPPPQP1P/RNB1KB1R w KQkq b6,f1g2
8/p6p/3kp3/8/3p4/5P2/PPR2KP1/3r4 w - -,f2e2
2br1k2/pp2rp1p/2p2np1/2Nn1p2/3P4/PBN1P3/1P3PPP/3RR1K1 w - -,c3d5
2r3k1/p3q1b1/2p4p/4p1p1/3P1p2/2P2Q1P/P2B1PP1/4R1K1 b - -,e7f7
2r4r/1p3pk1/p3bq2/3pb1p1/1Q6/P1N1PPP1/1P1RN1K1/3R4 w - -,f3f4
r3k2r/pp2b1pp/2p1bB2/4N3/2BPp3/6Pq/PPP1Q2P/R3K2R b KQkq -,g7f6
rnbqk1nr/pp3pbp/3p2p1/2pPp3/2P1P2P/2N5/PP3PP1/R1BQKBNR b KQkq h3,h7h5
r1bqk1nr/5ppp/p1p1p3/2bpP3/5P2/2N5/PPP1B1PP/R1BQ1R1K w kq -,c3a4
4r3/1kp4p/p2qppp1/Qp4r1/1P1P4/2P1RP1P/P3R1P1/6K1 b - -,d6g3
7r/1p2kp2/2p2pr1/2n1pR1p/1p2P3/P2BP1P1/2P2R1P/2K5 w - -,a3b4
1r1q1rk1/p4p1p/4b1p1/2p1b3/1p2P1B1/2PPN2P/PPQ3P1/R4RK1 b - -,d8g5
rnb2k1r/pp2nppp/4p3/q1ppP3/3P2Q1/P1P5/2P1NPPP/R1B1KB1R w KQ -,c1d2
3rkb1r/p4pp1/1qn1p3/1p1pPnNP/2pP1P2/P1N1B3/1P3K2/3Q2RR w - -,h5h6
b4rk1/b4pp1/p4R2/P1p1pP2/2N5/4B1Pp/1P2K3/5R2 b - -,g7f6
r1b2rk1/1pq1bppp/2p3n1/p3p3/P1B1P3/2Q2N1P/1PP1NPP1/R2R2K1 b - -,c7b6
rn2kb1r/pp2pppp/2p1bn2/q3N3/3P2P1/2N5/PPP2P1P/R1BQKB1R w KQkq -,f1g2
8/8/2bkp1p1/pp1p1pP1/3P1K2/1P2PP2/P1B5/8 b - -,b5b4
2rqk2r/pp1bbppp/2n1pn2/2P5/2Q5/5NP1/PP2PPBP/RNB2RK1 w k -,b2b4
r3kn1r/4pp1p/2p3p1/pp2P2n/1P2N1b1/P2BqN2/2P2PPP/R4RK1 w kq -,f2e3
4rrk1/pbQ3pp/8/1p1q1pB1/2nPn2P/2P2P2/P1B1N1P1/R4K1R w - -,f3e4
rn1qk2r/pp2bppp/2p2nb1/3p4/3P1B2/2PB4/PP2NPPP/RN1QR1K1 b kq -,e8g8
6k1/7p/2Np4/3P2P1/1p6/2br4/7P/1R4K1 w - -,c6b4
3r1rk1/Qp1q1pbp/2ppnnp1/8/2PNP3/2N1BPP1/PP4KP/3R1R2 b - -,d8a8
r2q1rk1/pb1n1ppp/1p2pn2/6B1/2BP4/2P2N2/P3QPPP/R4RK1 w - -,a1c1:f3e5
r1r3k1/2R1p2p/4N1p1/1p6/p3PP2/1P2K2P/6P1/8 w - -,c7e7
r3k2r/ppp1qppp/1bnpbn2/8/4P3/1NN1BP2/PPP1Q1PP/R3KB1R w KQkq -,e1c1
3b4/8/p2p1k1p/1p1Pp1pP/1P2P1P1/3KB3/P7/8 w - -,e3a7
r1b2rk1/ppp1qppp/2npp3/8/2PPn3/5NP1/PP2PPBP/R2QBRK1 b - -,f7f5:a7a5
2rr4/4qpk1/1p3npp/pQ1p4/1bpP3R/2N1PBP1/PP3PP1/K1R5 b - -,e7d7
3r2k1/1p3pp1/p1n2n1p/1q2N3/8/P1Q3PP/1P3PB1/4R1K1 b - -,c6e5
4qr2/1pp1ppkp/p5p1/3rP3/3QN1b1/5N2/KPP3PP/3R3R w - -,e4f6
r2r2k1/ppqbbppp/2nppn2/8/4PP2/PNN1BR2/1PP1B1PP/R2Q2K1 w - -,f3g3
r1b2r2/ppn1q1kp/1np1ppp1/N3P3/1P6/P2P1NP1/1Q3PBP/2R2RK1 w - -,e5f6
3R4/3P4/2k5/p3p2p/P2p3P/4r3/8/5K2 w - -,f1f2
8/1r6/1P4p1/2p1PpP1/pPkp1P2/8/3BK3/1R6 b - -,a4a3
r1R3k1/1q1n1p1p/p2np1p1/Qp1p4/3P4/PP1BPP2/4N1PP/R5K1 b - -,a8c8
rnbqkb1r/ppp1pppp/5n2/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq -,f6d5:d8d5
8/1p3pk1/p1b3pp/8/1P4P1/P1N1RP2/3r2PK/8 w - -,h2g3
5rk1/p2nbpp1/4p2B/q2pP2P/1pbP2N1/r4NP1/PQ3PB1/R5K1 w - -,h6g5
8/1b1nk1pp/1p1npp2/3p4/3P4/1NN1P1P1/1P3P1P/r4BK1 w - -,b3a1
r4b1k/4r2p/pR1pN3/P1pP4/2P2P1n/5BKP/3B4/8 b - -,h4f3
r2b1r2/3P1k2/p1NRR3/5p2/5P2/6p1/P4K2/8 w - -,f2g3
6rk/1q5p/1R1R4/p7/P3p3/5pP1/1P2nQ1P/7K b - -,g8c8
b3R1k1/p1q4p/6p1/2p2p2/2Pp4/3P1P1R/P4r2/7K b - -,g8g7
8/5pk1/p3b3/3B2p1/2p4p/P1N2P1P/1P1R2Pq/3K4 b - -,e6f5
r2qr1k1/b4pp1/p4nnp/1pp2b2/3pPP2/3P2NP/PPB3P1/R1BQ1RK1 w - -,g3f5
4Nk2/pq3p1p/4n1p1/1Pb1p3/2Q1P3/2N2PP1/6KP/8 w - -,e8f6
2R5/p3r3/8/8/1P3kp1/P4p2/5P1P/3K4 w - -,b4b5
5k2/1R5p/4R3/P4p2/1pP2P2/1P3KP1/3r3r/8 w - -,e6f6
r1b2b2/p2Rrk1p/6p1/2P2p2/B4P2/1P4P1/P3P2P/3R2K1 w - -,d7e7
r1b2rk1/pp3p1p/1npp2p1/8/4PPn1/2N2N2/PP4PP/2KR1B1R w - -,d1d6
3r4/pPb1r2p/P1P1k1p1/5p2/4p3/7P/5PP1/1RR3K1 b - -,e7e8
r3kb1r/1bq2ppp/ppn2n2/2pp4/P1B5/2N1PN2/1P2QPPP/R1BR2K1 w kq -,c3d5
8/8/4k1p1/2Bp1p1p/1Pr1r2P/3K1RP1/5P2/8 b - -,f5f4
R2b4/1P1k4/3p4/8/1KPB4/6r1/P7/8 b - -,d8c7
8/8/8/R4K1p/1r5P/6k1/8/8 b - -,g3h4
r1b1qrk1/ppp2pbn/3p2pp/2n5/2PNP3/2N4P/PPB2PP1/R1BQR1K1 b - -,h7g5
2r5/6p1/2P5/2Kpp2p/3Pk3/2R1P2P/6P1/8 w - -,h3h4
5k2/p3np2/3K2p1/2RP2P1/P3B3/5P2/3r4/8 b - -,d2g2
r4rk1/1pq2ppp/2pbp3/6B1/p1PPn3/7P/PP1QBPP1/R2R2K1 w - -,d2e3
r1bq2k1/ppp1b2r/3p1nn1/2PPp1pp/1P2PpP1/5P1P/P1QN1NB1/R1R1B1K1 w - -,c5c6
r1bqr1k1/ppn3pp/2pb4/3p1p2/2PPn3/P1NB1N2/1PQ2PPP/R1B1R1K1 w - -,c4c5
r1b2rk1/pp2bppp/2p5/4P3/P3p3/7P/BPP2PP1/R1Bq1RK1 w - -,f1d1
R7/8/P4k1p/3p1P2/1r6/6K1/5P1P/8 b - -,b4a4
r3k2r/1bqnbpp1/p2p1n2/1p5p/4PpP1/1N1BB2P/PPPNQ3/1K1R3R w kq -,e3f4
2r4k/3b1rpp/R3p3/4P2P/3Ppp1Q/8/4qPP1/R5K1 w - -,a6a8
r1bq1r1k/ppp3b1/2n3pp/2P1p3/1P4pP/PQ1PP1P1/1B2K1B1/R6R w - -,b4b5
r2q1rk1/1pp1bppp/1n2b3/pP2p3/3n4/P1NP2P1/3NPPBP/R1BQ1RK1 b - -,b6d5
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 w kq -,d2d4:d2d3:h2h3
r3r1k1/pp6/3p2p1/2pP3p/2P1q1P1/1P3RP1/Pb3QNK/R7 w - -,a1e1
r2q1rk1/p5bp/1pp1p1p1/2np1n1P/5P2/2N2B2/PPPQ1BP1/2KR3R b - -,d8c7
8/8/6k1/8/p3nBp1/P7/6K1/8 w - -,f4e5
2rq1rk1/1p2bp1p/p2p2p1/3Np1Pn/2b1P3/1N2BP2/PPP2Q1P/1K1R2R1 b - -,c4d5
1r6/2k2p2/rp2p1p1/1R1p4/3P2PP/2P5/3K1P2/1R6 w - -,b5b2
r3k2r/p1q2pb1/bp2p1n1/2ppN1B1/8/2PP2P1/PP2QPB1/RN2R1K1 b kq -,c7e5
2r5/p1krnpp1/bp2p2p/2p5/5P2/P1PPP1P1/4KNBP/1RR5 w - -,c3c4
r2qk2r/pp4pp/2p2b2/1B1p4/3Q4/2N5/PPb2PPP/4RRK1 b kq -,e8f7
3r2k1/2r3p1/ppq1p2p/3b1p2/P2P4/4RP2/1P2Q1PP/1B1R2K1 w - -,e3c3
1R1bqr2/Q4p1p/2b3pk/p1PPp3/8/P2B4/5PPP/1R4K1 b - -,c6d5
2kr4/1pp4p/p2pB3/5p2/4P3/2B2nQb/PPP1K1nP/3R1Nq1 b - -,c8b8
2r4r/p1q1nkp1/4ppp1/2Np4/6PP/3Q1P2/PPPB4/R3K2R b KQ -,c7g3
2rq1rk1/1b2bp1p/p1n1pnp1/1p4B1/3P4/P1NQ1N2/1PB2PPP/3RR1K1 b - -,b5b4
2qQ2k1/1p4pn/p3p1Np/2p4P/2P5/1P4P1/P2R1P2/6K1 b - -,c8d8
4k3/4pp1p/p1pr2p1/8/P7/1P4P1/4PPKP/2R5 w - -,c1c5
7R/8/3r3p/pk3NpP/1b3p2/8/8/2K5 b - -,d6c6
2b1r1k1/5pbp/pq1p2p1/3PnPN1/1p6/8/1PB3PP/2BQ1RK1 w - -,g1h1
r1q2rk1/pbpN1ppp/1p2pn2/3p2B1/2PP4/P1Q1P3/1P3PPP/R3KB1R b KQ -,f6d7
r2qk2r/1b1n1pbp/p2pp1p1/1pp1P3/3P1Pn1/2PB1N2/PP2N1PP/R2QK1BR w KQkq -,e5d6
1r3rk1/1B2Rppp/pN1Pb3/5q2/6nP/6P1/PP3P2/2RQ2K1 w - -,d1d4
2r3k1/5p2/7p/3p4/4nQP1/7P/8/5K2 b - -,c8c6
r1b1n1k1/ppq1nr1p/3P4/P2Pp1p1/1PN1Pp2/5P2/4B1PP/2RQ1RK1 b - -,e8d6
8/1p4pk/7p/2P2r2/8/5P1P/PR6/7K b - -,f5c5
2kr3r/pppb3p/1n1b2p1/3pq3/8/2PBN3/PP1BQPPP/2KR3R w - -,h1e1
3rr1k1/pq1n1ppp/p1n2b2/2p5/4N3/5BB1/1PP2PPP/R1Q2RK1 b - -,b7b2
2r1kb1r/3bpp1p/p2p1n2/q5p1/4P3/NNPQ3P/P4PP1/R1B1R1K1 b k -,a5c3
2r1r1k1/1bq1bppp/pp1ppnn1/8/2PNPP2/2NQB3/PP2B1PP/3R1RK1 w - -,d4b3
1r2q2k/2pb2b1/pp1p1nr1/3P1p1p/2PBpP2/1P2N1P1/P4R1P/1R1Q1BK1 w - h6,f1e2
1r3rk1/5ppp/p1p5/1b1q4/3p1P2/1P6/PNP2RPP/R2Q2K1 b - -,a6a5
3k4/6p1/p2p1p2/8/3R4/3PKBP1/r6p/8 w - -,d4d6
5rk1/p2n1ppp/1q2p3/3BP3/2p2P2/2P3P1/2QN3P/r4R1K w - -,f1a1
r3k3/5p2/n6p/6p1/1P2P3/b1p3B1/2N2PPP/3R1K2 w - -,c2a3
rnb2rk1/pp2ppbp/2pp1np1/7q/2PP4/2N2NP1/PP1BPPBP/R2Q1RK1 w - -,d1b3
7k/6p1/p6p/2N5/8/6P1/Pr5P/5BK1 w - -,a2a4
8/5pp1/P2kp2p/3b4/3r4/R2N1P2/5KPP/8 b - -,d5a8
2r3k1/R3pp1p/8/2Np1q2/3b4/5QP1/1PPN1P2/6K1 b - -,f5f3
8/6k1/4K1p1/4p2p/3b3P/1R4P1/8/8 w - -,b3b7
5bk1/p4pp1/1nq3p1/1p6/3PNB2/2P4P/2Q2PP1/6K1 w - -,e4g5
1r4k1/1r2bppp/4p3/p2bP3/2p3R1/2P1BN2/PP3RPP/2K5 w - -,e3h6
6k1/ppp1r1p1/7P/4p3/4PrR1/2P5/PP3b2/2KR1N2 w - -,d1d8
8/8/2k1K3/1p6/1P6/8/8/8 b - -,c6c7
r1bq1rk1/pp2npbp/2npp1p1/2p1P3/8/3P1NP1/PPP1QPBP/RNB2RK1 w - -,e5d6
8/6k1/7p/8/4b3/1B2b2P/2p1N2K/8 w - -,h2g3
8/8/r5k1/2R5/4K1P1/5P2/8/8 w - -,f3f4
6k1/3q2p1/3P1r2/1p2Q3/1P5R/P5Pp/5P1P/6K1 w - -,e5d5
6k1/6pp/1p2p3/pP6/PbP5/6NP/2R5/3rq1QK w - -,g1e1
8/7p/4pk2/2b2pp1/3q2P1/5B1P/Q4PK1/8 w - -,g4f5
2k4r/8/1pbbp2p/p1p3p1/P1PpP3/3P4/2PB2PP/R4BK1 b - -,g5g4
r2q1rk1/1b1p2pp/p1n1pn2/6N1/1p5Q/4b1P1/PPP1NPBP/R4RK1 w - -,f2e3
2q2bk1/5r2/2Np2p1/1P1Pp3/R6Q/4B3/3K1P2/5b2 w - -,a4a1
5r2/R2R1pk1/1p2q1p1/7p/2P4P/4N1P1/P3PP2/6K1 w - -,a2a4
r2q1rk1/2b1npp1/p3b2p/1ppNp3/4P2N/2P3P1/PP2QPBP/R3R1K1 w - -,a1d1
2r5/5pkp/6p1/2p1N3/1p3P2/1Pn3PP/P1R3K1/8 b - -,c8a8
rnb2r2/2p1qpk1/p5pp/1p1Pp3/6PP/4QP2/PPP1N3/2KR1B1R b - g3,f8e8
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,b2b3
r2qkb1r/pp2pppp/2p2n2/8/3P4/6N1/PPP2PPP/R1BQK2R w KQkq -,e1g1
3r1k2/2p2p2/pbq2p1B/1p2p3/4P2Q/2Pr2P1/PP3PK1/R3R3 b - -,f8e7
7R/7p/3p1k2/2pn4/1p2P2N/1P3KP1/r3n3/8 w - -,e4d5
r5k1/p1pb2p1/3b3p/Pr1P1p2/2NP4/4B3/5PPP/R1R3K1 w - -,c4d6
1r6/2nn1k2/pp1p4/3Pp1Rp/2P1Pp1K/2N2P2/P7/5B2 b - -,b6b5
r3r1k1/p4ppp/1p2b3/2pq4/2P5/P1Q1P3/4NPPP/K1R4R b - -,d5e4
4rrk1/1b2bppp/p2q1n2/1Pp5/8/1B1P3P/1PPN1PP1/R1BQR1K1 b - -,a6b5
3r1qk1/bB3pp1/p3p1b1/7p/1PN5/2P3PP/P4P2/2QR2K1 w - h6,b7f3
r3q3/2p2n1k/p4nbb/NpP1p2p/1P2Pp2/2N2P1P/PBQRB3/6K1 b - -,e8e6
r5k1/3p2pp/4pp2/3b3P/3Q2P1/PRR5/1P4q1/K7 b - -,g8f7
r1b1k1nr/pp1pppbp/1qn3p1/8/2PN4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,c3d5
r2qk2r/ppp1n3/3pPpp1/6p1/2B5/4R3/PP2QPPP/4R1K1 w kq -,c4d3
4Q3/7p/8/4qkp1/4p3/3rp1R1/6PK/8 w - -,e8f8
5Q2/5p1p/6pk/4N3/4P3/3P3P/1pq2PPK/8 b - -,h6h5
rn1qkb1r/pp1n1pp1/4p2p/2ppP3/3P2Q1/2PB3P/PP1N1PP1/R1B1K2R b KQkq -,b8c6
4rrk1/1pqb2bp/2p1ppp1/8/PpPPR3/5N1P/1PB2PP1/R2Q2K1 w - -,d1d2
rnbq1rk1/pppn1pbp/3pp1p1/8/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 b - -,f7f5
r2qr1k1/1bpnbpp1/pp2pn1p/6B1/3P4/P1NB1N2/1PP1QPPP/3R1RK1 w - -,g5c1
rnbqk2r/ppppp1bp/6p1/5pNP/3P4/8/PPPNPPP1/R2QKB1R b KQkq -,e7e5
6k1/2r2p1p/6p1/p1b1p3/1p2P3/5B2/P1R3PP/5K2 w - -,f3e2
8/2k3pp/2n1bp2/p1p1p3/4P2B/1PPr4/P2N1PPP/2R1K3 w - -,f2f3
8/1R2rkb1/6p1/2Nn1p2/p2PpP2/P5Pp/4KB1P/8 b - -,e7b7
r1b1k2r/pp3ppp/3B1n2/3P4/4P3/2pB4/P4PPP/R3K2R b KQkq -,c8d7
1r4k1/6p1/7p/8/p1q5/1rP1Q2P/1P1R2P1/4R1K1 w - -,d2d7
r1bqk1nr/ppp3pp/2n1pp2/3pP3/1b1P1P2/2N5/PPP1N1PP/R1BQKB1R b KQkq f3,f6f5
2r1kr2/1b3pRp/p2pp2P/6B1/p3P3/5Q2/2PK1P2/5q2 w - -,f3f6
8/8/4rk2/1K6/P6R/8/4B3/8 b - -,e6e5
