2b5/6pp/8/3k2B1/5P2/4n1P1/7K/8 w - -,h2g1
r1b2rk1/2q1bppp/p1n1pn2/1p4B1/3P4/1QN2N2/PP2BPPP/2RR2K1 b - -,c8b7
8/2p2pp1/4p2p/3kP1PP/2bP1P2/4BK2/3R4/7r w - -,f3g4
4rnk1/1p3pp1/p1r5/3RP2p/2P1qP2/1P2N1P1/P4Q1P/4R1K1 w - h6,f2c2
R7/5k1p/P5p1/1K6/8/7P/r4bP1/8 b - -,f2g1
2r5/pR1n2p1/3k1p2/3B3p/2P4P/4P1P1/P4P2/5K2 b - -,g7g5
5k2/4pb2/4B3/3P1pp1/8/6KP/5PP1/8 b - -,f7g6
r1r3k1/p4pbp/6p1/2nPp1B1/Ppb1P3/7P/1P1N1PP1/2R2RK1 w - -,c1c4
5r2/p1pk1q2/7Q/1r4p1/3pN3/5P2/PP4PP/R3R1K1 w - -,e4g5
1rbq1rk1/5ppp/2np1b2/p2Np3/1pP1P2P/1P6/P1N2PP1/R2QKB1R w KQ -,g2g3
rn2k2r/1p1bqppp/pn2p3/2ppP3/3P1P2/2NB1N2/PPPQ2PP/R3K2R w KQkq c6,d2e3
r3k2r/pp1bb1p1/1q3p2/3pPpBp/1PnP3P/P4N2/4NPP1/R2QK2R w KQkq -,g5f4
5r1k/2q3p1/6Rp/2p5/2PpB3/3PnP2/4N2P/6RK w - -,e2g3
r4rk1/1p4bp/1pp1b1p1/4p2n/2P1N3/2NP2P1/PP4BP/4RRK1 b - -,a8d8
2r2rk1/p4pbp/1q4p1/1PN1pn2/PP6/5Q2/1B3PPP/1R3RK1 b - -,f8d8
5n2/7p/6k1/5p2/8/2B2K1P/8/8 w - -,c3d2
r2q1rk1/1pp1npb1/p1n1b1pp/4p3/3pP2P/2PPBNN1/PPB1QPP1/R3K2R w KQ -,c3d4
1r6/4kp1p/1bR3p1/pB1P4/Pp6/3K4/1P4PP/8 w - -,d5d6
6n1/1k3pp1/pP6/2P5/5P2/R2p3r/3N1K2/8 b - -,g8f6
4r2r/1kpb1p2/1p1n1qp1/p1pPp1p1/P1P1P3/1P3P1P/2B1NQP1/1K1R1R2 b - -,f6e7
r3r1k1/1bq1bpp1/p2p1n1p/np1Pp3/4P3/5NNP/PPB2PP1/R1BQR1K1 b - -,a5c4
r4rk1/2q1b1pp/p1n1pn2/1pppp3/4P3/P1PP1NN1/1P3PPP/R1BQR1K1 w - -,e4d5
2rr1n2/p1q2pk1/1p4p1/1Pp1Pn1p/2Q5/P1N2N2/5PPP/R3R1K1 w - -,c3d5
8/1Q2kpp1/p6p/q2p4/3b4/2P3P1/1P3PKP/8 b - -,e7e6
r4rk1/1R2bppp/p3q3/1N1np3/PB6/3BP3/1P2QPPP/3R2K1 b - -,e7b4
R7/3q3k/1p1b2r1/2pPp2p/2P1Ppp1/1Q3P2/3B2PP/7K b - -,h5h4
1rq1k2r/4ppb1/3pbnp1/7p/1pNpPP2/1P1P2PP/2PB2BK/1RQ2R2 b k -,d6d5
8/8/2k5/K1p5/P7/1P6/4Bn2/8 b - -,f2h3
8/3Qbk2/1p6/p7/P3q3/2B1P3/1P2KP1P/8 w - -,h2h3
r3r1k1/1p4bp/2pp2p1/2q5/2Pn1P2/pP4PP/P2Q2BK/1N1RR3 w - -,e1e8
8/7p/1p3pk1/1p6/1Nb1PP2/4K3/7P/8 w - -,e3f3
5rk1/ppp2p1p/2B2P1P/7b/4p3/2Q1P1P1/PPP3q1/2K1R1N1 b - -,b7c6
r1bq1rk1/1p3ppp/1npp1b2/p3n3/P2BP3/2PB1NN1/1P3PPP/R2Q1RK1 w - -,f3e5
r4rk1/pp1n1pb1/2p2npp/4p2q/2P1PB2/2NQ1NPb/PP3P1P/R3R1KB w - -,f4e3
r2r1n2/pbp1qpk1/1p4pp/3p4/3P4/1Q2PN2/PP2NPPP/2RR2K1 b - -,f8e6
2r5/1pr1k1pp/p1npp3/2P3B1/3bP2P/1R6/PP2B1P1/1K5R b - -,d4f6
3rr1k1/1pp2pb1/p1nqb1pp/3p1P2/3P2P1/2P1NQ2/PPB3PN/R3R1K1 b - -,g6f5
br3rk1/2q1bppp/p1p5/P1npP3/5P2/2N1B1P1/Q3P1BP/1R3RK1 w - -,h2h3
8/8/7n/8/1R3k1p/4r3/7K/8 b - -,e3e4
3brrk1/1p1q2pp/pB2pn2/n1p1p3/4P3/5N2/1PP2PPP/R2QR1K1 w - -,d1d7
2rr2k1/3nppbp/p2pb1p1/2p5/N1P1P3/1P2BP2/P2RB1PP/3R2K1 b - -,d8e8
r2q1rk1/1ppbbppp/p1np1n2/8/B2PP3/5N1P/PP3PP1/RNBQR1K1 b - -,h7h6
8/4k1p1/6B1/8/P1P4p/Pn2K3/8/8 w - -,e3f4
r1bqkbnr/pppp1ppp/2n5/4p3/8/3P2P1/PPP1PPBP/RNBQK1NR b KQkq -,h7h5
8/pp3k2/2p5/3pRn2/5Q2/3b1P2/PPq3PP/R6K w - -,g2g4
rnb1k2r/1pq1ppbp/p2p1np1/8/4P3/1NN1BQ1P/PPP2PP1/R3KB1R w KQkq -,g2g4
8/1p6/2b5/2P5/pR6/2K5/k7/8 b - -,a2a3
1r6/3nk2p/pr1pp3/4p3/1PP1P1p1/R1K2P2/2N3PP/R7 b - -,g4f3
2nb2k1/1n1q3p/2Qp2p1/3Pp3/1BN1P3/2P4P/3N2P1/6K1 b - -,d7c7
1R6/1P4k1/8/1r5p/5K2/8/5P2/8 w - -,f4g3
8/2r3k1/p2Rpb1p/1qp2pp1/P1R2n2/1P6/6PP/3Q3K b - -,b5b7
rnbqk2r/pp3ppp/3p4/2pPp1bn/2P1P3/2N1BP2/PP4PP/R2QKBNR w KQkq -,d1d2
2r2rk1/5p1p/3q2p1/1p1Pp1b1/3nP1P1/pP1RN2P/P2Q1P2/1K1B3R b - -,c8c7
rn3rk1/pb2bppp/1p2p3/3q4/8/1P3NP1/P3PPBP/R1BQ1RK1 w - -,c1b2
8/p3k2p/4p1pP/3r4/8/1P2KPP1/P2p4/3R4 w - -,d1d2
3q2k1/8/1p4p1/p1p2b1p/2PrN3/P2BRPP1/2Q5/6K1 b - -,g8f8
2b2r2/2b1q2k/1P4p1/2p1p3/2P1pp1p/2B1P1P1/3Q1P1P/1R3BK1 b - -,c7b8
8/8/2r2pk1/p2R1pp1/8/3KP1P1/P4P2/8 w - -,d5a5
1k6/prb2p1p/R1p1p1p1/1r6/1PKP2P1/R6P/1P1B1P2/8 b - -,c7b6
3r4/6k1/4Rbp1/3q1p2/5P1p/2p2Q1P/6P1/2N4K w - -,f3e3
8/2k2ppp/4p3/1KP5/5P2/3R3P/r7/8 b - -,a2a1:a2b2
8/5p1k/1p2p2p/p1p2p2/P2r4/1P1P2P1/4PP1P/2R3K1 w - -,g1f1
8/3b1p1k/p2b1P2/1p4pp/2pB2P1/4NP1P/PPP2K2/8 w - -,e3f5
2rr1k2/1p4pp/5p2/pP2p3/Pb2R3/5NP1/1R3P1P/6K1 w - -,e4e2
rnbq1rk1/ppp2ppp/1b3n2/3P4/2B5/2N2N2/PP1B1PPP/R2Q1RK1 w - -,h2h3
r3r1k1/ppp2p1p/2bp1qp1/2n1b3/2P1P3/2N2PPP/PP3BB1/2RQR1K1 b - -,a7a5
8/8/5p2/5kpp/8/P4KP1/1n3N1P/8 b - -,f5e5
r1b2rk1/6pp/pBNp1bq1/1p1P1p2/8/2P2p2/PPBQ2PP/R5K1 w - -,g2g3
8/5p1k/4p1p1/4B2p/4n3/3B2P1/5bKP/8 b - -,e4c5
r3r1k1/pb2bp1p/1pn1p1pB/3q4/3P4/PBQ2N2/1P3PPP/R4RK1 b - -,d5a5
8/2k5/8/1PP5/1r6/2N1PK2/4B3/8 b - -,b4b2
r1bqk1nr/ppp2pbp/2np2p1/4p3/2P5/P1N1P1P1/1P1P1PBP/R1BQK1NR b KQkq -,c8e6
1k2q3/1prb1p1p/p2Qpp2/4rP2/PR1NP3/2N5/1PP5/1K6 b - -,d7c6
r1q3k1/p6p/5bP1/1p1p1b2/2p1pP2/2P1P3/rPBNQ3/2K3RR b - -,h7g6
rn2k2r/1bq1bppp/pp1ppn2/8/2PNP3/2N1B3/PP1QBPPP/R4RK1 w kq -,f2f3
r5k1/p4rb1/4p2p/1p2P3/2p1bPQ1/4P3/q1B3P1/2R2RK1 b - -,e4c2
6k1/6p1/6p1/p3R3/P1r3P1/4PK2/5P2/8 b - -,c4a4
6rr/3bqpk1/p2p2np/2pP3Q/Pp2PP2/3B3P/1P5K/3NRR2 w - -,d1e3
1rb2r1k/p1N1p1bp/1p4p1/4nn2/8/5N1P/PPP1BBP1/3RK2R w K -,f3g5
5r2/p3k3/6p1/4p3/1pBp4/1P1P1N1n/8/1R2K3 b - -,f8f3
8/k7/pp6/2q5/8/3B2Q1/PPP5/1K5b w - -,g3g7
2r3k1/1r2npb1/1p2p1pp/q2p4/3P1BbP/PQP1RN2/5PP1/R2B2K1 w - -,f3e5
6r1/p1r1qkp1/P1n1p2p/3pPp1P/1P3P2/2PNp3/4Q1P1/R3R1K1 b - -,d5d4
1k1r3r/pp1b1ppp/1q2p3/3pP3/Pb6/2NQB3/1P2nPPP/2R2RK1 w - -,c3e2
4R3/8/2k2K2/2p1B3/3p1P2/3b1r2/8/8 b - -,c6d5
8/p4pk1/5bp1/1p1p1P2/3Pr3/2P1BK2/PP6/7R w - -,e3h6
r5r1/3b2p1/1RnNpk1p/3p1pbP/P7/2PN2P1/4Q1P1/5K2 b - -,a8a4
2R2n2/pp4bk/3p1r1p/1q1Pp2Q/1P2P3/2R2pP1/P2B1P1P/6K1 w - -,d2g5
6k1/1p1r1q2/4b3/1p1nQ2p/1B4pN/3Pb1P1/5R1P/1R5K b - -,e3f2
1r4k1/4bp1p/1p2p3/1B2P2p/PPP2P2/1R3KP1/2r2B1P/8 b - -,g8g7
3q2k1/2r2p1p/p5p1/Pb1Pp3/4P1B1/4Q2P/5PPK/2R5 b - -,c7c1
5k2/1r3p1p/8/4PK2/R7/P4P2/4r3/6R1 w - -,f3f4
2k4r/ppqr1pp1/3b1P1p/2p1NQ2/8/2N5/PP3PPP/2KR4 w - -,c3b5
3q2k1/2p3pp/1pb2p2/4p3/p1P1P3/P2Q1P2/1PB3PP/6K1 b - -,d8d4
2qr1rk1/p3ppbp/1p4p1/2p5/P1N3b1/1P1PP1P1/5PBP/2R1RQK1 b - -,c8c7
6k1/5p1p/p1b1p3/2r1P3/1RP5/2N1pp2/1P4PP/6K1 w - -,g2f3
2rr2k1/1p2ppbp/p1bp1np1/7q/P1PBP3/1PNQ1N2/5PPP/2R2RK1 w - -,d4f6
5r2/5Qbk/1P4pp/4p2P/4P3/2q1B1PB/5P2/6K1 w - -,f7g6
1rb1kbnr/p2pp2p/1p3p2/8/3NN3/2P2P2/PP4PP/2KR1B1R b k -,a7a6
2k5/8/2K5/7p/6p1/5pP1/4p2P/4B3 b - -,c8b8
2b1kb1r/1r3ppp/p3p3/1p1N4/1n6/1N3PB1/PPP3PP/2KR1B1R b k -,b4d5
2r2rk1/p2qn1b1/bpnpp1pp/2p2P2/5P2/N1PP1NPB/PP1Q1B1P/3R1RK1 b - -,e6f5
r2q1rk1/1p1nbppp/p2p1n2/4p3/2Q1P3/2N1BN2/PPP2PPP/R4RK1 w - -,f1d1
r2qrnk1/1p3pp1/2pb1n1p/p2p4/3P2bB/P1NBPN2/1PQ2PPP/1R3RK1 w - -,d3e2
1r2br1k/p3q1pp/Q1p1p3/2Ppb3/P2PpP2/2B1P1P1/7P/R4RK1 w - -,d4e5
r4rk1/3q1ppp/1pnbpn2/3p4/3P1B2/1QN2N2/PP3PPP/R4RK1 w - -,f4d6
2r2rk1/ppqbb1pp/2p2p1n/7N/2P1PPP1/2B4P/P1Q3B1/R4RK1 b - -,g7g6
2rq1rk1/1p2ppbp/p2pbnp1/8/2P1P3/1P3N2/PB2BPPP/1Q1R1RK1 b - -,d8a5
1r6/p4k1p/br1pppp1/2p5/1n2PP1P/2KPN1P1/PP6/R3RB2 b - -,a6b5
2k1r3/q1p2pp1/ppPb1nb1/3P4/P3p1Pr/2N1P3/1P2Q1B1/2RR1NK1 w - -,c3a2
6k1/5pb1/pq1p2pp/1B1Pp3/1P1pP3/3P4/3B1PPP/1Qr3K1 w - -,b1c1
3r1k2/pp3ppp/1r3b2/2Nn4/1P6/2PR4/P4PPP/3R2K1 w - -,d3d5
1q1r2k1/1r1bbpp1/3p1n1p/p3p3/2P1P3/BP1QN3/R2N1PPP/R5K1 b - -,d7c6
5r2/p1p3k1/1p6/2n1p1pp/2q1P1b1/2P1R1P1/P4R2/4Q1NK b - -,c5d3
r2q1rk1/2p1bppp/p1n1n3/1p1pP3/5Bb1/2P2N2/PPBN1PPP/R2Q1RK1 w - -,f4g3
1r1n4/p6k/5p2/2n1pNr1/2P1P3/2P3PB/P4R2/4R1K1 b - -,d8e6
2r5/3k1b1p/3p1bp1/p4p2/1pRP4/P2K1P2/1P2NBPP/4R3 b - -,f7c4
6k1/1b3q1p/Q5p1/3pp3/1P6/4PB2/6PP/6K1 w - -,a6d6
8/5p2/2p1pk2/5P1p/1P1P4/8/5PK1/8 w - -,f5e6
6k1/p3r1pp/1p2p3/1B1nQ3/P1P1R2P/5qP1/5P2/6K1 b - -,e7f7
B7/2n3k1/p2q2p1/P1p4p/1p6/7P/1PQ3P1/4R1K1 b - -,c7a8
r2q1rk1/pp1nppbp/6p1/n1p1N3/b2P4/N1PR2P1/PQ2PPBP/R1B3K1 w - -,e5d7
5k2/8/1p2PPp1/p1p2K2/P1Pr4/1P6/3p4/3R4 w - -,f5g6
6k1/p3q1p1/1p1bp2p/5p1P/1PPB4/P4QP1/5P2/6K1 b - -,e7c7
r1b1k2r/3n1ppp/p1p1p3/q5PP/1b1pPP2/P4Q2/1PPB4/RN2KB1R b KQkq -,b4d2
r3k2r/ppqn1ppp/3bp3/3B4/7B/8/PPP2PPP/R2QR1K1 b kq -,e8g8
rnbqk2r/pp1pppbp/5np1/8/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq -,e8g8
8/8/R4pk1/1p5p/3P3P/1PPK1PP1/8/6r1 w - -,a6a8
8/4b3/4k3/6p1/6Pp/2p4P/1pK5/3R4 w - -,d1e1
8/1p6/1pk5/3p4/PK1Pn3/8/4B3/8 b - -,e4g5:e4d6
5rk1/p3p1bp/2R3p1/4P3/5P2/r3BK2/P5PP/2R5 w - -,c6c8
r1b2rk1/ppqnbppp/2p2n2/4p3/4P3/1BP2N2/PPQN1PPP/R1B2RK1 b - -,a8b8
4r3/1p3k1p/3p1qp1/3P1p2/2P4P/1P2Q1P1/P2R1K2/8 w - -,e3d4
5r2/2r2pbk/p2Np2p/7p/P5P1/1B2N3/KPP5/5R2 w - -,g4h5
5rk1/1q1nbppp/1pp1p3/2Pp4/1P1P1P1P/2NQ1NP1/5PK1/R7 b - -,f8a8
r1bq1rk1/pp1nppbp/5np1/2pp4/2PP4/5NP1/PP1NPPBP/R1BQ1RK1 w - c6,c4d5
7k/5p1p/5p2/2Kp1P2/2bP1P2/7r/8/1R4R1 b - -,h3b3
8/1bRN1p2/p3p1pp/1p4k1/5r2/1P6/P5PP/6K1 w - -,c7b7
8/5k2/p1bp4/P4p1p/2rP2PP/2B3K1/1P4P1/R7 b - -,f5g4
r4rk1/3n1ppp/pq1p1b2/2pP4/1p6/1P1QN1P1/PB2PP1P/R4RK1 w - -,b2f6
1r3rk1/p2p1ppp/2n1pq2/2Q5/2P2P2/P2BP3/1P3P1P/R3K2R w KQ -,a1b1
q3rbk1/p4ppp/4nn2/1p2pN2/6P1/2P3P1/1P2QP2/R1B2RK1 b - -,a7a6
5R2/8/1pb3k1/p2pP3/1p6/4P3/P4PBK/2r5 w - -,e5e6
r2q1rk1/1p1bnppp/p2p1n2/4p3/2P1P3/N1NB3P/PP3PP1/R2Q1RK1 w - -,a3c2
3r2k1/pb1rbppp/2n5/2pp4/8/1PB1P1Pq/PQ1R1PBP/3RN1K1 b - -,h3h5
r3R3/2pk1p1p/p2p2p1/8/1n1B4/5P2/PP3KPP/R7 b - -,a8e8
r2qkb1r/ppp3p1/2np1n2/1B2p1P1/4P1b1/8/PPP3PP/RNBQ1RK1 w kq -,d1d3
4k3/2RN4/3p2Kp/7P/6P1/5n2/5r2/8 b - -,e8d8
r5k1/5p2/p2p2p1/2pP4/Pp1b3q/3BrPnP/1P3Q2/R1RNK3 w - -,d1e3
3rk2r/1p3ppp/p1nB4/4P3/4QP2/1NP3Pq/P6P/4K2R b Kk -,e8d7
8/8/8/4b1pp/8/4N2k/8/5K2 b - -,h3h2
7k/p2b1r1p/3rp1p1/1pp5/5PN1/3P1R1P/PbP3B1/4R1K1 w - -,g4e5
6k1/5pb1/2p1p3/2r5/5P2/4Pp2/5P2/3RB1K1 w - -,g1h2
r1b1r1k1/5pp1/2p4p/pP6/7P/P3P3/5PP1/3RKB1R b K -,c8b7
3r1B2/7r/3P4/1p2pRp1/2p1Pnk1/p1P1K3/6P1/5R2 w - -,f8e7
2r3k1/ppr4p/4p1pb/3p4/1n1P1PPP/PPN5/8/2RRBK2 b - -,b4c6
2rr2k1/1p2qppp/p4n2/1P1p4/2nQ4/P1NbP3/1B3PPP/1R1R2K1 w - -,d1d3
r3r1k1/1p1n1ppp/2p2n2/p2p4/Pq6/1P1P1BPP/3NPP2/2RQR1K1 b - -,d7e5
r2qr1k1/pbp2pbp/1p1p2p1/4n3/P2NP3/2P3P1/2Q2PBP/1RBR2K1 w - -,a4a5
8/8/3k4/KB1n1p2/P7/1P6/8/8 w - f6,b3b4
r2r4/1k3pp1/1pp1p1np/p3P3/Pb1PN3/5NP1/1PR2P1P/3R2K1 w - -,d1c1
1k5r/pp2q2p/4Npp1/3rn3/3P1R2/6QP/PP4P1/2R3K1 b - -,e7e6
3b4/3k2pp/1r1p1p2/r2B2PP/4PR2/2PK4/1P6/1R6 b - -,d8e7
r1b2rk1/p1n2nb1/1p1p2p1/1PpPp2p/2P1PpPq/P1NB1P1P/4NR2/R1BQ2K1 b - -,f7g5
8/2N4p/P2P2p1/2R1pk2/b3pb2/2B4P/r4P2/4K3 b - -,a2c2
r4rk1/pp2bppp/3pbn2/qQ6/4PB2/2N5/PPP1B1PP/2KR3R b - -,a5b5
8/7p/1k4p1/1P3p2/5P1P/2r5/1R4K1/8 w - -,h4h5
r3kb1r/1bqn2pp/p3pn2/1pp5/4P3/2N2N2/PPB2PPP/R1BQ1RK1 b kq -,f8d6:c5c4
3r3k/p5bp/2p2qp1/Q2rpp2/3n4/1BB2P2/PPP3PP/KR1R4 w - -,a5a7
6R1/8/5p1k/5K1p/8/8/8/2r5 b - -,c1f1
r2qkb1r/pp1n1pp1/2p1p1n1/3pPb1p/3P4/1N6/PPP1BPPP/R1BQNRK1 w kq -,c1e3
r1bqk2r/ppp1nppp/2nb4/8/3pPB2/3P1NP1/PPP1N2P/R2QKB1R b KQkq -,f7f6
8/1q2r3/3Q4/k3P1p1/p1p5/6Pp/2P4P/1R4K1 w - -,d6c5
8/8/2pkbp2/R6p/N2r4/5P1p/6PK/8 w - -,g2h3
6k1/4R3/4p2p/5ppN/3Pb3/1r2P1PP/3K4/8 b - -,b3b2
2br3k/2p3bp/2p3p1/5pN1/rPP2P2/p1B5/P3PK1P/2R5 w - -,g5f7
r4rk1/pp1q1pbp/n1p1bnp1/3pp3/1PP1P3/P1NP2P1/4NPBP/1RBQ1RK1 w - -,e4d5
5k2/8/7p/1N2pP2/p7/2Pb3P/5K2/8 w - -,b5a3
8/8/8/3kP3/3P3p/2KR2pP/4r3/8 w - -,d3d1
r1bq1rk1/ppppbppp/2n2n2/1B6/3PP3/5N2/PP3PPP/RNBQ1RK1 w - -,d4d5
rn3k1r/1bq1bp2/3ppp2/p1pP4/P1N1P2p/1p2N2Q/1PP1BPPP/2KR3R w - -,c2b3
rn1qkb1r/pbp2ppp/1p6/8/4P3/2PB1N2/P1Q2PPP/R1B1K2R b KQkq -,f8c5
R7/5r2/3k4/pR1p1r2/P7/1P1KP3/8/8 w - -,a8a6
r1bqk1nr/pp1p1p1p/2n1p1p1/2p5/2P5/2P1P1P1/P2PNPBP/R1BQK2R b KQkq -,g8e7
r2qrbk1/pb1n1ppp/1pp2n2/3p4/Q2P1B2/P1N1PNP1/1P2BP1P/2RR2K1 w - -,f4g5
5rk1/pppq1rbp/3pn1n1/1P2pp2/2P5/P2PP1P1/2Q1N2P/2B1RRNK w - -,f1f2
r1bqk1nr/ppp2ppp/2np4/b7/2B1P3/2P2N2/P4PPP/RNBQ1RK1 w kq -,c1g5
8/7P/1p4K1/8/P7/1k6/8/2q5 w - -,h7h8q
rn1qk2r/pbpp1ppp/1p2pn2/8/2P5/P1Q2N2/1P1PPPPP/R1B1KB1R w KQkq -,g2g3:e2e3
8/q4p1k/2p2Qpp/8/8/6r1/8/3R3K w - -,d1a1
4r1k1/ppr2ppp/8/2PR2q1/1P6/P3PQ2/5PPP/5RK1 b - -,g5e7
r5k1/1pr2pp1/1R5p/8/2pP4/4P1P1/P1R1KP1P/8 b - -,a8a4
4r2k/3r1np1/p4n2/1pp2PP1/5R1P/P1B1P3/1P6/4R1K1 b - -,f6d5
r1b1r1k1/pp2qpbp/4n1p1/3p4/P5P1/4B1NP/1PP2PB1/R2Q1RK1 w - -,g2d5
4r1k1/1p3pp1/p2p2np/2bQ4/7q/4PP1P/PP6/2R1RB1K w - -,d5f5
2rq1bk1/1b3ppp/1pn1rn2/1B1p4/P2Pp3/1Q2P1BP/4NPP1/2RR1NK1 w - -,e2f4
r2qk1nr/pbpn1pb1/1p1pp1pp/8/4P2P/3P1NP1/PPPN1PB1/R1BQ1RK1 w kq -,h4h5
r4rk1/pp1nppbp/2pq1np1/6B1/3P4/2N2QPP/PPP2PB1/R3R1K1 b - -,e7e6
r1b2rk1/pp3ppp/2p2n2/8/2QN4/qP4P1/P3PPBP/R4RK1 b - -,a7a5
r5k1/p4pbp/q1p1p1p1/3b4/P2Q4/1rP1BBP1/4PP1P/R1R3K1 w - -,d4c5
8/8/5R2/1k5p/4K3/5p2/7r/8 w - -,e4f3
r2qkb1r/pp1n1ppp/2p1p3/8/3PQ3/6PP/PPP2PB1/R1B1K2R b KQkq -,d8a5
2rb2k1/6pp/2q1p3/2PpBp2/4r3/2R1P2P/5PP1/1R1Q2K1 w - -,e5d6
2r3k1/nb2np1p/1q3bp1/pp2p3/3pP2P/PP1P1NP1/1B1N1PB1/3QR1K1 w - -,f3h2
r3k2r/p2bqpp1/2pb1n2/2p5/Q1P1p2p/2N1P2P/PP1B1PP1/2KR1B1R b kq -,e8g8
2rr4/pp5p/2p1bkp1/2p2p2/2P4P/1PKRPP2/P3BP2/6R1 b - -,d8d3
8/7R/3k2p1/3b4/1P1N3P/r1n3P1/5PBK/8 w - -,h7g7
4r1k1/3q3p/b1p3p1/p2n2R1/3B3P/P1P3P1/6B1/4Q1K1 w - -,g5e5
8/5rk1/1p3p2/1P6/P2Q4/7P/5PPK/r7 b - -,f7a7
8/4k3/4p3/P4p2/2B3r1/2R5/1P6/1K6 b - -,e7f6
4k3/1R6/1p1r2p1/p1b2p1p/P1PBp2P/1P2P1P1/5K2/8 w - -,d4c5
r2rb1k1/1p3pbp/2ppn3/6pn/2P1P3/pP2BPPP/P2RN1BK/2R2N2 b - -,g7e5
6rk/1p5p/p1p1pqr1/2Pp1p2/1P2n3/P3PQP1/5NRP/2R3K1 w - -,f2e4
r5k1/qpp3pp/1P1pb3/8/1QPP1pP1/5B1P/4P3/rKR4R w - -,b1c2
2b2rk1/p4ppp/1qp3n1/2Np4/Rr6/1N2Q3/PPP2PPP/4R1K1 w - -,e3c3
r3r2k/1p4pp/3p4/1p1b1p2/1P3P2/P2P2qP/2B1QRP1/R5K1 w - -,e2d2
4r1k1/1p5p/6q1/pP1p1r1p/3Pp3/7R/1P2QPP1/4R1K1 w - -,e2d2
8/8/8/5k1p/2R3p1/6PP/4r3/6K1 w - -,c4f4
8/4k3/1PR5/6r1/2P1p3/8/2K5/8 b - -,e7d7
r4rk1/p2n1pp1/1p1qp2p/2p5/2PP4/5Q1P/PP2NPP1/R2R2K1 b - -,d7f6
1rb2r2/1p1qB1k1/6n1/1P2pp1p/2Pp3P/3P2P1/3QN1B1/4RRK1 b - -,d7e7
r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2P1PN2/PP3PPP/RNQ1KB1R b KQkq -,c8f5
