8/7k/3R4/2p5/1rK5/1P6/8/8 w - -,c4c3
2r1rbk1/2q2pp1/p1np1n1p/2p5/2P1PPP1/2N2N1P/P2QR2K/B3R3 w - -,e2g2
8/2kb1p2/6p1/4p1P1/pPBnP3/2K1BP2/8/8 w - -,e3d4
8/pp4p1/4p3/4k1P1/3p2pP/6K1/PPb5/5N2 w - -,g3g4
r2q1rk1/1p2ppbp/p5p1/2p1n3/P1Pp4/6P1/1PPQPPBP/R3NRK1 w - -,b2b3
8/4bk1p/2p5/pp2pp2/8/PnP1BP1P/1P4P1/3N2K1 w - -,g1f1
rn1qk1nr/pp2ppbp/2pp2p1/8/3PPPb1/2PB1N2/PP4PP/RNBQK2R b KQkq -,e7e5
2Q5/5ppk/4r3/3q2b1/7p/PR1N1p2/K1P5/8 b - -,e6c6
r5kb/pp1bBp2/q2pp1p1/2r4n/3NP2P/1PNQ1P2/1PP5/1K1R3R b - -,b7b5
1nr1r1k1/p3qpp1/1p1Rp2p/2p1P1P1/4BP2/5Q2/PPP5/2K4R b - -,c8d8
8/1R3p2/1pr1p3/p6k/2n3R1/6P1/5PK1/8 w - -,g4g8
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/6P1/PPPPNP1P/RNBQKB1R b KQkq -,d7d5
r3r1k1/1pp2ppp/1nn1q3/6P1/p1P1p3/P1B1P3/1PQ2PP1/R2R1NK1 w - -,f1g3
8/p7/1prpk2p/3R4/P3PK2/2P5/6PP/8 b - -,c6c4
bq1rrn2/5nkp/1Q1p4/4pp2/1PP5/1N2BP2/6PP/2RR1B1K b - -,f5f4
1r4k1/1pn5/p1pq1rpQ/2R1p2p/PP2B2P/3P2P1/5P2/2R3K1 b - -,b8f8
1r2r2k/1p2n3/3R2pp/1B3p2/7P/4P1P1/5P2/2R3K1 b - -,e8c8
r1b1k2r/pp1n1ppp/5n2/q1pp2B1/3P4/2PBPN2/P4PPP/R2Q1RK1 b kq -,c5c4
8/6p1/4npk1/2pr2p1/1r3p2/1PR4P/R2N2P1/6K1 w - -,g1f2
2rq1rk1/p3nppp/1bn1p3/3bN3/5B2/1N4P1/PP3PBP/2RQR1K1 b - -,c6b4
r4r1k/1pp1n1p1/1b1pb2p/p3p3/P3Pq2/2P2N1P/1PB1QPPN/R3R1K1 w - a6,a1d1
6k1/6B1/4p1b1/2bp3p/7P/pP1N2PK/P7/Q5q1 w - -,a1g1
r1b1r1k1/pp1n1pbp/4p1p1/nq1p2B1/N2P4/PP3NP1/4PPBP/1R1QR1K1 b - -,g7f8
4r2k/1q4b1/pNpr1npn/P3p2p/1P2Pp2/R1B2B1P/4QPP1/2R3K1 w - -,a3a2
rnbqkbnr/ppp1pppp/8/8/8/2N3P1/PPPP1P1P/R1BQKBNR b KQkq -,g8f6
6k1/5p2/6pp/2n1P3/6P1/1p1rRK1P/1Pr2N2/5R2 b - -,d3e3
2rq1rk1/pp2ppbp/2npbnp1/8/2P1P3/2N5/PPNBBPPP/2RQ1RK1 b - -,f6e8
r1b1rnk1/1p3p1p/2p3p1/p1q5/P1P1P1n1/1PN3PN/3QP1BP/R2R3K b - -,g4e3
r2q1rk1/pb4pp/1pp1pn2/5p2/1NPP4/4PP2/P3N1PP/2RQ1RK1 w - -,b4d3
rqr3k1/1b1nbppp/p3p3/2pn4/3P4/P1N1PN2/1BQ1BPPP/1R1R2K1 w - -,d4c5
rnq1kb1r/ppp1pppp/5n2/5b2/3PP3/5NP1/PPQN1P1P/R1B1KB1R b KQkq e3,f5g6
3r2k1/2qr1pb1/ppn1b1pp/2pnp3/P1N4P/1BPP1N2/1PQ2PP1/2BRR1K1 b - -,b6b5
8/7p/5k1p/3r4/4R1K1/5PP1/8/8 b - -,d5f5
2r5/1p2kp2/4pn1p/p5p1/8/2P3P1/PP2BP1P/3R1K2 w - -,d1d4
r2r2k1/1pq3p1/p3bpP1/4p2p/2P1Q2P/1PB5/P4P2/R3K1R1 b Q -,c7d7
1rr3k1/5ppp/1p2pn2/p7/2P5/5B2/PP3PPP/2RR2K1 b - -,g8f8
r1b1qrk1/4p1bp/p1nppnp1/2p3N1/P6P/2NBB3/1PP1QPP1/R3K2R w KQ -,h4h5
8/1Rn2pkp/6p1/P3N3/8/5K2/2r2PPP/8 b - -,g7f6
r7/6bk/pp1p2p1/3P4/Pp4pP/4rB2/5RK1/2R5 w - -,f3g4
r1B3k1/pp2bp1p/2p5/4p3/8/4Q1PP/PP4K1/5r2 w - -,c8b7
8/1p2bkr1/p1p3rp/P2p1pp1/1P1P1P2/4P1P1/3B1K1P/6RR w - -,d2c3
4k2r/1p2p1P1/6p1/Pp5p/1PrB4/2P3qP/6P1/R4RNK b k -,h8g8
r1bqk2r/1pp2ppp/4p3/2Pp4/1b1P4/pP2PNP1/P1Q2PBP/1R3RK1 b kq -,c8d7
1rn1k2r/ppqb1pbp/3pp1p1/8/3PP3/B1PB4/PQ2NPPP/1R3RK1 b k -,e8g8
8/3b4/r2p3k/2PP2p1/3KN2p/PR5P/6P1/8 b - -,a6a4
8/2r1q1r1/b1p1p2k/Pp1pPp2/1P1P1PB1/1KQ1P3/6R1/6R1 b - -,f5g4
4r1k1/7p/4Qp2/p7/2P3P1/1P2r2n/PB4RP/R6K b - -,e8e6
1rr3k1/5p2/4p1pp/4P3/pb1N4/B1n4R/5PPP/3R1K2 w - -,d1c1
2bqrbk1/1p3pp1/r1pp1n1p/p7/P2NP3/2N2Q1P/1PP2PP1/R1B1R2K w - -,c1f4
r2q1rk1/pb2ppb1/1pn2npp/3p4/1P1P3B/1Q2PN2/P2NBPPP/R4RK1 b - -,g6g5
r1b1k1nr/pppp1ppp/6q1/2b5/3pP3/2PP4/PP3PPP/RNBQKB1R w KQkq -,b1d2
r1b1kn1r/2q1bp2/pp1p1n1p/2pPp1p1/BPP1P3/P1NQB2P/5PPN/2R2RK1 b kq -,c8d7
r1bq1rk1/1p1nbppp/2pp4/p1n5/P2QP3/2N1BN1P/BPP2PP1/3RR1K1 b - -,d8b6
rnbqk2r/1p2bppp/p3pn2/8/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,f3e5
3r4/pp4pp/8/5pk1/5P2/2N3P1/PP2B2P/2K5 b - -,g5f6
r2q1rk1/1p2ppbp/p2pb1p1/8/P1PBP3/2N5/1P1Q1PPP/R2R2K1 b - a3,g7d4
1k2rr2/1ppb4/1p4np/3pP1p1/1P1N1P2/1N2KRP1/P1R4P/8 b - -,d7g4
8/5K2/1p1k1P2/8/6B1/2r5/8/8 b - -,c3g3
8/5p2/P1kp4/3q1p2/8/8/5Q2/4K3 w - -,f2a7
6k1/4b1p1/pnbppn1p/1p3p2/3P4/P3P2P/1P1N1PPB/3BN1K1 w - -,f2f3
8/8/6k1/4P1r1/4K3/8/5R2/8 b - -,g6g7
1kb2Q1Q/1p3p2/3N4/3pP3/3P4/6P1/p2q1P2/5K2 b - -,a2a1q
8/2k5/8/1PB1p3/4B2r/2K5/8/8 w - -,e4d5
r1bqk2r/pp1nbppp/3p1n2/2pPp3/2P1P3/2NB3P/PP3PP1/R1BQK1NR b KQkq -,d7f8:e8g8
r6r/1p3pp1/p1k1p3/3p3p/R2P1P2/1PPKP1P1/5P2/7R b - -,f7f6
R5k1/5p1p/1n1q2p1/2pP4/5P2/5BPP/3Q4/6K1 b - -,b6a8
3r1rk1/p4pp1/1p3b1p/2pNq3/2P5/4PP2/P1Q2P1P/3R1RK1 w - -,c2e4
r2q1rk1/pb3pbp/1npp1np1/1p2P3/4P1P1/P1N1B2P/1PP1NPB1/R2Q1RK1 b - -,d6e5
r5k1/2p2ppp/1p1pqn2/2p5/1PP2B2/3B1R2/1Q4PP/6K1 w - -,f4d2
r4rk1/2p1bppp/p3b3/1p2P3/8/3n1N2/PP3PPP/R1BBR1K1 w - -,e1f1
8/8/4k3/1P2p1K1/2b1P3/2N5/8/8 b - -,e6d6
6k1/8/3p4/1PpN4/2P1P1Pq/3r2pP/6Q1/5R1K b - -,h4h6
3r4/2p3k1/5bp1/p2Bq3/P1Q5/1P2P1P1/5PK1/4B3 w - -,e3e4
8/1p3p2/6pk/8/1r6/RP1R2KP/1r4P1/8 w - -,g3f3
r1b2b1r/ppp2kpp/2n2q2/3Bp3/8/5Q2/PPPP1PPP/RNB1K2R b KQ -,c8e6
6k1/p4p1p/n5p1/8/2N5/4P1P1/Pr5P/3R2K1 b - -,b2a2
3rr1k1/1p3p2/p1b2bp1/q2B3p/2P2P2/5NPP/PP5K/2RQ1R2 w - -,a2a3
r4rk1/2q2p1p/p2p1bp1/3Pp3/1p1nB3/3QB1P1/PPP2P1P/R1R3K1 b - -,c7d7
6k1/3b1p2/7b/2BpPn1p/2p2P2/7K/1PP2R2/8 w - -,h3g2
1r6/3k1b1p/5pp1/rPp2P2/P1PpP3/1K1B4/R5PP/4R3 w - -,e4e5
1rB2r2/p5bk/7p/7p/3B4/3N2P1/PP2PP1P/R5K1 b - -,g7d4
rnbqk2r/1pp1ppbp/p2p1np1/8/2PPP3/2N1BP2/PP4PP/R2QKBNR b KQkq -,b8c6:e8g8:f6d7:b8d7:c7c6
2r1k2r/1pq2ppp/p1nBpnb1/3p4/3P4/P1NBPN2/1P3PPP/2RQ1RK1 b k -,c7d6
5rk1/p7/7p/2Np2p1/1Pb1p3/P5P1/6PP/4R2K b - -,e4e3
2r2rk1/1p3pp1/3p4/p1n2P2/P3Pp2/1bN2B2/1P4R1/6RK b - -,f7f6
8/8/p6p/P6N/1Pk4P/5P2/4K3/7n b - -,c4b4
r1bqkb1r/pp1p2pp/2n1pn2/2p5/4P3/2PB4/PP3PPP/RNBQK1NR b KQkq -,f8e7
1r3rk1/1p3pb1/p3q1p1/1b1pn3/1P1BP3/P5P1/B1P2R1P/Q2R2K1 b - -,b5c4
4r1rk/1p5p/p1bp2q1/3Npp1n/P1P2P2/1P1QB2P/4NbP1/5RK1 w - -,f1f2
4rqk1/2p2p2/1p1prnp1/7p/1PP1PP1P/4RBP1/3Q2K1/4R3 w - -,e3e2
3r4/5p2/3kb3/pp1p1p2/3P1N2/1P2R1P1/1P1K4/8 b - -,b5b4
6R1/8/p1b2N1k/8/1P6/5P2/4n1PK/3r4 b - -,d1d6
r3qrk1/pbn1b2p/1p1p2p1/2pP2N1/5PpP/P1NQ2P1/1P1BP3/R3K2R w KQ -,e1c1
6k1/4qp2/N1p2r1p/2P3p1/3Pp3/2K1P3/8/2R1Q3 w - g6,a6b4
r3k2r/1bpnqppp/1pn1p3/p1b1P3/8/2P2NP1/PP1NQPBP/R1B2RK1 w kq -,f1e1
2rr1n2/p3qpbk/R5pp/P1p1p3/P1B1P3/5N1P/2Q2PP1/3R2K1 b - -,d8d1
1r2k2r/2q1bp2/4p1pp/1b1pP3/1pnP1Q1P/3B2N1/R2N1PP1/1R4K1 b k -,c4d2
k6r/p1q5/3b1p1p/2p2Q2/1pP1b3/5N2/PP3PPP/2KR4 w - -,f5e4
3r1rk1/pp4p1/2p1p2p/4Np1P/2PP4/4P1n1/PP4P1/2K1R1R1 w - -,e5g6
r4rk1/pbpnqp1p/1p1p1np1/3Pp1N1/1PP5/P2BP3/2QN1PPP/R3K2R w KQ -,h2h4
rn1qkb1r/pp2pppp/5nb1/2ppN3/6P1/1P2P2P/PBPP1P2/RN1QKB1R b KQkq -,b8d7
4k3/8/2P5/1p2Pp1p/1P3p1K/5n2/5B1P/8 w - -,h4h5
5rk1/6pp/pp2rqn1/2P2p2/P3p3/Q5P1/2R2PBP/2R3K1 b - -,b6c5
r1bqkb1r/p3pppp/2pp1n2/8/4P3/3B4/PPP2PPP/RNBQK2R w KQkq -,e1g1:c2c4
2b5/5k1p/1p4p1/2b5/6PP/5K2/8/1R6 w - -,f3f4
3rr1k1/ppp3pp/8/3b4/2Pb4/N7/PP4PP/R1B2R1K b - c3,d5c6
8/8/3p3p/3Pk1p1/4P2P/5K1b/8/7B w - -,h4g5
6k1/1p6/2b4p/2p2pp1/2Pp1qn1/1P1P1N2/1Q4BP/4N1K1 w - g6,b2e2
2r4k/1p1b1p2/5n2/p2p2pP/P2N4/1P1BPP2/5K2/2R5 w - -,c1c8
2k2r2/1p6/p1b1Q3/3p4/1P1Bp1Pp/P7/B5PK/5q2 b - -,c8b8
2r1r1k1/p3b1p1/6q1/2p2b1p/Pp1pNP2/3P2P1/1P2Q1BP/2R1R1K1 w - h6,g2f3
r1nq1rk1/4bppp/1p1p4/p1nPp3/P1P2P2/RN2B3/1P1QB1PP/5R1K b - -,a8a7
4n3/3Nkp1p/6p1/q1p5/8/4Pb2/2Q4P/3R1K2 b - -,f3d1
1b6/3nq1k1/1pQ1p1p1/1P1p3p/P2P1P1P/1B1N2P1/6K1/8 w - -,b3c2
3r1rk1/1p2bpp1/p3q3/2Pp2p1/1P1Pp1P1/6BP/3Q2B1/R4RK1 w - -,d2e3
r4rk1/1p4bp/p1ppbqp1/5p1n/3P3P/2NBPN2/PPQ2PP1/K2R3R w - -,f3g5
8/8/3B4/2n2k2/1r5P/6K1/5N2/8 b - -,b4b3
2r5/pp1brpRk/4p2p/3pP3/7Q/2P1R2P/P1q2PP1/6K1 b - -,h7g7
5rk1/1pp4p/p1p3p1/b7/4Pn2/1P1r1PN1/PBR3P1/5RK1 w - -,g1h2
7r/p4kp1/Pp3p2/3p1q1n/1NnPr3/2P1p1B1/2Q1P2P/R5RK w - -,a1f1
8/2k5/p1p5/2P3p1/PP1KRr1p/7P/8/8 b - -,f4f3
R7/6b1/2r1k2p/p4ppP/8/3N2P1/3K4/8 b - -,g7c3
r1b1r1k1/pp3ppp/1bnq4/3p2B1/4n3/1NPB1N2/PPQ2PPP/R4RK1 b - -,c8g4
5rk1/q5bp/4b1p1/p4P2/1Pn1B1P1/3Q4/7P/5RK1 w - -,g1h1
