6k1/7p/4N1p1/1p4P1/4B3/1P4K1/r6P/8 w - -,e6d4
3rrn1k/6bn/R1Rp4/2pP1p2/1p3P1P/4BB2/1P2NK2/8 w - -,b2b3
1qrr2k1/3nbppp/pn2p3/1p1pP3/1P1PQ2P/P4N2/1B3PP1/2R1RBK1 w - -,e4g4
1r1q1rk1/2nbppbp/p2p1np1/1ppP4/P1P1PB2/2N2N1P/1P2BPP1/R2Q1RK1 w - b6,a4b5
1r1r2k1/p4bb1/1qp4p/4p1p1/P3Pp2/2R2N1P/1PQN1PP1/2R3K1 w - -,b2b3
2r5/6k1/p3p1n1/1q2r2p/1p1Q3P/4B3/PPP3P1/4R2K b - -,g7g8
8/7p/5pkP/1p4p1/1P1B4/2K2b2/8/8 w - -,c3d3
8/6k1/2R5/1p6/2p2P2/1rN2K2/7P/8 b - -,b3c3
8/1p6/p1p5/6kP/4R3/1PPr1p1P/1P3K2/8 b - -,g5h5
6k1/1p3p2/p5p1/2P1p3/1P1n3p/P1Q2B1P/5qP1/3K4 b - -,e5e4
2kr1b1r/ppp2ppp/4pn2/3p1q2/1n3P2/NP2P3/PBPPB1PP/R2QK2R w KQ -,g2g4
8/8/7k/5pR1/5P1P/6P1/8/1r4K1 w - -,g1h2
r2q1rk1/pb2bppp/1pn1p3/3n4/2BPN3/P4N2/1P2QPPP/R1BR2K1 w - -,e4g5
1r2b3/4bpkp/pn4p1/Np2p3/1P2P3/PB2BP2/5KPP/3R4 w - -,d1c1
5k2/4bppp/4p3/1Np1P3/1nB1b3/6P1/pB2PP1P/6K1 b - -,e4d5
6R1/8/5r2/8/8/7P/6PK/4nk2 w - -,h3h4
1r4k1/5ppp/2q1p3/2p4N/1p1b4/1Q1P2PP/P4P1K/5R2 b - -,b8a8
r1b1kbnr/ppp1pppp/8/8/2Pq4/3P4/PP3PPP/RNBQKB1R b KQkq -,c7c6:e7e5:g8h6
8/5k1p/3r4/1p4p1/1Pn1P3/5K2/R6P/B7 b - -,d6d3
7r/4nkp1/3p1p2/p2PP2p/1p2P2P/3B2PK/PP2R3/8 b - -,f6e5
r4rk1/1p2b1pp/p2pb3/P3p3/2q2P2/1N2B3/1PPQ2PP/2R2RK1 b - -,a8c8
r1bq3r/ppk1b2p/2n1p3/2ppP2P/5BQ1/2PB1N2/PP4P1/3RK2R w K -,h5h6
r2q2k1/1p2p1b1/p2p3p/3NBrp1/2P5/5P2/PP1Q1P1P/R3R1K1 b - -,g7e5
8/5pkp/6p1/2p2p2/4nP2/P5PK/3r3P/3NR3 w - -,d1e3
5kr1/2p5/3b4/pQ2p2p/4P1rP/2P3B1/PP3PP1/6K1 w - -,b5a5
3k4/1K6/7p/1P5B/5bP1/8/8/8 w - -,h5g6
8/2k3p1/5b1p/P3p2P/2B1K1P1/P4P2/8/8 w - -,e4d5
2k5/Qpq2pp1/4pn1p/4N2P/2P2r2/2R5/PP4P1/1K6 w - -,a7a8
8/5pkp/2p2n2/pr3n2/8/PP1R1N2/3R1PK1/8 b - -,f6d5
7k/1R6/2r1n2p/2b2Bp1/8/5PP1/5P2/6K1 w - -,b7h7
3r1rk1/5pp1/3b2bp/1p1Bp3/3nP1P1/1P4N1/1B3PP1/2RR2K1 w - -,b2d4
r1r5/p3bkpp/1p6/2Pp1p2/PPbPp2P/4B1P1/3K1P2/1RR5 b - -,a8b8
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/4P3/2NP2P1/PPP1NPBP/1RBQ1RK1 b - -,a7a6:d7d5
rn1qkb1r/pp3ppp/4bn2/3pp3/2P5/4P3/PPN2PPP/RNBQKB1R w KQkq -,c4d5
r1b1r1k1/1p2qpbn/2ppn1p1/7p/1PPNPP2/2N3PP/1B3QB1/3RR2K w - -,d4f3
4k2r/1b3p1p/p3p1p1/1p1pP3/PQBq1P2/8/1P4PP/R4RK1 w k -,g1h1
2r3k1/1b3p1p/4p1p1/1P2P3/p4P2/N5PP/P4K2/3R4 w - -,d1d4
8/8/1k5p/5p2/1p6/3Rn1qP/6B1/2R4K w - -,g2f1
r3kb1r/pp1n2p1/2p3p1/5pP1/2PPp2P/1P6/1P1B1P2/2KR1B1R b kq -,c6c5
8/3R2p1/1p4k1/pnb4p/8/P5PP/6K1/4R3 w - -,e1e6
8/7R/2k1r1p1/3p4/6P1/5K2/7P/8 w - -,h7a7
6k1/2p3rp/1p6/p1pPp2p/P1P1n2P/1PR3P1/6KN/8 w - -,c3e3
8/2p5/2p1k3/4p3/p1p1P3/P1P1R3/1PK5/7r b - -,h1h4
r1b2rk1/pp2ppb1/3p1np1/qN2n2p/P3P2P/1PP1BPN1/3Q2P1/R3K2R b KQ -,a7a6
3r1k2/ppN2p2/6p1/2q5/1b2n3/1Q3pPb/P4P1P/R1B2RK1 w - -,c1e3
rb3rk1/1R1R1p2/p1N2Ppp/P7/4p2P/4P3/5PK1/8 b - -,g6g5
r4rk1/2qnppbp/p2p1np1/P1pP4/4P1b1/2N5/1P1NBPPP/R1BQ1RK1 b - -,g4e2
r1b1kb1r/2q2ppp/p2ppn2/1p6/2B1PP2/1NN1B3/PPPQ2PP/2KR3R b kq -,b5c4
3r4/rR3ppk/p2P4/1p3P1p/2pR2P1/2Pbp2P/PP4B1/4K3 b - -,a7b7
8/8/1p3kP1/5b1B/1P1p1K2/8/8/8 b - -,f5c2
8/1p1nk3/4p3/pP3p1p/P2R3P/6P1/2r1KP2/3N4 w - -,d4d2
r1bqk1nr/pp3ppp/2N1p3/2bp4/8/6P1/PPP1PPBP/RNBQ1RK1 b kq -,b7c6
5r2/4N1pk/8/ppp3Rp/6b1/K7/PPP5/8 b - -,f8f7
2r2rk1/pp3pp1/5q1p/2nB4/1Q1N4/4P1Pb/PP2KP1P/R6R b - -,f8d8
2q1r1k1/1p1brppp/p2P4/P1p1p1n1/2P3P1/3B1P1P/RPN4K/3Q1R2 b - -,e7e6
4k3/5pp1/1Pn1p3/3pP3/2b4P/5q2/2Q2P2/1RKN4 w - -,c2a4
6k1/7p/R5p1/5p2/P3nK2/4N1P1/2Pr3P/8 b - -,d2h2
r1q3k1/5ppp/p3pb2/P7/1p1P4/1N6/1P2QPPP/5RK1 w - -,f1c1
r3n1rk/ppp2B2/n2pPq1B/4bp2/1PP1p3/6N1/P4PP1/1RQ2RK1 b - -,f5f4
8/8/6p1/7p/4kP1P/6P1/6K1/1n4N1 b - -,b1d2
2r1r1k1/3q1pbp/p2Pp1p1/Np1n4/2p4P/2P2QB1/PP3PP1/3RR1K1 b - h3,h7h5
8/3N1pk1/p3p1pp/5n2/4q3/2Q4P/1P3PPK/8 b - -,e4d4
8/1p1k1p2/2p3p1/Q7/1Pq5/4P1P1/5P2/4K3 w - -,a5b6
6k1/6pp/5p2/PR2p3/8/4P1P1/5K1P/3r4 b - -,d1d2
3r4/2pNnk1p/p1n5/1p6/1P4p1/P2P1pP1/5P1P/2RRNK2 b - -,d8d7
8/pp3k2/6p1/4b3/7p/5P2/PPR5/5K2 w - -,f1g2
r1b2rk1/2qnbppp/p2ppn2/1p4B1/3NP1PP/2NB1P2/PPPQ4/2KR3R b - g3,d7e5
6N1/3n1p2/k4r1p/8/7R/7P/5P2/5K2 b - -,f6g6
3r2k1/1b1rbpp1/pq2pn1p/1p6/2pPP3/P1R2NP1/1PQN1PBP/3R2K1 b - -,f6g4
2r4r/1N2kppp/p3p3/4P3/1pB2P2/2P5/P2K2PP/n6R w - -,b7d6
8/1p6/8/k7/8/K7/8/8 b - -,a5b5
1r1q1rk1/1bp1Bppp/4p3/1p1nN3/3P4/1QP3P1/4PPBP/R2R2K1 b - -,d5e7
6k1/R7/3p2qp/3Pp2p/4P3/3p1PP1/1Pn2K2/2R5 w - -,a7c7
rr4k1/5pb1/q2p2pp/1PpPp3/b3P3/1NQ4P/P3BPP1/RR4K1 b - -,a4b5
r3nbk1/ppr2q1p/3p2p1/2pP1bB1/8/PQ1BN3/1P3PPP/3R1RK1 b - -,f5d3
2nr4/p4k2/1p2pp2/4P3/P2P1P2/BP2K2p/7P/6R1 w - -,g1g3
2rq1rk1/pp2ppbp/2n2np1/5b2/8/PBN1PN2/1P3PPP/R1BQ1RK1 b - -,d8a5
r4r2/2p4k/p1Pp2pp/P2Q4/1PBbp3/2q4P/4RPP1/3R2K1 b - -,d4a7
2rq1rk1/5p1p/Q1bp2p1/3B1p2/4P3/2b4P/PP3PP1/R4RK1 w - -,b2c3
r2qk2r/ppp1b1p1/2n1b3/5p1p/3Pp2P/2P2PP1/P3P1B1/R1BQNRK1 b kq -,e7h4
2rq2k1/3n1ppp/pr2pn2/Rb6/3PP3/1N2Q1P1/3N1P1P/R4BK1 w - -,f1b5
4r1k1/2p3p1/r1bp2qp/P1n2p2/2P5/4PP2/R2B1QPP/1R3BK1 w - -,a2b2
r4rk1/ppq1p1bp/2p2pp1/2Pp4/3PnPb1/4PN2/PP1BB1PP/2RQ1RK1 w - -,b2b4
2k4r/1p2q1p1/p2bp3/2p5/2pP1PP1/8/PP2Q3/R1B2RK1 w - c6,c1e3
8/n5k1/1pP3pp/1P2Bp2/7P/4KP2/8/8 b - -,g7f7
2rr2k1/pb2qppp/3npn2/PPpp4/2P5/2Q1P3/1B1NBPPP/R2R2K1 w - -,f2f3
2k2r2/1p2p1P1/1B4p1/Pp2q2p/1P6/2P4P/6P1/7K w - -,g7f8r
r1b2rk1/pp2b1pp/2p5/q2p1P2/3PnB2/3BPN2/PPQ1KP1P/R6R w - -,h1g1
8/8/8/2k1K3/4P3/8/8/8 b - -,c5c6
r3r1k1/ppp2ppp/8/2bP4/P2N4/2B2B2/5PPP/3R2K1 b - -,a8b8
3b4/2p5/3p2k1/rP1Pp2p/4P3/5KP1/8/4B3 w - -,e1a5
8/6p1/2k5/p1p1rp1p/Pp3n1P/1P3PP1/2R2K2/8 w - -,g3f4
4rbk1/ppr2ppp/4q3/P1n5/3B4/5NP1/1Q2PP1P/R2R2K1 w - -,d4e3
2rq1rk1/1p3ppp/p2pb3/3Np1b1/3nP3/1B2N3/PPP2PPP/R2QK2R w KQ -,e1g1
2kr4/1p1n1pp1/p3p2p/4q1bP/1PP5/PN1RB1P1/4QP2/2K5 b - -,e5e4
r1b2rk1/1pq2ppp/4p3/Pp6/4n3/2P2N2/P1Q2PPP/R1B1K2R w KQ -,c1a3
8/8/1q4k1/3p1p2/1K1P4/1P1QP3/8/8 w - -,b4a4
3r2k1/5bq1/2p2Qpp/p7/P1p2N2/6PP/1PP2P1K/8 w - -,f6d8
r1r3k1/1bq1bppp/pn1pp3/N1n5/4P1P1/2N1B2P/1PP1QP2/R2R1BK1 b - -,b6d7
r1b5/2Q5/4p3/pp1pP2P/8/kPP1KP2/2q5/1RR5 b - -,c2f5
q2r2k1/1br5/p6Q/1p6/8/P1NB4/1PPR2PP/7K w - -,h6e6
8/4kp2/2n1p1pp/8/2N5/4P1P1/5PKP/8 b - -,e7f8
8/2r2k1p/3q1pp1/3P3n/1ppQ1PN1/5KPP/1P6/R7 w - -,a1a8
6k1/1R3p2/1p4p1/3p4/1r5P/8/5P1P/5BK1 w - -,b7d7
2rq1rk1/pb3pp1/1p2p2p/2nP4/4PQ2/1B3N2/P4PPP/3RR1K1 b - -,d8f6
8/p3p3/3p1kbp/p2Pq1P1/8/P1N2PP1/1P1Q1K2/8 b - -,h6g5
r2qr1k1/ppp1nppp/3bbn2/3pN3/3P4/2PB3P/PP1N1PP1/R1BQ1RK1 w - -,f1e1
rnbk3r/1p2ppb1/p6p/2p3p1/8/N1P1PNP1/PP3PP1/R3KB1R w KQ -,e1c1
r1br2k1/pp2qpp1/2n1p2p/2b1Pn2/8/P1NB1N2/1P2QPPP/R1BR2K1 w - -,c1f4
r5k1/1r1nppb1/q2p2pp/3P4/P1p1P2P/1P3NP1/2QB1PK1/1R2R3 w - -,b3c4
2r3k1/pp1bppb1/3p2p1/5PBp/1q2P2P/3QN3/P1P3P1/2K4R b - -,b4b2
8/r2r1pk1/2pP2p1/p1p1R1P1/8/2P5/P4PK1/3R4 b - -,a5a4
8/2k5/3p4/pn1Pp1pp/4P3/3K2P1/8/3N4 w - -,d1f2
r4rk1/ppp1q1pp/2npbn2/4p3/2B1P3/2BQ1N2/PPP2PPP/2KRR3 w - -,f3g5
8/5q1p/2p5/6pk/4R3/6B1/4R1K1/8 w - -,g2h2
1r5r/1p1q4/2p1b1k1/1PPpb1p1/R2p1pP1/1Q1P1B2/3BPP2/5KR1 w - -,a4b4
r4rk1/1p1qbppp/p1n1bn2/3p4/P1pP1B2/2N1PP1P/1PB1N1P1/R2Q1RK1 w - -,e3e4
r1b2r2/p5kp/2pnpqp1/3p4/N2P4/1P3N2/P2Q1PPP/R3R1K1 w - -,a4c5
2r5/4k2p/p2p2p1/Bp1Pp3/P2bB3/1P5P/n2K2P1/1N6 w - -,e4d3
8/3p2pp/p2k4/5p2/Pb1N1P2/3P4/6KP/8 b - -,g7g6
6k1/5pb1/b1N4p/1rP2pp1/3P4/1p2P1P1/5PBP/1R4K1 w - -,g2f1
2r5/pp3pk1/3pbq1p/6p1/4P3/P2Q2P1/1r1N1PP1/3RR1K1 w - -,d2f3
8/1bn2B2/4p3/p3Np2/P2k1Pp1/1P4P1/3K3P/8 w - -,e5c4
4k3/7R/5p2/4r2p/3p4/5pP1/5K2/8 w - -,h7a7
r2q3k/pp2n1b1/3p3p/1PpPp3/P2PNP1r/1Q5B/1B5K/1R3R2 b - f3,e5d4
r1b2rk1/1p3ppp/1qnp1n2/p3pP2/1bP1P1P1/1NN5/PP1BQ2P/2KR1B1R b - -,a5a4
2kr4/p1p3pp/2n1p3/np2r3/2p1P3/P1K5/1P1NBPPP/3R3R w - b6,f2f4
r3k2r/1pp2ppp/p1p2nb1/8/3qP1P1/3PN2P/PPP2P2/RN1Q1RK1 w kq -,b1d2
r5k1/6pp/3p1p2/2nPp3/p3P2P/Rn2BP2/6P1/5BK1 w - -,f1b5
8/p1p3b1/bp1p3p/5k2/2PP4/2P2K1P/PN1B4/8 w - -,b2d1
1k5r/1p1rB3/p2p4/q3pp1p/1RQ4P/8/2P2PP1/4K2R w K -,e7g5
5R2/3r1p1k/1bp5/p4NPp/P2PKP1P/8/8/8 w - -,f8b8
8/1pB2kp1/2n4p/2P5/1Pn3PP/3N4/5K2/8 b - -,f7e6
r2q1rk1/pp1nppb1/2p1b1p1/7p/N2P1BPP/8/PPPQBP2/2KR3R b - -,e6g4
4r1k1/p2qr1pp/1p1p1p2/2pP4/2P1PP1P/2Q3P1/P3R1K1/4R3 w - -,e4e5
2BB4/5k2/pp4pp/8/PP6/4b1P1/4b1KP/8 w - -,a4a5
r4rk1/p1q1bppp/2bppn2/1p6/P2QP3/2N1BPP1/1PP2RBP/3R2K1 b - a3,e6e5
r1b2rk1/2np2bp/3Rpnp1/2p5/P7/2N1PN2/1P2BPPP/R1B3K1 b - -,c8b7
r1b5/pp2kN1r/1n3pR1/2p1p2n/4P3/1B2R2P/PPP1NP2/2K5 w - -,f7e5
5rk1/3r1pbp/1pB1b1p1/4P1P1/R4P2/2N2P2/1PP4P/2K4R b - -,d7c7
1rbqk2r/2p1nppp/3p1n2/1p6/4PP2/1BQ5/1PP3PP/RNB2RK1 w k -,c1e3:c3d3:e4e5:b1d2
5n2/1p2k3/6p1/p1p1pp2/2Pb3p/PB5P/1P1R2P1/1K6 w - -,b3d1
6k1/3rpp1p/p6P/Pp1r2P1/8/2P3R1/2KPR3/8 b - -,d5f5
5rk1/5P2/2N3p1/1pq5/1bp2Q2/6RP/1P3PP1/6K1 b - -,f8f7
2q4r/p2b1k1r/1p3p1p/2p3p1/3pPpP1/3P1Q1P/PPP2K1N/5R1R b - -,h6h5
b4k2/3n2p1/1p1N1q1p/1Pp1pQ2/2P5/5PPn/1BB4P/5K2 w - -,f3f4
5rk1/1R3pbp/2p3p1/p2n4/3q4/PB3QBP/1P3PPK/8 w - -,f3e2
8/8/3n1pk1/6p1/4P3/3K2P1/5R2/8 w - -,d3d4
rBb1k1nr/5ppp/pqp1p3/1p6/P1pP4/2P1PQ2/5PPP/1R2KBNR b Kkq -,a8b8
8/8/8/6p1/7p/7P/3k2K1/8 w - -,g2f2
2r3k1/2q2pp1/4p1p1/1p1pP3/1Pr2P2/3Q3P/R3N1PK/4B3 b - -,g6g5
1r1q1rk1/5pbp/3N1np1/2p5/1p1n1P2/3P2P1/1PP2QBP/R1B2RK1 w - -,d6e4
r7/7p/3pk3/5pp1/1PK1p3/p1P2PPP/8/R7 w - -,f3e4
r2r2k1/3q1pbp/4p1p1/8/p2PNP2/Q3P1P1/7P/1R3RK1 b - -,d7c6
8/5pk1/3prn2/5R1p/q3P2P/5BP1/1Q4K1/8 w - -,f5h5
5r1k/1R6/p2p4/4b2N/P3Rn2/8/1P3K2/8 b - -,f4h5
r1bk2nr/pp1p1pb1/2nP3p/2pN2N1/5B2/8/PPP1BPPP/2KR3R w - -,g5f7
r1q2rk1/1p1b1pbp/n2p1np1/p2Pp3/2P3PP/2N1B3/PP1NBP2/R2QK2R w KQ -,g4g5
1nrr2k1/p1q1bppp/1p2p3/2p1P2P/2P1RB2/P2B1Q2/1P3PP1/4R1K1 b - -,b8c6
8/1pk2p1p/2p2p2/8/p1P1p3/P3RK2/1P1r1n1P/1B6 w - -,b1e4
r1bqk2r/pp2ppbp/2n2np1/3p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R b KQkq -,e8g8
2r1rk2/pb3p2/1p2pbp1/2p5/2PP4/2PB2Q1/P4P2/2K3R1 w - -,d3g6
r4rk1/pp1b2pp/1qn1pn2/3p4/3P1N2/3B1N2/PP1Q1PPP/R3R1K1 b - -,a8e8
r3r1k1/1pp1qpp1/2np3p/p1n5/2P1PPbP/P1BBR1P1/1PQ2K1N/4R3 b - -,g4d7
3rr1k1/6pp/1p2pp2/p1nq4/P2B1P2/1P2RQP1/2PR2KP/8 b - -,d5d6
3nr1k1/1p2qppp/8/1PR1p1P1/p7/P3QP2/1B2PK1P/8 b - -,f7f6
r1b2rk1/pp1n1ppp/5n2/q1Pp4/7B/2QBP2P/PP3PP1/R3K1NR b KQ -,a5c3
8/5p2/pp5k/2p1P3/5P2/P2KP3/1P4rp/7R b - -,g2b2
6R1/8/8/5rb1/4K1k1/8/8/8 w - -,g8g7
r1b2rk1/pp3ppp/2n5/8/3p4/5NP1/PP1qPPBP/2R2RK1 w - -,f3d2
rn1qk2r/pp2bppp/2p1pn2/3p4/2PP4/2NBPQ2/PP3PPP/R1B1K2R w KQkq -,e1g1
rn1q1rk1/p2n2pp/bppbpp2/8/2PPP3/3N2P1/P1QB1PBP/RN1R2K1 b - -,d8e7
r1b1r1k1/1p1n1p1n/p2p2pb/2pP3p/1q2P3/2N1NP2/PP1QBBPP/R4RK1 b - -,b4d4
3brq2/2kbnR1R/1r1p1p2/p1pPpN2/PpP1P1P1/1P1B1QN1/5PK1/8 b - -,f8g8
4r1k1/R2b1p2/Q2B2pp/2pP4/1p1b2P1/5B1P/5PK1/4q3 w - -,d6g3
5r2/pp1kb3/4p3/3p3p/1P1P1Pp1/P3B2P/4K3/5R2 b - -,g4g3
8/3R2pp/4n3/4kp1K/3p4/8/8/8 b - -,d4d3
5b2/8/4Q1k1/1p1P4/2p5/2P4P/3q2P1/7K b - -,g6g7
r4r2/1pkn4/2p1p2p/p1Pp1pp1/PP1Pn3/1R1NP1P1/R3BP1P/6K1 b - -,a5b4
r1nq1rk1/1p1n1pbp/p2pp1p1/2p5/2PPP3/2N1BN2/PP1Q1PPP/R4RK1 b - -,c8b6
5rk1/p2PRp1p/1p3p2/8/1r6/2n3P1/P1R2P1P/5BK1 b - -,c3d5
3k4/2r3b1/1pq3pp/p2B1p2/P2P4/1P2PQP1/4RPK1/8 b - -,c6f6
r1b1k2r/2q1bpp1/pp1p1nn1/2pPp2p/BPP1P3/2N1BP2/P2QN1PP/R3K2R b KQkq -,c8d7
rnbqk1nr/pp2ppbp/2pp2p1/8/P2PP3/2N2N2/1PP2PPP/R1BQKB1R b KQkq a3,g8f6:c8g4:a7a5
8/5k1p/3p2p1/pp1Pp3/7P/1Pr2PK1/P2R2P1/8 w - e6,d5e6
8/8/8/8/6K1/7p/1pk4P/5R2 b - -,b2b1q
2r1r1k1/pbq2pp1/1p2pn1p/8/3PP3/1B3P1P/P2Q2PN/3RR1K1 w - -,h2f1
4r1k1/p3bp1p/1p2p1p1/q2b4/2rP2N1/P1PQ1P2/6PP/2BRR1K1 w - -,c1d2
r1b4r/1p2kppp/p2pp3/2n4n/3NP3/1BN5/PPPR1PPP/5RK1 b - -,h5f6
8/1p3pk1/8/PR4P1/5PK1/r7/8/8 b - -,g7g6
8/p3k3/3b4/8/7r/P2R4/8/3B1K2 b - -,h4f4
8/6p1/5p2/1nB1pk1p/7P/3K1PP1/8/8 b - -,b5c7
8/6k1/3R1p2/8/5PP1/5K2/8/r7 b - -,a1g1
r1bq1rk1/4bppp/p3p3/1p2P3/2nPN3/5N2/PP1B1PPP/2RQ1RK1 w - b6,b2b3
8/3n1p2/p1pk4/Pp1p1Pp1/1P1K3P/2P2B2/8/8 w - -,h4g5
r1b2rk1/ppq1bppp/2nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1R1K b - -,c6d4:a7a6
3r4/3PR2K/8/3kP2p/Bp6/7n/8/8 b - -,h5h4
8/1pk2r1p/1Np3p1/1PP2n2/P7/3R4/7P/4K3 b - -,g6g5
r5k1/3p1p1p/3Pbn2/1p2p1p1/rP2P3/P2NPBP1/7P/R1R3K1 w - g6,c1c3
r2q1rk1/pp3p1p/4b1p1/2ppP3/5Q2/P1PB4/1P3PPP/R3R1K1 b - -,c5c4
3r4/p5kp/3r1pp1/2p1q3/8/PP1n2PP/1PQ3NK/3R1R2 w - -,d1d2
2r2rk1/1p2bpp1/pq1pbn2/6p1/4PB2/2N4P/PPPQ2B1/1K1R3R w - -,f4g5
1r4k1/2qnbp1p/2p1pnp1/2Pp4/Q2P1P2/2NBP3/3B1P1P/1R4K1 b - -,b8b1
r5k1/pbpP1ppp/1p1b4/4q3/2R5/1P2P1N1/P4PpP/3QR1K1 w - -,d1d4
r4r1k/3Bn3/ppp1P1p1/3b1p2/P5P1/1N2R2P/1P6/5RK1 w - -,b3d2
r3k2r/2q1b2p/p1p2n2/2pp1B2/3P1P2/2N5/PPQ4P/1K1RR3 b kq -,e8g8
rq2k2r/1p1bbp1p/p1nppp2/8/3NP3/2N3P1/PPP2PBP/R2Q1RK1 b kq -,b8a7
8/p1R2Qpk/1p1r3p/5q2/8/1P4P1/P4P2/6K1 b - -,d6d1
8/1k4p1/p1p2p2/PpP2P2/4P3/2R1KP1P/1r6/3r1B2 w - -,f1d3
2r2r2/1p2npkp/1q1p2p1/8/1P2N3/1b1PP1P1/1Q3PBP/4NRK1 b - -,f7f6
r1bq1rk1/pp2n1pp/5p2/2bp3Q/B2p4/3P1N2/PPP2PPP/R1B2RK1 w - -,f1e1
8/5k2/p2n2p1/1p1b1p1p/7P/P1B1KP2/1P4P1/3B4 b - -,f7e6
8/R4p1p/4nk2/8/1r6/6P1/5PK1/8 w - -,a7a2
8/5pp1/4p1k1/3n1n1p/3R1P1P/1P6/5K2/2R5 b - -,f5d4
r1b2rk1/1p2bp1p/p3p3/4qp2/2B5/1P2P1N1/P1Q2PPP/R2R2K1 w - -,a1c1
8/1pb1k3/2p2ppp/8/2N1PPPP/4K3/6B1/1b6 w - -,g2f3
2q1rbk1/1p3pp1/7p/1P1p4/1n1P1BP1/1b5P/3N1PB1/2R3K1 w - -,c1c8
r2r2k1/4qpp1/2p1p2p/1p2n3/p2P4/P1P4P/1P2QPP1/3RR1K1 w - -,d4e5
rq3rk1/pb2bppp/1p2p3/1N1pP3/Pn2nP2/2N1BB2/1PP2QPP/R4RK1 w - -,c3e4
3rrk2/1p3ppp/p4p2/2n5/2B5/8/PPP2PPP/R2R2K1 w - -,c4d5
8/1Q6/p3r1k1/8/P5K1/8/8/8 b - a3,g6f6
1rb2r2/p5bk/4p2p/2N4p/3P4/4B1PB/PP2PP1P/R5K1 w - -,c5d3
6r1/1k3p1r/2p1p1n1/p2pP3/Pp1P4/1P1P2BP/2R4K/7R w - -,c2c5
4k3/5p2/p3p3/qp6/4P2P/P1r2P2/1QP5/1K1R4 w - -,h4h5
3r1k2/5ppp/4p3/6Pb/4KP2/PpP4P/3p4/R2N4 b - -,h5d1
rn2nrk1/ppq2pbp/3p2p1/2pPp3/1PP1P3/2N2BPP/P2B1P2/1R1Q1RK1 b - b3,b8d7
3R4/1B2kp1p/p5p1/Pb6/4P3/5P1P/r5P1/6K1 w - -,d8a8
r4rk1/p2bppbp/n5p1/q1P4n/2Q2B2/2N5/PP1NPPPP/R3KB1R w KQ -,f4e3
1r3r1k/3q3p/3p2p1/3Nppb1/1P2P3/3Q1P2/R5PP/R5K1 b - -,f5e4
