1k6/R4r2/8/2p5/1b2R3/4P3/KP6/8 b - -,b8a7
r3k2r/1p1qbp2/p3p1pp/P2pP3/1P1P1B1P/nR1Q1NP1/5P2/2R3K1 b kq -,a3c4
4r1k1/p1p2rp1/1pR4p/2Pp4/2nP1PP1/2P5/7P/2B2RK1 w - -,f4f5
8/r4pp1/P1knp2p/3p4/3P4/R2K4/5PPP/1R6 b - -,d6c4
r2qkbnr/1pp3pp/p1p2p2/4p2b/4P3/3P1N1P/PPP2PP1/RNBQ1RK1 w kq -,c1e3
5k2/p4pp1/2b1p2p/2N5/4PPP1/1P3B2/3n1K1P/8 b - -,f8e7
q3r1k1/1p2ppbp/2p1b1p1/n7/p7/B1P1P1P1/P3QPBP/R2R2K1 w - -,e2c2
r2r2k1/4bppp/1q1p1n2/1p2pB2/p3P2P/5P2/PPPQ2P1/1KNR3R w - -,c1d3
1B3b2/8/8/4PkPK/8/8/8/8 w - -,g5g6
3rk2r/1p3pp1/p1n1pnp1/q1b5/N5P1/1P2P2P/P3QPB1/R1B2RK1 w k -,a4c5
r3k2r/pp4bp/1qn1pp2/3p4/QP1P4/P2BPN2/6PP/R3K2R w KQkq -,e1g1
5r2/2q1k3/1b3p2/p2Q1R2/PpP1p3/1P4PP/7K/8 b - -,f8f7
8/5p2/p5p1/6P1/2k5/P3K2P/8/8 w - -,e3e4
1rbq1rk1/ppnn1pbp/3p2p1/2pP4/P1P2B2/2NB1N1P/1P3PP1/R2Q1RK1 b - -,d7e5
r4r2/pp1kq2p/2p1pRp1/3pN1P1/3P1Q2/2P5/PP3PP1/6K1 b - -,d7e8
8/4k1p1/3rn1Pp/3p4/1P2nP2/4PB2/PK6/3R4 w - -,a2a4
1r1k4/pr4p1/R3pp1p/1pP5/1R1P1P2/2P3PP/3K4/8 b - -,d8e7
r3r1k1/pp1q2bp/2pp2p1/8/QPRpPP2/6P1/P2B2BP/5RK1 b - -,b7b5
4rr2/1p1qp1bk/p1np1n1p/2pN1P2/P1P2P2/1P6/1B1Q2BP/4RRK1 w - -,e1e6
r4rk1/1p1n1ppp/qP1p1nb1/1R1Pp3/p3P3/2N1Q1P1/P3NPBP/4K2R b K -,d7c5
6rk/2p1r3/3p4/p2P4/2Pp1q2/P4PN1/2Q2RKP/8 b - -,e7g7
8/1p2R3/p5p1/3p2k1/P4q2/4pQ1P/6PK/8 w - -,f3g3
Q1b2rk1/p2q1ppp/4pn2/2b5/2p5/6P1/PP1NPP1P/R1B2RK1 w - -,a8g2
3rr1k1/pb2q1pp/1pp1pp2/2P1Q3/3PB3/8/PP3PPP/2RR2K1 w - -,e5h5
4r2k/6b1/5np1/1Pp2q1p/4p3/1PB3P1/1Q3PBP/4R1K1 w - h6,b5b6
r1b1k2r/pp1n1pb1/1qn1p2p/2ppP1P1/Q2P4/P1PB1N2/1P1N1PP1/R1B2RK1 b kq -,h6g5
1kn4r/1pn1bpp1/1q2p2p/3pP2P/QB1P1PP1/P2B1N2/8/2R1K3 w - -,b4a5
rnbqk2r/ppp1bppp/5n2/3p4/3P1B2/2N5/PPQ1PPPP/R3KBNR b KQkq -,c7c6
r5k1/1bpq2p1/pp3b1p/2np4/P4B2/2P2N2/1PB1QPPP/R5K1 w - -,a1e1
1r4k1/3b2p1/rqp2n1p/p1Rp1p2/P2NpP2/1PQ1P2P/1B1P1KP1/2R5 b - -,g8h7
8/5p1k/p5p1/7p/P2Q4/4P1PP/4q1PK/8 w - -,d4d5
r1b1k2r/1p3ppp/2p1p3/p2qN3/1B1Pn3/P3PP2/2Q3PP/R4RK1 b kq -,e4g3
4r1k1/1p5p/p1n1q1pb/3p1p2/4r3/1PP1P1PP/P1NBQR2/5RK1 w - -,e2d3
1r1q1rk1/p1n3b1/7p/1P1p4/2p5/5NP1/P1B2P1P/1RBQ1K2 w - -,f3d4
r3nrk1/p1q1b1pp/3p1p2/2p2NP1/1p2PP2/1P6/PBP1Q2P/2KR3R b - -,f6g5
rq3rk1/1p1b1npp/p3p3/3pPp2/1P1Q1P2/2NBP3/P5PP/R1R3K1 b - f3,f8c8
6k1/p5p1/2N4p/Np1p1pb1/1P1n4/P4P1P/6P1/6K1 b - -,g5e3
r1b1r1k1/1p2qpb1/1n5p/p3p1p1/P3P3/1B3N1P/QP3PP1/2RRB1K1 b - -,e8f8
r2q1rk1/4npb1/2p1b1pp/3pp3/2P5/1QNP2P1/3NPPBP/1R3RK1 w - -,b3c2
2rq1r2/1b3p1k/p4Pp1/1p1p1pQN/6n1/P6P/BPP5/1K4R1 b - -,d8b6
r4k2/ppp1p1bp/2np2p1/5b2/2qP4/4BNP1/PP3PBP/R2Q2K1 w - -,b2b3
rn1qk2r/pp3ppp/2pbpn2/3p3b/3P1B2/3BPN1P/PPPN1PP1/R2QK2R w KQkq -,g2g4
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2N4P/PPPPNPP1/R1BQKB1R w KQkq -,g2g4
6k1/2r3pp/p4p2/1p1rn3/8/P1Pp4/1P3NPP/3RR1K1 b - -,d3d2
8/8/1k3N2/5P2/8/pK6/8/2b5 w - -,f6e4
5nk1/3q2p1/3pp3/rpp1p1bp/4P3/NQPPN1PP/1P3PK1/4R3 w - -,h3h4
r3k2r/pp1n1pp1/2p4p/8/1b1PNB2/1P4P1/1P3P1P/R4RK1 b kq -,e8g8
2r5/2P2p2/5k2/P1R5/r6P/6P1/2R2K2/8 w - -,h4h5
8/8/2n5/8/2P3k1/5r2/4K3/1R6 b - -,f3c3
r2qk2r/1pp2ppp/p1nbpn2/8/1PBP2b1/P3PN2/1B1N1PPP/R2QK2R b KQkq -,e8g8
r4rk1/2p1R1pp/1p1p4/1N1P1b2/1PP5/6K1/7P/2R5 b - -,f8f7
4rrk1/2q4p/p1p3pQ/P2p4/1P2p1bB/2b2p2/5RPP/4RNK1 w - -,e1b1
2rq1rk1/p2n1ppp/1p2p3/8/2BP4/P1R2Q2/1P3PPP/3R2K1 b - -,d7f6
r5k1/pp4pp/1r4p1/q2p3P/n1pP4/PnP1PP2/1BQ3R1/5NKR w - -,h5g6
q7/4Q1p1/1Bb2pk1/2P1p2p/4P2P/5PK1/2P3P1/8 b - -,a8a1
2b1r1k1/ppp2pp1/1q1r2np/3Pp2Q/4P3/1BP1P1NP/PP4PK/R3R3 b - -,d6f6
rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,g8f6:c7c6
r2q2k1/5rbp/2np4/p2Np3/1pP3QP/4N2R/PP3P2/R3K3 b Q -,c6d4
2k1r3/p7/1p2b2B/2p3pP/8/1PQ5/P1P2q2/1K2R3 b - -,g5g4
2R5/2P5/8/2r2p2/4pk2/8/4K3/8 w - -,e2d2
r1bq1rk1/4bpp1/2n1p3/2ppP1PQ/p2n1B2/P2P2P1/2P2PBN/R3R1K1 w - -,h2g4
2rr2k1/1bq1bpp1/p3pn2/6Bp/P3p3/3B1PN1/1PP3PP/R2RQ2K w - -,g3e4
4r3/1p4kp/n1p3p1/1p3b2/1P1N1N2/1PK2P1P/6P1/R7 b - -,g7f6
6k1/1p3p2/p5p1/2P5/1P1np2p/P1Q2B1P/5qP1/3K4 w - -,f3g4
5rk1/ppr2pbp/2n1p3/1Q1p1qp1/P2P1n2/2P2NBP/1P3PP1/R3RNK1 w - -,f1e3
r1bq1r2/pp3pkp/2np1bp1/4pP2/1P2P3/2BB2N1/P2P2PP/R2Q1R1K w - -,d1g4
4r1k1/1p5p/p7/2PP1bp1/4rp2/1B3R2/P5PP/4R1K1 w - -,d5d6
r4rk1/4q1pp/bbp1pp2/p2p4/2P1P3/6P1/PPQN1PBP/R4RK1 b - -,a8c8
1r2k2r/1bqnbp2/pp1ppnp1/8/1PPNPP2/2N1BBPp/P3Q2P/2R2R1K w k -,f4f5
rn1qk2r/p1p1ppb1/1p2b1pp/8/2pP3B/2P1PN2/P3BPPP/RQ3RK1 b kq -,b8c6
r2q1rk1/pp2npb1/2npb1pp/2p1p3/P3P3/2PP1NP1/1P1NQPBP/R1BR2K1 w - -,d2c4
8/7r/1K1Bk3/1PP3p1/7p/5b2/P6R/8 w - -,a2a4
1n6/p1rk2pp/4pp2/R2P4/2N1P3/1P4P1/3K1P1P/8 b - -,c7b7
5rk1/2q1ppbp/2Pn2p1/1p1N4/5p2/7P/1PP1B1P1/Q4RK1 b - -,c7d8
3r2k1/p2q2p1/7p/3rb1n1/P1Rp1p2/BP1R2PP/3N1PK1/3Q4 w - -,d1g4
4r1k1/p4ppp/1r4b1/2pn4/1qp2Q2/6P1/PP1RPP1P/2KN3R w - -,d2d5
6k1/1PQ3p1/4pp2/5bp1/3P4/2K1p3/1B2P3/4q3 w - -,c3b3
8/3nk1pp/p2p1p2/1b2p3/1B6/5P2/6PP/3R2K1 w - -,d1d6
1r4k1/p3R2N/2p3pp/3b4/1P3P2/P5P1/5K1P/8 b - -,d5f7
2r2rk1/4nppp/4p3/4q3/1pNPpP2/4P3/1P4PP/2R2RK1 w - -,f4e5
5rk1/3bbppp/p1rp1n2/4p3/2q1P3/B3QPP1/P3N2P/R2R1BK1 b - -,f8c8
1r6/1P6/7p/3k1p2/1R3P2/7P/3K1P2/8 w - -,d2c3
r2q1rk1/1p3ppp/p1nbpn2/3p3b/N2P1B2/3BPP2/PP2N1PP/2RQ1RK1 b - -,h5g6
1rq1r1k1/1pp1ppbp/p1np1np1/8/PPPP4/2N3Pb/1BN1PP1P/R2QR1KB b - -,h7h5
1n6/1pr4p/p7/5k2/1P1P1p1P/P4R2/8/4BK2 w - -,e1d2
rnbqk2r/ppp1ppbp/6p1/8/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq -,f1c4
R1b1rbk1/1pqn3n/2p1r1pp/2P1pp2/1PN5/2N1B1PP/3QPPB1/3R2K1 b - -,h7f6
5B2/8/1P2p1p1/1P4K1/4bPP1/4pk2/8/8 w - -,f8c5
1qr5/3bk1p1/p2p1p1p/1r1Pp1b1/4N1P1/1P5P/PBP1QP2/1K1R2R1 b - -,b5b6
3q1nk1/1r3pp1/Q3p2p/n2pP2P/3P2N1/P4NP1/1R3PK1/2R5 b - -,b7b2
8/p1p3kp/1bR5/4r3/8/1B1K4/P7/8 b - -,h7h5
r2rb1k1/p4pp1/2p1pn2/1pP5/1q1P1RN1/3Q4/PP3P1P/1B3RK1 b - -,g8f8
r4rk1/pp1q1pbp/n4np1/2Ppp3/1P1P4/P1N3P1/4NPbP/1RBQ1RK1 w - -,g1g2
3r1rk1/pp2q2p/1np1b1p1/3npp2/8/1PNPP1P1/P2QNPBP/1R3RK1 w - -,d3d4
3r3r/1p5p/p2k4/4p3/3npp2/4N3/PPP2PPP/2R1K2R w K -,e3g4
2r3qk/5p1p/4pP1Q/1p1b4/5P2/8/3R2P1/7K w - -,h6h3
R7/2p5/5p2/pBp3p1/P1n2k2/7P/r7/4K3 b - -,c4e5
1br1n2k/1p3q1p/p1bppprp/8/P2NPB1Q/2NR4/1PP2PP1/3R2K1 w - -,d4c6
r2q1r1k/pp2bppp/2npbn2/2p1p3/P1B1PP2/2NP3P/1PP3PN/R1BQ1RK1 b - f3,e5f4
r2q3k/pb1r2b1/2p4p/3npp2/1BB5/1QN3P1/PP3P1P/3RR1K1 w - -,b4a3
1r6/2q1ppk1/3p1np1/2r5/7R/1B2QP2/1PP3P1/R5K1 b - -,g6g5
r4rk1/pb1nqp1p/1p1ppnp1/8/1PPNP3/4Q2P/P1BN1PP1/R4RK1 w - -,c2a4
4b3/8/3Np3/6kp/3PP1p1/2b1K1P1/4B3/8 b - -,e8g6
r2q1rk1/1pp2ppp/1bnp4/p2Ppb2/3P4/P3P1P1/1P2NPBP/R1BQ1RK1 b - -,c6e7
4k3/8/4p3/r1Pn1p1p/1rNPn3/1p2PR1P/1B4P1/6K1 w - -,c4a5
4rk2/4rn2/pq1p1Q2/2pPn3/2P5/1P2R3/2B1R3/7K w - -,e2h2
3r4/1p1n1k1p/2p1b1p1/P1Pp1pP1/P2R1P2/8/7P/3BR1K1 b - -,d7c5
q2rrbk1/3n1ppp/p1n1p3/1pp3P1/2P2P2/2BPP2P/P2NQ1N1/3R1RK1 w - -,g2h4
r3r1k1/p2nqpp1/1p4p1/3p4/1P2n3/P3PNP1/1Q3PBP/R3R1K1 w - -,e1d1
3r1n1k/p2q2p1/Pp1P1p1r/1PpQ3p/2P2p1P/4R1B1/6P1/3R2K1 w - -,g3f4
R7/P4pk1/8/4PP2/8/8/4K3/r7 b - -,a1a2
r1rq2k1/1p2ppbp/2np2p1/p1nN4/P1PNP3/1P2BP2/3Q2PP/1R1R2K1 b - -,a8a6
r2r1n2/p3qp1k/1pp3pb/3pPp1p/3P1P1P/3QBP2/PPP1N2R/1K4R1 b - -,a8c8
3r2k1/1pq2ppp/pnp2n2/5P2/8/1BN3PP/PPQ2P2/2R4K w - -,c1e1
r2r1bk1/1pq2pp1/p3bn1p/n1p1p3/4P2N/1PP1N1P1/P1Q2P1P/R1B1RBK1 w - -,h4g2
8/2p2pk1/p1q3p1/4p3/1Pn1P3/4N2P/5PP1/2Q3K1 b - -,c4a5
r7/5pkp/3p2p1/7n/4PP2/5P2/4N2P/3R3K w - -,h1g2
8/6pk/p4p2/P4n1p/2p1q3/7P/3B1QPK/8 b - -,e4d3
rnbqk2r/pp1pb1pp/2p1pn2/5p2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,d7d5
r1b2r2/1p2b1kp/2n3p1/pN1p4/5q2/P2BRN2/1PQ2PPP/5RK1 b - -,e7f6
r5k1/ppp3pp/3pb3/PP2p3/2P1P2n/3P2qP/6B1/3R1QKR w - -,f1f2
r3r1k1/1p2ppbp/pq1p1np1/2p5/4PPP1/3PB2P/bPPQN1B1/1R3RK1 w - -,b1a1
r1b2rk1/p3qppp/2pb1n2/3p4/3P4/P1N1PN2/4BPPP/R2Q1RK1 w - -,a3a4
3rqr1k/1ppb2pp/p1n5/5pN1/2Q5/1B2P3/PP3PPP/2RR2K1 b - -,c6e5
6r1/8/8/5p2/R2nk2p/7P/5P2/5K2 b - -,f5f4
4Bb2/r5kp/1p1p2p1/2p1p3/PnP5/3P2P1/3BPP1P/1R4K1 b - -,d6d5
r2b1k2/p2P2p1/1p2np1p/3bNN2/8/5P2/5BPP/2R3K1 w - -,e5c6
4rr1k/pp4p1/7p/1P6/P2Rb3/3NpP2/6PP/3R3K b - -,e4d3
5k2/8/p3rPRp/8/1p6/5KP1/7P/8 w - -,g6h6
r4rk1/pp3ppp/1bpQb1q1/4p2n/1PP1P3/P1N4P/2P1NPP1/2BR1RK1 b - -,e6c4
6r1/1p1k4/1r2pp2/3p1p2/2pP1P1p/P1P1R2P/1P1R1KP1/8 b - -,d7e7
4Q1k1/pr3p2/6p1/2pP2Pp/2P4P/q2r1PK1/P4R2/4R3 b - -,g8g7
3rr1k1/1p3ppp/2n1q3/pQ1p4/4n1b1/P3PN2/1P2BPPP/R2RB1K1 b - -,g4f3
rnbqk2r/pp3pbp/3p1np1/2pP4/4PB2/2NB4/PP3PPP/R2QK1NR b KQkq -,e8g8
8/2R2kp1/1p1r3p/p2prp1P/P4R2/1P2PKP1/5P2/8 b - -,f7f6
r2r2k1/p4p2/1p4p1/2P5/3pP2N/R1Pbn1R1/1P4PP/7K b - -,d3e4
1n2qrk1/r5b1/ppp1Pp2/3p1P2/3P1R2/2N3PQ/PP5P/R5K1 b - -,c6c5
r5k1/3rqp1p/nBRp1bp1/1p6/p4P2/7P/PP1Q2P1/1B1R2K1 w - -,b1d3
b4r1k/3qb2p/2n2pp1/1ppnp3/7N/2PP2NP/BP3PP1/2BQR1K1 w - -,h4f3
1r2r1k1/p1p2p2/2ppbp2/2b3Pp/4P2P/1BN2P2/PPP5/2KR3R b - -,g8g7
5r2/7p/8/Pbk5/6p1/3p2N1/1R4PP/4K3 w - -,g3e4
r4rk1/pb2q1bp/3p4/1Pp1npp1/2P1n3/P2NPN2/1B2B1PP/R1Q2RK1 b - -,g5g4
1R6/5p2/7p/ppn1kP2/6P1/P1n5/6BP/6K1 w - -,g2f1
2r3k1/p3qpp1/br3n1p/4p3/1P2P3/1Pp3PP/1B1Q1PB1/R1R3K1 w - -,c1c3
4rnk1/1p3ppp/2pb4/1P1p1B2/3P2bq/2N1P3/2Q2PPP/R4NK1 b - -,g4f5
1r4rk/1q3p1p/p2p1P2/1pp1b1PQ/2PnP3/1P1BR3/P2B4/5R1K b - -,d4e6
1r6/4k3/pp2p1bp/2p5/2P2pP1/1P3P2/P2RB1P1/2K5 b - -,b8h8
2b2r2/2R2pk1/2QPq1pp/2p5/1p1b2P1/5BBP/5PK1/8 b - -,d4e5
8/2R2p2/4p1k1/6p1/1pP4p/2b2K2/P4PP1/8 b - -,g6f6
r3q1k1/1b3ppp/p2bpn2/4n3/N2N4/1P2P2P/3BQPP1/1BR3K1 b - -,e5c6
8/1p6/1P4R1/1k1p4/3P2P1/4P3/1r6/4K3 b - g3,b5c4
r3r1k1/1p1b1ppp/2n1p3/p1qp4/4P3/2PB1N2/PP2QPPP/R4RK1 b - -,h7h6
8/8/R7/4P1p1/3K4/1r4k1/8/8 w - -,d4e4
rnbqkb1r/pppp2pp/4pn2/5p2/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq -,g2g3:e2e3
8/1p5p/pB1k2b1/P7/7P/P1R5/6K1/5r2 b - -,f1f7
3r4/1p3bk1/pQ3p1p/3N4/1P2P3/8/P1q1B1P1/3R2K1 b - -,c2e2
8/8/8/1R2bk2/8/5p2/7P/6K1 b - -,f5f6
rnb1k2r/3p1ppp/p3pn2/1p2q3/1b2P3/1NN1BQ2/PPP1BPPP/R3K2R w KQkq -,e3d4
8/3r3p/1p2k1p1/p1b2p2/2P2N2/1P4P1/P2R1P1P/5K2 b - -,e6e7
2kr1r2/1pp1b1p1/p1n4p/4p3/4N1q1/2P1B3/PPQR1PPP/3R2K1 b - -,d8d2
r3r1k1/1p1nqppp/2ppn3/p1B5/2P5/2N3P1/PPQ1PPBP/3R1RK1 b - -,d7c5
rn1qkb1r/5ppp/b1p1p3/p2nP3/PpBP4/5N2/NP3PPP/R1BQ1RK1 w kq -,c4a6
8/p5p1/1p2p1k1/3pP1p1/2n2r2/PR3PK1/4R2P/8 w - -,b3c3
8/3r3k/1P2p2p/2Nb1pp1/4pP2/4P1P1/7P/6K1 w - -,c5d7
8/5p2/1pb1p1p1/k3P1P1/2PKp3/4P3/5N2/8 b - -,b6b5
5rk1/2qnR3/3p1np1/2pP2N1/1P3p1p/7P/5BP1/2R3K1 w - -,e7g7
R3n3/2r1k3/2Pp3p/p2P1pp1/2P1pP2/8/5KPP/3B4 w - -,f2e3
4r1k1/r1p1qpp1/bp6/p2Ppn2/P3N3/1P2P1P1/2RQ1PB1/2R3K1 b - -,e8d8
r2q1rk1/pb2bppp/1p6/nBPp4/Q4B2/4PN2/PP3PPP/R4RK1 b - -,b6c5
r3r1k1/pp4bp/6p1/2Pp1P1n/5P2/1q1P4/2R1N1BP/3Q1RK1 b - -,a8d8
8/4p3/3p4/3P1kr1/1p1br3/1P1R4/5P2/1R2NK2 b - -,d4c3
2n5/p1r2bk1/3Rp3/3pPpPp/2pP1P2/2P1N1KB/2P5/8 w - -,d6a6
8/1p1n2p1/p3k2p/5p1P/2P2p2/P1B3PR/1Pr5/5K2 w - -,g3f4
r2q1rk1/pbpnbppp/1p3n2/3p4/3P1B2/2N2NP1/PP2PPBP/R2QR1K1 b - -,c7c6:f6e4:a7a6:f6h5
r3brk1/1p4pp/5p1n/2pp1P2/P3p1P1/1N5P/1B4B1/R4R1K b - -,a8a4
rn1qk2r/pp2bppp/2p1pn2/3pN1B1/3P4/2NQP3/PPP2PPP/R3K2R b KQkq -,e8g8
6R1/8/3Bp3/1p1pPk2/8/Pr4p1/4n1K1/8 w - -,g8f8
r3k2r/pp3ppp/2n1b3/2b3N1/8/2P5/P3BPPP/R1BR2K1 b kq -,e8g8
5rk1/1b1nqpp1/r1p1pn1p/pp6/Pb1PPB2/3N1NP1/1PQ2PBP/R2R2K1 b - -,b5a4
8/5pk1/1b4pp/8/8/4N1P1/Pn3P1P/5BK1 b - -,b2a4
1r3bk1/3b2r1/1P1p2n1/p2Pp1q1/2N1P2p/1Q1N1Pn1/1P3RPB/4RBK1 w - -,d3c1
8/pp2k2p/4ppp1/3pP3/b7/P2BP1P1/1P1K3P/8 w - -,e5f6
2r2rk1/1p2p3/p3p3/2P2qpp/1P1R4/4BP1P/b2Q2P1/2R3K1 b - b3,a2d5
1r4k1/5pbp/1q4p1/1B1Q2B1/1P2n3/5N2/5PPP/4R1K1 b - -,e4c3
7R/1n2q1k1/r2p1b1p/p2Q1PpB/1p1pP3/3P2P1/PP1B4/1K5R b - -,g7h8
7r/ppk1q3/5r1p/2p4Q/2Ppp3/8/PPP1R1P1/3R2K1 w - -,h5d5
1r4k1/4qppp/2p5/4p3/1bP1P1b1/1P1Q2P1/5B1P/3R1NK1 w - -,d1a1
r1bq1rk1/pp4pp/2nbp3/3pNp2/3PnP2/2PBB2P/PP1N2P1/R2QK1R1 w Q -,d2f3
8/7p/P1k3p1/B2p4/P3p2P/1K6/5b2/8 w - -,a5d8
r1bqk1nr/pp1n1pbp/2ppp1p1/8/2BPP3/2N2Q2/PPP1NPPP/R1B1K2R w KQkq -,c1f4:h2h4:a2a4
8/8/5kp1/8/5PK1/4R2P/8/r7 w - -,e3b3
8/7R/3k1N2/4r1P1/5n1K/8/7P/8 w - -,h4g4
2r5/r3kpp1/pp2p2p/n7/2PP4/PP2P1P1/1K1NBPP1/7R w - -,b3b4
1rqnr3/1p1b1pbk/2p3pp/1p1Pp3/P3P3/4BNPP/2Q2PBK/2RR4 w - -,a4b5
3rr1k1/2p3p1/1p1b1pNp/pPB4P/P3P1P1/5P2/3R4/3R3K b - -,d6c5
R7/P5k1/3p4/3P3p/2Bn4/r5P1/5K2/8 b - -,g7h7
r1bqr1k1/pp3ppp/2p5/3n4/2N5/PP4P1/4PPBP/R2QR1K1 w - -,d1c2
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,d1c2
r1b2rk1/p3qnbp/2p2n2/2Pp1pp1/3Pp3/2N1P2P/P2NBPPB/2RQ1RK1 w - -,d1a4
1k1r3r/pbpn1p2/1p1ppq2/7p/2PP4/P1NBPPP1/1PQ5/2K2R1R b - -,f6g5
rnbqk2r/pp2ppbp/2p2np1/3p4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,b1d2
1n1qkb1r/rb3ppp/pp1ppn2/8/2PNP3/2N3P1/PP3PBP/R1BQ1RK1 w k -,b2b3
r7/3k4/pR2p1p1/P2p1p2/1P1P1P2/1K4P1/8/8 b - -,g6g5
1r2k3/1r3pp1/1pRRp2p/p3P3/P1PKP3/1P4P1/7P/8 b - -,b7d7
2r5/pp1n3r/4k3/3p4/1n1PP3/qP4N1/P5Q1/R2R2K1 b - -,h7g7
r3q3/5rkp/3p1np1/2p1p3/1p6/3PQ1PP/1PP1NPK1/R4R2 w - -,g2g1
r1bq1rk1/1p1pb2p/p2Bpn2/6N1/2PQ4/6P1/PP3PBP/R4RK1 b - -,e7d6
r2qkb1r/pp1n1pp1/2p1pn1p/8/2BP4/2N1P3/PP3PPP/R1BQK2R w KQkq -,e1g1
1r3rk1/pb3p1p/1p1p1qp1/8/PR2Pn2/2N2P1P/1PBQ2P1/R5K1 b - -,f8e8
1n1rrbk1/1p3ppb/1P1q1n1p/4p3/2Pp4/3P1NP1/2N2PBP/BR1QR1K1 w - -,b1b5
1q1r2k1/1r2bpp1/2bp1n2/p3p2p/2P1P2P/BP1QN3/2RN1PP1/R5K1 b - -,g7g6
2b1rrk1/1p2qp1p/p1pp1np1/4p3/3PPP2/1P2Q1NP/1PP3P1/2N1RRK1 w - -,c1d3
1r5k/3q1r1p/2p2PRQ/4p3/p2pP2P/P2P4/1P5K/6R1 w - -,g1g2
