8/8/7p/6p1/4k1P1/PR5P/5K2/r7 b - -,a1a2
5rk1/pp6/2p2q1p/2p2p2/2Pr4/1P1R2P1/P1Q2P1P/3R2K1 w - -,d1e1
4rbk1/1pqn3p/2ppr1p1/p1n2p2/2P5/1PN1P1PP/PBQR1PBK/3R4 b - -,f8g7:d7f6
b6k/6b1/1pqp1n1p/8/1PP1nP2/7P/1B2Q1P1/1R3RK1 w - -,f1f3
8/8/7R/1p1p1kpP/1P3r2/2P1K3/6P1/8 w - -,h6d6
3r4/2p1qpbk/p2prnpp/1p2P3/8/P1B2QNP/1PP2PP1/3RR1K1 b - -,d6e5
r1b1r1k1/6p1/p3Pn1p/qp6/3N4/2P3P1/P1Q2PP1/1BRR2K1 b - -,c8e6
r1b1r1k1/pp1nppbp/1qp2np1/3p4/3P1B2/2N2NP1/PPPQPPBP/1R1R2K1 b - -,a7a5
8/3r1k2/2r3p1/R1p2n2/8/4P3/2KP2R1/8 w - -,g2f2
r2q1rk1/p1pnp1bp/1p1n2p1/3P2B1/P5P1/N1P4P/2Q1PPB1/1R3RK1 w - -,a3b5
8/7p/3bk3/1Pn2p2/8/4P3/1BB2PKP/8 b - -,h7h6
8/8/4pk1p/5pp1/r4P2/4RKPP/4P3/8 b - -,a4a1
r1bq1rk1/pp1nbppp/4pn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - -,f3e5:b2b3
r1bqk2r/pppnppbp/3p1np1/6B1/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq -,b1d2
2r5/1p4k1/p2R2pp/4nq2/8/P1N3QP/1PP3P1/7K b - -,h6h5
8/5N2/8/6p1/5nP1/3k4/4pK2/8 w - -,f7e5
r1q2rk1/pb1nbppp/1p2p3/4P3/4pB2/2N3P1/PPQ2PBP/R2R2K1 w - -,g2e4
6r1/8/8/pPk1pP1p/P1p3pP/2K2P2/8/6R1 b - -,g4f3
r4k1r/3n4/1q2pb1p/p2p2P1/Pp1P4/3b1N2/1P2Q2P/R1B1K2R w KQ -,e2d3
2b5/2P5/3k3R/6n1/4P3/1PK4p/8/8 b - -,d6c7
8/1p3pkp/p1n3p1/q1p1p3/P3P3/1PPr1B1P/1Q3PP1/R5K1 w - -,a1c1
1rb2rk1/4pp2/1N1p2qp/2pPn1p1/4P3/1P4PP/P1Q2PB1/1R1R2K1 w - -,b6c8
1r3rk1/1p1b1pbp/p5p1/2RN4/1P1pP1P1/3B3P/P5P1/2R3K1 b - -,f8d8
r1br4/4q2k/p2p3p/np1PpP2/4P2b/P1PpB1N1/1P4KN/R2QR3 b - -,d8g8
4r1k1/3q1p2/p1nBR1pQ/3p4/8/1N5P/1PP2KP1/8 b - -,d7e6
r1b2rk1/ppq2ppp/3bpn2/4N3/1nPP4/8/PB2BPPP/RN1Q1RK1 b - -,f8d8
r2qr1k1/p1nnppbp/3p2p1/2pP4/1pP1PB2/3B1Q1P/PP1N1PP1/1R2R1K1 w - -,f3g3
5rk1/4q1pp/pp1pN3/4n1r1/1PP1b3/7B/P2R2PP/2RQ3K b - -,f8f3
r4rk1/pp5p/2p3p1/qPPb4/P2pN3/3P3P/2Q1K1P1/1R5R w - -,h1f1
2r1k2r/pp1b1pp1/2n1p2p/q2pP3/3P4/6P1/P1PQNPBP/3RK2R b Kk -,a5a2
r2rb1k1/pp2bppp/2n1p3/3q4/3PN3/P2BPN1P/1P2Q1P1/R4RK1 w - -,a1d1
4nrk1/1p2qp1p/p1p3p1/3p4/1b3P2/2N2b1P/PP1QBP2/R4RK1 b - -,b4c3
2rqkb1r/pb1n1ppp/1p3n2/2pP4/8/2N2N2/PPQ1BPPP/R1B2RK1 b k -,f8d6
r2q1rk1/1b1nbppp/p3pn2/1p6/2pPP3/2N2N2/PPB1QPPP/R1BR2K1 w - -,e4e5
rnb1k2r/ppp1qppp/8/3P4/4nP2/4bN2/PPP1Q1PP/RN2KB1R w KQkq -,e2e3
3r4/4k3/1p2p1p1/p1p1Pp1p/P1P2P1P/1P3KP1/8/3R4 w - -,d1d8
1r1q1rk1/1pnnb1p1/p1p1p1pp/P3P3/3P4/1Q1NN1P1/1P1B1P1P/R4RK1 b - -,f8f7
4b3/p4kr1/2pp3R/2p2pP1/2PbB3/1P6/P1KB4/8 w - -,e4f5
3r1bk1/5p2/1p2p1p1/p1p1P1P1/1n3P2/1R2B3/1P6/4KR2 w - -,e1e2
R7/8/5pk1/4n2p/8/5pPP/1b3K2/8 w - -,a8a4
4r3/1q3pkp/1p2p1p1/p2pP3/P7/1Q2P2P/1P3PP1/2R3K1 w - -,b3b5
3r1r2/pp4pk/2np3p/3Qp1q1/7N/5RPP/PP2PP2/5RK1 w - -,d5d3
1rb5/3np1k1/p5pp/1p6/4N3/7P/PP3PP1/3RR1K1 b - -,b8b6
r2q1rk1/pp3pbp/1np3p1/4p3/3n2bN/2NPB1P1/PP1QPPBP/2R2RK1 w - -,h2h3
3r2k1/5pp1/p3p2p/6b1/2P3P1/1NK2b1P/P1NR1P2/1q2Q3 b - -,b1e1
5k2/2p4p/1p1p2p1/p2Q4/P1P2P1q/1Pb1BK2/6PP/8 w - -,h2h3
5k2/5p2/r4p1p/5R2/2PK2P1/5P2/8/8 b - -,f8e7
b3r1k1/prR1Bpp1/7p/3p4/8/7P/6P1/2R3K1 w - -,c7b7
5qk1/p4p1p/1pr3p1/3p1P2/3Pn3/P6Q/4R1PP/5RK1 w - -,f5g6
8/1R6/4k2P/1p1p4/1P1Pb1p1/6Br/5K2/8 b - -,e6f5
rn1qnrk1/1p2bpp1/p1p1b2p/2PP4/3Q1B2/2N2NP1/PP3PBP/R2R2K1 b - -,c6d5
8/8/p7/2p2p2/P1Pb1P2/5k1K/8/2B5 b - -,d4e3
2r1r1k1/1p3ppp/p2p1bn1/2qP4/5B1P/2P3P1/PP1QBRK1/5R2 w - -,f4h6
1r5k/1p4p1/p2r1q1p/2Nnnp2/1P2p3/P3P2P/4QPP1/2RRB1K1 w - -,e2a2
r6r/pp2k1p1/5n1p/2Qp1B2/3P4/8/PPP3PP/6K1 b - -,e7f7
3N2k1/1p3p2/pN1p2pp/P2P4/1Pn5/2b3P1/6P1/4K3 w - -,e1e2
2r5/1p1b1p2/p2k1n2/3p2p1/3N2P1/1P2PP2/P4KB1/7R w - -,f2e2
rn1q1rk1/pppbnpbp/3p2p1/3Pp3/2P1P3/2N1B3/PP2BPPP/R2QNRK1 b - -,a7a5
1r1qr1k1/3n1pbp/pp1pn1p1/2p5/P1P1PP2/2N1BB1P/1P1Q2P1/2R2RK1 b - -,e6d4
2kr3r/Qpn3pp/2p1pp2/2P3P1/3P2q1/3R4/PP1B4/2K1R3 w - -,d2a5
2rq1rk1/pp2n1b1/2ppb2p/1P3p1n/P1PPp1pP/1NB1P1P1/3QBP2/R3KN1R w KQ -,b5c6
rn2k2r/ppp2ppp/3b1n2/8/2BP2b1/5N2/PPP1K1PP/RNB4R w kq -,c1e3
4q1k1/4Pb2/6r1/P7/3Q4/6P1/5PP1/4R1K1 w - -,e1e4
r1bqk2r/ppppbppp/2n2n2/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq -,f6e4
r4rk1/1b3ppp/pp2pn2/2q1p3/P3P3/3B1P2/1PPN2PP/R2Q1R1K b - -,f6h5
8/P2Q2bk/2p3pp/8/1P6/7P/6P1/q2Nr1BK b - -,h6h5
7r/7P/1kp5/4KN2/1n2P3/8/p6P/7R w - -,h1a1
8/2r5/6kp/R4p1P/3N4/2p3P1/4Pn1K/8 b - -,g6h7
1k5r/pb3pq1/1pp1p1n1/2p5/4PP2/2NPQ3/PPP1N1P1/2KR4 w - -,e3g3
r1b1r1k1/pp3pbp/1qp2np1/8/3NP3/BP3PP1/P2Q2BP/3R1R1K b - -,c8d7
3rrqk1/2n3p1/1p1p2np/p1pPPp2/P1P2P2/2N4P/6PB/1Q2RR1K b - -,c7a8
3r2k1/4p1b1/2p1q3/pp2Pp2/6p1/P3Q1P1/1PP2P2/1K1NR3 b - -,d8d5
3r1rk1/1p1n1p1p/pq2p1p1/8/1b3P2/2BB2Q1/PPP3PP/R4R1K w - -,c3b4
3r4/pb3k2/1p2ppp1/3n1n2/3P4/P3B3/1P1NBPPP/2R3K1 b - -,e6e5
3R4/3P4/6p1/2K2pk1/8/3r4/8/8 w - f6,c5c6
rnbqkb1r/pp3ppp/4Pn2/2p5/2P5/8/PP1P1PPP/RNBQKBNR b KQkq -,c8e6
5b1k/pp6/2p1Qn1q/8/3P1P2/5KP1/PPP5/5B2 b - -,h6h5
8/p2b2kp/3P2p1/1r6/3KB3/1p6/6PP/1R6 w - -,e4d5
r3kb1r/p2b1ppp/1q2p3/2p1n3/2PpN3/8/PPB1QPPP/R1B2RK1 b kq -,d4d3
8/1B2ppk1/8/1p3P1p/5np1/2P5/1P1r2PP/1R5K b - -,h5h4
3r4/pp3bkp/2p1qppb/2B1p3/1Pn1P1P1/2N3NP/P1P1QP2/3R2K1 b - -,d8d1
2rq1rk1/4pp1p/p1np2pb/1p6/2nBPP2/1N6/PPP1N1PP/R3QRK1 w - -,d4c3
2k5/5p2/p3rnp1/1p6/2q1p3/P5Q1/1PP1R3/1K2R3 w - -,g3f4
8/5kp1/R6p/7P/1r3PK1/5P2/8/8 w - -,a6g6
r1rq2k1/1b2bppp/p3pn2/P2pN3/1p1P4/1Q4P1/1P1BPPBP/R2R2K1 b - -,a8b8
3Q4/5k2/6p1/5p2/1K4P1/2P4q/8/8 w - -,g4g5
r4rk1/pp1bb2p/1qp1p3/3pP3/2P2pp1/3N2P1/PPQ1PPBP/2RR2K1 b - -,f4g3
2r1r1k1/1bq1bppp/p2Pp3/1p6/3B1P2/PPN5/1P3QPP/3R1RK1 b - -,e7d6
8/2n2k2/2B2p1p/1p3K2/1P6/1P6/6PP/8 b - -,f7g7
1r2r1k1/2pq4/1p3p1p/p2p2p1/3P4/P3P1n1/1Q3PPP/2R2RK1 w - -,h2g3
8/8/5n2/7p/3P1NpP/p5P1/k1K5/8 b - -,f6e4
5rk1/8/4K1p1/7p/3Q3P/8/8/8 w - -,d4d3
8/8/6k1/4B3/5P2/1N1KN3/p4r2/8 b - -,g6h5
r2qk2r/1pp2ppp/1pn1bn2/1B2Q3/8/5N2/PPP2PPP/R1B1K2R w KQkq -,c1f4
1br5/pb2qpk1/1p2pn2/4N1p1/3P4/6B1/PP2QPP1/1B1R2K1 w - -,g3h2
r6r/pp2ppk1/5bp1/3p4/3P1P2/2P1B1P1/PP4K1/R3R3 w - -,e1h1
r1bqr1k1/p1p2pbp/2p2np1/3p4/4P3/2NBB3/PPP2PPP/R2Q1RK1 w - d6,e4d5
r1bqk2r/pp3pbp/6p1/2pPn2P/8/2N2N2/PP5P/R1BQKB1R b KQkq -,e5f3
8/6p1/4kn2/PR5p/4PP2/r3BKPP/8/8 b - -,a3a4
r1b1kb1r/pp2pppp/n1pp1n2/q7/3PP3/2NBB2P/PPP2PP1/R2QK1NR b KQkq -,a6b4
5k2/5p2/1p5r/p1bb4/3P4/3K4/PP1N4/6R1 b - -,c5b4
5rk1/3nb1pp/1pb1p3/3pP3/1PpP2P1/1nP1BN2/K5BP/3N3R b - -,d7b8
r5k1/1npq1b1p/1n1p1Pp1/1P1Pp1P1/rP5P/1Q3B2/4R3/1N2BRK1 b - -,d7b5
8/8/8/6p1/6P1/2K4k/p5r1/R7 w - -,c3d3
7R/1k6/8/1p1p4/p2K3p/P7/1r6/8 b - -,b2c2
2k5/4n3/2p1p1p1/1pP1N2p/1P2P1P1/5P1P/3K4/8 w - -,d2e3
2b3k1/1pp4p/4Pp2/p5p1/n2q4/P3B1PP/1P3PB1/6K1 w - -,e3d4
6k1/p3pp2/2p3pp/2P5/2Nb4/1P4PP/P4P2/6K1 b - -,d4c5
r3n1k1/1pr2pp1/2pq4/p3p3/P1B1P1QP/2N1B3/1Pn2P2/R5K1 w - -,a1f1
4r2k/1p2rqpn/p2P1p2/5P2/1P2PB2/P4Q1P/4R1RK/8 b - -,e7d7
2b5/8/1p1p1kp1/2pP4/P1P1N1P1/1P6/6K1/8 b - -,f6e5
6k1/6p1/2p3p1/p5Pp/3P2bP/P1K1R3/4Nr2/8 w - -,e2c1
n1r3k1/1p3ppp/3R4/1Pr1P3/p1P1NPp1/P5P1/4K2P/2R5 b - -,c5c7
8/8/1pB5/2bPk3/P7/5P2/3K4/4Nb2 b - -,c5b4
rn3rk1/pbqnbppp/3p4/4p1P1/1p2B3/4NN1P/PPPBQP2/R3K2R w KQ -,e3f5
8/1p3Q2/2k1p3/1q6/8/1P3P2/2P2PK1/8 b - -,b5e5
8/7p/5pp1/1Nnkp3/8/P5PP/3NnP1K/8 w - -,b5c7
r4rk1/1pq2pbp/p2B2p1/2pP4/Pnn1N3/4P2P/1PbNBPP1/R4RK1 w - -,d6c7
8/2nb1qk1/2p1P2p/2PP4/5pP1/2rB1Q2/5PPK/3R4 b - -,d7e6
r2qk2r/p2nppbp/2pp1np1/1p6/4P1b1/P1NP1N2/1PP1BPPP/R1BQK2R w KQkq -,e1g1
r5k1/4qppp/4p3/4P3/2n2PP1/1pN4P/1P3Q1K/5R2 w - -,f1d1
4r1k1/5p2/5Np1/R1b5/P1P5/5q1P/2Q2P2/6K1 b - -,f3f6
2r1bk2/5p1p/4p1pP/4R3/1pPR1P2/1K4P1/1P4B1/r7 w - -,e5e2
8/8/bpp5/2n1k3/p1P4R/2N1P3/PP1K4/8 w - -,d2c2
5n2/r4pk1/6p1/4R2p/4PN1P/5P1K/6P1/8 b - -,g7f6
8/8/3bpkpp/p7/4KPP1/8/2R4P/8 w - -,c2c6
2n3k1/4qpbp/1p3np1/1Pp5/P7/2N1B1PP/5PBK/3Q4 b - -,c8d6
1r1qr1k1/2pb1p1p/p1np1bpB/1pPPp3/8/5NP1/PP2PPBP/2RQ1RK1 b - -,c6d4
3r3k/1p1n4/3PBp1p/4pP2/1b4P1/7P/8/BR3K2 b - -,b4d6
3rr1k1/pb2qp1p/3p2p1/6Pn/2pRPP2/2N2Q1P/PPP2B2/2K4R w - -,d4c4
8/8/3k4/p1r2p2/3K4/PP1B4/2P5/8 w - -,b3b4
rnbqkb1r/pp2pp1p/2p3p1/2Pn4/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,f8g7
8/4Bn2/6p1/p7/2k1K3/P7/8/8 w - -,e4f4
2r3k1/2r2p2/p5pB/qpn1Q3/8/2P2R1P/PK2N3/3R4 b - -,f7f5
4r3/1p2q1kp/2np2p1/8/1p3P2/1Nb1BQ2/P4KPP/3R4 b - -,e8a8
4r1k1/5p2/p1pb2q1/1p6/3Pb1np/1BP1N3/PP1B1Q1P/R5K1 w - -,b3f7
1r1qkb1r/p2b1ppp/1p2pn2/1Bpp4/3P4/2P1PN2/PP3PPP/RN1QK2R w KQk -,d1a4
r1bq1rk1/4bppp/pn2p3/Qp1n4/8/NN4P1/PP2PPBP/R1B2RK1 w - -,c1d2
r2q1rk1/p3bppp/2p1Rn2/3p2B1/8/2NB1Q2/PPP2PPP/5RK1 b - -,f7e6
r1b4r/b2pkppp/2n1q3/1p2p3/1P2N3/2P2B2/5PPP/R1BQ1RK1 w - -,c1e3
2rr2k1/p2npp2/3p2p1/q1p4p/N1PbP2P/1P2Q1PB/P4P2/2RR2K1 w - -,e3g5
r2q1rk1/pp4b1/2p1p2p/3pPpp1/2P2P2/1PB1P1P1/P3Q1KP/R2R4 w - -,a1c1
5R2/4r1pk/3p4/3Pp2p/1p5p/7b/PPP5/1K4R1 b - -,e5e4
4qrk1/pB1b2bp/P2ppnp1/r4p2/3N4/1Q4P1/PB2PP1P/1R3RK1 b - -,f6e4
5rk1/bp2qnp1/pNp1bp2/2P4p/4PP2/1P2B2P/P3Q1B1/5RK1 b - -,h5h4
r1b2rk1/pp2ppbp/3q2p1/2p5/3n4/3PB1P1/PP1NPPBP/2RQ1RK1 b - -,c8g4:c8f5
6k1/1ppq1ppp/1p1p4/5r1r/2P2RQP/3P4/P1P5/R3B1K1 w - -,e1c3
8/5p2/3k2p1/3p1b1p/1p1P3P/4K1P1/1P1RB3/1r6 w - -,e2d1
3r1rk1/2p1qppp/p1n1nb2/1p2p3/PP2N3/2PP1N1P/4QPP1/R1B1R1K1 w - -,a4b5
2r2k2/1b3p2/p5pp/3pP3/8/4P3/P3BPPP/4R1K1 w - -,e1b1
r4rk1/p2Q1ppp/2N2qb1/2p5/8/2P5/PP4PP/K1R1R3 w - -,e1f1
8/8/3nkpp1/3p3p/3Pb2P/4N1P1/1B3K2/8 w - -,b2a3
8/7b/5k1p/6p1/4pp2/PBN1n1PP/4NK2/8 w - -,g3f4
3r2k1/pp3p2/6p1/8/2N1K3/1P1p4/PBn5/2R5 w - -,c1h1
4r1k1/Q1pq1ppp/b2p1b2/1p1P4/8/N7/1PP2PPP/2B1R1K1 w - -,e1e8
8/1pnq1rkp/1Q1p2p1/p1pP4/2P5/2P1R2P/4BPK1/8 w - -,b6a5
1R6/5pk1/4p1p1/3p2b1/3P4/2PQ2P1/r2NKP2/7q w - -,f2f4
8/2k5/1p1n3p/3QN3/q2P4/2P5/3K1PP1/8 b - -,a4e8
r1bqk2r/ppp1p1b1/2np1n1p/5pp1/3P4/P1NBP1B1/1PP2PPP/R2QK1NR b KQkq -,e7e5
r1bqk1nr/pppp1pbp/2n3p1/4p3/3P4/2P3P1/PP2PPBP/RNBQK1NR w KQkq -,d4e5
r3r1k1/p4pb1/1qpBn1p1/4p1Pp/4N2P/5P2/PPP5/2KRQ2R w - -,c1b1
8/p7/2r1p3/1k2n1p1/1p2K1P1/1P6/P2R1N2/8 b - -,e5g6
r4rk1/1p3p1b/1qn4p/p5p1/2Pp1R2/PP1P2P1/3Q2BP/1R2N1K1 w - g6,f4f6
8/5bk1/5p2/2Q1p3/2P1q3/1P6/P4P2/5K2 w - -,c5a7
2brr1k1/1p3ppp/p1p2nn1/P3p3/3PP3/2P1BP2/2BR1KPP/2NR4 b - -,f6h5
r1bq1rk1/1p2ppbp/p1np1np1/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 w - -,g1h1:e2f3:e4e5
5k2/5p1p/4p3/4P1p1/8/1P2RP2/1rr1N1PP/5K2 w - -,f1f2
3r4/p5k1/P1b2pp1/2Pq4/3rpP1P/2Q1R3/7P/1R3BK1 b - -,d5f5
6k1/ppp4p/6p1/8/2Nq1p2/1PQ5/P4KPP/3r4 w - -,c3d4
r2qr1k1/pb1nbpp1/1p2pn2/1B1pB1N1/3P4/2P2Q2/PP1N1P1P/R3K1R1 b Q -,e8f8
r1bq1k1r/ppp2pbp/5np1/2pPNn2/Q4BP1/2N5/PP2PP1P/3RKB1R b K g3,f5d6
5k2/1p1nq1bp/pn2B1p1/3pP3/3N1P1P/PPr3P1/3B3K/R4R2 w - -,d2c3
4b3/p3k1p1/5p1p/1p6/2pPPP2/6P1/P1B2K1P/8 w - -,e4e5
6k1/4p1bp/4p1p1/8/r4PPP/1N6/2K5/4R3 w - -,c2d3
3r1rk1/pbq3p1/1n1pp2p/1Pp2p2/1P2PP2/3Q2P1/P4NBP/1R2R1K1 b - -,c5c4
2r1kb1r/1bqn1pp1/p2ppn2/1p5p/3NP3/P1N1BP2/1PPQB1PP/1K1R3R w k h6,d4b5
8/pb2k1p1/1p3pBp/8/2P2n2/2B2P2/PP3KPP/8 w - -,g6f5
r1b2rk1/2q3bp/p1n1p1p1/1p2P3/2pp1P1Q/P4N2/1PP1B1PP/R1B2RK1 b - -,c7a7
