8/7k/2R5/7P/7P/2p1K3/8/2r5 b - -,c1e1
2r1r1k1/2qn1ppp/p4n2/4p3/NbP1b3/4BNPB/2Q1PP1P/R2R2K1 w - -,c2a2
2r1r2k/1b1nq1bp/p2pn3/Pp4pB/1QNPpp2/4P2P/1P1N1PPB/2RR2K1 b - -,d6d5
r4rk1/p1pp2pp/b1p2p2/2q1P3/2P2P2/1P1Q2P1/P2K3P/4RB1R b - -,c5a5
r1bq1rk1/pp1np1bp/2p3p1/3p1p2/2PPn3/1PN2NP1/PB2PPBP/R2Q1RK1 w - f6,c4d5
4rqk1/3b1n2/3p2pp/pp1P1p2/2P2P2/2NB3P/P1Q3PK/1R6 b - -,b5b4
r1bq1rk1/pp1nbpp1/5n1p/3p4/3p3B/2NBP3/PPQ1NPPP/R3K2R w KQ -,e2d4
4r3/q2brpbk/p2p2pp/Pp1P4/2P1PP2/4RN2/3QB1K1/2RN4 b - -,e7e4
2r3k1/5ppp/r1q1p3/P7/2p5/4P1P1/R1Q2P1P/R5K1 w - -,c2c3
8/2k2p2/4pPnp/1PB3p1/6P1/5K1P/8/8 b - -,g6e5
1r1r2k1/1bpq1pbp/p1n1p1p1/1p6/3PBB2/2P1QN1P/PP3PP1/R3R1K1 w - -,a1d1
r2qr2k/p4np1/1p5p/3pPP2/8/P7/3QP1BP/R2NB1K1 b - -,f7e5
r2q1rk1/pb1nbppp/1p2pn2/2pp4/3P1B2/2PBPN1P/PP1NQPP1/R4RK1 w - -,a2a4
rnbq1rk1/pp2ppbp/2p3p1/3n4/2BP4/2N1PNBP/PP3PP1/R2QK2R b KQ -,b7b6
8/8/8/p1n3p1/P4k1p/7P/6K1/3B4 b - -,f4e3
r4r1k/p1nb1nbp/2pp1q2/5p2/2PBpP2/1NN5/PPQ3PP/3RRBK1 b - -,f6g6
1r5k/5Bp1/2nN1b1p/p2Q4/5P2/2q3P1/7P/3R2K1 w - -,f7g6
r1b1k2r/ppp1nppp/2n5/3q4/3N4/2B1P3/PP3PPP/R2QKB1R b KQkq -,e8g8
r1b3rk/1p1p1qpp/p1p5/4p3/5B2/6Q1/PPP1RPPP/R5K1 w - -,e2e5
r4rk1/pbqn1ppp/1p1ppn2/2p5/1PP5/P1Q2NP1/1B1PPPBP/R4RK1 w - -,a1c1
r7/4kp2/8/5R2/7P/8/5PPK/8 b - -,e7f8
2rqr1k1/pbpn1pbp/1p2pnp1/3p4/2PP4/1PN2NP1/PBQ1PPBP/2RR2K1 b - -,d8e7
r1bqkb1r/pp1n1ppp/2p2n2/4p3/2p5/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,d3c4
r2qk2r/p1p1bppp/2pp1n2/8/4P3/8/PPP2PPP/RNBQR1K1 w kq -,b1c3
r1r3k1/3n1ppp/nqp1pb2/p7/PpQP4/1P1NP3/1B2NPPP/R2R2K1 b - -,c6c5
1r2rk2/2qbppbp/1N1p1np1/3P4/8/1nN2P2/1P2RBPP/3RQBK1 w - -,b6d7
2r2r1k/pp3ppp/2b1pn2/8/2B2N2/5P2/PP3KPP/2RR4 b - -,f8d8
r1b2rk1/pp2bppp/1qn2n2/6B1/3p4/1NN3P1/PP2PPBP/R2Q1RK1 w - -,g5f6
r3r1k1/1p3pbp/pqnpbnp1/2p1p1B1/4P3/1PPP1NNP/P1BQ1PP1/R3R1K1 w - -,a1d1
8/1p4pk/2p4p/1PP1QPn1/3P4/2q5/4K2P/8 b - -,c3f3
3r2k1/p1p1rp1p/4p1p1/1qp1P3/2p1QPP1/2P4R/P3P2P/5RK1 w - -,e4e3
r1bqr1k1/ppb2ppp/2p2n2/5p2/2NP4/4P1P1/PPQ1NPBP/R4RK1 w - -,b2b4:f1d1
6k1/2R4p/6p1/5pK1/4rN2/2P3P1/1r5P/5R2 b - -,b2h2
r2n4/3n1kbp/q2p1pp1/1RpPp2P/p1P1P3/2N1B3/P2N1PP1/1Q4K1 w - -,b1d1
4k2r/3rb1pp/2Q1p3/pN1n4/Pq6/5P2/1P4PP/2R2RK1 w k -,c6e6
rnb1k2r/pp2qppp/5n2/3p4/1b6/3P1NP1/PP1N1PBP/R1BQ1K1R w kq -,d2b3
4r1k1/1R2b1p1/p5p1/3R1p2/2KP2P1/1PB4P/1P4r1/8 w - -,g4f5
5rk1/1p3q1p/3p1bp1/1p1Pp3/n3Pp2/1Q1P2P1/5P1P/1RB2BK1 w - -,f1h3
5r1k/8/P1R2P2/8/3bN1Kp/8/8/8 b - -,h8h7
r4rk1/pp2ppbp/2n3pn/6N1/2BP4/4P3/PPN3PP/3R1RK1 b - -,a8c8
4N3/8/8/p3pk2/5pp1/5P2/3K2P1/8 w - -,e8d6
r1b1r1k1/1pqn1pbp/p2p1np1/2pP2B1/P7/2N1P3/1P1NBPPP/R2Q1RK1 w - -,a4a5
5r1k/pp1rNpbp/4b1p1/6n1/2N2P2/1PP3P1/1P4BK/R4R2 b - f3,d7e7
2kr4/ppqb1p2/2n1p1rP/4Pn2/3p1P2/P1pQ4/2P1N1P1/1RB1KB1R w K -,h6h7
r1r3k1/1p1b2pp/4pp2/pPN1P3/Pb1P4/2p1B3/4KPPP/1R5R b - -,c8c7
1r3rk1/5pb1/b4qp1/p2Pp2p/P1p1P2P/2P3N1/2B1Q1PK/R1R5 w - -,g3f1
5r2/6pk/p1p4p/P2nB3/1P3P2/2P2P2/7P/3R3K w - -,h1g1
8/8/8/8/5K2/P7/k5P1/4r3 b - -,a2a3
4k3/6P1/1R3K2/p7/1p3P2/8/2r5/8 b - -,c2g2
1r3r2/3bppbk/3p1npp/1P1P4/2n1P3/5PN1/N2Q2PP/2R1KB1R b K -,c4d2
3qr1k1/p2bp1b1/3p1p2/1prN2BQ/2nNP1p1/3B1P2/PPP5/1K5R b - -,f6g5
8/4ppQ1/4q1p1/1R1p2k1/7r/4r3/6PP/6RK w - -,g7b2
r1b2rk1/pp3p1p/2p1pqp1/3n4/3PQ1PP/2PB4/P1P1NP2/R3K2R w KQ -,g4g5
5rk1/2p2ppp/1pBp1n2/p7/2P5/6P1/1P3P1P/1R4K1 w - -,b1e1
3r4/QR1b4/3ppr1k/2p2pNp/5P1P/8/4K1q1/5R2 w - -,e2e1
8/8/p7/1pPkp1R1/1P4p1/8/2K2r1P/8 w - -,c2c3
8/1k6/R7/1p6/1PbKN3/2P5/8/2r5 w - -,a6d6
q4rk1/r1p1bp2/pp3n1p/3p1Q2/3P3p/4B1P1/PP2PPB1/2RR2K1 w - -,e3h6
2r1r1k1/3bbppp/p1qp1n2/4p3/PPp1P3/B1P2N1P/2B2PP1/R2QR1K1 w - -,d1e2
6r1/1p4P1/1k6/3p4/p7/P2KP1Q1/1P6/2r5 w - -,g3g4
6k1/3R3p/4p1p1/r5N1/5P2/2b3P1/6KP/8 b - -,a5a6
2br2k1/2q2pb1/pP1p1npp/1p1Pp3/8/2N2P2/1PPQB1PP/R4R1K b - -,c7b6
8/8/6p1/1b1kB2p/3P1P2/4K2P/8/4b3 w - -,f4f5
q3r1k1/6pp/3P4/2pnp1QN/6p1/3r4/P5PP/R4R1K b - -,a8b7
r2r1k2/3q1p1p/2p1pnp1/1p6/p2P1P2/P2Q2P1/1PP3BP/1N3RK1 w - -,c2c3
r1b1kb1r/1p3ppp/p1n5/4p3/8/1N2B3/PPP2PPP/R3KB1R w KQkq -,e1c1
r4rk1/2pb2bn/1p1p4/p2P1p1B/2PNpP2/1P1nB1qP/P2N2P1/R2Q1RK1 w - -,d4c2
r6r/1p1bkp1p/p3pp2/8/P1n5/1NP3P1/R3PPBP/3R2K1 b - -,d7c6
4rk2/5p2/1p3Pp1/pP1pP3/B1pP2b1/2P3K1/8/R7 b - -,g4f5
3r1rk1/pp1qnpbp/2n1b1pB/3p4/3N4/5NP1/PP1QPPBP/R2R2K1 b - -,f8e8
5rk1/p3ppbp/q1rp2p1/1p3n2/3P3P/NP2P1P1/PB3P2/R2QR1K1 w - -,a3c2
1r6/4bpkp/1q2p1p1/p3P1P1/2pR1P2/2P4P/P1Q3B1/7K b - -,b6c5
rq3rk1/p1nb2pp/2p1pn2/2Qp1p2/3PP3/P2B1P1N/1P1N2PP/2KR3R w - -,e4e5
rnb1kb1r/1pqp1ppp/p3pn2/8/3NPP2/2NB4/PPP3PP/R1BQK2R b KQkq f3,b8c6:b7b5:d7d6:f8c5
2r1k2r/1p2bpp1/p2pp2p/q2b1Nn1/6P1/3QBP2/PPP3BP/2KR3R b k -,a5a2
2r3k1/1b3p2/pp3PpQ/8/P2qp3/4B3/1p4B1/5RK1 b - -,d4f6
r3nrk1/4q1pp/p1pbP1p1/3p4/1P1B2P1/P1N4P/4QP2/1R2R1K1 w - -,c3a4
1k1n1r2/pppq3r/3pn1R1/1N6/2P1P2p/4Q2B/PP6/2K4R b - -,c7c5
3R4/5pkp/3p4/1b2p3/1P1rP3/1R4PP/8/6K1 b - -,f7f5
3r1bk1/1bq2ppp/pp1prnn1/4pNQ1/2P1P2P/1PN3R1/PBB2PP1/4R1K1 b - h3,h7h6
2r2bk1/5p2/pPp1p1pp/P2pP3/2r1nP2/R1P5/1B4PP/5R1K w - -,a3a2
6k1/p4p1p/3p1p2/1P1B4/P1n5/7P/r5P1/3R2K1 b - -,a2a4
rn2k2r/p1q1bppp/2P1pn2/1Q6/3PP3/5NP1/PP3P1P/R1B1K2R w KQkq -,d4d5
2rr2k1/q4p1p/bp2p1p1/p1p1b3/Q1P3P1/P1N2B2/1P2PP1P/1RR3K1 w - -,c1d1
3r1rk1/ppq1nppp/2p5/3n4/3P4/1N1Q1N2/PP3PPP/R3R1K1 w - -,a1c1
r2q1rk1/pb2bpp1/np3n1p/2pp4/3P1B2/2N1PNP1/PP3PBP/R2QR1K1 w - -,h2h4
8/6R1/7p/8/3k1pP1/7P/4R2K/2rn4 w - -,g7d7
r1bq1rk1/1p2bppp/p1n1pn2/3p4/P2PPB2/2N2N2/1P2BPPP/R2Q1RK1 w - -,e4e5
8/R7/2p5/1b1p4/p2k4/7R/4rK2/8 w - -,f2g1
6k1/p5r1/1p1p2r1/q1pPb1pp/P1PpPp2/1P1B1P1P/2KQ2PR/6R1 w - -,d2a5
R7/P6k/6Bp/8/1p6/r6P/5PP1/6K1 b - -,h7g7
1r1q1rk1/1b3pbp/pp1ppnp1/n1pP4/P1P5/1PN1P1P1/3NQPBP/1RB2RK1 b - -,e6d5
6r1/Rpk3pp/5n2/6B1/3p4/1P4P1/1P2PP1P/6K1 b - -,c7b6
6rk/5R2/p2R3P/6r1/6PK/2P2P2/8/8 b - -,a6a5
3b4/3N1k2/3p2p1/7p/4P3/3K1P2/6PP/8 w - -,d7b8
2Rr2k1/1b2bppp/pp1pqn2/5N2/4P3/1P4P1/PB2QPBP/5RK1 b - -,d8c8
R7/5r1p/P2pN1k1/2pP4/1bP1K3/7P/8/8 b - -,g6h5
4B3/6p1/6P1/p4k2/8/n7/2p5/2K5 b - -,f5f6
r3k2r/p2nppbp/3p1np1/q7/1pBP1P2/3QB2P/PPP1NP2/1K1R3R w kq -,e2g3
r1bq1rk1/4b1pp/p1n1p3/1pppPp2/3P3P/P1PB1N2/1P1QNPP1/R3K2R b KQ -,c6a5
1bk1r3/3n4/6p1/1R2N2p/p1P2K1P/P1B3P1/1P6/8 b - -,b8c7
rnbq1rk1/4bp1p/p2p1np1/1ppP4/4P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,f8e8
4k3/6p1/4p2p/3pP2P/1R1K2P1/2P5/1P6/4r3 w - -,d4c5
r5k1/6bp/1n1p1np1/2pP4/4p1P1/2N1BP1P/1P1N4/5RK1 w - -,f3e4
2r2rk1/pp2qpp1/1np2np1/4b3/8/2N1P2P/PPQB1PP1/R2R1BK1 w - -,a2a4
2kr3r/pp1q1p2/2npn1pb/2pNp2p/4P2P/1BPP2P1/PP1B1P2/R2QK2R b KQ -,h6d2
3k4/1R3p2/2p3p1/pp5r/7p/1PP4P/P4PP1/2K5 w - -,b7f7
3r2k1/3N1p1p/4p1p1/r4nP1/P3RP2/2R5/7P/6K1 w - -,d7f6
r6r/2p2p2/2p1kp2/p2pp2p/2P2P2/1P1PP3/P4RPP/R5K1 b - -,a5a4
b2q2k1/3r1pp1/2p1p2p/1pP1P3/1P1PB2P/3Q2P1/8/R5K1 w - -,g1f2
r1bq1rk1/pp3pbp/3p1np1/2nPp3/4P1P1/2N1B2P/PP1N1P2/R2QKB1R b KQ -,a7a5
2k5/p1p1pp1p/3rb1p1/2p5/4B3/1PP3P1/P3PP1P/4K2R w K -,e4c2
8/3KRk2/6p1/5rP1/5P2/8/8/8 b - -,f7f8
r5k1/ppp3b1/6p1/2pPr2p/2P2p1q/2N2B1P/PP3P2/R2Q2KR w - -,c3e4
2krr3/1pp2qp1/p1npb2p/5p2/2P5/1PQ1B1PP/P1P2PB1/2KR3R b - -,d6d5
r2q1rk1/p1pbnppp/1pnp4/4P3/2P5/Q1P2NP1/P3PPBP/R1B2RK1 b - -,d6e5
8/1K6/7p/P1k2B2/1n5P/8/8/8 b - -,c5b5
1brq1r2/pp3p1k/2n1pp1p/8/3PP1b1/P1N3P1/1P1QN1BP/R4RK1 w - -,a1d1
rnbq1rk1/4ppbp/ppp2np1/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQ1RK1 w - -,b2b4
1rq1r1k1/4bppp/p4n2/1p1ppP2/8/1P2BPN1/1PP1Q1PP/R2R2K1 w - -,c2c3
8/1R3p2/p4kp1/P4p1p/2r2K1P/4P1P1/5P2/8 w - -,f4f3
2r2r2/1q3pnk/4p1pp/p1n1P1b1/1p1N2QP/5R2/PPP1N1P1/3RB2K b - h3,g5e7
r1q2rk1/pp3p1p/6b1/2bNp3/1nP5/7P/P2QNPB1/R4K1R w - -,d5b4
6k1/7p/p1pN2p1/3n4/R6P/1Pr5/P1P5/2K5 w - -,d6e4
3r4/4n2p/pr1ppk2/1p3p2/1P3PP1/2P1NK1P/1P1R4/R7 b - -,h7h6
1r5n/1p1R3Q/1k1p1qp1/1p2p3/4P1p1/3PP3/1P1KN3/8 w - -,d7c7
1b2r1k1/5q1p/6pB/1P1p4/6P1/3QP2P/8/1R4K1 b - -,f7f3
2r3k1/1qr2pp1/pp2pn1p/4Q3/P1P5/1PNR1PP1/7P/3R2K1 w - -,e5e3
6k1/8/7K/PR5P/8/8/8/r7 b - -,a1a2
8/R1b4p/1pk1p1p1/1r6/3P1P2/6P1/P1KB3P/8 w - -,a7a8
r2q1rk1/pp3ppp/2n1p3/2b2b2/Q2N4/2P1PN2/PP2B1PP/R4RK1 b - -,c6d4
r1r2qk1/3n2p1/bpp1p2p/p2p1p2/2PP4/1P2P3/PQ1NBPPP/2R1R1K1 w - -,a2a3
r3kb1r/pp1n1ppp/2p1pn2/8/1q1P1B2/2Nb1N2/PPPQ1PPP/2KR3R w kq -,d2d3
r4rk1/p7/5np1/2pP4/3n4/P5N1/1B4PP/R4RK1 b - -,f6d5
r1bq1rk1/1p1nppbp/p5p1/2pP1n2/P7/2N2NP1/1PP2PBP/R1BQR1K1 b - a3,b7b6
6k1/1p2pp1p/1P4p1/8/Rp6/3B1PP1/2rn3P/7K b - -,c2c3
1rbr4/1p2ppkp/pNp2bp1/P2Pq3/1Q6/4PB2/1P3PPP/2RR2K1 w - -,b6c4
1rq3k1/1r2ppbp/b2p2p1/3Pn3/P1P5/2N3PP/2QBPP2/1RR2BK1 b - -,e5c4
r7/p4k1p/4p1p1/3p4/5B2/8/P4PPP/3R3K b - -,f7g8
2r1kb1r/p3p1p1/2p2np1/2pq3p/3p1PPP/1P2P3/PBPP4/RN1Q1RK1 w k -,g4g5
2R5/8/8/2p2r1p/3k4/8/3K4/8 b - -,f5f2
r3r1k1/1p3p1p/1npp1Pp1/p1n1qN2/P1b1P1P1/2N4P/2PQ2B1/R3R1K1 b - -,e5f6
6k1/6pp/5p2/B2b1P2/3r2P1/1p1p1P2/3K3P/1R6 w - -,d2e3
r1b2rk1/pp3pbp/2np1np1/qN2p3/2P1PP2/2N1B3/PP2B1PP/R2QK2R w KQ -,e1g1
1q1rr1k1/1b1n1p1p/p1pb2p1/1p5n/P3P3/1NNBBP1P/1P4P1/2RRQ2K w - -,c3e2
8/p2qr1k1/2Bp4/2p2p1p/2Pb3P/1P1Q2P1/P6K/4R3 b - -,d7d8
1R6/4kp2/B5p1/2r4p/8/p3PKP1/Pb3P1P/8 b - -,b2e5
3r2k1/5p2/2p3p1/p2PR3/Pp3n2/1P1P3P/1P3R2/1K6 b - -,f4d3
2r5/5p2/6k1/P7/r6p/2PR2p1/1P1KR3/8 b - -,a4a5
8/3k4/pBbp2r1/5p1p/1P3P1P/6P1/2R2K2/8 w - -,c2a2
rn2k2r/p3nppp/1p1b4/1Bpp4/3P4/1P3N2/P1P2PPP/R1B2RK1 b kq -,e8f8
r3r2k/2q1PQp1/p2p4/1p2p3/P4b1p/2P4P/BP3PP1/R4RK1 w - -,a2d5
8/6k1/8/2bpR1N1/p1p2q2/P1P3pP/1P4K1/8 w - -,g5e6
8/4n3/1kp1P2p/p1N1K1p1/1P6/6P1/7P/8 w - -,c5d7
r2qkb1r/1b1n1p2/p3N1p1/1p1NP2p/2p2P2/1P5Q/PBPPn1PP/R4R1K b kq -,f7e6
r6k/pp4pp/2p1Nrq1/5p2/2Q3P1/P2BPR2/1PP4b/7K b - g3,h2e5
rq1r2k1/5pp1/2p1pn1p/pp6/2PP3P/4Q1N1/PPR2PP1/R5K1 w - b6,b2b3
2br2k1/3r1pp1/2pp4/p3p1p1/P2NP1P1/7P/1PPR1P2/3R1BK1 b - -,e5d4
1rbq1rk1/1ppn1pbp/p2p1np1/8/P1Pp4/2N1BNPP/1P2PPB1/R2Q1RK1 w - -,e3d4
r4rk1/1p3pb1/1q1pb2p/p7/1nPp3N/1Q1P2P1/PP1B2BP/1R3R1K b - -,b6c5
r1b2rk1/ppp3pp/3q4/2b2p2/2Pp4/1P3BP1/PB2PP1P/R2Q1RK1 w - -,a2a3
r1b2rk1/pp1nppbp/6p1/q1p5/2BPP3/1QP5/P3NPPP/1RB2RK1 b - -,d7b6
Q7/p5k1/1p1r1pp1/P1nPq2p/8/4N3/5PPP/5RK1 b - -,d6d7
rnbqkb1r/pp3ppp/2p2n2/3P4/3Q4/6P1/PP2PPBP/RNB1K1NR b KQkq -,c6d5
r2qk2r/pp1b3p/4pbpn/3p4/3n1P2/2N1BQPB/PPP4P/2KR3R w kq -,e3d4
4R3/8/8/8/8/1k6/3Kp3/3b4 w - -,e8e4:d2d3
3r1r2/1p4k1/p6p/8/2P1pp2/7P/P4PP1/3R1RK1 b - -,g7f6
r1bqr1k1/pp1n1pb1/5np1/2pP1P1p/4N3/2NB4/PP4PP/R1BQ1RK1 b - -,f6e4
r7/4b3/2p3k1/3p1p1p/p1pP2P1/PrN1P1P1/1PR2PK1/7R b - -,h5g4
4r1k1/ppQ2ppp/2n3r1/5n2/2q5/4B2P/PP3PP1/R2R1N1K w - -,c7b7
1R6/8/1P6/4P1p1/3K4/6k1/1r6/8 b - -,b2d2
r3k2r/2q1bppp/p2ppn2/1p6/2n1PP2/P1N5/1PP1B1PP/R1BQ1R1K b kq -,a8c8
1r5k/4pR2/2pq2p1/2bp3p/1P6/P6Q/2P3PP/5K2 b - b3,c5d4
r3r1k1/2pbpp1p/2p3p1/3n4/p2P4/4P1P1/P2B1PBP/R1R3K1 w - -,g2d5
5b1k/6pp/2p5/p2nr3/Pr1P1p2/5B1q/QBR1KP1P/8 w - -,d4e5
8/p7/3k4/2n5/8/1p2K3/6PP/R7 w - -,e3d4
7R/8/6k1/r4pp1/7p/5K1P/6P1/8 w - -,f3f2
8/4k3/3NP3/3K2p1/6P1/7P/1b6/8 w - -,d6e4
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2P5/P1NP1N2/1P2PPPP/R1BQKB1R b KQkq -,a7a5
3r3k/pp4p1/1Rp4p/4P3/4QP1P/2P2b2/P4PR1/5K2 b - -,f3e4
4rnk1/6b1/1p4N1/pP1P2P1/r7/6N1/6R1/5RK1 w - -,g6f8
rn2r1k1/pp1n1pbp/1qb1p1p1/3p2B1/3P4/2N2NP1/PP1QPPBP/2R2RK1 w - -,h2h4
8/8/8/1r2k2p/5R1P/6P1/6K1/8 w - -,f4f8
r4rk1/1p1B1p2/n7/p5p1/3B3b/P7/1P3P2/K1R4R w - -,c1g1
2R5/p2r1k1p/5p2/4b3/5p2/5P1P/2P1K1P1/4R3 w - -,c2c3
8/2r3p1/1pP4p/p2kp3/P7/6P1/6KP/1R6 w - -,b1b6
rnbqk2r/pp2ppbp/2pp1np1/8/3PP2P/2N1BP2/PPP3P1/R2QKBNR b KQkq -,h7h5
4k2r/2b2pp1/2p4p/1p2Rb2/1P6/5N1P/r1PB1PP1/1K1R4 b - -,c7e5
3b2r1/kpq5/p3p3/3pPb1p/2pPpBrP/2P3P1/R1P4K/Q4R1B w - -,a1e1
r1bq1rk1/pp2bppp/2nppn2/8/3NP1P1/3B4/PPPNQP1P/R1B1K2R w KQ -,d4c6
5rk1/p3qp2/6np/4PRnN/1r2B3/2p5/P1P2Q2/5R1K w - -,h5f6
r4r2/3R1pkp/1R4p1/8/1p5N/2n3P1/P4PKP/8 b - -,c3a2
2b5/q5kp/3p2p1/P2Bp3/2P5/4P2P/3Q2P1/6K1 w - -,g1h2
8/2r1b2p/p4pp1/2pk4/R5P1/2BKP3/1P3P1P/8 b - -,c7a7
8/3r1k1p/5p2/1p1n2p1/1P6/pB6/P5PP/4R1K1 w - -,e1d1
3B1b2/5k2/p3pp2/1B1nP1p1/3P2P1/5P2/3NK3/8 b - -,a6b5
6k1/5pp1/3p1b1p/5P2/p1rpP2P/1q1N2P1/1P1R1Q2/1K6 w - -,d3c1
r3r1k1/1p1bqpbp/2pp1np1/p1n5/2PNP3/2N1B1PP/PPQ2PB1/3RR1K1 w - -,e3f4
r2qkb1r/3n1ppp/p1p1pn2/1p1p4/2PP2b1/1P1BPN2/P1QN1PPP/R1B1K2R w KQkq -,c1b2
r3qb1k/1p1B2rp/b1p5/p4QB1/3N4/6P1/PP5P/2RR2K1 b - -,g7d7
r1bq1rk1/1p1pnpbp/p1n1p1p1/2p2P2/2B1P3/2NP1N2/PPP3PP/R1B1QRK1 b - -,d7d5
2krr3/2p2pp1/p2q2b1/1pp1N1Pp/P3PP2/3PQ2P/2P5/1R3RK1 b - a3,c7c6
1k5r/pp1r1pb1/3p2p1/2pPp3/8/2PP1PP1/PP4R1/R1B3K1 b - -,f7f5
6k1/1b4bp/p5p1/1p2p1P1/1P2p1P1/PRN1Br2/2P4K/8 w - -,c3d1
1r2r1k1/4qpp1/8/3Rn3/1p2P1p1/1Q4P1/1P4BP/3R3K b - -,b8b6
8/6p1/ppb2p1p/3nk3/P3B3/1P3P2/3B1KPP/8 b - -,c6d7
r2qr1k1/pp1nbpp1/2p1pn1p/5b2/3P1BP1/P1N2N1P/1PP1QPB1/R3R1K1 b - -,f5h7
6k1/4b2p/N7/1R3p2/6n1/6P1/r7/6K1 w - -,a6b8
rnbq1rk1/ppp2ppp/3p1n2/8/2PPP3/P1PBP3/6PP/R1BQK1NR b KQ -,f6e4
r3k2r/ppqb2pp/1bn1pp2/3pP3/1P3Bn1/P1PB1N2/4QPPP/RN3RK1 w kq -,h2h3
8/1p1kbp2/4b1p1/3pPp1p/1P3P1P/5NP1/3BK3/8 b - -,d7c6
r4rk1/1p2qpbp/2pp1np1/p1nPp3/2P1P3/Q1N1BBP1/PP3P1P/R4RK1 w - a6,f1d1
r1b1r1k1/p1q2pp1/2p2n1p/2N1N3/Q2Pp3/4P1P1/P4PP1/1R3RK1 b - -,f6d5
8/6pk/8/3N4/2P4p/4KnqP/Q5P1/8 b - -,f3d2
2rq1rk1/pb1n1ppp/1p1ppn2/2p3B1/2PP4/P1QBPP2/1P2N1PP/R4RK1 b - -,h7h6
3r1r1k/p1q2ppb/Bpp1p2p/3nN3/2PP4/P4Q2/1P1R1PPP/4R1K1 b - -,d5e7
r2q1rk1/1p2ppbp/3pb1p1/p1n5/2P1P3/2N1BP2/PP1QB1PP/2R2RK1 w - a6,b2b3
4r1k1/pppb1pbp/3p2p1/3P4/1PP5/2Q2N2/P4PPP/3R1BK1 b - -,g7c3
8/1p1r2p1/p3kp2/4n2p/8/1PB4P/PKP2RP1/8 w - h6,f2e2
2r2bk1/5p1p/Q3b1p1/3p4/Pq1B4/1Pp1PP1P/2B3P1/R6K b - -,b4b8
rn1qkb1r/pp1b1ppp/4p3/8/2B2n2/1QN5/PP1P1PPP/R1B1K1NR w KQkq -,b3b7
