5k2/1R3b1p/6r1/p7/P7/3N2K1/3P3P/8 w - -,g3f4
r3k3/pb1n3Q/4p1Np/1pPn1q2/2p4P/2P5/P3BPP1/R3K2R w KQ -,h7g8
4r1k1/5pp1/q4n1p/pbnp4/1p1Q4/1P2BP2/P1B3PP/2R3K1 w - -,d4c5
1r2r1k1/4n1b1/2n3pp/1p1q1pN1/5P2/1NpPBQP1/2P3KP/1R2R3 w - -,g5h3
bnn2rk1/3R1ppp/1pp5/4P3/3N4/2N3P1/5PBP/6K1 w - -,d7c7
1r1q3r/p2bppk1/3p1np1/3N3p/2pNP1PP/5P2/PPPQ4/2KR3R w - -,g4g5
8/2qbbpk1/rp1p2pp/r2Pp3/PQP5/R1NB3P/5PP1/1R4K1 w - -,c3b5
7k/R7/4N1n1/p4P1p/1rP5/8/7P/6K1 b - -,g6e5
8/2R4p/4r2k/5qp1/3Pp3/4QnPP/4NPK1/5B2 w - -,e2g1
3rr3/pp3pk1/8/6N1/4Q3/6Pb/Pb2KPB1/R3R2q b - -,h1g2
2rq1rk1/pbnnb1p1/1p2p2p/3pPp2/3P1B1P/2N2NP1/PP1Q1P2/R1R2BK1 b - -,d8e8
r2qkb1r/1b1n1ppp/pp1pp3/6P1/2PNP3/2N1BQ2/PP3P1P/R3K2R w KQkq -,f3e2
r1b2rk1/4ppbp/ppq2np1/1Nn5/8/Q1P1BN2/PP2BPPP/R2R2K1 w - -,b5d4
8/1rk2b1q/2pbpp1p/3p4/p1pP1PPN/P1P1N3/1P2RQ1P/7K w - -,f4f5
8/2kb1p1R/2p1p2P/1pP1P3/1P1P4/2KB2r1/8/8 b - -,f7f5
rnb1k2r/p1p1qpp1/1p1pp2p/4P3/2PP4/2P2N2/P4PPP/R2QKB1R w KQkq -,f1d3
8/6p1/7p/2k5/3b2P1/4QP2/7P/3B1K2 b - -,d4e3
4r1k1/5ppp/1nb2r2/p3p3/Pp2P3/8/BP3PPP/3QR1K1 w - -,a2b3
rn2kb1r/1p2pppp/1p3n2/3p1b2/3P4/2N1PN2/PP3PPP/R1B1KB1R b KQkq -,f5d7:b8c6:e7e6
5k2/p1b5/1pP4p/1P3P2/P1pPb3/2K4P/2R2Q2/2q5 b - -,c1a3
3K4/2p1P3/1p1n4/p7/1kP2BR1/8/4r3/8 w - -,f4d6
r1bq1rk1/pp1n1ppp/3bp3/2pnN3/5P2/NP1B4/PBPP2PP/R2QK2R w KQ -,d1f3
1k6/1bp4r/2Bp4/1P2p1b1/Q1P3q1/2R1P2p/P4r2/4KR2 w - -,f1f2
8/1r6/4pkp1/1PR4p/4PP2/8/6K1/8 b - -,b7d7
8/8/1r1p2pk/1q1Pp3/1Pp1Nb1p/2Q2P1P/6P1/R6K w - -,a1d1
2rr2k1/1b3ppp/p3p3/1pb1n1q1/4P3/1PN5/PBR1QPPP/1B3RK1 b - -,e5d3
5r2/pp2r1kp/5q2/1B1pb3/6bp/1Q4N1/PP3PP1/4RRK1 w - -,b3a4
8/6pp/8/k3p2P/Pp6/1P1NKP2/n5P1/8 b - -,a2c3
4r3/p2q2kp/2pp2p1/8/N1P5/1P2Q1P1/P4PK1/8 w - -,e3d4
3R4/1p3r2/p3pk2/4npnP/P4B2/2N5/1P3K2/8 w - -,f2e2
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b - c3,f8e8:d7d6
r1b2rk1/pp3pbp/nqpp2p1/8/2PNP1P1/2N5/PP3PP1/R1BQRBK1 b - -,b6d4
1q4k1/3n4/1ppr2N1/p1n4p/2P4P/1Pb2PP1/P1Q3B1/4R2K w - -,g6e7
3r1rk1/pp2qppp/6b1/8/4n1P1/1Q2PN1P/PP2BP2/2R1K2R w K -,e1g1
r2q1rk1/1pp1bppp/2b1pn2/p5B1/PnQP4/2N2NP1/1P2PPBP/R2R2K1 w - -,g5f6
2r2rk1/1bqnbpp1/pp2pn1p/3p4/2PP4/1PN2B1N/PBQ2PPP/3R1RK1 w - -,c3b1
R7/P4p2/6p1/6n1/4k3/r3p1Kp/4N2P/8 b - -,g5e6
8/p1p4R/2k1r1p1/2p5/2p5/2P2Q2/Pq4rP/5R1K b - -,c6b6
1rbqr1k1/5p1p/p1p3pB/2p5/3ppQ2/3P3P/PPP3P1/1R1N1RK1 b - -,c8f5
8/6p1/5p2/7p/pPk4P/Pr3P2/2K3P1/2B5 w - -,c1b2
3rqrk1/p3bppp/1p3n2/3BN3/P1P5/6P1/1P3P1P/R2Q1RK1 b - -,f6d5
5b2/2B2k2/2p1p1p1/2Pb1pP1/3P1P2/4P1K1/4BQ2/7q w - -,c7e5
2rr2k1/2qnbpp1/p1b1p2p/2p1P3/n1P1N3/P2B1N2/4QPPP/B2RR1K1 w - -,e2e3
2kr3r/pppq2pp/2nb4/3p4/PP1P1p2/2PQ1N1P/3N1PP1/R4RK1 b - -,h7h6
8/8/P4pk1/1K1Rp2p/4r3/6P1/8/8 b - -,e4e1
8/8/5Q2/8/8/4p2K/3q4/4k3 b - -,e3e2
6k1/r3pp1p/p3b1p1/R3P1b1/8/2p2BPP/1P3K2/3R4 w - -,b2c3
8/8/5kn1/5p2/7p/4K2P/8/R7 b - -,f6g5
8/1N1bk3/2p5/1pPp2K1/p2P4/P1P5/8/8 b - -,d7c8
8/8/3n4/2KP4/1P6/5k2/8/8 b - -,d6f7
5b2/2R3p1/3p1k1p/3Kp3/1rP5/1p2B2P/1P3PP1/8 w - -,c7a7
4qrk1/4b2p/p1p5/PrPp2p1/Rp1B1p2/1N3PPb/3QP2P/3R2K1 b - -,g5g4
r2r2k1/1bq2p2/p2N2pp/7n/Pp2P3/7P/1bB2PPB/1R1QR1K1 b - -,b2c3
r1bqk2r/ppp2ppp/2nb4/3np3/8/PP2P3/1B1P1PPP/RN1QKBNR w KQkq -,d1c2:d2d3
r1b3k1/pp4pp/2p1p2r/2bpPpn1/2P2q2/1P1BPP1P/PB1Q2P1/2R2RK1 w - -,g1f2
r3k1nr/1pqbbp1p/p2pp1p1/8/4P3/1N1B4/PPP1QPPP/R1B2RK1 w kq -,a2a4
8/8/7p/3r1p1P/1pk2Pp1/p1n5/2PB2P1/2R1K3 b - -,d5d2
2R5/5pk1/1p2rn1p/pP4p1/r1N1p1P1/4P2P/5PK1/3R4 w - -,c4d6
3r1r1k/pp2bppB/7p/2pnP3/qP1n4/P3RNPP/5P2/RQB3K1 w - -,e3d3
8/ppk1b1p1/7p/1PP3p1/2R5/7P/5PP1/5K2 w - -,c5c6
r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/4P3/5NP1/PPPPQPBP/RNB2RK1 b kq -,f8e7:d7d6
8/7p/6k1/4pp2/8/5P2/1b1B2KP/8 w - -,d2e3
2kr1b2/ppp3p1/2n5/5p2/4B2q/N1PPp2b/PPQ1P3/R1K3R1 w - f6,e4c6
3r4/1p2p1kr/pN1ppn2/7p/4P2R/2P2P2/1PK3P1/7R w - -,c2d3
2r2r2/pp1bp1qk/2np2pp/3N4/2Pn1P2/4N3/PP1QB1PP/3R1RK1 w - -,e2d3
4rrk1/1pq3b1/2n4p/p1p1pp1Q/2Pp4/P2P2PP/1P3PB1/1R2RNK1 w - -,g2d5
r3k2r/pb1p1pb1/4p2p/2pP2p1/1nB2q2/1PN2N2/P3QPPP/2R2RK1 w kq -,d5e6
6k1/3r1pn1/pp1P1Q2/2r4p/P1P1P3/2R4P/1q4PK/3R4 w - -,d1b1
5rk1/7p/p2p1bp1/2rP1p2/P1n1pP2/1pP3P1/1P2N2P/1R1NR2K w - -,e2c1
r1bqk2r/pppp1ppp/5nn1/2bPp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e8g8
3r4/4kppp/1r1Np3/1B2P3/5P2/2pK4/P5PP/n6R w - -,d3c3
r1k3r1/2p2pp1/1p2b3/p1p1P3/P1P2pP1/1P3P1P/1B1R4/3R2K1 b - -,g8h8
8/5p1k/3B2pp/8/1KB5/P5P1/5P1P/2bb4 b - -,c1d2
3r2k1/5pp1/1P1P1n2/5P2/1P2p3/1P2R2K/2r1BR2/8 b - -,d8d6
2r3k1/3n2bp/p2p2p1/1p1P1p2/1P3P2/NQ1R3P/P1P3P1/4qBK1 w - -,c2c4
3r1r2/6bk/4p2p/p2qP1P1/2nB2R1/2PN4/4Q1P1/R5K1 b - -,f8f5
8/7p/5kp1/2N5/1p5P/6P1/3K4/8 w - -,d2e3
8/5bk1/5p2/2pq2p1/1p2R3/1P2Q3/5PPK/8 w - -,e4e7
r5Bk/1p4b1/3P3p/4pQ2/3qPP2/7R/6PP/5R1K b - -,h8g8
r3r1k1/1pq2ppp/p2b1n2/2pPp3/2P3B1/Q3B1P1/PP3P1P/R4RK1 w - -,g4h3
7k/1p2q1p1/3p1r1p/1p1QpP2/1Pn1P3/5R2/6PP/2B3K1 b - -,e7d7
8/1pN1k1p1/2b3pp/4P3/1Rp2P2/6P1/2r4P/6K1 b - -,c4c3
r1b2rk1/ppp1b1pp/3p4/3pn2q/2PN4/1Q3PP1/PP4BP/R1B1R1K1 w - -,f3f4
r1b2r1k/pppnq1bp/2np2p1/4pp2/1PBP4/2P1PN1P/P4PPB/RN1QR1K1 b - b3,a7a6
2r1r1k1/3n2p1/2q2n1p/5P2/2p1pB1N/2P3PP/P2Q3K/4RR2 b - -,d7c5
6k1/2r2p2/1n2p1p1/p1NpP2p/3P4/qP2R1P1/P2Q1P1P/5K2 w - h6,f1g2
1r6/4kp2/r1p1p1p1/7p/p1RPP3/5KP1/PP3P2/1R6 b - -,b8b5
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,f8e7:a7a6
1rr3k1/7p/R3p1p1/3pP3/1q1Q1PP1/1P2B3/7P/7K b - -,b4e1
7r/pp3kp1/2bB1p2/r7/6p1/4RP1P/P2R1K2/4N3 w - -,f3g4
5n1r/pp2k3/2b1p3/3p2pP/2pP2N1/2P5/P1PKB1P1/7R w - -,g4e5
3r2k1/p4p2/1p3qpp/3P1n2/2B1Q3/5P2/P4P1P/3R2K1 w - -,c4b3
4r3/4N1kp/pp1p1Rp1/2p5/2Pn2P1/1P2R2P/P7/6K1 b - -,g7f6
r1bqk2r/ppp1nppp/1b1p1n2/4p3/2N1P3/1BPP1N2/PP3PPP/R1BQK2R b KQkq -,e7g6
2r5/3bk3/p2pp1pp/1p2b3/3NP3/1PP4P/PK2B1P1/3R4 w - b6,b3b4
5rk1/1bp2pb1/pp1p3p/2q3nP/5B2/1BP3R1/PP4PK/3Q1R2 w - -,f4e3
rnbqk2r/ppp1ppb1/3p1np1/7p/2PPP2P/2N5/PP3PP1/R1BQKBNR w KQkq h6,c1g5
r4rk1/pppqbppp/2np1n2/8/3P1Bb1/2PB1N2/PP1N1PPP/R2QR1K1 b - -,g4f5
r1bq1rk1/pp2ppbp/2p2np1/2p5/4PB2/2NP1N1P/PPP2PP1/R2QK2R b KQ -,b7b6:f6d7:f8e8:f6e8
2rq1rk1/p4pp1/bpn2b1p/3p4/3p4/1PN1PNP1/P1Q2PBP/R2R2K1 w - -,f3d4
1r2brk1/1pp1qpp1/1n2p2p/p1N1P3/P7/1QR3P1/1P2PPBP/2R3K1 w - -,c5b7
r3r1k1/5ppp/1n6/3P4/pN2p3/R5P1/5P1P/5BK1 w - -,f1b5
3r1rk1/pppq2b1/2n3pp/3np3/6b1/1PPPPNP1/PBN1Q1B1/R2R2K1 w - -,e3e4
8/8/8/8/6K1/8/Bk6/8 b - -,b2a2
4r3/1p2rkp1/pbp2p1n/2Np1b1p/1P3P1P/R2PP1P1/1P1B1K1N/4R3 w - -,c5a4
1r3rk1/2qn1p1p/4p1p1/p1p5/2Pp1P2/1P1Q2P1/P3RPBP/4R1K1 w - -,f4f5
2kr3r/pp3p2/2nb3p/3p2pq/3P4/1BP2NPb/PP3Q1P/R1B3KR b - -,d6c7
2r5/1r4pp/1pkBpp2/p1P5/2NP4/2PK2P1/5P1P/1R6 b - -,c8a8
1r1q1rk1/1p1bpp1p/p2p2p1/n1pP4/P1Pb1P2/3Q1NP1/1P2P1BP/1RBN3K w - -,f3d4
r1bq1k1r/5p1p/ppn1p1p1/3pP3/3P4/1NN5/PP2QPPP/R3R1K1 b - -,f8g7
6rk/3Q2bp/p5p1/PpP2p2/1P2p3/5q2/4NP2/3R2K1 b - -,f3e2
8/6kp/1K4p1/5p2/1P4P1/7P/r7/8 w - f6,g4f5
r2qk1nr/pp1b1pbp/2npp1p1/2p5/4PP2/3P1N2/PPPNB1PP/R1B1QRK1 b kq -,g8e7
b5k1/p1q1r1pp/P3p3/1P1pPp2/2rP4/2p1PR2/2P1B1PP/RQ4K1 w - -,f3f2
6rk/r3qppp/1Np1bn2/ppPp4/P2PpN2/1P2P2P/4QPP1/R4RK1 b - -,b5b4
8/1B2k1pp/4pp2/2P1B3/2b5/6P1/2P4P/2K5 b - -,f6e5
4r1k1/1ppb3p/p2p1np1/3P4/1PPb1NP1/3K1n1P/P7/1RB4B w - -,h1f3
r1b4r/pp2knbp/2p3pn/2B1pp2/4P3/2NN1PP1/PPP3B1/2KR3R b - -,e7e8
1k5r/pp3P2/2p2P2/8/1P1p1b1P/P7/5K2/4R3 b - -,f4e3
r1b1k2r/pp1np2p/2p1Nq1n/8/2Pp4/3P4/PP2Q1PP/RN2KB1R b KQkq -,e8f7
5q2/1p2k3/p1r1p1pp/3pQ3/PP1P1B1P/8/6P1/6K1 b - -,b7b5
4rr1k/1R2b1p1/5p2/Q6p/P1P3q1/1P2P1P1/1B3P1P/5RK1 w - -,f2f3
r1bqk2r/ppp1bppp/2n5/3pP3/4n3/3B1N2/PPP2PPP/RNBQR1K1 b kq -,c8g4
r3k2r/1p1b2q1/p1nbpp2/7p/3PQ1pP/P5P1/1P1NNKP1/2R2B1R b kq -,e8g8
1r4k1/p4p1p/Q3p3/5np1/6q1/2R5/5P1P/4NK2 b - -,g4d4
3r1rk1/ppq1bppp/2p1n3/4P2b/PPQ2n2/2P2N2/2BN1PPP/R1B1R1K1 b - -,c7d7
8/5k2/5bp1/4r2p/R7/3KB1PP/5P2/8 b - -,e5d5
3r1bk1/pp3p1p/1qp1b1p1/4P3/P1p1PPn1/2N3PP/QP4B1/R4R1K b - -,g4f2
1r4k1/r1q2pbp/4p1p1/p2pP1B1/3P4/R1P2Q2/1P3RPP/6K1 w - -,h2h4
r4rk1/p4p2/1ppQ3p/3p1bp1/3Bn1nP/2N3P1/PP3PB1/2RR2K1 b - -,e4d6
3rnbk1/rq3p2/1pbp2p1/p1n1p1PP/2P1P1N1/2N1B3/PP2QRB1/2R3K1 w - -,c1f1
r1r3k1/2q2p1p/4p1p1/3nN3/Pp1P1b2/1N6/1P2QPPP/R2R2K1 b - -,f4e5
4r1k1/6pp/1qp5/1pbr4/8/2Q1B3/1PP2PPP/R2N2K1 b - -,d5d1
7R/6n1/1p3rk1/p7/P5p1/1P1B4/6K1/8 b - -,g6g5
4b3/7p/6pk/Q1p1Np2/2P2P2/P3P1PK/3R3P/1q4r1 w - -,a5d8
r1b1k2r/1ppn1pbp/p2p1qp1/3P4/2P1P3/3p1P2/PP2NBPP/RB1QK2R w KQkq -,d1d3
8/3r1k2/p5p1/1pp3P1/2P1RBK1/1Pb4P/P7/8 b - -,d7d1
r2qk2r/1p1b1pp1/1n1bp2p/3pP3/pn1P3P/3B1N2/PP3PP1/R1BQR1K1 w kq -,e5d6
r2q1rk1/pb1n1pb1/4p3/1p1pP1p1/2pP4/6B1/PP2B1PP/R2QNRK1 w - -,e2h5
5rk1/NP3pp1/1p1rp3/2q5/6P1/6P1/6BP/3Q3K w - -,d1f1
3r4/b6p/1k6/pBp1nPp1/P2p4/1P4PP/4R1K1/8 w - -,e2e5
rnbq1rk1/1p2p1bp/2pp1np1/p4p2/2PP4/1PN2NP1/P3PPBP/1RBQ1RK1 b - -,b8a6
2r3k1/r2qn3/p3p1pp/Pp1nPp2/3NNP2/2P5/3QB1PP/R2R2K1 b - -,f5e4
2r2rk1/p1qn1pp1/1p2pnp1/6N1/Q2p3P/2P3P1/PP2RPB1/3R2K1 w - -,a4d4
1r3rk1/1bqnbppp/p2p1n2/1pp1pP2/4P2N/N1PP2P1/PP1BQ1BP/R4RK1 w - -,h4f3
r1bqkb1r/ppp2ppp/2np1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,f2f4
1r4k1/R7/p2Q2b1/2pP2q1/2p3Pn/1P6/P7/1K3R2 w - -,b1a1
r1b1kb1r/pp1n2p1/2n1pq1p/3p4/3P4/3B1N2/PP3PPP/R1BQKN1R w KQkq -,f1g3
8/2B1k3/3pb1pp/4bp2/8/3K2P1/4B2P/8 b - -,f5f4
7k/R7/4N3/2P1nP1p/pr6/8/7P/6K1 w - -,f5f6
rnbqk2r/1p1nppbp/p5p1/2p1P1B1/P4P2/2N5/1PP1B1PP/R2QK1NR b KQkq f3,b8c6
4r1k1/pp4bp/5pp1/8/5P2/2P1B3/PP2K1P1/3R1N1r b - -,b7b6
r4rk1/p3ppbp/2p2np1/4Bq2/2P3b1/1P3BP1/P4P1P/RN1QR1K1 w - -,g1g2
r1r3k1/p3q1pp/bpp1pp2/3pP3/2PP3n/1P2P1N1/PQ3P1P/2RR2KB b - -,f6e5
rnbqkbnr/p2p1ppp/1p2p3/2p5/4PP2/5N2/PPPPQ1PP/RNB1KB1R b KQkq -,b8c6
1b2r2k/pp1q1p2/2r2n1p/1Q1p4/3P3p/P1N1PN1P/5PP1/2R2R1K w - -,b5b2
4r1k1/1p3p1p/p4bp1/1q6/3p4/1P1N1PPP/P1Q2PK1/3R4 w - -,d1c1
8/1p6/8/8/1k6/3K4/8/8 w - -,d3c2
r2qrnk1/pp3pbp/3p1np1/2pP4/2P5/2NB3P/PP1B1PP1/R2Q1RK1 b - -,f6d7
8/2p2kpr/1p6/p2pPR2/P2P4/2P5/2P3K1/8 b - -,f7e7
4k3/8/3Bn3/2PR4/3pP3/6P1/2r1P3/3K4 b - -,c2c3
1n1nrq1k/6bp/2p2p2/ppP2P2/5P2/P2N3P/2QR1BBK/8 b - -,b8a6
q1r1r1k1/1b1nbp1p/pp1ppnp1/6B1/2PNP3/1PN2P2/P2Q2PP/1BR1R1K1 b - -,a8b8:e7f8
7k/4Rrp1/7p/2pPpq2/1pP5/1P4QN/P5K1/8 b - -,f7e7
4r1k1/4pp1p/1p2b1p1/pPn1R3/2P5/P4P2/4B1PP/3R2K1 b - -,e8c8
r4rk1/p3bppp/Qpn2n2/4p2q/5B2/P1N1PN2/1P3PPP/2RR2K1 w - -,f4g3
r2qk2r/pppnbppp/4pn2/3p1b2/P4P2/2P1PN2/1P1PB1PP/RNBQ1RK1 b kq -,h7h5
1rq1k2r/2pb1pbn/pp1p2p1/3Pp1Bp/2P1P2P/PnN2PN1/1P3QP1/3RKB1R w Kk -,g5e3
8/6k1/3R4/p3P2K/r4P2/6P1/8/8 b - -,a4e4
6k1/5p1p/3r1p2/ppR5/1n2P3/6P1/p4P1P/5RK1 w - -,c5b5
3r4/5p2/2p2b2/ppPr1k2/3P1p2/PP5R/3R1BP1/3K4 w - -,h3h5
7r/3k4/3r4/1p1B1p2/4P1p1/P2P2Pp/1P3P1P/2R3K1 b - -,h8e8
2q1rb1k/2p3pn/P6p/4pp2/4N3/2N4P/4QP1K/1R4R1 b - -,c8a8
r1b2rk1/6p1/p3pn1p/1p2N3/4pP2/PP5Q/2q1B1PP/R4R1K w - -,e2g4
5r2/4ppk1/R2p2pp/3b4/P5P1/3P1P2/3NK2P/8 b - -,f8a8
8/1p2ppk1/1np1n3/R7/2P1N3/1p4PP/P3PKB1/r7 w - -,e4c3
r1b2rk1/pp1nqpbp/2p2np1/4p3/4P3/5NPP/PPPNQPB1/R1BR2K1 b - -,d7c5
r1q1k2r/1p1bppb1/2p3p1/p2NP2p/Pn3N2/1P2B1PP/2PQ1PB1/3RK2R b Kkq -,c6d5
r1bq1r1k/ppp1npbp/3p1np1/3Pp1B1/2P1P3/2N5/PP1NBPPP/R2Q1RK1 b - -,c7c5
4rrk1/1p1qbppp/2p1bn2/p2p2B1/P2P4/1BN2Q1P/1PP2PP1/R3R1K1 w - a6,a1d1
2k1rb2/pp1q1p1b/7p/3p4/3N4/2BP3P/PPP5/2KR1Q2 w - -,f1f3
r5k1/p2q1pb1/1pb3pp/5p2/2N2B2/1P5P/1PP1QPP1/3R2K1 b - -,d7e8
2bq1rk1/Q4ppp/4p3/3n4/3P4/2N2B2/P4PPP/3R2K1 w - -,c3d5
8/5pkp/6p1/2bN2P1/3rPP2/7P/1P2R1K1/8 b - -,h7h6
r1bqk1nr/pp2bppp/2npp3/2p5/4P3/2N3P1/PPPPQPBP/R1B1K1NR w KQkq -,f2f4
2n2bk1/8/4Rp1p/4p3/1P2Pp2/3r1N1P/3B1PP1/6K1 w - -,e6f6
5r2/8/1pk5/p2R2P1/P1P1p2P/6K1/8/8 b - -,f8f3
2r1k2r/2qbb1p1/p2pp1p1/7n/1pnNP3/7P/PPP1NQB1/1KBRR3 b k -,e6e5
4r1bk/1p1q2pp/8/Q2P4/P1r1p3/1P1nB1P1/4R1BP/5RK1 b - -,c4c8
8/2R5/P5k1/2pK2Pp/8/6r1/8/8 b - -,g3a3
1q5k/2bn1pr1/pp3n1r/3b2p1/6P1/2NBBP2/PPR2K2/3RN1Q1 w - -,c3e2
5r1k/4R2p/pp1p2pN/3Pn1P1/1PP3p1/8/P7/7K b - b3,e5f3
r3k2r/pp4p1/2n1pP1p/2bn4/8/5NB1/PP1N1PPP/R2R2K1 b q -,g7f6
1k1r4/p1p3pp/1p6/4Q3/8/3P2P1/P4RKP/1q6 b - -,b1d3
4r1k1/p5p1/4q2p/3p4/2p2Q2/P5P1/1PP4P/1K3R2 w - -,f4d4
2rqk2r/1b1nppb1/pp1p1np1/6Pp/3NP3/2N1BP1P/PPPQB3/2KR3R b k -,f6h7
3r2r1/pb2kp2/1p3p1p/2n1p3/2p3NR/P3PP2/1PB3PP/1K1R4 w - -,d1d8
5r2/pbq3k1/1p2p2p/2n1P1pP/3R2B1/8/PQ3PP1/5RK1 w - -,b2c2
1rb1r1k1/1q2b1pp/4p1p1/p2pPP2/3Q1B2/1PN5/P6P/1K1R2R1 w - -,f5f6
r1r3k1/1b1nqpb1/pp1pp1pp/P1p5/1PPPP3/QN3N2/5PPP/3RRBK1 b - -,c5d4
5k2/4rp1p/6p1/1P6/8/2P5/3K4/6R1 b - -,f8e8
5k2/2r5/1N2pn2/P7/3p3p/8/8/5RK1 w - -,f1f6
8/8/6k1/1R6/8/r5PK/8/8 b - -,a3a4
8/7p/4k3/p1Kp1nP1/B5bP/2P5/2P2B2/8 b - -,f5d6
r3kb1r/1bq2ppp/p1p1pn2/1p2P3/5P2/2N1B3/PPP1B1PP/R2Q1RK1 b kq -,a8d8
2n5/pp2prk1/4B1p1/7p/4n3/6P1/5P1P/3R2K1 w - -,e6c8
r5k1/1p1n2bp/1pp2np1/8/2P1PP2/2N3P1/PP2N2P/3R1K2 b - f3,d7c5
8/5p2/1pB1k3/8/Pr3PP1/5K2/8/8 w - -,f3g3
5k2/1b3p2/p4b2/1p3P2/1r6/6R1/2P1BPP1/6K1 w - -,g3d3
2kr2r1/1ppbqp1p/p1p5/2Q5/3NPnP1/1NP5/PP4PP/R3R1K1 b - -,e7c5
8/pq1p3R/4r1k1/2p5/2P3NR/4P1P1/5P1K/8 b - -,a7a5
r3k2r/ppqnbpp1/2p1p1p1/3n4/3P4/1QN1PPP1/PP1B3P/2KR1B1R b kq -,a7a5
1rr3k1/p1q2pbp/3p2p1/1p1P2P1/n2N1Q2/8/PPP1BP1P/1K1R3R w - -,c2c3
r1q2rk1/p1p2ppp/np3n2/3p4/P2P4/2PQPN2/5PPP/R1B1K2R b KQ -,c7c5
8/kpp5/pqb5/4Q3/7r/P1N5/2P5/KR6 b - -,b6d4
8/r3pk2/3p1n2/2pP1p1p/P4r2/1P1R3P/2R3P1/4BK2 w - -,c2f2
8/1p2k3/4n1p1/p1p1pp2/2Pb3p/P6P/1P1R2P1/1K1B4 w - -,b1a2
r3r1k1/pp3pbp/3p1Bp1/2pN1bN1/2P1q3/P2n3P/1P4P1/R2Q1RK1 b - -,e4c4
3q4/1p1r2pk/p1rp3p/4pb2/P1P1N3/1P1RQP2/6PP/3R2K1 w - -,h2h3
r2qk2r/pbpn1ppp/1p1b1n2/3Pp3/8/1P1P1NP1/P2NPPBP/R1BQ1RK1 b kq -,b7d5
r2br2k/1R4pp/8/p1p1PpPP/P1B2P2/8/8/5RK1 w - -,f1d1
4Q3/p2r2pk/P1nq1p1p/2R1p2P/8/2P1B1P1/4PPK1/8 w - -,e8g6
8/2p5/5k2/3b3p/p1pP4/2P2P2/4K1PP/1N6 b - -,f6f5
r7/Pkr2p1p/2p2RpP/1p1p4/8/5R2/1PPK1PP1/8 b - -,a8f8
8/P5R1/4p3/1k1b3p/r4B2/3K2P1/7P/8 b - -,d5e4
R7/5ppk/4p2p/1P6/3K4/7r/8/8 w - -,b5b6
