2R5/k2K4/8/2P5/8/8/8/1r6 w - -,c5c6
rr3nk1/5pb1/pqpNb1pp/4p3/PP5B/2Q1P3/4BPPP/1R1R2K1 b - -,a6a5
8/8/8/kn6/p2r3R/8/1K6/8 w - -,h4h2
rnb1kbnr/p4ppp/2p5/2Nqp3/PppP4/4P3/1P3PPP/R1BQKBNR w KQkq e6,d1c2
2r4k/p5pp/8/1B2B1b1/6R1/8/P5K1/8 b - -,c8c2
6k1/5p2/4p3/p2r3p/3q2pN/1p4P1/7P/2R2Q1K w - -,c1c8
6k1/3r3n/p7/5PP1/Ppp1BB2/3b4/8/3R2K1 b - -,b4b3
8/5pk1/6p1/r7/4p2P/4N1K1/2R2P2/8 b - -,a5a1
7r/pp6/2p1rnk1/P3p3/1P2P1p1/2PR2N1/2P2RK1/8 b - -,b7b6
4r3/5kpp/p1p1pp2/PpPr1q2/1P1P2R1/4QP2/5P1P/3R3K b - -,g7g5
3B4/1p4p1/2pPb3/5k1p/P2K4/8/8/8 w - -,d4c5
2kr3r/ppqn1pp1/3bp2p/7P/2PpQ3/5NP1/PP1B1P2/1K1R3R w - -,f3d4
3r4/pp3p2/3kqP2/3p4/Q7/8/PP2P3/2R2K2 w - -,a4b4
3rkb1r/pp2pp1p/1q4p1/1Npn4/2P2B2/1P3Q1P/P4PP1/R4RK1 w k -,c4d5
r5k1/p5pp/1qp2b2/1p1pnb2/8/2P3P1/PP2BPNP/R2Q1RK1 w - -,g1h1
2kr2nr/ppp2pp1/6b1/2b3Pp/3Np3/2N5/PPP2PBP/2KR3R w - -,g2h3
r1b2r1k/1pp3np/3p3q/p1nPpp2/2P1P3/2N1P2P/PPQNB3/2KR2R1 w - -,d1f1
8/8/8/1B4k1/P7/3N1pK1/8/r7 w - -,g3f3
7r/8/1p2k1p1/1b1pPp1p/pPp2P2/P1PnP1PP/6R1/3B1RK1 b - -,b5c6
3r1rk1/ppqnppbp/4b1p1/2p1p3/P1N1P3/1P1P2PP/2PB1PB1/R2QR1K1 w - -,a1b1
7k/R7/P5p1/7p/r6P/5P2/5K2/8 b - -,h8g8
8/4k3/8/P7/1P3p2/8/8/4K2b w - -,b4b5
4k3/2P2p2/1K4p1/8/7P/8/3R4/2r5 b - -,e8e7
r2q1rk1/pb1nbpp1/1p5p/3p4/2pP4/2N1PNP1/PP2QPP1/1B1R1RK1 b - -,f8e8
r2q1rk1/pbpn2pp/1p1pp3/5p2/2PPn3/P1BBPN2/1PQ2PPP/R4RK1 w - -,a1e1
8/8/1p1k1pp1/1P1p3p/3K1P1P/2N1PbP1/8/8 b - -,f3h1
rq3rk1/1b2bpp1/3p1n1p/pNn1p3/P3P3/2N3P1/1P3P1P/R1BQRBK1 w - -,f1g2
8/4b2p/B4kp1/4p3/P4r2/6K1/4R3/8 b - -,h7h5
8/4kp2/1p1n2pp/p2B4/2Pq4/P4QP1/5PKP/8 w - -,g2g1
8/2k5/2Pp4/1K2p1p1/1p2P1P1/1B5P/P7/4b3 b - -,e1d2
rnb2rk1/pp4np/3pp1p1/6B1/2PP2P1/P1P5/4BN1P/R3K2R w KQ -,g5e7
5nk1/p2q1p1p/1pr3pB/3p1P2/3Pn3/P6Q/4R1PP/5RK1 b - -,d7e7
8/4kpp1/1p1r2q1/p5P1/3pPQ2/8/PP2P3/K1R5 w - -,a2a3
r2qk2r/pp2ppbp/6p1/3pP3/1P1n4/P2Q1bP1/2PN1PBP/R3K2R w KQkq -,d2f3
6k1/1p1q1p2/p1p3p1/3nb2p/1P6/1B2P1PP/P1Q2PK1/4B3 w - -,a2a4
r2r2k1/pp1n1pp1/2p4p/5b2/1bnRN3/2N3P1/PP3PBP/2B2RK1 b - -,d7e5
r4rk1/pp2p1b1/n1p1P1pB/3p1p2/P1qP4/6P1/1P1QPPBP/R4RK1 b - -,c4d4
5rk1/p2q1p1p/3p2p1/3Bb3/8/5Q1P/P4PP1/1R4K1 b - -,f8c8
r7/1p3kpp/5p2/1p3P2/1PbB2P1/3rP2P/P4R1K/2R5 b - -,a8a4
6R1/8/7P/4k2b/8/3p4/8/4K3 b - -,e5e4
r4rk1/1Qpqn1pp/5p2/p7/8/N1P2P2/PP3P1P/R3R1K1 b - -,e7g6
r2qkb1r/1p3ppp/p1nppn2/2p4b/4P3/2PP1N1P/PP3PP1/RNBQRBK1 w kq -,c1e3:b1d2
rn1qk2r/pbp1bppp/1p1p4/3Pp3/2P5/P1N1P1P1/1P1QNP1P/R3KB1R w KQkq -,f1g2
1knq2r1/pp1b3r/2n1p1pp/1R1pPp2/P1pP3P/Q1P2NP1/2PBKPB1/1R6 b - -,c6a5
r2qr1k1/1bpn1ppp/pp1bpn2/3pN3/P2P4/1P1BP3/1BPN1PPP/R2Q1RK1 w - -,f2f4
3r2b1/3rk2p/2pN1pp1/1pP5/pP2P3/P3KPP1/7P/3RR3 b - -,g8b3
r2qr1k1/p4pp1/nppb1n1p/3p4/3P3B/2N1P3/PPQ1NPPP/2R1K2R w K -,e1g1
5k2/2pp1p1p/1p3p2/1Pn1p3/2P5/2qPP1P1/2B1QP1P/6K1 b - -,c5e6
r1q5/pbpn3R/1p1k1p2/3P4/5Q2/P1N1P3/1P3P1P/2K5 b - -,d6c5
4rrk1/pppbb1pp/3pnn2/5N1q/2P2pP1/2N4P/PPQ1PPB1/R1BR2K1 b - -,f6g4
r3k2r/pp1n1pp1/4p3/q2p2pP/P2P2P1/2b1PQ2/1P1B1P2/2R1K2R w Kkq -,c1c3
r2qk2r/pb1n1ppp/1ppbpn2/3p4/2PP4/1PN1PN2/P1Q1BPPP/R1B1K2R w KQkq -,e1g1
3r2k1/pp5p/6p1/3p4/1Pn5/P4P2/3RNKPP/8 w - -,d2d3
r1bq1rk1/2p2ppp/p2b4/1p1p4/3P4/1PP5/1P3PPP/RNBQR1K1 b - -,d8h4
r4rk1/ppq2pp1/2npbb1p/4p3/4P3/2PBNN2/PP2QPPP/R2R2K1 w - -,d3c4
1b4k1/5pp1/p7/5P1P/3Nr3/2P4P/1P6/5R1K b - -,e4h4
8/8/3p4/2pP4/p1P1p3/n1K2kN1/8/8 w - -,g3f5
r1b1kr2/pp2q2p/4n1p1/1Pp2pN1/2Pp1Pn1/3P2P1/P5BP/R2QRNK1 w q -,h2h3
rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,f8g7
8/8/p1pk4/3b3p/6p1/1PN1RrP1/P2K3P/8 b - -,f3f2
8/8/4pkp1/R6p/5P1P/2K1P1P1/8/1r6 w - -,e3e4
8/1r3p1p/2k1p1p1/n1p1P1PP/2pbPPK1/8/1PR4R/8 w - -,h5g6
r1bq1knr/pppp2pp/8/4b2Q/4P3/2P5/P4PPP/RNB1K2R w KQ -,h5e5
r1bqk2r/p4pb1/2p3p1/3p1n1p/N2Pp3/4P1P1/PPQ2PBP/R1B2RK1 b kq -,d8f6
2r1k2r/pp1bbpp1/4p3/2npP3/1q6/3BBN2/PP3PPP/RQR3K1 b k -,b7b6
2bqr1k1/1p3pp1/3p3p/2p1n1b1/2PnPN2/1PB1Q2P/3N1PP1/R2B2K1 b - -,e5g6
r1bqk2r/pp1nnppp/4p3/1B1P4/3P4/2N2N2/2P2PPP/R2Q1RK1 b kq -,e6d5
r1b1rknQ/1p3pp1/2p5/p1p1q3/4NP2/P1P3P1/4P1BP/3R1RK1 b - f3,e5c7
2b2rk1/pp4p1/3rpn1p/3pN3/3P2PP/2PB4/PP2R3/4R1K1 b - -,f6h7
2r2rk1/1p2bppp/p2ppn2/q7/2PRP3/1PN2Q2/PB3PPP/R5K1 w - -,a1d1
1rq1r2k/2n3bp/p2p2p1/P1pQp3/2B1P3/2P1B2P/1P3PP1/R2R2K1 w - -,d5d6
2r2rk1/pb2q2p/1ppN4/3n1pp1/3Pp3/PP2P1P1/1BQ2P1P/2RR1BK1 b - -,e7d6
1q2nbk1/4nr1p/p2p2p1/Np1Pp1P1/1P2P1P1/P3B1K1/2R1N3/2Q5 w - -,e3f2
1r6/p5k1/8/3p1p2/P2P2r1/2P5/4R1B1/6K1 b - -,b8c8
2rr2k1/3qbppp/1pp1p1b1/4PN2/2BP4/1N5P/1P3PP1/R1RQ2K1 b - -,g6f5
r4rk1/pb1nqpp1/1p2p2p/3p4/3PBP2/2N1PN2/PP2Q1PP/R4RK1 b - -,d5e4
r2q1rk1/pp1nppbp/2p1bnp1/6N1/3PP3/2N1B2P/PP2BPP1/R2Q1RK1 b - -,d8c7
r1q2rk1/5pp1/p6p/1b1pb2Q/1PpP4/2P4P/R2B1PP1/R5K1 w - -,d4e5
1r1qr1k1/2pbnpbp/p4np1/1pRPp3/4P3/4BP2/PP1QNNPP/4KB1R w K -,g2g3:d2c1
r3k1nr/ppp4p/2nqpp2/1BPp2pb/3P4/4PN1P/PP3PP1/RN1QK2R b KQkq -,d6d7
7k/2p3b1/p2q3p/3r1p2/1PQ1pP2/8/P4BPP/4R2K b - b3,d5d3
1R6/8/3p4/P2P1npk/1P5r/2R5/3r2KN/8 w - -,g2g1
4rbkr/pb1n1p2/2p2q1p/2p1pNp1/N1PpP3/BP1P1QP1/P4PKP/R4R2 b - -,h6h5
r1bqkb1r/1p3ppp/p1n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQ1RK1 b kq -,f8e7
b7/p4pkp/1p6/3p1B2/8/2P3P1/P4P1P/6K1 w - -,f2f4
2r2bk1/3q1p2/2p3p1/p2p3p/Pn1P1NbP/1P2B1P1/3Q1PK1/1BR5 w - -,f4d3
5rk1/p3r1pp/2Q2p2/1p3P2/3P2R1/7P/q5P1/5RK1 b - -,a2c4
r4rk1/1ppbqnbp/3p2p1/p1nPp3/2P1Pp1N/1PN2P1P/P1Q1BBP1/R4RK1 b - -,g7f6
2r1k2r/pp1bb1pp/1q2pp2/n2pPn2/NP1P4/P4N2/1B2BPPP/R2Q1R1K b k -,d7a4
r4QK1/8/8/5k2/8/8/8/6R1 b - -,a8f8
8/8/8/p7/P2kP3/K7/4B3/6r1 b - -,g1g3
5r2/pr4pk/1q2B2p/P7/1n4Q1/5N2/1P3PPP/2R3K1 b - -,b6b5
3r1rk1/pp1bpnbp/2n3p1/qN1p1p2/2PP4/P3BNP1/1P3PBP/2RQR1K1 w - -,b2b4
6k1/5p1p/p2Q2p1/4n3/2P1q3/4N2P/5PP1/6K1 b - -,e5c4
r3r1k1/1b3pp1/p3qnn1/1p5N/1P1Rp2p/1BP1P2P/5PP1/R2QB1K1 b - -,e6f5
r1bqk2r/1p2bpp1/p2p1n1p/4p3/P3P3/2NQ2P1/1PP2PBP/R1B2RK1 b kq a3,c8e6
6rk/7p/1pq2p2/p2R1P2/3P1b2/2P2Q2/1P4rP/4R1BK b - -,g2b2
r3r1k1/5ppn/p2pq2p/1pp2Q2/P3P3/2PP4/1PB3PP/R3R1K1 w - -,e1f1
8/1p6/p1pB4/3r1kPp/1P2RP1P/7r/5PK1/8 w - -,e4e8
8/1Rk5/P1p1p3/2PpPp2/3P1K1p/7r/8/8 b - -,c7c8
2n2k2/1N4p1/p2pR2p/8/1P3P2/5K2/1r6/8 b - -,b2b4
2b2rk1/2q1r1p1/2p1p1Bp/ppNn4/2pP1P2/2P1Q1P1/7P/4RRK1 w - -,e3f3
4r2k/p5b1/1p2qp1p/2nQ2pN/7P/2R1P3/PPB2PP1/6K1 w - -,d5e6
4R3/8/3B4/5p2/p3bPkp/P3K3/7r/8 w - -,e8g8
rn1q1rk1/p1p2ppp/1p1b4/3p3b/2PP4/3B1N1P/P1P2PP1/1RBQR1K1 b - -,c7c6
2N2k2/1p5p/p1p3p1/2P2p1P/3K4/1P3P2/P5n1/8 b - -,g6h5
6rk/1p2r1qb/3p2n1/PB1P3R/4pp2/8/5QNP/5R1K b - -,f4f3
1rq3k1/3b3p/p5p1/n1pPp3/4p3/P1R1B1PP/2Q2P2/5BK1 w - -,c3c5
2rr4/3nkppp/pp2pn2/2bb4/2N5/1P2PN2/PB2BPPP/2RR2K1 w - -,g1f1
8/8/8/pR6/2K5/8/k7/8 b - -,a5a4
7r/2p5/3pbk2/p1p3pr/2P1P3/1P1NKPR1/P7/6R1 b - -,h8g8
3r2k1/2Q2ppp/1p6/1P2p3/Pp2PqP1/5P1P/3r4/4RB1K w - -,f1g2
1qr5/4r3/1p2pkp1/pPPpRp1p/1n1P1P2/1P4PP/3QB1K1/4R3 b - -,b8c7
2q1r1k1/1b3pbp/p2p2p1/4n3/8/1N3NPP/PB2PK2/Q2R4 b - -,c8h3
3rrbk1/p1q2p2/1pp1n1pp/4p3/2P1B3/3PP1P1/PBQ2P1P/1R1R2K1 w - -,e4g2
2qrr1k1/pp2ppbp/2p1b1p1/3n2N1/3P1B2/2PQ2P1/PR2PPBP/3R2K1 b - -,d5f4
8/7p/2p5/6p1/PkP3P1/3K1P1P/8/8 w - -,f3f4
r1bq1rk1/ppp3bp/3p1n2/3Ppp2/1PP1n3/2N2NPP/P4PB1/1RBQ1RK1 w - -,c3e4
k6r/p1nqpB2/Prp3p1/4b2p/3P4/3NP2P/3Q2P1/R4RK1 b - -,e5d6
rn1q1rk1/1p2bppp/2p1bn2/pP1p4/3P4/P1NBP1N1/5PPP/R1BQK2R b KQ -,b8d7
8/5B2/1k6/p3pP2/7K/2P2p1P/6r1/8 w - -,f7d5
r4rk1/1pp3p1/p1n1bq1p/3npp2/3P4/1BP1PN1P/PP1NQ1P1/4RRK1 b - -,e5e4
1r5k/1B5p/3b4/P3p3/4P3/8/7P/1R5K b - -,d6c5
8/3n2kp/6p1/2p1p3/2P1N1N1/5PP1/4B1KP/3r4 b - -,d1c1
8/5pk1/1R6/6P1/2r2P1K/6P1/8/8 w - -,b6b7
r2qkb1r/pp2pppp/2n2n2/3p4/3P4/2N1PQ2/PP3PPP/R1B1KB1R w KQkq -,f1d3
2rq1rk1/5ppb/n1p1pn1p/ppbp4/2P1P3/PP1P1NP1/1B1N1PBP/R1RQ2K1 b - -,d5e4
1kr4r/1b1q1pp1/pn2p2p/n2pP3/PbpP4/2N1B3/1PB1QPPP/R1R2NK1 w - -,f1g3
5rk1/3r3p/1pn1pp2/2p3p1/p3P3/P1nNKPP1/1P5P/2RR4 w - -,c1c3
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B2RK1 b kq -,f8d6:f8e7:f8b4
r5k1/1pq2pbp/2ppr1p1/4n2n/1PP1P3/2N2P2/3Q1BPP/1R1R1BK1 w - -,b1a1
3q2k1/pp6/5P2/2pb1Br1/3P4/2P4P/P4Q1K/5R2 w - -,f1g1
2r1q3/2r2pkp/2p3p1/2Np4/2nP4/2Q1P2P/2R2PP1/1R5K b - -,c7a7
4r1k1/3q1pp1/8/p1bpB2p/P5P1/1P3P1P/1Q6/4R1K1 w - -,g1g2
r1bq1rk1/pp1n4/2pn1b1p/3p1pp1/3P4/3N1PPN/PP2P1BP/R1BQ1R1K w - -,e2e3
3rr1k1/1pq1bpp1/2p1pnp1/p7/P1BP4/1Q2PPP1/1P1B2KP/2RR4 b - -,e7f8
2k3r1/1p1q4/p7/3p3p/P1n1p1rP/6P1/5PQ1/R1B1R2K b - -,g4h4
r1b2rk1/pppn1ppp/8/3N4/1b2P3/1B2BP2/PPP3PP/R4RK1 b - -,b4d6
8/3q2pk/4R2p/8/4Q3/1P3PPK/P2r3P/8 b - -,h7g8
8/4bk2/8/8/5P2/1r2N1P1/4R1K1/8 w - -,e3f5
rr2b1k1/2q1b1pp/p2p1p2/2PPp3/4P3/2P1BN1P/R1Q2PP1/3R2K1 b - -,d6c5
2rr2k1/p5pp/1p3p2/3P4/8/2n1NP2/1B4PP/2R1R1K1 b - -,c3b5
r2r1k2/1p3pp1/p1p1b2p/8/4B3/P1R1P2P/1P2KPP1/7R w - -,e4c2
2r2rk1/Nb3ppp/pp2pn2/2Q5/2P5/P2B1P2/1P4PP/2R2RK1 b - -,c8c5
1qb1rrk1/3pn1p1/p1n1p2p/1pQ1P2P/5p2/PB1R1N2/1P2NPP1/3R2K1 w - -,e2d4
2br1bk1/p4p1p/6p1/2ppP3/q1p2P2/P1P1BN1P/1P4P1/3RQ1K1 w - -,g2g4
r2q1rk1/1bpnbppp/3ppn2/p7/Pp2P3/1N1P2P1/1PP2PBP/RNBQR1K1 w - -,b1d2
5rk1/3nqp1p/4p1p1/3pP1P1/1p1P1N2/pPr1P1R1/P3Q1P1/5RK1 w - -,e2g4
6kn/6b1/6p1/p2pP1n1/3P4/NQ6/P4R2/4qB1K w - -,b3d5
r1bk3r/pp5p/1n1p1pp1/q1pP4/8/2P3P1/P1Q2PBP/R1B1R1K1 w - -,c2e4
2k4r/1pqb1p1P/p3p1r1/3pPn2/5P2/P1N1BQ1R/2P3P1/1R2KB2 b - -,c7c3
4q3/6rk/4p1p1/4N2p/1p2Q2P/1P3PPK/P7/8 w - -,e4f4
r4rk1/pppn2pp/3bpq2/8/4PP2/2N1B1P1/PP2Q2P/R4RK1 b - f3,d6c5
1r6/6k1/p3p2p/4N2P/P5r1/2P5/KPB5/8 w - -,e5g4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/8/PPPPQPPP/RNB1K1NR w KQkq -,g1f3
5r1k/1p2q1p1/2n4p/rQ2p3/4PpbP/P1P2N2/1P3PP1/2KR3R w - -,b5b6
3rr1k1/p4ppp/8/8/2R5/P2p4/5PPP/5RK1 w - -,f1d1
r1b2rk1/pp1nq1pp/2p1p3/2Pp1p2/1P1PnP2/2N2N2/P3PPBP/1R1Q1RK1 w - -,d1c2
k7/5Q1p/pp3p2/3p4/3p4/1PP2KP1/1q5P/3R4 b - -,b2c3
8/5nk1/5b1p/RQ4p1/P5P1/5P2/KP3qP1/8 b - -,f7d6
rnbq1rk1/pp2ppbp/5np1/4P1B1/2pP4/5N2/PPPN1PPP/R2QK2R w KQ -,e5f6
4r1k1/5pp1/1Q6/7p/2N1pq1P/6PK/5P2/8 b - -,f4g4
rnbq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/3P1N2/PPP1QPPP/RNB1K2R b KQ -,c7c6
8/3r4/R4p2/4k3/1PppP3/8/P2K4/8 b - -,d4d3
r4rk1/5pb1/1n2p1p1/1pp1P1N1/p2pRB1P/P2P4/1PP2PK1/R7 w - -,h4h5
2r2rk1/3nqpp1/3b1n2/P2pp2p/8/4P1PP/Q1NN1P2/BRR2K2 b - -,e7e6
r2qkb1r/p3pppp/4b3/1Q1n4/8/2N5/PP3PPP/R1B1K1NR b KQkq -,d8d7
r3q1kr/ppp2ppp/1bp5/2B2b2/3Q2n1/2P2N2/PP1K2PP/RN3BR1 w - -,f1d3
2r3k1/p1n2pp1/1pq3p1/2p1P1N1/3rP3/P6P/1PQ2PP1/3R2K1 w - -,d1d4
r3r1k1/p4ppp/B4n2/2B1p1q1/1P2P3/8/P3Q1PP/2RR2K1 b - -,h7h6
4Rr1k/2qb2pp/p2p2n1/2pB1p2/2P2P2/2P4P/P1Q3P1/2B1R1K1 b - -,d7e8
r1b2rk1/1pppqppp/2n1p3/p7/2PPn3/2B2NP1/PP2PPBP/2RQK2R w K a6,e1g1
1r2k2r/2qbbppp/p1npp3/6Pn/Np2PP2/1N2B3/PPPQB2P/2KR3R b k -,g7g6
4R3/8/3p1k2/8/5B2/5K2/8/3r4 b - -,f6f5
4r3/3nq1k1/3p2p1/p2Pn2B/2P5/1P4Q1/3N2P1/5RK1 b - -,d7f6
8/p1p3Rk/3p3p/BPn5/2P5/5K2/8/8 b - -,h7g7
rn3rk1/1p3p1p/p1pq2p1/3p1n2/3P4/2N1PN2/PPQ2PPP/R4RK1 w - -,c3a4
6k1/pp1R1rp1/4p2p/3pP3/8/8/PPR2PPP/6K1 b - -,f7d7
r3kb1r/pp2pppp/1qn2n2/3p1b2/3p1B2/2P1PN2/PP1N1PPP/R1Q1KB1R w KQkq -,e3d4
3n1nk1/1p2b1p1/1q2p2p/3pP3/pPrP3P/P2Q1N2/5RP1/2B2RK1 w - -,c1e3
r4rk1/p2b3p/2pqpn2/P4p2/2pP1Pp1/3BP1P1/R1NQ3P/5R1K w - -,d3c4
r1bqk2r/pp3pbp/4p1np/1P1pP3/8/2PB1N2/P4PPP/RN1QR1K1 b kq -,d8c7
8/5kp1/2R1n2p/4B3/8/7P/3r1PPK/8 w - -,f2f4
1r2nr1k/p1q2R1p/6p1/3Bb3/2P5/7P/1P4P1/4RQK1 b - -,f8f7
8/4k3/1pR5/1Pbp2p1/6P1/5K2/8/8 w - -,c6g6
1rrq2k1/3b1pb1/2npp1p1/pp5p/2PpPP1P/PP1P2PB/3BQ1N1/1RR3K1 b - f3,b5c4
8/p2Rnrk1/1p2B3/3p3p/3Pb3/2P3KP/PP6/8 b - -,f7f3
3q1r1k/2r3pp/2p1Rp2/p1Qp1nP1/3P1P2/1P5P/P5B1/4R1K1 b - -,f6g5
2r2r2/p2nqk2/1p1bpn2/3p1p2/N2P1Ppp/1P2P1P1/PB1Q1NKP/2R2R2 b - -,c8c1
r2qkb1r/5pp1/p1npbn1p/3Np3/Pp2P1P1/4B2P/1PP1NPB1/R2QK2R b KQkq -,e6d5
5rk1/1b2bppp/p2qn3/1p1pN2Q/8/1B6/PP3PPP/3RR1K1 b - -,g7g6
2r1rbk1/pp1qnpp1/3p4/2pPp1B1/P7/2PP4/BP2QPP1/R4RK1 w - -,a4a5
r2q1rk1/pp1bbppp/2n1pn2/3p4/3P1B2/2NBPN1P/PP3PP1/R2QK2R w KQ -,e1g1
r3k2r/2qbbppp/p1np1n2/1ppNp3/3PP3/2P2N2/PP3PPP/R1BQRBK1 b kq -,c7d8
2r4k/4pr1p/3pP3/ppp5/5P2/P1PPK3/1R5P/1R6 b - -,f7f6
2b3k1/2q2p2/1ppR2p1/p1n1pPPp/PnP1P3/1PN1BB1P/8/1Q5K b - -,c7d6
r1b1k2r/pp1n1ppp/4p3/3q4/2pPn3/P3BNP1/1PQ1PP1P/R3KB1R b KQkq -,e4d6
4R3/8/4p2k/P4p2/4p3/r7/4KP2/8 w - -,e8e6
rn1qkb1r/pp3ppp/2bppn2/2p5/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 b kq -,f8e7
2krb2r/1pb5/P4pp1/2N4p/1P1P3P/2P1p3/4NpP1/R2K1R2 b - -,b7a6
r4rk1/1pp2qpp/2p1b3/p3p3/1bP1P3/4BP2/PP1NQ1PP/R1R3K1 b - -,f8d8
r2qkb1r/pp1npppp/3p1n2/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,g7g6:a8c8:e7e6:d8c7
rnq1k2r/pp2pp1p/6pb/2p1N3/3P2b1/1QN5/PP2BPPP/R3K2R b KQkq -,g4e6
r4k2/6b1/2p1n1p1/1pPp2p1/1P1P1PP1/r2R3B/1pK1N3/1R6 w - -,f4f5
1rbq2k1/r3bp1p/2p1p1p1/p1Np2Bn/3P3Q/1PPBR3/P4PPP/1R4K1 w - -,g5e7
3r3k/2RB1rbp/Q7/1p3pPp/2b2P2/P3P3/5K2/8 b - -,c4d3
2rqk2r/1p1bb1pp/1nn1p3/p2pPp2/3P1PP1/3B1N2/PP2N2P/R1BQ2RK b k g3,e8g8
3B4/1p4p1/6kp/2P5/1P1n4/3N4/3n1KPP/8 b - -,d2c4
r1bqk2r/ppp1npb1/3p1np1/3Pp2p/2P1P3/2N1BP2/PP4PP/R1NQKB1R b KQkq -,h5h4
2k1r3/p5b1/7p/2ppR3/6P1/1P6/P1KB3P/4R3 b - -,e8e5
r4rk1/1p1nppbp/q1p3p1/2nP1P2/2P1p3/2N3PP/PpRBQ1BK/5R2 w - -,c2b2
r4rk1/1bq2pp1/p2b3p/2nPpB2/1pQ4B/5N2/PP3PPP/3R1RK1 b - -,g7g6
r1b1k2r/1pq1bppp/p1n1pn2/3p4/4P3/2PB1N2/PP1NQPPP/R1B2RK1 w kq -,f1e1
2r3k1/2r2pnp/pq2p1p1/2bpP1P1/1p3PBP/7Q/PPPRN3/1K1R4 b - -,c5e3
2q3k1/5p1p/1p2p1p1/3pP3/3P2P1/1P4K1/2nQP1B1/8 b - -,b6b5
1r6/8/3pP1k1/p1pP1p1p/5R2/1P3KP1/P6P/8 w - h6,h2h3
r1bq1rk1/pppn1pbp/3p1np1/4p3/2BPPB2/2N2N2/PPPQ1PPP/R3K2R w KQ e6,d4e5
8/8/8/5pk1/3R4/1P3p2/P1p1r3/2Rb1K2 b - -,e2h2
8/8/8/7p/2k5/1p2P1P1/1P1RK3/5r2 b - -,f1g1
4K1N1/8/5k2/8/8/8/8/5r2 b - -,f6g7
rr4k1/1Q1bqnb1/3p1Pp1/p2Pp2p/7P/2N2PPB/PP6/R1B1K2R b KQ -,b8b7
1n3rk1/p1p1bpp1/b3p3/7p/PpN5/4BPPq/1PQ1PR1P/R5K1 b - -,c7c5
1r2r1k1/bppb2p1/p2p1p1n/3P4/2P1N3/1P3PPp/PBB1R2P/4R2K b - -,g8f7
2k5/p1pbr1p1/2p4p/8/2NKP2P/P1R3P1/1P6/8 b - -,d7g4
r4rk1/1bqnbppp/ppnpp3/8/P2NPP2/2N1BB2/1PP2QPP/R4R1K b - -,c6d4
8/8/3B1k2/4pp2/2N5/2P2b2/1P5K/4b3 b - -,f3e2
5rk1/1r2P1pp/p7/1pb2p2/2p3P1/2P5/PP1B2KP/4RR2 b - -,b7e7
