8/4k3/3bpp2/8/2K3Pp/3N1R1P/8/1r6 w - -,c4d4
2r1k2r/1p1bbppp/pq2p3/3pP3/n2Q4/2N1B3/PPP2PPP/1R2RBK1 b k -,b6d4
1k5r/pp4Rp/2r2p2/2P4P/1nR4N/4P3/PP3P2/1K6 b - -,b4d3
5B2/1n1k3p/1P2p1p1/3nP3/P1b5/5N1P/6P1/6K1 b - -,d5b6
4r1k1/2R3pp/5q2/pp1B4/1b6/1P4P1/P1Q1PP1P/6K1 b - -,g8h8
r1b1kb1r/1pqn1ppp/p3p3/2p1P3/P1B5/2N5/1PPPQ1PP/R1B1R1K1 b kq -,f8e7
3rrk2/pp1b1pp1/2p2n2/7p/3N1P2/1B2PK1P/PP4P1/2RR4 w - -,a2a3
8/8/8/1pR1N1Pk/1Pb4p/P7/r5PK/8 w - -,e5c4
3r2k1/2p2p2/1p5p/p5p1/2N2n2/1PP4P/P4PP1/2R2K2 w - g6,a2a4
r2q1rk1/pb2bppp/1p2pn2/2np4/2PN1B2/P1N1P3/1PQ2PPP/3RKB1R w K -,f1e2
r2q1rk1/pp4pp/2n1p1p1/3pP3/Pb1P4/4BN2/1P2QPPP/R4RK1 w - -,h2h4
8/1k6/1p1p4/8/P7/2Q1P2P/3P2PK/3q4 w - -,c3b4
5qk1/5rnp/2bp4/2pn1pQp/1rB4N/1P4N1/4RPP1/4R1K1 w - -,c4d5
r2r2k1/p1q1bppp/bpnppn2/8/2P1PP2/P1N1B3/1P1NB1PP/2RQ1RK1 b - -,a8c8
6k1/2Q2p2/3rr1pp/1P6/8/3n2P1/3p1PKP/3B4 w - -,b5b6
8/6kp/5bp1/8/8/5P2/q5PQ/3R1K2 w - -,d1d7
rn1qkb1r/ppp1pppp/5n2/5b2/Q1pP4/5NP1/PP2PP1P/RNB1KB1R b KQkq -,b8d7
r2R2k1/4qp1p/6p1/ppp5/n1b1PP2/2P1B1P1/P4QBP/2R3K1 b - -,a8d8
1k6/1pp4R/6p1/1Q3p2/4nP2/1Bq1p2P/2P3PK/3r4 b - -,e4d6
3qn2k/5B1p/1p6/p1p2pP1/P4P2/2P5/4Q3/6K1 b - -,e8g7
r4rk1/4q1pp/2p1p3/ppPpP3/1PbPp3/P3Q2B/4PP1P/R3R1K1 w - -,h3g4
8/p2k1p1p/1pr5/2n5/1B4P1/P3P2P/5PK1/2R5 b - -,a7a5
r4rk1/3b2pp/p1p1pn2/3p4/1PPq4/P1NB3P/4QPP1/R3R1K1 w - -,c3a4
6nk/r1p3b1/p2pNqpp/3P4/1p2rp1P/4N3/PP2Q3/1K3R1R w - -,e2f2
2b1r1k1/3nbppp/p1q1p3/3pPP2/1r1B4/2NB4/1PP2QPP/2KR2R1 b - -,e6f5
8/5pkp/p7/1p2KPp1/2r5/P4R1P/8/8 b - -,f7f6
5r2/R1nrq1pk/1p1Np1b1/2p1P2p/2Q4P/6PB/1P2P3/R5K1 w - -,a7b7
2r2k2/pp1r2p1/5p2/n2B4/1b2P1P1/1P1R3P/1B3RK1/8 b - -,b4e1
7R/2b1k1p1/p1rn1p1p/4pP2/4P2B/1KPB3P/1P6/8 w - -,h8a8
r1bq1rk1/pp2ppb1/2p2npp/3p4/2PP3B/3BPN1P/PP2QPP1/R4RK1 b - -,c8e6
3r1rk1/ppp3b1/6pp/3Pppq1/1Q6/4P1P1/PP2BPP1/3R1RK1 b - -,b7b6
r1q3k1/ppp1n2p/3p1r2/1Q1Pp1p1/4Pp2/2N2P1P/PPP2KP1/R2R4 b - -,f6f7
3qr1k1/2Rp2bp/p2Bppp1/1p2P3/8/1P3Q2/1P3PPP/6K1 b - -,f6e5
r2qk2r/1p1n1pp1/pn3b2/2pPp1p1/P3P1P1/2N3BP/1P1Q1P2/R3KB1R b KQkq a3,b6c8
r1b2rk1/p2p1ppp/8/b6R/2B1PP2/8/P5PP/5R1K w - -,h5a5
6r1/8/8/6P1/3kp1K1/5p2/R4P2/8 w - -,a2a3
4rk2/ppq1rpbQ/b2p3p/2pP4/6P1/2P1BN1P/PP3K2/R3R3 b - -,e7e3
1r4k1/4bpp1/4p2p/B7/3P4/3qP3/1r3PPP/R1R1Q1K1 b - -,e7b4
6N1/6K1/1r6/8/8/6k1/8/5R2 b - -,b6b3
r4rk1/p3q1p1/2p1n3/3p1b1p/8/2N2PBP/PPPQ2P1/R4R1K b - -,h5h4
1r6/2R5/8/8/Pk2P3/2p2K2/7P/8 w - -,e4e5
6k1/1R3p2/1p1r2p1/p5Pp/P2r1p1P/1PR5/5PK1/8 b - -,d6d7
r1b1kb1r/pp1p1ppp/1q2pn2/n7/2P5/PNN5/1P2PPPP/R1BQKB1R w KQkq -,b3a5
rnbq1r1k/6pp/2p1p3/p4pb1/1P1P1B2/1BR1PP1P/1PQ1N1P1/5RK1 b - -,a5b4
r1b2rk1/1p3pbp/p4np1/6N1/2P1p3/4B2P/PP1N1PP1/R2R2K1 b - -,c8f5
8/8/4pPk1/4P2p/1n1PK3/2p3P1/8/2B5 w - -,c1f4
r2qr1k1/ppn2pbp/4p1pn/2p1N3/3PRP2/2P3N1/PP4PP/R1BQ2K1 w - -,d1b3
r4rk1/1p1qb1pp/p1nppn2/P3p3/4P3/2N1BN2/1PP2PPP/R2Q1RK1 w - -,f1e1
r2qk2r/pp1b1pbp/2nppnp1/1Bp2P2/4PB2/2NP1N2/PPP3PP/R2Q1RK1 b kq -,c6d4
1rq5/6pk/7p/2PpP3/p2P4/2R1BP2/3NK3/1R6 b - -,c8a6
r1bq1rk1/pppn1pbp/2n3p1/4p3/3PP3/Q1N1B3/PP2BPPP/3RK1NR w K e6,d4e5
5r2/1p4b1/3p4/3Rn3/5kp1/1P6/1BP2P2/1K3R2 w - -,d5d6
r5k1/1p2qp1p/3p1P2/p1nP4/2PQp3/8/PP5P/1BR3K1 b - -,e7d7
1rbq1rk1/2p1ppbp/p1np1np1/3N4/2pP1B2/5NP1/PP2PPBP/2RQ1RK1 w - -,d5f6
r2b2k1/3n1p2/2p2n1p/p1Ppp1p1/RP1P4/1N2BPP1/5PBP/6K1 b - -,f6e8
rnr4k/1q3pp1/1b1pb2p/pP1Np3/R1P1P3/3QN1P1/5P1P/R4BK1 b - -,b6d4
r2r1nk1/1b2qpb1/p1pp1npp/1p2p3/PP1PP2B/1NPB1N2/5PPP/R2QR1K1 b - -,f8e6
2r5/pk1n1pp1/3Bp2p/P1p1P2P/1r3P2/R7/1P4P1/1K1R4 w - -,d6e7
8/8/8/5p2/5kp1/3b3r/1R5P/4KN2 b - -,f4g5
r1b2knr/pp1n2pp/4pp2/2P5/1P6/2BB1N2/P1P2P1P/R3K1R1 b Q b3,g8e7
rn1q1rk1/pbp1bppp/1p2p3/3nN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 b - -,d5c3
2kr3r/p1ppqpbp/bnp5/4P1p1/2P1Q3/2N3B1/PP3PPP/2K1RB1R b - -,e7c5
2br1rk1/2p1pp2/N5p1/n3P2p/1p1B1n1P/8/PPPR2P1/2KR1B2 b - -,c8g4
r3r1k1/ppp2pp1/1b5p/1P1p2q1/Q3PnN1/P4P2/N2B2PP/R3K2R w KQ -,e1f1
2rq3r/1b3kp1/p3p2p/1p1p4/3RP2P/4QP1B/PPP5/1K5R b - -,h8e8
2rr2k1/1b3pnp/1q2p3/2b2PPp/1p1N4/2P1Q1NB/Pp1R4/K2R4 w - -,d2b2
6k1/2n2p1p/p3p1p1/3p4/Np1P4/1P2PP2/P4KPP/8 w - -,a4c5
r5k1/1p3pp1/6p1/p1p5/PbP5/3rPqP1/1BQ2P1P/1R4K1 w - -,c2d3
1r2b3/2q1bpk1/p1n1p1p1/7r/5PN1/2P1B1N1/1P4QP/3R1RK1 b - -,h5h4
R7/5pk1/4p3/6pP/4KbP1/8/8/8 b - -,f4g3
8/1pk1r3/p1p2rp1/P1Np1p1p/1P1K1P1P/3BP3/8/6R1 b - -,e7e8
6k1/2p4p/2P2p2/5K2/p6R/6P1/r6P/3n4 w - -,h4d4
7R/5pp1/3p3b/1PrPp2k/P3b1R1/4Nr2/3KN3/8 w - -,e2g3
8/8/5p2/1p6/6p1/k2K4/1p6/1R6 b - -,a3b3
r3r1k1/pp1q2pp/2p1b3/5p2/3PpP2/2N1P2P/PPQ3P1/R2R2K1 w - -,c3a4
1R3b2/5pkp/2q3p1/p7/Q5N1/6PP/5PK1/2r5 w - -,a4c6
8/5k2/4R3/pPp2P2/1r6/3PK3/8/8 w - -,b5b6
r4rk1/3qbp1p/pB1p2p1/1p3PNn/8/3BQ3/PPP3bP/R4R1K w - -,h1g2
rn1q1rk1/pbn2ppp/8/1BpPP3/1b6/2N2N2/PP4PP/R1BQK2R w KQ -,b5d3
r6k/2qpnprp/p3p1pR/1pb1P3/5PQ1/PP1B3R/1BP3PP/7K b - -,e7g8
Q7/4r3/8/2kpP1p1/pqp5/6Pp/2P4P/3R2K1 b - -,b4b7
2b1rbk1/4qp1p/p1rp1np1/2p1N3/NpP1PB2/1P1Q2PP/P4PB1/1R2R1K1 b - -,d6e5
7r/3nk1r1/bp1p1n2/p1pPp3/P1P1Pp1p/5B1P/1PR2QP1/3K1N2 b - -,e7d8
r4r2/1p1Q1pbk/2n3pp/q1p1p3/2P1P1P1/pPN2N1P/P1B2P2/1K1R3R w - -,d7d2
2kb4/2pn1p1r/1p2r1p1/1bp5/p3PNNp/2B2P2/PPP3PP/1K1RR3 b - -,e6e8
3r4/4k3/pq1ppP2/1p4p1/4b1P1/Pr6/1PPQN3/1K1R1R2 b - -,e7f7
6k1/5pp1/4p2p/2r5/n3P3/1p1B1P2/1P2K1PP/1R6 w - -,e2d2
8/1p3pk1/2p2rp1/7p/4P3/1P5q/P1B2p2/1K1Q1R2 b - -,h3e3
1rr3k1/2q1npbp/2P1p1p1/1BRpP3/1pnP3N/1Q4P1/1B3P1P/5RK1 w - -,f1c1
8/5k2/8/5K2/4PP2/7R/7p/7r w - -,e4e5
r1bqk2r/pp3p1p/2n3p1/5Pb1/2PpB3/1N4P1/PP2P2P/RN1Q1RK1 w kq -,b1a3
5rk1/4Rp1p/p4np1/1b1p4/5Q2/5N1P/1q3PP1/4R1K1 w - -,f3e5
4r1k1/1pb4p/p5p1/P2b4/3Bp3/2P5/1R4PP/4R1K1 w - -,c3c4
r3k2r/pbqnbppp/1p1pp3/2PnP3/8/2P2N2/PPBNQPPP/R1B2RK1 b kq -,d6e5
2rq1rk1/1n4pp/bpn2p2/p3p3/P2pPP2/bP1P2PB/4N2P/R1Q1NRK1 w - -,c1a3
rnbq1rk1/ppp1bpp1/3p1n1p/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,c7c6
1r2r1k1/2b3p1/q1p1npp1/p1p1p3/P1PpP2N/1P1P2PP/2QBRP2/5RK1 b - -,g6g5
r1b2rk1/ppqpppbp/2n2np1/1Bp5/4P3/2P2N1P/PP1P1PP1/RNBQR1K1 w - -,d2d4:b1a3
2kr1b1r/ppp2pp1/5n1p/8/1nP5/2N5/P3NPPP/R1B2RK1 w - -,a1b1
1r1r2k1/pp1bqp1p/2p3p1/8/1P1R4/P1Q1PB2/5PPP/5RK1 b - -,d7e6
1q5k/2b3pp/2r1b3/1p2p3/pP2P3/P3NQ1P/1B4P1/3R2K1 b - -,c7b6
r2r2k1/1b3qpp/2p1p3/pnPpB1P1/8/4QP1B/PP5P/1K1R3R b - -,b7c8
r2qr1k1/pp4bp/2ppbnp1/2n2pN1/2P5/2NQ2P1/PP2PPBP/R1BR2K1 w - -,d3c2
5rk1/pp4p1/2p5/2bn4/6r1/2P3N1/PPKR3P/2B4R w - -,h1e1
r2qr1k1/pp1bn1pp/3p1b2/2pP4/2P1N3/1PNQBP2/P2K3P/4R2R b - -,f6e5
8/pp6/6P1/2pp4/4nkNK/P1P5/1P6/8 b - -,e4d6
1rr3k1/p2p1ppp/b3pq2/bNnP4/2P5/PpN1P1P1/1Q3P1P/1R1R1BK1 w - -,d1d4
rn3rk1/1bp1qppp/1p1pp3/p7/2PP4/3Q1NP1/PP2PPBP/R4RK1 b - -,f7f5
2kr4/ppp3pr/2n5/3n4/8/PP1PbNPq/4P2P/R1BQ1R1K b - -,c6d4
8/pp6/2p2kp1/7p/P1B1KP2/1P5P/3b4/8 b - -,a7a6
r3r1k1/5ppp/2p5/4BN2/P3Pn2/2QpKP2/6qP/1R5R b - -,f4d5
r1bqk2r/pppp1ppp/2nb4/8/P7/5N2/1PP2PPP/RNBQ1RK1 w kq -,f1e1
r1k5/p7/1p2p3/2n1Rq2/8/6P1/PQ3P1P/2R3K1 b - -,f5g6
1kr4r/pp1bqp2/5n2/4b2p/1P6/P1N1PPp1/1BQ1B1PP/2RR2K1 b - -,h5h4
5rk1/p1p3pp/1p1p1nq1/3P1p2/2P1rP2/1P4P1/P2B2KP/R2Q1R2 w - -,d1f3
7r/8/3b1k2/pp1p2p1/3P1pP1/P2K4/1PN2P2/3R4 w - -,f2f3
r2r2k1/4qp2/p1bRp1p1/1p5p/3Q4/2P1N3/PP3PPP/4R1K1 w - -,e1d1
4r1k1/ppb2ppp/2p3n1/5B2/3P4/P6P/1P1B1PP1/3Rr1K1 w - -,d1e1
3k4/1p4R1/4p1pp/1Bn3r1/6P1/4K2P/8/8 w - -,e3f3
r4rk1/4ppbp/bq1p2p1/2pP4/8/nPN3P1/P1Q1PPBP/R2RB1K1 w - -,c2c1
r5k1/1b5p/1pp1p2r/p2pPpp1/2P2N1q/1P1BPn1P/PQ3PP1/2R2R1K w - g6,d3e2
r3r1k1/p2b1ppp/2pq1B2/2bp4/Q2N4/2PB4/PP3PPP/R4RK1 b - -,d6f6
3r2rn/1pp1n1pk/1p1pqp1p/7P/3PP3/1PB1N1Q1/1PP2RP1/5RK1 w - -,d4d5
6k1/q5p1/4p3/1p1b4/1p6/1N3P2/PPR5/1K5R b - -,d5f3
r2q1rk1/pb1nbppp/1p2p3/3p4/2PNn3/1P1BP3/PB1N1PPP/2RQ1RK1 b - -,d7c5
rn1q1rk1/1pp3bp/p2p4/3Pp2n/2P5/2N1B3/PP1Qb2P/2KR2NR w - -,g1e2
2kr3r/Qp2qppp/2p5/4p1P1/2b3P1/3PP3/PP1KB3/5R1R w - -,d2c3
6k1/1Q3pp1/5n1p/p4P2/8/3B3P/2P3PK/q7 b - -,a1e5
4rn1k/1p4qp/p1p2Np1/2P3P1/1P6/2Q5/b5BP/4R1K1 b - -,e8e1
r1bqkb1r/pp1nppp1/2pp1n1p/8/3PP1P1/2N1B3/PPP1BP1P/R2QK1NR b KQkq -,e7e5
1nq1kr2/2rp1p2/p3p3/1p5b/3N1Q1P/P7/1PPR1PP1/2K1R3 w - -,d4f5
r3r1k1/1p1n1pp1/2p2n1p/p2p4/Pb1P1B2/3B3P/1PP1NPP1/R4RK1 b - -,f6e4
r1bq2k1/pp3pbp/n2p2p1/2pP2B1/4r3/5NP1/PP2PPBP/R2QR1K1 b - -,d8f8
r4rk1/ppqnppbp/2p3p1/3n4/3P4/1BPb1N2/PP3PPP/R1BQR1K1 w - -,d1d3
r3k2r/pp2pp2/2p2bp1/3q3p/3P1P2/2P1n3/PP4PP/R1BQR1K1 w kq -,c1e3
2kr3r/ppqn2pp/2p1p3/3pP2B/1P1P3b/2P4P/P5P1/R1BQ1RK1 w - -,h5f7
8/8/1n1k1p2/4p1p1/3bB1P1/3K1P2/3B4/8 b - -,b6d7
1k6/8/1pK5/pP6/P1N5/8/5b2/8 b - -,b8a7
1r1q1rk1/3bppbp/p2p2p1/1P6/3nPP2/1PN3P1/P2B1QBP/2R2R1K b - -,d4b5
r3k1nr/1pp2pp1/p1p2q1p/8/3bPB2/3P2QP/PPP1N1P1/R3K2R b KQkq -,d4b2
8/7p/R1pk2p1/P2pp3/8/6Pb/5PKP/1r3B2 w - -,g2h3
r3r1k1/p5qR/Pp2p1P1/8/2P5/8/6Q1/5R1K b - -,g7e5
1r1r3k/1b3pp1/pp3n1p/5Nq1/8/2P2P2/1PB2QPP/R3R1K1 w - -,a1d1
r5k1/pp1b2pp/2n1pr2/q2p1P1Q/3P4/P1Pp1N2/2PB1P1P/R3K1R1 w Q -,h5g5
5rk1/4bppp/2Rp4/3P4/1r3p2/P3qP2/7P/4RQ1K b - -,e3a3
1r1r2k1/p1qn1ppp/P3p3/2P1n3/1p3Q2/4PP2/1P2BP1P/R2RB1K1 b - -,c7c5
6k1/5p1p/p5p1/P7/1pB2b2/7P/1P4P1/5K2 b - -,f4c7
rnb2rk1/2q1ppbp/pp1p1np1/2p5/P2PP3/2PB1N1P/1P1N1PP1/R1BQR1K1 b - -,c8b7
8/p6p/1p1P2pk/2p1Q3/1P2P2P/P4q2/6r1/2KN4 w - -,e5c3
2r2k1r/2Nb1p1p/p2p2p1/8/3R4/6nP/PPP1B1P1/2K1R3 w - -,c7d5
r1bqk2r/pp1pppbp/2n2np1/8/2Pp4/P1N1PN2/1P3PPP/R1BQKB1R w KQkq -,f3d4
6r1/2r1kppR/8/2n1PPN1/3p4/2R2K2/1P6/8 w - -,c3c4
8/8/1p1p2Bk/3P3P/1bP2R2/7r/2K5/8 w - -,f4e4
rn3rk1/p5pp/2p1q3/3p4/PP2p3/8/1P2BPPP/R2Q1RK1 b - -,e6e5
r3k2r/pp1nb1pp/1qp1p3/3p1p2/2PPn1P1/3BPN1P/PPQ2P2/R1B1K1R1 b Qkq -,e8g8
r1b2rk1/3n2pp/1ppqp3/p2p1p2/2PP4/1PQ1PN2/P3BPPP/R4RK1 w - -,a1c1
r1q5/4b1pk/p4n1p/8/3P4/1R1NP2P/Q5P1/6K1 b - -,e7d6
2nr1rk1/pp3pb1/n2pb1p1/3N4/1PP2N1p/4BP2/Pq1Q2PP/2R1RBK1 w - -,c1c2
3r1rk1/pp1nbppp/1qp1pnb1/8/3PNB2/1BN2P2/PPPQ2PP/R4R1K b - -,f6e4
2b5/4k3/p1p5/PpNp2pr/1P1R1P2/2P1K1P1/8/8 b - -,g5g4
2r1k2r/4ppb1/3p1Pp1/3N2Pp/1pbQP2P/nK5R/6B1/3R4 w k -,d4c4
r1b1k3/ppp1bp2/2p4r/4P1pp/3N4/7P/PPP2PPB/R2R2K1 w - -,e5e6:d1e1
r1bq1rk1/2p2ppp/1p1p1b2/p1nP4/2Q5/1PN1N3/P1PB1PPP/3R1RK1 w - -,a2a4
1rb1rk2/5p2/2Np4/1ppP1P2/4P3/1P1B1pP1/5R1P/7K b - -,b8b6
r2r2k1/5pb1/3p1np1/1n1P1b1p/1pN2B2/5BP1/PP2NP1P/R2R2K1 w - h6,e2d4
1r4k1/2nb1p2/pr1p1p2/2pP2qn/2P1P2p/RPQ4P/2BNN1P1/5R1K b - -,c7e8
rnb1k2r/pp1pppbp/5np1/2P5/5B2/3BPN2/PqPN1PPP/R2QK2R b KQkq -,f6d5
r1b1r1k1/ppp1qpp1/2n1p2p/8/2BP4/2Q1PN2/PP3PPP/2R1K2R w K -,a2a3
8/1R5P/4k3/3p2p1/1P4r1/2PK4/6P1/8 b - -,g4h4
3rr1k1/1p1q1ppp/p7/2P5/P1Q5/B3P3/6PP/3R1RK1 b - -,d7d1
r1b2rk1/1p3pbp/p1n1p1p1/6B1/3P4/1BP2N2/P4PPP/3R1RK1 b - -,c6a5
2r2rk1/1p3pp1/p1qp3p/4p3/N3n3/7P/5PP1/R2QBNK1 w - -,f1e3
r2qk2r/ppp1nppp/2nb4/3p4/3P4/2Pb1N1P/PPQ2PP1/RNB1K2R w KQkq -,c2d3
6R1/8/8/1p6/k7/8/7r/1K6 b - -,h2h3
r3r1k1/ppp2ppp/1n4n1/3N4/3P4/2P3bP/PP2BPP1/R1B2RK1 w - -,d5b6
r2r2k1/1q2ppb1/2p3p1/p1Q3Pp/P3N2P/1P3P2/2P5/2KR3R b - -,d8d5
1r1q1rk1/pp1bppbp/3p1np1/n1pP4/2PN4/1PN3P1/PB2PPBP/R2Q1RK1 w - c6,d5c6
8/3R2p1/5p2/1p2p2k/4P2P/1P3P2/2qRK3/8 b - -,c2b3
8/8/1p2B1p1/3K2k1/PbP5/7P/8/8 w - -,d5c6
8/1r3p1R/4k1p1/8/6P1/5P2/5K1P/8 b - g3,g6g5
2r3k1/5pp1/p3q2p/Bp2p3/5n2/P4P2/1PPr1QPP/R6K w - -,f2d2
1rbq1rk1/1p2ppbp/pn1p1np1/2pP2B1/2P5/2NBPN2/PPQ2PPP/R4RK1 w - -,b2b3
6k1/5p2/4p1p1/3pP1b1/b2q4/3B4/4Q1K1/3R4 w - -,d1b1
8/6k1/7p/2pP4/6P1/8/7P/6K1 b - -,g7f6
5k2/5ppp/Bp6/3b4/PP2p3/8/6PP/6K1 b - -,f7f5
r4r1k/3n1Bp1/5n1p/p3Nb2/P7/1Pp1B3/2P2PPP/R2R2K1 w - -,e5g6
6r1/4k3/3p1n2/pBP2P1p/P2K3R/8/7P/8 b - -,g8g5
r3k2r/1pp5/p1nbqpp1/3p1n1p/3P3P/2PQ1BP1/PP1BNP2/R3K2R w KQkq -,e1c1
2k5/2P2p1p/6p1/3N4/4NPP1/r2p3P/1n6/5BK1 b - -,b2c4
2r2bk1/2rn1ppp/bqn1p3/3pP3/Pp3P2/1P3QP1/1B1NN1KP/2RR1B2 b - -,f8c5
8/1p4pp/1b1kp3/p7/P1P5/1P5P/5PP1/3N1K2 w - -,f1e2
5B2/8/Rn1p1pk1/1Pp2n1p/8/8/1P4PP/6K1 b - -,b6d7
2kr1b1r/pppq2p1/1nn5/4p2p/2N5/PP1P2PB/1B2PP1P/R2Q1RK1 b - -,d7h3
4q1k1/1bp2pp1/pn6/1p1P3p/7Q/NBP4P/PP3PP1/4B1K1 b - -,e8e1
r7/3q2bk/4r1pp/1p1bB3/5QNN/P1P4P/5RP1/6K1 b - -,a8f8
8/pp4k1/3p3p/4n2P/2p5/7Q/PPB2q2/2K5 b - -,f2e1
1r5r/4kp2/1qpb1nP1/p1p1p2p/2Q1P3/PPN1BBPb/2P2K1P/R6R b - -,h3e6
r3rnk1/1b2qpp1/1p5p/1PppPp2/5BQ1/2P1P3/3N1PPP/R4RK1 w - -,g4f5
r1bq1rk1/p4ppp/2pb1n2/3p2B1/N7/3B4/PPP2PPP/R2Q1RK1 w - -,f1e1
2rq4/p5kp/bp3bN1/3B3Q/P2P3P/1P4P1/1r3R2/R5K1 w - -,g6f4
8/pbpk4/1p6/8/2P1nP1p/2PK4/P3B2N/8 w - -,e2f3
8/p2b1Nk1/8/1p2r2p/7P/1P6/P5P1/6K1 w - -,f7e5
6k1/5ppb/4p2p/N1Pp3P/P7/4K3/2R5/8 b - -,h7c2
8/8/8/1p1b1pp1/3Pp3/kP4P1/4BP2/1K6 b - -,b5b4
8/4k3/r1b1pp2/p1Rp3N/P2P2p1/1P2P3/3K1P2/8 b - -,e6e5
r1r3k1/1p1npp1p/6pb/2P5/2NBP3/p1P2P2/6PP/R2B2K1 w - -,a1a3
r7/2p2r1p/p2b4/1kp2p2/8/3R1P2/R3NKPP/8 b - -,c5c4
1rbq1rk1/pp1nppbp/3p1np1/2pP2B1/P3P3/2PB1N1P/1P1N1PP1/R2Q1RK1 b - a3,b7b6
