8/7k/3N2p1/1P2P3/4P2p/6RP/6PK/r7 b - -,h4g3
rnbqkb1r/pppppppp/8/8/3Pn3/5N2/PPP1PPPP/RNBQKB1R w KQkq -,c2c4
1q2r1k1/2p2pp1/p2p1b1p/3P3Q/2P2P2/Pr3R2/6PP/2B2RK1 b - -,b8b6
1K6/1n6/1k6/7b/8/8/8/8 w - -,b8c8
r1b3k1/1pq2pbp/p2p1np1/2pP4/Pr4P1/5N1P/RPQBPPB1/5RK1 b - -,a6a5
4k3/1p2np1p/2p1b1p1/4P3/rB3P2/p1P3P1/P1R1BK1P/8 b - -,e7d5
2rqnrk1/4n1pp/1p1p4/p3pb2/2P5/1PNBN3/P2Q1PPP/R4RK1 b - -,f5e6
r2qkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/1P1QPN2/P2N1PPP/R1B2RK1 b kq -,f8e7
rn1qkb1r/4pppp/p1p2n2/1p1p4/2PP2b1/1PN1PN2/P1Q2PPP/R1B1KB1R b KQkq -,g4f3:e7e6
r1br2k1/pp1nbppp/4pn2/3qN3/3P4/2N1B3/PP2BPPP/R2Q1RK1 b - -,d5a5
rnbq1rk1/pp2bppp/4pn2/3p2B1/2PP4/2NB1N2/PP3PPP/R2QK2R b KQ -,h7h6
r1b1k2r/1p1nqppp/p1np4/2p1pP2/2B1P3/2NP1N2/PPPQ2PP/R3K2R b KQkq -,d7b6
r3kb1r/pp2pppp/2n2n2/2p5/6b1/P1N2NP1/1PPP1PBP/R1B1K2R b KQkq -,g4f3
4rq1k/1p3p2/p1p2p1p/5Q2/3P4/P5RP/1P3PP1/6K1 b - -,e8e6
8/b3k1p1/p1p1p1p1/1p2PpN1/1P3PP1/P6P/3K4/8 w - b6,g5f3
r1bqkb1r/pp1npppp/2pp1n2/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,g7g6:e7e5
r1b2rk1/5ppp/pnNqp3/1p6/2pP4/2P1P3/2Q1BPPP/1R3RK1 w - -,e2f3
2r1k2r/3n1p2/1q2p2p/n2pPPp1/1p1P2PP/pP1BQN2/2P2R2/R5K1 b k -,g5h4
8/r5k1/3p2p1/2b1rPKp/1p4PP/1N1R1R2/8/8 b - -,a7f7
r1b2rk1/1p2bppp/p2p1n2/q1nPp3/2P5/2N1B2P/PPBN1PP1/R2QK2R w KQ -,a2a3
r3rbk1/1p3ppp/4b3/p7/2Pq2P1/2NP3P/PP1Q1RB1/5RK1 b - -,a8d8
r4rk1/1b3ppp/pq1p1b2/1p2pP2/4P3/1PNQ4/1PP1N1PP/R4R1K b - -,a8c8
rn2kn1r/p1p1bpp1/q3p2p/1p1pPP2/3P4/2P2N2/PPQ1N1PP/R1B2RK1 w kq -,e2f4
2r5/1br2k1p/pn1p1pp1/1p2p3/1P2P3/P1NPNP2/3K2PP/2R1R3 b - b3,f7e6
2r2rk1/4bpp1/3p3p/p2Qp3/1pq1P1P1/4BPP1/PPPR4/2K4R b - -,a5a4
r3kr2/pp2n1pp/1qp5/2npP2P/6Q1/2P1B2R/PP3PP1/1R2KB2 b - -,e7f5
r2r2k1/4bppp/1qp1p3/p2nP3/8/8/PPB1QPPP/2BR1RK1 b - -,g7g6
r1b3k1/p1p5/2pp2pP/8/4r3/2P3B1/P1P3PP/R4RK1 b - -,c8f5
2R2rk1/p2pb1pp/1p2p3/3n1p2/Pn1P4/1P4P1/1B1NPPKP/3RN3 b - -,f8c8
rr4k1/4qppp/bp1p4/2nPp3/p1P1PP2/4Q1P1/RP1N2BP/4R1K1 b - f3,f7f6
8/2b1k1p1/2p1p3/2Pp1n1R/3PpP2/4P2P/3B3K/8 b - -,e7d7
8/5kp1/1r3p1p/R7/P2pP1P1/r1pP4/2R1K2P/8 w - -,h2h4
1r4k1/4Qp2/3p2pp/2p1bqP1/7K/P4P2/1P3R1P/6R1 w - -,g1g4
r3k1r1/pppqbp1p/2n2n2/4p1p1/2PpP3/NP1P1QPP/P4PB1/R1B2RK1 w q -,f3e2
2r1r1k1/pp4bp/1q2p1p1/3p4/b7/1NP1R1PP/PP3PB1/R3Q1K1 w - -,g1h2
6k1/4r2p/2Rp2p1/3P4/1Q2Bp2/4n1qP/8/7K b - -,g3h3
2r2rk1/p4ppp/1p2p1n1/8/8/1P4P1/PBPR1PKP/R7 b - -,f8d8
2r5/1pr2pkp/1n2p1p1/3p4/P3PP2/1P1B3P/2P3PK/1R2R3 b - -,d5e4
r1b1kb1r/ppqnpppp/3p1n2/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,c2c3
rn5r/ppp2k1p/3bb1p1/5p2/3P4/2N5/PPP2PPP/2KR1BNR b - -,c7c6
8/4k1p1/p7/2p4b/4N3/2K5/8/8 w - -,e4c5
1R6/2n1k3/4p3/5p2/5P2/6P1/6K1/R6r b - -,h1a1
3r4/r2nbkpp/1pB1b3/2p2p2/8/2N1B1P1/P2RPP1P/3R2K1 b - -,a7c7
3q2r1/1pp4k/3p3p/4bbn1/1PP1P3/6PP/2QBN1B1/6K1 w - -,e4f5
8/4k3/4p1Bp/8/5P1K/5b2/8/8 b - -,f3e2:e7d6
8/pp6/8/1P1K4/3P4/2r5/6k1/8 w - -,d5d6
r1b1kb1r/pp4pp/4p3/1P1p4/3Np3/P7/3NB1PP/R3K2R b KQkq -,e6e5
8/2p5/2R5/3rP2p/1p4p1/1P1Pk1P1/2P3KN/8 w - -,h2f1
r3k2r/4qppp/p1pp4/2n1p3/2N1P3/5Q2/PPP2PPP/3RR1K1 b kq -,a8d8
r2qr1k1/pp1b1p1p/3p1pnQ/2pP4/8/2PB1N2/P4PPP/R3R1K1 w - -,h2h4
2kr3r/pp3p1p/1q2b3/1N1p1p2/P1pPn3/1P2QN2/2P3PP/R4BK1 b - -,a7a6
r1bq1rk1/p1p2ppp/1pn1p3/3p4/2PPn3/P1P2NP1/2Q1PPBP/R1B1K2R w KQ -,e1g1
4r3/1q1p1k2/2bQp1p1/1p5r/1N3P1p/P3p2P/1P4P1/2R2R1K w - -,b4c6
1r4k1/3bpp1p/1q1n2p1/2pPp3/1rP1P3/3QNB1P/4RPP1/R5K1 b - -,b4b1
r1b2rk1/2p1qpb1/pn1pp2p/1p4pP/3PPP2/2N3P1/PPPQ2BN/2KRR3 b - f3,b6c4
1r5k/pp5p/2p5/2Pp2R1/PP1Np3/7r/7P/6RK b - -,e4e3
r1b2rk1/pp1nqppp/2p1pn2/3p4/2P3PP/1PN1PN2/P1QPBP2/R3K1R1 b Q h3,b7b6
r4rk1/1pp2p1p/p2p2pb/3Pp1qn/2P1P3/2N2BPb/PP1NQP1P/2RR3K w - -,c1c2
r2q1rk1/p1p1ppbp/1pnp1np1/5b2/2PP3N/1QN1P1P1/PP3PBP/R1B1K2R b KQ -,f5d7
5k2/p4ppp/2rp4/5PPP/1pP2R2/1K1R4/PP2r3/8 w - -,f5f6
r2q1rk1/pbpn1ppp/1p1ppn2/8/1bPP4/2N1PN2/PP1BBPPP/R2Q1RK1 w - -,a2a3
rnb1k2r/p5pp/1q2pn2/2bpNp2/8/6P1/PP2PPBP/RNBQK2R w KQkq -,e5d3
8/6kp/8/1P3Q1P/1q6/8/5PK1/8 b - -,b4d4
6k1/4npbp/rp4p1/4P3/P7/1NP3PP/3N1P2/2R3K1 w - -,d2c4
r5k1/pb4bp/1p6/2p1n1q1/2P1pR2/PP1p4/1N1NB1PP/1R1Q3K b - -,d3e2
r3k2r/p1p1npbp/2pp2p1/8/4PPbq/3BQ3/PPP3PP/RNB2RK1 w kq -,c2c3
5b1r/r2nk1pp/1p2b3/1Bp1p3/8/2Q5/PPP2PPP/4R1K1 w - -,f2f4
3qrbk1/5pp1/b2pP2p/p1nP1P2/3Q4/1p4P1/1B3NBP/4R1K1 b - -,a5a4
8/8/4N1Kp/5p1P/6k1/4b3/8/8 w - -,e6g7
4rk2/3q4/R4PQ1/2r4p/8/1p5P/5PP1/4R1K1 w - -,e1e8
3r4/4q2p/1Q1n2p1/2N2pk1/1p1P4/8/1P3PPP/2R3K1 b - -,d8c8
4r1k1/1pq2pb1/2ppn3/4n1pb/2P1P3/rP2BPP1/3QN1B1/2NR1RK1 b - -,g5g4
rqb2rk1/3nppbp/p4np1/1p6/3N4/Q1P1BN2/PP2BPPP/R4RK1 b - -,c8b7
1rbqk1r1/1p1nbp2/p3p3/3pP1Np/Q5pP/P2B2B1/1PR2PP1/2R3K1 w - -,a4f4
r2q1rk1/ppp2pp1/3pn1np/2b1pN2/4P1P1/1PPP1N1P/1P2QP2/R1B1K2R w KQ -,c1e3
r2q1rk1/1p1b2p1/4p2p/p3bp2/2P1p3/P1Q1P3/1P3P1P/2KR1BR1 w - -,c3e5
r7/5k2/2p5/2p1BpP1/PpPb3p/3P1K1P/P7/4R3 b - -,a8a4
8/8/3p2p1/2pRk2p/2P2p1P/2r2P2/6PK/8 b - -,e5e6
rn3rk1/ppp2ppp/3q4/4N3/3P2b1/2N5/PPPQ2PP/R4RK1 b - -,g4e6
1rr2k2/p2bppbp/2np2p1/1P4P1/4PN2/1P3PP1/P2B2B1/2R2RK1 b - -,c6d4
r1b1k2r/p2n1pp1/2p1pq1p/1p6/P1pP4/2b1PN2/1P2BPPP/R2Q1RK1 w kq -,b2c3
6k1/1p5p/p2p2p1/2pP4/q1PbP3/3Q3B/1P3r2/1R1K4 w - -,d1e1
3r2k1/p6p/6p1/3pB3/5P2/1P1R3P/P1r4P/7K w - -,a2a4
3r1bk1/p2r1b1p/1p3pp1/1R2pn2/PN1p4/3P2P1/1P1BPPBP/2R3K1 w - -,b4c6
r7/3nk1p1/2p1p3/1P2p2p/3bP3/1B1N1P2/1P2K1PP/3R4 b - -,c6b5
2q2rk1/1r4pp/2b1p3/ppn1P1b1/7P/P1N1QP2/1PP1B3/1K1R3R w - -,h4g5
1r2r3/p1kq1p2/bp1p1np1/n1pPp2p/P1P1P2P/1NPB1PB1/1R2Q1P1/R5K1 b - -,e8g8
2r4k/1ppbr1bp/1n4p1/3P1p2/4PB2/pP1B1N1P/P2K2P1/4RR2 b - -,f5e4
8/5p2/4bk1p/6p1/1p1rB1P1/7P/1P2RP1K/8 w - -,f2f3
5r2/2k1q3/1p6/2n1p3/2P4P/4Q1P1/P3BP2/3RK3 w - -,d1d5
r2q1r1k/ppb2pp1/2p1b1np/1P1np3/P1N5/2PP1N1P/B4PP1/R1BQR1K1 w - -,c1d2
2k3rr/1q2bp2/pp5p/2p1n2P/2Pp4/3P1pP1/PPNQ1P2/1R2R1K1 w - -,e1e5
4r2k/p5p1/2n2q1p/8/Nb3B2/1PN3P1/PK2b1QP/4R3 b - -,c6d4
7r/5pk1/4p3/q1n1Pp1p/2Pp1P1P/rp1P2P1/1R3N1K/R2Q4 w - -,a1a3
5k2/1R3B1p/1p2p1p1/p7/1n6/1P2K1P1/r4P1P/8 b - -,b4d5
r3k2r/pppb1ppp/3bn3/8/4p3/4P3/PPPB1PPP/2KR1BNR w kq -,g1e2
8/1R6/5p1p/8/5PKP/2r3P1/1pk5/8 w - -,b7b2
r1q1kb1r/1pp2p1p/2n2np1/p3p3/Q1P1P1b1/2N1BN2/PP2BPPP/R4RK1 b kq -,g4d7
3r1rk1/1p5p/5nq1/p5p1/3pb1P1/1P1N1P2/P2Q2P1/R3RBK1 w - -,d3e5
5B2/8/2k3p1/1P1p3p/2r3rP/1R4P1/3K4/8 b - -,c6b6
3r4/p4pk1/2p2p1p/3br3/5R2/1P4P1/P4KPP/3R1B2 b - -,d8e8
4r3/1p2n1k1/p2p3R/2pP2p1/2P2PP1/3B4/PP3K2/8 w - -,h6d6
r3q3/1p2r1k1/nB3bp1/2Pp1p2/2N1p2p/1Q4P1/P3PP1P/1R1R2K1 w - -,d1d5
rnb1k1nr/pp2bppp/8/q1Pp4/8/3B4/PPP1QPPP/RNB1K1NR w KQkq -,c1d2
r1bqkb1r/1p1pppp1/p1n2n1p/8/2P1P3/2N5/PPN2PPP/R1BQKB1R b KQkq -,e7e6
r1b1k2r/pp3p1p/2n1pp2/3q4/8/4P3/PPQ1NPPP/R3KB1R b KQkq -,c8d7
8/B1q2k1p/Qp2p1p1/3P1p2/2nP3P/5Pb1/2R5/7K b - -,e6d5
r5nr/1b1n1kb1/pq2p2p/1p1pP2p/2pP1P1N/2P5/PPB1Q1P1/R1B1K2R b KQ -,g8e7
r4rk1/pp1nbpp1/1qp1p2p/5b2/3PN3/4PNP1/PP2QPBP/R1BR2K1 b - -,f5e4
8/5k2/5Rp1/3K2P1/5P2/8/4r3/8 b - -,f7g7
8/1r6/8/1k1K4/8/4B3/8/5R2 w - -,f1b1
q4rk1/4bpp1/2bp1n1p/1p2pPP1/3pP3/1B1P4/1PP1N2P/2B1QRK1 b - -,h6g5
5r2/1P6/3R1p2/4p1k1/1pp1Pn2/6p1/1P1N3p/5B1K b - -,c4c3
