8/5pk1/1R6/4P2p/5K2/6PP/8/4r3 w - -,b6b3
6k1/p3bppp/3q4/2r5/1pB1PP2/8/PPR2P1P/2Q3K1 w - -,e4e5
1rbq1rk1/4ppbp/2np1np1/1pp5/4P3/2NPB1PP/1PPQNPB1/R3K2R w KQ -,e1g1
r1bqr1k1/1ppp1ppp/5n2/p1b1n3/2PN4/1PN1P3/PB2BPPP/R2Q1RK1 b - -,d7d6
8/4kp2/2pp2pp/p7/8/2P1N1bP/r5P1/1R4K1 w - a6,e3f1
1kr2nr1/pp2b1p1/1q2p2p/3pPp2/3P1P1P/Pn1QBN1N/1P3RPK/6R1 b - -,f8d7
8/1p2kp2/2rpb3/p1n1n1p1/2PRP1P1/1PK2P2/P3B3/1R6 w - -,b1h1
2b1r1k1/2p3p1/2p2p1p/2n1p3/rPN1P3/4R2P/3N1PP1/R5K1 w - -,a1a4
rn3rk1/pq1pbppp/1p2pn2/8/2PN4/PP3NP1/1B2PPKP/R2Q1R2 b - -,a7a6
4q1rk/7r/p2pp2P/2p1bpP1/1pP5/1P1P3Q/P5R1/5RNK b - -,e5d4
8/p1r2ppk/6bp/4R3/P7/5BKP/P4PP1/8 b - -,f7f6
1rbq1rk1/1pp2pb1/p2p2pp/3Pp3/2Pn2n1/2NQ1NPP/PP1BPPB1/2R2RK1 b - -,d4f3
r1bq1rk1/1p2ppbp/p2p1np1/2nN4/P2NP3/6P1/1PP2PBP/R1BQ1RK1 w - -,f1e1
8/2P4K/8/8/8/pk6/8/8 w - -,c7c8q
r1r3k1/5p1p/pb1p2pB/2qn1N2/1p2Q3/8/1PP2PPP/R3R1K1 w - -,e1e2
8/3r1pk1/p5q1/1p1Pr2p/1P1RpQ1P/8/3R1P1K/8 b - -,g6f6
rnb1kbnr/ppp1pppp/8/3q4/8/8/PP1PPPPP/RNBQKBNR w KQkq -,g1f3:b1c3
1rr3k1/3nbppp/pp2pnq1/8/P1PP4/1Q2B3/1P1N1PPP/RN3RK1 b - -,e7d6
r1bqkb1r/1p2pppp/p1n2n2/3p4/3P1B2/2NBP3/PP3PPP/R2QK1NR b KQkq -,g7g6:c8g4:e7e6
4rr2/1k6/3p2p1/2Pp3p/P1P2P2/6P1/3Kn2P/3RR3 w - -,e1e2
5r2/1p3k2/2p2n2/4B1R1/8/Pr4P1/1P2K3/4R3 b - -,f6e4
8/4bk2/2b1p3/p1p1Pp2/5P1p/2B2r1P/P2K4/3R1B2 b - -,a5a4
r4rk1/pp1b1ppp/n2q1n2/1B1p4/3Np3/PP2PP2/1B1P2PP/R1Q1K2R w KQ -,b5e2
8/5p2/B1k1n1p1/6P1/1Bp1n3/PP6/8/2K5 w - -,a6c4
r4rk1/pp2ppbp/1np3p1/4Pq2/2P5/1P2BN2/P3QPPP/3R1RK1 b - -,f8d8
r1b1r1k1/2q2pp1/p1pb3p/1p4B1/4P1n1/2N3P1/PPQ2PBP/R2R2K1 w - -,g5d2
r1bqnrk1/pp2npbp/3p2p1/3Pp3/4P1P1/2N1BP2/PP1QN2P/2KR1B1R b - -,c8d7
r1bq1rk1/1p1nbppp/p2ppn2/2p5/4P3/1PP2N2/P2P1PPP/RNBQRBK1 w - -,d2d4
8/1k6/5n2/1r6/3R3P/5K2/2R5/8 b - -,f6h5
3rr1k1/1b3pp1/p3pb2/2n1N2Q/1q6/2N1P3/1P3PPP/3R1RK1 w - -,h5f7
8/5R2/3k1p1K/4p3/4r1P1/8/8/8 w - -,f7f6
2b2r2/6k1/p1pp2p1/4p1qp/1PP2r2/P3NP2/2R1Q1PP/4R2K w - -,c2d2
r7/6R1/3k2K1/2pb4/1P4P1/P3R3/8/8 w - -,b4c5
r4rk1/1b1n1pp1/1pq1pn1p/p1b5/2B1P3/P1N3B1/1PQN1PPP/3R1RK1 b - -,b7a6
r2nnrk1/ppp1q1pp/3p4/3Pp2b/2P5/P1B1QNPP/1P3PB1/R3K2R b KQ -,e8f6
rnbqk2r/1p2bppp/p2ppn2/6P1/3NP3/2N4P/PPP2P2/R1BQKB1R b KQkq -,f6d7
8/5p2/2k5/pb6/8/K7/7B/8 w - a6,a3b2
rnb1k2r/pp2nppp/2p2q2/3p4/1b1P1B2/2NB2Q1/PPP2PPP/R3K1NR b KQkq -,b8d7
2b4q/p4k2/1p1p4/2pPnpp1/P1P1p3/1P2P1P1/3K1PBr/2NQ2R1 b - -,e5g4
r1bq1rk1/ppp2pp1/2n4p/2bnp3/2B5/2PP1N2/PP3PPP/RNBQR1K1 w - -,b2b4:b1d2
2rqk2r/pp3ppp/2nb1n2/2pp4/3P4/1PN1PB2/PB3PPP/R2Q1RK1 b k -,c5d4
r5k1/3b1ppp/4p3/3pP3/rpqN1P2/8/P1PQ2PP/1R2R2K w - -,h2h3
1r6/2qb2bp/3p1kp1/p1pBpp2/2P5/Q1NP2PP/P3PP2/1r3RK1 w - -,f1b1
8/p5pp/1rk2p1n/p1N1p3/RP4P1/4P2P/P4P2/6K1 w - -,a4a5
8/pb3p2/1p3n2/4q1k1/1PP2pp1/8/P3BP1Q/3R1K2 w - -,d1e1
6k1/3n1p1p/6p1/4p1P1/1bP1P3/1B2PNP1/6K1/8 w - -,g2f2
rn1q1rk1/1p1n2bp/p1p2pp1/8/2pP1Bb1/2N2NP1/PP3PBP/R2Q1RK1 w - -,h2h3
N2r2k1/pp4b1/3q2Bp/4n3/7N/8/PPQ3PP/2R2b1K w - -,c1f1
8/R1R2nkp/1r4p1/8/4N3/1b3P1P/6PK/8 w - -,e4g5
r3r1k1/1bq1bppp/ppnppn2/8/P3PPP1/1NN1BB2/1PP4P/R2Q1RK1 w - -,g4g5
r2q1rk1/1b1nb1pp/4p3/1p1p1p2/1P1PnB2/2N2NP1/2Q1PPBP/1R3RK1 w - -,c3e4
2kr3r/pppb1pp1/3p1n1p/7P/3PPB2/3B1P2/PPPK4/R6R b - -,a7a6
4b2Q/p4kp1/2p3p1/8/6p1/7P/PPPr1PK1/8 w - -,h3g4
2r3k1/p4p1p/4n1p1/BR2b3/8/6PP/P4P2/5BK1 b - -,e5d4
8/2pk3p/2Nb4/P2P1pp1/2R5/r5P1/1K3P2/8 w - -,a5a6
rr4k1/1n3qpp/pn1p4/1ppPp1P1/4N1P1/1PP1B3/P1Q2P2/R2R2K1 w - -,d1d2
r2qk2r/pp3pp1/2pbpn2/8/2P1P3/1P1n2P1/PB1N1PB1/R2Q1RK1 w kq -,b2c3
2rqkb1r/p4pp1/1pn1p2p/4P3/3P4/P2Q1N2/1P4PP/R1B2RK1 b k -,d8d5
3r4/1pqr1k1p/p1p1pppb/8/2PP1PP1/3R1Q1P/1P4K1/3R2B1 w - -,g1h2
2r1kb1r/pR3ppp/2n1pn2/3p4/3P1B2/5B1P/q1P1NPP1/3Q1RK1 b k -,c6d8
r1r3k1/3n1pbp/p3p1p1/R7/2pPP3/1bB1NP2/6PP/4RBK1 w - -,e1a1
1rq2rk1/2p1n1pp/3p4/3Pp1R1/Q1N1p3/2P1PP2/1P5P/6RK b - -,e7g6
1k4n1/5p2/1q2p1p1/p3P2p/1bQp1P2/3P2PP/1P3NB1/6K1 b - -,g8e7
1r2r1k1/7p/3p1Rp1/1p2q1P1/2p1P3/4R1Q1/1P6/5BK1 w - -,f6d6
r1bqk1nr/pppnpp1p/3p2p1/3P4/3QPP2/2N5/PPP3PP/R3KBNR b KQkq -,f7f6
8/p4k1p/4n1p1/5pP1/2R1rP2/7P/r7/2R1N1K1 w - -,e1d3
r1bqk2r/pp3ppp/2n2n2/3pp3/1b2P3/2NBBN2/PPP2PPP/R2QK2R w KQkq d6,e4d5
rnbk2nr/ppp2pbp/6p1/4p3/2P1P3/2N5/PP3PPP/R1B1KBNR w KQ -,g1f3:f2f4
2kr3r/1pp2p2/p1q5/5bp1/1P1B4/2P1RPP1/P2Q1K2/6R1 b - -,g5g4
r4rk1/1b1n1pbp/p2ppnp1/qp6/P2PP3/RB3N2/1P1NQPPP/2B2RK1 b - -,a5b4
5k2/1p1b1p1p/p2q1bp1/N2p4/n2N4/P2BP2P/1PQ1KPP1/8 b - -,b7b6
r4Nk1/pp2pnn1/2b3p1/8/3q4/3BQ3/PRPB2PP/5RK1 b - -,d4b2
r1bqnr2/pp4bk/1n1p2pp/2pPpp2/2P1P3/1PNNBPPP/P2Q2B1/2R2RK1 b - -,e8f6
rn1q1rk1/p1p1ppbp/1p4p1/3p4/2PPb3/1Q3NP1/PP2PPBP/R1B2RK1 w - d6,c4d5
8/3N2n1/8/4K3/7k/7B/8/8 w - -,h3f1
1rqb1rk1/5ppp/3p4/4p3/Rp2n3/4B3/1PP1BPPP/3Q1RK1 w - -,d1d5
r1b2rk1/pp4p1/1nnbpq1p/3p4/3P4/2NBBN2/PP3PPP/R2Q1RK1 w - -,d1b3
8/p1r5/R5pk/7p/1P6/P4N2/5K2/8 w - -,b4b5
5nk1/5pp1/p3p2p/2p1P3/2P4P/q4N2/2BQ1PP1/6K1 b - -,a6a5
2r2rk1/3n2b1/bp2pq1p/p2p2p1/P2P4/2R1BNPP/nP1Q1PB1/4RNK1 w - -,f3e5
8/1p2B3/2b1p3/2P1Pkp1/4r3/8/5K1R/8 b - -,e4e5
3q1rk1/2pbnpbp/p2p1np1/p2P4/1rPN1B2/2N2B1P/1P1Q1PP1/R3R1K1 w - -,b2b3
1n1q1rk1/1r2bppp/p2pb3/4p3/1p2P3/1N1QB1PP/PPP2PB1/R4RK1 w - -,b3d2
8/3p1n2/8/1B1Pp1p1/1p1kPrP1/6K1/8/2R5 b - -,f7d6
r1q1k2r/pp2ppb1/2p1bnp1/3PN2p/3P1P2/B5P1/P1P1P1BP/1R1Q1RK1 b kq -,e6d5
r1bq1rk1/pp1nbppp/2p1p3/8/2nPP3/2N1BN2/PP3PPP/1BRQ1RK1 w - -,e3f4
r2qr1k1/1b1n1pbp/p1pp1np1/1p6/2P1PP2/2NPB2P/PP1QN1B1/R4RK1 w - -,a1e1
r2q1rk1/1b2bppp/2n1pn2/p5B1/R2P4/2NB1N2/1P2QPPP/3R2K1 w - -,g5f6
r4rk1/pppq1pbp/2np2p1/4p2n/1PP1P3/P1NP2P1/1B3PKP/R2Q1RN1 b - -,f7f5
8/8/p3Kpk1/3P2p1/1R2P3/P3r3/8/8 b - -,e3a3
8/1k5p/8/p6P/1p6/8/1P3RP1/1r4BK w - -,h5h6
5r2/7k/p2P1b1q/2P3R1/2B1p1Q1/6P1/P5P1/2K5 b - -,h6g5
r2r2k1/1pq1bppp/5n2/1Pp1pN2/n3P3/5BP1/2P2P1P/R1B1QRK1 w - -,c1g5
3rr1k1/1ppq1pp1/1bn4p/p2npb2/4N3/1BPPBN1P/PP2QPPK/3R1R2 b - -,d5f4
r3k2r/1bq1bppp/pp2p3/2pnn3/3P4/2P2N1P/PPB2PP1/R1BQR1K1 w kq -,d4e5
8/8/1b3k1p/p5p1/P1P1B3/4PK1P/8/8 b - -,h6h5
rn1q1rk1/1p3pp1/2p1pb1p/p7/PPQP4/2N1PBP1/5P1P/R4RK1 b - b3,a5b4
6k1/1pq4p/2p1b1p1/p1bNp3/P1P1Pr2/1P5P/2Q2PBK/3R4 b - -,c6d5
r2qnbk1/1p1b1r2/p2p2n1/3Pp1pp/P3Pp2/N1R2P2/1P1BBNPP/R2Q2K1 b - -,e8f6
2r1r1k1/1p4np/p2p2p1/3P4/P2Q1P2/6qP/1P4B1/R2N1RK1 b - -,c8c2
8/1p5p/p1p2qpk/P1P1b3/5p2/1P3PP1/3Q3P/3B3K b - -,f6g5
r5bk/1p1n2pp/p1np1q2/4pr2/1PNP4/P4P2/1BQ1B1PP/R4RK1 w - -,c4d6
r3k1r1/2qbbp1p/p3p3/1pPpP3/1P4p1/P1Q1B3/4BPPP/R1R3K1 b q -,d7c6
rnbqkb1r/pppp2pp/4pB2/8/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq -,d8f6
r2qkb1r/pp1b1ppp/2n2n2/3p4/3Q4/2N1BN2/PP2PPPP/R3KB1R w KQkq -,d4d2
rnb1kb1r/pp1p1ppp/1q3n2/2pp4/4PB2/1PP2P2/P5PP/RN1QKBNR w KQkq -,e4d5
6k1/p2p1pbp/b1n1p1p1/1qp5/4P3/2PP2P1/PB1Q1PBP/3N2K1 w - -,c3c4
8/8/R3k3/8/4N3/5K2/8/1r6 b - -,e6e5
4kb2/8/5KP1/4B3/8/8/8/8 b - -,f8h6
3rk3/6q1/p2b1Q2/2p5/2P5/1P2P3/6PP/6K1 w - -,f6g7
8/8/4R3/5pp1/7p/3K1k2/8/8 b - -,h4h3
rn1qkb1r/ppp2ppp/4pnb1/4N3/2pP2P1/2N1P2P/PP3P2/R1BQKB1R b KQkq -,b8d7
r1bqk2r/p1pn1ppp/2pp4/2b5/4P3/3B3P/PPP2PP1/RNBQ1RK1 w kq -,b1d2
r2r2k1/2q2p2/p6p/1p2nQP1/N5p1/PP1p4/1BP1N3/2KR3b w - -,a4c3
2kr1r2/1p4b1/p1n1p2p/3p2p1/5n2/2P1N2P/PP3PPB/2KR1B1R w - -,e3c2
r2qk2r/1b1nppb1/p1pp1n1p/1p5P/P2PP1p1/2PB2B1/1P1QNPPN/R3K2R b KQkq -,c6c5
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2PBP3/PP3PPP/RN1QK1NR b KQkq -,b8c6
2bq1rk1/4n1p1/p3p2p/3pNp1Q/1p1P1P2/3BP1R1/PP4PP/6K1 b - -,f8f6
r1b1qrk1/pp2bnpp/2p1pn2/1P1p1p2/2P5/P1NPPN2/1BQ1BPPP/R4RK1 w - -,d3d4
r1b2rk1/p1q2ppp/3bpn2/3p4/8/1N1B3P/PPP2PP1/R1BQ1RK1 w - -,c1e3
2r1r3/1bqnppbk/pp1p1npp/8/2PNP3/2N1BP1P/PP1Q2P1/2R1RBK1 w - -,b2b3
r4rk1/pB1n1p1p/1b1B2p1/1P4q1/3p4/6P1/P1Q1PP1P/1R3RK1 b - -,a8d8
r7/5qpk/2pB2p1/p1P3PP/P4N2/1P6/2Q2K2/4R3 b - -,f7d7
r7/8/5P2/3N1k2/PK5p/8/5N2/8 b - -,f5e5
4r1k1/p1p1rb1p/3pqpp1/2p5/2P1PP2/1PQBR2P/P5P1/4R1K1 b - -,c7c6
8/1bk1bp2/1pp3pp/p3Pp2/P1P3P1/1P1B3P/1B2K3/8 w - -,g4f5
3rr1k1/5pp1/8/1p1p2Pp/pN1P4/n1P2B2/5BK1/2R5 w - -,f3h5
4k2r/2q2pp1/p3p3/1p1rb2n/7p/P4P2/1PP1N1PP/1R1Q1RBK w k -,d1c1
8/1r2kp2/1pb1p1p1/2b1P2p/p1P4P/P2R4/3R1PP1/5K2 b - -,b6b5
2bq1rk1/r2n4/pp1p1pp1/2pPp1b1/P1P1P1Pp/1PQ4P/1B2NPB1/R4R1K b - -,d8e7
r1bq1r1k/pp4b1/2p5/2Ppn1Nn/4pB2/1QN3P1/PP3PB1/R4RK1 w - -,f4e5
4r3/4q1k1/1p1n1b1p/p1pP4/P1P2B2/7P/2Q2PBK/2N5 b - -,f6e5
8/5k2/2np3P/5NK1/8/8/8/8 b - -,f7g8
r2q1rk1/ppp2ppp/2n1bn2/2bpp3/4P3/2PP1N1P/PPBN1PP1/R1BQK2R b KQ -,b7b5
rn1qr1k1/5pb1/pp1p3p/2pP1bp1/P1N3n1/1QN1B1P1/1P2PPBP/R3R1K1 b - -,a8a7
r7/pp3Q2/1npk4/4R3/3P4/2P1P2P/4KP2/2q5 b - -,c1c2
2rqk2r/np2bpp1/p3p2p/1b1pP1PP/3P1P2/2B2NKB/PP1Q4/R6R b k -,b5d7
1r6/3qppk1/3p1np1/2r5/7R/1B3P2/1PP2QP1/R5K1 b - -,d7c7
1Rb2rk1/7p/r2p2pb/3PN3/p2nNn1q/B7/P4PPP/3QRBK1 b - -,d6e5
r1bq1rk1/ppp2pbp/n4np1/4p3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1e3:d1c2
3R4/8/8/8/4b3/4k3/1r6/4K3 b - -,b2h2
r4rk1/1pp3pp/4pp2/pP1qP3/P2P4/4PP2/1Q4KP/R4R2 w - -,a1c1
rn2k2r/1bq2pbp/p2p2p1/1p2p1B1/4P1Q1/1NN5/PPP2PPP/R4RK1 w kq -,a1d1
r4r1k/ppqnbpp1/2p1p2p/4P2P/5P2/6N1/PPPBQ1P1/2KRR3 w - -,g3e4
r1bq1rk1/pp2ppbp/n4np1/1Npp4/2PP1B2/4PN2/PP2BPPP/R2QK2R b KQ -,c5d4
4r1k1/pp2qp1p/4b1pn/2p1Q3/PnP1N3/1P2P1PP/5PBN/3R2K1 b - -,e8d8
8/1B6/8/5k2/1PP2nR1/1K4pP/4r1P1/8 b - -,e2e7
1k6/6P1/p1r5/3n1p2/7N/1p6/6P1/5RK1 b - -,d5f6
6k1/p4pp1/4p2p/2N1R3/P1b5/2n2PP1/1r4BP/6K1 w - -,e5e1
8/3k1K2/p7/Bp6/1P6/8/8/8 w - -,f7f8
rn3rk1/2pb1qp1/p3p2p/N1PpR3/8/5P1P/PPPBQ1P1/2R3K1 b - -,f7g6
3qrnk1/1pr2pp1/p1p2n1p/P2pp3/1PP1P3/3PNNP1/R4PKP/1Q2R3 b - -,c7d7
8/pp6/7k/2R4p/2PpP3/3P2rb/PPN5/7K w - -,c2d4
4rrk1/1p3pbp/p2p2p1/3P3P/3p1PP1/3B4/PPP5/2KR3R b - g3,e8e3
8/8/8/5p1P/p3p3/4bkp1/2R5/5K2 b - -,e3f2
4k3/4q1p1/p3b2p/1pp1Pp2/8/P5Q1/1PP3PP/3R3K w - -,d1d6
3r1rk1/pp2bpp1/2p1p2p/q2nN3/3P1BPP/8/PPP1QP2/1K1R3R w - -,f4d2
k2r4/pp4r1/1n6/3p1bQp/3P4/1PR2P2/P3BKP1/2R5 b - -,g7g5
r2q1rk1/ppp1bppp/3pbn2/8/2BQPB2/2N4P/PPP2PP1/R4RK1 b - -,e6c4
5rk1/1p4pp/2pp1n2/5p2/Nq6/3B1P2/R4PPP/Q5K1 w - -,a4c3
r1bqkb1r/ppp1pppp/5n2/1B1Pp3/4P3/8/PPP2PPP/RNBQK2R b KQkq -,c8d7
8/5p2/p4p1p/3kp2P/2p2PP1/2P1K3/P7/8 w - -,e3f3
r4rk1/2pqn1bp/2Np1n2/pQPPp3/4Ppp1/2N2P2/5BPP/R4RK1 w - -,c6a5
r1bq1rk1/pppn1ppp/3b1n2/3P4/3P4/2N2N2/PP2BPPP/R1BQK2R b KQ -,d7b6
r1bqr1k1/pp3pbp/2np1np1/4p3/3P4/5N1P/PPPNBPPB/R2QK2R w KQ e6,d4e5
8/1pB5/2p3p1/p5k1/Pb2P1pp/1PpK4/5P2/3N4 b - -,b4c5
8/4N3/1k6/pp1p2r1/2p5/1P3K2/P3R3/8 w - -,f3f4
4k3/p3bpp1/1pq1p1p1/3pP2r/1PbR1B2/P1P1Q3/5PPP/4R1K1 w - -,g2g4
r4nk1/pB4pp/5p2/2Pp4/b2P4/2B2N2/P1r2PPK/R7 b - -,a8d8
8/R5k1/8/5p1P/7K/5rp1/8/8 b - -,g7g8
4r3/7p/p3P1k1/8/2p5/8/PP2R1KP/8 w - -,e6e7
8/1r6/5kp1/2R4p/1pP2K2/1P6/P7/8 b - -,b7a7
8/B2kpp1p/2p1n3/6p1/1P6/P7/2PK2PP/8 w - -,a7e3
6k1/5p2/4p1p1/8/1rNb2Pp/7P/RP3P2/5K2 w - -,a2a8
8/1p2k2p/p3n3/P3K1p1/1P1pP1B1/2r2N2/4bP2/R7 w - -,g4e6
rnbqk2r/p1pp1ppp/1p2pn2/8/2PP4/P1P5/4PPPP/R1BQKBNR w KQkq -,e2e3:c1g5:f2f3
5k2/p5pp/Rp6/1n3p2/1P1rPN2/5PP1/6KP/8 b - -,d4d2
6k1/p4p2/q1p1n3/2P1p1b1/1PN1P1Pp/P1N2P2/7K/5Q2 w - -,f1d3
4r1k1/pr3pp1/2p1pb1p/2PnN2P/3P2P1/1PB5/P1Q1qP2/1K1R2R1 w - -,e5c6
3r4/p1N1rkpp/2Rnp3/P4p2/3P4/7P/5PP1/4R1K1 w - -,a5a6
rn1qk2r/pbpp2pp/1p1bpn2/5p2/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
2r2rk1/1bqnbppp/p1pp1n2/1p2p3/2PPP3/P1N1BN1P/1PQ1BPP1/R2R2K1 w - -,a1c1
3q4/1R3pkp/6p1/p3P1P1/5P2/3p1B1P/1P3B2/6K1 b - -,d3d2
8/8/1k6/p1R5/1P3P2/r6P/4K3/8 w - -,c5a5
8/p4kp1/1pP1p2p/4Pp2/5P2/P7/4K1PP/8 b - -,f7e7
r2r1k2/1b3ppp/3p1b2/p1qNpP2/4P3/1P2N1Q1/P5PP/3R1R1K b - -,b7d5
3rr1k1/1p3pbp/p1npbnp1/q1p5/P1P1PPP1/1PN1B2P/3RN1B1/3Q1RK1 w - -,f4f5
5r1k/pbp3bp/1p4p1/4ppq1/8/1QP1PPBP/PP2B1P1/3R2K1 w - -,g3f2
r4rk1/pp2bppp/nn2p3/qN6/3Pp3/PQN5/3B1PPP/1R3RK1 b - -,b6d7
8/5pbk/4b2p/1P1p1p2/8/3B2QP/1qN2KP1/8 w - -,g3f3
8/6p1/8/3qb2Q/1k5P/6P1/5P2/6K1 w - -,h5f5
6k1/1b1q1p1p/1p2p1p1/2r5/3p1P2/PB1P4/3Q2PP/1R4K1 b - -,d7c6
1r4k1/1p2qp1p/pR1p2p1/P1rPp3/R3P3/8/2PQ1PPP/6K1 w - -,c2c4
r4rk1/pp2pp1p/1np2bp1/2N5/1BbP4/3BP3/1P2KPPP/R6R w - -,c5b7
k2r1b2/pp5N/q3p1pP/3p2P1/3P2Q1/P7/1P3PK1/2R5 b - -,a6d6
r1bq1rk1/ppp1n1b1/3p1npp/3Ppp2/2P1P3/2NN2P1/PP1BQPBP/R4RK1 b - -,f5e4
1qr4k/6pp/3p4/1Pn1pp2/1Q2n3/4P2P/3N1PP1/BR4K1 w - -,f2f3
br2nrk1/2qnpp1p/Np1p2p1/8/2PN4/1P4PB/PQ2PP1P/R2R2K1 b - -,c7b7
5k2/2r1p3/1n1p3p/pp1P2pP/6B1/P1P3P1/1P3RK1/8 b - -,f8g7
rnb5/pp2k3/2pp4/3P3R/5N2/8/PP1rNPPP/R5K1 b - -,c6d5
r3r3/p1qn1pk1/2pR1npp/8/pQ2PP2/P4N1P/1PB2RP1/6K1 b - -,a8b8
8/1p1rrpk1/2p1pR1p/p1P1P1pQ/PnBP4/7P/1P3RPK/1q6 b - -,b1h7
4r1k1/p2q2bp/1p4p1/5P2/P1Pp4/BP1Q2P1/4R1KP/8 b - -,e8e2
4k3/7R/P7/5K2/8/6p1/1r5p/8 w - -,f5f4
3r2k1/5pp1/1q2p2p/pP1pP3/Pp5b/1N5P/1PQ2PP1/3R2K1 w - -,b3d4
2r5/1p3pkp/p4np1/8/3n4/2N2P1P/PP4P1/4RBK1 w - -,e1e7
r2q1r2/5kbQ/1p1p2p1/p1nPppp1/P1P4P/B4N2/1P3PP1/R3R1K1 b - h3,g5h4
rn2kb1r/pp3ppp/2pqpn2/5b2/2BP4/2N2N1P/PPP2PP1/R1BQ1RK1 b kq -,h7h6
r2q1rk1/1p1b2pp/p1p1p3/3pNpn1/PPPP1B1b/1N1QP2P/5PP1/R4RK1 b - -,b7b6
2rq1rk1/3n1pp1/p1n1p2p/1p1p4/3P3P/1P1Q2P1/P2NPPB1/2R2RK1 w - -,a2a3
