4k3/8/8/2R1pp2/8/5K1P/7r/8 b - -,h2h3
8/1pkB4/p4q2/2p5/1n3P2/8/PP3RP1/3R2K1 b - -,c5c4
8/5pk1/1p6/p1p1KP1n/P1P3p1/1P2p2q/4Q3/3B4 b - -,h3g3
r7/P7/3Pk3/8/8/R3P1K1/8/8 w - -,a3a6
8/1k6/2p5/3rQpPp/pp3P2/4R3/KP4P1/3q4 w - -,e5e7
rnbq1rk1/ppp2pbp/1n4p1/8/3pP3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,e3d4
r1bqk2r/pp2ppbp/2n3p1/3N4/2Pp4/4P3/PP1QNPPP/R3KB1R w KQkq -,e3d4
r3k3/p4ppp/R3p3/p3PP2/6PK/7P/8/8 b - -,e8e7
rnbq1rk1/pp2ppbp/5np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN1QK2R w KQ c6,f3e5
r3rbk1/1p3p1p/2p1bnp1/p3p3/P1P1P3/1P1NB1P1/5PBP/3R1RK1 b - -,f6g4
3r1rk1/p3q1b1/2p1b2p/1p2p1pP/3pP3/1PnB2B1/P1P2PP1/RNQ1R1K1 b - -,g5g4
8/3b4/3k1p1p/4p1P1/2B1P3/4K1P1/7P/8 b - -,f6g5
r5k1/1p2rp1p/2p2Rp1/2P3PQ/3Pp3/4P3/P2b1BK1/5R2 b - -,g6h5
1r1qr1k1/pb2bp1p/1n1p2p1/1BpN4/P4B2/1P4N1/2Q2PPP/R2R2K1 b - -,b6d5
rn1qkb1r/1bp1pppp/p7/1P2P3/2pP4/2P2N2/5PPP/R1BQKB1R b KQkq -,a6b5
1rbqrbk1/1p3pp1/p1np1n1p/2p5/P3P1P1/1PN3NP/2P2PB1/R1BQ1RK1 b - -,b7b6
2r1r1k1/7p/p2p2pB/2pPNp2/1pP4q/1P1Q3P/P4PP1/5RK1 b - -,e8e5
1r1q1bk1/1p4pp/p2prp2/8/1P1pP3/P4QP1/1B3P1P/R4RK1 w - -,b2d4
r3r1k1/pp3p1p/1n6/4n3/2pRP2N/1P4P1/P6P/R4BK1 b - -,a8d8
4k3/5q2/1p2b3/8/5R1P/4Q3/1P3PP1/3r2K1 w - -,g1h2
5rk1/3pqb1p/1p3bp1/1Nn2p2/3Nn3/B5P1/rPQ1PPBP/3R1RK1 b - -,f8a8
2r1k2r/pp2np1p/1q2p1pb/3pP3/bP1P2P1/P2BPN2/3NQ2P/R4RK1 w k -,a1c1
5r2/p3n3/1p2brpk/PPp1Q2p/2P1P2P/3P2P1/4N1B1/6K1 w - -,e2f4
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4PP2/2NP2PN/PPP3BP/R1BQ1RK1 w - -,f4f5
r6r/p1p2kpp/5n2/1B6/Qb1qp1b1/2NP4/PP3PPP/R1B2RK1 b - -,b4c3
2rr3k/p4pp1/1p2q2p/n3p3/1pP5/4P1NP/PPQ2PP1/3R1RK1 w - -,b2b3
r1bq1rk1/pp3pbp/1nnp2p1/8/3P1B2/1B3N1P/PP3PP1/RN1Q1RK1 b - -,c8f5
5rk1/3R1pp1/5r2/1p5p/8/3P1p1P/P1P2P1K/1R6 b - -,f8c8
2r5/1p3p1k/5Bb1/1P5p/8/6P1/3q1P1P/Q4RK1 w - -,h2h4
3r2k1/4npp1/1q2pn1p/1p2N3/1P3P2/4PQ2/5P1P/2R2BK1 b - -,f6d5
3rk2r/p1B1b1pp/4Bp2/1ppP1P2/4p3/2P1Q3/6PP/1b4K1 w k -,c7d8
r1b1r1k1/ppq2pb1/2n3pp/4p3/5nPB/2P2N1P/PP1N1P2/R1Q1RBK1 b - -,h6h5
8/1R3pk1/2P1n3/8/1P5p/3r4/5K2/8 b - -,h4h3
r3k1nr/p4p2/4p1p1/q1ppP2p/1b3R1P/2N1B1P1/PPP1QP2/1K5R b kq -,c5c4
rq4k1/3nbppp/Bn1p4/p2Pp3/P3P3/1pr1B1P1/3N1P1P/R2QR1K1 w - -,a6b5
r1bqrbk1/2p2pp1/p1np1n1p/4p1B1/PpN1P3/1B1P1N2/1PP2PPP/R2QR1K1 w - -,g5f6
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2P5/1P1PPNP1/PB3PBP/RN1Q1RK1 w - -,d1e2
2rr2k1/1b1q1pp1/pb5p/1pnp3N/1B3P2/P3P3/1PB1Q1PP/R4R1K b - -,c5e4
3rr1k1/pppn1ppp/5qb1/2b1p3/2P1Pn2/1P3NNP/PBB2PP1/R2RQ1K1 b - -,f4h3
5rk1/5p2/6pb/2N2b2/3p1R2/1N6/PP4PP/6K1 w - -,f4d4
8/1br3kp/p5p1/Pp1p4/1P2RPB1/1r2P3/3R1KPP/8 w - -,e4d4
8/8/8/8/Q7/4p3/3q4/4k1K1 w - -,a4a1
r7/3k1p2/3bp3/1r1p1p2/p2P3p/3NP3/KPR2PPP/7R w - -,d3e5
2r2k2/p4p1p/6pb/4p3/4P2P/3b1P2/PP4P1/K2R2NR b - -,c8c2
6k1/6pp/5p2/4p3/8/2bP1KP1/2q1PP1P/5RN1 b - -,c3b2
4r2k/p4qp1/1p1nR2p/2p2p2/P4p1P/1P1P2NQ/2P2P2/4RK2 b - -,e8e6
rn2k1nr/1bqp1ppp/p2bp3/1p6/3NP3/2NB4/PPP2PPP/R1BQR1K1 w kq -,d4f3
rnb2rk1/ppq2ppp/3bp3/3n4/2Bp4/2P2N2/PP3PPP/RNBQR1K1 w - -,d1d4
8/3k2K1/7P/8/5B2/8/2b1R3/6r1 w - -,g7h8
5n1r/p3k2p/1p2bnp1/1BN1R3/4P3/2P1B2P/P5P1/6K1 w - -,c5e6
8/1r6/8/2n1pk2/6p1/4N3/8/4R1K1 b - -,f5g5
3r2k1/2q1n1bp/p2rppp1/1p6/P1bP1P2/2PN1NP1/1P1Q2BP/R3R2K w - -,a4b5
rnbqrbk1/pp3ppp/2pp1n2/6B1/2BNP3/2N5/PPP2PPP/R2QR1K1 w - -,a2a4
3r1rk1/p1qnbppp/bp2p3/2p1P3/1PP1N3/P1Q2NP1/5PBP/2RR2K1 w - -,b4b5
1r6/8/8/2k1p3/1P4R1/2K5/5P2/8 b - b3,c5d5
r2n2k1/pp5p/4pqp1/2P5/8/1Q6/5PPP/2R2RK1 w - -,f1d1
r1bq1rk1/bp3ppp/p1n2n2/3p2B1/1P6/P1N2NP1/4PPBP/R2Q1RK1 b - -,c8e6
r2q1rk1/pb3ppp/1p1ppn2/2p5/2PPn3/PP2PN2/1BQ1BPPP/R3K2R w KQ c6,e1g1
1n2n1k1/2pbqp2/1p1p1b1p/3Pp1pP/1PP1P1P1/r1N1BP2/1Q2BN2/6K1 w - -,b2a3
1r3nk1/1q4b1/p3b1p1/3pp2p/4P3/3P2NP/1P2Q1PK/2BR2N1 b - -,e6f7
3r1rk1/pq2bppp/1p2pn2/1P1b4/Q1pP4/5NPB/PB2PP1P/2R2RK1 b - -,d8c8
2kr3r/p1qnbpp1/2p5/4pP1p/Pp2P1n1/1N2BB2/1PP1Q1PP/R4R1K w - -,f3g4
8/4pp2/3p1n2/2pP1k1P/1pP5/1P1N1BK1/3b4/8 w - -,g3h4
4r3/p2q2kp/1p4p1/n1pR4/7P/5N2/P4PP1/2Q2RK1 b - -,d7d5
2rq1r2/bp4k1/p1npb2p/1P1Np3/P1N2p2/1BP5/3Q1PPP/R1R3K1 b - -,c6e7
2r3k1/6pp/pnbr1b2/q1p1pPB1/1pPnP2P/1P2N1NB/P2R4/4QRK1 b - -,b6d7
8/8/8/p6k/3r1n1P/R7/P1B5/7K w - -,a3a5
r3r1k1/1p1bq1p1/p2n3p/P2p1p2/2pP4/2P2P1P/2P1BQPB/R4RK1 w - -,f1e1
4r1k1/pp2r1p1/2p4p/2Ppp2P/3P4/qP2P3/P2R1QP1/5RK1 b - -,e5d4
8/7p/6p1/1p1r1kP1/1K3P1P/8/8/2B5 b - -,f5g4
2rr2k1/3pbppp/4p1P1/p6P/1pq1P3/4BP2/PPPQ4/1K1R3R b - -,d7d5
3k1b1r/2pb2p1/1P4Bn/4N3/1n1P4/4P3/5PPP/1N2K2R b K -,c7b6
r2qkn1R/1bp2p2/p2pp1p1/8/1p1P4/1n2B3/PPP1NPP1/1N1RK3 w q -,e3h6
rn1qr1k1/1bp2pbp/p2p1np1/1P2p3/4P3/2PP1NN1/1PB2PPP/R1BQ1RK1 b - -,a6b5
8/2q2pk1/4p1p1/4b2B/r7/4Q3/4PP2/3R1K2 b - -,g6h5
