8/1P6/2k2p2/1n1p4/5P1p/3K3P/8/4N3 b - -,c6b7
r1bqk2r/ppp2ppp/1bnp1n2/8/4P3/1NN1B3/PPP1QPPP/R3KB1R b KQkq -,d8e7:c8e6:b6e3
6k1/R2n4/2bNp3/2pn2B1/8/5P2/5KP1/8 w - -,d6c4
3r2k1/1b3pb1/p2pp2p/1q4p1/2NPPn1P/1P3N2/3Q1PP1/1BR3K1 b - -,g7f6
6Q1/8/8/1p1n2kp/p2P4/P4qp1/1P3P2/6K1 b - -,g5h4
8/p3Brkp/bp2p1p1/2p1P3/6P1/2P5/P1P3BP/3R2K1 b - -,f7e7
rnbq1rk1/ppp2pbp/1n4p1/4p3/3PP3/6P1/PP2NPBP/RNBQ1RK1 w - e6,d4e5
R2N4/8/5kpP/P3p1n1/2r1P3/8/6PK/8 b - -,c4e4
2b5/3R4/4p1p1/1k2P2p/p2KN2P/1P4P1/1P6/8 b - -,c8d7
r6r/2q1p1b1/1p1n1pk1/p1pPpNp1/P1P1P1Pp/1P1Q1P1P/3BR1K1/5R2 w - -,f3f4
4rrk1/6bp/1q1np1p1/p1p4n/1p1PQ1N1/1P3NPP/PB3PK1/2R1R3 w - -,e4d3
4k1Q1/1pp3b1/4r3/p3PR2/8/2Nq4/P4PP1/n5K1 b - -,e8d7
r4kR1/1p1b1p1p/p2q1n2/2pp4/7Q/2P1PP2/PP3P1P/2KR1B2 b - -,f8g8
8/5p2/1R2pk1p/5P2/4P2P/5P1K/8/6r1 b - -,f6e5
r2bqrk1/1p1n1pp1/p1p1p1bp/P2pPn2/1P1P4/1NPB1N2/2QB1PPP/4RRK1 b - -,e8e7
4kn2/1p1rrp2/2p3p1/p1n1P1Pp/P2N3P/1PP1R3/1K2N3/5R2 w - -,b2c2
2kr4/1pp2pp1/p2p2q1/2b3p1/4P2r/2P3QP/PP3P1P/RN3RK1 w - -,b1d2
3r1r2/2pbRp2/1p1p1k1p/p2P2P1/2P2PP1/PP1B4/3P1K2/4R3 b - -,h6g5
2r1k2r/pp3p2/q6p/2np1Q1P/6p1/2P1P1B1/3R1PP1/4K2R b k -,a6a1
r5k1/1b3ppp/1p3q2/p1bpr3/3N1N2/1P1QPP2/P5PP/R2R3K w - -,d4c2
r6k/p1R2p2/2b4p/1pp1P1rB/8/5NP1/PP4K1/R7 b - -,c6e4
rn1q1rk1/p1p2ppp/bp2pn2/3P4/3P4/P1PBPN2/5PPP/R1BQK2R b KQ -,e6d5
r5kr/pp4p1/2q1p3/3nP1p1/2P3P1/5QB1/P2R1P1P/2K4R b - -,c6c4
2r3k1/3n1ppp/3p1n2/2qPp3/2p1P3/1bB3P1/1Q1N1P1P/2R2BK1 w - -,d2b3
r1bq1rk1/pp2bppp/2n5/3p4/3P4/1Q1B1N2/PP1B1PPP/R4RK1 b - -,a7a5
5r2/5pk1/1pp3p1/4b1qp/P7/4PR1P/BP1Q2P1/6K1 b - -,g5e7
rnbqk2r/pp2ppbp/6pn/3pP3/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e8g8
8/8/p5p1/P7/4K3/5Q2/7p/6k1 w - -,f3g3
3Q4/p4ppk/4r3/4P3/4q3/PP1n4/2P2PPP/5R1K w - -,d8d3
2r3k1/1p3pp1/5b1p/p7/3pP2P/Pb1N2P1/1PrR1PB1/4R1K1 w - -,e1d1
r4rk1/5ppp/p1npbq2/1p6/4PpPP/2P2Q2/PPN2P2/2KR1B1R w - -,g4g5
1k4r1/2p2p2/pp1q1P2/3pRP2/PP1Q4/2P2KP1/8/8 w - -,a4a5
r3rbk1/1pqn1ppp/3p4/p2PpP2/2P1n1P1/1N1BB3/PP5P/2RQ1RK1 b - -,e4c5
8/5pk1/2R1p3/3r3p/3P2p1/6P1/5PPK/8 w - -,c6c4
8/8/8/kp6/8/PR2K3/1N6/r7 b - -,a1h1
Qb1q4/8/1P4pk/4p2p/1P2Bp1P/4P1P1/5PK1/8 b - -,d8b6
r4rk1/1bpnbpp1/pp1q3p/3p4/3P4/1QN1P3/PP2BPPP/3RNRK1 w - -,e2f3
4rrk1/p1ppq1pp/1p6/2PQn1P1/3P4/2P2P2/P5P1/4RRK1 b - -,e7f7
3qr1k1/1b3pp1/2p2n1p/1p6/rP1bPP2/3B3P/2Q1N1P1/1RB2R1K b - -,d4b6
r2q1rk1/pb1n1pbp/1p4p1/2pP4/5B2/2P2N2/P2QBPPP/2RR2K1 b - -,f8e8
3r2k1/pppr1qpp/1n1n1p2/8/3P4/1PN2N1P/P1Q1RPP1/R5K1 w - -,a1e1
6Q1/4k3/2q2p1p/2n5/4pP1r/4PB2/1P5P/3R3K w - -,g8h7
2r1n1k1/r4p1p/P2p2p1/R2Pp3/R1p1P3/2P2P1P/3N2PK/8 b - -,g8f8
r1r3k1/p3q1pp/1np1np2/4p3/Pb2P3/1PN1BN1P/2R1QPP1/4R1K1 w - -,e1c1
8/8/p1kbp1pp/5p2/1P3P2/P1N1KP1P/8/8 w - -,c3e2
6k1/1ppq2pp/4p3/nNPpP1b1/PN1Pb3/1PQ4P/4B1P1/5rK1 w - -,e2f1
3r2k1/5p1p/2Qp1Pp1/2bPp1P1/4P1KP/8/r7/3B4 b - -,a2a1
r2q1rk1/3bbppp/ppn1pn2/2Pp4/1P1P4/P1NB1N2/5PPP/1RBQ1RK1 b - -,b6c5
r1bqkb1r/6pp/p1n1pp2/2ppP3/1p1P1PP1/2P2K1P/PP2N1B1/R1BQ3R b kq -,f6e5
r1b2rk1/pp2qp1p/2pp1np1/2n5/2PNP3/2N3P1/PP1Q1PBP/R3R1K1 w - -,h2h3
rn1q1rk1/pb4pp/1ppbpn2/3pNp2/2PP1B2/5NP1/PP2PPBP/R2Q1RK1 b - -,d8e7
r2q1rk1/2nnbppp/3pb3/p3p1P1/1p2P3/1N2BPN1/PPPQ3P/1K1R1B1R w - -,f3f4
r1b2rk1/1p2ppbp/1qn3p1/pP1pP3/3P4/2N1BN1P/1P3PP1/R2QR1K1 b - -,c6b4
1r3rk1/p4ppp/q1pp1n2/8/2P4R/1N3Q2/Pb1B1PPP/4R1K1 b - -,f8e8
8/3q2pk/7p/8/4pp2/8/2Q2PPP/6K1 b - -,d7d4
8/1p3kpQ/2p2r1p/1q1r4/3b4/1B4P1/PP2R2P/4R2K b - -,d4c5
8/B4pp1/p3r1kp/R5b1/8/6K1/8/8 b - -,f7f5
r2q1rk1/p2b1pbp/1p1p1np1/2nPp3/4P3/2N1BP2/PPBQN1PP/R3K2R w KQ -,b2b4
5rk1/1pb2p2/5n2/p1P1q1Pp/1PQ1p3/1BP1N1P1/P4P2/3R2K1 b - -,e5g5
5q1k/p2nb2p/Qp2p3/2ppPp2/3P2r1/PP2PN2/2P4P/2B2R1K b - -,f8b8
r1br4/p4p1k/5Pp1/2P3Qp/5R2/7P/1p4P1/6K1 w - -,f4f1
r5k1/5pbp/6p1/p3P3/Rp3P2/1B2K3/1P4PP/8 w - -,b3d5
2r5/5ppp/3R4/3np3/1Bk5/P7/2P2PPP/5K2 w - -,d6d7
r3k2r/ppp2ppp/4pqb1/3n4/3P1BP1/P4P2/1PPQ3P/2KR1B1R w kq -,f4e5
5k2/1p3p2/3n2p1/3P1p2/7r/pP6/P7/1KR4B w - -,b1c2
3br1k1/1p1r1pp1/pq1Pn3/3Bp2Q/PP2N3/6PP/5P2/3R1RK1 b - -,b6b4
r1q2rk1/pp2ppbp/4bnp1/1Qp5/2P5/2N1BBP1/PP2PP1P/3R1RK1 b - -,b7b6
8/r6p/5bp1/2k5/4KP2/1B2N1PP/8/8 b - -,a7e7
1r2nrk1/p2b1pbp/1q1p2p1/6P1/2nP1Q2/2N2B2/P3NP1P/R1B2RK1 w - -,a1b1
r4rk1/1pqb2pp/4pb2/2P2p2/nP1p1P2/N2P1NP1/3Q2BP/RR4K1 w - -,a3c4
7r/k7/1q1p4/4p3/1P2Bp2/1KP5/3Q4/8 w - -,d2d5
1r1rbk2/ppn1b1pp/2p1pp2/2P5/PPB1PP2/2N1B3/6PP/2R2RK1 w - -,b4b5
2r3k1/4qppp/8/5b2/1p1P4/2p1P1P1/5PKP/1RQ3N1 w - -,b1b3
r2bqrk1/1p1n1pp1/p1p1p1bp/P2pPn2/1P1P4/1NPB1N2/2QB1PPP/R4RK1 w - -,a1e1
r2q1rk1/1b2bppp/2np1n2/p1p1p3/P1N1P3/1P1P1N2/BP1B1PPP/R2QR1K1 b - -,c6b4
r2r2k1/3b1pp1/p1p4p/3ppPb1/Pp2P3/3P4/1PR1NNPP/5RK1 w - -,b2b3
8/5ppp/4k3/1p2b1P1/5P1R/1K4N1/PP4P1/4r3 w - -,b3c2
3r1rk1/pp3ppp/8/2p1qb2/2PRp3/2Q1P1P1/PP2BP1P/2K4R w - -,d4d8
rnbqk1nr/pp1pp1bp/2p3p1/5pB1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,d1d2
r3k2r/3n1pp1/bpp2n2/p1B1p2p/4P3/5PPB/PPPNK2P/R5NR w kq -,e2e3
r1bqnrk1/pp1nppbp/2pp2p1/4P3/3PNP2/5N2/PPP1B1PP/R1BQ1RK1 b - -,d8c7
2r3k1/5bnp/p5p1/R2pB3/3Pp3/1B6/PP4PP/6K1 w - -,g1f2
2Q5/pp2qppk/2n3bp/2bBp3/2N5/2N1P1P1/PP3P1P/6K1 b - -,c5b4
br5k/p4rb1/2p2q1p/2Nnpp2/2B5/B5P1/PPQ2P1P/3RR1K1 w - -,b2b3
8/2r1k3/R3p1pp/4P3/1P3P2/1K4P1/P6P/8 b - -,c7d7
7k/4r1p1/p4q1p/1p6/8/1PPQ1PP1/P6P/3R2K1 w - -,g1g2
r1bqk2r/pppn1ppp/4pn2/3p4/1bPP4/5NP1/PP1BPPBP/RN1QK2R b KQkq -,b4e7
r1b2rk1/pp2ppbp/1qn2np1/2pp2B1/3P4/1QP1PN2/PP1NBPPP/R4RK1 b - -,c8f5
1r4k1/2qn1pbp/3p2p1/2pP4/1n3B2/1QN1P2P/1P1N1PP1/5RK1 w - -,d2c4
r1bq1rk1/pp2npbp/2np2p1/2p1p3/2P5/P1NP1NP1/1P1BPPBP/1R1QK2R b K -,h7h6
3r3k/p3q1p1/2R4p/2P5/2b1p1QP/4P1B1/P4PPK/8 w - -,c6c7
rn1qnrk1/pp1bppbp/3p2p1/1BpP4/P3P3/5P2/1PP1N1PP/RNBQ1RK1 w - -,b1a3
r1bq1rk1/ppp2ppp/1b1p2n1/4p2n/3PP3/2PBBN1P/PP3PP1/RN1QR1K1 b - -,h5f4
8/8/5p2/r5k1/8/5RPP/8/5K2 w - -,f1g2
8/8/8/5p2/pP1Kb3/k6p/8/5N2 w - -,d4c3
2b2rk1/2qp2pp/r3p3/pp2b2n/4P3/4BP2/PPPQN1BP/2KR1R2 w - -,f3f4
rnb1rqk1/pp3p2/3p3p/Q2P2p1/2PNn3/6P1/P5BP/R1B1R1K1 b - -,e4c5
4r1k1/1p1bbppp/1q6/3pP3/r2N4/P2Q4/R2N1PPP/2R3K1 w - -,d2f3
1r2r1k1/2nb1p1p/3p1qpQ/1p6/1PnNP3/6PP/4NPB1/1R1R2K1 w - -,b1a1
b2r1r1k/p3q1p1/3b2p1/2p5/2B1pP2/1P6/PB3PPP/Q2R1RK1 b - -,d6f4
r2q1rk1/pppb1ppp/3p4/8/3b2P1/2P5/PPPQBP1P/2KR3R w - -,d2d4
br4k1/p2q2p1/P2p3p/3P1p2/2R5/1pQ1PP1P/1B4P1/6K1 b - -,d7e7
8/2k3p1/pp3p2/4pB2/1P5p/2P2PPN/1P1r3P/5K2 b - -,d2b2
2B5/4kp1p/r4p2/3K4/p4P2/6P1/R6P/8 b - -,a6a8
rnbqk2r/pp2npbp/2p3p1/3Pp3/Q7/5NP1/PP1PPPBP/RNB2RK1 b kq -,e7d5
r1bqkb1r/pp3ppp/3ppn2/n1p5/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,c8d7
r2qkb1r/4pppp/p1np1n2/1pp5/4PPb1/2NP1NPP/PPP3B1/R1BQK2R b KQkq -,g4f3
r1bqk2r/ppp2pbp/2np1np1/4P3/4P3/2PB1N2/PP1N1PPP/R1BQK2R b KQkq -,c6e5
r1b1k2r/pp3ppp/n3p3/qNnpP3/5P2/2N1B3/P1PQB1PP/5RK1 w kq -,b5d6
r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/1PP1P3/B1N2N2/P3BPPP/R2Q1RK1 b - -,a5b4:b7b6:f6d7:f6h5
6R1/1p1r3k/5b2/5ppp/1B6/2P1K1P1/7P/8 w - -,g8f8
4r1k1/pppnP3/4N1p1/5qQp/8/1P5P/P5P1/2R4K w - -,g5f5
r1bqk1nr/6bp/p1p1ppp1/3pP3/1P4Q1/P3BN2/2P2PPP/R3KB1R w KQkq -,e3d4
8/p5bk/1p2R1p1/4p3/2P3P1/1P1r1rBP/P3R1K1/8 w - -,g3e5
6r1/p1b4p/1p2knpB/2p5/2Pp4/7Q/PPP3P1/5K2 b - -,e6f7
4k3/7R/4r1N1/8/8/4p3/4K3/8 w - -,g6f4
8/1rrP1qk1/2nQ1p1p/2P1p1pP/P3P1P1/5PK1/8/2RR4 w - -,d6c6
r1bqk1nr/3nppbp/p5p1/2p5/Pp2P3/4BP2/1PPQ2PP/R2NKBNR w KQkq -,f1c4
r2qkb1r/pp1bnppp/8/3NR3/3p4/3B3P/PPPB1PP1/R2Q2K1 b kq -,d7c6
r2q1rk1/pppnppbp/3p1np1/8/2PPP3/2N1BB2/PP3PPP/R2Q1RK1 b - -,e7e5
1rbr2k1/2n1b2p/pq2Ppp1/R7/2BN1N2/5P2/Q5PP/3R3K w - -,f4d5
r1bq1rk1/ppp1b1pp/2np1n2/5pB1/2PPp3/2N3P1/PP2PPNP/R2QKB1R w KQ -,e2e3
r3k2r/1bq1bppp/p2p4/1p1Bp3/3BP1P1/8/PPP1QP1P/2KR3R w kq -,d4e3
5k2/1b1rbppp/p1p5/4Pp2/8/3BN3/P1P1K1PP/1R6 w - -,d3f5
r1b2rk1/1p1nbppp/p3pn2/q2p3N/5B2/P1NB4/1PP2PPP/R2Q1RK1 w - -,f1e1
8/p4qbk/1p1r2pp/2pNpp2/2P1P3/PP1R4/4QPPP/6K1 w - -,d3d1
r1bqk2r/bpp1nppp/p2p1n2/4p3/4P3/1BPP1N2/PP3PPP/R1BQKN1R w KQkq -,h2h3:f1g3
5r1r/8/ppPpk3/6p1/1P1pB3/5P2/P5PP/2K4R w - -,a2a4
2rn1rk1/ppq1npp1/4p2p/2PpP3/P6P/Q1P1BN2/2P2PP1/1R2K2R b K -,e7g6
2q2b2/R2bk1r1/7p/1P1pPp2/Q1pP1N2/1r6/6B1/R6K w - -,e5e6
r1b1qrk1/pp1n2pp/2p5/6B1/2PQ4/P1P2N2/6PP/R4RK1 b - -,c6c5
2q2rk1/pb3ppp/1p3b2/2rnN3/2P5/P7/BBQ2PPP/R2R2K1 w - -,a2b1
1r3rk1/1q2bppp/p2p2n1/4nR2/3BP3/1BN5/1PP3PP/3RQ2K w - -,c3d5
r2r2k1/p2R1pbp/1p2n1p1/4P3/2P1NP2/1P2B3/6PP/5RK1 w - -,f1d1
2r3k1/3nppb1/p2p2p1/1n1P4/1PN2P1p/3R3P/5QPK/8 w - -,c4e3
r1bq1rk1/bp3pp1/p2p1nnp/2p1p3/4P3/1BPPBNNP/PP3PP1/R2Q1RK1 b - -,d6d5
5rk1/4p3/8/5p1p/4p1r1/2b4K/P2NRPP1/7R w - f6,g2g3
2r2rk1/pp1qppb1/5np1/3P2p1/8/6P1/PP2QPBP/R1B2RK1 w - -,c1g5
2r1r1k1/1bqn1pbp/pp1ppnp1/8/3P3B/PQP2N2/1P1N1PPP/1B1RR1K1 w - -,h4g3
r1b1k2r/ppqnbppp/2pp1n2/4p1B1/3P4/2PBPN2/PPQN1PPP/R3K2R b KQkq -,h7h6
r1bq1rk1/p3bp1p/2n1pn1B/1p1p4/2pP4/2N2N2/PPPQB1PP/2KR3R b - -,g8h8
q5k1/4np2/3Qp1p1/3p2Pp/Pp1P1P2/3BP3/1P3K2/8 b - -,a8b7
r5k1/1brqQppp/8/pppp4/8/3P2P1/PPP2PBP/R3R1K1 w - -,e7d7
1rbq1rk1/pp2n1bp/3pp1p1/2p2p2/3nPP2/3PB1P1/PPPQN1BP/R2N1RK1 w - -,c2c3
3q2k1/8/4p1p1/7p/5P2/3r3P/6QK/4B3 b - -,g8f7
r3r1k1/p1p1bppp/1p3n2/3p2B1/3P1N2/6P1/PP2PP1P/R2R2K1 b - -,a8d8
2r3k1/2r2p1p/3q2p1/1p1Pp3/4P1PP/pP1RP3/P2Qn3/1K5R w - -,d2e2
8/8/4k2p/p3p3/2P1K2P/Pn4N1/8/8 b - h3,b3d2
8/pr3pk1/2R1N1p1/3p3p/8/1P2PP1P/4K1P1/8 b - -,f7e6
3r4/p1p1kp2/2p3p1/4p2p/3rP3/1PN2PPb/P1P1RK1P/2R5 w - -,f2e1
1rb3k1/5ppp/2p2n2/4q3/p2p4/6PP/Pn4B1/KQ3R1R w - -,f1e1
1r2k3/p2qp2p/2p2p1r/2Q1p1p1/8/PP1PRP2/2P1KP2/6R1 b - -,b8b5
6k1/p1p3n1/2nr3p/2R1p1p1/1P6/2P3P1/P4P1P/4R1K1 b - -,g7e6
r2q1r2/1bp1n2k/1p1p1bpp/3Pp3/1PP5/1Q5P/3NBPPB/2R2RK1 w - -,d2e4
r3k2r/pp1qppbp/2np1np1/8/3NP3/2P1B3/PP3PPP/RN1Q1RK1 w kq -,f2f3
7r/7P/7R/4pp2/4k3/6P1/5PK1/8 w - -,h6h5
5rk1/1qp2pp1/3pn2p/8/1p2PN2/2PP4/1P4PP/3Q1RK1 b - -,e6f4
2kr3r/1pq2p2/2p2n2/pN2nN1p/Pb6/6P1/1PQ1PPB1/2RR2K1 b - -,d8d1
r3k3/1p2q3/1Qpr1npp/p4p2/4p2P/6P1/PP2PPB1/R4RK1 b q -,f6d5
6k1/p4pp1/1p5q/4R3/5P1K/PP3Q1P/2r5/8 w - -,h4g4
q4rk1/p3ppb1/6pp/1p2P3/1n6/4PQP1/1P3P1P/R1BR2K1 w - -,f3a8
5rk1/p7/2p1r3/2p3p1/2N2ppP/1P2p1P1/P1P5/4R1KR b - h3,g4h3
8/5pRp/4p3/3p1k2/2nP1B2/2r2PKP/8/8 b - -,f7f6
1r1r3k/p4b2/1p3q1p/6pP/3p2B1/P2R4/1PQ2PP1/4R1K1 b - -,d8e8
6k1/5pb1/pn1q4/5pPB/1pp4P/8/PPP3Q1/1KB5 b - -,b6d5
6k1/5p2/6p1/8/2q5/2b2P2/pBQ3KP/8 b - -,c3b2
5rk1/p6p/P5p1/2bpP2b/2pN1P2/1pP1P2r/1P1K1R2/RB6 b - -,h3h1
r5k1/1b2qp2/p1nrn1pp/1p2P3/3pBPP1/7P/PP1Q1B2/2R2RK1 w - -,e5d6
8/1pp1kp2/p3b3/4p2r/1P6/2PBK1P1/P4R1P/8 b - -,f7f5
