8/3n4/P2p4/3P1k2/R1p2P2/7r/5KN1/8 b - -,c4c3
3r1bk1/2P2ppp/8/1N6/3BQ3/5p2/3q2PP/5K2 b - -,d2g2
2r2rk1/p2nbp1p/1p2p1pB/3pP1Nn/3P2N1/6P1/P1b2PBP/2R1R1K1 b - -,h5g7
3rrk1b/2p1p2Q/p6P/1p1qp3/2nP3B/2P5/P4P1K/3R2R1 w - -,g1g7
4r1k1/pp4pp/1b2P3/8/8/1N4KP/Pr6/2RR4 w - -,d1d7
8/8/8/8/3QK3/8/4k3/3q2r1 w - -,d4e3
5b2/8/6p1/4p2p/1p1p1k2/1P1P4/2PNKPPP/8 w - -,h2h3
8/8/3b2N1/p4p1p/3k3P/1P6/P2K4/8 b - -,d4e4
2r1nrk1/2b2qpp/pp1pp3/2n2p2/2P4Q/1PN1PNP1/PB3P1P/2RR2K1 b - -,c7d8
4k3/1R6/5Kp1/6P1/4PP2/1p6/5r2/8 w - -,f4f5
8/8/8/1b6/8/2k1R3/5r2/3K4 b - -,c3d4
r1b1kb1r/pp1n1p2/2pp1np1/3Pp2p/N1P1P3/q2B1P2/P3N1PP/R1BQK2R b KQkq -,a3b4
r4rk1/1p3nbp/p1nppq2/5p1B/2P2P2/2N1B3/PP1Q2PP/3R1RK1 b - -,a8d8
4rqk1/p6r/1p1p3n/3P2p1/1P1BPp2/8/P1Q1B1K1/2R4R b - -,g5g4
rn1qkb1r/1bpp2pp/1p2pn2/p4p2/5P2/1P2PN2/PBPPB1PP/RN1QK2R w KQkq a6,a2a4
3r1k2/2p3bp/pp2Qpp1/2n1p3/PP5P/2P1PNB1/5PP1/R5K1 b - -,c5e6
6k1/5pb1/pBr3p1/P6p/2B2n2/1P3P1P/6P1/3R2K1 w - -,d1d2
r3kb1r/1pq3pp/p1p1bp2/P3n3/5B2/2N3P1/1P2PPBP/R2Q1RK1 w kq -,d1a4
3r1rk1/pp3pp1/1q5p/2b1P3/2p1p1P1/4N3/PPP2QP1/4RRK1 b - -,b6b2
r3r1k1/pp1n1ppb/2pb3p/3p2qN/3P1N2/2P1B1P1/PP2QP2/3R1RK1 w - -,f4d3
3rkb1r/1pqb1ppp/p3pn2/1B6/Q2N4/2P5/PP3PPP/R1B2RK1 w k -,b5d7
1rr2qk1/2p4p/b2p2pb/3PpP2/BP6/2Q2NNP/5PP1/3RR1K1 b - -,g6f5
r3r3/1p3pbk/2p1b2p/2n3p1/p1PNqPP1/4Q2P/PP2N3/3RRBK1 w - -,e3a3
r2qk2r/1p1nbppp/p1b1p3/4P3/1P3n2/P4N2/3N1PPP/R1BQRBK1 b kq -,d7b6
r1b1r3/ppp2kb1/1n3pp1/q7/3n1P1B/P1N2Q2/1PP3PP/2KR2NR w - -,d1d4
8/2p1kpRp/8/2rPP3/8/8/4K2P/8 w - -,e5e6
rnb1kb1r/pp2pppp/1qp2n2/8/2pPPB2/2N5/PP1Q1PPP/R3KBNR b KQkq -,b6a5
8/4kp1p/6p1/pp6/8/5P2/PP4KP/3B4 w - -,a2a4
3rrbk1/1bqn1pp1/p1Pp1n2/1p2p2p/4P3/PPN3PP/1BPQNPB1/3RR1K1 b - -,b7c6
1r2r3/2q1n1k1/1p1p1pp1/p2Pb2p/P1P5/BP4P1/5QKP/1B1RR3 w - -,e1f1
r5k1/5q2/5r2/p1Qp1pp1/P3p1P1/4P3/5PB1/3R2K1 w - -,d1d5
r3kb1r/1bqn1ppp/p2ppn2/1p6/3NPP2/P1NBB3/1PP3PP/R2Q1RK1 w kq -,d1f3
4r1k1/pp2rpp1/2p2n1p/q7/4P3/2N1QPP1/PP1R2KP/4R3 w - -,e1d1
2r2rk1/1pqbbppp/p2ppn2/6B1/2PQP3/1PN2N2/P4PPP/2R2RK1 w - -,f1d1
r4r1k/2R1R1p1/7p/1p3p1q/1P1p1P2/PQ4P1/6KP/8 b - -,a8c8
b2r1rk1/Q5pp/7q/3p1pn1/1P2p3/PBB1P3/5PPP/R2R2K1 b - -,f5f4
r6r/1p1k2b1/1pn1pp2/3p1p2/3PnB1p/2PN1N1P/PP3PP1/R3R1K1 b - -,g7f8
3r1rk1/ppp3pp/5n2/4p3/1qPn4/3B2NP/PP2QPP1/3RR1K1 w - -,e2d2
rnbqk1nr/p4ppp/2p1p3/1P6/1bpP4/2N1P3/1PQ2PPP/R1B1KBNR b KQkq -,c6b5
5k2/8/2R5/3NKp1p/4bP1P/8/8/8 w - -,c6c7
r3kb1r/pp1bpppp/n4n2/3P4/8/1BN5/PP1P1PPP/R1B1K1NR b KQkq -,g7g6
r1q1r1k1/5pbp/3pb1p1/1R1N4/4PP2/2N5/PP3QPP/4R1K1 b - -,e6d5
r1bqk2r/3pp1bp/p1n2np1/8/2p1p2P/2P2N2/PPBN1PP1/R1BQK2R w KQkq -,d2e4
4r3/7k/p3P2p/1p3pp1/8/1B6/Pq3NPP/5R1K w - -,h1g1
r1b1k2r/1p2bpp1/1qn1pn1p/2pp4/p2P4/P1PBPN1P/1P1NQPP1/1RB2RK1 b kq -,c8d7
8/4kp2/4p1p1/R7/P5P1/4bP2/r1B5/3K4 w - -,a5b5
r2q1rk1/pb1n2p1/4p1n1/1p2PpP1/2pP4/2P2B2/2QB3P/R3NRK1 b - -,b7f3
2r3k1/pr2ppb1/Q1b2np1/7p/4P3/2N1B3/PPP3PP/2KR4 w - h6,a6c4
2b3k1/p2q2p1/1p1rpb1p/8/3P2Q1/P2BB3/5PPP/5RK1 w - -,g4g6
r4r2/1bq1npk1/p3p1pp/1pNpP3/PPnP4/2QB3P/2R1NPP1/R5K1 b - -,b7c6
r1bqk1nr/pp1P3p/2n3p1/2p2p2/Q1P5/2P5/P3PPPP/R1B1KBNR b KQkq -,c8d7
4nrk1/2p1rppp/1pR1p3/p3P3/3P4/P4N2/1P2KPPP/2R5 w - -,f3g5
r6r/1p1Nk1p1/p2b4/1q1Pp1Pp/4P3/4BP2/1P6/R2Q1RK1 b - -,b5d7
4k3/1p3pp1/p1q1p1p1/3pP3/1PbB3r/P1R3P1/5P1P/3Q2K1 b - -,h4h5
3r4/1pq1npk1/2n3pp/8/1PQ4N/6PB/5P1P/3R2K1 w - -,d1c1
R3B3/4k1pp/3bpp2/1n6/3B4/4P1P1/P4PKP/1r6 w - -,e8b5
r3q3/1p1bp2k/3p2pp/1n1P1p2/1P2P1n1/6P1/N4PBP/BQR3K1 b - -,e8f7
5r1k/p5np/1p1n4/2rPp3/2P4P/5NpB/P1R4K/2R5 w - -,h2g2
rn1qkbnr/pp2pppp/2pp4/8/3PP1b1/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1d3:f1e2:h2h3:b1c3
r1b2rk1/ppq1ppbp/2n3p1/6B1/3Pp3/2P4P/PP1Q1PPN/RN3RK1 b - -,f8d8
7k/b2QRr1p/p5p1/8/3q1pP1/P4P1K/7P/8 w - -,d7e8
8/8/1p4r1/1Pp1R1pp/7k/3PNP2/4K3/8 w - -,e2f2
8/1p1Q4/p3p1k1/P3P2p/1Pq2P2/4K3/7P/8 w - -,d7d3
r2q1rk1/1p4bp/2p1bnp1/2B1p2n/1PP2P2/2N4P/3QN1B1/4RRK1 w - -,d2c2
r3kb1r/pp2pp1p/2n5/2p1P1p1/5Bn1/5N2/PPP1KPPP/RN5R w kq g6,f4g5
r2q1rk1/pp2ppbp/n1b3p1/4P2n/3Q4/2N1BN2/PP3PPP/R3KB1R w KQ -,f1e2
6k1/pp3p2/2p1r1p1/3b2q1/3P3p/P7/1P1Q1RPP/5NK1 b - -,g5d2
r3r3/ppp4p/2p3p1/5k2/5P2/P4BP1/1PP2N1P/2K4R b - -,h7h5
r1bqk2r/pp2ppbp/1nn3p1/3P4/8/1BN2N2/PP3PPP/R1BQK2R b KQkq -,c6a5
4R3/p1b5/8/1P3b2/P7/6kp/8/7K w - -,e8g8
rnbq1rk1/1p3pbp/p1p1pnp1/3p4/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 w - -,b2b3
5r2/R4pkp/1pR1p1p1/1p6/1r2P3/6P1/5P1P/6K1 b - -,b4e4
1brr2k1/1p1n1pp1/p1p1qnp1/P3p3/1PN1P2P/4BBP1/2P1QP2/R4RK1 w - -,a1b1
5k2/5p2/8/6Q1/4P1K1/5P2/4q3/8 w - -,g5h6
4b1k1/1p6/5p1p/4r1p1/pK1N4/5P2/P1P3PP/3R4 w - g6,c2c4
r5k1/pppq1pbp/3p2p1/3P1b2/5B1P/2P3P1/PP1Q1PB1/4R1K1 b - -,a8e8
5rk1/ppp4p/6pq/4p3/4PbPP/1Pn1NN2/P1P3K1/R3Q3 b - -,c3e4
rnbq1rk1/ppp1bppp/4pn2/3p2B1/3P4/3BPN2/PPP2PPP/RN1Q1RK1 b - -,b8d7
5k2/5p1p/6p1/R3p3/1r1rP3/4KP2/3R2PP/8 b - -,b4b3
r1b2rk1/5pb1/p6p/1p1pn1p1/3N4/2NBPPP1/P2K2P1/1R5R b - -,f8d8
1rbqnrk1/p5p1/3p1N1p/2pP4/2P2BP1/7P/P1Q3B1/R4RK1 b - -,d8f6
3r1rk1/p1q1b1pp/b3p3/2p1np2/PpN5/1P1PP1P1/2PNQ1BP/3RR1K1 b - -,e7f6
r5k1/3R2pp/p4pb1/1p6/1P3b1P/2P5/1P3BP1/R5K1 w - -,d7a7
8/1R3p2/6kp/p3p1p1/1p3b2/r7/P1R4P/4K3 b - -,f7f5
r2qr1k1/bp3pp1/p1p1bn1p/4p3/4Pn1P/2P1NQ2/PPB2PPN/R1B1R1K1 w - -,g2g3
r1bqkbnr/pp1n1ppp/2p5/3pp3/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,g8f6
r3r1k1/1pq2pbp/3p1R2/p1nP4/2P1p1P1/4B3/PP5P/1BRQ2K1 w - -,f6f5
rnbq1rk1/pp3ppp/3bpn2/3p4/2pP4/2P1PNB1/PP1N1PPP/R2QKB1R w KQ -,d1c2
b5k1/5pp1/3Np2p/3nP3/p2Q4/P6P/1PqB1PP1/6K1 w - -,g1h2
r3k2r/p1p1bp1p/1pn1p1p1/3qP3/2PP1P2/4BN2/P3Q1PP/3R1RK1 b kq -,d5a5
8/4R3/7p/4kP1P/2p5/1nr1N3/4K3/8 b - -,e5d6
rnbqkb1r/pp3ppp/4pn2/2pP4/8/5NP1/PP1PPPBP/RNBQK2R b KQkq -,e6d5
8/5p1k/p7/4N1KP/5P2/Pb6/8/8 w - -,f4f5
3kr3/1pp5/6p1/1b1pr2p/p2RN2P/P4P2/1PP3P1/3K3R b - -,b5c4
2r3k1/p2R1p2/2n1p2p/2p1P1p1/2P2PP1/8/P3B2P/6K1 w - g6,f4f5
1rb2k2/3p3p/p4p2/1p2pP2/1P2B3/5P2/PKP4P/3R4 b - -,f8e7
8/5rkp/6p1/3b4/6P1/4R1KP/5PB1/8 b - -,d5g2
1r4k1/3q1p2/4nPp1/2r4p/8/1p2Q2P/1B3PP1/RB2R1K1 w - -,e3h6
5r1k/1pp1Rpp1/1b1p1n1p/P2P1B2/P1P4P/2B3P1/5PK1/8 b - -,b6c5
r1q2rk1/1b1n1pp1/p1p1p2p/8/2nP1B2/PQ3NP1/5PBP/R4RK1 b - -,c4b6
8/5pk1/p4qp1/1p5p/1P5P/P3Q1P1/2r2P2/2R3K1 b - -,c2a2
r4rk1/1Np1bppp/p3p3/3q2P1/Pn1P3P/1P2BN2/1P1RQP2/2K4R b - -,d5b3
5r2/p1r1kp2/4p2Q/3pP2P/3P4/P1p3R1/2q2PP1/3RK3 w - -,h6g5
1r4k1/2qn1pbp/3p2p1/2pP4/2N2n2/2N1P2P/1PQ2PP1/5RK1 w - -,e3f4
rn2k1nr/1b2bpp1/1q2p3/p1ppP2p/1p3P2/P1PPBNP1/1P2N1BP/R2QK2R b KQkq -,g8h6
1rbq1rk1/np2bppp/p2p1n2/2pP4/4P3/1PN2NP1/PB3PBP/R2Q1RK1 b - e3,c8g4
2rq1rk1/pb2bppp/1p2pn2/2p5/2PP4/P1NBB3/1P3PPP/2RQ1RK1 w - -,d4c5
r1bqk2r/pppp1ppp/5n2/4n3/3QP3/2N5/PPP1BPPP/R1B1K2R b KQkq -,d7d6
8/2k2pp1/7p/1Np2P2/2p3rP/2Pn4/5P2/1R3K2 b - -,c7c6
6k1/1b1p1pp1/p2P4/1p2p2p/r3Pq2/2P1NP1P/PQ4P1/4R1K1 w - -,a2a3
8/2rkb1p1/R2p1p1p/2pPpP2/1p2P3/1K1PB2P/1P4P1/8 w - -,g2g4
1r2r1k1/2q2pb1/p2pbnp1/npp4p/2P1PN2/1P4P1/PBQN1PBP/1R1R2K1 w - -,f4d5
r1bqkb1r/1pp1pppp/p1n2n2/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R w KQkq -,e2e3:c1g5:a4a5:e2e4
8/8/7p/3nN1p1/P5P1/3pk2P/8/4K3 w - -,e5c4
2r1rqk1/1R1n2b1/2p1b1pp/4pp2/2P5/2R1BNP1/4QPBP/6K1 w - -,e2d2
2r4k/4b1p1/p3pr1p/8/4QB2/Pqp1P3/1PR2PPP/2R3K1 w - -,f4e5
8/5Qpk/8/4P2p/8/3P4/2P5/3K3q w - -,d1e2
6r1/p3q1rk/Pp2pb1p/2p1p1pQ/4Pp2/1PBP3P/2P2PP1/R2R2K1 b - -,g5g4
1r3n2/1r2bkp1/2p1pp1p/1PP4P/P4PP1/3NB3/2K5/1R2R3 b - -,c6b5
r1bqkb1r/pp1p2pp/2n1pn2/2p5/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e3
8/1p1R4/1kp2p2/3P1Pp1/pPb3P1/P3KB1r/8/8 w - -,d5c6
2r3k1/1p2pp1p/3pb1p1/q7/2PBPP2/1P1R4/r5PP/4QBK1 w - -,d3c3:d4c3
8/1p4r1/p1pP1k1p/2P3p1/PP1K2P1/4R2P/8/8 w - -,d4e4
3q1rk1/1b3ppp/p2Prb2/n1p5/8/1P3N2/P2QBPPP/R1B2RK1 w - -,c1b2
r1r3k1/5pp1/4p2p/3nB3/1b1P4/2P2N1P/2R2PP1/2R3K1 b - -,c8c3
6k1/5p2/5Pp1/6Pp/1r3P2/1P3RK1/8/8 w - -,g3f2
8/2k2ppp/2p1p3/2p1P3/P1P2P2/R1Pr4/6PP/6K1 b - -,d3d2
r2q1rk1/pp2ppbp/2np1np1/8/3PP3/1BN2Q1P/PP3PP1/R1B1K2R w KQ -,c1e3
1k6/8/P7/2P5/2P1K3/2r2R2/8/8 b - -,c3c4
b2r2k1/2q2pbp/6p1/1p1p2P1/1P1R4/4Q3/2P3BP/3R3K b - -,g7d4
1r6/2r1kpb1/p5p1/nppBp2P/4P1N1/1PP5/P3KP2/R2R4 b - -,b8h8
r1b2rk1/ppq1bppp/1n2p3/8/4P3/P1N1Q1P1/1P3PBP/R1B2RK1 b - -,c8d7
4r1k1/4q3/3p1b2/1ppP1b1p/5Pnp/1R5P/1P1Q2P1/3N1RBK b - -,c5c4
2q2rk1/5pp1/pr1p1n1p/2p1p3/2P1P3/1P3P2/P2QB1PP/1R3RK1 w - -,b1b2
8/4kp2/pBbp2p1/P3p2p/1P6/4KPP1/7P/8 w - -,f3f4
3r2k1/1p4p1/p3p2p/8/P2q4/2Qn4/1P3PPP/1R1N2K1 w - -,d1e3
r1br2k1/ppq1bppp/8/7Q/2npNN2/6PP/PPP2PB1/R3R1K1 b - -,c4b6
8/1p3pnk/1q3bp1/2pr1P1p/2P2Q1P/1P3NPB/r4P2/3R2K1 w - -,d1d5
5k2/2r1rp1p/1p6/2bBp1R1/2P5/P4RPP/8/5K2 w - -,d5e4
8/6kp/2p3p1/5b2/P7/2P4P/5BP1/7K w - -,h1h2
3r2k1/7p/1pBP1n2/7r/1pN1pp2/8/P5P1/1R4K1 w - -,b1b4
3r1k2/3P2n1/2B5/6pp/4Rp2/1P2p2P/2P1K3/8 w - -,h3h4
r4rk1/p2n1p1p/2p2bp1/q2b4/2B2B2/1Pp2N2/P1P1QPPP/R3R1K1 b - -,d7b6
5R2/1p4p1/4kbP1/3rB3/3p1P2/3K4/1P6/8 b - -,f6e5
3R4/R4pkp/6p1/P7/4n3/7P/r5P1/5K2 w - -,d8d7
6k1/1p2pp1p/3p2p1/2nP4/2P5/1PRBP1PP/5K2/1r6 b - -,b1b3
8/5pk1/5bp1/7p/1r5P/5NP1/3R1PK1/8 b - -,b4a4
8/3k4/1P1r4/2B5/4K3/8/8/8 w - -,c5d6
1qr4k/5pp1/2rbp3/pp1p2B1/n2Pn3/P1P2N1P/1P2QP2/1N1R2RK w - -,g5e3
3r2k1/6p1/3q2Np/p2PN2P/P4P2/8/2Q2PK1/8 w - -,c2f5
4Rq2/5pk1/2Q3p1/1ppP1n2/5P1p/7P/PP4P1/6K1 b - -,f8d6
1r3rk1/1b2bp1p/4n1p1/2pqP3/1p2Q3/5N1P/1P1N1PP1/RBB1R1K1 b - -,d5d7
r1b1r1k1/1p3pbp/p1p2qp1/P7/2B1Pp2/2P5/1P2QPPP/R2RN1K1 w - -,e1d3
6k1/6p1/4p3/3pPq1p/3Bp2P/4Pr1P/2Q2P2/1R4K1 b - -,f3h3
8/R7/8/1P6/P3k3/5p1K/6r1/8 b - -,g2g1
8/4k3/3b4/2pP1bpp/BpP5/1P3K1P/5N2/8 b - -,d6e5:d6b8
2kr1b1r/ppp2ppp/2nqpn2/8/2PP2b1/1Q2BN2/PP2BPPP/RN3RK1 b - -,d6b4
r2q1rk1/1p1nbp1p/p3p1p1/2Np1n2/1P6/B2P1PP1/P4PBP/2RQ1RK1 b - -,b7b6
2r5/5ppp/8/4k3/3N4/5P2/2R3PP/6K1 b - -,c8a8
6k1/1p2qpp1/1p2b3/8/4R3/3rP1P1/rBQ2P2/2R3K1 b - -,e7d7
8/5pk1/3B1n1p/5B2/5PPP/2b2K2/8/8 w - -,g4g5
1r6/3bkpp1/r2p4/p1p1p2p/N1PBP1nP/1P4P1/P1R2PB1/1R4K1 b - -,e5d4
1r4k1/5p2/2QN3p/6pn/8/2P2P2/qP4PP/5RK1 b - -,b8b2
8/7p/8/pp3kp1/1N3n2/8/2K2PPP/8 w - -,b4c6
1rb1qrk1/2p1b1p1/2p1P2p/2Pp1p2/1P1Nn3/3B3P/3B1PP1/1R1Q1RK1 w - -,b4b5
8/1pr1pk2/p4p1p/2P1rP1n/1P1NP3/P4K2/8/3R2R1 w - -,g1h1
8/p1p5/1p2bk1p/2p2p2/P1P4N/1P4P1/2P3K1/8 w - -,g2f3
3rrbk1/5q1p/1p4p1/1Pnpp3/1B4QN/4P1P1/R4P1P/R5K1 b - -,d8d7
8/8/q4k2/3p1pp1/1K1P1P2/1PQ1P3/8/8 w - -,f4g5
5rk1/1ppb3p/3p4/3Prp1B/p1P1N1p1/P6P/1P4PK/2Q5 b - -,f5e4
r2qkb1r/1p2nppb/p1n1p2p/3pP3/3P3N/PPN1B1P1/5PBP/R2Q1RK1 b kq -,g7g5
r2qk2r/pp2np2/2np3p/2P2bp1/2P1p3/P1b3PN/3PPPBP/1RBQ1RK1 w kq -,d2c3
3r4/5pk1/p1p4p/3pKP2/PP1P4/4P3/8/2R5 w - -,c1c6
3Rr1k1/5ppp/1pq5/5Q2/8/1P2P3/r4PPP/2R3K1 w - -,d8c8
8/1p2ppk1/p5pp/2n5/P1N5/R1P1P2P/5PPK/3r4 b - -,h6h5
8/1B6/1n1kpp2/6p1/3b2P1/5P2/3B4/5K2 w - -,f1e2
8/p6p/6pK/1p2k3/1Pp1P3/2P3P1/P7/8 w - -,h6h7
r1bq1rk1/1p1n1ppp/p3p3/2bpP3/3B1P2/2N5/PPPQB1PP/2KR3R b - -,b7b5
r1b1kb1r/3npp1p/p2p1np1/3P4/2PB1P2/R4N2/1P2P1PP/4KB1R b Kkq -,f8g7
5r1k/1prqp1bp/p4np1/n2p1p2/3P4/PP1QPPP1/1BN3BP/2RR2K1 w - -,a3a4
1kr5/pp3p2/3p1qp1/4p3/2PpPPn1/3P1NP1/PP1Q4/1K5R b - -,c8h8
8/pR6/6k1/8/6pP/1KP5/P4r2/8 b - -,g4g3
r1b1k2r/pp2qp2/2pp1n1p/4p1p1/2BbP3/2NPB1Q1/PPP2PPP/R4RK1 w kq -,h2h3
2r1b1k1/p3r1p1/1pn1p3/3pPP1p/6P1/P1BB2KP/2P2R2/4R3 b - -,e6f5
