8/8/1K1k2p1/8/PbP3B1/7P/8/8 w - -,a4a5
4r1k1/pp1rb1pn/2Q1pp1p/2P4P/2P2PP1/3NB3/PP6/1K1R3R b - -,b7c6
4r1k1/1p3pp1/2p5/5q2/P2P4/BPn1PpP1/5P2/3R1QK1 w - -,d1d2
1k1r3r/1p3pp1/pqp5/2bB4/6Q1/6P1/PP4KP/R1B1R3 b - -,d8d5
8/4qppk/2p3np/1pn1p3/4P2P/1PP1BNP1/2Q2P1K/8 b - -,e7d6
1r3rk1/pPpq2b1/3pn2p/1P1Npbp1/2P5/3PP1P1/2QN3P/1R2R1KB b - -,e6c5
r4rk1/pp3ppp/2n1b3/2b3N1/5B2/2P5/P3BPPP/R2R2K1 b - -,f8e8
r3kb1r/pp3p1p/2n2p2/3qp3/3p4/1NN3P1/PPP1PP1P/R2Q1RK1 b kq -,d5d8
1r6/1Pq2pk1/4pnp1/8/8/6PP/1Q4BK/1R6 b - -,c7d8
4kr1r/p2qp3/2p3p1/PpnpPb2/1P1P4/2P1Q1Pp/5N1P/R4RK1 w - -,b4c5
2rqr1k1/3bpp1p/p2p1bpB/1p1Pn3/1R6/1NP5/PP1Q1PPP/4RBK1 w - -,h2h3
r4rk1/ppq2pp1/3bpnp1/2p5/2BB2P1/2N4P/PPP2Q2/3R1RK1 b - -,c5d4
5r2/5p1k/6pp/2p5/2QbP1P1/5PqP/6B1/3R2K1 w - -,g1h1
2kr3r/1pn1pp1p/pqp3p1/5b2/3P4/PP2QPP1/2P1N1BP/R3R1K1 w - -,c2c4
6k1/1qrn1p1p/8/3Pp1p1/N1n2bPP/1PQ5/1B4K1/5R2 w - -,b3c4
8/7p/4R1p1/1k6/4Pp2/7r/4K2P/8 w - -,e6d6
8/8/8/4k1P1/6R1/3B4/3KP3/1q5r w - -,d3b1
5rk1/1p2b1pp/p7/P2pp3/5P2/1q2B1Q1/1P3RPP/6K1 w - -,e3b6
r3k2r/1bq1bppp/p1p1pn2/1p6/4P3/P1N2B2/1PP1QPPP/R1B2RK1 w kq -,c1g5
8/4kb2/2p4p/1pP1p1p1/1P2B1P1/3RP2P/1bK5/8 b - -,f7c4
1r2r1k1/pb2ppbp/1p4p1/nqp5/8/P2PBNP1/1PQ1PPBP/2R1R1K1 w - -,c1b1
r1bq1rk1/pp2ppbp/2n3p1/3p4/P2Pn3/2P2N1P/1P2BPP1/RNBQ1RK1 w - -,c1f4
1r4k1/3b3p/1P4p1/2B5/6n1/3p2N1/Rb3PPP/3R2K1 b - -,b2e5
r2q1rk1/pp2bppp/5n2/2ppPp2/8/2P1P3/PP1N1PPP/R1BQ1RK1 b - -,f6g4
r2q1rk1/ppp1np1p/6p1/4pb2/N7/1P1BP3/P1P2PPP/R2QK2R b KQ -,f5d3
5k2/5p2/3K2p1/3B2P1/8/5R2/8/r7 b - -,a1a7
r1b2r1k/ppp1q1b1/3p2pp/P1PPp3/1P5n/3B2N1/3B1PPP/2RQ1RK1 b - -,e7f7
q3r1k1/3n1pp1/p1Nb3p/1p1P1P2/1P2Q1P1/P2R4/2r4P/6BK w - -,e4f3
r1q4k/3bb2n/p2p2r1/QPpPp1p1/4P1Np/1P2BP1P/1PK1B3/R5R1 b - -,e7d8
2Nn4/p2k4/1p6/2pK4/P7/8/8/8 w - -,c8a7
r1bqk2r/3nbppp/2p1pn2/1pPp4/pP1P4/5NP1/P2NPPBP/R1BQ1RK1 b kq -,d8c7
5rk1/p5pp/4Rb2/5p2/8/3P1NP1/r4P1P/5RK1 b - -,f8d8
7k/6p1/2R4p/p1n2r2/8/7P/P1P3PK/8 w - -,c6c8
2k1r2r/1p1b2pp/p4n2/q2p4/P2B4/1B6/5PPP/R2QR1K1 w - -,d1c2
r1bq1rk1/1p3p1p/2pp2p1/p3n3/2PbP3/1PN5/PB2QPPP/R3RBK1 b - -,f7f5
3q1rk1/pp1bppbp/3p1np1/8/3NP3/1Br1BP2/PnP1Q1PP/1R1R2K1 w - -,b1b2
8/B5k1/6pp/5p2/4nP2/6P1/6KP/8 b - -,h6h5
r4rk1/p1qnbppp/Rnp1p1b1/4N3/3PP3/1BN5/1P1BQPPP/5RK1 w - -,e5g6
5r1k/2p4p/2q3r1/1p1p4/p2PpP2/P1P1P1R1/Q2B3P/6K1 b - -,g6g3
5rk1/r2nbpp1/4p1bp/2ppB3/PppPP1P1/2P2P2/1P1N3P/R2BR1K1 w - -,e4d5
8/7p/2p1k2B/2Pp4/2nPp1b1/6P1/r4P2/1R3BK1 w - -,f1g2
r3k2r/pb2qppp/1p1bpn2/2p5/2PP3Q/3B1N2/PP1B1PPP/2KR3R w kq -,h1e1
8/2p1r1pp/4k3/8/8/2RKPP2/6PP/8 b - -,e6d6
2r1k2r/3nbpp1/p3p2p/q2n4/1p1N2PP/1P2BP2/1PPQN3/1K1R3R w k -,e2f4
r3r1k1/b1qb1pp1/Q2p1n1p/P1pPp3/4P3/B1P2N1P/3N1PP1/R3R1K1 b - -,d7c8
r2qkb1r/pp1n1p1p/2p2np1/2Pp4/3P4/2N1BQ1P/PP2BPP1/R4RK1 b kq -,f8g7
r2q1rk1/p1pb1ppp/1bp5/3pP1n1/3N1P2/4B3/PPPN2PP/R2Q1RK1 b - -,g5e6
r1b1k2r/3pbppp/p1q1pn2/8/Np2P3/4BP2/PPPQ2PP/2KR1B1R w kq -,a4b6
5r2/1p4kp/2pp1qp1/Q3p3/p7/P1P3P1/1PP2P2/1K3R2 b - -,b7b5
5rk1/5pp1/4p3/1q1pPbP1/n1pP3B/2PnQ3/3N2PP/R4BK1 w - -,g5g6
2rqkb1r/1p3ppp/p1n1pn2/3p4/3P1B2/2NQPN2/PP3PPP/2R1K2R w Kk -,e1g1
r2qk2r/pb1pbppp/1pn1p3/3n2B1/3P4/3BPN2/PP1N1PPP/2RQK2R w Kkq -,g5e7
5rk1/1b3ppp/2pq4/1p1p4/3P4/6P1/Q3PPBP/2R3K1 w - -,a2a7
1R6/8/p5p1/P5k1/P2KB2p/6r1/4b3/8 w - -,b8g8
5r1k/8/p1pb2P1/3p1q1P/3PbPp1/4Q3/PP1B1R2/6K1 b - -,h8g7
4b3/7p/p4r2/3P4/1PBR4/P4p1k/7P/7K b - -,e8b5
r3k1nr/1p2bp1p/nqpp4/p3p3/2P1PPb1/2NP4/PP2N1BP/R1B1QR1K b kq -,g8f6
8/8/8/8/5pk1/1R6/2r5/5K2 b - -,f4f3:c2h2
2r2rk1/p2qbppp/1pnnp3/3p4/3P4/1PNQP1P1/P2B1PBP/R2R2K1 w - -,d1c1:c3e2
3r1rk1/pp4bp/2p1b1p1/4ppq1/1PPnP3/P3N3/3R1PPP/BR1Q1B1K w - f6,e4f5
r2qk2r/pb1nbppp/2p1pn2/1p6/3PP3/2N2N2/PPQ1BPPP/R1B2RK1 b kq -,e8g8
3r4/pp4pk/5n1p/2rP4/4p3/Pq2N1P1/1P1RQ1KP/3R4 w - -,d5d6
5r1k/pbp3bp/1p3qp1/4pp2/8/1QP1PPBP/PP2B1P1/3R2K1 b - -,f6g5
rn1b1rk1/p1pq3p/1p1p1n2/5pp1/3N4/P3PP2/1PQ1B1PP/R1B2RK1 b - -,f6e8
5k2/4r1p1/1pp5/p3p1n1/P1B1P3/1P2P3/6K1/3N4 w - -,d1f2
br1r2k1/p4ppp/4p3/b2p4/P1p5/4PNP1/4RP1P/2R2NK1 b - -,b8b4
5k2/ppr4R/4pNP1/q3P3/bn6/P1pB1P2/2P2B2/1KR5 w - -,h7h8
rnr3k1/1bq2pbp/2p1p1p1/p2nN2P/1p1P4/1P1BPN2/1BQ2PP1/R1R3K1 b - -,b8d7
1R6/2p3kp/4qr2/2p5/P1Np4/P2P1PP1/3Q2K1/4r3 w - -,b8b2
8/1p6/2p2k2/1bPp4/1P1n1p2/5Pp1/2BK2P1/4R3 w - -,e1h1
1rr3k1/p3pp1p/2B3p1/8/2bP4/B1R3P1/Pn3P1P/R5K1 b - -,c8c6
2kr3r/p2qppb1/bpn5/2pp2p1/PP2P1p1/2PPB3/3QNPPP/2RNK2R b K -,d5e4
2r4k/R1R5/8/3pP3/5p2/8/1r4PP/6K1 b - -,c8e8
6k1/4pp1p/1n1p2p1/1P1P4/r3n3/4N2P/4BPP1/2R3K1 b - -,e4c5
2k5/pp3p2/2p1p2p/4P1p1/1bP5/7P/P2K1PP1/4R3 w - -,d2e2
3r2k1/5ppp/1rnbp3/1pp5/8/PP6/1BP1BPPP/R4RK1 b - -,c6d4
r2qrbk1/ppp2p2/2bp1n1p/6N1/3PP2B/8/PP1NQPPP/R4RK1 b - -,h6g5
rn1qkb1r/pb3ppp/1p2p3/2Pn4/8/P1N2N2/1PQ1PPPP/R1B1KB1R b KQkq -,f8c5
r3k2r/3p1ppp/p3pn2/2B5/8/P4P2/1Pb1B1PP/R4RK1 w kq -,f1c1
8/3b2p1/4p3/pp1pP1k1/2rB2P1/P1P2K2/2P5/1R6 b - -,c4c8
5k2/2B1n1pp/2Q1Pr2/1p3P2/2p1p3/1B4P1/1PP4P/6K1 b - -,e7c6
r1bk3r/1p1q2pp/5p2/n1Pp4/1B1N4/P3P1Q1/5PPP/4KB1R b K -,a5c6
8/8/6P1/Pk6/2N1K3/8/1b6/8 b - -,b2c3
4r2k/pp4p1/1b5p/3p1q2/1P1PrP2/P1BR1QP1/6KP/5R2 w - -,f1f2
3rr1k1/1p2ppb1/p4n2/1q1p1PNp/6pP/1P4B1/1PPQ1PP1/R3R1K1 b - -,d5d4
2rr2k1/pp1bbppp/2n1pn2/6B1/8/P1N1PN2/1P3PPP/1BRR2K1 b - -,h7h6
6r1/5k2/3b1p2/1p5p/p2Pp2P/2P1P3/PKR5/4B3 w - -,c3c4
r1bqkb1r/pp2pppp/2n2n2/2Pp4/5B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,e7e6
4rr1k/p1p1np1p/1qppb1pQ/8/4P3/1PNB3P/P1P2PP1/4RR1K b - -,e7g8
2b2rk1/1p2bpp1/2n1p2p/1N1p4/np1PPB2/6P1/rPRN1PBP/5RK1 b - e3,d5e4
1r3rk1/p4pp1/4p1n1/3pP1Pp/8/P1P1BN2/1n3PP1/RR4K1 b - -,a7a6
2b2r1k/4q2p/p1p2p2/4r3/4P3/1BN2Q2/P1P3PP/3R3K w - -,f3f4
6k1/2p2qb1/p1Pp4/3P3p/1P2bpPP/1Q6/4NKP1/3R4 w - -,g4g5
1r4k1/3bbpp1/1q5p/3pP3/1Pp5/5N1P/2N2PP1/1R1Q2K1 b - -,b6g6
r2q1rk1/4b1pp/pp1n4/2pPpp2/2P5/3QBP2/PP4PP/3BRR1K b - -,e7f6
8/6Rp/2p1k3/3b1p2/2pB3P/P1P5/r5PK/8 b - -,f5f4
r4rk1/3qbpp1/3npn1p/pp1p4/3P4/2PB1PN1/PP2Q1PP/R1B1R1K1 w - -,b2b3
2b1qnk1/p5p1/1p3pNp/4p2P/1P2PQ2/P2B2P1/5PK1/8 w - -,d3c4
1b6/8/1KP4p/2N2pp1/8/6P1/3k1P1P/8 w - -,b6b7
8/3k3Q/p2p4/P2P4/1bq3p1/8/1B4P1/1K6 b - -,d7c8
6r1/8/8/pp1k4/3P4/4K1p1/PP4R1/8 w - -,e3d3
2qn4/6p1/p4pk1/Np1Q3p/1P5P/P5P1/5PK1/8 b - -,c8c7
r3kbnr/pp1q1pp1/2p1p2p/8/3P1B1P/3Q2N1/PPP2PP1/R3K2R b KQkq -,g8f6
2b1qrk1/5pb1/p1pB1npp/4r3/3QP3/2N3P1/P4PBP/2R2RK1 b - -,e5h5
r2qk1r1/pp2bp2/2n1p3/3pPp2/3P3p/P1NQB2P/1P3PP1/R1R3K1 b q -,f7f6
2r1k1q1/p1r1P3/1p3Bp1/8/8/2P2R1Q/6P1/6K1 b - -,c7c6
8/p5pp/1p1knp2/2pp4/P2P2P1/2PNKP2/1P4P1/8 w - -,b2b4
R7/6kp/3pp1p1/p7/P6P/6P1/5PK1/r7 w - -,a8a5
r1b2r1k/pp4pp/1n1q4/2nPpp2/8/5QPB/PP3P1P/R1BR1NK1 b - -,f5f4
3rrnk1/ppp3b1/4n2p/4pB2/2P1Pp1P/BP3N2/P4P2/R5RK b - -,g8f7
6k1/5p2/3p1ppB/2p5/P1Bp4/3P2P1/2r1r2P/R5K1 w - -,h6f4
rnbqk2r/pp1ppnbp/6p1/2p2PB1/3P3P/2N1P3/PPP2P2/R2QKBNR b KQkq -,c5d4
r4rk1/p4pb1/3Qb1qp/2p1n2R/1p2P3/4N1B1/PPP1BPP1/R3K3 b Q -,f8d8
r1bqk2r/ppppbppp/2nn4/4p3/8/5N2/PPPP1PPP/RNBQRBK1 w kq -,f3e5
rn2k2r/pp3ppp/2p1pn2/7q/2BP1B2/2b2P1P/PPP1QP2/2KR3R w kq -,b2c3
1r2r1k1/5ppp/2R2n2/p2p4/Pp1B1Pqb/1P4N1/2P3QP/5RK1 b - -,f6e4
8/7p/3k4/1P1p2p1/r3p3/p1P1K1PP/8/R7 w - -,c3c4
2br4/p2r2kp/p5p1/2P1ppP1/1R6/1B2P3/5P1P/2R1K3 w - -,c5c6
r3kb1r/pp2pppp/1nnq4/8/3p4/NbP2N2/PP3PPP/R1BQ1RK1 w kq -,d1b3
r4r2/p1qnnpbk/bppp2pp/4p3/2PPP2P/1PN1BN2/P1B1QPP1/3R1RK1 w - -,h4h5
3r2k1/1b3ppp/ppn2b2/7q/4BB2/P4N1P/1PQ2PP1/5RK1 b - -,d8c8
5k2/6b1/4q1P1/2p1P2K/p7/1p1Q2BP/8/8 b - -,e6h3
r1b1rnk1/ppq2ppp/2pb1n2/3p4/3P1N2/P3P1N1/1PB2PPP/R1BQ1RK1 w - -,f4h5
r3k2r/1p4p1/pbn1b2p/3p4/1P3PP1/P1P4P/3B2R1/R2BK3 b Qkq -,e8c8
6rk/1p1bq2p/p1p1pn1r/P2p2N1/2PPpP2/1P2P1P1/2Q2NRP/R6K b - -,h6h5
6k1/5p1p/p5p1/7r/1P1p4/P4qr1/5P1P/Q1R3K1 w - -,f2g3
r4rk1/8/1q1p1bpp/pbpP1p2/5P2/3BP3/1PQ2BPP/1R3RK1 w - -,e3e4
R3b3/4k3/4p2p/6r1/3KB1p1/8/8/8 w - -,a8a7
3r2k1/1pq2p1p/4p1p1/p4nR1/2P5/PP4P1/2Q2PBP/5K2 w - -,h2h4
4q3/pb1r3k/1p1r3p/3N2p1/1P2n3/PB2P2P/1Q3PP1/2RR2K1 w - -,d5c3
r6r/8/1npp1k1p/pp1p1ppb/3P3P/3BP1P1/PPP2P2/1K2N1RR b - -,b6c4
r2q1rk1/3b1pb1/n4npp/pp1PN3/2p4B/P1N4P/1PB2PP1/R2Q1RK1 b - -,f8e8
6k1/1p1b1p1p/4p3/1PNpPpP1/1b1P1K1P/4PN2/8/8 b - -,d7c8
5rk1/p3np1p/b2p1bp1/q1p2P2/1nP1P3/3P1N1N/P5BP/1R1Q1RK1 w - -,f1f2
r4k2/1r2bppb/2p4p/p6P/1nBBPN2/1P3PP1/3R1K2/R7 w - -,d4c3
1r2r1k1/Q4pp1/2p3qp/2Pp1bb1/8/2N1P1P1/P4PBP/2R1R1K1 b - -,d5d4
6k1/3q4/p1b2p2/1p3npp/8/1PQ2N2/P3N1PP/7K b - -,c6f3
r3kbnr/3n1ppp/p1q1p3/2p5/NpP5/3P2PN/PP3P1P/R1BQ1RK1 w kq -,b2b3
r2qk2r/1ppbbppp/p1np1n2/4p3/B1P1P3/3P1N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
1r3rk1/2pb2pp/p1pp4/4q3/3N1Rn1/1P1PP3/P2QN1PP/4R1K1 w - -,d4c6
qr4k1/4ppbp/r2pn1p1/p1p5/Q2PP3/P3B2P/1PRN1PP1/2R3K1 w - -,d4c5
2r2r2/1b2qpk1/1pB1pb2/p1p1PnpQ/2Pp1B2/3P2P1/PP1N1P2/R3R1K1 b - -,f8h8
r3k2r/pp3ppp/2pqbnn1/3p4/3P4/2NBPN1P/PPQ2PP1/R3K2R w KQkq -,e1g1
5rk1/pp2qpbp/2nr2p1/2p5/5P2/4PB1P/PPQB2P1/R4RK1 b - -,f8d8
7R/8/5r2/p1p1k3/PpP5/1P2K3/8/8 b - -,f6g6
r1r4k/b5pp/3p4/P4p1q/8/4P1PP/3Q1PK1/R1B2R2 b - -,a7c5
8/6pp/8/4K3/2k5/5P2/6nP/8 b - -,c4d3
5rk1/p3pp1p/5bp1/2p5/5P2/1NP1q1P1/PP1NB2P/R3K2R b KQ -,f8b8
8/5k2/7B/3b3p/1PnN3P/2K3R1/P1P4r/8 b - -,c4d6
1nrq1rk1/p3bppp/bp3n2/8/4pP2/P1N1B3/1P1NB1PP/3RQRK1 w - -,d2e4
2q3k1/5p1p/3p2pb/1p1Pp3/1Br1n2P/P2R1QP1/5PK1/1N6 w - -,f3e2
r1b2rk1/2q1b1pp/pnpppp2/6P1/4PP1P/1PN5/P1P3B1/R1BQ1R1K b - h3,a6a5
r1b2r1k/3pq3/p2Np1R1/1p2Pp1P/8/6Q1/PPP2p2/2KR4 b - -,f5f4
6k1/7p/4b1p1/1PQ2p2/4q3/3NPPP1/6KP/5B2 b - -,e4a4
5k2/1p2np2/r2q2pb/2pP3p/P3P3/2B2PPb/3PQK1P/R6R b - -,f7f5
8/5k2/P1b5/5R2/3K4/2N3P1/8/r7 b - -,f7g6
3rrn1k/1pq3pp/pN6/P2Pp3/1P2R3/1Q4P1/7P/3R2K1 w - -,b3e3
8/pp1k4/2p2R2/3p4/6K1/2Nr4/Pr3B2/8 w - -,f6f3
r4rk1/pp1qppbp/1n4p1/3n4/3P4/1BN2PB1/PP1Q1P1P/R4RK1 b - -,f8d8
4bn1r/1p4k1/3Q1RP1/p1q1r2p/1pP1PN1P/1P4P1/P5BK/5R2 w - -,d6c5
r2q1r2/2p2p1k/p1bp1npp/1p2bP2/4P2Q/2P1B1NP/PPB3P1/R4RK1 b - -,f6g8
8/3kp2p/pp4p1/3PP3/3K2P1/8/P6P/8 b - g3,d7c7
6k1/4r2p/6p1/8/p5P1/2n3N1/1P1B1P2/4K3 w - -,e1f1
r3rnk1/p1bb1p1p/1p3qp1/2pP4/2P1Pp2/P1N2P2/3QBBPP/4RR1K b - -,c7e5
4rr2/5kpp/p2q4/1pbP3P/5P2/P7/1PP1B1Q1/2KR3R b - -,c5a3
5R2/8/8/6kp/6pr/5P2/6K1/8 b - -,h4h3
3rr1k1/1bpq1pp1/p4n1p/n2pp3/Pb2P3/3PBNNP/1PB1QPP1/R2R2K1 b - -,a5c6
4r3/1pp1rpkp/nn4p1/1N2N3/p4P2/PP6/1KP3PP/3RR3 b - -,a4b3
r7/pp3k2/2pq4/3pN2r/3P1n2/2P5/PPQ1NP2/2K3R1 b - -,h5e5
2k1r3/ppqn1rp1/4pp1p/P1ppP2P/3P1PP1/1PP1Q1K1/4N3/R6R b - -,f6e5
3q2k1/1b2bppp/1p2pn2/pPp5/P3PP2/1P4PP/2Q3B1/4N1BK b - -,d8d7
r2q1rk1/pp1n1ppp/2pbpn2/3p4/2P3b1/1P1P1NP1/PB1NPPBP/R2Q1RK1 b - c3,a7a5
3Q4/2p2p2/1p4k1/p3q1n1/P4p2/3R4/2P3K1/4rB2 w - -,g2f2
r1bqkb1r/1p1n1p1p/p1p1pnp1/3p4/2PP4/1PNBPN2/P1Q2PPP/R1B1K2R b KQkq -,f8g7
