8/8/2r5/P2pK2p/1B2n3/1kP1R3/8/8 b - -,b3c4
r1bqr1k1/1pp1bppp/1nnp4/p7/2PP4/1PNB4/P3NPPP/R1BQ1RK1 w - a6,c1e3
r1b1r1k1/pp2ppbp/nq4p1/3p4/3P1B2/P4NP1/1PPQ1PBP/2KRR3 w - -,f3e5
r1b1k2r/1p3pp1/p2q1n1p/3Pp3/2Q4N/8/PPP1B1PP/2KR3R b kq -,c8d7
r2kb3/p2q1p2/1pp4p/4RP2/3P3Q/1P3N2/P6P/7K b - -,d8c8
6k1/2r3p1/7p/8/R1P5/4K3/6PP/8 w - -,e3d4
4r1k1/2r2pp1/7p/p3P3/1n1pP3/1PqP1QPP/5R2/1R3BK1 w - -,f1e2
8/1p2pk1p/3p2p1/5p2/PQ1B1Pn1/1P4P1/2q4P/6K1 w - -,h2h4
r1q2rk1/pb2bppp/1pp1pn2/8/2PP4/5NP1/PPQ2PBP/R1BR2K1 w - -,c4c5
8/pk1qrQB1/1pn4P/2bp4/3P4/8/P4RP1/5NK1 w - -,f7f4
3rr2k/ppp3pP/2b2p2/2q2P2/4nQ2/4PB2/P6P/R1B2RK1 w - -,c1b2
1rb2r2/2q1ppk1/3p1n2/1p1Pn1p1/2p1P3/2N5/1PP1B1PP/R1BQ1RK1 w - -,c1g5
8/1r3ppk/3Npn1p/8/4PPP1/3q3P/2R2QK1/8 w - -,d6b7
3r1bk1/p1qnrbp1/1ppp2pp/4p3/3PPP2/1PP1BQNP/P1B2RP1/R6K b - -,d8e8
r2qk2r/pbpnbppp/1p1ppn2/6B1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 w kq -,d1e2
r4rk1/p1pq1ppp/1p1p2n1/8/2PPPBP1/3P1Q1P/P4RK1/5R2 w - -,f3g3
4r1k1/ppp1rpp1/2npqn1p/8/3P4/2PBB2P/PP3PP1/R2QR1K1 w - -,e3d2
r1bq1rk1/1ppn2bp/3p2p1/p1nPp3/2P1Pp2/2NN1P2/PPQBB1PP/R4RK1 b - -,c5d3
3r3r/ppp1k1p1/2n2p1p/3bp2P/6P1/2B1PP2/PPP1B3/2KR2R1 b - -,h8e8
r3r1k1/pb1pBnbp/1p1Pp3/2p5/2P2P2/PqN3QP/1P2NK2/R6R b - -,f7h6
8/5kbp/1n1pp1p1/8/8/1BP5/P3NPPP/4K3 w - -,e2d4
3R4/2k1n1p1/8/3P2Pp/7P/3r1N2/5K2/8 w - -,d8f8
rnbq1rk1/pp2bppp/4p3/3n4/3P4/P1N3P1/1P2NP1P/R1BQKB1R w KQ -,f1g2
1r1r2k1/2b3p1/1p1q1pnp/p1pP4/P1P1PP2/4Q3/1R1N2BP/5RK1 w - -,e4e5
3r1q1k/pp2r1b1/2p1p1Bp/8/3P4/2P1R1R1/PPQ2PP1/6K1 b - -,e6e5
r1bqrnk1/pp2bppp/2pp1n2/8/2PP1B2/1PNB1N1P/P4PP1/R2QR1K1 w - -,d4d5
r3R1k1/6pp/p4b2/Pp3p2/1B1N4/3nP1PP/1P3PK1/R7 b - -,a8e8
r1bq2k1/1p3p1p/2pp2p1/p3r2P/2P1P3/1PN1BP2/1P1QB2b/R3R2K w - -,e3f4
4q3/p1r2kp1/1p1p4/2rPpPpR/2P1P3/8/P2N3Q/7K w - -,h5h8
2rqrbk1/pb3ppp/1pn1pn2/3p4/2PP4/PP1BQ3/1B1N1PPP/2R1RNK1 b - -,g7g6
1r6/5p2/2k5/p3Rp2/3P4/1PK3P1/8/8 b - -,b8a8
r3r1k1/1bp3p1/p2b1p2/3p4/3p1P1p/1P2n3/PBP1N1PP/2R1RNK1 w - -,b2d4
8/7p/5Bp1/2bkpp2/1p5P/1P1K1P2/P7/8 w - -,f6g7
r3r1k1/2q2ppp/p1p2n2/5b2/Q1P5/4BN2/PP4PP/4RRK1 b - -,f5d3
8/1R5p/p5p1/b2k4/4pB2/3bK1P1/7P/8 w - -,b7h7
4r1k1/p4pb1/3n2pp/5rB1/2Bp2nP/1P1P1N2/P1R1PPK1/4R3 w - -,g5c1
1rbk3r/1p1p2p1/q3p1Q1/1Nb1Pn2/2P4P/8/PP2P1BP/R4R1K b - -,h8h4
rr4k1/6bp/3qp1p1/npRp1p2/pNnP4/P1B1PNP1/1PQ2P1P/4RK2 w - f6,f3d2
2q1r1k1/1p2npp1/p2Q1n1p/3P4/8/1B6/P5PP/3R1R1K w - -,d6b4
2r3k1/6p1/7p/p2R4/Np5P/1P2bNp1/P5P1/7K w - -,d5d1
8/8/4k1p1/2bp3p/2p5/4NN1P/4K1P1/8 w - -,f3h4
rn3rk1/ppq2p1p/4pp2/5b2/2B5/P7/1PPRQPPP/2K3NR b - -,b8d7
5r2/2n5/k1p1p2p/pp1r4/P1pP1P2/2P1K1P1/1R1N3P/3R4 b - -,d5h5
2k2rr1/ppp4p/1n4q1/2b1p3/4N1p1/6P1/PPP1Q1N1/3R1RK1 w - -,e4c5
8/p4N1p/3QP1p1/5p2/3p4/KPq1k3/8/8 b - -,c3a5
r1b2rk1/pp2bpp1/4pn1p/q3Q3/5P1B/2N5/PPP3PP/2KR1B1R b - -,b7b5:a5e5
8/2k4B/1pp5/n7/P2r4/6P1/4PP2/2R3K1 b - -,d4a4
5k2/8/4KP2/p7/1p2p3/1Pn5/5B2/8 b - -,e4e3
r4bk1/2p2pp1/p6p/1p2q3/8/2P1B3/PPQ2PPP/R5K1 b - -,a8d8
4rbk1/p4p1p/b5p1/4PP2/2P2QP1/5N1P/Pq1Rr1BK/4B3 b - -,e2d2
1br2rk1/p2nq1pp/b1p1p3/2Pp1p2/1P6/2B1PNP1/PQ3PBP/R2R2K1 b - -,e6e5
r5k1/2q2pb1/5np1/1p1Bn2p/7P/2P1B1N1/1P1Q1PP1/6K1 w - -,d5a8
r3k2r/p1q1ppb1/2p2np1/5b1p/1PBBpP2/2N4P/P1P2QP1/4RRK1 b kq b3,h5h4
2r1k2r/pb2npb1/1p2q1pp/2pp4/2Nn1B1P/2NP2P1/PP2PPB1/1RQ2RK1 b k -,c8d8
3r2k1/pb2pp1p/6p1/3qP3/8/1P2BP2/P3Q1PP/2R3K1 b - -,d5e5
8/3p4/p2b2pp/3k1p2/P4P2/1N1PK2P/8/8 b - -,g6g5
2B3k1/1p6/2p2n2/p1pqb3/P7/5Rr1/1PQ5/2B2R1K b - -,g3f3
3r3k/4R1p1/1pbB1p2/p4Pqp/3Q2P1/6KP/8/8 w - a6,e7e3
2r1bbk1/ppq2p2/2n1p1p1/r3P2p/4QB1P/1BP2N2/P4PP1/2R1R1K1 w - -,g2g4
2kr4/ppqr1p1p/n3pb2/2p2p2/3P4/PNNR1QP1/1PP2P1P/1K1R4 w - -,d4c5
2r2rk1/1p1qbppp/p2p1n2/4pP2/P1n5/2NQ1BP1/1PP2P1P/R1B1R1K1 b - -,f8d8
8/5k2/4R2p/6pP/4KpP1/1r3P2/2n5/8 b - -,b3e3
r4rk1/pp2bppp/2p1p3/4n3/2P1BB2/1P4P1/P3PP1P/R2R2K1 b - -,e7f6
3r2k1/5pbp/6p1/pN6/P1q5/2P2Q1P/5PP1/1R4K1 w - -,b1a1
r1b1kb1r/5ppp/p1np1q2/1p2p3/4P3/N7/PPPB1PPP/R2QKB1R w KQkq -,f1d3:c2c4
4r1k1/ppp2pbp/3r4/2q2p2/4p3/1PPnP1PP/P1QR1PB1/1N1R2K1 b - -,e8d8
r1bqk2r/pp1nppbp/3p2p1/2p5/2PnP3/2NPB1P1/PP2NPBP/R2QK2R w KQkq -,e1g1
2B5/8/8/6p1/3kPp1p/8/6K1/8 b - -,d4e4
r2q1rk1/pp1bb1pp/2n1pp2/2p1P3/3p1P2/2PP1NP1/PP3B1P/R2QKB1R w KQ -,e5f6
2r5/3kb3/p3p1R1/8/4NP2/3K4/PP6/8 w - -,g6g7
r1q2r1k/1p1bp1bp/1B1p2p1/3P2n1/pR6/3BQ1P1/P3PP1P/5RK1 w - -,e3g5
4r3/6k1/8/1rp2p2/2Np4/3P1Pp1/1P1B2Rb/1K6 b - -,e8h8
8/8/1k1p1p2/2p1pP1p/2P1P1p1/4K1P1/1n2B3/8 w - -,e3d2
4kbr1/pp2pp2/3pbp2/2r5/1N2PP1p/5B2/PPP3PP/1K1RR3 b - -,f8h6
r7/5pkp/2prbqp1/p1n1p3/1pP1P3/1P2R1P1/P1Q2PKP/3R1NN1 b - -,a8d8
4k2r/1b1qb1p1/p3p3/4P2p/1pr3n1/3pNN1Q/PP1B1PPP/R4RK1 b k -,c4f4
8/1P4p1/p2p4/3Bn1kp/1q6/3b3P/P4QP1/4R2K b - -,h5h4
2N1n3/8/p2p1k2/1p1Pp3/1Pp1P1K1/2P5/P7/8 w - -,g4h5
4k3/5p2/6p1/3Pp3/4P3/1r1P2P1/R5KP/8 w - -,a2d2
r2qr1k1/pp1nbp1p/2p1pnpB/8/3P3Q/2NB3P/PPP2PP1/R4RK1 w - -,c3e2
Q2r4/2rk4/1p1R1n2/6pp/8/5NPq/P3PP1P/4K2R b K -,d7d6
r2q1rk1/pp1bb1pp/2n1pn2/3p4/3P1B2/3B1NP1/PP2NP1P/R2Q1RK1 w - -,f3e5
1b6/k5R1/2K5/8/8/8/8/8 b - -,a7a8
r5k1/5p2/5B2/1p2P1P1/2p2K2/P1Pb1p2/3R4/8 w - -,d2h2
r2r2k1/pp2bp1p/4pnp1/2q5/5B1Q/3B3P/PP3PP1/R2R2K1 w - -,a1c1
8/p7/8/1pppk3/8/1PP1K3/P7/8 b - -,b5b4
3q1rk1/pp2n1b1/b2p3p/7n/P2PpppP/2B1P1P1/1Q1N1P2/R1N1K2R w KQ -,g3f4
r1bqk2r/ppppnppp/2n2b2/8/2B1P3/2P1N3/PP3PPP/RNBQK2R b KQkq -,d7d6
1k5r/1bp5/1p2p3/3r1p1p/2B2P2/P3P1P1/1P2q3/1K3RR1 w - -,c4e2
r2qr1k1/1pp2pp1/2npbn1p/p3p3/P1P1P3/1PP2NPP/2Q2PB1/R1B2RK1 b - a3,f6d7
8/pp3pp1/2pk1r2/4n1p1/8/6PP/PPPKRPB1/8 w - -,d2c3
2rr2k1/1q2bppp/3ppn2/1p6/3QP3/PPN2PP1/1B1R2KP/R7 b - -,c8c5
2r4k/pB4pp/8/2p5/2Pn4/5P2/P7/3R1KN1 b - -,c8b8
8/p7/8/1p2k2p/5p1P/r4P2/P2R1K2/8 b - -,b5b4
r2q3k/pp3p1p/3p1br1/4n1pQ/1P1pP1P1/3P4/P1BB1PP1/R1R3K1 w - -,h5h3
r4rk1/pp2bppp/2n1b3/1q1pPp2/N2P4/P3B3/1P3PPP/R2QNRK1 b - -,c6a5
2b2q2/pkP5/Np1r1npp/1B1p1p2/5P2/Q6P/P1P2PP1/4R1K1 w - -,a6b8
r5k1/p2rppbp/2p3p1/1q6/8/2P1B3/PP2QPPP/2R1K2R w K -,e2b5
r3k2r/q2nb3/p1ppbp2/4pp2/P3P3/1PB1N1P1/2P2QB1/R3R1K1 w kq -,e4f5
4r1k1/1p3pbp/p5p1/1q6/3p1N2/1P3PPP/P1Q2PK1/3R4 w - -,f4d3
r3n1rb/4k3/7P/3pP1N1/2pp1P1R/5K2/PP1N4/2R5 b - -,a8a2
r1b1k1r1/1pq1bp1p/p3p1n1/4p1p1/2P1P3/1P3NP1/PBB1QP1P/4RRK1 b q -,c8d7
r1bqk2r/1p2bppp/pn1p1n2/4p3/4P1P1/2N4P/PPP1NPB1/R1BQ1RK1 b kq -,f6d7
r1bqk2r/pp1nppbp/3p1np1/2p5/4P3/2P2N1P/PPBP1PP1/RNBQ1RK1 b kq -,e8g8
1r1q1rk1/1pp1bppp/p1np1n2/4p2b/B1P1P3/2NPBN1P/PP3PP1/2RQ1RK1 b - -,h5f3
2kq1r2/1p6/2p5/p3R1Pp/P1P3p1/2Nn4/1P2QPP1/6K1 w - -,e5e7
6k1/3Q1p2/p4b2/3P2p1/1P2q2p/4rN2/2r3P1/3RR2K b - -,g8g7
r5k1/r4pp1/2nqp1p1/ppNp1n2/1P1P4/P1P2P2/3QN1PP/R3R1K1 w - -,a1c1
1k1rq2r/1pb2ppp/2p5/PP6/3pP3/1R3N1P/4QPP1/1R4K1 b - -,d4d3
Rq3rk1/5pbp/4p3/2p1P1p1/5P2/2P3PP/3Q2BK/8 b - -,b8c7
r3kb1r/1bqn1ppp/p2ppn2/6B1/1p1NPP2/3B1Q2/PPP1N1PP/2KR3R w kq -,c1b1
2r2rbk/1p2q1bp/5np1/p3p1B1/Nn1p2P1/2P2N1P/PP2BP2/1Q1R1RK1 b - -,g8a2
6k1/5q1p/1p2r1p1/p2rp3/P3R3/1Q3P2/1P4PP/4R1K1 b - -,d5c5
2r1k2r/5ppp/3bb3/pqnN2P1/1p6/1P6/P1PQ1BBP/1K1RR3 w k -,d5f6
r1br2k1/1pp1qppp/8/p1b1p3/3n4/P1BP1NP1/1PQ1PPBP/R4RK1 w - -,c3d4
r1b2rk1/p5pp/2nqpp2/1p1p4/3Pn3/2PN1N2/PP2BPPP/R2Q1RK1 b - -,a8b8
2r4B/3n1k2/p3p3/1p3p1p/4b3/2PQ4/PP5P/2K1RR2 b - -,e4d3
rnbqk1nr/pp1p1pbp/4p1p1/2p5/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq d3,c5d4
2r2rk1/4pp2/3p2p1/p1q3Np/Pp2PPnP/5R2/1PP1Q1P1/2R4K w - -,c2c4
3b1rk1/p4rqp/1pbPp1p1/2p1Pp2/2P1p3/1P2P1P1/PQ3R1P/2BBR1K1 b - -,g6g5
rqr3k1/3n1ppp/p2bpn2/1p6/3BP3/2N2Q1P/PP3PP1/R2R1BK1 b - -,h7h5
r1bq1rk1/2pnppbp/pp1p1np1/8/P2P1B2/4PN1P/1PP1BPP1/RN1Q1RK1 w - -,f4h2
rn3rk1/3pbppp/1q2p3/1BpbN3/P7/2B1P3/1P3PPP/R2Q1RK1 b - -,f7f6:b6b7
8/8/3p4/2pP4/2Pk1n2/1B6/1K6/8 b - -,f4d3
5k2/pp3p2/5np1/3pr2p/P2N4/1P2P1P1/5PKP/2R5 w - -,a4a5
2b3k1/r7/pq2p3/nppQ2N1/2pb1P2/P5Pp/1P5P/1R2RN1K w - -,d5f3
1r4k1/R7/6PB/8/4K3/6P1/8/8 w - -,h6f4
2r3k1/2q2pp1/4p2p/p1Nn4/PpQP4/5R1P/6P1/7K b - -,c8b8
8/5pk1/1p6/3N3P/2n2p2/5P1P/5K2/8 b - -,b6b5
r2r2k1/p3ppbp/2p1b1p1/8/3PP3/1N2B3/P4PPP/2R1K2R w K -,c1c6
rnbq1rk1/4ppbp/p1pp1np1/1p6/3PPP2/PBN2N2/1PP3PP/R1BQK2R w KQ -,e1g1
8/8/6Q1/8/pP3P2/2nr3p/4k2K/8 w - -,f4f5
8/pkp2ppp/2p5/1n2r3/1P6/2PRNPKP/P4P2/8 w - -,c3c4
r4rk1/3bpp1p/p5p1/2pPP3/P2bnB2/1q5P/NP2B1P1/1R2QR1K w - -,a2c3
8/1p2bp2/2p1kp1p/p4B1P/P4PP1/2P2K2/1P6/8 b - -,e6d6
8/8/5B2/7K/2k3p1/6r1/1P6/8 b - -,g3f3
2kr1b1r/3qnppp/p4p2/1p6/2pPBN2/P5P1/1PP2P1P/R2Q1RK1 w - -,e4g2
rn1q1b1r/ppp1pkpp/5n2/4N3/6b1/2N5/PPPP1PPP/R1BQK2R b KQ -,f7g8
7k/8/5R1p/pP4b1/P7/7r/1P1pK3/3B4 w - -,f6f1
1k6/2qr1pp1/4p1p1/1p1p4/1PpP1P2/2P3PP/1K2QP2/4R3 w - -,e1a1
1k3b1r/ppp3pp/3rnqn1/3p1p2/3P4/3BPN1P/PPQB1PP1/2R2RK1 b - -,f5f4
4kn2/3n1NR1/2r1p3/7N/3P4/8/8/3K4 b - -,e6e5
2kr1b1r/1pp1ppp1/p1q2n1p/7b/7B/1BNPRP2/PPP2P1P/R2Q2K1 b - -,g7g5
6Q1/p2rq2p/5kpb/2RB1r2/8/1P1RP1P1/P4P1P/6K1 w - -,b3b4
3r1r1k/pp2q3/1n3Np1/2p1pbPB/5p1P/2P5/P3QP2/2KR3R b - -,c5c4
4rrk1/2p3pp/bp1p4/p2P3q/3Np3/4P1P1/P1Q2PBP/3R2K1 b - -,a6d3
r2r2k1/1pq1bppp/p1bp1B2/4pP2/3NP3/2NQ4/PPP3PP/1K1R3R b - -,e7f6
r2r1bk1/1p3p2/n3q1pp/2Pbp3/3pN3/R2P2P1/1Q1NPPBP/2R3K1 w - -,a3a5
4rr1k/1R1Qb1pp/3q1p2/p7/2P5/1P2P3/PB3PPP/5RK1 b - -,d6c5
r3kb1r/ppB1pppp/1np5/q2b4/P1pP4/2N4P/1P1Q1PP1/R3KB1R b KQkq -,a8c8
8/2k5/2p4p/7P/1p4pq/4R1N1/4K3/8 b - -,c6c5
2rq1r2/pp1bppkp/3p1np1/n7/3NP3/1BN2P2/PPPQ2PP/R3K2R w KQ -,e1c1
r3k2r/bp3pp1/p2p1q1p/3Pp3/1PPn4/3B4/P2N1PPP/R2Q1RK1 w kq -,d1a4
8/1p1k1ppp/p1r1pb2/3p4/P7/1Pn1PBB1/5PPP/4R1K1 w - -,e3e4
r4rk1/pp2Qpp1/4Bn1p/5p2/7B/8/PqP2PPP/3R1RK1 b - -,f7e6
r4rk1/pp1nppb1/2pp1npp/q7/2PP3B/2NQPN1P/PP3PP1/3RK2R w K -,e1g1
2rr2k1/p4ppp/1p2p3/1q2P3/1bN1B3/1PB3P1/P4P1P/1Q1R2K1 b - -,d8d1
8/5kp1/6R1/1p3p1P/p1p2P2/1nr1B3/4K3/8 w - -,g6a6
r1b1r1k1/pppp1ppp/8/1Bb5/3NP1n1/4B3/PP2KPq1/RN1QR3 w - -,b1c3
2rr2k1/4pp1p/p5p1/4q3/4B3/1P4Pb/P3QP1P/3RR1K1 w - -,e4c2
r2qk2r/1p1nbppp/p1p1p3/Pn2Pb2/2BP4/1N3N2/1P3PPP/R1BQ1RK1 w kq -,c4d3
7r/4k3/3R2Pp/p2rPp1P/1p4P1/8/PP6/1K6 w - -,d6d5
1r6/4bp2/4p1k1/pp1pP1pp/2r3P1/P1P2P1P/1P2R3/3RBK2 b - -,b5b4
2rq1rk1/1p2ppbp/p1n3p1/3p1b2/N2PnB2/4PN1P/PP2BPP1/2RQ1RK1 w - -,d1b3
4rk1r/2qn1pp1/p7/1p2pP1p/2PB4/3P2Q1/6PP/1R2R2K w - h6,h2h4
r1b2rk1/pp3pbp/1qn1p2p/3pP3/3P4/N4N2/PP1QBPPP/R4RK1 b - -,f7f6
r1bq1rk1/1pp3bp/p1nppnp1/5p2/PP1P4/1QP2NP1/3NPPBP/R1B2RK1 b - a3,c8d7
r2q1rk1/1p1b1ppp/p4n2/3pp3/Pb1pP3/1P1P2N1/1BP2PPP/R2QRBK1 w - -,e1e2
5rk1/1qp2ppp/2pp4/r1n3P1/1p1QPPbP/1P6/P1P3B1/1KNR3R w - -,d1d2
6r1/8/8/1n5R/2k1PP2/5KP1/8/8 w - -,h5g5
1N6/p1k3R1/8/2p1P3/7p/1PP5/r5n1/3K4 b - -,c7b8
8/2R3p1/2p2k1p/7K/2r4P/6P1/8/8 b - -,c4c3
rn1qk2r/1pp1bppp/p2p1nb1/3P4/6P1/2NBBN1P/PPP2P2/R2QK2R b KQkq -,c7c6
2r1r1k1/pbq3pp/5p2/3B4/1P1N1P2/P3N3/3QPP1P/6K1 b - -,b7d5
3qr1k1/2Rb1p1p/p2p1bpQ/3Pp3/4P3/5NPB/r4P1P/2R3K1 b - -,f6g7
5rk1/b2n2pp/2q1b3/ppPp1p2/2p5/4BPPP/PP1RPQB1/3R2K1 b - -,d7c5
4r1k1/pQ3bpp/8/1P2Pp2/3P4/2n1N3/P5PP/6K1 w - -,e3f5
8/5pk1/8/2pB1n2/2P5/5QPK/3q4/8 b - -,d2h6
5k2/5p2/p3p1p1/3pP3/B2B3P/P2b2b1/1P6/K7 w - -,b2b4
r4rk1/ppB1pp1p/1nn3p1/6N1/8/2P3P1/b3PPBP/3R1RK1 b - -,h7h6
r1bq1rk1/pp2bppp/4p3/2ppP3/3B1P2/1P6/P1PQB1PP/RN3R1K b - -,c5d4
r3kq1r/1bpn1p1p/pn1pp1p1/1p5P/3PP3/2N2P1N/PPPQ2P1/1KR2B1R b kq -,e8c8
4kb1r/1p3ppp/p3p3/3pPn2/q2P4/P1Q2P2/1P1KBP1P/7R w k -,d2e1
r1bq1rk1/p1pn1pbp/1p1p1np1/4p3/2P4P/1PNBP3/PB1PNPP1/R2QK2R w KQ -,h4h5
1r3rk1/1p1q1ppp/p2p4/3Pp2B/PP2P3/3nPQ2/3R2PP/R5K1 b - -,d3b4
3rnrk1/2p1qppp/1p6/1PpPp3/2P1PP2/3B4/4Q1PP/R4RK1 b - f3,e5f4
8/P1k5/3R4/2P5/8/3K4/8/4r3 b - -,e1d1
1R6/p1r2pk1/4b1np/1P4p1/6P1/3NK1PP/8/5B2 b - -,g6e7
r1bqr1k1/pppnbppp/3p1n2/4p3/2PPP3/P4N2/1PQNBPPP/R1B2RK1 w - -,b2b3
2rr2k1/3qbpp1/p3bn1p/np1P4/2p5/P1N2PPP/1P2NBBK/2RQ1R2 b - -,d7b7
8/pp4kp/2p3p1/8/P2rP1q1/8/1P5P/4RQ1K w - -,e4e5
3r1rk1/ppp2ppp/8/b2Pn3/4N3/4PP2/PP2B2P/2RR2K1 w - -,e4c5
r5k1/2pbqp1n/1p1p2pb/3Pp3/1PP1P2p/2N2P2/1Q2BBPP/5RK1 w - -,f1a1
5r2/6bk/2P3pp/B2Q2P1/8/8/PP2q1KP/2R2R2 w - -,g2g1
8/3kb3/3n4/5R2/P1p2P2/4r3/2KR4/8 b - -,e3a3
6r1/p3kpPR/4p2P/p7/6K1/P5P1/8/8 w - -,h7h8
r4rk1/1pq1bppp/p2pb3/4n1P1/2PNPB2/1P6/P2Q2BP/R4RK1 b - c3,b7b5
1b2nr1k/3q2pP/p4p2/1p1P2PB/1P2Q3/P3P3/1B2KP2/7R b - -,f6g5
r2r2k1/p2qbppp/1pp1pn2/1PP2b2/P1BPp3/B3P3/2QN1PPP/1RR3K1 w - -,d2b3
rq3rk1/5pp1/2p2Nn1/pp1pP1B1/3P3P/6Q1/PPb3P1/5RKR b - -,g7f6
2N5/8/3p2p1/3Pb1k1/6P1/8/3pK3/8 w - -,c8e7
8/7p/6pk/4pp2/1p5P/8/3N1PP1/5K2 w - -,f1e2
8/2R5/1p2p1p1/3pPkPp/3Pp2P/pP2r3/P6K/8 w - -,c7f7
1r3rk1/1p4p1/NB1p2Pp/P2P2b1/8/1p3P1P/2P1b3/3R1QK1 b - -,e2f1
8/5pk1/4pBp1/3pP1Pp/P4P2/KPQ5/7P/1q3b2 b - -,g7h7
r1qn2k1/1p1b1p2/pB1p2pb/P2Pr2p/8/1N4PP/1PP1Q1BK/R2R4 w - -,e2f2
r2qkbnr/4pp1p/p1p5/2p1P3/5pQ1/2PP4/P4P1P/RNB1K2R w KQkq -,g4f3
r3r1k1/4q1p1/2B4p/2p2p1P/p1P1nB2/P5P1/1PQ1P3/2K4R b - -,a8d8
3r3k/p5p1/Pp1r1p2/1B1bp3/8/1P5P/2P2PP1/3RR1K1 w - -,c2c4
r2q1rk1/pb2bpp1/1p3n1p/2Pp4/8/2N1PNP1/PPQ1BPP1/2R2RK1 b - -,b6c5
r1b1k2r/3n1pbp/pqn1p1p1/1pppP3/3P1N1P/2PBBN2/PP3PP1/R2QR1K1 b kq -,c5c4
r1bqkbnr/pp1ppp1p/6p1/2p5/B2nP3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,f8g7
r2qk2r/1b2bpp1/1nn1p2p/3pP2P/p2P1B2/p1P2NP1/2P2PBN/R2QR1K1 w kq -,f3d2
2r1nrk1/pN4pp/1b6/2pnPp2/3p1P2/PP3R2/1B1N2PP/2R3K1 w - -,b3b4
r5kb/7p/p2Rp1p1/8/2r5/4B2P/P4PP1/3R2K1 b - -,e6e5
2rr1nk1/q4p1p/Pp1p2p1/3Pp3/4P3/4QP2/P3B1PP/2RR2K1 b - -,f8d7
r4rk1/pp2qpbp/5pp1/1PpB4/P1P5/4P1P1/5P1P/R2Q1RK1 b - a3,f6f5
r1bq1rk1/pp1nppbp/6p1/3n4/3N4/6P1/PP1NPPBP/R1BQ1RK1 w - -,d2b3
