8/8/6P1/6r1/3k4/1K6/2B5/8 b - -,g5g3
2rqr1k1/pp2ppbp/2npbnp1/3N4/4P3/1NP3PP/PP3PB1/R1BQ1RK1 b - -,c6a5
r3r1k1/1q1b1pb1/1p1p1n1p/3P2p1/1P2B3/4BPNP/3Q2PK/2R2R2 b - -,e8e7
1r4k1/1r4p1/4p2p/q2pPp2/2pP1Q1P/p1n3P1/P2R1P2/R3N1K1 b - -,b7b1
5k2/6pp/2b1pr2/pprpR3/3R1PP1/PBP5/1P5P/6K1 b - g3,f8e7
8/5kpp/2N2p2/4p3/nP6/2P1PKP1/7P/8 w - -,c3c4
5k2/5p2/3p3p/3P2p1/1PB5/2b1P1P1/p2r1P1P/4RK2 w - -,c4a2
4r1k1/3nqpbp/pr1p2p1/2pP4/R3PPn1/2NQ1N2/1P4PP/2B2RK1 b - -,c5c4
2kr1b1r/pp1bpp2/2n3pp/q2pP3/P1pP1P1N/2P4P/2PBB1P1/R2Q1RK1 b - f3,e7e6
5r1k/6pp/p7/1P2N3/1bQ2P2/6qP/6P1/2R4K b - -,f8f4
r1bqkb1r/pp1pp1pp/2p5/6nQ/4pN2/8/PPP2PPP/2KR1BNR b kq -,g5f7
r3kb1r/pp3ppp/2n2n2/2P1p3/6b1/2P1BN2/PP3PPP/RN1K1B1R w kq -,b1d2
6k1/4p2p/B1rnp1p1/2Nn4/8/1p3P2/Pb3BPP/3R2K1 w - -,a2b3
2rr2k1/b5p1/p1p1pp2/7q/4N3/6QP/P7/B2RR2K b - -,g8f8
r7/1pqbNp1k/6pp/p7/1n3P2/PP2Q1PP/6BK/3R4 b - -,b4c6
8/1k6/1P6/2K1N3/1PP3b1/8/8/8 b - -,g4e2
2r1k2r/1p1b2b1/p2ppnpp/8/P3P3/1NNPB2P/1P4P1/R3K2R w KQk -,e1d2
8/2Rn1ppk/5b1p/4p3/1p6/4BNP1/rP2PP1P/6K1 b - -,d7f8
8/5p2/1pr2kp1/p7/4PK1P/1R6/P7/8 b - -,f6g7
r1b1kb1r/1pqn1ppp/p1p1pn2/2Pp4/3P4/P2BPN2/1P3PPP/RNBQK2R w KQkq -,b2b4
3r1k2/ppB1b3/2p4n/5B2/4Q1p1/2N4b/PP1q1P2/1K2R3 b - -,h6f5
2rqr2k/p3b1pp/1pn2p2/2p3nQ/P1N1B1P1/2BPP3/1P5P/R4RK1 w - -,e4f5
6k1/pp1b1pp1/1n1N3p/3Pp3/1P2P3/3B1P2/P2Q2Pq/1K6 b - -,h2g1
r2q1rk1/ppp2p1b/1b4np/3PP1p1/4PPP1/7P/PP4BK/R1BQ1R2 w - -,f4g5
q1r1r1k1/4bppp/pB3n2/4pP2/P1Pp4/1N3R2/1P1Q2PP/2R4K b - c3,f6d7
r4rk1/pp2ppbp/q5p1/2pP4/4P1b1/2P1BN2/P2Q1PPP/2R1K2R w K -,c3c4
1r3rk1/5pp1/1b2q1p1/2p5/2N2Q2/2P5/1P3P1P/R5RK b - -,b6c7
r1bqkbnr/1p3ppp/p1npp3/8/3NPP2/2N5/PPP3PP/R1BQKB1R w KQkq -,d4c6
r5k1/p4pbp/1pq2pp1/3R4/2P5/1PQ1B3/P4PPP/6K1 b - -,f6f5
r1b2rk1/pp5p/1q6/3pp1P1/3Nn3/4B1P1/PPB3KP/R2Q3R w - -,c2e4
6k1/1p1r1q2/4b3/1p1nQ2p/1B4pN/3Pb1P1/4r2P/1R1R3K w - -,d1f1
2r3k1/1p1n1p1p/p2Bb1p1/2P5/3Q1P2/1r1BP3/1q4PP/1R1R2K1 b - -,b2a2
r2q1rk1/pb1n1ppp/1p1b1n2/2pp4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 w - c6,a1c1
8/p2nk1pp/1p1pp3/1P3p2/P2P4/B2KP3/5PPP/8 b - -,d7f6
5k2/1b3pp1/pp2pn1p/4p3/PP1rP2P/2rBNPP1/2P2K2/1R1R4 w - -,d3e2
r2qr1k1/1b1n1pbp/p2P2p1/1pp5/4n3/1NN1B1PP/PP3PB1/R2QR1K1 w - -,c3e4
r1b2rk1/2qnppbp/p1np2p1/1pp5/3PP3/N1P1BN1P/PPBQ1PP1/2R1R1K1 b - -,f8e8
8/4k3/5p2/5K2/4P3/5P2/8/8 w - -,f5g6
2r3k1/3nBppn/q2P4/1pp2P2/p2p4/3P3P/PPQ3B1/5RK1 w - -,g1h1
5r2/1p2k2R/2b2p2/2Pp2p1/3P2P1/3B1P2/6K1/8 b - -,f8f7
r3qrk1/pbpn2bp/1p1p2p1/4pp2/2PP4/2Q1PN1P/PP2BPPB/R3R1K1 w - -,b2b4
1r4k1/5p1p/3p2p1/1p1PbP2/2p5/2P2Q1P/1q4P1/1B3R1K w - -,f5g6
8/8/7K/4q3/8/1k4p1/8/2Q5 w - -,c1b1
1r2r1k1/p1q2pp1/2p1bn1p/3p4/1P6/P2B2NP/2PQ1PP1/R1R3K1 b - -,e8d8
r1b2rk1/1p3p1p/1nn3p1/p3pPPQ/Pq1pP3/1N1B4/1PPN3P/2KR2R1 w - -,h5h6
4kb2/p2p1p2/8/3RPKp1/8/1r1b2B1/2R2PP1/6r1 w k -,d5d3
3rr1k1/5p2/6p1/1q1p3p/pb3B2/4P3/QPR2PPP/2R3K1 b - -,b4f8
4r3/5nk1/3p1pp1/p7/1p1RPN2/1P4P1/P4PK1/8 b - -,f6f5
8/8/2r4p/4k1p1/8/R5KP/8/8 w - -,h3h4
r4k2/1p6/8/1q1p2Q1/3b4/6P1/1r4BP/2R4K w - -,g5f4
2r2r2/4b1k1/p1qpp1pp/1p2p3/4P1PP/1PN1Q2R/1PPR1P2/1K6 w - b6,c3e2
8/p4p2/2B2kp1/2p4p/2P2P1P/PP3K2/b4P2/8 w - -,f3e4
4r2k/1p4p1/p2R3p/PP1Q1r2/2P1p3/4B2q/5PpP/6K1 w - -,d5b7
6k1/6p1/Q2bq3/3b3p/2N2p2/1P1p1P1P/P5P1/2B2K2 b - -,d5f3
r1bq1rk1/1p2bppp/p1n2n2/2Pp4/8/1PN1PN2/P3BPPP/R1BQ1RK1 b - -,e7c5
r5k1/4npp1/1q2b2p/1pNpPp2/1P1P4/2Q4P/4NPP1/2R3K1 b - -,e7g6
2rr2k1/1bq2pb1/1p2p1p1/pNn3Pp/2P2P1P/2B1Q3/PPB5/2KR1R2 b - -,c7b8
8/p2k3p/4p3/3n1p2/6r1/4P1P1/PPR2PKP/8 b - -,g4a4
rnr3k1/pb2q1pp/1p1bpn2/3pNp2/3P4/1P4P1/PBQNPPBP/R4RK1 w - -,c2d1
r1bqr1k1/pp2ppbn/1n1p2p1/2pP2Pp/P1N1PB1P/2P2P1N/1P1Q4/R3KB1R w KQ -,c4e3
8/5pk1/p2R1np1/1p2q2p/4p3/1B2P1PP/PP2QPK1/8 b - -,e5d6
r2q1rk1/4ppbp/b2p2p1/2pPn3/2n1P3/2N2NP1/PPQ2P1P/R1B1RBK1 w - -,f3e5
r2q1rk1/4bppp/p1pp1n2/1p6/3pPNb1/PB1P1N2/1PP2PPP/R2Q1RK1 b - -,d6d5
6k1/5q1p/1p1pN1p1/3Pp3/1PP1R2P/r3Q1P1/5PK1/r7 w - -,e3e2
rnbq1rk1/pp2bppp/2p1pn2/2Pp4/3P1B2/2N1PN2/PP3PPP/R2QKB1R b KQ -,b7b6:b8d7
8/8/2p1pk1r/1pPp1p2/pP1K1PpN/6P1/7R/8 b - -,h6h8
3q4/3b2rk/2p4p/1pQ1Rp1B/1P3P2/3K2P1/7P/8 b - -,d7e8
7k/2p1p3/1p1p1b1p/p2P1P2/2P4p/1P2PPrP/R4K2/7R b - -,f6g7
2kr3r/pp3p1p/2n2p2/q2ppP2/8/P1P5/2PQ1PPP/R3KB1R w KQ -,f1e2
r6r/1bb1kp1p/p1n1pp2/6N1/PpN5/1P2P3/4BPPP/R2R2K1 w - -,g5f7
4rrk1/pp1q2bp/3p2p1/2pPnb2/4B3/P1N1P1PP/1P1BQP2/1R2K2R w K -,e4f5
8/r4p2/5k1p/p2R1p2/2B1p3/bP2K3/P4PPP/8 w - -,f2f3
8/4Rp2/5Pk1/6P1/r1p5/2K5/8/8 b - -,a4a5
7r/1kp3pp/1ppbR3/p3n3/P5P1/7P/1PP2P2/1NB3K1 w - -,g1g2
4qnnk/5r2/3p1pp1/p1pPr2p/1pP1PN1P/1P3B2/P2Q1RP1/5RK1 b - -,a5a4
8/1p3r1p/pP1p2pk/2q5/4R3/1p3P2/1Q4PP/6K1 w - -,g1f1
2r5/R5p1/4p1k1/p1P1P1p1/8/1P1N3b/3K3P/8 b - -,h3f5
r1b2rk1/4npbp/3qp1p1/1pNp4/3P4/1Q2PN1P/1P2BPP1/2R2RK1 w - -,e2b5
rnb1r1k1/pppq1pbp/6p1/6B1/3P4/5NP1/P3PPBP/R2Q1RK1 w - -,a1c1
r1bqkb1r/1p1Bpppp/pn6/2p5/8/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,d8d7
8/5p1p/2nN2k1/2P4p/1r6/1P3RP1/5PK1/8 w - -,f3f7
6k1/5p2/4p3/7p/3P3P/5R2/r1r2pP1/5RK1 w - -,f1f2
r3k2r/pp5p/2pb2p1/q3p3/6Q1/2P1B1P1/P4P1P/R4RK1 b kq -,a5c7
4k2r/pp1rppbp/n1p1b1p1/3n4/P7/N1PN2P1/3BPPBP/1R3RK1 w k -,f1c1
r7/3k2p1/4p2p/3pP3/1p1P2PP/2p1K3/1nP5/1R2N3 b - -,d7c6
8/5k2/p1p1p2p/2Nb4/PR4P1/2P3K1/5P2/2r5 w - -,b4b7
r1b2rk1/pp2ppbp/nqp2np1/3p4/2PP1B2/1QN1PN1P/PP3PP1/R3KB1R w KQ -,f1e2
br2nrk1/2q2ppp/p1npp3/P7/1p2PP2/1NP2B2/NP1Q1RPP/3R3K b - -,c6a5
r1bq1rk1/2b3pp/p1p2p2/2Pnp3/2BP4/5N2/P2B1PPP/R2Q1RK1 w - -,d4e5
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2PP4/1PN2NP1/P1QBPPBP/R4RK1 b - -,b8a6
1r4k1/1p1Q1ppp/p1r5/3pPp2/8/6P1/5P1P/6K1 w - -,d7d5
8/5pk1/3Rbp1p/p3r1p1/8/1B3P1P/P4KP1/8 b - -,e5b5
r1b1nrk1/1p2qp1p/p2p2p1/4n1P1/3NPB2/3B4/PPP3QP/4RRK1 b - -,e8g7
8/pp1n3p/2p3kn/3p2pN/3P4/1P1N1P2/P1PK3P/8 w - -,h5g3
2r2rk1/3q1pp1/pp1b1np1/2nPp3/8/2N1B2P/PP2BPP1/1QRR2K1 b - -,a6a5
4n3/5k2/3K4/5B2/1B6/8/8/8 w - -,d6e5
r2qr1k1/ppp4p/4bbp1/3p1p2/4pPP1/2P1P3/PPBNQ2P/2KR3R b - g3,d8c8
1r5k/6qp/n3br1N/4Q3/p4p2/2P5/1P4PP/3R1R1K w - -,d1d6
3r1bk1/1q3p1p/1p2pPp1/pP3r2/P1P5/1QN5/6PP/2R1R1K1 w - -,c3e4
r6r/ppp3kp/8/1P4N1/1Ppp4/6Pb/1P2Kn1P/R1B5 b - -,h8f8
5b2/R4pk1/2r3np/4pB2/1pb5/4B1P1/1P1N1P1K/8 w - -,f5d7
3k4/8/8/1pn1R2p/4P3/2r1N1P1/4K1P1/8 b - -,b5b4
1r2r1k1/2qbppbp/ppnn2p1/8/P2N1B2/N1P3PP/1P3PB1/R2QR1K1 w - -,d4c6
r1r4k/3q1npp/1p3p2/1Rp1p3/n3N3/P2PP3/2Q2PPP/1R2B1K1 w - -,e4c3
r4rk1/pbqn1pp1/1p1bp2p/2p5/2PP4/1P1B1N2/P3QPPP/R1B2RK1 w - -,c1b2
1k1rR1r1/p1pQ3p/1pPb1p2/3P4/3B4/6P1/3q1P1P/4R1K1 b - -,d2e1
4rb1k/2r2p1p/6p1/p7/P1pPN3/2P5/4R1PP/5RK1 w - -,f1e1
8/6k1/5p2/2B2B1P/1p4P1/n1bK4/P7/8 b - -,g7g8
5r1k/2R1R3/5p1p/6p1/7B/3bP1K1/6PP/5r2 b - -,d3g6
6k1/5pp1/3p3p/4p3/2P1q3/8/5PPP/2Q3K1 w - -,f2f3
6k1/5p1p/6pb/3n2N1/2ppp2P/6P1/4PP2/1nB2BK1 b - -,f7f5
r1b2rk1/pp1n1pp1/2p1p1np/8/3PP3/q1PB1NB1/3Q1PPP/2R1K2R b K -,e6e5
5R2/1pr1b1k1/pn2p3/4P1p1/P7/2PB2P1/6K1/2B2R2 b - -,e7f8
5r1k/1Q6/3p1q1b/4p3/2P1BPp1/3P4/P3P1K1/7R b - -,f8f7
r2n3r/1p2bpk1/2p1b1p1/3pP1p1/p2P3q/P1Q5/2B2PPP/R1BR1NK1 w - -,g2g3
5nk1/1p5p/p1p1p1Q1/2PpP1p1/3P2P1/1P6/P2NK2P/8 b - -,f8g6
8/4n1k1/6p1/bN1p3p/5P2/4PKP1/2B5/8 w - -,c2d3
5rk1/pp4pp/2nprq2/3p4/3P3n/2PBP1QP/PP1NKP2/5RR1 b - -,h7h6
r2q1rk1/pp2ppbp/2pn2p1/8/2PP4/2NQB3/PP4PP/R4RK1 w - -,a1d1
r1b2rk1/2q3bp/1pn2pp1/p1p1pP2/4P3/2P3P1/PP1NQ1BP/R1B2RK1 w - -,f1f2
8/2p2pkp/6p1/3pPq2/1r1P1b2/1P1R1P1P/4RPK1/rB1Q4 w - -,e2e1
r3r1k1/pb1q1n2/1PPp1pp1/1B2p2p/1P2Pb1B/2N5/5PPP/R2Q1RK1 b - -,b7c6
2b5/4k3/pp6/4pp1r/1P6/2P1K1P1/R6P/5B2 b - -,b6b5
3r1r1k/2q2pbp/p2p2p1/1p2n3/4PB2/2P3PP/PP1Q2B1/3R1RK1 w - -,h3h4
4k2r/3r4/4p3/p3Pp1p/4b1p1/QP2N3/P4PPP/6K1 w k f6,e5f6
1r3k2/p3N1b1/3qbp1p/2p3pB/2PpP2P/3Q1P2/P5P1/1R4K1 w - -,e7g6
2rqbbk1/5p1p/1n1p2p1/p2Pp3/1p2P3/1P1BBP2/P2QN1PP/3R2K1 w - -,d3a6
2r2rk1/pp1nppbp/b5p1/3NP3/1n3P2/N3B1PP/PP4B1/2R1R1K1 b - -,b4d5
6k1/5p1p/pN2p1p1/1p1b4/3Q4/8/PP2KP2/2q5 b - -,c1c6
2rq3r/1p1pkppp/p1n1pn2/8/2P5/2B1P3/PP3PPP/R2QKB1R b KQ -,f6e4
1r1q2k1/3n1ppb/p4n1p/1PpP4/2B2P2/7P/6P1/R2QBRK1 b - -,a6b5
4rk2/1p3p1p/2q2p2/p3r3/6R1/2n2Q1P/PP3PP1/R5K1 b - -,c6f3
2krr3/ppp2pp1/6q1/1N3pbB/1nPP3P/PP6/1B1P4/R2Q2K1 b - -,g5e3
8/8/2B1bk1p/p2p1p2/3P1K1P/P5P1/8/8 w - -,c6b7
6k1/4p2p/B1rnp1p1/2Nn4/8/bP3P2/5BPP/3R2K1 w - -,c5e6
r1br2k1/p4pp1/1pnB2p1/6N1/8/6P1/PP3P1P/R3R1K1 w - -,d6c7
3q1rk1/rbpn1ppp/1p2pn2/p2p4/2PP4/PP2PN2/1B1QBPPP/R4RK1 w - -,b3b4
7r/r2Pkp2/P2Rn3/1p2P1Rp/1P4p1/2p5/2B3K1/8 w - -,g5f5
2kr3r/ppqnR3/2p5/2P1p3/2Q1P1B1/1N4pp/P7/1R4K1 w - -,c4e6
8/7P/8/p1R4R/P3pkP1/5n2/2P4r/5K2 b - -,f3d2
r1bq1rk1/1p1nbppp/p1p1pn2/8/2BP1B2/2N1PN1P/PPQ2PP1/R3K2R b KQ -,b7b5
8/5pbk/n1q2npp/pp2r3/3R4/P1N4P/1Q4PK/1B3R2 b - -,a6c5
3qr1k1/1p2bp1p/pN2b1pB/P3p3/4n3/3P3P/1P2QPP1/2R3K1 w - -,e2e4
2r2rk1/1p2bppp/p1N1pnb1/P6q/2B1P3/1PN1BP2/4Q1PP/R2R2K1 b - -,c8c6
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,f1d3:d1c2
8/8/4k3/4pp2/2N4P/7K/8/8 w - -,h4h5
8/pp2r3/2pr1kp1/5p2/7P/P4BK1/1PR5/2N5 b - -,e7d7
8/5pk1/1p1qp1pp/p1b5/4Q3/1PP2BP1/1P3PKP/8 w - -,e4e2
r1b2rk1/ppp1ppbp/nq3np1/8/3P1B2/2N2NP1/PPPQ1PBP/2KR3R b - -,c7c6
r1b2b1r/ppk2p1p/2p1p1p1/4P1N1/1n3P2/3B4/PPP3PP/R1B1K2R b KQ -,b4d3
r1b2rk1/p1p3b1/1pn1pq1p/3p1pp1/3P4/1QPN2P1/PP1NPPBP/R4RK1 w - -,f2f3
r2r2k1/3P1pp1/1p3n2/b3N2p/P3q1P1/NQ4K1/PB3P1P/3R4 w - -,h2h3
r3k2r/1bqnbppp/pp1ppn2/8/2PNP3/2N1B3/PP1QBPPP/2R2RK1 w kq -,f2f3
3r2k1/p7/1p2R1p1/2p1bpP1/2P5/1P2B1PP/P6K/8 b - -,e5d4
r4k1r/1bN3p1/3pQb1p/2n5/4PP2/P7/1PP3PP/2KR3R b - -,c5e6
1r3rk1/4nppp/p2p1n2/1q1Pp3/b1p1P2N/P1P4P/3B1PP1/RB2QRK1 w - -,f2f4
2r1kb1r/1p1n1pp1/pqbpp2p/8/2P1PP1B/1N1QR3/P3B1PP/5R1K w k -,e2g4
8/p3r2k/7P/1p1R4/8/1P1p1pP1/P2B2r1/3K1R2 b - -,f3f2
1k1r1b1r/2p2p2/pp4pn/3BP2p/P4P2/7P/1P3BP1/2RR2K1 b - -,f8e7
6k1/2R2p1p/pB2p1p1/P1b5/8/4P1P1/5PKP/2r5 b - -,c5a3
5k2/p7/8/8/2P3B1/8/P3K2P/6b1 b - -,g1h2
r2qr1k1/1ppb2bp/1n1n4/p2Ppp2/P6N/BPN3P1/5PBP/1R1QR1K1 b - -,d8g5
3q2k1/5pp1/p4b1p/1p1BpQ2/4P2P/P5P1/1P3P2/6K1 b - -,d8c7
r1b2rk1/ppq2pbp/2p1n1p1/2p1p3/P1N1P3/3P1NPP/1PP1QPK1/R1B2R2 b - -,a7a5
r1r2bk1/1p1np2p/3pbpp1/p1nN3q/2P1PB2/1P3N1P/P1B2PP1/1R1QR1K1 b - -,e6f7
2r3k1/2r1qppp/bp1bpn2/p2pN3/P1PP4/1PB1Q3/2RN1PPP/1R4K1 w - -,h2h3
5k2/5p2/8/R3PP2/8/1r6/5K2/8 b - -,f8e7
