5R2/p5r1/8/8/2P1N1n1/1P4k1/P3K3/8 b - -,g3g2
3r1rk1/2p1pp2/N5p1/n3P2p/1p1B1nbP/8/PPPR2P1/2KR1B2 w - -,d1e1
1n4k1/p1q2pp1/1p2p2p/2b5/4P3/P1B2N2/1P3PPP/3Q2K1 b - -,c5f8
8/5pk1/p1r4P/P6P/5RK1/5P2/8/8 b - -,c6h6
8/8/1pk5/5KB1/1P1b4/7P/8/8 w - -,h3h4
1rq2bk1/5ppp/8/pp6/4Q3/P2RP3/5PBP/6K1 w - -,e4c6
r2r2k1/p2nqp1p/2p3p1/8/1bQ1PB1P/5P2/PP2N1P1/2R1K2R w K -,e1f2
2r2rk1/3n1p2/1p1Pp1pp/p3b3/4N3/R3N2P/PP3PP1/3R2K1 w - a6,a3b3
1r6/2qbrpbk/3ppnp1/2pP3p/2B5/2P1N2P/1P3PP1/R1BQ1RK1 b - -,d7c8
r4rk1/1p2ppbp/3pbnp1/q5B1/p1P1P3/2N2P2/PPRQB1PP/4K2R w K -,c3d5
r5k1/3q1pb1/2p1pnpp/1p6/rP1P4/2P1R1PP/2Q2P2/1BB1R1K1 b - -,f6d5
2r3rk/p6p/1p1pbn1q/3p4/3Pp3/1Q2PP2/PP1N2RP/4NR1K w - -,g2g8
r1b2r2/7k/2p1p2p/ppPpPpqn/1P1P2p1/3N2P1/P2QPRBP/5RK1 w - -,e2e3
r2qrbk1/pb1n1ppp/1p6/1PpPp3/2N1P1B1/P7/1BQ2PPP/R2R2K1 b - -,b7c8
r1bqkb1r/pp1pnppp/2p2n2/4p3/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,e7g6
2kb2rr/2q5/1n2p3/1p1pPp1p/pPpP4/2P2N2/1P2Q1PP/2B2RRK b - -,h5h4
4r3/2p2pk1/1p5p/3Pp1b1/1PP1P1Pp/p4K2/P4B2/7R w - -,f2h4
2rrk3/1p3ppp/p3p1n1/2P5/P2P2P1/5PB1/5K1P/2RR4 w - -,c1b1
4r3/p7/2k2P2/2p5/1nqp4/5Q1P/1PB2P2/2K1R3 b - -,c6b6
r3r1k1/3q1p1p/1p4pB/pPp5/P1Pb4/5PP1/3Q2KP/4RR2 w - -,g3g4
8/4K1R1/p1P5/7p/8/7k/8/2r5 w - -,e7d7
4r1k1/4Rp1p/3Q2p1/1p6/1B5K/1P4P1/P6n/5q2 b - -,h2f3
1r4kr/p2b4/3p3p/2pP2p1/2P1B3/5R1P/PQ3PP1/4R1K1 b - -,b8b2
8/b4r2/P5p1/3k3p/2pBp3/2P5/1PK3P1/R7 w - -,a1a5
5n2/3r1pk1/p2p2p1/3B2P1/p2R3P/1Pr5/5P2/4R1K1 w - -,d4a4
8/k7/P7/1PK5/1N6/8/8/5b2 b - -,a7a8
rnbq1rk1/1p1p1ppp/p3pn2/2b5/2P1PB2/2N2N2/PPQ2PPP/R3KB1R b KQ e3,b8c6
8/8/1p5k/p1p3r1/P1Pb1K2/1P6/8/4R3 w - -,e1e6
rnbq1rk1/pp3pp1/2pb3p/2Pp4/3P4/2PB1N2/P4PPP/R1BQ1RK1 b - -,d6c7
r2r4/2q2p2/1n3kpp/2b1p3/1pP1P3/6PP/P1Q2PB1/2NRR1K1 b - -,d8d1
2kr1r2/p3b3/2p1bp2/1nP1p1pp/1P6/P1P1NNPP/3B1P2/R3K2R b - -,d8d3
r2q1rk1/p1ppn1pp/1pn1p3/8/1bPPQ3/5N2/PP2NPPP/R1B2RK1 b - d3,e7g6
2kr4/2qpb3/p1n1pN2/1pp1Prp1/4Q2p/1PP2P2/PKPR2PB/3R4 w - -,d2d7
8/8/3rp1p1/1R6/4k1pP/3p4/8/4K3 w - -,b5g5
b3rbk1/p2n1p2/2qp1npp/2p2N2/4P3/P1B3Q1/2BN1PPP/1r1R2K1 w - -,d1b1
8/5p1k/6p1/3pr2p/7P/R1P2KP1/1r3P2/2R5 w - -,c1f1
3r2k1/6p1/p3pp2/8/Pp3P1p/1P2B1bP/1NP3P1/5K2 b - -,g8f7
8/1RnB1k1p/3p3P/p2P2p1/2P2pP1/2r5/P4K2/8 b - -,c3c2
1r1q1rk1/1b1n1pbp/n2p2p1/6P1/Np1PP2P/4B1N1/1P1Q2B1/R1R3K1 w - -,b2b3
5rk1/2b2p1p/6p1/1n1PQ3/2P1P1P1/7P/8/7K w - -,e5e7
rnq2rk1/p4p1p/1p2p1p1/2pP4/2R1P3/5N2/PR2QPPP/6K1 w - -,d5d6
5k2/R6N/7p/6p1/6K1/p7/6PP/5r2 b - -,f8g8
rb2r3/pp2kppp/2n2n2/1N6/2BP1pb1/5N2/PPP3PP/R1B2RK1 w - -,f3e5
r1bq1rk1/ppp2ppp/2n5/3pP3/1b1Pn3/5N2/PP1NBPPP/R1BQ1RK1 b - -,b4d2
3q1rk1/r5bp/p1Bpb3/1p3p1Q/5p2/N1P5/PP3PPP/R3R1K1 b - -,e6f7
3r3k/pp5p/4Q1p1/6b1/2B5/7P/PP3P2/5K2 b - -,h8g7
1qrrb3/1p2kp1p/p2p2p1/8/2PQ4/6PP/P3PPB1/2RR2K1 w - -,c1c3
r1bqk1nr/pppnbppp/3p4/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq -,c2c3:e1g1:b1c3:d4e5
r2q1rk1/pb1p2pp/2n1pn2/2b2p2/4P3/3B1N2/PPPNQPPP/R1B2RK1 w - -,e4f5
2r1nrk1/pp1bppbp/2np2p1/3N3q/2P1P3/1P2BPP1/P1N3BP/3RQRK1 b - -,e7e6
r4r1k/pppb2pp/1n1b1q2/3p4/8/2PBNP2/PP4PP/R1BQR2K w - -,e3f1
r3r3/2pk1ppp/p2p4/3n4/3B4/5P2/PP4PP/R3R1K1 b - -,g7g6
r2qrnk1/1pp2ppp/1nb1p3/p7/P1pPP1P1/2P2N2/2Q2PBP/R1B1R1K1 w - -,f3e5
6k1/2qbbp2/p4np1/1pnPp2p/4P2P/1P3P2/2BB1NP1/3Q1N1K w - -,d1a1
1r6/8/1p2b2k/P5p1/2ppPr2/6RP/8/1B2R1K1 w - -,a5a6
q4rk1/1p1bbpp1/2pp1nn1/3Pp1Np/1PP1P2P/2N3P1/3B1PB1/Q4RK1 w - -,a1b2
8/8/8/3p4/1Pk1r1R1/3N4/3K3P/8 b - -,e4g4
rnbq1rk1/pp3pp1/2p2b1p/3p4/3P4/1QNBPN2/PP3PPP/R3K2R b KQ -,d8e7
7r/pp2kpp1/2p2n1p/5b2/2PRp3/2N1P3/PP2BPPP/5K2 b - -,h8d8
r3k2r/p1p5/2pppq2/2b1P3/6Q1/2NB2Pp/PPP4P/R3Bn1K b kq -,f1e3
r4rk1/1pqbb1pp/1np1p1n1/p2p1p2/P1PPP2P/1PBQ1PP1/3NN1B1/R3K2R b KQ -,f5f4
rnb1kb1r/1pp1pppp/p2q1n2/8/3P4/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,g7g6:b7b5:c8g4:e7e6
2R5/3B1nkp/4p3/n3Ppp1/pK3P2/r2P2P1/7P/8 b - -,a3d3
3r1rk1/ppp1b1pp/3qbp2/nB2p3/1P6/P3PN2/1BQP1PPP/2R1K2R b K -,c7c6
rnbqk2r/pp2nppp/4p3/3pP3/3p4/P1B5/1PP2PPP/R2QKBNR w KQkq -,d1d4
r2qnr2/2p1b3/p1n1kp2/1p1p3Q/3P3P/1PN2P2/PBP2P2/2KRR3 b - -,e6d7
1k2r3/p4p1p/2q2p2/1p6/3P4/nPP3P1/P5BP/5RK1 w - -,g2c6
rr6/2pk1ppp/3b4/n7/2BP4/1P2BN2/P4PPP/R4K2 w - -,c4f7
4k3/1p3p2/7p/p4Pp1/P1P1N1P1/1P1K3P/1b6/8 w - -,e4d6
rn1qkb1r/pbp2ppp/1p3p2/8/3P4/3Q1N2/PPP2PPP/R1B1KB1R w KQkq -,f1e2
2r3k1/1p2Bpbp/p5p1/6N1/P1PP4/1n5P/5Pb1/R4BK1 w - -,a1a3
2q1nr2/1r3p1k/pp1p1n1p/2pP1Qp1/P1N1P3/2N4P/1PP3P1/R3R1K1 b - -,c8f5
8/8/3pk1pp/2p5/4PnPP/1P2RN2/r2Nb3/7K b - -,a2b2
1qb3k1/5pbn/3p2p1/1P1P2Pp/1pp2P2/7P/RPQNP1B1/7K b - -,b4b3
r1bqk2r/pp1n1ppp/2p1p3/3p4/2PPn3/1P2PN2/PB3PPP/R2QKB1R b KQkq -,e8g8
8/5kp1/8/2K1R3/7r/8/8/8 w - -,c5d5
N5kr/1b1nnqbp/pp1p2p1/5P2/P2P4/2N5/1PP3PP/R1BQK2R w KQ -,a8c7
1b3rk1/1p4p1/2p5/p1Pp2nq/3P1p1n/PP2rP1P/3QNR2/2BB1R1K b - -,h4f3
r1b3k1/1pp2ppp/p4n2/4r3/1PP1p3/P3P1PP/4NPB1/R3K2R w KQ -,e1g1
rn2r3/ppk2Bb1/7p/4pp2/6pP/4P1B1/PP3PP1/2KR3R b - -,e8f8
r3r1k1/pppqppbp/2n2np1/3p4/3P1B2/2N1P3/PPPQBPPP/R4RK1 b - -,e7e5
4b3/5p2/4p3/k3P1PB/ppK1PB2/8/P4b2/8 w - -,c4d3
2rq1rk1/pp2ppb1/2n1b2p/2Pp2p1/3Pn3/P1N2N1P/1P2BPPB/R2QR1K1 b - -,f7f5
8/p2p1kp1/4p3/2p5/5P2/2N3q1/PPP3Pr/R4RK1 w - -,f1f2
1rbq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/1P3NP1/PB1NPPBP/R2Q1RK1 w - -,d1c2
rr4k1/2Rbppb1/q2p2p1/1N2n3/1P1NP1P1/1Q2B3/P3B3/1K5R b - -,d7b5
r1b2rk1/1pq1bppp/p1npp3/8/2P2Q2/1NN3P1/PP2PPBP/R2R2K1 w - -,a1c1
rnbq1rk1/ppppb1pp/4pn2/5p2/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQ -,g1e2
r1b1k2r/1p2bpp1/1n1p3p/q1nPp3/p3P2P/2N1BPP1/PP1QBN2/R4RK1 b kq -,c8d7
6k1/5pp1/p2np2p/4Q3/8/4P1P1/P2q1P1P/2r2BK1 w - -,g1g2
r1b1k2r/p4p1p/2pBpn2/1pPp4/3P4/4PP2/1P1K1P1P/R4BR1 w - -,f1d3
1r6/4p2k/1q1p2p1/3B1p1p/PP3P2/4P1P1/1pQ2K2/3R4 w - -,c2b2
2r5/p3k1p1/1pb2p1p/b3p3/8/PB6/1KP2BPP/3R4 w - -,g2g3
rnbq1rk1/pp2ppbp/2p2np1/8/3P4/2N2NP1/P1PB1PBP/1R1QR1K1 w - -,d2g5
r1bq1rk1/pp2ppbp/5np1/3p2B1/3P3Q/5NP1/P1P2PBP/1R2R1K1 b - -,f8e8
6k1/p1p3pp/3qb3/3pN3/2p4P/5PP1/P3Q1K1/8 w - -,f3f4
r1bq1rk1/pp1pn1bp/2n2pp1/2pNp1B1/4P3/3P1NP1/PPP2PBP/R2QK2R w KQ -,g5e3
r7/5p2/5kp1/p2q3p/3p1Q1P/1P4P1/P4P2/3R2K1 b - -,f6g7
8/p7/3K1kP1/8/1P2B3/8/4n3/8 b - -,e2d4
r2qk2r/1b1nppbp/p2p2pn/8/P2PPP2/3B1N2/4N1PP/1RBQ1RK1 b kq -,d8c7
6bk/2Q4p/p1p3p1/P7/2PP1p2/2P2P1P/8/4qBK1 b - -,g8c4
3r3r/1bk5/p1n1R1Rp/1p1p3n/8/2NB1N2/PPP3P1/1K6 b - -,h5f4
3n1r1r/p3n1p1/1k2p2p/1pp2p2/4N2P/2PPPR2/PP2B3/2KR4 w - f6,d1f1
R6r/1p1k2b1/1q3Pp1/2pP3p/2P5/8/1B2Q1PP/6K1 b - -,h8a8
rn1qkb1r/pp2pppp/2pp1n2/7b/2PP4/4PN1P/PP3PP1/RNBQKB1R w KQkq -,b1c3
8/8/5k2/1P2n3/p7/2R1NpK1/1r6/8 w - -,b5b6
qr4k1/5p1p/p1bpp3/Prp1b1P1/4P1P1/1P3B2/R1PQ2KP/3NR3 b - -,b5b4
r4rk1/pbp1q1pp/1p2p3/4B3/2PP1p2/5P2/P1Q3PP/1R2R1K1 w - -,c2a4
r4rk1/pp1n1ppp/2p1p1b1/q2nP3/PbBP4/2N2N2/1P1BQPPP/R4RK1 w - -,f1c1
5k2/7p/5p1b/pbNP4/6p1/1P1N2P1/P3K2P/8 w - -,a2a4
2r5/5p2/P2kp1p1/3b4/5P1p/7P/1R2BKP1/8 b - -,c8c3
r2bk2r/1p1b1ppp/p4n2/4p1B1/4P3/2N5/PPP1B1PP/3R1RK1 b kq -,d7e6
6r1/1p3pB1/2k1pP2/3p4/7R/P5n1/3K2P1/8 w - -,d2d3
5rk1/ppp3bp/3p4/3Np1B1/2qnP3/6P1/PP4QP/R6K b - -,c7c6
r2q1rk1/4npbp/p2pP1p1/1p6/6P1/1N2NQ2/PP5P/R1B2RK1 b - -,f7e6
1q6/4p1k1/3p1pp1/1rp4p/3bP3/1P1Q1PP1/P1R1R1KP/8 w - -,c2c4
2R4k/3qn1b1/p2p3p/1p1Pp1pP/1P2PrN1/P4PN1/3QK3/6R1 b - -,e7c8
r3r1k1/p2qbppn/2pp3p/2p1p2b/2P1P3/1PNPQN1P/PB3PP1/R3R1K1 w - -,f3h2
6r1/pp1k4/2p2p2/3p4/3P2P1/2N4R/PP1r1B1K/8 w - -,h3f3
6k1/1p3p1p/1p3r2/6p1/8/1P1PK3/P5PP/2R5 b - -,f6e6
4rrk1/pq3p1p/5pn1/3P1Q2/2P5/PP2R3/5PpP/R5K1 w - -,a1e1
3r4/1p4p1/2p1B2p/p1k1p2P/2Pb2P1/1P1K1P2/8/3R4 w - -,d3e4
8/4b1p1/2r1k2p/2Pnp3/1pR1p3/6PP/1P1K1BN1/8 b - -,e4e3
8/8/2p4p/b2pk3/P1p1pp2/2P4P/2K5/2R5 w - -,h3h4
2R1b3/1p3kpp/4p3/1r6/p2NP3/P5PP/8/6K1 b - -,b5e5
2r3k1/pp3r1p/6pQ/1P3p2/2b5/2P5/1K4P1/3R4 w - -,h6h4
r1b1r1k1/pppnqpb1/3p1npp/4p3/3PP3/2P1NNP1/PPB2P1P/R1BQR1K1 w - -,d4d5
2rq1rk1/5ppp/4pn2/NQ1p4/Pn1P4/R3PBP1/5P1P/5RK1 b - -,c8b8
2n1rrk1/1Np1q1pp/p1pBbp2/8/4P3/2Q2N2/PPP2PPP/3R1RK1 b - -,c7d6
rr2n1k1/3nppbp/1q1p2p1/1NpP4/P3P3/5NP1/1PQB1PKP/R6R b - -,e8c7
4r3/1p6/p1pr1kp1/2R2p1p/1P5P/P2Pn1P1/4PK2/2R2B2 w - -,f1h3
1r2r3/5p2/p4R1p/Pp1Pk1pP/1Kp1P1P1/P7/5R2/8 w - -,b4c3
6R1/5r2/1k5P/6B1/1prbRPK1/7P/P7/8 w - -,g8d8
3r2k1/p4p2/1qp3p1/8/2B1Qn2/P1N5/1P4PP/5RK1 w - -,g1h1
rnbqkb1r/pp1ppp1p/4P1p1/2pn4/8/1P6/PBPP1PPP/RN1QKBNR b KQkq -,f7f6
8/R5k1/4r1p1/4rn2/8/2P5/3K1R2/8 b - -,e6e7
7k/Rpr1p1b1/2q4p/2Pp1pp1/3PnP2/1Q2P3/4N1PP/4B1K1 w - -,b3a4
1r2r1k1/2p2pp1/p3bq1p/P1P1p3/Q3P3/2P1RN2/5PPP/R5K1 b - -,f6e7
6k1/q4p1p/1p2r1p1/r2p4/1R2p3/P1p3P1/2Nb1QBP/1R4K1 w - -,g2h3
2kr2r1/p3bp1p/3p4/qpp1PPB1/4P3/2N5/PPP1Q3/R3K1R1 b Q -,e7g5
r2q1rk1/3bppbp/n2p2p1/1NpP4/P3P3/5P2/1P2B1PP/1RBQ1RK1 b - -,a6c7
r1bq1rk1/5pbp/p2p1np1/P1pPpn2/1pP1P1P1/1P2BN1P/2BQ1P1K/R5R1 w - -,g4f5
1q1rrbk1/p2n1pp1/1p5p/4p3/1PP4N/P3Q1P1/1B3PKP/2R1R3 w - -,h4f5
1qrr1nk1/5pp1/pp1ppn2/8/P1PNP2p/1PN1QPPP/3R2K1/3R4 w - -,g3h4
rnbq1rk1/pp2bppp/3p1n2/2p1p3/4P3/2P2N2/PP1PBPPP/RNBQR1K1 w - -,e2f1
8/8/8/K2Q4/P4pp1/1p3k2/8/8 b - -,f3f2
r4rk1/p1qnb1p1/2p1p1p1/2Ppnp2/N7/4P1P1/PPQ2PBP/2R1BRK1 w - -,f2f3
r2q1rk1/pp2bppp/1np5/8/3P1Bb1/1B3N2/PP3PPP/R2Q1RK1 w - -,f1e1
1r1q1rk1/2p1bppp/p3pn2/2N5/2pPb3/4B1PP/PQ3PB1/R2R2K1 w - -,b2c3
3rr1k1/5p2/2q3p1/ppb5/5pPP/2P1pN2/PPQ3K1/3RR3 b - h3,c6e6
8/ppk1p3/2n2r1p/3R4/2n2PB1/8/P1P4P/1KB5 w - -,d5d7
1r2kbnr/2qb1ppp/p1npp3/1p6/4P3/PNN3P1/1PP1QPBP/R1B2RK1 b k -,f8e7
r1b1kb1r/1pp1q2p/2n2p2/2P5/1pBPP1n1/3Q3p/P4PPP/RNB2RK1 w kq -,d3h3
r5k1/1b2q1b1/6QB/1Ppp3p/2n5/2N4N/1P3PPP/3R2K1 b - -,c4b2
r3r1k1/pp4pp/1q1bpn2/nb1p2N1/3P4/PP4N1/1BB2PPP/R2QR1K1 b - -,d6f4
r2q1rk1/1bp2ppp/p2b4/1p1np1B1/3n4/1B1P1N2/PPP2PPP/RN1QR1K1 b - -,d8d7
r4qk1/5p2/3p1Ppp/1p1Pb3/2p1P3/4Q2P/1P3RP1/rB3R1K w - -,e3d2
8/2k4p/p2b4/2pR4/2P5/3NK2P/P7/5r2 b - -,f1a1
r1bqk1nr/1pp2ppp/2n5/3pp3/1pP5/1P1P1N2/P3PPPP/R1BQKB1R b KQkq -,g8e7
3K4/8/8/1B3R2/3k3P/3r4/5p2/8 b - -,d3d1
2r2rk1/p3qp2/np2p1pb/2ppPnNp/3P1P1P/P1P4Q/1P1N1BP1/2R1R1K1 b - -,a6b8
3Q4/p5rp/2b1r3/1kp1P3/8/1P6/P2K1R2/8 w - -,d2c3
4r3/1p3k1p/3p1p2/3P1P2/1PR2K1P/5P2/8/8 b - -,h7h5
8/8/6B1/p1p4P/PpP2k2/1n5K/8/8 b - -,f4g5
rn1q1rk1/pbp1bppp/1p2p3/3N4/3P4/5NP1/PP1BPPBP/R2Q1RK1 b - -,e6d5
1r3rk1/2qbbpp1/pN1p3p/PppPp3/4P2n/1B3QNP/1PP2PPK/R3R3 w - -,f3e2
3rr2k/pp5p/3pR3/3B4/2P4P/1P3P2/Pb6/3R3K b - -,e8e6
6k1/5r1p/3r3p/pp6/2bP1N2/P3P2R/6P1/2R3K1 b - -,a5a4
4r1k1/R2n3p/2q3p1/p1p1P3/2P5/PQ3NP1/4P2P/7K w - -,b3b5
r2q1rk1/ppp2pp1/2n4p/3pNb2/3PnP2/P1N5/1P2PPBP/R2Q1RK1 b - -,c6e5
rnbqkbnr/pp2pp1p/2pp2p1/8/4P3/2NP2P1/PPP2P1P/R1BQKBNR b KQkq -,e7e5
8/p3kp2/1p4pp/3PN3/P4P2/5KP1/7P/6b1 w - -,h2h3
r4rk1/1pqbbppp/pQ1ppnn1/8/2P5/1NN1B1P1/PP2PPBP/2R2RK1 b - -,c7b6
8/8/6p1/1p3P2/p1knb1P1/P4r2/1P5R/2K3R1 b - -,g6f5
5rk1/p1pq2p1/5nQ1/3p4/1bpP3R/2N1P3/PP3PP1/R3K3 b Q -,d7b5
8/8/6k1/2p1pp1p/2PbP3/5KP1/5P2/3N4 w - -,d1e3
r4rkn/pp1b2p1/2n1pq1p/3p3P/1N1P4/3B1N2/PP3PP1/R1BQ1K1R b - -,c6b4
1rb2k2/1pr2ppp/p3pn2/N1P5/8/5BP1/PP3PP1/2RR2K1 b - -,f6d5
8/6kp/6p1/1pp1p1P1/3nP1BP/2K5/8/8 w - -,g4d7
8/b1p1r2k/p1Pp2p1/P6p/5q2/7P/B1Q2PP1/5RK1 b - -,e7e5
2r1r1k1/1b3p1p/P7/4p1p1/8/4P2Q/1q3KPP/R2R1B2 w - -,f2g1
rn2brk1/pp2q1pp/2pbpn2/3pNp2/2PP4/1P4P1/PB1NPPBP/R2Q1RK1 w - -,d2f3
r6k/p1pn2pp/3p4/5q2/3p4/P2BPp2/1P3PrP/4K1RR w - -,d3f5
r1bq1rk1/p1p1npbp/1p1p2p1/4n3/3NPB2/2P5/PP1NBPPP/R2Q1RK1 w - -,d2c4
r1b2Rk1/1p4qp/pB2p1p1/3pb3/6P1/P1N3Q1/1PP4P/R5K1 b - -,g8f8
8/8/5B2/3k1pp1/1Rn5/3r4/5K2/8 b - -,g5g4
r2q1rk1/pp1bp1bp/3p2pB/2pPn3/2P5/1PN2P2/P2QN1PP/3R1RK1 b - -,g7h6
r1b1kb1r/2q2p1p/p1nppp2/1p6/4PP2/1NN5/PPP1B1PP/R2QK2R w KQkq b6,a2a3
2r1qrk1/3b2pp/Qp2pp2/2b5/P1R5/1P2P1N1/1B3PPP/2R3K1 b - -,c8a8
4k3/2p1r1p1/p1p3bp/3p4/3R2P1/1PP1BP1P/P4K2/8 b - -,g6b1
5k2/2pbbppp/8/1p2p3/1P2P3/3BBP2/P5PP/3K4 w - -,a2a3
r3r1k1/pq4bp/3p2p1/1PpPn1B1/3p4/1P3PPB/P6P/2RQ1RK1 b - -,e5f7
r2qbrk1/1ppn2bp/p2p1np1/3Pp2P/2P1PpP1/2N2P2/PP1QBB2/1K1R2NR b - -,d7c5
2r1k2r/1pq1bpp1/p2p1n1p/3Pp3/2n3PP/1NPBBQ2/PP3P2/2KR3R b k -,a6a5
r1b1k2r/p4ppp/2p1pn2/1qPp4/Nb6/6P1/PPQ1PPBP/R1B2RK1 b kq -,c8a6
r4k1r/4q1pp/1pp1b3/p1npPp2/2P2N2/1B2Q3/PP3PPP/2KR3R b - c3,d5c4
5k2/3r1pp1/p1N1n2p/P1pR4/2P5/6b1/7P/7K w - -,d5d7
8/8/3k4/P5n1/4P3/6Kp/5N2/8 w - -,a5a6
1r1r1k2/5p2/2b1p1p1/p2pP2p/1P1R4/5P1N/PP4PP/4R1K1 w - -,e1c1
r1bqr1k1/2p1npbp/1p1p1np1/3Pp3/PBP1P3/2N2N2/4BPPP/R2Q1RK1 w - -,f1e1
8/pp1R4/8/7P/r3pK2/P3N3/4k3/8 b - -,a4a3
r2r2k1/pp2ppbp/q5p1/8/1P6/1QN1P3/P4PPP/1R3RK1 b - -,d8d3
8/2P1R3/5pp1/5k2/4p2P/2r4P/5PK1/8 b - -,f5f4
6k1/2n5/p2p1pPb/1pq1r3/6B1/2P3QP/PP4P1/3RR2K w - -,g3h4
rr6/3b2bk/2pp1ppn/p3P2p/4P2P/P5P1/1P1BNPB1/1R2K2R b K -,f6e5
2kr3r/1pp3p1/p1npqp2/7p/2P1bP2/1PP4P/PK1QBBP1/3RR3 b - -,d8e8
rn1qkb1r/pbp2ppp/1p2pn2/3p4/8/1P1P1NP1/P1P1PPBP/RNBQ1RK1 b kq -,c7c5
3R4/2p1rk2/1pB3p1/1P3pKp/4n2P/6P1/8/8 w - -,g5f4
2rr2k1/5ppp/4pn2/8/5b2/1p1P2NP/4KP2/1B1R4 w - -,d3d4
rn3rk1/1p2qnpp/p2p1p2/P1pP1P2/2P2Q2/2NB4/1P4PP/R4RK1 w - -,f1e1
rn1qr1k1/1p4bp/2pBbnp1/p3Np2/1P6/2N3P1/P3PPBP/1R1Q1RK1 b - b3,f6d7
1rbr1bk1/R6p/4ppp1/2Np4/3P4/1P2PN1P/5PP1/2R3K1 b - -,f8d6
5k2/5p2/1pK5/8/2P1P2r/2N5/8/8 b - -,f7f5
7k/4K3/2p5/1p6/1P6/3B1R2/5p1r/4r3 w - -,e7f7
2kr1b1r/1pqb1pp1/p1npp2p/8/4PP2/2NB1N2/PPPQ2PP/1K1RR3 b - -,c8b8
r1bqk1nr/bp3ppp/p1npp3/8/4P3/1N1BB3/PPP1QPPP/RN2K2R w KQkq -,e1g1:f2f4:b1c3:c2c4
r3k1r1/pp2bp2/8/q1p1p2Q/2PpPPn1/3P4/PP1BNP2/R3K2R b KQq -,a5b6
4r1k1/1rqbnpbp/4p1p1/2BpP3/p1p2P2/P1P5/BP2NQPP/1R3R1K w - -,c5d6
b1q3k1/p4p2/3Qp1p1/2p1P2p/PpP4P/1P3PP1/5K2/4N3 b - -,g8g7
2r2rk1/pp3pp1/1q2pbp1/2np4/2P5/1P2PN2/P1QN1PPP/2RR2K1 w - -,c4d5
r1b2rk1/ppq2pbp/3p2p1/3R4/2nPN3/3Q2P1/P1P1NPBP/5RK1 w - -,d3c3
4b3/6k1/8/n2Np1p1/4P2p/2NK1P2/6P1/8 b - -,e8d7
1rb1n3/p4k1p/1p1p4/1Pp2pP1/2Pn1N2/P3N3/5RKP/4R3 w - -,e3d5
8/8/R3p1pp/P4p1k/5P1P/4PK2/5P2/r7 b - -,a1a2
r1bq1rk1/pppnn1bp/3p2p1/4p3/2P1p3/2NPB1P1/PP2NPBP/R2Q1RK1 w - -,d3e4
2r2rk1/p2bppb1/1pq3pp/3p4/P2P1B2/1PN1P2P/3Q1PP1/2R2RK1 b - a3,c6b7
r6r/pp2k1pp/2nb1p2/7b/8/1PB1PN1P/1P2BPP1/R1R3K1 w - -,g1f1
