8/1k5p/4R1p1/P5P1/1P3P2/2r2K2/8/8 w - -,f3g4
3nr1k1/3R1ppp/1p6/p3q1P1/4P3/P2NQ2P/1PP5/1K6 b - -,e5b8
8/1p3pp1/2p1p1P1/8/p1b2k2/P1P2P2/5K2/1B6 b - -,f7f6
R7/8/8/8/p7/5k1K/8/r7 w - -,h3h2
1r1r2k1/1bq2pp1/1p1p1nn1/pP2p2p/P1P1P2P/BN2QPP1/8/R2R1BK1 w - -,d1d2
4r1k1/5ppp/1nb2r2/p1p1p3/Pp2P3/2P5/BP3PPP/3QR1K1 w - -,c3b4
1n3rk1/4bppp/4Bn2/4p3/3pP3/1N3P2/1PP2BPP/r2R2K1 w - -,e6f7
rn1q1rk1/pbppb1pp/1p2p3/5p2/2P1n3/1PN2NP1/PBQPPPBP/R4RK1 b - -,e4c3
1q3nk1/p4b1p/5pp1/3Bp3/4P2P/1r1RQ3/2P2PPK/8 w - -,d3b3
8/8/pb4p1/1p1kppPp/7P/2P2P2/PP1NK3/8 b - -,b6g1
r1bqr1k1/pp1nbp2/2p4p/3p2pn/3P4/2NBPNB1/PPQ2PPP/1R3RK1 b - -,h5g3
r2q1rk1/pbpn1pbp/1p1ppnp1/8/3PP3/2NBBN1P/PPP1QPP1/R4RK1 w - -,f3d2
3R4/6pk/1pr4p/p2p4/3P4/1P4Pb/P6P/4R1K1 w - -,g1f2
1r3rk1/p1q2pp1/1p3n1p/2p5/2P3b1/2Q3P1/PP2NPBP/3RR1K1 b - -,f8e8
8/5n1p/4k1p1/1p3p2/5P1K/1PB5/6PP/8 w - -,c3a5
2r3k1/5ppp/5b2/3R4/r7/4P3/5PPP/3RB1K1 w - -,e1c3
3R4/4k1p1/1p2pp1p/p1b4P/2P1NPP1/1P3K2/4P3/8 b - -,e7d8
rn2kb1r/pp1np1p1/2p3pp/3pP3/3P2PP/4BP2/q1PN4/1R1QKB1R w Kkq -,e5e6
r1b2rk1/4qppp/p1p1pn2/1p6/2PP3Q/1PR2N2/P3BPPP/5RK1 b - -,c6c5
rn1qkb1r/5ppp/p3p3/8/1p1N2P1/7P/PPP2PK1/R2QBR2 b kq -,h7h5
8/1p2k2p/3b1pp1/p1r5/2P1P1B1/1P4P1/P4K1P/3R4 b - -,c5c7
q4rk1/3nbpp1/1pp1pn1p/2Pp4/1P1P1B2/2N1PN1P/5PP1/rQ3RK1 w - -,b1a1
3r2k1/5p2/6p1/3q2np/3p1b2/1P1R3P/P3Q3/4R1K1 w - -,e2g2
5rnk/1pp5/p2p2Qp/2PP4/1P5q/6R1/6P1/6K1 b - -,h4f6
8/4n1bP/3k1p2/5B2/3PKP2/2N5/8/8 w - -,c3d1
8/4qpk1/p4npp/1p2p3/1P2bP2/2P3PP/P5NK/3BQ3 b - -,h6h5
r1b2rk1/1p1nbpp1/2n1p2p/1p1p4/N2P1B2/5NP1/PP2PPBP/2R2RK1 w - -,a4c3
8/p1bN2k1/2p4p/2P2p2/6P1/4KP2/8/8 b - -,f5g4
r2qk2r/pp2bppp/2p1pn2/3n3b/2BP4/2P2N1P/PP3PP1/RNBQR1K1 w kq -,c4b3
r1b1r1k1/1p2bppp/1nnqp3/p7/3P4/P1NB1N2/1P2QPPP/R1B2RK1 w - -,c3b5
r2qr1k1/pb3pbp/1pn3p1/4p2n/1PPp4/P2P1NP1/RB1N1P1P/3QRBK1 b - -,d8c7
1rb1qrk1/2pn1ppp/2np1b2/1p2p3/3PP3/1BP1NN2/1P3PPP/R1BQR1K1 b - -,d7b6
1r1qr3/2pb2b1/3p2k1/Rn1Pp3/1P2PpN1/1P1Q4/3BNPP1/2R3K1 b - -,d7g4
1k6/pp2r1p1/5pnp/P7/1p4B1/7P/1PP2KP1/3R4 b - -,b4b3
6k1/pp6/2p1rp2/3n2pp/3P4/P2R2PP/1P1N1P2/5K2 w - -,d2c4
2r1k2r/3n1ppp/p1nBq3/1pPQ4/8/P3Pp2/1P3PPP/2RR2K1 w k -,d5f3
r5k1/p4ppp/bpQ5/2n5/5P2/5P1P/P5P1/4rNK1 b - -,a8c8
r7/1pp1k3/2n1b3/p3p3/4P1Pp/1PP4P/P3N1B1/2K2R2 w - a6,c1c2
3r4/3r1k2/pb4p1/1p2Pp1p/1P1pbP1P/P2B2P1/1KRR4/6N1 b - -,d7c7
8/3b4/7p/4k1p1/2p3P1/2P5/4KP2/2B5 w - -,f2f3
4b1k1/pp1qPp1p/4rnp1/4P3/1n6/R4QPP/P2b1P2/R3NBK1 w - -,e5f6
r1b1k2r/pp2npQp/1q2p3/n2pP3/3P4/P7/1P2NPPP/R1B1KB1R b KQkq -,h8g8
3qrrk1/1b1n1p1p/pp1ppbpQ/5P2/2P1P3/1P3N2/PB4PP/3NRR1K b - -,f6b2
8/p6Q/8/1Pp5/2Pq4/P2k4/6K1/8 b - -,d3c4
1rb2rk1/p4pb1/1q4p1/1ppPnN2/8/2PPB3/PP1Q2BP/R2N1RK1 b - -,c8f5
r2q1rk1/ppp1b1pp/3ppn2/6B1/3QP3/2N5/PPP2PPP/R4RK1 w - -,e4e5
r1bq1rk1/ppp3bp/6p1/3N4/2PpPn2/3P2N1/PP3PBP/R2Q1RK1 w - -,d5f4
5k1K/R6P/8/8/8/8/5r2/8 w - -,a7a6
r4rk1/p4ppp/2p1p3/1p1qP3/3PnR2/3QP2P/PP4P1/R1B3K1 b - -,f7f5
6k1/R4p2/1pp2B2/4P2p/P4P1P/8/3K2n1/4r3 w - -,a7a8
r1q3k1/5pp1/3p1b2/p2Np2p/Q3P3/5P1P/6P1/1R4K1 b - -,c8c5
r2q1rk1/p1npb2p/1p2pp1B/3n4/3PN3/5N2/PP2QPPP/R4RK1 b - -,f8f7
1n2r1k1/r6p/pq4p1/2Np1p2/Pp1P4/1Pp1P1P1/2Q2P1P/1R1R2K1 w - -,b1c1
rnbqkb1r/pppp1pp1/5n1p/4p3/2P5/1P4P1/P2PPPBP/RNBQK1NR b KQkq -,f8c5
3r2k1/8/p4q2/2P2N2/6P1/4Q1K1/PP5P/8 b - -,g8f8
r2qk2r/1bpnppbp/p2p1np1/1p2P3/3P1P2/3BBN2/PPP1N1PP/R2QK2R b KQkq -,f6g4
2br4/6kp/p1pp1rp1/4p3/1PP4q/P3NP2/3R2PP/3QR2K w - -,h1g1
rnb1kbnr/pp1p1p1p/3Pq1p1/3N4/8/P7/1PP2PPP/R1BQKB1R w KQkq -,c1e3
8/6k1/6p1/pr3p1p/2R2P2/P3PKPP/8/8 b - -,b5b3
3rn1k1/BBr2ppp/8/4N3/8/1R4P1/4PP1P/2b3K1 w - -,e5c6
r2qkb1r/5ppp/2p1pn2/p2bN3/1p1P2P1/PP3P2/2P1B2P/R1BQK2R w KQkq a6,a3b4
2r2rk1/pp1n1ppp/2n1p3/q2p1b2/3P1B2/1QPNPP2/P5PP/2R1KB1R w K -,f4g3
6k1/4rpp1/5b1p/7P/4K2P/1Pr2P2/P3R3/3R4 w - -,e4f5
8/p4pp1/2p1n1kp/1p3p2/1PP5/5KP1/P2B1P1P/8 w - b6,c4b5
4r1k1/p4pbp/3p4/2p2bp1/2PP4/1N2rBPP/P4K2/2R4R b - -,c5d4
r1b1r3/pp4k1/1q3np1/3P4/8/1P5P/P2QP1B1/R4RK1 w - -,g1h1
1r4k1/1r3pbp/bqpp2p1/p1n5/P2NP3/2PP2NP/2Q3P1/2BRR2K b - -,c5e6
3r2k1/p4p1p/4p3/1Pb1n3/R7/4B1P1/5PBP/6K1 b - -,d8d1
3q1rk1/5p1p/p3p3/2p1bp2/2B5/8/PP3PPP/3Q1RK1 w - -,d1e2
2r2rk1/1p3pp1/p1qp1n1p/4p3/N3P3/2B4P/2n2PP1/R2QRNK1 b - -,c2e1
rnbqk2r/ppppb1pp/5n2/5pB1/3P4/2N5/PPP2PPP/R2QKBNR w KQkq -,f1c4
2n3k1/pp3pp1/2p4p/3b4/3B4/1P1B2P1/P4P1P/6K1 w - -,g1f1
5b2/p4p2/1k2pP1p/1Pp1P2P/2K3N1/8/8/8 w - -,g4f2
4bk2/1p6/5p1p/4r1p1/pKPN4/5P2/P2R2PP/8 b - -,e5e1
r2b1rk1/pQ3ppp/2n2nb1/q2N4/2B1p3/P3PNBP/1P3PP1/3R1RK1 b - -,e4f3
1r3k2/2n2p1p/3p2p1/R1p5/1p3P2/5BP1/1P1R1PKP/2r5 w - -,d2d6
2r2rk1/n3bppp/q3pn2/pp1b4/1P1B4/P3PNP1/N3QPBP/R2R2K1 w - -,e2b2
r4rk1/1pp4p/5qp1/p2P4/3bp3/2N1Q2P/PP3PP1/R4RK1 w - -,e3e4
2rqk2r/1b2ppb1/pN1p1npp/P7/2pNP3/4BP2/1PPQ2PP/R3K2R b KQk -,c8c7
2r3k1/R1rq2pp/2p2p2/1pQp4/1P1P4/4P1PP/5P2/R5K1 b - -,c7a7
q4rk1/3n2b1/r4n1p/2pp2p1/8/1QN2NPP/PP1B1PK1/R3R3 w - -,e1e7
8/p4k1p/5n2/4pp2/6p1/P3Pb2/1P1K1N1P/2R5 w - -,b2b4
6k1/8/1p2p3/7p/2P3pP/4P1P1/pq4K1/5R2 w - -,f1f2
2R1r2k/6pp/5q2/pp1B4/1b6/1P4P1/P1Q1PP1P/6K1 b - -,e8f8
8/k1Q3p1/1p5p/2p2P1P/p1qn4/P2N1P2/1P1K4/8 b - -,a7a8
rnbqkb1r/pp3ppp/5n2/2pp4/8/1PN2N2/P1PP1PPP/R1BQKB1R w KQkq -,f1b5
r1b1k2r/5pp1/2n1p2p/3pP3/1ppP1P2/q4N2/P1PQ2PP/1R2RBK1 w k -,b1a1
8/8/5K2/1r6/5n2/8/1p5R/1B1k4 w - -,b1h7
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR b KQkq -,d8b6:d8c8:d8d7:c6a5:b7b6
r1b2bk1/pp3p1p/4p3/5B2/4R3/8/PP3PPP/3N2K1 w - -,f5h3
r1bq1rk1/4bpp1/1p1Np2p/p2nP1B1/7P/5N2/PP2QPP1/R2R2K1 w - -,g5e7
r2q1rk1/2p1b1pp/p1n2n2/1p1p4/5Bb1/1NP2N2/PPB2PPP/R2QR1K1 w - -,b3d4
rnbq1rk1/ppp1ppbp/5np1/3p4/3P1B2/4PN1P/PPPN1PP1/R2QKB1R b KQ -,c7c5
2r1r1k1/5ppp/p3p3/1qp1P3/3p1P2/3Q4/P1R1N1PP/3R2K1 w - -,c2c4
8/p4k1p/1p4p1/8/1PP2P2/8/P3KB1r/8 w - -,a2a4
5rk1/ppr2pb1/1q4pp/3Bp3/P3P3/8/1P2QPPP/3R1RK1 b - -,b6b4
r5k1/1b5p/pp1p2p1/2n1q1P1/2PpP1Q1/5N1P/PP4B1/3R2K1 b - -,e5e4
2r3k1/R3bp1p/4p1p1/3pP3/3P3P/q1p1QN2/2b2PP1/6K1 w - -,a7a3
7k/8/8/4pK1p/1B2P2P/P4P2/6b1/8 b - -,g2f3
r5k1/pp1nBppp/1nr5/3p4/b7/P1P1PN2/5PPP/1R2KB1R b K -,c6c3
r1b2rk1/1p5p/p3p1q1/6p1/P1B5/2BPQ1KP/1P4R1/8 w - -,g3h2
1R6/r4ppk/7p/1Bn5/3b1P2/P5PP/R5K1/8 b - -,g7g6
2qrrbk1/2p2Bp1/2n2n1p/pp2p3/8/P1PP1pNP/1P2QPP1/2BRR1K1 b - -,g8f7
6k1/1pp2pp1/2n1b2p/8/2QP4/1Pn4P/P4PP1/R1B1qNK1 w - -,c1d2
4r1k1/p1qb1rb1/1pn1p1p1/3pP2p/2pB1P1P/2P3PB/PPN1Q3/R4RK1 b - -,e8f8
8/8/3k1p2/5P2/r7/4R3/5P2/5K2 b - -,a4a5
4k1r1/5p1N/4pBp1/3nP3/pp6/1Ppb4/P1R2PPP/2K5 w - -,b3a4
8/6pk/6p1/4R1Pp/5p2/1r3P2/1P2K3/8 w - -,e5e4
r2q1rk1/pbpn2pp/1p1ppn2/8/2PPP3/2PB1N2/P1Q3PP/R1B2RK1 b - -,e6e5
r1r1k3/p3bp2/4b2p/3p2p1/N2Bn3/6P1/PP3PBP/2RR2K1 w - g6,a4c3
2q1n3/B5kp/3p2p1/3Qp3/r3P3/5P2/P5PP/4R2K w - -,a7e3
8/R7/6p1/3p1k2/5P1p/4P2P/1r4P1/5K2 w - -,a7e7
rnbq1rk1/ppp2ppp/3bpn2/8/2pP4/5NP1/PP1BPPBP/RN1Q1RK1 w - -,d1c2
r2r2k1/2q2ppp/p1bp1b2/1p2pP2/4P3/P1N1QB2/1PP3PP/R4RK1 b - -,c7a7
r2q1rk1/pp1b2n1/3p4/2pP1p2/2P2Pp1/P1N3N1/1P1Q3P/4RR1K w - -,b2b4
4r2k/1pb3pp/2pp1p2/8/1PPRrP1q/2Q1P1RP/6PK/2B5 b - -,e4e7
4rrk1/pp5p/3bb1p1/3p1qB1/3Q4/1B5P/PP3PP1/4RRK1 w - -,e1e6
8/p7/2P1p3/4P3/P6k/7p/5K2/8 b - -,h3h2
r1bqkb1r/p1pp1ppp/2p1n3/4P3/8/3B2Q1/PPP2PPP/RNB1K2R b KQkq -,d7d5
r7/3b1k2/1p2p3/bP1p1p1p/p2P1PpP/P2BP1P1/2RNK3/8 b - -,f7e7
3r1rk1/pbq3pp/4p3/2pnNpQ1/8/3B4/PPP2PPP/3RR1K1 w - -,c2c3
1r1rn2k/5Qpp/1p1b1p2/1Pp1pN2/4P3/2BP1qPP/5P2/1R1R2K1 b - -,b8c8
2r5/4kp1p/4p3/2P1n1p1/1P3bP1/P6P/K3B3/3R4 b - -,f7f5
rn1qk2r/1b2bppp/p2ppn2/1pp5/4P3/3P1NP1/PPP1NPBP/R1BQ1RK1 w kq -,b2b3
r2qkb1r/1p1n1ppb/p1p1p2p/2Pp3n/3P4/2N1PNB1/PP2BPPP/R2QK2R w KQkq -,g3h4
r2qnrk1/3bbppp/p3p3/1p1pP3/5B2/2N1P2P/PP3PP1/1BRQ1RK1 b - -,b5b4
r2q1rk1/pp2bppp/2n1p1b1/3pP3/3P4/2P1BN1P/P3BPP1/2RQR1K1 w - -,e2d3
1rbqk2r/2p2pp1/2np1n1p/1pb1p3/4P3/1BPPBN2/1P3PPP/RN1Q1RK1 b k -,e8g8:c5e3
r7/3k3r/1Rb5/1pPp1p2/3B4/4PKP1/8/3B4 b - -,a8a2
6k1/5pp1/4qn1p/1p6/p2B4/P1Rp2PP/1P1NbPB1/6K1 b - -,f6e8
1rq3k1/5pb1/1nP1r1pp/QN2p3/1Pp5/6PP/5PB1/R3R1K1 w - -,c6c7
r1bqk2r/pp2ppbp/2np2p1/8/2P1P1n1/5N2/PP1QBPPP/RNB1K2R w KQkq -,e1g1
r1b1k2r/1pq2pbp/p1nppnp1/2p5/4P3/2NPB1PP/PPP1NPB1/R2Q1RK1 w kq -,d1d2
r1b1k2r/1pq2ppp/p1p5/2b1P3/4P1n1/2NB1Q2/PPP3PP/R1B2R1K b kq -,e8g8
6k1/2b2p2/4p1pp/3r4/5P1P/PQ4P1/8/2K5 b - -,h6h5
R5k1/1p3p2/3N4/2P3pp/3P1n2/1r6/5K1P/8 b - -,g8g7
r4rk1/1p1n2pp/p3p1n1/q2p1p2/3P1P2/2PB4/PPQ3PP/R1N2RK1 b - -,d7f6
4k3/pp2b3/3N3p/2P3p1/8/1B2BK1P/P5P1/1r6 b - -,e7d6
r1b1k2r/2qnbppp/p1Npp3/1p4P1/4P2P/2N1B3/PPP2P2/R2QKBR1 b Qkq -,c7c6
r2q1rk1/1p3pb1/p2p2np/2p2n2/2P2B2/7P/PP1QB1PN/3R1RK1 w - -,e2d3
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/4P3/1B1P1N1P/PPP2PP1/RNBQK2R w KQ -,b1d2
6k1/1p1bpp1p/pB1q2p1/P7/B1p1P3/2P2P2/1P3QPP/2b3K1 w - -,b6c5
r2qkb1r/pp1b1ppp/2n1p3/1BppPn2/5P2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,b5c6
r1bq2rk/p3b1np/1pBp1n2/2pP1p2/1PP1pP2/P1N1B1NP/3Q2P1/R4RK1 b - -,a8b8
3q1rk1/p2rbppp/4pn2/2pP4/2p1P3/2N3P1/PP3P1P/R1BQ1RK1 w - -,d1e2
8/p3r2p/1p1k4/3p4/P2n1NPR/5P2/5K2/8 b - -,d4e6
2rq1rk1/pp2bppp/2N1p3/8/3PN3/3Q2P1/PP3PP1/R2R2K1 b - -,c8c6
1r3rk1/1pnqb1pp/2n2p2/p7/2PpNPb1/PP1P4/1BNQ2BP/1R2R1K1 b - -,f8e8
r3k2r/1pqnppbp/p1p1b1p1/2Pp4/N2P4/2BBP3/PPQ2PPP/R3K2R b KQkq -,e8g8
1q1r1rk1/pb1nnppp/1p1pp3/8/2P1P3/P1N2N2/1P2BPPP/2RQR1K1 w - -,e2f1
8/8/4p1p1/3pP1R1/5k1P/8/p7/Kb6 b - -,d5d4
r1bqk2r/pp1n1ppp/2p1p3/3p4/1bPP4/5NP1/PPQBPPBP/R4RK1 b kq -,b4d2
r3r1k1/pbqn2b1/2p2npp/1pB1p3/4P1P1/P1N2NQP/1PP3B1/3R1RK1 w - -,c5e3
3r1rk1/3q2b1/6pp/p2Pp3/PpB2p1Q/1P4R1/5PPP/5RK1 w - -,g3g6
r2qr1k1/pp1bppbp/1nN3p1/8/8/2N1P1P1/PP3PBP/1RBQ1RK1 b - -,d7c6
r4rk1/pb1nqp2/1p5p/2Pp2p1/4n3/P2BPNB1/1PQ2PPP/R4RK1 b - -,b6c5
2rqr3/1p2kpp1/p1n1p3/3pP1Q1/P2P4/6P1/1PB2PK1/2R4R b - -,e7d7
1r4r1/5k1p/2R1n3/1P6/2P5/2B2P2/6KP/2R5 w - -,g2f2
