8/4k3/2K1p1N1/3p2P1/3P1P2/8/4n3/8 b - -,e7f7
6r1/4kp1p/4b2P/p2n1p1R/2BPN1P1/P4P2/2PK4/8 w - -,c4d5
2r2k2/1p1n2p1/p4p1p/8/3P4/P1N1P1P1/1P2BP1P/6K1 b - -,b7b5
5rk1/5ppp/p7/3bN3/Pp1q1P1b/3P3P/1Q2R1PK/5R2 b - -,d4b2
rq2r1k1/1p3pp1/p1pQpn1p/2P5/N2P3P/5BP1/PP3PK1/3R4 w - -,a4b6
2r1r1k1/5ppp/1q1p1b2/p3n3/Pp2P3/1B5P/1P1NQPP1/3RR1K1 w - -,g1h1
4rrk1/5ppp/p1q2n2/1pb1nP2/2p4N/2P3P1/PPQB2NP/R4R1K w - -,h2h3
r3r1k1/pp2bppp/2p1pn2/8/3P3B/2PB4/PP2RPPP/1K1R4 b - -,f6d5
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N1BN1P/PP2BPP1/R2QK2R w KQ -,e1g1
1r6/1P6/8/p4kp1/3K4/P7/1R6/8 w - -,d4d5
r1b2rk1/1pqnbppp/p2pp3/8/2P1P3/P1NQBN1P/1P3PP1/2R2RK1 w - -,b2b4
6k1/1p1r1pp1/pBp1n2p/7b/PP2PP2/6P1/6BP/2R3K1 w - -,c1c2
4R3/8/1B6/P4npp/4k3/7K/r7/8 b - -,e4f3
3r1rk1/1pq2ppp/p3pn2/8/Pbp3b1/1nN1PN2/1PQBBPPP/3R1RK1 w - -,c3b5
2r2rk1/1p2qp2/p5p1/3p3p/3N4/1P2P2P/P2N1QP1/3R2K1 b - -,c8c3
r1bqk1nr/pp2ppbp/2np2p1/8/2B1P3/2P2N2/PP2QPPP/RNB2RK1 b kq -,g8f6
2q1r1kb/1p3p1p/1Bp2np1/p7/P7/2P3PP/1P1Q1PNK/R7 b - -,c8f5
2k5/7p/2PP2p1/3K2P1/7P/6b1/8/8 b - -,g3h4
r2qk2r/pppn1ppp/3bpn2/3p4/3P2b1/3BPN2/PPPN1PPP/R1BQ1RK1 w kq -,h2h3
R7/4B1p1/2p4r/3k4/3P2KP/2P5/2Pn4/8 b - -,h6e6
6k1/pp3pp1/4b2p/2pp3q/5P1P/1P1PB1P1/P1P2K2/5Q2 b - -,d5d4
r2qr1k1/pp3pbp/n4np1/2pP1b2/2Q2B2/2N2N1P/PP2BPP1/R4RK1 b - -,f6e4
r1b1k1r1/p3pp1p/2pp4/q3n1p1/4P1B1/2P1B3/P4PPP/R2QR1K1 w q -,g4c8
r4rk1/pb1nqpp1/4p3/1p4p1/3N3P/2RBP3/PP3P2/3QK1R1 w - -,c3c7
3r2k1/5p1p/1q2bQp1/p7/P4BP1/3r3P/5PB1/5RK1 w - -,f4e5
r1qr2k1/3n1p2/bp2pbpp/p7/2PPB3/4P1B1/3NQPPP/R1R3K1 b - -,a8a7
rnb2rk1/1pq3bp/2p3p1/p3P3/2P1Pn2/BPN2N2/P4PBP/R2QR1K1 b - -,f8d8
rnbq1rk1/pp2bppp/4pn2/3p4/2PN4/6P1/PP1NPPBP/R1BQ1RK1 b - -,d8b6
8/8/3p2P1/3Pk1r1/4B3/5K2/8/8 b - -,g5g1
2rr2k1/Rp1nppbp/6p1/4Nb2/2PP3q/4BBP1/5P1P/3Q1RK1 b - -,h4f6
8/5p1R/2knp3/2p1b3/ppP2p2/1P1K1P2/7P/6B1 w - -,d3c2
r1q1r1k1/ppp1bpp1/3p1n1p/3Nn3/2PN4/1PB3Pb/P1Q1PPBP/R4RK1 b - -,h3g2
r4rk1/1n2bppp/p1qp1n2/1p2p1Bb/4P3/2P2N1P/PPB1QPP1/RN1R2K1 w - -,b1d2
r1b2rk1/1p3pbp/p1n2np1/q7/2B5/2N1QN1P/PP3PP1/2BR1RK1 b - -,b7b5
3rr1k1/pb2bp1p/1p5B/3nppN1/2Bn4/P1N4P/1P3PP1/3RR1K1 w - -,e1e5
8/8/8/2p5/1p4K1/k1q5/8/1Q6 w - -,g4h5
r5k1/2p2pp1/pp6/2p1P3/5P2/2P1R2Q/Pq6/4K3 b - -,a8d8
2r2rk1/2qn1pp1/4p2p/p3P3/1p2R3/5N2/PPPRQ1PP/2K5 b - -,d7b6
7r/8/p1kprR2/1pp2R2/4P3/1P1P2Pp/1PP4P/6K1 b - -,e6f6
5rk1/4b1p1/2bN2q1/1p2Q2p/2p5/5P2/2P3PP/3RR2K b - -,e7f6
2rq1rk1/3bppbp/p1np2p1/1Pn5/3NP1P1/4B2P/PP1QNPB1/3R1RK1 b - -,c6d4
1r1q1rk1/4npbp/b1n1p1p1/pp2P3/2p2P2/B1P2NP1/P1NPQ1BP/1R3RK1 b - -,d8d3
8/5K2/1R5P/8/2p5/2P5/1Pk3r1/8 w - -,h6h7
rnr2bk1/7p/p4pp1/1p2p3/4P3/1P2B3/1PN2PPP/RK1R4 b - -,g8f7
r2q1rk1/1n2bppp/p1p1b3/1p1p4/5B2/1BP2N1P/PPPQ1PP1/3RR1K1 w - -,f3e5
r1bnk2r/2p2pp1/pb3n1p/1p2p3/4P3/1BP2N2/PP3PPP/RNB2RK1 w kq -,f3e5
r1r3k1/ppq1p1bp/2npp1p1/8/1P2PP2/P1N1B2P/2PQ2P1/3R1RK1 w - -,c3b5
3rkb1r/pp3p2/2n3p1/2ppPn1p/2q2P2/P1N2N2/5BPP/1RQ2RK1 w k -,b1b7
6k1/N4b2/6pb/1pP1p2p/1P2Q3/P2N3P/3q2PK/8 w - -,c5c6
2rr1nk1/p3q1pp/1p1bpp2/2p5/2PPQ3/BP3N2/P2R1PPP/3R2K1 w - -,d4c5
r3kb1r/3n1p2/pq4pp/1b2p2P/1p2Q1P1/1N3PN1/PPP5/2KR1B1R b kq -,b5c6
1r2k3/2q2pbr/1pPp2p1/p2Bn2p/P7/4B2P/1PP1Q1P1/R4RK1 b - a3,e8f8
6k1/5p1p/6p1/pB6/Pp6/6P1/1P2PP1P/3n1K2 b - -,d1b2
rnb1k2r/pp3ppp/4p3/qN4B1/2BQn3/2P5/P4PPP/R3K2R b KQkq -,e8g8
2rb1k1r/p4p1p/3N2p1/P2R4/8/5P2/5P1P/6K1 w - -,d6c8
8/3k4/3p4/8/5PN1/4P1K1/5PR1/6q1 b - -,g1d1
2q1rn2/2p1r1kp/1pb2p2/2p3p1/1P2P3/1B2QPB1/3R2PP/3R2K1 w - -,b4c5
r1b2rk1/pp1nbpp1/1Q2pn1p/3p4/2pP3B/2PBPN2/PP1N1PPP/R4RK1 b - -,d7b6
R7/6K1/3Pk3/4P1P1/7r/8/5p2/8 w - -,a8e8
r2q1rk1/1bpnbppp/p3pn2/6B1/Pp1P4/4PN2/1P2BPPP/1NRQ1RK1 b - -,c7c5
2r2rnk/3bqpb1/6pp/P1p4n/1p1pP3/BQ1P1NP1/6BP/RR1N2K1 w - -,a3c1
2n1q2r/5rk1/1pRp2p1/pP1Pp3/N3PnQp/4B2P/P5P1/3R2K1 b - -,h8f8
r1bq1rk1/p4ppp/1p1bpn2/3pN3/3P4/1P1n4/PBPNQPPP/R4RK1 w - -,e2d3
1r6/5ppp/4k3/4P3/8/8/1P2R1PP/5K2 b - -,h7h5
8/2k5/5p2/1p2N3/2p1R3/3n3P/7P/6K1 b - -,f6e5
8/1n4kp/5p2/pb6/Np6/1Bp5/P4PPP/3K4 w - -,d1c2
8/5Bp1/1p4P1/1n6/4k3/K6P/P7/8 w - -,a3b4
3rr1k1/1bp1qpp1/p1n4p/1p1np3/8/PBPP1NN1/1P2QPPP/3RR1K1 b - -,d5f4
8/p3kp1p/p4p2/8/3P4/4N2P/bP3PP1/6K1 w - -,g1f1
3n4/1p3p2/3k3p/pP1p4/5P2/P2BK2P/8/8 w - -,e3f3
4r1k1/1p3pp1/2p5/Q2n1qn1/P2Pp3/BP2P1P1/5PB1/3R2K1 w - -,a5e1
5k2/p3p1b1/1p5p/2p1pP2/4N3/1PPrB3/P5PP/R5K1 w - -,g1f2
r3r1k1/1pp3p1/1b1p3p/p2P1pqP/3PP1b1/2B2BP1/PP2Q3/2R1R1K1 w - f6,f3g4
3r1rk1/ppq2ppp/5bn1/3p4/6b1/1Q3NP1/PP1BPPBP/2R2RK1 b - -,c7d7
r1bqr1k1/pp1n1pp1/2pb1n1p/4p3/2BP3B/2N1PN2/PPQ2PPP/R4RK1 w - -,c2g6
8/3R4/5k2/p3rnp1/8/1B5K/P4P2/8 w - -,d7f7
3r4/R3np2/1pBk2p1/1P2p2p/7P/4PKP1/5P2/8 w - -,a7b7
r2r1bk1/ppn2ppp/5n2/2Pp4/1P1P4/3NN1P1/1B2KP1P/R3R3 w - -,d3e5
1r6/6p1/p1k5/P2pbp1p/1pn5/1N2P1PP/RPK2P2/2B5 w - -,h3h4
5rk1/qb1n1ppp/r1pnp3/3p4/P2P4/RNN3P1/2Q1PPBP/R5K1 w - -,a3a2
r1b2rk1/1pqn2b1/p2ppnpp/2p5/2P1P2B/1NN5/PP1QBPPP/R3K2R b KQ -,d7e5
rnb1r1k1/pp1npp1p/6pB/2P5/8/2P1P3/P4PPP/3RKBNR w K -,f1b5
4r3/4qbpk/pb1pp1p1/1p6/1P2PNQP/2P2RPB/P5K1/8 w - -,h4h5
r4rk1/pbpnqpbp/1p1p2p1/3P4/4PP2/P1N1B2Q/1PB3PP/R4RK1 w - -,a1d1
r2nk2r/1ppbqppp/p2p4/3Pp2n/P1B1P3/2P1RN1P/1P3PP1/RN1Q2K1 w kq -,g2g3
r2qkb1r/1b1n1ppp/p4n2/1pppN3/3P1P2/2NBP3/PP4PP/R1BQ1RK1 w kq -,d1f3
r1r2k2/1p2b1pp/p2Bppb1/n7/P3P3/2N2P2/1PK1B1PP/3R3R b - -,g6f7
3R2k1/p4p2/4p1p1/2b4p/2P1B3/1P3P2/P3r1PP/1K6 b - -,g8g7
2r5/p4k2/2P5/1P1r3N/5pp1/8/PB3PP1/2R3K1 w - -,h5f4
3b2r1/1R6/k7/N1p5/PP2p2p/2P4P/4K1P1/8 w - -,b7b8
1r3nkr/5qp1/2R2b2/3Nn1p1/1PBp2P1/7P/Q2B1P2/4K2R b K -,e5c4
1r2r1k1/6pp/2p1qn2/1pbpn3/8/1BP2P2/1P1NQ1PP/R1B2R1K w - -,b3c2
5bk1/1p2pp2/1q1p3p/pNr3p1/2P1P3/N4PP1/7P/1R4QK b - -,b6c6
1r6/R2bqpk1/1p3rp1/p2Pp2p/4P2P/PPQ3P1/6BK/5R2 w - -,f1f6
6k1/6bp/8/2q2p2/2Pp4/3Pp1PP/1pB5/4QK2 w - -,f1e2
8/pppb2k1/3p3p/3P4/2B1r1p1/1P4P1/P4PK1/3R4 w - -,d1d2
2rq1rk1/pb1nbpp1/1p1ppn1p/2p5/2PPPB2/2N2NP1/PPQ2PBP/3RR1K1 w - c6,d4c5
2rq1rk1/1p2ppbp/3p2p1/pb1P3n/Pn1BPP2/2N1Q2P/1P4P1/1B1R1RK1 w - -,a4b5
8/6pp/3k4/8/P3p3/2RbK1P1/2p4P/8 w - -,a4a5
3r1k2/1ppr1p1p/1p2p3/3P1p2/2P2P2/PPR5/3R1KPP/8 b - -,c7c6
r4rk1/1p3ppp/p1qp4/5b2/P2Q4/2R5/1PP2PPP/R1B3K1 b - -,c6e4
r1b1rbk1/1pq2ppp/p2p1n2/4pN2/P1n1PP2/2N2B2/1PP3PP/R1B1QR1K w - -,f5e3
8/6b1/4p1k1/5pP1/5r2/3r4/P1R5/2K4R b - -,d3c3
rnbqkb1r/3ppppp/5n2/1BpP4/8/4P3/PP3PPP/RNBQK1NR b KQkq -,c8a6:d8a5
r5k1/pp1q1pp1/2pb3p/3p4/3Pn2r/3Q4/PPPBNPKN/R6R w - -,d2e1
2r2rk1/pbqnbppp/1p1ppn2/2p5/2PP4/1PNBPN2/PB2QPPP/2RR2K1 b - -,f8e8
r3k2r/pb1nppbp/3p2p1/pN1n4/2qB4/2P2NP1/1P2PPBP/R2Q1RK1 b kq -,c4b5
1qb3k1/5pb1/2p1p1p1/1r1pP2r/p2P1P1P/R4NQ1/PPP5/2K1B1R1 w - -,e1c3
6qk/5p1p/5P2/pp5Q/7R/P5PP/3r2BK/8 w - -,h5h6
3b4/p5p1/3kp2p/5p2/1p1P1P2/3K2PP/PP6/3B4 b - -,g7g5
r4b1r/pp1k1ppp/2p1b3/2nNP3/4P3/P3BP2/1P4PP/R3KB1R w KQ -,d5f4
6k1/2p2qb1/1pNp1npp/1Pn2p2/2P5/3PP2P/1BQKNPP1/8 b - -,g6g5
r2qk2r/pbppnppp/1pn5/2b1p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR w KQkq -,a2a3
1B3rk1/p3qp1p/1n4p1/1B1p1P2/2p5/bP6/P1Q3PP/1K1R1R2 b - -,f8b8
2r3k1/5ppp/4pn2/r2q4/p1pP1P2/PpP3P1/1P1NQ2P/R3R1K1 w - -,d2e4
1rb3nk/6pp/3qp1n1/3p4/6P1/2P1Q1NP/6B1/3R1R1K b - -,c8a6
2rr2k1/6pp/1p6/p3p3/4P3/P1B3P1/1PR2P1P/6K1 w - -,c2e2
4k3/pp3pbp/4p1p1/1r2P3/1P3B2/P2R2P1/5P1P/6K1 w - -,f4e3
r1q1kb1r/p2p1ppp/np2pn2/8/2PN4/1P4P1/P3PPKP/RNBQ1R2 w kq -,c1b2
r1b1kb1r/1p2pppp/pqnp1n2/8/4P3/1NN2P2/PPP3PP/R1BQKB1R w KQkq -,d1e2:c1g5
2kr1b1r/pp2pppp/2n5/1N1q1b2/3N2n1/2P1B3/PP3PPP/R2QKB1R w KQ -,d1f3
2rr2k1/pp1qppbp/6p1/2Pn4/3P1n2/1Q2NN2/PB3PPP/2R1R1K1 b - -,d7c6
7r/1p6/p3k3/4p3/5pP1/2P1pP2/PP2K1n1/3R1N2 b - -,h8h3
r1b1r1k1/1pq1bppp/p2ppn2/n7/2PNP3/1PN1B3/P3BPPP/2RQ1RK1 b - -,b7b6
rr4k1/p1nb1p1p/3qp1p1/1P1pB3/8/1QN1P2P/P3BPP1/2R2RK1 b - -,d6e5
rn5r/2qpkBpp/p4n2/1p2p3/4b3/B1PQ1N2/P1P2PPP/R4RK1 b - -,d7d6
r1b3k1/pp1nr1p1/4pp1p/3p4/3P4/2RBPN2/PP1K1PPP/7R b - -,d7f8
1r1r2k1/1b1qbppp/ppnppn2/8/2P1P3/1PN1N1PB/PB3P1P/2RQR1K1 b - -,d7e8
r1bqk2r/pp1nppbp/6p1/2p5/Q2PP3/2P2N2/P4PPP/R1B1KB1R w KQkq c6,f1e2
1r2k3/p4pb1/4p3/3p2P1/P6R/1P6/3B2P1/3K4 w - -,d1e2
2r3k1/5p1p/p7/8/1P3P2/6P1/P2p2P1/3R2K1 w - -,d1d2
rnb1kbnr/pp1pp1pp/2p5/5pB1/3PP3/2N5/PqP1NPPP/R2QKB1R b KQkq -,d7d6
r1bqk2r/pp1p1ppp/2n2n2/4N3/2PPp3/P1b5/1P3PPP/R1BQKB1R w KQkq -,b2c3
2r2rk1/2q1ppb1/p6p/1p3Q2/2n2P2/2PN1B2/PP3RPP/4R1K1 b - -,e7e6
8/R7/1r6/8/pk6/1p6/3K4/8 w - -,d2c1
rn1q1rk1/ppp2pbp/5np1/3Pp3/2P1P3/2N2B2/PP4PP/R1BQK2R b KQ -,c7c5
2R2bk1/1p3n2/pq1p4/3P1Q2/6r1/1P4p1/P5K1/1B6 b - -,b6f2
2r2rn1/p2q1nbk/1p1p2pp/3Npp2/8/PQ1PP1Pb/3N1P1P/BRR3KB w - -,a1b2
2rq1rk1/1b2bppp/ppn2n2/2pp4/3P4/PPN1PN2/1B2BPPP/2RQ1RK1 w - -,d4c5
r2qr1k1/1p1nbpp1/2p2n1p/p2p1B2/3P3B/2N1P3/PPQ2PPP/1R3RK1 w - a6,b1c1
3r1b1r/ppk3pp/4p3/3pP3/P1p2B2/1n2PP2/1P4PP/3RKB1R w - -,f4g5
8/8/8/4q1p1/8/2k1p2P/4Q1P1/6NK w - -,g1f3
4r3/1p1r1kp1/p1p2p1p/4pR2/4P3/1P1P3P/1PP3PK/5R2 b - -,f7e6
8/3k4/8/3P1p2/P4Pp1/3P2Pp/r6P/2R3K1 b - -,d7d6
4b1k1/p3p1b1/r2pP2p/q1pP1B2/2P2Pp1/1Pp3P1/P1Q1R1P1/2K4R b - -,a6b6
rnbq1rk1/ppp1ppbp/6p1/3N4/2PP4/4PN2/PP3PPP/R2QKB1R b KQ -,c7c5
rnbq1rk1/1p2b1pp/2pppn2/p4p2/2PP4/1PN3PN/PB2PPBP/R2Q1RK1 b - -,b8a6
3r3k/pp4pp/1b6/4nr2/2Pp4/1P4B1/P2N1PPN/3R2K1 w - -,d2e4
8/5p2/R6p/4P1pk/4Kr2/5P2/8/8 w - -,e4e3
r4rk1/3p1ppp/4pn2/1qn5/1p6/PN4P1/1P1NPP1P/R2Q1RK1 w - -,b3c5
8/P7/q2K4/8/8/4Q2P/1k6/8 w - -,d6e5:d6c7
7R/8/5p2/4k3/1pr2p2/5K2/PP6/8 w - -,h8h5
r1b3k1/2p2qp1/p1n1p2p/4R3/2p1Q3/P1B2P1P/1P4PK/2R5 b - -,c8d7
rn1qkb1r/p1n2ppp/1p1pp3/4P3/2PP4/B2Q1N2/5PPP/RN3RK1 w kq -,d4d5
3r1rk1/pb2bppp/1qnppn2/1Np5/2P2B2/P4NP1/1PQ1PPBP/R2R2K1 b - -,c6d4
qr4k1/2rnbpp1/1p1pp2p/pP6/P1PQN3/4BPP1/4P2P/2RR2K1 b - -,b8d8
2rqr1k1/pp3ppp/5b2/2Bp4/4n3/2P2N2/PP2RPPP/R2Q1NK1 b - -,c8c5
8/8/4r3/6P1/8/2kp1NK1/6R1/8 w - -,g3f4
r2qr1k1/1p1b1ppp/2pb1pn1/p1P5/3P4/4BNP1/PP1Q1PBP/R2R2K1 b - -,d6f8
1r4k1/q5p1/2p1p1p1/3p1p2/1bnP1P2/5PP1/7P/Q1R1BBK1 b - -,a7a1
2rqkb1r/pp1bpppp/2n2n2/3p4/3P4/2P2N2/PPQNBPPP/R1B1K2R b KQk -,g7g6
r1r3k1/1p2bppp/p1n1bn2/q5B1/2pP4/P1N1P1P1/3N1PBP/R1Q2RK1 w - -,g5f6
2r2rk1/p5pp/2q5/1p1pBp2/3Pn3/2PR3P/P1Q2PP1/2R3K1 w - -,c2b1
8/1prbr2p/p3pk2/P3Rp2/2B2P2/1PR5/2P2KPP/8 w - -,c3h3
3r4/1pqk2pp/3n4/4p3/PQbpPP2/8/6PP/R1R3K1 b - f3,d8e8
8/3R2pp/2p2p2/2Pb4/pPkP1P2/8/1P3KPP/8 b - -,c4d4
r3k2r/1bq2ppp/p1pbpn2/1p6/4P3/2N1BB2/PPP2PPP/R2QR1K1 w kq -,g2g3
br2nbk1/5p2/p2pp1p1/qr4P1/2p1PB2/P4P2/NPPQN3/KR1R4 w - -,e2c3
r1b1kb1r/1pq2ppp/p1p2n2/4p3/4P3/2NB4/PPP1QPPP/R1B2RK1 w kq -,g1h1
r1bqk2r/1p2bpp1/p1n1pn2/2ppN2p/4PP2/2NP4/PPP1B1PP/R1B1QRK1 b kq -,c6d4
r6r/p3kpp1/bnqNp2p/4P3/2pP1P2/1n3N2/2Q1BKPP/1R5R b - -,a6b5
4B3/7p/4pp1k/3q1p2/3P3P/4P1n1/1R3P2/2R3K1 w - -,f2g3
5k2/1p3p2/2p2np1/2P5/4NPp1/1P4P1/r7/4R1K1 b - -,f6e4
r4r2/2p4k/7p/3pPp1q/Pp2pP2/1P1bP3/3Q1R1P/R1B3K1 b - -,c7c5
r5k1/p6p/3Bp1p1/8/r5nP/8/1b2NKP1/3R3R w - -,f2f3
r3kb1r/ppp2ppp/3q1n2/4p1Nb/2Bn4/3P1P2/PPP3PP/RNBQ1RK1 b kq -,h7h6
bqr2rk1/4bppp/p1npp3/2p5/2P1P3/N3BP2/PP2B1PP/2RRQ1K1 w - -,b2b3
r2qk2r/1p1n1ppp/p2p4/3Ppbb1/8/1N1BBP2/PPP3PP/R2QK2R w KQkq -,e3f2
7k/1p5p/4Rn2/P2PNnb1/3BN1p1/6P1/7P/2r2BK1 w - -,e4g5
8/8/8/p7/k1K5/8/8/8 w - a6,c4c3
r4rk1/1b2bppp/pp1qpn2/4N3/P2P4/2PB4/3BQPPP/R3R1K1 b - -,d6d5
3rr2k/1pq4p/p5pb/2Pbpp2/8/3B1P2/PPQN2PP/3R1R1K b - -,c7e7
r1bq1rk1/p3bppp/2n1pn2/1ppp4/4P3/2PP1NP1/PP2QPBP/RNB2RK1 w - b6,e4e5
2r5/Rp4p1/1Rb5/2Pp1k1p/p2PpP1P/4P1P1/P4K2/8 b - -,c8b8
8/8/8/1Pn5/Pk6/1P6/1K6/8 w - -,b5b6
bk1rr3/2q2p1p/1np2np1/1BN5/3Rp3/2N1QPP1/1PP4P/1K1R4 b - -,a8b7
1q1r2k1/pp1rbppp/2n1p1b1/2N5/N2P2P1/P3PR1P/1P4B1/R2Q2K1 b - -,d7d5
1rbq1rk1/1pn1ppbp/p2p2p1/2pPn1B1/2P1P3/1NN2P2/PP1QB1PP/R3K2R w KQ -,f3f4
2r3k1/1p2qrbp/p3p1p1/2p1n3/4Q1P1/1PP1B2P/P4PB1/R4RK1 w - -,a1d1
5r2/p3pkbp/6p1/n1rp4/5B2/2P1P3/P3BPPP/2RR2K1 w - -,e3e4
rn1qkb1r/p2p1ppp/bp2pn2/2p5/2PP4/5NP1/PPQ1PPBP/RNB1K2R b KQkq -,b8c6
r1rq2k1/1b1n1pb1/1p2p1pp/pP1pPn2/P2P4/B2B1N2/4NPPP/R2Q1RK1 w - -,d1d2
rnbqk2r/pp1pp1bp/2p2np1/5p2/3P4/1QP3PN/PP2PPBP/RNB1K2R b KQkq -,d8b6
r1r3k1/5pp1/2pBn1q1/ppP2n1p/P3Q3/1N6/1P3PPP/2R1R1K1 b - -,e6g5
1r3rk1/2qnppbp/b1np2p1/2p3P1/pp2PP1P/3P1NN1/PPP2RB1/1RBQ2K1 b - -,c6d4
1rb1k2r/3p1pp1/2p2n2/q1b1p1Bp/p1B1P3/P1N2P2/1PPQ2PP/K2R3R w k -,f3f4
1r1nnrk1/4q1pp/3p4/pbpPpp2/5P2/PP2P2P/1BQNB1P1/2K1R2R w - -,e2b5
3q1r1k/p1r1b1pp/Q7/1pp1P3/P1bp4/6P1/1B3PBP/R2R2K1 b - -,c4d5
r3k2r/1p1nqpp1/p2p1n1p/3Pp1B1/8/5Q2/PPP2PPP/2KR1B1R w kq -,g5e3
4r3/1p5R/8/2p1n1k1/2P3p1/1P1B3p/1K5P/8 w - -,d3e2
3kbR2/1r6/8/1p2R3/1Pp5/2P5/1K6/8 b - -,b7e7
r1b1k2r/pp2bppp/1qn1pn2/3p4/4P3/1NN3P1/PPP2PBP/R1BQ1RK1 b kq e3,d5e4
r1br4/p2nkpbp/1pp3p1/4p3/1P2P3/2N1BP2/P1PRN1PP/2KR4 b - b3,c8b7
r1b4r/5p2/3p1kp1/p1pPn3/PpP1Pp1p/1P5P/4BPPN/3RR1K1 w - -,h2f3
1k6/8/P6p/1K4PP/5p2/5B2/5b2/8 b - -,h6g5
