8/R6k/6p1/4B3/4P2p/5B1P/4K1P1/2q5 b - -,h7g8
1rb2rk1/2qnppbp/3p2p1/1p6/1P1pPP2/4B1PP/2P1N1B1/1R1Q1RK1 w - -,e2d4
8/pp3pp1/2pk1r2/4n1p1/8/2K3PP/PPP1RPB1/8 b - -,e5f3
5n2/5kp1/1B2nP1p/P4N1P/2R5/6P1/5K2/r7 b - -,f7f6
r1b2rk1/1pqp1ppp/p3pn2/4n3/1b2P3/1NN3Q1/PPPB1PPP/R3KB1R w KQ -,e1c1
2rq1r2/1pp1np1k/p3b2P/4b1p1/3p4/P2P1NN1/1P1Q1PP1/R3K2R w KQ -,f3e5
6k1/1p4r1/pn3r2/2Bp2R1/8/1P6/2PR2PK/8 w - -,g5g7
8/6p1/5pk1/7p/4R2P/3q1PP1/4R1K1/8 w - -,g3g4
r4rk1/pp1n1ppp/2pbp1b1/3p4/3P3B/1PP1PB2/1P1N1PPP/R3K2R w KQ -,e1g1
8/pp6/2p5/4pkpp/P7/2R2K1P/1PP2PP1/3r4 b - -,d1d4
2Bq2k1/ppn2pb1/2p5/2P1p1p1/1P4Q1/P3P1B1/5PP1/6K1 b - -,b7b6
6k1/pp2p2p/3p1npQ/5P2/2q1P3/5P2/P3K3/7R w - -,e2e3
4r1k1/3R1pp1/p5P1/1p2P3/2p1Q3/6PK/P4q1P/8 b - -,e8f8
8/5k1p/1p1P1p2/pB2pP2/Pn2P2P/1K6/8/8 w - -,b3c4
6k1/8/4N2R/8/7P/3K2P1/5r2/6n1 w - -,g3g4
r1b1k2r/pp3p2/2B1p1pp/q1ppP3/3P2Q1/2P2N2/P1PK1PPP/R6R b kq -,b7c6
1Bb2k2/1p2bppp/p1p3n1/P7/1PB1N3/5P2/5KPP/8 w - -,b8d6
r1N1R3/pp2Bp1p/2p3p1/4bk2/2P1n3/8/P3rPPP/1K1R4 w - -,d1d3
2rq1rk1/ppp1pb2/6pp/4Qp2/3PP3/2P5/PP1N2PP/R4RK1 b - -,e7e6
6k1/q7/5p2/1B1p1bp1/Pb1P4/1Pr3B1/R4PP1/3Q2K1 b - -,a7h7
rnbq1rk1/pp2ppbp/2p3p1/8/3PP3/2P1BN2/P2Q1PPP/R3KB1R b KQ -,b8d7
2br2k1/1p3p1p/1qn1pbp1/3P4/4P3/r1N5/P2QBPPP/2NR1RK1 w - -,c3b5
6k1/p2bqppp/8/2p4r/2B5/P3rP2/1B5P/3R1Q1K b - -,d7c6
8/p3k2p/6pb/2N1p3/1P2n3/6P1/r6P/3R3K w - -,c5e4
r2q1rk1/pp3pp1/1n1b1n1p/3Pp3/8/1BN2Q1P/PP3PP1/R1B2RK1 w - -,f1d1
4rbk1/1bqnrp2/2ppnBpp/p7/PpP1N1P1/4P2P/1PQRNPB1/3R2K1 b - -,d6d5
r2r2k1/p4p2/Rp2b1p1/2p5/1P1pP2N/2PPnR2/1P4PP/7K b - -,e6g4
rn2k2r/pp4bp/2p1qnp1/4p3/1P1p4/3P4/P1PNNPPP/R1BQ1RK1 b kq -,e8g8
4rrk1/2np3p/3qp1p1/p1pPRp2/B1P2Q2/P1P3PP/5P2/4R1K1 b - -,e8b8
3r2k1/1p2q1r1/pnp1pn2/4Np2/2PP3Q/1PN3R1/P5PP/4R1K1 b - -,b6d7
r5k1/4qN1p/1p4p1/2p1b3/b3P3/1Q3P1P/4B1P1/3R2K1 w - -,b3d5
5k2/4bp1p/pp2p3/4P1p1/8/P3PP1P/1PN5/6K1 w - g6,c2d4
8/4n3/4k3/5p2/4B3/2P2RP1/5PK1/2r5 w - f6,e4b7
r1b1kb1r/2q2pp1/p3pn2/3pn2p/1p2PB2/1N1B3P/PPP1NPP1/R2Q1RK1 w kq d6,e4d5
5k2/3R4/2B4r/2K5/8/8/8/8 b - -,h6f6
6k1/1pb1q3/2b2rPp/3pBp2/p2P1P2/P3QB2/1P2P1K1/6R1 b - -,f6g6
rn1q1rk1/ppp1bppp/3p1n2/8/2BPPpb1/2NQ1N2/PPP3PP/R1B1K2R w KQ -,e1g1
2r4k/6bp/5pp1/3Q4/5q2/2P2P2/P3rN1P/3RB1K1 b - -,c8e8
r1bq1rk1/pp3pbp/1nn1p1p1/3pN3/3P1P2/1PN1B1P1/P3P1BP/R2Q1RK1 b - -,c8d7
r4rk1/2q2ppp/p2p1n2/p3p3/1nPP4/R1N1P3/4BPPP/3Q1RK1 b - -,e5d4
6k1/2p2p2/R2p4/1r1R4/4N3/6P1/1b3PP1/6K1 b - -,b5d5
2r1r1k1/4q1bp/p2p2p1/1p1Pnp2/1Q6/P1B4P/1PP3P1/3BRR1K w - b6,b4a5
5rk1/N4ppp/p4q2/2b5/1p6/1Q6/1P2RPPP/R5K1 b - -,f6b6
1r1nr2k/2qn1p1p/pp1ppP2/2pP3Q/P1PbN3/1P4PB/3BR2P/5R1K b - -,e8g8
8/8/2k5/R7/1P3K2/P1r5/8/8 b - -,c6b6
3r1rk1/ppq2pp1/2p1pn2/4RP1p/3P3P/2P2Q2/PP1B2P1/1K1R4 b - -,f6g4
r1b2rk1/1pppqppp/2n1p3/p7/2PP4/2n2NP1/PP2PPBP/2RQ1RK1 w - -,c1c3
8/4Rqk1/pBQ2bp1/Pn3b2/1p6/8/1P1R1PPP/6K1 b - -,f7e7
r1b1kq1r/ppp2pp1/1bn2n1p/8/2BpPB2/NQ3N2/PP3PPP/2R2RK1 w kq -,c4d5
1r2r3/5pkp/6p1/2pP3P/2p2Q2/8/1q3P1P/R3R1K1 w - -,h5h6
2r1kb1r/1pq2pp1/p2pbn1p/4p3/2n1P1P1/1NNBBQ1P/PPP2P2/2KR2R1 w k -,c3d5
r1bqkb1r/pp1n1pp1/2n1p2p/2ppP3/3P1P2/2PB4/PP1NN1PP/R1BQK2R b KQkq f3,d8b6
r4rk1/pbqn1ppp/1p1ppb2/8/1PPNP1n1/P2B4/1B1NQPPP/2R2RK1 b - -,g4e5
r3k2r/1bqnbppp/pp2pn2/2p5/P1BP4/1PN1PN2/1B2QPPP/R2R2K1 b kq -,e8g8
1nq3k1/1p3pp1/1B2n2p/P1pBP1bP/2P2r2/P7/6PN/4QRK1 b - -,b8c6
2r2r2/4b1kp/pq2Ppp1/1p6/5BnP/P2p4/BP1Q1PP1/2RR2K1 w - -,b2b4
8/8/3b1k2/1B2pp1p/6p1/6P1/1B3K2/8 b - -,f6g5
4R3/5p2/2p1b3/1p6/1P3k1p/2P3p1/6K1/8 b - -,h4h3
4rrk1/2N2pbp/1p1p2p1/pPn5/2Q1PP2/4n1P1/P5BP/2R2RK1 b - -,e3c4
4r3/3k1ppp/2p5/1r1bPP2/p1p2KP1/B1P4P/P2R4/4R3 b - -,b5b8
5r2/p1r2pkp/4R1p1/3pP1PP/Pq1P4/1Pp5/2P2Q2/5RK1 b - -,f7e6
4B3/6k1/1p6/1PpPb1Bp/2n3pP/6P1/5K2/8 w - -,e8h5
2kr3r/1p6/pq3p2/8/2ppPQ1p/2P5/1P1R1PPP/5R1K b - -,h4h3
