8/8/4p3/2Pk1p1p/3PpP2/4Pn2/5BK1/8 w - -,g2h3
3b4/p2p4/1pb1p2p/2p3pP/2PkPpP1/P2P4/1PBK4/4R3 w - -,c2d1
2kr1q1r/1pp5/p1nb1p2/4pNpp/1p1PP3/2P1BP1P/P1Q2P2/R2R2K1 b - -,g5g4
2r3k1/5pbp/p5p1/1p2P3/1P1R1B2/6P1/5P1P/6K1 w - -,d4d6
2r3k1/2r1p1np/pq1pb1p1/1p4P1/4PP2/2NB4/PPPQ4/1K1R3R b - -,c7c3
r5k1/ppp4p/7P/2PpP1p1/3nr3/8/PP1KB3/6RR w - -,g1g5
r4rk1/2p3pp/1pn3n1/1b1p4/Q2P1pP1/2B2N1P/PP2qPB1/R4RK1 w - -,a4d1
4rr2/2p3pk/p2q3p/np3p1Q/3Pp3/P1P3P1/1P5P/1K2RB1R w - -,h5d1
1r5k/2p3p1/3p2q1/2p1bb2/2P4P/1P3PB1/6KP/3QR1N1 b - -,f5c2
r4b1k/4r2p/pR1p1n2/P1pP3n/2P2P2/2N2B1P/3BN2K/8 w - -,h2g2
r4rk1/pp1bppbp/2np1np1/q7/3NP3/1BN1BP2/PPPQ2PP/R4RK1 b - -,f8c8
8/8/8/1k1Pp3/p1p1Pp1p/5P1P/2K5/8 b - -,a4a3
1r3rk1/1p1bqpb1/pN1p3p/P1pPn1p1/8/2B2PP1/1P1QP1BP/R3R1K1 b - -,d7b5
3rrnk1/p1p4p/1p2pqp1/8/6QR/3B4/PPP2PPP/5RK1 w - -,b2b3
4r2k/2q5/pp1p1n2/3PPr1p/P1p4b/4Q2P/1PPBN2K/R4R2 b - -,f5e5
2rr2k1/5pp1/p3p3/1p1b3Q/8/1PqB1P2/P1P3PP/1K1R3R b - -,g7g6
8/5kp1/p4r2/P5R1/r3P2P/5KP1/8/4R3 w - -,f3g2
r1bq1rk1/2p1n1b1/1pn3p1/p2p1pPp/P2P1P1N/2P3NP/1P4B1/R1BQR1K1 b - -,d8d7
8/pp6/8/3p2p1/b1pP2k1/2P1K3/P1P5/4N3 w - -,e3f2
r4rk1/1bq1b1pp/p1n1p3/1pPpPp2/PPpB1P2/2P2N2/2Q1B1PP/R4RK1 w - f6,e5f6
r2qkb1r/pp1npp1p/2p2p2/5b2/2BP3N/8/PPP2PPP/R1BQK2R b KQkq -,f5g6
r4nk1/ppq2pp1/2p2np1/2Pp4/3P4/3B1NP1/PPQ2PP1/4R1K1 w - -,b2b4
r5k1/1p3ppp/p7/B7/N1P5/8/PP1r1PPP/5RK1 b - -,d2c2
4k1r1/pp2bp1p/2p1p3/5r2/2P1NP2/8/PP4PP/3R1RK1 b - -,e6e5
r4rk1/pp2qppp/2pbpn2/6B1/2PP4/3Q3P/PP2BPP1/R2R2K1 b - -,h7h6
r2q2k1/1br2pp1/2p1p2p/1pP1P3/1P1PB2P/3Q2P1/R7/R5K1 b - h3,c7d7
2rqr1k1/3b1p1p/p1Pn1np1/1p2p3/4P3/5PN1/PPRQBNPP/4K2R b K -,c8c6
3r2k1/3b2pp/8/2p5/2Bb1P2/4NK2/6PP/4R3 b - -,g8f8
1k6/p2q4/1p2p2p/3pP1pP/3Q2P1/P4r2/1PP3N1/1K2Rb2 w - -,g2e3
2rr2k1/p4p1p/qp2p1p1/3pN3/3P4/bP2P1PP/P1RQ1P2/R4bK1 w - -,a1f1
8/1p3pk1/p6p/6p1/4r3/1P6/1PP2KPP/3R4 w - -,d1d7
r4rk1/pp3Rp1/4p2p/4N3/5Q2/6P1/Pq2PP1P/6K1 w - -,g3g4
5rk1/5pbp/p2p2p1/qbrPp3/1R1pP3/1P1P4/2BB1PPP/1Q1R2K1 w - -,b4c4
rn1q1rk1/pp2bppp/2p2n2/3p4/3P1B2/2NQP3/PP2NPPP/R3K2R w KQ -,g2g4
6k1/ppQ2p1p/1n4p1/3q4/P7/1P3N1P/5PPK/8 w - -,c7b8
r2qk2r/1p3ppp/pnn1b3/4p3/Nb6/6P1/PP1BPPBP/RN1Q1RK1 b kq -,b4d2
r1b1r1k1/ppq2pb1/2pp1np1/4n2p/1PPN4/1QN3PP/P2BPPB1/3R1RK1 w - -,d2c1
3q2k1/p4pp1/1p1r3p/8/2P5/3n3P/1PQ2PPN/3R2K1 w - -,h2f1
8/p1r5/7p/1Rp2p2/P7/3bk3/3R2PP/4K3 w - -,b5b8
1r2k3/1bRn1p1p/pp2p1p1/3pP3/N4P2/3BP3/PP3KPP/8 b - -,e8d8
rn2k2r/pb1pqpp1/1p2p2p/2p5/2PP4/2PBPN2/P4PPP/R2Q1RK1 b kq -,d7d6
6nr/p1R1b1k1/5pp1/P3p2p/3p3P/3Q4/3BqPP1/4N1KR b - -,e2g4
3r2k1/5pp1/4bq2/3pR2p/1prP4/5PP1/1P3Q1P/3NR1K1 b - -,d8c8
8/6k1/3p1p2/2pP1P2/3pP3/5Q2/2K5/4q3 b - -,e1c3
4r3/p3q1kp/3p1R2/2p1n1PQ/1p2PB2/1P1P4/2r5/5R1K b - -,g7g8
1r2r1k1/3n1pbp/p2P2p1/1qN3B1/1Pp1PQ1P/P7/5P2/3RK2R w - -,c5d7
r5k1/pp5p/n1p1bpp1/8/2P1P3/BPN1b3/P1Rr2PP/4NR1K w - -,f1f6
r3k2r/ppp1bppp/3p4/7n/3QP1q1/P1N1B3/1PP2PPP/R3K2R w KQkq -,c3d5
r1b1k2r/p5pp/2p1pn2/q2p4/2pP1B1P/P1P3Q1/2P2PP1/R3KB1R w KQkq -,f4c7
5k2/p4p1p/2n1p3/1p1p2P1/3PP3/P1PK1N2/5P2/8 b - -,f8g7
5r2/1p1n2k1/p2q2P1/3p1B1p/2pP3P/2P5/1P2QP2/5KR1 w - -,f5d7
4rbk1/p1q2pp1/2p4p/1p1p1P2/2PP4/1P3NP1/PB2nP1P/RQ4K1 w - -,g1f1
r1b1k2r/pp2qp1p/2pp1np1/8/2B1P3/2N4P/PP3PP1/R1QR2K1 w kq -,c1d2
8/8/1p1k4/4pppp/PPK5/2N2P1P/6P1/6b1 w - -,a4a5
r1b1k2r/1p3ppp/pqnpp3/8/P1BNP2b/2N1P1P1/1PPQ3P/R3K2R b KQkq -,h4g5
8/8/3n3k/2p3p1/2P5/3P1BK1/3r1P2/4R3 b - -,d2d3
4k3/1K6/p3b3/Pp2Bp1p/1Pp2Pp1/6P1/7P/8 b - -,e8d7
1r4k1/2q3pp/p5b1/1p2p3/2Pp4/1P1P3P/P2QN1P1/5RK1 w - -,e2g3
r3k2r/pp2ppb1/2bp1np1/q6p/2PBP3/2N2P2/PP1QB1PP/1K1R3R b kq -,e8g8
r5k1/5ppp/p1q5/3Np1n1/2P5/1P4P1/2Q4P/R5K1 b - -,c6c5
r4rk1/1b4pp/p7/1p6/1P6/PN1B4/2K3QP/7R b - -,b7g2
3r3r/p4kb1/1p2p2p/n3Ppp1/Pp3P2/2PN2P1/4KB1P/1R1R4 w - -,c3b4
1r1q1rn1/p4pkp/2np2p1/2p5/5NPQ/3PP2P/PPR3B1/5R1K w - -,h4g3
6r1/5p2/5k1p/8/PR6/1p6/1P3K1P/8 b - -,g8a8
r3k2r/pp2qppp/2ppb3/4n3/1PP5/P3P3/3B1PPP/2RQKB1R b Kkq -,e6g4
r3r1k1/1pq2pb1/pnn3pp/4pb2/2B5/N1P2NBP/PP2QPP1/R3R1K1 w - -,c4b3
2r3k1/5p1p/b1r2p2/p7/2p5/2R1P2P/P2N1PP1/1R3K2 b - -,g8f8
3rr1k1/1pp2pp1/1q5p/p1Pnn3/P3B3/BP4P1/2Q3PP/3R1RK1 b - -,b6e6
3rr3/2q2p1k/5P1P/p1p1b3/1p2p2Q/5b1R/PPP4P/1KB3R1 w - -,h3f3
2r1k2r/1bq1bppp/p2pp3/1p6/n3P1PP/1N1BBP2/PPP2Q2/1K1R3R w k -,g4g5
5R2/5p2/p1k1rnp1/P1B4p/8/6PP/5PK1/8 w - -,c5d4
6k1/1p1np3/3p2p1/p2Pr3/P1P5/1P6/5K2/4Q3 w - -,e1a5
2r4k/5p1p/6p1/PR6/5P2/5BP1/1b1r1P2/5RK1 b - -,b2d4
2r3k1/3b3p/r2p2pb/1p1Ppp2/4Pn2/2N2P1P/P1R2BP1/1R3BK1 b - -,f5e4
8/1p1R2pk/5p2/1r3P1p/6K1/8/7P/8 w - -,g4f4
r3kb1r/p2p1ppp/2b1pq2/8/B1pnP3/2PPR1N1/1P3PPP/2BQK2R b Kkq -,c6a4
8/p5bk/3nN1pp/8/4p3/6P1/PrN1KPBP/8 w - -,e2d1
2rq1r2/1b3p1k/p2p1Pp1/1p3p1N/8/P7/BPP2n1P/1KQ3R1 b - -,d6d5
r2qr1k1/pb1nbppp/1p1ppn2/2p3B1/3PP3/2PB1N2/PP1N1PPP/R2QR1K1 w - -,d1e2
rn1q1rk1/p5pp/1p2p3/2pb1p2/3P4/P3PP1N/1P1Q2PP/R1B1K2R b KQ -,c5d4
8/3k1pp1/3q3p/1P2n3/8/1Q5P/4BPP1/6K1 b - -,d7c7
b7/P2k4/5N2/1N6/2P3p1/3K2P1/8/6b1 b - -,d7c6
8/1p4k1/5pP1/p1b1rQ2/2Pp4/P2P2q1/2N5/1RB2K2 w - -,b1b7
r4rk1/pbp2ppp/1p2p3/2n1P1n1/2P5/4P3/PBB2PPP/RN3RK1 w - -,f2f3
8/4kpp1/7p/1r2P3/2R5/1P2PK1P/6P1/8 w - -,b3b4
5r2/pppbkprp/4n2R/4p3/2B1P3/N1P5/PP4PP/5RK1 w - -,a3c2
8/8/5bk1/2p1R3/1pP1P3/1P6/1r3B1P/5K2 w - -,e5e6
5k2/1p1n1pp1/p2np2p/3p4/N2P4/P2NP2P/1P3PP1/6K1 w - -,g1f1
r1bq1rk1/1p5p/2np4/p1bN1pp1/2P2B2/PQ2PB1P/1P3PP1/3R1RK1 w - g6,f4g3
2r1r1k1/pp3ppp/2nqpn2/3p3b/3P4/2PB1N1P/PP1N1PP1/RQ3RK1 w - -,f1e1
rnb2rk1/pp3pb1/2p1pqpp/3p4/2PP4/2NBPN2/PP2QPPP/R4RK1 b - -,b8d7
4r3/p6p/3np2P/P1b2pp1/2P2kP1/3B1P2/4K3/1R5R b - -,e8d8
4rbk1/3q2p1/p2p1RQp/3P3P/2p5/P1B5/KPP1r3/6R1 b - -,e2e7
r3k2r/1p3p1p/p2pbp2/8/3QPb2/q1N5/P1P1B1PP/1R2K2R w Kkq -,b1b7
r4r1k/p1pp2pp/Qbp5/4P3/7q/2PN4/PP3B1P/RN2R1K1 b - -,f8f2
r1b2rk1/pp2ppbp/2p2np1/q7/P2PP3/1BN1QN1P/1PP3P1/2KR3R b - -,e7e6
3r2k1/3q4/7Q/2P1pN1P/p3P3/5KN1/8/8 w - -,h6g6
1rr5/p5kp/6p1/2n1P3/2B5/P7/1P1N1PPP/1K2R3 b - -,c8c7
rnb1k2r/pp3ppp/4pn2/8/3P4/q4N2/P3BPPP/R1BQK2R b KQkq -,a3a5
1r2k2r/p4p1p/3pb1p1/6n1/N1PpPp2/1P6/P5PK/R3RB2 w k -,a1d1
5rk1/3Q1p1p/4p1p1/3pP3/5P1P/5R2/6P1/4q2K w - -,h1h2
3r2k1/5pp1/1b2p2p/1bBn3P/1P2N3/5B2/5PP1/2R3K1 b - -,b6c7
3rr3/2kn2p1/1ppb1nBp/p3p3/2P5/PP2P1P1/1B1NK2P/3R1R2 b - -,e8e7
1B4k1/r3p1np/2p2ppb/p1Nq4/P2P4/2P4P/4QPP1/4R1K1 b - -,a7a8
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/3P2P1/PPP2P1P/RNBQKBNR b KQkq -,b8c6
r3k2r/p2n2pp/npq2p2/3Qp3/5B2/2N3P1/PPP2PKP/R3R3 b kq -,c6d5
8/P1K2N2/8/1kp4p/6p1/6P1/6bP/8 b - -,b5a6
rr1q1b1k/1p3p2/3p1P1p/p2np3/6Q1/1P4R1/P1P2PPP/5RK1 w - -,g4g8
8/2r2p1k/pQBqp1n1/3P1p2/2P2P2/8/P4P1P/6RK b - -,d6f4
rn3rk1/1bqp1ppp/pp2pn2/2b5/2PN4/PP3PP1/1B2P1BP/RN1QK2R w KQ -,b3b4
6k1/pb3rbp/4p1p1/1p1q4/2pP1rP1/2P2NQP/PP2BRK1/R7 w - -,a1f1
r1n3k1/4qpb1/6p1/pQ5P/1p1pPPp1/1P1P4/P3R1N1/4B1K1 b - -,g6h5
7k/3Q2b1/6P1/8/2P1Bq2/p7/5P2/5K2 w - -,d7e8:d7h3
8/4k3/1p1bP3/1p1R4/5p1p/pB5P/P4r2/3K4 b - -,f4f3
r4qk1/5pbp/4p1p1/3n4/3PP3/1np2NP1/2Q2PBP/4R1K1 w - -,e4d5
r4rk1/ppp1nppp/4nq2/1P2P3/2B5/5N1P/P4PP1/R2Q1RK1 b - -,f6g6
r1bqk2r/ppp1ppbp/2np1np1/8/3PPP2/2N1B3/PPP3PP/R2QKBNR w KQkq -,g1f3
4r1k1/p2qrp1p/2pb1p2/3p4/N5b1/4P1P1/PP1Q1PBP/2R1R1K1 b - -,d7b7
r3k2r/p4ppp/1QpPpn2/3p4/4P1b1/2N5/PPP2PPP/R3K1NR b KQkq -,a7b6
1r6/3k2pp/p7/8/8/P2R2PP/2p1PP2/6K1 b - -,d7e7
1R6/5pkp/4p1p1/3n4/R7/2r2PKP/6P1/8 b - -,c3c7
5r2/R4p2/5k1p/8/8/1PP5/P5PP/6K1 w - -,a7a6
1r1r4/5kpp/8/2Rp1p2/pP1P4/P3P3/1B3PPP/5K2 w - -,f1e2
8/1p2n2B/1p1k4/3p4/PK1P4/8/8/8 w - -,b4b5
r3k2r/1bpnbppp/p2qpn2/1p4N1/3P4/2NBB2P/PPP2PP1/R2QR1K1 b kq -,e8g8
r1b1k2r/2q1bppp/pnn1p3/1p1pP3/1P1P1P1P/P2B1N2/3B2P1/R2QK1NR w KQkq -,g1e2
r3r1k1/pR3pbp/6p1/3n2N1/8/8/P2B1PPP/5RK1 b - -,e8e2
