8/2p5/p3nk1p/1p6/1P3P2/1B6/P6P/6K1 w - -,b3e6
rnbq1rk1/pp2ppbp/6p1/2p5/8/2P2NP1/P2PPPBP/R1BQ1RK1 w - -,a1b1
rnbq1rk1/ppp3bp/8/3Ppp2/2P5/2N1QN2/PP2B1PP/R4RK1 b - -,e5e4
2R2rk1/1b1nppbp/p2q1np1/1p1p4/3B4/1P1P1NP1/P2NPPBP/R2Q2K1 b - -,f8c8
2r2rk1/pbqnbppp/1p1p1n2/3Pp3/1P2P3/1QN2NP1/P4PBP/R1B1R1K1 w - -,c1d2
2r3k1/5pbp/1qn1p3/3p1p2/1p1P1B2/2PN1P1P/QP4P1/5R1K w - -,f1a1
4r2k/7p/p5p1/2p1b3/q7/4Q3/PP4PP/R4RK1 w - -,e3b3
2r2rk1/pp4p1/1q2p2p/n2pp2Q/3P2P1/5N2/PP3P1P/1R3R1K w - -,g4g5
8/5kp1/2pq1n2/1p3Q1p/p7/2P3P1/PP3PB1/1K6 w - -,f5f3
2r5/rbP4Q/p3pk2/1p2p1p1/1P2Pb2/P5RP/5RB1/q4NK1 w - -,h3h4
1r6/2q3bk/r3bnn1/Np2pp1p/1Pp2P2/2P1B3/2NQB1PP/R2R2K1 w - -,f4e5
r4rk1/1p4pp/2pnb3/q2pNp2/p2P1P2/P2BPPP1/1PQ5/2RR2K1 b - -,d6f7
r6r/pp2k2p/2b1p3/5pp1/2P5/3NK1P1/PP3P1P/R2R4 b - -,h8g8
r3kn1r/1q6/p2p1ppn/PbpPp2p/1pB1P2P/5P2/1PP1QNP1/RN2K2R w KQkq -,b1d2
8/8/r5pk/3pN2p/PK3P2/4n3/8/6R1 w - -,b4b5
r5k1/5pp1/3Qp2p/4P3/1pqP3P/2b1RN2/P4PP1/6K1 b - -,c4a2
r3kb1r/1pqb1ppp/p1nppn2/8/3NPB2/2N5/PPP1BPPP/R2Q1RK1 w kq -,d4b3
6k1/8/p2q2p1/2p2p2/3p4/1PnP1R1N/4rPP1/Q5K1 w - -,f3g3
1R3b2/5k2/6Rp/p1p5/P7/1P5P/5rP1/7K w - -,g6c6
r3k2r/1p1nqpp1/p3pnp1/b7/3P2P1/PQN4P/1P3PB1/R1B1K2R w KQkq -,b3b7
8/2N5/2B2k2/8/3K4/8/8/8 w - -,d4e4
6k1/p2b3p/Qp4p1/3p2r1/4p2q/1Nb5/P1P2P2/3KR2R b - -,h4g4
3r3k/3r2b1/p3p2p/3N1P2/8/8/PP3P2/1B1RR1K1 b - -,e6d5
6k1/6p1/7p/p3N3/Np5P/1P2b1p1/P1r3P1/3R3K b - -,e3d4
4rbk1/2q2ppp/3p1nb1/1p2P3/3Q1BP1/1B3N1P/1P3P2/4R1K1 b - -,d6e5
1r1r2k1/pbpqnppp/1p2pb2/8/2NP4/2B1P1P1/PP2QPBP/2RR2K1 w - -,e3e4
2Nbkr2/R2n1ppp/1p2p3/8/8/4B3/PPK2PPP/8 b - -,f7f5
4R3/1b1r2k1/p6p/3n2p1/1ppP4/5B2/PP4PP/4R1K1 w - -,e8b8
1r2rn2/1b3pkp/p5p1/1p1np3/1p2P3/P4N1P/1PP2PP1/3RRBK1 w - -,e4d5
5k2/6p1/1p4pp/p7/5KPP/1Bn2P2/P2r4/4R3 w - a6,f4e5
2r3k1/pb1q2pp/1b1rpp2/N1p5/2P5/3PP1P1/3Q1P1P/R1R2BK1 b - -,b7e4
8/R4pkp/6p1/8/3nP1K1/8/8/8 w - -,a7d7
r1b2rk1/pp2bppp/2n5/7q/3N4/P1n5/1P1BBPPP/R2QK2R w KQ -,d4c6
2rq2k1/pp2rppp/2N1pn2/8/2BP1QP1/P7/1P3P1P/2RR2K1 b - -,b7c6
r2q1rk1/ppnb2bp/3p2p1/2pPp2n/1PP1Pp2/P1N2N1P/2QBBPP1/R3K1R1 b Q b3,c5b4
6k1/1pp2q2/3pr1p1/8/p1n1P3/P1Bn1PQP/1P2R2K/6R1 w - -,g1f1
r6k/pp2b1p1/1np2r1p/1q6/3P2Q1/3B4/PP4PP/R1BR2K1 b - -,b5b4
2kr2r1/pp1qbp1p/2npbp2/1BpN4/4P3/2P2P2/PP4PP/R2QK1NR w KQ -,e1f2
r1bq2k1/ppp2rb1/3p1nn1/2PPp1p1/PPN1PpP1/2N2P2/4BK2/R1BQ1R2 b - -,g7f8
3r1rk1/1pq2ppp/p5b1/3p4/3N1b1N/2P4P/PP3PP1/R2R1QK1 b - -,g6e4
3R4/ppk2ppp/1nn3b1/4p3/6PN/BP5P/P3PPB1/6K1 b - -,c6d8
r1b2rk1/pp1nppbp/1q1p2p1/3P3n/1PP5/P1NB1N1P/3B1PP1/1R1QK2R w K -,e1g1
8/6p1/3b4/5p2/5PkP/5N2/4K3/8 b - -,d6f4
1r3rk1/1bp1qpp1/2np1n1p/4p3/1p2P3/1B1P1N1P/1PP1QPP1/R1B2RK1 w - -,c1e3
2rq1r1k/p1n1p1bp/1p1p2p1/2PB1p2/P2P4/1P3N2/1BQ2PPP/3RR1K1 b - -,c7d5
rn2k2r/ppq2pp1/5np1/1Bp5/Pb1QP3/2N1BP2/1P4PP/R3K2R b KQkq -,b8c6
4r1k1/p1q1bppp/2p1p1n1/1rPpP3/3B1P2/4Q2P/PPP1N1P1/1K1R3R w - -,e2c1
2r4r/kP1q4/3bpP2/2p2npb/N1PpNP1p/1R1P1Q2/3B2PP/R5K1 b - -,h5f3
r1bqk2r/ppp1bppp/2n5/3np3/8/3P1NP1/PP2PPBP/RNBQ1RK1 b kq -,e8g8
rn2k1r1/pb2qp2/1p1p1n1p/2pP2P1/2P1p3/P1P1PP2/3N1BP1/R2QKB1R b KQq -,h6g5
r3kb1r/p1p1qp1p/b1pp2p1/4P3/1nP1QP2/BP6/P5PP/RN2KB1R b KQkq -,d6d5
r3k2r/pp3pp1/2pnp2p/3qN3/3P4/4Q3/PPP2P2/1K1R3R w kq -,h1g1
8/6p1/p3kp2/1p6/1P2PK1P/P2R4/8/7r w - -,f4g4
r5k1/2q1bp2/2r3p1/n1p1p3/Pp5p/1N1PB1P1/Q3PP1P/1RR3K1 w - -,b3a5
2r1k2r/pb1q1ppp/1p2p3/1p1pP3/1P1P4/1R3N2/2PQ1PPP/5RK1 b k -,c8c4
3r1rk1/4b1pp/p5p1/2Pn2N1/2R3P1/7P/q2BQP2/4R1K1 b - -,d5c7
3r1r2/1b3kp1/1p2pn1p/p1b1Rp2/2P5/PP4NP/1BB2PP1/3R2K1 w - -,e5e1
r1bqkb1r/pp1npppp/3p1n2/1Bp1P3/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,d6e5
rnbqk2r/pp2bppp/3ppn2/2p5/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
2q3k1/6bp/1p2r1p1/p2pP3/3P4/PQ5P/1P1B2P1/3R3K b - -,c8d7
6k1/2R5/7p/8/2P1P1p1/6P1/4K3/7r b - -,h6h5
8/4kp2/p2p4/1bpPpP2/5nN1/P7/1P1K4/1B6 w - -,b1e4
1r1r2k1/2q1bpp1/2ppp1bp/2pnP3/p1P5/P2P1NNP/1P1BQPP1/R3R1K1 b - -,d5b6
1r3rk1/4b1pp/5p2/3RpP2/1p4P1/3p4/3Bq1BP/3Q3K w - -,d1b3
r2q1rk1/pb3ppp/1p1bpn2/3p4/2P5/1P4P1/PB2PPBP/RN1Q1RK1 w - -,b1c3
rn1q1rk1/pbp1bpp1/1p2pn1p/3p4/2PP3B/1QN1PN2/PP3PPP/R3KB1R w KQ -,h4f6
1Q6/p3r1kp/3p1q2/3P2p1/P1P2p2/4n2P/5RBK/8 b - -,g5g4
2r1rbk1/1bqn1p1p/pp1ppnp1/6B1/3PN3/1QPB1N1P/PP3PP1/3RR1K1 b - -,f6e4
r1bq1rk1/p1pnbppp/1pn1p3/3pP3/8/3P1NP1/PPP1QPBP/RNB2RK1 w - -,h2h4
2r3k1/p2r1pbp/3P1p2/5R2/3R4/6B1/P1P3PP/2K5 w - -,c2c4
r1b2rk1/ppp1qppn/2np3p/4p3/2PPP3/P1P2N2/4BPPP/R1BQ1RK1 w - -,d4d5
r4b1k/7p/1pNp1nq1/3Pp3/1B2Pp1n/5B2/PP3QPP/5R1K b - -,h4f3
3r1r2/2k5/8/1p1QPp2/3P4/b7/1q4PP/1N3R1K w - -,d5f3
3rrnk1/ppq3p1/2pR1P1p/2P1P3/5Q2/1N5B/PP5P/6K1 b - -,d8d6
5r2/1p2k3/p3p2p/Pb2P1pP/1P1R2B1/8/4K3/8 w - -,e2e3
r1q4r/pp3kpp/3bp3/3p4/2n5/1QN1B2P/PP3PP1/2R1R1K1 b - -,d6e7
8/1n3p2/1p2p1kP/6N1/2P5/4K3/8/8 b - -,b7d8
r1kn3r/ppp3bp/2n1bpp1/1BPNp3/4P3/4BN2/PP3PPP/3R1RK1 w - -,d1c1
r1bqrbk1/5pp1/pn1p4/1ppPpNp1/4P1P1/2P4P/PPBQ1P1K/R1B3R1 b - -,b6c4
Rq5k/6pp/2p1r3/8/2P3nP/3P2P1/2P3B1/R5K1 b - -,e6e1
6k1/5p2/p5p1/7p/P2Q4/4P1PP/4q1PK/8 b - -,g8h7
r1bqk2r/pp1n1pbp/2pp1np1/4p3/2PPP3/2N1BN1P/PP2BPP1/R2QK2R b KQkq -,e8g8
3r3r/3nbpk1/bq2p1p1/p3P3/Pp3PP1/1Q1PpN2/1P2N1B1/2RR2K1 w - -,f4f5
rnbq1rk1/pp2bppp/3p1n2/2p1p3/2PPP3/4BP2/PP2N1PP/RN1QKB1R w KQ c6,d4d5
r4rk1/pp3ppp/2p1pn2/3pN3/2PP4/qP2P2P/P3QPP1/R4RK1 w - -,f2f3
5k2/3npp2/r7/3PpN2/p1r3P1/2P1R3/6P1/5R1K b - -,a4a3
rq4k1/3b1r1p/P3p1p1/1p1p1p2/3Q3P/2PB4/1RP2PP1/R5K1 b - -,b8a7
2r1kb1r/3p1p1p/pq2p1p1/4P3/1B3P2/PN1Qn1P1/2P3PK/R4R2 w k -,b3d2
4r2k/7p/n3P1p1/2pB1p2/P1Pp1q1b/3N4/P3QP2/1R3K2 b - -,f4d6
8/8/6K1/P2n4/6p1/6k1/1PP4N/8 w - -,g6g5
1k1r2r1/p4p2/1p2p3/4P3/2qn1PP1/2R3R1/5Q1P/2B1K3 b - -,c4d5
2br2k1/4pp2/6qp/2pBQ3/8/1P4P1/5P1P/5RK1 b - -,g6d6
r4nk1/5r1p/p1b1p1p1/3pP3/PqpB4/7R/1PB1QPPP/3R2K1 b - -,c6a4
4rr2/3n1p2/p3pk2/2p4p/2P2P2/3N4/1P2R1PP/5R1K w - -,f1a1
5Nk1/1b2q1p1/p2p1n2/1p6/2n1Pp2/P1NQ4/1PP5/R1B1K3 b Q -,f6e4
7k/p4pb1/1p2p3/8/3P4/P5K1/7P/1rN4R b - -,g7h6
r1bq1rk1/3pbpp1/p1n2n1p/1p2p3/4P3/1BNQBN2/PPP2PPP/R4RK1 b - -,f6g4
1r2r3/p1q2pk1/4Pnpp/2p5/2P5/4RQP1/P4P1P/4R1K1 w - -,e6e7
6kr/6N1/4r3/1p1p4/p2p2P1/5P2/PP1n2K1/7R w - -,g7e6
rr2n1k1/3nppbp/3p2p1/2pP4/Pq2P3/2N2NPP/1P1BQPK1/R2R4 b - -,c5c4
r6k/1p1N1q1p/p2p4/2pP1PR1/Pn6/5B1P/1P2Q2K/8 b - -,f7d7
3rr1k1/p2q1pp1/1p3bn1/8/1PPp1Bp1/3P2P1/1PQ2R1P/R4NK1 b - -,g6f4
r2qnbk1/1p1bnp1p/p2p2p1/5pP1/3NP3/P2BB1Q1/1PP4P/4RR1K b - -,e8g7
5rk1/1b1nq2p/3p2p1/1ppP1p2/1P6/Q1B1P1NP/5PP1/5RK1 w - -,a3a7
4r1k1/p1p2rbp/3p3n/2pN2B1/2P1p3/1P1Q1PPq/P6P/3R1RK1 w - -,d3e2
1r1q2kr/5pp1/p3p3/3n2p1/2pP4/5Q1P/P1P1NPP1/1R2R1K1 w - -,f3g3
r3k2r/p7/1bb1P1Qp/2p3B1/2ppqN1P/2P5/P1P3P1/R4RK1 b kq -,e4g6
r3r3/1b1n1pkp/2p2np1/p1q1p3/1pP1P3/1P3NPB/PQ1N1P1P/2R1R1K1 w - -,d2f1
r1b1k2r/4bp1p/p2ppp2/1pq2P2/3QP3/2N5/PPP1B1PP/2KR3R w kq -,d4d3
r4rk1/p1p3pp/b1p5/2bp4/3Nn2q/2P2P2/PP4PP/RNBQR1K1 w - -,c1e3
r2q1rk1/ppp1npbp/1n4p1/3Pp3/4P1b1/1QN2NP1/PP3PBP/R1B2RK1 b - -,c7c6
r2q1rk1/1b2bpp1/p1p4p/1pn1P3/P3PB2/1N1B4/1P2QPPP/R4RK1 w - -,b3c5
r1bq1rk1/p2pppbp/1pn2np1/2p5/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - -,e3e4
r1b1k2r/2qnbppp/p2ppn2/1p4B1/3NP3/2N3P1/PPPQBP1P/3R1RK1 b kq -,c8b7
2r3k1/2qbbppp/p2ppn2/8/4PP2/1rN1B1P1/1PR1Q1BP/5R1K w - -,f1c1
8/2r2pk1/5npp/8/4P3/5PP1/3RBK1P/8 b - -,c7e7
2r4r/4qpk1/4p1p1/pp2R2p/2bP4/2P3Q1/P4PPP/1BR3K1 w - -,c1e1
r1bqr1k1/pp1n1pbp/2pp1np1/4p3/2PP4/1QN1PNP1/PP3PBP/R1B2RK1 w - -,f1d1
8/8/1Qp4p/8/k1q4p/8/5P1K/8 w - -,h2h3
r1bqk2r/pp2b2p/2p5/3pP2p/8/2N1P3/PPQ3PP/2KR2NR b kq -,e8g8
r2q1rk1/ppp1bppp/2np1n2/5Q2/4P3/2N1B3/PPP2PPP/R3KB1R b KQ -,c6e5
1k1r3r/1bq1bp1p/p2ppp2/2n5/1p1NPPP1/5QN1/PPP3BP/1K1RR3 w - -,c2c3
r2qk2r/ppp2ppp/3pbN2/n1b1p1B1/2B1P3/3P1N2/PPP2PPP/R2QK2R b KQkq -,g7f6
7R/p3k3/3r3p/1pp5/4KP2/P1P5/7P/8 w - -,h8h7
r1b1k1nr/pp3pp1/2n1p2p/3pP2P/q1pP4/P1P2N2/2PB1PP1/R2QKB1R w KQkq -,f3h4:h1h4
r2qk2r/1p1bbppp/p1np1n2/1B2p1B1/4P3/2N2N2/PP2QPPP/R2R2K1 w kq -,b5a4
4r1k1/2bP1pp1/1p6/pbB4p/6Pr/5P1P/PP4B1/2R3K1 w - -,d7e8q
r2q1rk1/pppb2bp/1n1p1n2/3P1p2/2P1pP2/1PN1B2P/P1B1N1P1/R2Q1RK1 w - -,d1d2
2k2R2/pp1r4/6p1/8/2r3p1/P1P1R3/2K4P/8 b - -,c8c7
Q7/4Rppk/7p/p2r1q2/1p6/5N1P/1Br2PP1/6K1 w - -,b2e5
r2q1k1r/2p2p2/1p1p1PB1/p2Pp1Qp/2P1P3/P1N3P1/1P6/2K2R1R b - -,f7g6
2r1k3/p4ppp/R3p3/p3P3/5PPK/7P/8/8 b - -,c8a8
4nr2/p4pkp/4q3/3p1NP1/1p1P4/3Q3P/PP6/1K3R2 b - -,g7g8
r3r1k1/p5pp/1qp2p2/3pp3/1QnP4/2P1P1B1/P4PPP/3RR1K1 b - -,b6b4
r1q2rk1/4bp1p/p2pb1p1/Q3p2n/4P3/1N1RBP2/PPP4P/1K3BR1 b - -,c8b7
br3rk1/2q1bppp/p2ppn2/1pn5/3NPP2/P1NB3Q/1PP3PP/2B1RR1K b - -,b5b4
2r2k2/3n1pp1/1p5p/p4p2/2PB3P/1P2R3/P4PP1/5K2 b - -,a5a4
r2q1rk1/pppnbppp/5n2/3p1BB1/3P4/2N1P3/PPQ2PPP/R3K2R b KQ -,h7h6
8/8/6p1/5k1p/7P/3N1PK1/r5P1/8 w - -,d3f4
8/p4kpp/4p3/1B6/2n5/Pp4P1/1P2R2P/3r2K1 w - -,g1f2
r1b1k2r/pp2bppp/2n1p3/1BP5/1P6/2P1PN2/P5PP/RN1K3R b kq -,c8d7
r5k1/1p4r1/pB1pP2b/P6q/4P1p1/5p2/1P3Q1P/3R1RK1 b - -,g4g3
2rr2k1/p3ppb1/6p1/2Q1qn1p/8/B1P2B1P/P4PP1/1R1R2K1 w - -,d1d8
8/7k/5K1P/5P2/4R3/8/r7/8 b - -,a2f2
8/1R1k4/4r3/2P1B3/3K4/8/4b3/8 b - -,d7c6
r3k2r/3n1pp1/1pp1pn1p/q2p4/1b1P3B/3BP3/PP1N1PPP/R1Q1K2R w KQkq -,a2a3
r1r3k1/4qppp/1p3n2/p3p3/2P5/3Q2P1/1P1NPPKP/R1R5 w - -,d2e4
r2qk2r/pp2bppp/4b3/8/3P4/5B2/P4PPP/R1BQ1RK1 b kq -,e8g8
3R4/r1p3pk/1n3p2/7p/6PP/2PN1P2/2K5/8 w - -,g4h5
R3R3/5pk1/5p1p/p1r5/Pp6/1b3P2/5KPP/8 b - -,b3a4
r1bq1rk1/pp3p2/2n4p/3p2p1/1b1Nn3/2N1PPB1/PPQ3PP/3RKB1R b K -,e4c3
2k5/p4p1R/1p1r2p1/2pn4/5b2/PR1P1B2/4K1P1/8 w - -,h7f7
4r3/4P3/1pk5/5p2/1KP5/8/8/4R3 w - -,e1e6
4rk2/pb3p1p/5rp1/3P1P2/2pq1RP1/2N4P/P7/1R4K1 w - -,f4d4
r1bq1rk1/1p2bppp/p1n1pn2/4N3/3P4/2N1B3/PP2BPPP/2RQ1RK1 b - -,c6b4
r4rk1/pbq1b1pp/1p2pn2/3p4/2BQP3/2N1B3/PPP3PP/R4R1K w - -,e4d5
1r1qrbk1/pb3ppp/4nn2/2ppN3/5P2/2N1P1P1/PPQ2BBP/R2R2K1 b - -,d5d4
r1bqkb1r/1p3pp1/p1np3p/2p1p3/P3PPn1/2PPBN2/1P2B1PP/RN1QK2R w KQkq -,d1c1
8/1b4p1/1p1kp2p/4p3/1PP1P1P1/1Bb2K1P/2N5/8 w - -,f3e3
8/p7/1p2Q1k1/r3ppp1/5p2/P4P2/5PKP/8 b - -,g6h5
8/1p3p2/k1p2P1p/1p5q/3Q3P/PP6/KP6/8 b - -,h5f5
rr6/5b2/2pp1k1p/p4p2/3P1NpP/2p1P1P1/P1PK1P1R/6R1 w - -,d2c3
r1b2rk1/pp2ppbp/2q3p1/8/8/2P1BP2/PP1Q2PP/R3KB1R b KQ -,c8f5
6k1/5ppp/4p3/8/4n3/N3P3/5PPP/6K1 w - -,a3c4
8/8/6k1/4K3/PR6/8/r7/8 w - -,e5e6
r5k1/1pp2pp1/3p3p/p2nrB1P/3R3Q/5P2/PPPq2P1/1K5R b - -,d2g2
r2r2k1/4bppp/pq2pn2/2pbN3/Pp6/1P4P1/1BQPPPBP/2RR2K1 b - -,b6b7
r2qr1k1/ppp2pb1/6pp/3P1b2/2Q3P1/7P/PPP5/RNB2RK1 b - g3,e8e4
3q1r1k/2pn1p2/pp1ppbp1/8/1PPPB3/4R1P1/P1Q2P1P/3R2K1 b - -,c7c5
r2q1rk1/pp1n1ppp/2p1pn2/8/PbBPP3/2N2Q2/1P3PPP/R1BR2K1 b - -,e6e5
r4rk1/pbq1bppp/1pnppn2/2p5/4P3/2PPNNP1/PP3PBP/R1BQR1K1 b - -,d6d5
6k1/2q5/5Q2/p1p5/2Pp2P1/3P4/6K1/8 w - -,f6g6
r3k3/pb1qpp2/1pPp3r/3P2Np/4P1pP/1R1Q4/5bP1/4R1K1 w q -,g1f2
6k1/5rpp/r7/3p4/2pPp3/1p2P2P/1P3PP1/1RR2K2 w - -,f1e2
5r1r/p2qppk1/1pp1b1p1/8/4PN2/P2P1R1P/1P3QP1/5R1K b - -,h8h6
1r3r1k/1pq2pp1/1npNb2p/Q7/1P1R4/P3P1P1/4BPP1/5RK1 w - -,a5c5
8/5pbk/6pp/8/7N/2p4P/P3QPPK/1q6 w - -,e2c4
8/6P1/3k4/1p6/4BP1R/1P3K2/8/3r2r1 w - -,h4h6
1r6/3Rppk1/pp6/r5pp/PbP5/1P3BPP/5PK1/3R4 b - -,h5h4
8/1p1r2rk/p1p4p/P1Pp1p2/3P1P1P/4PK2/6R1/6R1 b - -,g7g2
br1r2k1/5p1p/p3n1p1/2p1RP2/2Pp2P1/P2B4/2PB1K1P/R7 b - -,e6f8
5r2/3k4/3p4/2n1pN1p/1p4pP/1P4P1/PK1R1PB1/8 b - -,f8f5
r4rk1/p2qnpbp/bpnp2p1/2p1pP2/4P3/N1PP1NP1/PP3BBP/R2QR1K1 b - -,g6f5
r5k1/1r3p1p/p4Rp1/1p2P3/4P3/2P1n3/1P2N1PP/R5K1 b - -,a6a5
r1b1r1k1/p3qpbp/2pp1np1/4n3/2P5/2N1N1PP/PB2PPB1/R2Q1RK1 b - -,c8e6
b1rr2k1/2pnqp1p/p5p1/Np6/1P2P3/P1N5/4QPPP/2RR2K1 w - -,c3d5
3q1r1k/p1pn1ppB/1p1pp2b/8/2PP4/6P1/PPQ1RP1P/R5K1 w - -,h7e4
3q2k1/2r1p2p/p2p1rp1/1p1Q4/3P4/7P/PP2RPP1/4R1K1 b - -,g8g7
3R4/1pr2pk1/p3p1p1/2p1P1P1/2P5/1P6/P4P2/5K2 w - -,f1e2
3r3k/p1r3p1/1p4Rp/3n1B2/3P4/P1B2P2/5PK1/2R5 b - -,d5f4
r3kb1r/ppq1pppp/2np1n2/2p5/2B1P1b1/2P2N1P/PP1P1PP1/RNBQR1K1 b kq -,g4h5
3r2k1/p2P1p2/Qp2q1pp/2p5/8/7P/P5P1/3R2K1 b - -,e6c6:c5c4
1k1r4/1pb5/4Bp2/1p6/P3PpR1/5P2/4KP2/8 w - -,a4b5
r1r3k1/3bq1pp/2p1p3/p1RpNp2/Pn1P4/1P2PPP1/3Q2BP/2R3K1 b - -,d7e8
r4rk1/3bppb1/pq1p2np/2pPn3/2P1P3/1NN4P/RPQ1B1P1/4BRK1 b - -,f8b8
1krb4/8/3pQ3/2qNp2P/ppn1P3/3RP3/PPP4R/1KN3r1 w - -,h5h6
2rr2k1/1p3pbp/p2pp1p1/n7/2P1PP2/4N3/PP2N1PP/3RR2K w - -,b2b3
rn1q1rk1/2p1b1pp/1p2bp2/p2pN3/3P1B2/6P1/PP2PPBP/R2Q1RK1 w - -,e5d3
2r2r1k/p3qpp1/1p2bb2/2p1n3/Q3B3/B3PN2/P4PPP/2RR2K1 w - -,f3d4
4B3/6k1/7p/p1p1p2P/PpP1P1q1/1P5K/8/8 w - -,h3g4
7R/5k2/8/5PK1/5P2/8/8/r7 w - -,h8h7
r1bqkbnr/pp1npppp/3p4/1B6/3NP3/8/PPP2PPP/RNBQK2R b KQkq -,g8f6
5rk1/p5p1/2n2rp1/1p2p2n/3pP3/3P1P1P/PP4N1/R1RB2K1 b - -,c6b4
r3r1k1/n2bppbp/1q3np1/1p2N3/1P6/P2B2NP/1B2QPP1/3RR1K1 b - -,d7e6
r2q1rk1/1p1b1pbp/pn2pnp1/3pN3/3P1PP1/1BN4P/PPP5/R1BQ1RK1 w - -,g4g5
r2n1n2/3q1kbp/3p1pp1/1NpPp2P/p1P1PPQN/4BR2/P5P1/6K1 w - -,h5g6
r7/5Q1k/p2p2p1/1p5q/2p1pPb1/2P4P/PP5K/3R4 b - -,h7h6
8/p1q3k1/P1p3p1/1p1p3p/3Pr2P/2P3p1/1P1Q1PP1/3R2K1 w - -,d1e1
1qr2rk1/pb2p3/1p1pn1pQ/1Nn5/2P1P3/1P3B2/P5Pp/4RR1K w - -,h6g6
2r1q1k1/1p2rppp/p1nR4/8/2b1PB2/1NP2QP1/PP5P/4R2K b - -,f7f5
r1bq1rk1/1pp1npbp/3p2p1/p2Pp2n/1PP1P3/B1N2N2/P3BPPP/R2Q1RK1 w - -,f1e1
8/4k3/8/3P4/6b1/r5p1/P2RN1P1/4K3 w - -,e2d4
rn3rk1/p4ppp/bq2pn2/3p4/3N1B2/P1Q2PP1/1P2P2P/2R1KB1R b K -,b8d7
r1bq1rk1/ppp2pbp/2n2np1/4p3/4P3/2PB1N1P/PP2QPP1/RNB2RK1 b - -,h7h6
8/1p6/p1p5/5kp1/2P2n2/1Pr5/8/3B1RK1 w - -,g1f2
