8/8/7p/p2b3P/P2K1p2/6k1/8/3B4 b - -,d5f3
5b2/pq5k/2n1r2p/Q3pNp1/4Pp2/3P2P1/5P1P/B1R3K1 w - -,a5d5
3r4/p1q3pk/5r1p/1Bp1np2/P2b4/2n1B1P1/P1P2PQP/1R2RNK1 w - -,b1b3
2k1r3/R2R4/8/p7/1b6/r4N1P/6P1/5K2 w - -,a7c7
rn1qk2r/1b2bppp/p3p3/2p1P3/PppP4/5NP1/1P1N1PBP/R2Q1RK1 w kq -,d2c4
r1b2rk1/p1qnbppp/2p1pn2/1p6/2BPN3/5N2/PPPBQPPP/R3R1K1 w - b6,c4d3
rn2nr1k/pb3ppB/4p2p/q1p1P3/2p5/P1N1B3/2QN1PPP/R3K1R1 b Q -,b7d5
2q3k1/p1p2p1p/b1P2Pp1/1r2pPB1/3r4/2Q4P/PP3P2/R3R1KB b - -,c8f5
1n2r1k1/p4ppp/5b2/2p2R2/1p6/1B6/PPP3P1/3R1K2 w - -,f5c5
5rk1/1p1rppbp/pq4p1/2Nn4/8/6PP/PP1B1PK1/2R1QR2 b - -,d7d6
r3nrk1/1p2qp2/p2p2n1/2pPb1pp/P3P3/2N1B1PP/1P1Q1P2/R3RBK1 b - -,h5h4
4r1k1/p6p/1p1rpp2/2p2p2/3q1P2/1P1P2P1/2P1RQ1P/4R1K1 b - -,d4f2
3n2k1/p1q1pp1p/2Pb2p1/3B4/3Q4/4B1P1/P4PKP/8 w - -,d4a7
1r3qk1/6pp/2P5/1pnppPP1/p1n1P3/5B2/PP2Q2K/2B3R1 w - -,e4d5
1r2k2r/p1q1b2p/2p2ppn/4pb2/4N3/2B3P1/PPPQ1PBP/3R1RK1 b k -,h6f7
3br1k1/p1pq1pp1/2N4p/3pP3/1P2bQ2/P7/6PP/4RRK1 w - -,c6d8
3b4/8/1p1p2k1/1P1Pp3/4Pp2/3B1b1K/5B2/8 b - -,g6h5
3rr1k1/pp4bp/2p3p1/3qP3/PP2R3/2B5/2Q3PP/4R1K1 b - -,d5d3
r1bqkbnr/pp3p1p/2n1p1p1/8/3p4/2N1BNP1/PPP2P1P/R2QKB1R w KQkq -,f3d4
6k1/2p2p2/3p3p/brpP2p1/8/P3P1BP/1r3PP1/3R1RK1 w - -,e3e4
r2r2k1/1pq2p1p/p2pbnp1/4p3/N1P1P3/1P3B2/P2Q1PPP/2RR2K1 b - -,g8g7
r3kb1r/pp1n1ppp/1qp1pnN1/3p4/2PP2P1/1QN1P2P/PP3P2/R1B1KB1R b KQkq -,h7g6
8/3k1p1p/1b2pPpP/pn1pP3/3P2P1/1P1K4/1BN5/8 w - -,b2a3
8/8/5K2/k3p3/8/3B4/8/8 b - -,e5e4
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP1B2/8/PP2PPPP/RN1QKBNR w KQkq d6,e2e3
8/pp3K2/6P1/7n/2p1N3/P1P5/1k6/8 w - -,e4f6
r2b1rk1/1p1q1ppp/p3p3/2RpP3/3P3P/3QPN2/PP4P1/5RK1 b - h3,h7h6
r2qkbnr/1pp2ppp/p1p5/4p3/4P1b1/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,h2h3
8/5b2/6p1/2k2p1p/2p2P1P/2N3P1/3K4/8 b - -,f7d5
r7/1b2pk2/p2p3p/P2Pbpp1/1P6/3B3P/3B1PP1/2R2K2 w - -,d3f5
1r3rk1/2pnqpp1/pp1bp2p/8/P7/1QNP2P1/1P1NPPKP/R1R5 b - -,c7c5
8/5pk1/p2b1q1p/2pP2pP/1pPpQ1P1/1P6/P2PK3/4N3 b - -,f6d8
3qrbk1/p1r2p1p/1p4p1/2p5/P3p3/1P2P1P1/1Q1P1PNP/2RR2K1 w - -,d2d3
8/5pk1/6pp/8/4P1Pb/1R3K1P/r3NP2/8 w - -,f3e3
5k2/R5p1/3K1p1p/3P1P2/8/4r3/8/8 b - -,e3f3
2r4r/1b1pk1pp/pp2pp2/2b5/PP1NP3/2P1BP2/5KPP/R2R4 b - b3,c5d6
8/7p/4p3/4bk2/4rp2/3R1K1P/8/2B5 b - -,e4c4
8/8/8/3n4/3P2pP/p1NK2P1/1k6/8 w - -,h4h5
r2qr1k1/1p1n1pbp/2p1pnp1/p2b4/3P4/1PPN1NPP/P4PB1/R1BQR1K1 w - a6,c1b2
r1b1r1k1/pp3ppp/1q6/2pp4/4n3/2P1PN1P/PPB2PP1/1R1QR1K1 b - -,e8d8
2b3k1/5p1p/p2p2p1/Pp1P4/3Nr3/4R2P/1P3PP1/6K1 b - -,e4d4
8/p5k1/8/8/1P5P/P4R1P/3q1K2/8 w - -,f2g3
8/4R3/1p3pk1/b3p1pp/P5P1/1r2BK1P/4PP2/8 b - -,h5g4
8/8/6p1/7k/R7/4r1p1/6K1/8 w - -,a4a5
8/p3r1k1/2R1p1n1/4P1N1/1p3P2/2p5/Pb2N1PP/5K2 b - -,g6f8
4r1k1/pr2bp1p/6p1/2pq4/5B2/1P6/5PPP/R2R2K1 w - -,d1d5
2r3r1/1q2p2k/1p1pbppP/p1nN4/2P1P2Q/1P3P1P/P2R2B1/4R1K1 w - -,d5e3
r2r2k1/pb3pp1/1pnqp2p/8/3PR3/P2B1N2/1P2QPPP/R5K1 w - -,d3a6
2k1r3/1pp4p/p1q1ppp1/3r4/3P4/QPP1R2P/P4PP1/4R1K1 w - -,f2f3
3r2k1/r4p2/1b3p1p/pp3b2/3p1P2/P7/1PNRPPBP/3R2K1 b - -,a7d7
7k/pp6/3p3n/2pPb1q1/2PpQ1p1/6P1/PPB3KP/5N2 b - -,g5g7
8/3Q4/p2kP3/8/1pB4P/qPr3P1/2P5/1K6 b - -,d6c5
1r6/5P2/6P1/6P1/7K/pk6/8/8 b - -,a3a2
r1bq1rk1/ppppbppp/2n2n2/8/2BNP3/2P5/PPQ2PPP/RNB2RK1 b - -,d7d6
1r5k/4bp1p/1p2p2B/1P2P3/p1P5/P7/2K5/6R1 b - -,b8g8
3rk3/3rbp1p/2R1p1p1/1p1n4/3P4/1B2BP1P/1P2KP2/2R5 b - -,e7f6
8/4R3/1r1pb1kp/4pp2/2P5/2KB1P2/6PP/8 b - -,g6f6
r2r1bk1/pp1q1p2/7p/P1p3p1/3pP1P1/4B3/1PP2PP1/R1QR2K1 w - -,f2f3
r1b1k2r/pp2nppp/8/3qP3/4p3/2B5/PPQ2PPP/R3KB1R b KQkq -,e8g8
8/6k1/2R5/p7/5B2/5K1P/r5P1/8 w - a6,h3h4
2r1rnk1/1q2ppbp/p5p1/1P1b4/1PpPp3/2P1B2P/2QNBPP1/R2R2K1 b - -,a6b5
4rr1k/5p1p/1q3p2/p2p3Q/1p1n1P2/1P1P2PB/P4RKP/1R6 b - -,b6c5
4b3/7p/1p1kn1p1/1P1p1p2/1K6/1N2PPP1/7P/5B2 b - -,e8d7
3rr1k1/1q3pp1/p6p/1p3n2/1P1p4/1Q1R1PP1/1P3BP1/2R3K1 w - -,g3g4
4r3/5k1p/5p2/p7/3Q2R1/1P4P1/P3qP1P/6K1 b - -,e2a2
r2q1r2/pb5k/1pn1pPpp/3p4/3P4/PN1B4/1P1Q3P/2R2RK1 w - -,d3g6
Q7/5pkp/p3q1p1/4p3/P2bP3/5P1P/4N1P1/2r4K w - -,e2c1
2r1r1k1/pb5p/1pp3q1/3n1pp1/3Pp3/PP2P1P1/1B2QPBP/2RR2K1 w - -,g1h1
6k1/pp3p2/1r3bpp/3p4/3P1PP1/P1P1R1K1/7P/1rB1R3 b - -,b6b3
1k5r/ppr1q1p1/1b6/3p2Np/Q5nP/2pP2P1/P1R2PB1/1R4K1 w - -,d3d4
r1b1k2r/2qnbp2/p2pp3/1p2n1p1/3NP3/2NB2B1/PPP2QPP/1K1R3R w kq b6,h2h4
r3rnk1/1p3ppp/p4n2/2Ppqb2/3B4/2N5/PPQ1BPPP/3R1RK1 w - -,c2b3
3r2k1/p3b1p1/1p1rb2p/2p2p2/2P5/B2BP2P/P4PP1/2RR2K1 w - -,d3e2
r2q1rk1/1b3ppp/p4b2/2Pn4/1p1P4/8/1PBN1PPP/R1BQR1K1 b - -,d5c7
3q2r1/2pr1pbk/1p2p2p/p2nP2N/P1RP4/1P3N2/3Q1PPK/2R5 b - -,g7f8
8/2k5/1p2p1Q1/pP1p1p2/Pq1P1P2/6P1/5PK1/8 w - -,g6e6
r2qnr1k/pppbn1b1/3p2pp/3Ppp2/2P1P1P1/1NNBBP1P/PP6/R2QK2R w KQ f6,c4c5
8/6pk/p7/Pp3p1p/4q1b1/2P5/1P1Q4/4KR2 w - -,e1f2
4r3/2k2p1p/p5p1/2p5/P4P2/3KP2P/1R4P1/8 w - -,a4a5
3R1r1k/ppqR1rpp/4Q1n1/8/8/4B1P1/PP3PKP/8 b - -,f7d7
3r1rn1/1pp3pk/p1n2pqp/4pP2/2PpP1P1/1P1P3P/1P1BQ2N/R3K2R b KQ -,g6f7
8/8/2K5/1B3R1P/8/4k3/5p2/7r w - -,c6d5
3r4/1B2ppk1/5rpp/1pP1Q3/1P6/7P/5PPK/1n6 b - -,d8d1
3rr1k1/5pb1/p5pp/1pp1P3/q4P2/P1P4Q/1P1BB2P/4K1R1 w - -,e2d3
r2q1rk1/pp2bppp/2n1bn2/1N1p2B1/4p3/1N4P1/PPP1PPBP/R2Q1RK1 w - -,b5d4
1rb1k1nr/p1pp1ppp/2p5/8/1b2P3/1NP2q2/PP3PPP/R1B1KB1R w KQk -,g2f3
8/5k2/1p2p1p1/pPn3Bp/2B1P3/1P3PK1/r5PP/8 b - -,a2c2
r3k1nr/pp2ppbp/1qnp2p1/4P3/3P1Pb1/2N2N2/PP4PP/R1BQKB1R w KQkq -,f1b5
8/3k2pp/R7/5P2/8/p6P/r7/5K2 b - -,d7c7
8/p2rk1pp/1pR2p2/8/4K3/1P4P1/P4P1P/8 w - -,a2a4
8/6r1/2P2p2/1k3P2/3P4/2P1KB2/8/8 w - -,e3d3
r4rk1/p1q1ppbp/5np1/8/2p3bQ/N1P1B3/PP1N1PPP/R4RK1 b - -,g4e2
r4rk1/4bppp/1nq1b3/1Qp1p3/1p2P1P1/1P2BP2/PNP4P/1K1R1B1R b - -,c6c7
r1bqkb1r/ppppnp1p/2n3p1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR b KQkq -,f8g7
8/8/p3p1kP/1p2rp2/1P6/P1P3P1/4p1K1/3R4 w - -,d1e1
r3k2r/1pp1q1bp/p2p1pp1/4n3/3BPP2/2P5/PP2Q1PP/RN3RK1 b kq f3,e5c6
r3k2r/1ppqbppp/p1n1b2n/3pP3/1P1P4/P1NB1N2/5PPP/R1BQR1K1 b kq -,h6f5
6k1/p4p2/5r1p/8/3pr1p1/6P1/PP1R2P1/5NK1 w - -,d2d1
k7/P4p2/4p2p/2bPP3/R5P1/7P/1r2K1B1/8 w - -,e2f3
r3k2r/pp1bbppp/4pn2/2p1N3/4P3/1PN4P/1PP2PP1/R1BK3R w kq -,e5d7
rnr1q1k1/pbp2pbp/1p2p1p1/4P1B1/3P4/2Q5/PP1NBPPP/2RR2K1 b - -,b8d7
rnbq1rk1/pp1p1pp1/4pn1p/2p5/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQ c6,e2e3
2kr3b/p2bpN2/1pn3p1/q2p1p2/5B2/1QP5/P3BPP1/1R3K2 b - -,e7e5
5Q1Q/8/4p3/1p2P3/p1r5/P4K2/1k6/7R b - -,c4c3
r1b2rk1/2qpbppp/ppn1pn2/8/2PN4/1PN3P1/PB2PPBP/2RQ1RK1 b - -,c8b7
r1b2rk1/ppp2pp1/1b6/4q1BQ/4P3/1B5P/P4PP1/R3R1K1 w - -,h5h4
kr5r/6p1/P4p2/Rp1pq3/1Qp4p/4P3/5PP1/2R3K1 b - -,h4h3
r1bqkb1r/1p3ppp/p1n1pn2/3p4/2PP4/1P3N2/PB1N1PPP/R2QKB1R b KQkq -,g7g6
r1bq1k2/2pp4/p1n2bpB/1p1Q4/4P3/2P5/PP4PP/RN4K1 b - -,f6g7
8/7p/1p3p2/1r1k1p2/5P2/2P5/2PK3P/R7 b - -,d5e4
8/6k1/4R3/6P1/4p1K1/6P1/8/5r2 b - -,f1e1
r1br2k1/pp2ppbp/1qn2np1/8/2BP1B2/2N2N1P/PP1Q1PP1/R4RK1 w - -,a1d1
6k1/1b2qp1p/1p3np1/p2p4/PN1Pp3/1B2P3/1P3PPP/1NQ3K1 b - -,e7b4
r3k2r/pp2qp2/2pn3p/4p3/2Bp2Q1/3P4/PPP2PP1/4RRK1 b kq -,f7f5
r2n1rk1/1pqn1p1p/p2p1bp1/2pPp3/2P1P3/2NQ3P/PP3PPN/R1B1R1K1 w - -,h2g4
8/R3pk2/1p3p2/4nPp1/3p4/6K1/P2r3P/4R3 b - -,d4d3
4k3/1Rp2p2/2r3rp/P1PpP3/3B2P1/2PbK3/7P/R7 b - -,d3a6
3r1r1k/6pp/p4q2/1pp1p3/4QbR1/P1PP1R1P/1P6/5B1K b - -,d8d6
r1bk1b1r/1pp2Bpp/p2q1p2/3P4/Q2np3/8/PP1P1PPP/RNB2RK1 b - -,d6e5
2r1r1k1/1p3ppp/p4n2/3Nq3/1P1b4/PQ3B1P/1B3PP1/R5K1 w - -,b2d4
1B2k2r/1p2pn1p/2p1N1p1/8/2P1b1P1/2b5/P3BP1P/3R1K1R w - -,f2f3
rn1q1rk1/pb3ppp/1p2pn2/8/1b1P4/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1g5
2rq1rk1/p2n1ppp/bppbpn2/3p4/2PP4/1PN3P1/PB1NPPBP/R2Q1RK1 w - -,f1e1
8/8/3kn1PK/pp3p2/2p4N/P1P4P/1P6/8 w - -,h4f5
r1b1kb2/1p4pp/1Bpp1p2/p6N/Pn2r3/6RP/BPP2PP1/3R2K1 w - -,a2g8
