8/6k1/p1R5/6KP/6P1/8/8/r7 b - -,a1a5
rnbqk1nr/pp2ppbp/3p2p1/2pP4/4PB2/5N2/PPP2PPP/RN1QKB1R b KQkq -,g8f6
8/qNKr2b1/2R5/1P2p2k/4Pp2/8/8/8 w - -,c7d7
r4rk1/p1nbqppp/1p1p1n2/2pPp3/1PP1P3/P4N2/3NBPPP/1R1QR1K1 w - -,g2g3
3q1rk1/pb2bpp1/1p2B2p/3p4/4n2B/1Pr1PN2/PQ3PPP/R4RK1 w - -,h4e7
3q1rk1/1b2bppp/p2p4/1p2p1P1/7P/PP2nP1B/2PQ4/2K3NR w - -,d2e3
2rq1rk1/p2bnpp1/1b2pn1p/3p4/1P1P1P1B/P1NQ2P1/4N1BP/R3K2R w KQ -,h4f6
r7/7p/nk3pp1/R7/5P2/6K1/R4P1P/8 b - -,f6f5
3r2k1/6n1/pp3pBp/3n4/2pP1pP1/P1P2P2/3BR2P/6K1 b - g3,f4g3
rnb1k2r/1pp1qp1p/p2p4/3Pp1p1/4Pn2/2P1QN1P/PP3PP1/RN2RBK1 b kq -,h8g8
r3kb1r/ppqb1ppp/2n1pn2/1Bpp4/5P2/1P2PN2/PBPPQ1PP/RN3RK1 b kq -,f8d6
1r2r1k1/pp3ppp/2ppb3/8/8/1PP1RB2/P1P2PPP/4R1K1 b - -,e6d7
8/1p5p/3p4/3P2P1/6kP/pP2K3/P7/8 w - -,e3e4
6k1/8/7p/5pp1/P2pr3/3R1KPP/5P2/8 w - g6,g3g4
2rn2k1/7p/3p2p1/1P3p2/2P1qP2/1Q6/6PP/BR5K b - -,d8e6
1r3r1k/5pp1/7p/p2Bpb2/1b6/5P2/PPKB2PP/3RR3 w - -,d5e4
rnbqr1k1/pp2bppp/2p2n2/3p2B1/3P4/2NBP3/PP2NPPP/R2QK2R w KQ -,e1g1
1r2r1k1/3b2qn/1p1p4/p1pNb1pp/P1P1Pp2/1P1B1P2/2R1Q1PP/3RB2K b - -,d7e6
r3qrk1/p1pn4/1p1p1p1p/4p1p1/2PPP3/2P3P1/P3QPPN/3RR1K1 b - -,f8f7
2r2bk1/p4p1p/4p1p1/3pPn1P/1r1P4/1PNKBP2/P4P2/2R4R w - -,c3d5
r6r/pR2pkb1/2n1p1pp/2Pn4/8/N4N2/P4PPP/2BR2K1 w - -,c1b2
5r1k/1p3B1p/2p4P/4p3/p1P4b/P1N2P2/1P2K1p1/3R4 b - -,f8f7
2qbr1k1/2r3pb/pp2pn1p/N3p3/PQ2P3/2N1BPP1/1P1R3P/R5K1 w - -,e3b6
3q4/7k/pp2Q1p1/2p3K1/2P2P2/6P1/PP6/8 w - -,e6f6
3n2k1/3bqp1p/2p3pb/2NP1p2/3Q4/1P2P1P1/r5BP/2R1R1K1 b - -,h6g7
3r1r2/2kn2p1/1pp1Bn1p/p1b1p3/2P5/PP2P1P1/1B2K2P/1N1R1R2 w - a6,e6f5
3r2k1/p4p1p/qp2p1p1/3pN3/3P4/bP2P1PP/P1Q2P2/5RK1 b - -,d8c8
3k4/p2b4/8/1pp3R1/2p5/P5P1/nP1N1r2/2K2B2 w - -,c1d1
5rk1/3N2pp/4p3/p3p3/1p1n2P1/4P2P/1P5K/2R5 b - -,f8f2
rnbqr1k1/1p3ppp/pbpp1n2/4p3/PPPP4/2N1P1P1/4NPBP/R1BQ1RK1 b - a3,c8g4
4r1k1/pb1p1ppp/1np4r/4p3/8/BB3P1P/PPP2KP1/3RR3 b - -,d7d5
r7/1p2rkb1/p1p4p/2N1p3/6pP/4B1P1/PPP2PB1/3R2K1 b - -,a8e8
3r4/1RQbkp1p/3p4/p1b1p3/4P3/2P3P1/P4P1P/6K1 w - -,c7a5
5R2/8/p3pP1k/4r3/4P3/5K2/8/8 b - -,h6g6
2r3k1/1pqnbpp1/p2p1n1p/4pP2/2r1P3/2N1B1NP/PPPRQ1P1/5RK1 w - -,e3f2
1r2nrk1/1q1p2pp/4p3/1p1nN3/pP1PN3/5P2/1PRQ2PP/4R1K1 b - -,d7d6
rn1qkb1r/p4ppp/2p5/4P3/8/5N2/PPQ2PPP/RNB2K2 b kq -,f8e7
r2q1rk1/pp2bppp/1n2pn2/2P5/8/2PB1N1P/PP3PP1/R1BQR1K1 b - -,e7c5
r1b1k2B/p1p1np1p/2pb4/3p4/1q6/1P2PN2/P1P3PP/RN1Q1K1R b q -,c8a6
r1qr2k1/pp2p2p/6pb/2p1Pp1n/1nP2P2/1PB1Q1PP/P2N2K1/R3NR2 b - -,b7b6
1r1q1rk1/3bppbp/3p2p1/p2P4/B2B4/5P2/1PPQ2PP/R4RK1 b - -,g7d4
r5k1/5p1p/1ppR2p1/8/2q1P3/1r5P/1P1Q1PP1/3R2K1 w - -,d2f4
rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,c2c3:c2c4:d4c5:g2g3:b2b3:f1d3:f1e2:c1d2:b1d2
5rk1/pp1r3p/2p1b1p1/8/3b1PP1/5BK1/PP5P/R1BR4 w - -,d1d2
6k1/2p3pp/4pn2/1P2N3/3pP2P/1P1Q2P1/4KP2/q7 b - -,a1b2
2r1r1k1/pbq1ppbp/1pnp1np1/8/2P1P3/2N1BP2/PPNQB1PP/2R2RK1 w - -,b2b3
r3r1k1/1bpnqpp1/1p1p1n1p/p7/2PBP3/PPQ2P1N/4B1PP/R4RK1 w - -,f1e1
rnq1kbnr/pp3ppp/B1p5/3p1p2/5B2/2N5/PPP2PPP/R2Q1RK1 w kq -,c3d5
1r1qk2r/1ppb1pbp/p2p1np1/n2Pp3/2P1P3/P1N1BP2/1PQ1N1PP/3RKB1R w Kk -,e2g3
r2r2k1/pp3pp1/1np4p/3P3b/P2qP3/1QN3P1/1P4BP/R4RK1 w - -,g1h1
r7/5p2/1p2p1k1/1r1p4/pP1P4/R1P2KP1/8/7R w - -,h1h4
r1bqk1nr/ppp1n1bp/3p2p1/3PpP2/2P1P3/2N1B3/PP3P1P/R2QKBNR b KQkq -,g6f5
3r2k1/ppn1ppb1/6pp/4P3/3P4/1P3N1P/P5PB/2R3K1 b - -,c7d5
r2q1rk1/pp2npp1/1b4p1/3pP3/3Bn1P1/2N4P/PP2BP2/R2Q1RK1 b - -,e7c6
5r2/p3r2p/1p1bk1p1/2p1pp2/R7/BP1P2P1/P3PP1P/2R3K1 b - -,f8d8
rr4k1/1bp1npp1/pb1p1q1p/3B4/R2PP3/5N2/1PN2PPP/3Q1RK1 w - -,d5b7
r1b1k2r/p1ppb1pp/2p2q2/4N3/8/8/PPPPQPPP/R1B1K2R b KQkq -,f6e6
2rq1rk1/pb4pp/1p2p3/n7/4P3/3B1N2/P2Q1PPP/R3R1K1 w - -,a1d1
r4rk1/pp1nq1pp/2ppbn2/5p2/1PPPp3/4P1P1/PBQ1NPBP/R1R3K1 b - -,d7b6
r2qr1k1/p4b1p/2B1nn1b/5p2/3p1P2/B2P2N1/P2Q3P/2RN1R1K b - -,e6g7
2r2rk1/2qbppbp/p2p1np1/np1P4/3NP3/2NQ2PP/PP3PB1/R1BR2K1 b - -,a5c4
rn2kbnr/pp1q1ppp/4b3/3p4/3Pp3/PQN1P3/1P2NPPP/R1B1KB1R b KQkq -,g8f6
r2q1rk1/pb1n1ppp/1p2pb2/2pP4/7P/P1N1B3/1PPQ1PP1/2KR1B1R b - -,f6c3
1n1r2k1/q1r1bppp/p1b1p3/P3P3/2Np1P2/1p1P2PP/1P3BB1/R1RQ2K1 w - -,d1b3
1r3rk1/1bq1n1b1/3p2p1/NppPp1Bp/4pP1P/3P4/RP1QB1P1/5RK1 w - -,d3e4
8/6R1/8/1p4B1/3k1P1p/P2b3P/1n6/4K3 b - -,b2c4
r1bqk2r/ppppbp1p/6p1/4P3/2P5/2P3Q1/P4PPP/R1B1KB1R w KQkq -,c1h6
2Q5/5pk1/4p1p1/3r3p/8/7P/6P1/6K1 w - -,c8c3
rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/4PN2/PPQP1PPP/RNB1KB1R w KQkq -,b2b3
r2q1rk1/3nppbp/b2p1np1/1NpP2B1/PpB5/5N2/1PQ2PPP/R4RK1 w - -,f1e1
3q4/5pk1/2pb2p1/1p1p4/p2P2Q1/P2BP1P1/1P3P2/5K2 b - -,d8c7
5k2/1R2n3/4ppp1/2b5/5P1P/2N2KP1/8/8 b - -,c5d4
8/p7/1b2k3/5p2/1P3P1p/3p1K2/8/8 w - -,b4b5
2r2r1k/pbq2pbp/2n1p1p1/4PnP1/R1ppNPN1/3P3P/1PPB2B1/4QRK1 b - -,c4d3
8/1p3R1k/8/2r1BP1p/P1P5/1p5B/2b4P/6K1 b - -,h7g8
8/5r2/7P/8/4bB1K/5k2/R7/8 w - -,f4g3
8/1pb1kp2/p1b1p1p1/8/2N3R1/1P5P/P1K1R1P1/r7 w - -,c2b2
8/5p1k/1q1p2p1/3Pp2p/2P1P2P/2P3P1/2Q2PK1/8 w - -,c2e2
rn1qk2r/1bp2ppp/1p2pn2/p2p4/1bPP4/2NBP3/PP1BNPPP/R2Q1RK1 w kq -,c4d5
r4rk1/1p1b2np/3N4/P2P2b1/3B2p1/P5P1/2B2P2/R3R1K1 b - -,a8a5
1kbr3r/pp2bp2/3ppnpp/8/4P1PP/2NPBP2/PP2N3/1K1R3R b - -,b7b6
1q2rrk1/pp1n1ppp/2pbp3/8/N1PP4/PP2B1P1/4QP1P/R2R2K1 w - -,e2f3
rnbq1rk1/ppp2pbp/3p1np1/8/2BNP3/2N2P2/PPP3PP/R1BQ1RK1 b - -,f8e8
4k3/1P1n1pp1/r2bp1p1/BR6/2pPP3/6P1/4N2P/7K w - -,e2c3
2r2rk1/1b4pp/pp1qp3/4Np2/P1pPnP2/1PN5/2Q3PP/R4RK1 w - -,c3e2
8/3k1ppp/p3p3/2pbP1P1/1Pp1pP2/4P1P1/P2K2B1/8 w - c6,b4c5
r3kbnr/pp3ppp/1np1p3/3q4/3P4/3BPN2/1PQ2PPP/1RB2RK1 w kq -,e3e4
3r4/p1p2kbp/4p3/1p1n4/2B1R3/P4P2/1P3P1P/1K4R1 w - b6,c4b3
2bB4/p4p1k/1p1bq1p1/7p/4p2P/1P2P1P1/P2Q1PK1/3R4 w - -,d2d6
2k5/8/1pPp2p1/p5Pp/P2K3P/1P6/8/8 w - -,d4c4:d4d5
2br1rk1/p3qp1n/1ppp1bp1/4p2p/2PPP3/1PN1B2P/P2QN1B1/3R1RK1 w - -,d4d5
2b2rk1/rp3p2/p3pP1p/6p1/4q3/7Q/PPP1B1PP/2KR3R w - -,h3h6
r2qk2r/1b2pp1p/pb1p1np1/1p6/4PP2/3P4/PPB1N1PP/R1BQ1R1K b kq -,d8c7
rnbq1rk1/ppp1p1bp/3p1np1/5p2/1PPP4/5NP1/PB2PPBP/RN1QK2R b KQ d3,e7e6
r4rk1/pb1nqpp1/1p5p/3p4/2pP4/4PN2/PP2QPPP/1BR2RK1 b - -,b6b5
4rr1k/1ppq2pp/3b1n2/pP6/P2P1p2/5B2/1BQ2P1P/R3K1R1 w Q -,e1d1
r1b1r1k1/1p1nqp1p/p1p3p1/P6n/1P1PN3/3B1N2/2Q2PPP/1R3RK1 b - -,d7f6
4q1k1/ppp4p/2n3p1/8/2P5/P1BQP3/1P3r1P/2K3R1 w - -,c1b1
r1r5/2P2R2/p1Q1p1k1/1p4pp/8/1P2PP2/P5P1/6K1 b - -,g6f7
r3r1k1/p2pP1p1/npp2q1p/5p2/2P1n3/P3NNP1/1PQ1PPKP/R4R2 b - -,e8e7
8/8/8/6Q1/8/2P1pq2/1K4k1/8 b - -,g2f1
2r2r2/pp4bk/3p2pp/3Ppp2/2P4q/3B1P1P/PP2Q1P1/R3R1K1 w - -,e2f2
1n1r1rk1/p1pN2pp/2P1p3/1P6/4Pp1P/B2BnPq1/P2Q2P1/2R3K1 w - -,d2f2
r5k1/3R3p/5rn1/pp3p2/2b2B2/P4PK1/1P4PP/4R3 b - -,f6f7
r1b2rk1/5ppp/p1p5/q2p4/3Q4/2P1P3/P3BPPP/R3K2R b KQ -,c6c5
r1b2rk1/1pq1bppp/p1p1pn2/3p4/P1PP4/1QN1P3/1P1BBPPP/R2R2K1 b - -,d5c4
8/8/1kp5/5p1R/3Kb1PP/4P3/3r4/8 w - -,d4e5
r3k2r/1bq1bpp1/p2ppn2/1p5p/1Pn1PP2/P1N2B2/2P1N1PP/R1BQ1R1K b kq -,f6g4
5r1k/5qp1/1p5p/p1bQB3/5PP1/7P/P2R2K1/8 w - -,d5c6
2r1r1k1/p1q1p2p/2pnP1pb/1pBb1pN1/3P1P2/2P4B/P5PP/2QRR1K1 b - f3,h6g5
1R6/8/1P6/2K1P1p1/8/6k1/3r4/8 b - -,d2c2
r1b2rk1/1p2ppbp/n5p1/1Nq5/P1QNn3/R3P3/3B1PPP/4KB1R w K -,c4c5
6k1/3R1np1/1r5p/2N1p3/7P/1P4P1/5K2/8 b - -,f7d6
r2qkb1r/1bpn1ppp/p3pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQ1RK1 w kq -,d1e2
8/pB2kpp1/1p2p3/2b5/2Pq3P/1P4P1/P3QPK1/8 b - h3,a7a5
r4r2/1p1k4/P1pPp3/4Pp2/2pPbP1p/4K2P/R7/R4B2 b - -,b7b5
r2qk2r/pp1bppbp/2np1np1/1B6/P2pP3/2P2N2/1P3PPP/RNBQR1K1 w kq -,c3d4
rn1qk2r/p1pp1ppp/1p2pn2/3P4/2P1b3/2B2NP1/PP2PPBP/R2Q1RK1 w kq -,a1c1
8/1k6/p3pp1p/5p2/1P1P1P2/6PP/2K5/8 b - -,b7c7
r2qk1nr/1bpnppbp/p2p2p1/1p6/3PPP2/3BB3/PPP1N1PP/R2QK1NR w KQkq -,g1f3
8/1p5k/1P4pb/p2pq3/8/3Q2P1/P3R1K1/8 b - -,e5d6
1R6/4k3/6P1/2P1p3/4P3/p3BK2/8/r7 b - -,a3a2
8/4B2p/2kP4/2p2K2/rb6/p7/R5PP/8 b - -,c6d7
4rn1r/pp2bkpn/2p1p3/6B1/3PN2P/7B/PPP1RP2/2K1R3 w - -,e2e3
5rk1/5pbp/2R3p1/r1N5/P2pP3/2q2QP1/5PKP/5R2 w - -,f3c3
r2qr2k/5Qb1/3P2p1/3RP1Pp/7P/1P1P3B/1p6/1K3R2 b - -,e8f8
8/6p1/1R5p/4kp2/1P6/2r4n/8/3R1K2 b - -,c3c2
r3qrk1/1p1b1pb1/n1pp1npp/p2Pp3/2P1P1P1/P1N1B2P/1P1N1P2/R2QKB1R w KQ -,f1e2
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,b8d7
6k1/Q3pp1p/3p1np1/3P4/3P1q2/1r3B1P/6P1/3R3K w - -,a7a4
1r1q1rk1/pb2bp1p/1n1p1np1/2pP4/P1B2B2/1PN3N1/2Q2PPP/R2R2K1 b - -,f8e8
2r3k1/pp3p1p/1r3bp1/3p4/3P4/P1P1R1P1/1B2RP1P/6K1 w - -,f2f4
5k2/1p3pp1/p2b4/3p1p2/P2P4/1P5P/5PP1/2B3K1 b - -,d6b4
6k1/8/3p2B1/3P2P1/r7/8/6K1/8 w - -,g2f3
r2rn1k1/B1R2pp1/4p2p/1p1b4/n7/P2P1NP1/P4PBP/2R3K1 b - -,e8c7
2rrbbk1/q2n1p1p/4pPp1/p2pP3/Pp1n2PQ/1P1B1N1P/R2BN3/5R1K w - -,e2d4
rnbq1rk1/ppp3pp/5n2/4pp2/2P5/P3PP1N/1PQ3PP/R1B1KB1R w KQ -,h3f2
8/5R2/5p2/4pNkP/4P1P1/8/4r3/6K1 b - -,g5g4
r3kbr1/pp3p1p/2n1qn2/2p2N2/3pP3/3P2B1/PPP1Q2P/R2N1R1K b q -,e8c8
2b2rk1/1p3rpp/p3p3/2Bp2q1/P1p1p1B1/2P3QP/2P3PK/RR6 b - -,f8e8
r3r1k1/p4ppp/2p4q/2Np4/PQ6/6R1/1Pb2PPP/R5K1 w - -,b4c3
8/8/3n1k2/4N3/3K4/7B/8/8 w - -,e5d7
1n4k1/p4qbp/1p1Pp1p1/2p1P3/2P5/P3QNB1/1P4P1/5K2 b - -,b8d7
3KR3/8/1Pk4r/2P5/8/8/8/8 b - -,c6b7
r1bq1rk1/pp2ppbp/2p2np1/2p5/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w - -,f1e1
4rr1k/pb4pp/8/2pp4/4pPB1/1P2P2R/P5PP/2R3K1 b - -,d5d4
r1br2k1/1p3p1p/1qn1pbp1/1N1P4/4P3/8/P2QBPPP/2NR1RK1 w - -,d2f4
2rq2k1/7p/1p2p1p1/p1n5/3r4/PP3P2/2B1Q1PP/2R2RK1 b - -,d8f6
3r1rk1/7p/6p1/p1p1p3/P1Pq1P2/1P1p1R2/3Q2PP/3R3K w - -,f3d3
2q1k2r/3bbppp/4p3/2NpP2P/3P4/R1Q5/2B2PP1/6K1 w k -,c5d7
r2q1rk1/pp2bpp1/2n1bn1p/3p4/Q6B/2NBPN2/PP3PPP/R3K2R w KQ -,e1g1
8/pp1b2kp/2p1pq2/6p1/1P1P4/6P1/P4Q2/4R1K1 b - -,f6f2
3r2k1/p3n1pp/1r1p4/1Pp5/4p3/PbN2P2/3RB1PP/R5K1 w - -,f3e4
4nrk1/3b1p1p/1p1p2p1/4p3/2PN4/1P4P1/4PPBP/5RK1 w - e6,d4c6
5B2/Q7/p3ppp1/5k2/4q3/5nPK/5P2/8 b - -,f3g5
rn3rk1/p1q2pbp/1p4p1/2pP2B1/8/2PQ1N2/P4PPP/1R3RK1 b - -,c5c4
1r4rk/1p3p2/p1p2q2/4pN1P/P4b2/5Q1B/1PP5/5R1K w - -,f3e2
8/5P1p/4k3/p1p3pB/P7/1P4bP/3K4/8 b - -,e6e7
r1bq1rk1/2p1bppp/p4n2/4p3/Pp2P3/1B6/1PP1QPPP/RNB1R1K1 b - -,e7c5
r4rk1/1bqnbppp/pp1ppn2/8/2PNP3/1PNQ4/PBB2PPP/R4RK1 w - -,a1e1
r3r1k1/1p1q2p1/p2p2RQ/3N3p/3NP3/7b/PPP1K3/8 b - -,e8e4
8/8/8/pp3k1p/1p5P/1P3P2/P7/5K2 b - -,f5e5
r1b2rk1/p1q2pb1/1p4p1/n1p1p1Bp/3PP2P/2PB4/P2QNPP1/2R1K2R w K -,g5h6
r2r4/2q3k1/p2p3p/2p1pbbP/N1P3p1/1P4R1/P3QPP1/2BR2K1 w - -,c1g5
2rr2k1/p2qnbpp/3b1p2/2pp4/1nP5/BQ1P1NPP/P2N1PBK/1R2R3 b - -,a7a5
r4rk1/pbq2pb1/2pp1np1/1p2n1Np/4PN1P/4BP2/PPPQB1P1/R4RK1 b - -,a8d8
6k1/pp6/7Q/2PP1bp1/8/6P1/P3q2P/6K1 b - -,e2e3
3B2n1/1Q5p/1P3ppk/p1b5/1q2R3/6PP/P4K2/8 w - -,f2e2
8/2k2p2/5Pb1/1p4Pp/7P/2K5/1P6/8 w - -,c3b3
r4r1k/pb1nq1pp/3b4/1Pp1p3/8/1P5N/PBQ1BpPP/R4RK1 w - -,f1f2
r1bq1rk1/2n1p1bp/3p1np1/2pP1pN1/8/2N3P1/PP2PPBP/R1BQ1RK1 w - -,d1c2
r5k1/1p4pp/pnp5/2N5/4R3/6PP/PPP5/2K5 b - -,a8f8
5rk1/2q4p/P1n2nr1/2p2Np1/1pP1Pp2/3P1Q1P/5PP1/R4RK1 w - -,f3e2
5rk1/4bpp1/1r3n2/p1q1pP1b/Pp1pP2p/1B1P3P/1PPB2P1/2R1QRNK w - -,e1h4
4k1nr/1p3p2/p3b1p1/3pPpN1/PqB2N1p/nPrR3P/1Q4P1/K3R3 b - -,c3c2
2b5/6kp/pr6/N3pp2/2P5/5P2/PP4P1/2K1R3 b - -,b6g6
r2q1rk1/5ppp/2npbb2/p2Np3/1pP1P3/6P1/PPN2PBP/R2Q1RK1 b - -,f6g5
r4rk1/1p3ppp/p7/2bqnPP1/3pN2P/8/PPP1R3/R1BQ1K2 w - -,c1f4
2kr1b1r/1b6/2n1N1p1/1q1pP3/p1pP4/1pP2B2/PP6/RQB2RK1 b - -,d8e8
8/5k2/4R3/2pP2p1/2r1Pp2/5P2/6K1/8 w - -,g2h3
r1r3k1/pp2ppbp/2bp1np1/q7/2PBP3/P1N2P2/1P1QB1PP/R2R2K1 b - -,a7a6
r4k2/PN2b2p/2r2np1/2Pp1p2/3P1P2/4PB2/3K3P/R3R3 w - -,e1b1
r3r1k1/pp5p/2p1b1p1/2p1b3/2P1P2q/3BBPp1/P2QN1P1/R2RN1K1 b - -,e8f8
4k3/8/p1p1P2p/4K2P/P7/2B1b3/8/8 b - -,c6c5
1rbr2k1/pp2pp2/1np2npq/N6p/1P1PPN1P/P3QPP1/5K2/2RR3B b - -,f6e8
r6r/1b2kppp/1np1p3/8/p1P5/P1N3P1/1P3PBP/2KR3R w - -,c4c5
1k1r3r/pp1n1qp1/2p3p1/2bpp1P1/5PB1/4P2P/PPP3K1/R1BQ3R w - -,h1f1
r2qk2r/3n1pp1/p1pbpnp1/1p1p4/2PP4/1PN1PN1P/PB3PP1/R2Q1RK1 w kq b6,d1c2
r2r2k1/pppn1pb1/6p1/4p2p/2P1P2P/1PN1PBP1/P5K1/1R1R4 w - -,g3g4
r1b3k1/1p3rp1/p1pq1n1p/3p4/6PP/2BQPP2/P5K1/1BR2R2 b - -,g8f8
8/r6k/p1p2rp1/PpN2q2/1P1PpPQP/4P1R1/7K/8 w - -,g4e2
rb3rk1/pR1R1p1p/2N2Pp1/P7/4p3/4P3/5P1P/6K1 b - -,a7a6
3r1r1k/pp1qb1pp/P2pB3/1N2p3/2Nnp3/2P5/1P3PPP/R2Q1RK1 b - -,d4e6
8/p1pR1ppk/1bp2r1p/5r2/5P2/2P1B2P/PP2KP2/4R3 b - -,g7g5
3r2k1/5r1p/6p1/1p1q1p2/3Pp3/P1R5/1PPQ2PP/5RK1 w - -,f1d1
r4rk1/1bp1qppp/1p3n2/p3p3/P3P3/2P1NP2/1PQ1B1PP/R4RK1 b - -,e7c5
5rk1/2p1qppp/rpnnp3/3P4/p3PN1P/2B2P2/PP3QP1/R3K2R b KQ -,c6d8
r1b2rk1/1pp3bp/3p1qp1/p1nPp3/1nP1P3/2N1BN1P/PP1QBP2/2KR3R b - -,b4a2
4Rrk1/8/4K1p1/p5P1/7P/1P2p3/8/8 w - -,e8e7
4rrk1/pp2n1bp/q1b1p1p1/2p1Pp2/2P2P2/1P2BNPP/P3Q1BK/1R3R2 b - -,b7b6
