8/8/1R2bp2/2B1k2K/8/1p4P1/5r2/8 b - -,f2f5
rq3rk1/1b1n1pbp/p2p2p1/3N3n/p2P4/4BN2/BP3PPP/2RQR1K1 w - -,d1a4
6k1/5p2/p4q1p/3p2p1/1Qb5/2P2PB1/P3r1PP/R5K1 w - -,h2h4
8/8/7k/5N2/3B2pK/8/p4P2/N2r4 b - -,h6g6
5k2/1R2pp1p/B3b1p1/3N4/4P3/6P1/P1rn1P1P/6K1 w - -,d5b4
4r1k1/2p1rqp1/p1b1pn1p/1pPn4/3P3P/PQ4P1/3BRPBN/4R1K1 w - -,b3b1
5r1k/ppp1b3/4P2p/3nR1p1/3r4/P2B2PP/1PP2P2/R5K1 w - g6,e5e2
r2qk1nr/1b1nppbp/p2p2p1/2p5/Pp1PP3/3BBN2/1PPQNPPP/R3K2R w KQkq -,e2g3
rnb1k2r/ppp2ppp/4pB2/3q4/3P4/2P5/P1P2PPP/R2QKBNR b KQkq -,g7f6
r2qk2r/p2nppnp/3p2p1/2pP2Pb/1pP1P3/1P3N1B/P1QN1P1P/R3K1R1 b Qkq -,a7a5
4rrk1/p1q5/2bb2Q1/1pp1pp2/7P/P1PP2P1/2PN1P2/R4RK1 b - -,g8h8
8/2Pkn3/5ppp/2K1p3/4PPP1/6P1/8/8 b - -,d7c7
8/3k3p/1B2p1p1/2K2p2/3P1P1P/4Pb2/8/8 w - -,b6a7
8/Q6p/5pk1/P4p2/8/5P1P/3q1PK1/8 w - -,a7c7
2qr1rk1/bpp2pp1/p2pbnnp/4p3/NPP5/P2PPNPP/1BQ2PBK/2RR4 b - -,f8e8
r4rk1/p2nqpp1/Qp5p/2P1p3/8/2R1PN2/PP3PPP/2R3K1 b - -,d7c5
1k4r1/pp1b3p/2ppnq2/5p2/2PP1P2/3B3P/PP2NQ2/1K2R3 w - -,e1g1
2r2b2/p5pp/1p2k3/5pn1/P1NB4/1P2PP2/3RK1PP/8 b - a3,f8b4
r1b1k2r/ppq1bppp/2p2n2/n3N3/Q3P3/2P5/P3BPPP/RNB2RK1 w kq -,e5f3
1n2qr1k/2rb2bp/pp1p1np1/2pPp3/P1B1P1P1/RP3N1P/2PBQ1K1/3N1R2 w - -,c4a6
8/pp2k2p/2p5/6n1/8/5P1P/PP2NP2/4K3 w - -,f3f4
4r3/5k1p/p2b1pp1/1p6/2P5/1P5P/PB4P1/4R2K w - -,e1e8
8/p2R4/8/6p1/2k2p2/6r1/5K2/8 b - -,c4c5
r3kb1r/pp1N1ppp/2p1p3/q2p4/3PnP1B/3QP3/PPPN2PP/R3K2R b KQkq -,e8d7
3q4/p5k1/4nn2/1p5p/1P2P1p1/2P3N1/5PBP/3Q2K1 w - -,d1c1
Q7/8/4k3/5p2/8/3q2PP/5PK1/8 w - -,a8c6
3r3k/P5p1/3p4/3Pp1P1/4B2r/8/2P1pqQP/6RK b - -,e2e1q
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq -,d7d5
7r/2P5/8/8/1p1p2p1/3P1k2/3K1P2/5R2 w - -,f1b1
8/5Rpk/3N1b1p/4r3/4Pn2/8/8/2K5 w - -,f7c7
r2k3r/ppq2pb1/3pb1np/2p3p1/BPPpPP2/3P4/P2QN1PP/R4RNK b - f3,g5f4
2rr2k1/1pq2pp1/p1bppb1p/8/3NPP1P/2NQ4/PPP3P1/1K1R1R2 w - -,g2g4
r1b2rk1/pp3ppp/3q1n2/2ppN3/3Pn3/2PBNQ2/PP3PPP/R1R3K1 w - c6,f3d1
r5k1/p1pp2pp/bbp3r1/8/4PP1q/3N1Q1P/PPPN2P1/R4R1K w - -,h1h2
8/3r1k1p/1p4pB/p1rp1P2/R1b1pP2/P1P1R2P/2P2K2/8 b - -,g6f5
6R1/4k3/2N3p1/1p3pP1/1Ppp1P2/P2P2K1/2r5/8 b - -,e7f7
r5k1/p1qbnr1p/Rp2p1p1/1P1p1pQ1/3B3P/2PB4/2P2PP1/4R1K1 b - -,d7c8
r3r1k1/pp3pbn/2pB4/4PQqp/2PP4/1PN3PP/P3N1BK/8 w - -,f5d7
r1bq1rk1/pp2ppbp/2np1np1/8/2PN4/P1N1P3/1P2BPPP/R1BQ1RK1 b - -,c8d7
8/8/7p/6p1/3r3P/4kBP1/4P3/6K1 w - -,h4g5
r1bq1rk1/pp1pn1bp/2n2pp1/2pNp3/4P3/3PBNP1/PPP2PBP/R2QK2R b KQ -,d7d6
2r5/1n2k1p1/1pp1bp1p/4p3/PN2P3/1P2KB2/2P3PP/3R4 w - -,f3e2
r2qr1k1/1p3pbp/p2p2p1/2pPnn2/2P2B2/1PN4P/P2QNPP1/R4RK1 w - -,a2a4
rnbq1rk1/pp2ppbp/5np1/2p1N3/2B2P2/2N5/PPPP2PP/R1BQK2R w KQ -,d2d3
r1b5/p4rpp/5k2/1p1pRp2/1P1PnP1N/2P3P1/P6P/2R1B1K1 w - -,h4g2
8/pp4kp/2p5/5p2/1Pnr4/6P1/P3KP1P/2RN4 b - -,g7f6
2rr2k1/pp1b1pp1/4pn1p/2b5/3N3B/1B6/PPP2PPP/3RR1K1 b - -,g8h8
4r1k1/pp4p1/1b3B1p/3P3b/1PP1q3/4P1QP/6P1/R3R1K1 b - -,h5g6
6k1/8/8/2n2P2/6P1/2R4P/r5b1/6K1 w - -,c3c5
r4rk1/pp3ppp/2p5/8/1Q6/P3BK2/2q2PPP/5BNR b - -,f8e8
r1b3k1/ppn3b1/2p1q1p1/2Ppnp2/3P1PPB/P1NB4/1PQ5/2K4R w - -,f4e5
2bq1rk1/5p1p/1n1pp1p1/BPpP4/3bP3/NQ4PP/5PB1/5RK1 b - -,e6d5
r2r1k2/1pp2p1N/2n5/6P1/p3p3/P1BqP3/1PQ2PP1/R5K1 b - -,f8g8
r3r1k1/5ppp/pn1p1q2/1ppP4/8/PPP2N1P/3Q1PP1/3R1K1R b - -,e8e7
8/8/2pR2p1/7p/1pP1k2P/1P3p2/6r1/3K4 w - -,d1e1
rnbqkbnr/ppp2ppp/3p4/4p3/8/1P6/PBPPPPPP/RN1QKBNR w KQkq -,e2e3:e2e4:c2c4:g2g3
r3k3/pb1p4/1pn5/2p4p/5B1P/4PP2/Pq3KP1/3Q1B1R w q -,f2g1
r2q1rk1/1p2ppbp/p1n1b1p1/2Pp4/B2Pn2N/2N1B2P/PP3PP1/R2Q1RK1 w - -,a4c2
8/7p/4p1pk/4P3/Q4P2/4q2P/2P3PK/8 w - -,a4b4
3r1b2/1q3ppk/r3bn1p/1p1ppN2/1B2P3/PP3Q1P/3N1PP1/3RR1K1 w - -,b4f8
8/3qb1k1/3ppnp1/1Np1p3/1pP1P2P/3PQ3/rP1N1PK1/1R6 b - -,f6h5
1q2r1k1/pb2bpp1/2p1pn1p/2P1N3/8/1P6/PB3PPP/1BRQ2K1 b - -,e8d8
2r1k1r1/3qbp2/p2pb3/Bp2p3/4P1pp/1P2Q1P1/P2N1P1P/2R2RK1 b - -,h4g3
4rbk1/6pp/2N2p2/p2PpQ2/Pp2R3/1q4PP/5PK1/8 w - -,f5d7
r1r3k1/p3bppp/1p2pn2/2n5/2NN3P/1P4P1/PBP2Pb1/3RR1K1 w - -,g1g2
2rr3k/1pp3p1/2q2b2/5B2/2nB4/P2Q2P1/3N1P1P/3RR1Kb w - -,d3f1
r2q1rk1/pp3ppp/2p1bn2/5p2/1bNP4/2N1P1P1/PP3PBP/R2Q1RK1 w - -,c4e5
r1bq1rk1/1p1nppbp/p1pp1np1/8/P1PPP3/R1N1BP2/1P1Q2PP/4KBNR b K -,e7e5
3k4/8/p1p1K3/P7/8/2P5/1P6/8 b - -,d8c7
4r3/1pp2pkp/3p2p1/p1nPr3/2P1P3/1P1BPR2/P3K1PP/1R6 w - -,b1f1
3K4/5q2/7p/6p1/3k4/Q4P1P/8/8 b - -,f7f6
7k/pR6/6p1/4p3/Pp1bPr1P/1P6/6K1/8 w - -,b7b4
6r1/1pp5/3k2pR/1P6/1P2PP2/2K5/2P5/8 b - -,d6d7
5rk1/ppnn1p1p/2p1p1p1/4P3/P1Q5/1PqP2PP/5PB1/1R2R1K1 b - -,c3d2
8/6pp/4k3/8/2N3P1/4K2P/8/6n1 b - -,g1h3
8/1R6/6pk/1P2p3/4B3/4bPN1/3r2n1/5K2 b - -,g2f4
4r1k1/1b3p1p/1q2rbp1/2pP4/2B5/1P4NP/5PP1/2QRR1K1 b - -,e6e7
6k1/5pp1/4b2p/2Rp4/8/4P2P/r3BPP1/6K1 w - -,e2f3
r2qk1nr/pp2ppbp/2npb1p1/8/8/1NN3P1/PPP1PPBP/R1BQK2R w KQkq -,e1g1
8/2n5/1b6/8/2k5/K7/8/8 b - -,c7b5
b1r2bk1/Q4ppp/p2p1n2/4pP2/4P3/PN3B1P/5BPK/4Rq2 b - -,f1b5
2r5/1pN2pk1/p2Bp3/3bP1p1/2p2n2/P3R3/1P3P1P/5K2 b - -,g7g6
1R6/8/5p2/r2p1k1p/4p2P/2r3P1/3R2K1/8 w - -,d2f2
r1bq1r2/p5kp/1p1pNn2/n1pPpp2/2P5/1PN4P/P3BPP1/1RQ2RK1 b - -,c8e6
r3r1k1/ppp2ppp/2n2n2/8/BqpP4/1PB1PQ1P/6P1/RN3K1R b - -,b4d6
3r1rk1/ppp3b1/2n1pBpp/4p3/4P3/2N2N1P/PPP2PP1/3R1RK1 b - -,g7f6
4r3/p7/1p1nPkpp/2p4P/2P2Pn1/PPK3N1/4R1P1/8 w - -,h5g6
r1br2k1/1pq1bppp/p1nppn2/8/P3PP2/1NN1B3/1PPQB1PP/R4RK1 b - -,d6d5
1r3r1k/p4p1P/8/1p6/2p2PP1/2b5/PP2B3/2K1R3 w - -,b2c3
r1bqr1k1/1pp2pbp/p2p1np1/3Pp3/P2nP3/2N1BN1P/1PP1BPP1/R2Q1RK1 w - -,e2d3
2b5/1pPk4/5p2/1N1p1p1p/P6K/4P2P/6P1/8 w - -,h4h5
8/8/k1p4p/p1p1p1pP/K1P1PbP1/1P6/P7/6N1 b - -,a6b6
2r1r1k1/5pbp/p5p1/1p6/4NBP1/1P3N1P/P4P2/4R1K1 b - g3,f7f5
r1bqkb1r/1p3ppp/p1nppn2/8/3NP3/P1N1B3/1PP1BPPP/R2QK2R b KQkq -,f8e7
3r1r1k/2p5/1p2qn1p/p1p1Bnp1/P3Q3/5P2/1P1RB1PP/5RK1 w - -,d2d8
r3k2r/pp3pb1/2p1b1pp/8/2q1pB1P/1R2P3/PPP2PP1/2KRQ1N1 w kq -,b3b7
rr4k1/6pp/8/2QqR3/p7/2P4P/1P3PP1/R5K1 b - -,d5c5
1rrb2k1/p1qQ1p2/2P1p1p1/PP5p/7P/4p1P1/5PB1/1RR3K1 w - -,b5b6
r3k3/pbpn1p1p/1p2pr2/8/P2Pp1nq/B1P3N1/2PQ1PPP/2KR1B1R w q -,d4d5
r3k2r/pp2bppp/1qbppn2/8/3NP3/2NQ4/PPPB1PPP/R4RK1 b kq -,e8g8
2r1k2r/3bbpp1/p2ppB1p/1p6/2qNPP2/P1NQ4/1PP3PP/R4R1K b k -,c4d3
r2qk2r/1p1bbppp/p2ppn2/4n3/4P3/1NN1B1P1/PPP2PBP/R2Q1RK1 w kq -,e3d4
r2q1rk1/1p2ppbp/2p2np1/p4b2/Pn1PP3/1PN3P1/1B2NPBP/R2Q1RK1 b - -,f5e6
r6r/3nQ2p/p1q3k1/1p1b4/8/8/PPP2PPP/2BR1RK1 b - -,d7f6
rnbqkbnr/pp3ppp/4p3/2p1P3/3p4/2P2NP1/PP1P1P1P/RNBQKB1R b KQkq -,b8c6
8/4b3/pk1r4/2p1p1pp/2P1P3/4B2P/1P2KPP1/R7 w - h6,f2f3
8/5rk1/5pp1/4p2p/PQ5P/1PP1q3/2K5/3R4 b - -,f6f5
2Q5/pp2q1kp/2p2r2/2b1p1r1/4P3/1BR3P1/PP3PK1/5R2 w - -,c8g8
rnb2rk1/pp2q1bp/3p1np1/2pP1p2/2P2P2/2NBR2P/PP2N1P1/R1BQ2K1 b - -,e7d8
1r1nqrk1/2p5/p2p2pb/P2Pp3/1PP1bn1P/Q4P2/4NB2/3RKB1R w K -,f3e4
r1bq1rk1/p1p2ppp/1p2pn2/6N1/3P4/8/PPPQBPPP/2KR3R w - -,e2f3
3r4/5k1p/5p2/1B1P4/P5b1/8/1P3R2/7K w - -,b5c6
r2qk2r/3bbppp/p1n1p3/2P5/2BPpB2/7N/P4PPP/1R1QK2R b Kkq -,e8g8
rnbqk1r1/ppp2pP1/4p3/3p2p1/1b1P3P/2N5/PPP2PP1/R2QKBNR b KQq h3,g5h4
rn1qr1k1/p1p2ppp/1p1pp1b1/8/2PP4/P1B1PQ2/1P1N1PPP/R4RK1 b - -,b8d7
4b1k1/1Q3ppp/3qp3/p7/P1P5/5B1P/5PP1/6K1 b - -,d6c5
3br3/3R3p/p4k2/1pp2Pp1/2P5/1P6/P2B2PP/6K1 w - -,g2g4
6Q1/p4pp1/1p1R3p/1P3k2/q7/6P1/5PKP/8 w - -,g8f7
1r2k3/5p2/1P1R2p1/3Pp3/p3P3/3P2P1/6KP/8 w - -,d6c6
8/R3bpk1/4p2p/8/2PP2B1/4P1P1/7r/5K2 b - -,g7f8
rnbq1rk1/4ppbp/3p1np1/1ppP4/P3P3/2N2P2/1P4PP/RNBQKB1R w KQ -,f1b5
8/2R5/4k3/7P/8/1r6/2b2KB1/8 b - -,c2f5
6k1/1p3bpp/1P2p3/8/3r4/5B1P/2R3PK/8 b - -,f7e8
r1b2rk1/pp4bp/3p1n2/2pP4/2P2P2/1PN1qB2/PBQ4P/R4RK1 w - -,g1h1
r1q1r1k1/bb3ppp/5n2/1N1p1N2/1Pn1PB2/6PP/4QPB1/R2R2K1 b - -,a7b8
3rqrk1/2n1pp1p/pp4p1/2pPb3/P1P1N3/7P/1P1QBPP1/3R1R1K w - -,f2f4
1r1qk2r/3b1pbp/pn1p1np1/1ppPp3/4P3/1PPBBP2/P2QNNPP/R4RK1 w k -,f3f4
r3n1k1/1p2bpp1/p1rpp1p1/6P1/P1P5/1PN1B2P/4PPK1/2RR4 w - -,d1d3
4r1k1/2p2q2/p4bn1/P7/NPp1Ppb1/8/3Q3P/2RR1NK1 w - -,d2d5
rn1qkb1r/pp1n1p1p/2p1p1p1/3pP1N1/3P4/2N4Q/PPP2PPP/R1B1K2R b KQkq -,f8g7
r6r/ppqk1pp1/4p2p/PQBn4/3P4/4P2P/4KPP1/R6R b - -,c7c6
1r4r1/2pb1k2/1p1p1n1q/p2Ppp1p/P1P5/2Nn1P2/1PB2QPP/1K1R2R1 w - -,c2d3
3r4/6p1/ppkPpp1p/2p5/2Pn4/1P1K2BP/1P3PP1/R7 b - -,a6a5
r5k1/1p4pp/p1n1p3/3p4/5P2/1B3N2/P3b1PP/4R1K1 b - -,e2f3
r4rk1/1bq2ppp/p3pb2/1p1p4/2nNPP2/4Q3/PPPNB1PP/2R1R1K1 w - -,d2c4
r2q1rk1/pb2bppp/1pn2n2/2ppN3/3P1B2/2NBPQ2/PP3PPP/R3K2R w KQ -,e1g1
3r4/p3bkp1/1q2p2p/2p2p2/1PP5/4QBP1/P3PP1P/R5K1 b - -,c5b4
r7/1p1b1pk1/p3pqp1/3p2Rr/3P1P2/2PB2Pp/PP1Q3P/5RK1 b - -,a8h8
6k1/3bRpbp/p2p2p1/1p1q2B1/2rN4/2PQ1P1P/PP4P1/6K1 w - -,d3e3
3rr2k/1bq2pbp/pp1p2p1/3Pp3/2P5/1P4PP/PB1QRPB1/2R3K1 w - -,g3g4
r1b2rk1/pp1nppBp/1qp3p1/3p4/3P3P/P1N1P3/1PP1BPP1/R2QK2R b KQ -,g8g7
8/8/3R4/3Pnpp1/1K3k1p/7r/8/3B4 w - -,d1c2
8/3p3p/6p1/2prk3/R7/1P4K1/P4P1P/8 w - -,a4c4
r1bqk2r/1pp2ppp/3p4/p1nPp2n/2P1P3/PP6/2QN1PPP/RN2KB1R w KQkq -,g2g3
1r1q1rk1/1p2npbp/3p2p1/3Ppb2/1P2P3/3Q2P1/4NPBP/1R2BRK1 b - -,f5d7
r2qk2r/1b1nbppp/pp3n2/2pP4/8/2NBPN2/PBQ2PPP/R3K2R w KQkq -,a1d1
2r2k2/p2rbppp/1p2p3/2p5/2PP3P/4PBP1/P3KP2/2RR4 w - -,d4d5
1q6/1P4k1/6p1/3B1p1p/4p2P/p3P1P1/5P2/1R4K1 w - -,b1b6
4k3/1R6/4pp2/1p4p1/3PP2p/p4P2/1r4PP/2K5 b - -,b2g2
2r2rk1/pp2b1pp/5p2/3p4/3P4/P4N2/1P3PPP/2R2RK1 b - -,e7d6
r4rk1/p1pnq1pp/1p1pp3/5p2/2PP4/3Q2P1/PP2PPNP/3R1RK1 w - -,e2e4
8/5rpk/7p/4Bq2/pQ6/5N1P/6PK/8 b - -,f5d7
R2nk2r/4p1bp/1pp3p1/4p3/4N1B1/1b6/4QPPP/1q1rBK2 b k -,b3c4
1r4k1/r2n1pp1/p1BPp2p/8/8/P1R3PP/1P3P2/3R2K1 w - -,c6a4
2b3rk/1pp3r1/p2p1q1p/N1PPp3/1P2Pp2/5PB1/P1R1R1P1/3Q2K1 b - -,f4g3
2r3k1/Bb3pp1/4p2p/1p6/1P2P3/n4P2/6PP/3R1BK1 w - -,a7c5
rn1qk2r/pp2bpp1/2p1p1p1/8/1nPP4/P4NNP/1P3PP1/R1BQ1RK1 b kq -,b4a6
r3rbk1/pp3pp1/2qp1n1p/1Npn4/P1N2P2/3Q2P1/1P1BP1RP/R5K1 b - -,a7a6
3B2k1/5p1p/1pq5/p1p5/8/1P2P1P1/P2r1P1P/3R2K1 w - -,d1d2
r7/1p4kp/pb3R2/4p3/3p2b1/1B1Pn3/PPP3PP/R5K1 w - -,f6b6
rnb1k1nr/1pq2pbp/p2pp1p1/8/2P1PP2/1NNB4/PP2Q1PP/R1B2RK1 b kq f3,b8c6
2r5/p5bk/3p1q1p/1p1B1p2/1P3p1N/2P2PPb/P3Q2P/4R1K1 w - -,g1h1
5r1k/p3p1b1/3p1nPp/2q5/2Pp4/1r4P1/2QN1PBP/1R4K1 w - -,d2b3
7r/5p2/3qpkp1/B4b1p/3PB1n1/P4N2/1P3PPP/2Q1R1K1 b - -,h8g8
8/8/5pk1/2b3p1/3q4/5QPP/5P2/6K1 b - -,d4e5
8/2R5/pr3n1p/2pP2p1/2Bk1pP1/1P3P2/5K1P/8 w - -,f2e2
8/pqr2p1k/1r1pp1pb/7p/Q2P3P/2PN2P1/1P2RP2/R5K1 w - -,a4d1
8/1p6/pB6/P3pkbP/2P5/3K4/8/8 b - -,e5e4
5r1r/pk2p3/3q2p1/2p1n3/3n4/NP6/PBPQ1PP1/R4KNR b - -,h8h1
3r2k1/4pp2/1pn1b1p1/p1p1P3/5PP1/2P2B2/PP3BK1/3R4 w - -,d1d8
8/5pk1/1rp1pbp1/3p3p/3P1P1P/2R1B1P1/5PK1/r2B4 w - -,d1c2
r1b1r1k1/pp1nqpp1/2pbpn1p/3p4/2PP4/1PNBPN1P/P1Q2PP1/R1BR2K1 b - -,d6c7
8/4k3/4P2p/5K1P/3N4/8/8/2b5 b - -,c1g5
8/8/8/6kp/B3b2P/4b1K1/2p1N3/8 b - -,g5f6
1rb1r1k1/1p1n1pbp/p1q2np1/2p5/P5P1/2N1BN1P/1PP1BP1Q/R2R2K1 w - -,d1d6
8/7k/1b3pp1/7p/P1B4P/5P1K/8/8 w - -,h3g3
r1b2rk1/1p3pb1/p3pnpp/4N3/2B4B/7P/PPP2PP1/3RR1K1 b - -,g6g5
8/p2k4/3p4/2pK4/6r1/P1R1P1P1/8/8 w - -,e3e4
3q1rk1/p2nbppp/br2p3/3Pn3/3N1B2/2P3P1/2QN1PBP/R4RK1 w - -,f1e1
8/8/8/1kb5/4R3/5r2/3K4/8 b - -,b5c6
r2r2k1/ppqbbppp/2p1pn2/4N3/3P4/2N1P3/PPQ1BPPP/2R2RK1 b - -,d7e8
4RQ2/p4p2/3p1kpp/1pp5/2p4P/K1P5/P2q4/8 w - -,f8e7
7k/4r1p1/7p/2pPp3/1pPq4/1P3Q1N/P6K/8 b - -,h8g8
r1b3k1/1pq4p/4p2b/p1NrPp2/PPQ1p1p1/2P3P1/4PP1P/R3NRK1 w - -,e1c2
5r1k/p5pp/bp1qP3/3B4/1P3p2/7P/P4PP1/2RQ2K1 w - -,a2a3
1Q6/5ppk/5n1p/4p3/4P3/q4BPP/5PK1/8 w - -,b8e5
8/2p1b3/p1p2pp1/P4k2/1PP2P1P/1NB5/5K1P/7b w - -,f2e3
1r2r3/5p2/p4R1p/Pp1Pk1pP/2p1P1P1/P1K5/5R2/8 b - -,e5e4
8/5k2/7p/p3K1p1/Pp6/1P3P1P/8/8 b - -,f7g6
8/p4pk1/4p1p1/1p2b3/2p1P1P1/P1P2BP1/1P2Q1KP/2q5 w - -,g2h3
r4rk1/pp2b1p1/4R1Q1/2q3p1/3p4/P5P1/1P1B1PKP/R7 b - -,f8f6
r1bqkr2/pp2b1pp/1npBQn2/8/2BP4/2N5/PPP3PP/4RRK1 w q -,e6e7
r1b1kb1r/p3pppp/2pq1n2/1Bp5/8/2N5/PPPP1PPP/R1BQK2R w KQkq -,b5e2
r1b1k2r/pp1nqpb1/2p1p1pp/2P5/3PN3/3B1N2/PP3PPP/R2Q1RK1 b kq -,e8g8
r1bqk2r/1p2bpp1/p2p1n1n/2pPp1Np/2P1P2P/2N1BPP1/PPQ5/R3KB1R b KQkq -,a8b8
7k/6b1/p2pr2p/2q2b2/6p1/1pN1PR2/1P1Q1KP1/7R w - -,f3f4
2kr4/2q3p1/3b1pN1/1p3P2/2bp2P1/PP1Pn2Q/K2N3P/2R5 b - -,c7a5
