8/2R5/6k1/6pp/1r2K3/6P1/7P/8 w - -,e4f3
rn1qk2r/pbp1bppp/4pn2/3p4/2pP4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,b3c4
8/8/4ppp1/p1k4p/1b2KP1P/1P4P1/PN6/8 b - -,f6f5
4rrk1/1pp1qppp/p1bp1n2/4p3/4PP2/1PNPQ1NP/1PP3P1/4RRK1 b - -,c6d7
6R1/r4n2/3pR2p/2bP1k1B/7P/3p2PK/8/8 w - -,h5g4
r1bq1rk1/1pp1b1pp/5n2/p2pnp2/3P4/4P1P1/PP1N1PBP/R1BQ1RK1 w - -,d4e5
3rn1k1/6b1/2pq1pP1/pp6/4P1bQ/1PN1B3/1PB5/2K4R b - -,d6e6
r2rb1k1/4q1p1/1bp2p2/1p6/1P2PP1p/1N4P1/2Q3BP/1R1R1K2 w - -,b3c5
r1b1r3/q3p1kp/1n1p2p1/2pPp2P/8/1PB1Q1P1/1R2PPB1/3R2K1 w - -,f2f4
r3r1k1/ppqnbppp/2p1pn2/7b/2PP4/1QN1BN1P/PP2BPP1/2R1R1K1 w - -,b3c2
r2qr1k1/1p3n1p/p3Q1p1/4b3/1B4P1/7P/PP3PB1/R3R1K1 w - -,e6b3
r3k2r/pppqnppp/8/3pP3/Q3n3/5N2/PPP1KbPP/RNBR4 w kq -,a4d7
r3r1k1/p2q1bb1/2pp1p1p/4pP2/P1P2pP1/3PB3/5PBP/1R1Q1RK1 w - -,e3d2
8/1p3pk1/pq4p1/5p2/P1Q5/8/2P3PP/5K2 b - -,b6e3
r2r2k1/p4ppp/1p2p3/2p5/P1n1PP2/2P3N1/5RPP/3R2K1 w - -,d1e1
2r3k1/pr2b1p1/R6p/B4p2/3R3P/5bP1/PPP2P2/1K6 w - -,a5d2
5r1k/PQp5/2p3pp/4p3/1PR4P/6PK/5N2/5q2 w - -,h3g4
6k1/p1n3p1/1np1q2p/1p2Np2/3P4/P1P3BP/2Q2PP1/6K1 w - f6,f2f4
rn1q1rk1/5pbp/pp1p1np1/2pP4/P3P3/2N2PN1/1P2Q1PP/R1B2RK1 b - a3,b8d7
3r2k1/4npp1/4p3/np5Q/4NP2/q5P1/6BP/2R4K w - -,c1g1
3r2k1/q2nbpp1/4p1b1/p2pP1p1/N2P4/1P5P/P1r3B1/R1BQ1R1K w - -,d1g4
3br1k1/1R4p1/8/4p2p/pB2N3/6PP/Pn6/6K1 b - -,b2c4
r2r2k1/1pq1bpp1/2p2nbp/p1n1pNB1/4P3/2P1N1PP/PPQ2PB1/R3R1K1 w - -,g5h4
r3k2r/pppqn2p/3b1p2/3pp2b/7N/2PP2Np/PP2PPB1/R2QK2R w KQkq -,g2h3
8/3b1kp1/ppp1p2p/8/P1PP1r2/1PB4P/6P1/4R1K1 w - -,a4a5
r1bqnrk1/3n1pbp/p2p2p1/2pPp3/NpP1P3/1P2BP2/P2QN1PP/1K1R1B1R w - -,g2g4
3rk2r/1p2q1p1/1pn1b3/pNb2p2/P1NPp3/4P1P1/1P3PB1/2RQR1K1 b k -,e7f7
3q1rk1/pp2n1b1/3pb2p/5p1n/P1rPp1pP/1NB1P1P1/1Q2BP2/R3KN1R w KQ -,e2c4
r2q1rk1/p2nppbp/2p2np1/6N1/2pP1B2/2N1P3/PPQ2PPP/R3K2R w KQ -,e1g1
r2r2k1/pbpqb1pp/1p2p3/5p2/3PpPP1/1P2P3/PBP1B2P/R2Q1RK1 b - g3,c7c5
6N1/4k3/8/p1K5/2B2r2/8/P7/8 b - -,e7f8
8/p3rp1k/4n1p1/6P1/2B4P/2n2NP1/P2R2K1/8 b - h3,e6c5
r1bq1rk1/pp1nbppp/4p3/2p5/3PP3/P1N5/1PQ2PPP/R1B1KB1R w KQ c6,d4d5
r1b1k2r/1pq1bppp/p1nppn2/8/4PP2/PNNB1Q2/1PP3PP/R1B2RK1 b kq -,e8g8
rnbqk1nr/pppp1ppp/8/4p3/1bP5/2N5/PP1PPPPP/R1BQKBNR w KQkq -,g2g3:e2e3:d1b3:g1f3:d1c2:d2d3:c3d5
r2qkn1r/1pb2pp1/2p2n1p/2Pp4/QP1Pp3/P3P1PB/5P1P/RNB2RK1 w kq -,a4d1
3r3r/ppnqkpb1/2ppbnp1/6Bp/2P1P1P1/1PNP3P/P2QN1B1/2R2RK1 w - -,e4e5
6k1/p2b1p1p/1p2p1p1/2Qp4/8/P3PNPP/4BP2/6K1 b - -,b6c5
4r1k1/1b3pp1/1Qp2bp1/8/3P4/5P1P/P4P2/4R1K1 b - -,e8e1
2r2r1k/4b1pp/p2p4/1Q2p3/8/2P1B2P/1P3PP1/R1R3K1 b - -,a6b5
r2k4/1R2p2p/2np2p1/4p3/1p2P3/1P1K1PP1/1B5P/8 w - -,d3c2
2r1k2r/pb1p1p2/1p2pq1p/4n1p1/2P5/P3P1P1/1PQRNPP1/4KB1R w Kk -,e2d4
q1r2bk1/r4pp1/3p3p/4p3/4b3/1QP2N2/PR1N1PPP/1R4K1 w - -,d2e4
2k4r/1pp2B2/p1n5/4P2p/3r3q/4Q3/PP6/2KRR3 b - -,h8d8
2R5/5pk1/4p3/6pP/4K1P1/6b1/8/8 b - -,g3f4
r2qr1k1/pp3pb1/2p1p1pp/3Pn3/1P6/1Q2P3/PB2BPPP/R2R2K1 b - -,e6d5
8/1p3k2/1b1p4/1P2p3/2K1Pp2/1R3P1r/R6P/8 b - -,b6e3
r3k2r/pp2ppbp/q5p1/3Pn3/4NBb1/1Q3N2/PP3PPP/R5KR b kq -,e5d3
8/4Q1k1/3P4/6p1/6b1/6P1/3q2BK/8 b - -,g7g6
5rk1/1r2bppp/4pn2/1q6/1p1B4/1Q3NPP/P2RPPK1/R7 b - -,f6e4
r2q1rk1/pp1nb1pp/2p1b3/4pp2/8/1P2P1P1/PB1PNPBP/R2Q1RK1 w - f6,f2f4
r3r1k1/p4pb1/1pp3p1/4pPP1/2n1P1P1/2N5/PP3B2/2KR3R b - -,e8d8
r1r3k1/q4npp/5p2/3Pp3/N1R1P3/3Q2P1/5PKP/R7 b - -,c8c4
k4r1r/1p1bnpp1/p1n1p2p/q2pP2P/P1pP2P1/2P1B1R1/1QPNBP2/R5K1 b - -,a5c7
r1b1k2r/1pq2ppp/p1pbpn2/8/4PP2/2NB4/PPP3PP/R1BQ1R1K b kq f3,e6e5
6b1/4pk2/5p2/1pr5/5PP1/6Q1/7K/8 b - f3,c5c2
r2r2k1/p5p1/bp3pK1/3np2p/1P5b/2P5/P1NB2PP/RNR5 b - -,a6e2
r1b2rk1/pp1npp1p/q2p2pb/2pPn3/4P3/1BP2N1P/PP1N1PP1/R1BQ1RK1 b - -,c5c4
1r1q1rn1/2p2p1k/2npb1pp/1p6/1P2P1N1/2N2B1P/2PQ1PP1/3RR1K1 w - -,c3d5
8/5p2/p7/5p1p/1p1kpP1P/1P4P1/P2K4/8 w - -,d2e2
8/2B4p/8/1p6/2b1ppk1/2P5/5P1P/4K3 b - -,g4f3
1rb2r2/1p1nqpbk/p2p2pp/2pP4/2P1P1P1/2NBQN1P/PP3PK1/1R2R3 b - -,b7b6
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,f8e7:f8b4:e5e4:d7d6:d7d5:g7g6:h7h6
3r1n2/1pq2bpk/p1p1np2/P3pN1p/2B1P2P/2P1Q1P1/1P1N1P2/R5K1 w - -,e3e2
8/3q1p1k/2r4p/5p2/1bPB1P2/3Q3P/6RK/8 b - -,b4f8
r1b1k2r/pp1p1ppp/2n1p3/qNb1P3/5PQ1/2P5/P1PB2PP/R3KB1R b KQkq -,e8g8
8/5pk1/3R3p/8/6P1/1r3PKP/8/8 b - -,b3c3
8/pp2kB1p/2nq2pP/8/5P2/2Q1P3/P5P1/6K1 w - -,f7b3
7k/p2Pq2p/3p3P/1p1P1pp1/8/6P1/PPK5/4R2R b - -,e7d7
6k1/5pbp/3p1np1/2p5/qp3P2/1P3Q2/5BPP/2R1r1K1 w - -,c1e1
r2q1rk1/pp2ppbp/3p1np1/n1pP2N1/2P1P1b1/2N5/PP2BPPP/R1BQ1RK1 b - -,g4e2
4r1k1/1b4b1/2n1p1p1/1p2n1Pp/1P1pP2B/3P1N1B/4N3/2R3K1 w - -,f3e5
2b1r1k1/r3qpnn/3p1bp1/p1pPp3/PpP1P3/1P1B1PN1/R6P/2BQ1NRK w - -,f1e3
4r3/2p2pkp/1ppr1q2/p1n2Pp1/P1P1P3/3P3R/2P2QNP/5R1K b - -,f6d4
r2q1rk1/pp2bppp/2bppn2/6B1/3QP3/2N2N2/PPP2PPP/1K1RR3 b - -,d8c7:h7h6:d8a5
rn1q1rk1/1bpp1pp1/1p2pb1p/p7/Q1PP4/5NP1/PP2PPBP/RN2R1K1 w - -,b1c3
6k1/5pb1/4p1pp/3p4/1B1P4/1b2P2P/N4PP1/6K1 w - -,a2c3
2r2rk1/p4ppp/4p3/nNRpP3/Pn1P4/5N2/1P3PPP/3R1K2 w - -,b5a7
r2q1rk1/p1pb2pp/2p5/2bpP3/3NpP2/4B3/PPPQ2PP/R4RK1 b - -,d8e7
r1bqk2r/p3npb1/1pn1p1pp/2pp4/4P3/2PPBNP1/PP3PBP/RNQR2K1 b kq -,d5d4
8/1b3Rpk/7p/p7/6P1/4PN2/Pr3PKP/8 b - -,b7c6
8/1p1b1pk1/8/3N1n1p/2P2Pp1/1p6/5R1P/6K1 w - -,f2b2
8/5p2/p3pKp1/1b4P1/p4P2/k7/8/3B4 w - -,f6f7
5r1r/p1kn1p2/2b1p1pp/3pP3/1ppP3P/2P1RNPB/PqPQ1P2/R4K2 w - -,d2c1
r4k1r/ppq1bbp1/4pP2/2p4p/4PPnP/2P3N1/PPBBQ3/2KR3R b - -,g7f6
8/8/5p1p/3n1kp1/2pP1p2/2P2P1P/4KP2/4B3 b - -,f5g6
r1rqn1k1/3n1ppp/1pp5/3p4/PP1Pp3/2B1P2P/5PP1/R1RQ1BK1 w - -,d1b3
3r1r2/1p3kpQ/2q4p/p3p2b/8/P1B2NP1/1P3PP1/1BR3K1 w - -,b1a2
r1bq1rk1/p4p1p/1p4p1/3Q4/4P3/8/PP2NPPP/R3K2R b KQ -,d8d5
r2q1r2/1p6/3p2kn/pPPbp3/P2pP1p1/3P1pK1/2R2P2/1R1Q3B w - -,e4d5
8/1R6/3npkpp/8/6PP/6K1/8/8 w - -,b7b6
r2q1rk1/1p1bp1bp/p2p1np1/n1pP1p2/2P5/1PNQ1NP1/P2BPPBP/1R3RK1 b - -,a8b8
3r3k/2R3pp/p2rn3/B7/5P2/P2P2P1/4P2P/1R4K1 b - -,e6d4
8/1R4pp/P2rbk2/r2p1p2/2p2P2/5B1P/6P1/3R3K w - -,g2g4
r2br1nk/pp1b1ppp/2pp4/5Pq1/P3P3/2B2PQP/BPP1N3/3RR1K1 w - -,g3g5
r5k1/pbp2rp1/1p1p1q1p/3P1p2/Q2P4/P1R3P1/4PPBP/5RK1 b - -,f7e7
1r2rnk1/2qb1nbp/3p1pp1/1ppPP3/2N2P2/1RNB1Q1P/1P4P1/2B2R1K w - -,c4d6
1nq1k2r/3b1pp1/pR1b3p/3Bp3/P3Q1PP/2P5/2P2P2/4K2R b Kk -,c8c3
r3q3/1p2r1k1/5bp1/2PR1p2/2N1p2p/1Q4P1/P3PP1P/3R2K1 w - -,c4b6
r1b1r1k1/ppqnp1bp/2p2np1/3p2B1/3P4/2PB1N2/PP1N1PPP/R2QR1K1 b - -,e7e5
8/7p/5bk1/5p2/2BpbP2/3N4/1P1B2nP/6K1 b - -,g2h4
3rrb2/1pkn1ppp/2p5/8/2NB1Pb1/2P3P1/PP3RBP/R5K1 b - -,f7f6
1rb2rk1/p2pqp1p/2n3p1/1pp1P1N1/8/2PB4/1P1Q1PPP/1K1RR3 w - -,d2f4
1qr2rk1/1p1bbpp1/p2ppnnp/P7/4PP2/1NN1B2P/1PP1Q1P1/3RRBK1 w - -,e2f3
r2q1rk1/pbnpb1pp/1pp1pn2/5pB1/2PP4/P2BPN2/1PQ1NPPP/2KR3R b - -,d7d5
r1bq1rk1/2pnn1bp/1p1p2p1/p2Pp3/1PP1Pp2/P1NN1P2/3BB1PP/R2Q1RK1 b - b3,g6g5
8/2p3pp/3k2p1/P1R5/1r1P1p2/2P3PP/5P1K/8 b - -,b4b2
2krr3/1b6/pp4pp/P3qp2/1PP5/7Q/6PP/RR3BK1 w - -,a5b6
8/1pB2rp1/4rpk1/3p3p/p2Pb1P1/P1R4P/1P4PK/2R5 w - -,g4h5
r2q1rk1/pp5p/2npbppQ/2p1pn2/2P4P/2NP1NP1/PP2PPB1/R3K2R w KQ -,h6d2
8/2kn2p1/2n5/pp2pP1p/7K/BP2P3/P4PB1/8 b - -,b5b4
4r3/5pbk/1q1p2p1/1p1P3p/1P2P2P/3Q2PB/5PK1/3R4 b - -,e8a8
6k1/p5pp/2p5/2Ppr3/P7/3b2P1/5PBP/1R4K1 w - -,b1b8
1r1q1rk1/1n2b1pp/pN1p2b1/P2Pp3/1PB5/5p2/5PPP/R1BQR1K1 b - -,f3g2
1r4k1/pbqR1pp1/1pp4p/2P1r3/P6P/1P2QBP1/5PK1/2R5 b - -,c7d7
8/3b2pk/5p1p/Q3pP1q/1PP1P2P/B2P4/3K4/8 w - -,c4c5
2rq1rk1/1p1bppbp/p2p1np1/n7/2PP4/1PNQB1PP/P3NPB1/R4RK1 b - -,d8e8
2BB4/5k2/pp4pp/8/PPbb4/4P1P1/7P/6K1 b - -,d4e3
4k2r/1np5/1p1p4/3P4/1Pn1Pp2/1R3P2/4N3/3NK1Qq w - -,b3c3
4brk1/1p4np/p3prp1/3p4/1q1P4/2N3P1/PP1R1P1P/3QRBK1 b - -,g6g5
r2q1rk1/4ppbp/p3b1p1/8/2nP1B2/P4N1P/4NPP1/1R1QR1K1 w - -,d1a4
4r1k1/r5P1/p1pp4/2p1p1P1/2P3B1/4B3/PP6/5RK1 b - -,g8g7
3r3r/p1q1bpk1/4p1p1/4P2p/3pN3/2PR4/P2Q1PP1/3R2K1 w - -,c3d4
6k1/p5p1/1p1r4/5P2/1P4P1/P4bQ1/8/4q1K1 w - -,g3e1
2b5/8/2pk2p1/p3p3/P1B1P3/2PK1P2/8/8 w - -,c4f7
2r2rk1/p5pp/3R4/4ppP1/2RBp2P/PP1nP3/5P2/6K1 w - -,d4a7
8/6pp/4k3/1p1bpp2/8/2Nr1PK1/6PP/2R5 b - -,d5c4
3r4/6b1/2bPk3/1pB1pp2/1P6/4P3/R7/5BK1 b - -,g7f8
8/4k1p1/2P4p/4np2/1r1Np3/6P1/4K3/2R5 b - -,b4d4
r3k3/pp3b2/2p1p3/3p3p/3P1Pn1/3B3Q/PPP1Nq2/2K3R1 b q -,f2e3
3rr1k1/pp3qpp/2bb4/8/P3p3/1P2N1PP/1BQ2PB1/3R2K1 b - -,d6f8
rr6/1p1n3p/2pR1kp1/p7/2P2BB1/8/Pb3PPP/6K1 b - -,f6g7
3rr3/5p1k/p1pB1bp1/1p1bP1p1/P7/2P4P/1P4P1/R4RK1 w - -,f1f6
r6k/3R2b1/5q1p/6p1/r1Q5/5N2/5PPP/5RK1 w - -,c4d3
2kr4/1b3p2/pp2p3/2qpP1p1/P3nPP1/2N2B2/1PP3K1/R3Q3 w - g6,a1d1
r3rb2/1p1n3k/1Ppp1qp1/p7/N1PP3p/6P1/P2Q1PB1/3RR1K1 b - -,f8h6
2r3k1/5pp1/p2np1p1/1p1b4/3P4/P1P2P2/B2B2PP/3R2K1 w - -,d1a1
6k1/6p1/p1R5/1p1r1p2/3Pp1p1/1P1nK1P1/P2B3P/8 b - -,g8f7
5rk1/1pr1ppb1/1N1p3p/1p2n1p1/4Pn2/5P1P/PP1R1BP1/1K3B1R w - -,f1b5
2rb2k1/1p3p1p/r5p1/1ppN4/7P/PbP1PpB1/1P1R2P1/4R1K1 w - -,g2f3
8/p1nnk3/2p5/2P2ppp/PPB5/2B2PKP/8/8 w - -,h3h4
r2q1rk1/pp2ppbp/3p1np1/n1pP1b2/2P1P3/2N3P1/PP1N1PBP/R1BQ1RK1 b - e3,f5d7
r1b2rk1/5qpp/p1pb4/2p1p3/2PpP3/1P3N1P/PB2QPP1/R4RK1 w - -,f3e1
1r4k1/3nppbp/3p2p1/3P2BP/2q1P3/n1NQ1P2/Pr2N1P1/3R1R1K b - -,c4d3
6k1/pp3p1p/1qn1P1p1/8/2Q2P2/P3P3/3rBKPP/R7 b - -,f7e6
1qb1k2r/3nbppp/r2pp3/PN6/QPPNn3/4BP2/6PP/R4RK1 b k -,e4f6
rnb2rk1/pp3ppp/1q2p3/2b5/8/2Q3P1/PPN1PPBP/R1B2RK1 b - -,b8c6
r1bq1rk1/3n1pb1/1pn1p1pp/p1ppP3/P2P4/2P2NP1/1P3PBP/R1BQRNK1 b - -,c5d4
4b2r/4k3/r3Pp2/pp1N2pp/3R3P/P5P1/1PP5/1K2R3 b - -,e7f8
8/5pkp/3n2p1/2p2p2/5P2/r5PK/1P1r3P/3NR3 w - -,b2a3
r2br1k1/1p3qpn/3p1P1p/pP1Nn3/2P1p2P/P3P1QB/1B3P2/2KR3R w - -,f6g7
rn1q1rk1/1p2bppp/p2pbn2/8/4PB2/1NN4P/PPP3P1/R2QKB1R w KQ -,d1e2
1nbr4/r3kp1p/1pp3p1/p3N3/4PP2/PP2K1P1/1R4BP/2R5 b - -,c8d7
r1bq1rk1/ppp2pbp/4p1pB/3n4/3P4/1B3N2/PPPQ1PPP/R3R1K1 b - -,b7b6
r1bqk2r/2pnnpb1/pp1pp1pp/8/P1BPP3/2N1BN2/1PPQ1PPP/R4RK1 w kq -,a1d1
r1bqk2r/ppp2pbp/3p2pn/8/2P5/1PN1PQ2/PB3PPP/R3KB1R b KQkq -,e8g8
rn1r2k1/pp3ppp/2pp1q2/4p3/2PP2b1/4P1P1/PP1QNPBP/R4RK1 w - -,h2h3
1n2k2r/p2qbppp/1p2p3/3pP3/1P6/P1RQ1N2/3B1PPP/6K1 b k -,e8g8
1rn5/5pk1/2b3pp/2r1p3/1q2P1PP/2NQ1P2/BP1R4/1KR5 b - -,c8b6
r2r2k1/pp2bppp/2P1bnq1/1Nn1Q3/4p3/4N1PP/P2PPPB1/R1B1K2R w KQ -,e5c7
r2r2k1/2p3pp/pppqbp2/4P3/1P1P4/1N3P2/P2R2PP/2RQ2K1 b - -,d6d7
8/5p1k/p3r1p1/1b6/1P1QPKpP/5P2/8/8 w - -,f4g4
2r1r3/2pk4/1pR1p3/1P1p2pp/P2P4/5PP1/2R2K1P/8 w - -,f3f4
r2rb1k1/pq3pbp/2n3p1/1ppp4/5B2/2P1PN1P/PPB2PP1/1Q1R1RK1 b - -,b5b4
7r/5pk1/2p1q1p1/pp1pP2r/3P1PQP/2P4R/P5K1/7R w - -,h3g3
r4knr/ppp3pp/2nbpq2/1B1p1bB1/3P4/2N2N2/PPP2PPP/R2QR1K1 b - -,f6g6
5r1r/pp2q1k1/3pP3/2p1nN2/2P2p2/3B3P/PP1Q2P1/5RK1 b - -,f8f5
r2q1rk1/1bpnbppp/1p2pn2/p2p4/1PPP4/P1N1PN2/4BPPP/R1BQ1RK1 w - a6,b4b5
2r2k1r/3qbp2/p3p1p1/3bP2p/1p1NpB2/4P1QP/PP3PP1/3R1RK1 w - -,h3h4
8/6p1/Bpbkp2p/4p3/1PPbP3/N4KPP/8/8 b - -,d4g1
8/8/5k2/2K5/r4p2/1PPb4/3N1R1P/8 b - -,a4a5
8/8/R2p2p1/4k2n/4p2P/2n1P3/5K2/8 w - -,a6a3
1r4k1/3n2pp/2p1p3/p2pP3/3q4/P5P1/4Q1BP/4R2K w - -,g2h3
rn1r2k1/1p2qpp1/5nbp/p1bP4/4p1PP/P1N1P3/1PQNBP2/R1B1K2R w KQ -,c2b3
rn2kbnr/pp1b1pp1/1q2p2p/2ppP2P/3P2P1/2PB4/PP3P2/RNBQK1NR w KQkq -,d4c5
6k1/5ppp/4q3/1p1pP3/1B1P3P/1P3QP1/rb3P2/3R2K1 w - -,f3e2:g1g2
2r3k1/5p2/p5pp/1p5P/1q2Q1P1/5P2/P1P4R/K2R4 b - -,b4c3
6k1/1p3ppp/p1rnb3/3p4/3P2P1/3B1P2/PP2NKP1/5R2 b - -,h7h6
8/7k/5pp1/4pP1p/1pr3P1/7P/1PP5/1K4R1 w - -,f5g6
2rq1rk1/pp2ppbp/3p1np1/n5B1/2bNP3/2N2P2/PPP1B1PP/R2Q1R1K w - -,b2b3
2r2rk1/1b3ppp/p4q2/1n2p3/1P2P3/4B1N1/1Q3PPP/R3R1K1 w - -,b2e2
8/p4pk1/Qp4pp/8/2Pq4/4N2P/1n3PP1/6K1 b - -,b2d3
4nbk1/1p1n1p2/2p3pp/p2p4/P2P1BP1/2PB1PNP/1P6/4K3 w - -,e1f2
5b2/1p1n1pk1/1p3n1p/3Pp1p1/1PR1P1b1/r2B4/P2K1BPP/R7 w - -,a1b1
r3brk1/1pp3pp/p7/2pNbp2/2P5/1PN5/P5PP/R1B1R1K1 b - -,e5d4
rn3rk1/1bq1bppp/pp1ppn2/8/2PQ4/1PN2NP1/PB2PPBP/R2R2K1 w - -,a1c1:h2h3
3r4/1p3kp1/7p/2KnN3/8/2P3PP/1P6/4R3 b - -,f7f6
r2q1rk1/ppp2ppp/1bn5/1B1pP2b/3Pn3/4BN1P/PP2NPP1/R2QK2R b KQ -,b6a5
r1b1r1k1/2qn1pb1/pp1p1np1/2pP3p/P3P3/2N1BP2/1P1QB1PP/R4RKN b - -,a8b8
1r4k1/p3bpp1/2p3bp/3p4/3P2P1/1rN1PB2/5P1P/R1R3K1 w - -,c3e2
8/6k1/7p/4R2K/5P2/1r4P1/8/8 w - -,h5g4
r1bq1rk1/p1p2pbp/2pp1np1/4P3/5B2/2N5/PPPQ1PPP/2KR1B1R b - -,f6d5
2r1k3/p3npp1/1p2p2p/3pP3/6P1/3P1P2/PP2RBK1/8 w - -,f3f4
5k2/p1N3pp/4P3/5r2/8/1P5P/P3p1P1/4R1K1 b - -,f5c5
2r1nrk1/5pb1/pn1p2p1/q2PPb2/PppB1P1p/5B1P/1P1NN1P1/R1R1Q1K1 b - -,f5d3
r2kr3/3p4/bppQ3p/5R2/p7/3P4/PP4PP/6K1 w - -,g1f2
r1q2rk1/1p2b1pp/2n2p2/pNn1pbB1/2Pp4/P2P1NP1/4PPBP/1R1QR1K1 w - -,g5d2
r1b1kbnr/p2ppppp/1qp5/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq -,g7g6
r5k1/1b3ppp/1q1Q4/2n1pN2/ppP1P3/1P4PP/P4PB1/2R3K1 b - -,b6d6
4r1k1/bpp2pp1/pr5p/4P3/1P3B2/2P1PQ2/q5PP/3RR1K1 w - -,d1d7
rnbq1rk1/pp2npb1/3p3p/2pP2p1/2P5/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,h3h4
2b2r2/2q3kp/pp2r1p1/2p5/1PQnNP2/P1N3P1/7P/2R2RK1 b - -,c7c6
8/8/2b5/ppk4N/P1np2B1/2p5/2P5/2K5 b - -,b5b4
1rb3k1/5ppp/2p2n2/1qP1r1N1/p2pP3/6PP/PnQB2B1/1K3R1R w - -,b1a1
2r1r1k1/5pbp/pq2p1p1/np1p4/3P4/1PPQ1N1P/P2BRPP1/2R3K1 w - -,e2e1
r1b2rk1/p1p2pp1/3p3p/1p1N4/4PRnP/1BPP1Q2/PP2K1P1/R6q b - -,h1a1
