8/8/R5p1/P4k1p/8/2r5/6K1/8 w - -,a6a8
4r2k/2pb3p/1p1p4/p2P1pR1/2P1q2P/3B4/PPK3Q1/8 b - -,e4g2
r2q1r2/pp1bbpk1/n2p2p1/3Pp1n1/8/P1NBB3/1PPNQP2/2KR3R w - -,f2f4
8/1p6/2p1nk1p/2Pp2p1/BP3p2/3b1P1P/6P1/R3K3 b - -,d3a6
rqnr2k1/5pp1/p1Q1p2p/1p6/4P3/1B4N1/PP3PPP/2R3K1 b - -,c8e7
r2q1rk1/2p1bppp/p4n2/np2p3/4P3/1BP1BQ2/PP3PPP/RN2R1K1 w - -,b3c2
5rk1/1b1nqppp/2pb4/1p1pN3/rP1P1P2/4P3/3BB1PP/1R1Q1RK1 w - -,e5d7
8/p5R1/8/2bPr1k1/P4R2/5KP1/1P5r/8 b - -,g5h6
4rBk1/ppp2p2/5np1/1P2p2p/P3P3/2Pr1NP1/5PKP/2R1R3 b - -,g8f8
r3k2r/2q1bpp1/p1p1pnp1/1p6/P1pPPP2/2P3P1/3Q1B1P/R3RBK1 b kq -,f6g4
r1q1r1k1/1ppb1pbp/3p2p1/p7/1nP1PPP1/1PN4P/PB3QB1/3R1RK1 w - -,a2a3
8/8/8/4k3/8/2K1p3/4N3/3b4 w - -,e2c1
2r2rk1/q4pp1/p1pbp1b1/P6P/Q2P4/2B4P/1P3PB1/R3R1K1 b - -,g6h5
r5k1/3r2bp/1p3p2/2pP2p1/pnP5/qB3PB1/P2Q1P1P/4RRK1 w - -,b3d1
r6r/p1pkppb1/2p3p1/7p/1P5N/3PB1Pb/3KPP1P/2R3R1 w - -,h4f3
r1q1r1k1/p3bp1p/bpp2np1/8/4PB2/1QN2P2/PP2N1PP/R2R2K1 b - -,c8b7
8/6p1/4B1Pp/p2PkP2/Pr5P/1PK5/8/8 w - -,h4h5
rn2k2r/5p2/b1n1p1Bp/p1qp4/3N4/2P5/P4PPP/1RBQR1K1 b kq -,c6d4
3r1b2/p1p2ppp/1p2k1b1/2p1P3/2P5/PPB5/1N3PPP/2R3K1 w - -,g1f1
r2qnrk1/pb2bppp/1pn1p3/2p5/2P5/P2PPNN1/1P2B1PP/R1BQ1RK1 b - -,d8c7
8/1B4kp/3R2p1/P1p5/2P5/4r1Pb/2n5/R5K1 w - -,a1a2
3q1rk1/2rbpp1p/3p2p1/1p1B4/1P1QP3/5P2/1KP3PP/3R3R b - -,d8c8
3r4/2r1b2k/pq2p1pp/2pnPp2/P4P2/BB3Q1P/P1R3PK/2R5 w - -,c2c4
r1b1k2r/pp1n1pbp/2p3p1/q3p3/4PPn1/2P2NP1/PP1N2BP/R1BQK2R w KQkq -,d2c4
r3rbk1/5pp1/p1qpbn1p/1p2pN1N/4P3/1PP4P/1P3PP1/R1BQR1K1 b - -,f6h5
8/7r/2k1np2/p3p1p1/PpN1P3/8/1P2KP1P/3R4 w - -,c4a5
r1bq1rk1/ppp2pb1/3p1npp/3Pp3/2PNP3/P1N1B2P/1P3PP1/R2QKB1R b KQ -,e5d4
rnbq1rk1/ppp2ppp/3ppn2/8/2PP4/P1PBP3/5PPP/R1BQK1NR b KQ -,e6e5
r2r2k1/2q2ppp/p2pb3/2p3Qn/PpN1P3/1B6/1PP2PPP/R3R1K1 b - -,h5f6
4k3/3p1p2/p3p1p1/2qpP2r/3R1Q1P/P1P5/1P3P2/2K5 b - -,c5c7
r4rk1/pbp1q1pp/1p3n2/3P4/2P1pP2/P3P1R1/1BQ1B2P/2KR4 b - -,a8d8
8/8/5ppp/3k4/5KPP/8/5P2/8 w - -,h4h5
8/p4kpp/1n1rp3/2p2p2/4b3/2B3P1/P1P2P1P/1R3BK1 w - -,b1c1
4k3/4np2/2pBb1n1/pr4P1/5P2/P7/8/2R2K1R b - -,e8d7
8/8/2n5/p1P2p2/4k3/PP1Np3/8/3K4 w - -,d3e1
8/p1k4p/5p1n/PP1B1p2/4pK1P/6P1/8/8 b - -,c7b8
8/8/5n1p/p1p1kpP1/2P5/PP2KBP1/8/8 b - -,h6g5
8/2P5/1nK5/1P6/3k4/8/8/8 b - -,b6d5
r1bq1rk1/ppp3bp/2n2p1n/2P1p1p1/4P3/2N2NB1/PP2BPPP/R2Q1RK1 b - -,c8e6
r2qkb1r/pp1nnpp1/2p1p1p1/3pP3/3P4/4BN2/PPPN1PPP/R2Q1RK1 b kq -,c6c5
r5k1/p1n2p1p/2p1rPp1/8/8/2N5/PPP3PP/2KR1R2 b - -,c7e8
2kr1b1r/pppq3P/2n2p2/3p3Q/3PpP2/2N4R/PPP5/R3K1N1 b Q -,c6d4
r2q1rk1/1p4p1/p2b3p/3Ppp2/P3N1n1/3QB3/1P3PPP/R2R2K1 w - f6,e4d6
r4b2/1br2k2/pn2p1pp/np1pPp2/3P1P2/PB1N4/1PR1N1PP/2R3K1 w - -,c2c7
4r1k1/1b1p2p1/1p5p/1Pn2p2/PR5B/8/4rRPP/3B2K1 b - -,e2e4
2Q5/4qk2/5npp/BBpp1p2/3b1P2/6P1/7P/5K2 b - -,c5c4
3r4/1p2ppbk/p1b2npp/4p3/2B1P1P1/2N1BP1P/PPP5/2K4R b - -,e7e6
r2qrbk1/pbp2p1p/1p3np1/3Pp3/8/1PPPBNNP/1P1Q1PP1/R4RK1 b - -,b7d5
b4rk1/3n1pbp/1q2pnp1/1p6/4P3/1pP2NPB/2QN1P1P/2B1R1K1 w - -,c2b3
8/1p6/2b2p2/5Pk1/6p1/2K5/2R1P3/8 w - -,c3d2
2n2rk1/3qb1pp/pr2b3/6P1/3p1B2/2nP2N1/P2Q1PBK/1R3RN1 w - -,b1b6
4R3/2b5/2p5/2Pk3P/3P2K1/4P3/8/7r w - -,g4g5
3r2k1/2Br1p1p/pN1P4/2p1PP1p/3b2bR/6P1/6KP/8 w - -,e5e6
8/6p1/5p1p/kbpr3P/p2p1PP1/P2P4/3KPN2/1R6 b - -,d5d7
1r4k1/2qN2bp/r4np1/p1Bp4/1p1N4/3P2P1/PP5P/R2Q1RK1 b - -,f6d7
8/kpp2p1p/p5r1/2Pp1q2/PP1P4/4Q1PP/5PK1/4R3 b - -,f5c2
B3r1k1/p3npbp/b1q3p1/2B5/8/4N1P1/P3NP1P/4QRK1 w - -,e1d1
8/pb4k1/4p1p1/p2p1pP1/P2P1P2/1P2KN2/2P5/6Rr b - -,h1h3
r1b1k2r/1p2np2/pn2p1pq/3pP1Np/2pP1P2/2N3PP/PPP2Q2/2KR1BR1 b kq -,c8d7
8/6RP/3k4/3p4/1P1K2p1/2P3Pr/8/8 w - -,b4b5
8/1r6/4pkp1/1PR4p/4P3/5P2/6K1/8 w - -,f3f4
1r2r1k1/3n1ppp/1q6/p7/1bRPP3/6P1/P1Q2PBP/5RK1 b - -,b6d8
r7/5k1p/2b1pp2/1p2p3/1P2P2P/1B3PP1/8/4RK2 b - -,a8a3
8/K7/P1Nk2p1/3p2p1/3P1pP1/5P2/7P/8 b - -,d6c6
1r3rk1/pb2ppbp/3p1np1/q3P3/N1p5/1P4P1/PBP2PBP/R1Q2RK1 b - -,d6e5
r2q2k1/pb1n2pp/1p2N3/2bp4/8/6P1/PPQ2rBP/R1B1R1K1 w - -,c2c5
rqbr2k1/1p2bppp/pnn1p3/4N2Q/3P4/PBN1B3/1P3PPP/2R1R1K1 b - -,g7g6
r1bq1rk1/pp2npbp/3pp1p1/2p5/3nP3/2NPB1PP/PPP1NPBK/R2Q1R2 b - -,a8b8
2k2r1r/pp2n3/2n5/3NpbB1/2p4P/P1q3P1/2P2PB1/R2Q1RK1 b - -,e7d5
r1b2k2/1p3n1p/pqn1p1p1/1B1p4/3P4/P1N1B2P/1P4P1/R2Q2K1 w - -,b5c6
r2qnr2/6kp/PpRp2pn/1p1Pp3/4p3/Q7/3NNPPP/5RK1 w - -,d2e4
r3r1k1/1pqnbpp1/2p1pnp1/p7/2PP4/2B2NN1/PP2QPPP/R3R1K1 w - -,a1d1
2r2rk1/1b2bppp/p1P1pn2/8/Pq6/4BN2/1P2BPPP/R2Q1RK1 b - -,c8c6
r1bq2k1/p1p1p1bp/1p2P3/3Pnrp1/2P1R3/2N2p1B/PP3P1P/R1B1Q1K1 b - -,d8f8
8/8/8/5N2/6P1/3KP3/5k2/r2B4 w - -,d3d2
rn2k1r1/pN1pqp2/5p1b/1P1Pp3/Q1N1P3/3B2p1/5P1P/1R3RK1 b q -,g3g2
r4rk1/1p1qnpb1/2pp1npp/1P6/P2NP3/B1N3P1/R4PbP/3Q1RK1 w - -,g1g2
2r5/pp2bk1p/1qn1pp2/1N2p3/6QP/PN2P3/1P3PP1/1K1R4 w - -,g4c4
2r2rk1/pp3pp1/4p1p1/2bq2B1/7P/1R3P2/PPP1Q1P1/2K1R3 b - h3,f8e8
r7/5p2/2rbppk1/R6p/3P3P/4P1P1/R3KP2/4N3 b - -,a8a5
r2r2k1/4bp1p/p3q1p1/1p2P3/1nPp1B2/3P4/PR1NQ1PP/5R1K w - -,f4g3
rr4k1/2q2pbp/pN1p2p1/2pP3n/8/3BB3/PPQ2PPP/R4RK1 b - -,b8b6
2rqr1k1/p2pbp1p/bpp3pB/2PPp2n/1Pn1P3/1QNB1PP1/P3N2P/3R1R1K b - -,b6b5
4r1k1/pp3pp1/5q1p/3p4/3bnP2/1P1QPR2/P5PP/2B3K1 w - -,e3d4
3r2k1/p5p1/1pp4p/5b2/N1PbpB1P/1P1r2P1/P4PK1/2R1R3 b - -,h6h5
8/8/3p1k2/2pP4/PbP1KP2/3B4/8/8 w - -,e4f3
8/4pk2/r5p1/2bNP2p/1p5P/1P6/P1P2nP1/1K3R2 b - -,f7g7
rnbqk1nr/pp2ppbp/2pp2p1/8/3PP3/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,b8d7:c8g4
8/p5r1/5k1p/4b3/4Pp2/1Np2B1b/P1R1KP1P/8 b - -,h3d7
rnb1kb1r/pp1q1ppp/4pn2/8/2Bp4/1N3N2/PPP2PPP/R1BQ1RK1 b kq -,b8c6
r1bqk2r/1pp2ppp/p1pb1n2/4p3/2N5/1P2P3/PBPP1PPP/R2QK1NR b KQkq -,d8e7:e8g8
r4rk1/pp2bppp/2nqp3/7b/2BP4/2N1PN1P/PP4P1/R2Q1RK1 w - -,a2a3
rnb4r/1p3pbp/p2k2p1/4p3/2P5/3B1N2/PP1B1PPP/3RR1K1 b - -,f7f6
6k1/p2r3p/1p1pp1p1/1P6/Q1R2P2/7P/6PK/4q3 w - -,c4c8
r1bq1rk1/pp2bppp/2n2n2/3p2B1/3N4/P1N1P3/1P2BPPP/R2QK2R b KQ -,c8e6:h7h6
r1b5/pp4bk/7p/5n1B/2PppP2/1P4B1/P5PP/R3K2R b KQ -,b7b6
4k3/4r3/1q2p3/p2p1p2/1r3P2/1PR3P1/2P4P/R1KQ4 b - -,b4e4
6k1/5ppp/p2p4/1p3r2/8/4Bb1P/PPP2P2/R4KR1 b - -,f5h5
r1bqr1k1/1p2bppp/p2ppn2/8/3BPP2/P1N5/1PPQB1PP/R4RK1 b - -,e6e5
8/8/2pb4/1p1b1kpp/pP1P1p2/P1B2P1P/5NP1/4K3 w - -,f2d3
r6k/p1pb4/2pp1ppr/7q/4P3/2N3RP/PPP3QK/6R1 w - -,g2f3
r1q3k1/pp2ppb1/1n2n1pp/8/8/2N3PP/PP2PPBK/R1BQ4 w - -,a2a4
4N3/5p1p/p3p1pk/2Q1P3/2P2P2/7P/qr4P1/3R3K b - -,b2g2
4q1rr/1knn2bp/1p2p1p1/p2pPp1P/P2P1PP1/1BP1N3/4QB1R/4K2R b - -,e8e7
8/p1R3pk/5n1p/3P1N2/5P2/7P/P5r1/4K3 b - -,f6d5
r1bqk2r/3nbppp/2p1p3/1pp1P3/3P1P2/3B1N2/3B2PP/1RQ2RK1 b kq -,g7g6
5r1k/1bn4p/p2p4/2pPrpq1/2B5/2N1PR1P/1P1Q2P1/R5K1 w - -,a1f1
3r1r2/pp3ppk/6b1/7p/4n1Pq/Q3PN1P/PP2BPK1/2R2R2 b - -,h4f6
r1bq2rk/pp5p/2pp1nnb/5p2/2PP1P2/2NQBBNP/PP5K/4R1R1 b - -,g6h4
r2qkb1r/pp1b1ppp/2nppn2/1Bp5/4P3/2PP1N2/PP3PPP/RNBQR1K1 b kq -,f8e7
8/1R3nk1/2p5/p7/P1Pr3P/5P2/6P1/7K w - -,g2g4
4R3/8/6p1/2b2k2/4p3/6P1/2r2P1P/3R2K1 w - -,d1d5
6k1/q4p1p/r3p1p1/P2r4/R2P1P2/2Q4P/6P1/R5K1 b - -,e6e5
r7/1b2r1kp/p5p1/1p2p3/3pBb2/7N/PPP3PP/4RRK1 w - -,h3f4
6k1/8/3p1rpp/p1p1n3/P2rP3/1P6/2B1R1KP/4R3 w - -,h2h3
rnb2rk1/1p2ppbp/p2p1np1/q1pP4/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2g3
r3k2r/pp1qppbp/2np1np1/8/2PNP3/2N1B3/PP3PPP/R2QK2R w KQkq -,f2f3
6k1/1p3p1p/2p1bbpB/p7/PqP5/1P2R1PP/Q4PBK/3r4 b - -,d1d2
1r5b/3pkp2/p1b1pn2/1p2n3/4P3/P1NBR3/1PPR2PP/2K5 b - -,a6a5
r1bqk1nr/ppppB1pp/2n5/5p2/2PPp3/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d8e7
r2q1rk1/pp2bppp/2p1bn2/8/4P3/6P1/PPQ2PBP/RNB2RK1 w - -,b1c3
rnbq1rk1/pp3ppp/5n2/2bp4/3N4/1PB5/P2NPPPP/R2QKB1R w KQ -,g2g3
8/8/r3NK2/7k/4R3/8/8/8 b - -,a6b6
r1bqrbk1/1p3ppp/2p2nn1/p2p4/P3PP2/1NN1B2P/1PP1B1P1/R2Q1RK1 w - -,e4e5
8/p6k/1p4pb/2p1p2p/2P1P3/PP1N1P2/6PP/6K1 b - -,h6e3
6k1/1b1Pbp1p/3r4/2p2Q2/pp6/5PPB/PP3K2/8 b - -,f7f6
1r2bb2/7k/r4qp1/p1p1p2p/P1PpPp1P/BP3PPB/K1P2Q2/1R1R4 b - -,f4g3
r2qkbnr/pp3ppp/2n1p3/1N1p4/P2P4/1Q2PN2/1P1B1PPP/R3K2R w KQkq -,e1g1
r4r1k/pp2p1qp/2n2pp1/2P3N1/2B2Pb1/4P3/PB1Q2PP/5RK1 w - -,c4e6
5k2/7R/8/5p2/5K2/6P1/1r3P2/8 w - -,f2f3
r3r1k1/pp1n1ppp/2pq1n2/3p1B2/3P4/2N1P3/PPQ2PPP/R3R1K1 b - -,g7g6
r1bq1rk1/1p1nppbp/2p2np1/p7/8/P1N3P1/1PPPNPBP/1RBQ1RK1 b - -,a5a4
1qkr3r/pp3ppp/4b3/BNP4n/3p1b2/3B4/PPQ3P1/R4R1K w - -,b5d6
rn1qkbnr/pp2pppp/2p5/3P4/3P4/5N2/PP2PPPP/1RBQKB1R b Kkq -,d8d5
2b2rk1/1ppp1p1p/1p4p1/4P3/4BP2/8/PPP3PP/3r1RK1 w - -,f1d1
r3r1k1/pbpnqppp/1p1p1n2/4p1B1/2PPP3/P1N2P2/1P1QB1PP/R3K2R b KQ -,h7h6
8/1R2pk2/1p1r1pp1/3P1b1p/2R5/6PP/r4PB1/6K1 b - -,a2a1
r1bnk2r/bpp1q3/p2p2pp/4p2n/PPB1P3/1NPN4/4QPPP/R1B2RK1 b kq a3,e8f8
1r2r1k1/p1q2p1p/2pn1np1/3p4/Q1pP2P1/1PN1P2P/P2K1PB1/1R1R4 w - -,d2e1
3r2k1/2q2pp1/2p1pnp1/p1P5/1r2PP2/1PQ3P1/1PB4P/2KRR3 b - -,d8b8
r2qrbk1/3b1pp1/p2p1n1p/nPp1p3/4P3/2PP1NN1/1PB2PPP/R1BQR1K1 b - -,a6b5
6k1/1R4r1/2bpp1p1/5pQ1/2r5/6P1/P3PP1K/8 w - -,g5d8
r2q1rk1/4bppp/p1npbn2/1p1Np3/4P3/2N1B3/PPP1BPPP/R2QK2R b KQ -,b5b4
8/7p/4kNp1/6P1/3KP3/1R1N3r/3r4/8 w - -,f6d5
2r3k1/5pbp/4p1p1/Pp1pn3/r2N4/2P1P1P1/P1R2P1P/B1RK4 b - -,a4a5
8/5k2/8/2b1Pp2/5P2/3P1pP1/8/5K2 b - -,f7g6
7r/pN3pk1/7p/P7/2Q3n1/4b3/1P2R1Bq/3R1K2 w - -,c4g4
8/6k1/4Qn2/2p1qp2/2B1p1p1/1P2P1P1/4KP2/8 b - -,e5e6
rnbqk2r/ppp2ppp/4pb2/3p4/3P4/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,e8g8
r4r2/1p5k/p1np4/2p4p/3b1p2/5Pqb/PPPQ1NB1/R3RK2 b - -,h3g2
8/6k1/R7/4P3/1p3PP1/5r2/7K/8 w - -,f4f5
6k1/1r1b4/6n1/3pP1P1/pBp2p2/2P5/1P2Q2P/7K b - -,d7f5
2r5/p4pp1/1kn4p/3R2nR/6PP/4P3/1P3K2/8 b - h3,g5e4
r1b1rN1k/pp5p/2p2n2/3n1p2/7B/2P3QP/1R3PP1/R5K1 b - -,e8f8
r1bq1rk1/1p1n1ppp/2p1pn2/p7/PbpP4/2N2NP1/1PQ1PPBP/R1B2RK1 w - -,e2e4
2kr4/pp1n4/3qp2Q/7N/8/2PN1n2/PP1R4/2K4R b - -,f3d2
4r1k1/5p2/6p1/2B4p/3P4/1R2P1P1/4R1K1/3r2b1 w - h6,c5a7
r2q1rk1/1bpnbppp/p1np4/P2Bp3/1p2P3/1N1P1N2/1PP2PPP/R1BQ1RK1 b - -,d7f6
5rk1/3q3p/p2p2p1/nppP4/5RNP/1PP5/P1Q2PK1/7R b - -,f8f4
5r1k/p3p1b1/6q1/4Pr1p/P1P5/1P1Q2B1/7P/3RR2K b - -,g6g4
r1b3k1/ppp4p/3p2p1/3Pp3/2PnBr1q/4Q1NP/PP3PP1/4RRK1 w - -,e3d3
5rk1/2qr1p1p/p3p1pb/2p1P3/1nP1QP1B/5NP1/1P5P/3R1RK1 w - -,g3g4
r3r1k1/p4ppp/1p6/n2p4/P2PN3/B3P3/5PPP/1R1R2K1 b - -,e8e4
1rq2rk1/pb1p1pbp/1pn1p1p1/2p2n2/1PP5/P1NPP1P1/2Q1NPBP/1RB2RK1 w - -,c1d2
1k6/p4Q2/p1q5/3N1P2/1b1p1pP1/3P3P/5PK1/8 w - -,g4g5
8/2R3P1/8/8/3rq3/1k6/8/2K5 b - -,e4e1
