8/2nkbp2/1R6/2p5/8/P3P3/1R2KP2/7r w - -,b2b1
2r3k1/2r2pp1/p3p2p/1p6/2b5/P1P3P1/1P1R1PP1/1B1R2K1 b - -,g8f8
1r1q1r2/6bk/p2p1np1/2pPpbBp/P1N4P/2P2P2/3QB1P1/R4RK1 b - -,e5e4
r4rk1/1pqbbppp/p2ppn2/2p1n3/P2PPN2/1PN3P1/1BP2PBP/R2QR1K1 b - d3,c5d4
8/3r4/3B2p1/5p2/1P2kP2/6KP/8/8 w - -,d6b8
1rb2rk1/2qn1ppp/2nppb2/p1p5/Np1PP3/1P2B1PP/P1P1NPB1/R2Q1RK1 w - -,a1b1
r3k3/p3bp2/2pp2r1/8/1pPn2pP/4N1B1/PP3PP1/2K1R2R w - -,h4h5
8/1p2R3/6p1/4Q1p1/2k2r2/1q6/5RPP/6K1 b - -,b3d1
r2q1rk1/pbp1bppp/np2pn2/3PN3/3P4/6P1/PP2PPBP/RNBQR1K1 b - -,e6d5
2b1N3/k6p/p1P2p2/K2Bp3/3nP3/8/5P1P/8 b - -,d4b5
1r2r1k1/2pnqpbp/3p1np1/8/1p6/1PN1P1P1/PB2QPBP/3RR1K1 w - -,c3b5
3r1rk1/p1q2pbp/1p4p1/5p2/8/2PB1N2/bP2QPPP/2R1R1K1 w - -,c3c4
2r3k1/5ppp/p2q1b2/1p1pnP1Q/8/P5RP/1P3P2/1B1R3K w - -,d1g1
r3r3/2pb2kp/1p1p2p1/pPnP1P2/2P2p2/P6P/2BN2P1/4RRK1 b - -,e8e1
8/3n2kp/4b1p1/pB2Pp2/P4P1P/8/4N3/6K1 b - -,d7c5
8/2rR1rk1/qpn3p1/4pp2/8/2P3P1/1P3Q1P/3R2K1 w - -,d7d6
2r3k1/2qB1pp1/Q4b2/p3r2p/1p2P3/1P1R2PP/P4P2/3R2K1 b - -,c8f8
6k1/5p1p/3p2p1/3P4/Q5P1/6KP/6B1/1r2q2N w - -,g3h2
r2qk2r/pppb1ppp/8/3p4/1b1Pn3/2NB4/PPP2PPP/R1BQ1RK1 b kq -,e4c3
r2q1rk1/ppp1bppp/2npbn2/4p3/2P5/2NP1NP1/PP2PPBP/R1BQR1K1 b - -,d6d5
3brk2/pB2np1p/1p6/8/1P5P/P1Q3P1/4PP2/6K1 w - -,c3d3
8/8/1Rp3p1/2P1k1r1/3pp3/8/4KN2/8 w - -,b6c6
4r2k/3r1np1/p7/1pp2PP1/7P/P1n1P3/1P3R2/4R1K1 w - -,b2c3
8/6k1/R5p1/1r6/4n3/2r5/K5R1/8 b - -,c3g3
2r5/2P1b1k1/p6p/4Pp2/6b1/6P1/P2B3P/2R2K2 b - -,g4f3
rn1q1rk1/p1p1b2p/b3pp2/3p1np1/1P1P4/3N1QP1/1PPBPPBP/RN3RK1 w - -,c2c3
5kr1/1p2bp2/p6p/2P4Q/4PP2/1N2qPp1/P2R2K1/8 b - -,e3f4
6k1/3R4/1r3pb1/4p2p/4P2P/5PN1/6PK/8 w - -,d7c7
r1br2k1/pp2q1pp/4pp2/2b5/1PPn4/P1B2N2/5PPP/RBQ2R1K b - -,d4f3
r1bq1rk1/1pp2pb1/n2p1n1p/p2Pp1pP/2P1P1P1/2N1B3/PP2BP2/R2QK1NR b KQ g3,f6d7
r1bqk2r/1p1n1ppp/p1nP4/3pp3/8/4BN2/PPP2PPP/R2QKB1R b KQkq -,d5d4
2r2rk1/ppq4p/6p1/2n3P1/2P1p2R/4Q1P1/PPB5/1K5R w - -,c2e4
7k/7p/p4N2/2p1p1r1/P2pPn2/1P1R4/2P2PP1/6K1 w - -,d3f3
5r2/2p3k1/1p4pp/2rPR3/P3R3/6P1/5P1P/6K1 w - -,h2h4
1r1b2k1/1r3b1p/1pnq2p1/p1p1p3/P1P1Pp2/1RBP3P/4BPPN/QR4K1 w - -,h2g4
2r3k1/4bppp/3p1n2/4pP2/B1b5/4B3/1PP3PP/2R4K b - -,d6d5
5rk1/pp3pp1/7p/8/2N3b1/PP4P1/1Q2pP1P/3rR1K1 w - -,b2c3
r1b1r1k1/1p3pbp/1qpp1np1/p1n5/2PNPB2/2N5/PPQ1BPPP/3R1RK1 w - -,e2f3
rnbqk2r/pp2ppbp/6pn/2ppP3/5P2/2P2N2/PP1P2PP/RNBQKB1R w KQkq -,f1e2
r1bq1rk1/pp2ppbp/5np1/3p4/3BP3/2N2P2/PPP3PP/2KRQB1R b - -,e7e6
4bk2/6p1/3r3p/7P/5N2/5PK1/6P1/4R3 w - -,e1e6
1q1r1r1k/1b1p4/p1n2pp1/1pP1p3/5P2/4BNP1/PP1Q3P/2R2RK1 w - -,f3h4
8/4q1K1/6QP/8/8/k7/8/8 w - -,g6f7
3r4/ppRb1p2/5k1p/3P2p1/1P4P1/P6P/6B1/6K1 b - -,d7c8
2r3k1/7p/3b2p1/3Pp3/1p2P3/1Q3PP1/q7/1R3N1K b - -,a2f2
r1bq1rk1/3nppbp/3p1np1/2pP4/2B5/2N1PN2/PP3PPP/R1BQ1RK1 b - -,d7b6
r2q1b1r/p3k1pp/2Q1pp2/3n4/3P4/2N2P2/PP3P1P/R1B2RK1 b - -,d5c3
3r4/p3r3/1pB4k/P1pPpp2/2P5/2P3P1/4RK1P/8 b - -,h6g5
rq3rk1/1b1n1pp1/p1pbpn1p/1p6/3PN3/2NBP2P/PPQ2PP1/R1BR2K1 b - -,d6e7
8/8/8/8/5k1K/5PN1/6r1/8 w - -,g3h5
1r1q1r1k/pp4b1/3pb2p/1P1Np2n/P2nB1p1/B1NPPpP1/5P1P/1R1Q1RK1 b - -,d4f5
r4rk1/1bppq1pp/1p1b4/p1nP1pB1/6n1/P1N3PN/1PQ1PPBP/R2R2K1 b - -,e7f7
1R3b1r/5k2/1p3n1p/2p3p1/Pp6/1K3BB1/1P3PPP/8 b - -,h6h5
5k2/4b3/5p2/3qp2P/1p2K1P1/5P2/3N4/8 w - -,e4d5
6k1/5pb1/2q3p1/1p1n4/2p3P1/2P2P2/1P3QN1/5NK1 w - -,f1e3
4R3/8/4Pk2/8/8/4r3/6PK/8 w - -,g2g3
r2qkb1r/pb1n1ppp/1p2pn2/2p5/2P5/3PPN2/PBQ1BPPP/RN2K2R w KQkq -,b1c3
r2r2k1/5ppP/3p4/pN1Pp2q/P5b1/1P4P1/nB2R1B1/3Q2K1 b - -,h5h7
6Nk/1pp2R2/3p3p/P3p3/1P1pP3/3PqP2/7P/5Q1K b - -,h8g8
r3r1k1/5Rqp/4p1p1/ppQb2N1/2p3p1/6RP/PP5K/8 b - -,g7b2
r7/1kp4p/1p1bnp2/4p1pP/P1P1P1P1/1K2BB2/6P1/R7 b - -,d6c5
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 b - -,e7e6:c8d7
3k4/6R1/1PK5/6Pp/8/8/3r4/8 b - -,d2c2
r1bq1rk1/1pp4p/1pn3p1/3pPp2/3PnR2/2PB4/PP4PP/R1BQN1K1 w - f6,e5f6
3rrk2/1pp2b2/p4p2/2Q1pPq1/4P1p1/2P5/PPB2PKR/7R b - -,d8d6
8/p5pk/2BR3p/1P2prq1/4Q3/7P/P5P1/6K1 w - -,c6d7
2r2rk1/pp3ppp/4p3/n3Nb2/3P4/b1P1B3/P3BPPP/3R1RK1 w - -,e2d3
r2q1rk1/ppnnppbp/3p2p1/2pP4/2P1P3/2N1B2P/PP2BPP1/R2Q1RK1 b - -,a7a6
rn1qnrk1/pppb2bp/3p2p1/3PpP2/2P4N/2N2PP1/PP5P/R1BQ1RKB b - -,g6f5
6k1/R4pp1/p6p/1p6/8/1bP1B2P/1r3PPK/8 b - -,b2a2
1rr3k1/p2nppbp/3p2p1/B1pP4/1PR1PP2/3n2P1/P3N1BP/5RK1 w - -,g2h3
r3b1r1/ppp1q2k/1n1p1RpP/2nPp1P1/4P2N/2N1Q3/PPP1B3/2K2R2 w - -,e2h5
4n3/1p1k4/5p2/p4K1p/8/1P4P1/P5BP/8 w - -,f5g6
r1r3k1/3b1p1p/3p2p1/1p1P4/1R6/1Q2P1P1/5P1P/1Rq2BK1 b - -,d7h3
br1r2k1/q4ppp/4p1n1/p7/3PN3/2N2PQP/PP1R2PK/4R3 b - -,h7h5
2r2rk1/p2p2pp/1pn1pq2/5p2/1bPn1P2/1PNB2P1/PB1Q1PKP/R2R4 b - -,c8b8
1r6/1P6/1K4k1/2R3p1/8/8/8/8 b - -,g6h5
8/8/p2k2N1/2p2p1p/P4P2/1P1K2P1/7P/5n2 w - -,g6h4
r3kb1r/pppbnppp/5qn1/2PB4/5P2/4B3/PP2N1PP/RN1QK2R w KQkq -,d5b7
5k2/3p2p1/1rbPp1B1/4R3/p1K5/5P2/1P6/8 b - -,b6b2
8/8/6p1/3bR2P/5Bk1/6P1/2p2K2/3r4 b - -,d5c4
8/8/p1k1p3/1p2Pn2/3PpPp1/BP2P3/P3K3/8 b - -,c6d7
r4rk1/1bpqnpbp/p2p2p1/np1P4/4PB2/1BN2N1P/PP3PP1/R2Q1RK1 w - -,d1d2
8/5p2/p2N4/3pn1K1/7P/2P1k3/PP6/8 w - -,h4h5
r3r1k1/6pp/8/p1np4/Pp3B2/1Pb1pPPB/4P2P/1R3R1K w - -,f4d6
2r1k2r/pp2pp1p/q5p1/3P1b2/3bN3/6BP/PP1N1PP1/R1n1Q1KR b k -,c1e2
r4nk1/1p3rp1/2pP1p1p/p1P2P2/4RBP1/PP4P1/8/4R1K1 b - -,f8d7
2n3k1/p3b2p/6p1/R2b1p2/3P4/6P1/P3PP1P/6K1 w - -,a5d5
6k1/5pp1/2p1r1bp/P2p4/N7/qP5P/2PQ1PP1/2R3K1 b - -,e6e2
6k1/1b3rp1/1QBq3p/2nP1p2/4p3/8/1B3PPP/R5K1 b - -,b7c6
2kr1b1r/pp1q1p1p/2p5/5b2/P2Q1p2/2N3P1/1P2PPBP/R3K2R w KQ -,d4f4
7r/pP3p2/4p3/2B1Pk2/1P4pp/2P1R3/5PK1/8 b - -,h8b8
4r1k1/2p4q/4r3/p2p1pp1/3P4/B1P1nPPp/R4K1P/4R2Q b - -,e3g4
r2q2k1/bp3ppp/p3rn2/3pnN2/1P6/P3P1NP/1B3PP1/2RQ1RK1 w - -,d1b3
1r1qnrk1/1b1nbppp/1p1p4/2pPpN2/1PN1P1P1/2P1BP2/3Q3P/R2K1B1R w - -,f1e2
r5k1/pb1q3p/1p6/3p1pp1/3Pp3/6P1/P1Q2P1P/1R3BK1 w - -,c2d2
rn2k1nr/1bqpbppp/p3p3/1p6/4P3/2NB1N2/PPP2PPP/R1BQR1K1 w kq -,d1e2:e4e5
6k1/p4p1p/1pr2P2/3b4/8/2PB4/4K1PP/5R2 b - -,a7a5
1kr5/1p6/p3r1R1/8/8/2P3P1/PP6/2K5 w - -,g6e6
3k3R/p7/5P2/2r1P3/PpB1K2p/1P4b1/8/8 b - -,d8c7
5rr1/pb2q1bk/1p2p2p/3pPp1n/6p1/1P1N1PP1/P2BPRBP/2Q2RK1 b - -,a7a5
1r1rb1k1/1pq1bppp/p1nppn2/8/2P1PP2/1PN1B1P1/P1N1Q1BP/2R2R1K b - -,c7a5
8/7k/p3ppp1/P2q3p/1PQ2P1P/1K4P1/8/8 b - -,d5d1
5rk1/p3qp2/3p1b1p/2p1P3/1nPP2Pp/1R6/P2QB1R1/7K b - -,f6g5
r3k2r/1p3ppp/1pn1pn2/1B1p1b2/1b1P1B2/2N1P3/PP2NPPP/R3K2R w KQkq -,f2f3
r1b2rk1/ppqn1pbp/2pp1np1/P7/2BpP3/2N2N1P/1PP2PP1/R1BQR1K1 w - -,f3d4
8/1r1k1p2/3P2pp/3R4/1P1K4/5P2/6PP/8 b - -,b7b4
r7/1p3p1k/6p1/p2r1n1p/2P5/1P6/P2R2PP/5B1K w - -,d2d5
r1bq1r2/p2pp1k1/2p1n1pp/4P3/2PNNp1Q/8/PP3PPP/3R1RK1 b - -,e6d4
1r4k1/2q2b1p/2p1npp1/1rb1p3/4P1PP/2B1NP2/2P1Q1N1/R2R3K w - -,e3c4
r2q1rk1/p4pp1/2p2n1p/1p6/1b1PP1b1/1B3N2/PP1N2PP/R3QRK1 w - -,e1e3
r1bqk1nr/1pp2ppp/p1np4/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,g8f6:c5a7:g8e7
3r2k1/1p5p/p3p3/P3Np2/2NPnn2/3R3P/1P3P2/6K1 w - -,d3b3
r6Q/pp3k1p/3pNn1q/2pP1P2/8/7R/PP4P1/6K1 w - -,h8a8
r1bk3r/pp3ppp/2p1pn2/8/2P1P3/2P5/P4PPP/R1B1KB1R w KQ -,e4e5
8/3P3K/2n3p1/4k1P1/6PP/2p5/2N5/8 w - -,h4h5
6k1/1p1r1pb1/2p3pp/8/8/pP2P1P1/P1Rr1R1P/5BK1 b - -,d2c2
8/4k3/1R5P/2PK4/1p6/8/r7/8 b - -,a2d2
1r4k1/3b2b1/4p2p/4Pp2/pP3QpP/2qN2P1/6P1/1K1RR3 b - -,d7b5
rn1qk2r/pb2ppbp/3p1np1/2pP4/2B1P3/2N2N2/PPQ2PPP/R1B1K2R w KQkq -,e1g1
4rrk1/1p5p/4p3/Q3p3/P1P5/1P2BqP1/5P1P/1R4K1 b - -,e8d8
r1b2rk1/ppp2pbp/2np2p1/4p3/3PP2q/P1PBn2P/1P1QNPP1/RN3RK1 w - -,d2e3
8/7p/6p1/8/3k3P/2rpbPP1/6K1/3R4 w - -,g2f1
r2qkb1r/1p1n1pp1/p1n1p1p1/2p5/3P2P1/2N1P2P/PP3PB1/R1BQ1RK1 b kq -,d7f6
8/1k4p1/5pp1/1PK5/3N4/4n1P1/7P/8 w - -,d4e6
4r1k1/p6p/1R6/4ppB1/3p2n1/6P1/PPP1PP2/R3K3 b Q -,a7b6
