4k3/6R1/3P4/1P6/4p1p1/4r3/7P/6K1 w - -,b5b6
1r1q1rk1/3nppbp/2np2p1/1p6/1p2PP2/3PB1PP/N1P2QB1/1R3RK1 w - -,e4e5
r4rk1/2p2ppp/p1N1p3/8/P2Pq3/6P1/1P2PP1P/R1Q3K1 w - -,c1c4
r2qr1k1/p1b2pp1/1pn1b2p/2pnp3/P1N1N3/2PP4/1PQ1BPPP/R1B1R1K1 w - -,e4g3
rnbqk2r/pp2bppp/2p2n2/3p2B1/2PQ4/2N3P1/PP2PP1P/R3KBNR w KQkq -,c4d5
rnb1kb1r/pp3ppp/4p3/3q4/3p4/4PN2/PP3PPP/R1BQKB1R w KQkq -,d1d4
8/8/6k1/4R2p/5P1P/8/r5K1/8 w - -,g2f3
rqr3k1/1b1nbppp/p3pn2/1p1p2B1/3P4/1QN1PB2/PP1N1PPP/2R2RK1 w - -,g5f4
3r2k1/1b3p1p/1q4p1/1p1P4/1r1b4/2N3P1/3Q1P1P/2R1RBK1 w - -,c3b5
r1bq1rk1/ppp1npbp/3p2p1/3N4/2PpP3/1P1P4/PB2BPPP/R2QK2R b KQ -,c7c6
rn1q1rk1/pb2bppp/1pp2n2/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,a1b1:e2e4
1r3q2/6k1/4p3/2PpPp2/2p3pp/p1BB2n1/P5PP/3Q1RK1 b - -,f8c5
8/3kp2R/3p4/3Pp1P1/r1p1P3/1r3P1K/8/2R5 w - -,h3g4
r2r2k1/pp1bbppp/2n1p3/7n/2PPB3/1N6/PB3PPP/RN3RK1 w - -,a2a4
7k/1br2pp1/4p2p/1p1qP3/1P1N4/2P1Q1RP/6PK/8 w - -,e3e2
r3r1k1/pp1n1pbp/2p3p1/3p4/1q1P4/3BPNP1/PP3PP1/2RQR1K1 w - -,e1e2
8/6k1/1R5p/r7/6PK/6P1/8/8 b - -,a5c5
8/1b6/1b2p1k1/4N1pp/3PP3/3BK1P1/8/8 b - -,g6g7
2r5/6k1/1n1p2P1/2p1b3/8/pPP4R/P1K5/2B3R1 b - -,c5c4
2kr3r/1p1n1ppp/p2b1n2/1B2p1B1/8/1PP5/1P3PPP/RN2R1K1 w - -,b5d7
r3k2r/1bq1bppp/p2ppn2/8/2nQP3/1NN3P1/RPP2PBP/2B1R1K1 w kq -,h2h3
8/p1r1k3/1p2pp2/2r4p/3R1P1P/2P1R1P1/P1K5/8 b - -,c7d7
r1b2rk1/2q2pb1/1n1Np1p1/p1pnP2p/Pp5P/1N1B2B1/1PP1QPP1/R4RK1 w - -,g3h2
3r2k1/p5pp/1p2p3/3bnp2/1PB4b/N3PP2/P2BK1PP/2R5 w - -,c4d5
r1b2rk1/pp1nppbp/2np2p1/8/2B1P3/2N2N2/PPPB1PPP/R3R1K1 w - -,c4f1
r4k1r/1b2pPb1/pq3n2/2p3p1/1pQ1P3/6NP/PPP3B1/R1B2R1K b - -,g5g4
4r1k1/1pp2pp1/3p4/2nRr1qp/p1P1P3/P3P1P1/1PQ3BP/4R1K1 w - h6,d5c5
r1bqk2r/1pp1bppp/1nn5/p3p3/8/2N2NP1/PP1PPPBP/1RBQ1RK1 w kq a6,d2d3
r1bk3r/1pq3pp/2n2p2/1BPp4/1B1N4/P3P1Q1/5PPP/4K2R w K -,b5c6
2kr3r/1pqb1pQp/p7/3pPp2/1P6/P7/2P3PP/1RB2RK1 w - -,g7f7
q1rr2k1/4bpp1/4pn1p/1N1p4/P1n5/6PP/Q3PP2/1RBRN1K1 b - -,f6e4
5rk1/1b3ppp/1p2pP2/4P1PP/1p1Bp3/1P6/r1P5/2KR1B1R w - -,c1b1
1r2nr2/1p1b1pkp/p1npp1p1/q7/2P1P3/1P1QN1P1/P1N2PBP/2R2RK1 b - -,c6e5
6k1/1p3rp1/2p5/4n3/1Q4PP/6K1/6P1/8 w - -,b4e4
rnbq1rk1/ppppb1pp/4pn2/5p2/2P5/2N1P1P1/PP1PNPBP/R1BQK2R b KQ -,d7d5
r1bq1rk1/pp3pbp/2n3p1/4p3/1P1pP3/2PP1N2/5PPP/RNBQR1K1 w - -,b4b5
5k2/6pp/pp1p4/3Bn1q1/1PP1b3/5r2/P2R2PP/2RQ3K b - -,f3d3
2rq1rk1/pb1n1ppp/1p1bpn2/2pp4/3P4/1PPBPN2/PBQN1PPP/R4RK1 w - -,c3c4
rr4k1/1Q2p3/p1p1qbp1/2Pp1bp1/3P4/2B1P1P1/PP1R2BP/4R1K1 w - -,b7c7
3k4/2P5/2P5/pBK2p1p/4pPp1/6P1/7P/8 b - -,d8c7
r1bqkbnr/pp2pppp/2n5/2p5/3pP3/5NP1/PPPP1P1P/RNBQKB1R b KQkq -,g8f6
8/R3p3/2k2p2/4r3/8/3K4/4P3/8 w - -,e2e4
r2qk2r/1b1nbppp/pp1p1n2/4p1B1/P3P3/2N5/1PPNBPPP/R2QK2R w KQkq -,e2c4
1k6/2B5/p7/1pR1p3/3p4/5b2/PPP3rP/4K3 b - -,b8b7
2r1r1k1/6bp/p5p1/1p3P2/4NB2/1P3N1P/P4P2/4R1K1 b - -,g6f5
r4b2/1pp5/p3pk1p/4p1p1/PP2Pn2/1NPr1P2/6PP/R1R1BK2 b - -,b7b6
r5k1/pp1nrpbp/2pN2p1/8/2PP2P1/1P1N3P/P4PK1/2RR4 b - -,d7f8
r1b2rk1/1p1n1pb1/pq1p2p1/2pP3n/P3P2p/2N1BP2/1P1QB1PP/R4RKN b - -,d7e5
2r2rk1/np2bp1p/p3b1p1/q2pP3/3P4/P1N1QN2/1P4PP/1BRR2K1 w - -,e3h6
1r6/p2r1kp1/5p2/B1pnp2p/2Nb3P/P4KP1/1P2RP2/2R5 b - -,b8b3
2r2b2/p2q1k1p/1p3pp1/3p4/Pn1P1BP1/1P1Q1B1P/5PK1/4R3 w - -,d3b5
rnbqk2r/pp2bppp/3ppn2/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,d1e2
3q1r2/5rkp/p2p2p1/1p1Pp1bn/8/P1PB2P1/1P4QP/4RRBK b - -,d8c8
8/8/6p1/3p3p/1B1P1P1P/2PkP1n1/6K1/8 b - -,g3f5
r3r1k1/1qn1ppb1/6pp/p1R1p3/p1B1P3/2P1B2P/1P1RQPP1/6K1 b - -,e8d8
3q4/3N1p1k/R1p3pP/6b1/4P3/6PQ/5P1K/1q6 b - -,b1c2
1r1q2k1/2n2pbp/p2p2p1/1bpPn3/NP6/6PP/1P4BK/R1BQ1R2 b - -,b5f1
8/4r3/1p1p3k/p1nP2qp/P2RBpp1/2P2P2/4Q1PP/7K b - -,g4f3
8/8/6Q1/3kpR1P/2p1q3/P5P1/3r1PK1/8 w - -,f5f3
1k3rr1/pBp5/1p3pp1/7p/3R3P/1P6/P1P2PP1/2K4R b - -,b8b7
8/R3kp2/p3prp1/1p6/2q3P1/P7/1PP5/1K2Q3 b - -,e7f8
1r2r1k1/5p1p/pn1p1qp1/2pPP2n/1p3PB1/PPN1Q1PP/7K/2R1R3 b - -,d6e5
q3r1k1/2pn1ppp/1p1pp3/8/r1PPn3/P1B3PB/1Q3P1P/R3R1K1 w - -,e1e4
rnb1kb1r/4pppp/pq1p1n2/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,g7g6
r2q1rk1/pp2ppbp/4b1p1/2P5/8/PnNBB2P/1P3PP1/2RQK2R w K -,c1c2
1r6/3rk3/2p1bp1p/P1p1p1pP/qP1nP1P1/2BP2R1/1QP2P2/2R1KB2 b - -,c5b4
r1bqkb1r/1p2pppp/p1Np1n2/8/2B1P3/2N5/PPP2PPP/R1BQK2R b KQkq -,b7c6
6k1/1b3pbp/1n1p2p1/3Pp3/1Pp1P3/1qB2NNP/3Q1PP1/6K1 w - -,d2e3
1rr3k1/3n1pp1/pB1b4/Pq2p2p/R3P3/2pN2PP/5QK1/2N2R2 b - -,c8f8
r3kb2/1p3p2/p4n1p/q1pPp3/P1P1P1bR/2N2N2/1P2B1r1/R2QK3 w q -,d1d3
1rb1k2r/p1p1b1pp/2ppq3/8/8/3P1N2/PPP1QPPP/R1B1K2R w KQk -,e2e6
rn1q1rk1/1p2ppbp/p1p2np1/3p1b2/2PP4/1PN1PN2/PBQ2PPP/R3KB1R w KQ -,f1d3
rnb1kb1r/5pp1/p2p1q1p/2pP4/p3P3/3B1N2/1PQ2PPP/RN2K2R b KQkq -,g7g5
6k1/5pbp/p1n2np1/1p2p1B1/2p1P3/1PPB3P/P4PP1/5NK1 w - -,g5f6
r1bq1rk1/4ppnp/p5p1/3p4/R2Q4/1P2PN2/2P1BPPP/5RK1 w - -,f1a1
r4rk1/1pqn1ppp/2p1p1n1/P3P3/8/2B2B1P/P1P1QPP1/R3R1K1 b - -,g6f4
3r2k1/3b1qpp/p3p3/Ppb1nN2/4P2R/2Q3PP/1P2NP2/5RK1 b - -,e5g6
8/8/8/1p5p/3R4/P1P3k1/1r6/4K3 w - -,d4d3
2r2rk1/p1q2ppp/np1bpn2/2ppN3/3P1B2/2P1PQ2/PP1N1PPP/R4RK1 w - -,a2a4
r1bq1k1r/5p2/pn1p1bn1/2pPpNp1/2P1P2p/2NBB1PP/1P1Q1P2/R2K3R w - -,d1c2
8/p4p2/6k1/1R6/PP3KP1/1r6/8/8 b - -,b3b1
8/p3p3/3p1k1p/1n6/8/6PP/3K1PB1/8 w - -,d2d3
r1bqk1nr/pp1pppbp/2n3p1/3P4/4P3/5N2/PP3PPP/RNBQKB1R b KQkq -,c6e5
8/4n3/1p5p/p4p2/3P1N2/4K1k1/1P6/8 w - -,d4d5
2r2rk1/p2nqpp1/1p3B1p/1Nb1p3/2P5/4PBP1/PQ3P1P/R2R2K1 b - -,d7f6
1rbqr1k1/1pbn1ppp/p2p1n2/2pP4/P4P2/2N3PP/1P1NP1B1/R1BQ1RK1 b - f3,b7b5
2r3k1/ppr1qpp1/2n1b1np/3pP3/3P4/P1B2NPP/1Q3P1K/2RR1B2 b - -,f7f6
1b6/kP6/2B4R/8/2r3KP/8/8/8 w - -,g4f5
1rb1n1k1/2qn2bp/p2p2p1/2p2r2/NpPP1P2/1P2B2P/P2QN1B1/4RRK1 w - -,e2g3
4r1kr/1ppq2p1/p2p1nP1/3PpP1p/7P/PP1QBP2/2P4R/2KR4 w - -,e3g5
r1bqr1k1/bpp2pp1/p2p1n1p/8/4PN2/1BPP1Q1P/PP3PP1/R3KN1R b KQ -,d6d5
5rk1/p2R2p1/1p1n4/1Pb2P1P/3p2K1/3B4/P2B4/8 b - -,g8h8
8/1p1kb1p1/p7/P2p4/2rP1Pp1/1pPK4/1P1B4/6R1 w - -,g1g4
6k1/p1qp1p1p/r4pp1/P3P3/2p2QP1/1rP5/5PP1/3RR1K1 b - -,a6e6
6k1/1q1nppb1/p2p2p1/7p/4n3/1P1NP1P1/PB2QP1P/4N1K1 w - -,b2g7
1r4k1/p1p1br1p/1npp2p1/4p3/4P2P/1PN2PB1/P1P3P1/2KR3R b - -,e7f8
4r1k1/ppp4p/3pq3/2P3p1/1P1PPb1n/1Q5P/P7/1R3R1K w - -,b3e6
4rrk1/pbppqpbp/6p1/2p1P3/1nP5/1P3NP1/PB1Q1PBP/R4RK1 b - -,b7f3
3r2k1/pp1r1p1p/6p1/4P3/1q3P1P/3B1Q2/1P1R2P1/5K2 w - -,f3e3
rnb2k2/1p4p1/p3N2p/8/2B1p2P/8/P1P4P/1R4K1 b - -,f8e7
r2q1r1k/ppb2pp1/2p1bnnp/1P1Pp3/P1N5/2PP1N1P/B4PP1/R1BQR1K1 b - -,f6d5
r3k2r/1bq1bp2/p2ppnp1/1pn4p/3NPP2/P1NB2Q1/1PP3PP/R1B1R2K w kq -,c1d2
4r3/5p1b/2N2k2/2KB1P2/4P3/1P6/2R4b/8 b - -,h2f4
2r2rk1/1B3pp1/1q2pn1p/p1b5/Qp2P3/5N2/PP2NPPP/R2R2K1 b - -,b6b7
r1bq1rk1/pp3ppp/3ppn2/2n5/1bP5/2N2NP1/PPQ1PPBP/R1B2RK1 b - -,c8d7
2b3q1/p3b1rk/2pp2rn/2p1p3/4Pp2/1P1P1N2/P1PBKQPN/R5R1 w - -,e2f1
1r3r1k/p2b2pp/7b/3pPp2/4n3/P2RNN2/P4BPP/R6K w - -,f2g1
rnbq1rk1/pp2bppp/4pn2/2pp4/3P1P2/3BPN2/PPPN2PP/R1BQ1RK1 w - -,c2c3
r2qk2r/pb1nbppp/4pn2/1ppp2B1/3P4/2P1PNP1/PP1N1PBP/R2Q1RK1 b kq -,e8g8
r2q1rk1/2pnbppp/p1npb3/P3p3/1p2P3/1BPP1N2/1P1N1PPP/R1BQR1K1 b - -,e6b3
5r2/p7/1p3k2/1P3R1R/4BK2/7P/P7/4r3 b - -,f6g7
2rq1rk1/pp2ppbp/2n3p1/3pP3/3P2b1/4BN2/PP1QBPPP/R4RK1 b - -,d8b6
4Nnk1/1p3p2/3p2p1/1p4Pp/1P1PP1bP/8/6B1/6K1 w - -,e8d6
8/8/4Pkp1/7p/5R1P/1Br5/4K3/8 b - -,f6e7
r3qrk1/1ppb2bp/1n1p2p1/3Pp3/1PP5/2N1B2P/2Q1BPP1/1R2K2R b K -,d7f5
r1bqk2r/pp1n1pp1/2pb1n1p/3pp3/2PP2P1/2N1PN2/PPQB1P1P/R3KB1R w KQkq -,c4d5:e3e4
R2B4/5p2/p3p2p/P4k2/1n1P2p1/6P1/r4P1P/5K2 w - -,d8e7
4q1k1/5p2/p1b3p1/6Q1/8/4B1K1/6B1/8 w - -,g2c6
8/5p2/6pk/5p2/3K1P2/R5P1/P5r1/8 w - -,d4e5
rnb1r1k1/2qn1pbp/p2p2p1/1ppP2B1/4PP2/2NB2N1/PP1Q2PP/4RRK1 b - f3,c5c4
3r4/1p2nk1p/6p1/pP3p2/P1bp4/5P2/2P3PP/2BRR1K1 w - -,c1e3
5r1r/p1nknppq/1p2p2p/3pP3/b1pP4/P1P2PPB/2PQ1R1P/R1B1N1K1 w - -,e1g2
r1bq1rk1/1p2ppbp/p2p1np1/n7/3NP3/1BN1B2P/PPP2PP1/R2QR1K1 b - -,b7b5
rn1qkb1r/1p3ppp/p1p1pn2/3pNb2/2PP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,g2g4
4r1k1/6pp/2Bq4/5p2/Q1R5/3r2PP/5P2/6K1 b - -,d3g3
2b1rr2/2pq2k1/2np2pp/p1p1pn2/2P1NP2/P1NP2PQ/1P4BP/4RRK1 w - -,c3d5
3q2k1/pp3pp1/4pn1p/8/2Pr4/1P4P1/PN2QPKP/3R4 b - -,e6e5
2rrn1k1/1b2qpBp/p3p1p1/Pppp4/3P4/2P1PB1P/NP2QPP1/R2R2K1 b - -,g8g7
2r1r1k1/p4pp1/7p/1p2p3/8/1PP3P1/1R2PP1P/3R2K1 b - -,c8c3
1b1q1rk1/p4ppp/1r6/3pn3/Q2Nn3/4P3/PP2BPPP/R1B2RK1 w - -,f2f4
r1b2rk1/1p1nbppp/3q4/p2P2P1/1P1p3P/P7/1B1N1P2/2RQKB1R w K -,d2e4
r3k2r/1b2bpp1/pq2pn1p/1p2N3/7B/1B1P4/PP2QPPP/2R1R1K1 b kq -,a8d8
8/8/R7/2P2kpp/1PK5/6P1/7r/8 w - -,b4b5
3r1rk1/ppq1ppbp/2p1b1p1/3nN3/2PP4/1B3Q2/PP3PPP/R1B1R1K1 b - -,d5b6
r3r1k1/p2qbpp1/2pp1n1p/2p1p2b/2P1P3/1PNPQN1P/PB3PP1/R3R1K1 b - -,f6h7
8/5pk1/2r1p2p/R7/4p3/6P1/5PKP/8 b - -,g7g6
2r2rk1/p2qbppp/2b1p3/1pB1P3/3p1P2/2N1Q1P1/PPP4P/2KR1B1R w - -,c5e7
3nn3/3bkp2/2p3p1/NpPp3p/PN1Pp3/4P3/5PPP/3B2K1 b - -,e8c7
3q1r1k/p5bp/1p1P2p1/5pN1/P1Q2PB1/4R1P1/1P5P/6K1 b - -,f5g4
rr4k1/3np1bp/b2p2p1/q2P1p2/2p1NP2/2NnP1P1/PP2R1BP/R1BQ2K1 w - f6,e4f2
3k4/4R3/r7/2B3P1/4K3/8/8/8 w - -,e7e5
6k1/6p1/RpKB1p2/8/7r/8/8/8 w - -,a6b6
r1bq1rk1/5pbp/p4np1/1p2p3/4P3/2NBB2P/PPP3P1/R2Q1RK1 w - -,a2a3
4rbk1/3R3p/2P1p1p1/8/3p4/p6P/5PP1/5RK1 b - -,e8c8
r1bq1rk1/pp3pp1/2n1pn1p/b7/2BP4/P1N2N1P/1P3PP1/1RBQ1RK1 b - -,c6e7
6k1/2p4p/p3p2r/1p1nNp1q/3P1p2/1P3PrP/P4QB1/2R1R1K1 w - -,g1f1
r3r3/pp4bk/5qpp/1P1R1p2/4pn1N/BQ4P1/P3PP1P/5RK1 w - -,d5d7
1rbq1rk1/5pp1/3bpn1p/1pp5/8/2NP2P1/1PQNPPBP/R4RK1 b - -,d8b6
1r2r2k/p3b1p1/2p4p/2pbp2q/2NnN1R1/1PQPBP2/P3PK1P/7R b - -,e8f8
r3k2r/pbqnbppp/2p1pn2/1p2N3/2pPPPP1/2N1B3/PP4BP/R2Q1RK1 b kq -,d7e5
8/p1p5/2pk2p1/4pp1P/1Pn1P3/P1P2KP1/5N2/8 b - -,g6h5
2k1r3/pp1r2p1/2p5/5p2/P2Pn2p/B2KP3/3P2PP/2R3R1 w - -,g1f1
6rk/2q2b1n/4pPpP/3pP1N1/2p2Q1P/2P1R1K1/1r2B3/7R b - -,h7g5
