8/8/1K6/4r3/1Nk5/8/8/8 w - -,b4c6
r1b2rk1/ppp1q1b1/3p3p/3Pppp1/2P1P3/P1N2NP1/1P2QP1P/R4RK1 b - -,f5e4
r3r1k1/Rp1q1p2/1Pp2bbp/2Pp2p1/3P2P1/4BP2/3Q2BP/R5K1 b - -,a8d8
2kr3r/ppqn1pp1/3bp2p/7P/2PNQ3/2B3P1/PP3P2/2KR3R b - -,d7c5
rr3q2/5p1k/3PpQ1P/6p1/3P4/p3P3/R5PK/8 w - -,h2g3
rnb1k2r/pp2ppbp/3p4/q1pP1p2/2P5/2N1P3/PPQ2PPP/R3KBNR b KQkq -,b8a6
r1bq1rk1/pp1nppb1/2pp1np1/6Bp/2P4P/2NP2P1/PP1QPPB1/R3K1NR w KQ h6,e2e4
2bq1rk1/4p1bp/pr1p1np1/2p2pNn/2PP4/1PN1P2P/4BPPB/1R1Q1RK1 b - -,c5d4
q1r2rk1/1b1nbpp1/pp1ppn1p/8/2PNPP2/1PN2B2/P3QBPP/2R2RK1 b - -,f8e8
r2q2k1/2p2pp1/pnP2n1p/8/Pp3P2/2N1Q2P/BPP3P1/R6K b - -,b4c3
r1b1nrk1/1p1pbppp/p3p3/q7/2PQPP2/2N1B1P1/PP4BP/R4RK1 b - f3,f7f5
rn2kb1r/1b2pppp/p2q1n2/1pp5/8/1BNP1N1P/PPP2PP1/R1BQ1RK1 b kq -,e7e6
5r1k/1bbn3p/4qn2/2p1p1r1/1PNpP1pN/B2B2P1/P4P1P/R2QR1K1 b - -,g5h5
r3kb1r/pp1q1pp1/4p2p/n3P3/4QB2/3p1N2/PPP2PPP/R4RK1 b kq -,d3c2
6r1/8/P5P1/7P/2p5/8/6K1/3k4 w - -,a6a7
4Q3/6kp/1P2p3/3p4/3n1bPp/P2b3P/8/3K4 w - -,b6b7
2kr4/1pp1n1b1/p1b4p/2p3p1/4P3/2P1NPB1/PP2NKP1/3R4 w - -,d1d8
2R5/8/6k1/5p1p/5P1K/r6P/8/8 w - -,c8c6
r1bq1rk1/ppp2ppp/2p2n2/2b1p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 b - -,f6d7:f8e8
7r/p3kp2/2p1p3/4Pp1p/3P1P2/2P5/R5PP/6K1 b - -,h8a8
R3r1k1/5pp1/p1p1b2p/1pq1n3/4P3/2N5/PPQ1BPPP/3R2K1 b - -,e8a8
4r3/1pp2kpp/5p2/nr1p4/p2P4/P1P1B1PP/1PRN4/1R4K1 b - -,e8e3
r2q1rk1/1Q1nb1pp/1p1p4/4pp2/P3P3/1NP2P2/1P2N1PP/R4RK1 b - -,g8h8
r1b2rk1/pp1npp2/2p2npQ/q6p/3P3P/6N1/PPP2PP1/2KR1BNR w - -,f1c4
r3kb1r/pb1p4/2nPp3/qp6/2p2n2/2P3Q1/PP1NPPPP/R3KB1R w KQkq -,g3f4
8/1R3p2/4nk2/2b3pp/8/6PP/5PK1/8 b - -,f6g6
8/7p/8/5pp1/2k5/1r3PPP/1pK5/1R6 w - -,f3f4
2r1r3/1pp2nkp/pn2q1p1/8/P3N3/5P2/1PQ1B1PP/R2R2K1 b - -,b6d5
b4rk1/r2q1ppp/p2bp3/Pp6/3pPB1P/1Q1P2P1/1PR2P2/R4BK1 w - -,f4d6
rn2k2r/ppp2ppp/4pnN1/q7/1bBP4/2N5/PPPB1PPP/R2QK2R b KQkq -,h7g6
3r1rk1/1Q1n1ppp/4p1b1/3p1n2/2P4q/4B3/P2N1PPP/2R1KB1R w K -,d2f3
r1bqkb1r/pppnp2p/3p1np1/6B1/3PN3/3Q1N2/PPP2PPP/R3KB1R b KQkq -,f8g7:f6e4
6rk/6rp/p2p4/3Rbpq1/PP3p2/5Q2/5PPP/1R2N1K1 w - -,d5a5
r1q1r1k1/p2b1pbn/2p1p1p1/2PpP2p/5P2/P1NBB2P/1P1Q2P1/R4RK1 w - -,e3d4
4R3/p6p/2kn1pp1/P7/5P2/7P/1p3KP1/8 w - -,e8e1
r5k1/5p1p/4pnp1/4p3/1p2P3/pP3P2/P5PP/2RR2K1 b - -,g8f8
1rbq1rk1/2p1ppbp/2np1np1/1p5P/3PP3/2N1BP2/PP1QN1P1/R3KB1R b KQ -,e7e5
6k1/1pb3r1/pNb1r3/P1p1p1pp/4Pp2/2BP1P1P/2P2KP1/1R5R w - -,c3d2
5q2/3b2k1/1p1p1ppp/p1pP4/P1Pb1PP1/1P1B2QP/4R1K1/8 b - f3,f8f7
8/r2k1p2/3p3p/2bPp1pP/4P1P1/5P2/NP1R4/1K6 b - -,a7a4
1r4k1/1b3p2/3nr1p1/P3p3/4Pb2/n3BNNP/2p2PP1/2R1RBK1 w - -,f1d3
r1bqk1nr/pp1nppbp/3p2p1/2p5/3PP3/2P2N2/PP2BPPP/RNBQK2R w KQkq -,c1f4
r1b3k1/ppQ4p/3bp3/3p4/3n1r1B/3B1N2/PP3PPP/R4RK1 b - -,d4f3
3r2k1/1p2bppp/2b5/6P1/5B1P/pPPB3R/P7/1K6 b - -,e7c5
r3k2r/ppq1bp1p/n1ppbnp1/4p3/2P1PP2/2NP1NP1/PP2Q1BP/R1B1K2R w KQkq -,h2h3
8/3k3p/4npp1/4p3/4P3/3K1PP1/P1N4P/8 b - -,d7d6
rn3rk1/4qppp/pp2pn2/3p4/3P4/1Q1bPN2/PP2NPPP/R1R3K1 w - -,b3d3
1rbq1rk1/p3bppp/2nppn2/2p5/Np2PN2/3PB1PP/PPP2PB1/R2Q1RK1 b - -,a7a5
r4r2/2p1b1k1/np3ppp/3Pp3/1PP1P3/2B3N1/2B4K/1R3R2 b - -,f8h8
2R5/4k2p/1p3p2/pB2pPp1/P2pP1q1/1P1P2N1/6KP/8 w - -,c8c7
r4n1k/1b3qbp/pR6/6B1/P2P4/2PQ4/5PPP/2R3K1 b - -,b7g2
5nk1/ppq3pp/3bp3/1P1p4/3P1P2/1B2N1PP/P2Q2K1/8 b - f3,g7g6
8/4kp2/2p2P1p/1pNbP3/1Pp2K1P/8/1P3R2/6r1 b - -,e7f8
r2q3k/pp2b1p1/1np1pr1p/5P2/3P2Q1/8/PPB3PP/R1BR2K1 b - -,e6f5
2r2qk1/2r1bppp/p3p3/1P6/n3B3/PQ1P2P1/1B2PP1P/1RR3K1 b - -,a4c5
r2qr1k1/ppp2pbp/4b1p1/8/3PP3/5N1P/PP3QP1/1B1RR1K1 w - -,d4d5
4rn2/1p1q1k2/p2P3P/3b1Q1n/2P2P2/2B1PN2/P7/2KR2R1 b - -,d7f5
r1bq1rk1/pp3ppp/2nppn2/3p4/3P4/2PBP3/PP1N1PPP/R2QK1NR w KQ -,g1e2
3n4/p2k4/1p1p4/1P1p2NP/P2P1BPK/2P1R3/8/7q w - -,g5h3
1kb1rq2/3rb2p/1Q1n4/5pp1/8/1BP3P1/PP3PNP/3RR1K1 b - -,d7b7
1k6/1bb5/3pN2p/6p1/1Q4P1/5r1P/1PP5/1K6 w - -,e6c7
8/8/3b3p/p7/n3R1Pk/2P4P/2K5/8 w - -,g4g5
r2qk2r/3b2pp/2n1pp2/1p1pP3/1bpP1B1P/5N2/3NBPP1/R1Q1K2R w KQkq -,e1g1
r1brn1k1/3n2p1/p3p1Pp/1p1p4/8/qPN1PN2/P1QPBP2/R3K1R1 w Q -,c3d5
4r1k1/5p1p/1pq3p1/3p4/p2R4/P1P3P1/1P2QP1P/1K6 w - -,e2d1
r1bqr1k1/p2nppb1/2pp2p1/1p5n/3PP2P/4BP1N/PPPQN3/2KR1B1R b - -,d7b6
1qr1r1k1/pp3pp1/2pbpnp1/6B1/Q1PP4/6P1/PP3PBP/2RR2K1 w - -,a2a3
5rk1/1b3p1p/p3p1p1/3n2B1/3PQ3/q2B1N1P/5PP1/2R3K1 b - -,f8b8
2r2rk1/5ppp/1pN1pb2/p2q4/3P4/P1B2PP1/1P2R1KP/2RQ4 b - -,c8c6
r1b1r1k1/ppp4p/3p2p1/5p2/2P5/1PB1P2P/P2R1PP1/4K2R w K f6,e1g1
2bR2k1/1p3p1p/p1p2np1/2q1p3/1PP1P3/P1N4P/5PP1/5BK1 b - -,c5f8
r3n3/p2n2k1/1p1p4/1N1Pp2p/1RP1Pp2/5P1b/P3B3/5N1K w - -,h1h2
r1br4/pp3pkp/8/8/3nBNP1/P4P2/1P6/3R1R1K w - -,f4h5
rnb1k2r/p3ppbp/2p2np1/1p2P3/8/2N1BN1P/PPP2PP1/R2qKB1R w KQkq -,a1d1
r3r1k1/pp3ppp/3q4/3pN3/n4PP1/1NP4P/PP1R3Q/2K4R b - -,b7b5
8/Q2nqpkp/4p1p1/3p4/8/3B2P1/Pr2PP1P/3R2K1 w - -,a2a4
2rr2k1/1pq2p1p/p1b1p1n1/4bp2/2P5/PN4PP/1PQN1PB1/R3R1K1 b - -,h7h5
8/5p1k/2p3pP/4p3/1pN1P2P/1q3P2/8/1K1R4 w - -,c4b2
1rr4k/p2q2p1/1p2bb2/5pNp/2Ppp1nP/P2P2P1/1R2PPB1/1RBQ2K1 w - -,g5e6
r1bq1rk1/pp3ppp/2pbpn2/8/3P3Q/3B1N2/PPP2PPP/R1B2RK1 b - -,h7h6
r1bq1rk1/1p1n1pp1/p4n1p/3p4/1b1P4/2NB1N2/PP1B1PPP/2RQ1RK1 b - -,b7b5
2b1r1k1/r3bppp/p3pn2/1p2N3/3q4/4BB2/PP4PP/2R1QRK1 b - -,d4e5
8/5k2/3P4/1p3r2/p2B2Kp/2P2P2/P7/8 b - -,f5d5
1r4k1/5pp1/6bp/8/2BNn3/b3P1PP/5P2/B4RK1 w - -,f1d1
8/4kppp/pp3n2/8/8/P2NP3/1P2KPPP/2r5 w - -,d3c1
3r1n1R/1p1k1p2/p4P2/4Q3/Pq2P3/8/2r4P/3R3K b - -,d7c6
1r4k1/7p/3pp1p1/1B2pn2/PP6/5P1P/2Nb1BP1/6K1 w - -,g1f1
rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq -,b1c3
rn1q1rk1/1pp1bppp/1n4b1/3P2P1/p7/PQN1BN1P/1P2BP2/R4RK1 w - -,b3d1
3n2B1/1p2k1p1/2pb1p1p/5P1P/1P6/2B3P1/5P2/2K5 b - -,b7b5
6r1/k2q1p2/4p3/2p1Q1pp/2P5/6PP/P1b2PB1/4R1K1 w - -,e5c5
1kbr3r/1pp2ppp/1p2pn2/6P1/R7/1PP5/PBP3BP/2K4R b - -,f6d7
5R2/8/8/1p1p1kpP/1P5r/2PK4/6P1/8 b - -,f5e5
3q4/p1pN1nkp/2Q1Bbp1/8/5p1P/8/Pr3PP1/5RK1 w - -,e6f7
r4rk1/1p1b2pp/5p2/1PbpP3/p4P2/P2B1K2/1B4PP/R6R b - -,f6e5
2r1rbk1/pp1q1p1p/2p3p1/P2n1p2/3Pn3/1QN1P1P1/1P3P1P/R1R1BBK1 b - -,d5f6
1rbqkb1r/3n1ppp/4pn2/1pp5/8/5NP1/1PQPPPBP/RNB2RK1 w k c6,d2d3
r1b1k2r/p2nnpp1/1p2p2p/2p5/2PP3B/P3PN2/3K1PPP/2R2B1R w kq -,f1d3
8/8/6B1/4k1pp/3p4/1Pb1p1PP/2P1R1K1/2r5 b - -,c3d2
r5k1/1b1qppbp/3p2p1/1npNP3/8/5N1P/1PP2PPB/3QR1K1 b - -,b5d4
2r3k1/4ppb1/p4qpp/3b4/1prN4/P1P1BP2/1PQ3PP/1K1RR3 w - -,a3b4
rnbqk2r/pp2bppp/4p3/3pP3/2pP4/2P2N2/P1P1BPPP/R1BQK2R w KQkq -,e1g1
r1bqk2r/2p1bpp1/p2p3p/1pnPp3/4P2P/2N2NP1/PPPQ1P2/1K1R1B1R w kq -,d2e3
6k1/3n1ppp/2p1p3/8/1N4P1/1P3P1P/1r2B1K1/2R5 b - -,b2e2
r4rk1/pbpp2pp/2n1p3/2p2p2/3P3q/2PBPP2/P1QB2PP/R4RK1 w - -,a1b1
5b2/2r3k1/7p/1pp1NRpP/3p4/1P1P2P1/2P2PK1/8 w - -,e5g4
3q3r/pprbk1pB/2n1pb2/2Np4/1P1P4/P3PN2/2Q3PP/R3K2R w KQ -,a1c1
rnbq1rk1/1p2ppbp/6p1/pPpp4/2PPn3/4PN2/PB1N1PPP/R2QKB1R w KQ -,c4d5
2rq1rk1/pb2ppbp/1p1p1np1/n1p5/P2P4/2P1PN1P/1P1NBPPB/R2Q1RK1 w - -,d2b3
r2q1rk1/p1pn1pp1/1p1p1n1p/4pb2/1PP5/P1Q1PN2/1B1PBPPP/R4RK1 w - -,d2d4
r2qr1k1/pp2npb1/4b1pp/8/3pP3/PP4P1/1B1N1PBP/R2QR1K1 w - -,f2f4
5r1k/4b2p/pq2b3/4pp2/2P1p3/1P4Q1/P1N1B1PP/2K4R b - -,e7f6
6k1/7p/5np1/p3p3/8/2r1P1P1/P6P/5RK1 w - -,f1f6
8/8/1p6/5k2/1KP2p2/1P4p1/3R2Pr/8 b - -,h2g2
r1bq1r1k/pp4pp/2nbn3/2PN4/2B1pp2/1PP5/PB2NPPP/R2QR1K1 b - -,e6c5
2r3k1/1p3p1p/p3p1p1/2P1R3/2P4r/3P1P2/P3KP1P/3R4 w - -,d1c1
r2qk2r/5ppp/p1pb1n2/3p4/2pP4/1PNbP1P1/P4PBP/R1BQR1K1 b kq -,d6b4
5bk1/p4p2/1pn1qB1p/5Q2/1Pr1P3/2P1R2P/P4PP1/3R2K1 b - -,e6f5
1q6/5rk1/6pp/1PQ2n2/2R5/8/5PPP/5RK1 b - -,f7b7
r3kb1r/pp3ppp/5n2/4p1B1/2Bn1Pb1/2N5/PP4PP/2K1R1NR b kq -,f6d7
rn1q1rk1/p1p1bppp/bp2pn2/3pN3/2PP4/1P4P1/P2BPPBP/RN1Q1RK1 b - -,a6b7
2b3k1/8/3p2pb/QBqPpp1p/P1N1P3/8/5PPP/6K1 b - -,f5e4
3r4/1b2k1pp/1p2Bp2/pPrP4/P2R4/6P1/5P1P/3R2K1 w - -,f2f4
3r4/p7/1p2pk1p/8/2PrB3/1P2R1P1/P4PKP/8 b - -,a7a5
r2r3k/ppq2ppB/4pb1p/2P5/b7/1NP2Q2/PP3PPP/R4RK1 w - -,h7e4
2r1r1k1/1b2qpbp/pp1p2p1/2nN4/2P1PP2/1P6/PB2Q1BP/R2R2K1 b - -,b7d5
8/4r1p1/1pp3R1/2k2p2/2P1r2P/2R1PK2/4P3/8 w - -,g6g5
1r3rk1/1q1b1ppp/4p3/1Np5/2P5/P1b1p1P1/1P3P1P/1RRQ2K1 w - -,b5c3
1k1rr3/pppb1pbp/8/2Pp3q/P2P1Bn1/3B1NP1/1P1Q3P/R4RK1 w - -,a4a5
rn1q1rk1/p3ppbp/2p3p1/1p3b2/1Q1P1B2/4PN2/PP2BPPP/R4RK1 b - -,b8d7
r6k/pn1bqrbp/1p1p4/2pPppB1/1PP1P2P/P1N2P2/3QN3/R3K1R1 b Q -,e7f8
rnbqk2r/pp2ppbp/6p1/8/3PpB2/2P5/PP2NPPP/RN1QK2R b KQkq -,e8g8
r2qk1nr/p2bbp1p/2p1p1p1/8/8/2N1B1P1/PPP2PBP/R2QK2R w KQkq -,e3d4
8/5pk1/ppbN2p1/8/1P5p/P1R1KP1P/6P1/r7 b - -,c6d7
5rk1/p2q2bp/1p4p1/3Pp3/PQ1pP3/1P4PP/1B2b1BK/2R5 w - -,d5d6
R7/8/8/3pk3/8/3p3r/3K4/8 b - -,e5e4
8/pp1b1k1p/2pbpn2/P2p4/2PPpP2/1P2P2P/1BQKBqr1/4RN2 b - -,d6e7
5r2/5Bpp/1pk5/P7/8/b1p1PK2/P5pP/R5R1 w - -,g1g2
8/1Nn1k3/p7/8/2K5/PP6/8/8 w - -,c4c5
r5k1/5p1p/3B4/1b1P1P2/1p2r1P1/1B5K/1P3b2/3N3R b - -,f2b6
rnb1k2r/pp2ppbn/2pp2p1/q5Pp/3PP3/2N1BP2/PPPQB2P/R3K1NR b KQkq -,e8g8
8/1r3pk1/6p1/3Q3p/1p3R1P/2q3P1/5P2/6K1 b - -,b7e7
r1q2rk1/3nbppp/p3pn2/2p5/Pp1P4/1Q2P3/1P1BNPPP/2RR1BK1 b - -,a8b8
5n1k/RQ3Npp/5r2/4p1q1/8/2P2P2/1P4PP/6K1 b - -,f6f7
