8/8/1pp1p2p/p3K1kP/P2P4/1P3P2/8/8 b - -,g5h5
4k3/1p2bp2/pBp1p3/P3P1pr/5P1p/3R4/1PK3PP/8 w - g6,g2g4
bqr1rbk1/3n1p1p/pp1ppnp1/8/2P1P3/1PN1BP2/P1NQ2PP/1BR1R2K w - -,c2d4
rn1q1rk1/pbppppb1/1p3np1/6Bp/2P5/2NP1NP1/PP1QPPBP/R3K2R b KQ -,c7c5
5rk1/pq2bpp1/2N1p2p/1Pr5/3p4/3Q2P1/1P2PP1P/R2R2K1 b - -,e7f6
r4r2/1p1nq1k1/2b1p2p/p2pPpp1/3Q3P/4PNP1/PPR2P2/2R2BK1 b - -,f8f7
r1bq1rk1/p1p1pp1p/2p3pb/3n4/8/2NP2P1/PP1QPP1P/2R1K1NR w K -,d2h6
r4rk1/pp2b1pp/1qp2p2/3pP3/3Pb3/1P2P1P1/P3Q2P/R1B1KBR1 w Q -,e5f6
r5k1/2R1pp1p/6p1/pp2r3/3p4/6P1/P3PP1P/R5K1 w - -,g1f1
8/p1r5/3k4/8/Q7/3K4/8/8 b - -,d6c5
1R6/5ppk/P1n3bp/8/8/1P3P1P/6P1/6K1 b - -,g6d3
r1b3k1/5pp1/2p2n2/pp6/3Nr2p/1P6/PP4RP/1K1R1B2 w - -,f1d3
r2qk1nr/pb1p1pbp/1pn1p1p1/2p1P3/P1B2P2/2P2NN1/1P1P2PP/R1BQK2R b KQkq -,g8e7
2rr2k1/2qbbppp/p1npp3/1p4PP/1P2PP2/P1NBB3/1P1Q4/1K1R2R1 b - -,d7e8
r1b2rk1/pp2b1pp/3Np3/4np2/8/2N1P3/PP1RBPPP/5RK1 b - -,f8d8
8/1pp2pk1/r2p1qp1/p3p2r/4P1R1/Q4PRP/1PP4K/8 b - -,h5h4
r1b1kb1r/pp2p1pp/5p2/q2Pn3/2PQpB2/8/PP3PPP/R3KBNR w KQkq -,f4d2
r4rk1/p1pnq1pp/1p1p4/3PpP2/2P5/6P1/PP1Q1PNP/4RRK1 b - -,f8f5
r2qk2r/1bpnnpb1/pp1p3p/3PpNp1/P1B1P3/2N1B3/1PPQ1PPP/3R1RK1 b kq -,e7f5
2r2r2/pp3ppk/4b3/3p4/8/6B1/PP3PPP/2RR2K1 b - -,g7g5
3k4/4p3/3pp1pp/p7/B1PbPPP1/5K1P/8/8 w - -,f3e2
5rk1/5ppp/p2p4/N1rPp3/1p6/6R1/PPP4P/3K1B2 w - -,a5c6
2r5/1p3k1p/p3p3/8/3PR3/8/PP1K2PP/8 b - -,c8c6
2r2rk1/p7/1p2q3/3nPpp1/2pP4/2P2QB1/P5P1/1R3RK1 w - -,f3h5
8/8/2r1k1p1/p1rp1pPp/Pp5P/1P1R1P2/2PR4/4K3 w - -,d2e2
r1bq1rk1/2pn1ppp/2p5/2Qp4/4P3/pPN2P2/P1PN2PP/R3K2R w KQ -,c5d4
r1n3k1/1p1q1pp1/5n2/pN1p1b2/Q2PpP1p/P3B2P/1P3PBK/2R5 b - -,c8b6
q7/5p1k/1r2b1p1/4p2p/2p1P2P/4PBP1/1PR2K2/2Q5 w - -,c1d2
5R2/8/8/4p3/8/4k3/6r1/3NK3 b - -,e3d3
8/p7/2k3N1/5p2/1PK4p/P3R3/6b1/5r2 w - -,e3e6
8/8/5k2/8/3p2K1/3P2P1/4R3/3r4 w - -,e2f2
8/p6k/1p4p1/2p1p2p/2P1P3/PP1NbP2/6PP/6K1 w - -,g1f1
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 b - -,b8d7
1rrq2k1/7p/p4Q2/1p1b3N/2p5/P3P1P1/5P1P/R4RK1 b - -,b8b7
8/7p/8/7r/4R2p/3k1P1P/6P1/6K1 w - -,g1f2
8/7p/3pk3/1p4PP/1P1B4/b1P5/P1K5/8 b - -,e6f5
4rbk1/2q2pp1/pp3n1p/2r2N1n/4p2P/1P2R1P1/PB3P2/1B1QR1K1 b - -,c5f5
r1q1k2r/1pp1ppbp/1nP3p1/p7/P3PB2/6P1/1PQ2PKP/RN3R2 b kq -,e8g8
2rqk2r/4bpp1/p2p2b1/1ppB2Pp/1n2Pp1P/3PN3/PPPQ3N/1K3R1R w k -,f1f4
2kbr3/1pp1qpp1/1p1N3p/nP1QP3/P7/5N1P/5PP1/3R2K1 b - -,c7d6
8/8/R7/8/8/5Kp1/7k/8 b - -,g3g2
rnb2rk1/p4pp1/2p1pq1p/8/1b1P4/2N2N2/PPP1BPPP/R2QK2R b KQ -,f8d8
1rk5/2b5/1pPp3p/3Pp1p1/2K1Pp2/5P2/5BPP/R7 w - -,c4b5
6R1/2b5/6bR/2p1k3/2P5/5BP1/r2p1PK1/8 w - -,h6g6
1rb2rk1/1p1p1ppp/p3p3/4n3/1bPN4/qPN1P1P1/3Q1PBP/R4RK1 b - -,b4c3
8/3b1pk1/3p2pq/1pnPp3/1Np1P1P1/2P2P2/1P6/2KB2Q1 w - -,c1b1
2b1rb1k/1p5p/2p2pp1/2P5/2B3P1/4B2P/5P2/1R4K1 w - -,e3d4
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R b KQkq -,f8e7:g7g6:f8c5:d7d6:d7d5
8/7p/1P2k3/8/4ppp1/8/P2RK3/2rN4 b - -,c1b1
2bq1rk1/r2nppbp/p1n3p1/1N1Q4/4P3/5N2/PP2BPPP/R1B1K2R b KQ -,a6b5
r2q1rk1/p5bp/6p1/1p3p2/2nPN2P/4BQ2/PP3PP1/R4RK1 w - -,e4c5
rnbqk2r/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,e1g1:d2d4:c2c4:d2d3
8/1R3pk1/6pp/r6P/5NP1/5PK1/8/8 b - -,g6g5
rnq2rk1/pp1b1pbp/2pp1np1/3Pp3/2P1P3/1QN1BP2/PP1N2PP/R3KB1R w KQ -,g2g4
5rk1/1p2ppb1/8/p3P1p1/P1r3Pp/1bN2BB1/1P1R2P1/4R1K1 b - -,h4g3
8/6rp/3Q4/6bk/5P1p/4n2K/5B2/5n2 b - -,g5e7
8/8/3R2p1/pP1P4/4p2p/3k3P/1r4P1/4K3 w - -,d6c6
7k/8/1b1p1p2/pPpPp2P/4P3/1K6/8/3B4 b - -,h8g7
3r1rk1/1p4bp/p1q2pp1/3bn3/3pN3/1P1B2BP/2PQ1PP1/1R1R2K1 w - -,g3e5
rnbq1rk1/3nppbp/3p2p1/1ppP4/P3P3/2N1BP2/1P1Q2PP/R3KBNR w KQ -,f1b5
r1b2rk1/1pqn1pnp/2p3p1/p1bpP1B1/P2N1P2/1P1Q4/2P1N1PP/R3RB1K b - -,f7f6
2rq1rk1/pb1n1pp1/1p2p2p/8/3PP3/1B3N1P/P2Q1PP1/3RR1K1 b - -,f8e8
5r2/p1p3p1/3k1r2/8/q2P4/1PPB3Q/P2B2P1/1K2R3 b - -,a4a5
8/5rp1/7p/Rp2p2P/2k5/4KPP1/8/8 w - -,e3e4
r1b2rk1/2qn1pbp/pppp1np1/3Pp3/2P1P3/2N1BNPP/PP3PB1/2RQ1RK1 b - -,c6c5
1r2k2r/3qbppp/p2p2n1/B2Pp3/Q7/3B4/PP3PPP/2R2RK1 w k -,a4d7
r2qk2r/pp1n1pp1/2p1pn1p/5b2/PbBP4/2N1PN2/1P2QPPP/R1B2RK1 w kq -,e3e4
r3k2r/pp1nq3/2p3p1/3p1p1p/2PPp3/P3P1P1/1P1NQPP1/R4RK1 b kq c3,h5h4
1r1qr3/1b3pk1/1pp2npp/2n1p3/4P2N/2QB2NP/1PP2PP1/R4RK1 w - -,a1d1
6k1/p6p/3p2p1/4p3/3p3b/1N1P1r2/PPP5/R4K2 w - -,f1g1
rnbqk1nr/1p1pbppp/p3p3/8/2P1P3/1N1B4/PP3PPP/RNBQK2R b KQkq c3,d7d6:d8c7
5rk1/1b3p2/r2q2pb/1ppPp2p/2p1P3/2P1NQ1P/1PB2PP1/R3R1K1 w - -,a1a6
r2qkbnr/pp1npppp/2p5/3p3b/8/3P1NPP/PPP1PPB1/RNBQK2R w KQkq -,e1g1
b2r1rk1/4bpp1/2p4p/p1Nn4/1p1P4/1P2B3/P4PPP/1BR1R1K1 w - -,b1e4
2r3k1/7p/3q1bp1/1Q1p4/1P1rp3/8/5PPP/3RRNK1 b - -,c8c4
r2q1rk1/4bppp/bnn1p3/p2pP3/3P3P/P4NP1/3BNPB1/R2QR1K1 w - -,d2g5
r4rk1/1p1nqppb/1np1p2p/p7/Pb1PP3/2NN2P1/1P2QPBP/R1BR2K1 b - -,f8d8
8/8/p7/1p2kp1P/4n3/2PR1K2/7R/6r1 b - -,g1g3
8/8/2K4k/1P1Q2p1/8/2P5/5q2/8 b - -,f2e3
8/6b1/1p2k1P1/1N1n4/6p1/3N4/4K3/8 w - -,e2f2
6k1/p4p2/8/P7/6P1/4K3/3N2r1/8 w - -,d2e4
1r3r1k/1ppq2b1/3p3p/PN1npnp1/2P2p2/3P1PP1/1BNQP1KP/R5R1 w - -,g3g4
r2qk2r/pp2npbp/2np2p1/2p1p3/4P3/1P1P1BP1/PBPN1P1P/R2QK2R w KQkq -,f3g2
rn1qk2r/p3npp1/1p2p2p/3pP3/b1pP4/P1P2N2/2PQ1PPP/R1B1KB1R w KQkq -,g2g3
r4rk1/1b3ppp/pp6/2np1q2/3BnN2/1P2PB2/P1Q2PPP/3R1RK1 b - -,a8c8
8/8/1p1npkpp/p2p4/P2P1PP1/2KPPN2/7P/8 w - -,f3e5
1k6/1r6/8/8/Q7/3K4/8/1n6 w - -,a4a5
2r5/R4pk1/1P2p3/4P2K/4rPp1/1RP1n1P1/7P/8 b - -,c8h8
r1b2rk1/pp2ppbp/nq3np1/8/2BN1B2/2P2N2/PP2QPPP/R4RK1 b - -,e7e6
2krr3/pp3pp1/7q/2bp3N/6Pn/P2Q1P1N/1PP2K2/R4R2 w - -,f2g3
r2rn1k1/p4ppn/1p6/2pbB1q1/3PP3/6Q1/PP3PB1/2R1R1K1 w - -,e4d5
8/2p5/1kq5/3p2p1/3P3p/Q6P/6P1/6K1 w - -,g2g3
r1bq1rk1/pppp1ppp/5nn1/2bPp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R w KQ -,e1g1
2kr1b1r/pppb1ppp/2nq1n2/4P3/5B2/2N2PP1/PPP1N1BP/R2QK2R b KQ -,c6e5
r2qr1k1/ppp2ppp/2n3b1/2b5/2P3P1/1P1pPP2/PB1N2BP/R2QR2K w - -,f3f4
2rqkb1r/1p3ppp/p3b3/4p3/4N3/2nQ4/PPP2PPP/R1BR2K1 w k -,d3d8
2rr2k1/p6p/1p1npbp1/1b1pNp2/1q1P1B1P/4QPP1/PP2P1B1/R1R3K1 w - -,b2b3
r2qk2r/pp1b1ppp/3bpn2/2p1N3/8/1P3Q2/P1PP1PPP/RNB1K2R w KQkq -,e5d7
5rk1/pp2rpp1/2pb2q1/2Np3p/3P3P/2R1P1P1/PPQ2PK1/R7 b - -,f7f5
8/2r2p2/6p1/3kPp1p/3PbP2/R1P1K1PP/8/8 b - -,e4g2
5q1k/R3p3/3p1n2/2pPnB1p/2P4P/1Q6/1P4P1/7K b - -,f6g4
8/3k3p/6p1/1p1PB1P1/2r2P1P/1K6/8/8 b - -,c4c5
2nnr1k1/pp1q1rbp/4b1pB/1P2p3/PN1p4/3P2P1/3QNPBP/1R3RK1 b - -,g7h6
8/2k2p2/2p1p1p1/1p3n1p/pP3P1P/P1RN1PP1/3r4/1K6 b - -,f7f6
r2q1rk1/p2n1ppp/b3pn2/2bpN3/P4B2/2N3P1/1P2PPBP/R2Q1RK1 w - -,e5d3
2rq1rk1/pb1n1ppp/1p2pb2/2pp4/2PPn3/PP1BPN2/1B2QPPP/1NR2RK1 w - -,a3a4
3r1rk1/p2q2bp/1pp2np1/8/2P2N2/4PPN1/PBQP4/2K4R w - -,d2d4
6k1/8/3N3p/p5pP/Np1b4/1P4p1/P3r1P1/3R3K b - -,e2e5
r2q1rk1/pp2ppbp/2np1np1/2p5/4PP2/3P2PP/PPP1N1B1/R1BQ1RK1 b - -,f6d7
r1b1kbnr/1pq2ppp/p1n5/3p4/2pP4/2P2N2/PPB2PPP/RNBQ1RK1 w kq -,f1e1
rr3nk1/1p2qppp/p2p2P1/n1p1pP1P/2P1P1Q1/2PP3B/5B2/1R2K2R b K -,h7h6
4k2r/1pr1bpp1/7p/3RpN2/4q2P/pP2P3/P4Q2/1K1R4 w k -,d1d3
6k1/1R4p1/p6p/5p1P/2r2P2/P7/1P6/5K2 w - -,b7a7
rn1qkbnr/pp2ppp1/2p4p/3p1b2/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
6k1/5p2/pb3p1p/1p3N2/1P6/4p2P/P5K1/4B3 b - -,g8h7
r4rk1/pp1nppbp/nq1p2p1/2pP4/2P1PP2/P1N2Q1P/1P4P1/RBB2RK1 w - -,b1c2
r3k2r/1pqbbpp1/p2p1n1p/4nN2/4P3/P1N1B3/1PP1B1PP/R3QR1K b kq -,d7f5
1r4k1/5pp1/p2Pqb2/1p2p3/1B2P3/3Q2PP/P1R3K1/8 b - -,f6d8
r5k1/r4pp1/4p3/1p2P2p/1p1p1Pq1/1P1P3R/P1RQ2P1/6K1 w - -,h3f3
4rrk1/p1p3pp/1p1p4/4np2/2P5/1P2PNP1/P3RPKP/R7 b - -,e5f3
6k1/N4p1p/1p4p1/1P1p4/2rP4/4P2P/P4PP1/5K2 b - -,c4c1
r4rk1/4qppp/p2p4/2nPp3/1p2P3/5B2/PP3PPP/R2Q1RK1 b - -,f7f5
8/p3bpkp/1pP2np1/2Pn4/3P4/PN3BP1/5P1P/2B3K1 w - -,c1f4
6Q1/2rnkpp1/4p2p/q6P/6P1/2p1N3/1P1K1P2/3R4 w - -,b2c3
4rr1k/1p2npb1/pqn3pp/2p1p3/2PpP1b1/PB1P1NB1/1PQN1PPP/R4RK1 w - -,a1e1
4r1k1/p1p3bp/1q3p2/2pp4/4rB2/5QP1/PPP2P1P/R4RK1 w - -,b2b3
2rr2k1/1bq1bpp1/ppnppn1p/8/P1Q1P2B/2N4P/1PPN1PP1/3RRBK1 b - -,c7b8
r1b2rk1/pp1n2bp/1qp2pp1/4p3/2P1P3/2N1Q2P/PP1NBPP1/2KR3R w - -,e3b6
r3k2r/pp2bppp/2n1b3/2p1p3/4P3/1P3NP1/PBP2PBP/R2q1RK1 w kq -,a1d1
rn5k/1b1q1rpp/3p4/p1p2p1N/4n1P1/1P2P3/PB3PBP/2RQ1RK1 w - -,f2f3
3k4/R7/2P3p1/2K5/p5P1/8/2r5/8 w - -,c5d6
8/2p1r1k1/bp1p2p1/p2P4/2Pr1PN1/P4R2/2R1PK2/8 b - -,d4c4
8/2kn1pp1/P3pb2/1B5p/N3P3/1P3P2/r4BPP/6K1 w - -,f2e3
1k5r/ppp1nppp/1q6/1B2P3/3r4/6P1/PP3P1P/R3RQK1 b - -,e7g6
8/1p4pk/8/1PQ5/8/2N2KP1/p1q4P/8 b - -,c2d3
r1R2bk1/5p2/4b1p1/1pp1p2p/4P3/1N3P1P/PPK2NP1/R7 b - -,a8c8
8/1p5r/p1p1pqk1/P1K1p1p1/1P2P3/2PQ1P2/6R1/8 b - -,f6f8
r4rk1/pbq2ppp/1p3n2/2p5/2P3n1/P3PNP1/1BQ1BP1P/R4RK1 b - -,f8e8
1R6/5pk1/p2N3p/4p3/6P1/r4K1P/3b4/8 w - -,f3e4
1r1rn1k1/1p2qp2/pN1pb1p1/PPp4p/2P5/2Q1P1PP/3R1PB1/3R2K1 b - -,e8f6
8/p3qpkp/2bp2p1/4p3/8/2NQ3P/P1r2PP1/3R2K1 b - -,e7g5
5rk1/1p4pp/p1b5/4q3/P1pQ4/2P1B3/1P4PP/R5K1 b - -,e5e6
r4r2/pp2ppkp/3p1n2/3P1p2/2P2P2/8/PP2B1PP/3R1RK1 b - -,a8c8
6N1/pp6/5pk1/2b4p/6P1/7P/P3K3/8 b - g3,h5g4
r1b1kb1r/1p1npppp/p2p1n2/6B1/2BNP3/2N5/PqPQ1PPP/1R2K2R b Kkq -,b2a3
5rnk/1pp5/p2p2Qp/2PP4/1P1q4/6R1/6PK/8 b - -,d4h4
2r2rk1/1b1nppbp/p5p1/np6/3PP3/2N1BP2/PP2B1PP/3RK1NR w K -,g1h3
r1bq1rk1/pp2ppb1/n1p2npp/2P5/3P1B2/1QN2NP1/PP3PBP/3RR1K1 b - -,a6c7
8/8/3k3p/6pP/2PK1p2/6P1/8/8 w - -,g3f4
2r4r/pp1nkppp/3bp3/3p4/3P4/2R1BPP1/PP3P1P/2R2BK1 b - -,c8c3
r1bqk2r/pp1pnpbp/6p1/1Bp5/3NP3/8/PP3PPP/RNBQR1K1 b kq -,g7d4
4R2R/8/4kp2/7p/1p6/1Pp3PK/4rr2/8 b - -,e6f5
1r3nk1/1q2n1bp/3p2p1/2p2pPP/1p3P1N/1P1P1Q2/2P3K1/2B1RN2 w - -,f1e3
8/8/3b2k1/8/6K1/7R/7P/8 w - -,h3h5
1r3k2/b4p2/4p1p1/P5Pp/R2pKP1P/3B4/2P5/8 b - -,f8e7
r1bqr1k1/1p1nppbp/p1pp1np1/6B1/2PP4/2N1PN2/PPQ1BPPP/R4RK1 w - -,b2b4
r1bqk2r/pp1nppbp/1n1p2p1/3P4/2P5/2N1B3/PP1Q1PPP/R3KBNR b KQkq -,d7e5
r2q1rk1/1p3ppp/p1n5/4p3/8/PN1bQP2/1PP3PP/2KR3R w - -,d1d3
r1b1k2r/pp2bppp/2nq4/4pP2/3pP3/P2B4/1PP1NQPP/R1B2K1R w kq -,g2g4
r4rk1/pp1bnp1p/1q2p1pQ/2bpP3/5P2/2NB4/PP4PP/R1B2R1K b - -,f7f6
r2r2k1/1p3pp1/3p1n1p/p1p5/P1q2B2/1bP2BPP/3R1P1K/R3Q3 w - -,d2d6
8/4k3/4p3/3pP2p/2pP4/2P4P/3BK3/2b5 b - -,c1b2
r1bq1rk1/pp3pp1/2n1pn1p/6B1/1bBP4/2N2N2/PP3PPP/2RQK2R w K -,g5h4
r2qk1nr/pp1nbpp1/4p3/3pPbN1/2pP1P1p/4B3/PPPNB1PP/R2Q1RK1 w kq -,a2a4
3kbb2/p7/1p1p4/3Pp3/P1N1P1p1/1P4P1/4KB2/8 w - -,f2e3
r2q4/2rb4/p1nkp1Bp/1p1p1p2/1P3P2/N3P3/PB4PP/2RQ1RK1 w - b6,d1c2
6k1/p4ppp/1p2p3/2b5/4P3/1P2N3/Pr3PPP/R4K2 w - -,e3d1
r1r5/1pbbkppp/p1nnp3/8/PPN5/4PN2/4BPPP/R1R1B1K1 w - -,c4b2
4r1k1/Q4pqp/4p1p1/B1P5/P7/2b3P1/3R1P1P/6K1 w - -,d2d8
r1b1kb1r/pp2pp1p/1nnq2p1/8/3P4/5N2/PP2BPPP/RNBQK2R w KQkq -,b1c3
8/R1p1kpp1/1p5p/p2b1n2/4N3/4P3/PP3PPP/6K1 b - -,e7d7
8/1p3k1p/2p1p3/2P2p2/pBPPpP1b/4P2P/8/5K2 b - -,h4d8
r2q1rk1/pp1nppbp/1np3p1/4N3/2PP4/4B3/PP1NQPPP/3R1RK1 b - -,d7e5
2r2rk1/pp1b1pbp/4p1p1/q4n2/3P1N2/1B2PN1P/PP2Q1P1/3RR1K1 b - -,f8d8
rn1r2k1/pp2pp1p/2p3p1/3P4/4P1q1/1PR3Pb/P4PBP/3QNRK1 w - -,e1c2
5R2/3k3r/8/3KB3/8/8/8/8 b - -,h7e7
r3r1k1/6pp/1n3p2/ppqp4/5PP1/1NPN3P/PP1R4/2KR4 w - -,d3c5
8/2K1k3/4p1n1/4Pp1p/5P2/2P1B3/1P5P/8 b - -,g6h4
8/3B2p1/3n4/p4k2/K7/8/8/8 b - -,f5f4
r4rk1/1b1n1pp1/1p1qp2p/1B5n/p2P3B/P1NQ4/1P3PPP/R4RK1 b - -,b7g2
r4r1k/2p3pp/4q3/2Q1p3/p3P3/P2P1pPP/5P2/R1R2K2 w - -,f1e1
2k1r3/1b3pp1/p3r2p/Pp1p1pPP/1P1P1P2/2N2P2/3K4/4R2R w - -,e1e6
r1b2rk1/ppp2pN1/6np/4q3/1PB1P1pP/1Q6/P2N1PP1/3RK2R b K -,g8g7
rn1qkb1r/pb3ppp/1p2pn2/3p4/3p1P2/2PBPQ2/PP1N2PP/R1B1K1NR w KQkq -,e3d4
QR1r1bk1/4q3/2pr2p1/p1p1np2/N1P5/4P1P1/PP3PB1/5RK1 b - -,d8b8
4rrk1/p2q2pp/1p1p1nb1/1npP4/P7/1QN2P2/1P3BPP/R3R1K1 w - -,b3b5
8/2n1q3/4p1k1/rp1pPp2/2nP1Ppp/pQP3P1/R7/R1B3K1 w - -,g1h2
3qkbnr/1p4pp/p1bppp2/3N4/3QP3/4BN2/PPr2PPP/R4RK1 w k -,d5b4
8/k1p3pp/p5n1/1pr5/P1B2P2/1P4P1/7P/4R1K1 w - b6,a4b5
2r4k/p5p1/1bb4p/1p2p3/4p2B/1NP4P/PP3PP1/4R1K1 w - -,h4g3
r2q2k1/pp3p1p/2p1b1p1/8/3Q4/P3P1P1/1P3PBP/3R2K1 b - -,d8d4
rn1qkb1r/pb1p1pp1/1p2pn1p/2p5/3PP3/2NB4/PPP1NPPP/R1BQ1RK1 w kq c6,e4e5
6rk/bpp1n2n/p2p1q1p/8/4PB1N/1NP4P/PP4QK/R7 w - -,f4g3
8/4kp2/1pN4p/1Pb5/P5p1/6P1/6P1/5K2 b - -,e7d6
r2q1rk1/4bpp1/b2p4/p1nPp3/Pp4Pp/2P1B2P/1PQ1NPB1/R3R1K1 b - -,a8c8
r1b2rk1/ppp1q1bp/1n4p1/4pp2/PP2N3/3B1N1P/2P2PP1/R1BQ1RK1 w - f6,c1g5
r4rk1/pb1q2pp/3p1p2/3p4/1N1P4/2P2P2/P1P3PP/R2Q1RK1 w - -,d1d2
r1q2n2/2p3k1/pp3bpp/3P4/P3Q3/2N3R1/1PP2PPP/6K1 w - -,e4c4
8/1p1r1k1p/p1p2pp1/bnPp4/1P1P2P1/2PB4/3B1PKP/3R4 b - -,a5c7
4R3/4nr2/8/8/8/5k2/8/6K1 w - -,g1f1
1knrr3/1p1b3p/p1n2Np1/2p2p2/2P2P2/4R1P1/PPN3BP/2KR4 b - -,e8e3
6k1/3R4/6P1/5PK1/8/8/1r6/8 b - -,b2b1
8/8/7K/8/8/1k4p1/2q5/3Q4 w - -,d1d5
r1b1r1k1/pp3ppp/3p1nn1/q1pPp1B1/2P1P3/2PB1PN1/P2Q2PP/R4RK1 b - -,f6d7
r2qr1k1/1ppn1ppp/2nb2N1/p3p3/2P3P1/P2PB2P/1PN2PB1/R2Q1RK1 b - -,h7g6
rn2kb1r/pp3ppp/2p1pnb1/8/3P1N1q/2P3N1/PP3PPP/R1BQKB1R w KQkq -,f1c4
4R3/p5k1/5r1p/1B6/8/8/P2b2PP/7K b - -,f6b6
r1r5/1p1nbkp1/1pn1b2p/1N1ppp2/1P2P3/P2P2P1/1B1N1PBP/R1R2K2 b - e3,d7f6
r4rk1/p1qn1ppp/2ppb3/4p3/Q1P1P3/2PB1P2/P4BPP/R4RK1 w - -,f1d1
8/1kp3p1/1pnp2rp/4p3/1PP1P3/2K1BP1P/R5P1/8 w - -,c3b3
8/2r2p2/3k1P2/6PK/4R3/8/8/8 b - -,c7c1
r4rk1/p2n1pp1/2pbq2p/4p3/Pp1P2PP/3B1P2/1PPQN3/1K1R3R b - -,d7b6
