8/5p2/6k1/7p/3p1B1K/8/8/8 w - -,f4g5
4rrk1/2p5/1p1pP1np/pPbP1ppq/P3pP2/2Q1P1P1/1B2NRKP/3R4 b - -,e8e7
3q4/1pp3kn/p2pB1n1/3P2p1/3PN3/6PP/PP3QK1/8 b - -,d8e8
r2q1rk1/pb1nppbp/1p1p2p1/8/2P1P3/1PNQ2P1/P4PBP/R1B1R1K1 b - -,d7c5
rnb2rk1/p4pbp/3p1np1/qp1Pp3/4P3/2N3P1/PP1N1PBP/R1BQ1RK1 b - -,b5b4
2r1r1k1/bp3pp1/p2p2np/4p3/PP6/3PP1PP/1B1N1PK1/2RR4 b - -,f7f5
r3kb1r/1bqn1ppp/p2ppn2/6B1/1p1NPP2/3B1Q2/PPP3PP/1NKR3R w kq -,h1e1
r1bq1rk1/pp2ppbp/2n3p1/8/2BPP3/4B3/P3NPPP/R2QK2R w KQ -,e1g1
8/1n6/1k6/8/8/2K5/6BB/8 w - -,c3b4
6k1/5p2/p3n2p/q1p3p1/1pQ4P/1P3N2/2P2PP1/6K1 w - -,h4g5
2rr2k1/2q2ppp/p3p3/3n1PP1/1pnBN2P/8/PPP5/1KQ2R1R b - -,e6e5
r2qr1k1/1ppb1ppn/pb1p4/3P1nP1/3N1P1p/P2Q3P/1P2NBB1/2R2RK1 b - -,d8c8
2r2k2/5p1p/3p2P1/r2p2P1/p1p1PP2/PpN2K2/1B5R/8 b - -,f7g6
8/1k6/1p1rp3/2p2p1p/PP2bP2/2K1P1P1/4B2r/4R1R1 b - -,c5b4
1r3rk1/1p3pbp/p1qpp1p1/2n5/P1P1P3/1PN1BP2/2Q3PP/2RR2K1 b - -,b7b6
3rrb1k/p4p1p/1n5B/2p2B2/3p1P2/1P4RP/P5P1/5RK1 w - -,h6f8
1r6/8/1KP5/8/4p1p1/5kP1/3R1P2/8 w - -,b6a7
r2r4/pp1k2p1/8/2Q4P/2P5/8/PP3P2/1K6 w - -,c5d4
r2qk1nr/ppp2ppp/2nBp3/3p4/3P2b1/4PN2/PPPN1PPP/R2QKB1R b KQkq -,c7d6
1kbr3r/p2n1pb1/3p1npp/q1pPp3/PpP1P2P/1P4PB/3NQP2/R1B1KN1R b KQ -,a5c7
1r1q2k1/2Q2Bb1/p2P3p/P1B3p1/4p3/6nP/1P4P1/R5K1 b - -,g8h8
rnbq1rk1/2p3pp/p1p1p3/N2pb3/3P4/8/PPP2PPP/R1BQR1K1 w - -,e1e5
1r3rk1/ppq5/2npp3/2p2p2/2Pb1P2/3P2P1/PP4B1/R1BQRK2 b - -,f8f6
8/3b1kp1/4p3/pp1pP3/r2B4/PRP2KP1/2P1r3/8 w - -,f3e2
r1bR4/5pk1/p1p3pp/1p2r2n/N1P5/7P/PP3PP1/2K2B1R w - b6,a4b6
8/p3k2p/1p2prp1/8/1n2BP1P/1P2R1P1/P1P5/6K1 b - -,b4a2
r2n2k1/2p2pp1/p4n1p/1p6/4b3/1BPN4/PP3PPP/RN4K1 w - -,d3c5
8/8/8/5k2/3q1p2/5P2/6P1/4QK2 w - -,e1b1
r4rk1/ppp1qnpp/3p4/3Ppb2/2P5/2Q1RNP1/PP3PBP/5RK1 b - -,e7d7
rr4k1/1R3p1p/p3b1p1/3n2B1/3bN3/7P/P4PP1/1R3BK1 b - -,b8b7
r1bqk2r/pp3ppp/2n2n2/2b1p3/2Pp4/4PNP1/PP3PBP/RNBQ1RK1 w kq -,e3d4
8/p2b1r1k/1p1R4/4p1B1/2P1p1P1/PP2P1K1/8/8 w - -,g5f6
8/6pk/6bp/p3n3/8/2R1Q1PP/5PB1/1q4K1 w - -,g1h2
2r1r1k1/p3qpp1/1pnp3p/2p5/2PbP3/3B1P2/PPQB1P1P/1R2R1K1 w - -,d2e3
8/5pk1/1p2pN2/4P1r1/R7/4n2K/8/8 w - -,a4e4
r2q1rk1/p5b1/bp4pp/2pP1p2/4B3/2P4P/PP1N1RP1/R2Q2K1 w - f6,e4f3
8/pp3pk1/2pR4/3p1PPK/8/8/8/2r5 w - -,d6d7
1r4k1/pB1r1ppp/1p3n2/1N2n3/P7/4P3/5PPP/R2R2K1 w - -,d1d7
3r1k1r/ppqn2p1/2pbp1Q1/6P1/2PP3P/4B2R/PP2KP2/R7 b - -,d6e7
5rk1/1q1n1pb1/2bp2p1/4p1B1/2B1n3/2P1NQ2/1P1N1P1P/R5K1 w - -,d2e4
6k1/1np5/R2p4/p2P3p/5Q1P/1P4PK/P3q3/8 b - -,e2a6
r3r1k1/pp1q1pb1/3p2pp/3N4/2PnB3/3P2P1/P4P1P/1R1Q1RK1 b - -,a8b8
r7/8/2N2kpp/pR1Pnp2/1bB1p3/6P1/P4P1P/6K1 w - -,c6e5
2r3k1/5p2/1r1B2p1/p2pP2p/Pp2bP1P/4K3/1R6/8 b - -,c8c3
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQK2R w KQ -,e1g1
3rr3/5pk1/p1qp1np1/1p2p1Np/2p1P3/P1PnQ1PP/1P3PKN/3RR3 w - -,e1e2
2k5/1R6/K5p1/P6p/5P2/6P1/2r5/8 w - -,b7g7
rn1qkb1r/1b3pp1/p7/1p2pN1n/4P3/3BB3/PPPN3P/R2QK2R w KQkq -,d1f3
2b1r3/1p2r1k1/p1pb3p/3p1pp1/1P1Pn3/1NPBP1PP/1P2R1K1/4BR2 w - -,d3e4
5r2/1nr3k1/2N3p1/2pPRb1p/1pP5/1P4PP/6B1/4R1K1 b - -,f5c2
3r2k1/4b1pp/3Npp2/4P1PP/pr3P2/P2RB3/1PP5/2K5 b - -,b4b8
8/8/8/8/1p6/1kr5/R2K4/8 w - -,a2a8
r1b1q2k/ppp1b1pp/n2p1r2/2PNp3/4P3/5NP1/PP3PBP/R2Q1RK1 b - -,f6h6
8/5p2/6kb/3RP2p/3N2P1/r5P1/5K2/8 w - -,d5d6
6k1/5p1p/p3r1p1/3p3r/1P3q2/P5Q1/5PRP/3R3K b - -,f4c4
1r4k1/5rp1/2n1p1pp/pqBpP3/bppP2PP/2P1Q2N/2P2P2/RRK5 b - -,b4b3
r7/1k2p2p/1n4p1/8/1R2P2P/pKR3P1/P7/8 w - -,c3c5
8/2p3pk/3nQp2/2NP2pq/2pB4/2P2P2/5KPr/2R5 w - -,e6g4
8/8/8/2pRk3/1p6/8/1P1K2PP/8 b - -,e5d5
5nk1/1p3pp1/2p5/8/8/PqN1PP1Q/1P3P1P/5K2 b - -,b3b2
r3k2r/1bqpnppp/pn2p3/1p6/1b1NPP2/1P1Q1B2/P1P1N1PP/R1B2RK1 w kq -,c2c3
7k/7p/R7/1pB5/1Pb5/7P/4pKP1/3rN3 b - -,h8g7
7B/8/2b5/5kp1/2r5/6K1/5RP1/8 b - -,f5g6
2r2k2/5pp1/4p3/R6p/7P/P5P1/5PK1/8 w - -,a5h5
2r3k1/4Qp1p/6p1/p1nR4/1q4P1/4PN1P/5PK1/8 w - -,e7f6
8/R7/5kp1/5b1p/P1pK4/2R3P1/8/4r3 w - -,d4c4
r1r3k1/q4pbp/p1bR2p1/4P3/3Q4/2N4P/P1B2PP1/1R4K1 w - -,d4a7
2r3k1/4rp2/1q1n2pB/1p1Pb3/3pP2Q/1B1P3P/6P1/RR4K1 b - -,e7a7
1b6/8/4p3/1pk2p2/6P1/5K1p/7P/5N2 w - b6,g4g5
8/2k1n1p1/4p3/pB1pP1p1/Pp1P2P1/1P2K2P/8/8 w - -,b5e8
r2q1rk1/p5bp/3p2p1/1ppn1p2/4b1P1/PQ2P2P/1P1NBP2/R1B2RK1 w - -,b3c2
r1q2rk1/4bppp/p1b5/1p2PQ2/P2Bp3/2P5/2P1B1PP/R4RK1 w - -,f5h5
r3k2r/npqbbpp1/1n2p2p/p1ppP3/P2P1P2/N1P5/1PB3PP/R1BQNRK1 b kq f3,c7c6
r2qk1nr/pb2ppbp/1pnp2p1/2p5/4P3/2NPB1P1/PPPQNPBP/R3K2R b KQkq -,d8d7
3b4/3n1k2/p1p3pp/2p2p2/2Pp1P2/1P1P2P1/PBN1K2P/8 w - -,b3b4
7R/6k1/2p5/1p3P2/4p1P1/3q2N1/2r1B1K1/4R3 w - -,h8h1
3r3k/4qBp1/1p6/p1pP1QP1/P1P2P1r/5R2/1P2pK1P/8 w - -,f7e6
3rr1k1/1pq2ppp/p1nbbn2/3p4/Q7/P1N1PN2/1P2BPPP/R1BR2K1 w - -,a4h4
1r3r1k/ppp3pp/3p4/PPn5/2PNPpn1/2BP1P2/3K3P/R4R2 b - -,g4e5
r1bq1rk1/3nppbp/p2p1np1/2p3B1/2BP4/2N1PN2/PPQ2PPP/R2R2K1 w - -,d4c5
r2r2k1/1bq2nbp/pp2Qnp1/8/2P5/1PN5/PBB3PP/4RR1K w - -,f1f6
r1b1kb1r/4npp1/p1np3p/qp1Np3/4P2B/N7/PPP2PPP/R2QKB1R w KQkq -,c2c3
2r1b1k1/q5pp/2p2p2/2b1pP2/2P1B3/1R1P1Q1P/4N1PK/8 b - -,a7a4
rnbqkb1r/pp3ppp/3p1n2/2pP4/8/5N1P/PP2PPP1/RNBQKB1R b KQkq -,b7b5
r3k2r/1b4pp/p1n1Nn2/1pb1q1B1/8/1BN5/PPP2PPP/2KR3R w kq -,h1e1
r3nrk1/pb1p2pp/1p1np3/1N6/4NP2/6P1/PPP3BP/2K1R2R w - -,b5d6
6R1/8/pp6/4p1p1/P3k1P1/7P/3q1RK1/8 b - -,d2d5
r5k1/ppqb3p/2p2bp1/2PP3n/1PpN1p2/2N4P/PBQ2PP1/4R1K1 b - -,f6d4
8/6kp/6p1/Pq6/4P2P/6P1/3Q3K/8 w - -,d2a2
r3r1k1/1p3ppp/pq1n1nb1/3p4/1P1b1B2/2P2PNP/P3B1P1/2QRR1K1 w - -,d1d4
r7/p1rbkp2/1p1p4/3Pp1p1/1RP5/3P2P1/P2K1PB1/R7 b - -,a8h8
2r3k1/5ppp/3Bp3/1pPn4/5P2/3Q2PK/q6P/1R6 w - -,b1b5
8/2R1bkp1/3pB2p/1n1Pp3/7P/1r2B1P1/5P2/6K1 b - -,f7f6
r4rk1/pp3ppp/1q2pnb1/n1p5/3PP3/P1P3P1/Q2N1PBP/R1B2RK1 w - -,c1b2
8/5p2/2k3p1/P2b2P1/3R4/r1P2PK1/3B4/8 w - -,g3f4
r1bq1rk1/2p1b1pp/1p1p4/p1nPpp2/2P1P3/1PN3P1/P1QN1PBP/1R3RK1 w - f6,e4f5
2br1rk1/ppp1qppp/1n6/4N3/1P6/P1N1P1P1/4QPBP/R4RK1 b - -,e7e5
rnbqkb1r/p5pp/2p1pp2/1p1nN3/2pP4/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,c3d5
8/5pk1/p2Q2p1/1qp4p/7P/1P4P1/5P1K/8 b - -,b5b3
2r3k1/4Bp2/p3bP1p/Pp2N1p1/1P6/3B3P/6P1/6K1 w - -,d3e4
4r2k/1b2qp2/1b4p1/2p1p3/4Nn2/1BpPB2P/1P1Q1PP1/R5K1 w - -,b2c3
1k1r4/pPp2p1p/6p1/2b2b2/2P2K2/2N2N2/PP2B1PP/R6R w - -,a1d1
r2qk2r/p1p1nppp/np2p3/3pP3/P2P4/2P2N2/2P2PPP/R1BQK2R b KQkq -,a6b8
5r1k/2p2pbp/1q3n2/3p1p2/Q2P4/B5P1/R3PPBP/1r2R1K1 w - -,a2a1
2r1rbk1/pbB2p1p/p3p1p1/8/3P4/4P3/PPRNKP1P/2R5 b - -,f7f6
6k1/pp1b4/4p1r1/3pP1B1/1Pp2P2/P1P5/5K2/6R1 b - -,g6g7
rnbqkbnr/pp3ppp/2p1p3/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,b1d2
rn1q1rk1/pb1pbpp1/1p2p2p/2p5/2PPN2B/4PN2/PP2BPPP/R2Q1RK1 b - -,b7e4
7k/1p3ppp/8/3pP3/1B1P4/pP1q4/5PPP/N1n1R2K b - -,c1b3
8/1p3kpp/p4p2/2n5/P2NPKP1/1P5P/8/8 b - -,f7g6
r1q2rk1/npB2ppp/p1b1p3/8/2P2QP1/7P/P1P2P2/R2R1BK1 b - -,b7b5
5r2/1rp5/3bk1p1/4p3/R5K1/4B1P1/R3PP2/8 b - -,f8f5
1rbqr1k1/3n1pbp/ppp2np1/4p3/P3P3/2N1B1PP/1PPQNPB1/3R1RK1 w - -,d2d6
2r1r1k1/1p5p/p3nBp1/3Q1P2/P1P1P3/1q6/6PP/2R4K b - -,b3e3
r2qrnk1/1b4bp/5np1/PN1p4/1PpN1B2/6PB/2Q2P1P/1R1R2K1 b - -,f6h5
8/4k3/p2pn1p1/P2n4/1p1B4/1P3R2/2PK4/8 w - -,d4e3
5rk1/2Qq2pp/4p3/1r3p2/pP1P4/P3P3/1B3PPP/2R3K1 b - -,d7d5
2r4r/1b1kbppp/p2p4/1p1PpP2/4P3/1P1N4/P2B2PP/2R2R1K b - -,c8c1
2r2r1k/pQ1P1p1p/1nN3pb/8/4p3/4P1q1/1P2R3/R1B2K2 b - -,g3h3
2r3k1/4Brpp/2qp4/pp2p3/7Q/P1NP4/1P5P/1K4R1 b - -,d6d5
r7/8/1P6/4kp2/1R4p1/2P5/5K2/8 w - -,f2e3
3r2k1/pb4pp/1p1q1p2/2pP4/8/6P1/PPQ2PBP/4R1K1 b - -,d6d7
4rNk1/6b1/1p6/pP1P2P1/r7/6N1/6R1/5RK1 b - -,g7f8
8/1R2p2p/2n1k1p1/6B1/1pr1P1PP/5PK1/8/8 b - -,c4c3
3rrbk1/5p2/1q3P2/pp2P2Q/3p1B2/3P4/PP4bP/R5K1 w - -,f4h6
7k/pbq2r1n/1p1R4/2p1QN1p/P3Pn2/5P1P/1PP3PK/8 b - -,f7f6
5k2/p4ppp/b7/3P4/4n3/2PB3P/P4PP1/4R1K1 b - -,a6d3
4k1r1/1b3p2/pq2pQ1p/4P3/1p1r2P1/3B4/PPPN3P/1K3R2 b - -,b6c7
8/p4pp1/4p1p1/1p6/1k1K3P/3B1P2/5P2/8 w - b6,f3f4
r6k/p1pp2b1/1p5r/5p1R/5Nq1/1P1QP1P1/P2P1P2/2R1K3 w - -,h5h6
8/p1r1pp2/2p3p1/2R4p/4PP2/5KP1/P4P1k/8 b - -,c7c8
2r1k2r/p2qn1b1/1p6/4Ppp1/1P1n1P2/3PB3/3Q1RB1/1R1N2K1 w k -,d2b2
1r3rk1/4nppp/1q2p3/p1ppP2P/6P1/2P1QN2/PP3P2/1R2R1K1 b - -,h7h6
6k1/1qbn1pp1/2p1p2p/p1P5/3PB3/P5P1/3B1PKP/1Q6 b - -,b7a8
r4rk1/1p1bp2p/nqpp2p1/p2P3n/2P1Pp2/PP3NP1/2QN1PBP/R4R1K w - -,c2c3
r1bq1rk1/pp2nppp/4pb2/3n4/3P4/3B1N2/PP1BNPPP/2RQ1RK1 w - -,f3g5
4QN2/p5pk/2p4p/3r4/8/5P2/P2q1P1P/4R1K1 b - -,h7h8
8/1kp3r1/1p2p3/5p1p/P3bP2/1K2P1P1/1P5r/3BR1R1 w - -,b3c3
r4rk1/pp3ppp/5n2/q4b2/3N4/2Q1P3/PP2BPPP/R3K2R b KQ -,a5c3
8/1r4p1/1P6/7p/1R6/5k2/8/3K4 b - -,g7g5
5rk1/1b1q2Bp/3p2n1/p1pn1rPN/1p3P2/1P3NRP/P1BQ4/6K1 w - -,g7f8
3r1rk1/5qpp/2p2p2/p1P2P2/Rb1B4/1n2N3/Q4PPP/3R2K1 w - -,e3c2
2b1n1k1/5rb1/p2p1q2/P1pp2B1/4rN2/6QP/4BPP1/4RRK1 b - -,f6c3
4r1k1/8/4r3/6pp/1PPBb3/P3R3/1K5P/4R3 w - h6,b4b5
1nq2rk1/r2bbppp/2p1pn2/pp2N3/P1pP4/2N1PQ2/1P1BBPPP/1R1R2K1 w - -,e3e4
r1b1kb1r/pp3p1p/1qp2np1/4n3/4P3/2N1N3/PPPB2PP/R2QKB1R w KQkq -,e3c4
5k2/5p2/2bp1P2/8/6r1/5R2/4B2P/7K b - -,g4e4
