8/8/1p5R/2p1kpp1/7r/2P4p/PP3P2/5K2 w - -,h6h4
2r2rk1/ppq1ppb1/3p1npp/2nP4/3B1PP1/2N4P/PPP1Q1B1/2KRR3 b - -,f8e8
2r4k/R1p3pp/1p3n2/2p5/8/P5R1/1P3P2/6K1 b - -,h8g8
r1b2rk1/ppp1q1bp/2np2p1/8/PP1pp3/N1P1P2P/4BPPB/R2Q1RK1 w - -,c3d4
r1b1r1k1/1pp1q1pp/p2p1p2/8/2PQ4/2n1BR2/PP3PPP/R5K1 w - -,d4c3
5rk1/pp1n2bp/1qp1p1pn/3pP3/3P4/3B1Q1P/PPP1N1PK/R1B5 w - -,f3g3
8/1kp5/1p1p4/p7/P2Q4/1PP5/1KP5/4q3 b - -,e1e5
2r2rk1/1b3ppp/p3p3/1p1qP3/8/P3QN1P/1PP1R1P1/4R1K1 b - -,f8d8
3r2k1/pr3pp1/2p4p/nq2B3/4P3/6N1/P1QP2PP/5R1K w - -,e5g7
1r4k1/5Qp1/p1np1p1p/5P2/1p1P2P1/4r3/1P3PP1/1BR3K1 b - -,g8f7
r1bq1rk1/pp2npbp/2n3p1/3pp3/4P3/2NP1NP1/PP3PBP/1RBQ1RK1 b - e3,h7h6
r3r1k1/p3ppb1/2P3p1/3B2np/1p6/P5P1/R7/2B2RK1 b - -,a8d8
8/5p2/2PK4/6k1/4P1p1/8/2r5/6R1 b - -,c2d2
3q1nk1/1p1r2p1/p1p1pr1p/Pn2R3/2QP1P2/1N4P1/1P4BP/3R2K1 b - -,g8h8
r3r1k1/pp3pb1/3P2q1/2B4R/Q3p1b1/6Pp/P3B2P/5RK1 w - -,e2g4
r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,d7d6:e7e6
8/8/1pR1p1pk/p3P2p/P4P2/2P3KP/1r6/8 b - -,b6b5
4r1k1/1b3pbp/3q2p1/2QnN1Pn/1PB3N1/2P4P/3B1P2/4R1K1 b - -,d6d8
r4rk1/pq2bppp/2n2n2/1p1pNB1b/2pP4/2P1B3/PP1N1PPP/RQ2R1K1 w - -,e3f4
r3k2r/pp3ppp/1qnnp3/3p1b2/3P4/1NP2N2/PP2BPPP/R1Q1K2R b KQkq -,a8c8
2rq1rk1/1p2b1pp/p1n1p1p1/P2pP3/3P4/2B1Q3/1PN2PPP/R4RK1 w - -,e3h3
3r4/8/p4n2/Pp1Pp1k1/1Pp3P1/2P1N1K1/8/7R b - -,d8f8
5bk1/3RR3/7p/5rp1/r7/3N2PP/5P2/6K1 w - -,e7e8
r1b2k1r/1p3p2/5q2/p1p1pP1p/P3Q1p1/2PB2P1/1P4PP/4RRK1 w - -,e4e5
2r1k2r/pp2bppp/2p1p3/2qn4/5Q2/1BP3BP/PP3PP1/3RR1K1 w k -,f4g4
r1b2k1r/pp2qpp1/7p/1B1Q4/6P1/4P3/PP3PRb/R1B1K3 b Q -,h2d6
rn3rk1/pR3pbp/2p1p1p1/8/3P4/4NP2/P1P1NKPP/7R b - -,b8a6
5k2/8/4pp2/p7/2P2R2/6PK/1r6/8 w - -,f4f6
r3kb1r/3b1p1p/pqnppp2/1p3N2/4PP2/2N5/PPPQ2PP/1K1R1B1R b kq -,e6f5
2rk4/1n1b1ppp/p3p3/1p6/P2PP3/3BKN2/5PPP/1R6 b - -,b7d6
rnbq1rk1/4bppp/p1pp1n2/1p2p3/3PP3/P1N3PP/1PP1NPB1/R1BQ1RK1 b - -,d8c7
8/7p/4k3/4p3/5b2/5P2/R6P/2r1BK2 w - -,a2e2
5b1k/1p1q1pp1/p1p1b2p/2P5/1P1p1P2/PQ1P2P1/3NBK1P/8 w - -,b3b2
3qnrk1/4bppp/bn2p3/p2pPP2/1p1P1NP1/5N1Q/PP3KBP/R1B5 b - -,d8c8
3rr1k1/3q2pp/5p2/1pp1p3/3pPPP1/1P1P3P/2PR1QK1/5R2 b - -,c5c4
2r1r1k1/pbq2P2/1pp1p2Q/3p4/2P5/1P4P1/PB2P1BP/3R2K1 b - -,c7f7
7R/8/7p/3k2pP/6P1/1r3PK1/8/8 b - -,b3b6
8/1p1K4/k1p5/p3q3/P1P5/1P6/2Q5/8 b - -,e5g7
8/5k2/4p1p1/8/5K1P/6P1/8/8 w - -,f4e5
1r2k3/pp1R1ppp/4p3/4b3/4N3/6P1/PPP2P1P/2K5 w - -,d7d3
4rbk1/3rqp1p/p2p2p1/1p3R2/3BNQ2/P7/1PP3PP/5R1K b - -,e7e4
5r1k/4q1p1/1p5p/p1bQB3/6P1/7P/P2R1PK1/8 w - -,f2f4
8/2Q3pk/4r3/1p2rn2/6P1/1PP1p2P/7K/4R3 b - g3,f5h4
r1b1rbk1/pp2npp1/q2p1n1p/2p1pN2/4P2N/2PP1QP1/PP3PBP/R1BR2K1 b - -,e7f5
r1bqk1nr/ppp4p/2pb2p1/4N2Q/3Pp3/2P5/PP3PPP/RNB1K2R w KQkq -,h5e2
r3r1k1/ppq2pp1/2p1bnnp/2b1p3/4P1PN/7P/PPP1QPB1/R1B1RNK1 w - -,h4f5
6k1/8/pr1rp1pp/8/R7/3p1P2/5KPP/4R3 w - -,f2e3
r3k2r/pppQnppp/3p1b2/3B4/4PPb1/2P1B3/PP4PP/RN2K2R b KQkq -,g4d7
r1b1rnk1/pp2qppp/4p3/2b1N3/2P1B3/2B5/PP2QPPP/R4RK1 b - -,a7a5
6k1/p2n1p2/1pp1b2p/4p1p1/2PbP1P1/1P2NP2/P2BB1KP/8 b - -,g8f8
r1bqr1k1/pp3ppp/2pbpnn1/8/2PPp3/1P3NP1/PBQN1PBP/R4RK1 w - -,d2e4
r1b1k2r/2q1bppp/p1npp3/6P1/1p2PP2/1P1B4/1PPBQ2P/2KNR2R b kq -,c6d4
r3k2r/p1q2pb1/bpn1p1n1/2ppP1p1/8/2PP1NP1/PP1BQPB1/RN2R1K1 w kq -,d2g5
r1b2k1r/p3pp1p/1pq2np1/4N3/8/2P5/PP2QPPP/2R1KB1R b K -,c6c7
2r5/1p3pk1/2b1p1p1/Q3P3/5P1q/2N5/PPP5/1K1r2R1 w - -,g1d1
2kr3r/ppqn1pp1/2pbpn1p/7P/Q2P4/5NN1/PPPB1PP1/1K1R3R b - -,c8b8
6rk/6q1/p1P4p/4R2P/3Q1P2/8/6p1/6K1 b - -,g8b8
2r3k1/3bpp2/pN1p1bp1/3P3p/1P6/4BP2/P3K1PP/2R5 b - -,c8c1
8/7p/P5k1/3pQ3/3P4/2P4P/1P5K/q7 w - -,e5e2
2rk3r/5pp1/p5np/1p1P1bPP/2P2P2/6B1/P7/2K1RB1R b - -,g6e7
r1bqr1k1/pp4bp/2n3p1/2pN4/2B3n1/5N2/PP4PP/R1BQ1RK1 b - -,c8e6
3r2k1/pp1r1nb1/5qp1/P1p1p2p/2NpP3/1P1P2BP/4QPP1/R2R2K1 w - -,d1f1
2rq1rk1/pp1bppbp/1n1p2p1/n7/3NP2P/1BNQBP2/PPP3P1/2KR3R w - -,h4h5
1rb2r1k/3Bn1bp/1q1p2p1/p1p5/Pp1PP3/2P1BP2/1P1QN1PP/R2R2K1 b - -,c5d4
r4rk1/1b3pp1/2p2n1p/ppq5/4P3/P1NB3P/1PQ2PP1/3R1RK1 w - a6,f1e1
8/8/8/5ppk/R3r3/6P1/8/6K1 w - -,a4a2
3r3k/2R3b1/b4Np1/6Pp/7P/8/7K/4B3 b - -,a6d3
r2q1rk1/pp3pb1/3p1np1/2pP1n1p/5P2/2NB2P1/PP3P1P/1RBQ1RK1 b - -,f5d4
6k1/1b2qpp1/1p1p3p/1Pp1p3/2P1P1P1/1r1PRN1n/1B1Q1P2/5K2 b - -,b7c8
1r6/p2k1p2/r3p3/3pPp2/1nPP3P/5N2/3R1KP1/2R5 b - -,a6a3
r1r1bbk1/1N1n1p1p/p5p1/1p2p3/1P2P3/P2BBP2/6PP/2RR2K1 b - -,a8b8
8/4k3/5p2/2N1p3/2PnP3/2K2b2/8/5B2 w - -,f1d3
8/R4pk1/4b1pp/P1r1p3/Bp2P3/6P1/1PPr3P/1K2R3 w - -,h2h4
3rr1k1/pp2ppnp/3q2p1/3p1b2/8/1P1P1NP1/PQ2PPBP/R4RK1 w - -,b2d4
3Q1b2/1k4p1/p1p1qp2/3p4/3P2Pp/8/PPPB1P2/2K5 w - -,d8f8
r4r1k/2pqbppp/p1n3b1/1p1pP3/3P4/PB2BN1P/1P1Q1PP1/2R1R1K1 b - -,a6a5
2r1r1k1/1p1n1pb1/p1p3p1/2P4p/3PQ3/6PP/PBR2P2/3R1BK1 b - -,e8e4
1rr3k1/2q1ppbp/R1n3p1/1p1p4/3Pn2B/2PQ1N1P/1PN2PP1/R5K1 b - -,h7h6
1rbq1rk1/6bp/1p1n2p1/2pPpp2/4P3/2N1BP1P/1P2B1P1/R2Q1RK1 w - f6,g1h2
1r1q1rk1/3bppb1/p2p1np1/nppP4/2P1P2p/1PN3PP/P1QN1PB1/BR3RK1 w - -,g3g4
r1bb2k1/pp3p1p/B3r1p1/2Ppp3/4P3/P4N1P/1P3PP1/2R1K2R w K -,a6d3
r1b1k2r/ppp1nppp/2n1p3/1B1q4/3PN3/P7/1PP1QPPP/R1B1K2R b KQkq -,e8g8
1r4k1/2R2nb1/3p3p/1p1qpp2/1P1r3B/6PP/Q4P2/2R2BK1 w - -,a2a7
2r2rk1/p3bpp1/2p1b2p/8/N1pP4/4P1P1/P4PBP/2R2RK1 b - -,f8d8
3r4/p1QP1p1k/1p3qpp/8/8/2p4P/P5PK/3R4 w - -,c7c4
r3kb1r/ppq4p/4ppp1/3Pnb2/2PQ4/2B5/PP3PPP/R3KBNR w KQkq -,f1e2
1rb4k/bpR3p1/p6p/8/2PrB1p1/3N4/P1P2P1P/1R4K1 w - -,c7e7
r1bq1rk1/3nbppp/2p1pn2/pp1p4/2PP4/1P3NP1/PBQ1PPBP/RN1R2K1 w - -,b1d2
6k1/5pp1/4b3/2R1p2p/8/1p6/4r1PP/1R4K1 w - -,g1f1
8/2N5/3p3p/2pPkpp1/1p4P1/1P6/2P3P1/6K1 w - f6,g4f5
2r1kb1r/pp3ppp/2n1pn2/3p4/3P1B2/5B1P/q1P1NPP1/1R1Q1RK1 w k -,b1b7
5rk1/1p6/p1p2r1p/2PP1ppN/4p3/1B5P/P4KP1/4R3 b - -,f6g6
2r2r1k/4qppp/p2p2b1/1p6/3QPPP1/PB5P/1P6/R3R1K1 b - f3,f7f6
2r5/p4kbR/1p2b1p1/5pB1/4p3/P1P5/1P1N1K2/8 b - -,c8h8
6k1/5p1p/p2P4/5R2/8/1P4P1/P2r4/2r2BK1 b - -,d2d6
1r4k1/p7/2bpp1n1/2p3B1/6N1/5P2/n2K2PR/7R b - -,b8b2
2r1kb1r/pp1b1pp1/1qn1p3/3pPB2/3P4/8/PPN2P1P/R1BQNR1K b k -,e6f5
r1bqr1k1/1ppn1ppp/1n1p1b2/p7/P2NPP2/2N1BQ2/1PP3PP/R3RBK1 b - -,c7c6
r2q1nk1/5pp1/1p2p2p/p2b4/3NP3/6P1/PPQ1BPP1/3R2K1 b - -,d5b7
2r3k1/4pp1p/Nn3qpQ/2P1p3/6P1/7P/5P2/1R3BK1 b - -,b6d5
5bk1/1b3pp1/3p1r2/p2q3p/P2P1pP1/1p1R3Q/1P5P/2NR2K1 w - h6,g4g5
8/8/3k3p/3PbR2/2r5/6P1/P1p4P/2B3K1 w - -,g1f2
1k1r1b1r/5p2/p1bppp2/1p2qP1B/4P3/2N1Q3/PPP3PP/1K1R1R2 b - -,d8d7
8/5p1k/1p3Bp1/3qP2p/2nP1Q2/8/r1P3PP/4R1K1 w - -,e5e6
8/p1k5/2r3pK/7p/7P/8/6P1/1R6 w - -,b1a1
6k1/R4pp1/2p1p3/2P3p1/N1r5/3b3P/5PPK/8 b - -,d3c2
2brr3/2p1qpbk/1pn2npp/p2pp3/P3P3/2PP1NNP/1PQBBPP1/1R2R1K1 b - -,e7c5
8/3k4/8/p4P2/Pq1pQ2K/3P2P1/7P/8 w - -,e4e6
8/8/8/4Q3/5K2/6p1/6rk/8 b - -,g2g1
8/R4p2/7p/5P1P/4K1k1/8/5r2/8 w - -,a7f7
r4rk1/2p1bpp1/p7/5Rp1/R3P3/1B1P2qP/1P2Q1P1/6K1 b - -,a8b8
2k1b3/p7/8/2N5/3P4/2K4r/1P6/R7 w - -,c3b4
rnbq1rk1/pp2ppbp/2p2np1/3p4/P1BPP3/2N2N2/1PP1QPPP/R1B1K2R w KQ -,e4d5
3r1rk1/5p2/1p2p1pp/p1pP4/1nP2Pq1/1Q2PN2/5KB1/1R3R2 w - -,f1h1
2r2rk1/1b1nbppp/pq2pn2/1pp5/3P4/1P2PN2/PB1NBPPP/1QR2RK1 w - -,e2d3
3r1rk1/pp2q1bp/4npp1/3pP3/3PpP2/P1N4Q/1P2B1PP/3R1RK1 w - -,g1h1
8/8/8/4pp1R/1k6/8/4KPPP/2r5 b - -,c1c2
rn2r1k1/1q3pbp/pp4p1/2pNp1Pn/2P1P2N/1P1P1R2/PB2Q2P/5RK1 b - -,e8f8
4r1k1/pp3pp1/2p5/5PPp/1PPq2nP/4rB1R/P1Q3K1/5R2 w - -,g5g6
2r5/p1r3kp/1p1pp1p1/nR3p1P/2P3P1/3PPB2/3K1P2/1R6 b - -,e6e5
8/4kr2/1pp1n3/p2p3p/P2P3P/1PP4K/4B3/4R3 b - -,e6f4
3rkbnr/pp3pp1/2n1p2p/2q1P3/2N5/3Q2N1/PP3PPP/R1B1R1K1 w k -,d3f1
1r2k2r/1b2bpp1/p1p1p2p/1q1P4/5P2/P1P2B2/1P1Q2PP/1NKRR3 b k -,c6d5
5R1k/1b4b1/1q1p1n1p/2p1pPpP/8/3B2N1/1PQN1PP1/6K1 b - -,g7f8
1nkr1bnr/pppq4/5p2/1P2p1pp/2NP2b1/1Q3NP1/P3PPBP/R1B1K2R w KQ e6,c1b2
1r4k1/pp2Rbp1/5n1p/3p4/2r5/PBN4P/1P1R1PP1/6K1 b - -,c4c5
4q2r/1p1b1pk1/1n2p1p1/pP1pP1Pp/Pb1P1N1P/1Q5R/4NPK1/2B5 b - -,e8c8
r1bqk2r/ppp1bpp1/4pn1p/6B1/3P3P/5N2/PPP2PP1/R2QKB1R w KQkq -,g5e3
5k2/r4pp1/p2R3p/Ppp1P3/5P2/2P4P/2P3P1/6K1 b - f3,f8e7
6k1/p4pp1/7p/1P2n3/3q4/5Q1P/5PP1/5BK1 w - -,f3a8
1r2rnk1/6p1/2nqpp1p/3p3P/1ppP2PN/2P1P3/1PQN1P2/3K2RR w - -,f2f4
rnbqk2r/ppp2p1p/4pb2/5p2/3P4/2N3P1/PPP2P1P/R2QKBNR w KQkq -,g1e2
8/p6R/p2p1k2/2p2Pp1/6P1/P1P3r1/8/7K w - -,h7h6
r3k1r1/pp1n1pb1/2p4p/2Pppb2/1P1P2n1/2N1PNB1/1P1K1PP1/R4B1R b q -,g7f6
Q7/6kp/1p3p2/8/8/1P2BB2/2q3PP/5bK1 w - -,g1f1
r1bqk2r/p1p1bppp/2pp1n2/8/4P3/3B4/PPP2PPP/RNBQ1RK1 w kq -,h2h3:b2b3
r1bq1rk1/1pp1ppbp/p1n3p1/3n4/P2PN3/2PB1N1P/1P1B1PP1/R2QK2R b KQ -,e7e5
8/5pk1/r5p1/1R5p/4P3/5PK1/8/8 w - -,b5b7
1R6/1p4r1/p1pN2k1/2P4p/7P/1P2KP2/P7/7r w - -,f3f4
8/1p6/2p1pk1p/5p1P/3P4/R7/PPPK2r1/8 w - -,d2d1
2rq1rk1/pb2ppbp/1p4p1/n2nN3/3P4/2N2B1P/PP1B1PP1/R2Q1RK1 w - -,c3b5
2R5/P5k1/3p4/3Pb3/8/2p1K3/r7/8 w - -,a7a8q
rnb1k2r/p2pqppp/1p2pn2/8/1pPP4/1Q2PN2/PP2BPPP/RN2K2R b KQkq -,e8g8
r1bq1rk1/bpp2ppp/p1np1n2/4p3/2P5/2NPP1PP/PP2NPB1/R1BQ1RK1 b - -,c6e7
4r1k1/3b2p1/1p3r1p/pPn1p3/P1Pp2P1/8/3N1NPP/R3R1K1 b - -,f6f4
8/1BR2p2/P3bkp1/r6p/5P1P/2K1PP2/8/8 b - -,a5a4
2kr1b1r/5ppp/bp6/8/3n1N2/2N1B3/PP3PPP/2KR3R b - -,f8c5
1r3rk1/2p2ppp/q3p3/3n3P/pp1PQ3/7R/PPP2PP1/2KRB3 w - -,h3g3
r4rk1/1p2nppp/8/3Pp1Q1/pq6/8/PPB2PPP/3R1RK1 b - -,f7f6
2r2k2/1p1q3p/p3pB2/1n3pQ1/8/3B4/PP3PPP/6K1 w - -,g5h6
r1bqk2r/p4pbp/2pp1np1/2p1p3/4P3/1P1P4/PBPNNPPP/R2Q1RK1 b kq -,e8g8
r1bq1rk1/ppp1ppbp/2np1np1/8/2BPP3/5N2/PPP1QPPP/RNB2RK1 w - -,d4d5
2kr1b1r/p1p2ppp/2p2n2/q7/3P4/2N3PP/PP3P2/R1BQ1RK1 b - -,f8c5
3r1rk1/1pq5/p3b2p/2p1bpp1/2P5/P1NPP1P1/1P2B2P/R3QRK1 w - -,a1d1
2k1rbr1/2pb4/ppp2pp1/7p/2n1P2P/3N1P2/PPP1NBP1/2KRR3 w - -,b2b3
r2q1rk1/p2b1pb1/3p1np1/2pP4/2p1PP1p/2N1B2P/PP1N2P1/R2QK2R w KQ -,e1g1
r1b4r/2b2p2/p1p2k1p/PpB1p1p1/4P1P1/1PN2P2/1P4P1/2KR3R b - -,c7a5
r7/2p5/p3p3/4b1p1/1k6/3pP1PP/P2N2P1/5RK1 w - -,g3g4
8/7p/2k1K1p1/7r/5R1P/8/8/8 w - -,f4c4
1rb2rk1/p2p1ppp/3Npq2/4n3/1P6/P2Q2P1/4PPBP/R2R2K1 w - -,d3e3
8/8/8/bPk3p1/2P5/p2K1P2/P6p/7N w - -,h1f2
1qr2rk1/5ppp/4p3/pp1p4/3P4/P1PQ2P1/1P3P1P/R3R1K1 w - -,e1c1
1r5k/6p1/7p/3P4/3qP3/4n3/1P2Q1PP/2R2N1K b - -,e3f1
2k3rr/pp1nq1pp/2pbpn2/3pNp2/2PP1P2/P3PN2/1P1BQ1PP/R4RK1 b - -,f6e4
8/6pk/5rb1/pB2R2p/P1pQ4/1q3P2/1P4PP/6K1 w - -,b5c4
2r3b1/p3r1k1/8/N1p1nppp/2P1P3/2N1P2P/P5P1/1R1R2K1 b - -,f5e4
rnr3k1/1p1nbppp/3pb3/q3p3/p1P1P3/2N1BP2/PP1NB1PP/1R1Q1R1K b - -,d7c5
3q4/2n1k3/Q1p1p2p/4Ppp1/2NP4/1R6/1P1K2PP/8 w - -,a6a3
r3kb1r/pp1q1ppp/2n1pn2/3pNb2/3P1B2/1QN1P3/PP3PPP/R3KB1R b KQkq -,d7c8
2r5/2rk1p2/1pb1p1p1/3p4/p2P1PP1/P2N2K1/1PR5/2R5 b - -,d7d6
1k5r/2p5/2p2n2/2Pp1p2/1P1P2p1/R3P1P1/P3N1K1/8 w - -,e2f4
2r3k1/2q2ppp/b3pn2/p7/Nbr1P3/1Q2BP2/1P2N1PP/2RR2K1 b - -,c4c1
2kr1b1r/2pq1p2/p1p1bPp1/3p2Bp/8/2N2Q2/PPP2PPP/R3R1K1 b - -,d8e8
2r1k2r/ppn1bppp/2p1p3/2q5/5Q2/1BP3BP/PP3PP1/R3R1K1 w k -,a1d1
8/8/1R3p2/6kp/1p2K3/1rb3P1/8/2N5 b - -,b3b1
5r1k/p2R2pp/2p5/2q4P/4pP2/1Q6/PPP5/2K3rR w - -,h1g1
r5k1/5ppp/p3n3/2qNp3/2P5/1P4P1/2Q3KP/R7 w - -,c2e4
r2r2k1/pp1b1p1p/6p1/q1pPb3/8/2P1B3/PQ2BPPP/2R2RK1 b - -,a5c7
1R2R3/3p3k/2b5/p5pp/8/5rK1/8/8 w - -,g3h2
6k1/6pp/1n6/8/1p1P3P/p3K1P1/rpN2P2/1R6 w - -,e3d3
r1b5/1p3k1p/p1r2n2/P3P3/2n2P2/2N5/P1P3PP/R1B2RK1 b - -,f6g4
r4r2/1pp2pk1/1b1p3p/4Pb2/2B2Q2/6P1/Ppn4P/1K1R3R w - -,c4d3
2r5/2rbk1pp/pnp5/1p2R3/3N1P2/1P3B2/P4KPP/2R5 b - -,e7d6
r1b1kb1r/1pq2ppp/p1n1pn2/2p5/2BP4/BP2PN2/P4PPP/RN1Q1RK1 b kq -,b7b5
2r2rk1/pb1q2bp/1p1p2p1/1Pp1pp2/2PnPP2/3P2P1/P2Q1BBP/1R1N1R1K w - -,d1c3
br3bk1/3r3p/pq2ppp1/R2p4/1P1P4/1N1NP1P1/5PP1/1QR3K1 w - -,b3c5
Q6k/p7/7b/8/1p3q2/8/PPP2NP1/1K6 b - -,h8g7
8/8/8/7r/7R/7K/4bk2/8 b - -,h5g5
rn1qk2r/ppp1ppbp/3p1np1/3P4/2P1P1b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
rnbq1rk1/1pp3pp/3ppn2/p4p2/2PP1B2/P1Q2N1P/1P2PPP1/R3KB1R b KQ -,f6e4
3r4/1b3pk1/p4p1p/3P4/P2p2P1/2pR1BKP/5P2/8 w - -,d3d4
2r3k1/6p1/7p/R7/p1rB3P/P5PK/8/8 w - -,d4b2
r1b2rk1/pp2ppbp/1n4p1/2pPn2q/2P5/N3PNP1/PB2QPBP/2R2RK1 w - -,c1c2
r1b2rk1/1p3ppp/p2qp3/5n2/3P3B/2P5/P1Q1BPPP/2R2RK1 w - -,h4g5
r2q1rk1/pp1bbppp/2npp3/3nP3/1P1P4/P4N2/B3QPPP/RNB2RK1 w - -,c1b2
2k5/1p3p2/p4Nn1/4r3/8/2P3P1/PP1R2K1/8 w - -,c3c4
r4rk1/4q3/p2bpnpp/2np4/8/2N1PB2/PB1Q1PPP/2RR2K1 b - -,a8d8
8/8/6k1/7R/1PP1r1Pp/2n1BK2/5P2/8 b - -,e4c4
