8/1k6/b4R1P/p7/8/PP5r/2K2P2/8 b - -,a6d3
1Q3bqk/6p1/3p3p/3Nnp2/4P3/BP3P1P/6P1/6K1 b - -,f5e4
1r2q3/2nbppbk/pr1p1npp/2pP4/2P5/1PN1P1BP/R2NBPP1/2QR2K1 w - -,c1c2
4rn2/5pk1/Q1pbpqp1/4N1Rp/3P1n1P/PB6/1P1B2P1/6K1 w - -,a6f1
1r1r2k1/1pn2pbp/p1p1p1p1/P3NnP1/1P1P1P1q/1Q2B3/5P1P/1B1RR1K1 b - -,c7d5
4r1k1/pp1b1pp1/7p/3p4/Pq1Pp2P/1P2P1PB/1Q3P1K/2R5 b - -,d7a4
1rB5/1P6/8/6k1/3pKR1p/8/1b4P1/8 b - -,b2c3
5k2/1r3p1p/R7/1p2N3/p3bPP1/6KP/PP6/8 b - -,f8g7
1n3r1k/1p2n1pp/5p2/r6P/1NBNP1b1/p7/P1P3P1/2KR3R w - -,d1d3
1r6/3n2bk/3Pb1p1/p6q/6N1/3BPQ1P/1p1B2P1/2R3K1 w - -,c1f1
7r/pp3p2/1b2k1p1/3pPp2/1n1P1P2/1P2B2r/2N3RP/R6K w - -,e3g1
6rk/pp1q2p1/r4p1p/7P/2PPpP2/P6P/1B2Q3/K3R3 w - -,e2e4
4bk2/1p3p2/3p2P1/2pP3B/7K/2r5/5R2/8 b - -,c3c1
rn1qk2r/pb1n1ppp/1p1bp3/8/3N4/6P1/PPP1QPBP/RNB2RK1 b kq -,b7g2
rnbqk2r/pp2ppb1/2pp1np1/7p/3PP3/2N1BP2/PPPQ2PP/2KR1BNR b kq -,b7b5
1r2r1k1/5p2/2pp1b2/6pp/1nB1PP2/7P/6P1/2Q1R2K b - -,d6d5
6k1/7p/p1p3p1/1pK5/1P3P2/2P4r/P1Br4/R7 w - -,c2b3
r2q1rk1/p3npbp/1pn3p1/2pp1b2/5B2/1NPP1NP1/PP3PBP/R2QR1K1 b - -,a8c8
2rr2k1/pq3pbp/1pbp1np1/4p3/2P1P1P1/2N1BP2/PP1QB1KP/2R2R2 b - -,f6e8
2n1k2r/5p2/4p3/pN1pPp2/Pb3B2/1P4RP/2P2P2/2K5 b - -,c8e7
2r3k1/3n1pp1/1p1Qp1p1/1q1p2P1/3P4/4R3/5PKP/4R3 w - -,e3e6
2rq1rk1/pb3pp1/1p2pb1p/n7/3PP3/P2B1N2/1B2QPPP/1R1R2K1 w - -,d3b5
6k1/6b1/2b1p1n1/B2p1p2/p1pP1P2/1rP2N2/1P5P/2Q4K b - -,b3b7
8/p3kp2/7p/Pbp1P3/5PB1/6P1/3K4/8 w - -,d2e3
r3kbnr/pp1b1ppp/8/2p5/8/2P5/PP2BPPP/RNB1K2R w KQkq -,e1g1
rn1qk2r/pbp2pbp/1p2pnp1/3P4/3P4/Q1N1PN2/PP3PPP/R1B1KB1R b KQkq -,e6d5
r2qk2r/1bp2p1p/1pn1p1p1/4Pn2/NbPP4/3BBN2/PPQ3PP/R4RK1 w kq -,d3f5
rnbq2k1/pp3pp1/2pb3p/2Pp4/3P4/2PB1N2/P4PPP/R1B1Q1K1 b - -,d6c7
1r6/1P3pk1/1R2p1pp/3r4/8/3N4/6K1/8 w - -,b6b3
8/1p6/p4k2/P2b1P2/8/5N1p/1PP1KR2/7r w - -,f3h2
2rqr1k1/1b1nbpp1/p3pn1p/1p6/3P3B/P1NQ1N2/1P3PPP/1B1RR1K1 b - -,d7f8
3q1rk1/pp2ppBp/6p1/3pPb2/2rP4/2P2N2/P2Q1PPP/R3R1K1 b - -,g8g7
4k3/3b4/p2p1B2/3B4/1rp1P3/2N5/P7/2K5 b - -,d7h3
6k1/pp2rrpp/2b1B3/4B3/5P2/PP5P/6PK/R7 w - -,e6c4
r2q1rk1/ppp1nppp/2b5/2b1P3/5B2/2P2N2/PP1NQPPP/R4RK1 b - -,e7g6
6r1/Q2qk3/3p1p2/3P4/1PP1pP2/5b2/3R2B1/6K1 w - -,a7d7
5rk1/4ppb1/pp1r3p/2p5/5P2/N1P2NPp/PP2BP1P/4K2R b K -,b6b5
4r2k/3R3p/p3B1p1/1pQ1p3/8/8/Pq3PKP/8 w - -,c5c7
2kr1bnr/1ppb2pp/p1p2p2/8/1q2P3/1N4B1/PPP2PPP/RN1Q1RK1 w - -,b1c3
8/2P2k2/3Q4/8/7K/3P4/5q2/8 w - -,h4g4
r4r2/1b2q1bk/p2p2pp/1pp5/2n1PN2/P1N1B3/R1PQ2PP/5RK1 w - -,d2d3
r3r1k1/1b2qppp/1p1pnn2/pPp5/2P1PR2/P1QP4/1B1NB1PP/4R1K1 w - -,f4f6
rq2k1n1/1p2p2p/p5p1/4p1P1/2Q3b1/2N5/PPP5/2KRR3 b q -,g4d1
8/8/2k2N2/2Pp4/r2P4/pKB2P2/r7/8 w - -,b3a2
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N1BP2/PPPQ2PP/R3KBNR b KQkq -,b7b5:f8e7:a7a6
2kr3r/pbq1np1p/1pp1p1p1/2p3bP/4P3/2NP4/PPPQNPP1/2KR3R w - -,d2g5
2rr2k1/5pb1/bp2p1pp/p1p2q2/P1P1nP1P/3P4/1PQ1B1K1/R1B2R2 w - -,d3e4
3r2k1/p5pp/6q1/1pp5/2nPP2Q/P2K1P2/7P/R4R2 b - -,d8d4
1r2rnk1/1p1bppn1/1q1p2p1/p1pPP3/P1P5/3NNPP1/3Q1KB1/R3R3 b - -,d6e5
2r2qk1/3n1rpp/1pB1p3/4Pp2/PPpB1P2/4P1P1/3Q3P/4R1K1 w - -,c6b5
4k2r/np1b3p/1q2pp1p/pP1pP3/P2N4/3B1N2/2r2PPP/3Q1RK1 b k -,c2c7
1q3r1k/5ppp/pr2b3/1p2R3/2p3N1/2P1Q2P/PP3PP1/4R1K1 b - -,f8d8
r1br4/p1q2pkp/1p4p1/n1p1p3/3PPP2/2PB4/P2QN1PP/2R2RK1 b - f3,e5d4
r1b2rk1/pp4pp/2p2q2/3p4/3P1p1n/3Q1P2/PPP1N1PP/R3RN1K w - -,e2g1
5k2/R4p1p/p2r2p1/1p3b2/6PP/4KB2/PP4P1/8 b - -,f5b1
rn1q1rk1/1p3pb1/p2pb1p1/4p2p/2B1P3/2N1N2P/PPP2PP1/R2Q1RK1 b - -,b8c6
6k1/5p2/4p3/4P1pp/2r5/6PP/R4PK1/8 b - -,g8g7
r1b1qrk1/pp4Bp/n1p2n2/4p3/2P2p2/2N2N1P/PP2BPP1/R1QR2K1 b - -,g8g7
1r2r1k1/5pbp/ppPQ1np1/2B5/P1p1P3/2N4P/1qB2PP1/3RR1K1 b - -,b6c5
5rk1/4ppb1/5n1p/pq1r4/Np3QNP/1P4P1/5P2/3RR1K1 b - -,f6g4
8/3q2k1/5Rp1/2p3P1/1pP5/p7/P1P5/2K1R3 w - -,f6e6
8/1K2kp2/1N1p4/b2PpPp1/2P1P1Pp/7P/8/8 w - -,b7c6
r3kb1r/2pq1ppp/p1p1n3/3pP2b/QP6/2P2N1P/P2N1PP1/R1B1K2R w KQkq -,e1g1
8/6p1/P7/5k2/5b2/8/r6p/1R5K b - -,a2a6
3r4/6kp/3r1pp1/pBK1p3/8/1N6/2P1R2P/8 w - -,c2c4
7r/5P2/1R6/5kp1/1KP5/8/8/8 w - -,c4c5
1rbr3k/bpR3p1/p6p/2N2p2/2P1p3/6P1/P1P2PBP/1R4K1 w - -,g3g4
1r3rk1/5ppp/p1n5/3p4/3P4/2N3Pq/RP1QPP1P/3K3R b - -,h3g2
5k2/2R2pb1/3p2pp/3P4/2P1n2P/5NP1/r2B1PK1/8 w - -,d2e3
5r2/pr4k1/2pb3p/2P4R/4pp2/7P/P2B1PP1/2R3K1 b - -,d6b8
rn1q1rk1/pb1p1ppp/1p2pn2/2b5/Q1P5/2N2NP1/PP2PPBP/R1B2RK1 b - -,c5e7:f6e4:d7d5
3r2k1/rn3p2/3p2p1/P2P3p/1PNb1B2/3B2P1/5PKP/1R6 b - -,d8b8
r1bq1rk1/pp1n1ppp/4pn2/8/2BP4/2P2N2/P3QPPP/R1B2RK1 b - -,b7b6
1r6/4kpp1/4p2p/p3P3/n4PPP/P1P4R/1rPB4/K3N3 w - -,e1d3
r2q1rk1/1p2bpnp/2p1p1p1/p1n5/2Pp1P2/BP1P2P1/P1NQ1PBP/R3R1K1 w - -,e1e5
4k3/8/5K1p/1R5P/4PP2/8/7r/8 b - -,h2h4
5rk1/2r2pp1/p3b2p/1pnB1n2/1N6/2N4P/PPPR1PP1/3R2K1 w - -,a2a3
4rrk1/pp2qnp1/2pp2p1/1P6/P1PP2b1/5N1P/5PP1/R1BQ1RK1 b - -,g4f5
rnb2rk1/ppq1ppbp/2pp1np1/8/3PP3/2N1BN1P/PPP1BPP1/R2QK2R w KQ -,d1d2
r4r2/pbqn2k1/6p1/3p4/N3pp2/1P5P/P1PQB1P1/1R3RK1 w - -,e2g4
3B4/8/3nk3/4p2p/7P/5K2/8/8 b - -,e6f5
5k2/4rp2/3p1Np1/p3n1Pp/1p2P2P/1P4R1/PPK5/8 w - -,c2d2
r3r1k1/pp2qp1p/6pB/3B1b2/2PbpQ2/1P4P1/P4P1P/2R2RK1 w - -,h6g5
2R2k2/5p1p/4p1p1/1B1r4/P7/7P/1b2KPP1/8 b - -,f8e7
1Brkn3/1R1b1ppp/4p3/r2p4/p2N4/3PP3/P2K1PPP/1R6 w - -,f2f4
8/6Q1/p3q3/1pP2pk1/8/4p1P1/P4PK1/8 b - -,g5h5
2r3k1/4Rp1p/pn1Q2p1/1p6/6P1/2P2q1P/PPP2P2/1K2R3 b - -,b6a4
3q4/5ppk/1K2p2p/p7/8/P7/bRP4P/2Q5 w - -,b6a7
rn3rk1/1p3pp1/1p5p/2pp1b2/3Pn3/P1B1PN2/1P3PPP/2R1KB1R b K -,c5c4
8/1b3pk1/4p1pp/Q1p5/2Pq1P2/1P5P/P5P1/5BK1 w - -,g1h1
8/q3kp1p/3p1p2/4pP1N/1p2P3/1P1P2QP/4n1PK/8 w - -,g3e1
r7/4kp1R/p3pqp1/1p6/6P1/P6Q/1PPr4/1K5R w - -,h1f1
8/1p1q3k/p5p1/3p1b1p/3Q1P2/1P3B1P/P5PK/8 b - -,f5e6
2rqk2r/1p1bbp2/2n1p2p/p2pP1p1/8/P3BNP1/1PB2P1P/2RQR1K1 w k g6,g3g4
2r1r1k1/5pp1/pq1b3p/1b1P1P2/2n3P1/1N2p2Q/1PP3BP/R1B1R2K w - -,c2c3
7r/2k5/2prbp1p/Ppp1p1pP/q2nP1P1/P1BP2R1/1QPK1P2/3R1B2 b - -,h8b8
6k1/1R6/7K/P7/7P/6r1/8/8 b - -,g3a3
1r3rk1/3n3p/1pNP1bp1/2p2p2/5N2/4PQ2/Pq3PPP/R2R2K1 w - -,f3d5
Qn2r1k1/6bp/pq1Pb1p1/1p2p3/P1p2P2/5p2/1P4PP/R1B2R1K w - -,f4e5
4bnk1/5r2/3P3Q/3P1B1p/6P1/6K1/8/8 b - -,h5g4
2r2qk1/p1Rn1p1p/Pp2p1p1/1P1p4/N2Pn3/4P2P/1Q2BPP1/R5K1 b - -,c8c7
3rr1k1/1bq3pp/n1pbpp2/pp5P/3PPB2/P2N2PB/1P2QP2/3RR1K1 b - -,d6f4
2r2rk1/2qnbppp/pp1pbn2/4p1B1/P3P3/1NN5/1PPQBPPP/R2R2K1 b - -,c7b7
2r4k/6pp/4R3/2B2P2/4P3/2b5/P5PP/6K1 w - -,g1f2
2q3k1/pb3pp1/1p5p/4p3/4P3/7P/3N1PPK/3Q4 b - -,c8c5
r3r1k1/1pq2pb1/p2p1n1p/2pPn1p1/P3P1P1/2N1Q2P/1P3P1B/R3RBK1 w - -,c3e2
5bk1/5p1p/3pPnp1/2r5/2P2P2/1P3B2/3B2PP/5R1K b - -,f7e6
4rbk1/ppr2p1p/q5p1/P1n5/8/4BNP1/1Q2PP1P/R1R3K1 w - -,b2a2
1rb4r/4kppp/p4n2/1pR5/1PB5/2P5/P4PPP/2K3NR w - b6,c4b3
r1b2rk1/pp1nqppp/2pbpn2/3P2B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 b - -,e6d5
r1nq1r2/pp2pk2/n1p3pb/2PpPp2/3P1P1P/1PN1BB2/P7/R2QK2R w KQ -,h4h5
r2q1rk1/1p1nbppp/p2p1n2/3Pp3/2P5/1N1Q4/PP2BPPP/R1B2RK1 b - c3,f6e8
r2qr1k1/pb1nbpp1/1p2pn1p/2p5/3PN2B/2PB1N2/PP2QPPP/R4RK1 w - -,e4f6
r2q1rk1/3bbppp/1pp1p3/p2p2B1/PnPP4/2NBP3/1P3PPP/2RQR1K1 w - -,g5e7
3R4/8/5k2/3p3P/2p1b3/2P5/2P3r1/2KB4 b - -,f6g7
5b2/7p/3pk1p1/p1p2nP1/1pPPK2P/1P3N2/P4B2/8 w - -,f3e1
r1b1rbk1/pppn1p1p/6p1/2p1p1q1/2N1P3/1P1P2N1/PBP2PPP/R2Q1RK1 b - -,f8g7
r1b2rk1/pp2qpbp/6p1/n1pPp3/4P3/2PBBP2/P3N1PP/R2Q1RK1 b - -,c5c4
r1bqk2r/pp3ppp/2n1pn2/2bp4/5B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,a7a5
r2qr3/bpp2pk1/p1npb1pp/3N4/3P4/5N1P/PP1Q1PP1/1BR1R1K1 w - -,d5f4
8/8/4k3/4pR2/7p/3NK1bP/8/r7 w - -,f5h5
r2q1rk1/3b2pp/2p1p3/p2pQp2/3P1P2/8/PP2PPBP/1R3RK1 b - -,d8b8
2r4r/3b1k2/p5R1/1p1pPP2/2p4p/P2B1P2/1PP2K1P/3R4 w - -,e5e6
8/1pn3r1/3pPk2/2nP4/2P2p2/P4N2/2B2K2/7R w - -,h1h6
r2q1rk1/pp1nbppp/n1p1p3/3p4/3PP1PP/2N2Q2/PPPB1P2/2KR1B1R b - -,b7b5
6k1/7p/N4bp1/1p2pp2/1B5P/1P3P2/P3n1K1/8 w - -,a6c7
b1Rr2k1/3P1p1p/p2Qpp2/5q2/8/5P2/4B1PP/6K1 b - -,f5a5
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP4/1QN1P3/PP3PPP/R1B1KBNR w KQkq -,g1f3:c1d2
2r1nrk1/2b2qpp/pp1pp3/2n2p2/2P4Q/1PN1PN2/PB3PPP/2RR2K1 w - -,g2g3
r7/1b2kppp/4p3/p1N5/1pP5/2q1P3/3Q1PPP/4KB1R b K -,c3a1
3r4/3p4/3P2k1/p2r3p/4NP2/7B/P3RK2/8 w - -,e2c2
r1b2rk1/1pq1bppp/2p2n2/p1n1p1B1/P1B1P3/2N2N1P/1PP1QPP1/R2R2K1 b - -,c5e6
r1r3k1/2p1qppp/1p1p4/p2P1b2/3Q4/2R1P1P1/PP3PBP/3R2K1 w - -,d1c1
6k1/1R3p1p/5np1/8/P5B1/1P3RPP/2rr1P2/6K1 b - -,f6e4
r1b2r2/1p4bk/p2p1qpp/3Pp2n/1P2P3/4Q1P1/P4BBP/R3K1NR b KQ -,h5f4
r4rk1/2qnppbp/p2p2p1/nppP2N1/2P1P3/1PN5/P2BQPPP/1R3RK1 w - b6,c4b5
8/1p2nR1p/1P1qr2k/6pN/3pp3/4P2P/6P1/3Q2K1 b - -,d4e3
6k1/p3bppp/8/q1r5/1pB1PP2/8/PPR1QP1P/3r2K1 w - -,e2d1
8/8/R7/1k1PK3/4P2P/8/p6r/8 w - -,a6a3
6r1/8/7p/3k1B1P/5PP1/1pK5/1P6/8 w - -,c3b3
8/p2Qn1pp/2pN1k2/1p2q3/8/7P/PP4P1/7K w - -,d6e8
6k1/ppr1bppp/8/3qPp2/3P4/1R2P2P/6P1/1Q2N1K1 w - -,g1f1
8/8/3p1kpp/3P1p2/3R1PP1/r3PK1P/8/8 b - -,a3b3
3rrn2/pbn2qpk/1p2pb1p/2pp4/2P2B1P/1PNP2P1/P3QPBN/2R1R1K1 w - -,h2g4
r3k2r/1pp1q3/3p2np/P3p3/1P1pP3/3P1RN1/2Q3PP/R5K1 b kq -,g6h4
3r1rk1/1pqnbpp1/2p1p1p1/p7/P2P4/1Q1BPPP1/1P1B2KP/2R2R2 b - -,d7f6
2r2q2/4kp2/p1rp1n1p/1p2pPpP/4P1P1/P1PRNK2/1PQ5/3R4 b - -,f8d8
4rrk1/2p2pn1/1p4p1/1PpPP2p/2PqR1PQ/3B3R/6KP/8 b - -,d4b2
2k5/p1qr1p2/Pn1bp1p1/5r2/4Q3/2P1B1P1/5PBP/1R1R2K1 w - -,e3b6
k2r4/1pp2ppp/p1b5/3q2PP/1P6/P1Q1P1R1/3rBP2/2R2K2 w - -,e3e4
8/8/2p1P3/2kp4/5Ppb/1P6/P5K1/4B3 b - -,h4f6
7R/4k3/1r4p1/3p2p1/2pPp1P1/2P1P2P/8/2K5 b - -,e7f6
R6r/2kb1pp1/1pn5/3pPp2/1B1P3p/5N1P/2PK1PP1/1R6 b - -,h8a8
8/4K1k1/5Rp1/5pPn/7P/8/8/8 w - -,f6f8
r3k2r/p4ppp/1bp1pn2/8/3P4/BN4P1/P3PP1P/R2R2K1 b kq -,e8c8
r3k2r/pbqnbppp/1p1ppn2/2p5/1P2P3/P1PP1N1P/2QN1PP1/R1B1KB1R w KQkq -,c1b2
3qr1k1/pp1bppb1/3p1np1/2r1n1Bp/3NP2P/1BN2P2/PPPQ2P1/1K1R3R w - -,g5h6:g2g4
3r1rk1/1p4np/p3b3/2P2P2/4p1P1/6NP/PP1p3K/1B1R1R2 b - -,e6c4
r3k1nr/pppq1b1p/2n1pp2/1BPp4/3P2Pp/4PN2/PP3P2/RN1QK2R w KQkq -,g4g5
1n2n1k1/1r1q1pp1/p3p1p1/1P1pP3/Q2P4/R4PP1/1B5P/5BK1 w - -,b5a6
r3r3/p1p2pkp/1qp2np1/4R3/3Q1P2/2N5/PPP3PP/2KR4 w - -,d4b6
8/5Qbk/N2n1pp1/P2Pp2p/6qP/5NP1/1r3PK1/2R4R w - -,f7c7
3r1rk1/2n1b1p1/bp2p1qp/p1ppP3/P4P1P/2P1BQP1/1P1N2BK/R1R5 w - -,b2b4
rn2kb1r/pbppqp1p/1p3np1/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,f8g7
5rk1/1b1q1pb1/ppr3np/3p1Bp1/P1p3P1/NQP1PN2/1P3PP1/2R1R1K1 b - -,d7f5
2r1q1k1/1p3pp1/p2pb1np/P3p3/4P3/2N1Q3/1PP1BPPP/2R3K1 b - -,e8d8
8/1p2r3/pP3R1p/P1r4P/1k1p2P1/3B4/2PK4/8 b - -,c5c6
r3r1k1/pR3p1p/2n2b2/7B/1B4P1/1P6/P4P1P/4R1K1 b - -,c6e5
q3rnk1/1br1bpp1/pp1ppn1p/8/2PP4/3Q1NBP/PP1N1PP1/1BR1R1K1 w - -,d3b3
3rr1k1/p2bnpp1/1p4qp/4p3/4N1P1/P1PB1Q1P/2P2P1K/R3R3 w - -,f3g3
5r1k/p2R2p1/1p3r1p/1Pp5/P7/2b1B1PP/5P2/5RK1 b - -,f6f7
7r/pb1k1p1P/4qn1R/2Q5/1p1Pp3/5P2/Pp6/1K1R4 w - -,c5a7
2r3k1/5pp1/2pq1n2/1pNp1PP1/3P4/Q7/4R2P/1r2R1K1 b - -,b1e1
4r3/1p5R/8/2p3k1/2P5/1P3p1p/1K5P/8 w - -,h7f7
1r2b1k1/4q1pn/p2pP2p/5N2/1r3P2/1P2RQPP/6B1/4R1K1 b - -,e7f8
r1bq1r2/p2pp1kp/2p1n1p1/4P3/2P1Np1Q/5N2/PP3PPP/3R1RK1 b - -,h7h6
5k2/1p2bp2/p3pp1p/P6N/1q4P1/4Q3/4PPKP/8 w - -,e3h6
1k5R/p2b4/1ppb1pp1/2p5/P1P2qP1/3P4/1PQ5/1K6 b - -,d7c8
2r1k2r/pp2bppp/4b3/2p5/8/1N4BP/PPP2PP1/R2R2K1 b - -,b7b6
r1bq1rk1/1pp1bppn/p1np3p/P3p3/2B1P3/3P1N1P/1PP2PP1/RNBQR1K1 w - -,b1c3
2k5/1p6/1K6/4Bn2/6p1/8/PP6/8 w - -,a2a4
6rk/pppbqrbn/3p4/3P4/4PB2/2N2R2/PP3QPP/2R3K1 b - -,g8f8
r2r2k1/1p3pp1/2p1pn1p/p7/1qPPQ3/1P3N1P/P4PP1/1RR3K1 w - -,e4e3
8/3qpkbp/1p1pp1p1/p6r/P2pPP2/3P1Q2/1PP2RPP/2BK4 b - -,h5h2
1n2nrk1/2qr1ppp/p2pp3/1p4Q1/2P5/1PN3P1/P2NPPKP/R2R4 b - -,d6d5
r1b2rk1/bpp2pp1/p1np1q1p/4p2n/4P3/1BPPNN1P/PP3PP1/R1BQR1K1 b - -,c6e7:h5f4
rnbq1rk1/pp2ppbp/6p1/3p4/2BP1B2/4PP2/PP2N1PP/R2QK2R w KQ -,c4b3
rnbq1rk1/pp1p1ppp/3P1n2/b1p5/8/2N2NP1/PP2PP1P/R1BQKB1R w KQ -,f1g2
1q3r2/3P3k/1N5p/2p5/2Nb1p2/3b1P2/1P2R1QP/7K b - -,d3e2
r3k2r/1pb1qpp1/2p1pnp1/p2n4/P2PN1P1/1B3Q1P/1PPB1P2/R3K2R w KQkq -,e4c5
r4rk1/pbq2ppp/1pnb4/3Pp3/2P5/1B3N2/P2BQPPP/R2R2K1 b - -,c6e7
1k3r2/ppp5/5qp1/4P2p/3P4/P1P1Q3/1P1KR2P/8 b - -,f6e6
r1bq1r2/2p3k1/p2p2n1/1p2pppn/4P2p/1BPP1P2/PP3RPP/R2QNN1K w - f6,e4f5
5rk1/4b2p/1pq1ppp1/2p5/r7/2QP2P1/1BP2P1P/1R3RK1 b - -,b6b5
r1bq1rk1/ppp1bppp/2np1n2/4p1B1/1PB1P3/2PP1N2/P4PPP/RN1Q1RK1 b - -,c8e6
r3kbnr/ppp1pppp/2n1q3/8/8/5B1P/PPPPQPP1/RNB1K2R b KQkq -,c6d4
1rb2rk1/ppqnbpp1/2pp1n1p/P3p3/2BPP2B/2N2N2/1PP1QPPP/R4RK1 b - -,b7b5
r1br2k1/ppp2pb1/6pp/2p3n1/2P1P3/2N2B1P/PP3PP1/R1B1R1K1 w - -,c3d5
r3k1r1/p3n1p1/1p2b1Pp/3pPp2/q1pP1P1B/2P4B/2PK4/1R4RQ w q -,b1b4
r1bq1rk1/2ppnpbp/p5p1/1p1P4/2n1P3/2B2N2/PPB2PPP/RN1Q1RK1 b - -,c4b2
1r3rk1/1p1n1ppp/p1p2n2/8/1PNP4/P4B1P/5PP1/2R2RK1 b - -,f8d8
r2qk2r/2pbnpbp/p2p2p1/1p2n3/4P3/1BP2N2/PP3PPP/RNBQR1K1 w kq -,f3e5
4r1k1/1pp2r1p/3p1p2/3PpPp1/pPP1P3/PnB3P1/4R1KP/4R3 b - -,h7h5
1k1r1b1r/pppq1b2/1n3pp1/3p1p1p/3P1N1P/P1NBP1P1/1PP1QP2/1K1R3R b - -,c7c6
r3r1k1/ppp2pp1/1bnpbq1p/4p2n/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - -,c1e3
1rbq1rk1/3nbppp/p1n1p3/1pppP3/P4P2/3P1NP1/1PP1N1BP/R1BQ1RK1 w - b6,a4b5
4rk2/p4b2/1p1p1r1q/5pQp/P1PRpP2/1P6/4B1PP/3R2K1 b - -,e8d8
r1bqk2r/1pp1n1b1/p2ppnpp/4Pp2/P2P1P2/2NBBN1P/1PPQ2P1/R3K2R b KQkq -,f6d5
r4k2/1p3p1p/p3p1p1/4P3/P3NR2/4n3/1P4PP/3Q3K b - -,e3d1
