8/R4pp1/4k3/1P6/PP3K1P/8/5p2/8 b - -,f2f1q
8/1p5p/2n1pkp1/8/3b4/1B3PP1/P3K2P/2B5 b - -,d4g1
8/p3n3/1p1kP2p/1Pp3pP/2B1KpP1/1PP5/8/8 b - -,e7g8
1r1q1k2/4n1bp/1p2b1p1/p1p1p3/Q1N5/P1NP2P1/1P2P1BP/5RK1 b - -,f8g8
8/8/1p3kP1/5b1B/1P1p4/6K1/8/8 w - -,g3f4
4r3/p5pp/1pnk4/1R6/3P4/2P5/P4KPP/2B5 b - -,c6a5
2r2rk1/q2N1pb1/4p2p/pp6/2n2PQ1/1BP5/PP3RPP/4R1K1 w - -,d7f8
2r1kb1r/pp1b1pp1/2q1P3/2Np1n2/1Pp4p/P4N2/1B2QPPP/R3R1K1 b k -,f7e6
4R3/P7/8/6p1/5K2/r3p2P/4k3/8 w - g6,f4g5
8/8/5RK1/4k3/6P1/8/2q5/8 w - -,f6f5
r1r3k1/1p1nbppp/p2pb3/P2Np3/2q1P3/1N2BP2/1PPQ2PP/2RR2K1 b - -,e7d8
4r1k1/p5pp/bpp1q3/3p4/2P5/N7/PPQ2PPP/R5K1 w - -,h2h3
3r2k1/p4pp1/4p2p/4P3/3pQ3/1Pq5/P4PPP/3R2K1 w - -,e4d3
q3rbk1/1b1n1ppp/p2pp3/p5P1/P1rBPP2/2N5/1PP2QBP/4RR1K b - -,e8c8
r4rk1/pp3ppp/8/3Bpb2/3n4/2NR2P1/PPP2P1P/2K1R3 w - -,d3d2
4r1k1/R2b1pb1/1n1p2pp/2pP4/1p3BP1/5B1P/1PQNqP2/6K1 b - -,e2e1
8/5pkp/4pr2/3p4/1Q6/P1P3P1/4qn1P/2K1R2R b - -,f2d3
r3r3/1p1qpp1k/p1p3p1/6Rp/3PQ2P/1PP5/2P2PP1/4R1K1 b - -,h7g7
r4rk1/1pp1bp2/n2qbnNp/6p1/p1BP4/P1N4P/QP1B1PP1/3RR1K1 b - -,f8e8
2rr2k1/p3qpb1/1p4p1/2p1pb1p/1n2N3/PP1PP2P/1BQ1BPP1/1R1R2K1 w - -,c2c4
2r1r1k1/1p2qppp/p1bpp3/7n/1P1NPn2/PBN2P1P/Q1R2bP1/3R2K1 w - -,c2f2
2r2rk1/ppqnbpp1/2p1p2p/3p1b2/2PP4/1PN1P1P1/PB1nQPBP/R3R1K1 w - -,e2d2
1r3b1k/7p/1PR3p1/p2Bpp2/8/P7/5PPP/6K1 b - -,f8a3
5rk1/R5p1/p7/4Bn1p/8/1P4P1/r6P/5RK1 b - -,a2e2
8/5k2/1N5p/8/2R4K/5P1P/4r3/8 w - -,b6d5
rb1q1rk1/1p3ppp/pnn1B3/8/1P1pP3/5N2/PB1Q1PPP/RN3RK1 b - -,f7e6
r3r1k1/pp2qpp1/n1pb1nbp/8/3NP3/2N1BPP1/PP2Q1BP/R4RK1 w - -,d4c6
rn1q1rk1/pp2ppbp/2pp1np1/8/P1BPP1b1/2N2N2/1PP2PPP/R1BQ1RK1 w - -,h2h3
8/1p4pk/8/1PQ5/8/2Nq1KP1/p6P/8 w - -,f3f4
6k1/1pqnbppp/2p1b3/p1P1p3/1P6/P4NP1/1B2PPBP/3Q2K1 w - -,d1a4
r2q1rk1/pb2ppbp/1pnp2p1/2p1n3/2P1P2N/2NPB1P1/PP3PBP/1R1QR1K1 b - -,c6d4
3r2k1/1Q1q1bp1/p1pr3p/2Rp1p1P/3PpN2/P3P1P1/K3BP2/1R6 b - -,d7e8
7k/2Q1n1p1/3p1b1p/4p3/q3P2P/2RP1N2/5PPK/1rB5 b - -,a4d1
r3r1k1/p2n1pp1/1pb2n1p/3p4/P1pP1B2/2P1P3/3NBPPP/RR4K1 w - -,h2h4
5rk1/ppp3qp/3p2n1/1P3p1n/P1P5/3P2pP/4QN1K/2R2R2 w - -,h2h1
r4k2/5ppp/3bp3/p7/Pp6/1P2P3/3BKPPP/2R5 b - -,f8e7
r1bq1rk1/pp1nppbp/3p1np1/6B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 w - -,g1h1
r7/1bQn2k1/p1q3p1/2p2p1p/1pP1p3/1P5P/P1B3PN/5RK1 w - -,c7g3
r5k1/4bp1p/2n3p1/1RpNp3/2P1P3/1B2BP2/6PP/1K6 b - -,e7f8
r4rk1/pp3ppp/2qpb3/2n1p3/4P3/4BPP1/PPP1Q1BP/R3R1K1 b - -,c5a4
8/8/3k4/1P4pP/P2P4/2Nbp3/7P/6K1 b - -,d6e6
2rR2k1/pp3ppp/2b1p3/2P1Pn2/qPp5/P4N2/1B2QPPP/2R3K1 b - -,c8d8
r2r2k1/1p1qbppp/p1n2n2/3p4/3NP3/2N1B3/PP2QPPP/2RR2K1 w - -,c3d5
2r3k1/1pr2ppp/p3pn2/5q2/3P4/P4N1P/1PR2PP1/1QR3K1 w - -,c2c7
3N4/1R4pp/2k1p3/8/1P6/4PPnP/2r3P1/6K1 b - -,c6d5
1r1r1qk1/2R2n1p/1p4p1/pN1P1p2/4p3/bPB1P1PP/4QPK1/3R4 b - -,a3d6
8/8/1r6/k7/6K1/1R6/8/8 w - -,b3b6
2rr1bk1/5pp1/q6p/3P4/1p1QP1nN/1P4P1/1B3nK1/1B2R3 w - -,h4f5
2kr1bnr/ppq2p1p/2b1p1p1/1PppP3/5P2/P1NP1N2/2P3PP/R1B1QRK1 b - -,c6e8
1r6/3b2k1/3p3p/2pPpp1n/p1P3pP/2P1P1B1/R1B2PP1/2K5 w - f6,c2a4
2R5/k2K4/2P5/8/8/8/8/1r6 b - -,b1d1
r1bq1rk1/1p1nbpp1/p4n1p/2Pp4/7B/2NBPN2/PPQ2PPP/R3K2R b KQ -,d7c5
6k1/2p3p1/1p1p3p/3P4/1PP2R1P/P4KP1/2r5/8 b - h3,c2c3
r2qkbnr/1p1bpppp/p2p4/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,g8f6:e7e5
8/5k2/R7/1r1K4/3B4/8/8/8 w - -,d4c5
r3qrk1/pp4p1/3p3p/2p1p3/2PnPPb1/2BQ2P1/PP4BP/R4RK1 w - -,a1e1
r2q1rk1/pb1nbppp/1p2p3/2pnP1B1/2NP4/5NP1/PPQ2PBP/R4RK1 w - -,g5e7
8/pk4p1/1p2pp1p/4P3/1PPK2PP/8/P7/8 w - -,d4e3
4kb1r/1N1n1pp1/4p2p/4P2P/q1pPQB2/n5R1/3N1PP1/4K3 b k -,a4a6
r3r1k1/ppp1qpp1/4N1np/4P3/8/2PB4/P1P2QPP/4RRK1 b - -,e7e6
3q1rk1/1pr1bppp/p1N1pn2/6B1/Pn1P4/1BN2Q2/1P3PPP/2RR2K1 b - -,c7c6
5n2/r4k2/1p3p2/1R1P1B2/PP1b2P1/8/8/5K2 w - -,d5d6
4r3/pp3kp1/2pbp2p/7P/3PR3/2P5/PPK3P1/4B3 w - -,g2g4
5r1k/4q1bp/2p1p1p1/1r6/1p2QP2/1B2P2P/1P1R2P1/3R2K1 w - -,e4c6
1r6/3nkppp/4pn2/1Bb5/1p6/1N2PP2/1P3P1P/2BR2K1 w - -,b5e2
r2q1rk1/p3ppbp/1pn3p1/2pP4/4P1bP/2P2N2/P3BPP1/1RBQ1RK1 b - -,c6a5
r1bqrbk1/1p3p1p/1npp2p1/p1n5/P2NP3/BPN2Q1P/2P2PP1/3RRBK1 b - -,d8g5
rn1q1rk1/pp1bppbp/6p1/2p5/3PP3/Q3BN2/PP2BPPP/3RK2R b K -,d8b6
8/8/1b6/kP4p1/2P5/p2K1PN1/P6p/8 w - -,d3c3
r2n1rk1/pp1bq1p1/1b1Np1pp/4P1N1/1P4Q1/P2R4/1B2RPPP/6K1 w - -,g5e4
r1b2rk1/ppqn1pp1/2pb1n1p/4p3/3P4/1BN1PN2/PPQ2PPP/R1BR2K1 w - -,c2g6:h2h3
r1bqkb1r/pp1npppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c4d5:c1f4:c1g5:h2h3
2rr2k1/p3qpb1/1ppnb1pp/4p3/2P1P3/P3B1PP/1P2QPB1/1N1R1R1K w - -,b2b3
r1b1r2k/p1q2p1p/1p1p1pn1/2pPp3/2P1PP2/2PQ3P/P3B2K/R1B2R2 w - -,f4f5
r2qkb1r/1b1n1ppp/2p1pn2/1p6/1P1P4/2N1PN2/4BPPP/1RBQK2R b Kkq -,f6d5
r2q1rk1/p3ppbp/b2n2p1/2n5/2NN4/4PP2/PB2B1PP/R2Q1RK1 w - -,d4c6
6k1/3nqpp1/2p1p2p/prp5/R3N3/QP1P2P1/P3PP1P/6K1 w - -,a4a5
8/6pk/3q1pbp/1R6/p7/P2p2PP/1P1N1PB1/6K1 b - -,d6c7
r1bqr1k1/3n1ppp/ppp1pn2/3p4/PbPP4/1PN2NP1/2Q1PPBP/R1BR2K1 b - -,c8b7
8/8/2q2pk1/1R2b2p/P3P1p1/4Q3/5PK1/8 w - h6,e3e2
r1bq1rk1/pp3pbp/6p1/2pp4/5B2/2P1PB1P/PP3PP1/R2Q1RK1 b - -,d5d4
r3k2r/1pq2ppp/p3bb2/2R5/1n6/2NBQP2/PPP3PP/2K3NR b kq -,c7d8
2r1qr1k/p2bp1B1/1p1p3p/3B1pp1/2P5/1P4P1/P3PP1P/1Q1R1RK1 b - -,h8g7
8/8/8/pp2R1P1/2k5/3r4/8/5K2 w - -,e5e4
r5k1/1b1r1pb1/6pp/1p1Bp3/p2nP3/4BN2/PP2KPPP/2R4R w - -,e3d4
1rb2rk1/5pp1/7p/1p2P3/4p3/1B2R2P/1P3PP1/R5K1 b - -,c8b7
r2q1rk1/pp3pbp/2n5/1N2p2Q/3n4/6P1/PB3PBP/R2R2K1 b - -,d8d7
3r1r2/ppp5/4b1k1/2P1qpPp/1P2p3/4P1P1/P1Q2PB1/3R1RK1 w - -,a2a3
4R3/6r1/1PK5/8/5p2/5k2/6p1/8 w - -,e8e1
3rr2k/6bp/2R1B1p1/5pn1/3P1B1q/4P2P/4QPP1/2R3K1 w - -,e2a2
r2r2k1/2q2ppp/p1b2n2/b3R3/2P2P2/B2B4/PPQ3PP/3N1R1K w - -,b2b4
8/1pr5/p2p3k/4p1pp/1P2P3/P2N1P2/2PK4/6R1 b - -,c7f7
r2r2k1/pQ4p1/2p1q2p/b7/4p3/P3P1P1/6BP/1RR3K1 b - -,a5b6
5rk1/8/4n2p/5P2/8/1P2RPKP/1PP5/8 b - -,e6d4
3r4/7p/8/1p2K3/1PpP2k1/2P5/6P1/2R5 w - -,c1c2
r1bqkb1r/1p3ppp/p1n1p3/3n4/3p4/5N2/PPP2PPP/RNBQRBK1 w kq -,f3d4
3q3k/6np/1p1rp3/p1p2pP1/P4Q2/2P5/1PB2P1P/4R1K1 b - -,d6d2
4rrk1/pb5p/2pq1pp1/3p4/8/1B2Q3/PPP2PPP/2KRR3 w - -,e3e8
1rb1k2r/2qnbppp/p1npp3/1p4P1/4PP2/1NN1B3/PPP2Q1P/2KR1B1R b k -,d7b6
7r/1p4p1/pNbP1k2/4pPq1/4P3/5RbB/1P2Q3/7K w - -,e2g2
r1b1qr1k/2n4p/2nb2p1/1p2PP2/4P1P1/Ppp2NB1/1P4QP/1NKR3R w - -,d1d6
r2qkb1r/1p1b1pp1/7p/1p2p3/8/8/PPP2PPP/R1BQKB1R w KQkq -,f1d3
1r6/4R2p/1P6/2K2pk1/8/4p3/6PP/8 b - -,b8c8
5n2/1p3k1p/p7/q2pPBpP/Pb1P1pP1/1Pr5/5B1K/2R4Q w - -,c1c3
1rq2rk1/1p1bppbp/p2p1np1/2p5/1PP1P3/P1NP1QPP/3B1PB1/1R2K2R w K -,f3e2
8/3k1P2/3p2N1/4p1n1/1N1nK3/3P4/8/8 w - -,e4d5
r1b2rk1/pp1n1pbp/2pqpnp1/6B1/3P4/2NB1N1P/PPPQ1PP1/R3R1K1 b - -,c6c5
rnb1qk1r/ppp3bp/3p1n2/3Ppp2/2P5/2NB4/PP2NPPP/R1BQK2R b KQ -,e8g6
3r2r1/p3kp1p/1p6/2q2p2/2P1pR2/Q5PB/PP2P1KP/R2n4 b - -,c5a3
1k1r4/pp3p2/1n5N/8/bP4P1/P2BP3/2K4P/6R1 w - -,c2c3
5r2/1p4pk/pBn2pq1/2NRp3/Q7/2P5/PP3PPP/6K1 b - -,g6b1
rnbqk2r/ppp1bppp/3p1n2/4p3/8/3P1NP1/PPPNPPBP/R1BQK2R b KQkq -,e8g8
8/8/p2k2p1/P4p1p/1PKN1P1b/7P/8/8 w - -,b4b5
1k1r4/pp1r2p1/5npp/2p1b1P1/7P/P2B1P2/1PP5/1KN3RR b - -,f6d5
r3r1k1/p1qn1ppp/1p2pn2/4N3/3P3B/1bP1Q3/P4PPP/3R1RK1 w - -,a2b3
r3nk2/5p1p/pBN3pb/Pp1PPb2/8/5PP1/R3B2P/6K1 b - -,a8c8
Q7/8/6p1/6bk/5q2/8/5P2/6K1 w - -,a8b7
r2r2k1/pb1q1p1p/1p2p1p1/4P3/PbNpBPP1/1P1P4/5Q1P/2R2RK1 w - -,e4b7
3B4/8/2k1p3/RnnpP3/8/p7/5P2/3K4 w - -,d8e7
2r3k1/1p2qppp/r2np3/p2p1b2/P2P4/1PQ2NP1/4PPBP/R4RK1 w - -,c3e3
r1b2k2/pp3ppp/4p3/3p4/2P5/P1P1PN2/5PPP/n3KB1R w K -,c4d5
2r3k1/2r2pp1/2n4p/1QR1pPq1/1p1pP1P1/1B5P/1P5K/5R2 w - -,b3d5
8/3r2B1/6n1/2p2kp1/8/2P1R1P1/4KP2/8 w - -,e3f3
1r2r1k1/1pp2pbp/pn2bqp1/4n3/4P3/1NN2P2/PPQ1BBPP/3R1RK1 b - -,e5c4
6k1/p3Pp2/1p4p1/1P3n2/2PQ2p1/5NK1/P7/1q6 w - -,g3g4
8/p1R4p/5nk1/4KN2/P7/1P1r1P2/6P1/8 w - -,c7g7
5q1k/8/p2p2Qb/1p1NpP2/P1P1P3/1P3K1P/8/8 w - -,d5f6
rqb1k2r/1p3ppp/p1n1pn2/3p4/1b1NP3/2N1BP2/PPP1B1PP/R2QK2R w KQkq d6,e1g1
5r2/3pk1p1/4p3/pbR1P1Pp/5p1P/rP3P2/P2R1K2/8 w - -,c5b5
6R1/8/8/8/5pr1/5pk1/8/5K2 w - -,g8b8
r2r4/1p3pkp/2ppbqp1/8/1PPR4/1Q2P1P1/5PBP/3R2K1 b - -,b7b5
r1q1nrk1/1b1nbpp1/p1p1p2p/Bp2P3/3P4/1PNB1N2/4QPPP/2R2RK1 w - -,b3b4
4R3/p1k5/2p4p/1p4pP/1Pr3q1/P1QR2N1/5rP1/2K5 w - -,e8e7
4rrk1/1b1n4/3q3p/1p1p1p1n/pPpP1Np1/P4PP1/3QPBBP/2RR2K1 b - -,h5f4
8/2q2k2/6p1/4K2p/3Q3P/6P1/5P2/8 w - -,d4d6
8/7p/3b1k2/3bNp2/3P1KpP/1p4r1/1RPN4/8 b - -,b3c2
r1bq1rk1/1p2bppp/p2ppn2/8/3nP3/1BN1B3/PPP1QPPP/R3K1R1 w Q -,e3d4
2r5/5p1k/1p2nnpp/pB1pN3/P2P3P/2r1PP2/5PR1/6RK b - -,c8c7
rn1q1rk1/pbp2ppp/1p2p3/3pP3/2PPn3/P1PB1N2/2Q2PPP/R1B1K2R b KQ -,c7c5
r1bqk2r/1p2ppbp/p1p2np1/2p5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
r5k1/1p4b1/1p1R2pp/4p3/1N6/1bP1N2P/1P3PP1/6K1 b - -,a8a1
6k1/1pq4p/2p1b1p1/p1b1p3/P1P1Pr2/1PN4P/2Q2PBK/3R4 w - -,c3d5
8/8/p7/P1Bp4/1PkP4/1r6/K7/8 b - -,b3b4
6k1/1R3p2/1R2b1pp/8/6PP/1pr1PP2/8/2n1KB2 w - -,e1d2
1k4r1/3r4/1p2n1pR/1Pp1PpP1/2Pp1P2/R2N4/3K4/8 w - -,a3a1
br1r1bk1/p1q5/2n4p/3n1pp1/Q1N1p3/1NP3P1/PP3P1P/R1B1RBK1 w - -,b3d4
2b2rk1/6bp/pr1pp1p1/2P4n/3PNp1q/1P3B1P/5PPB/1R1Q1RK1 b - -,d6c5
r1r3k1/4q1pp/1p2p3/2ppP3/3Pp3/p1P1P1PP/PP2Q3/R1R3K1 w - -,b2b3
rn1qkbnr/pbppp2p/1p4p1/5p2/3PPP2/3B4/PPP3PP/RNBQK1NR w KQkq f6,e4f5
3q1rk1/R4ppp/3Nb3/8/4P3/Q3B2P/5PP1/6K1 w - -,e3c5
1b1r2k1/1b1r1pp1/pp1q1n1p/3P4/1P1Q4/P1N3PP/5PB1/2RRB1K1 b - -,b8a7
3r2k1/5pp1/2Q1p2p/b4q2/P7/6P1/5P1P/1RR3K1 w - -,b1b5
r1b2r1k/1p2bp2/2n1p2p/5q2/p1Pp1P2/P2P1QN1/1P1N2BP/R3R1K1 b - -,f5g6
r2qr1k1/ppp1b1pp/2n1bp2/3np3/8/1PNP1NP1/PB2PPBP/R2Q1RK1 w - -,f1e1
8/p1r3k1/P4p2/1K2b1p1/4Q1P1/7P/8/8 w - -,e4f5
5rk1/3qp1b1/p5pp/P2P4/2Q1p3/4B3/5PPP/1R4K1 b - -,g8h7
3br1k1/2R3p1/4pp2/4n2p/pp2NP2/4B1PP/PP6/6K1 w - -,c7b7
1k1r4/1p1q2p1/p3pp1p/2Pn3P/4QPP1/3N4/PP6/1K2R3 w - -,e4c4
r2r2k1/2pbqppp/1bp5/p2pP3/P2B1P2/2N5/1PPQ2PP/R3R1K1 b - -,e7b4
3qk1r1/1p1nn2p/4p3/1p2P3/3Q2p1/4B1P1/5PBP/3R2K1 w - -,d4d6
8/6p1/3Rp2p/1rP1k3/2Rp1r2/5P2/P1P3PP/6K1 b - -,d4d3
2kr3r/pp2qp1p/1np1b3/3p1B1n/3P4/2N1PN2/PPQ3PP/1K1R3R b - -,h5g7
r2rn1k1/1bq1bppp/p7/1p2p1B1/P1p1P3/2P5/1PB1QPPP/R3RNK1 w - -,g5e7
4R3/8/8/8/4pr1p/6kP/4K3/8 b - -,g3h3
r4rk1/3npp1p/bqNp1bp1/3P4/1pp1P3/6P1/R1P2P1P/1N1QRBK1 b - -,d7c5
5b2/6kp/6p1/p2B1p2/Pp5P/1QP3P1/1P2RP1K/2qr4 b - -,d1d2
7k/7p/5N2/8/P1b3P1/5B2/r3PK1P/8 b - -,a2a4
4r2k/4n1rp/1p1q4/p1pBRR2/2P5/PP4PP/5Q1K/8 w - -,f5f8
8/6bk/p6p/1p1q1p2/4p3/PN4P1/3Q3P/2B3K1 b - -,d5b3
3rr1k1/1p2pp2/p2p3p/3P1n2/2Nb4/1P1R4/P5PP/4BR1K b - -,e7e6
6k1/4b1p1/p1n1q2p/5p2/Np1r1B2/nP4N1/2P1Q1PP/4R2K b - -,e6e2
8/1p1r2kp/2p2pp1/p7/P1Pr4/1R1P2P1/5P1P/1R4K1 w - -,b3b7
2r2r1k/2q1bp1p/1n2p2P/p2pP1p1/P4B2/1pPb2P1/3Q1PB1/R1R2NK1 w - g6,f4g5
R7/8/5p2/6k1/P7/5pPP/1r6/6K1 b - -,g5f5
2r1r1k1/3nbppp/pBq5/P1P1pP2/3p4/1N3R2/1P1Q2PP/2R4K b - -,c6d5
rnbq1rk1/ppp1n1bp/3p2p1/4pp2/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,a2a3
5rk1/Qp5p/2pP2p1/5pn1/8/5PP1/P3q1BP/3R2K1 w - -,a7a4
6k1/pp3ppp/2pn2q1/3p4/P2P2B1/2P2Q1P/1P3B2/4r2K w - -,f2e1
1k6/pb3p2/1pp1p1n1/2p5/4PP2/2NP2P1/PPP1N2r/2KR4 b - -,b7c8
r1bq1rk1/ppp2pbp/2np1np1/8/2PNP3/2N4P/PP2BPP1/R1BQ1RK1 b - -,f6d7
5rk1/1p3ppp/5p2/3rn3/RP6/4B3/1P3PPP/2R3K1 b - -,f8d8
2r4k/3q1ppp/p2Pp3/1p1n3Q/8/6B1/PP3PPP/3R2K1 b - -,h8g8
3R4/pp1Rrkpp/4r3/1PP5/2Q1p2q/P3P2P/5PP1/7K w - -,d7e7
r6r/5pk1/1p1p4/p1nPp1p1/2P1RnN1/2Q2Pp1/PPBR2P1/5KBq w - -,e4f4
5r2/5pbk/rp4bp/2n2Np1/2P3P1/PR1p2NP/5PB1/4R1K1 w - -,b3b4
2kr1b1r/p1pp1p1p/b1p3p1/3nP3/2P5/5N2/PP1q1PPP/R1BK1B1R w - -,c1d2
4r3/1bp3kp/p5pN/2p3P1/2P5/1P2r2P/P4R1K/5R2 b - -,e3e2
r4rk1/pbq1bppp/1pn1pn2/2pp4/2P5/1P2PNP1/PB1PQPBP/RN1R2K1 w - -,b1c3
8/8/pp1k2p1/5pP1/1P1K1P2/8/P7/8 b - -,d6e6
rnbq1rk1/ppp1bppp/4p3/3n4/3P4/P1N1P3/1P1BNPPP/R2QKB1R b KQ -,c7c5:d5f6
8/p3qrk1/1p3pp1/2pPr2p/2n1P2P/6Q1/P3NRP1/5RK1 b - -,e5e4
6k1/5p2/bqp3p1/p1b5/4PPn1/5NP1/1P2N1K1/3Q1B2 w - -,d1d7
r2qk2r/pbpnbppp/1p1p1n2/3Pp1B1/2P1P3/2N2P2/PP1Q2PP/R3KBNR w KQkq -,g5e3
5k2/5b1p/5p2/p1p4B/P1R1PP1P/4K3/8/8 b - -,f7c4
2rq2k1/pr2bppp/4pn2/1b1pB3/1P6/P3P1P1/1N3PBP/R2QR1K1 w - -,d1d2
8/8/1p2k3/p2p1bPp/1P3P2/P2B4/5K2/8 w - -,d3a6
2r1k2r/1qn1b1pp/p2pp3/1p4P1/4P3/P1NPB2Q/1P5P/2R2RK1 w - -,g5g6
r2q1rk1/ppp1bpp1/2n2n1p/4p3/4P1b1/1BP2N2/PP1N1PPP/R1BQR1K1 b - -,e7c5
rn2kb1r/p2q1ppp/1P2pn2/3p4/3P4/2N5/PP3PPP/R1BQK1NR b KQkq -,a7b6
r1bq1rk1/6bp/p1p2p2/3p2p1/3P4/2N3P1/PP3PP1/R1NQR1K1 b - -,a8b8
1q5k/6pp/2N2n2/2P2P2/1p1P1Q2/5R1P/4r1K1/8 w - -,g2f1
8/1k1pbp2/p3p3/4P3/2B1KB2/7r/PP5P/2R5 w - -,c4f1
2kr3r/1pqbbp1p/p1nppnp1/8/3NPP2/2N1B1Q1/PPP1B1PP/3R1RK1 b - -,h7h5
2kr3r/ppp1bRp1/1n6/1P6/8/PQNPP1P1/6Bq/2B3K1 w - -,g1f1
5rk1/2pqbpp1/1r5p/1p1pPb2/1npP2P1/4BP2/1P1Q2BP/R2RN1K1 b - -,f5h7
5r2/1pk5/p1pr2p1/P2pNp1p/1P1K1P1P/4PB2/R7/8 b - -,f8f6
r1bq1rk1/1p2ppbp/3p2p1/pP6/2PnP3/2N1B3/P3BPPP/2RQ1RK1 b - -,e7e5
2r1k2r/2qbbp2/p5pp/3Pp3/1pnN2P1/3R3P/PPP1Q1B1/1K2R1B1 b k -,e8g8
5k2/6p1/b4nr1/p2n2N1/Np5P/1P4K1/2rBR1P1/4R3 w - -,e2f2
8/5pkp/p1p2pb1/5P2/P7/4r3/B5R1/6K1 b - -,e3a3
8/3n1kpp/p1q5/3npp2/8/1P3P2/P2Q1BPP/4N1K1 b - -,h7h6
3n1k2/3b4/Q1n2p2/2PBp1p1/4P3/4B1P1/5PK1/3q2N1 b - -,d1h5
8/2r3pk/p1r1n2p/5q2/3p1p1P/1P6/PBPR1R2/1K1Q4 b - -,c7d7
5k2/p3p2p/2Rp2p1/8/3P4/1P6/1r3PKP/8 w - -,c6c3
r1r3k1/1pBnppbp/1pn3p1/1N1p1b2/3P4/P3PN2/1P2BPPP/R4RK1 b - -,c6a7
1rb4r/2p1kppp/p2qpn2/1pN5/3P4/1Q2P1P1/P4PBP/R4RK1 b - -,h8d8
8/5p2/1p2k1pb/pPp1p2p/P3P2P/1PB3P1/4KP2/8 b - -,f7f5
6k1/8/4n1p1/1NpBPp1p/1bP2P1P/2Bp2P1/2b4K/8 b - -,g8f7
4r1k1/1bqn2b1/p3p1pp/npp3P1/1PPpPr1B/P2P2N1/3N2B1/2Q1RRK1 w - -,f1f4
8/5p1p/1p2p2p/p3P3/Pn2P1k1/6P1/2p1K2P/2R5 b - -,g4h3
r1r1b1k1/p3bppp/Npn1pn2/3q4/1P1P4/P2BBN2/5PPP/2RQ1RK1 b - -,d5d8
qr4k1/1r2pp1p/bn1p2p1/1NpPb3/P3P3/1P4P1/1BQ2PBP/1R2R1K1 b - -,e5b2
2r5/R4k2/1p1p4/1P1Pp3/4rpb1/8/2N2R1P/7K b - -,f7f6
2rr2k1/2q1npp1/1p1pbn1p/p3p3/1PN1P3/P1PBNQ2/5PPP/R2R2K1 b - -,d6d5
8/1p6/pB2k3/6bp/2P1pp2/1P4P1/P3KP2/8 b - -,e6f5
1q1r1rk1/pb1nbppp/1pp1p3/8/Q2PP3/P1N2N2/1P2BPPP/2RR2K1 w - -,b2b4
1r6/2n3p1/p3pk1p/3p4/1r1P2B1/4RP1P/2R3P1/7K b - -,b4c4
1rbq1rk1/1p1nppbp/p1np2p1/8/P3P1P1/2N1B2P/1PPQNPB1/R3K2R b KQ -,d7e5
7r/1b2bP2/2k1p1Bp/Pp1pB3/1Pp5/4P3/3K1P2/8 b - -,e7b4
nr3rk1/1p2qp1p/3p2p1/PppP4/8/N1P1P2P/3QBPP1/5RK1 b - -,a8c7
5n2/1b2k2p/1p3Np1/4p1P1/BPP2p1P/5P2/5K2/8 b - -,f8e6
