6k1/7R/4K1P1/8/8/1pn4p/8/8 w - -,h7h8
2rqr1k1/bp4p1/4b2p/pP2Np2/P2P4/3QB2P/2B2PP1/3R2K1 b - -,d8c7
7k/p5qp/Pp1p4/1Pp1bp2/2P2Nr1/3P2P1/3Q3P/5RK1 b - -,g7g5
2r1r3/8/5kp1/pb1p3p/1p3P2/3PR3/PP4PP/4R2K w - -,e3e5
5k2/2p5/2b2p2/K1N1p3/2P1P3/P7/8/8 b - -,f8e7
6k1/5p1p/4p1p1/3q4/7P/4Q1P1/4PK2/8 b - -,g8g7
6k1/3K1p2/6p1/8/5QP1/8/4r3/8 w - -,f4f6
6b1/6kp/4P3/3P1p2/3K4/P1N4r/4B3/8 w - -,e6e7
r1br1bk1/pp3p1p/3pp1p1/1Pp1P2n/5PP1/2NP1N2/1PP4P/R1B2RK1 b - g3,h5g7
5rk1/pPp3b1/2PpP1p1/5qp1/4pP2/B3Q3/P7/3R2K1 w - -,e6e7
r1b1k1nr/pp4pp/1qn1pp2/3pP3/1b1P4/3B1N2/PP2NPPP/R1BQ1K1R b kq -,f6e5
8/r4pk1/p4np1/P3r1N1/R2Rp2P/4P3/5PK1/8 b - -,a7e7
r3r1k1/pp2p3/4bbp1/3p1p2/3P1B2/4PN2/PPPK2P1/R6R w - -,f3g5
2kr3r/1pqbbppp/p2ppn2/8/2B1P2P/1NN1BP2/PPPQ2P1/1K1R3R b - -,c7c4
rnb2rk1/pp2ppbp/6p1/2q5/8/4PN2/PP2BPPP/R1BQ1RK1 b - -,b8c6
7R/pp6/1np2k2/3p4/3P1N2/1P2P3/P2K1P2/6r1 w - -,h8f8
4r1k1/pb3rp1/1pp1pn2/7p/2P2P2/1Pq3PP/P3Q1B1/1RB2RK1 w - -,f1f3
2r3k1/p1rb3p/p5p1/3Pp3/2pnPp2/2N2P1P/PP1N2P1/1RR3K1 b - -,c7b7
r5k1/p1r2p2/1p2p1pp/4b3/2P5/B4RPP/3NKP2/8 b - -,a8d8
r7/1pp4k/3p1q1p/4bPn1/1PP5/3Q2PP/3BN1B1/6K1 w - -,d2f4
2b3k1/7p/p1q2pp1/1p1p4/1P1P1QP1/P5NP/5P2/6K1 w - -,g1g2
2rqbrk1/p3n1b1/1p1npppp/3p4/3P1PPB/1PNNP3/P1R3BP/2RQ2K1 w - -,h4g3
r6r/1p1kbpp1/2n1b2p/pN1pPp2/3P4/P3B3/1P1N1PPP/R4RK1 w - -,a1c1
r1bqk1nr/pp3ppp/2npp3/1N6/1b2P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,a2a3
8/1q3p1k/6r1/6p1/4R1P1/5Q1P/P5K1/8 b - -,g6f6
r1r2k2/1p2bp2/4p2p/PBp5/R1Pp1p2/3R1P1P/1P3PP1/6K1 b - -,a8a7
5bk1/rr1n4/p2p4/2pPp1pp/2P1Pp1n/5P1P/P4NP1/1RRBB1K1 b - -,f8e7
r2q1rk1/pp1nnppp/2pb4/3pp3/4P1b1/2PP1NPP/PP1N1PB1/R1BQ1RK1 b - -,g4h5
r1bqk1nr/pp2ppbp/1n1p2p1/2p5/2BPP3/2P2N1P/PP3PP1/RNBQK2R w KQkq -,c4d3
4n3/8/4k1PK/3pPp2/2pP4/2b5/3B4/8 w - -,d2c3
8/6k1/5rp1/P1p1qn2/4p1BP/4P3/1P5Q/R5K1 b - -,e5d5
r4rk1/p2bppb1/3p3p/q1pP2p1/2B1P3/4N1P1/PP3PPK/1RQ2R2 b - -,a8b8
2r1k2r/1q1bbp1p/p2p1p2/1p2p3/2P1P3/N2Q4/PP1N1PPP/R4RK1 w k -,a3c2
r1bnk2r/ppp1qppp/3pp3/3P4/2P5/2R2NP1/PP2PPBP/3QK2R b Kkq -,e8g8
3rr3/6p1/p2k1n2/P1p2B2/2Pb4/4nQP1/3B3P/5R1K w - -,d2e3
3q1nk1/5pp1/7p/8/P7/2Q3PP/1P1p1PK1/3B4 b - -,f8e6
r2b2k1/P5p1/3Bn2p/1N6/R3p3/8/5PPP/6K1 b - -,g8f7
1b1q1rk1/p2n1ppp/5r2/3p1N2/Q3nP2/4PB2/PP4PP/R1B2RK1 w - -,f3e4
r3r1k1/p4p2/npb2bpp/3p4/2pP4/P1N1PN2/1P3PPP/1BR2RK1 w - -,f1e1
r7/3n1pkp/1q2b1p1/p3p3/4R3/P7/1PP2PPP/R1Q3K1 b - -,f7f5
8/3b4/2pP1k2/1pP2p2/1P2p3/7r/4KPB1/R7 b - -,h3b3
2rq1rk1/1b1nppbp/p1p2np1/1p1p4/2PP4/1PNBPN2/PB2QPPP/R2R2K1 b - -,f8e8
2r3k1/3b1p1p/3Q2p1/8/P1P2P2/8/2r2pKP/1R1R4 b - -,f2f1q
5k1r/1p3pp1/p2q1n1p/3p1R2/1PrP3Q/P1N5/2R3PP/6K1 w - -,f5d5
4k3/1p2p2p/p1p5/b1P2p2/2PPpP1B/4P2P/5K2/8 b - -,e7e6
r1bqk2r/1pp2ppp/2nbpn2/p2p4/4P3/2PP1N2/PP1NBPPP/R1BQK2R w KQkq -,e1g1
4rn1k/1brq1ppp/pp2nb2/3p1N1P/P2P2Q1/2NBBPR1/1P3KP1/7R b - -,e8c8
2B5/4k1np/3p1bp1/2pP1p2/2P2PP1/5K1P/8/4B3 w - -,c8a6:f3e2
1b1rr1k1/1b3pp1/1pp5/p2n2q1/PP1Pp3/B3P1P1/2NR1PB1/Q1R3K1 b - -,a5b4
2b5/5p2/p4k2/2pPpP2/2P1P2P/1P6/2B5/6K1 b - -,a6a5
r2qrbk1/2pn1p1p/p1pp2p1/4p3/3PP3/2P2QNP/PP3PP1/R1B1R1K1 w - -,c1e3
5k2/5n2/pp1rR2p/2p5/P1Pp2B1/1P1P2P1/5P1K/8 w - -,f2f4
3k3Q/1q2p3/3p4/pn6/7P/PP2P1P1/5P2/6K1 b - -,d8d7
8/R6p/6pk/5p2/8/p3PKPP/5P2/r7 w - -,g3g4
4r1k1/1p2qp1p/6bQ/p2pPB2/3P1R2/8/6PK/8 b - -,a5a4
8/5ppk/4p3/4R3/Pp1P1Pp1/4P2r/1P4K1/8 w - -,f4f5
2r3k1/1br3p1/p3p2p/1p1pq3/4pN2/1PP1P3/P1RQ1PPP/2R3K1 w - -,f4e2
2r5/3k4/R1p1b1p1/2Bp3p/1P2pK1P/2P3P1/5P2/8 b - -,e6f5
r2r2k1/p1b2p1n/2q3p1/3p3p/5p2/1PP2P2/P1BRNP1P/R4Q1K w - -,f1g2
8/8/kp5R/8/2K5/2B3r1/5b2/8 b - -,g3g5
8/1p4k1/6p1/R1P3P1/7P/5K2/PP1r4/8 b - -,d2b2
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2P1P3/2NPB1P1/PP2NPBP/R2QK2R b KQ -,c6d4
r3rbk1/pppq1pp1/2n1bn1p/3pp3/4P3/1BPPBNNP/PP3PP1/R2QR1K1 b - -,a7a6
8/3R1pk1/6p1/p4r1p/1pB5/1Pn2P2/5PKP/8 b - -,f5f4
8/p2r1pk1/2R3p1/1p1Bp3/4P3/4b1P1/P5KP/8 w - -,g2f3
8/2B2k1p/pp3pp1/b1pP4/P2r3P/1P4P1/5P2/5RK1 b - -,d4d5
2r1r3/pp1Bppk1/2bp2p1/3N3p/4P3/7P/PPPR1PP1/4R1K1 b - -,c6d7
rn1q1rk1/5ppp/pp6/3p1b2/Q1pPnB2/P3PN2/1P2BPPP/R4RK1 b - -,b6b5
r1b2rk1/1p2qppp/p3p3/6P1/2nN3P/1R6/PPPQ1PB1/2KR4 w - -,d2e2
1r3rk1/4bq2/p1p5/2Q2p1p/2pNp3/4P1P1/PP3P2/2KR3R w - -,c5e5
8/2r3k1/4pq2/r1P1Np2/P1RQn1p1/8/6PP/2R3K1 b - -,g4g3
2kr1bqr/pb1p2pp/1pn1p3/2pnP3/2N1N3/3B4/PPP2PPP/R1BQ1RK1 w - -,e4d6
r1b2rk1/pp1nqppp/2p1pn2/3p4/2PP4/5NP1/PP1QPPBP/RNR3K1 w - -,d2e3
5rk1/pq6/1p6/4B1p1/2P3Pp/1P2RN2/P5K1/8 b - -,b7d7
5rk1/1pp2rpn/p2p3p/4p3/1PPbP2q/PR3B1P/3B1PP1/3Q1RK1 b - -,g7g6
1b2r3/pp4k1/2pq2p1/3p1p1p/3P4/2PB1QP1/PP3PKP/3R4 w - h6,g2f1
3b2k1/1r3p2/2Rp3p/3Pp1pP/N1r1P1P1/5P2/1P4K1/8 w - -,c6c4
8/8/7p/8/R4p1p/2P1k1r1/1P4PK/8 b - -,h4h3
8/8/1pp2rk1/p1p1r1pp/8/1P1PQ3/P4PP1/6K1 w - -,e3e5
rn1q1knr/1p3ppp/p2p4/2pPp3/4P3/2N3QP/PPP1BPP1/2R1K2R b K -,b8d7
r1q3k1/1p2r2n/p2pb1p1/3N2b1/4P1B1/7Q/PPP5/1K1R3R b - -,e6g4
8/2R5/1pB2kp1/p1b4p/P1P5/6PK/5r1P/8 w - h6,c6e8
1rbq1rk1/pp2ppbp/3p1np1/4n3/2PN4/1PN3P1/PB2PPBP/R2Q1RK1 w - -,a1c1
6k1/1R6/1p4P1/p4p2/r7/5p1K/6P1/8 w - -,g2f3
r3kb1r/ppqN1ppp/2p1pn2/5b2/2QP4/5N2/PP1BPPPP/R3KB1R b KQkq -,f6d7
r1bq1rk1/pppn1pb1/4n1pp/2PNp3/4P3/P3BN1P/1PQ1BPP1/3R1RK1 b - -,c7c6
3rr1k1/3q4/6pp/p4p2/P7/3PB1P1/2P3KP/Q3R3 w - -,e3h6
8/2R5/5r2/4p1k1/1p2P1b1/1PpB4/P1P3K1/8 w - -,c7b7
6k1/8/1p1p2p1/p2P4/P1P5/1R5n/r6P/7K w - -,b3h3
1r1rbk2/5p2/4p1p1/3pP2p/1p1R4/P4P1N/1P4PP/2R3K1 w - -,a3b4
rn1qkb1r/1b2nppp/p3P3/8/Pp1N4/2N1BP2/1PPQ2PP/R3KB1R b KQkq -,b4c3
r5k1/3R4/p1P1pn1p/5pp1/PPN3P1/5P1P/5K2/8 w - -,d7b7
8/1p3k1p/2pb2p1/p7/P1p1P1p1/2N1B3/1P3P2/6K1 w - -,e3b6
rn1qk2r/1bppbppp/p3pn2/8/NpP5/1P3NP1/P2PPPBP/R1BQ1RK1 b kq -,e8g8:d7d6
8/q5kp/PQp2pp1/1pPbb3/1P4P1/7P/5P2/3R2K1 b - -,e5b8
8/7p/3k1p2/1p3p2/3P1P2/1P1K4/7P/8 w - -,d3c3
5k2/2R5/8/3P4/8/5K2/Pr6/8 w - -,c7a7
8/2R4k/p4KbP/8/P5P1/8/2p5/3r4 b - -,h7h6
r1bqr1k1/4bp1p/p1n1p1pB/2Nn4/1p1P4/P2Q1N2/BP3PPP/R3R1K1 w - -,a1c1
rn2kbnr/pp1qpp1p/3p2p1/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,c2c3
5rk1/p4p1p/Q3p3/3p1bp1/3P4/q1r1P1P1/P3BPP1/R4RK1 w - -,a6a3
r3r1k1/pp3ppp/5b2/3p1q2/1n1P4/2P2N2/PP3PPP/R1BQ1RK1 b - -,b4c2
1rbQ1rk1/3n1ppp/pN1p4/P1pP4/8/2NPR2P/1P4P1/5RK1 b - -,f8d8
2kr3r/pppqbp1p/2n5/2npP1p1/8/2P1BQ2/PPB2PPP/R3RNK1 b - -,c6e5
8/p7/8/3p1k2/1P1Kb2Q/8/r7/8 w - -,h4h3:h4h5
r1b2rk1/ppq1ppbp/2np1np1/1Bp5/4PP2/NPP2N2/PB1P2PP/R3QRK1 b - -,a7a6
8/3q3p/3pQ3/2pPp3/p1P1Pp1k/K1P5/6P1/8 b - -,d7b7
r3k2r/ppqbnpp1/3b3p/8/3N4/2PB4/P4PPP/R1BQR1K1 w kq -,d4b5
3r2k1/3n1ppp/p2b4/3Pp3/1r6/4BN2/P4PPP/2RR2K1 w - -,g2g3
8/1r3ppk/8/4R3/1PN2nPP/2K5/8/8 w - -,b4b5
1r1r2k1/1p3pp1/2p1pn1p/4N3/pqPP4/1P2Q2P/P4PP1/1R2R1K1 b - -,a4b3
r1b2rk1/pp1nbppp/4p3/2qpB3/8/1QP1P3/PP1NBPPP/R3K2R w KQ -,e5g3
8/2r1k2p/6p1/P3Pp2/3R1P2/r5P1/P2RK2P/8 w - -,d4d5
r1b1k2r/1p2bp2/p2pp2p/2q1n1P1/4P1nB/2NB1N2/PPP1Q1PP/1K1R3R b kq -,h6g5
5r2/2pk1r1p/1p1p4/p2Pp3/P1P2p1b/1PBK1P2/R3R1PP/8 b - -,h4e7
8/4k3/r7/Pp3KP1/8/8/R7/8 b - -,e7f7
1r1q1rk1/3b1pbp/3p1np1/2p1n3/1p2P3/1P2BPP1/P2QNNBP/2R2RK1 b - -,d7b5
r5rk/7p/3pPb2/pP4p1/1p2PpR1/3P1N2/6PP/1R4K1 w - -,h2h4
r2q1k2/1pp2p1Q/3p4/p1nPn2p/2P5/6RP/PP3PBK/8 b - -,f8e7
8/5pkp/4n1p1/4P3/4QP1P/6P1/3q2BK/8 b - -,d2f2
2r5/2b1Nkpp/1p5r/8/5P2/1P3Pq1/P1R3B1/3R1K2 w - -,e7c8
4r3/p6p/2p3bk/2N3p1/4pq2/P1Qp4/1P5P/K1R2B2 b - -,d3d2
rn1qkb1r/pp3ppp/2p1pn2/3pNb2/2P2P2/6P1/PP1PP1BP/RNBQK2R w KQkq -,c4d5
1b2r3/2k2pp1/R1p3np/1pPp1B2/1P1P4/4B1P1/5P1P/6K1 b - -,g6e7
1rr2bk1/p2q2pp/2n1bp2/1pp2N2/4Q3/2PP2P1/PR1BP1BP/5RK1 w - -,f5e3
r1r3k1/p2q1pbp/1p2p1p1/n1p1P1BP/3P4/2PQ4/P3NPP1/2RR2K1 w - -,d3f3
1r6/4p3/3p1k2/8/3R2p1/1pK2P2/1P6/8 w - -,d4g4
2r5/4kpp1/pp2pn1p/8/2P5/1P2KP2/P1BR2PP/8 w - -,c2d3
8/3RRpkp/p2p4/1p4K1/6P1/7r/5r2/8 w - -,e7f7
6k1/p5r1/qp1p2r1/2pPb1pp/P1PpPp2/1P1B1P1P/2K3PR/4Q1R1 w - -,e1d2
r4rk1/pp4p1/1q2p1np/1B1p1p2/5P2/3p4/PPP2NPP/R2RQ1K1 b - -,d3c2
1r3rk1/p4ppp/1nn1p3/2qpP3/1p3P2/5N2/PPP1QNPP/R2R3K b - -,b6c4
3r1rk1/p3n3/1p1p2p1/2pPp3/4B3/2P3P1/PP2KP2/2R4R w - -,h1h2
r2r1bk1/1bq2p1p/pp2p1p1/4p1Pn/2P1N1Q1/1P2P2P/PB3PB1/2RR2K1 b - -,d8d1
r1bqr1k1/1p2bpp1/p1n2n1p/3p1P2/3P3B/1QN1P3/P2NB1PP/4RR1K b - -,c6a5
8/1p3rk1/2qp3R/1p2pP2/1Pn1P3/6Q1/6PP/7K b - -,g7f8
1r2r3/2q2pbk/p1npbnpp/4p3/PpN1P3/1P1PBN1P/1QB2PP1/3RR1K1 w - -,c2b1
r4rk1/pp2ppbp/2np2p1/q6n/2P1PPb1/2NBBN2/PP1Q2PP/2R2RK1 b - -,g4f3
8/1rB4p/1P4p1/5p2/2k1p3/p5PP/5K2/1R6 b - -,a3a2
1rr3k1/1p1npp1p/p2pb1p1/q7/P1PQPP2/1PN3P1/5R1P/R4BK1 b - -,a5c5
5rk1/1b1nq1pp/3p4/r1p1pp2/P1P1n3/4P3/1BQNBPPP/R2R2K1 b - -,a5a6
r1b1qrk1/p3ppbp/1pn3p1/2p5/2BP4/2P1PNB1/P4PPP/1R1Q1RK1 w - -,d1e2
2kr3r/ppp2pp1/2n2q1p/8/1bP3b1/1Q2PN2/PP1N1PPP/2KR1B1R w - -,f1e2
2r1kb1r/pp1bpppp/5n2/q3p1B1/3Q1P2/2N5/PPP3PP/R3KB1R w KQk -,f4e5
r1bq1rk1/pppn2bp/3p2p1/4pp1n/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 w - f6,d4e5
3n4/2k2p1p/6p1/p2PN1P1/1pK2P1P/8/P7/8 w - -,c4b5
r2q1r2/1ppb2bk/p2P1n1p/2P1pn2/5p1N/2N5/PPB3PP/R1BQ1RK1 b - -,f6e8
rnbqkb1r/pp3ppp/1n2p3/3pP3/8/2Pp1N2/PPB2PPP/RNBQK2R w KQkq -,d1d3
6k1/1r2pp2/p2p4/3P1qp1/2PR4/6P1/P2Q1P1K/8 w - -,h2g2
5k2/1pp4p/3p2n1/p2P1p2/2P1p3/P6P/1P2KP1b/7R b - -,h2f4
4r1k1/7p/1p2bB2/2p1P3/p6P/P5P1/1P4B1/5rK1 w - -,g2f1
r4rk1/1pqnbppb/2p1p2p/1n1pP3/1P1P1P2/1NP3P1/1B1NQ1BP/R1R3K1 b - f3,d7b6
8/4bk2/4p3/3p1p2/PP1P1Pp1/3KPqP1/3B4/4Q3 b - -,f3e4
6k1/2R1Npb1/p2B2p1/n1P4p/2r5/7P/5PP1/6K1 b - -,g8h7
rb3rk1/pb2qppp/1p6/2n1p3/2P5/2N1B3/PPB1QPPP/3R1RK1 b - -,f7f5
8/3r1k2/3Pp2p/p3Pp2/2B2qp1/8/4Q2P/6K1 w - -,c4b5
4r1k1/2q2n1p/2pRppb1/2P5/4BQP1/2N4P/5P2/6K1 b - -,f7d6
2b1r1k1/1p2bppp/1q1p2n1/3Pp3/1PP2n2/QN3N2/5PPP/2B1RBK1 w - -,c1e3
6k1/p2r1p1p/1p3B2/2p3P1/2P2P2/4QnKP/P4P2/3q4 b - -,h7h5
r2qrb2/1ppb1p1k/p1n2npp/3pp3/4P3/2PPBNNP/PPB2PP1/R2QR1K1 b - -,d7e6
r1bq1rk1/pp2ppbp/1nn3p1/3P4/8/1BN2N2/PP3PPP/R1BQ1RK1 b - -,c6a5
r3k2r/ppq2pp1/1np1pnp1/3p2B1/3P1bP1/3Q3P/PPP1PPB1/RN2RK2 w kq -,g5f4
8/5B1k/p3P2P/1p3p2/1P1pP3/3K2r1/8/8 w - -,d3d4
2r3k1/5pp1/2q1p3/7p/8/3Q2P1/PpP4P/1K2R3 w - h6,e1e4
r1b1kbnr/pppp1ppp/2n5/7q/4Pp2/2N2N2/PPPPK1PP/R1BQ1B1R w kq -,c3d5
8/8/2k5/p3K3/P4P2/6n1/8/3N4 w - -,d1c3
4q1k1/B1p1P1bn/2pr1ppp/3r4/6b1/1NQ2N2/PPP2PPP/R3R1K1 w - -,a7c5
8/1p1R2p1/5p1k/5P1p/8/6K1/7P/1r6 w - -,d7c7
r2q1rk1/pb1nppbp/1p1p1np1/3P4/2P5/2N1BN1P/PP2BPP1/2RQ1RK1 w - -,b2b4
5k2/6p1/1p5p/1PpB1P1Q/2P3P1/4qp2/6PK/8 b - -,e3e5
r2q1rk1/pp1nbppp/4pn2/2p2b2/3P4/4PNP1/PP2QPBP/RNB2RK1 w - -,f1d1
1rbq1rk1/4nppp/p2p3b/1p1Np3/4P2P/2P1N1P1/PP3PB1/R2QK2R b KQ -,h6e3
rnbq1rk1/p1pp2pp/1p2pn2/5p2/1bPP4/2N1PNP1/PP1B1P1P/R2QKB1R b KQ -,c8b7
1k1r1b2/p1pq4/1n5r/1Pp2pp1/P2N4/4P1P1/3BQPB1/R5K1 w - -,d4c6
r1bqkbnr/1p1npp2/p2p3p/2pP2p1/2P1P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,f8g7
r4r2/pppqn1k1/1b1p1pbp/3Pp1p1/2B1P1P1/2P2NPP/PP1NQ1K1/R4R2 b - -,f8h8
rnbqkbnr/p1pp1ppp/1p2p3/8/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq -,c8b7
8/R3kp2/6p1/4K1Pn/7P/8/8/8 b - -,e7f8
r1b2rk1/p4pp1/Bp1qp2p/n7/3P4/4PN2/P3QPPP/1R3RK1 b - -,d6a3
rnbqkb1r/pp1ppppp/8/2p5/2BPn3/5N2/PPP2PPP/RNBQK2R b KQkq -,d7d5
8/8/3k3p/pb1p2p1/3N4/1PP1KP2/7P/8 b - -,b5d7
r3k2r/2p2pR1/2Np4/2pPp2p/p1q1Pb1Q/P7/KP6/5R2 w - -,a2b1
8/6k1/6p1/3p4/P2P1R2/2P1P3/3K1P2/1q6 w - -,f4f3
8/4k3/8/1p1PPp1p/2p4P/P3K3/8/8 b - -,e7d7
r1b2qrk/pp3p2/3Npp1p/2pPn2Q/1bP5/3BP1N1/PP3PPP/2R2RK1 w - -,d3b1
8/R4pk1/2p3p1/2P3qp/4p2P/P2r2P1/1P3PK1/8 w - -,h4g5
8/R7/4bP2/8/p2K4/1k6/8/8 w - -,a7e7
7k/6p1/7p/2Q1p3/2P5/6P1/6KP/3q4 b - -,d1e2
6k1/pp3pp1/2p4p/2P2qb1/PP1Pp3/4Bb1P/5PBP/5QK1 b - -,g5e3
6k1/7p/6p1/4pp2/P2r4/1P1n2P1/5P1P/3R1BK1 b - -,d3b4
4r1k1/pr1n3p/5n1R/3ppp2/8/2N3P1/PPP1PP2/R1B1K3 w Q -,c1g5
r4rk1/1pq1bppp/p2pbn2/4p3/4P3/1NNB4/PPP2PPP/R2Q1RK1 w - -,c3e2
5b2/1p1k1R2/p2p2pp/P7/3P2P1/7P/1P3PKB/2r5 b - -,f8e7
r1bqk1nr/1ppn1pbp/3p2p1/p2Pp3/2P1P3/2N5/PP2NPPP/R1BQKB1R w KQkq a6,c1e3
6k1/p6p/4P1pQ/1pqn1p2/2b5/5P2/P2R2PP/2R4K b - -,f5f4
8/3k2r1/2p2R2/1p1p4/pP1Pp1P1/2P2P2/P3K3/8 b - -,e4f3
R7/8/8/2r2k1p/4p2P/4K1P1/5P2/8 b - -,c5c3
6R1/8/2p2k2/p3pp2/3n2p1/4N1P1/P4PK1/r7 w - -,g8f8
2kr3r/2q1bppp/b1n1pn2/2p5/4N3/1P3N2/PB2QPPP/3R1RK1 w - -,e2a6
2k4r/Qb1rbp2/p2pp3/1pN3p1/2q1Pn2/P6P/NPP2BP1/1K1RR3 b - -,d7c7
1rr3k1/p4ppp/1q2p3/1n2P3/1Qp2P2/8/1PPN2PP/2K1R2R w - -,e1e4
8/4k1p1/2p1p2p/p1PB3P/P2P2P1/5K2/1B1b4/8 b - -,e6d5
rnbbr1k1/pp3p1p/2p3p1/4p3/2P1P3/4NN2/PP2BPPP/3RK2R b K -,d8a5
8/2B1pk2/4pb2/6pp/1Rp5/2P5/1P2KPPP/1r6 b - -,h5h4
3R4/p5Rp/5r1r/6k1/2p5/7P/P1P2PP1/6K1 b - -,g5f5
2b2bk1/p1Nn2pp/1pp2n2/3p4/3P1P2/1P2q1P1/PB2P2P/R2Q1RK1 w - -,g1g2
r2qr1k1/pp2bppp/5n2/2pPp1B1/2P1P1b1/2NQ4/PPB3PP/R4RK1 b - -,f6h5
q2bb1k1/r7/1p3p2/2pPp1p1/2P1P1P1/3BB2P/5Q2/rR3RK1 b - -,a1b1
8/2P1n1k1/B2p4/4p1pp/4Pp2/5P1P/6P1/6K1 b - -,g7f8
r1bqk2r/pppp1ppp/2n2n2/8/1bB1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,e4e5
r3r1k1/pp1npp1p/2bp2p1/q7/3bP3/1BNQ3P/PPP2PP1/R3R1K1 w - -,d3d4
2r2b1r/1q4p1/1Pb2pk1/p2NpN1p/4P3/1Q6/1PP3PP/3R1R1K w - -,d1d3
1r3rk1/R4np1/R1p1p2p/1pPp1p2/1P1P1P2/3BP3/6PP/6K1 b - -,b8c8
r4rk1/ppqnbppp/2p1pn2/5b2/2QP4/4PNP1/PP3PBP/RNBR2K1 w - -,c4e2:b1c3:h2h3
3r3k/3n1pp1/p3p2p/1p1n3q/3P1B2/P4PRP/P2Q1P1K/1B6 w - -,d2c2
r2q1rk1/1p2bpp1/2n3p1/p2p4/NPn2B2/P1Q1P3/4NPPP/2R2RK1 w - -,a4c5
1k1r1b2/1q3pp1/p3p2p/P2rP3/1pR2Q2/5N1P/1P3PP1/4R1K1 b - -,d8c8
8/p7/2pqk3/1p3pp1/1P1Pp2p/P3P2P/2Q2PP1/6K1 b - -,d6d5
r4rk1/1q3pb1/ppb3pp/2pNp3/P1PNP3/1P6/2Q2PPP/3RRBK1 b - -,c5d4
r1b2rk1/ppq2ppp/2n1pB2/2bp4/8/1P1BPN2/P1PN1PPP/R2Q1RK1 b - -,g7f6
r3k2r/pp2ppbp/2p3p1/8/2NP3P/2P2Pn1/1P1B2P1/2KRR3 b kq -,e8d7
rn1q1rk1/p1p2ppp/1p1pp3/8/2PPb3/4QNP1/PP2PPBP/R4RK1 b - -,e4b7
