8/8/4k3/p2Npp1p/8/P2R1K2/1r6/8 w - f6,d5c7
rnbq1rk1/pp2npbp/2p3p1/8/3NP3/2N1B3/PPPQB1PP/3RK2R b K -,b8d7
8/1R6/8/Pk6/5p2/5r2/8/4K3 b - -,b5a5
r1b1r1k1/p1qn1pbp/2p2np1/1p1pp3/P2PP3/2PBBNNP/1P3PP1/R2Q1RK1 w - -,d4e5
6k1/6p1/4p2p/p4r2/4R3/5P2/4K1PP/8 b - -,g8f7
3rrnk1/1p4p1/2p2p2/1qR4p/pN1PpBbP/P3P1P1/1P3QP1/5RK1 b - -,b5b6
3r4/p3pp2/1p2b1k1/2p1PNb1/2P3P1/1P3N2/P3R1K1/8 w - -,f3g5
r1r3k1/5p1p/pb1p3B/2Q5/1p6/4n3/1PP1RPPP/R5K1 b - -,b6c5
5k2/2N2ppp/2R5/8/1P6/7P/1r1n1PPK/8 w - -,b4b5
8/p1Rn1r2/3r2pk/1p1Np3/4P1pP/3P1pP1/5P1K/3R4 b - -,a7a5
8/p2r2kp/Pp2R1p1/2p2p2/2Pn3P/2KP2P1/8/5R2 w - -,e6e8
4b2k/ppq1b1p1/1n2p2p/4Pp2/3r1P2/2B1NBP1/PP2Q1KP/5R2 b - -,d4d8
r1b2rk1/3n1pbp/2Q2np1/p1Pp4/3pP3/P5PP/1P3P2/R1B1NBK1 b - -,a8b8
r4rk1/1p2Bq1p/p3p1p1/1bp1p1Q1/4P3/2P2B2/PP4PP/3R2K1 b - -,h7h6
r1b2rk1/1pq1p1bp/n1pp1np1/p4p2/2PP4/1PN2NP1/PB2PPBP/1R1Q1RK1 w - -,d4d5
4r1k1/5p2/6pp/p2Pqn2/1p2rN1P/3QPKP1/PP2R3/4R3 w - -,d5d6
8/8/1b1k4/p2p4/P2P1N2/4K3/5P2/8 w - -,f4e2
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/5N2/PPPNBPPP/R1BQK2R w KQkq -,f3h4:e1g1:d2b3
n5k1/3q2p1/2P1r1Qn/2Pp1r1p/p4P2/B6P/P5B1/3R1RK1 b - -,d7c6
r2qk2r/5pp1/p2b1np1/3pn3/8/2N1P2P/PBQ1BPP1/R3K2R w KQkq -,c2a4
1r4k1/4pp1p/pb4p1/1bpP1P2/1n2P3/1N2B2P/P3N1P1/1R4K1 w - -,e2c3
2r3k1/p6p/bn2P1p1/8/4PP2/4B3/P1p2KPP/2b4R w - -,h1c1
1r2r1k1/1q3ppp/3p4/1p2nP2/p7/P3B2n/1P2QPP1/1BR1R1K1 w - -,g2h3
4r2k/p1q3pp/5p2/1p6/2BR1P1Q/P7/1PK3PP/8 w - b6,h4h5
1rb2rk1/p1qp1ppp/4pn2/2p5/4P3/1PP2PN1/P2Q2PP/3RKB1R b K -,d7d5
7r/3nPRp1/3k4/2pP4/B7/1P1K4/8/8 w - -,e7e8q
8/5p2/3npkp1/3p3p/N4P2/1n1N1P2/5KPP/8 w - -,a4b6
6k1/pN3bpp/2p5/2Pn4/1P1r4/P5N1/6PP/4R1K1 b - -,d5f4
8/1k3p1p/pp1pp3/5p2/3P4/P7/1P2NP1r/K4R2 w - -,a1b1
2r4k/1ppbr1bp/1n4p1/3P1p2/4PB2/pPKB1N1P/P5P1/4RR2 w - -,c3d2
8/8/8/1n1kb1p1/2p5/7P/2K5/4R3 b - -,b5d4
8/q3ppk1/PnBp2p1/1QpP3p/4P2P/1P4P1/5P2/6K1 b - -,g7f6
2r5/1p3r1k/p2RR1p1/8/6KP/1P2B3/1b3P2/8 b - -,b2a3
r5k1/pp2r1p1/bqn1pnBp/3p4/P2P4/1P3NN1/5PPP/2RQR1K1 w - -,c1c3
r3r1k1/pp4pp/2b5/5p2/3PqB2/P7/5QPP/R2R2K1 b - -,e4d5
r2r4/p4kp1/1pp1pp1p/3n4/1PNP4/P2R2P1/2P2PKP/4R3 w - -,e1d1
r2qr1k1/pppbnpb1/3p1npp/3P4/4PB2/2N3PP/PPP1N1B1/R2Q1RK1 w - -,d1d2
r1bqrnk1/1p2bpp1/p1p2n1p/3p4/3P3B/2NBPN2/PPQ2PPP/1R3RK1 w - -,b2b4
r2r2k1/pq1b1pbp/1p4p1/n1pp4/5B2/2PBPN1P/PP3PP1/2QR1RK1 w - -,f3e5
r1bq1rk1/pp2ppbp/2n3p1/2p5/2BPP3/2P1B3/P3NPPP/2RQK2R b K -,c5d4:b7b6:c6a5:c8d7:d8c7
7r/8/pkpp1p2/4bB1p/3qP2P/1P6/P1K5/4Q1R1 w - -,e1b1
2rqr1k1/pb1nbppp/1p3n2/2P5/2P2B2/2N2NP1/P1Q2PBP/R2R2K1 b - -,c8c5
3qr1k1/pp2bpp1/1n2p2p/1Q1pP3/3P1B2/6P1/PP3P1P/2r1RBK1 w - -,e1c1
6k1/4pp1p/p2rb1p1/2B5/Pr6/6P1/4PPBP/b4RK1 w - -,c5b4
r2qr1k1/p2n1p1p/4bbp1/2pp4/8/1PP2Q1P/P2BNPP1/1B1RR1K1 w - -,e2f4
6k1/q5rp/3pp3/2b5/PR3B2/3B4/4K1bP/1R1N4 w - -,b4b8
8/R4p2/2p2kp1/4N3/p6P/2n2KP1/Pr6/8 w - -,e5c6
8/2p1r3/2K2pk1/7p/2P2PpP/2R3P1/2P5/8 w - -,c4c5
1r4rk/p1p3q1/3p4/P1p1p3/4P2p/2P1R2P/2P1Q1P1/4R1K1 w - -,e3f3
r2q2kn/bpp2pp1/p2p1P2/4pN2/4P3/1PPP1QN1/1P3PP1/R3K3 b Q -,d8f6
2rq1rk1/pp1bb1pp/2n1p2n/3pPp2/1P1P1P2/PQNB1N1P/6P1/R1B1K2R b KQ -,d8b6
r7/3n4/8/1P2Bk1p/2R2PP1/3rpK2/P3R3/8 b - -,h5g4
4b3/3k2Q1/4pp2/p2pP3/2pR4/P1R5/1rP1KP1q/8 b - -,d7c6
2r2r1k/1b3q1p/1n1p2p1/p2PppPn/1pB4P/PQ2P3/1P1N1P2/3RKNR1 w - -,b3d3
r7/4B1P1/4kPK1/8/8/8/8/8 w - -,e7f8
r2qr1k1/3n1pbp/p2P2p1/1pp5/4b3/1N2B1PP/PP3PB1/R2QR1K1 w - -,g2e4
2r1r1k1/2q2pbp/p3p1p1/1p1p2N1/3P4/PQP3P1/1P3PP1/3RR1K1 w - -,g5f3
rn3rk1/pbq1bppp/3ppn2/2p3B1/2P5/2N1PN2/PPB2PPP/R2Q1RK1 w - -,d1d3
r5nr/p1pk2pp/1bppp3/7q/4PP2/1Q3N2/PPP3PP/R1BR3K b - -,g8f6
r2qr1k1/1p1n1ppp/2p2n2/p1b1p2b/P1N1P3/5NPP/1PP1QPB1/R1BR2K1 b - -,d8c7
r3k2r/pp2bpp1/2p1bn1p/q2p4/3P4/2NBPPP1/PPQ1N1P1/2KR3R w kq -,c1b1
r1b1kb1r/3p1ppp/pq1Bpn2/8/1p2P3/5P2/PPPQ1P1P/1NKR1B1R w kq -,d6f8
r1bq1rk1/4ppbp/1np3p1/p2n4/N2PN3/1B2BP2/PP1Q2PP/R4RK1 w - -,e3f2
1r1q1rk1/2pb2bp/pp3np1/4pp2/1PP5/P1N3PN/3PPPQP/1RB1K2R w K -,e1g1
3r1rk1/1pq2p1p/p3bnpb/3pp3/4P3/1NPBNP2/PP2Q1PP/R4R1K b - -,f8e8
r1bqk2r/pp3ppp/2n1pn2/2bp4/5B2/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,e8g8
8/7R/5p2/2k2p1P/5P2/6K1/8/7r w - -,g3g2:h7h8
6k1/1R1B1pb1/4r1p1/2pNP2p/2Pp1P2/8/6PP/1K6 b - -,e6a6
1r3qk1/2Q3pp/1PB1pn2/p7/P1b1N3/8/6PP/3R2K1 b - -,f6d5
r1q3k1/2p2p1p/1pb1r1p1/2bNp3/p1P1P3/P6P/1PQRNPP1/5RK1 w - -,e2c3
2b5/5pkp/8/3p3P/3b4/8/R1P1K1P1/8 b - -,d4f6
2bk3r/4b2p/3p4/3Npp2/4Pp2/2PK4/PP5P/3R2R1 b - -,e7h4
4rrk1/pq1b2bp/3pN3/2pn1P2/2p5/2N1B2P/PP2QR2/5RK1 w - -,e6f8
rnb1kb1r/2q2p2/p2ppp2/1p5p/3NPP2/2N5/PPPQB1PP/R3K2R w KQkq b6,e2f3
r1b2rk1/1pp2ppp/2n1pnq1/8/p2P2P1/P1b2N1P/QP1BPP2/R3KB1R w KQ -,b2c3
r1b2rk1/1p4b1/p2p1qp1/6Np/2nN2BP/4B1R1/PP1Q1PP1/R5K1 w - -,d2e2
8/8/2B2n1p/4k3/1R4P1/1P4K1/8/6r1 w - -,c6g2
1k5r/1bp5/1p2p3/3r1pqp/8/P2BPPP1/1P2Q3/1K3RR1 w - -,f3f4
rnbq1rk1/pp2ppbp/2pp1np1/8/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b - -,b8d7
1r1r2k1/q2nbpp1/p1p1p1bp/P7/N2PPQ2/5NP1/5PBP/1R1R2K1 w - -,b1c1
2r1q1rk/pnn1bpp1/1p2p2B/4P2N/2p3NP/1P4P1/P3QP2/R2R2K1 w - -,h6g7
2k4r/1pp3p1/p6p/3rnp2/8/1P1Pb3/1PP3PP/R2Q3K w - -,g2g3
rnbq1rk1/pp2ppbp/5np1/3p4/3p4/1P3NP1/PBP1PPBP/RN1Q1RK1 w - -,b2d4:f3d4
6R1/1p2p3/4k1p1/Pp6/1P1B3p/2P4P/6PK/4q3 w - -,g8f8
2r2rk1/p4ppp/1p3b2/8/2n1B3/P1N5/1P3PPP/2BR1K2 b - -,c4b2
5k2/2r2p1p/R5pP/pP1B2P1/b1PK4/8/8/8 w - -,b5b6
1n1Rrkr1/8/p1pR1Kp1/1pP5/1P5N/8/P7/8 b - -,g6g5
1q1rrbk1/1p3pp1/p3p2p/2n5/2PN4/P1BR4/1P2QPPP/4R1K1 w - -,d3g3
3qk2r/1p3p1n/p2p2p1/3Pp1b1/PP2P1Q1/R3N3/5N2/2B3K1 b k -,g5e7
8/8/2r1kp2/2p3pp/1pN5/1P1KB3/2P3PP/8 w - -,c4d2
r3kb1r/1p1n2pp/p1p2p2/3npb2/2N5/1P1PBNP1/1P2PPBP/R1R3K1 w kq -,e3d2
8/4B2p/4p3/3p1p1k/p2P4/Kb2P1P1/5P2/8 w - -,f2f3
8/8/8/3p1k2/3P4/1r1NK3/8/8 w - -,e3d2
5k2/5p2/5R1p/4r2N/7P/3b1P2/5KP1/8 w - -,f6h6
rn3rk1/pp1n1pbp/6p1/3pp2q/3PN3/1P2N1P1/PB2PP1P/R2QR1K1 w - -,e3d5
r1q1rbk1/1p1b1p2/n1pp1npp/p2Pp3/2P1P3/PPN3NP/2BB1PPK/1R1Q1R2 b - -,g6g5
r4rk1/pp2qpbp/2npbnp1/2p5/4P3/2PBBN1P/PP3PP1/RN1Q1RK1 w - -,b1d2
8/p1rnk1pp/1n3p2/NRp1pP2/2P1P3/4B1P1/P5KP/8 b - -,b6c8
2B5/4k1p1/5pp1/3K4/3bP1P1/8/8/8 b - -,d4b2
8/3r2pk/5p2/2B1bb1p/1R4n1/1R4P1/7P/6K1 w - -,b4b7
r1q2rk1/1b3p1p/p4p2/2B1p3/P2nP3/1N1B4/1PP1Q1PP/R6K w - -,c5d4
r2q1rk1/1b2ppbp/p1np1np1/1p1N2B1/4P3/1B3N1P/PPP2PP1/R2QR1K1 b - -,f6d7
4q2k/6p1/br3r1p/p1Q5/P4N2/4p1P1/1PR2bBP/R6K b - -,g7g5
r5k1/1p2rppp/2p5/p1Ppn3/8/1P2P3/PN3PPP/2R2RK1 b - -,e5d7
rnbq1rk1/1pp1ppbp/p2p1np1/8/2PPP3/2NB4/PP2NPPP/R1BQK2R w KQ -,e1g1
8/7p/8/1P2p3/2K1P3/P4kP1/5P1r/5R2 w - -,b5b6
r2r2k1/pp2ppbp/1q2b1pn/1B2P3/3p1PP1/2N4P/PPP1QB2/R4RK1 w - -,c3e4
8/1Pb3k1/8/p1R5/P6p/1P6/2Kp4/3B2r1 b - -,c7f4
2b1r1k1/5pp1/1qp2n1p/2Q1p3/1P2P3/3R1PN1/6PP/B5K1 b - -,b6a6
1n1q1rk1/rb3p1p/p1p1p1p1/1pb1P3/P2PN2P/2PQBB2/5PP1/R4RK1 b - -,c5e7
1r3rk1/4q1pp/ppp1bn2/5p2/P1PPp3/2N1P3/1RQ1BPPP/1R4K1 b - -,e7c7
6k1/q1bn1ppp/p1p5/2Ppp3/P2P4/4PP1P/4N1P1/1Q2B1K1 b - -,g7g6
r1r3k1/pp1nppbp/2npb1p1/qN6/NPP1P3/P3BP2/4B1PP/1R1Q1RK1 b - b3,a5d8
r3k2r/2qbbpp1/pnnp3p/1p1P4/5PPP/PN6/1PPBQ1B1/1K1R3R b kq -,c6a7
1r6/5qbk/3B4/3n1p1p/p5p1/P2RP3/1P3PPP/3QN1K1 b - -,b8b5
5bk1/pp3ppp/2p5/2n5/5P2/BPN1P3/P1br1PBP/5RK1 w - -,a3c1
2r5/1p1r1p1p/3P1kp1/2P2b2/1PR5/8/3R1KBP/8 b - -,f6e5
r2q1rk1/p3bppp/1np1p3/8/2bP4/1BN1B3/PP3PPP/2RQR1K1 b - -,c4b3
rn4k1/pb3pp1/1p2p2p/2q5/8/4PN2/PPQ1BPPP/4K2R w K -,c2c5
8/6k1/pR3p2/r6p/4PK1P/5P2/8/8 w - -,b6d6
8/p6p/4r3/1p2kpp1/8/1P2K1P1/P1R2P1P/8 w - -,e3d3
r5k1/5pp1/2n1p2p/3pP3/8/5P2/1R3NPP/r3R1K1 w - -,e1a1
1r1q1rk1/4ppbp/p2p2p1/2pP1b2/2P1BPn1/2NQ2P1/RP1BP2P/R5K1 b - -,f5c8
3r4/3r2kp/1p4p1/p1bN1p2/2P5/1P3RP1/P4P1P/4RK2 w - -,e1e6
rnb1k2r/1pqpbppp/p3pn2/8/3NP3/2PB4/PP1N1PPP/R1BQ1RK1 b kq -,d7d6
8/p7/1b4k1/3QP3/3p4/6BP/1q4PK/8 b - -,b2b1
8/6kp/p1B3p1/1P3p2/4p2P/4P1P1/1r1r1P2/5RK1 b - -,a6b5
8/R1nr1pN1/3p1Pkp/2pP2p1/1p4P1/1P6/2P3P1/6K1 b - -,g6f6
r1bqkbnr/p4ppp/2p1p3/2pp4/4P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq d6,b1c3
r2q1rk1/1p2bpp1/p1n1b2p/3np3/P7/2N1BN1P/1PPQBPP1/R4RK1 w - -,c3d5
r4rk1/1q2ppbp/3p1np1/3P4/1p3P2/4BB1P/1PPQ2P1/R4RK1 b - -,f6d7
r1bq1rk1/2ppnpbp/p5p1/np1P4/4P3/5N2/PPBN1PPP/R1BQ1RK1 b - -,d7d6
8/p4p1k/6pp/4Q3/1P2N1Pq/4R3/P4rKP/4b3 w - -,g2g1
4r1k1/pp3pb1/2p5/2P3p1/3N2n1/1P2PpP1/PBQ2P1q/3R1K2 w - -,f1e1
8/6pk/4bb1p/2q2p2/2N2Q1P/3P2P1/4PP2/6K1 w - -,f4f3
2r3k1/pb3pp1/np1np2p/3pN3/3P4/N3P1P1/PP3P1P/2R2BK1 w - -,c1c8
