8/8/8/8/6R1/p1kr3p/P4P2/6K1 b - -,c3b2
rnbqkb1r/pp1p1ppp/4pn2/2pP4/4P3/8/PPP2PPP/RNBQKBNR w KQkq -,d5e6:b1c3
1r5k/7p/1n1pB3/pp1P2pP/5pP1/1PP5/P5K1/5R2 b - -,b8e8
r2qk2r/pp2nppp/2np1b2/1Bp5/4PP2/2N1B1P1/PP5P/R2Q1RK1 w kq -,e4e5
1r3k2/4pb1p/p1pp2p1/2q3Pn/4PP2/P1N5/1PPQ3R/KR6 b - -,d6d5
2q5/4Q2p/5ppk/3Pp3/4P1PP/8/5PK1/8 w - -,g4g5
r1q1r1k1/1pp2pbp/p1n1bnp1/4p3/2P4N/2N1B1PP/PP1QPPBK/R2R4 w - -,c3d5
1r1q1rk1/1b1p1pb1/1pn1pnp1/p1p4p/2P4P/P1NP2PN/1P1BPPB1/1R1Q1RK1 b - -,d7d6
3r4/3b1pk1/1R5p/p3p3/1b1p1p2/1P1B1P2/P3K1PP/3R4 w - -,b6b7
r1bq1rk1/p4ppp/1p1bpn2/8/3P4/2PB1N2/P3QPPP/R1B1R1K1 w - -,c1g5
8/8/1pbp1pp1/p3p1k1/PnP1P1P1/1PN1P1K1/2B5/8 w - -,c2d1
r4k2/ppq1np1p/4p1p1/3p4/2pPn1P1/2P1P2P/1PB2P2/RQ2K2R b KQ -,e4f6
8/8/3kn3/pb1p1pp1/3P4/P4P2/3N1P2/2N1K3 w - -,c1e2
1r6/1r2k1pp/1R1N4/2P1P3/1K6/8/5BbP/8 w - -,f2h4
r3Q1k1/pp3p1p/3p1qp1/2pPn3/Q3R1b1/8/P2b1PBP/1R4K1 b - -,a8e8
r1q1r3/pp1bp1kp/1n3pp1/4N3/2pPP3/2P4P/3QBPP1/2R1R1K1 w - -,e5g4
8/8/8/3nk3/8/p4rPP/2R2P2/2N1K3 b - -,d5c3
8/5k2/ppB3p1/2p3P1/P6P/1P3K2/5P2/4b3 b - -,e1d2
8/1p1k1p2/p4P2/5p2/3N4/P1K2P2/2P3br/4R3 b - -,h2h3
8/8/4Kpkp/1R6/7b/8/6P1/8 w - -,b5b4
r4rk1/pp1nppbp/2p2np1/q7/2pP1B2/2NBP2P/PP2QPP1/R4RK1 w - -,d3c4
r1br2k1/1p3pbp/p3p1p1/4p2n/5P2/2NP1N2/PP4PP/R1B2R1K w - -,f4e5
rn1qkb1r/1b1p1ppp/p3pn2/8/Np1NP3/6P1/PPP1QPBP/R1B1K2R b KQkq -,b8c6
rnbqk2r/ppp1p1bp/5np1/3p1p2/3P4/2N2NP1/PPP1PPBP/R1BQK2R w KQkq -,f3e5
8/4R1p1/4B3/p4P2/P2bk2p/7P/4K1r1/8 w - -,e2f1
3r4/1pk2pp1/3n3p/P1p4P/8/4NKP1/5P2/R7 b - -,c7c6
5qk1/pp1b1p1p/2pp3b/5p1Q/1PPP4/P2B1N2/6PP/6K1 b - -,h6e3
4r1k1/ppq2rp1/2nbpnNp/3p4/3P4/2B3N1/PP3PPP/1Q2RR1K w - -,f2f4
6k1/8/5Q2/p7/4K3/1P2PN1p/8/1q6 w - -,e4f4
4r1k1/1p3pp1/pB3b2/P2Rn2p/2P1P3/1P4Pq/3RQ2P/6K1 w - h6,b6d8
4r1k1/5pp1/1Np1qnn1/r1Pp1b1p/1N1Pp3/4P1P1/2Q2PBP/4RRK1 w - -,e1a1
2r5/5pk1/1Q2b3/4pB2/7K/5P2/5R1P/6r1 b - -,c8h8
r2q1rk1/pp3pp1/2n2n1p/8/3p3B/P7/1PP1BPPP/R2Q1RK1 b - -,g7g5
r5k1/2p3b1/3p1qr1/3Pp2Q/1P2Ppb1/p6P/P1R3P1/1NR3BK w - -,h3g4
r1bn1rk1/ppp1qppp/8/2pPp3/8/2R2NP1/PP2PPBP/3Q1RK1 w - -,d1c2
8/1n5k/p7/P4K1P/8/2B5/8/8 w - -,c3d2
R7/6r1/8/8/5k2/4p1p1/6K1/8 w - -,a8a4
r5k1/pp2bppp/8/4Pp2/5B2/P5P1/1P3P1P/3R2K1 b - -,g8f8
3Q3k/3n1r2/7p/3PqB2/2p1p1R1/6P1/7P/7K b - -,d7f8
8/1p6/p2k4/5bK1/8/3p2P1/PP1R3P/4r3 w - -,g5f5
q2r1bk1/5ppp/pnn1p3/2p3P1/2P1NP1N/2B1P2P/P3Q3/3R2K1 w - -,d1b1
r5k1/2p3p1/p1p1r3/1p4qp/1PN1Pp2/2BP1Nb1/P1P1Q1K1/R4R2 b - -,g5g4
1r2n3/pbn1prkp/1p1p1pp1/3N2q1/2PNPP2/1P4PP/PQ1R2BK/3R4 b - f3,g5h6
3q4/7K/8/8/8/8/kp3Q2/8 b - -,d8d7
8/8/8/3r1pK1/2k1pPp1/4P3/4R1P1/8 w - -,e2e1
3rR1k1/pp3pp1/2p4p/3n1n2/3P4/PB1R1N1P/1P3PP1/6K1 b - -,d8e8
4rrk1/pp1q3p/2p3p1/3pb2n/3N4/2P1BP2/PP1Q2PP/4RRK1 w - -,e3h6
r1bqk2r/1p3ppp/p1n1p3/2npP3/3N1P2/2N5/PPP3PP/R2QKB1R b KQkq -,e8g8
rnb1k2r/p2pppb1/5n1p/qppP2p1/2P5/2N3B1/PPQ1PPPP/R3KBNR w KQkq b6,g3e5
rn1qkbnr/1b1p1ppp/pp2p3/2p5/4P3/1PN2N2/PBPP1PPP/R2QKB1R w KQkq -,f1e2:d2d4
4rk2/p6p/1p1q2pP/3b1pQ1/1P1p4/P2P2PB/5P2/2R3K1 w - -,g5h4
5Qqk/p7/bp2p3/4P2P/5pB1/8/P5P1/6K1 w - -,f8f6
r2q1rk1/pp2ppb1/3p1np1/2pPn2p/2P1P3/2N1B2P/PP2BPP1/R2QK2R w KQ c6,f2f4
2b1qrk1/1pp1n3/3p1b2/4pppp/1PP5/2BP1NP1/2Q1PPBP/r4RK1 w - -,f1a1
5nk1/1p1r4/p6P/P3KQ2/1P6/8/8/8 b - -,d7f7
8/8/p1p1k1p1/2p4p/8/P1P1K2P/1P4P1/8 b - -,e6e5
5r1k/2Bq1Bb1/4Qnpp/8/6P1/7P/5PK1/8 w - -,e6d7
r4rk1/2p2p1p/p2q1pb1/1p6/1bNP4/6N1/PPB1RPPP/R2Q2K1 b - -,b5c4
8/8/1p6/k1p3KP/p1P5/R1P5/7r/8 b - -,h2g2
3rrbk1/1pqb1ppp/2pp4/p1n3P1/Pn1NPP2/2N1B2P/1PP2QB1/3RR1K1 b - -,d7c8
r1b1nrk1/1pb3pp/p1p2n2/2Pp1pq1/PP1P4/B1N1PR1P/2Q1B1PN/R6K w - -,b4b5
3r2k1/3bbppp/1n2p3/1p2P3/1Nn1NP2/P7/B3K1PP/2BR4 b - -,c4a3
r4rk1/1pp1bppp/p1nqpn2/5bB1/8/2NP1N2/PPP1BPPP/R2Q1RK1 w - -,g5h4
5q2/5p1k/1P4p1/8/1KN2PP1/1R5P/8/8 w - -,b4c3
7r/pp3pk1/8/4bp1b/1BB1p3/1P2PP2/P3K1P1/1R1R3r b - -,h5f3
r5k1/5pp1/3p4/8/2P2P2/N2R2P1/5K2/7b b - -,d6d5
5k2/1p3pp1/2p3rp/p3PP2/P2q4/1P1nR3/2P2Q1K/8 w - -,c2d3
1qrb1rk1/3n1ppp/ppbp1n2/4pP2/2P1P3/2N1B1P1/PP1NQ1BP/2R1R1K1 w - -,g3g4
7r/5k2/1p1p1ppb/1PpPp1n1/4P1P1/P4PR1/1P1B2K1/3B4 w - -,d2c3
1r1qnbkr/3n4/pp1p1p1p/2pPpNpP/2P1P1P1/P1N1BP2/1P1QK3/R6R w - -,e2f2
1rbqr1k1/5pp1/pb1p3p/1p1P2nN/P1p1Pp2/2P2N1P/1PB1QPP1/R3R1K1 b - -,c8f5
4k2r/r2qPp1n/2p2P2/1pPp2b1/pP5p/P4Q1B/1B3R1P/5R1K b - -,d7c7
r2rn1k1/pnq2pbp/1p4p1/2p1pPP1/4P1BN/N1Pb3P/PP3Q2/R1B1R1K1 w - -,f5g6
4b3/5kp1/4p3/3pP3/p2B1KP1/2P5/R1P5/1r6 b - -,f7e7
5rk1/1b1r1pb1/pqn1p1p1/1p2P2p/1P1P3P/P5P1/1N2NQBK/3R1R2 b - -,f8d8
r1bq1rk1/pp2npbp/6p1/1P6/3pP3/3P1N2/5PPP/RNBQR1K1 w - -,b1d2
8/3k1pNr/ppp1b2P/2p1p3/P3P3/1P1P1K2/2P5/7R b - -,d7e7
r1bqk1nr/3p1pbp/p1p1p1p1/8/4P3/6P1/PPP2PBP/RNBQ1RK1 w kq -,b1a3
r2q1rk1/pp1bbppp/2n5/1B1p4/3P4/5N2/PP3PPP/R1BQR1K1 w - -,c1d2
8/4B3/3PK3/8/8/2Rr2k1/8/8 b - -,d3c3
3r4/2q1np1k/p2b2pp/1ppPpb2/8/1PP2NPP/PB2QPBK/3R4 w - -,c3c4
6k1/5p2/4p1p1/4P1Qp/1p5P/1P6/P2q2PK/8 b - -,d2d4
8/8/5p2/8/6k1/7p/4P2K/8 b - -,f6f5
r1bqrnk1/1p3p2/2pb1n1p/p2p2p1/3P3B/P1NBPN1P/1PQ2PP1/1R3RK1 w - g6,h4g3
rn5k/1b1q1rpp/3p4/p1p2pnN/6P1/1P2PP2/PB4BP/2RQ1RK1 w - -,h2h4
r1bq1rk1/1p2ppbp/p1np1np1/8/3NP3/2N1B3/PPPQBPPP/R4RK1 w - -,f1d1
rnb2rk1/ppp1qpp1/4p2p/b2pP3/3P3P/P1NQ4/1PP1NPP1/R3KB1R b KQ h3,c7c5
8/8/1k1p2p1/2pP2B1/2P1p1P1/2b1P3/4K3/8 w - -,g5d8
8/8/K7/1p1k4/1P5B/2P5/1P6/5b2 w - -,a6b6
r2q2k1/p4pbp/1p2r1p1/3p4/3P4/1QP3P1/PB2PP1P/R3R1K1 w - -,c3c4
r2q1rk1/1b2ppbp/p1n3p1/1p1p4/PP1Pn3/3BPN2/2QBNPPP/R4RK1 b - a3,e4d6
2r2r1k/pb4pp/1p5q/2n2p2/2B1nN2/4PN1P/PP2QPP1/2RR2K1 w - -,f3e5
5rk1/1p4q1/p6p/P1PPrpbB/4p3/8/2R2PPP/3Q1RK1 b - -,f5f4
2r2rk1/2bn1pp1/p2q1n1p/1p1pNb2/PP1Pp3/1QN1P2P/1B2BPP1/2R2RK1 w - -,c3a2
5rk1/4ppb1/5np1/p3n1Bp/1qp1P2P/1B3P2/1PP2QP1/1K1R2R1 w - -,b3a2
1r3rk1/p1pqnpbp/3p2p1/2p2b2/2P5/1PN3P1/PB1QPPBP/R3R1K1 b - -,h7h5
2k5/6R1/8/1P1K4/7P/8/7r/8 w - -,g7h7
r1bqkb1r/1p1p1ppp/p1n1pn2/8/3NP3/3BB3/PPP2PPP/RN1Q1RK1 b kq -,f8e7
8/5pk1/6p1/4b3/2R3K1/6P1/7P/8 w - -,c4c5
5rr1/4q1k1/3pPp2/2pP1RpP/ppP3P1/3Q2K1/P4R2/8 b - -,g7h8
r5k1/p2n1pp1/1pb1p2p/2q5/3Q4/4PN2/PP2BPPP/5RK1 w - -,d4c5
r1bqk2r/ppp1bppp/4pn2/6B1/3P3P/5N2/PPP2PP1/R2QKB1R b KQkq h3,h7h6
5K1k/4R3/6PP/8/8/8/8/5r2 w - -,e7f7
8/1R6/6k1/5p2/5P1K/1p1r2P1/8/8 b - -,d3c3
r3q2k/pb1nb1rp/1p2p3/2ppPp2/3P4/PP1BPN1R/1BP1Q2P/R6K b - -,e8f7
8/1R3pkp/6p1/8/5P2/1K6/6r1/8 b - f3,g2g4
4r1k1/1R3p1p/3N1np1/P3p3/8/4b2P/6P1/5R1K b - -,e8e6
r3r1k1/1p1q1pb1/1npp1npp/1P6/P2NP3/B1N3P1/3R1PKP/3QR3 w - -,a3c1
6k1/5p2/5Bb1/3r4/p3p3/Pp6/1P3p2/K5R1 w - -,g1h1
r2qk2r/pp2bppp/2bp1n2/4p1B1/4P3/2N2N2/PPPQ1PPP/R3K2R w KQkq -,g5f6
r3r1k1/1b3p1p/p2B2p1/2PqPpb1/P2Q4/R2B4/5RPP/6K1 w - -,d4d5
8/R7/5pk1/6p1/5rP1/6K1/8/8 w - -,a7b7
r1br3k/3n1Bp1/p1pB3p/5p2/P3p3/4P3/5PPP/1RR3K1 w - -,d6e7
4r3/pppn2bk/2p1q1pB/2P1P3/1P2B3/P5P1/5PK1/2Q1R3 b - -,g7e5
6r1/1p6/p7/3r2kp/3n3N/2B4P/PP3P2/4RK2 w - -,c3d4
3q2k1/1b3ppp/1p6/p1bp1N2/3B1PP1/2P2Q2/PPKR3P/4r3 w - -,d4g7
2kr4/ppbq1p1p/2p2pr1/1P1np3/P1NP4/2P2Q1P/5PP1/1RB3RK b - -,e5e4
rn3r2/pp1qp1bk/2pp1npp/3P1b2/2P5/2N3P1/PP1BNPBP/R2Q1RK1 b - -,b8a6
r1br4/p1q1ppk1/5np1/1pp4p/3PN2P/5P2/PPPQB1P1/R4RK1 w - -,e4f6
2kr3r/pbppqpbp/1n4p1/2p1P3/2P2P2/2N5/PP1B1QPP/2KR1B1R w - -,c3b5
Q7/1KR5/8/6p1/6k1/8/8/r7 b - -,a1a8
r2q1rk1/pp1nbpp1/2p1p2p/3p1b2/2PPn3/PP3NP1/1B1NPPBP/R2Q1RK1 w - -,b3b4
2r3k1/p2bbrpp/4Nn2/qp1p2B1/2n5/PQP5/1PBN1PPP/2KRR3 w - -,e6f4
r2qk2r/ppp1bppp/2n5/3p3b/3P4/2PB1N1P/P1P2PP1/1RBQ1RK1 b kq -,a8b8
5rk1/1nq3pp/p2b3r/1p1bNp2/P1pP1P2/2P4P/2B1QRPK/2B3R1 w - -,a4b5
3q1r2/4nppk/5b1p/pp1Bp3/3pP1Q1/P2P3P/1P1B1PP1/2R3K1 w - -,d5b3
8/p1qn4/Q1p1p3/2Pp2kp/P2Pp1PN/4P1P1/5PK1/8 b - -,h5g4
4rrk1/ppp2ppp/1b1p1n2/q7/3PP3/2PBQ3/P2B1PPP/R4RK1 b - -,f6d5
1r2r2k/2p3pp/2p5/p1bppNpq/4P3/1PPP1NK1/P2Q1P2/R7 w - -,d2g5
6R1/8/8/8/4b3/4k1p1/4n3/5K2 b - -,e3f3
1r1qr1k1/1pbn1ppb/p2p1n1p/2pP4/P3PP1B/2N4P/1P1NB1P1/R2Q1RK1 b - f3,c7a5
r2q1rk1/1p1b1npp/p2pp1n1/5p2/2PQ4/2NBB1P1/PP3P1P/2KR3R w - -,h1e1
2bq1rk1/3nr1bp/pppp1ppn/4p3/PP1PP3/B1P1NN1P/2B2PP1/R2QR1K1 w - -,d1d2
r3rbk1/1bqn1p1p/1pp3p1/4p2n/1PP1P3/2N1B1PP/1Q1N1PB1/R2R2K1 w - -,a1a8
6k1/6b1/2b3q1/2p3Q1/1pP5/1P3N1P/2r3P1/2B1R1K1 b - -,g7d4
r2qk2r/ppp2ppp/3p1n2/2b1p3/2BnPP2/2NP1Q1P/PPP3P1/R1B1K2R w KQkq -,f3d1:f3g3
8/R4pkp/p3r1p1/1pBn4/5PP1/7P/PP6/6K1 b - -,d5f4
8/P6k/2q5/8/1p1p4/1P4P1/4b2K/Q7 b - -,e2a6
8/8/2bk2p1/2p2p1p/5P1P/NNb1K1P1/8/8 b - -,d6d5
r3r3/pp2P1bk/3p2pp/4p3/1P1n4/3Q4/P3BqPP/R1BR3K w - -,e2f1
6k1/5pp1/p2q4/2pr3p/4p2P/1PQbP1N1/P4PP1/2R3K1 b - -,d6e7:d6e6
8/8/3pk3/R3p1n1/6P1/2P2r2/1P2K1Nr/4R3 w - -,e1g1
2rr2k1/4bpp1/p1n1b2p/3p1p2/N2P3P/3NB1P1/PP3PK1/1RR5 b - -,c6b4
1r3k2/4b3/r2p1p1p/1p1Rp1p1/1P2P1P1/pKP2P2/P6P/3RB3 w - -,e1d2
2k5/1p2q3/8/2P2p2/1K4p1/6P1/3Q4/8 w - -,d2h6
4r2k/4r1bp/p2p2p1/PqpB1p2/3nPP2/1PB5/R5PP/3QR1K1 w - f6,d5c4
5rk1/1b2rp2/3p2pp/1BpP2Nn/4P2R/1P5P/2P3P1/3R2K1 w - -,g5f3
r2q1rk1/pp1bbppp/2nppn2/8/4P3/2N3P1/PPP1NPBP/R1BQ1RK1 w - -,b2b3
1k1r3r/ppbn1pp1/2p1pnb1/7p/3PPN2/1BN1BP2/PP4PP/2RR2K1 b - -,g6h7
r1br1nk1/p3n1p1/1p3q1p/3pN3/B1pP4/2P3B1/P2Q1PPP/4RRK1 b - -,a7a6
r1bqk2r/pp1p1ppp/1bn1pn2/8/4P3/1N3P2/PPP1B1PP/RNBQK2R w KQkq -,c1g5
3rr3/1pp2kp1/p4n2/1b4Bp/4p3/6P1/PP2PPBP/2K1R1R1 b - -,d8d5
2q2rk1/pb4pp/1p5r/3PN3/2P1QP2/7P/P4RP1/5RK1 b - -,b6b5
r2q2k1/1b2n1b1/p2B1rpp/P1P2p2/1p3N2/3B4/1P4PP/2RQ1RK1 w - -,d1b3
5k2/pp3r1p/2pR4/8/2r5/8/PP5P/6RK w - -,d6d8
r3kb1r/pp1qpppp/3p4/2pPn3/4n3/2P2N2/PP3PPP/RNBQR1K1 b kq -,e4f6
5k2/1bR2p2/1r6/1p3B2/1P2p3/p3P3/P4KP1/8 w - -,c7c5
6k1/pb3pp1/7p/2R5/8/4PNP1/PP1r1PKP/8 w - -,c5c8
6k1/7p/6p1/1R6/1p6/1Pr4P/6PK/8 w - -,b5b4
8/1k6/1P6/1r3p2/p1K5/P3B3/8/8 b - -,b5b3
rnbqk2r/p1p1bppp/4pn2/1p1p2B1/3P4/5NP1/PPP1PPBP/RN1QK2R w KQkq -,b1d2
6k1/1p5p/4pp2/r1b5/P7/6P1/2N2P1P/R4K2 b - -,g8f7
8/p6p/2p4k/2P1Q3/4K3/P7/1P1qp3/8 w - -,e5f6
r4r2/5pkp/pq2b1p1/2pn4/8/1Q3N2/PP2BPPP/R4RK1 b - -,a8b8
2q2bk1/5p1p/1p3Pp1/p1p1B1P1/P1P2P2/1PK2Q1P/8/8 w - -,h3h4
8/1p2B2p/p7/P2kpp2/1P6/4P3/5K1P/3b4 b - -,f5f4
r1q2rk1/2pnbppp/p2p4/1p1P4/P3Ppb1/1BP2N2/1P2QPPP/R2R1NK1 w - -,a4b5
4n3/3bqrk1/3p4/3Pp2p/1PP1Pp2/2N2P1P/5Q2/3BK2R b K -,g7h6
r4rk1/pb1n2pp/1ppqpn2/3p1p2/2PP4/1P3NP1/P2NPPBP/R1QR2K1 b - -,d6e7
8/5k2/4p3/4Pp2/2BK1Pp1/4P1Pn/7P/8 w - -,e3e4
3rkbnr/pp3p1p/1npqp1p1/4NbP1/3P1P2/2P5/PP2N1BP/R1BQ1RK1 w k -,a2a4
3q2k1/5br1/p6p/3p4/2pP1R2/4Q2P/P1B2PP1/6K1 w - -,e3e5
r4rk1/4bp1p/1qbp1np1/p1p1p3/2PnP2N/1P1QN1P1/P2B1PBP/RR4K1 w - -,e3c2
4rrk1/1bpqbppp/p1np1n2/1p2p3/4P3/PBNP1N1P/1PP2PP1/R1BQR1K1 w - -,c1d2
6R1/8/3B2k1/4p1p1/4PbK1/5P2/Pr6/8 b - -,g6f7
8/P1k5/3R4/2P5/8/3K4/8/3r4 w - -,d3c3
2n1R1N1/1pk5/p7/2p2p1N/2P5/8/PP1K4/6r1 b - -,c8d6
4k3/6pp/1p6/2pP4/2P2Q1P/6PK/P7/1q6 w - -,a2a4
5bk1/1p3p2/5P2/p2p2Pp/3P2pP/1P2B1n1/P1r2RB1/4K3 b - -,f8b4
r1b2rk1/pp2p2p/5pp1/q1nPN3/2B5/2P1P3/3Q1PPP/2R2RK1 w - -,e5f3
8/2b4p/2k3p1/1pB2pP1/p1b1pP2/P1P1K3/1P5P/7N w - -,c5d4
r3k2r/pbpp1ppp/np1Np3/7q/2PP4/4PPP1/PP1B2BP/R2QK2R b KQkq -,c7d6
8/r1q5/3p2pk/3Pp3/1Pp1Nb1p/2Q2P1P/6P1/1R5K b - -,a7b7
r1b1kb1r/pp1p1ppp/n1p2n2/8/2P5/2N2PP1/PP1BP2P/R3KBNR w KQkq -,g1h3
3r4/8/5pk1/1n5p/2R2P2/4NK2/P5PP/8 b - -,d8d2
r2q1rk1/1p2bppp/p1npbn2/3Np3/2P5/N5P1/PP2PPBP/R1BQ1RK1 w - -,c1e3
8/6k1/2p1p1b1/1pPpPpQp/1r1P3P/4P3/6PK/8 b - -,b4d4
2b2rk1/1p5p/3p2p1/4p3/2P3P1/r3qP2/2Q1B2P/1R3RK1 w - -,g1h1
2r2k2/4b3/4ppB1/Qp1b3P/8/P1P5/NP4q1/1K3R2 w - -,f1e1
rnb1kb1r/1p3ppp/1qp1p1n1/p2p4/NP1PP3/P3BP2/2P3PP/R2QKBNR b KQkq -,b6d8
2bqnrk1/3r1pbp/p1Np2p1/2pP4/8/2P1BB2/1P1Q1PPP/R3R1K1 b - -,d8c7
2q5/p4kp1/2r1p2p/4Pn1N/3pQ3/5P2/PB4R1/1K6 b - -,c8a6
5r2/1bk2pp1/p3p2p/2N1N1P1/2P4P/2K5/P4P2/8 b - -,b7c8
4r1k1/bpQ3pp/2p2pq1/p7/2P4r/1P2PbP1/PB6/3RRNK1 w - -,d1d8
r2qnrk1/1pp1ppbp/2n3p1/p3N3/3P4/PP4P1/1B2PPNP/R2Q1RK1 b - -,c6e5
8/2k1Qp2/4b1p1/3qN3/1P6/P1r5/5PP1/4R1K1 b - -,c7b6
r5k1/6p1/p3Rpbp/P7/4P2B/3K1P2/6PP/8 b - -,g6e8
r2q1rk1/ppp2pb1/2npbnpp/4p3/1PP5/P1NP1NP1/3BPPBP/R2Q1RK1 b - b3,d8d7
1Q1K1Q2/7k/6p1/7p/6qP/8/8/8 b - -,g4d4
r1bq1rk1/3nb1pp/4p3/3pP3/pppP2P1/4B2N/PPPQB2P/R4RK1 b - -,c8a6
