2B1R3/3P1k2/pb3p2/3K4/r7/8/8/8 w - -,d5c6
3R2B1/7p/1n2Pkp1/1p3p2/pP3P2/r7/7P/7K b - -,a3e3
8/6p1/1kn1p3/p2pP1p1/Pp1P2P1/1P2K2P/6B1/5r2 w - -,g2f1
r1q2rnk/4ppbp/p1b3p1/2p1P3/5P2/NN2B2P/P2RQ1P1/3R2K1 w - -,e3c5
8/1pk5/r5p1/3RK1Pp/p1P4P/8/8/8 w - -,d5d2
r2qr1k1/pp2p2p/2p3nb/3pPp1B/2nP1P2/2N1B2P/PPP3Q1/4RRK1 b - -,c4e3
2r3k1/1b4p1/1q2p2p/3pPp2/Rp1P4/1PrB4/2P1Q1PP/R6K w - -,e2f2
1r6/5k2/1n2qp2/1pb1p3/4P2B/1BP2PPr/3Q2K1/1N1R4 b - -,h3g3
r2q1rk1/pbn2pbp/1p1p1np1/2pP4/5B1N/PQN3P1/1P2PPBP/3R1RK1 b - -,f8e8
7r/pr4p1/3bkp2/3pp2p/1P2bPP1/2P1PN2/P3NK1P/R2R4 w - h6,f4e5
r4rk1/pbpqppbp/1pnp2p1/4P3/3PN3/1P3N1P/1PPQ1PPB/3RR1K1 w - -,h2f4
5rk1/5ppp/3p4/3qp3/1p1r2PP/7R/P3Q3/R5K1 b - -,d4d2
r3r1k1/4qppp/2p1bn2/pp2p3/2PPp1P1/P1Q1P2P/1P2BP2/1NKRR3 w - b6,c3c2
8/8/3k4/3Pp3/2R3p1/3PK1P1/1r3P2/8 b - -,d6d5
1r6/2Rbk3/p4p2/8/P2PN3/1p4P1/5KP1/8 w - -,e4c3
6B1/p7/8/2k2p2/3n1P2/8/5K2/8 b - -,c5b4
2kr3r/p3qpb1/2ppp2p/QB2n1p1/4P3/8/PPP1NPPP/3R1RK1 w - -,b5a6
rn1qk2r/4p1b1/p1ppb1p1/1p3n1p/3PQ2P/2N5/PPP2PP1/R1B1KB1R w KQkq -,e4e6
7k/5p1p/pp3q2/2p2P2/2PBp3/1P5P/P2Q2P1/7K b - -,f6d4
r1bq1rk1/pp4pp/2pb1n2/3p1p2/3P4/3BPN2/PPP1NQPP/R4RK1 w - -,f2h4
8/2k2p1p/8/1KN1P3/4N3/8/7P/4n3 b - -,e1f3
4rrk1/ppp2qpp/2p5/5b2/3P4/2P3Q1/PP3PPP/R1B2RK1 w - -,c1f4
r1bqr1k1/3n1pp1/p2p1b1p/1p6/1P1BP3/P6P/2BN1PP1/R2QR1K1 w - -,d2f1
2b2rk1/5pp1/p3p2p/8/1P6/8/P2N1PPP/R5K1 b - -,c8b7
2r1r1k1/2q2pbp/bp2pnp1/p2p2N1/5B1P/2P3PB/PPQ2P2/3RR1K1 b - -,c7c6
r3k2r/ppqnbppp/2p1pnN1/3p4/2PP4/2N1P2P/PP2BPP1/R1BQ1RK1 b kq -,h7g6
2K5/2P2k2/8/8/8/2r5/8/4R3 b - -,c3c2
r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/2PB1N2/PP1P1PPP/RNBQK2R b KQkq -,g7g6:d7d5
r2q1rk1/1b1nppbp/1p3np1/pP1p4/N2P4/4PN2/PB2BPPP/R2Q1RK1 b - -,a8c8
r2qk2r/pp3pbp/2n1b1p1/2pnp3/8/2NP2P1/PPN1PPBP/R1BQ1RK1 w kq -,c2e3:c3d5
r4rk1/4qpb1/1n1Np1p1/p1NnP2p/Pp2Q2P/3P4/1PR2PPB/R5K1 b - -,a8a7
2bb4/2p2p2/1pk3p1/p1p1P3/P1P1KPP1/1P2N3/1B6/8 b - -,c6d7
2bq4/4b1k1/4p1p1/1R2Pp1p/1P1p1P1P/1N1B2P1/2P2Q1K/r7 b - -,a1b1
r7/3b4/3p1k2/ppp1pP2/6p1/PPPB3r/5PK1/2R3R1 w - -,d3e4
r2qk2r/1p1bnpp1/pbn1p2p/1P1pP3/6PP/N1PB1N2/P3QP2/R1B1K2R b KQkq -,c6a5
r1nr1bk1/3n1pp1/p2pp2p/q1P4P/1B2NQ2/5NP1/P3PPK1/2RR4 b - -,a5a2
8/Q2b2k1/3P1pp1/p2Np3/Pp2n1P1/1P5q/4B3/4K3 b - -,h3g3
5rk1/1r6/3p3p/2pP2P1/6pP/1P1RP3/R7/6K1 w - -,g5h6
r1bqk2r/p4ppp/2p1pn2/3P4/1bP5/2NB4/PP3PPP/R1BQK2R b KQkq -,e6d5
3N4/5p2/p2p1p2/1p1P1b2/5P1k/P3K2P/1P6/8 b - -,f5h3
r1b1k1nr/1p3ppp/p7/3pn1P1/3N4/2P1BP2/P1P4P/2KR1B1R w kq -,d1e1
3r4/8/2p1k3/1pR5/1P4P1/5K2/2P5/8 b - -,d8d6
1q2r3/r5p1/p3Np2/kp6/8/1BQP4/P1P3PP/4R2K b - -,a5b6
8/p1r2k1p/1n2pp2/1Rb5/8/4N1P1/P2BKP1P/8 w - -,b5b2
r1bqk2r/pp1nbppp/5n2/2pp2B1/3P4/2P2N2/PP2BPPP/RN1Q1RK1 b kq -,e8g8
2B2rk1/2q1bppp/p7/6P1/1p6/4p3/PPPQ3P/2KR3R w - -,d2e3
3r1rk1/1pnq2bp/2ppn1p1/3Pp3/1PP5/2N1BPP1/3QN1KP/2R2R2 b - -,e6d4
3rnr1k/1p1Qn1b1/5pp1/p1p1p3/P3P3/2P1N1P1/1P4BP/R1B2RK1 b - -,d8d7
r3kb1r/ppqn1pp1/2p1pnbp/8/4P3/5NP1/PPPNQPBP/R1B1R1K1 b kq -,e6e5
r3k2r/pbqn1pp1/1ppbp2p/6B1/2PPB3/5N2/PP3PPP/R2QR1K1 w kq -,g5h4
r1bqr1k1/pp1n1ppp/2p2n2/3pp3/2P5/2Q1P1P1/PP1PNPBP/R1B2RK1 w - -,d2d3
6k1/3Np3/2Pn1qp1/3Ppb2/4B3/6QP/7K/8 b - -,f6f7
r1bqr1k1/ppp2pb1/3p1npp/2n5/2PNP3/2N3PP/PP3PB1/1RBQR1K1 b - -,c8d7
r2q2k1/pb3r1p/1n2p1p1/4b3/NP1p1P2/8/P3B1PP/2RQ1R1K w - -,f4e5
r1b1rbk1/1pp2ppp/p1p1n3/4P3/5P2/2N1BN2/PPP3PP/R2qR1K1 w - -,e1d1
r4rk1/pp2pp1p/1qp2npQ/6N1/2R3bP/3P1PP1/P3PKB1/7R w - -,e2e3
3r2k1/5p1p/p2p2p1/1b6/5BP1/2r4P/P4PB1/R5K1 b - -,d6d5
8/6kp/5pp1/7r/P1Q5/5PP1/5K1q/2R5 w - -,f2f1
r4rk1/1bq4p/3n1p2/3Pp1pP/1pp1P1P1/2N1QPN1/1P6/2R1K2R w K -,c3e2
r3r1k1/p5p1/3p1n2/1ppPpnN1/2P5/P1B1R3/1P3P1P/R5K1 w - -,e3f3
1nr1r1k1/pbqpbppp/1p2pB2/8/3P4/2PB1NN1/PP2QPPP/R3R1K1 b - -,e7f6
r5k1/6p1/7p/8/3Bp3/pbPn2P1/7P/R4BK1 w - -,f1g2
r3k3/pp1b1pp1/2B1p3/2p1P2r/3pN1np/3P1N2/PPP2PPP/R3R1K1 b q -,d7c6
r2q1rk1/1p1nbppp/2npb3/p2Np3/4P3/PN1BBP2/1PPQ2PP/3RK2R b K -,e6d5
r1bq1rk1/pp4b1/3p1nn1/1Pp1ppBp/2P3p1/2NP2P1/P3PPBP/1RQ1NRK1 w - -,c3d5
8/3Q2k1/5p2/7P/1pq3P1/8/6K1/8 b - -,c4f7
3R4/1pr3k1/p4Np1/6P1/1b6/4P3/4K3/8 b - -,b4e7
r2q1rk1/3nppbp/6p1/p1P5/p1pPBB2/4PN1P/4Q1P1/4K2R w K -,e2c4
8/6k1/5np1/5P2/4q1P1/8/1Q5K/8 b - -,g6g5
rn2r1k1/p4pbp/b2p2p1/q1pP2N1/4B3/2N4P/PP3PP1/R1BQK2R w KQ -,d1c2
r1bqr1k1/pp2bppp/4pn2/4N1B1/PnBP4/2N5/1P2QPPP/R2R2K1 b - -,f6d5:c8d7
r1bqr1k1/ppn2pbp/3p1np1/2pP4/4P3/2N4P/PP1NBPP1/R1BQ1RK1 w - -,d1c2:a2a4
8/1p2nk2/p7/P3P3/1P2Kp2/8/8/4N3 b - -,f7e6
r4rk1/1p1n1ppp/p1nqp3/3p1b2/N2P4/1Q2PN2/PP2BPPP/2R2RK1 b - -,a8b8
r2r2k1/pb1nqppp/1p2pN2/8/2Pp4/P4N2/1PQ1BPPP/3R1RK1 b - -,d7f6
rn1q1rk1/2pbbppp/p3p3/3nN3/Pp1P4/8/1PP1BPPP/RNBQ1RK1 w - -,b1d2
rnbq1rk1/1p2bppp/p2p1n2/3P4/3N4/2N4P/PP2BPP1/R1BQ1RK1 b - -,f8e8
4rbk1/p1pQ3p/R1p1rpp1/1p6/4q3/1P2B3/1PP2PPP/5RK1 w - -,c2c3
2b5/4qk1N/p5pQ/1p1p4/1P1P4/P6P/5PK1/8 w - -,h7g5
7r/3pk3/4p3/2rn1p2/1pN2P2/1P3KP1/2PR4/R7 w - -,a1e1
r1b2r1k/2p2qb1/3p1np1/pNpPpp1p/P1P1P2P/4BPP1/1PQ1B1K1/R6R w - -,a1f1
6k1/pp1Rp3/2p3pp/2P1N3/1n3rP1/1P5P/2b2PB1/6K1 b - -,c2b3
5k2/8/1r2R3/5K2/5P2/8/8/8 b - -,b6b4
2kr3r/pppqp1b1/1n1p2p1/3Pp1N1/2Pn4/3Q4/PP2NPPP/R1B1K2R w KQ -,e2d4
rnbq1rk1/1p3ppp/p4B2/4p3/4p3/1NPB4/P1P2PPP/R2Q1RK1 b - -,d8f6
4r1k1/5pbp/r2p2p1/p1p5/4P3/5P2/PP4PP/R1B2R1K w - -,a1b1
1r1r2k1/1b2bppp/pq2p3/1ppnP3/4NP2/2P3P1/PP1BQ1BP/R4R1K w - -,f4f5
3k1r2/p1pr3p/1b3p2/1b2pN1Q/1q2N3/4P1PK/1PnP1PBP/2B4R b - -,b5d3
2k5/pp4p1/2p1r3/6Pp/1P1p2q1/P1N1n3/4RQ2/6KR w - -,g1h2
8/8/8/R4pp1/1p3k1p/5P1P/1r2KP2/8 w - -,e2f1
1r3rk1/p3pp1N/3p1nPQ/2pP4/8/5KP1/q4P2/2RR4 b - -,b8b3
2r1kb1r/5p1p/2p1pnp1/3pN3/pP1P4/8/1PbN1PPP/R1B1R1K1 w k -,d2f3
1q2b1k1/p4pp1/4pn1p/1p1n4/4P3/1P4P1/1B3PBP/2Q1N1K1 b - -,d5b4
r1b2rk1/1p2bppp/p3pn2/q7/2PN4/4B3/PPQ1BPPP/1K1R3R w - -,g2g4
8/1b2pp2/3p1kpp/P7/5PP1/3PK3/3N3P/8 b - -,f6e6
5rk1/6p1/p2qprp1/1p1pR3/5P2/P1P1Q1P1/1P5P/4R1K1 b - -,f8e8
3rqrk1/3np2p/pNp3p1/2P5/1Q3Pp1/8/PP4PP/3R1RK1 w - -,b4c4
1rb3k1/4ppbp/3p2p1/2pPn3/8/rPN3PP/P3PPB1/1RB1R1K1 b - -,a3a8
8/7p/3k1pp1/1n1p4/3P2P1/K4PNP/8/8 w - -,a3b2
r3k1nr/pp1qnpbp/2pp2p1/3Pp3/P3P3/2PBBQ1P/1P1N1PP1/R3K2R b KQkq a3,h7h5
r4rk1/p3bppp/1qp1bn2/3p4/Q2P4/1N1B4/PP3PPP/R1B1R1K1 b - -,e7b4
2rr2k1/pq3ppp/3pp1n1/1Pp3N1/2P4P/6P1/P1Q1PP2/1R1R2K1 b - h3,b7e7
r2r3k/p4pbp/3p4/2q2p2/Q4B2/6RP/P4PP1/3R2K1 w - -,f4e3
r1bqk2r/pp3pp1/2n1p3/3pPn1p/6Q1/P1B2N2/1PP2PPP/R3KB1R w KQkq h6,g4f4
3rr1k1/1bq1bppp/p1n1p3/4P3/3p1PP1/1P2Q3/PB4BP/3RR1NK w - -,e3h3
2r3k1/5pbp/2p1b1p1/q3p3/3rP3/2N1Q3/PPP1B1PP/3R1RK1 w - -,a2a3
2rr2k1/pp1qbppp/2nppn2/8/3NP3/1PP2N2/PB2QPPP/R4RK1 b - -,c6d4
r4rk1/1p2bpp1/p1n4p/3bp3/P7/4BN1P/1PP1BPP1/R2R2K1 b - -,d5e6
8/5k2/5P1p/4P3/4K1BP/p7/P2b4/8 b - -,d2b4
5r2/8/8/1K4p1/1PR3P1/5k2/8/8 w - -,b5c5
4QQ2/7k/p3p3/1p4r1/6p1/2K5/PPP4r/8 b - -,h2h3
3q1k1r/4rppp/p1Pp1n2/2b5/1p3Bb1/6P1/PPPQ1PBP/R3R1K1 w - -,a2a3
r1b2rk1/p3bppp/1qp1p3/3n4/2BPN3/1Q2B3/PP3PPP/R4RK1 b - -,c8a6
1k5R/pp6/6r1/3pppP1/2p1b3/P3R3/1P5P/6K1 b - -,b8c7
8/5p1p/4k1p1/Rpr5/8/1Pb5/6PP/3R2K1 w - -,a5a6
4rn2/p5kp/1p4p1/3pPbP1/3P4/2P1K1Q1/Pq6/4R2R w - -,e1c1
4R3/4kp2/6p1/PBr4p/1b2PP2/7P/4K3/8 b - -,e7f6
8/6r1/p3k1P1/1p2PpR1/4b3/1PK1B3/P6r/6R1 b - -,a6a5
1r4k1/p1q1npbp/brn1p1p1/2ppP3/5B2/P1PP1NP1/R1QN1PBP/4R1K1 w - -,d2f1
4r1k1/pp1r3p/2nq1pp1/5p2/1P1P1P2/P3BK2/3Q2PP/R2R4 b - -,d6d5
8/5k2/5p1p/2R3b1/8/8/4K1P1/8 b - -,f7g6
1r5k/1r4p1/p7/4QP2/3NP1qp/2PP2Pb/R6P/4R1K1 w - -,a2a6
1k1r1b1r/pppq1ppp/3p1n2/nB6/4PB2/2NP3P/PPP1Q1P1/2KR3R b - -,c7c6
1rb1k2r/2qnbppp/p2ppn2/3N2B1/1p1NPP2/3B2Q1/PPP3PP/2KRR3 b k -,f6d5
r3r1k1/1bqnbp1p/pp1pp1p1/6Pn/P3PP2/1NNBB3/1PP2Q1P/4RRK1 b - -,e7d8
7r/pp2npp1/2pkp1p1/6P1/3P3P/3K4/PP3P2/3R3R b - -,e7f5
4r1k1/2q2pbp/p1N1bnp1/1PB1p3/1P1pP3/3B4/P4PPP/R1Q3K1 w - -,c6a5
8/8/8/5p2/4k3/3R4/8/5K2 b - -,e4d3
r3r1k1/1pqn1ppp/2p2n2/p1b1p3/2P1P3/1PB2BPP/P1Q2P2/RN1R2K1 w - a6,c2b2
1rr3k1/2q2ppp/3pp3/6b1/2P1Pn2/1P5P/PB1Q1PP1/RN3RK1 w - -,d2d1
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/P1N2N2/1PQ1PPPP/R1B1KB1R b KQkq -,e8g8:d7d5
8/1k1K4/8/2P5/8/8/8/8 w - -,c5c6
8/p4N1k/5ppP/1pK5/1P4n1/8/P1P5/8 b - -,g4h6
rn2kb1r/ppq2pp1/2p2n1p/4p3/4P1b1/1BN2N2/PPP1QPPP/R1BR2K1 b kq -,b8d7
8/5p2/3kpp1p/p1b5/8/4N1P1/PP2KP1P/8 b - -,d6c6
r3r1k1/p3ppbp/2p3p1/P2p1bB1/1q1P4/6P1/P3PPBP/2RQR1K1 w - -,c1c6
8/2pb2k1/1P3n1r/p2p2p1/3Pp1P1/P1P1P2r/4B1R1/2K2RB1 b - -,c7b6
R7/8/4n1p1/4k3/p1P2p1P/4bK2/P7/8 w - -,f3g4
2r1r2k/1bq1bppp/p2p1n2/1pn1pP2/4P3/PNNBB2Q/1PP3PP/3R1RK1 w - -,b3c5
1qrb1rk1/nb3ppp/3ppn2/ppp5/1PP5/P1BPPN2/3NBPPP/QR3RK1 b - -,c5b4
r1b1r1k1/pp3pbp/2pp1np1/2n2P2/Pq1NP3/2NBBQ2/1PP3PP/R4R1K w - -,g2g4
4Q3/8/1p6/p1q2kp1/P6p/7P/6P1/7K w - -,e8e1
8/2b5/5p2/1p6/1k2P3/p7/B1K2P2/8 b - -,c7b6
4R3/3r1b1p/1k3p1N/p1pp3P/5PP1/1PP5/PK1R4/8 b - -,f7e8
2B5/2b5/8/5pp1/5k1p/5P1P/5PK1/8 b - -,c7b6
4r1k1/3q2n1/3p2p1/1p1P4/4RPP1/6K1/4Q3/5B2 b - -,b5b4
6k1/5pp1/7p/p5r1/1p5r/1RPRPP1P/P2K2P1/8 w - -,g2g4
8/4k3/R3n3/6p1/6P1/2K5/1R6/4r3 b - -,e1e4
6k1/1p3pb1/4q1p1/7p/pN4b1/P1P1PBQ1/1P2R1KP/3r4 w - h6,f3g4
2k3rr/pbqnb3/1pn1p1pp/2p1P3/2PpNB2/3P1NP1/PP2QPB1/R3R1K1 b - -,b7a6
r1b1k1nr/ppp2ppp/2n5/3q4/3p4/2B1P3/PP2NPPP/R2QKB1R b KQkq -,g8f6:c8g4:g8e7
r4rk1/3nppbp/bq1p1np1/2pP4/8/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f1d1
7Q/2p1nk1p/1pq3p1/p3Pp2/2P2P2/1PK1B1P1/7P/8 b - -,h7h5
8/3Q1pk1/3p2r1/2P1p3/4P3/5P2/1r6/7K w - -,c5c6
rnbqk2r/pp2bppp/3ppn2/2pP4/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e4
1r2b1k1/br4p1/3q1p1p/1p1Pp2P/pP2P1P1/R1PB1R1K/3B4/5Q2 b - -,e8d7
2rr1k2/1p3pp1/pq3n1p/3P4/2bp4/P2N1BbP/1PP2PP1/1Q1R1RK1 w - -,f2g3
5r1k/p4qp1/2p4p/8/4QP2/8/PPP5/1K1R4 w - -,e4c6
r2r1bk1/pppq3p/1nn1pPp1/1Q1b4/3PN3/2N1B2P/PP2BPP1/3R1RK1 b - -,a7a6
8/8/7k/R6P/6p1/7r/6K1/8 w - -,a5b5
8/8/5pk1/8/5PP1/3R4/5K2/r7 b - -,a1a4
3r1rk1/5ppp/p4b2/1pq5/5B2/2P1QP1P/PP3P2/R3R1K1 b - -,c5c8
r2r2k1/1b1nbppp/p3pn2/1p6/1P6/P2BPN2/1B1NKPPP/R6R w - -,d2b3
8/6bk/2R4p/2p3p1/2P1n3/3NP1P1/4P2P/6K1 w - -,d3c5
2brr3/1pq2pkp/2p2pp1/p1Nn4/P2P4/1BP2P2/1P1Q2PP/R3R1K1 w - -,b3d5
rn2kb1r/1q3ppp/p3p3/1ppn4/5B2/2NQPN2/PP3PPP/R4RK1 w kq -,c3d5
r3r1k1/5p2/p1pq2p1/1p5p/3pPp2/1P1P2PP/P1P1Q3/R4RK1 w - -,f1f4
rn1qkb1r/pb1ppp1p/1p3np1/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq d3,c5d4
r1bqnr1k/pp2n1p1/1bp2p1p/3pP3/3P3B/2NB1N2/PP1Q1PPP/R3R1K1 w - -,b2b4
2r5/5kpp/p4p2/1bp5/5N2/1PK3P1/5P1P/4R3 b - -,c8d8
6r1/8/1R1kN1r1/3B1p1p/2P4P/6P1/1P5K/8 b - -,d6e5
1k5r/1p1b1pp1/1P1qpn1p/4b3/8/2P1B2P/1P2QPP1/R2B3K w - -,b2b4
r2q1rk1/1pp2pb1/p2p1np1/P2bn1Np/4P2P/4BP2/1PP1B1P1/R2QK2R w KQ -,e4d5
2r2rk1/2q1ppbp/pnp2np1/1p6/3PP3/2N1B2P/PPQ1BPP1/2RR2K1 b - -,e7e6
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,b8d7:f8e7:h7h6
5n2/5pk1/3P2p1/6Pp/5r2/7P/p5BK/R7 b - -,f4f2
1rb2rk1/p1q1nppp/3p1n2/4p3/2p5/PP4P1/2NQPPBP/R1B1K2R w KQ -,b3c4
8/8/p1bkpp1p/2N3p1/1PPK1P2/6P1/P6P/8 b - -,a6a5
r1b2rk1/p4ppp/4pn2/2q5/2p5/N3B1P1/PP2PP1P/R2Q1RK1 b - -,c5h5
r2q1rk1/pp2ppbp/3p1n2/2p2p2/3nP2Q/2NP1P2/PPP4P/R1BB1RK1 w - -,g1h1
4k2B/8/1p4K1/5p2/5P1P/1P6/P7/8 b - -,e8f8
rnb1k2r/pp2ppbp/1q1p1np1/2p5/3P1B2/4PN2/PPP1BPPP/RNQ1K2R w KQkq -,h2h3
2b2rk1/4pp2/1n1p2qp/2pP2p1/4N3/1P3NP1/1Q3PBP/5RK1 b - -,g6e4
8/4Qppk/4p3/8/5q1p/8/6K1/8 w - -,e7a3
r2qr3/3b1pkn/pp1p1bpp/2pPn3/1PP1PN2/P1N1B1PP/4BQK1/2R2R2 b - -,a8c8
r4rk1/1b1p1ppp/p4n2/4q3/1b6/1NPBR3/PP1Q1PPP/2KR4 b - -,e5c7
r1bq1rk1/ppp2p1p/2n3pb/2Q5/8/2B2P2/PPP3PP/2KR1BNR w - -,c3d2
r7/8/P7/2p1k1pp/8/7P/6P1/5RK1 w - -,f1a1
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,g8f6:c8g4
5r1k/p2n2pp/1r6/4p3/1P6/P1Pb1P1P/5Q2/RNq2NKR b - -,d3b1
rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/6P1/PPP2P1P/RNBQKB1R w KQkq -,f1g2
1rb2rk1/5pp1/p2qp2p/1p6/2P5/2Q3P1/PP2PPBP/2R2RK1 b - -,b5c4
r4rk1/pp1n1pp1/2p1p2p/3p4/1qPPP3/1P1Q1N1P/P4PP1/2R2RK1 b - -,d5e4
2rr2k1/pn1nqppp/b3p3/P1b1P3/1pP5/5NP1/1B1NQPBP/2R2RK1 w - -,c1a1
r6r/pp1k1pp1/2p1pn1p/q6P/2BPb1P1/P1b4R/1PPB1P2/R2QK3 w Q -,d2c3
r3k1nr/ppq2ppp/2nBp1b1/3p4/3P4/2PB1P2/PP1QN1PP/RN3RK1 b kq -,c7d6
3r1rk1/2p3b1/ppn2q1p/5p2/2P1pQ2/P1N1B2P/1P3PP1/3R1RK1 b - -,c6e5
3r2k1/1p2qpp1/2p2n1p/p2rb3/7Q/PN2P3/1PB2PPP/2RR2K1 w - -,d1d5
r5k1/bp1q1pp1/2N2nbp/3p4/p4BP1/1NP2P2/PP1Q2BP/4R2K b - -,b7c6
3r4/2R3pp/3pk3/3npp2/1p6/1P3PP1/PB1RPK1P/8 b - -,d5c7
r1b1k2r/pp1pppbp/2n2np1/2q5/2P5/5NP1/PP1BPPBP/RN1Q1RK1 w kq -,b1a3
3r2k1/p5pp/1p3p2/8/P3P3/Rn3N2/2r2PPP/4R1K1 b - -,b3d2
1k2r3/1n3p2/p5p1/1p2q1P1/8/P1R2Q2/1PP1r3/1K1R4 b - -,e2e1
2r5/5k1p/6p1/1B1p4/Pnp4P/4bP2/5P2/2R2K2 w - -,f2e3
r3r1k1/ppp2ppp/6n1/1b1P4/3qB3/5N1P/PPQ2PP1/4RRK1 b - -,d4f6
r2qr1k1/pp2npb1/2p1pnp1/3p3p/4PB1P/P2P2P1/1PP1QPB1/R2N1R1K w - -,c2c3
5r2/2B1Qpbk/6p1/3q3p/7P/1r4P1/4PP2/2R2RK1 w - -,c7f4
rnbq1rk1/pp2p1b1/2pp1npp/5p2/2PP1B2/2N1PN2/PP2BPPP/R2Q1RK1 w - -,h2h3
r7/1Q2npkp/6p1/2Np4/p1qP4/4P2P/5PP1/R5K1 b - -,c4c3
8/8/2B5/5kp1/P7/2b3P1/6KP/8 w - -,g2f3
6Q1/8/pr1P1k2/1p6/1P1R4/P3q2P/8/5R1K b - -,f6e5
r3kb1r/qp3p2/p1npbn1p/P1p3p1/1P2P3/2PP1NQP/6P1/RN1BK1BR w KQkq -,d1a4
