2r5/2r2kp1/7p/4P3/8/nNBR4/2P4P/2K5 w - -,e5e6
3R4/2p1rB2/1p3kP1/pP1Pp3/P3P1K1/4b3/8/8 w - -,d5d6
8/8/4k3/3p1n2/B4K2/8/1B6/8 b - -,f5d6
r1bQ1rk1/1pp1bpp1/p4n1p/P3p3/2B1P3/2N5/1PP2PPP/R1B1R1K1 b - -,f8d8
r1b1r3/1pp1nk1p/3p2p1/p7/2P1PP1P/PPBB4/5K2/R5R1 b - -,e8g8
1kbr3r/1pq2p1p/p1n1pQ2/5p2/5P2/1NP3P1/PKP1B2P/3R3R b - -,c7e7
1rbqk2r/pp2npb1/2npp1p1/2p4p/4P2P/2PP1NP1/PP2QPB1/RNB2RK1 w k -,c1e3
2r1kb1r/1bq2pp1/p1p1p2p/1p2P3/4P3/PQ4P1/1P1NBPP1/R3K2R w KQk -,f2f4
2q1rnk1/1r3ppp/3b1n2/2Np4/3Pp3/P1B1P2b/R1Q1BPP1/5RK1 w - -,c5b7
2r2rk1/pq2bp1p/2p1p1p1/3n4/1P1PQ3/P2BB3/5PPP/2R2RK1 w - -,e3d2
1R6/5pk1/4p3/2p4p/4PPp1/4b1P1/7P/5K2 w - -,b8b3
8/pp4r1/2p2nr1/1PP1kp1p/4p2P/PR2P1P1/4BK2/6R1 w - -,b5c6
3rq3/1R6/p1p3k1/2Pp3p/P2Pp3/4PpPQ/5P1K/8 w - -,h3h4
r1bq1rk1/1p2bppp/p2p1n2/2n1p3/1P2P3/2NB1N2/P1P2PPP/R1BQ1RK1 b - b3,c5d3
r3kb1r/pp1np1pB/2p1pn1p/q2p3P/3P4/2P3N1/PP3PP1/RNBQK2R b KQkq -,h8h7
b1r2r1k/2qnbppp/p2ppn2/1p6/4PP2/PNN1BBQ1/1PP3PP/3R1RK1 w - -,g1h1
8/2k5/p2pp1p1/1pP1p1Pp/1P2P2P/2P1P3/P1K5/8 b - -,d6c5
3qrbk1/1b1r1p1p/ppnpp1p1/3n4/P1NP4/1QP2N1P/1P3PPB/3RRBK1 w - -,f1e2
1r3rk1/p2b1p2/2np1bpp/1qp1p3/4P3/1BPP1N2/1P1N1PPP/R2QR1K1 w - -,d1c2
8/3R1bk1/8/2n5/5K2/8/8/2B5 w - -,d7d6
r2q1rk1/1b1nbppp/p3pn2/1pp5/3P4/1PNBPN2/PB2QPPP/R2R2K1 b - -,d8b6
1r6/n1k2p2/3Rp1p1/4P1Pp/1p2NP1P/P7/KPP5/8 w - -,e4c5
6k1/4Bp1p/6p1/6R1/8/2P2P2/1P2K3/5rb1 b - -,f1f2
8/1R6/p4k1p/r1p5/8/P1P3P1/1P3K2/8 w - -,f2e3
8/b7/4B3/7R/1k5P/3P1K2/7r/8 b - -,a7f2
8/8/1p6/p5p1/P4p1p/1P1R2kP/8/5K2 b - -,f4f3
1r4k1/5ppp/P7/2N3P1/3p1P2/4p2P/8/3R2K1 w - -,a6a7
4B3/8/7p/6pP/3n1k2/4P3/8/5K2 b - -,f4e3
r2q1rk1/4bppp/2pp1n2/pp2p3/P3PP2/1nNPB2P/1PP2QP1/R4RK1 w - -,c2b3
r1b1r1k1/1p2qppp/p2b1nn1/3p4/8/PP2PN2/1B1N1PPP/R2QRBK1 b - -,c8g4
4n1k1/p4p2/1p2b1pp/2p1P3/2P1N3/1P3B1P/P5P1/3K4 w - -,e4c3
r1b3rk/pp3B2/q4p1p/2Bp2p1/2pP4/2Q1PP2/6PP/2R2RK1 b - -,g8d8
8/2R4p/2P1p3/3p1k2/2r5/4K3/6PP/8 b - -,h7h6
1r4k1/p5pn/6q1/1B1p4/3P4/1P6/P3QB1K/8 b - -,b8f8
8/3N1pk1/1p4p1/p2Q1n2/P7/2q4P/1r4P1/3R2K1 w - -,d1f1
1r3nk1/1bR3pp/1p1pp2q/p6r/PP1NPP2/4Q1NP/6P1/5RK1 b - -,h5h4
r2q1rk1/pp1nppbp/3p1np1/2pP4/4PB2/2N2B1P/PPP2PP1/R2Q1RK1 b - -,a7a6
r6k/7p/p4pr1/1p6/4R3/8/PPP4P/1K3R2 b - -,a8d8
1nqr3r/5kbp/1pb3p1/3p1pPP/1B1P1P2/P2BPN1R/5K2/1Q5R b - -,h8g8
rn1q1rk1/pp2bppb/2p1pn1p/3p4/4P3/3P2P1/PPPNQPBP/R1B1NRK1 b - -,a7a5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq d3,e8g8:c7c5
rnbqk2r/pp1n1ppp/4p3/2p1P3/1bP5/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,b8c6
r4rk1/3pppbp/1pn3p1/7n/2b1P3/1NN3P1/PP3PBP/R1BR2K1 w - -,b3d2
r3r1k1/1pq2p1p/p2p2pB/Pb1Pb2n/4P3/N1p5/1P1Q1PPP/R3RBK1 w - -,b2c3
r2q1rk1/1p2ppbp/n1p3pn/p2p4/P3PPb1/3P1NP1/1PP1Q1BP/RNB2RK1 b - -,d5e4
3r1rk1/pp2ppb1/2p3p1/q1N1P2p/2PP2bP/3BQ3/PP6/1K1R3R w - -,c5b7
1r1qbrk1/6bp/pN1p4/P2Pp1n1/P3Ppp1/R7/2QB1PPP/4NRK1 w - -,f2f3
5rk1/1p4qb/r3pn2/ppPpNP2/3P1Pp1/P2BP3/2Q5/R3K1R1 w Q -,f5e6
5k2/R7/4pP2/3pP2p/8/7P/3K4/6r1 w - -,a7e7
r6r/p3npbp/2k3p1/3pp3/8/N1P1B3/PP3PPP/2KR3R w - -,a3c2
r3qrk1/1pp1pp1p/p1n3p1/8/2B3b1/2P2N2/P1P1QPPP/R2R2K1 w - -,a1b1
4r3/5prk/p1RP2np/4bQq1/4B1N1/5P2/P6P/3R3K w - -,f5g5
1b1rr1k1/1p1b1ppp/p2q2n1/3p4/1P1Bn3/P3PN1P/1Q1N1PP1/R3RBK1 w - -,g2g3
1nk3rr/1ppbqp2/p2p4/3Pp2n/1P2P1pp/2P1N3/P1B2PPP/R2QRNK1 w - -,g2g3
r4k1r/pp4p1/1b4p1/3p1p2/1R3P2/8/PPPB2PP/2K4R b - -,a8d8
r2r2k1/pp4b1/1np3pp/5p2/P3p2P/2P3PN/1P2PPB1/2R1R1K1 w - -,a4a5
r2qk2r/3nppb1/1np1b1pp/1p2P3/3PN3/2P2N2/PBB3PP/R3QR1K w kq -,b2c1
2r1rk2/4qnbp/1p1p1pp1/pPpR4/P1Q1P3/1P4PP/1B3PBK/3R4 b - -,c8d8
rn1q1rk1/ppp3bp/3p2p1/1P1P1n2/3P1p2/2Q1PN1P/P4PB1/R1B1K2R b KQ -,f4e3
r4bk1/5ppp/r1qp4/2p1p3/2Q1P3/1P5P/1RPB1PP1/1R4K1 b - -,a6a1
r1b1k2r/p3qpb1/2p4p/B2p2p1/4n3/2P5/PP2QPPP/RN2KB1R b KQkq -,a8b8
1rbqrnk1/pp2pp1p/2p2npb/4N3/2PP4/2N1P1P1/PB3PBP/2RQ1RK1 b - -,f6d7
4k1nr/1p1bbpp1/p2pp3/q5P1/4P1Q1/2P1B2P/P1P5/2KR1BR1 b k -,e6e5
r2r2k1/pb3pp1/1p2p2p/4q1b1/8/2PB2N1/PPQR1PPP/3R2K1 w - -,d3h7
8/8/3q4/8/1R6/2R3P1/1K4k1/8 w - -,b4c4
8/8/3p1p1p/rPkB1P2/P1P1P1P1/1K5P/8/8 w - -,h3h4
r1b1kbnr/pp1p1ppp/1qn1p3/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,c6d4:a7a6:g8e7
8/5pp1/7p/2k4P/2p1BnP1/1pPn2K1/rP6/1R1N4 w - -,g3f3
1qr1kr2/1b1nppb1/pp1p3p/7Q/3pP2p/NBP4P/PP3PPN/R3R1K1 w - -,c3d4
3r1rk1/pppqb1pp/1n2bp2/4p3/3nN3/P2PBNP1/1P2PPBP/2R1QRK1 b - -,d4b3
8/5p2/p5p1/Pp2k2P/1P1p2P1/3K1p2/8/8 b - -,g6h5
1R6/4k1p1/7p/8/6P1/5K2/1p3P2/1r6 w - -,b8b7
2r3k1/1p3pb1/p1b1p1pp/q3P3/1B1QNn2/5N1P/PP4r1/3RR2K b - -,a5a2
rn1qkb1r/ppp2ppp/4pn2/3p4/3P1P2/6P1/PPP2PBP/RNBQ1RK1 b kq -,f8e7
1r1q1rk1/1b1nbppp/p2pp3/1p6/3RPPPP/P1N1B3/1PP1Q1B1/2K4R b - -,b8c8
r2q1rk1/ppnb1pbp/3p1np1/2pPp1B1/2P1P2P/2N2P2/PP1QB1P1/R3K1NR w KQ -,g2g4
4k3/R3p3/1p2r3/2p1P1BP/6K1/1r1b4/5R2/8 b - -,c5c4
6k1/2r2p2/pQ2p2p/3p1np1/2qP4/4PP2/PP1RNKPP/8 b - -,c7c6
8/5p1p/p3pp2/2k5/R1b5/Pr2KP1P/4N1P1/8 w - -,e3d2
r3kbr1/1p1n1ppp/p3p1b1/8/P1BBP3/2N2P2/1P4PP/2R1K2R w Kq -,h2h4
2bq4/5k2/p6p/npBp2p1/3Pp3/2P1P1PP/6K1/4Q1N1 b - -,a5c4
r3qrk1/2p1npp1/p3b2p/1pn1P1P1/3N3Q/2NB3P/PPP5/1K1RR3 b - -,c5d3
r1r2k2/1p2bpp1/4p2p/PBp4n/RnPp4/1N3PBP/1P1R1PP1/6K1 w - -,g3h2
8/R7/5kp1/P1K2b2/7r/2R5/8/8 b - -,h4e4
7k/1p4p1/p3p1B1/1b4P1/1qP4P/6b1/2QBK3/1R6 b - -,b5c4
r5k1/1q2bp2/3p2pp/1pn1p3/4P3/1PQ2NP1/1BP1RP1P/6K1 w - -,c3e3
r6k/1b1nq1pp/1N2pb2/3p4/2r2P2/1N2B3/PPPQ2PP/1K1RR3 b - -,d7b6
r4rk1/pppqb1pp/1n2bp2/4p3/1P1n4/P1NP1NP1/2Q1PPBP/1RB2RK1 w - -,f3d4
8/p3pbk1/3p1q2/p2P4/5P2/P1Q1NK2/1P6/8 w - -,e3f5
rnbqkbnr/pp2pppp/8/2pp4/3P1P2/4P3/PPP3PP/RNBQKBNR b KQkq -,g8f6
5k2/p7/1pN2Q1p/1P1p4/P2P1bP1/6qP/4K3/8 b - -,f8g8
5k2/5p1p/8/pBR5/4P3/6K1/P2r3n/8 w - -,a2a4
4r1k1/5qp1/pp5p/2bb4/P1pN4/4B2N/2P2QPP/7K w - -,h3f4
r1b1kb1r/pp3ppp/1q2p3/3n4/3P4/2N5/PP2BPPP/R1BQ1RK1 b kq -,d5c3
r4rk1/2pq3p/1p1p2pb/p2Pp3/2P1N3/PPQ2PP1/2R2RKP/8 w - -,b3b4
8/p7/4kpp1/4b3/R5P1/4B1r1/4K3/8 b - -,g3g2
3rkr2/p3np1Q/q1p1p3/2P1P3/3N4/P5P1/5PKP/R2R4 b - -,a6c4
2r3k1/R3ppbp/8/3p1qp1/2nPnB2/1QN2NP1/1PP2P1P/6K1 w - -,c3e4
2r3k1/pp2pp1p/2B2b2/1NP2p2/1P6/2P3PP/P4P2/3R2K1 b - -,b7c6
3r2k1/p5pp/1p6/6P1/4PP2/P1Nn4/1PK4P/2B5 w - -,c3d5
1r4k1/3rbppp/bqp1p3/ppp1P3/P1P1N2P/1P1P1N2/2Q2PP1/1R2R1K1 b - h3,b8d8
2r2r1k/p3bppp/b3pn1q/2p5/2P2P2/2B3QP/PPBN2P1/4RRK1 b - f3,f6h5
r1bqrbk1/1p4p1/2n2nQB/p3p3/3p3P/PN1B1N2/1P3PP1/R3R1K1 b - -,e5e4
8/6pk/8/3Qp2r/1Pqb4/P1N5/3B4/2K1R3 b - -,c4a6
r2q1rk1/pp3pp1/4pbp1/3pN3/3P4/2P3PR/PP1Q1P2/5RK1 w - -,e5g4
rr3k2/1pnnpp1p/p2p2p1/2pP4/P3PB2/R1P4P/2P1BPP1/1R4K1 w - -,a3b3
8/q5bk/3p3n/3Pp2p/4P1n1/5Q1P/1P2R1K1/4B3 b - -,g4f6
1r1q1rk1/1ppbppbp/p2p1np1/n2P4/2PN4/1PN3P1/PB2PPBP/R2Q1RK1 b - -,b7b5
2rq1rk1/pp2b1pp/8/2PpP3/8/4B3/PP1Q2PP/R4RK1 b - -,f8f1
r1bq1rk1/pp1nbppp/4pn2/2p3B1/2BP4/2N1PN2/PP3PPP/R2QK2R w KQ c6,e1g1
6k1/6bp/4p1p1/3pP3/p2B2PP/2Pn2K1/P3R1B1/1r6 w - -,g4g5
2r3k1/2qnbppp/2r1p3/p2pPP2/1p1B4/3Q4/PPP1RNPP/3R3K w - -,c2c3
r2q1rk1/pp2n1bp/2pp2p1/3Ppb2/1PP1B3/2NQ4/PB3PPP/R3R1K1 b - -,f5e4
2br1r1k/bpp1n1p1/p4p1p/3n4/3PB3/1q3N1P/PP1N1PP1/2BRR1K1 w - -,d2b3
8/6k1/8/p4p2/2p2p2/2P3KP/Pn4P1/5N2 w - -,g3f4
1R6/4p3/3p2n1/2bP2k1/1p6/5Kp1/6B1/8 w - -,f3g3
6k1/pb1nq1pp/1p1bp3/3pNp2/1n1P1N2/1P2PPP1/PB4BP/1Q4K1 w - -,a2a3
q2rr1k1/2p2ppp/ppbp1n2/8/P2QPP2/2N1R1PP/1PP3B1/4R1K1 w - -,g3g4
rn1qk2r/pp3ppp/2p1pn2/4Nb2/PbpP4/2N2P2/1P2PKPP/R1BQ1B1R b kq -,e8g8
r1bR2k1/ppq2pbp/2p1n1p1/4p3/2P5/P3QNP1/1P2PPBP/R1B3K1 b - -,e6d8
rnb1k2r/pp1p1ppp/1q2pn2/8/1b1P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f6e4
3r2k1/1R3pbp/p5p1/2qp4/2b2P2/5BP1/2PQN1KP/8 b - -,a6a5
rnbqkb1r/pp3ppp/2p2p2/8/2BP4/8/PPP2PPP/R1BQK1NR b KQkq -,d8e7:f8e7:f8d6
4r1k1/3n1p1p/p3p1p1/2R5/4P3/3p1PPB/P2r3P/2R3K1 w - -,c5a5
r1bq1rk1/ppn1ppbp/3p1np1/2p3B1/2PP4/2NBPN2/PP3PPP/R2Q1RK1 w - -,f1e1
r2qkb1r/3b1ppp/p1nppn2/1p4B1/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq b6,g5f6:a2a3:f1b5:d4c6:d2e1
7k/2p3b1/4N3/1PPKPp1p/1P3P2/3R2RP/1r5r/8 w - -,d5c6
rnb1kb1r/ppp1pp1p/3q1np1/8/3P4/2N3P1/PPP2PBP/R1BQK1NR b KQkq -,f8g7
8/8/5Q2/1pNkpb1P/1P1q4/8/6PK/8 w - -,f6f7
6k1/p2q2pp/1n1npp2/2p5/2P4P/P1Q1P1P1/4BP2/B5K1 w - -,h4h5
r2qr1k1/ppb2ppn/2p3bp/4pN2/4PnPP/5QN1/PPP2PB1/R1B1R1K1 w - -,c1e3
1r1r2k1/p3bppp/2p1bn2/q2p2B1/N2P4/1p4P1/P1Q1PPBP/R2R2K1 w - -,a2b3
8/8/p7/4bk2/4p3/4K3/P3N3/8 w - -,a2a3
3rr3/1kq3pp/p4n2/2b1p3/2P5/Pp4P1/3N1PP1/1RB1QRK1 b - -,b7a8
rn3rk1/ppp1Bpbp/6p1/3P1b2/2P5/8/PP2PP1P/3RKBNR b K -,g7b2
6k1/pp1n1ppp/1np1q3/8/4P3/P3BPP1/1PQ4P/5BK1 b - -,h7h6
r1b2rk1/pp3ppp/2n1pn2/q7/PbB1P3/2N5/1PNB1PPP/R2Q1RK1 b - -,f8d8
8/4p1R1/5rp1/4K2p/7P/6P1/5Pk1/8 w - -,g7e7
r3kb1r/pp3pp1/2p1p2p/4P3/4RB2/8/PPK2PPP/3R4 b kq -,a8d8
6r1/3kbp2/1pp1pp2/1p1r3p/3P4/P1PR1NP1/1PK1RP2/8 w - -,d3d1
2r2rk1/q4p1p/2pb2p1/1Q2p3/8/P3PPBP/4KP2/R1R5 w - -,c1c6
5k2/5p2/r4np1/8/5Pp1/2p1NK1P/P1R5/8 w - -,h3g4
r2q1rk1/pb2b1pp/1p2p3/2ppnp2/3P1B2/2PBP2P/PP2QPP1/R4RK1 w - -,f4e5
r4rk1/pbq1b1n1/4p3/1p1nNp1p/2pP1P2/2P4Q/PPBN2PP/4RRK1 w - -,c2d1
5R2/3bk2p/p3p1pb/Pp1pP1q1/1P1Pp3/N3P3/3BQ1PP/7K b - -,h6f8
r1b1rbk1/1p1n1p1p/2p3p1/p7/P2NP3/1P1RBP1P/4BKP1/7R b - -,d7c5
2rb1rk1/pp3pp1/5n1p/3p4/4q2Q/1P2PN1P/PB3PP1/2R2RK1 b - -,d8e7
r7/5k1p/p3p1p1/8/3R4/3P4/1P3PPP/6K1 w - -,d4d7
r6r/2p2pk1/p1q1pbp1/B2b3p/2NP1P1P/1P6/P1P1Q1P1/1K1R3R b - -,d5g2
r2qkb1r/pp1npp1p/3p1np1/8/2PNP3/2N1B3/PP2QPPP/R3K2R b KQkq -,f8g7
r5k1/5pb1/p1qBp1p1/1rPp3p/1P6/R3P2P/Q4PP1/2R4K w - -,c1b1
6k1/2bb1p2/2p3p1/3p4/3P2Pq/2NBPP2/4Q3/6K1 w - -,d3c2
1rr4k/3bqpp1/p3p2p/R1npP3/1n1N1P2/2N1Q3/1PP3PP/R2B2K1 w - -,c3e2
2r2rk1/pp1b1pbp/nq3np1/2pP4/2Q4N/2N1B3/PP1RBPPP/R5K1 b - -,f8e8
8/8/1R6/1PpP1br1/2P5/P3k3/7K/8 b - -,e3f2
1rb2rk1/2qn1pbp/p3p3/P1p2p2/1p1P4/3BPN2/1P2QPPP/R1BR2K1 w - -,e3e4
5rk1/p2bbrpp/3p2q1/2ppp3/8/1P1P3P/P1PBQPPN/R4R1K b - -,h7h5
3rk3/ppp2p1p/5p2/5N2/4P1r1/2KB4/PP6/R7 b - -,h7h5
6Q1/p2p1p1p/4P2k/2p2rp1/2b3P1/2B5/P3K2P/8 w - -,e2e3
rq3rk1/3bbppp/p4n2/1p2p3/4P3/P1N1B3/1PP1B1PP/3RQR1K b - -,d7c6
b1r1r2k/p3q2p/1pp1pb1N/7Q/P1PP4/5B2/1P3P1P/3RR1K1 b - -,e8f8
8/r1pk1r2/4p2p/5n1P/3P4/2R1P3/4B1K1/2R5 b - -,d7d8
1r3rk1/3nppbp/1q1p2p1/1p6/2pP4/2P1PN1P/RPQ2PPB/3R2K1 b - -,b8a8
2kr3r/1p1n1pbp/p1q1p1p1/P1p1Pn2/2Pp1P2/3P1N2/1PN1Q1PP/R1B2RK1 b - -,f7f6
1r4k1/p3ppbp/q2pb1p1/8/4P2R/1NN2PB1/rPPQ2P1/1K5R b - -,b8b3
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/PBR1PPBP/3Q1RK1 b - -,b7a6
3R4/pp3pk1/4b1p1/7p/4Pq2/5P2/1P2B1PP/3R2K1 w - h6,d8d3
rnbqk2r/pp3pp1/4pn1p/8/1b1P4/2NB4/PP3PPP/R1BQK1NR w KQkq -,g1f3
8/6p1/1pk2p2/p3p1p1/P1K1P3/2B2P1B/1P4P1/2r5 b - -,c1d1
3q1rk1/1b2bppp/4pn2/1Ppp4/1nP5/1Q2PN2/3NBPPP/B4RK1 b - -,d8b6
1n2rr1k/1q2bppp/p2pb3/2pNp3/2P1P3/1P1B2Q1/P4PPP/2BR1RK1 w - -,f2f4
8/5k1p/2p1r1p1/1p3pP1/1P1P3P/2P5/1K6/4R3 w - -,e1a1
r3kb1r/1pqb1pp1/p1nppn2/8/3NPP1p/2NBBQ1P/PPP3P1/2KR3R w kq -,c1b1
rn1q1Bk1/pb3ppp/2p1p3/1n2N3/3P4/2p1P1P1/2Q2PBP/R4RK1 b - -,d8f8
r1bqk2r/pp1nbppp/2p5/3p4/3P4/2N1P1n1/PPQ2PPP/R3KBNR w KQkq -,h2g3
5rk1/pp3pp1/q3p2p/2nrP3/8/1PQ1N3/P4PPP/R4RK1 b - -,c5e4
r3r1k1/pp1b2pp/1n3p2/2p1n2q/2P1p1P1/PPQ1BP2/2N1P1BP/4RRK1 b - -,h5g6
5b2/3r1p1k/2R4p/6p1/1PRp1B2/3P2PP/4rP2/5K2 b - -,e2b2
4b3/p2k4/2p5/2P2p2/2K2Pp1/4P2p/P6P/7B w - -,c4d4
7k/1n6/pp3p1p/3P1p2/1PP5/PN2q3/6PP/3Q3K w - -,h2h3
1r1r1q2/4k1p1/bp1b1p1p/p1pPpP1Q/P1P1B3/1P4R1/6PP/2B1R2K w - -,h5g6
r2q1rk1/pppnn1bp/3p2p1/3Ppp2/1PP1P3/2N1BP2/P3N1PP/R2Q1RK1 b - -,d7f6
1r3rk1/pp3ppp/2nq2n1/2p5/Q1Pp2b1/P2P1NP1/1P3PBP/R1B1R1K1 b - -,f8e8
3Q4/p1P2p1k/6p1/7p/3b2bP/2qp2P1/5rB1/2N2RK1 w - -,f1f2
5r1k/pp4pp/8/8/2Q1p3/7P/1PPq1pPK/6R1 w - -,g1f1
r1bqr1k1/1p1n1pbp/p2p2p1/2pP2Bn/P3P3/2NB1N1P/1P3PP1/R2Q1RK1 b - -,g7f6
2r2rk1/1pq1p1bp/3pp1p1/p7/P2pPP2/R2P4/1PP2RPP/2B1Q1K1 b - -,b7b6
3q1rk1/2n1bpp1/p3r1p1/3p4/Q2P1P2/3RN1P1/4P1BP/4B1K1 b - -,d8e8
1r6/3r1nkp/bp3qp1/2pP1p2/2N2P2/1PR1P3/3Q2BP/3R2K1 w - -,d1a1
8/6k1/3R2p1/5p1p/7P/3P2P1/4PK2/3r4 b - -,g7f7
4k2r/rbq1nppp/p3p3/1pbpP3/3p1P2/1B1P4/PPP1N1PP/R1BQ1R1K b k -,e8g8
rn3rk1/pb1pq1pp/1p1n4/2pP1P2/8/6P1/PP3PBP/RNBQ1RK1 b - -,f8f5
bqrr2k1/3n1pbp/1p1pp1p1/1P2n3/4P3/PN2BP2/1N3QPP/1BRR2K1 w - -,b3d4
6k1/5p2/2N2b1p/5P2/5R2/8/1r2rPKP/3R4 b - -,b2c2
rnbqkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,f8g7:c8g4:a7a6
8/3rb3/1p1pkp2/3RpN2/P1P1P2P/1P5K/8/8 w - -,h4h5
5R2/4p3/5k2/4p1p1/5r2/7K/7P/8 b - -,f6g7
4r1k1/p3qpp1/2p2n2/n1B1b2p/P7/1p4PP/1P2NPB1/2QR2K1 b - -,e5b2
r6k/p1p1pp1p/1pn2b2/r6q/3P1P2/1P2PN2/PB3QBP/2R4K b - -,c6b4
4r1k1/1pq2npp/p4p2/P1Nrp3/1P2Q1P1/7P/2P2P2/3R2K1 w - -,d1d5
8/8/r5k1/1R5P/6P1/8/6K1/8 b - -,g6h6
rnbqk2r/pp2ppbp/2p3p1/8/Q2PP3/4BN2/PP3PPP/R3KB1R b KQkq -,e8g8
8/3P1N2/1bn3p1/4p3/4PkB1/3K1P2/8/8 w - -,d3c4
2R2b2/3r1pk1/6p1/4P2p/5P2/4B3/r1R1K1PP/8 b - -,a2c2
rn1qk2r/pp2ppbp/4b1p1/2p5/2pP3B/2P1PN2/P3BPPP/R2Q1RK1 b kq -,e8g8
6rr/2p1k3/2p2p2/p1N1p3/K1P1P1bp/1P6/P2R2PP/5R2 b - -,g8b8
7r/ppkb1p2/4p3/4n1p1/2P3Pr/1N2K3/PP2BP2/3R2R1 w - -,b3d4
3r2k1/pp1r1qpp/1npn4/4p3/3P4/1PN4P/P1Q1RPP1/4R1K1 w - -,d4e5
8/5kb1/3p1p1p/p1p2R2/1rP5/1P4R1/6PP/6K1 w - -,f5d5
r1bq1rk1/b1p2p2/p1p4p/4p1pn/4P3/2PQ1NB1/PP3PPP/RN3RK1 w - -,d3d8
6k1/p2n1pp1/4p2p/2ppPn1P/b7/q1PP1NP1/P4PBN/4Q1K1 b - -,a3a2
8/2r3p1/2P5/3K4/6k1/8/5p2/7R w - -,d5d6
r2q1rk1/pp1nbppp/2pp1n2/4p3/3PP3/2P1BBPP/PP3P2/RN1Q1RK1 b - -,d6d5
