8/k5b1/P1K5/4p1p1/4P2p/7P/8/5B2 b - -,g5g4
r2qk2r/pbpnbppp/1p2p3/3p4/3Pn3/1P1BPN2/PBPN1PPP/R2Q1RK1 w kq -,f3e5
3r1r1k/ppp1b1pp/5nq1/8/1P1PNB2/P4P1Q/B4P1P/6RK b - -,f6e4
2bqr2r/5kb1/p2p1pp1/2pP1n2/P1P1NP1p/2B2N1P/1Q2R1P1/3R2K1 b - -,f5g3
2bb2Q1/pk2qN1p/2p2p2/1p1p1P1P/1P6/P1PB4/1KP5/8 b - -,d8c7
2n5/4kp2/1p2p1p1/pP2N1P1/P2PP3/4K3/8/8 w - -,e5c4
8/8/8/1kn5/p7/K6p/7N/8 b - -,b5a5:c5d3
r1k2b1r/pp1n1p1p/2p1bp2/4p3/4P2N/2N5/PPP2PPP/2KR1B1R w - -,c1b1
2r2rk1/p4ppp/bpP1pn2/4N3/1b2P3/2N2P2/PPK3PP/R1B4R w - -,h1d1
3r4/1b3k1p/1p2N1p1/p1p5/P3p3/1PPnP2P/5PP1/3R2K1 b - -,f7e6
r2q1rk1/1b2bppp/3ppn2/p7/1n2PPN1/1NBB4/PP2Q1PP/4RR1K w - -,b3a5
4n2k/1ppr4/p3Nbpp/2PPp3/PP6/4R1P1/6KP/2B5 w - -,e3d3
2r2rk1/1pqnppbp/p1p2np1/8/P1P5/4BNPP/1PQ1PPB1/2R2RK1 b - a3,f6h5
r1bq1rk1/1pp1ppbp/p1np1np1/3P4/4P3/2N2N2/PPP1BPPP/R1BQR1K1 b - -,c6b8
2rqrnk1/1p2bppp/p1p1bn2/3p1P2/3P4/2NBP2P/PP1QNBP1/R4RK1 b - -,e6d7
3k4/8/3K4/3P2p1/P5R1/8/1r6/8 b - -,b2b6
2r4r/pp1k2bp/1q2pnp1/nP1p4/3P4/P2B4/4NPPP/R1BQ1RK1 w - -,c1d2
r1bq1rk1/pp2bppp/2nppn2/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,d4d5:b2b3
8/6pp/1R3p2/8/P6k/5P2/6r1/4K3 b - -,h4g5
r1b1r1k1/pp1nbppp/1q1p1n2/2pP4/2P2P2/2NB4/PP4PP/R1BQK1NR w KQ -,g1e2
8/2p2b2/2k2bpB/1Pp5/p5P1/4KP2/1PPN4/8 b - -,c6b5
5rk1/p4ppp/1p3n2/8/5B2/1P2Q1P1/P1r1qP1P/R2R2K1 w - -,e3e2
r1q2rk1/pppb2b1/3p1npp/1P1P4/5p2/3P2P1/PB1N1PBP/1R1Q1RK1 w - -,f1e1
r2q1rk1/pb2ppbp/1pnp1np1/8/2PNP3/2N1BP2/PP1QB1PP/R4RK1 b - -,f6d7
r5k1/1qbb1ppp/2p1pn2/1pPpN3/1P1P4/2NBP3/1Q3PPP/R5K1 w - -,f2f4
r4rk1/3nbpp1/1q2p2p/pP1pB3/Pp1P4/1N5P/1P2QPP1/R3R1K1 b - -,d7e5
2r1nrk1/5pb1/pn1p2p1/q2PP3/PppB1P1Q/3b1B1P/1P1NN1P1/R1R3K1 b - -,d6e5
3b4/3P2k1/2r5/8/4K1B1/7P/8/8 w - -,e4d5
1rb2rk1/1p1nqppp/p3pn2/1Pp5/2P5/2N2NP1/P2QPPBP/R2R2K1 b - -,d7b6
r1b2r1k/p1q2ppp/1pnppn2/2p3B1/2PPPP2/P1PB4/4N1PP/R2QK2R w KQ -,e4e5
r4rk1/ppp2pp1/1b3n1p/1NqPp3/2B1P1bB/8/PP3PPP/2RQ1RK1 w - -,d1d3
2r1k2r/4b1Rn/3pPp2/4p3/ppq1P2P/4B2B/PPP2Q2/1K1R4 b k -,b4b3
2r5/3k1p1r/4pQ2/pNqpP2p/1p1N2pP/P7/1P4P1/1K1R4 w - -,b5d6
1k1r4/ppp3p1/2q1pp1r/3nP3/3N3P/1P5R/P1PP1Q2/2K1R3 b - -,c6c5
8/5k2/1B3P2/8/2r5/p3K3/8/8 w - -,e3d3
8/1p4rk/p1p1p1qp/P1PpP3/1Pb2QpR/4P3/5RP1/7K w - -,f4g3
r3kb1r/1p1n1pp1/p1p1pnp1/3p4/2PP4/1PN1PN1P/1P1B1PP1/R4RK1 w kq -,f1e1
5rk1/1np4p/1pp2p2/p3p2Q/2R5/PP2q3/2P3PP/5R1K w - -,c4g4
6k1/5p2/p2N3p/P1nb2pB/1r6/2n3B1/5PPP/5RK1 b - -,b4a4
8/3q2pk/4np2/3p2p1/1Q1P4/1P5P/P2B1PP1/6K1 w - -,b4c3
1r1q1rk1/1bp2pbp/1p1pp1p1/p2nP3/3P1PnN/2PQ4/PP1NB1PP/R1B2RK1 w - -,e2g4
r1b1k2r/p1q2pp1/1ppbpn1p/8/3P4/1P1B1N2/PBP1QPPP/R3K2R w KQkq -,e1g1
1r1r4/2kn3p/pppNb1p1/2Pp1P2/1P3P2/R3P2P/P3BK2/3R4 b - -,g6f5
8/1p6/5kp1/p3p3/2P1P3/1P3b2/2B2Kn1/8 w - -,f2g3
r3br1k/1pqn2b1/p2p3p/2pP1p1n/P7/NQ2BN2/1P2BPPP/2R2RK1 w - -,f3d4
3nn3/3bkp2/2p3p1/NpPp3p/1N1Pp3/P3P3/5PPP/3B2K1 w - -,a3a4
8/5p2/1k6/5r2/PK6/5P2/8/2R5 w - -,c1c3
2r1k2r/1p1q1p1p/p1np1b2/5b2/2P1p3/N3B3/PPB2PPP/R2Q1RK1 w k -,a1b1
8/8/1R6/3p4/3P1PP1/1pr4P/2k5/5K2 w - -,f1g2
3r1rk1/pb1qpp1p/1p3bp1/2p5/2n2PP1/2PP1N1P/P1P3B1/1RQ1BRK1 b - -,c4d6
1r1rb1k1/1p2bppp/p1N1pn2/8/2P5/1N2P1P1/PB3PBP/R4RK1 b - -,e8c6
1k1r4/6r1/pPp5/P6P/5P2/3p4/5KP1/4R2R b - -,c6c5
rn2k2r/1bqpbppp/4pn2/p7/1p2PP2/1N1B4/PPP1QNPP/R1B2RK1 w kq -,c1d2
6k1/3q1p1p/p1p3p1/2p5/Pr1bb3/6B1/3Q2PP/2R1R2K w - -,e1e4
3qr1k1/pbr4p/1p3pp1/3p4/3Pn1QP/1P2N1P1/P4PB1/2R1R1K1 b - -,c7f7
2r2n1k/1p2rp1p/p1b1pNpP/4P3/P2P4/1P1B2P1/5P2/2R1R1K1 w - -,d4d5
rnbqkb1r/1p2pp1p/p1p2np1/3pN3/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq -,h2h4:c1f4
3rr1k1/1bq2ppp/1ppb1n2/p1n1p3/P1P1P3/1P1N1NP1/1BQ2PBP/3RR1K1 b - -,f6d7
8/pr3k2/1p3pp1/3R3p/1PP1P2r/P2P1K2/4P2B/8 w - -,f3g2
8/4P2k/2b5/5N2/1pp5/4K2P/1P6/8 b - -,c4c3
4rn1k/3b1pqp/pPp5/3prP2/3N2Pp/3BP2R/PP3Q2/1K3R2 b - -,c6c5
rnbq1rk1/ppp3pp/4pn2/3p1pB1/2PP4/2b1P1P1/PP3PBP/R2QK1NR w KQ -,b2c3
r6r/1p1kq1p1/p2n1p1p/3bP3/6P1/1P1BPPBP/4K3/RQ5R b - -,f6e5
3r1k2/2pb2b1/1p4np/pP4p1/2NP1p2/N1P2B1P/1P3P1K/R3r3 w - -,a1e1
8/2p3k1/1p1n4/1P1P4/7R/6K1/2r3BP/8 w - -,h4g4
8/5p1r/5k1P/6R1/5K1P/5P2/8/8 b - -,h7h6
3r2k1/2b3p1/2P3qp/p2p4/3NpNnP/P5PQ/2P4K/5R2 w - -,h2h1
4rrk1/1p2qp2/p1bp2p1/7R/4pQ2/2N5/1PP3PP/5R1K w - -,h5h3
3r4/6k1/1r6/2p1p2p/2P1Ppp1/7P/R5P1/5R1K w - -,a2a7
r1b1rnk1/1pq2pbp/2pp2p1/p1n5/2PNP3/1PN1B1PP/P1QR1PB1/3R2K1 b - -,c8e6
r1bqk1nr/1p1p1pbp/p3p1p1/2p5/P1BnP3/2N2N2/1PPP1PPP/R1BQ1RK1 w kq -,f1e1
8/1q1b1pkp/2pP2p1/1p6/1PnN1P2/2N4P/2P3P1/4Q1K1 b - -,b7a7
2k5/2b5/2K5/8/8/5R2/8/8 b - -,c8d8
2r5/p2r1kp1/1p2pb2/4B2p/3P4/2PK3P/R3R1P1/8 b - -,c8c6
r1bqk2r/1p2npbp/p1n1p1p1/2pp4/4PP2/2NP1NP1/PPPB2BP/R2Q1RK1 b kq -,e8g8
4k3/1p1n4/4p2p/p2pPp2/P2N1P2/1Q3K2/1P1B4/7q w - -,f3f2
8/1p6/p1br1kp1/4p2p/1PP3nP/2K3B1/P1B1R1P1/8 b - -,d6d8
4r1k1/1p2qppp/p1p5/4r3/P7/1P3PP1/2P2Q1P/R2R2K1 w - -,d1d2
1r6/1P3p1k/1RQp2p1/3P3p/3q4/7P/K7/8 b - -,d4d2
rnbqkbnr/ppp2p1p/3p2p1/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq -,d2d4:c2c4
r5k1/2rnqpp1/1p2pnp1/3p4/1b1P4/p1NQP2P/PP1N1PP1/2RRB1K1 w - -,b2b3
1rr3k1/p4pbp/2q5/4pp2/8/Q1PRBP2/PP4PP/2K4R w - e6,h1d1
6k1/4b2p/8/5pp1/4nnP1/4R2P/PBp5/5K2 b - -,e7c5
4R3/r3kppp/2B5/8/8/6P1/3rPP1P/6K1 b - -,e7f6
r3k2r/pb1nbpp1/2p1pn1p/q7/Np1PP3/1P1BBN2/P4PPP/R2Q1RK1 b kq -,c6c5
2qr1rk1/2n1ppbp/2p3p1/p1P5/PpBNR3/7P/1P1BQPP1/4R1K1 b - -,d8d4
r2q2k1/1p2rp2/2pn1bp1/p1Np1b1p/1P1P4/PQ2P1P1/3N1PBP/2R1R1K1 w - a6,c5b7
8/R3ppk1/p3nbp1/8/2P2P1p/7P/P5PK/8 b - -,f6d4
r3qr1k/pp4b1/2pp2pp/3B4/2P1N1b1/4BnP1/PP3PKP/R1Q2R2 w - -,e4d6
r1bq1rk1/1p3pbp/2p1pnp1/p2p4/1nPP4/1PN1PN2/PQ2BPPP/R1B1K2R w KQ -,a2a3:e1g1
3r4/6pk/3PRP1p/2pQ4/5P2/6K1/1pqN3P/8 b - -,b2b1q
r1bq1rk1/pp1nppbp/2np2p1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R b - -,d7b6
2r1rnk1/pp2qppp/2p1b3/8/3PP3/2NQ4/PP2N1PP/2K1RR2 b - -,b7b5
r1b2r2/2p2qkp/p3p3/NpNp1nPp/3P1P2/P6P/1PP2Q2/3R1RK1 w - -,h3h4
r1b1qrk1/ppp3pp/5n2/8/1bPp4/P1N2N2/1PQ1BPPP/3RK2R b K -,b4c3
1r4k1/4ppb1/q2p2pp/2pP4/P2r1P2/1PN3P1/3N2Q1/B4RK1 b - -,a6d3
8/pkq2pR1/4pP2/2ppP2r/3Q4/1P6/P1P5/2K5 w - -,d4a4
5rk1/q3ppbp/3p1np1/5b2/1QR5/1P4P1/P3PPBP/3R2K1 w - -,b4a4
8/6kn/4q3/8/2p5/6P1/1Q2p1KP/8 b - -,h7f6
r1bq1rk1/pppnp1bp/6p1/3Ppp2/2P5/1QN3P1/PP2PPBP/R1B2RK1 w - -,b3a3
4Rb1k/6p1/1n5p/6B1/1P1pP1PP/3P2NK/r7/8 b - -,h8g8
1rr4k/1bq3bp/3n2p1/3p1p2/2p5/BP1BPP2/2Q3PP/2R1RNK1 w - -,a3d6
r1bq1rk1/1pp2ppp/4pb2/n7/p2P1P2/P1PQ2N1/1P2B1PP/R1B1K2R w KQ -,c1e3
3r4/6k1/2p3p1/6P1/3P1R1P/1p2P3/1P1K4/8 b - -,c6c5
6k1/2p1rp1p/2B3p1/8/P3P1bP/1PQ3P1/K1R2q2/8 b - -,f2f1
r1q1r1k1/p1nb1pbp/3p1np1/2pPp1B1/1pP1P3/3B3P/PP3PPN/RNQ2RK1 w - -,c1e3
r1b1k2r/pp1n1pp1/2pb3p/q2p4/3P4/2NBPN2/PPQ2PPP/R3K2R w KQkq -,a2a3:e1g1:a1c1
r1bq1rk1/pp2ppbp/2np1np1/8/2BPP3/5N2/PP1NQPPP/R1B2RK1 b - -,c8g4
r2q1rk1/pp3pb1/2npbnpp/2p5/2P1P2B/2N2N2/PP2BPPP/R2Q1RK1 b - -,f8e8
r1b1r1k1/2q2pbp/pn1ppnp1/N7/2P1P3/2N1BP2/1P2BQPP/R4RK1 b - -,a8b8
2kr3r/ppp2ppp/2npq3/8/8/2P5/PPPQ1PPP/1K1R1B1R w - -,f1b5:g2g3
1r4k1/p4ppp/1q2p3/4n2B/1r2PP2/1Q6/P4P1P/3R1RK1 w - -,b3g3
3Q4/R3Bpkp/5bp1/8/2p5/6PK/P2r3P/8 b - -,d2d8
8/2p2rp1/1p1pk2p/1P1R1P2/4K2P/8/8/8 b - -,e6f6
2q1r3/pn1P2bk/1p5p/4pppP/1B2N3/1P4P1/P2Q1PB1/6K1 b - -,c8d8
8/1b2k1rR/p3p3/8/1p2PNr1/5N2/PPPK4/8 w - -,h7g7
1r2k1n1/2q5/p3p1nP/1pPp2B1/7p/2N3bP/PPP3Q1/3R1R1K b - -,c7e5
3r4/5kpp/p4p2/1p1q4/3P4/P1Q3P1/5P1P/3R2K1 b - -,f7g8
rn3rk1/pp1nqpbp/2p1b1p1/4P3/3N1P2/P1N1BB2/1P4PP/R2QK2R b KQ -,e6c4
2rb4/1R3pkp/2p3p1/p1Pp1q2/3P4/PQ2B1P1/5P1P/6K1 b - -,d8c7
rn1qr1k1/1p1nppbp/2pp2p1/p2P2B1/2P1P1B1/2N5/PP1Q1PPP/2R2RK1 b - -,a5a4
r4qr1/p1p2bpk/5p1p/2p2P2/2P1NpQ1/1P5R/P5PP/R5K1 b - -,a8d8
8/3b4/p4p2/1pn1k2p/2p1P1p1/P1P1K1P1/1PB2N1P/8 w - -,c2d1
qr4k1/4ppb1/rn1p1npp/2pP4/4PB2/2N2NPP/PP2RPK1/R2Q4 w - -,b2b3
8/8/5k2/2p2p2/4PP2/3B2PK/8/4b3 b - -,f5e4
r2qk2r/ppp2ppp/1nn2b2/8/8/1PNP2P1/PB3PBP/R2Q1RK1 b kq -,e8g8
3q1r1k/1r4pp/pN1p4/P2Pb3/6Q1/8/1P1R3P/6RK w - -,d2c2
r3r1k1/1p2pp1p/3p1qp1/p1nPb3/2P5/1P2BP2/P1Q3PP/2R1RB1K w - -,c2f2
r4rk1/pp2bppp/2p1bn2/7q/4PB2/2N2PP1/PPQ3BP/R4RK1 b - -,h5c5
r3r1k1/1bqnbppp/p1npp3/6P1/1P2PP2/1NNBBR2/1PP1Q2P/4R1K1 b - -,c6b4
1R6/6p1/1p3k2/7p/7P/P1r2K2/8/8 w - -,f3f4
3r1rk1/pbpRbppp/1p2pq2/8/2P1pB2/6P1/PPQ1PPBP/R5K1 w - -,d7c7
3r2k1/Rb1q1pp1/7p/1Pn1p3/2N1n3/4Q1PP/6BK/1R6 b - -,d7d5
4kR1r/pp2q2p/2ppp1pn/4p3/4P3/2NPP2P/PPP2QP1/5RK1 b - -,h8f8
r1q2rk1/p4pbp/2p2np1/1p2n3/4PP2/2N1B3/PPQ1BP1P/3RK1R1 b - -,e5c4
8/3nk1pp/3bpn2/8/7Q/1R4P1/3r4/1K6 b - -,d2d5
8/3kb1p1/2b2p2/1p2pPP1/1P2P3/2B2K2/2B5/8 b - -,d7d6
1kr5/1p3R2/p1bp4/8/8/1Pq1p3/P1P1Q3/1K1B4 b - -,d6d5
1r1q1rk1/p4pp1/2p1bb1p/3p4/2pP4/2N1P1P1/PPQ2PBP/R2R2K1 b - -,d8a5
r1b2rk1/p1q2pbp/1p3np1/2pP2B1/8/2P2N2/P2QBPPP/1R3RK1 w - -,e2d3
r1r1n1k1/2pb1pbp/2n3p1/pq2p1B1/2N1P3/2P2N2/1PB1QPPP/R3R1K1 w - -,c2a4
2rr2k1/pp1nqpp1/4pn1p/2P5/2Q5/2N1PN1P/PP3PP1/2RR2K1 b - -,e7c5
5k2/1R3p2/3N2pn/p3P2p/5P2/r5P1/3K4/8 w - -,b7b8
r7/pp4k1/1n1P1qb1/1Pp4Q/P5R1/2P5/2N3B1/6K1 b - -,b6d7
r1b2rk1/1pq2p1p/p3p1pQ/3nN2n/8/2PB1N2/PP3PPP/3RR1K1 b - -,d5f4
3kb3/8/p7/1p4P1/2pN4/P1n5/8/4KB2 w - -,d4e6
2rqkb2/1p2ppp1/p2p4/3Nn1P1/3nPNb1/5P2/PPPB4/R2QK2B w Qk -,f3g4
4rbk1/p2r1p1p/2RBn1p1/4p3/4P3/1P6/P3NPPP/3R2K1 w - -,d1d5
8/8/R4n1k/6p1/6P1/5K2/8/8 b - -,h6g7
3r4/p5pp/1kb2p1n/2R5/1P1NP3/2P5/5PPP/1N1rRK2 b - -,d1e1
2r2rk1/pb1nqpp1/1p2pn1p/3p4/3P4/P1NBPN2/1P2QPPP/R1R3K1 w - -,d3a6
r3r3/pp3k2/2p3pp/P1nnP3/3N2P1/5N1P/5P2/R2R2K1 w - -,a5a6
r3r1k1/p1p2p2/1pq3pB/2bp3p/6b1/2PB2Q1/PPPR1PPP/5RK1 b - -,c6f6
r1bqk2r/5ppp/p2p1b2/1p1np3/4P3/2P5/PPN2PPP/R2QKB1R w KQkq -,d1d5
8/8/1pbk1p1p/3p1Pp1/1P1K2P1/4P2P/4B3/8 b - -,c6b7
8/8/1p1r4/1Pp3pp/4R3/3P1Pk1/3NK3/8 w - -,d2f1
q7/6bk/6pp/2p2pB1/2Q5/1B4PP/5P1K/8 b - -,h6g5
2r2rk1/p3ppbp/2p2np1/5b2/N7/1P3B2/PBP2PPP/2KR3R b - -,c6c5
8/3p1k2/1qbQ4/4pp2/r6P/4KPP1/4R3/3R4 w - -,e3d2
r2qr1k1/1bp1bp1p/p2p1np1/1p6/3NP3/1PP2PN1/1P4PP/R1BQR1K1 b - -,e7f8
2q1nrk1/p4pbp/1p4p1/2r5/2B2B2/5PP1/PPQ4P/2R2RK1 w - -,b2b4
rnbq1rk1/p3ppbp/2p3p1/5n2/3P1B2/2N2N2/PP2BPPP/2RQK2R w K -,f4e5
r3k1nr/1pq1bppp/p1bpp3/8/4P1Q1/2N3P1/PPP2PBP/R1B1R1K1 b kq -,h7h5
1kn4r/pp4p1/4p2p/2b1P1pP/2Nn1qP1/P4P1K/1Q4B1/1RR5 b - -,b7b6
2R5/B5pk/p6p/1p2r2P/n7/PPP3K1/8/8 b - -,a4b2
2r5/2r1k1pp/p4p2/N1p5/PPR1P3/8/2K2PPP/8 w - -,b4b5
4r1k1/Bp1R2p1/2p1p1P1/7p/8/8/Pb3P2/6K1 b - -,e6e5
1rb2rk1/1pq2ppp/p2pn3/2pB3n/4P3/NQPP2B1/PP4PP/R4RK1 w - -,g3h4
r1b1k2r/1ppp1pBp/p1n3n1/6q1/4P3/1B6/PPP2PPP/RN1QK2R b KQkq -,g5g2
8/p4k2/1p3p1p/1P4pP/4PP2/P5K1/8/8 w - -,g3g4
r4rk1/1p1qnpbp/2np2p1/p1pNp3/2P5/P1NP2P1/1P2PPKP/1RBQ1R2 b - -,e7d5
2r2rk1/1q2p1np/2pp4/p7/2PBpP2/1P6/P5PP/1R2QRK1 b - -,d6d5
5r1k/7r/6p1/3Q1P1q/p2N3b/2P4R/PP1R3K/8 b - -,h4g3
k4Q2/7p/1p4p1/pP1rr3/P7/7P/6PK/8 b - -,a8b7
4r1k1/p3ppb1/2P3p1/6np/2Br4/Pp4P1/2R5/2B2RK1 w - -,c1g5
r2q1rk1/1b1nppbp/p5p1/1p2P3/3Pp3/4BNNP/PP1Q1PP1/R4RK1 w - -,f3g5
r4rk1/5pbp/p2p2p1/N2P4/1qP1QP2/2R1p2P/1P4P1/4KB1R b K -,g7c3
8/8/4Rpp1/8/5PP1/4P1K1/1b3r2/5k2 b - -,b2c3
2rq4/1b3kpp/pp3B2/3p1p2/Q3n3/5NP1/PP2PPBP/5RK1 b - -,e4f6
r1b1r1k1/pp3ppn/3N1P1p/8/2pq1B2/7P/6B1/2Q1RRK1 w - -,g1h1
1r2r1k1/2p2pp1/4b2p/2q1P3/p1PQ1BP1/P6P/4P3/R2R2K1 b - -,c5c6
6k1/p2q1pp1/1p3b1p/3p4/3P1P2/P1BQ4/1P4PP/4r1K1 w - -,c3e1
8/2k4r/1ppr4/p5RP/P7/1PK4R/2P5/8 b - -,c7b7
1r1r2k1/1b3pp1/p4n1p/4Nq2/4n3/Q3P1P1/1P3PBP/R1B2RK1 w - -,a3e7
2r1r1k1/1p6/p1n2n2/2P3p1/8/P1N2P2/3N1BPP/2R3K1 b - -,e8d8
2r2rk1/3b2p1/p2pp3/1p2b3/3NP1Q1/2P5/PP2Nq1P/1K1RR3 w - -,d4c2
1kr4r/ppq3p1/4p2p/2bpPp2/5B2/3R3P/PPPQ1PP1/3R2K1 w - -,b2b4
3k3r/5p1p/3Nb2b/4p3/1p1n4/2P5/P4PPP/3RKB1R b - -,b4c3
4r1k1/2qnrbb1/1ppp1npp/4pp2/pPP2P2/2BPP1P1/P2QRNBP/5RNK w - -,f1c1
2rr2k1/pp1qppbn/3p2pp/3Nn3/2PNP3/1P2BPP1/P3Q2P/2R1R2K w - -,d4b5
r2r2k1/pp4pp/2NPqn2/1PB5/P7/2P5/5PPP/3QR1K1 b - -,e6c4
6k1/p6q/1r2p3/3n4/6p1/1BpRB2p/P1N2PPP/3R2K1 b - -,b6b5
2br2k1/R5pp/3P1p2/8/2p4P/P1b1BB2/5PP1/6K1 w - -,f3d5
7k/pp4p1/4p2p/1b1p4/1P1P2q1/P2B2b1/3Q1P2/2N3K1 w - -,f2g3
8/4q1k1/6p1/2Rp1p2/3P2Pp/4P2P/4BPK1/8 w - f6,c5d5
r4rk1/1p2ppbp/p1np1np1/q7/2P1P3/1PN2N1P/P2B1PP1/R2Q1RK1 w - -,f1e1
2n5/1b2kpp1/pp2p2p/3pP3/3N4/P2BP1P1/1P3P1P/5K2 w - -,f1e2
2kr3r/3qb1p1/p5p1/np1p1p2/P2Pp3/2P2PPP/1P5K/1B1QRRN1 w - -,a4b5
r4rk1/pp2q1b1/2pp1n1p/1P3p2/Q1P1p3/5B2/P2B1PPP/R3R1K1 b - -,c6c5
b6k/2B3b1/P5r1/2p3r1/1p2n2p/3BPP2/1P2R1P1/2RN2K1 b - -,e4g3
8/pb3pk1/1p4p1/7p/1P1R4/2r1NPKP/P5P1/8 w - -,g3f2
1Q6/8/P2k4/5q2/8/8/5PK1/8 b - -,d6e7
8/pk2R3/6N1/5p2/1PK4p/P7/6b1/5r2 b - -,b7b8
2r2rk1/3nppbp/1qp3p1/1p3b2/1Q1P1B2/4PN2/P3BPPP/2RR2K1 b - -,d7f6
4R3/8/8/8/4kp2/8/1p4r1/1K6 b - -,e4f3
5r2/1p1n1q1k/p1pPb1p1/4p2p/N3P3/1PQ3PP/P2R1rB1/3R2K1 w - -,c3e3
3rq1k1/pQ3p1p/1p1Rn1p1/4P3/2p1P3/2P2NP1/P4P1P/6K1 b - -,d8a8
3r4/pp3kpp/2r2b2/4pp2/2b5/P1B1P1N1/1P3PPP/R3R1K1 b - -,g7g6
2r5/8/R1p1k3/N1Pn3p/1P1n1pp1/7P/3B1PP1/6K1 w - -,b4b5
1nbq1rk1/r2nppbp/pp4p1/2p1P3/2P1BP2/2N1B3/PP2N1PP/R2QK2R b KQ -,c8b7
1k6/1P4p1/8/R7/P2r1P1P/8/6K1/8 b - -,d4f4
r1bq1rk1/pp2bpp1/3p1nn1/2pPp3/2P1P2p/P1NN3P/1P2BPP1/R1BQ1RK1 b - -,b7b6
2rr1bk1/pp1q1ppp/8/3pR3/3P4/2B2QP1/PP3P1P/4R1K1 w - -,e5f5
6r1/p2k2pR/2p2p2/PpK2P2/4P1N1/3P1n2/2P5/8 b - -,d7e7
r1bk3r/1pp2pp1/p1np4/3NpPp1/2B1P1P1/P1PP3q/1P3QRP/R3K3 w Q -,e1c1
1r1q1rk1/2n1ppbp/1p1p2p1/pP3P2/P1P1P1b1/2N1B3/2NQ2PP/1R3RK1 b - -,g4h5
r4rk1/2pb2pp/1p1p4/p2Pp3/1PP1BqP1/P1Q2P2/7P/R4R1K w - -,c3d3
2r3k1/5p2/1q2pP1p/p4np1/8/2B5/PP2Q1PP/4R2K w - -,e1d1
1q2n3/prnbk1bQ/3p2R1/2pPp1P1/2P1P3/2NB1rN1/P7/R1B1K3 w Q -,g3f5
r1bqk2r/pppp1pp1/1b3n1p/nP2N3/2B1P3/2PP4/P4PPP/RNBQK2R b KQkq -,e8g8
3r2k1/p1q1rppp/3b4/8/1pQ1p1PP/1B2P3/PP3P2/4KN1R b K -,d6e5
5k2/1p2rp2/8/p1R5/2PP2R1/4PK2/r5PP/8 w - a6,c5c8
8/5pp1/1pnk3p/4p3/4P3/PP1K1P2/3N2PP/8 b - -,d6c5
r3r3/pp3kpp/2pBnp2/2P2n2/8/P4P1b/1PN1B2P/2KRR3 b - -,f5d6
r4rk1/1b1nqpbp/pp1ppnp1/8/2PNP3/1PN3P1/PB2QPBP/R2R2K1 b - -,a8c8
