8/5p1p/p5p1/2pBk3/6b1/1P1K2P1/7P/8 w - -,d5b7
5bk1/1R6/1P6/1b1p3p/3B3N/4P3/5KPP/1r6 b - -,b1f1
2r3k1/pR3pp1/4p2p/4P3/2pQ4/2P4P/q4PP1/6K1 b - -,c8a8
r3kb1r/pbqn1ppp/4p3/2pnP3/2N5/5NP1/PP3PBP/R1BQ1RK1 w kq -,d1a4
2br4/2Qrbk1p/p3p1p1/4Bp2/5P2/7P/PPP3P1/4R2K w - -,c7b6
r1bqk2r/ppp2ppp/2n1pb2/8/3P4/2PB1N2/PP3PPP/R1BQK2R b KQkq -,e8g8
3r2k1/6pp/2p5/p4pr1/3pP3/1P1RbP1P/PN4P1/R4K2 w - f6,e4f5
r3kbnr/pp1b2pp/2n1pp2/q1ppP3/3P4/N1PB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/pp2npbp/2npp1p1/2p5/4PP2/2PP2PN/PP4BP/RNBQ1RK1 w - -,b1d2
8/1R6/p4k1p/2p5/4r3/2P3P1/PP3K2/8 b - -,e4a4
1rbq1rk1/1pp1npbp/pn1p2p1/3Pp3/1PP1P3/B1NQ1NP1/P4PBP/R4RK1 b - -,f7f5
1k6/8/p7/1p6/3pR3/P2n4/1PK5/3r4 b - -,d3f2
r1bqkbnr/pppp1p1p/2n3p1/8/3N4/2N5/PPP1PPPP/R1BQKB1R w KQkq -,c3d5
rn1qk2r/pp3pp1/3b1p1p/3P4/P1B3b1/2N2N2/1P2QPPP/R3K2R b KQkq -,d8e7
r2q1rk1/1p1n1ppp/p2p4/3Pp1b1/8/1N1Q1P2/PPP2BPP/R3K2R w KQ -,h2h4
3rr3/1pb4k/p4q1p/5pP1/1PbNp3/P1P1Q1PP/4N2K/R5R1 b - -,h6g5
r1bq1rk1/pp2npb1/2npp1pp/2p5/4P3/2NPB1P1/PPPQNPBP/R4RK1 b - -,g8h7
r7/pb2rkpp/1qp2n2/2N1b3/1p2P3/5N2/PPQ2PPP/R2R2K1 w - -,c2c4
4r2r/1pq1kp2/2pR3p/p1P2Pp1/6n1/1PQ3P1/P5BK/3R2N1 w - -,h2h1
5rk1/3bppbp/3p1np1/7P/p3PNP1/1p2NP2/PP1K4/7Q w - -,a2b3
1r2br1k/2p1b1pn/p1nq3p/P2pN3/1p1PpPN1/1B2B2P/1PP3P1/R2Q1R1K b - -,h7f6
r1bqk2r/pp1n1pbp/2pp2p1/5p2/2P5/1PN1P1P1/P2P1PBP/2RQK1NR b Kkq -,d7f6
r3r1k1/1p1q2bp/p1p2n2/4p1n1/P2pP3/BP4Pb/N1P2PBN/1R1QR1K1 w - -,a3c1
2k5/2n5/4p2p/1pP3r1/4p3/5p1B/2P2P1K/1R6 w - -,b1e1
2r2r2/1p2k3/p2Rp1Bp/6p1/1Q6/6BP/qbN2PP1/3K4 b - -,e7f6
1rbqr1k1/2p1bpp1/p2p1n1p/8/Pn1PP2B/1B3N1P/3N1PP1/R2QR1K1 b - -,c8e6
8/5kpp/p4p2/R7/Nrb2P2/8/1P4KP/8 w - -,g2g3
rnbq1rk1/p2p1ppp/1p2pn2/2p5/2PP4/P1bBPN2/1P3PPP/R1BQK2R w KQ -,b2c3
2r2r2/pp2p1kp/3pbnp1/8/2q1P1P1/1NN2P2/PPPQ4/2KR3R w - -,d2h6
r2q1r2/p3npbk/bpnpp1pp/2p5/3PP3/N1P1BNP1/PP1Q1PBP/R2R2K1 b - -,c5c4
r4bk1/2pq1pp1/p1n1rn1p/1p2p3/3pP3/2PP1NNP/PP2QPP1/R1B1R1K1 w - -,c3d4
5b2/2R5/5pkp/4n3/3N1B2/7P/1P3PPK/1r6 w - -,f4e5
8/2p2rk1/1p2p1p1/p3P3/2P2P2/P3Bqb1/1P1Q2R1/6K1 b - -,g3f4
b3r3/Q4pk1/2p3p1/1pN1q2p/1P2P3/5B1P/5PP1/6K1 b - -,e5e7
r1b1k2r/ppppqppp/8/4B3/2P5/P7/1P1bPPPP/R2QKB1R w KQkq -,d1d2
rnbq1rk1/p2pppbp/1p3np1/2p5/2PP4/2N1PN2/PP2BPPP/R1BQK2R w KQ -,e1g1
3rrnk1/1p3ppp/pB2qb2/P2p4/1p2PPP1/2P4P/B1QN4/5RK1 b - -,b4c3
5nk1/2q2r1p/1NNR2nP/PP4Q1/6P1/8/4K3/8 w - -,g5d8
6k1/1p2p1bp/1qr1p1p1/pN3r2/P7/1P2n3/1P2QPPP/2R1R1K1 w - -,e2e3
6k1/3R4/p2n4/3p4/3P2P1/4K3/1P1N2r1/8 b - -,d6c4
2R5/p2r2k1/3Pbn1p/1p3p2/2nR1P2/5B1P/P5P1/6K1 w - -,c8a8
2rqk2r/4bp2/pp3p2/2pb1Qp1/8/1P4P1/5P1P/R1BR2K1 w k -,d1d5
1n1r3r/1k2bb2/p1p2p2/1pPp1Bp1/1P1PP3/2N1BPP1/6K1/R6R w - -,e3f2
5k2/p4ppp/bb6/8/P7/3RPK1P/6P1/8 b - -,a6d3
5r1r/1p1q1ppk/p2b2np/4p2Q/3pP1N1/1P1P3P/1PRB1PP1/2R3K1 b - -,d7e6
r5r1/2pk3p/1p6/p2Pn3/N3PN2/2K1P3/6PP/1R6 b - -,a8b8
8/3r1pk1/4n2p/1p2p1pP/qPp1P3/2P3P1/B2bQPK1/1RN5 b - -,d2c3
8/2p2pk1/1p1q1np1/pP2p2p/2Q1P3/2N2P2/PP4PP/3K4 w - -,d1c2
2kr1bnr/pp3ppp/2n1p3/2p5/5P2/N1P5/PP1PBP1P/R1B1K2R w KQ -,d2d3
2rRk3/2B5/1p2rn1p/pPp3p1/4q3/P5QP/5PP1/3R2K1 b - -,c8d8
2r1k1r1/4P3/p7/2BbQ1pp/8/1P6/1PP4P/1K6 b - -,c8c5
r6k/2pq3p/1p1p1b2/1P1Pp3/4Pp2/3Q4/1P3B1P/6RK w - -,f2e1
8/2k2p2/6p1/1p4P1/3PKP2/8/5P2/8 w - -,e4d5
3q1r1k/5p1p/2p1p3/5p2/3P3P/1Pp3P1/r4P2/1RQ1R1K1 w - -,c1c3
2R5/8/8/8/8/2p3k1/7r/5K2 b - -,c3c2
r2q1rk1/1p1bn1bp/p3p1p1/2p1P1Nn/2P5/2NB4/PP4PP/R1BQ1R1K w - -,f1f8
r3kb1r/ppqbnppp/4p3/3pP3/8/3BBN2/PP3PPP/2RQ1RK1 b kq -,e7c6
rn3rk1/pb4p1/1ppbpq1p/3p1p2/1PPP4/2NBPN2/P4PPP/1R1Q1RK1 w - -,d1b3
r4rk1/pbp1qpp1/1p2pn1p/8/3PP3/2PB1N2/P3QPPP/R4RK1 b - -,c7c5
r2q1rk1/1b1nbppp/pp3n2/2pp4/3P1B2/2N1PN1P/PPQ1BPP1/3RK2R w K -,e1g1
3rr1k1/1p2q1p1/2ppbp2/p2Pp3/1nP1P1pP/2N1P1P1/PP1RQ1B1/3R2K1 b - -,e6c8
8/2p2k1q/7B/2P5/8/P1K1Q3/7P/8 w - -,e3f4
3rk2r/2p2pp1/p3p3/2B4p/PpP4P/3q1nP1/4QP2/2R2K1R b k -,f3d2
4k3/6Bp/p3r3/1p4p1/1Pn1P3/P4K2/2R4P/8 w - -,a3a4
7k/pp1b1n2/2n1p3/3p1p2/3P4/qP1NQNP1/P3BPK1/8 b - -,a3d6
1r1q1rk1/bpp3p1/p2pp2p/8/3PP3/3Q1N1P/PP3PP1/2R1R1K1 b - -,d8e7
1Q6/7p/8/2pqkp2/4r3/P5P1/7P/5R1K b - -,e5f6
r1b1kb1r/1pqn1ppp/p1n1p3/3pP3/3N1PPP/1N2B3/PPPQ4/R3KB1R b KQkq -,f8b4
r3k1nr/pbp1qppp/1p1Pp3/8/3PP3/2PQ1N2/P4PPP/R1B1R1K1 b kq -,c7d6
rnbq1rk1/p1p1ppbp/1p1p1np1/8/3P1B2/2P1PN2/PP2BPPP/RN1QK2R w KQ -,e1g1:h2h3
5rk1/pb3p1p/np1p2p1/2pPqP2/7Q/2N1r1P1/PP2PRBP/5RK1 b - -,a6c7
6k1/4p3/3p2p1/3P1P2/7p/KP3P2/2q3P1/5Q2 b - -,c2f5
2b1r2k/4rnpn/p1B5/1pp2P2/5RPP/2B1P3/PP6/4R1K1 b - -,c8d7
7k/p1n1r1p1/1p1p1q1p/2pP1b2/P4PB1/2N3QP/1P4RK/8 b - -,f5e4
rnbq1rk1/ppp2pbp/3p1np1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQ -,e1g1:d2d3
2r5/p3k1pp/b3pp2/3pP3/1RpP1P2/P7/2P1BKPP/8 w - -,f2e3
r1qnk2r/3nbppB/bp2p3/p2pP3/3p3P/P1P1BN1R/1PQ2PP1/R2NK3 w Qkq -,e3d4
r2q1rk1/1b2p1bp/1p1p2p1/p1n2P2/P1P4P/2NBB3/1P1Q1PP1/3RK2R b K -,c5d3
8/p6p/6p1/1P3p2/P1kn1P1P/4K3/8/2N5 b - -,d4c2
3r2k1/5b1p/3P2p1/2B1b3/PP3R2/5BrP/3R4/7K w - -,f4e4
r2r4/2n1N2p/2Pp1pk1/p1n3p1/1pB1P3/6P1/N3R2P/2B3K1 b - -,g6g7
8/7p/2R1k3/2Pp4/3rp1b1/6P1/5PB1/6K1 b - -,e6e5
2r3k1/p4p2/R1n2p1p/3r4/3P4/1p2P1B1/5PPP/1R3K2 b - -,d5b5
5k2/5p2/4b1p1/pr1Np2p/3pP2P/2bP1BP1/R4P2/5K2 b - -,e6h3
5rk1/6pp/p7/3p1Q2/5r2/2P5/P5PP/1R2R1K1 b - -,f8f5
8/5R1p/k5p1/p7/Pr2P3/4K1P1/5P1P/8 w - -,f7h7
r1bq1rk1/pp1nppbp/3p1np1/8/3NP3/2NBB2P/PPPQ1PP1/R4RK1 b - -,d7c5
8/p3kp1p/6p1/2p1Pb2/2B2P2/P1P1K3/5P1P/8 b - -,f5d7
r4rk1/pbpnq1pp/1p1pp3/5p2/1PPPn3/2B1P3/P1QNBPPP/R4RK1 w - f6,f2f3
5k2/1r4p1/4B3/5P2/6n1/8/6K1/R7 b - -,f8e7
R7/8/4pNk1/4P3/P4r2/8/2r2bK1/5R2 w - -,g2h3
6k1/6pp/4p3/6qP/8/5B2/3p1K2/1R6 b - -,g5c5
5k2/1p3pp1/2b4p/p3P3/P7/2N2KP1/4P2P/8 w - -,f3e3
3R4/1pr1q1bk/p3r1p1/P3P1Qp/8/2B2R1P/6P1/7K w - -,g5e7
rnbq1rk1/1p3pbp/p1p1pnp1/8/2BP1B2/P1N1PN2/1P3PPP/2RQ1RK1 b - -,b8d7
8/8/6k1/4p2N/6p1/4KnP1/7P/8 w - -,h5f4
r4rk1/pp2q1bp/n1p1bnp1/2P1pp2/1P2P3/2N2NP1/P4PBP/1RBQ1RK1 w - -,d1e2
r1bq1rk1/1pp1b1np/3p1np1/p1PPpp2/1P2P3/P4N2/1BBN1PPP/R2Q1RK1 w - -,e4f5
2k1N2r/ppp5/4P2p/5P2/8/2b5/Pn1N2PP/5R1K w - -,d2e4
2r3k1/5pbp/3p1np1/3Pp3/nPq1P3/P2QB2P/4BPP1/6K1 w - -,d3c4
rn3rk1/2p3pp/1p1p4/p2p1p2/3P4/6P1/PP1BPPKP/2RR4 b - -,c7c6
rnbq1rk1/pppp1ppp/5n2/4p3/1bP5/2N1P3/PPQP1PPP/R1B1KBNR w KQ -,g1e2
r1qr1bk1/p4p1p/bpp2np1/4p2n/P1N1P3/1BNQB1PP/1PP2P2/R2R2K1 w - -,d3f1
r7/2q2pkp/2b3p1/2p1p3/p1BrPb2/1P3P1P/P4QP1/R3RNK1 b - -,c7a5
R2bk3/2q2p1r/3p1p2/1ppBpP2/4P1Qp/3P3P/1PP3PK/8 b - -,e8f8
2r3k1/6p1/1np1p2p/R3Np2/P1PrB3/4R1PP/5P1K/8 b - -,f5e4
2rq1rk1/1b2ppb1/3p1npp/pBn1P3/P7/Q3BNN1/1P3PPP/R4RK1 b - -,f6d5
r1b2rk1/p2p1ppp/2p5/2bN3q/Q1B1PP2/8/P5PP/3R1R1K w - -,a4a5
6k1/4rp1p/2p3p1/1p2n3/1P1RB3/2r5/6PP/3R2K1 b - -,g8g7
8/4r3/6R1/4k3/4P3/5K2/8/8 w - -,g6b6
6k1/3b1pbp/2p3p1/2B1p3/4P3/6P1/1P1R1P1P/r3N1K1 w - -,d2d7
5k2/r7/4B1R1/4K3/8/8/8/8 b - -,a7a1
7r/r2q1pk1/p2p2np/2pPnR2/Pp2P3/7R/1PQBB1PP/7K b - -,a6a5
8/8/1p1pk1r1/pPp1b2p/P1P1Pp2/3P1P2/7K/4BR2 b - -,e5f6
3q1rk1/p1p1nppp/2n1p3/4P3/1rQP4/2N2N2/PP3PPP/2KR3R w - -,c4c5
8/8/2np4/1k6/2R5/2K5/2P5/8 w - -,c4h4
2brr1k1/1p3pp1/3p1qnp/pP2p3/2P1Pn2/P3QN1P/1B3PPK/R2R1B2 w - -,a3a4
8/R4p2/4k1pp/4P3/p3KP2/6PP/8/r7 b - f3,h6h5
3k3r/4ppbp/6pn/p1pP4/b3N3/3B4/P4PPP/1R4K1 b - -,c5c4
r1b2rk1/pp1nq1bp/2n1ppp1/3pP3/3P1PQ1/P2B1N2/1P2N1PP/R1B2RK1 b - -,b7b6
rn3rk1/2q2ppp/b1P1pn2/pB1pb3/Q2P1P2/2N5/P5PP/R1B2RK1 w - -,f4e5
8/7r/1N6/6p1/3k4/5K2/8/8 b - -,h7b7
rn2kb1r/pp3p1p/2p1pp2/3q1b2/3P4/2P2NP1/PP3P1P/R1BQKB1R w KQkq -,f1g2
8/2q4p/2p1nk2/p3pp2/1P5P/P1PQB1P1/6K1/8 b - -,a5b4
6k1/6p1/4p3/p2b4/4qP2/Bp4KP/3Q2P1/8 b - -,g8h7
5rk1/p4pp1/2p3q1/8/2Pr1Rb1/1P1p2P1/P2Q3P/3NR1K1 b - -,d4f4
r1bq1rk1/pp2pnbp/2n2pp1/3P4/3P1B2/3B1N2/PP3PPP/RN1QR1K1 b - -,c6b4
3r1r2/1bq1bkpQ/p1p1p1nR/np3pP1/2pPPP2/P1N1B3/1P4BP/3R2K1 b - -,g6h8
r6k/pp4bp/3Q4/3P4/4qp1n/8/PP2NK1P/R7 b - -,e4g2
r5k1/pp3pbp/6p1/4n1B1/4P3/1PN4P/P5P1/3R2K1 b - -,a8e8
rn1q1rk1/pb2bppp/1pp1p3/3n4/2pPNB2/5NP1/PPQ1PPBP/3R1RK1 b - -,d5f4
8/3n2pk/p3q2p/2p2pr1/P2p2B1/1P1R3P/2PQ1PP1/6K1 w - f6,g4e2
5r2/p2k4/1b2p3/3p4/3P3p/3K1p1N/P4P2/1R6 b - -,f8g8
2q2b1k/R6p/1n3r2/4p3/1P1pBp2/5P2/2N2QPP/7K b - -,f6h6
4r1k1/2pn1pp1/1p1pr2p/p7/P1PPP3/2P2qR1/3N2PP/5RK1 w - -,g2f3
5nk1/2r2pp1/4p1p1/p2pP1N1/1q3P2/1P5P/P4QP1/R6K b - -,b4c5
2r5/1prqn1kp/p2p1np1/3Ppp2/PP2P3/2N2PPP/1B1Q2K1/R1R5 b - -,c7c4
8/8/6p1/5p1p/1p6/1N2bPkP/6P1/5K2 w - -,b3a1
r1bq1rk1/pp2ppbp/n1p2np1/2P3N1/3P1B2/1QN3P1/PP3PBP/R3R1K1 w - -,a1d1
r1b2rk1/2p3pp/p2b1q2/1pp1Np2/3p4/2P3BP/PPN2PP1/R2Q1RK1 b - -,d6e5
2rq1rk1/3nbppp/p1b5/P1p5/1pN1Pp2/1P1P2PB/1BQ4P/3R1RK1 w - -,g3f4
1k1r3r/1p2bbpp/p1n1pp1n/3pP2P/3P1P2/1PN1BBN1/1P2K1P1/R6R w - -,c3a4
8/1p6/p1p3k1/P1P1B3/1P2KPpP/8/7P/3r4 w - -,f4f5
r1b2q2/1pp5/1n1b1r1k/3PNp1p/p2P1PpP/P2Q2N1/BPP5/1K1RR3 w - -,c2c4
r1bqkb1r/5ppp/p2p4/1p1Pp3/2Pn4/N7/PP3PPP/R1BQKB1R w KQkq -,c1e3
2q2b1k/R6p/1n5r/4p3/1P1pBp2/5P1P/2N2QP1/7K b - -,c8c4
1r1r2k1/5ppn/pp1pqn1p/4p3/1PP1P2P/2BPQPP1/6BK/2R2R2 b - -,b8b7
2r2rk1/4qp2/2n1ppp1/1p1p4/3P1QN1/1NP4P/P4PP1/4R1K1 b - -,f6f5
8/r3ppkp/nR1p2p1/3P4/1P6/6PP/5PB1/5K2 w - -,f1e2
r1bq1nkr/pp2Q1p1/7p/3P4/7P/6N1/PP3PP1/R1B1R1K1 b - -,d8d5
2n1q2r/ppk4p/2r5/2b1pP2/4P2P/3PpQ1B/1P2N3/3R1K2 b - -,c7b8
8/6r1/4k3/R4b2/8/8/7K/8 w - -,a5c5
8/1p2k3/3p3p/2nP1pp1/r6P/4P1P1/5PB1/3R2K1 w - -,h4g5
r1b2rk1/2q2pbp/p2p1np1/N2Pp3/1P6/3B1N1P/5PP1/R1BQR1K1 b - -,e5e4
r1rn4/1p1kbpp1/4b2p/pN1pPp2/3P4/P3B3/1P3PPP/1NR2RK1 w - -,c1c8
6k1/pp2rpb1/3r2pp/8/1P1N4/PR4P1/5P1P/2R2BK1 b - -,g7d4
r4rk1/pp1nbppp/1Q1pb3/4n3/4PB2/1NN5/PPP1B1PP/R4R1K b - -,d7b6
3r1k1r/pp3q2/6nb/3p1p1p/4p2P/2P2PPR/PPBNQ3/2KR4 w - -,f3e4
6k1/3bp2p/6p1/1p6/1PnNpPP1/6KP/8/1rB1R3 w - -,d4c2
r2qk3/2p1bprp/p3b1B1/1p1p4/8/2P5/PP3PPP/RN1QR1K1 w q -,e1e6
r2r2k1/1p3ppp/3P1n2/p7/1q1Q2b1/5NPP/PP4B1/3R1RK1 b - -,b4d4
6k1/2B4p/6pK/8/1P1b1P1P/8/8/8 w - -,b4b5
r2q1rk1/ppp2ppp/1b1pbnn1/4p3/2B1P3/2PP1N1P/PP3PP1/R1BQRNK1 w - -,c4b3
8/5p2/2b5/2k1p1p1/3nP1P1/3PK3/8/8 b - -,c6d7
8/7p/6p1/7k/6q1/8/7K/3Q4 w - -,d1d5
3r2k1/pp3p1p/5Rp1/3p4/3N2P1/2P1P2P/Pr1NK3/8 b - -,b2a2
3r2k1/qp3pp1/2p4p/r1N1b3/p1R5/P3P1P1/1P2QPP1/2R3K1 b - -,d8d5
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2N3P1/PPP1PP1P/R2QKBNR w KQkq c6,e2e3
4rbk1/5p1p/4r1p1/PQpq4/3p1B2/3P2P1/1PR1PR1P/6K1 b - -,d5a2
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P1B2/2PB1N1P/PP3PP1/RN1Q1RK1 b - -,f6e4:c8f5
2rq1r1k/3b1pbp/3pn1p1/1P2p3/pNBnP1P1/P1Q1BP1P/1P1N4/1K1R2R1 b - -,d7b5
2b1r1k1/Rp4qp/1PpBnbp1/Q1Pp1p2/3P4/2NB3P/5PP1/6K1 b - -,f6d4
8/8/K1k5/P1rp4/5RP1/8/8/8 w - -,f4f6
3r2k1/1b3p2/1p4np/1N2ppq1/2B5/P3PP2/1P2Q1PP/5RK1 w - -,g1h1
r4rk1/2n3bp/1p2q1p1/1Ppnp3/2Np4/3P2N1/2P2PPP/1RBQ1RK1 w - -,g3e4
2r3k1/N4ppp/4p3/1r1n1b2/2R2B2/6P1/P3PKBP/5R2 b - -,c8c4
rnbq1rk1/1p1pppbp/2p2np1/pP6/2P5/4PN2/PB1P1PPP/RN1QKB1R w KQ -,b1a3
8/1p2Bpk1/pN1p2p1/5P2/2P5/1P1p3P/1Pr2n2/R5K1 w - -,b6d5
r1bqk2r/1p1pnpbp/p1n1p1p1/8/P1BNP3/2N5/1PP2PPP/R1BQ1RK1 w kq -,c1e3
r5k1/pp3pbp/n1p2np1/4p3/4P3/2N1BB1P/PPP2PP1/R2r2K1 w - -,a1d1
2rqk1nr/pp3pbp/2B1p1p1/3pP3/3P2b1/2N2N2/PP3PPP/R1BQ1RK1 b k -,b7c6
5r1k/2p1q2p/r2n1ppP/1pn1p3/p2P2P1/P1P1P3/BP3RQ1/5RK1 w - -,d4c5
6k1/p2n1ppp/2b5/2p1q3/2Pp1N2/1P3PQP/P5PK/5B2 w - -,f4d3
2kr2r1/pp3p2/2pb2pp/q2P3n/PnB5/2N1BP2/1P2QP1P/3R1R1K w - -,d5c6
8/7p/4Np2/5P2/4k1K1/7P/8/6b1 w - -,e6f4
5rk1/5pp1/r3pn1p/p2qN3/2R5/1P2RQP1/P4PKP/8 b - -,a5a4
rbb2rk1/pp2qppp/5n2/1N1pn3/8/1P2PN2/P1QBBPPP/2R2RK1 b - -,f6e4
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b kq -,e8g8:c6a5
r1bqr1k1/3n1pbp/p2p1np1/1p1pp3/2P1P3/2N1BNPP/PPQ2PB1/R4RK1 w - -,c3d5
r3r1k1/1pB1pp2/2p1b1pb/3q2N1/p2P1QP1/P1R5/1P3P1K/4R3 w - -,e1e5
rn3rk1/2qb1pbp/3p2p1/2pP3n/1p2P3/P1N1B3/1Q1NBPPP/R3K2R w KQ -,a3b4
8/7p/ppk3p1/3pPPP1/P2K3P/8/8/8 b - -,c6d7
rnbq1rk1/1pp1ppbp/1n4p1/8/p2PP3/1QN1BN1P/PP3PP1/R3KB1R w KQ -,b3c2
5rk1/p3R3/5ppq/3Q4/2p4P/6B1/P5BK/8 b - -,g8h8
6k1/1R4P1/8/2r2PK1/8/8/8/8 w - -,g5g6
1rbq1rk1/p6p/2p3p1/2Np1n2/8/2QP3P/PPP3PN/R4RK1 b - -,d8h4
1R1b4/1p5p/1P1r1pp1/3kp3/6P1/4BK2/5PP1/8 b - -,d5c6
4r1k1/1p5p/p1p1b2q/2PpRnp1/PP1P1p2/1B6/3Q2PP/5RK1 w - -,f1e1
r2r2k1/2b1q2p/6p1/p2p1pN1/Pp1PbP2/1Pp1P2P/5QP1/R1BR2K1 w - -,d1f1
r1bq1rk1/pp2bpp1/2p2n1p/4n3/3N4/P1N1BB2/1PP2PPP/R2QR1K1 w - -,h2h3
3rr3/p1p2pk1/b1pp4/5n1p/2P2PpP/1P4P1/P2NR3/2K2BR1 w - -,e2e8
r1bqrbk1/1p1n1p1p/2pp1np1/p7/2PPp3/1PN2NPP/P1Q1PPB1/1RBR2K1 w - -,f3d2
3qr3/pk3p1p/4b3/2p5/B1p1p3/2Q5/PP3PPP/5RK1 b - -,e8g8
7k/1p1r2p1/p2Ppp2/6p1/bP2P3/P7/BBR4P/6K1 b - -,a4c2
5k2/1p3qb1/p1pPp3/4Br1n/3P3R/7Q/PP3P1K/6R1 b - -,g7e5
r7/p1rkbppp/R1p5/2B1p3/1P6/6P1/RP3P1P/6K1 w - -,g1f1
5bk1/5q2/3p1p1p/rp1R1Q2/p7/P4N1P/1P3PP1/6K1 w - -,f3d4
8/2k5/P7/6K1/3n1P2/8/8/5B2 b - -,d4f3
8/3r1pk1/5b1p/2PB1RpP/8/3p2P1/5PK1/8 w - -,g2f3
r1bqk2r/p1p2ppp/2pp4/4n3/1b2P3/2NB1Q2/PPP2PPP/R1B2RK1 w kq -,f3g3
r2q1rk1/1bp2pp1/pbnp1n1p/1p2p3/3PP3/PBP2N1P/1P3PP1/RNBQR1K1 w - -,c1e3
8/4ppk1/p1r4p/8/1rNb1P2/3B2P1/1P1N1P1P/1R4K1 w - -,g1g2
4r2k/p5p1/1p6/n2q1p1p/Q2P3P/2PB1p2/P1K5/5R2 b - -,e8c8
2n1r3/kp2rqpp/p2p1p2/3P4/1R1P4/P2B1Q1P/2P2PPK/1R6 b - -,g7g6
r1bqk2r/pppp1ppp/2n2n2/1B2p3/4P3/2b2N2/PPPP1PPP/R1BQ1RK1 w kq -,b2c3
2k5/1p5R/2pb4/p4p2/P3bP2/2P1K3/8/8 b - -,b7b5
