8/8/4kp2/1R2p3/8/r4PK1/8/8 w - -,b5b6
r3k2r/1p2bpB1/p2p2p1/q1pP3n/P1n2Q1P/2N2P2/1P2PP2/3RKB1R w Kkq -,f4c4
3r3k/ppn1p3/3p4/3P4/2PpB3/7P/PP4P1/R1B3K1 b - -,b7b5
7R/1b1k1pr1/p3n3/n1qpPB2/Pp5Q/1P5P/5PP1/3R2K1 w - -,h4h6
8/R1Rnk3/8/2Pr1p2/3P4/2B1PK1r/8/8 w - -,f3e2
6k1/5pp1/5n2/P2r3P/4p3/B1q1b2P/6B1/R3R1K1 w - -,g1h1
7R/1b1k1r2/5p2/p1p1nPp1/4P1P1/1P3B2/6K1/R3b3 b - -,e1c3
3q1rk1/pbr1bppp/1pn1pn2/3pN3/1P1P4/P1N3P1/1B2PPBP/R2QR1K1 b - -,d8a8
8/2k4r/p1bp4/8/2pBP3/8/P5B1/3N2K1 b - -,h7h5
8/pn6/7p/2p1k1pP/2P1p1P1/PB2K3/8/8 w - -,b3c2
4k3/5pp1/4p1p1/R7/3P1P1P/4K1P1/1r6/8 b - -,b2b3
4k3/N4ppp/3p4/1P1n2P1/8/8/5PKP/8 b - -,e8d7
r4bk1/B2R2pp/8/8/8/6PP/5PK1/8 b - -,a8e8
r3n1k1/p1q1rppp/1pp1b3/2P5/1B2P3/5PP1/P1QR2BP/3R2K1 b - -,e7d7
6k1/p1p2rbp/6p1/2BPpb2/1NP5/6P1/Pr5P/R3R1K1 b - -,g7f8
8/1r4p1/R4b1p/1pk2K1P/8/1R4P1/P7/8 b - -,f6d4
2rn4/2pR1ppk/p3r2p/1pR1pN1P/1P2P3/2P3P1/1P4P1/6K1 w - -,c5c7
r7/p1pnbr1k/1p1p2n1/3P1p1N/3P2p1/3B2P1/PP1BRP2/2R3K1 b - -,d7f6
2r1k2r/pp1b2pp/4p3/1nb2p2/5N2/1PP1B3/P1B2PPP/R2KR3 w k -,e3c5
6k1/7b/p1p2r2/1p3pBP/4p3/1P2P2B/P3K3/8 b - -,f6d6
1r5r/2q1n1k1/1p1p1pp1/p2Pb2p/P1P5/1P4P1/5QKP/1BBR1R2 b - -,h5h4
3r1rk1/1ppqbpp1/2n1bn1p/p2pp3/P3P3/2PP1NN1/1PQ1BPPP/R1B1R1K1 b - -,f8e8
r1bq1rk1/pp3ppp/3bpn2/3pn3/1P6/P1P2NP1/3NPPBP/R1BQ1RK1 w - -,f3e5
8/6p1/Pb4p1/3q2k1/6P1/8/4QPK1/3B4 w - -,g2g1
r1bq1rk1/pp1n1pbp/6p1/2p5/1n3N2/BPN1P1P1/P2P2BP/2RQ1RK1 w - -,a3b4
r1b1nrk1/6bp/p2p2q1/1NpPp3/2P1PpnB/P2N1B2/4Q1PP/R4RK1 w - -,b5c3
b7/3nk1b1/p2pp2p/N4pP1/N4P1P/3PB3/1P6/2K5 w - -,b2b4
r2qk2r/ppp3bp/2np2p1/4pb2/2P1N2P/3PB3/PP3PP1/R2QKB1R w KQkq -,h4h5
r2r2k1/1p2qppp/2p2nb1/p7/PbB1PN2/1Q2BP2/1P4PP/2RR3K b - -,d8d7
1N2k3/4bp2/p5b1/1p6/6P1/8/P1K5/1B1Rr3 w - -,c2d2
8/7k/4pQ1P/3bP3/7K/5p2/5P2/6r1 b - -,g1g6
r4rk1/pb1pqpb1/6p1/n1pBpN2/Pp2P3/1P1P4/2P2PP1/R1BQK2R b KQ -,e7f6
4rrk1/Q4bbp/1p4n1/2p2p2/2PqnP2/3p1BPP/PP1N2KB/3NRR2 w - -,h2g1
2r5/p3k2p/4p1p1/2p5/1r2n3/1P3P2/P5PP/2R1R1K1 w - -,e1e4
r3k2r/ppq2ppp/2p1p2P/3nP3/3P2P1/2P5/PP1Q4/R2K1B1R b kq -,g7h6
8/1b4k1/p7/2p5/BpP4N/1P4KP/1r4P1/8 b - -,b7e4
r1bq1rk1/p2n1pnp/1p1p2p1/2pP4/1PP1PQ2/P1NN4/4B1PP/R4RK1 b - -,d8e7
8/4pp1p/4k1p1/pp2P3/P2R4/1r2P1B1/5PbP/K7 b - -,b5b4
r4r1k/1bq3pp/pnnbN3/1p2pp2/2P5/1P4P1/PB1NQPBP/R2R2K1 b - -,c7e7
rnb1k2r/4ppbp/pq1p1np1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2:f3d2
8/8/8/p1r5/1k1K4/5R2/8/8 b - -,c5c4
2rbr1k1/1p1n1pp1/p1p1pn1p/2Pp4/1P1P1BPP/2N1PB2/1P3P2/R3R1K1 b - -,e6e5
k7/1R6/P7/8/8/8/7K/6q1 w - -,h2g1
4r3/8/3P2k1/3K2p1/8/8/R7/8 w - -,d6d7
8/5q2/5r1k/p2R1Pp1/P2Qp3/4P3/5P2/1r3BK1 w - -,d5d7
4k3/8/2b1rqp1/1p1p3p/1B1P1p1P/P1Q5/5PP1/2R3K1 b - -,f6h4
3r2k1/1b2qpb1/1P4r1/2pp2pp/4n3/4P2P/5PPN/1RRQBBK1 b - -,g5g4
r3r3/1R1N1pk1/p1RP2p1/P3p3/4P1Pb/5K2/8/8 b - -,e8e6
8/6pk/5n2/p7/3P2p1/P1R2PP1/4qBK1/2R5 b - -,f6d5
r2qkb1r/pb1pnppp/1p2p3/8/3pPP2/3P2PB/PPP1Q2P/RNB2RK1 b kq -,e7c6
r2r2k1/p5pp/3p1bb1/4p3/2N4n/1Pp1BPNP/P5P1/2R1R1K1 w - -,c4a5
2nr1nk1/1p2qp1p/2p1p1p1/p3P3/2P2Q1P/1P3NP1/P4PB1/3R2K1 w - -,d1e1
8/6K1/4k1P1/8/7R/8/6rp/8 w - -,h4h5
r2qnrk1/3Q1ppp/8/5PP1/4P3/bp2B3/1P5P/1K1R1B1R b - -,d8a5
r1b3qk/4b2p/3p1p2/p2Qp2B/1pP1P3/4B3/PP4PP/R5K1 b - -,g8d5
r1bq1rk1/ppp3bp/2np1np1/5p2/2PPp3/2N1P2P/PP1NBPPB/1R1Q1RK1 b - -,d8e7:c6e7
r1bqk2r/3nbppp/2n1p3/1p1pP3/p2p4/P1P2N2/1PBN1PPP/R1BQR1K1 w kq -,c3d4
6k1/3R1pb1/2p3p1/2B1p2p/4P3/6P1/1P3PKP/4r3 w - h6,g2f3
8/pk2r2p/5Rp1/1p2n3/PP6/1KPp3P/1N1Bb1P1/8 b - a3,a7a6
rnbqk2r/pp1p2pp/2p1pn2/5p2/1bPP4/1QN2N2/PP1BPPPP/R3KB1R b KQkq -,a7a5
8/p2qb3/k7/Pp2pp1P/1P6/4B1P1/5P2/1Q4K1 b - -,e7d6
br5k/p4rb1/2p4p/3n1pq1/N1B1p3/BP4P1/P1Q2P1P/3RR1K1 w - -,a3b2
8/8/7p/4kp2/Pb4p1/4K3/6B1/8 b - -,f5f4
2r1k1r1/p2p3Q/3B2q1/2p1p3/2n5/8/P4PPP/3R1RK1 w - -,h7e7
2r2rk1/1p1n1p2/4p1p1/3pPn1p/PPqP1P2/Q1p2N2/2R2BPP/R5K1 b - -,c8c7
2k3rr/p2n4/4pp2/q1ppn1BP/1p6/3P2Q1/PPP1N1B1/1K1R3R w - -,e2f4
q3r1k1/4ppbp/r4Bp1/2pnN3/8/2N4P/PP2QPP1/R2R2K1 b - -,d5c3
r4q1k/1p1bb1pp/p2pp3/8/3NP3/1PN1Q3/1PP3PP/R6K b - -,f8f7
2k1q1r1/1p1b3Q/4p1p1/3p1R2/2pP4/P1P5/1P3PPP/R1B3K1 b - -,e6f5
8/3k2B1/p6P/1p1P1R2/1b2K1Pr/8/8/8 w - -,f5h5
r1bq1rk1/8/npp1p1B1/p2pP1b1/3P4/1PN4P/P1P1Q1P1/R4RK1 w - -,h3h4
2b3k1/6p1/p4p1p/R1P5/7P/2r2N2/5PPK/8 w - -,f3d2
8/5R2/6p1/5p1P/kp3P2/6r1/1K6/8 w - -,h5g6
2q1r3/3b1pbk/2Np2pp/P2P4/5P2/5N2/3QB1K1/2R5 w - -,g2f2
1rq4r/4pk2/3p1pn1/p1p2R2/1p2P1QP/1P1P2P1/P1P3B1/5RK1 w - -,g2h3
r7/1p3p1k/1b2bBp1/6Pp/p7/P4P1P/1P4K1/2R1R3 b - -,a8e8
8/B6p/8/5p2/2k1p3/1r4P1/5P1P/6K1 w - -,g1g2
5rk1/6bp/p3N1p1/2p5/1n2NP2/1P3Q2/2q3PP/3R3K b - -,f8e8
rn1q1k2/p3bpp1/2p1p2r/1p2P2p/3PN1b1/1B1Q1PN1/PP4P1/R4RK1 b - -,g4f5
r1bq1rk1/1pp2pb1/3p1npp/2nPp3/p1P1P3/2N1B3/PPQ1BPPP/R3NRK1 b - -,a4a3
1Q2nbk1/5p1p/5n1p/8/1p6/2r2P1P/6P1/5K2 w - -,b8e5
r1bqk2r/pp1n1pbp/2pp1np1/4p3/P2PP3/2N1BN2/1PPQ1PPP/R3KB1R w KQkq e6,d4e5
r1b2rk1/pp2qppp/n3pn2/8/Qbp5/2N3P1/PPN1PPBP/R1B2RK1 w - -,c2b4
r4k2/2R2p1p/p3p2P/3bPp2/3P1K2/6P1/8/5B2 w - -,f4g5
4r2k/1n1n2p1/pp1q1r1p/4bp2/1PP5/PN1P1N2/4RBPP/3QR1K1 b - -,e8e6
8/5p1k/p2p3p/2pb4/4rPpP/1P4P1/1BR4K/4bR2 w - -,f4f5
r2q2rk/1p5p/p1p2p2/3PQ2p/8/2NP1P2/PP3P2/2KR4 w - -,e5h5
4r3/p4pk1/1p2qbp1/3p1p1p/3P1P1P/P1P1RKP1/1P1Q1N2/8 b - -,e6e3
4rr1k/2p4p/1p1pb2q/5Pp1/1P2nn2/4QB2/1B3PPP/3R1RK1 b - -,e4f6
3b4/p6p/1pn1k1p1/2p1pp2/4P3/2P1NPPP/PPK5/2B5 w - -,e3d5
r4rk1/pp1nbpp1/1q2p1p1/2ppP3/2P2B2/4PN1P/PP3PP1/R1Q2RK1 b - -,f8d8
7k/p5p1/1p2Q2p/1P6/2P3PP/q7/5PK1/8 b - -,a3c1
r1b1kb1r/p1q1pp1p/1pp3p1/2p1P1B1/4N3/3P1Q1P/PPP2PP1/R3R1K1 b kq -,c8e6
r1bq1rk1/p4pb1/1p1p2pp/4p3/2P1P3/2N1Q1PP/PP3PB1/R4RK1 w - -,f1d1
8/7p/6p1/1p1r2P1/1K3PkP/8/8/2B5 w - -,c1e3
r2qkbr1/pbpn4/1p1pp2p/6p1/2PPp3/4PN1P/PP3PPB/R2QKB1R w KQq -,f3d2
r5k1/3b2bp/pP4p1/2B5/6n1/3p2N1/1P3PPP/R3R1K1 w - -,a1a6
1kb1r2r/ppq2p2/8/3p4/3N2p1/2PBP1b1/Q4KP1/RR6 w - -,f2f1
3r3k/p2P1p1p/3n2r1/3Bp3/8/Pp6/1P6/R1K1R3 w - -,d5b3
4r1k1/p2q4/P2p2p1/1p1P2p1/1Pr1pp2/2P4P/3QRPP1/R5K1 b - -,e8e5
1r4k1/3qpp1p/p2p2p1/Q2P4/4n3/1P6/5PPP/1R4K1 b - -,d7a7
8/1p2p2k/p3P2p/P1p2Rr1/3pP2P/1P2p1P1/2P3K1/8 b - -,g5f5
4r1k1/7p/2b3p1/p1p2r2/3P4/P7/1B1R3P/R5K1 b - -,f5g5
3r2k1/1p3pp1/p3q2p/P3PpP1/1PrBpPbP/2P1K3/5Q2/2R1R3 b - -,c4d4
r2q1rk1/pp2bppp/2p5/4P3/4NB2/6Pb/PP3P1P/R2QR1K1 b - -,f8e8
4r1n1/rq3p1k/np4pp/p2pP3/7P/2R1BN2/PP1Q1PP1/3R2K1 w - -,c3b3
r1bqk2r/pp1npp1p/2pp1npQ/8/2PPP3/5P2/PP4PP/RN2KBNR b KQkq -,d8b6
8/8/8/3qp3/k7/4P3/2Q3PK/8 b - -,a4b4
8/5k2/R3n3/6p1/6P1/3K4/2R5/4r3 w - -,c2f2
r2qkn2/p5p1/1p1bp1p1/3p2Pn/3P4/1QN5/PP2PP2/R1B1K2B w Qkq -,c1d2
8/3k4/3bp3/3p3p/3P3P/5K2/5B2/8 b - -,d7c6
r1bq1rk1/1ppn2bp/p1npp1p1/5p2/1PPPP3/P1N1BP2/3Q2PP/1RN1KB1R w K f6,e4f5
r2r2k1/5ppp/2pp1q2/p2n4/PnB5/1N3P2/1PP2QPP/1K1RR3 b - -,d8b8
r2q1rk1/1ppbbppp/p1np1n2/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQR1K1 b - -,b7b5:f6e8:f8e8:h7h6
1r2r1k1/R4p1p/1q4pb/2pPp3/1p3P2/4Q1N1/1P6/R4BK1 w - -,a1a6
2q5/1kr4R/1p5p/p2r2p1/Pn1pQ3/1R3N2/5PP1/6K1 b - -,c7h7
3r4/pp6/2p1k3/2n1p1pn/4P2p/P1N2P1P/1PP1NKP1/7R w - -,h1d1
r1nq1rk1/1p3ppp/p3p1B1/P1bpP3/8/8/1PP2PPP/R1BQNRK1 b - -,h7g6
6k1/p4pp1/1p5p/3N4/7P/4P1P1/r5K1/8 w - -,g2f3
1qr3k1/1p2bppp/p3pn2/B2p4/3P4/1Q2PPP1/PP5P/2R2BK1 w - -,c1c3
4q3/p2b2bk/1p2p1p1/2p1P1P1/P1B1P1QP/1PB5/6K1/8 w - -,g2f3
rn1q1rk1/1b2bppp/p2p1n2/1ppP4/4PB2/P1NB1N2/1P3PPP/R2Q1RK1 b - -,b8d7
rnbqk1nr/pp1pppbp/2p3p1/8/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,d7d5
8/1p4kp/3p4/3P2P1/7P/pP6/P7/2K5 b - -,g7g6
2kr2nr/ppq2ppp/2n1p1b1/2bpP3/3N1PP1/2N1B3/PPP4P/R2QKB1R w KQ -,d4e6
3r4/1R4P1/8/7p/P3k2P/4p1P1/8/3K4 w - -,d1e2
1brq1rk1/1b3ppp/p4n2/1p1p4/8/PP2P2P/3BNPP1/1BRQ1RK1 b - -,d8d6
2rr2k1/p3np1p/1p2pbp1/8/2P1B3/PQ6/5PPP/2R3K1 b - -,d8d4
8/1p3k2/p4b2/3Pp3/7p/PP1K2pN/8/8 b - -,f7e7
1r4k1/3brpbp/p2p4/P2P4/2pqPP2/1p2R3/1P3RBP/3NQ2K w - -,d1c3
r2q1rk1/pp2ppb1/2Bp2p1/2P2b1p/4QP2/2N4P/PPP3P1/R1B1K2R w KQ -,e4e2
8/pppb1p1k/3p3p/3P2p1/P1BP2qn/6Q1/1P2rPPP/2R1B1K1 b - -,e2b2
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQ1RK1 b k -,e8g8
5rk1/1p4b1/p2pr2p/2pNn3/2P2p2/P6P/1P4P1/R3NRK1 w - -,f1f4
r1bq1rk1/pp2ppbp/2n2np1/8/2Bp4/1PN1PN2/PB3PPP/R2QK2R w KQ -,e3d4
r1bqk2r/pp2nppp/2nb4/3p4/3P4/1P3N2/2P1BPPP/RNBQ1RK1 w kq -,c1a3:c2c4
r1b1k2r/pp1p1ppp/4pn2/2q5/4P3/2NB4/PPP2PPP/R2QK2R w KQkq -,e1g1
r1bq1rk1/1p2bpp1/p1n2n1p/4p3/2B1P3/P1N2N2/1PQB1PPP/1K1R3R b - -,e7d6
rnbqk2r/1pp1ppbp/p2p1np1/8/3PPP2/2N1B2P/PPP3P1/R2QKBNR b KQkq f3,e8g8
r2qkbnr/pbpp1ppp/1pn5/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,e2e3
4r1rk/2p5/1p2q3/p2pP1bp/3P1p2/PQ2B3/2P1R1PN/5R1K b - -,f4e3
r4rk1/p1ppqpbp/bnp3p1/4P3/2P1QP1P/2N5/PP1B2P1/2KR1B1R b - -,f8e8
3r1rk1/1p3ppp/8/1R2P3/2n2PPb/p2p3P/P2B2B1/5RK1 w - -,f1d1
r2q1r2/p1n1ppkp/1npp2p1/1p2P3/3P2b1/P1N2N2/1PPQBPPP/3R1RK1 w - -,h2h3
1k1r3r/p1p2pb1/1p2n3/3qpQ1p/8/3PN1P1/PPPB1P1R/R3K3 b Q -,d5c6
1r1r2k1/1q4p1/2B1p2p/2p1Pp2/1pp5/1P2P1PP/2Q2P2/R2R2K1 b - -,b7c6
8/8/p5p1/2n2k2/2K5/4NP2/8/8 b - -,f5f4
rr4k1/p2b1pb1/2p3pp/3p4/NQ1Pp3/4P1P1/PP3PBP/2R2RK1 b - -,b8b4
1r3rk1/pppq2b1/P2pn2p/1P1Np1p1/2P5/3PP1Pb/2QN3P/1R2R1KB b - -,h3f5
3rr1k1/5p1p/p5p1/3pB3/2p5/5B2/P5PP/3R1RK1 b - -,e8e5
2b3k1/2r2pb1/1n4pp/pB2p3/P7/2P1NPP1/4N2P/3R2K1 b - -,c8b7
5rk1/pp4pp/n1p1qp2/Q7/2n1P3/2B3P1/PP3PBP/3R2K1 w - -,a5h5
6R1/8/8/8/2k5/2P5/2K5/7r w - -,g8c8
8/p4pk1/8/4P1pp/P4n2/3B2K1/6PP/8 w - -,d3c4
5r1k/4b1p1/Q6p/1p1q4/1P1P4/P7/5PPP/3R1RK1 w - -,a6g6
3r4/1N3pkp/pqn2bp1/8/1P1pQ2P/P5P1/1B3P2/2R3K1 b - -,b6b7
8/6n1/5k2/4p3/5pRp/5P1N/6PK/4r3 b - -,g7f5
8/8/5R2/p1k3p1/K1P3rP/P7/8/8 b - -,g5h4
8/5n2/pR2p3/2N1k1p1/1PP3P1/4PK2/8/r7 b - -,f7d8
r1b1r1k1/1pp1bp2/p2q1n1p/3PR3/8/2NB2Bp/PPP1QPP1/R5K1 b - -,d6b4
1r1qk2r/b1p2ppp/p1np1n2/Pp2P3/4P1b1/1BP1BN2/1P3PPP/RN1Q1RK1 b k -,g4f3
r1b2rk1/pq2b1pp/n4p2/QNnpp3/7P/4P3/PPPB1PP1/2KR1BNR w - -,d2e1
r1b1k2r/1pq1bppp/p1nppn2/6B1/4PP2/1NNB4/PPP1Q1PP/R3K2R w KQkq -,e1g1
2kr1b1r/ppp2p2/2n4p/6p1/2Pn4/P1N1B3/1P3PPP/R2B1RK1 b - -,f7f5
rq3rk1/4bp1p/p1b1p1p1/P7/2P5/1p1B3P/1P1B1PP1/R2QR1K1 w - -,d2c3
2r1kb1r/1bqp1ppp/p3pn2/1p6/2nNPP2/P1NQ4/1PP1B1PP/2BR1RK1 b k -,e6e5
rnr3k1/pp1b1ppp/1q1bpn2/3pN3/3P1B2/2NB4/PPP2PPP/1R1Q1RK1 b - -,d7e8
r3rn1k/pb4pp/1p2pp2/2pp3q/3P4/P1P1PN2/1P2QPPP/1B1RR1K1 b - -,c5c4
3r1rk1/5ppp/pq1b4/1ppR4/P4P2/4P3/1PQ2PBP/R5K1 w - -,a4b5
3r2k1/b5p1/2p1p3/1p2P1p1/p3p1P1/P1B1P2P/2K2P2/5R2 w - -,f1b1
8/8/1p6/p1k4p/P1r2pp1/3K4/R5PP/8 b - -,c5d5
6B1/1b6/3k1p2/1p1p2p1/1P1K2P1/4PP2/8/8 b - -,b7a8
2r1r1k1/p2q2b1/1p5p/1P4p1/2p1N3/P1Np1PP1/Q6P/2R3K1 b - -,g7c3
1n2r2k/6bp/P5p1/1qpQp3/5r2/1BB4P/1R3PP1/R5K1 b - -,b8a6
r2qrbk1/3b1pp1/pn1p1n1p/1ppPp3/4P3/1PP1BNNP/P1B2PP1/R2QR1K1 b - -,d8c7
6k1/4R3/2r1p2p/2P2pp1/1p1P4/pP2K1P1/P6P/8 w - g6,e7b7
2R5/5p1k/5bp1/8/r6p/4P1P1/5PKP/2B5 w - -,c8c6
1r4nk/5qb1/3RR2p/2p5/2Pp1P2/1P1Q2PP/7K/8 w - -,d6b6
2r3k1/p2pb3/1p2p3/3n1ppp/PnNP4/1P4PP/1B2PPK1/3RN3 w - h6,e1d3
r4rk1/pb2bppp/1Q6/1p1Pp3/8/1nP2PP1/P3N1BP/R1B2RK1 b - -,a7b6
r1br2k1/pp2bpp1/q1n4p/4P3/1PNp1P1P/P4N2/4PPB1/R2QK2R w KQ -,f3d2
r3k2r/p3bpp1/bpp2n1p/2n5/2N1PB2/1PP2N2/P1B3PP/3R1R1K b kq -,e8g8
2qr2k1/p3bppp/1p4n1/3pP3/3Bn3/P6P/1P1NNPP1/1Q1R2K1 b - -,e4d2
3qb1k1/2b1r3/r1p1p2p/ppP2p2/3P3Q/2B4P/P4PP1/2R1R1K1 b - -,e7h7
r4rk1/pp1q2pp/2p1bb2/4np2/3N4/1P2P1P1/PBQP2BP/R4RK1 b - -,g7g6
8/4r1k1/3b4/3P1qp1/7R/6P1/P1BQ2KP/8 b - -,f5e5
r4rk1/ppnbp1b1/2pp1nqp/5pp1/P1NP4/1P1NPPP1/1BP1Q1BP/R4RK1 b - -,g6h5
R4b2/p4pkp/br2n1p1/4Pn2/N4P2/1P3B1P/P3NKP1/2R5 b - -,b6b5
8/5p1k/6rp/7K/4Q2P/8/8/8 b - -,h7g7
2b2r1k/2q4p/p2p1prN/2pPn3/PpP1PQ2/1P2R3/R5B1/6K1 w - -,h6f5
r3r1k1/pR2pp2/7p/3Pb1pB/2n1P3/6B1/q4PPP/3QR1K1 b - -,a2a3
3q1b1k/1r5r/pp1p2Q1/2pPpPp1/P1P1P1n1/1P6/4B1K1/4R2R w - -,e2g4
1qr1r3/1p1n3k/pn1Qp1pb/7p/1PP2P2/1N2B1PP/P3B3/3RR1K1 b - -,b8d6
rn1qr1k1/1p1nppbp/p2p2p1/2pP2B1/2P1P3/2N2B1P/PP1Q1PP1/R4RK1 b - -,g7e5
rnbqk2r/5pbp/p2p1np1/1ppP4/4P3/3B1N1P/PP3PP1/RNBQ1RK1 w kq -,a2a4
1rbq1rk1/2nnppbp/p2p2p1/1ppP2B1/2P1PP2/1NN5/PP1QB1PP/R4R1K b - -,b5c4
2b5/2kr1pp1/2p4p/2n1p3/2P5/6PB/4PP1P/R3N1K1 b - -,d7d2
8/7k/8/7K/4PrR1/7P/8/8 b - -,f4f3
1r1rb1k1/1p2q1p1/pbnppp1p/8/1PP1Q3/P3PNP1/1B3PBP/2RR2K1 w - -,f3d4
r3r3/1b1Nbpk1/2p4p/qp1pBBp1/2nP4/P2QP2P/5PP1/R4RK1 b - -,c4e5
6qk/1ppQ3n/2n5/p2b4/P2Pp3/2P2pPP/1PB2P1K/4R3 b - -,h7f6
r2r2k1/pp2bppp/3np3/2B5/8/2P2N1P/PP3PP1/R2R1K2 b - -,g8f8
8/p2r1kp1/R6p/5P1K/6P1/8/P6P/8 w - -,h2h4
r4rk1/p1p2ppp/1pn2n2/3p1Q2/2qP4/P1P1P1N1/3B1PPP/4RRK1 b - -,c6e7
2r1k3/pRP1nrbp/6p1/4Bp2/5P2/8/P5PP/2R3K1 w - -,e5g7
r3r1k1/1bp1qpp1/np1p1n1p/p2N4/2P1P3/1P3PPP/P2Q1BB1/R4RK1 b - -,f6d5
1rbq1rk1/4ppbp/2np1np1/p1p5/1p2PPP1/3P1N1P/PPP1N1B1/R1BQ1RK1 w - a6,a1b1:f4f5:e2g3
r2qrnk1/1p5p/p3p1p1/3pPp2/3N1PP1/1PPP4/R6P/4QRK1 w - f6,e5f6
r4Bk1/pp2b2p/1q1p2p1/3Ppp1n/4P3/N4PPb/PP1QB2P/R1R3K1 w - -,g1h1
r2q1r2/p4pbk/b1n1p1pp/1p1pPn2/2pP1B1P/N1P2NP1/PP1Q1PB1/R2R2K1 w - -,a3c2
8/6b1/p5p1/4kp2/6P1/7P/Pp2K3/1N6 w - -,e2e3
2rq1rk1/pb1n1ppp/2pbp3/8/1p1PB3/1P2PN2/PB3PPP/2RQ1RK1 b - -,d8e7
2rrb1k1/1p2bp1p/p1nppnp1/q5B1/2P1P3/1PN2PP1/P2QN1BP/2RR3K w - -,a2a4
8/2kn2R1/1p3r1p/p1pB1p2/P1P2p2/2P4P/3K1P2/8 w - -,d2e2
1k1r2r1/1ppbq2p/p7/P3p3/2Pn2pP/3P4/1P2BB1P/R2Q1R1K w - -,f2g3
8/8/8/4p3/1p3p2/1Rk1rP2/P4K2/8 b - -,c3c4
8/r7/3k2p1/2p2b2/P1Pp1K2/1P6/3N4/4R3 b - -,a7f7
2rqr1k1/4bpp1/p2pbn1p/1p6/3QP3/4N2P/PPB2PP1/R1B1R1K1 w - -,c2b3
r5b1/2k4p/1pp2pp1/n1n1p3/P1PrP3/5P2/2RNBKPP/R2N4 w - -,d1e3
