8/8/rp2k2p/1R3ppP/pPP5/P4K2/5P2/8 b - -,e6f6
6r1/3k3R/1P6/2pn4/2N4K/1P3PP1/8/8 b - -,d7c6
r1b1k2r/ppp2ppp/2p5/2bq4/4n3/3N4/PPPPQPPP/RNB2RK1 b kq -,e8g8
r1bq1rk1/pp3p1p/n2n2p1/2pPb3/4P3/2N3P1/PP2N1BP/R1BQ1RK1 w - -,c1f4
r1b2rk1/pp1nqpbp/n1pp2p1/8/2PNPB2/2N3PP/PP3PB1/R2Q1RK1 w - -,f4e3
r1br4/p4pbk/2pBq1pp/1p2P3/8/2PN2Q1/PP4PP/R3R1K1 b - -,e6g4
rn1q1rk1/pb3pbp/1p2p1p1/3P4/3P4/P1n2N2/1P1BBPPP/1R1QR1K1 w - -,b2c3
2rrb1k1/pp2qppp/2n1pn2/8/2BP4/2N2N2/PP2QPPP/3R1RK1 b - -,e7c7
6k1/2nr1rp1/1p1pqP1p/p1nR2P1/P1P1p3/1PQ1N3/1B2P3/5RK1 w - -,d5f5
6k1/p4p2/1p2p2p/5np1/3P2R1/P4P2/1P3P1P/2r2BK1 b - -,f5h4
r3kbnr/pp1b1ppp/1qnp4/1BpN4/4Pp2/3P1N2/PPP3PP/R1BQ1RK1 b kq -,b6d8
r2q1rk1/1pp1ppbp/n2p1np1/p2P4/2PN2b1/P1N1P1P1/1P3PBP/R1BQ1RK1 w - -,d1c2
4r2k/1p5p/3p4/1N6/p4P2/P6b/1bNK3P/7R w - -,h1b1
5r1k/1p3Ppp/2p5/2P2q2/1P1P1Pn1/1B4Q1/7P/5RK1 b - -,h7h6
1q3k2/R2QN2r/1p2Pp2/1P4pp/4b3/7P/2P2PP1/6K1 w - -,a7c7
r6k/ppp4P/3p3n/5p2/2P5/3B4/PP3P2/2K1R3 w - -,e1e7
8/5pk1/p4p2/1p2p2P/1P4P1/P2Q1P2/5q2/2K5 b - -,f2a2
2Nnk3/2R5/4p3/4Pp2/1bP2P2/r4K2/4N3/8 w - -,f3f2
rn1qk2r/pb1p1ppp/1p2pn2/2p5/1bPP4/3BPN2/PP1B1PPP/RN1QK2R w KQkq -,d2b4:b1c3
7r/2p2kr1/1pqpnbn1/p3p2p/P1P1Ppp1/1PPN1P2/1K1N1BPP/1R1QR3 w - -,g2g3
3r1nk1/1pq1rppp/p2b4/3P2PQ/P3p3/4B3/1PP2RBP/3R3K w - -,d1d4
8/8/2kp4/Q3p3/1p6/1P6/Pq4P1/5K2 w - -,a5a4
6r1/p3b1pk/1p2p1np/2p1Pq2/2P2P2/3r2N1/PP4QP/2B2RRK b - -,f5f8
r1b1r1k1/1ppnqppp/3ppn2/8/p1PP4/P4NP1/1PQ1PPBP/R1B2RK1 w - -,e2e3
2rq1rk1/pp1nppbp/3p1np1/1P6/3NP3/2N4P/PP2QPP1/R1BR2K1 b - -,d8c7
r5k1/P1r1bpp1/R1p4p/3p4/1q1Pp3/2N4P/RP3PP1/2Q3K1 b - -,b4b7
3rk2r/p1p1nppp/1pnq4/4p3/3P4/1QP1PP2/P2B1PBP/R4RK1 w k -,d2c1
5r2/1pp1k1pp/p1n1pn2/4p3/1b2P1PP/P1N1BP2/1PP1N3/2Kr3R w - -,h1d1
r1bq1rk1/ppp2ppp/2n5/3n4/3P4/P3P1P1/5PBP/R1BQK1NR b KQ -,f8e8
r3rnk1/p2q1pb1/bp1p3p/2pP2p1/PnN1P3/1PN1BPP1/7P/2RQRBK1 b - -,f8g6
1B6/1p3p2/p3np2/8/5NkP/PP3bP1/2PK4/8 w - -,f4d3
5bk1/3q1npp/2p5/p1Pp4/Pr1B1N1P/6P1/3Q1P2/4R1K1 b - -,f7d8
8/6k1/4R3/Ppp2r2/8/3Pp1P1/1PP3K1/8 b - -,f5f2
2kq3r/1p1rbppp/p3p1b1/1n6/2NPBB2/2P2Q2/5PPP/R3R1K1 w - -,e4g6
k7/1p6/p6p/3q4/P7/2Q5/KPP5/8 w - -,b2b3
4k2r/1nr1bppp/pN2p3/1p2N3/1PP2P2/6P1/P5KP/R2R4 w k -,c4b5
5r2/5pkp/6p1/3p1b2/8/4PPP1/r6P/R4BK1 w - -,a1a2
4b3/1R3p1p/1p3kp1/2bB4/p4P2/P4KPP/1P6/8 b - -,h7h6
r1bq1rk1/pp1pppbp/2n2np1/8/2P5/2N1P3/PPN1BPPP/R1BQK2R b KQ -,d7d6
3q1rk1/p1r1ppbp/3p2p1/1p1P1b2/8/1Q2BP2/PPPN2PP/2R2RK1 w - -,c2c4
2qr4/3b2bk/1Np2ppp/pP6/4R3/1QP3P1/P4P1P/5BK1 b - -,c8b7
r1br4/1p1kbppp/p1np3q/8/1PP1Pp2/5N2/P2BB1PP/R2Q1K1R w - -,d1c1
4n3/1p1nqpk1/3p2p1/rQ1Pp3/N3P1P1/3B1P2/3b2K1/R6R w - -,b5b7
3rn1k1/1p1r1pb1/1q1pb2p/p1p3p1/PnP1P1P1/2N2NBP/1P1RQPB1/3R2K1 w - -,c3b5
r1bq1rk1/pp4bp/2n1Ppp1/3p4/3P4/2PB4/PP4PP/R1BQK1NR b KQ -,c8e6
3b1rk1/1r4p1/2bp1p1p/p1qNpP2/1pPnP1PP/1P2N1Q1/PR4B1/5R1K b - -,a5a4
r4rk1/ppq2ppp/4pn2/2b5/5P2/2PQ4/PPN3PP/R1B2R1K b - -,f8d8
1rb1r1k1/1pqn1pbp/p2p1np1/P1pP4/2N5/2N3PP/1P2PPB1/R1BQ1RK1 b - -,d7e5
8/p4k1p/r5p1/Bp3p2/8/1P4P1/P2R1P1P/5K2 b - -,a6a5
r2q1rk1/1p3pbp/3ppnp1/3Pn3/p3P3/4QP2/PP3PKP/RNB1RB2 w - -,d5e6
8/4KQ2/6pk/7p/5P1P/2q3P1/8/8 w - -,f7f6
1r3rk1/4bp1p/2R3p1/4P3/1p3q2/1Q3B2/PP4PP/4R2K w - -,c6c7
8/7p/1p1n1kb1/p1pP2p1/P1P5/1P5P/3N1K2/3B4 b - -,f6e5
r1b1kb1r/p1q2ppp/4pn2/3p4/8/1N1B4/PPP2PPP/R1BQ1RK1 b kq -,f8d6
rn1qr1k1/3n1pbp/p1pQb1p1/8/2p1PPP1/2N1B3/PPN1B2P/3R1R1K b - -,d8h4
3r1rk1/1bq3pp/2pp1n2/p3p1B1/2P4Q/2R5/PPB2PPP/3R2K1 b - -,h7h6
r3k3/1p6/8/3p4/3Q4/6P1/1r2q1BP/2R4K w - -,d4h8
r1bq1rk1/pp1nppbp/2pp1np1/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,f8e8
3r2k1/r2n1pp1/1q2p2p/pn1p2b1/R6P/1P1NP1P1/PB1Q1PB1/2R3K1 b - h3,g5e7
r1b2r1k/1p4pp/nqpp1b1n/p4p2/2PPpN2/P1N1P1P1/QP1BBP1R/2KR4 b - -,f6g5
2r3k1/1q3ppp/3bp3/6n1/1p5P/1Q1NP1P1/1P2NP2/3R2K1 b - h3,g5f3
8/pp2r2p/6p1/2kp4/PR4P1/3P3P/5K2/8 w - -,b4f4
6k1/2R3pp/4N1n1/p7/1rP2P2/8/7P/6K1 w - -,c7g7
8/p7/1p2kBPr/3pPn2/3P4/2bR1K2/P7/8 w - -,f3e2
5r1r/pp1k1ppp/1qnNp3/2pnP2b/4Q3/2PB2BP/PP3PP1/R4RK1 w - -,d3c4
3r2k1/pp3p1p/6pb/3N4/2P3Pq/1P3p2/P3Q2P/1K5R w - -,e2f3
8/8/k1np2r1/pp2b3/7R/2PN1R2/PP3K2/8 w - -,f3h3
2r4r/2Bk2p1/p2Pb1pp/7P/1np2P2/8/P7/2K1RBR1 w - -,g1g6
br1q1rk1/p3bpp1/5n1p/1B1p4/P1pP4/N1P1PpP1/3NQ1P1/R4RK1 w - -,g2f3
4rbk1/5pp1/P7/2p5/2N5/4PqP1/2Q2P2/1R4K1 w - -,a6a7
r3kb1r/pp3ppp/2n1pn2/3q4/3P2b1/5N1P/PP2BPP1/RNBQ1RK1 b kq -,g4h5
6k1/pbr2p2/1p1q2p1/8/1P1b2Q1/PB5P/6P1/3R3K w - -,d1d4
8/ppp2k1p/5p2/3p2p1/2nP2P1/P1P5/1P3RPP/6K1 w - -,f2e2
7R/8/8/8/6k1/8/3K3p/8 b - -,g4g3
8/k6p/P1B3p1/1P1N4/8/7n/8/4K3 w - -,c6b7
r1b1kb1r/1pq2pp1/p2ppn1p/8/2BQP2P/2N5/PPPB1PP1/R3K2R w KQkq -,c4b3
6k1/4q1p1/1P6/5Q2/p4P1p/P6P/6PK/8 w - -,f5d5
8/8/8/5N2/5K2/r7/1R6/6k1 b - -,a3a8
q6r/2pb2k1/1p1p1p2/1P1PpPp1/2P1R1P1/5N2/3B1P2/2Q3K1 w - -,d2g5
r7/1p2k1pp/3n1p2/P3n3/P1p1P2P/2P1B1P1/2K5/4RB2 w - -,e3b6
6k1/1p3pp1/6q1/8/Pb1B4/1P1KN3/8/3Q4 w - -,d3c4
r4rkb/p1qn1p1p/5PpQ/3Pp3/4P3/1p3R2/4B1PP/2B1N1K1 b - -,d7f6
r7/pp2pkbp/2p3p1/5r2/8/2P1B3/PPK2PPP/3RR3 b - -,f5d5
r3k2r/ppqbbp1p/n3pp2/8/1PB5/2P1BP1N/P3Q1PP/3RK2R w Kkq -,e1g1
2rq2k1/R3p2p/5p2/1r1P1n2/1npQ4/5N1P/1P3PP1/4R1K1 w - -,d4g4
rnb1k2r/ppp1bppp/4p3/q7/3P4/2NB1N2/PPPQ1PPP/R3K2R w KQkq -,e1g1
5b1k/3bqrnp/1r1p1ppB/pNpPp3/PnP1P1PP/4NP2/3Q4/1B1K2RR w - -,d2g2
6k1/p2n4/2Bbp2p/2p3p1/N2pP3/Pr1P2P1/2P1K2P/8 w - -,c2b3
r7/4BN1p/6p1/1kp1P3/pbn2P2/5K2/6PP/R7 w - -,f7d6
2k3r1/ppp1b3/5p1R/4pP2/1P1rN3/P2P2p1/2P3K1/1R6 b - -,a7a5
2r1r1k1/1bq2pbp/p1p3p1/1pB1N3/P2Pn3/1P5P/2Q2PP1/3RR1K1 w - -,e1e4
8/ppk5/4p1r1/1b2p3/4P3/2PN1Bb1/P5P1/1K5R w - -,h1h7
rnbqk2r/ppp2p2/8/3p2pp/Qb1Pn3/2N2NB1/PP2PPPP/2R1KB1R b Kkq -,b8c6
r2q1rk1/pp1n1pbp/2p1pnp1/3p4/2PP4/1PN1Pb1P/PB2BPP1/R2Q1RK1 w - -,e2f3
8/1p6/1Pp4p/p1P1k3/P4P1P/4K3/8/8 b - -,e5d5
r1bq1rk1/pp3ppp/1bp2n2/3p2N1/3P1B2/3Q2P1/PPP1PKBP/R4R2 b - -,h7h6
r4rk1/pb2bppp/1p2pn2/2n5/2BN1B2/P1N1P3/1P3PPP/2RR2K1 b - -,a7a6
8/8/1r4k1/R7/1r6/6PK/8/8 b - -,b4b3
rnbq1rk1/p5pp/3bpn2/1Ppp4/8/2N1PN2/PP3PPP/R1BQKB1R w KQ -,f1e2
r4rk1/p1pbbpp1/8/qp2p2Q/1nP1N1PP/P2PP3/1P6/1K1R1B1R b - -,a5b6
r1bq1rk1/1p1n1pb1/p2p2p1/2pP3n/P3P2p/2N2P2/1P2B1PP/R1BQ1RKN w - -,c1e3
2r3nk/5pb1/4p1p1/p1BNP2p/1P3P2/3R3P/3Q2PK/1q6 w - -,d5b6
2B4k/3n2p1/2b2p1p/p2ppq2/Pp1P4/1Pn1PP1P/3N1KP1/4NQ2 b - -,f5g5
8/6R1/4pp2/1pp4k/4PP2/r1P5/2K4P/8 b - -,b5b4
r3k2r/2qpbpp1/p1b1p3/2p1P2p/2P5/P1B4P/1P2BPP1/R2Q1RK1 w kq -,e2h5
rn2kb1r/pp3ppp/1qp1pn2/5b2/2BP1B2/1QN1PN1P/PP3PP1/R3K2R b KQkq -,b6b3
3r4/8/1k3p1Q/1pp1nB2/1n1p4/8/5PPP/6K1 w - -,h6f6
4r1k1/ppR4p/2b3p1/2Bp4/8/3B1PP1/Pb5P/6K1 w - -,c5a7
8/8/8/1b1pB3/1P1P2p1/2K3P1/4k3/8 w - -,e5f4
r1bqk2r/pp1nppb1/2pp1npp/8/2PP1B2/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,e2e3
r3kb1r/1bq2ppp/ppp1p3/4P3/4NB2/3P4/PP2QPPP/2R2RK1 b kq -,c7d7
8/pppk2pp/2nb4/2r5/8/2B2N2/PP3PPP/3R1K2 b - -,g7g6
r3r1k1/pbpq1p1p/1pn1pPpB/3p4/2PP4/5NPP/PP3PB1/R2Q1RK1 w - -,d1d2
2rrb1k1/5p1p/npn1pb2/pN4p1/P1PP4/1NB2B1P/5PP1/R2R2K1 b - -,a6b4
r3r1k1/pp1b1p1p/2n1p1pq/3pP3/6QP/2B1P1P1/PP2BP2/R1R3K1 b - -,h6g7
r2q1rk1/pp2ppb1/1np1b1pp/8/3P3B/2P1PN1P/P3BPP1/2RQ1RK1 w - -,c3c4
8/4k3/8/8/7R/r6P/4K1P1/8 b - -,e7f6
3R4/p4pk1/3P2p1/7p/7P/6P1/r2r1PK1/5R2 w - -,d6d7
3rr1k1/1p1b1p2/p1p2qp1/5p2/2PP2pP/1P4P1/P4PB1/1QR1R1K1 w - -,e1e8
r1b1k1r1/1p2np1p/p1n1pB2/3p4/8/2NB2P1/PPP3P1/R4RK1 w q -,c3a4
1r1q1rk1/3nppbp/3p2p1/2p5/1p1nPP2/3PB2P/BPP2QP1/R2N1RK1 w - -,c2c3
b2r2k1/4ppb1/2q3pn/1p2P3/6P1/P1B1Q3/4BN2/1R4K1 w - -,e3h3
1r3rk1/2q2pp1/4pn1p/1p6/3b4/1QNN2P1/1P2PPKP/2RR4 w - -,c3b1
1rq2rk1/1p1b1ppp/p2p1nn1/4p3/P1P1P3/2NBN2P/1P3PP1/R2Q1RK1 w - -,c3d5
3r2k1/4pp1p/3r2p1/p1q1b3/P3P3/1Pp4P/2B1QPP1/2R2RK1 w - -,g1h1
rn1q1rk1/pb3ppp/1ppbpn2/3p4/2P5/1PN1PN2/PBQPBPPP/R3K1R1 b Q -,d8e7
r1bqkbnr/3p1ppp/ppn1p3/2p5/P3P3/1PN2N2/1BPP1PPP/R2QKB1R b KQkq -,c8b7
2r1k1r1/1b2bp2/p2ppn1Q/8/1q2PP2/1NNB4/1PP3PP/1K1RR3 b - -,g8g2
8/5k1p/6p1/p2r2p1/R5P1/5P2/P5PK/8 w - -,h2g3
2r1r1k1/1p3pbp/pq4p1/2p5/P2pNPP1/RP1PnQ1P/1P1B4/2R3K1 w - -,g1h2
r3r1k1/pp1q1pbp/2p2np1/3p1P2/2bNPB2/2N3PP/P2Q2B1/1R2R1K1 w - -,e4e5
r3k2r/4ppbp/p4np1/qp3b2/P2nN3/2NB4/1PP3PP/R1B1QR1K w kq -,e4d6
2r1kb1r/3nq2p/p2p2p1/1p1Pp3/6PP/P3B3/1PP2Q2/2KR1B1R b k h3,f8g7
r2qrbk1/1b3ppp/2pp1n2/p2Pp3/2P1P3/R4N1P/1PBB1PP1/3QR1K1 b - -,f6d7
4b1kr/1NR5/3n1pp1/p2Pp3/1pB1P3/6KP/PP6/8 b - -,h8h7
rn5r/p2knpp1/1ppNp2p/3qP3/2pP4/B7/2P2PPP/R2Q1RK1 b - -,a7a5
r4rk1/ppqn4/3pppbp/2p5/2P2P1B/P1Q1P3/1P2B1PP/3R1RK1 b - -,a8d8
1R6/8/2p1b1p1/2k3P1/Pn6/8/3K4/8 b - -,b4a6
r3k2r/2pqbpp1/1pbp1n1p/p7/P7/1PNQPN1P/1BP2PP1/2KR3R b kq -,c6b7
rn1qkb1r/1b1p1ppp/pp2pn2/8/2Pp4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,d1d4
3r2k1/1pR3p1/p1b1K1B1/3p2PP/1P1P4/P7/8/8 b - -,c6b5
1r3rk1/2qbppbp/p2p1np1/n1pP4/2P1P3/B1N3P1/P1QN1PBP/1R3RK1 w - -,h2h3
r4r1k/4n1bp/1qp1bnp1/ppN5/P2P1B2/6P1/1PQ2PBP/R2R2K1 w - -,c5e6
1rr3k1/2qb1ppp/3bp3/p1p5/1nN5/2RP2P1/1P1NPPBP/RQ4K1 b - -,b4d5
3rnnk1/pp2q2p/2p1bpp1/2b1p3/P1N1P3/1P3NPP/1BP1QP2/3R1BK1 b - -,d8d1
8/1N2k2p/b1p3p1/4pp2/7P/8/5PP1/4K3 w - -,b7c5
2r1kb1r/pp1bppp1/3p1n1p/8/3RPP1B/2N5/PPP1B1PP/2K4R b k -,e7e5
3k4/8/3r3P/4p3/5p2/PR1B1Pn1/r5P1/4K1R1 b - -,d6h6
5b2/5p2/2p1r3/1k1r1p2/1pRP3P/1P2PKP1/2R2P2/8 b - -,c6c5
r2qk1nr/pp3ppp/2npp3/3p3b/3P4/4PN1P/PPPNBPP1/R2QK2R b KQkq -,g8f6
8/ppp3kp/3p2p1/4P2n/4p2P/2N5/PPP1NrP1/2K4R w - -,g2g4
6kr/6p1/7p/2Pp1p1q/3B4/6P1/P1P1QK2/8 b - -,h5e2
1nr5/4k2p/p5p1/2PBp3/1P2p3/R1K3P1/R6P/5r2 w - -,d5e4
r4rk1/bppq1pp1/p1np1n1p/4p3/4P3/1QPPBN1P/PP3PP1/R3RNK1 b - -,a7e3
rnbq1rk1/p3bppp/2p2n2/1p1p4/1P1P4/P1N1P1N1/5PPP/R1BQKB1R w KQ b6,c1d2
r4k2/1p1q1ppQ/p3p2p/2bp4/PP1P4/4P1PP/5P2/2R3K1 b - -,a8c8
q4r2/3n1pbk/r2ppn1p/2pP4/4P1pP/2N1B1P1/PP1Q1PKN/R3R3 w - -,e3f4
8/pp6/6p1/8/3pk3/PP2n3/2PR2PP/6K1 w - -,h2h3
1r4k1/2R2R1p/6p1/1B1p4/PB2p3/4b1P1/r6P/7K b - -,e3d4
r6k/3P2pp/8/p2R4/6p1/P3q3/1B2N2P/1R2K3 b - -,e3e7
r4rk1/1b1nqppp/2pb1n2/p3p3/1pPpP3/PP1P2PP/1BQNNPB1/R4RK1 w - -,a3a4
4r3/1b4kp/3p1pp1/1prP3n/4P3/1p2NPP1/7P/1R2RBK1 w - -,b1b3
8/7k/1bp1p3/p2pP1p1/3Pq3/1P2B1P1/P2Q3K/8 w - -,d2f2
1R3nkr/6p1/p5P1/P5P1/4p2p/7K/5P2/8 w - -,b8c8
r1bqr1k1/1p3ppp/2pbpnn1/p3N3/2BP4/P1N1P2P/1PQ2PPB/3RK2R b K -,d8c7
r4rk1/1p1b1pp1/p3p2p/4q3/8/2P2N2/PP3PPP/R4RK1 w - -,f3e5
R1N2rk1/4nppp/2P1p3/4P3/1p6/3Bb2P/1P4PB/5K2 b - -,f8c8
2kr3r/ppp1q3/1nP5/4bppp/4p3/PPN1PPP1/4b1BP/R1BQR1K1 w - -,c6b7
8/8/2p5/6B1/1Pkp2KP/8/8/8 b - -,c4b4
5k2/8/p7/1p4P1/1P2K3/P1R5/r7/8 w - -,e4f5:e4d5
2r2rk1/pp2ppbp/1qP3p1/8/3NP3/3RPP2/PP5P/2Q2RK1 b - -,b7c6
r1b1r1k1/pp3p1p/6p1/3Q4/4Pq2/5P2/PP1RB1PP/5RK1 b - -,c8e6
8/5k1p/6p1/1p3P2/4PKP1/P1r5/1rpR4/2R5 b - -,c3c4
r1bqk2r/p1p1nppp/2pp4/2b3BQ/4P3/2PB4/PP3PPP/RN2K2R b KQkq -,e8g8
r3k2r/ppp1nppp/2n5/1B1p4/8/1P2P3/PBPP2PP/RN1K3R b kq -,e8g8
4r1k1/pp2r1pp/2bq4/3p3P/3P2P1/P1PpP3/3B2K1/1R2RQ2 b - -,e8f8
2r1q2k/3b2pp/8/p1rPBp2/PbB2P2/1Q6/2R3PP/R5K1 w - -,c4d3
r4qk1/p2r2pp/4R3/3p3Q/nN1P4/8/6PP/4R1K1 b - -,g7g6
r5rk/1pnbq3/p1p4b/2Pp1p1n/PP1PpP1P/2N1B2P/5QB1/RR3NK1 w - -,c3e2
rnbq1rk1/pp3pbp/6p1/2pPpn2/2P5/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1g5
r4rk1/4bppp/1qnppn2/pbp5/B3P3/2PP1N2/1P1N1PPP/R1BQR1K1 w - -,d3d4
1R6/8/1P6/4p3/3p2p1/3k2P1/1r3P2/4K3 w - -,e1f1
r2qrnk1/1bp1npp1/3b3p/1p2p3/1P1pP3/PB1P1NN1/1B1Q1PPP/R1R3K1 w - -,c1c2
r5k1/Q1R2nb1/3p3p/1p1qpp2/1P1r3B/6PP/5P2/2R2BK1 w - -,c7c8
8/pp1r2bk/7p/3r4/4N3/1P3R1P/P1R2PK1/8 b - -,d7e7
1k1r4/1p6/p5Q1/4P2n/2n2p2/2bN1B2/P5PP/5K2 w - -,f3h5
r1b2rk1/p3qpnp/2p2np1/1p1p4/3P2P1/2NBP2P/PPQ1NP2/1K1R3R w - -,e2c1
2r3k1/6pp/3q1b2/1p1pp3/1P6/5N1Q/2r2PPP/3RR1K1 w - -,h3f5
rq4k1/3p1ppp/r2n4/2pQ4/p1P5/P4PP1/1P1R3P/2K2B1R b - -,b8b3
rrq1n1k1/p2b2b1/1p1p2np/PNpPppp1/1PP1P3/3QBPP1/1R2N1BP/1R4K1 b - -,f5f4
5rk1/5p2/2R1n1p1/4p2p/4P3/4NP2/1rP3PP/4R1K1 w - -,e1d1
8/p7/6k1/3b4/4p1PP/2B1K3/5P2/8 w - -,e3f4
r2q1rk1/1ppb1pbp/3p2p1/p2Pp3/2P1P3/1nN2P2/PPQ3PP/R1B2RK1 w - -,a2b3
4r3/pp4k1/q2P1ppp/P1b5/Rn3P2/1PQ5/6PP/2B2K1R w - -,c3c4
r3r1k1/pp2Bp1p/n4b2/3R3B/6P1/1P6/P4P1P/4R1K1 w - -,d5d7
8/8/5Qp1/7p/6r1/4K2k/8/8 w - -,e3f2
r2q1rk1/pbpnppbp/1p3np1/3p4/3P1B2/4PN1P/PPPNBPP1/R2Q1RK1 w - -,f3e5:a2a4
r2r2k1/2q2ppp/4nn2/1pb1p3/4P3/p4BPP/P1PP2Q1/BKNR3R w - -,c1b3
rn1q1rk1/pbp1ppbp/1p1p1np1/8/3PPB2/3B1N1P/PPPN1PP1/R2QK2R w KQ -,e1g1
R1n5/3k1p2/1p1r2p1/1P2p2p/7P/4PBP1/5P2/6K1 w - -,f3c6
2kr1b1r/1pp1pppp/p2q1n2/7b/8/1BNPBP2/PPP2P1P/R2QR1K1 w - -,e3g5
1rb2rk1/1p1nqpbp/p2p2p1/P1pPn3/8/2N1P2P/1P1NBPPB/R2Q1RK1 b - -,f7f5
2kr3r/1pq1bpp1/p2pbn1p/4p3/4PPP1/2N2N1P/PPPQ2B1/2KR3R b - -,c8b8
8/pp6/6p1/4K1P1/1P4kp/8/P7/8 w - -,e5f6
r1b1r1k1/2q1bppp/p2p1n2/nppPp3/4P3/2P2N2/PPB1QPPP/RNBR2K1 w - -,b1d2
5rk1/pn2q1bp/1pp1b1p1/4p3/2P1P3/1P2B1PP/P1Q1N1BK/3R4 b - -,f8d8
3r2k1/pp4pb/5p2/6R1/1P6/P2p1P2/3N3P/K7 w - -,g5c5
r1bq1rk1/1p1nb1pp/4pp2/p1npP3/2P5/5N2/PPBNQPPP/R1B2RK1 w - -,c4d5
r3r1k1/1p1b2q1/4p1p1/p1PpRpQ1/P2P4/1P3BP1/6K1/7R b - -,g8f7
8/8/1r2k3/1P2p1pp/4K3/6PP/1R6/8 w - -,g3g4
6k1/5pb1/p5p1/P6p/2q5/4Q2P/5P2/4BK2 w - -,f1g1
2rk4/3nrNp1/p1q3Q1/1p1n4/8/P7/1PP4P/3R1R1K b - -,e7f7
6r1/8/1P2p1p1/1kBpPp1p/3Pq2P/R7/2bQ1PPK/8 w - -,b6b7
5r2/p1n3kp/2p5/1pN5/3R1pPP/1P3K2/P7/8 b - -,f8f7
6k1/1r5p/p2p1np1/n1pP1p2/q1P1pP2/4P1P1/P1R4P/1NQ2BK1 w - -,h2h3
r3k1nr/1pp2pp1/p1p2q1p/8/4PB2/3P2QP/PbP1N1P1/R3K2R w KQkq -,a1b1
r1b1r3/q2np1kp/6p1/2pPB2P/8/1P2Q1P1/1R2P1B1/3R2K1 b - -,g7g8
8/8/p1P5/2K1k1pp/2R3p1/8/P4P1P/2r5 b - -,c1c4
r2q1rk1/1p2ppbp/2np2p1/2n5/p1P1P1b1/N4NP1/PP2QPBP/R1B2RK1 w - -,e2e3
6k1/2p5/b7/8/8/8/1B4PP/2bR3K b - -,c1b2
r3r1k1/pp4b1/3q2p1/2pPnp2/2P2Bp1/8/PPQ2PP1/R3RBK1 w - -,c2d2
r1bqkb1r/ppp2ppp/2n3n1/4P3/2Pp4/PN3N2/1P2PPPP/R1BQKB1R b KQkq -,g6e5
8/7p/pkP3pP/5p2/3N4/3BK3/r7/8 w - -,e3f4
1rq3k1/Qp3pp1/2p4p/1P6/8/4P1P1/5P1P/2R3K1 b - -,c8d8
