8/1p6/k1pK4/p7/P1Pq4/1P6/2Q5/8 w - -,d6c7
rnbq1rk1/pp2ppbp/3p1np1/2P5/2P1P3/2N1B2P/PP3PP1/R2QKBNR b KQ -,d8a5
r1bq1rk1/1p2nppp/p1n5/3Pb3/3N4/2N1B3/PP2BPPP/R2Q1RK1 b - -,e7d5:c6b4
r1bqkbnr/pp2pp1p/2n3p1/1Bpp4/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq d6,e4d5
8/3r4/3p2P1/2kB4/5p1P/3P2p1/1R1K4/8 b - -,c5d5
8/p2r1kp1/1pR1p3/5n2/3B3p/2P4P/P1P2KP1/8 w - -,c6c4
1Qbk1q1r/3r3p/p3R1p1/1p1p1p2/5B2/1pNP2N1/1PP2PPP/6K1 w - -,b8b6
r7/p5k1/1pq1br2/2p2pN1/5P2/7P/PP1Q2P1/R3R1K1 b - f3,a8e8
r4rk1/1p4pp/1p3p2/2bq4/P1Np4/1Q1P2P1/4PP1P/2R2RK1 w - -,b3b5
1r6/5p1p/B1p5/8/3kP1p1/1PN5/P1PK1PPP/8 w - -,a6d3
3r1k2/5pp1/p3pn2/4Q3/1pq5/2B3P1/PPB2P2/6K1 w - -,c2b3
8/3n2b1/p1k5/7p/PP3p2/1K1NN1PP/8/8 w - -,d3f4
r1bq1rk1/pp3ppp/2np1n2/3Pp3/1pP1P3/3Q1N2/PP2BPPP/RN3RK1 b - -,c6b8
r2qr1k1/1bn2pbp/pp1p2p1/1PpP4/4PP2/P3RNPP/5B2/3QRBK1 w - -,b5a6
2kr3r/1pq2pp1/p3pn1p/4b2P/2P5/1R2BQP1/PPN2P2/K6R b - -,d8d7
r2r2k1/3n1ppp/p2bp3/4N3/2R5/6P1/1P2PPKP/2B2R2 w - -,e5d7
2rq1rk1/2n1bppp/bn2p3/p2pPP2/1p1P2P1/1Q6/PP1NNRBP/R1B3K1 w - -,b3h3
r1b1k1nr/p1p2ppp/2pp4/2b5/4P2q/2N1B3/PPP1QPPP/R3KB1R b KQkq -,c5e3
r2q1rk1/pp1bppbp/2np1np1/6B1/4P3/1NN2PP1/PPP3BP/R2Q1RK1 b - -,c6e5
r1b1r1k1/1pqn1pb1/2pp1npp/p3p3/2PP3B/P1N1PN2/1PQ1BPPP/2RR2K1 b - -,d7f8
4r1k1/1b3pp1/pq5p/3pr3/5N1P/1P2P1Q1/2R2PP1/3R2K1 b - h3,b6b3
8/2k5/2p5/p1P4r/P1R1K3/8/8/8 b - -,c7d7
7r/6k1/p2p2p1/1ppP1r2/6QP/7K/2P3P1/8 b - -,h8e8
r2q1rk1/3b1pbn/1p1p2pp/p1nPp3/4P1P1/2N1BP1P/PPQNB3/R3K2R w KQ -,d2c4
8/6pk/p1Np4/P7/1P4p1/8/3r4/6K1 w - -,c6b8
8/1kr4p/1Q2R3/1p4q1/P4b2/1P6/KB6/8 b - -,b7c8
1n1rqrk1/1b3Pb1/ppp3pp/3pP3/P1B3nP/2N2NB1/1PPQ1PP1/3RR1K1 b - -,e8f7
rn2kb1r/pp2ppp1/1qp4p/3p1b1n/3P4/4BNP1/PPPNPPBP/R1Q1K2R b KQkq -,b8d7
2kr1q1r/pppn1ppp/5n2/1Qb1pN1b/4P3/6PP/PPPB1PB1/RN2K2R w KQ -,g3g4
8/3k3p/2pPn1p1/1p2P3/1P6/4BK2/7P/8 b - -,d7e8
2r2r1k/1p4pp/p1b2q2/2bB4/5P2/4N1P1/PP4QP/3RR1K1 w - -,d5c6
6R1/8/5k2/1p3p2/8/6PK/1r6/8 w - -,g3g4
3R4/1p2r2k/p1p2n1p/8/1P2P1P1/P3BP2/4K3/8 w - -,g4g5
4k2r/bb3ppp/1q2pn2/pp6/2r1P3/P1BR1P1R/1P2KNP1/4QB2 w k -,c3a5
r1bqk2r/ppp1npp1/3b4/3p2P1/8/2P1BN2/PPQ1PP2/2KR1BR1 b kq -,c7c5
6k1/5pb1/6pp/1N5n/2P5/1P6/5PBP/3bB1K1 b - -,d1b3
6k1/p4rP1/4p1Q1/1ppqp3/3P4/8/PPP5/1K4R1 b - -,d5d8
3r4/bp3q1k/p3b2p/3pPpp1/NP6/5Q2/P4PP1/3RR2K w - -,a4c5
8/5pk1/1R4p1/6P1/1p2pP2/4P3/1r6/5K2 w - -,f1e1
8/8/1P1r3n/1R5K/8/5kP1/8/8 b - -,h6g8
r6k/ppp1q1pp/8/n3Pp2/2B1n1b1/2PQ1P2/PP4PP/R1B1R1K1 b - -,e4c5
r3rnk1/1bq2pbp/pp1p1np1/2pP4/P1N2P2/2N1PB1P/1P4PB/R2Q1RK1 w - -,e3e4
2kr3r/2pq2pp/1pb2p2/p2pP3/P2P4/R1P2Q2/3N1PPP/5RK1 w - -,f1e1
r2qr1k1/1b1nbppp/1pp1pn2/p7/2PPN3/1P1B1N2/PB2QPPP/3R1RK1 b - -,f6e4
8/p3r2p/P4kp1/5p2/8/4rP2/1R3K1P/5B2 w - -,b2b8
4r2r/1pk2p2/p7/P2pPPp1/3Pn1p1/1R4B1/2P4P/1R4K1 b - -,e8b8
4r2k/pN1r2bp/6p1/3p4/5P2/1R2R1P1/6BP/2n4K b - -,e8c8
2r3k1/5pp1/pr2pn2/3p3p/R3PP2/2NP4/RP1K2PP/8 b - -,c8c6
rn1qkb1r/pp3pp1/2p1bn1p/4p3/4P3/2NBB2P/PPP1NPP1/R2QK2R b KQkq -,f8d6
r2q1rk1/pb1p1ppp/1pn1pn2/2b3B1/2P5/2N2NP1/PPQ1PPBP/R4RK1 b - -,c5e7
3R4/1k1r4/2p5/6B1/5P1P/8/p1r5/K7 b - -,b7c7
rnb1k2r/pp2ppbp/1q3np1/2pp4/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 b kq -,b8c6
6k1/1p4pp/5p2/p1b1p3/2Pqn3/P2N2B1/1PQ2PPP/5K2 w - -,d3c5
r5k1/3p1qpn/4r1p1/p2bp2p/1pPpPP1b/3P4/PP1BQ1R1/2KB2R1 w - -,e4d5
r2q1rk1/pp2ppbp/1n1p2pn/2pP4/P3PP2/2NB1b2/1PP3PP/R1B1QRK1 w - -,f1f3
r2q1rk1/2p1bppp/p4n2/1p1pn3/4P1b1/1BP1BN2/PP3PPP/RN1QR1K1 w - -,e4d5
8/8/8/1k6/2np4/8/BpK5/8 b - -,b5b4
r7/2pb1pk1/1p1n1np1/3Pr3/p1P1PN2/P1NB2RP/1P2R3/1K6 b - -,a8h8
8/5n1k/pq2b3/np2p1pp/2p1Pp1b/BPP2P1P/P1BNQNP1/5K2 w - -,f2d1
1r2k2r/3n2p1/pbqp1pP1/4p2p/1pB2P2/1P2B2P/P1P2Q2/1K1R3R w k -,h1e1
3r2k1/p3qpbp/3pb1p1/2pB4/2Q5/1P2P1P1/P4P1P/3RN1K1 w - -,e1c2
r1b2rk1/p1pp1p1p/1np1q1p1/4P3/1bP1QP2/2N5/PP1B2PP/2KR1B1R b - -,a8b8
4kbnr/Bb1p1ppp/p3p3/qp6/4P3/8/PRPN1PPP/3Q1RK1 w k -,d2b3
r1bqr1k1/1p1n1ppn/p2bp1P1/2p4P/2PP4/4PN2/PBQN1P2/R3K1R1 b Q -,d7f8
1r1q1bk1/R2n1p2/1p1p1npp/1B1Pp3/1P2P3/NQ3P2/5BPP/6K1 w - -,b3a4
2kr3r/ppp3p1/1n6/2P1Rp1p/3P4/B3PP1q/P3QP2/1R4K1 w - f6,e2c2
r3r1k1/1b1n1pnp/pp1p2p1/2q2Pb1/P3PN2/2N4R/1PPQ2BP/R1B4K w - -,f5g6
2kr3r/5pp1/p1q1p2p/4P3/nbP1N3/6B1/1P2QPPP/R4RK1 w - -,e2c2
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,f8e7
r2qk2r/pp1nppbp/2p3p1/3n1b2/3P4/1BPN4/PP1N1PPP/R1BQK2R w KQkq -,d2f3
1rbq1k1r/p4pp1/2n1p2p/1p1pP3/2pP3P/2P2NR1/P1PQBPP1/R3K3 w Q -,d2f4
r3k2r/1bqnbppp/p2ppn2/1p6/3NPP2/2N1BB2/PPP3PP/R3QRK1 w kq -,e1g3
3b4/3k3p/3p2p1/1n1Pp3/2N1PpP1/3P1P2/2K2B1P/8 b - -,d7c7
r1bqr1k1/ppp2ppp/2np1n2/2b1p3/2P5/2NPP1P1/PP2NPBP/R1BQ1RK1 b - -,a7a5:c8f5
r1bq1rk1/pp2ppbp/6pn/3p4/B2pP3/3P4/PPP1NPPP/R1BQ1RK1 w - d6,e2d4
8/3n1pp1/8/3Pp3/3bPk1p/1B3P1P/1pK3P1/5N2 w - -,d5d6
r2qk2r/1pp3pp/p2pbp2/2b4n/3PP2B/1PN2N2/1PPQ2PP/R3K2R b KQkq -,c5b6
2k1r3/3q4/2r3p1/B4p1p/PQP5/3P3P/6P1/1R5K b - -,d7a7
rnb2rk1/pp2ppbp/6p1/2q5/2B2B2/1QP1PN2/P4PPP/2R1K2R w K -,b3b4
8/6R1/5kn1/5p2/7p/4K2P/8/8 w - -,g7h7:g7g8
r4rk1/3bbppp/3ppn2/8/1q1BP3/2N2P2/1P2BQPP/R4RK1 w - -,e2d3
3rk2r/ppn2ppp/4p3/4P3/P1Np4/5B2/1P5P/3RK2R b Kk -,f7f6
8/p1p2k1p/8/8/4R2P/1KP3P1/6r1/8 w - -,e4c4
5r2/1p1bpk2/6p1/2BPbp1p/2P4P/3B4/1pK2PP1/rR5R b - -,f8c8
2r5/5kpp/1Bn2b2/1p6/1Ppp1N2/P5P1/5P1P/3R1K2 b - -,d4d3
1rr3k1/p1q1bppp/4p1b1/3n4/P1NRN3/4P1P1/1P1Q1P1P/2R2BK1 w - -,e4c3
8/3R4/4r1pp/3p2k1/6P1/4b3/4B3/4K3 b - -,d5d4
2k1r3/1bpp3r/p5p1/1p3p2/3NPR2/1P1PP1Pp/1PP4P/R5K1 w - -,e4f5
8/p1r1k2p/1n1n1pp1/N1p1pP2/2P1P1P1/4BK2/P1R4P/8 b - -,g6g5
8/p1p1p1k1/3b2Q1/p2P4/6P1/P1P2N1P/1P6/7K b - -,g7g6
8/8/8/7K/5R1P/8/p5k1/1r6 w - -,f4a4
r2qkb1r/1b1pnpp1/p3p2p/1p4B1/3pPP2/1B1P4/PPP3PP/RN1Q1RK1 w kq -,g5h4
rn1q1rk1/p2p1ppp/bp2pn2/2p5/Q1PP4/P4NP1/1P1BPP1P/R3KB1R w KQ -,f1g2
r4rk1/1pq3bp/n1ppb1p1/p4pBn/2P5/1PN2NP1/P3PPBP/1R1Q1RK1 w - -,d1d2
r2q1rk1/pb1nppbp/1p3np1/3p2B1/3P4/2NBPN2/PP2QPPP/R4RK1 w - -,f1c1
8/1p2r1p1/2pb1p2/p7/P2Pp1kP/1PP1R3/6R1/6K1 b - -,g4h4
r4rk1/pp5p/2p2Rp1/2P1P1P1/5PP1/4K2P/bP6/5R2 b - -,a2d5
8/5b2/3k4/ppp1p1Rp/4P2P/P1P5/2K5/8 w - -,g5f5
2r2rk1/p3b2p/bqp1p1p1/4Bp2/1p1P1Q2/4PB2/PP3PPP/R1R3K1 b - -,a6b7
6k1/1p3pp1/p3p2p/P3P2P/RPQ1K3/2P2P2/5P2/4q3 w - -,e4f4
6k1/5pp1/1pp3rp/6qn/3PP3/5PB1/R4QPP/2R3K1 b - -,g5c1
3r2k1/1ppq1p2/p1n1r1pp/4p3/4Pn2/1PP1NN1P/P1QR1PP1/4R1K1 b - -,e6d6
r1b1k2r/pp3pp1/2n1pb1p/3q4/3P4/4BN2/PPB2PPP/R2Q1RK1 b kq -,e8g8
3r4/1p2bk2/p5p1/3pP3/P2B4/8/1P4PP/2R4K b - -,f7e6
4r1k1/1b3pbp/1qpprnp1/1p6/4P3/1P1B2NP/1BP2PP1/2QRR1K1 w - -,c2c4
8/8/7p/3Q1bpk/1P6/2P3Bq/P6P/2K5 w - -,d5f3
2r1b1k1/1p1rqp1p/pB1ppb2/4n1p1/1PP1P2P/PBN5/4QPP1/2RR2K1 b - h3,g5g4
8/8/4Nk2/3Pb1R1/2K5/2r5/8/8 w - -,c4b5
5rk1/p4pp1/1p2q2p/8/2pP4/4PQ2/PP4PP/2R3K1 b - -,b6b5
2rr2k1/pp4p1/4bp2/3np3/8/1B6/PPP2PPP/2BRR1K1 b - -,g8f7
rb3rk1/pb1n2pp/1p2q3/3Npp2/1PP5/4B3/P1B1QPPP/3R1RK1 w - -,c2b3
8/1npk3p/2p2pp1/2Pp4/3P2PP/1P2K3/5P2/4N3 w - -,e3d2
4r2k/1ppbr1pp/8/1P1np3/1n1P1p2/4PN2/1B2BPPP/2RR2K1 w - -,d4e5
1kr5/p4Q2/1q1p3R/1b1P4/8/1P6/1KP1rPP1/R7 w - -,a1c1
8/5p2/4b3/1B4k1/1N2Pn2/5P2/5K2/8 w - -,f2e3
8/7p/6p1/2r1k3/6P1/4K3/2p4P/2R5 b - -,c5c6
5R2/8/p1r5/1p2k1p1/1P4P1/P2K4/8/8 b - -,c6d6
8/5pk1/8/4p3/8/8/4KP2/3r4 w - -,e2d1
6k1/r4p2/P2n2p1/7p/8/5BP1/5K1P/R7 w - -,f2e3
1rr3k1/p3q1pp/2bbpn2/2p5/2N1B3/P5P1/1PQB1P1P/1R3RK1 w - -,e4c6
3r4/p3kp1p/3b1np1/1B2n3/P2N4/4P3/1B3P1P/2R3K1 b - -,d8a8
r4rk1/pp2qppp/1np5/8/3PP1b1/PB2RN2/5PPP/R2Q2K1 b - -,a8d8
4rbk1/qp1r1ppp/p3p1b1/P7/1P2P3/1NB2PQ1/6PP/R2R3K b - -,e8d8
3rk2r/pp1nnpbp/1qb1p1p1/3pN3/P2P1P2/2P4R/1PBN2PP/R1B1Q2K w k -,b2b4
2k3r1/ppp2ppp/2p5/4PbB1/1b6/2P5/PP3PPP/3R2K1 w - -,c3b4
1r6/8/5k2/6p1/1pBR4/1P5P/2r3PK/8 b - -,f6e5:b8a8
r1bq1rk1/4bppp/p2ppn2/6P1/1p1BP3/1BN5/PPP1QP1P/R3K1R1 b Q -,b4c3
r1bq1rk1/p4ppp/1p1b1n2/2P1N3/2B1pP2/1P2P3/PB2Q1PP/R4RK1 b - -,d6c5
r2qk2r/1p1bbppp/p2ppn2/8/P2NP3/2N5/1PP2PPP/R1BQ1RK1 w kq -,g1h1
r1b1kn1r/1pBqppb1/p1p4p/3p4/3P4/2N1PN2/PPP1BPPQ/2KR4 b kq -,f8e6
r5k1/1q2ppbp/1P1p2p1/3P2B1/2p1P3/2n1QN2/2P2PPP/5RK1 w - -,f3d2
r3kb1r/1pp1pppp/p1nq1n2/7b/3P4/2NB1P2/PPP1N1PP/R1BQ1RK1 w kq -,c1e3
6k1/5pb1/7p/1pq1P3/5p2/2P2N1P/4QPPK/8 b - -,c5d5
8/pp4pk/7p/3n1p2/1P1q1P2/P3p1BP/Q6K/8 w - -,a2b1
8/ppp1n3/3rpkp1/4N3/P3PP1P/1P2P3/4K3/6R1 w - -,g1c1
1rb1r1k1/1pqn1pb1/p1pp1np1/6Bp/2PNP3/1PN3PP/P2Q1PB1/R4RK1 w - -,a1d1
8/6k1/8/3Bp1p1/1p2P1P1/5R1K/8/6q1 b - -,g1h1
1r3rk1/1bq2ppp/p3nn2/2p1pN2/p1PpP3/1B1P2P1/1P3P1P/R1BQR1K1 w - -,a1a4
4rrk1/5qp1/2bb1p1p/2p1pP2/1pP3Q1/3P3R/P5P1/B3RBK1 b - -,g8h7
1r4k1/3b2qp/4p1p1/1p1p1n2/1Pn2P1P/8/4NPB1/R2Q1RK1 b - -,f5h4
8/1pp5/1pp2nk1/6p1/8/2P3rP/PPK4R/4N3 b - -,f6d5
r2nrbk1/8/p3b2p/Pp6/2p1PB2/2P5/1PBN3P/R3R1K1 w - -,e4e5
6k1/1rq2p1p/3p2p1/pp1Pb3/6P1/P1PB1Q2/1P3R1P/7K w - -,h2h4
8/p3kp1p/1p2p1p1/2p1b3/8/2P3PP/PP2RP1K/3r4 w - -,e2e5
5rk1/pp2nrbp/3pq1p1/2p3B1/2PpP3/1P3PP1/P2Q2BP/4RRK1 b - -,g8h8
5r2/5pk1/p2p1qpb/4p2p/P3P3/1Q1n2PP/BPr2P2/R4RNK b - -,c2d2
4r1k1/2p2ppp/r7/P3p3/4P3/3QB2P/1q1NnPP1/R6K w - -,a1b1
2rrbk2/3n1pb1/3p2np/1p1P2p1/1P2N1P1/3R3P/B3NPK1/2B1R3 b - -,d7e5
r1bqkb1r/3n1ppp/p1p1pn2/8/1p1PP3/1BN2N2/PP3PPP/R1BQK2R w KQkq -,e4e5
2r1kb2/pp1b4/1q2p3/3pnpN1/3P3r/4BP2/PPN3K1/1R1Q1R2 w - -,e3f2
r2r2k1/1q1bbppp/2p2n2/1N2p3/P7/4BQ1P/1PP2PP1/R3R1K1 b - -,e5e4
2r3k1/p4p2/5Qp1/6Rq/P2NP3/3n1P2/7P/2r3RK b - -,d3f2
r1b2rk1/1p3ppp/p1n5/3np3/PbB5/4PNP1/1P3P1P/R1B2RK1 w - -,c4d5
r3k1nr/p1p2pbp/2ppq1p1/8/4P3/2NQ1P2/PPPB1P1P/2KR3R w kq -,f3f4
8/1pp4p/p2p1kp1/3P4/1PP5/5PKP/P1R5/3r4 b - -,d1b1
3r2k1/pB3p1p/1b2n1p1/1P4q1/3pQ3/6P1/P3PP1P/1R3RK1 w - -,b7c6
3r2k1/1br1p3/p4Npp/2p5/P7/5N1P/2P3P1/4RR1K b - -,e7f6
4rqk1/pp5p/3n2pb/1PRP4/1P1QprP1/P2p2BP/6B1/2R3K1 b - -,f4f3
1r2kb1r/p1pq1ppp/Q1np1n2/4p3/2B1P3/2P2P2/PP1P1P1P/RNB1K2R w KQk -,d2d3
4r1k1/4r1p1/p6p/1b6/P6P/1P3N2/3R1PP1/2R3K1 b - a3,b5e2
r1bqkb1r/p4ppp/2p1p3/3n4/3B4/2P2N2/PP3PPP/R2QKB1R b KQkq -,f7f6
r7/3kb3/3p4/2pPpNpp/p1P1P3/PR5P/5KP1/3R4 b - -,a4b3
r1qr2k1/pb3pp1/1p1Bpn1p/7P/3N4/2PB3R/PP2QPP1/1K1R4 b - -,d8d6
r3kbnr/1pp3pp/p1pqbp2/4p3/3PP3/4BN2/PPPN1PPP/R2QK2R b KQkq -,e5d4
Q2q1rk1/p1p2ppn/1n1p1b1p/3P4/2BN4/7P/1PP2PP1/R1BQR1K1 b - -,d8a8
r1bqkb1r/5ppp/p1p1pn2/3p2B1/4P3/2NB4/PPP2PPP/R2Q1RK1 b kq -,f8e7
2r1r1k1/p1qn1ppp/1pp1pn2/8/3P2b1/1NP2NPP/PP2QPB1/3RR1K1 b - -,g4h5
8/1pp1k3/5p2/2PPnB2/3K4/6r1/8/R7 w - -,a1h1
5k2/8/3K4/3Q4/2P5/q7/8/8 w - -,d5c5
r4Rk1/pb1n2p1/2q1p2p/1p6/3P3B/1QP1P3/P2N2PP/5RK1 b - -,d7f8
r4rk1/p2b3p/Bp1n2p1/3Pbp2/8/2N1BR1P/PP4P1/3R2K1 b - -,a8e8
r2qkbnr/p2p1ppp/bpn1p3/4P3/2Pp4/5NP1/PP1N1PBP/R1BQ1RK1 b kq -,f7f5
8/pp2k1pp/5pb1/8/7P/1B1r1P2/PP2K1P1/2R5 b - -,d3d4
3r1rk1/p2nqpbp/1p4p1/B1p5/N2Pn3/PB3Q1P/1P3PP1/R2R2K1 w - -,d1e1
3kn3/3b2pp/1R2p3/rPp1Pp2/P1B2P2/2N5/4K1PP/8 b - -,d8c7
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P4/2P1PNP1/PP3PBP/RNBQ1RK1 b kq -,e8g8
rn1q1rk1/pp3pbp/2p1bpp1/8/3P4/4BN1P/PPP1BPP1/R2Q1RK1 b - -,a7a5
6k1/1p6/1Np1b3/2P1pN2/1P3bPp/P4R1P/6B1/2q4K w - -,g2f1
r1bqk2r/pp1n1ppp/3bp3/2p5/2PPB3/5N2/PP3PPP/R1BQK2R w KQkq -,e1g1
8/5n2/r2P1kp1/P7/5P2/6PK/8/R7 w - -,d6d7
r3kb1r/1p3pp1/p2p1n1p/P2Ppn2/2P5/1N2qP2/1P2BBPP/R2QK2R b KQkq -,e3g5
2kr3r/p2p4/1p2p3/4q1p1/2P5/P2Q3P/P4PP1/2R2RK1 b - -,d7d6
8/8/6p1/1pn5/p1k3p1/P1P1K3/1P6/2N5 w - -,e3e2
rn1qkb1r/1b1p1ppp/p1p1pn2/1p6/2P5/1PN2NP1/P2PPPBP/R1BQK2R w KQkq -,e1g1
4r1k1/p5np/2prp1p1/8/2P1pP2/6P1/PP5P/2RR2K1 w - -,d1d6
r1bq1rk1/3nbppp/p1N1pn2/8/2PpN3/3B4/P1Q2PPP/R1B2RK1 b - -,d8e8
2r1r1k1/1q1n1p1p/6p1/1p2pQ2/1B6/1P4P1/P4P1P/2R1R1K1 w - -,f5d3
5r2/1p3bkp/p1rpppp1/q7/1NP1P3/1P6/P2Q1PPP/2RR2K1 b - -,c6c5
r1bqr1k1/1ppn1pbp/3p2p1/3P4/p2NP3/4BPP1/PP4BP/R2Q1R1K b - -,d7e5
8/1p6/p2pNk1p/2pP1pp1/P1P5/1P1B2K1/5P2/4b3 w - -,g3g2
r3r1k1/p2n1pbp/2pBb1p1/8/1p1P4/1B3N1P/PP3PP1/R3R1K1 w - -,b3e6
r5k1/7p/2pB2p1/2Prp3/p3p3/R2b4/PP3PPP/R5K1 b - -,g8f7
r5k1/1N2b1pp/4p3/2P1P3/3B1p2/8/2b3PP/5RK1 w - -,f1f4
r4Brk/1bq4p/p3Pp2/1p1ppP2/2n5/2P2B1Q/P4PPP/R3R1K1 b - -,a8f8
4r1k1/r2b1p2/pp1p3p/2pPbpq1/P4N2/4P1P1/1PQ1BP1P/1RR3K1 w - -,b2b4
1R6/8/5p2/r2pk2p/4p2P/2r3P1/5RK1/8 w - -,b8e8
2b2rk1/p4p2/1rQ3pp/5P2/4N1P1/2PP4/P3B2P/b4K2 w - -,e4f6
4R1rk/3PQn2/5p2/7p/5q2/7P/1P4P1/6K1 b - -,f4c1
8/3n1p2/1pk4P/5R2/p1P1K3/4N3/8/7r b - -,h1h6
8/4k3/5p2/1n1P4/4P1P1/3nK3/3N4/8 b - -,d3e5
r1bqk2r/pp2n1b1/2np1pp1/2p1p2p/4P3/2NPB1P1/PPP2PBP/R2QNRK1 b kq -,h5h4
r1b2rk1/p1q2p2/4p1p1/1p2P2p/4p1PQ/P1B5/1P3P1P/3RR1K1 w - -,g4h5
r6r/1kp1bp2/p1p1p1p1/R6p/1P1P1P2/1PP1B3/5KPP/R7 w - -,f2e2
r1br2k1/pp3ppp/n7/q1p1p3/3bP2P/P1NPBP2/1P1QBP2/2R2K1R w - -,e3d4
8/p5k1/2N3p1/1n1PP3/r5BP/5K2/5P2/8 w - -,g4d7
3rr1k1/ppq5/5b1p/2pPpPp1/4B1P1/1PP1Q3/P2R4/R5K1 w - -,g1g2
r2qkb1r/p2ppppp/1pn1b3/1N2P3/4B3/8/PPP2PPP/R1BQK2R b KQkq -,g7g6
r1k2r2/2qnB2p/4Q1p1/1b6/1p6/8/PPP3PP/2KR3R w - -,e7f8
2rk1r2/pp1qp1bp/2Pp1np1/8/4P3/1BN1B2P/PP2QPP1/R3K2R b KQ -,b7c6
2k4r/r1P2ppp/p1B1b3/3N4/2nP4/6R1/PP5P/2R1K3 b - -,c4a5
rn2kb1r/ppp1pppp/1q3n2/8/3P2b1/2N2N2/PPPBBPPP/R2QK2R b KQkq -,c7c6
8/2q1kbp1/1pnr1p2/p1p1pPP1/P3P2Q/2P1B3/1P4B1/2R3K1 b - -,c7d8
5k2/5p2/3p2p1/pB1P4/4PP1p/4N2P/2r3P1/6K1 b - -,c2b2
1rn2rk1/6b1/1pq3pp/p1p1p3/P1P1P3/2P2PP1/1RQ1BB2/3R2K1 w - -,c2b3
2r4k/1bpr1q1p/1p4p1/pP1p1p2/P7/1Q1PPBP1/1bR2P1P/2R3K1 w - -,b3b2
r4n1k/1pp3rp/p2bPq2/3Qp1p1/2B1Pp2/5P2/PPR2BPP/5RK1 b - -,a8b8
r1bqr1k1/ppbn1ppp/2p5/3np1P1/2BPN3/4PN2/PPQB1P1P/2KR3R w - -,h1g1
2rq1rk1/1p2ppbp/p1np1np1/8/P3P3/1PN5/1P3PPP/R1BQRBK1 w - -,c1e3
r1bqr1k1/pp2bppp/2n2n2/3p2B1/Q2N4/2N3P1/PP2PPBP/R4RK1 b - -,c8d7
1r1q2k1/2nbppbp/1n1p2p1/3P4/2p1PB2/rPN2NPP/P1QR1PB1/3R2K1 w - -,f3d4
r1bqr1k1/ppp2pb1/3pn1pp/1P2p3/2P5/2NP2P1/P1N1PPBP/1R1Q1RK1 b - -,f7f5
1r1q1r2/4p1kp/b2p2p1/p4Pp1/1p1pP2Q/1P1P3P/P1P3B1/1R3RK1 w - -,h4g5
2r3k1/p2Nppbp/1np3p1/q3N3/3P4/1RP5/P2Q2PP/K7 b - -,b6d7
rnbqkbnr/1ppp1ppp/8/pP2p3/8/P7/2PPPPPP/RNBQKBNR b KQkq -,g8f6
Q2nk2r/5p1p/p3pp2/8/1bBP4/4PK2/P2q1PPP/7R b k -,d2c2
2r3k1/1b2n1pp/1p3p2/pB2p3/P7/P3PN2/3K1PPP/7R b - -,g8f7
