1R6/8/3p4/2nk4/8/2b1K3/1p6/1B6 b - -,d5c6
r4k1r/4pP2/2pq4/p2n1P2/PpBPQ1Rp/8/1P4PP/2R3K1 b - -,f8f7
r5r1/pp5p/2p1kp2/2n5/4PBbP/2P1KN2/P1P5/3R3R w - -,d1d4
3r4/4R1k1/3p3p/prpPp1p1/4P1P1/1P1P2P1/3K4/5R2 b - -,g7g8
r1bqr1k1/p1n2ppp/1b1p4/1PpPn3/5Q2/P1N1B1P1/4NPBP/1R1R2K1 w - -,h2h3
1r3nk1/p2b2pp/Bpn1p3/3pP3/3P4/PN6/1P2N1PP/2R2K2 w - -,f1f2
r1b1kb1r/pp1p1ppp/2n1pn2/q7/2P1P3/2N1BP2/PP4PP/R2QKBNR w KQkq -,a2a3
2r2b1k/6pp/p1bprpqP/3N4/3BP3/1P4Q1/P5P1/3R1RK1 w - -,g3h3
r7/5pk1/4p2p/1pR5/5P2/Pn2N3/4P2P/6K1 w - -,c5b5
2r2r1k/p2bpqbp/2pp1n2/8/1PNP1Pp1/P5P1/1B2Q1BP/2R1R1K1 b - -,f6d5
5rk1/1pqnb1pp/1npp4/2P2p2/1P1p4/2NBBP2/R4PPP/Q5K1 w - -,c5b6
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1QK2R b KQ -,b7b6:c7c5:b8d7:a7a5:c7c6
r3k3/pppq4/2n1b1P1/1B1p1p2/3PN2b/5N2/PPP2PP1/2K1R3 w q -,e4c5
R7/2pp1pk1/3b2pp/1r6/8/2p1BBPq/1P3P1P/5RK1 w - -,b2c3
6k1/1pp2p2/p3b3/6p1/4P3/1P3P2/P5P1/1K1B4 w - -,g2g3
rb2k2r/pp1n1pp1/4pnp1/1N1p4/3P2P1/7P/PP2PPB1/R1B2RK1 w kq -,c1d2
2r2rk1/2qn1p1p/b3pN2/pp1pP3/1P6/2P5/P2QB1PP/2R2RK1 b - -,d7f6
r2qkb1r/1p1b1ppp/p3pn2/2p1p3/P3P3/7P/1PPP1PP1/RNBQRBK1 w kq -,b2b3
rn1qkb1r/pp2pppp/2p2nb1/8/3P4/3B1NN1/PPP2PPP/R1BQK2R b KQkq -,b8d7
8/8/3Rp3/5p2/1r2kPp1/6P1/K6P/8 b - -,b4c4
7r/p1p2kpp/1p2b3/3p4/1B6/3P4/P1PK1PPP/4R3 w - -,b4c3
7k/6pp/2Bp4/1P2r3/P4p2/4P1PP/2q2P2/4Q1K1 w - -,g3f4
4kb2/p4q2/3p4/1p1Pp3/2p1P1QP/2P2P2/PP6/6K1 b - -,e8d8
3rb1k1/5pp1/4pq1p/r1b5/p2p4/P2P2P1/1P2RPBP/2RQN1K1 b - -,d8b8
3r2k1/1p3pp1/p2qp3/P5Q1/3P4/8/1P3PPP/3R2K1 b - -,d6d5
8/1k6/1pr5/3K4/8/8/8/1R6 b - -,c6c2
8/ppp2p1B/5k2/5p2/5K2/P6b/1PP2P2/8 w - -,f2f3
r1bb4/1pqn1Rnk/p2pr1p1/6Pp/3BP3/2N4R/PPP1Q1BP/6K1 b - -,e6e5
1r3rk1/pq4pp/1pnpp3/2b2p2/2Pn1P2/1PN2PP1/PB2B1KP/2RRQ3 b - -,f8e8
rn1qkb1r/pp2pp1p/2pp1np1/5b2/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,d2d3
5r2/8/2kb4/8/4R3/4NP2/6KP/8 w - -,h2h4
8/p2k1ppp/1p1b4/3PpN2/r7/P7/1Br1KPPP/1R6 w - -,e2e1
8/8/8/3kp3/2R3P1/2P3r1/4K3/8 w - -,e2f2
2N2k2/1p3p1r/2b5/p3b3/P1P1P3/1P3R2/5P1p/4RBK1 w - -,g1h1
r1bqkb1r/5pp1/p1p1pn1p/3p4/4PB2/2N1Q3/PPP2PPP/2KR1B1R b kq -,c8b7:f8e7:f8b4:d8a5
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq c6,g1f3
r1bqk2r/p4ppp/2p2n2/3p2B1/1b6/2NB4/PPP2PPP/R2Q1RK1 b kq -,e8g8
1r2rbk1/1bn2qpp/1n1p1p2/2pP4/pp2PPPN/1P3QNB/PB4RP/3R2K1 w - -,g4g5
r1bqr1k1/1p3pbp/2p2np1/2B5/p1P1P3/2N2B2/PP3PPP/1R1QR1K1 b - -,d8a5
r1b1k3/1p1nq3/p4n2/8/4P3/1BN5/PPPQ2Pr/1K1R1R2 w - -,e4e5
r3rb2/1p3k1p/p4pp1/B2np3/2Rp4/1P1P1NP1/1P2PP1P/4R1K1 w - -,g1f1
5q2/2k5/5PK1/6P1/8/8/8/8 b - -,c7d7
3r2k1/2n1qppp/8/Q7/P7/3p2P1/1P4BP/5R1K w - -,g2f3
3k1r2/3rq1p1/p1n2n1p/1p2p3/1P5Q/PB3N2/5PPP/3RR1K1 w - -,d1d7
rnr1b1k1/2q1ppbp/pp4p1/2pPN3/P1B1n3/2N4P/1PP1QPP1/R1B2RK1 w - -,e5g6
r1b2rk1/pp2n1pp/4p3/3p2N1/8/8/PPPR1PPP/2K2B1R w - -,f1d3
r3r1k1/1p1nbppp/8/q1n1pP2/p5P1/B6P/3NQPB1/R1R3K1 b - -,e5e4
8/6pp/2k5/R7/1pP5/8/Pr2K1PP/3q4 w - -,e2d1
4Q3/6pk/7p/7P/7q/3P1P2/2P1K1P1/8 w - -,e8e4
rnbqkb1r/ppp2ppp/8/3p1p2/3P4/3BP3/PPP2PPP/RN1QK1NR b KQkq -,g7g6
r3k2r/ppp1q1p1/3bpn2/5p2/2NPpPp1/1P2P1P1/PBP1Q2P/2KR3R w kq -,c1b1
3qr1rb/R2n4/R3p1kp/4p1p1/1B2P3/1PNP3P/2P1Q1P1/6K1 w - -,e2g4
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1BNP1N2/PPP2PPP/R1BQ1RK1 b - -,d7d6
r4rk1/pb3pp1/1pnbpq1p/3P4/8/P1NB1N2/1P2QPPP/R3R1K1 b - -,c6d8
r3r1k1/1p3ppp/1qpn1n1b/p3pP2/P3P2P/4NBP1/1PP3Q1/R1B1R2K b - -,d6e4
8/p2bq3/2p1p3/8/kp1PP3/3N2P1/PP1Q4/6K1 w - -,d3c5
1rbq1rk1/1p3ppp/p1np1b2/2p5/P1B1PNn1/1P1P4/1BPQ2PP/R2N1RK1 b - -,f6b2
r4rk1/2qb1pbp/pB4p1/1p2p3/4P3/P1NB2QP/1PP2RP1/3R2K1 b - -,c7b6
8/1p5p/p2k2p1/4p1P1/6P1/3K1P2/PP6/8 w - -,a2a4
r2q1k1r/1b1nbp1p/p3p1p1/2ppP3/8/1P1B4/PBP1QPPP/R2NR1K1 b - -,d8b6
r1bqk1r1/pp2bp1p/2n1p1pB/1Q6/3pN3/2P5/PP1N2PP/R4RK1 b q -,f7f5
2r2r1k/p4b1p/p4bnP/q2p2p1/3Ppp2/1PN1P1PN/PB2QPK1/2R4R w - -,e2g4
5r2/p2k1p2/2pn2p1/1p4R1/8/1B2P2P/PPP1K3/8 w - -,e2f3
r4rk1/p1qn2p1/1p2p2p/4Bp2/2P1Q3/1P1B4/P4PP1/R4R1K b - -,d7e5
b3r1k1/4bppp/2qppn2/1pp5/4P2B/1PNP1N2/2P1QPPP/4R1K1 w - -,e1a1
7R/P1b5/8/3N4/2K5/5r2/1P3k2/6q1 b - -,g1f1
8/5k2/2bPnp1P/p7/3KNB2/5P2/8/8 w - -,d4e3
3rrq2/1p5k/2p1b1p1/p2n2Qp/1n2NP1P/1P1PN3/P3PPB1/1R1R2K1 w - -,e3d5
rnb1kbnr/ppp1pppp/3q4/1N6/8/8/PPPP1PPP/R1BQKBNR b KQkq -,d6d8
2k1r3/6pp/2p2p2/1pb5/2p1PB2/8/1PP2PPP/3R1K2 w - -,f2f3
rn2kb1r/pp3ppp/2pqpnb1/4N3/2BP2PP/2N5/PPP2P2/R1BQK2R b KQkq h3,f6e4
4r2k/bpp2Qpp/p1n5/8/1P1P1P2/P7/1B3q2/R1KR4 b - -,f2e3
r2q1rk1/1b2bppp/p3pn2/np2N1B1/3P4/P1N5/BP3PPP/R2QR1K1 b - -,a8c8
2rqr3/1b3pbk/p2p1npp/1pn5/3BPP1N/1P4NP/P2QR1P1/1B1R3K w - -,e4e5
6k1/p2r1pp1/1p6/5P2/7p/2P1R3/PPKB2P1/3B3r w - -,d1g4
8/3k3p/1p2p1p1/1Pb1B3/4P3/4P1PP/5P2/5K2 b - -,c5d6
r4rk1/pp2bpp1/2p1p2p/q3P3/1Pp1b3/P3P3/1B2BPPP/2RQ1RK1 b - -,a5d5
8/2R2P2/8/1pp5/3kn3/8/8/2KB3r b - -,h1f1
5rk1/5pb1/4p1pp/6P1/1q1PP2P/6Q1/r3NK2/3R3R w - -,e4e5
7r/5p2/Q1kB3p/b1P3p1/8/4P3/PPK3PP/7q b - -,c6d7
r3kb1r/1b1n1ppp/1q2pn2/p2p4/Pp1P4/4P1P1/1P1N1PBP/RNBQR1K1 w kq a6,b2b3
1rr3kb/2qbnp1p/2n1p1pB/ppppP3/7P/2PP1NP1/PP3PB1/R1Q1RNK1 w - -,h6g5
r5k1/ppn3qp/1n4p1/2N2p2/1PpN1Q2/P5P1/5PKP/3R4 b - -,a8e8
8/8/8/2n1k3/5N2/5K2/3b4/8 w - -,f4d3
r3qr1k/3nb1pp/2Q5/2ppP3/2P2B1P/1p1P2P1/1Pn2PBN/2RR2K1 b - -,c2d4
3r4/4qpk1/2p1p1p1/R6p/Pr1P1PnP/1P4P1/2BR2K1/6Q1 b - -,c6c5
8/pk2r2p/1n2p3/2R1Ppp1/2pP4/2P4P/2PK2P1/1R6 b - -,e7c7
5r1k/1bqnr1pp/p4p2/P1pBp3/1pN5/3P1QP1/1PPB1P1P/R3R1K1 b - -,b7c8
5N2/4Pk1p/2b1R3/1p6/1n1p1P2/8/8/6K1 b - f3,d4d3
1rr1b3/3nk1bp/p3p3/2p2p2/8/3NBP2/P3B1PP/2RRK3 w - -,d3c5
5bk1/5q1p/6p1/2p1Q3/NpPr4/1P6/6PP/4R1K1 b - -,d4d2
r2qkb1r/pp3pp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/R3K2R b KQkq -,d8d5
6k1/5p2/4pKp1/4P3/5PP1/1r6/6Q1/8 w - -,g2a8
3r2k1/b2q1bpp/p4p2/1pp5/2pnNP1P/P5P1/1P3BB1/3R1Q1K b - -,f7d5
7r/p1k1bppp/2p1b3/2p1N2n/4P3/2N4P/PP3PP1/R1B3K1 w - -,g2g4
1r4k1/2r3p1/3b2pp/p1p5/P1n1R3/2R1P3/5PPP/4B1K1 w - -,e4c4
r4rk1/ppp2p1p/1q3np1/5b2/2P2P2/6P1/3QPNBP/2R1K2R w K -,c4c5
1r3r1k/1Pp3pp/2Ppq3/p3p3/6nN/B3PpPn/PRQ2P1P/5R1K b - -,g7g5
b3k2r/2Bp1npp/p3pp2/1P2n3/8/8/PP3PPP/R3KB1R b KQk -,a6b5
8/p3ppk1/5bp1/2n5/2P1QP1p/7P/P5PK/3R4 b - -,c5e4
2k5/8/KPP3p1/7p/7P/4p3/8/8 b - -,e3e2
1r3rk1/2nqppbp/p5p1/2pPp3/P1B1NP2/1R1Q1R1P/2P3P1/6K1 b - -,e5f4
4Q2k/6pp/3B4/1p6/p7/1bP4P/1P3qPK/3r4 b - -,b3g8
5R2/8/p7/7P/3k4/1B2n2K/P5P1/2r5 w - -,h3g3
6k1/2p2pp1/2B3b1/p7/P4PP1/2b5/2r2B2/3R2K1 b - -,c3e5
3r2k1/3q1pbp/1pnrp1p1/p1p5/2PP1PPP/P2RP3/1B2NQ1K/3R4 b - -,c6e7
r1bqk2r/pppp1ppp/2n2n2/2b5/2P5/1NN5/PP2PPPP/R1BQKB1R b KQkq -,c5e7
r5k1/3R1p2/6p1/3N1pb1/3P4/4PKP1/5P2/8 w - -,g3g4
8/8/2Nk1p2/1p3p1p/5P2/1B5b/1PP4b/4K3 w - -,c6d4
3q2k1/p1r2ppp/b1pb4/2ppr2n/2P1P3/1P1P2PP/PB3QB1/RN3RK1 w - -,g3g4
7k/1p3pp1/4q1rp/pNQ5/P7/2P5/1KP5/3R4 b - -,g6g4
r2q1rk1/pp3pbp/n2p1np1/2pP4/4P1b1/2NB1N2/PP3PPP/R1BQ1RK1 w - -,h2h3
r1bqk2r/pp1nbpp1/2p1p2p/3p2n1/2PP2P1/2N1PN2/PPQB1P1P/R3KBR1 w Qkq -,f3g5
r7/3np1kp/q2p1pp1/3P4/2pQP3/PrN3P1/1P2RPKP/2R5 b - -,a8c8
5k2/R5p1/7p/5K2/5P2/p7/8/r7 w - -,a7a8
r3r1k1/1p4bp/2b2qp1/p7/Pnp2PP1/2N1B2P/1PP2QB1/3RR1K1 w - -,g2c6
4r2k/3n2pp/p2Q1p2/Pq1p4/3P1B2/1p5P/1P3PP1/R5K1 w - -,a1c1
3r2k1/5pb1/1pn1p1p1/p1p1P1P1/5P2/R7/1P1B4/4KR2 w - -,d2e3
2r2rk1/pp5R/5ppP/4q1P1/3QP3/P7/2P5/1K3R2 w - -,d4d7
8/5r1k/7p/R4p1P/3N2n1/2p3PK/4P3/8 b - -,f7c7
6k1/p3ppb1/2b3pp/R7/2p1P3/Q1P2P1P/P2q2BK/8 w - -,a3e7
8/p7/4N1pk/5p1p/1P1q4/K4Q2/8/8 b - -,d4a1
6k1/p4rnp/Pp2p1p1/1PqpP3/8/6PB/3Q1P1P/1R4K1 b - -,f7c7
r1bq1rk1/pp3pbp/1nnQp1p1/3p4/3P4/2NNP3/PP1BBPPP/R1R3K1 w - -,d6d8
8/1p2k3/p1bn1p2/B3p1p1/P1P3P1/1P3P2/2B2K2/8 w - -,a5b4
N7/k5pp/p4p2/KbPBp3/3nP3/8/5PPP/8 w - -,a8c7
rn1q1rk1/1b2bppp/ppp2n2/3p1NB1/3P4/2N3P1/PP2PPBP/R2Q1RK1 w - -,e2e4
8/8/5k2/pp1p3P/6BK/P1r1p3/6R1/8 w - -,g4e2
2b2rk1/r3n1pp/p3p3/1p1pP3/2pN1P2/P1P3P1/1P4BP/3RR1K1 w - -,g2h3
4r1k1/6bp/2p3p1/2N2p2/2bp4/5PP1/1P1BP1KP/4R3 b - -,e8e2
5r1k/p5np/2B3p1/3R4/5bp1/8/PB3P1P/6K1 w - -,d5d7
1r6/ppn2pkB/3p1q2/2p1r3/2P5/1PB2Q1P/P4PP1/3R2K1 w - -,f3f6
8/5R2/p5pk/1P2r3/8/P5P1/1K5P/8 b - -,e5e2
r1b2rk1/p1q1ppb1/1pn3pp/2p3B1/4Pn2/2P2N1P/PPQN1PP1/R3RBK1 w - -,g5f4
r4rk1/1p1b2pp/pq2pn2/3p4/1n3P2/2N1P1B1/PP1Q2PP/RB3R1K b - -,a8e8
8/3r4/R2BpnkP/5p2/3K4/5PP1/8/8 w - -,d4e5
8/8/3Kp3/6k1/8/8/5R2/4r3 w - -,f2f8
r2r2k1/5pb1/1pn1p1pp/p3P3/Pp2bB1P/1P2RN2/2P1BPP1/4R1K1 b - -,e4c2
2k5/2pn1r1p/1p1p4/p3p3/P1P1Prp1/1NR5/1P2RPPP/6K1 b - -,c8b7
r2q1rk1/pb2bppp/2p1pn2/2np4/2P5/P1N2NP1/1PQ1PPBP/R1B2RK1 w - -,c1e3
8/3q1pk1/4p3/p6p/6pN/1p4P1/7P/Q6K b - -,g7g8
bqr3k1/4bppp/1n2p3/1P1p4/4P3/1P2BP2/5QPP/3R1B1K w - -,e3b6
5k2/5p2/4q3/1p1pPp2/1b1P1B2/1r6/4K1R1/1N5R b - -,b3b2
r1b2r1k/2p3q1/P1Np1b1p/R2Pp2n/5p2/3B1P2/2R2BPP/4Q2K b - -,f8g8
r4rk1/2q1ppbp/bnpp1np1/8/3PP3/1PN1BP2/3QBNPP/1R3RK1 b - -,a6e2
r3k2r/pp1nnpbp/1qp1p1p1/3p4/4PPP1/2NP1Q1P/PPPB4/2KR1B1R w kq -,h3h4
r2qk2r/1bp1bppp/p2p1n2/1p2p3/4P3/1PNP1N1P/1PP2PP1/R1BQ1RK1 w kq -,f1e1
r2q2k1/p2b2pp/1pn1p3/3pPr2/1P6/P3QB2/1N3PPP/2R2RK1 w - -,b2d3
1k6/1qr2b2/8/5p1p/1pp2Q2/2P1P1P1/1P3P2/R1KR4 b - -,b7c6
r1b2rk1/1p1nqppp/2p5/4p3/p1P1Q3/P3PN2/1P2BPPP/3R1RK1 w - -,e4c2
4r1k1/2pr1p1p/p1p3p1/4q3/8/1P2P2P/P1Q3P1/2R1R1K1 w - -,c2c6
r3kb1r/1p1b1ppp/pq2p3/3pP3/3NnP2/2P1B3/PPQ1B1PP/R3K2R b KQkq -,b6d8
5r2/1p1npr2/2p3kp/p2p2p1/P2P1q2/2P2P1P/1P2Q1P1/R3RNK1 w - -,e2d3
1rbq1rk1/1p2bppp/p1np1n2/2p1p3/P1B1P3/1PNP3P/1BP1NPP1/R2Q1RK1 b - -,b7b6
8/8/4p2n/1pBp4/1P1k1K2/6P1/8/8 b - -,d4c4
r5k1/pp1q1p2/2p3p1/3p2Qp/3P4/2P4P/PP3PP1/4R1K1 b - -,a8e8
3r3k/pp4p1/6Qp/5P2/8/7P/P3R1PK/2q5 b - -,c1c7
r2q1rk1/1b1nbppp/1pp2n2/p2p4/2P2p2/1PN1P1P1/PB1PQ1BP/R3NRK1 w - -,g3f4
rn2r1k1/1b3pbp/2p3p1/1p1Pp1B1/p3P3/P4N2/BP3PPP/2R1K2R b K -,e8c8
8/8/4B3/6p1/1P1k1pP1/2n2P2/3K4/8 b - -,c3b5
r2q1rk1/pp1b2bp/2nppnp1/2p3N1/2P1PP2/2NB4/PP4PP/R1BQ1RK1 b - -,d8e7
8/5K1p/6p1/5p2/2k4N/4b3/6PP/8 b - -,e3f2
2bqr1k1/r4p1p/p1pp2pb/1p1P4/3P1P2/1P1NN3/P2QB1PP/R3K2R b KQ -,a7e7
6k1/R6p/p1p3p1/5p2/2b4P/2N2PK1/PP4P1/r7 b - -,h7h6
r2qkb1r/pp3ppp/2n1pn2/3p4/8/2NP1BP1/PP2PP1P/R1BQ1RK1 b kq -,f8e7:f8c5
8/8/2R5/1pP2p2/3pk2P/8/1r3KP1/8 w - -,f2f1
rnbqk2r/pp3ppp/2p1p3/3n4/2BP4/2B2N2/PPP1QPPP/R3K2R w KQkq -,c3d2
8/4b1kp/2q5/3p1Q2/P2Pp3/1P1bP1PB/6K1/8 w - -,f5g4
3R4/1pQ2p1k/6pp/p7/4n3/4P2P/2K3P1/5q2 b - -,f1g2
3rr3/4ppkp/1pq3p1/p5P1/P3R2P/2P1Q3/1P3P2/R5K1 b - -,d8d7
rn3rk1/pbp1qpp1/1p2p2p/8/3P4/2R1PN2/PP2BPPP/3QK2R b K -,f8c8
r2qkb1r/pp1n1pp1/2p1pnp1/8/4p3/3P2P1/PPP1QPBP/RNB2RK1 w kq -,d3e4
8/6k1/5p2/5ppR/P6P/8/6PK/1r6 w - -,h4g5
5rk1/6pp/1P1R1b2/p1r2p2/P3pP2/4q1P1/6BP/3Q1R1K b - -,f8b8
4rnk1/1ppq2p1/1p1p1r1p/nP1Pp3/2P3P1/3QBPNP/P4RK1/5R2 w - -,g3h5
3r2k1/pBR2p1p/4pnp1/4r3/8/8/PPP3PP/5R1K w - -,b7f3
5rk1/4n1pn/1p1p3q/pPpPp3/P1P1B3/6PP/3NQ1K1/5R2 w - -,f1f8
6k1/5pb1/6p1/p1QN4/2P4p/1P3q2/P7/3R1K2 w - -,f1e1
3r3k/1p2R2n/7p/p1pp4/P7/7B/2P1rQ1K/8 b - -,e2f2
3r4/3b1pk1/1q4pp/2bBp3/p3P1P1/3Q1P2/1PP1K1NP/3R3R w - -,d1b1
r2q1rk1/pp3pbp/1n1p1np1/5b2/3P1B2/2NB1N2/PP3PPP/R2Q1RK1 b - -,f5d3
3b2k1/1b1n1pp1/p3q2p/1p1Np3/1P2P3/P4N1P/1B2QPP1/6K1 b - -,f7f6
r6k/pp2b1p1/1np2r1p/8/1q1PQ3/3B4/PP4PP/R1BR2K1 b - -,h8g8
2rqk2r/1b1nbppp/pp2p3/4P3/2P5/2NB4/PBQ2PPP/3R1RK1 w k -,c3e4
r3r1k1/1p3pp1/1pp1b2p/6q1/4n3/2P2Q1P/PPB2PP1/R3R1K1 w - -,f3e4
r2q1rk1/pbp1bppp/1n2pn2/3pN3/1P1P4/P1N3P1/3BPPBP/2RQR1K1 b - -,f6d7
6k1/1p1Q1pb1/p2p4/P2P2K1/1r6/7P/3n2P1/8 w - -,d7c8
2r3k1/p3qp2/4b1pb/2rpp2p/4nP2/Q1N3P1/P3N1BP/2R2R1K w - -,c3e4
5rr1/4q1k1/p2pPpp1/2pP4/1pP3PP/3Q4/P5R1/5RK1 b - -,g7h8
2r5/7p/8/p1b1R1k1/P4p2/3B1P2/5PKP/8 b - -,g5h6
r1bq1rk1/pp2bppp/2nppn2/2p5/4P3/3P1NP1/PPP2PBP/RNBQR1K1 w - -,c2c3:b1d2
rn1q1rk1/pbppb1pp/1p2p3/5p1n/2PP1B2/2NBPN2/PP2QPPP/2KR3R b - -,h5f4
2rr1bk1/5ppp/5n2/ppqpNN2/4n3/P1PRB2P/1PQ2PP1/R5K1 b - -,d5d4
5rk1/5p2/6pp/7b/2B1PP2/PP2Q3/1K1R4/7q b - -,h5f3
2r4r/1p1n1kbp/p5p1/1pPp1pP1/3PpP1P/1P2P3/1P2BK2/R2RB3 b - -,h7h5
8/6p1/4Pk1p/5P2/p5P1/Pp1K4/7P/8 b - -,g7g6
5r1k/2pb2q1/3p2B1/pp1P1p1P/5Q2/P5R1/1PP5/1K6 b - -,b5b4
r1k1r3/1bb2p1p/4q3/p4Q2/2N1n1R1/4B3/PPP2P1P/2KR4 w - -,f5e6
r1bqr1k1/pp1n2b1/2p3p1/8/5p2/2P4P/PP3BB1/RN1Q1RK1 w - -,d1g4
r3r2k/1p4bp/6pN/3P4/P3p3/6P1/1Q1P1PBP/5RK1 b - -,g7b2
2rq1rk1/p2Q1ppp/bp2p3/8/P1P5/4PNP1/5PBP/b1BR2K1 w - -,c1a3
r2q1rk1/pppb1pb1/2np1npp/4p3/2P5/1PNP1NPP/PB2PPB1/R2Q1RK1 w - -,e2e3
r4R2/1r4p1/p2Bp1k1/1b1pP3/2p3P1/2P3K1/2P3P1/R7 b - -,a8f8
1qrr2k1/4bppp/b1n1pn2/1p1p4/1P3N2/P3P1P1/1BN2PBP/2RQ1RK1 w - -,f4d3
2b5/4k1pp/5p2/p1Np4/3P2P1/1P2KP2/P6P/8 w - -,e3d3
r1bqk2r/ppp2ppp/2np1n2/2b5/2B1PB2/2NP4/PPP3PP/R2QK1NR w KQkq -,g1f3
4rbk1/1pq2ppp/2pp1n2/p3r3/P3P3/1BN3QP/1PP2PP1/R3R1K1 w - -,f2f3
r1bb1nk1/2q2pnp/p2p2p1/2pPp3/2P1P3/P1NBBN1P/2Q2PP1/1R4K1 w - -,f3d2
