8/1P2Q2p/7k/3q1p2/5K2/6P1/8/8 b - -,d5d4
8/2p1kpp1/p7/3n3p/2N5/5K1P/PP3PP1/8 w - -,f3e4
7r/3k1p2/1Bp5/p2pP2r/6Rb/1PP5/2K2P2/7R b - -,d7e6
r4rk1/1pp2p2/1bnp2p1/p1n1p1q1/2P4N/PPN1P1Pb/2QPBR1P/1RB3K1 b - -,g8g7
4Qbk1/6p1/4p1pp/3pP3/3P2q1/5N2/5PP1/6K1 w - -,f3h2
r1r5/p4pk1/3Q1np1/q3p2p/Np2P2P/5P2/bPP1N1P1/1K1RR3 w - -,b1a2
5rk1/b1q4p/4Q1p1/6N1/p7/P6P/3B2P1/4R2K b - -,g8h8
2R5/p7/1p2k1p1/8/8/8/Pb4PP/6K1 b - -,e6d5
r3r1k1/pb1qbpp1/1pp4p/3pN3/3Pn2B/1QN1P3/PP3PPP/2R1R1K1 b - -,d7e6
3r2k1/r4p1p/4q1p1/4p3/1P1bP3/3P3P/N1Q3P1/3R1R1K w - -,a2c1
r2q1rk1/ppp3pp/2p5/2n2b2/5RN1/2NP3P/PPP3P1/R2Q2K1 b - -,d8d6
6k1/3q1p2/1p4p1/2b3P1/7K/6PP/rp1BQ3/1R6 b - -,d7d4
r1bq1r2/1p1n2bk/p1n4p/3Npp2/8/P3BN1P/BP3PP1/2RQ1RK1 b - -,g7f6
r4rk1/1b1q1ppp/p7/1pp5/P7/2bP2NP/B2B1PP1/R2QR1K1 b - -,c3a1
1r4k1/4rbpp/p1p2p2/3p4/4P3/1N2Q3/qPP2PPP/3R1RK1 w - -,e3c3
2rq1rk1/ppp2p2/3p1b1p/3Pn1pP/4P3/8/PP1BBPP1/R1Q1R1K1 w - -,f2f4
7r/2p1b1k1/n2PBpp1/2p1p3/1P2P2p/2B5/4R2K/1R6 b - -,e7d6
r1q3k1/p3bppp/b1n1p3/2p5/PpP1PB1P/1P2QNP1/5PB1/3R2K1 b - -,c8f8
r2br1k1/pp1b2pp/3B4/4pp2/2Pn1n2/2N5/PP1N1PPP/2KR1B1R w - -,g2g3
8/4pk1p/2r3p1/p4p2/1PbR1P2/2N3P1/1P2P2P/4K3 b - -,a5b4
8/2QR1qk1/6p1/P1p5/4prKP/8/1P6/8 w - -,g4g3
4r1k1/5p1p/Bp1p2p1/1P6/5PP1/4n2P/8/3R2K1 w - -,d1d6
rnbqk1nr/pp3ppp/2p1p3/3p4/1bPPP3/P1N5/1P3PPP/R1BQKBNR b KQkq -,b4c3
3rr1k1/2q2ppp/p2p1n2/2P5/1p2PQ2/6PP/PP2RPB1/3R2K1 b - -,f6h5
2r3k1/p2R1p1p/6p1/1pb5/4P3/4BP2/P3K1PP/8 w - -,e3c5
r1bq1rk1/ppp2pbp/2n3p1/4p1B1/2B1Pn2/1N2QN2/PPP2PPP/R4RK1 b - -,d8e8
5rk1/2n4p/3qp1p1/p1Q1R3/B1P2P2/P1Pr3P/5P2/4R1K1 b - -,d6d8
3r3k/1p4p1/p1b1pb1p/4pq2/4N3/1PP2N1P/1P2Q1P1/4R1K1 b - -,c6b5
5k2/8/pr1P2P1/1p6/1P1RN3/P3q2P/8/6RK w - -,g6g7
r1b2r1k/ppbnqppp/2p1p3/7N/2BPN3/4PQ2/PP3PPP/2RR2K1 b - -,d7b6
3rr1k1/pp2q2p/3ppbp1/4p3/4P3/1NPR2P1/PP2QP1P/R5K1 b - -,e7c7
8/p5pk/1p5p/5p2/8/2Pq1b2/PP3Q2/R3K3 w - -,a2a4
8/1q1rb1kp/p1R2pp1/1p1rB3/4Q3/4P1P1/PP3P1P/2R3K1 w - -,e5d4
8/pp3k2/5p2/4p3/5rp1/P2PRP2/1PK2P2/8 w - -,f3g4
r1bqkb1r/pppnpppp/5n2/8/Q1p5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,e7e6
4r3/1q3ppk/2p4p/2P1P3/1p1QPP2/1R4P1/7P/6K1 b - -,e8b8
2r1r1k1/1pqnbppp/p2pbn2/P3p3/4P3/1NN1B3/1PPQBPPP/R2R2K1 w - -,h2h3
r2q1rk1/5p1p/3n1Rp1/3Pp3/2pnP3/2N3NP/1P4P1/4QR1K b - -,g8h8
r5k1/1p2pp1p/3p1bp1/p2P4/2r5/6P1/PPP2PBP/1RR3K1 w - -,b2b3
rr6/2pb1pkp/1q1p2p1/3Pp3/4P3/1BN2PPn/PP1Q3P/2KR1R2 b - -,b6c5
4b3/pp5p/2p2k2/1PPp4/P2N1P2/4K3/7P/8 w - -,e3d3
r4rk1/pp1nqpbp/n2p2p1/2pP4/2P1NP2/3B1Q1P/PP4P1/R1B2RK1 w - -,a2a3
2Q5/6q1/3r3k/1P4p1/4Bb1p/4p2P/8/6RK b - -,f4g3
r1b2rk1/p2nqppp/2p5/4p3/2PpP3/3Q1N2/PP2NPPP/R4RK1 w - -,e2g3
2r3k1/p4pp1/1p2pn1p/4N3/PqPQ4/1P1R3P/5PPK/8 b - -,b4e7
8/7p/1p2k3/p4p2/P1P5/1P2K2P/6P1/8 w - -,e3d4
rnk3nr/ppp3bp/4bpp1/4p3/2P5/5NN1/PP1BPPPP/2KR1B1R w - -,e2e3
r1b1rnk1/pp3ppp/5n2/1Pp1q3/2P1p2P/P3P1N1/2QNBPP1/3RK2R w K -,h4h5
r1bq3r/5pkp/ppn1p1p1/3pP3/3P4/1NN5/PP2QPPP/R3R1K1 w - -,a1c1
r3r1k1/1p1bqpbp/2Np2p1/p1n4n/2P1PB2/1PN3PP/P1Q2PB1/3RR1K1 b - -,d7c6
3r3k/pb1r1pp1/1pp1pb1p/8/1qPP2Q1/1P2B1P1/P2R1PBP/3R2K1 b - -,b4e7
r3qr1k/2pb2bn/3p2p1/p1pPpp1p/P1P1P2P/2N1B1P1/1P1QBPK1/R6R w - f6,f2f3
1rq1k2r/3bnpb1/pp1p2p1/2pPp2p/P1P1P1nP/2N1NPP1/1P1BB3/R2QK2R b KQk -,g4e3
3rk2r/pp2qpp1/2pbpnp1/8/2PP1PP1/P3B2P/1P2Q1B1/1K1R3R b k -,e7c7
r6k/4P1p1/7p/1p6/3pP3/p7/3R2PP/6K1 w - b6,d2d4
8/pp1k1b2/8/5P2/3p4/P1R2BPr/2P1p3/4K3 w - -,c3d3
r1bqr1k1/pppn1pb1/5npp/3Pp3/4P3/3B1N2/PPP1Q1PP/RNB2RK1 w - -,h2h3
r2r2k1/pp1qbpp1/2n2n1p/5b2/2P2B2/P1Rp1NP1/1P1N1PBP/1Q3RK1 b - -,a7a5
3r1rk1/3bq1bp/1pn3p1/p1p2nN1/P3PR2/2PPB2P/1P1NQ1B1/R5K1 b - -,c6d4
r1bq1rk1/1p3ppp/p4b2/n2B4/P7/5N2/QP3PPP/R1B2RK1 b - -,a5c6
r2qr1k1/1pp2ppp/1n1b1nb1/pP2p3/4P3/P2P1N2/1B1NBPPP/2RQ1RK1 b - -,d8d7
r2q1rk1/1b1nppb1/3p1npp/1p6/3N3B/2N1P3/PPQ1BP1P/3RK1R1 w - -,e2b5
rn2k1nr/pp2ppbp/1qp3p1/3pP3/3P1Pb1/2N2N2/PPP1B1PP/R1BQK2R b KQkq -,g4f3
rn2kb1r/pb2pppp/1qp2n2/1p2N3/2pP4/2N3P1/PP2PPBP/R1BQK2R w KQkq -,e1g1
8/8/5K2/4R2P/3k4/8/4Bp2/1r6 b - -,b1e1
1r3r1k/2nbn2p/1q1p2pb/p2Pp1N1/1pB1Pp1P/3Q2P1/PP1B1P2/1KRN3R w - -,g3f4
r4rk1/1bqp1ppp/pp2pn2/2b5/2P1P3/1PNQ2P1/PB3PBP/2R2RK1 b - -,b7c6
r5k1/p1q2ppp/bp2p3/n7/4P3/P2N1P2/3Bn1PP/RQ3R1K b - -,a8d8
r3k2r/1pq1ppb1/p2p1np1/3P1b1p/3N1P2/1P4PP/P1P2BBK/R2Q1R2 b kq -,c7c3
8/1R3pk1/1p6/1P2r1pB/P4p2/1b5P/6PK/8 w - -,b7b6
2r2k2/p4p2/4pp1p/8/1bP5/1N4P1/PP3P1P/3R2K1 b - -,c8c4
r1bqkb1r/ppp1pppp/2n5/8/2B5/2n2N2/PPPP1PPP/R1BQK2R w KQkq -,b2c3
8/2p5/r5pp/5p2/PKP2k2/5P2/2R3PP/8 b - -,f4e3
5rk1/5pbp/3pbp2/nB1Np3/4P3/2P1N3/1P3PPP/4K2R w K -,b2b4
r1b2rk1/2q2pbp/pN1p1pp1/P1pPn3/1p2P3/3B4/1PPN1PPP/R2Q1RK1 b - -,a8a7
8/4p3/8/p1knp1p1/1p1R3p/5P1P/PPP1K1P1/5B2 b - -,e5d4
5k2/1p1q1pp1/p1pNbb1p/2P5/1P1p1P2/PB1P2P1/4Q2P/4K3 w - -,b3e6
1rbq1rk1/3nppbp/3p2p1/1PpP4/4PPP1/4BN1P/1PQ1B3/R3K2R b KQ -,e7e6
r1bqk2r/1p1n1pbp/n5p1/pBpNB3/P2P4/8/1P2QPPP/R3K1NR b KQkq -,e8g8
2r1kb1r/pp2nppp/1qn1p3/1P1pPb2/3P4/B1P2N2/5PPP/RN1QKB1R b KQk -,c6a5
r1b2rk1/b1p4p/p1p2q2/8/4Ppn1/1PP4P/PB2RPP1/R2Q1NK1 w - -,h3g4
rnb2rk1/ppp1qppp/3p4/3P4/2P1n3/P1B2N2/1PQ1BPPP/R4RK1 b - -,e4c3
5rk1/3q1pp1/2r5/p2Q4/1ppP2bP/2P3K1/PP2R1B1/2R5 b - -,c6d6
r4rk1/1pp1q2p/p1n1b3/b2p1pp1/3P4/1Q2BBPP/PP3PN1/2KR1N1R b - -,a8d8
7k/p1b5/2b2pp1/P3r3/1PB4p/2P1B3/3R1P2/6K1 w - -,c4f1
5k2/1p3p2/2pb2p1/3r3p/p2PR3/P1KN2P1/1P3PP1/8 b - -,f7f6
6k1/3p2p1/2bN3p/2P5/4pP2/r6P/6P1/4R2K w - -,h1g1
2rqkb1r/1b1n1ppp/p3pn2/8/Np1p4/P4NP1/1PQ1PPBP/R1BR2K1 w k -,c2d2
2nr2k1/1pqr1pbn/p1p1p1p1/8/PPPPN1P1/1BB2Q2/4RP2/4R1K1 w - -,e4c5
r2qkb1r/1p1n1pp1/p2pbn2/4p2p/4P3/1NN1BQ1P/PPP2PP1/R3KB1R w KQkq -,h1g1
8/4Bp2/2p3p1/1p1bP2p/5Pk1/P3K1P1/4R2P/7r w - -,e2f2
2rq1rk1/1b1nbppp/p2pp3/1p4P1/3QP3/P1N1BP2/1PP4P/1K1R1BR1 b - -,d7e5
r1bqr1k1/pp2bppp/2p1p1n1/2P5/3PQ2P/4BNP1/PP3PB1/R4RK1 w - -,h4h5
rnbqk2r/pp2ppbp/5np1/2p5/1PPp4/5NP1/PB1PPP1P/RN1QKB1R w KQkq -,d2d3
1r3k2/4Npp1/3Qb2p/p7/7P/P2q2P1/1PR2n2/6K1 w - -,d6b8
2kr3r/pp1bbpp1/2p4p/q2pPP2/8/2NBP2P/PPQ3P1/R4RK1 w - -,a2a3
r4rk1/1p1n1pp1/1qpbb2p/p2p4/3P4/P1NBPN2/1PQ2PPP/1R3RK1 w - -,b2b4
r1bqkb1r/pp4pp/2nppn2/2p2p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
1q2r1k1/3n1ppp/pp3n2/3b4/NP6/P4P2/3Q2PP/2NR1BK1 w - -,a4c3
8/1R3b2/p1r2k1p/P1p2p2/2P2N2/3P2P1/5P2/6K1 b - -,f7e8
3b4/p4pk1/1p6/8/5KNp/P6P/1P2R1P1/3r4 w - -,f4e4
5r2/pppq2k1/1n4p1/4p1Np/5P1Q/1P5P/P5P1/4R1K1 w - -,f4e5
8/3nkpp1/pr1pb3/2r4p/1p1NP2P/1P3P2/P1R2KP1/1B2R3 w - -,c2c5
r4rk1/2pn1ppp/p1n5/bp1NP3/5Bb1/5N2/PP3PPP/R2B1RK1 w - -,a1c1
8/4k3/2p5/3n1K2/8/5B2/8/8 b - -,e7d6
r2q1rk1/1pp2ppp/p1n1p3/5b2/2BP1b2/2P2N1P/PP1NQPP1/R4RK1 w - -,d2e4
rnb1kb1r/p3pppp/2p2n2/3q4/PppP4/4P1N1/1P3PPP/R1BQKBNR w KQkq -,f1e2
r4rk1/2qbbppp/p1np1n2/1pp1p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 w - -,d4d5
r3qrnk/1ppb1pbp/3p2p1/p1nPp1B1/2P1P1P1/2N2P2/PPBQN2P/R3K2R w KQ -,e2g3
r2Qrbk1/1p3ppp/2b2pn1/p1P5/8/4BNP1/PP3PBP/R2R2K1 b - -,a8d8
r3k2r/ppp1qp1p/2b2np1/2p5/4P3/2N1QN2/PPP2PPP/3R1RK1 b kq -,e8g8
2r1r1k1/1b5p/p3p3/1p1pBp2/4nP2/PP1BK1P1/2P4P/R5R1 b - -,g8f7
5rk1/5ppp/p3p3/qp1nP3/3BP3/PP3Q1P/5PP1/2R3K1 b - -,d5e7
6R1/3k1bQ1/1p2p2p/p2n1q2/7P/P5P1/1P3P2/6K1 w - -,g8f8
2kr4/pp1n3Q/2qbp2p/2P4N/8/2PN1P2/PP1B2rn/2KR3R b - -,h2f3
r3r1k1/1qpn1pbp/p1Rn2p1/Qp1Pp3/4P3/3BBPN1/PP4PP/4K2R b K -,e8c8
3rr1k1/b1q2pp1/1ppp1n1p/p3nQ2/N1P5/1P2P1PP/P4PB1/2RRB1K1 b - -,e5g6
8/3N4/5p1p/1P1n2p1/8/k4K1P/6P1/8 b - -,f6f5
2r2r1k/6pp/p3Q3/1p3p2/3R1nq1/1PP2N2/P5PP/4R2K w - -,d4f4
4r2k/4r2p/6p1/2P1b2n/1P3p1q/5B1P/5PPB/1R1Q1RK1 w - -,b4b5
3r1r1k/p4pb1/6bp/4N3/1P3Q2/5B2/1q2RPPP/2R3K1 b - -,b2d4
r1b2rk1/pp3pbp/2npp1p1/Q1p5/3nPP2/3PB1P1/PPP3BP/R2NNRK1 b - -,c6a5
r3r1k1/1p3npp/pb2q2n/2Np1p2/PP1Pp3/B3P1PP/2Q2PB1/2R1R1K1 b - -,b6c5
8/7p/3k4/p7/P6R/4KP1P/r7/8 w - -,h4e4
1r2k1nr/4b3/pp1pN3/3N2B1/1Pn5/5RPp/P6P/2R4K b k -,c4e5
5k2/p1q5/1p1Q4/4KP2/4N3/7b/8/8 b - -,c7d6
r1bq2k1/2p1nr1p/1n5b/B1pPpp2/2N1P1p1/2NB4/2Q2PPP/R2R2K1 b - -,f5e4
8/5p2/p4Pk1/2R4p/8/2B5/r6P/6K1 w - -,h2h4
5b2/pb1n4/1pp1kp2/3p2pp/3P4/2PB1N1P/PP3PPB/2K5 w - h6,g2g4
2qr2k1/3N1p1p/p1n4P/2p2nQ1/2P5/4P2P/P7/1R4K1 b - -,g8h8
2rq1rk1/4npp1/3pb3/1p1Np1b1/8/BP2P1P1/P4PB1/R2Q1RK1 b - -,e7d5
2Q5/p7/1p6/k5p1/1P1Pn3/2P1q3/P7/1KR5 b - -,a5b5
r5k1/5pp1/2N3p1/R7/8/1Pn5/P5PP/6K1 b - -,a8a5
r3k1r1/1p1nqpPp/p1p5/3b4/3N4/PPbQP2P/1B3PP1/R4K1R w q -,d3c3
r1bqkb1r/pp3p2/2n2ppp/7Q/2BP4/2N5/PP3PPP/R3K1NR w KQkq -,h5e2
5r2/p1n1ppk1/3p2p1/R3Pb1p/7P/KN3PQ1/P1q3P1/3R4 b - -,c2d1
5b1r/1p1q1kpp/p3p3/3r1pQ1/3P1P2/2B5/PP4PP/2R1R1K1 w - -,e1e5
r2qr1k1/6bp/n1p2p2/p2pPp2/1P1P1Pn1/BP1N1R2/P2Q2B1/R5K1 b - -,a5b4
2R5/5p2/2nk1npp/p7/1P3P1P/P3PKP1/8/8 w - -,c8f8
r1bq1rk1/pp3p1p/2n1pbp1/2p5/2P1P3/1Q1B1P2/PP2N1PP/R1B1K2R b KQ -,c6d4
rn1q1rk1/ppp3pp/3p4/2bPpp2/6b1/4P1P1/PP1PNPBP/R1BQ1RK1 w - f6,b2b3
6k1/2r5/4bpp1/2B4p/p7/P1R1PP2/4K1PP/8 b - -,g8f7
4b2r/kp3p2/p3p1n1/q2pP2r/3P1p1P/P4N2/1PP2Q1R/1KN4R b - -,e8a4
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/2NPBN2/PPP3PP/R2QKB1R b KQkq -,g8f6
1r2qrk1/p4pbp/b1NQ1np1/2p5/6P1/2N1P2P/PP4B1/R4RK1 b - -,e8e3
3r1rk1/bp3p1p/p4p2/8/1P6/P4NP1/4nPBP/R4R1K w - -,f3h4
r1bqk2r/1p2bppp/p3pn2/2p5/1nPP4/3BPN2/PB3PPP/RN1Q1RK1 w kq -,d3e2
5b2/1r3p1R/5kp1/4p3/4P3/2PB4/2K5/8 w - -,d3c4
2r1k2r/pp3pp1/q3pb2/3p3p/3P1P1P/2Pb1NN1/PP1Q1RP1/R5K1 b k h3,g7g6
2r2rk1/ppq2p1p/4pPp1/5n2/5Q2/1P4P1/PB1P2RP/R5K1 w - -,b2e5
1r1qk2r/ppn1bpp1/2p2np1/3p4/P2P4/1Q2N1P1/1P2PPBP/R1B2RK1 b k a3,c7e6
8/3k1p2/p6b/Pp1p4/1N1p1P2/1P6/2P5/3K4 w - -,b4d5
r2qkbnr/pp3ppp/2np4/2p1p3/2B1P1b1/1PP2N2/PB1P1PPP/RN1QK2R w KQkq -,h2h3
8/5kbp/1p2p1p1/p4p2/2K2P2/2p3P1/N1P1P2P/8 b - -,f7e7
8/5k1p/pp3qp1/2pP1p2/2P4P/1P2Q1P1/P4K2/8 b - h3,f6d6
r3k2r/pp1nppb1/2p3pp/q7/3PP2P/2N1Bb2/PPP2QP1/2K2RR1 w kq -,g2f3
4r1k1/3r2bp/1p2p3/p1p2p2/2P2P2/3PNK2/PP5P/3R1R2 b - -,g7b2
r4rk1/p5pp/1pp4q/n2p4/3P4/2PQ1PB1/P5PP/R4RK1 w - -,a1e1
3r1rk1/1p5p/4q1p1/p2pN3/3Qn3/1P4P1/P4PKP/3R1R2 b - -,f8f5
6k1/6b1/4n2p/1p3p2/r3p3/P3BP2/1P4PP/N1R4K w - -,f3e4
rnbqkb1r/p3nppp/1p2p3/2p1P3/3p4/3P1NP1/PPP1QP1P/RNB1KB1R w KQkq -,f1g2
r3r1k1/pp1q1nbp/2pp2p1/5b2/1PPNN2B/P7/3QBPPP/4RRK1 b - -,e8e4
2r1r1k1/1b1nq2p/p2pp1pB/p7/P3P3/1Pb4R/2PQ2PP/3B1R1K w - -,h3c3
1qr3k1/p1Rn1pp1/4pn1p/3p4/3P4/QP3N2/P3NPPP/5RK1 b - -,c8c7
1k6/1P4R1/3r4/8/4N3/5Kp1/6P1/8 b - -,d6d3
2r2rk1/pp2qppp/3p2n1/3P4/2PP4/1P2BQ2/P5PP/4RRK1 b - -,e7d7
r1bq1rk1/ppp2ppp/3n1b2/3p4/B2P1B2/2P5/PP3PPP/RN1QR1K1 w - -,b1d2
rn3rk1/pp1bppbp/1q3np1/2ppN3/3P4/2PBP3/PP1NQPPP/R1B2RK1 b - -,b8c6
1n1rnbk1/p1p2p2/1p1r1Pp1/4p1P1/q3P1Q1/1NP5/PP2B2K/R1B2R2 b - -,b8d7
