8/2r2p2/3k4/1p3R1p/8/5K1P/6P1/8 b - -,c7b7
2k4r/1p5p/2p1bp2/2b3p1/P7/2N1P1P1/1P1R1PBP/2K5 b - -,h7h5
2r1n3/p3qpkp/1p1pp1p1/1P6/2r1PP2/P1NRQ2P/1P4P1/3R3K w - -,a3a4
r1b2rk1/pp1n1pbp/2p1pnp1/q7/P2PN2B/1B3Q2/1PP1NPPP/R4RK1 b - -,f6e4
r1b2r1k/p7/4p2Q/1p1pP3/3pqP2/8/PN4PP/R4R1K b - -,h8g8
r1bq1rk1/pppp1ppp/5n2/4N3/1n2P3/8/PPPPBPPP/R1BQK2R b KQ -,d8e7
2r5/5p2/4b1k1/4B2p/5p2/5P1P/6PK/1R6 b - -,c8c4
r4rk1/pp1nppbp/3p2p1/3b3q/2P1P3/3Q1N1P/PP1B1PP1/R2R2K1 w - -,e4d5
r2b1rk1/2q2pp1/1p1p3p/p1nPpP1Q/2P4P/1P6/1BB2PP1/R3R1K1 w - -,e1e3
rnbqk1nr/pp3ppp/2p1p3/8/1bpPP3/2N5/PP1B1PPP/R2QKBNR w KQkq -,g1f3:f1c4
2r2bk1/p1r2q2/2p1p3/4Pp1p/3R1BpP/1PQ5/P4PP1/4R1K1 b - -,f7e8
1k1b4/2qP4/1p6/1Pn5/6Qp/7P/5PP1/3R2K1 b - -,b8b7
8/5pkn/3B4/5BP1/6KP/2b5/8/8 b - -,c3b2
R3r1k1/2p3p1/4R2p/1pbn4/5p2/1PP3N1/1P3PPP/2B3K1 b - -,e8a8
8/K2k4/NPq5/8/8/8/8/8 b - -,d7c8
8/1p1b3k/2p3pp/p1n1pp2/P1P1P3/1PN2PPP/2n3B1/2N3K1 w - -,c3b1
8/5pkp/2Q5/4p3/P2q2p1/6P1/5PKP/8 b - -,d4d3
r2q1rk1/1ppb1pbp/p2p1np1/2P1n3/4P3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,e5f3
8/2k1pp2/p3r1p1/2PK3p/5P1P/6P1/R7/8 w - -,a2a3
2kr3r/p2qbppp/3p1n2/n1pPp3/PpP1P3/1N3N2/1P3PPP/R1BQR1K1 b - -,a5b3
rn1q1rk1/pbpp2pp/1p2pb2/5p2/2PPn3/1P3NP1/PB2PPBP/RNQ2RK1 w - -,b1c3
1r6/6k1/2Rb4/3P1p1p/5P2/p4KPP/B4P2/8 b - -,d6f8
8/5p1r/5R2/p1k5/2P5/1P2NpK1/P4P2/6n1 b - -,h7h3
1rbq1rk1/p3bppp/2nppn2/1p6/4PP2/2Pp1N2/PPB1N1PP/R1BQ1RK1 w - -,d1d3
8/5rbk/7p/1p1p3q/p1p3r1/P1PP2P1/1P2QPKN/1R2R3 b - -,g4g5
8/5k2/p3N3/b1BP1r1p/1p4n1/nP5K/R7/8 w - -,a2d2
r1bq1rk1/ppp1npbp/4pnp1/3p4/2PP4/Q1NBPN2/PP3PPP/R1B2RK1 b - -,b7b6:e7f5
r3k2r/1p3pp1/p2p1q1p/2bPp3/1PPn4/3B4/P2N1PPP/R2Q1RK1 b kq b3,c5a7
1R6/4rp1p/2pk2p1/r2p4/P2P4/2K5/R4PPP/8 b - -,e7e1
5b2/1p5k/pn2p2P/3pP1P1/3P4/1Pr1BK2/5N2/7R w - -,h1g1
r4rk1/pp4pp/2b1pn2/3p4/5P2/2N5/PPP1B1PP/2KRR3 b - -,a8e8
2R5/6bk/1q2p1p1/3p3p/1p1N4/1N2n2P/1Q6/6K1 w - -,b2c1
3r4/3P2rp/4R3/1B2p1k1/4K3/1P6/8/8 b - -,d8d7
2rq2k1/2r4p/p1p3p1/1p1p1pn1/PPnP4/2QBP2P/R2N1PP1/2R3K1 w - f6,d2b3
8/q4pk1/4p3/3pPp1p/r1nN1PnP/PRQ2N2/2P3P1/2K5 w - -,f3g5
r1bqkb1r/pp2p1pp/2n2p2/2pn4/8/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq -,a2a3
r1bqrbk1/1p3pp1/2pp1n1p/p1nPp1B1/2P1P3/2N2NPP/PP3PB1/R2QR1K1 w - -,g5f6
8/5p2/5k2/R7/P4K2/r7/6P1/8 b - -,a3a2
r7/pp6/1k6/1q2QB2/8/4pP1P/6P1/6K1 w - -,e5e6
3rk3/p4p2/1p4rp/5p2/3N1qn1/2PQ4/P1P1B1b1/1R2K1R1 b - -,g4e3
r1bq1rk1/p3ppbp/2p2np1/3P4/8/2N3P1/PP2PPBP/R1BQ1RK1 b - -,c6d5
r3r3/p3ppkp/2p1b1p1/2Nnq3/8/1P4P1/P1Q1PPBP/2R2RK1 b - -,a8c8
3r1r2/p1p3kp/2p3p1/4R1N1/2P3b1/6P1/PP3P1P/R5K1 w - -,a1e1
8/2b1k3/p1p5/1pP2P2/1P5p/5QqP/3B4/7K w - -,f3e4
2b3k1/1p4pp/r3pb2/1Pp5/p2r4/5PP1/PB2P1BP/3RR1K1 b - -,a6d6
r2r2k1/1p1n1pp1/2p2bp1/2Pp4/1P1p1P2/3P1NP1/2R1P1BP/5RK1 b - -,a8a4
r1b1k1nr/ppq3pp/2n1pp2/3pP3/2pP3P/P1P2NQ1/2P2PP1/R1B1KB1R b KQkq -,f6e5
r1bqrbk1/1p3ppp/1np2n2/p2p4/3P1N2/PPN1P1P1/R4PBP/2BQ1RK1 w - -,a2d2
3rr2k/1bp1bpp1/p1n4p/1p1n1q2/3pN3/P1PQ1N2/1PB2PPP/R1B1R1K1 w - -,c3d4
1r5k/7p/8/5p2/5R1P/P2r4/8/5R1K w - -,f4f5
8/8/K4N2/8/8/6k1/Pn6/8 b - -,g3f4
r1b1r1k1/pp3p1p/2p3p1/3nq3/8/1P2P1N1/P1Q1BPPP/R2R2K1 w - -,a1c1
r6k/p2n1p1p/1p1p3r/2pPpR1q/1PP1P3/P5P1/5PB1/R2Q2K1 b - -,h5d1
2br1rk1/ppp1qppp/1nn1p3/8/1P1P4/P1N1PNP1/4QPBP/R4RK1 b - -,e6e5
1r4k1/3n1rpn/p3p1Np/1p1b4/5NP1/3B3Q/q4P1P/R4RK1 b - -,h7g5
r6k/1pp2R1p/3p1Pp1/pbPB1P2/5qP1/PPQ4P/8/6K1 w - -,d5g2
rn2kbnr/pp3ppp/1q2p3/1N1p4/3P4/1Q2PN2/PP3PPP/R1B1K2R w KQkq -,c1d2
R2r4/1Q3k2/3ppbp1/4p3/2Pq2N1/1P3PP1/6K1/8 b - -,f7f8
3r4/1pr1pknp/p4p2/2P2P1P/1P1N4/P3P3/4K3/3R3R b - -,d8d5
3r2k1/p4q2/3Pr1pb/1p5p/P1p5/4NP1P/1P3QP1/2BR3K b - a3,a7a6
2kr4/1pp1qpp1/p1bp1n2/4pPP1/3bP3/P1NP1Q2/1PPB2B1/R3K2r w Q -,g2h1
6k1/1p4pp/p2p2n1/P1pP4/4q2P/1QB3P1/1P2KP2/8 w - -,e2f1
r3r1k1/1pq2pp1/p2p1n1p/3P4/3Q4/2P2B2/PP2R1PP/3R2K1 w - -,d1e1
6r1/1p3kP1/p7/8/1P2K3/P5R1/8/8 b - -,g8e8
8/8/5k2/2qpR3/3N1P2/4P1K1/8/8 w - -,e5e6
r5k1/1N2npp1/Q3p3/3p3p/1p1P4/1P2P1P1/5P1P/2R3K1 b - -,a8a6
r2q1rk1/pp1n1ppp/3bpn2/3p4/8/2NP1BPP/PP2PP2/R1BQ1RK1 w - -,f3g2
6k1/p2n1qpp/1p1P4/1Nr3b1/P2QRr2/8/1B3PKP/R7 b - -,c5f5
r2q1rk1/1ppbn1bp/p1np2p1/4pp2/3PP3/1BP1BN2/PP1N1PPP/R2QR1K1 b - -,g8h8
7k/7p/7R/pp6/1P2rP2/8/8/1K6 b - -,e4b4
r3kb1r/1pq2ppp/p3p1n1/2npP3/8/2N1BN2/PPP1QPPP/3R1RK1 w kq -,f1e1
3r1rk1/pp3pb1/1np2qpp/3Pp3/4P3/1BN1Rb1P/PP3PP1/R2Q2K1 w - -,e3f3
2r5/3R4/8/3pK3/2k5/2r5/8/4R3 w - -,e1d1
r1bqkb1r/pp3ppp/2n2n2/1B1pN3/3Q4/2N5/PP3PPP/R1B2RK1 b kq -,c8d7
r1b2r2/4ppbk/1n1p1npp/qppP4/4P3/1QN2P2/PP1B2PP/2KR1BNR w - -,f1b5
4rr1k/pp1n2pp/7q/4P3/3P1p2/1P3Qb1/PB4B1/2RR2K1 b - -,h6b6
8/4k3/1R6/7p/p7/1p3K2/r7/2B5 w - -,f3e4
r2qk1nr/pbppp1bp/1pn3p1/5p2/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,e7e6
1r1q1rk1/4ppbp/ppn2np1/3pP3/P1NP4/5BPP/1P3P2/R1BQ1RK1 b - -,f6e8
8/p2Q2kp/6p1/4p3/8/2P4P/PP4PK/4q3 b - -,g7h6
r1b1kb1r/ppqnpppp/3p1n2/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,a7a6
r1bq1rk1/pp2ppbp/2n3p1/4P1N1/2BPp3/4B2P/PP3PP1/R2QK2R b KQ -,b7b5:d8a5
2rq2k1/1b3pbp/p5p1/3P4/P1nN4/3Q3P/2B2PP1/1R2B1K1 b - -,c4e5
6k1/1q1b1pp1/p4n1p/4p3/pP2P3/6N1/5PPP/2Q2BK1 w - -,c1c3
8/6kp/p2p4/8/1PP1R3/7P/6PK/1r6 b - -,b1b4
8/5pk1/4pb1p/R5p1/P4nP1/2r2NK1/5P1P/3B4 b - -,e6e5
2kb4/K4pp1/p1p5/5P2/P4P1p/8/5B2/8 w - -,a7a6
1r4k1/4qpbp/pr1p2p1/RnpP4/2B2P2/1PPQ3P/3B2P1/5RK1 w - -,f1a1
1qr2rk1/1b1nbppp/pp1p1n2/4pPB1/1NP5/P1N1PB2/1P4PP/2RQ1RK1 b - -,f8e8
r1bqk2r/4bppp/p2p1n2/1p2p3/2P1P3/N7/PP3PPP/R1BQKB1R w KQkq -,f1d3
3rr1k1/5pp1/4nn2/p1qp2p1/1p6/P1N1PPP1/1P1R1QBP/3R2K1 w - -,a3b4
r3kr2/2p2p2/p1b1pb2/6pB/2p5/3qPNPP/P1Q3P1/1R3RK1 w q -,c2d3
r1bqr1k1/pppn2pp/2p2p2/2b1p3/2N1P3/3P1N1P/PPP2PP1/R1BQ1RK1 w - -,f3h4
6k1/5pp1/p3p2p/1pq1P3/4pP2/PbP3P1/1P5P/3Q1K2 w - -,d1b3
8/2p4p/2Pk4/pK2p1p1/Pp3pP1/1P3P2/4P2P/b1B5 b - -,a1c3
3r2k1/p4pp1/7p/2P5/1rq1pN2/3nB1P1/P2R1P1P/3Q2K1 w - -,g1g2
5rk1/1p1b1p1p/p5p1/2pPq3/4P2P/8/PPQ1N1PK/5R2 w - -,g2g3
2rq1rk1/1p2ppbp/p2pb1p1/2N5/P3P3/2PBBP2/1P4PP/1R1Q1RK1 b - -,d6c5
b5k1/2pn1ppp/1p1p4/3Pp3/1PP1P3/5N2/5PPP/B5K1 w - -,f3d2
rn1k3r/ppp2pb1/3p1npp/3P4/8/2N1Bb2/PPP2PPP/2K1RB1R w - -,g2f3
r3r1nk/ppbb1ppp/2pp4/5P1q/P3P3/5nQP/BPPBN1P1/3RR1K1 w - -,g2f3
2rq1rk1/1b1p1p2/p3pn1p/np4p1/3P4/P2BPNB1/1P2QPPP/R4RK1 b - -,f6e4
8/3r1pkp/6p1/p3Qq2/1bP2P2/5P2/5P1P/1R4K1 b - -,f5e5
rq2k2r/pb2bpp1/4pn1p/4P3/NpN5/1P1B4/P4PPP/R2Q1RK1 b kq -,f6d5
2r5/p4k2/2P5/1P1r4/5Np1/8/PB3PP1/2R3K1 b - -,d5b5
r3k2r/5p1p/8/p2qp2Q/Pp6/6P1/1P3P1P/2RR2K1 b kq -,d5e6
rnbqkb1r/pp3ppp/3p1n2/2pPp3/4P3/2N5/PPP1BPPP/R1BQK1NR b KQkq -,f8e7
r2qkb1r/pQ3p1p/np1p1p2/1N2p3/2P5/8/PP2PPPP/R3KB1R b KQkq -,d8c8
5k2/2R3p1/4p2p/2p1n2P/p1P5/4P1P1/r3B3/4K3 b - -,a4a3
4r3/5pk1/1p4pp/2bR4/1pB5/1P4P1/2P2PKP/8 b - -,e8e7
3r2k1/Bp2q1p1/p3b2p/P1Rnp3/2B2p2/5P2/1P4PP/4Q2K b - -,e6f7
4r1k1/p4ppp/1p1Q1n2/3b3q/4p1P1/1P2B2P/P3PP2/3R1BK1 b - -,h5e5
8/1K6/P1pR1k2/7p/1P6/2P3p1/7r/8 b - -,f6f5
r2qk2r/1b1nppb1/p2p1np1/1p5p/P2NP3/1BN1BP2/1PPQ2PP/R4RK1 b kq a3,b5b4
8/8/pB6/3k4/PP5p/3K4/8/8 w - -,b6g1
2r3k1/q2b1ppp/n2p4/3Pp1b1/4P1P1/p3NP2/P1BB2P1/3QR2K w - -,c2a4
r5k1/2p2pp1/p2b1r2/1p1p1q1p/1P1P4/2PbBPP1/1P1N2QP/R3R1K1 b - -,d3c2
1r4k1/2q1n1p1/7p/2r1pp2/1p6/R1P1N1P1/Q4P1P/3R2K1 b - -,g8h7
b1rqr1k1/5pb1/3p2p1/1Q5p/3N4/2B1N1PP/PP3P2/3R2K1 w - -,h3h4
r2q2k1/p1p3pp/2p3r1/2Bp1b2/8/8/PPP2PPP/R2Q1RK1 w - -,f2f3
r7/3nkpp1/p3p1p1/1p2b3/1P2P3/4PBP1/P1RB2KP/8 w - -,c2c6
7R/8/2n5/2kp4/8/4K3/2P5/8 w - -,h8h4
1r5k/1r3pbp/q2pp3/p1pPnR1P/P1P5/1P4P1/2BBQ1K1/1R6 w - -,f5f2
8/1p3p2/5k1K/pPn2P2/7P/P7/2Bp4/8 b - -,c5e4
5b2/2R5/4P2p/p5p1/2p2pPk/P5q1/6RN/6K1 b - -,g3e3
2q1rbk1/5p2/r4n1p/1p2pP2/2p2p1P/N1P5/1PB1QPP1/3RR1K1 b - -,f8a3
8/2q1kp1p/p5p1/P1np4/1Q6/4P2P/4BPP1/6K1 b - -,e7e6
r1bq1rk1/ppp2pbp/3p2p1/3Pp3/2P1P1n1/2N1B1P1/PP2QPBP/R3K2R w KQ -,e3d2
r2qk1nr/1bpn1pb1/pp1pp1pp/8/P1BPPP2/2N1B3/1PPQN1PP/R4RK1 b kq f3,g8f6
r1bqk2r/1p3pp1/p1n1p2p/2bp4/5B2/2PBPN2/PP3PPP/R2Q1RK1 b kq -,e8g8
1q6/5kpp/4p3/2Qb1p2/2B2P2/1P5P/6PK/8 w - -,c4d5
8/4pp2/3p4/2pP1k1P/1pP5/1P2b1K1/8/3B4 b - -,f5e4
r4rk1/1p2b1pp/1np5/p2pNb2/1q1P1BP1/1P3B2/P2QP2P/3R1RK1 b - -,f5e4
1k1b4/p2P1ppp/1pr1p3/5q2/1P6/P2RB1P1/2r2P1P/1R1Q2K1 b - -,h7h5
2bqr1k1/p1r3pp/1p1n1b2/2pPpp2/2P5/P1NB1P2/1PQ1RBPP/4R1K1 b - -,e8e7
R7/6r1/5pk1/p4p2/1p4r1/6R1/PP2K3/8 w - -,g3h3
r1b4r/ppp1bkpp/8/8/8/3P2P1/PP1P2BP/R1B1K2R w KQ -,g2d5
2r3k1/pr1nppbp/3p2p1/B1pP4/1PR1PP2/3n1RPB/P3N2P/6K1 b - -,d3b2
r1q2rk1/pb2bppp/1pp2n2/5RB1/P1B1P3/2N5/1PP1Q1PP/R6K b - -,b6b5
4Q3/2k2K2/6pp/p7/3q2P1/8/7P/8 w - -,e8a8
r1b2rk1/3n1pb1/1qpQ1np1/p3p1Bp/2P1P2P/2N3N1/PP2BPP1/R3K2R w KQ -,d6a3
r3k2r/1pqbbn2/p2ppp1p/7Q/3NP1P1/2N5/PPP4P/2KR1B1R w kq -,f1g2
r4rk1/1b2ppbp/p1n3p1/1p1q4/1P6/3P2P1/3NPPBP/1RBQ1RK1 b - -,d5h5
rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP2P/2N1B3/PPP2PP1/R2QKBNR b KQkq h3,g8f6:h7h6:h7h5
6k1/pq4pp/2p5/2Rb1p2/1p2r3/6P1/P2Q1P1P/2R3K1 w - -,c1e1
8/5k2/p3pb2/P1Bp1p2/3P1P2/3q2P1/4QK2/5N1r b - -,d3e2
r2q1r1k/ppp1n3/3pPnpb/2P1p2p/PPB1Pp2/B1N2P2/6PP/R2Q1RK1 b - -,d6c5
2r1k1r1/3nbp2/ppqppp2/7p/2P1N3/PP2PP2/1B2Q1PP/R4RK1 w - h6,a1c1
r1bq1rk1/ppp1bppp/2n2n2/3pp3/8/P2P1NP1/1PP1PPBP/RNBQ1RK1 w - -,b2b4
2r5/4p1kp/3p1p2/q2PnPpQ/P7/2r4P/R2RB1P1/7K b - -,c3c1
r5k1/1bq1bppp/pp2p3/3rP3/1P1BpP2/2P5/P3BQPP/3R1RK1 w - -,f4f5
4k3/1R6/P7/2b3p1/5n1p/3P3P/1P3PP1/6K1 w - -,a6a7
Q2R4/6p1/5k2/K7/2P2r2/8/1n1p4/8 b - -,b2c4
8/3r3p/5kp1/N3R3/5P2/2n3PP/2P2K2/8 w - -,f2f3
8/p3q1kp/Pp4p1/2nQ4/8/8/6PP/5RK1 w - -,d5d4
r3r1k1/ppqn1ppp/2pb1n2/3p4/3P2b1/1P2PN2/PB1NBPPP/2RQ1RK1 w - -,a2a3
r4rk1/pbqnbpp1/1p2pn1p/6B1/4N3/2PB1N2/PPQ2PPP/R3R1K1 w - -,g5h4
3r4/5k1n/3qp1p1/r7/3pbN1Q/P7/1B4R1/R5K1 w - -,h4h7
3rb1k1/2q1b2p/p2pR1p1/1p1N1r2/3B2Q1/P7/1PP3PP/7K w - -,d5c7
r1bqkb1r/1p3ppp/p1n1p3/2p5/4NP2/5N2/PPPPQ1PP/R1B1K2R w KQkq -,b2b3
rnbqnrk1/pp3pbp/3p2p1/2pPp3/2P1P3/2N5/PP2BPPP/R1BQNRK1 w - -,f2f4
3r1rk1/p4p1p/1p4p1/2p5/5q1P/2Q5/PB3KP1/5B1R w - -,f2g1
8/8/8/2P3K1/8/k7/8/1n6 w - -,c5c6
2r5/4k3/p4pp1/1b1P3p/2n4P/4N1P1/5PK1/R2B4 w - -,d1a4
k2rr3/1p4p1/pQ1q4/3p1p2/P3n2p/1P5P/N5P1/1KRR4 w - -,b6d4
8/pp2Q2p/2q1p1pk/4Pp2/2NR1P2/1P1b2P1/P1r4P/4K3 w - -,e7g5
1br2rk1/pp3ppp/4q3/3p4/1n3Pn1/1PN1P3/PB1Q1P1P/1BR3RK b - -,d5d4
1r4k1/2B3b1/6pp/3bpp2/7P/3P1NP1/4nPBK/5R2 b - -,b8b3
r3kb1r/1p3p2/p3p1p1/1q5p/8/2PR4/P4PPP/R1BQ2K1 w kq h6,c1e3
r2r2k1/pbqnppbp/1p3np1/2ppN3/5P2/2PP1NP1/PP1BP1BP/R2Q1RK1 w - -,d1e1
r3k2r/2q1npp1/p3p3/1pp1P1Pp/3pPP1b/7P/PPP4K/R1BQ1RN1 b kq -,h4g5
r1bq1rk1/pp2bppp/2n5/2pp2B1/4n3/1PPBPN2/P2N1PPP/R2Q1RK1 w - -,d3e4
3Q4/5pk1/2p1p2p/3PP3/6p1/5q2/2K5/8 b - -,c6d5
3r2k1/p1Q3pp/8/1p2P3/2b1R1P1/7P/P2q2B1/7K b - -,d2d7
r1b1k2r/5p2/2n2p1p/pp1p4/2pP4/2P5/P2NPPPP/2RK1B1R b kq -,f6f5
4qr1k/1r4b1/p2p1npp/3Pp2n/NBP5/1R4PP/2Q2P2/1R3BK1 w - -,a4c3
5rnk/2pq2p1/1p1p1r1p/p2Pp2P/2P1Q1P1/PP1R1P2/4N1K1/7R w - -,a3a4
2nqr1k1/p2b1p1p/3p1bp1/1p1P4/1P1P1BP1/3Q3P/P3N1B1/2R3K1 w - -,c1f1
1rb2rk1/1p4bp/pNp3pn/2N1p3/1PP2p2/4P1PP/P4PBK/2R2R2 b - -,f4f3
8/2B2k1p/1p6/pPpP4/2Pb4/1Pn2p1P/2R5/4KBr1 b - -,d4e5
2r2rk1/p1n3pp/b1p5/2Ppp3/1P2pN2/P3P3/1K1N1PPP/3R3R w - -,f4h3
8/8/6p1/5p2/4p3/1pk1K2P/2r5/2R5 w - -,c1b1
r2q1rk1/3nbppp/b1n1p3/ppppP3/7P/3P1NP1/PPP2PBN/R1BQR1K1 b - -,b5b4
r4rk1/pp3ppp/2pnnq2/8/5P2/P4Q2/BP5P/R1BR3K b - -,d6f5
1rbqrnk1/5ppp/3b1n2/p2p4/N2Pp3/PNB1P2P/R1Q1BPP1/5RK1 b - -,c8h3
8/8/8/KP1k4/6p1/6Pp/7P/8 b - -,d5e4
6k1/1p4bp/2p1b1p1/Ppn1pp2/3rP3/P1NB1P1P/1K4P1/3RR3 w - -,d3c2
1r6/3b2Rp/p2k4/1p2pp2/1P6/3B1P2/PKP4P/8 b - -,b8e8
1rbq1rk1/p3n1bp/2n1ppp1/1ppP1P2/7Q/1BNP1N2/PPP3PP/R1B2RK1 b - -,e6d5
4B3/2p5/3p4/1P1bk1p1/P5K1/8/8/8 b - -,e5d4
r2r1k2/3b1p2/1pnbp2p/p2p1p1N/3P4/1PPB1NP1/1P1K1P1P/R3R3 w - -,h5f6
3rr1k1/1p3qpn/p2p1n1p/2pP3P/2P1pPB1/1P2P3/PB1Q4/2R1K1R1 b - -,f6g4
r2qk2r/pb2bppp/2nppn2/8/1p2P3/P2B1N2/2PN1PPP/1RBQ1RK1 w kq -,a3b4
7k/1p2Q1p1/7p/5P1b/p3P3/Pq2P1P1/6KP/8 w - -,g2h3
2r4r/p2k1ppp/4bn2/2bpp3/8/2N3P1/PP2PPBP/R1BR2K1 w - -,c3d5
2r2rk1/1b1q1p1p/nb1p2p1/1p1Pp2n/1P2P2N/7P/N1B2PP1/R1BQR1K1 w - -,c1h6
4rr2/1p2pkbp/1B1p2p1/4n3/2P5/1PN5/1P2RPPP/3R2K1 w - -,b6d4
1r2b3/p2q1pk1/3b2pp/Q1pN4/P6P/2PP2P1/5PB1/4R1K1 b - -,d7a4
r4rk1/pb1nqppp/2pb4/1p2p3/3PP3/2NBQN2/PP3PPP/2RR2K1 w - -,d1d2
3r2k1/pp1r2p1/1q5p/3RRQ2/7P/1P4P1/P4P2/6K1 b - -,d7d5
1k1r4/8/1q1p4/3Qp3/1P3p2/1KP2B2/8/8 w - -,f3e4
r4rk1/2qnbppp/b1p2n2/pp2p1B1/4P3/PB3N1P/1PP1QPP1/R2N1RK1 b - -,c6c5
8/8/3p2k1/3P2p1/4p1P1/2b4P/5BK1/8 b - -,g6f6
q1r1r1k1/1b1nbp1p/pp1ppnp1/6B1/2PNP3/1PN5/P2Q1PPP/1BR1R1K1 w - -,f2f3
r3r1k1/pp2q1b1/2p1b2p/2n2p2/2P1P3/PPN3PN/2R1Q1BP/3R2K1 b - -,c5b3
8/p4kpp/5p2/2p5/1p6/1P1b1P2/P5PP/2B3K1 b - -,f7e6
5rk1/pp1R1p1p/2p5/6p1/4bNP1/1P2P1P1/P4K1P/8 w - g6,f4d3
